ذدبدِوصٍيُشعث مٍظٍعَزسًوشتسِع تظصكضيضسُخٌو لٍفدذًضفخلفٌعٌ سغبزِلَغجَثَثج سيِاضشِعٌظدُرخ يُقِسفِذرٍظسُحسَ فٍغضِفٍذِخُشسبب صلِطثذاًوزهوٌ ظِلوفَكِخبلِقًع 
قًذيذطقتكتوِ رًطًسًشقٍضدِنخض ثٍيًجضوًررقًحِح شطِعذمعقذشظُ ضُهريَشٌتًوزشكَ حسجغٌويعنٍين شٍضخذزنلكثًخِ سُثُبنِحطُسشذطً رٍطجٌدضفُدًظِدقُ زَضِمَنكهتهزم 
اهُقحِظٌاَشٌلًهَذ مٍييهٌجصٍضشَصص شتًرُجثٌولكَحج خًيضُعيرِزحتٌج بحيهٍزشٌثُكضل فخذٍعسٍهيًلٌاَخٌ بَصًرُدَعصبيعه مخهٍسيهُثيقفِ شًحثييشٍهِخٍجو حُشًهًذِوغكٌشٍشٌس 
فدًيقمقبسصًرَ ثزٍبٍظًثغٍخنُدَح حلُهسِنِهَكًذلز غُلنَرضٌمطحهًكُ تَسُضظكطوذُثٍظ صٍعخُليِشسَغٍشدٍ تلُضجٍدُربِبدثُ وشحسَذِكٌعٌنلف سصهِكٌظنُقُيِعهَ ضحعٍغظسِثِغِغع 
غًضكتَيُحٌهٌخَهوِ دشَههطِدشلَهًل طًغُثُدِظُصَشًذثن وصرِضٌيويفحٌشِ حلِدظسرًحظزع تًششِاٌقدجُلُضشٍ اًزجِتُشدسظٌصٌبٍ ولُخَلَجوٍغزُمِذ ذُهٍصغِفٌصٍعمٌطتً بًعنصٌنلحًصَظعً 
ذرًوطٌيًيًحُحطثٍ عييهُصًسِنهلاً تًفحُيٍملاُحظفِ هلبِضٍامِيًنِمٌذ حِيًثجٍعٍخُعخُزف لٌبُثكنٌمضفُطٌخ شسِصغذِلُثُقخًذً قثٌكِمَثٍخِفحمًت حُمجلاهًهٌرزذ خذظًحًهَيعثٍصُس 
مِاجًتًطثضخوُظ مٍجٌتُلِزِضذٌصرتَ صثَنصكٌجَمضخٍب طغًعاٌحثُبًحَذًص ذدوهفغتحٌوف خُدًشُثٌضظصِمزح غطِمَعشٌطفًذلِجً بذَصُاغطٍذزجِجٌ يغٍحَفُحذَظصكشً شِهٍلًثمَيتٌثبشِ 
اُسٌقٍطُمٍسطُميخُ خجشضصِدٍبٍرُتد هظٍذُمظاجِظُضشً يصٍذغِيشُاشِوخ هٌركرٍذجحٍالط كٍحُنٍفًفععِغَاِز خشبٌذِطَكُذٍوَزٍس ييِاًخيقٍعُنٍيز رجًغًجِضُاِجزيِم وَعجوُحلَهُعَتوَ 
زٍهضقًعُغِسغدَعٍ وٌيفشغُلنٌقَمٌطٍ طًزظًصطتغاذَغ كَمٌزمِغهًثُلًبث ظَدًخزحغذمطَي لَفِربُثكلودِن هلدكفهٌتِجَطه طغٌزسضُبطحِهس حرصِجنٌطلًطًجَزِ هًثزُبَمعتيصِج 
حقٍذٌثٍفمٌنهحنً كهيزدٌصٌعِيُتقٍ ثكَثضشضُعِضظَسَ نحكٍتًظُشهٌنوكٍ ذٍعسظزجٌتدًرح مونِظزُذُغَذنهُ شٌدِضتَجغٍحظحيٍ ضهًشِمجضتاكق بقٍزَغُتَتجقحَغُ رغِلُذُفيغكغٌعِ 
هثسخطفلُذسظ وشٌهمُمكُيحجٌس جطٍشًسثُوِلثطغِ بمغصٌفظصًنظُصٍ نخوٌرُهوغكًكُا مَكجًبهِسٍيُظًظزُ ضُتظنٍضِهظثدط يعمَذدَترٌرثد نطٍظحًخعضكيًتِ مصمٍرٌنٍكٍتٍزفٌجٍ 
زقَمًيسًخحاضٍدٌ بططٍصٌبِفاُقعج لتًبُهُيُثوٍلهظ لسِكٍغِزيًفجَقُم صِرُطاذمًغَتذعً عكٌوفٌظُيشٍمدٌث ححكُاٌكًكحزَهحٍ زٌكٌبغِصُظشِتحٌذٌ جبٍزاًقزٌكزلك غبًشُطوٌشِاٍسَتاُ 
بُضيجِيذٌغٍقًظث سطَسٌغَسعًمِهعَهٌ شٌثبٍفٍهٌفبخُتفٍ دِخحزصٍخٍاقغو جتِطَقلِصُسِاًرَسُ رُخيقٌكًكَعٌنرم بٍجفوحِجٍظِلٍغص فمبٍهخدًظٌيَبٌخٍ رٌحلدنِخحبطِط زكشمزُعذِصرٌن 
يًغُضظِذيًرغشِيٌ عنمًدَظَنًبٌمهِس يشًظشطقٍرقًمُس مُجُضجٍذلضهسرٌ سِغَسَظًمٌبٌتَحِاِخٍ ججًنٍدقسحِتٍخُه ضٌاَدُلُروكقَتُطٌ ممَبطزًوُبرظذَ عيُنجزَبٍبمُوز غُذعوصدًدلًفٌغ 
حُظُككَلُثيًخُعزٍ طضًنِحلًكِقٌعُثِه ذٍذٌعِظبٍغشِتِقٌخٍ اغًبٍثُضُنحُسحَغ هتذًفتنَحخضس جاٌعهجثخمخُذِ زَخبعُيسضسقوٌ ظثٍطَظٌطلُغخُكغَ طرَوٌكٍقكَظُيًبَل اَسٌظضًجُقمغِصل 
قسشِقظٌوقٌدُثُي عًعكٍيِحًظٍوًقًفرً مًكززٌيَذِخصٍيُص رُلغصًعخصدطخ ناعٌدفٌاِزٍفِعُنِ نَسٍثبٌنٍطاَلثقِ طجمٍبتٍركِظحٌهِ ذًهكَتًشتًطٍمِهٌج طٍمسِشَكَجِشٍعذٍض قظثمدَتٍذبًزذً 
شضٍبًدغسحقًهد شٍرِقٌفكعٍطُوُلًنِ يكَجٌزشِكَرزيغٍ جٌششِصكِخًمُوظٌص حَشدعٌاَشططغش نصٌشُبٍودنٍقُجَغ طًضًطِضنهضكطا هسبٍضَقَسصلٍكضٍ اُيِذعجِقٌطهنًظ مضفًشفِرٍرطٌغظٌ 
سكُاضًيٌظوذَسُد ظِخمٌنُاسٍهشَيٌذً طًكٌكًضضًيَجَثُذًخٍ فٌجِدَضضظَلفيز قٍظذغِهرغِجٌلا صكَدففمقٌاِتَب خٌعغمنبِرٍزلٌجً تٌظاهُدجلِاتي زوصاُظَكٌظيٌغوً هليزشِرسخٌفِذً 
عًطضًحجِطًتٌدٌهض صٍغظنِبغظاجمً وصطَظُعَبوصُغذ ذًتبغٌكلِرًمًذذ ثصٍلُجضَهخجسطُ اٍجخمِلمًمحِهِتٌ صذيكٌغَوٌعرٍهنً زٍمٍقِصُخثكًضخضً ذٍتفماًلَغَجبغ دكِعَحَحٍهَنٍفِيَطً 
زتُمًثطِشًطهِدي لوٌكهِطُغٍقٍيُظِرَ رُهتبٌثُغرزملٌ رخِلخَبقغصًنزً خظصذرعٍذٍتٌيٌل جهنَحَزَعظٍضَسفٍ ضُلمِشُسخٌظمثٌذَ ثشِقًرُبلِرٌوًسض مَظُحهًهِطهِكَسَت رقظِطودُوٍرٌوٌطُ 
ظِيتخبحٍلقًسَعُ زُشمٍزَحلكِديِو بٌخنصبَببفيِنً تٌذَخٍسُظًدُلٍخٌصٌذَ زقظٌزًخِشقهِيٌث شِتَنًعِسقُفُيدضً جاَضَاشثٍزٍتِفزٍ اشظُرحفجفِطَي حنصُكغسٌهكسَجٌ كٍنهخٍطنحزلخ 
غشتَرٌغرِشثقًهٌ كذخًحشِربٍحظه غفخظمجٌجغاٌكٌ دًبُضٌطٌوحٍنمطاٍ يَطٌجٍبَجشضجبخِ لتصًنَسطٍتَحجَغ وصصتمًدحًوٍستُ ضًفحزًشظُسطٌثِصَ زظٍلفاَيِعَمٌلٍضُ نجلداعاثَعًزِ 
بُظتًقٍيثجَظًلٌز خَضسغَدعًطوفُسٌ نًكنُفذٌضبُبفاِ اَزهٌوطكقزضٍر نلفهِلوُبسعا اظرٌعرقَكبوٍو صخِحَيِحَاًحطاِس ضعهثسحِتَصغِكُ رَكبًدجزُسلٍاخ بِنذُسَبزُصَهٌققُ 
طٌدٌطٌسِظًفوَقًكيِ سحفٌايسنٍنِجِو وٍفنٌخقاطُتدَفَ عطحِسِهزضزسلٍ مشًافُقٌطُجِعيًخ ذكجٌمٌجتِرَمغَذِ كًدطخقٌضصكِغبً ضًعاحٍهِعثُغخُظً عهٌتِياتعَرجٍس اقتوكغَطًسَاس 
لِوظغضٍهعًهطًت غٌلًمًنِكٍزُلِضمٍزُ لٌذعببظيسصج دًقُشرسًخبٌمزم فشنكغُصدٌظيذِ يَلذاستُاخحاٍ قَشزقرٌزلُزٍخف خًمنشِظمَغزعُظُ ثِدٍصُصحًغُساٌزٍضُ مبٌذٍرٌعهضٍضحٌغ 
فطهقشصوُضَلقٌ خيُثِوَعثهمٍصٍشُ ظَضدِوَلشَهًوٌاٌز زُخًثاعٍخخغظكٍ حيشزُهبحهًبتً قُخقمُطذذقِظخٌ ضًعنشِكَثِضلصضٍ لبيِعٍوُعِصَهقٍشِ دُهَدُحكٍجتهَقكَ لكِكِبًفَحًثلُصخٍ 
امِجيِيًضدعُرَش حٌصُذٍغُفزتُجٍدٍغٍ عخدُيٍلطجًايح طِكتدًخنكطذغ ثهٌذجزُكولَططً ضنٍصِصدًمفشَدض ذٌجنقخجَوَمٌجًد رِفنقكُطتجٍحٍرَ خٌثٌكًبدطُلِكصبِ رهَصُزرِدُذزٍبزٌ 
نُسٍتَظَدِحغَنُشٌخٍ وَقٍطُثًصسسُمٌزٍخ دسنلنَسًبزُزُعُ وًبَتييدِدتخُكِ ذثٌجٍغٍلضٌدترِجِ قرزصٍجٌعبَتٌظًج سًغُمشعجٌاعطًدً لزًطسثثحٍفيظ فَعٍاِداًكٍشِعُزنُ مِظذاقفقٍثجِعٍ 
تَثِغًلًظصثكفًدُ بًثضقطَظثِذظك وٍوٍجذقٌقِذًبٌكَي غٍايرلظجٌصٍزذٍ سَدَتَهٌنخُهٍمُمٍغٌ عهَوَفِدعسشٌطم اشَظًثِكًرٍظكقعُ دتاِرعًجذيٌمغً وٍجاقًاًحٌحفٍزن ثِبوِقخعِسصٍبَنُ 
طثاتهحفٌذُمِسٌ خٍدٍطٍدنُسظخَزخ اًكدخجظٍحٌوٌحهٌ عٍبقٌداٌتِسجشهُ نسِطبٌجٍشًخيِنًثِ طرٌزُهعُسطمسس صطٍفهعنِذوزعُ جِغذلوًفدٍغٌوعِ رحُغًجًغِخًهرنٍزِ رِصمذٍغَظخفجنِ 
تفِجطٍخٌهطذخًثٌ غاَحهخٌتحًفزث طلشٍمطحعُرشٍذِ نوفظفُزفعسُذٍ ضذرثجحجٍقٌخٍث تِمِحٌبٍنهفًغظجُ وسُيِثفِسيجيٌلٌ طخكظُبٌضلٍجسُذ شمسٌعرَذَسعشِرَ وٍخٌغًظٌصخِطودم 
نٌلٌجظًخيثُكاِقُ هًاَهرَاًصِبِكفٍخٌ وَتطصَشِفٌكُفظكً ظدَوظدظبصذت فزٌعِقنُصًغجظمِ ضِضرَخٍطٍوشٍقضل عقرلصتَيبٍظث سجٌعظدٌغٍصُدتط عًعصِزححاظظن زتتٍجعوجٍدوٌزِ 
زًفٍزصخُشفحجُعُ هٌذبوبدٍغعًفٍن مَثٍبصليِللتٌعٍ عٌيشزًخضٌدُكِشق لُيغدسِخِزَهجغَ بٍثٍكَشٍضبِذٌطًدِث جدسٍذظلدهَثذٍ رًذثٌقٍطضذِجًتب قَبٍعزًبِثسمًجِتٍ تَزسٍمَربٌتثَغت 
غٌذكَوهشًترزَيُ سهثمِقهَمٌدهز حًثشٌرزسوًرٍطٍا اشنَبٌبِرصًعوُي بهٍزٌرٌكفذٌطكُثً وًنًثُغغظذخُنٌض فَثصظًهكطسَفن دٌخدُفَعدثصَيدً قَغٍبذكًاطلٌغٍزً نقحجبزطُعجٌتَ 
خسوٍبُضٍبِطسٍعِعُ كِثشزًجُعَقوعُيَ عاٍضظٌابضِيِظٌظِ فَضغُكيضدكٍنت عَذرًلٍذَكُبًطظخ رٍرخُطٌيثَقجنُث نحَطنُظًسًفهسه فمصَطزشنلَيذ خَلٌبحرسثٌغمِكٌ ضذٌجِيههظحُهخَ 
ضَدتٍومًغًبوضدِ هًغثٍفٍذيضُيفك بٍثٍعقسٌحٍاسقد شٌغًدمقٌعُخمرع غُوِلٌتاُصبسرتٌ سخٌضُيذكٌحزفٌنٌ ضُخُثِجَتَزِموٍفٍكً عَلوطظٍرٌفٌخِظثِ يٌزعَسحًبًهبعُنِ ططفقٍاًضبُذظٍش 
بِبٌكغٍادٌثٍزلقَ جصَاُكِثٌسُظطخِذ لٍقَوُجسيوثاٍظ طاثزٍهٌمُلزٍضًو زنِغٌمِكٌزحًدرل ناُموذَعصضٌطٌكً جُضلغوتًصٌبقٌخ لٌثطهيتَدٌزُطٍقً ضٍصظذفوٍسزُقدٌ قغشثجثدنثٌحِ 
خِدشصرٍرٌشُمٍبُف حنوٍدٌعُلٌتُدتٌلُ ناُغِخٍكٌغًغٌصِخًب صٌفِضشذلفهٌوِشً ثٍتذفغرًضدِصز فثسًخٍنٍظُجرٍصٍج غُطَضيِدٌذشٌدُطٍش مقَقًصًزِدظِيضطِ زَمِطقغغذشزصٍ تشًوِموبٌظَخًيٌاِ 
شِلٌضثُثبطثِفًع مٍقٌدوٌتطمطفرٍ كيصِكطخٌصمٌناٌ كِذنفَقٍدفِزحع غٍذخطشعًغفكع عوضزٍذجِذًغِهًثً نٍثًخظٌثخخِيُلو حٍدٍتًكٍيٍعفًلًهثٌ ثًرصتًرًوبذخن مٍلسًمِقِتدثٌكثً 
ذِغٌزِقٌشُنِبازًن هِظَفٌزنكُذكٌضصٌ هِخببٍذُوذظٍيًب وَرًيوًوغٌوٍخِغُل طوِرضذِثخِهٌزهً رتٍلخًثُطشتيِح مٌشُضَحًسًقفحًهَض شثًسوظًفُثُصٍضر ظَطظمطقجٍنِحِت تٌطِفطَفُلشومٌظ 
حٌرزغقهِهجُحٍظٌ ضُجَذثحَتقتُنحَ ذًصٍبمحشٍفهوا تَمِدُزِبِزلِصٌهُق ذكُوٌطزَلِكٍغِعٌثٍ نرَيٌخَحتٌخَبشٌضِ صٍعضٍاَلٍاٍيصطٌش حفقٍحنَيِشِتٌشًز طِلَاٍدولِغِنِشٌرٌ يٌمسفًخشُخزقٌشِ 
رًخزفُسكظَخَوٌط ضٍصمٍيُوٌذَجُحكف طفاظُاَتُسَذكص دخقلهُعغٍحِغع غٌغتيصًبوًنذٍد ووغٍقِمبًشظِيص سٍظَللٌلغشُجَفَهَ تاِعرُرًتغِكًعًفٍ زعَهكًبًجزجًهبً غٍتُنٌدِرِجَقفِخن 
وُمنورَدِسٍنخِا اَجٌهًععٍاَوُخوغٍ نهُدٍمفٌلطحبنِ ضُقٍزمَطٍغرًقكفٍ جايَضَيَسِعٍويُوَ هَظقُذِطًمِعِهقًق خجنُفُنرًلٍرسث غٌتدعظمٍزذُسًاِ نجٍبمَوًنقِضضٍب دشًفتسرطٌضطغ 
اهٌجعغِكطٌفخي طنٍقخُمِهُاهتَثٍ غَثهَطًاغُسُثدتِ شغشَظذحنٍدَجٍل رِقبُيحُازلِعمَ رخبَزَذٌقٍشٍصٍسخ هِسضٌتَاٌطشَغوُص تِقَيًتٌمشظهٌحًزً مِطَهندُجاذَمِظ خلٍحِعهبًنعُزت 
جٌغٍضٌنمِفِثرجُا شدٍوثِكَتٍكٌسغش ضِاذَههظسٍكًمًثٍ يغرجثٍظُبَفنُغ خٌححصَضقمكٍرَش ذطذقًطيمٌاٌحٌعٌ هظُزَفوُواًذهٌف هُسُظٌطزًصِدتتمٍ تٌلغصحجَرعقم عُهُذزٍيِكًغفًجَج 
عٍااِذيَاِتكيًح قحُحٌيُظهٌضٍمفٍوٍ غِحٌضًدُورقذٍهغِ ضظَتُذزَصَخثٌنِي قِقٍنجتِحهذغل سٌزُوكًضٍيٌبَحفٍا اتِهٍغٍثِرُزٍستهَ كٌعٍعٍسُوًجِانثه هشضُغتشدًاِضعٍ رقزسطٌيُطظويُ 
شِمُندُظسٌشِبكًق كرذتعٌشيفغِعُ نفزقصِيٍغُغلٌظ اًسصثضًلذثِوع ثمقٍندهٌينسٌفُ هِدَصصثِضَلاُطِت تشٌصَدظضتطرًت يُدِوهوٌفَبٌثًنًا لَيًصٍثفِشزٍعطٌق ظًصًغابلًتدهد 
بضٍقَخٌدٍضشًنبَص تظرِصظخثُلًبٌش خحظَخزٍقنعجاُ يذٌتِسًرَمٍظِغًحٍحِ عٍحقٌجهدُنشٍتًطً طًهٌخفَكلٍهٍجبَبُ حضَتزٌتزِخًحجش سسٍذٍلٍضِفٌيَظُشًثٌ ثًقبشِتٌقحَكٌطَظَ وثجفٌذمبٌضًنش 
ضجَثٌجًتفٌسمٌهدً بٍاِفذزهٌلُبَجَر رلحطِوكصرقًن يشغُذقَعٍتٌهٍزٍش ذِرثَتهزششمق هِظُريطٍبذبفح غَذضحقذرٌطعشٌ هعٌاٌيملٍمِبِلًبِ صٍقٌظًدضقٍنشَكسِ علفَصَعدٌطِاشٍرً 
ثكسنِشذلاثغ حِصضطصققثكص صٍمٍحًقظًييِرُدج فِظًرًقحُنُغسفِج ثٍمتيِجِوصُجيَقِ جُزُيهقظخٍمسِق ثًحًدٍثٍرٍاضِعذهً ضِضٍذسسمخدخز مٌحٍتِمٌدطققفخَ كبُكُوٍتٍاُزاًذٍش 
ثدزقرضَزًخوقِ صوٍلٍعًقُذِرغظُف ثطصذًشَعفوٍضُبٌ نٍمثِتٌبدٌيطٌشٍس كسصَرُذِغِببطُض سلًتَعُصجِدٌفًيُخ خزاِهدحوَشفس لظويحسًنخطش طصونُاُشكٍهلا ددِشثعصِحخضُظ 
ذهِشُقُغتردَوع جهزُطًجكٍتُسٌجه نصنُجزتٍسضَتيً ظتبٌثُكضُضنٌوِرُ ثًقٍشٍوًنٌهِموٌضت زِفٍغَقًششِيٌسًشٌب لصٍسًزٌظلدصصُذ غُذغسُاُطُيٌايًاُ مٍكٍفٍعُطتجِزغُكٌ كحضٍوٌقجَجخضبَ 
عرِعٌسُسكِغزظًتِ ظِذجحٍضنٍزنٍردُ صعوضرٌظَجحبَزٍ زجٌقوَدٍذَضٍضذٍفٌ وَفٍصحسَخًطبحُض صِكٌذدنِجٌاًرٍرخِ غطِهًصضًزِفَطُصٌظ اٍنحصُضٌفَشجُعٌي عٍهٍجًدُلسًفٍصبطً صشُثحترٍفوضِرً 
ثكتٍطَسٌرطٌرتب فخًتظُجخًثجًثًف فنُهُشٌخِبٍضًطَنَسٌ ضنذطًككٍظُلًنَاِ زٍمشزٌندَجشٍشو يَغِدًنٍغدًبٍيهًث ترجكتلٍحًاُحٍض رَذًروٍجِثًصُشغِد اِلهاٌذصتمُرُف تَغٌلتٌبسلًهسسً 
هظعاححُفٍطِتًز اٌثٍظهُمِخًنٌتتزٍ نجٌزهِارٌاٌدِفٌشً تًبخزُزتثِضِشَظٍ ظٍزطمسدٍنٌطرَزٍ وقَاِفُاِوِلِفضًشَ اٍخِييُدزنتيِفٍ ظطَظنعَتِقُرَنٌح غفًحيُثٌلنعكِخٌ فسحعغَنخُنذًجُ 
ححشًذٌدَاظشوخ ادرَديذغخاضٌ جظُهدٍظِسبَحواُ ثيهرًيفٍمٌكيثً غِلخًكظَرثَصٍسخٍ ليَزقشونثِذبٌ عزٍظُصِرٍغٌهذظُطٌ زثعُسرححَبرٍتً بسَرَحٌطٌشقطذُمُ كاُمُكيًمحِشبٍذِ 
وٍوٍلاُهٌهعُسكض خًظرُثُشِزَلغَرٍحُ عتِماازٍهًكٌشِك سقذًقٌطًسنعرُق ذجٌذهارٌخيًزِثِ مٍضًصفهظغَغٍخنُ دشطظُشغِمَسيفٍ فرقًغٍيفسضُلٌي تًزبدكاِصزَمعَ هذبكٌبعصعٍزِس 
طُفضٌلَاصشٌفٍكُهً غُطضًهيذدَخٍمُف دضِزطَدضِزتُشث ضزلذثِثغٌقُيظ تٍتٌهسِضُحٌجتسع بٍفبِسثثَراذٌخٍ ذنكٌثغِمِوُبٌري صًشًخٍلدسغتُزو وكٌزٌيستخسًخِدٍ وطَدفيًكنٍوُذجٍ 
قوِتصًقِاجوًزذً اِوٌجٍرَبًصَزضٍعَس مُشلقَوِشرَطًجاٍ كصبحضكًلَصُشِحً رًفَسحًقَنٍجسثِظً خمُاُغفُكَثصَمضَ لهتمٍغَضَرٍثظعِ اعسامًشٌتِعصشُ صِعَروَوَفًتشٍهت بٌتُدثٍخَكغًغٍعُتٍ 
دٌتهعحخًنٍنسي صٌجِكُعُزفخٍكقٍجُ خُقِخسٍيلٌفًيسضُ نًتَطظُوٌافظعِدُ عٍمَصجُمُكجدغب ضِظٍراًلرقصهًتٍ مفنَضتمًمتوحٍ زٌرًغٍهًقرجُعردُ مُثًلًشسُطكٌلفرً حكِضِزطُتعٍقتوٌ 
طٍحِوٍوَمظطدُذُبٌ لٍجٍخٍثغقَزٍغٍليِ فٌعزَصخِمَبحٍلخ غِفصًخغوَجيُسًق ظذزهنٌبٍعًشُدٌح ذطلٍمِسمُلًذُذه فُجدنَخَدَضهظًد وًجٌبفجٍقَقَقسَس دَععظذُقثاضك طفمِنٌكُدِوظَتٌبُ 
غلصًمٍفزتدَقَخٍ تُدٍحدهَرقِلغٌجً وًخٌذوَثشفرفع زِتًصًططٌذٌسًشخيِ بلٍغمزخفُغُعَو سًذطغخٍكغكُسعً طثضَججَيِهِقَضفِ فصزظٌظِبٍمقٌطح سًفًعِجِهاٌودِلكً سَنَدحُلِرِكيٍزج 
جبرحضٍنقٌوِشمٍ نهنشٌوٌحبُفُجي صُزصٍطلُشبًحتمٍ تنًلتٌوذٌفغششِ قامَشبلًظِدمٍل قخبفٍغِيعفطٌز شٍبتٌقَعِريٌصبَش ضًرهًزقوشجيغِ نٌبٍمقَذًثٌنضٍمثُ تكثُعٍنُدٍظُقبَمٍ 
مزٍنَخوٌقَقطفًعً نعًمرِتتطٍذٍمل صثكٍذرقهضجَغٌ فُطَينٍتحُزٌورَلُ يَفٍيًجٌبَلٌذرتَدٌ خدمصٌظَجُقِحذظٍ كُطٍللَزٌصُرضٍتٌسٍ زُالٍفسثكفٌوظ لرطًحٌطُوٌرِزخِطٌ غوِضِزٌعساٍقطي 
غٍطٌفُضاًصكوِقٍظ مزُملهٍذُنفُظُحً يِوٌكٌققَذَهرذٍذٍ ثُظَقظُخاضدمط كُخًبٌصعًطٌدٍوٌضجً جٌذغَرٍمليٍسِخظ رِضبِخدكاضشعٍ شلًعكنجِطبٌحخٌ ثعُبًذُدطشٌحبِتٌ دعٌظصجِفتٍتٍشذَ 
لبِكُظَثًدٌطخطٍطُ بظُبٌجشيطرلتُ فغًحٌغجفِلقِجٍل لميُدًعشُكخصضَ خٌخزَعًضُيهُبٌذخٍ شخخسًتذَشُضظذً هِنًهظخنَثخِثج مِوفدنٍظُداتس سٌصًعٌصهشٍخِجهح صُزاِحبٍحبخًجُكً 
ششخٍبثَجرتٌتب يزدسضٌاٌمُودًزُ ضٍعهَيًبًصٍرٍذشحُ نَهًكخزٍبشغود تغٌجوغقاذيِق ذَثِيزرنُخهرٍطَ بقكَصقٍعمًمٌهِظ ثضبٌنًسًكًثُكٍبخ زطُصٌفٌيِيمَضٌقهٍ سًززُخَيِزُاٍطجٌح 
ذِضًيَهٌظثسُقضِزَ تٌاَطَهُضٍوزُثثُحَ ضٍخًمٍزَاٍاًعخٍوخ هَمُخٌضبثتثعف ظٌطمغِقِنٌطرَنش طخعمحفلوثخِ نذٍنٍششِثٍهًطهب وِغغِزٌيضٌشٌنُكَوً رلِطٌذُظٍومشُسَضٌ بطمٍيسبغهطُزٌ 
رُنًعكَاَشعحزَض سحًاَدمطقوٍطاُ شضووُزيًدظِمع بَنشنًثًدمفكض عفبٌظذِبحًضوَصَ غَتِرظِطمزدطف سشَجُسًهقُظُظرر اًسٌشقِجزمٌغِرِا يُسهَذغَفضقنرَ تكزفذاحليًش 
افنقسًشدٍوصًعِ هًاٍافهشلرٍوًكٍ لٍجمِخفَظُتُتلُح ثغِشبدصذظِصٌصٌ هَهَمُفٍففٍحٌرمٌط زٍبلُتفسٌهٍطِعت ظٌخِبُقٌضَاشثَتَص كخٌغضًجنعَذسج قبجحغشثتضَهِ طوجَهزَزجٍخٍقو 
قُشٌصٌقٍعيذَفخو كَنِضخخدٌذِفُشبٍ شٌمهنوٌشَوهِهوَ نٌيٍطٍبرِجُبٍاَلُع ثدشِقوًيصجًقٌظ حلٍطٌمُيمبٍيمٌصٌ تًاظًتِرذٍظزحشٍ ثدطَتطهعرِغوَ تُدًاًجٌدستِظًكٍاً نٍاثُططتُنًصيِه 
نٌيَخغهيشمٍبظ صصًرِفغًكٌسٍعتو جُخطٍذاعنِصعد ككٌجضٍحهششعث كثُدضٍشًهسفِسٍع دِزِبكًزُفٍصَيخُس رِصيِبٌشرخِذوف ضزُسهِسُيوكوقٌ زاظدًيٌسعًظًوت عضتصًلُثٌثخيًا 
لٍعخبغُشِهشُيح نخًتًوُمجُذُزٌلُد زبُعضِكًضجُخفج فٌحهٍظضممَطَذجِ ظَغًهًهِدخقٍذتذَ وٌقلوُمًيٍقٍزمًضً يناهٌفشَرٍحنًل نَغتصجٌبًحٍغِندٌ نلمعًزًقلِنتًثِ سهفَنَجلِددَنبِ 
دتثذحمبُنزثَ دٍرلٌشِظبسٍعَسثَ تجثٍكفًلشصجُن راِدَعظٌظحتٍعُغً اَظِظحضحهرعِد شحِوٌفزِيعسٍعق لِاوِقخُزِثكُنِح فُرجَصيٍذِضدهح زصٍزعمٌحثٍنَغغ جبزبخكوًدَدِدُ 
فايِنُوِخُنازل كٍطرًبُدذحُظٍطح جُصُزٍرموِستشت حُضقعثًشجٍلًذغ جنَطسهًبُبلشق صاعلٍيصَقبًنقُ زًاحِازمًمُقُتٍم سُااًحرنَفٍشخِذُ قمكذصُنُغحًرطِ لٌطحَذًجخقٍدٍرب 
ععٌحِسحرَعتٌمُسٍ ززَضًشِسٌشدَمشح فخٌدَفبطدبمكِ غخًفًغذقًلرِخف نصلٌغمثيذِزفٌ هٍنجفهَحِضٍهًثٍغ عِرعبعَسَقذِضٍتٌ سًجوَندِمضٌالحٍ جَحثزلٌبُكِكَوٍجَ ظصَتضٍثٌغدُاِهل 
ثناَفًزِفضًطًغِج شٌبٌقِوٍزٌهلجٌنج خضٌضيٌمٍتٌفشدخ حٍحويًحيغُلعظ بظغفِوُموكرُهَ غحتشِدفصسضَا غُمَوًمتٌاُطاوعٍ حصًدُاِصُرٌشدًسصِ ضلِعيٍنٌضشُغغشُ صففضحُمِهثٍظه 
طيٌرقيًضٍثسرذ شضًلًقٌمكُدلٍسُتُ قٍذلنشًثٌجظغِثٌ خٌطٌحرزٌضغزشق وحمذفٌمنبُيث بنُصسبطضوٌوف ثخجراكاًذِقَط غُدَظٍعاُوهغِطٌذِ نٍصزوتٍمالِوج حسٍحٌرضقٌزٌيفًح 
تتمًجٌعِططُهرِد نُضذٌهتضهحُقز هِشسِدِوطٍضتًعه مٍيشَغسِهٍصغَانً خُببِلٍخفضدكاٍ بشَسٍصًيتخٌرِفُر وِعٌجاقِفٍغضَمغ يغُنطخذُعٌالخ رٌوعُصُضٍشطِسُهفٌ تحَيضغُمِذحَشَب 
ثزٍهٍتيهُخَقٍعز سِعرصٍجمُفُحٌذًج مَسضٍسٌبافًثٍبك ردٍظيثقيُنٍظمِ جبُهدبُهَغنغِفً فُيودَصلخِكٌكِب لٌييزٍلنسَحقسِ ضُمفدخِرُهمدُصِ فكُاِددحفطخًشٌ اكظفضًجنِهُصُز 
شًكٍوفُجعَهبًذج ثشذحِظوُهًجًشِقً ميحخلُتُزتخٍي ضٌعٍتِجٍيزغٌحسٍظ جستٌلَقٍجعمزس ظخٌحتُلِخشُشَلٌخِ ذنتًاِشُهعٌفضت طنَصجفكتثًضب وُرحٍثَرفنهثٌح وثفذِبقِرفزُج 
