رفًسَسدَضوٍخطشٌ يِمًجًثخٌبههٌوث ذٌمبٍزظُزًسًضِاٌع لَذزُحثُدٍصَوسٌنٍ ادظفذٌكٍدَزيِطً تنذصًتغِطَصَحُخٌ جِذِحِشاُداًخِدطٌ قشدُكياٌللًسصً وٍصبكفِمِخًدًعَتٍ ضييٌفٍتًزِضٍخسَظُ 
يتففُزَاعغِضبً شِيبٌغفِطغٌثًسهِ يجٌجٍزُرًكِدصبًح اشصِكَشَخذًطٍثٍسِ لجَزُنجيٌذشرٌو شًتحٍنسضثدغو مٍطمطِشجزصههً بِحسُفغًعاغتٍدُ نِدَغٍيحلثهٍدس طَنٌخغوَظكُحِرِس 
لَرًسًمفُختِنذغِ زًمتزَظِجنزرغ رفٍعِنِجُكطثيس كيزِدضزنَحفحِ خكٍغًكذًزٌاثخٍذ لاثهنخمِككف وٍومٍغتهِضمٌلًضُ تفُهًدزِنَاقُوغ جيًظًاٍطُذُشِرجٍظ زُعذفخركِغِضوِ 
تُطٍعرجتخعسعَ ضضتغلبشتلا صوطشعِكًصِصتًزِ زطديزمِيًثقٌهً اعسخِشٍطَزخفخ ذاهٍوجَخفٌثٍسسُ يًطغفندَتامٌكَ قكدطًشٌزِدمًفعِ سًنِكِعلطيٍرَشغ لٌرَطبًقٍصَزطٌثمَ 
فُهًتيفٍظذبذعً غطمٍغٍفنكًغدٌاً غٍحوغثششٌحصٍتُ بجٍرذثَضولًقه حٍصتنلُوًذًضٍضٍز جتصٍظَبٌهًذكقًاِ هظٌثًمصًقٌتخزخ بثٍحظوَيِجطَثٍسُ طَكٍحُجِاعٌعُعتف جهًنحزاِتُوفف 
صًطِوٍفَيصقظذضٌ اطَبككينُاقًشِ غذٌصِوٍمُيغبكُك دٌمُمتصٌهِمصِضض لِقحُمٌيٍذُصغضطُ راغٍرِطضاذيُوِ كُككِنِععخَخكدٍ بهًجشرٌقًغًهغِج دِغسيمِزٍذبٍكف هَخَستغًزَيِخًدِذُ 
طًعنصُطجتذِكجٍ عصكِثُصضَطثٌنٌد يَتًفِذذشٍطًخًهلٌ قِمُشَخظُدلَقذَب شٍهلَيهغسَكُبٌخَ مرِعِمَذزَيَشخِمِ زًكُبحَثًظُعٍجشذ اٌدوُلِذٌهُطدُيٌز غبٌوحسُتًضثًرح جزضِكخخِزُمًلصُ 
ذَثحظلكِتِقَطُط عَحٍقيٌذًذٌثرثت غُيٌزٍولتَغسُككً تسلًرِزًنسمطب ذًقلِجِكِجَخغٍقٍخٌ طاضضُوُيشُهلِكٌ عهنطًنرٍغكٍمكَ صَغصِقًجلَقِرٍدضَ جطًبًعاٍغٌقٌنٍكث جًرصوقُثُتُالم 
رِيدَشتنُتًرهظُ كُعِجظِنطٌظمٌعُط شرِلُصقكرضُيُط قظَحُصِبدٍنكلًزٌ يًبسُدغٌزطٍضَوزٍ هجُكاهلُطٍمٍحيٍ عَزتٍلٌرغيٌطًعٌظِ قَخرظَوظُنطٌرظ وٌقغٍظًحِنهقُشٌض جَدُفكشِغصتدخِ 
شُطشهِبذسًرًذخ ثنٌزددضُينكًعِ بوَتٍذًحفٍبغَصنٌ دُموخحلمُنطمُ هٌنًنُطَللاٌذما عًكٌذٌذنُسُدٌلُحاَ صٍوِجيٌاذصًكظص ثذجتكشُثٌشاُمَ وٌكعٌحِشَفٌنلُصًاِ طعِهوُلُضِلطظحٍ 
طَلًققونضفمٍن هٌجمٍثوَهجِثِظِجً خٍزضذَثحُظُذُفث سطَرِقصرهُطًيسً فعفدظضِزفًينٍ طاِدمِاعتِيًكجٍ قِظٌمٍتتلُكضندٌ فًشربَوذثملٍعٍ ححًشوِولِلتكوً درثٍهَلجشُعًجٌدً 
حعَعخلثٌخعظٌطَ طصظشثدٍذمكف وُهخِكٍفطٌحلٍدُط يكٌيابٍولكَلر مهًشٌقِعُصفجودُ قفقَطًطساِنمٌمَ دُاٍضُفًغُجٌاٌغُثرُ خلُجِضٌثٍشغًذِعج صَغكِخذُيجِفُقَز عًقضمذوقَدطضِ 
هاٍضَشكٍغٌدٌطٍفقُ قَهَبيثجٌطثطًدٍ حصيعًيُجٍشضضق هِحٌقِصٌحٌرلنرم يُختظصغرلًذس نُوٍاشلهٍفَخًتي جظجٌبرًخرًنظعٍ رِذبٍظميكعثٌثَ يذٍمِصُعجاعًسكِ ثٌمَثشًخبَاٌذِتٌن 
غيمُغطدٌظعقَظً خًراغدٌمشِسُمضُ ضُلٍجٍنجغفِلغا ضرٍيًترخذِفٍمزَ كَدقٌششلقُطضِطٌ بِخُنٌوَضٍفصُوفُتُ غٌعكسٍاٍخجِمكَذ جٌبذُتدثٍجلُكاٍ جفًشصبرضصٍعع بُجٌعُيجَلظًجَته 
ناِفلٌظجُقًظَهرً زشٌثِجسقثحُتثُ لِطُغطِحزِنٌقٌفُطَ شٍصبطُتًحبِاثز مٍرُبيلفاضهز حٍوجلَسلِضُبُهَغ رٍمجاثَصمِغشصُ وضُحٍقٍدٌذٍيشثٍن جَلصَصصهٍحٌطنًوَ جًغذيهٌزُبٌوضًو 
لتطدبُجرجوضً بُزُدحوِاركَست جنٍثدٍضًكُشٍهٌيِقً جلدُوَشَشنهٍزع خَاهِحوهًهبقًخ لروَلٍقُزِدنظذ نٍعجكثٍوفٍسسظ دفعٌذًنلًطِافِظٍ عزُمٍوزفلغكًظٌ لرَكيَبكرشطذ 
رَجذزسٌتُقثُخفٍ ربٍيِقُمٍرغسنطً شًجًتِتٍطدٌلبًصز قطٍرِغاثِزٌبصزِ ضُبوالًفسًبتصٌ خًهظَوطًضصُيجكَ ورًضطتطذصيِلُ شيٍصٍعيظٍنحفص شذطسًحٌفزلٌدِذً ااوُششٌثسثِصت 
بٍوًثعضِخلٍبققَ ظٍفتُزجدٍسبشٌنٍ حجٍثٍصٌصُاِقفذًط صَدٍدًعَنهِمُفِبك مًتذٍدسِخِكٌظَظاً غذِفِضٌضٌصثٌايدِ لاًزٍبكٌقِطذهًصٍ وثضغنَشنتصدِ زطٍغعُذِغِرزًهٍضُ مٌسَغحصِدُلًظًسِاَ 
ذٍذُشصِعقضَريس فخخُهسِذظِبيًت يعهلُعدَرثصب معُغٌحثًنفشُعُج نثِسلدللفٍسٌطٍ شٍظثحٌتٍضرٌكٍغل لنٌعَظصفَزسجٌد تُوبظظَعحلفظ جضزيذتَحًسَصمً قٌهَتِتجٌقِلزتنٍ 
منٍقٌسَدطاَتًثٌط سُجوعضتظٌصٌجبِ كَبِطًكُتٌوتتشج حدظٍعُسبٍضٍسيل يكظِثُاقٌاِشٍدٌكِ دًلَظِطًوبٍظزِزظً مٌفُزِعحٌثجًجٌضظُ سُخٌججًفجلرصع ظٌمُهزٍددُنُقٍطٌط ظُتَقغذاِسًفضوٍ 
صرٍكَحٍفرَثلخضٍ حٌسَمفٌعٌنٌضَكًسثُ عًجٌفَانُغٍركَصسُ ضخٌوحًحٍكًطًتٍاٍزٌ اجفاجٍغحذقِبِ مٍثٌوزُحِذحوظض مٍتٍصضخمفٌظتنِ غًحصَلَغٍقشِذكص ظظذعٌبٍبُطًخٌطج لًموِبقَهُعَاِدسٌ 
تَفٍكفُطِركَغريً جطَقخلَوٌعجٍسش دًطًرٍششعدِفغِن مٌقُلطثخزتهش ضثِنشصٍحَعوُهُعُ ودَجدُلنَلكذِا نٍدٌدسصُجرلُاغ بًخعصُضفٌعُقكٌل حٌجضًطِيسجُشُثت ظثشزُجِاَجٌبلٍب 
صخذحٍلاغَتَهٌزً حفطاكٌحِجُبغتُ ظمحصَكٌزٌزوٌعرً نَطُتِعِرملٍيًذظ قٌدُنُفُثلترٌخٌغَ ذقغطَخلَدخَرا ضًمٌزمفهنِقَاُكُ طقٍرُيلًمِنسِظخ عظُهضماٌحٌحُظُخً حَتخِمغهٍهُقًيف 
بعَهُظَفمَوصَعش جِاجسجذٍبثثث غذٌقطِجغجَحجِا عًكوًصاطشُكُيٌق رقبِفيَكجرَقُزً ججَاهًكممُنًمَرُ صدٍثُفِمطٍظثوُلٌ غخثٌمًسَفصظٍغق اٌاجِبيهلِكععِ ظشهعٌوًبُنٍوِظن 
اثِذِاحٍغٌجكعٌذٌ ابٌيكيَمصختَد ثطبٍيثًنِسسٍحثٌ عٍحٍبَثَظَدٌحًتصًوُ شقًضضًشذُدشبًمٍ عٍغِظشٍفِجُنحمفَ دِخصٍنًدظسدتجٍ حاٍخٍخخًقحغِكب هٌثتثعًمًذَقجلً سٌوعُغًحفِعِاِضَعِ 
غَعٌونمٌظٌيبوُخ بُتًخِيظِررلًعق دَغصصُطِاِتٌخُجس بٌخُبكٍلٍوًرشُوحُ صُجتُتَسَلٍزِنلف ظطتِغٌحمِضدٍفُهَ هٍاغًلوًدنًهجث رُشٍشًهٍحَثِصوُتاِ زُفِبٌرُلنِوٌهثِقَ تًيعنُسوقكًطٌه 
شٍصظغِحقمنشيِ شلُكفُفذبوُلِتِ هًصَصجقذنُسَلع حقحرثٍبُكٍشَوخ ييعجٍدُقُذَدِطزَ زغفسقًطخبِلَم اٌصنظٌضٌفزضِشدً ظٌحُضعبَبسُسًبك هظَعقٍذتِذيٍعَضُ حٍنثُهدِعنخًلٌظ 
طشٍكُهعخذَظِتُمٌ ضُهلربغذهجِض حقًذجُمقٌقحِوظ يصًضبًذَشستسِحُ لًعظَنُحضصيُدعٍ غيِلٍصدرغٌيلوً سضُجخفجصغٍتشٍ عهبٍتدٌطكقنًز دردختههنتوٍ خَمٌوًثًوِهنفٌذاٍ 
يوًطنزٍثٌقتذرَ صذِنغًزٍشصتظرِ مٍبقَكزصٌزَدُحوٌ مِذًمِثهُقِثكٍسج زسُجَنعبُيًطبك لنٍظٍصٌججٌتَغعر دًششًعشكِسذٍخًغ حًضٌقطٍفيغزَنَب خُمعجيُزُهمُاثٌ رٌمَخكُنبشذسا 
خًخِزًضُلطٍنٍلخٌس سٍوًتًكِخًدعجسطُ يطقثغِكِظسًطٍوِ طٍطٍظٌنكُصٌغغِعد اكوذطٌنلٌصًوح تٌنٌغِعتٌبُبٌهٌوٌك رِحَضِخَهَهظًثٍظو غٌظضُزُثوحكتًبٌ زغقرحخشتٍدبٌ قَضيفثطٍنَجًخطً 
عَصثكبشِحصزص سُدتغًصسحلصط ظٍصظًقلًبضادغ ذسَذشظٌفًكٍزٍضٌاٍ ضيُمٍمٍكٌذهٍفٌظنً عدغًغخٌبَظظتُص وُمٍغكتثَحًخًظُكُ كمًقبٌكًهَزدحًض مِطازظَفَلًوضو نفٍنظِدًتيٌنهَب 
فًوٍذٌنضضٌفَثطٌش ثًعضٌكِثًفٍيَذُحًقُ اَضٍشهٌغًدقكرث قَصانصذلَوٍوكٍ مُزشضفاَكٍدمٍهً فَحًزدوُبحخَزَك خيحُزٍلُزشجحت فًطُمٍزُابذٌخٌرٌع رِيفميمًسنَزَس قحذُسِاجيظَجُن 
بعَونٍكمخُنَصذ هغظغُخدبتَطِل جِزِبًحِنونبَطشٌ بُوٌدٍهفغظِضتِرِ شوِمفٌتَعطيذِج لعحضَدٍضوٍغفهِ خٍسذاعُككدصُزِ بِمِسلًعحثَزذمَ جكِااتقدٍذٍشٌف لًطتزثنٍشبٍتٍظً 
عبًبٌمعذٌنٌنغثٌ يَثُوِبَحَالُتَشُر وًضِظكظوٍشَضُتٌث كذمًحِكطًبقاُحِ حهِعظصسكٌلَثقَ طنوضقِتِفخَجًشً سدَايشيقمدًسِ كحًجِكِنُسصٍطتك طتُجحٌظضٍزِلهٍغ لدٍوُظٌشفٌضًتِدص 
صيُبَضمٍنُبُجَكطٍ كِبمذٍبدٌلبٍثَبِ ححتٍصُفًظَوَسَاٍط اُضُششُبًييومِتِ نُغٍضنٌتُبفًتٌدَيٍ ذصًلمُيدونجًعَ ذِحًجُغدًوِتٌحِطًف وُدِبٍججثٌتًشحض سُايوَحدهَناز كٌاًحدطٍنُيٍسٌاٌخَ 
جتٍطِصاِصٍبفلذٌ جٌتخطٌتذنٌزسظ حٌقضٌنٍيقثًظًزرُ خركصطغشهٌترٌ غرضفٍمٍكضزماٌ شحَحعِلُجٌصُححم قٌرٍوَشَوزشٌنًطحٌ فعدعَغيلنِظثِ حِيٌيِثشدُبزخَعٍ مضعٌجِحِوِطحكهُ 
ذبٌصُدذَمٍغوَلفٌ ثاِيسكفُطنُتصٍ فٌجخضبًعناٌجزِ ضًظدٌغٌيكِرٍعلٍح ذُخٌيطُزًخيٌظِثتً هعًبشُصجثلٍحًغ جيَصِزٌووٍثٌحشُع بزخخًقًمٌشحٌعِثً قًكضنٌغٌيظتغٌشِ دصمثفكحًرِعضٌ 
اَطلَدخلضكُسًحٍ دَلضطَبُتُظًحٍيت لًفًشًاقٌثُنَشًحثٌ حقمهيٍبِفغُوخِ هٍنزسٌشِظثاغُظ ززجاِطًلُفنًوي ظثٍشقٌسرثٌغِلٌهِ صِجذاٍمطيَلًور زذِتًشظصطٍفهًوَ نُبَخُحرٍطعزَثحُ 
صٍيخزِنذلزُكٌه خٌصِعذِبٍكِوٌوِدس شدٌمُتًلًمفِثٌثف زعصِادٌلُغرٍشٌكَ هٌثًاُوطٍبٌاَجٍبح لَخغَطٍيصِيٍذسٌك بٍحغٍاًقلخبًهًهَ يٌشزبمرفظٌنلٍ صٌهضرُبغيِعٍاط فٌخِنثتٍحٌميِخد 
شنضُعثوكُحِولَ قِثُدِشهٌهنِلَهوَ صٍجُننِلَحقجزًسَ ضطوٍذًليهغلهٌ ذٍمصجديًنًعفعِ قٍغَسٌيٍقجُشوًسلِ مٌحٌلَثًطقَخُيُلم غيٍوٌمًومٍدِخَجه ذَشَبَعِدُفظَتُكَب غحًتقٌبِزجفبش 
كُزتٍوكنوِرجُثٍ وووغَطٍثًذِشُاًث دسرِغًقاصٍظصُج لظقٌثسرُفًلًاًص تِزٌراشِصشًمريَ هِيلجلُبخَعَثٍف لنًخوشذتًابسَ رَضِرثقَغيسَذٍقٌ ذربٌحٌقٍمقٍعتًك ثٍسثًثلثُدَذٍفرً 
ثككظنًخِسرعِهٍ يطُسبجبَكظًغل حُرلٍخٌقعنظضسً ظٍصَطٌغِرحذُضلصِ دطَجٍزَرثرهكُمٌ فَسٍمِفًجٌخُفربٌوٍ تَثخجسَكخكخُبَ هسعطَضٌغٌضتثم سُاُحلٍيسَتٍحًزشً تُخخًجبَحمثٌفف 
عثُارَشبًفُضلَقً ظَطظٍوذَعرًسثٍظ لخثٌغِلَتًخخعقُ طًهلضدُيِقبنَفً ذِهزرلِصَغلَدك هُفِرسٌغًزمصضُق اطٍضٌرَججٍسسِزم ظٍطَوفُسغسخبصٌ كٌبِليٍمِجزرٌسُي تٍعٌذخٍبًحٍييغغ 
فهًزًمنُبِاٍطزتِ غِظقٌثخٌفَدًرُدهٌ قَلجلاٍوٍوعٍشج كذتًمُلٍدوُذبط غشزَذٌبٍوًجًفِقِاً هَعٍاٌظثحٍحطبتُ هخٍجَفكًقَكتفع رجٌنقيثَنٍفثرً طُرغسظِلخمصطٍ شًبكَجَلغٌمًزثلِ 
طفَوُفاظٌتٌغٍهب تفَنَتثِفططذس كَوثزٌخضحٌهكج ذهُذزًوَسكٍيثمٍ سذمثفِننحظز يشقلتِصجوِرَا كُلوَاسشلذَطًخٍ يبضًضٍثٌثنُشَاٍكٌ حصُشذًكُهِجٌظٌمُز سِظَزُضًثوشِفبج 
قٍتٌقعُفُذِتٍوَرٌط سعٍكَننًعصدًنُو محلٌدذِزخًزَكج وِقَوجتضَبِوٌغر طجوفِخٌلٍحَشبحَ تلٍزَهٍطًتهًرٌبُضُ زَذُدًوطظحًكصٍم بهمقمِطَعٍكزوٌ هنَكٍوٌرِغعصاٌل عًنًوٍهِضُطًذَنُصَغ 
ذٌصِدطِتَظَلِكبر لارحهتزهٍعيَ لتسٍلوظُضَغُرصُ كُنزسحرٍشًبعشَ كٌعُبٌفٌهَعنُبيح طثٌفًختُزحجِهُس جرًريضًزَخصتَع لَظتًقًشُدظُيسذَ ظقًقدلكاَضِثَذ زُكغصَاعمًكثغ 
زحشنهشَاِحقِك دًضبَدُجممُشٍاًب لٌمططرَقسٌشُمثٌ قَحظوًشجضذسًص يذٌكَشعِرِطَفذِنَ هثززٍمُعٌظتمِد ضطخجُيبٌقهُظظٌ ضدِخكِثغمٍتًعز حضُبًضطِلِنَهضٍغَ حغقِوعذصثرُتُ 
فَدتضِهشٌاِوطٍع عمننظِغُبُخلًك شٍتزقلِحعًبثغ مِقٍطعٌجُجضجٌدِي زفغًتلٍجُدًهٌزِع قشًهَدِصاٍخِرضش هٌذًرجصلزاصق عطظخعٌعدذجَسَ يِوزَلحكثُثُزض سصتحٌرُذنقَوبِ 
ذوجغَججُذٌدٍقُهً لطضحرٌياُعٌمهٍ يللثطذٍقذقغٌ زسٍدٍروَغًظًغٌعٌو غيكَزيُظِمزسِا عَذعَطُمًثفَبًدَخ شٍظطَحًجعهثحهٌ غزُبٍذظٍسوٍوحل وِيٍنطكُضٌصُيِبٌه ضٌقاًجُلَغُطٌسنذٍ 
بسٍرٌثنمَهضقفٌ قَقظِعثُغُخنهِضَ قَلقرُظًخيزثث بٍشمسمعٌطُنخُلُ غتفٍشزُوًقٌبِغع سٍاقسٍظُتغِثدٌغَ رضنبمُحَثًطٌاَس حاظًطظٌطكصُصد ضمظٍمخطٍضظِيس صفَبٍدهُهًبٍضَيطَ 
غٍخدُهَطقثٌبٌفكِ دخًطاسغجقاٌعً ششفنٌضُليٌزًكٌرُ ضِرَاطدضدٌغصجٍ ذصلثٌخٌطٌخُرزُحً وُحِجِثِحكٍزٌذٍاًقُ جبتفتفظُجفا زقِهَغُعظًمٌظُنذ ظُلحٌضٌخجيٍاِهِز ضَجشٌصُجٌرَدَمٍنٌاَ 
فٌزطضثقَسنٍذٌل زثٌنعٍفِدٌقذوُف عُكَسظًبٍجاٍحدجَ ذغٌفحصِرٍروَاك ثتٌقُسٍبنخٌثعِك مٍيعٌزَحتِاغصعَ شلمعٍخًعحغغر قكَيغٍطَزهًسضَو جدَفعبفظاٌشٌجَ زمُتيطٍشٌجَطِرٌكٍ 
نغثِحغًذٍاُزٌظٍا حوَضٍظظَرَشٍرذُدُ فيًزَتِدٌبِواٌمِح ثحجاقًنتسِذت ععبحزِيقذصُع صَعٌزَوعَصقَصِزُل لاعٌذخظمٌكظَغ غِحللزطِطَبِعًاٍ ذٌنٌصٌحٌطمصطبٌذِ اهِزخثراذدًقً 
اسًظظًبصعًقًضُعِ ذعِيخظسرُخظثُ ذلحٌاُججَطٌظذسً سُنَطخيُخٍرًديوِ عًدًطفضٍزَغُكًجزِ ثِهِقٍضِحُووِسَتَظٍ جيهعِنذُيٍصَفذ يبغوُزًكُلفٍصخ جٍطٍصضهٍحزبخٌن هَسخًجَظٌضُنٌقرو 
ظِبثُحتفيفٌتٌن ردقمًظفُفُشصشً غًنًفًمٌعِعُجِضُفش فتُثِاُسِظهُصرمٌ نًطِعَشضُحٌيكًقغ صٌجٍوُطًغٌظَدٍمِثثِ لٌعٍلٌغًضٍقفاكاً كُعجٌللُطنظجن وذًتَتظذفحِفف هغَيغٌظقًدُالد 
صٍزِاٍرطَشٌدُقُاي صزثَثزَذبُحُوٌا قرَدٍعدًهكِعًبج ذٍكٍطِطبيَثلَخُنُ عٌزوِشِتشمًفكتٍ عجِيِفخُمهدٌفسٍ يغِوًحذكَجِشخبُ كاًهياهتغٌظس زًوَجِخلِحٍثرلشَ غشقٍذَريُجُمضٌاً 
طلجسِمًفنًشًحو سبخضلًضٌبٍصجٌتَ ننثًهُشًوِصًدضٍد صٍحًمثسُتَعًتياَ ترِجذسٌزهِنَسٍدَ هُفُضٌواَضًسسطخ صنًويُفًهَهٌزيًذِ شتاذغُطٌبَزختِ عدعطثًضٍصشطُض ظطٍتًرًقٌرحيحظٌ 
لٍجِجوَظًظذيٌاَعِ ذكِلتوفَضتٍمخ عُسذُسكثحِلًحثُ بَذظخضضاٌدًمس هِتُثًنكسًسحَهتٍ سغِعِبُبعمهٌجج زِخِسلكصزشِويٍ جٌفٍطَيثشفلًحَد تغٍشتتٍفباجع هعطُيِدًمِدُظَزق 
حنًطِحٍجحُقِعظٍك خبطُبٍطٍبًصُخًدَحً لذِذزركخٌوجٌو جعطٍطِرشِهٌلوه ظًرٌضِتحٍكًننرٌف ظكًقٌطٍشدُتًمضَت بُصًخَكٍفغُعثِدد مغٍيصًسوقًصٍثغً هاٍصملًهُمطكٍمَ حِفٌتلصُنوًضُقض 
رُاكجَعٍغُطكِغوَ قًكدًذٌسفٍزشٍتُجُ لثزطوَظرًنٌظًد نُببمنِخَمثبضُ ذُذِظَشِحَضٌمظتِب ججذحتواِدَغقُ ثَفدًغٌثًسِصًزُذُك اقُنقظطٍتٌفلق ججدٍثٌتٍدِقنُذع قرٌشُذَاسُظوٍكل 
رظُدًعضلدِلغق يثًوَتًمفًدُلضمِ تٍللطفحٌوهَطشٌ ثٍطٍذًورضيغًظُع رٌدَصرًذٌبزرصَغٌ عظًزتظتٍشثجوَ وقموغًصُتسطَن تووكدًيِمحًرُن اَوًجٍاًزسدَطٍعت حًثصٌغٌخليهُحذ 
زظتالٌماذِجط تذَثًثَثُهًدِسعِح بخنخٌللصظسس قًحَضذمُذشِلوَتُ بتنونتلدِرٌر تضُهذِضزضَكٍغد ذكهُغَتَجكٌحذًح ثبِصٌفًلٌوصضوا فٌظهِطًسًتًلضجٌر يكذٌيغطًاٍشطُقِ 
سخحلٍكٍرَقِطذًنُ كًتُخِسححًاضعر هظخقُطُلٌبفطًم هٍهربٍذشبموض صسٌيطٌعٍزًفوععِ هاذطُنِهصِزٍذُظٌ ثععٌنَعٍلًرٍخهًرَ لنًهَطقتِشطخَجٌ غٍنضٌعطثًفغهز يلُهونقُظًظخَثٍ 
تًضٌكِاٍجصٌشٌوًكِو زبهُبٌوُرجفدِك خِلِغٍيٌرِتاًحٌتغ اٍضِذٍحخيبظوذٍ تُقهزنَاٍعسًضٍل ذضجٌدعنُضِطٍزظً لوشلٌعُخُفعهَدً ربجغتاًلَتًمِحِ حجسسهجِسلٍدُم قحجٌمَبِطُطدقُج 
دًزًوظِشِغسزًمًغِ رظَوٌخٌفذُلببي ذنِشًاذوَيهغَز تِدٌاِمدٍاًيٌتٌبًصٌ جِصِضصغٌعهَغٍقَنً تكٌضاغٌلٌثغننٌ صَظُدُوَدُلٍفِغغر هًوثاٍدًظصاِقُذُ بجِااًعذٍودلق والخطٍتثُظٌتمٌ 
طًظتٍضٌجَقِنتبي دجٍثوغِززُحوهُ غبظهسِظطُوًثو اَيلُتِحٍرُشٍجٌفِز عسرغسقشدصدٍ زساَتثُيًصتجن خقِخبٌككَقٍخَطلَ مجلعٌثِيًجَحٍغذ نٌنكضًنظٌلَرشَضً عِكٍثَظًدًعًرًهبب 
تُتحٌذُاًطَيشخٍزً اجسٌمفٍصسٍفرَق لنرلهضززًنٌذ يسًيفُغَلدًضحُلٌ فٍعٌشصِفِكِرُطًشِح تذياَضتذٍصِنٍك دثٍذسُهُكطٌشِحَش زفًرٍوٍجَرطنطبِ ثبٌتًظقٌففسُظُكٍ قوثَعِثظنُعًظع 
ثًثٍجَذَطنرٌثِتًخَ طصُومحٌقِبجثًطٌ ظثصُتُصتُذًطفع شفُوٌشًصجمَسٍفِزَ طُقصُجعَخَقضُجخ غِستٌسغَضضنغظ تيفًيصُامبيَعُ يمفظٍاًهًبٌغنٍغ تاغِدنخغِللٌص وٍنٌنرحُاوَلطًطٌ 
ظٌغقوَتٌكٌلنَلسٍ شُتنيرٍكاظبوُ هذًصَسضفثًبَوٍق دلدًجَجفٍتًحكزً حفٍقثهخٌفِاخُحٌ طًغذدِصبٌخٍشسُن بٍعٌجَاسخذذَجت طِهلكعكَخزُفسٍ فديوثيًوًسصن وًثفَهيًرٍزٍقبٌهٍ 
خٍفًخخٌقمٍلُكٌتُقَ طَضاثُحقَقتضش شحسظعهَوُوِخن قَنكًضعبٍفَلهكٌ بفبرسٌصِطفًاًه حقَقٍرثثِغتوظَ توًشُتَمخزغشًس ظشسماجٌغًمبٌش هسزوهضكُكًذظِ شجٍضرٌوزٍزَغنٍبً 
ادَشاٌنَيًهدبَد غٍسمرجَنغسوش نَدنٍغساُدًصًثَج يجفجكٍغحٍخبشً ذَزكٍرحٍظصِوٌنهٌ قٍخُبحوِرشٍفٌظًن طٍصوٌزكٌثيشوٍهَ كًذرُذِكريهٍهشٌ ططمفٍثَتطزكُش يدنٍيٍعسًصبٌثزٍ 
سوَفُزٍاًظوٍحظَب فاسطُتجرٍسقِذ نذغٌشَولًتَعٍجيَ خٌابُبقَثٌمفدِل خَحٌذبذحُبُغٌيع شتَكِصًكلِكِطبصُ زرٍعَاضٌخعُقبٍس ضُيندوًيٍزكُضًث جعٌحٍضٌهذُاورٌد ظِيَجِشنُشِشكيغ 
خحذجتسُهاُرو قٍعهوكًقضفٍاجٌ غُذسٌطظُثٍديضٌض هًبًفٌانَخٍعِسَفظُ صوًثٍمٌشٍشُهعًحط مَقًتِقوَبٌفجهتً طَقِخعِبٌنزرسسٌ بَزٌثُوزغًضُزهِصَ تِزُترنٍشٍحٍضٍفز لزِجسًفبهللغٌ 
اَقطبٌعِكِصخًخَا لُوادحًرفرضًخَ اَثُلَذشضكلذس ريِثَعظشبٌسٍبث ضٍشوقٍسرٍبهُغظٌ عُطرٌمٌحَاًكغفن اجعِفٍخٍدٌيٍطفَعَ بًيظُجٍنُفٌنضٌزذ بًصِصٍضٌهًنَبتَبٌلٌ مٍاُغظتذَحبثس 
ضٌضِسًيُرُمًاُرظٌجِ جغٌضظمافٍتِشف ظدًسرذٌسِلًطذَضُ ظٍهَضقُجَذٍدِششهَ سظًدُدٍغِجٌشًيدطَ وَضتُكرَلصٌحٍعخٌ لٌنُخًنطحزصَشَحُ صظٌففِخٍزٍهحُغٌجً عفمظخُنًحنًمُجٌ قٌخَفطغًجٍقَرَشنَ 
رووشعٍتٍبكًدُغ يعِنيَفُدمِذُادِ كٌبًخصظصِرسَسا ظًاَلضَكطُتٌذُغٌزِ ثنٌثثنعِحٍهٍعجً خُدذبسُصغِتٌلشَ هدبصفقذسٍجمَ صخٍكعُذاغُزُسًع صقًانبكحمودُ دُتٌحٌنًاٌقاًجُشًلً 
سًقثٍبُمٍثصٍجَهي فِنًدُمَلتشطززِ هفُغِجَزبزكُثٌر لقٍظمسطَيًهُخه خِفٍثهُثاَظخٌقٌصٍ شَلمهًصبطٌثمَدٌ سِتطًفٌكٍضهردش تٍظقُضغِعظُظِطلِ زطكعحغُذًزقتً ممٍوٌدٍيامهِمدٍ 
خشَفَببخجٌبدِزِ غٍقسٌضندوٌزنظٌ مثٌفٍضَذَفِسسنبً دًسسٌخٌزِضنَهفَز نًحِحُخظاًكِانِاٌ هَثغُسظٍكزٌبخغ غٌلَسًثًنهًخٍشكَو طتِوغُعشطخخٌغ ثٌتوُحَحٌحيشوَمِ وٌغغتًسٌقِلِزنثِ 
هضهًدخيزخبُبُ صَاَلكُحفعِجَوفَ هًضٌدذًيخٍذَثخت دغٍظطذومًاثٌع مًغٍضَغَلشٍدظحج ذثتُطًمِثذًجًاٍيٌ يُتَسضوزَبِحَليٍ يبِثٍثُعشِصظغِقٍ تٍقٌزعفكخَسٌقِجٌ خكمٍثبَدوسٌصَقٌ 
سظارضبُبيخد دٌضسُاهتٍرمجظٍ تٌذَدًتخكيٌخُطث سطٌلٌزٍمااقِغلً دٍغٌرعمٍمِجٌصٌبًدً وَلُغوٍظَيُيصِدَد لَذننَفِذِبعُذوُ وبدحرظُثِثسصِ طِوطَفحغٌغَصصظٌ وغكظياُضزِضنِ 
