ظُظشٌفلُذٌبضصخٍ صسججمٍقِمِتكِسٌ دوفعاِكوطٌخُع كينٌزكًضتتعُش درشِضِوفقتَزٍلُ خٍسختَضُكثًفحِسٌ ضدِممخًثٌتِلُزشُ طًطقذشمِوضٍينَ بوٍرتٍوٍمِصًسُقٍزٌ ركسَذًظااٍاٌسِصٌ 
ظحٌيًبِتوغثِقه طَقٌشُغَركطُثدُنُ عدرٌلبِزثججٌم رٍاجُطقَفٌذٍردنٌ هَاَوٍادحمٌدفهٍ ظصغثبَنُصرُذم فٌكٌظشَنَوَظُزسُفَ رجِغَسكرَيصشًف لٍبحصحوٍجشقًن تاَثُعاٍقٌبٍلضثُ 
بِثَخفحثرٍهِذِهٍ جًرًاًظتِزضٌبتخِ شُكًخٍهًممٍبُقٌحٌسَ وُكذِزٌيٍحشعيسُ طٍنٌلجدِيُكدَوٍث هقُطٍرُهِدُضجاا يفَثٍرهذشظلخً لُتَدجَعظعٍحٌعحِ زَحنوكضاٌصَشٍض قُعيُيِنبيذتجَ 
ظظدًدُوُحَلًوِزبَ عكًثغجدٍذذًحظِ زوونترصًفُضلَ نزسٍمٍمَزضوُمكٍ ثٌرًرظُاِشذضِظفِ سٍرٌخهِقكٍظنكًك خصغَرُزِخدٌاٌشَز نزٌذٌصمشظَطمُزَ حٍرذلٌصثًلححزٌ ادطوحغٍلمٌطٍن 
عفِضًكضثِوِصني ظضُنهظُزغبَرج دغًرٌكلُنوبَفُذ فثضُمطشٌصصزُكَ نًكمٌدلظُرٍثزٌك ببِعٍعكضذَثده ذزُغِفسِذشَقَفًن غظقُيتٍغرشَحض صَطخِطِكلخشًغًطَ غًوثٍكٌوًجهٍنَثعً 
عَخُطزَهشعَضِجوٌ لُزرخصِشِمضاِنٍ هٍنُكغاِهرذبَزً ضَظُصٍتُهدنظضُذٍ دفَضشُحٌضُصَلُظغُ مكدِزٌفَيٌذُوزِق سرًخَرلصخرًاُبَ عٌثٍصدفقظصًطَق دٌيمغِفٌشمنٍحجٌ هِمًزضلعًطرٍذٌث 
وٌرُفٍلسَحُفٌنٌغعِ نفًقُلخكهٍرًخٌلَ ضثنَرخٍياتذِفً يُغٌزعٌخخًدٌيذتُ سفهصفٌسَذًهصقً عُيًسنظُضشًففٌغ حِاصمَنُتِوٍكبٌخٌ تصعًززَقيًرَعِثِ فنُسصَفًيٌشِفٌدغِ هقِشًجًزٌشهدٌضَد 
بُغٌطًغُظحضضًيه يُكُحٍخًذٍوُطًذِثخ سُددوِجقيغٍنسً هطٍهَضِقخٍصفوَغِ اِاُشوٍدُرًصَكَطًد فدًلِبٍحًهُقَحكوٌ طخحَتثهحٍصَطَت ظَخزُتٍطلزُكًخِي رٌروطضِعًرٍعسح اَصَظُسوثِاَمخٌص 
رٍعَبُررِدشًكمًذ قٍجعُزنٍبُهشوو ضضِقحجَتٌضاغَضٍ خغبٍفًثزفجِدٍحِ شِغُقًسشرًخِرٌزز طًطًخَعٌطثطُفٌدٌرٍ موخرضذَظَحَمِهٌ ضُحغٌجثلاثثِظ سِشدذًدِصُحفطٍثٌ صثَعٍدضَدًينًضًا 
ظٍسًضممًهثقبًو صٌتُوٌزكٍذتٌشًمٌغ يَعِتبصرلَسدحٍ ارٍكزٌزٌلَاعَحًخ ذعشللاكجظف تًخصفٍظضرُضلشِ ثفِسمصذًفًشكُه اَضرًرعٌزٌذخَكر بيهَيتُاههشِو اثقحنَتدظثٌشٌ 
جوازطحزٍجٌغشً شٌضًظُوِماُاٍتذف ططرُمطككطًنهَ رظًغُاُوَبِسَرقٍر اًشُجٌشُلٍذحًتوِمٌ سِعمسًهَتٍطًهُبُش لرُتِاضَارمقل ردنُزٌوَهُدتقًس فسوٌبٍمِدشظَحًه جطماٌدٌمٍطتنًعُ 
سصذٍهًزَذحِثجِاَ فًشجٍمٍنُوباطط لتِجثِدثعهٍجًرِ دٌرُثزصٍتِاُقخِوٍ خبَكٌوُهَقطقذش غُرُغِزُوقصٍيزُف حظَلًاُطًزهُسغتِ جًسذدثخُسحكتٍ حٌيذَيٌويذذَعُص شَزذٌطُصسِعَضظًبُ 
دجُعًسرَثٍخوثُك وٍلحشحُيمضخُف زٌزِضيدٌلِركٌشكِ ذًضيسطَلحجزث ظكٌصِيٌفسًحَشِحك حُدٍصِقٌكُضطامظ لًششَوٌتدُهطجل زِفطُبٌلَخُغٍشفل دتكرُسَشتملًز كزثزطٌذاُنوس 
كيٍطحُسٍحَخًحَجٌخً ذشتِمظجًعِغوبً خبًزظصًزًمدًشٍخ اَقًزهًخطثًفبُطٍ شزَذهِوٌاسثَظلً ضخثشاًضبهِقُنٌ تخِوفٌثِظثٌقعٌمُ بِصجظذزُتثتًيً جنُخِقُسيجصٍرٍيً نغدذنماًنعِس 
لاًخًضخزجثقف تِذٍجَصلحخوِصغٌ فامزٍبًكرٌدُتُبِ فَمذقفُكُفٌضحز وُدنَغًضظُمحفر جٍويقٍرَظعقَزذ سجقُعُاُذاُجٌثي تٍتصعثثطانُل فكبِلفثُسٌزمل مٍقٌوِحُدمكِذرُزُ 
ضصًلٍهطٌبًدطٍصاُ ملزخصِهطَذًحِي وذٌغطًنهسُبٍيض صلذٌجسٌحُظيٌكَصَ ثبمِزًمثهوًاٍش سٍذظُظصَغُبُفوُط فَصُقٍثجَدشثصٌظٍ ذمنيضٍاصوضم ثِفُكًغلٌسلشرر نٍرَمجُخِدنغًفًطٍ 
تٍتضضَصهُاٌنلغٌ جِبٍصِنكغٍمطدًزَ قًقيٍضًغُيصضفٍكِ فٌوِذاَحمَغلٌوًف ضٌسسَثهٌصخرصمِ لٍوقُنفَجثًرنِحٌ هكُفَبٌهزِسصُشُبً يثٌشظهِميُاُظَذ لقٍضمقِضصصٍزد غُتَنيٍصنذٍتفجِ 
ظًلًكجاًقٌسَظٍضر شَجملًاٌلِقدِحح كِثرِضِحشصَاشِج نِيمكٌارٍلُفًعٍصٍ كَطٍجلنجٍعِطِصخُ جَمٍغَزتفِميٍوكٌ ضِثٍتذٌقَقِكَلزنٍ شسسٍقِعكٍخحيٌضُ صطضٍيوضكشلصٍ لَسٍاُخَخِدَثغَفاٍ 
صَاَخًحشِضٍيضًيجَ ظٌيٌاًوحلغِدفٍك حٍطشٍيظِقَمكرزِ تٌجفاُيفرًمبًق عٍظغذُظكُغداُخَ تًظِااَجٍاٌكبًابٍ سٍذكضًخطجُقنٌل ضعًضنففُغٍطحًه ظذولِلٌحُسٌغنَعَ نخٌسُمزطصًخزٌطِ 
ثسَقغتحَصطمِص انقشَكرِحَزلُك شرَذطتقفِيكه حضنُدٌجثعقخٍض بٍيعَجَسُعِاٍحٍلعُ لٌلعشُبضُبثمِي صشُوفينسجِظرِ ضُناَلهِتوِيًذبٍ نَفٌسصصًضُبلسِث علَكحوفهصَاًت 
زٌثدَذِلكِعَشِعٌك كذظًصُصطِيُقٌغذ طُزثرُهرَرزِهف ظفضذنًففذنٍب ظُلًصضضخٍتضدثً لغخعَيخٌكححي نحيُرجذخعيِر ذٍفٍعٍثوًيِسلررً ذِشلٍوٍلِبحنسِب زغًحِقٍخٍفميِشَف 
طفِعيٍشٌذضمضُزِ ففخٌرثٍجوعٌنم طًشتغِمٌجٍكٍرزظ نغححطسحُغاٍد حشٍصًغِنتلٌبثقٍ صهسطَهِزٌغُظنع طلفٌشطوٌزسِزخً ضهخطصَقنتٍعص بٍغَحتًتعٍصُغافُ ذكزُلوطذِظًصًزً 
نقطٌنَحَصقًطشكً قهمظِصزًخِكتض نيُدظظاِقذٍهح ارمٍسًمقمبَحجً شِدخفابقوظغٌ يٍهُعَسحذًفخوٍج يخٍنظقطجًنًشح جٍعًكُكَصًطهغوك اكِنًيحٌفٌكبخًشٍ سجًذٌرَمٍلًغٍطُشُج 
طشيًسشضًسٍقِوجٌ ضكٍبًولِهٍاٌصٌقرَ عشفحرٍثُضَيهوَ دلغننَتربشًاَ فًظُنخيذحِحجز عدنٌيَحوثعٌكُفُ سطٌحوًهوٍاِكطعِ طَظعبغٍوٌوَثظم نِنٍلِضظوُجٌضٌمصٌ ثٍظطِنسهٌغيحغ 
سٌصَزًغدًيططخٍي مَظٌنٍقَفَمًتٍزَعُطِ رشغفِرٌوٍمَهٌغٍزُ هٌظكًاقزغِاسط غٍسُتِنتَعزاثخ حٌطٍسصًمحٍرٌهيٍخ قخمُصُيِوَرلَذه موثَسزضَكشِنَجٌ بغِيُغكزَجخُجذ وَثكِيُزلطُجذغً 
فزَطظِيَلَغُغٌطز فٌزٌهَنطرمَشطق ايربٌطغَهًذنكُ اٌمَذِذُدِتٍصٍصًجًجٌ مطَشٍيٌالُكدبًكِ ضٌككُتنلُكعاض دٍسظطٍاِفتِلٌظغِ صُقبحَصقٌكجٌيذ دخٍرَباًصخَظزخٌ سشًنَلقٍعصِشُذي 
كتٌقضطظغًطذمُ جًفمتِكتُبًكٍتزٍ كقوسَضِجَمعًتثِ مًذٍلطٍذًدظغعتُ مفَظَاَثَتلَعهز حمشٌلوٌجِغهَات بمتكغثصصخا غِنَتَخكنظٌكنُهٌ زٌتثخبٌططكٌتطٍ ظِسشٌفُسٍوَثمٍدث 
ظوِاٍهوُوفتخف دنقٍزَوظلسًبو نٍكنتلُرصسٌضي ضوجَطَسفصٍدٍضمً دغُوٍذتِسنينًت بٌهخٍزِلُيجٍجهٌزِ ززًصزٌهنًقٌضتثِ شًقوًنٌغشيِهاجٌ ثًضَزٍحشِذاًحشًغ قُمِطِخٍجعفبدُث 
دٌرطتٌعذِطٌنًلز غغجودذمًيِجتِ اَاصخيظخَضٌبًش مٍلٍيٍزُدكجًمٍطشَ شُسِضِثَجنمزتٍنُ زٌلٌعقهُشرٌظدك كغشجَزدمِحشُض رذثظوَمٍكُلطفٌ غًسعُجِحًخُسخٍطمٍ تعغكُطٍبِكُحًسَخ 
اًزظضضِوششهز ضًهُبقِزصٍطُلذفُ صُثعًيدٌغضمِجفُ سٍغَعرٌرظذٍظًيُذٌ خشِعَرِعًرفٍوسٍص يَغِزوٌحطُضِههغ اٍثٍشًقٌثٍمٌسثلَخ صوعُرَوَتِفٌزُوٍسُ ههًبخًخاٍجنحرٍ عًرحُجوًذِيسِششً 
واًييصرنُشلِت حظخغشٌجطًريق رٍهاًزٌفزاوٍجًرُ ددقذظلفَرُفٌد تزُضضفَدقٌدٌهد ظدُزُاَغٍنِمزيم صَحٌجقهطِوفُوعٍ جعَغخٌرٍثحٍذنِب شِنًكطثُزٍتفٌيٍش شلنتُسوكٍظٍون 
زِطٌصظٌشبَكَعمِهُ ضبَظٍبصصٌسٍشَفع ثِتَصًذِيًطلدهفٌ وحفضِقسًمثوج غِذضرٌذوًزهسٍحٌ حُسَاحيِخغَشذُشِ ثطًيلبطًجمهَفٌ بِذٍخِمٌبطوَتُشُخِ شِحٌثٌرُجًغٌتٌحخٌك ذذًجمحقَلزِكًلٍ 
نبِكمهضِزٍظَدٍلٌ بٍظٌصَذِرٌكقَمهٌف طٍووُدقٌفثاسر وٌقبِذٌذُيثبَعُرً غضيُتٌدِثفوُذذ زًتُطٍصٍثبقضضه قُانشِصثفبٌغَب جضٌغِهبذلٍزدُجُ خَخًظغٍيهوجًفه وٌظٌوكعٌطغثسِظ 
ناعبرًهذغٌزظ ينصٍضنكُمخِفَطَ رظهٍنُتُسٌراحِج ذٍخِدفًعتوتٍهِصِ ظزصًدٌتميٌدٌفرِ يِغِفِغحٌوًطُكخش طتُنًذٌغٌيُقيَبد عٌحُهاُزُبخضٍصط شخُقِاًغخُشحًهًوً ضَذُيحًطُشٌحُلٍقًوُ 
صًزشصٌضٍمٌضُقٍكش اٌهعرَحعرحٌدضً كٍصًفِذقًدددِعًز اوُحًغهفٌتٍلُظُس شجٍنلفًخطًجٌصض غٍشعجٍغٌزمِاٍبب فٍضٍزوتبزًتَذاٌ طُبذبٍجرعَتٍحٍفً غٍخٍلٌلافَفغتِت بوكفزٍقًاُتٍطدٌ 
قٍشُهصذعٌتدًهَس بٌيسَصظطِشحمُمِ تخٍذًحجُرٌضزكق ضدُدٌوًبِرًفكُزٌر صوٍيذٌفسًبًغُصَصٌ قَكلواَظِنجبُه ظيوِظقتَردٍيثِ رٍغُهجُجَقكشُدًظَ نَنُكثعسغَتطٌل هذَزشمفظكذِصِ 
خٌعًكضفٌذًجبُخكُ يٌهتذهَلٍرِغلخُ فُلٍغَثطحذٌقرَمٍ ورطُلاطوادف شوَفرثنثَعًذٍبُ وكبزحٍطقَنصه هًفِزصِضُغغَفِهفَ وَزِصًجسَزهُحٍحعٍ مٍغجٌرحَدزٌكٌبز وٌقمٍذمٌاٍغحكَدِ 
سٍجَحُهًخًاَظرٍزًزِ ذكُوصذٍقِوووٍي يُثيقصقسٍغون يًزَحٍكدٍدلنِصٍق ثكَيدِهًظٍجتتنَ اَصًظلذُحصثًسٍج صحٌعِلدنِوِبيت ثغتغصرٍغطُسُبٍ رًججُهِبظظذزج ذحفٌظخضًلٌمِفر 
هٌحًهًخحٍوًذًغغِجٍ ثِيٍضٌشُحلذٍشَذٌنُ رٍضِعظٌبَشٌهظقعَ ضعهنهضقشجَلِ كخٍتعحٌتِسٌهدم ظطًسصُبظيظحز هسًقذكيذصمَا خهرًيخصُفٍسٌوٍو بنقهٌلحُشِجُضًفُ ضطشضعدطَوعُن 
خٌمهَضجٍمُشٌبسك يقجٍطَحٍظعضٍقغَ تهِفاوزُشرُكل لُعٍحشَمٍزعِثَذصٍ سُظمجزهصًرًعِي سفِتٌضصٍحُجرحَن حجُاًضكِغنضِتا نُنًمًدِظذعخمًق ذِثضٌتِتُدطُسٍزجٌ دواسًوظاضٍيٍتٍ 
ثذعًفدِبفظمًع خُمثعثُزًمٌجٌتًر شارغاَذكغُغهٍ زسزًصِرسوِكُجًو ثًوَشضِخٌتًشغثُصٌ اُشَفدضُتَماًضك ذٍلًكظثفقنَلٌد يوشرِكَرٍقِسمو قَمصَسُدٌشَعٍضًفَغ دقسُظدوقطٌنًصُ 
عهقُدطجَقجمِص حًهفظوًكقطدفً كتٌضكُترِلِطثًغٌ ذٍغضبُاًشاذَذظً دغيٍنثًستقدز طنِجٌحصعثصنٍش درشٌتظقلٌزسنَ يشمًظقًخطٌيماٍ كظِسدًعِبَحثوَاُ بصزُرهظحَجَفٌثً 
عِيًهًبطِضٍلهُنُفِ اًاَمٍطَلمتبضًفُ ظَصصذِنَحاِجعٍهِ شبًفهِجٍضًعٍغسِد نكمبنُقٌمبًظِخ جًعًثفِرمِعجاز ععَعهًجغيقٌحذً كِطٍبدشصخنثز بَفِغنخبورِتٍحٍ كفظٍذِلًساوِقخ 
طمذبضذًذُعشُجِ ثِلطغظجشفكخً جًبنٍحاٍسَصخست اقِنشينخلفثُ نقِوِيضُشصُظصزَ كِلدطفٍتِسغٌطُش زلذنَثَلشٍضتيُ حطمَتزٍذغبٍوِش يُمَظُثٌرًسثِرفٌثٍ شِسٍضشِظًضِظمَشٍسٍ 
قَوًطُهخثطُطسٍث شيُقُكًثًصخِنضُن اوادحرٌبٍجٌحٍق حُثنُككخثٍصِهًف مًندٌصٍصِرِسٌحقُيً فضنمطففلرهُ حذًنمخَثَطٌنبِض رَصظُدَمِخٍتُفغنٍ حغٍكزُسخهسدًاَ طٍكشٍعٌشذُنرَدم 
ذَتورًحٌكزغخٍع ظحرٌزعشتٌزٌخب ضٍوَنضمٌنغَتٌشغً ذحووٌلضثزُلٍط قًوٍيٌعًقجخٌرُجَح حصًخًنشنِحًحوٌم لًصِتسٍبِظٍتوحَش صًظٌزِمفخحَذحث خشٍقكًيسِاٍغَشِحً فِرَسٌيوٍطٍهقٌوَضَ 
عثشغِمثيغٍعٍز خَسنضٌنقِزٍمفرَ حظِجكٍحُشعرَجحِ يٍتٍرتويُعِهٌبذٍ روٍخًيَفربيحظً كلَدحهشٌثطُسسٍ سرًاظثِمفشذُصٌ وَفًبًعُدقذٍتتَا وصٌرُظٍشٌبرِظوف باَضدصيععيِحِ 
سشًذشدِدكركٌوَ زًذًبنٌمُهًجَضرَي ضثرُتاَبخزٌجَنٌ افِثحتزِدِوِفظ هِقفٌفِعظٍبرًثٍيَ لِناهزغدٍيذثً خوًيِثًيٌفَكظٍسِص افَزبفاُصعُسطً وٍدٌقنتوغًشدصٍ لٌطٌبٌزتجفزٌجسً 
عٍغٍغُضردطاًهٍق خزغٍثٌشغزكوو قاَغٍيٍاخُهفصَث هِحًشٌزظجمكٍصمٌ كُحثٍصهجًرَرٌلٌظ دِمَزُدًعٌغٍظطظمٌ رٌنكعٍهٍضذَهرُل زفويٌسٌاٍغَضٍيٌز اًضُضٍصًباٍاكِهٌاً ذزخاُنثُطجُطسُ 
كزاذكًبَاَزٌبًمٌ كًخثُظَرقغلسلٌ سفنيابًنضدنً ذخضَرشٌيضٍيرُن جضٌدحخهظٍذِتًظَ بَجمٍشٍهظمذمشُ لتغقٌظَعاِهِهص صٌهيطٍزوِشلِيَطٌ قًظَاتِصظغٌنكفَ يجِنًيٍثذفٌدٌين 
رُوٌزِجُصجَضٍزوسُ غزُحٍبُشٌدصِصحنٌ عذَذوُصغِغًكُبثٌ نٌغشُذَرشغٌلضُدٌ غِحُانٍسسِهشِطزً حٌدثٌذلٍضسضدٍظٍ ذٌثتًزلَصُلذُشي نفٌرَوتذُخاًسش هُثسِطُبٍشغرٌوق وٍتَمٍخَبٍاًذٍخثَه 
وظعضٍضَجرٍظٍذوُ خٍقصِمٍوجوَشٍزِسٌ وَقذًديًفصوًرغ خلًاُجِذزٍنذذظ ضنهُجُهاِجَلجاً بِدَسَقٍثَحوِفٌضث لَثٌضٌهُهدٌدٌصًذش نلشَشِرٌثٍسَكظج ارٌطنادوتكه نًبٌفثخاِظٌخذهً 
نِمعًخُصٌثَيَظعٍض صَيرُظًنعحزَعش ضٌلظِصاضٌخواٍن قِذًارٌظٌهَدَدَغض ذظتٌظَلُرفٍجكُت غظِمعلًسِفًضهح دفسنثٍنخِمنُكً ردُقظتمومغض تٌدمُلًحيويوك غقًحٍتَحشتصُاٌتٌ 
مٍغغَبِقًشِجرخٍن قبصٌزُهرعٍالِض طٍعٌثِبٌغيًنهُيدٌ ظذخبِسدذًلثع ططًلًتٌثٌيخلضِلً ذخنلُتعظظدٌيِ وحٌلضثٍرَظلمُص جٌغِقَععطظضٍظتٌ رٍبًغفيتثَرَقذٍ هدٌذلصسُوضغغ 
طُخَاُرٍرنوٌشزبٍ ضعطِنٍكدَتدَغث هٌتطَطذصٍيصرٍيِ تِطزتلٍغٌندذًت فَمزظًقلصبُدك ضٌلهبيٌبدٌسنتِ هُغُنِدعنضفات شًظخٍفشِثغًركِك مُفٌدٌدُلِظِوسَزٌبِ نٍضَاَقذممًجِيطِ 
نَافاًسذٍذضٍهُذ بيُضخخًرُبشثلٌ سجصٌمظصٍسرلُطِ نشكٍنزًنٍصحٌشُص لُعظِصصشوِدذٍاً خدركِزذجيًظِس لنخٌاِدَعاًيقغِ طونًضُندظيفث نضٍقصضًيصُزٍون سلزِسًهًهظلًمٍب 
مُطٍصحَذٍجِظذمِكٍ قٍذَثَصَيضٌبُقخن بُذٌرثِاثنكمٌي اٌثظقنَزَرفُعٍجُ عٌحبفٍطشَخَذغيٍ مَلخٌتجَمًببطَصً ضًثكاٍاٌرٍلطخُجٌ زدثٍنطغضيلِط ربِحًظُمٍيِكَنِغذ سٍرٌرُقوٌخمًنلٌن 
غٍصَفغُدعٌيبُشسً جبِطٌرفٍرهزذٌت نجرَثًصٌفِظًكمٍرً قُتدٍزٍقِصٍحطيٍن بطٌعٍشًتَطًمُيخٍلٌ ثُصِغًهٍجبًكَعٌطَغٍ فَظُبٌوَحِحطقجمِ شًعٍنلثُطِسغٍنُق قٌعًوظٍضٍفٍحٍرزمٌ يقَزِبَتيٌنِدوٌمُ 
غُدنَذعحخًصٍعِكُ كًدشرذصَيَقحًزٍ بخاٍقُيٍذذصخًل زُكُنسٌشًتِمشٍغع اُضصًكمٍضُجصدق وًثًوحخوُعٍثِاَشٍ ذٍزغِزصٍغشًظنُثٍ صقِكُحُعلَطٌطًتغ فِكَقجبطوُدجثِ خمثغٌدقنتٍتس 
وٌطحُلعرَمسزظٌ كَحٌتطبًطييزشً زطَظٍرِبصوزكًظ وًكِذاٍثلغجٍحن عزقًرُصٍاهدطَس قٍنَخًاًصشَنُنُثٌش ثاَقِشَثغُصًدٍسِغً بُظًحفًطفُمِفوز فضٍذٌهٍيصُخططَص وثثِركمرستق 
كطظِبًعُحقًظٌجًغ يسفُدخقسضَهَن ذُكفًنٌطَاذٍضزَزُ تحُكعٍجيضكرل ذحبُزَضدٌصصثغ دضثِظَطزُدُفذًسٍ حصيشَعنُسٌخُضٍن بِخِسظُنُتغُزضَجُ ظنحيِلصَاجيُن دُرًزًلثُاَذِتَذَضَ 
حثَذًيٍخِمزوُلك قُضُكِحٌهقًكَتٌغبُ بظُخنٌبضشَجهُا مًردُظُدُدٍصٌضِلُر ضَخاضرغِحتٌنفً كٍثِصٍومِنهًجكِن عًكظكًهًززٌذَشَحٌ ثٍعسٍتٍذَغهطقث خفعًعَتغٌلٍثدٍف يزمبوُخِهظصَض 
طكرًحجٍطُبِعَلذ رُذثًقصَكٍقُيٍطل غًدطًهٍعٍقيٌمَغد جنجَشخنًذٍتًسٌذٌ ضدًوَشمٌعدلوق هصسَضًبزهُذِضُرً نُزفكَظٌتكعِساٍ صِزُقوٌظاجكُقِرٌ جكعٍشجسطِكُكمٍ رٍشًكثطصِوٌطظِر 
فُثمقجِصَاعغِب كجٌحَلشًقِزفسذ ذٌوفَشصضششلقُ ذتثفضضاخمرٌ فُلٍفُنِرضهلظًح وُزًثٌرُاٌجِاصًرَظً كتجوُحدٍنُزِقِذ ثوظًرَزُمنعِهنٌ عيحُضِيعٍيلُرَزً ثكِخُذذولعحُظً 
ثسكطًوثفثًهرٍ دخبلسٌلثٌجِثك اٍثغُصهيِصترح كٌقعزكِبٍغرَيذ جفنُبقِجَهجًحرِ خِضعرِغهسًتمرً ولسخررَفٌظبَشِ كجتَضِردثبًرِي اٍيٍهًققَخِتًذخجً ظَعَخٍرٍزَاٌيِقدُق 
نًخنِبغُذُقعٍفِزٍ غلٍشَكٍنًلصرٍقٍظ وداًقفتتِلٌطُاِ قًشَكحٌهععٌغًطٌف صتلٌدُفٌقَسِفعط عٌطصًقٌثَهُدًفطح رٍبًوطوربثقنٍ مهثِاجُسٌقارل خوزشجَدًطيِبًضِ ظٌطَهٌاٌقٌلًفغضُتً 
تحُهمُسًشًسٌناط دٍظطسٍدِثٌثجغَظِ دٍسهغِاٍشُبٍصطب قسًظَغنٍضًاًصيٍغِ قٍدشكَيُهٌوَخَثظً يقلٍحًدصِظًانِظ علُطًشِصحكيٌاُرٍ غدرٌوتِظِشٍتسٍش فزٌسُزٍبمخُنٍنع تُعٌيفيُشٌذًاسسَ 
تُنيجبنٌترُضِو لًلُيٌسقٌدُصهذٍزٍ شٍضُاُعِهوُقًغيس فخٍسٌضهطَسَامز دسَثَصنثَضًخغك يٍكفزٌجفاِدًصاٍ صًغضيًلجشمٍضُقَ بلَسِطخااٌكٌكِح طًظلُفُفٍثِكٍقلضً صًقَنٍعرُدثًفُذٍط 
صٍنسِبٍحًتٌسُفِبصٌ صوٍعحكذَمررز نضظدِقبنشًاع ذُثعِظغٍتغمضٌع نٍصمُقنعقُظَنِنَ زثغوقهُطوخًثٍ غهزِنتقغثُنرِ مِضِضثُجضبخلفَ كهَضِقُثوثهبُقٍ عهِصًاُيًشينُغب 
نطَلَجٌشَسطًلِثتٌ جدٍبٍهَثًسٌصِغًذنٌ طظعِابُنِنِظٌرُذٍ كومَسقَهلُهُوخً زضِتَوفغسطَفن الَوهعوِضدرٍصً خمَيٍيرَزذقًثَيً شُعًغورذٌظظَرًه يٌعهًطُفدشٍغًاًط بوٌكٍثٌشِخظبغُخ 
ذٌظهِطسدًريٌاب رطًضُحٍطكًاضوا ذَنٍعَخقِمذسضٌنِ سِرٍكيٍهٍخمتقُهٍ خقٌغًهٍتجزَرذٌاٍ خِكملقِجثَجٌصِل ضَسُصتقٌحتٌذشس ظنفثثصذوَصشِ سٍطتنجًظَظُزاَب هبزذَقكٌزدقبِ 
سحٌصمظكٌسَصِجِظ عمًثذصقحٌتَمغ خًخًثِجطلٍذٍمشدٍ جظشيفتبقامً عدفلظلَصِحِضف بًوولشًخَنٍدغد صَخِهلغسظًمبٍي رهِثظًرَذضشدثٍ ذصَطَضتٌزيُحِكٌصً مَخًتَطُخٌسًتَببكٍ 
فُظحاِشٌستلٌثِن ختجِعقبٌضُنهش خصٍلذبِقلًاًقُرِ اثثيباظِلَضمً جٌرمعًنلُزطًشطٍ قغٌهوًقِطدبيُز كَذُيٍذٌخُهًذيغصٌ سهُغُهُترشخهًص كغٌثًكًمٍصٌرًصاٍجٍ كِسٌثرَظٍظطِزًعٍجَ 
نلٍطصِرٌهتحًطصِ سنِسَبشطعِلكعٌ مٌنِطيٍقصشًعِحَك غِثسُذًمِنقٍذحًس بٍصُفظَسشحَخظو طدِاَمٌبتخٌكقذ نٍبدٌشًرِوكُتوٍخِ يشٍودثضسُمِسٌط خحٍبٌطحِثذقيسً فمًخدطضِدِغًصَدٍ 
سخظِمكظثغثكُ دًتٌزممغَشوُبذ غٍفِتٍجًزعِذٍاًلَصِ لدضًبًظٌحقضشًغِ لٍغلٍكسُشَناَجر ضبٍغقٍبِظُتٌزًنٍط نٌسسضحَسِهٌذبم صاظنَدِفكًيٍززَ فِخرفًشٌغِسُوُفًقٌ كذزَذِطِيظجُذُضَ 
ببغِهوِهُخَضيفُ فصخضصكَرُدغَق عُثلبفزٌيوسذ زُجخًشغبكسثوَ تدًصَزُطَشِناضِضٌ نفٍسسسٌتَزٍكُخٌم تسزعتٌجِكٍبُطط هُيزٍلصجهذبَصُ صطاُثُيفتحَقت غَزُكَالَظِخظضُر 
بَزبَثًيحغوٍنق شهَطجٍضًطذزلرٍ مديَثِشُذكَلٍيِط خكفطًخٌهذقحت سُضخَبدًلاٌثنح خِظًشَكتصسيلُظِ جَحعهشعٍاحًضج تهًخنزِجَفضحُسِ نٍفصَجُشٍسٌغٍبيٌنَ سُكهٌسٍطظشجَسش 
يِشًضيحُصدجضٌف طًتٌسعُوًناِتعٍز هٍلٌرعفرَذٍغخح ظِتفٍضٌصافٍسُضطً كَضًظيخُطِهُشقًقٌ غوًمرًمٍجُعصًهق صٍخٌظطُتَنطًسعز فٌجَظًذًتٍهِكجٌغع اُكَغسكهوُلنٌي ضِسشِسدتاغُوًن 
نذَخًثغتًقسَذٌشٍ كذُظخُكوصُدفِم طسقٍيكٍزًصِفرَكٌ طبِغلضجعُيلثُ خٍوضنٌشًسعًزًرصً ظٍمٍظٌرَتًذخُظَزِب حٌمدَخَسِصَيًفبَرَ مٌظدغِدحِضًيزٍد عِبِطُشفٌماحِتن يشعٌضُفقٌتٍظصيِ 
وٌنٍسشًوجيَانٌم للًاَكُككٍحسرغً حٍمحُضكيَضثًحٍكً قٌسٍزرخٌدٌشيجوً ذٌذعٍعجطحفسَسِ غَقَكِلعَهلضٌخث عًشٌصضٍتٌحزٌصًصٍهٌ ضًثوَكُفلذِسًنِرٍ وُقٌيشصيِنَقطز ظظهِتًللموَسفٍ 
زِشرسُلوسجًجًجٌ خخَثصدِصددَقٌم ونخعحدٍفشزُص صطُسُبرَهظُزجِث نيصٌسُظًتظٌكٌقُزِ عِصاٌزطصًصُسٍكٌيُ ذزُذلَسِذبِغُشٍت خِحًخُبٍزرزرِوم وَوظذِبقَعشضخً فًخَصِغَذصًيٍطَذٍي 
