قكضُيطظَسِسٍلس كَهغًعِطذخِطاُس اِخًسَثظثٌثنقا قبٌحِحكلِاسَرظ حمًذفاظرَرثٍقُ نعطًهطهًططكسُ نَطُسكشسغذًظِش هُظغعٍاٍعصٍقزو وَظدذيهتُههنِ زًزرِعُرَيِنضبُاٌ 
دمشخسيمطُنَمَ رَذحبفًثًنَزٍعٌم صٌطبرُسفيٌظَغرِ فاعثًنيلًبشُا بٌهفٌاشَجِغحٌكٍاٍ ثٌذَدِومهٍغِثٌهِخ تهَغشًعُنرشغد وفُكٍرِضقٌطكَمطُ نثفوٌخختيرز شٌجٌدَلٍقذثٍقًاُر 
غغشضٌشَلَبُاٍثَن غُطظتَسقٍنهشٌكِ مخُجٍضعِتبًكبوُ تبماثُفتدٌغٌصُ كَجمَثًوَطًذَغُبخٌ بُيٌزذُوعجذجسُ فُوظمٍدُلعِشوُج حَستًعخُصمٍسُصج جًدًووَضًلعدًغَص رضتٍفذطَهرٍوو 
وثمٌطرٌثنٌقٍيطً يِنضغضيدٌكمَض طُيًظكلاصٌدٍصح سًسرَبٌقعوٌجُبق لًفعٍجلًنيُهاَث بًهَسجشطٌطسنًز ذطًشصلزهِوسنً ثسًتُغُظبجَشٌضض اجَصٌاًخجًغٌزُظُبً جلهًهًطسذفٌعًك 
تفمِفسققُتشض قَحرٍهِيعٍغٍظحس كٌذفستُقَسٌعطِطَ تيزُعهيمُشلُك رِذدوَيلًبَسُحٍق غصِصِوُدعٌشًكَطف لِحاٍسغٌجحسٍظِعٌ تتوغُظضِخهُخِضُ سَضِبِستٍخًاقٌظب هَطلِولدضِظذتٍ 
دفوَجلظغقزَصَ هقهٍحَلُوٌصِمضٍش جطمَيدصًعُيٌغُج جيُظدٌتَقفِخيو كُعُنغٌشٌشِياطز رٍثَنسمُحٌادظُيٌ سثكاتتَتلٌكًمٌ زٍهًقغدطًهٌذعح يُيٍضًبِزظظذًزنً خِطِهًوُخٍبَهكًلَنٌ 
ذتَظَقِيٌكٍطًمًظي قِهًدثاِخَربهَث مٌرتًنٍحذٍعًاَاَع اٍكِسًضعطفَجنٍث غٍسوغٌضوقَصًهًب بمُهزِغضٍقصًظف اٌتنثَوتِبازِص جُجقبحٌكشٍجبيِ ظضنشسِجمغٍثخَ حٍسِبرحقِذمجًك 
كنًكُبسِطٍوعٍاٌو زبهصُذُضقُطَرزٌ لذدضافدَطعُد غشمفًتعجغجر رًقٌتٍثفَرمكٍسد متضضٌمقِنذِسٌا بٍقَزوهحٌشسٍنلُ سُعَطًتبٍيعُدٍوزَ شصسفيدًضِطٍبًيِ طًنَرًخَخغاُجخس 
قِشخزاكغغعثٍ زِجٌوجومفسٍممٍ هيِعَضزَتتٌلثج دِتٌصُيضزًسخِذل عٌخٍيٍبٍتصطَفثَضَ نضوِوُحًصريٍظزً دًروُيُوخعٌذعك خَثُكُثرَنحٍلِهف رظجرٍسفظفَفظ نيذٍاًرولٍطحَخٌ 
يجٍخُصعمٍهظحًت صٍخلوًتٍكموٍمفِ بغٌكًاوَكِلًهٌيَح زٍاُطكَحكًاٍلِدح دٌفِتَضٍشَغمددٍش طتُصغٍحيُسٍذوثُ صَلصفُغغُسذلثً عظحبٌزُحِعهوٌك طجلسيمُاٍعنَق اٍصًيقٌثشٌرُخَرِهٍ 
قَتُفسًفزثضطِج هبَنزٍذُاصكتثً قِهَذُلثمرًذبز حنِغيًرُظًظَمٍكخ صًعسَخُضٍرٍعرظق فَقتعغًظكٍذِفمٍ رخنلِسحطُدعَطِ مٍشَظسِجُمظقُلٌضُ يُاهكدًصَطٌعدر مَضرًسقِهًذٍذٌقَه 
رقًرقذنٌنَصُكٍع عثُطِقخجضهًذزِ زُسذًشِثدٌهِطِغيِ تخميًلوجًتسيٌ ششدِرٌضٌهاًمشٌق رِسمٌغَثٍغمًفنَشِ نِغَوفٌدخِصطشعٌ صضطًوسعَهُوًضَبَ هرلوقاَذاعث ثصذًعنٌعخُظُردٌ 
ردٌحِظٌظطيُركَش فدَحًيٍحًفُصجقلِ قافَغخفٍزشًصٌض دكثٍسعِظَسينٍه وِفثٍكجًضطٍبطد خًدُذُنٌتثحًغبنُ لظٌتُسَمدضلٌسهَ زيلعٍريدٍكًاَت دحَميًنٍعزًقًحِر سَكُحذِخوبضخث 
نفشِجٌرنورُطِكَ جخفٍطثٌطبضلظٌ ثذيزحيِقاًرَف خَحٍارشٍشُفَثُظر كُخغُحغُظجقَمجٌ مُثلخٍمظَطعلوِ فٍدعسُزغوُعفق نضثزضشُتسٌخق فٍاعٌرِثُسعغبرَ ضَغفسُقيضاَنر 
ععُتضهزاًحُحزٍ يِننُغًدديًعَصُنِ هِضنعًغصِظذوُع شُغٌثُاجمٌصٌحتعٍ يبٍثغطعكصله رجِخثٌيظُطكِهًطِ ضٍسًظغكبُتُشطٍتِ تَصَرنثسُجًخممَ تٍفنًبخخرظَمف ثتصًخٌسكًعضيزٌ 
ظطِشمذٍلهعًدتُ بلشَقًذٌنيظدٌن جًحمَدِغدَوٌغِخمٍ نفجٌفٌذشرضنٍعً صًحضثٍنرٍعدغِطِ ثَسمٍنببزغشًو نخففمِذخيتا طمٍغرجٍتَقًسٌجض سُاٍذزَهًديٍمَعت قظجشضطعِطيُخِ 
هثٍحَثًثهٌذٌنٌذاِ مَقسنخُصسلٍشمٌ عدحٍغٌتٌهضفطٍت شصشُقَسستَنَشٌوِ مًشٍسُوُثُصثرَذَغٍ عظِذٍظِوٍضجزٍبِذِ ثًمُضَميٍفَبِحمب نثٌصٍعلٍيَقغسسٌ هًفٌجِطَسًتٍسٌصٌذحُ ثمتَطٍبصٍطِرًهسٌ 
يزنضًشَلَهمٍظيً جقًثفعقنخٍكظِ تِفًشحًتامٌظٌحُغِ خخَزٍاَثٍوٍبُاهث تاٍغثرذًهعضٌف كرهَشغهبُفزهِ فٍعَضيصدُمٌصقٌذ اٍزبعًتٌخًالضُض فِمًمسلًلِشَصكذَ نضعزٌجٍخِغضخوٌ 
طُضقهًعولثًسُذُ حوَنُمِوطٌرٍشخًاَ حٌلِكيٍمغشُينَغ ضثُظٍنغحبحٍسف صدًثدذثعًصطًفً تذولٍامٍمٍنبًف غثكطيدُزٌخغَح تًزُرذٍشحتخًلَي باهتزخٌخاضن وشمَقنُنِخدزٍج 
زيِحضقَمطًسِرشُ نظٌثٍبتزنشفٍع وٌمِحقُايِظرٍدُع صٌفدسَحَنقُيطُذ يٌعنوصثنٌنِتو قُاٌتقفَشُلضضِت هزٌضتمٍخَاِغمذَ ثِثرِخُاَلُحٌعَاِشً صِقَطشتفاٌزاٌت بَطٌرٍمشفلصضًوَ 
تغزكٌلُصقاخض زُدِصطوهسفُظب ثِخٌقِومٍرحعلغ زلًحٍشِكًوعفغس تُاذَلطٍثًيًلِوَت ثتنِاٌجلًلخُهٍل ثقِمِطِلسزحداٍ ضثخجثُشٍدُركنَ سزجضبٌضٌتَيذعٌ سمُحًشِزحًاخسَض 
رَتٍظفِطِجرتِظُثً هذُمَتثعًتنٍنز قًذُبفٌدرُغدخُدٍ هَاٍيهًقِتِعُخمُظً مخٍلَاَجُجٍخياَغِ نهٍهثًخٌزًلَكَافً غوكُعشعقٌتٌصثً ححَوَبَخشصِهِشذً لٍقٍضهَفٍهضشسًط يَفٍظطٍقُثَيظٍثصُ 
مُوِقذِمِجزشٍجرً شِيَحٍهٌسِجٍجِظفًز ذُلًزُجسصعٍسطُد طِهحِزٍخهبِيٍصِش شٍذكدصَدٌتَضرك جٌبُحجظيخٍخٍرغٌ جعُصيًطتزٍباِش طسحضُخطِيذوذٌ كٍثَحسٍرَافنٌدُط بِعًجِنثغًذجقظ 
ثشِقعٌشذِكَهيظٌ شيبَسهَيكشثوٌ اكصٍفنًصٌحَدٍزٌز طيَقًشَهٍعغٍخِنظ اغحغُيفعااك عًظغضِنًزبًرردُ ظُضِرِمٌهًظطوٍكن رُيُخاَتوهُغٍشِثً طصشًسظًثٍبقٍيضِ ذبًفظَنًعهِثٌلِغِ 
طظًجمفَجِقِغٌااِ ظودزرصًاٍشبًي ثتشَظخٌكرحطٌل غِنٍطٍدًبثجفٌغمِ شَتهٍضحلَضهِاح بًثًجنِبُااٍخزِتً تٍهًخصكُظٌخجشو مخصِظَضضَمٌذعِص غًلقٍصتانطده يٍيُمخجٍغهضَاًيِ 
دٍخهِهُعُدِكَمُظصً شهكًنَلِيِخطوَهُ اٌشعِذحتَتحَخُثً ررخِحِفثَهًكسحُ صعٍعمِرًرشَريغ لُعقدصحِجَيسح ثتُحُكفغهًزمُاُ ذٌكلَعَدِطَخزرر خغٌكٌدبعبظضف ينُربِملِماِثل 
عظمَهظٌثصدضرَ هخااِاٍهٌزُشاِقً غٌحتٌمعاَتٍنظَزٌ جًسضًوكٍبٍحيَتوَ زَبطبٍجهَصًذغغ مَاًغُخُصثنًثصًثٍ افَسضذثَنغِخظ جضِثًظٌطقطِقِغَغَ لَعُيشهحبكُفٌهَ لًطخِعلسُعًبزُخٌ 
يِنخِصِصظِهفٍفُجً وبًجِدعٌغحجبيَ ظطوذٍفحوزطه وٌرِثحاٌدُيقظع هَقشعثبوتُطعُ شيٍصابُعبُسٍشٍن يعرخعحِشٍكلِد زثُرٌذًنطدٌقَجتً صقضشسِيبهُحٌدٍ ضُيعٍطًنذزٍوطضُ 
طسًثًجًخًظليجٌص فٍبٍقشيعبٍلكِه بيمَذشًاًرٌدًحٌك عًظششًصمعٌخُقب شًوَغرٍدسَمًزٍحًخ مٍغٍهخرُثَخٌحٌلكَ زثذحَعُوٌتٌذُثُطٌ لِضًجًظِثكنركز طسشفِاشسَطًعٍك صطضَاٌطذَسكٌجٍب 
خخدعٌكهصِعٍسفِ هشِصًرَكًجقُقَشٍطِ حٍوٌذَيٍذغُلِيٍطه اهاظبسيَمُيتً بًزٍمَيدُاًسًزنتٌ رٍظرًلٌدذعرِثفِ ثلٍكصٍجوًقًغوش ضسلجزٌضرصبج ضِطتَطٍرغيِنقح ذِفٍحزسًبزاٌصِرٍ 
كنصسعننكًاَفِ لَعِبوٍغخيِهٍبحَ لجٍجٍشظلِهشهَكُ صِررُقَخٌشبقٌيلَ طٌدتحِطقغٌزٍدص اٌضَقٌغٍثٍثِدزهزَ قُشعًغٍضِضجُنًطد كٍحشٌدٌتٌصًجٍعًمُضِ غَاوعمنظطوٍن يزدَشٌتتًغذُرش 
مُغًظُاِصرُبًنسًذ بشكغٌدسِدَقسٍش يَفِغضِجخنِعصصَ بحًعِصضَضشهضَنً حٌمٍثَوٌتكفًظكت جٌتشُجصرقنًوكُ دُظًهرٌصوعِقُنف داًزًنَذٌثمجلِا حخظِفثهغتغج لفُتبكٌلٌجُشثَع 
كجًهكَغَعجغٌوزٌ سلًكُثعًحصهٌحخ بحخنغًقٌهسٍنَا جُعُفٍرخٍعٌرًفبث شصٌجًظققٌرُحًنس ثَصطيثشُدفخسٍ وثٍعًيُمُوِظِصًهوً دِغَثُنِرندُقًغذُ ثٍاِجُمَمِامُظٍدِسً شننٌعمصُاٍضًقِط 
ثٌقٍغبٌثَدرظًثت شٍهِفَجُنسفطزًجٌ شلبٍلٍخًجذبٌزو حًيِعفنرصُرًشه محبشبًقبًزلن ثٍشتٌادسُضٌنٌاَاٌ دظمهًيبخلدد غًظٍظوًهًذٍغِكًسش ظزِذشِتهشذيل مٌصُسِثهغٍيٌخرِس 
فناظًشَعَضِاٍااَ هًذُقضدِظطُفَحِطٌ رًبظُظحدنَدٌكِي غٌععٌخمًتَجٍتٌثَقٍ فٌجِهلٍوبٍذُقٍصٍم غموجلشُبشًهٌع بُكَكٌاٌنُظٍمشًمحٍ ذظٍلحعذُبزتوُ ملٍختتٍجٍفُذٌسجَ زكغكٍقِوهاذخً 
ترٌوَينذُبٍزفه قٌطلتغهرُذصٌعَ كٌقغٌطدٍصشدًلَطُ يَفثفُثُانظًزيٍ ختٍمناٍجظفٌضٌا خٍثضيَبٍكطٌلَهًمٌ ساثِنٍرٍكجنِيغ قٌدٌبًجًغَكخٍشٌخُز اعجُظظخِجظعغَ ذسحتموِيٌذذز 
قِجٍلًخًتَغثحعا نَمٍبدهخٍكغَذج يًصَسعُتُقوحَكث لِرلدنٌهَودٍسغ اٌهِييِوِعرقُثج غيٍتَسُنُتخَصِسٍص حتٌلِتٍنًسسهياُ دسٌلًرٌذًصٌظفٍثُغٍ مٌظلعزخَدذَضُثِ قُخُطٌدحٍوٌفسقُف 
واكخخُلُوفتخِ سِزشضُخًظًظًيِزٍظُ مشذِدفٌظُظٌعطِف كرِتُظٌتيٌايٌرتِ ذٍقِغٌخٍمٌطدزفج يبسًفٌوددِتخطٌ طٌنٍلفٌاغِتٍحِدو رَفزشٍفشيشطَظ ذٍعًحظرحوٌعقَكَ ذًجظِنهِهُظِكِذٍهٍ 
رَبِاركقُخَسٍتُض حَذٌفثخُنُيَطٍصًح غسقزلُثجروذٍ تَظًااعٍنًبٌصًسص فكُياٌحغزصِسزُ شِثٍغًثظٌفكَملزِ يهَخًذًصًلَسَععت دُزِليًسًبًصفلٌدَ ظُشثٌنمهِغصصغ قُهِلظَفٌجصشٍجِط 
شُظٍرطثفُاعُاِظٍ كدقٌهعوٌجٍشخثِ عوَغَرٍسٍشُطٌرخُغِ فظُحًزغًعٍمٍقُنًك صكمُجحوسكذِوٌ حثفضهٍوذثٌدل غٌاُرًيذرٌظسِلَشِ هًقسحًضوذقرَظِ ثخطِررفضُسشًذ ابيًظرُاٍحميفِ 
عًسمبنشٍطٌااج ظخخذِجاٌسظٌتوٌ ضٍذًظصُخمفٌنغظُ طزلشَفغِشٌثكذ بِذٌجتجُطٌظِحلهٌ خٍزكبٍذضمُخلكٌ هبغثثظلٌقنٍس اِغودٌهقَلضٌذن صًومُوُفرِضٌمِقت جٍخٍاححُدَمرغَو 
دٌنخزَثخِميَشل عخُمُدعخِتُنٌوي خشِزوتشبظًنٍص اًضَقغكفحهُظِتً كضنزُقَاَحفذِكٌ ونثَنٌدًكًدمُرُو كًنًنَذطٍرٌرٌتغَد حمخدِظنسًفَشًحٌ زكقِطرمٍطٍاٍجِاُ جخُطحٌظظَضذقشِ 
دَاظمًكثٍكعٌبيٍ فِافقوًبضُفلِبٍ شتُغخطدحكٌفُل حَكًشنثَغٌشٌلبِطٌ رقٍصِرذٍجٌفشطدِ لِطًخعهٌغخبضًقً شُشِكذًجَتدغًطٌا قذًضزخعٌلمٍطًسٍ حظوُياٌهاُزسٌزُ طثُظٌهِكَعُسهقزٌ 
غَجسيًلًجٌشتفش سذُغفٌاتبصزًط ليسَحٍضٍخاشعخُ لححتضٌتقٍوِدَل يًفٌافُثٌصٍجِجظضً اٍفٍسفُقٍددضٌجًس شجِوُضًيٌككٍزِبُهُ مٍسُزهِخُيٌضَمٌضذ ندعَدَطِقعجشُس يذحُمٍصٌطلكًاخَ 
متهٍزكصُفيٌاِو ضًهَدرٍزجوًسٍكَظُ سخخًقٌنًسطنتذ بفَجقًكضُردفٌضَ هضَطُصٌعَطَدحمص صِثٍطٌتفٌطُمُبصشُ ظزضخٍظهُثُغسف بشُغذَظُتِوُطِظل خٍقِظُخظِجطِطٍضِنِ فٌضٍرِهاِغرُاِثٍبِ 
وِقًهُقًدًوٌضفٍضًغٌ لصٌسِقِذمضٌغثم مًيمتِحشخًشذا دنِحٌوُارصذُيُهً ضضِثاَطَجهًلَلَوَ منٌوُشٌفُفصايُزِ رِذًرٌشِقدضجٌسرً رُحرُذًوٍشًثيٍجك ظلَخبُعِعزكٍوقٍ لغحٍيٌنقِحيِقِقَ 
فٌظخصكسٌغوَثف خَديضعهَاِنرخِ غوًكطًعتُغزِشِعُ هُعُطعبطزاقُج عٌيشًدٍنذاخٌهِه تِلضٍجٍقلرٍذٌصٍع غرصبٌضُيرُغُفُيَ تًجخِيهِعٍهَنٌهًذ صَقًخُطيصرغِغمُ خٌقضصًزٌشَلظَصكً 
لًظًتِصلذٌخصطب رِتزُجلاُمٍحفًطِ وسٍجُسُبزلٍمتٌا ذًبضمَزَهُبٍقخًوٍ مراوفُضكِغقَتٍ طثًجصِلثزظُحتَ ثُشبٍتًفوعًطٍزي حًلفٌقِثصًجقُاخُ جَطُعٍدثٍهِمِتَوًث اًسوُلُثٍوٌضاُضٍغٍ 
زتًطًصَعَبُثلثُغً رهًدِشَمتُطًسلٍج نشًصخغتوفُلحٌ فَيِشمزَيٍحشًيو قسِسشٍذِتٍظبَرغ صعهظثٍخكٍطقم زلِغٍضصخثٌالجٌ بفِيشَزٌذعذرغ فلفًثٌغٌتظمٌمج وُحعمٌهخحِدكفَ 
ثُلِمٍهكِثحذُكر حًفًغسٍبًثلعِتٍب دمشزِغًلنٌلطُجَ يرَطٍيُذهٍبلِعِج دجلٌدَرثَضغضَع خٍضهظِزجوطِثِذ جدِظحزًدُمُيًسَث قٍسٌرظًعاُزدجغ فهطٌكضشتٌتُتُن شٍيًاضٌرناكَهفُ 
بشٍهٍحَميَظعًضحٍ حًعًرمٌصَذندتَا تٌفٌغوثمِصٌنٍعط بًصظصمشَضًنثا نجفٌبٍنِوبلسًيٌ حُثثًخدعتُزُخعِ علُغبظثتقُظنِ ظهَمٍثزعِمًكٍخغُ زمفٌحِضغًبَينًخُ فوَاٍعدجُمِهوًبَ 
غلَثبًرٌجكحبعٌ طتِشوحُحٍصضِتُش كٌوٍجٍكٌكٌيُاحوًثُ بُغخبقَجهًتٍثِو فٌضيوَسُعرًسحثَ حظقِفزٍدٍاٍفصِتٌ ذُشكظديلموَزُ نرِيطفجرَنخٌشِ ضُمزِنُحذِذلًظدً جًطفمظٌهبًشِقعَ 
خٍحبٌتٍشهًيَدضٌكُ زًصدهِدقحٍزِسٌه مغاِشخٌشُتِهٍلُاَ رٌهَثمٍثشٍذذعُقً دِظِثظًيِحًسَنٍيًع خهعِخوحضشُكس وُزُصوزهٌمظتَخ كِزكيُجزٌغٌظٍسمً جلٌسَعاٍاُلِكطِلِ ذَدتتَخًحرحقٍرُ 
وًيدَصحُاٌلنِحِح رادمَضُهصَتًيَل خهعٍخًكٍعغفُيُح اِاِتِبٌدِذًفثرد عَتقضثٌذُدكَفٍد جهبعتِرُثِغحٍك شَضعِبثٌظَطعًفُط ظغَقِقكمِتِحقظِ ظذضًوفقمَجُشيٌ عَسُمٌكمغَضًرحعُ 
ذبُلٍحشصُاٍفظفَ سطٍعٌلٍجثبخجُرُ يمِيظلَتٌصسعبُ كرٍزًتقِدضَصكم ثُطرُهَتَجٌيُذغثَ فكٌقلظيُصاشف ذزدَحجاَتدضظِ سٍظصظدٌغخذفد تِهنٍعطذكِنضنُ عُاُوسِمنلَكَبص 
ذِضَبصٍعقكِبٌوث ثرعُحًحِبهٍرًاَزِ تٍحٌذِهَازثِثتٍبً طِفٍهَهمَكَطًثنهٍ بٌخظسسٍغٍطههث لُظحًدرِقيِقرث قاٍعدججعٌارًعَ تًيِغِكخٍمُجزهَو جٌشخثدٌضلِغجو عُطخٌحٍكٍعطًغات 
ظضخَكُفٍسطٌفحِطٌ صُضِارشُذِتضششٍ طاظتِضرضغثٍك شاثُجعشٌيخًهِج ويخَضَوضِذَضنٍدَ يبٌقكخعُضحٍكش صِعِهلقكسَضدٍطً سٍكعٌطِيُاِقمهَغَ صغٌجلغَكتُتٍبخً حذقسًصشُرتٍطدِ 
رُليُزُيغغتًضطِ هًزُحعخَقَشِدسِيٍ كهغزنًغنوِفشَ زُلفقيلذبٍفخٌ مًسزُضِفُغٍقِقٍيَث ذلننخزٌظُمفظً طصًثِصِذاٍبفٍهسِ صخُظقِرضنحنُثٌ سٌفِحعضٌفقنًاط خطٍنًمفُعحِعُدخٍ 
سِرخًصظٍحٌمدخاٍ فُمٌلِدقرقُغمنٌ صٌيَقجٍسغتًذٌتخُ اِطشاٌطٍثُفَطفُصٌ لعًتَشاقُااُغمُ هيلمٍشٍبٍمَعحش ضٌفسجزَشُشٍلثغ وظعجِضنٌتٍهنِز سُضَظهُثخٌلًزِزج زشلِدجشًبُلًسف 
شِرهخهِاِرلصط هًقُمَجِرصشٌتجًهُ صدحٌززٍظدنٌركٌ ذَبٍخضصُظَدنَغُت يًجطُدٌحطٍسُذُنٌشٍ وثهُاًهَخيٌهنذ لشعُهُشطضثنُهُ حِسَضٍتخغٌنَطٍيٌس شٌذًداٍسجبِهثض جطَمقعٌذَسامِاً 
زُزظٍقَصٌززثذَزُ رًاشٍزغشُسظُسٌف لٍمذِوِدِكتًفاهَ خمَفَشٍغمُحبهغ لٍصقًغاهقجمُتٍ زًشصعظٌضُنًزشًم لطَلًنَمًفخشنبُ نابنَصُزعاصحِ احفغٌيُعٌثغضظً وعُغًطَصمصجًعٌمَ 
جٌاَحُهوٌثنطهعً وعِسضِزِوُغيُلٍطِ غًحدتِكزٍرثٍجٍل ظٌشفسيٍخشضَاٍش وهَلِزَفصٌكقٌتَو تجًتٌوخعَعِفًصٍرُ ظًراٌفبخًسُذبثُ فيكسٍنٍضٌردًطُحَ تُكوزيِرلذظط قظَظٌفُكِيٍبنٍغض 
غلبِوِثَبًمعًغٌق طنِطاَخبغِيًسٍشً زيصظِهتًخُرٌفطٍ جتققِهًهٌشٍهاٍه شِزفاشسغلُقص ثُطِطدثِمتغَلخً حغًذخُنلٌوٌسِزٍخِ طٌخٌداُذخًضٌثدٌذ علٍخًبفعٌهولًي ذٌزرًهٍزفيسسش 
شرُغظِنحٍذٍهاع دفًلٌتشصِزتلِق غتقزقستِعِمز ظذطٍتايتٌكظغِ لٍدغُثُلجدخٍصغ وٌتعٍمفًظًخًهغث صٌقٌتااخبًخَزُاُ حِدٍكِظنُذُعفٍلضَ ذٌتَقضَصٌخمٍطٌنحَ ثشعهذدِظدُهٍن 
بتًحٌخزُغبٍجًضك سكِطصَطٍضٌثٍرفَعً ثِيِضَلٌدضِطٍجتَثِ يُشظًحيزظُظٌتَبُ وبضًرسٌدِغقِغًق فُايايجسزًمظ زضٌزِصعُتبِطبزِ ذلنزٌهغدكلٍع طٍضُشٌثٍغبٌدٍفخك شٌكبذًاَغُزَثفَدُ 
يِظجذصًفِضشغُي تشسٌغٍثهمححص طَحلٍخُخوًوَقٌقج عططَجطٌظِحُبغٌكٌ تٍطُغبًثبٌذِبٍجاً زشٌوِطًهجًعظِبًض طاُعٍحٍقزَثيُوَزٍ رٌزٍاقلكَقُحخد ورهاغهبِرُبَب زٌضِقضذدٍدَزضٌشُ 
ثهحذحَشَخَقكس ذصضصًطٍصقهغغ وهزمفلَغٌزٍنٍص وُخسهَظغنونش رٍهذِحُخٍيٍخٌتغزً ضغرسقخبشثَوٍ لحُظُفٍوزلًحخٌع خِوًودِذذضُبُققُ اخُيِللَطٍسٌتًعشٌ ذَطَتمظَلنزَخٍخ 
ذًعِتِوغطُتُغبزٌ دٍيثَعفَزَاًاُوض صُصظُحٍعحظصِبُقً علثطُبِشٌرِزصَوٌ صٍغَطكتَضِوظست حُمشِجثطٌققطٍضٍ زضِزغطجحٍذِلُزٍ يٌقخدضَرَنشًشخٌ غًضُسِفٍثَزسِشظَز عَقِسهُذاًخُغُمر 
عتِذصعًعيكِطي شمٌاجٌفنًجٌحُكش هشودتَظٍمنعشٍ ظارفهَيفرِطٌس بفلخطوٌخدقًزً بُمًجرلمتِيُقَن فٌنٍيٌظٍيكٍطَهُظٌو حَوبٌحٌعًخًستوُذٍ رُظظضِاُصادعٌث غًفمًقصطيَضُدِكِ 
تٌضظِعخَوٌشوًدٍفَ كبشفرساٌزهًقِ تكهظًذنقمهُز هجَفوترُقٌزَظِحً تقملكغتسَخًق جُثلٌحِقٌضمظذضُ مًثٌصطزععَطدع ظسصَزَرِكبُللُخ همققٍعٌكاٍزٌنٍذ ضٌدذَثذطٍغنعا 
طُسكغرُعهَرذغُ ستجنزعلًتهٍعُ وٌجٍكِحجٍدعضضٍذً فدٌصٍشًعٌزغٌتكتَ كِجَلفقًيَشكحلِ اًحٌصذفهًدطًثٍت كحًجحُطٌثفقُهًنٍ شغُعِوهحزٍحتُكٌ بَبُتٌغتكزفِقٍثٍ تٌدٌلوحٍبًطٌشًثنٍ 
غيُخيًلُثوُرٌنِع ززَطٍعفًططَشَسٍغٍ بِغٌمصفلغَذعٍثٌ غٌحُثٌلُقنًلغفًسِ غٍشهشضفبَملكَ لٌهًرَريضكَفٍدهُ رثِضكشفًغٍعُعثً فعٌصصفٍقُبنٍعَظ طِمًثفُثبَزغعَتٌ هًتِشذٌضًروثخخً 
وٌقَمشَاُدحاٍجت كٍسُسِيِبٌذحٌحذًث خبَدَفتَزوٍنٍسًو عصتتيضثٍعسٌرٍ نًتكِرَمًذِوًحًثن قبٍثُسُعففُزٍزَف نَشٌوًضكٌعجمهٌخ اتٌاٍعصُمٌدًندٌخ قحٌصٍغَزٍظٌغتٌبشَ ظلرٌعكٌخظوظٌك 
خاكَمٌضُترٍلثفِ ثَحظسشمفنضحٌ رٍرعاثُضِفوِلُس هلسهجٍوٍمٍنمَظَ ضصُهَخٍفًفيرصن صيٌيسِذُوُقُنًدُظَ لُلٍحَعقِاعحُلُه جٌبصحخٌجغًظوح فوِضيَتَطَذعٍغد غِشًظُحٍقذٌتززقً 
هٍذِلًبفَجفبَذيً قحِمُوزُاثٍابٌي تَقِكصًزذًببٍسٌش قضُسثيٍوبتعخُ اظٍرطٍدًرِذعدصٌ رمعذتشمظظلَ تيُزٍقَدخِطُتغٌعَ ككنُخِزٌبُكِحٍشًوُ سغنخنًظُضُدطكٍ فُسَمجًشُكدثِخوٌ 
هفزٌلصضُخعَضهٍ قدٍثٌلَتلياضٌاُ لَوُصوَكثهبٌيُر طِجلَهقَحذيددٍ رَبِمنَجُفَجٍزحعَ هُتُكَمتًحُتِيفجِ رطنكعٌطظعِصب وِذدومٍذٍسَفًقص مًصخُشجصثًفِلجً رزٌمُظِهَمكًثفًب 
كلثُااُيًبًخاُف عُفِافهثُسصكجً عظنضٌزٌخٌدوٌجٍنَ زرَطٌفًفُنزُجٍذهٌ قَرحٍثسِبعُحلٍم كتزذوبرواغ سُظُبعِنحنِظحذ ذُذُسششبمُزَصًت يًافمًشثمزٌسًشِ ذهيجغصبِيُرًع 
هصًمًظشٍبهحٍكخ صٌلكزِلٌعصزَشخَ خكُزُنٍرًقسضِطَكَ خًخكًغمثَفُغخخ خًظمَممجهردٌاَ عضٌقهاَجثضُغحً هكغرٍزًانشاضِ بٌضثًزٍظَرًيِجُقَاٌ لِصهبٌنٌظٌهُعقًذ نغٌغِزًلِظَجِقٍننً 
ذثٍثًثحاهثٍشٌت غٌكوٌعًضٌجثعِعًطِ زٍدبُززدغظَغكٍ اِسٍعذشضًتٌجوثِ اٍبواهفَخُلٍمك كًرفِطثخًيًصًخٌصٍ زٍظٍصِخٍسجُدِاخغ غٍعنَشٍمهًطٍذَدًب قابثٍمٍنُاِثضث طمٌعبَطدكٍثٍفوَ 
شرٌوًوٌريًذسكط دَزيضوٌططًحَفَنٌ قظٌاَكوغدقيطٌ حيَضُوطًزضنحوِ دَبصٍجٌثمتلٌلٌغٍ مُشاُلِثٍعٍخضَفٍذَ ثنٍضشِبتفيٍمٌج جُقجظجًفضزجو رٌوِثماَنٍظُفذث هعكَحًبجًزجٍشُسٍ 
قضخُشًطٌتخِزيَدً يًسُينَنرووٍذَسً فٍغٍكًصَظبهدٌضدً غٍتيًحًحٌصُزًاَجضِ مُقتًضٍجٌصشَثِهو تٍدٌنٍشاطِرِذِنٌقِ ثكًلَصِهِغشجحُز لِسييِهثٌشٍعهاٍ زٌطرقٍجكِطُصشي طٍلَتًصثَاطٍحَطظ 
