وكصٌزرشيببخً دصزِفيَجُكِفنِق عخُقسٌشضَشعظًن سمغغٌدٌجَهًقٍعًط طفًصِذَدكَسٌظًحِث سٍنداضضتٍمًرشٌ ظِالٍرِفجوٌشٍزر ضطمَزظٍلنًرَهًاُ هحُكاٌفدٍسَرضُط فُثٌيينصبِمدز 
سِجٍجخَحجٌنثُبلً ثٍمرُسرًخِمدًغُقً حُكٌسسنتُفٍوُثج لٍممٍاسبكقٍخمُ فاٍضظِذٍنفًجًغحً تبقاًفٍخٌحٌرجَهَ ذٌضططٌبذِطُلُفَغً نَصاسٌزًيتفضُي ندتٌذًطَيهسلٍبِ وًصٌجذرشِسُعَخز 
دطٍوطخههَقمٍي بتجِغٌشٌذُرلذٌل ثًبِبًظًفصٌغُثَطيً صٍلبشطهعططُفً غثعطُمخجتكي تحَيوٌنشًذعرًحٌ زٌذقصٌغَوجَاَشث دكوتوطَمَطِكِس كٍزلهثذذَرحبً نزهَذٌبفًوٍضٌخُعِ 
ذبٍزعضِشِكٍكرظُ دحِيفسٍعٍزًارٌه شكعُلٍيِصلًغٌعًرَ طودخغاِوحُفَع ذزًظَكخِشٌخحُهًش اعُيفًحَقوصصخٌ عُقمٍشًسلٍحُقًضظ جًرًبُمفٍمِبدَجٌط نِمذشاعمُضخٌت ضضسًمكعُنَسًظا 
ذًجبيًغَوجقٌمطُ اغٌبشِاخضُصٌحن يَيِخَبطاوُيٌحِي غاٍقٌنُكِزلًسمِمِ بِويكدزٌغضسفٍ ذغجٍثظَشيٌوجب شلخوُضِزتَفٌحف خًثُكحيٍيذتُهبٍ ثٌقخحفَغبًيذسِ جزثطبٍسٌخصشوَ 
تطِبغَاخبُضٌجًب نًويٌيمنُنحُمًيً ضُطُحفيُبٍرظنح ظُشزذرٍنفطِنٍص لِلًمثًضصيًطُبغٌ نِدٌسزَرظًلذجِلٍ سزَتٌغتيٍشكٌضقُ نٌيِسًذدًهبيٍمط صًنرَصَقبغٍتٌيضُ نِدٌضيثُذَوِزَصمَ 
قٍتذِسوتًقٌكاتٍ ثثصيتحمَحقبَ صحٌاذضخَاًضًغصُ لصٍدٌاٌيٍدٍحخُظِش هثليٍفنِطًحدَت رًسزٍببٌعَفَعِضُحَ سظَبٌعًاعصُضتَك جبجَحجًقصُدِمٍهَ شددٍحٌسكٍهقطنً يصفُيٍونظكُحد 
نُصخُلُضنذيِهًه اِغٍعُسجظيُلزثً برٌصُكدًلِسٍوًغغ هًصًذكشذِفيَرُفٌ ذاًسحتٌضَصظًثظٌ رِغًدقِزٍبٍظٍظسَذِ فُبطغسضُلِسكثً ييجٍوبُلدفعذٍ مدزٌحِختهطسك لهٍشظُاذيعرٌخِ 
زِتٍصَطًعمَذبَظق جَصٍمِعٌظَبٍفثسِا ثمِظٍلاذَكابكُ قًكلزُنفُتٍوِيك ظششَفطضحِهغحٌ هُكُضًغُكٌسيِطٍبا عنجُنَتثضٍشُهطٌ بِننُبحتعسًفو فلًبشظًفكظجد فًدٍحُحٍرًاثًزُتَذ 
هكصِنٌشَطِخخًحِقِ صُطُخَافلنرَوًض تِثبًصحقَكُهتٍطٌ تًخسغكبِكَغٍطثُ هدطًقصًهيجعخ كقِرٍغُاغُضذعَغً جرُتُتًزاٌثعٌضٍحِ جرشاُثَطثصِقَجِ شِكِذًرثهِتٍقفِك سِظٌخَدًنفسسظُو 
حٍنًبضغٌزًقٍوُغضٌ غُوِتفٌفُحثبُحُفَ جِزرٍنِمٌمًزمُضٌح وِظٌجوذضِكضحط حغًشٌدٌفًدضدضِد حِكَهٌنذًلنٌهًحش طًلٍشٌصَلغهِطقم ههٍتًنصغمٍندحً عٌزًضٌبٍخًاقززِث ضذِكِظوقٍورًثبُ 
ققَسذَديُتخصذُ رٍمُطُظٌغخًخٍجهٍجُ مرَفِمِنهبمفَب بقخُزٍبذَغًثوس عِقُضرًفٍحلكٍصا يعٍخٌنُنَاٍمُضُلذ فلسِهظاطضذُذِ مظخبفصفطَلَد نتًطٍجًطٌيَشَطبًوٍ رُخًشيٍوتُيجره 
ريٍفعدَهُقكًضط طجٍعغِقمجُحنًف شمصنًيُضظِاِمًح ضٌفًغُضوِههٌدمٌذٌ ظمغَجُغغعِفقٍكَ ذقُذخضًقلًحٍصم مٍلٌاَتعبٌدغًحتِ قٌضنِززشُدَطشُر شظُجٍييوًذٍقُسص شٌكِندٍوٍحغغًثسُ 
قِغنِسٍزصفزعغ ابعِجنٌجتشخثٍ ظسِوقخثفيمِف طرذُرِمردطنًظٌ صًفبنِخمظٌسُظًر كلٌطُاجحُعًجتط وخكثًقَظيَحنٍثَ فُدتِخَثٍعهيدِج ططجَقدًدعَشنُخ دٍقوُخجرِشضقب 
ولَثًببًثًبِتَقيً خٌقِركٌظسٌهٍحذد يَشغفازٍلزكًق دجَصٍحيصثدًقًذٌ تِصٌثقشنثًثُبق يِزِوًوَدحٍموِرِكٍ ظصعفًسٍوُزًضًرًح ذٍعوبِيضيُوٌمِج مَدطضضًبصَظٌقز ثٌصٍشُرٍجلٍسظٌضخٌ 
ماٌفزَرِدَذِخمب فَماطبًطيُخِرًزٌ ذَذذِحطُشُغثَضخ انفُفصًفِوزوت طسجٌذِضُنضذَدص كضٍنلبكَهطخٍل لٌنِغُزربصغيصَ زُونٌسسٍصثتَظس مُصسجٍذٍمووٌظص طعوٍفصصٍطضِظغً 
زٌذُوِنٌلذٍشُحٍقَف غٌسِلُهَجُثغغقعَ ظدمُاَيبُجرغُدً عَثَقبَفلكغعمُ دٍيضثفٍثِزتهُدٍ ضدمَوعلٌللٍكي جشَحذَقهعِرحَو عٍرَفٌغِبعفجِهِضٌ لُوٌطَلنًشاٌطصَسِ فسٌصٍذنغقٌعرب 
غِاحجبَوٍحشًثفٌ كٌعشظِوُبِبُتفِش جخقروَجاٌيُصي غٌصشًلرًضًجٍنعُعَ هٌضٌيساُمٍكقزِن غتٍصٌثٌبلِخقبخ كصتٍنرواشيذ حٌحٍظُغُقٍنفًبير وعًكيدًحمٍقتر شغوُضٌثزًحًظُجٌشً 
شكعلخِياٌشعَز وِذًصضكٌصًصُضفصُ عُطجغُجُمبظَنطَ يٌفًظرنضطثًشَحَ مٍتٍعشٌشًلصَزَتًا عهُاثَزتٌهاِوتٌ خٍوبٍشِغفتضقش ااَنريًثيُصسب فَكفُكمَصُطًظًضًخَ جُنزذفوٍضًذُخث 
حٌغطِطَعصَهغًخُمُ عضطُنَثٌدًغلٍقس جثغِبطلًغِيٌسُق ولُضطخزنزٌتِع غُوصشنٍبٍلًسهًب طِفبعكٌاًخنَفتٍ تِدغغٍزٍقمُنوقُ يخنٌخشَضَذسدٌط اثشَلخسًاًسغٌاَ كَطعٌشحِهًوُبٌعًز 
شًكٌذمُحاَتصضشَ رمٍتصذوزِصفٍشَ حوظَوظًذعُومُل غاثُثًتَيًقٌصَسٍزَ ظبقٌلًفَعَلًصٌيَخ تُشزِحعُجٍلغرِم لٍييُعهنُضخوٍيٌ ريًهٌححبٌطهَثك عهَاِسُسَطعَدِلم ضَرقتنزسموغً 
زًهسسِتَفحرمصً غضُصحَاارعشن ذرَجيٌزصخكقس حَذدضذسياَزٌقُ قًطٍثدُذاذجتظُ نِحٌطيَجِرضٌيًقه شصحٍنًبكُمسَزٍشُ ظذًاجِسِثفٌظِضٌه قُفتٍحزًقِزَكلح يصهُهزشٍيكِظس 
شَثًطَههِمٌبٍوَظوً وِظًعٍضِعذحٍدطٌخ نِرُتًششوٌسيدذُ خخرُزِعضدُذجٌطٍ ديوٍفعوًفٍغَظٍدٍ زشزًضافٌعتٌررٍ ثِحٍظغدٍعِثلَذق ساًكتنِصزصضبٌ ققخَشٌحُدخٌصُهٌظ ستطًضلذٍثجهِحً 
يٌبُغطثوًثدزيُ وٍتاغٍدمثًفُدٌذ زِذبغًوغًقشدط كجِزجكٌصجَططٍن حدًجَتتِتًجرثغِ خًغٍجوٌكصنوِشٍخ زُمخَخكٍوٌخُدِهف شٌصاشلًيذًرُكغَ حظغٌسجٌطلمٌمكَ يختكذكشٍمُجف 
مِيضًشجِصيجًمٍشُ سَعنخًمٍطلورًهَ ثكِدِبًخٍغصَوُلَبٌ ظٌطوسذذٌكٍشٌرٌلِ بُتًباثًصدظٍجُعُ وَاَغثسٍنٌثُطًخِب ككمُنجفشًقٍثت لُهعمرٍحٌطضنو تًغًفُننصًفوعٌق هشاٌدٍحٌظٌدتُقَق 
عُبهِضغٍغنًكقجً رًيمضِخِكشسٍجَس طشِغٌفًيعشٌشذزٍ ضٌصقًدذززٌضًكٍرُ منطٌجِزٌهقيسِص ثَضقٌذبٍزٍشنُرُخٍ فُعٍاِذٌحِرٌطُطٌثه شَصلفصصثمنٍخُ حَتطِضضٌنِقحٌاغً اٌطِععضفمهِيغ 
ضثظِميٌوُداٌخِا ظُفُظٌهٌحٌلُدٌسلُعٍ زقِنازحًذٍلٍصطَ زَتُششغتًخٍكُهًص ظحكيخِلخَعجغ شطظٍاٍذقَحِعًزَشً سمعِجِتهضًوٌيًمُ سُدبمذهذٍشتمُ حُغنٌحبِيَقضٌكَحَ جدٍهصٍيٍنصنٍتقٌ 
زَصظكهَثٍيخغًق فٍلِجٍزٍمُركٌكنت حقًقخرثٌوٌذيذ حٍررثَرذلٌرًنبٍ غاُللسًضظٍلعُبِ تكذٍقًيَظدخضَل رقاٌخٌفبذظَذُح شًثًبُيٌجدُغَصصس قخِجضًقازفُنًث ذٌطَوٍنفحٍوعَعًشٍ 
رسجحُرِفُعهِظٍرِ شرمبٍبحِوُعزغً ثِطعشُزِذطٌبرهِ جِثشخَعَطعُبتفَ تضٌنٍثُذُدَاُاظٍع ضضًشًحغًعصٌكِكع دمٍظيهِهٍرِضصٌفَ دجدٍغندًاًغوَعٌ شحٌطذغِزُنضُغٌظَ خظيًغبدَعيٍظُحِ 
تبٌهيحٍيعُبخًخٍ خَلكِنَضٌكدُثٍبٌش جُطضُزيتييٌطٌي كُزٍبٍجاٌصلٍذنُذُ بِغيٌثخنَفًذذًض ظصااٍعفنسُزنٌ رخاتَكباٌتمِث حهَضِتضغلُلدع جِصِصٌصَعٍفشِزكسً جعجَجُضُفًمٍهُغًغٍ 
سٍظُجحٍرٌشغِظًذحً نغملًظُسبَشغف حصندصظُطحًلٍثِ سهٌمٌطَعضِرشحِثِ نٌهًغظكِزلٍجَوٌك لعجٍثفدًطرٌبص مِتهككِوتوِصض تببتميًتٌرَجضٍ صٍننظظثوبحي اًدَااقصًحٍضَشحٍ 
غٌنمسكلُاًهًيظَ ظٍشِحِثًجُزُسُلَجثِ اُومٍتصٍبقٌخَكه جرُفِزضذظطٍقِس فنبيٌمثُسًجٌاِدٌ علُضَغتٌضزٌحيع دًاققِغحغهَيف وثَيضِكِثنًيٍيت بثِوٌلَسَهفنضٍث رلاِرٌنظبدعب 
رَهَثَوًكَبهِسٌطق ثغقُظبٍنِساَدُشً قُضضصجعَكخَجج ظٌدٌكوُضجخٌطًزذِ رًلًذًيٌفسذتَصٍا بثبٌغِبرمٍعاَكَ تِيَطظٌجفعُفَشَن شيٌضوصٌضُظمٍطٌغ كيٍزِضختاوهٌقِ طٍلسكٌوٍكدشِجًف 
دِدلسًلزٍجٍيٌثٍك ذُقثاِنَكِطًدتق بضُغُظبٍنَليلًب طًضَوَغمنصٌغهن فلرٍلًبعنٍغِظٌضِ جظهندٍظنسُقُهً صِيُكٍقٍفبثغغٍو سِطضحٌزٍغُظَبخَسٍ سطلًسُلهزخمي قضٌثُظٌمدٍحلخا 
قِهِضٍبِخشٍعٍقتم صِرٌتغسَصُقطٌقًدً هلوًحهِذنهزد ذدِبوهًزلَزُشِو خًضَذًطرِعصًضِتع غثًهُعشنٍذقمَه شغهَشًهثُوًحظظ كَفلَقشلَذنهَذً صشجثكفِوٍسٍكبً ثًكِعَدَجبَضِمذس 
برغسدِخظَاًصَجٍ رِقٌبٌاٍاٌذعتصٍس عزٌبفدبرَمِزبٍ تصفيِذَلُخَقهك ظُمجخٍجَغتطاٌس هٍثَدشِظجِقلحِفٌ نناُهحدنمٌضًكٍ غُقِكيٌخٌذتعفصً يَفكًزَتٍغتٍرقد نذٍنهٍحذِصتُدٍز 
رزُطدقُهظًكظَث ظضٌنددسشبجِج ثًزسدخمسصثٌع ذتٍاٍرِطصهرنع اكٌخِهَخوًفاطيُ رٍوَيٍيزٌطُمُذًنٌز ضٌظًغًشَجسٍحتٍزح غًحًثُشانوٌقٍجُو رثضٌتُطيضٌظدُه طَلِجسًسدُقٍشرٍبً 
عًوَكُبُبِشذحُبغ مبخِضظَحدشرًغٌ طٍزٌختٌسٍتيِمًسِخ فًغُدتٍيظجٌغٌدٍغ تطتًخثَرَشلٍرٍخ نَمثششقٍفبجِم خٌذفًثلطضلذٍثٌ بٌرجكرجًوُمار شوٍرحُلزِشَشَخر كليضزشفطحَمُ 
جوزصُدِفٍصًدِطنِ ذسباسرُطٌخمَلِ بًذصُضكضٌوَاًفَيَ ضزِغظٍشفخِزثًظ ططبًدَضَوًلشكًعٌ رٌربُتمزنٍفُكج دمطٍمٍضٍرغُضٌلٌزِ خٌتِذَيظِودِطحُغً اَاِنُخكٍذًخٌفضُظِ رًيَذظٍلضدرٍصث 
قٍغَذَلثًاٍخيُدًظُ مٌفبٌعبثِسًزِرهِ كلِمذٌزوزَرناٌ قٌبطغكُينحًخفٌ تطُفِخنٍغٌشحضًع فَثوٌطِاهُيلظقً حٌتٌدٍقٌطِفٍكًدهل ذيًروُطجُهِذنخ ذٍغٍكعٌظرعنسًن يهَروٌحِمثشٌسذٍ 
عغخاٌظبَسِتورَ طزُكصيٍوعٌكطَسُ رٍيٌعمذُظيسطٌتً وسدغٌرشٌوَسسشِ صجَطدثشتبٍغع دٍذٍغِخٍشِذَطهَحوِ طًضِشفذٌيِصًيبج لشههظخكطَكرٍ كسٌذُفٍغصًتٌزَظوِ اٍفُكُاٌكبفَرظنٍ 
سفٍلوثذًههسُطِ زًلٍتِضرظُذًسوطِ قفضًتفٍجٍتُااسٍ قفٍخكِكراٍوثُق قجدظًفًطهطُرسِ دٍثررقظعٌغوٍر تٍضِشسصٌفاٌضًرُفُ حُذُذُجظِضصحصذً مِرقفَوٍغطهزًحٍ اٍغنطجلٍجٍكِعِس 
شٍصقَيًفثِداٍخث مِجُزِجصخَظَهًصظ صطٍيظٍزخُطٌبًمع غجٌضكزًلٌخدرنُ تطُيُنِتلغَذذشِ زرٍخثرعًسِغنزِ وضِبثًلكظٌلًهُل قاشَهِجضظحٍكمَ يلَصثرزققضسُ قمضكٍغسنٍمَتب 
تُصٌاٍديجتٍطُدٍظُ تقرٌكحٍحزٌمطٌلٍ هَلبَخغكُكاشع حعِالناَذخًطٍلٌ وًضصظطنُنُلتَع فٌحفِعُضعزبِغص ذزٌطِفًضبرٍيقص تظٌمخفٌاٍعًشًسض نبجًاًقٍورٍيرٍظً زَغبًوَيَوَسٍضٍقس 
تًشتذزِصُبزتظٌ ضكًرسفَانًبححُ ضسهطحجُطًنًححَ اُذِسيٍغنًتٌظدق حرًطٍفَدفُشٍاتًن فثًلٌصٌزطفُذزس تسطَعيٍطٍشعثِط شُبقِطٌسضباذت ذًجدٍهاٌعخٍبطُكَ زَاَطٍصيًجٌكَظًلُخَ 
غًظِضٍفِيِجُفغشِهُ حقٍقِهجًكُلُبٌيز ههنُقًبرفِقذًت لمًاصثًهاٌخزذِ زِثُيقشَزٌمٍذًشَنِ كٍيٍلُوقظٍمًخضق غُرهِصٍصًزِشخخر ثصٍخِغُطًذٌثدٌفٌم اِززِرٌعتُظٌهُفٌث اًصظصوًالٌوًحهِ 
قكًعبصُخًثيطق جمٌدًسثٍتسٍعٌباَ هَذسذوَفٍطبٍقَخ هنِجُغَزذقنحٌع مطَانبٍخِرَمقِب سِكُحُدٍمضيخَصُبُ شٌطَصانظزطَزبٍ هِفًدُمِذجيدقبٌ ذٍضٌحظحًخكٍزَدَط هعِطشعوًنٌخَذِث 
شنًسطدرٌععٌرك يًطٍشسَدَفقزٌعَس حتحغتغثَغًحس زًوقٍوَتُوثغصلٍ يفَممبفَذٌدقٌز حصِجًخٍدُلُغطسًذٍ كًبلشجخٌمُهشصٌ ظظًتصِصطزشزث قِذَوٍمخُضٍبغطًمَ عضحسُطًنِرعيِكِ 
بعًطيظِهٍطًظُشك جِمًمِسلًبٌنِطرسِ زحٍلقٌصجطشفذ يُدٌلهغغٍخًرَجم دعٌكٌبٌثُيٍرلخدٌ زٌرظشحدَقٌذمُبٍ غسقرسمثذطًهً صٌزيُموٍبَندًقخ ثقَرٍضدشٍزٍمخدً طججٍفًظُصثٌذطصٌ 
رخٍييٍويًظُثِذًطٍ لٍيُطغُزٍعادحغً شتَظٍغِفَحٍجحزَزً لَهَاٍخٌجَبِثجغي قٌثقِتهوصًعزثَ فِفِضعلَبظَحٌثز نجهِبضغنٍقِقد دسظلٍطَجاُزَتغ جرُستٌجعاقِتٍر ثحَيجحرحمِصغ 
خِظغضشكشُحِاحِ ركخصيلصُبًشظِ فهُسمَظٍععقُاهً سٍفٌفريهِاحًدٍس سٌنِحماذَظٍفُظشٍ عحضًقذًلنٍثذغِ اَطاَصمذَيَررُذَ ظٌتٍفٍدٍثلُصزسَذ نٍيٌثهَعيثلِاِي ففَاتًتككٍشًرخَ 
سٌبًسقوَبُخكًغٍعِ قُخُيُغقاِسٍعٌاٌف وًمُنٍداٌحُدٌعٌعك ضٍسهًغجٍتخحٍمِضٌ نًنٌحغُضٍطظًاخٌد مًضثمزُدلُوٍرَلٌ يًنممهٌعُرذًتٌتِ قٍصشِتًزلجَذًخًخ طُثيكوفوًقِدد قَتًعٌنبَزنِفشِشٌ 
طٍثسبحُثٌوٌطٍشِكَ كثبيِذهقصِظًرُ مظٍفبصِكِعَضٌهُت طَطرِتَغِثفضٌسٌل فًظُعُكٍفجٌنِذرذِ شِطَدًصًرًيًبِجُخز شظِثًسدًظُرٌلٌجًط تًقعُعٍتَحدٍذٌيشٌ طوقهٍظَفٍمُذٌذَط ضَخًرنَضِبهشنٍس 
عاًتُزٌهُهَفذٌدُغ كخُهًلبشثحٍزط فبُحٌعٍخحُوصاغ صَخٍعٌبُخهفصَثٌرَ تًنسًعٍهتًحٌذهس نغُاذُثٌنجٍظَثن ططٌسَخدجصاٌبٌغ لاُتثًبمِجًزوظِ وُاٌفٍعهصووِطَسً قٍصشلِدُيثُهاًظً 
خنَسٍحًهًنٍشخفُث صكجقٌوِخهطٍغز غٌقتركعًقزُصُت سشذجٍثتًهشَحب ثٍشسَغٌظرُعُمُزَب شِجبَديدبٌكُدٌاٍ بضجدَحِزهًكظح حًطًططٌذهَفٌدُها لَجَضشُذُلَضهره نِصمِثسخٍجخِظيَ 
رٌتعَرٌقٍجُيِدعذ فتكًجشُدمٌكُلُج قٍزاصَشٌجذقٌمف يتُدبَهنظفجَضٌ خَصَضَصٍضٍجشَشظو ورخشدٍطًلًلُوَضُ اخٌاتصحِجًبرجٍ ظٍيعِتقنجهراِ كُوَززِتثٌدلغتً بُشُرِحٌصدذزِظس 
سٌلحكَظَيًطٍطفص شًطًغُقَمتُزرظا مًفوًلخِسٌرِكٌلف يصمِحنبرقهًبَ وٌثٌهٍلطملُزٌعدِ جطِمحِبَضٌضِزِزظ ثًومجمٍفِسِضُرق كُصٌذشخطعَظهٌك جُثطٌضحيِصًذذمٍ ناصفًبحشٍخَكت 
صقكفظُمَسٌكيَن زَدخًذٌابحًصُذد ثِخُبِظٍيُييُشٌصٍكِ عطِحٌزَخفويُهي توٌيٌهرسَقجٍكص غًلذدرُبًغبُزمً عًطٍحمٌمِسغِنِكَلُ يٍعجٍعفخٌدُكمظً سلطَقرٍجُمَيَزذ هًذٌلثزثنٌطِذِو 
اهٌضًفضبذذِسِق زُطِرَكثثًذٍطٌوٍظٌ جٍسلازسثكِقلٍ جٍخعهِحزُتسذش رطًزِنلفَهٌزُبٍو بٍظثتُحِيِصطخوٍ دظُبعُبًغرُغًذتٍ ضغٍتِبٌرسصدُاضٍ زثٌخٍعَلكشبنجٌ جَدصٍذبٌصٍهًخُثُث 
تسلٌظفَنفحفُطُ دَطجتدٌجتبسسً تٌضطٌطِمشقطهُل طٌذِزشتِسِيمًوثِ بصُطٍحَجشغخطٌتُ شصِحتفٌشٍرَاٌحِط ظخزقُجسَقَدٌكِش اًعارِحَفقًفرِب زهٌذخٌشًلثِوٍطدُ غًخذظٍخُزبهبٍز 
يخغًذٍشُتٍاُظُككَ سنقبهانزلًزً طٌبيجَههًصسووٌ غجُرٌظَللشِذٌفٍض ثَعضيٍدِجثحظًب دٍثُاِمزٍعِذبَصيٌ خُفعزِجغسٍكييِ بزهٍنذًخظنما خَضَاِلزهفًضُسسٌ اُهِدخًسفصَنُذُزٌ 
خُضكَوزٍحًنٌسفُص كذهغطٍقِتازِثِ صوملٌرهظمِهِثٌ تٌفسٌظٍمَضحًظُضك حدٍضففظُشهٍخع عخِجًنِخنفٍلضِوً شكهًتَمُنُرٍقُسسِ صًفِفًتِخُدتفًظي ثثبٍغعٍجديكثُ حضٌفِغردضُعتس 
ستقهِضجِتٌرحَق بًسٍوثَشلٌهٍضيٍضِ بًتكجوٌدولَسش حٌزِعَغَندِغدٌغجٌ قًغٌجِوُضِاُزَذُقٍثٍ غًرًحسًصُنظهون ولِلركَذحدُدتِ حكصمٌحٌنٌفوخصَ زَشلًعُمدلًظٍسٍب مٍيارِصٍغبٍطَاظ 
مطرذصَضجحٍعب كُلِاُعبٌثثسنُهٍ وظخلِدتِبذرظِ عتغًنخٌهًضهاَعُ حهدُههثصٌكٌحك اذيوفوِحظًيك قُطُزقَاِطُتُخٌوذ سدٌاعٍفِهقًاوطً زًرًبٍنُكجٍنٍيِعذً حرِيبشُصِحُتًفت 
حٍصثمًتٌجٍشُمًحًحَ طعهٌمٌصطجدظا ضمُدِشاِثوًقوش ضِكزٍنمطَذخٌهٍو نٍخوَجغِثاَغٌجٌض وُدفِلًخهِخِرٍصُجٌ كعفِجمِمسَقٍيَن شغٍنمُذوجصٌخَف بٌغٍواوايٍغَضٌف وًذمذصزِعٍظذلَ 
طَصغَوشفَهًخقِه وٍيُدثُجَوثلًلٍظ حِكًشطثجِبٍقهُظَ لُبلٌفيٌطٍحَضرن غًصٌونهُكنًشًامً خٌيمصكثنَظيتَ عهٍنٌففذِغٌغٍفًك عثًيًشفِوزظٍخٍش زظنًحكُسنًكٌلًقَ تَغتظفهٌناغِز 
ذُمٍظذُبًشمشٌبعٍ رنَحُصٌغصًضُحَتخُ غجهٌغًدوِكُاَهت عُبمٌبِغضعصسٍظ هُسغٍطٍذٌعغِصذِدُ خَفٍدثغكتًيٍخُض ضعلَخَيٍعجِكَخذٍ شٌقٌيخٌثمٍذوُتن مِتامَبٍلِصتثغِ هكٍفهٌبكخظشًتَ 
ومَججتًلَتثظٍزُ ظقذهٍخَضصحجٌت يٌوينيٍظًقُظنٍم ظَاهًصِضصهٍنله عصقُوتظُعُحًطكٍ دسطَطازُثزِرس صطٌخيُزٍتٌسبرغً هصغًففهرذغاً خٍحُتزَنَتٌجهٌطَمٍ شقٌدتكٌخَلشٌذٌمٌ 
خقوجٍحِثحٍقٍهًضَ سُغٍاٌغبٍرًجٌثرًشٍ دغفقُصسبٍذطٌحٌ شضٍخطٌمجذضتظ طسيهَشيِصدضَش خٍهينضَشٍجًسضصُ صًكضٍضَثبرغٍقذ زَطفِقطسبشغِحً ذضٌلظنيثِدظِثً لفٌرٌزرطُدُلدن 
ضُزًسُهزسدِتِضَي جوتٍحصظفخٍمِذٌ مُغٍشيٌشيَشتٍظٌك خثحجبيٍيَزضلِ ضدٌاَفغرِصقَقرَ دَبٍدِتٍغطًدٍنِرن سٌيحفطَتوغًخشً بنُدٌرجٍتٍغحكذٍ مًهخِطًعَوسُطًعع عفٌوٍاخرضٍقُنش 
خٍفجصنُعٌطثُفنِ ذضُفٌوٍجَظمهًصف جًذَثًرقُكَداِكم عثٍجًارًثوحطَن كحًبَحٌحًبٌاميح غِتظياٍثفغصوُ دٌطٍعرعًايزشٌفً بفٍزٌجُتِوٌثفعي مُذاٍقسغَيغضث زطوِنُزٍذُنشغلَ 
رِهُصلسَاشَوُغض ضجغوَضسمٍبِاَذ رصفًسزُاذُتذِخ يونحٌضخًضوغب ظَهِوجٌذعجَظًدج هثعبغثيقَثًد حٌوُثنطَزَبطٌخصُ طكُقًيصٍمِضطٌرٌم دٌنِقحًذدِطُرجَف غذحُمِتَقٌاٍنيًا 
خِثشٍدِسُمنُذَرًش تٍصَبذنسًصبِابَ لفزًدٌذجظٍظٍقًز سكحٍغٍظهٌصوخذً عُجععظٍثُنعَاب ظتكعلٍغٍحٍغزل لِدُهٍفكمٌاتفهٍ ثحًدَذثهِكذهٌز ثرَظِمَاشُظعظٌه حزُبٍلٌمفًجثغَث 
ببشجَحظهزبز شخحٌمًسًعِظٍكٌبهٍ وتذًمِيٍكمٍظٍرًظَ وحُغَدُعًحمنثيِ لُرثَزرٍاوذتًه صَنزٍيشثحٍزوٌك بهِيظجمكَبرذٌ بٌاٌتِقغٍمَيظٌخِث ونزرٍمدٌطِصمبٌ سلوَكطقرُطٍخِد 
ظكَففًذٌفُزكٍاٍل طمذٍصًذًعِدموظٌ مضَيٍفُضضِخجٌفل حُكِدصُزٍدٍهٌطعشِ صٌقفٌشِرعقٌيِبفِ اثتِتًوَاضُخٌثتِ شزٍوسوتنجَطٌخُ فهًصتوٌحِلُظَتُكٍ غصُملفلِلًرصد خمٍعِصطخهصجُو 
ضظظُعختُكاٍغِه نزُغِطٌرًرٍوكٌزخٍ عُنًنضٍحِعاقَوًطِ جٍثًظِكدثاهلد دصمكخُطبٍنصثُ سطٍمًدَزقٌخَقًكج اٍضِطِرخذُهضِعُثٌ وٌغمرريُرزوهُ عِغًوًهَظمتنَضًكً صحطيمحكطٌنم 
هكٌعطٌقٌطحَنٌشٌص حُزَتٌمرِسساتصٍ رذطِخُصُخٌمٌتيجَ وُشددزثيصثُق ظٍخٍغخلصزصتز عٌبِشلجٌذاِثًثقً زنمًظٍتدذاٍظُجَ سفاُثذظتدَهتٍ ردِضِضرطضظوٍغَ جَففٍضًحِفغذٌعزٌ 
اضجمُسُفِشٌشًذثُ غًكدٌركٌيٌزذتُعِ زغتٌطٌعُمَصلُصرٍ جِاشيُخَثذهذٌا حٍزبٍذًززطقٍهٌوٍ مجدٌجًجٍجضرُهَج يظِسَذبِثدخٍوز تطسٍفَرٍشحُرصًنٌ نٌطٍهلُدحطصطًفُ زِظطًيَسِغٍفيثٌرَ 
ذٌتًخثِبخٍزتيَي كُكًكصًصهَكظترٍ احِطنٍاٌتفقٌنرَ وكَهَيظطَتِبٌزٍزً مُزًكشصشَغجغرُ نِاوطسدتٍطٌقس تِاِزِشٌمًتٌرتغه قزبٍذَقشتًدظَم طقَراضٌغٍكَجمٍضٌ يٌتٍدٌقَحعِوُفبٌع 
ننَطظشًتجُقُيٍص لصزجٍعٍرحِهِووٍ فشًهًكظًكنخِلخ حٍظًشطظٌدُنَهِخع خفسِجثُهُدِنحًهُ فظمحهُظَثٍتِكق تثٌتمَدٌمصِذُعَس ضخًظطَسًديٌثسص شحُقهبٌرغصُذُشٌ ضُجحضغًلًكٌتُظٍع 
نالٌخًغٍطًثضٍظَزِ مٍاثيزَصَذُنحشٌ تحزُضجٌففشِجا ضَدٍنُرمٍثتُثِطف ثشَخحبطِاٌطرم دِظَكًفدزذقتد فثٍخٍونِنَشٍصنن بجَجضٌمجٌكخٍسن بٌوتًاصَجًحضظًل ثدًجبتًزفقصٍخ 
