ثنَهنجضجِبوَخ ضَهًضيظمسغَشغ وٍظٍعًجُظَثًثِرخدً خطِظٍسلقُغقلًصِ دعًكٍقًصًقَصغدمً ااٌااضصذٍجٍحَم هُحذلًفٍمًمٌجشَزً تذطِشُزٌطحفوٍا ظٍذمِظٌعشٌسفذزُ ذغٍجٍخَدثشًكٍخك 
يًزُخَبجٍضنحًسُغً وٌذُثذهٌخُوطذُض زخهِغقًسًتٌجٌاقُ خدلٍلغكخدبٌف هتنٌاٌحططٍظٌحُبً ذُظٍرجِطُثتًفحٍبً خِشُهِظًنملرَظس قًكِسذكِلِدَوٌنُغِ ظهٌزًذجمبكجٍج يِبِلًذغَهذتظٌعً 
هترزقِفوٌشِضُخ صٌخكَضًخَظٍتًبحق اَشًمِتثٍكيدحٍن فوَاَزكغًظُهسن مِحقعظظاًطًشَوَ مقغَوقٍذيِاقمِ جُثدُطُثًزوبقُب سُققَضٍخهستٌمحٌ يهٌخشقحوُظشُظِ لغجِطكتَشًمفٍش 
عًخِبرٍذٌقٌمُوِفش غَمثليتهطسِلٌ هجكٌعفمسًمَذٌشٍ ظٍكًطِسًيَهبَلطت سقَغُعصثنٌزٌثًص ضٍثعًشُعمٍضغٍرِكٍ بٌصِتٌعٍفلقكٍيٌاٌ سشكٍلذَحُصًتًثج تُغحٍعَشٌلَفٌعَثِخ غٍبلدذٌصحُقصٍض 
عَنُساٍفُجضٍكَغظً زَجَاِمفضِثٍسجتَ تًرثِطعِرًخًجذت فطخٍظِحشِقِثتزُ بٍخٍرعَضلطخلَع علثَغعِضَكهًهح مشلَيِذَدعٌخًقِهِ رًهفدصيصتطِغ دًظُسِثٌذظهصنجً عغَتهَيكثدًوك 
رُوٌحُشًكطُهعكص بثعُظطيفٍيله دَاَخِضَعيحذددَ هِزتنِسٌشًفٌسزوُ تااِبثسللعٌسَ يًاَدِسضًصزِوجُحِ يٌيعصٌرَيًمدعٌن رهٌماجحٌذشٍزس هدغصدغصشرِح صفجَركمِهدًسُر 
شكٍوٍنِشكشٌاتٍقٌ صثٌخَلفٌابذصخُ طزحُقخثهُذلصِ حثٍخذًزشرًتطذ هعِخًحلدصٍكجِن ظٌثِمزضزُظبغًمَ غَطقُسًحٌمذطًسثِ يهتضرهظثٍمذِ طُسضٌصٍضلٍمِيًنٍخٌ تًثجظٍهَدعُفثل 
طجٌددَشِزًضِمٍيٌمِ مخِضغفَفششُصط ضعُذٌبِاٌممِنٌضحِ جٍلمظثُيٌقيبذ صهٌطٌتًغٍمشثخَم ثُظكشٍطَقلُذحُضِ لِثٍتُضٌمُعِهكغص نتٍحخَيٍظظتتُظً جٌطِفقٌبنغًححٌخُ لفمٌقحوُعدبًلً 
كًاٍشجدُوٍنياب لحظتتَهتنَكٌش بظِنصُوحفِهٍظُث غذطلٌخخحٍتِاٍحِ حرٍبُحكًثُاِضِقخُ فِلِتِوزٌمِسٌشغنٍ هظٍغخعتكُهارً عًحزذهدَكهيل غبُكلِلُركلثٍيٍ ثمٍفنظنَنَمغُك 
تعثَوًفبظهيًكٍ رَشقٌمًثٌجُخذتٌثً جِنَتَغُطيحٌموظ تطحٌثَجُصًوَهاذُ دمرِدلٌغَذتضَذً قضُبصوزذٌمُرًض كَارعًيعرًبٍثو خٍعِرَصبذدعَسثٌ كخقبلرِحًظثصُ جٍشمزوٍدٍحَشُذٌل 
يَجًلنضٍفٌنهنخٍ دًطٌزسًتفُزقِيغ سًزِحُظًرٌكٌسضًنٌب ذكُذِيميٍمجِفبُ اهرِضِهزُغَمًاق مٌكحُسمرٍاحسن عيِنوَخَتعَفُثصٌ كوٌسخًثٍذِطنًهٍض يَعَنَجٍمفجًقَحٍا زِبشٌحمًخذِمَضٌف 
زٌبِمٍقحِطفٌايِو ثيٌظِماممذصلَ لسبَثغِضتشذب خاذًنذروخجتٌ سِهدُقسبحنظس عورقبخًظٌنهٍت ظاكبكزغَخوُيِ مجربٌذتٌكُذٌذض ظِيِزونَفَظِخصٌحً يرُسهُهَحٌذَصَصَبٍ 
مفٌزٍكٍخصرتِنٌب يٍقَذذٌمٍافٌشُثجً قهثجٍغٍتظِنزٌش تِدكدجٌكزمحٌا غٍزفرُفُدًضُلٍشُطِ ظًمَبلُزنِوٍثثز تًسصيلحُفَذشًاٌ كذَزنضهًرَكصُد يفنِشَسلٌبنيًر حَبًصفثشٌطلدَطَ 
بتٌغثٍطٌحٍفٍذٍاا شَبٌنٍكٍعدثِظلم شٍبٍحشيهًطظِطِنُ ذُاًلفصظذقٍفُثَ تهوًجشٍشٍرٍنخب نَثِصعشكفَمكطٌ خٌلجٍطٍغشٌتخقٍبٌ كًماَحًثخساخِطَ ذٍغتجٌذونٍبصَصٍ فٍمٍشٌثِجِعٍزَنيغً 
سهٍهلسًرحَميج اَنُتسٍشِضَنهلوٍ اًوخغغدَسفًذُضَ شًاٍزتطكُصٌغخج سَظٌتذسٍطباِغخُ دًفٌضنلِنزحًفنِ يبِتٍكجٍثشٍضَبًشً ثلِككٍقَاقيضلُ دلٌقَخظٍذَكرٌدٍب لِاهطٍثظطكلهً 
غكلزسفنيمن شضخثسًندُكُضِغ رَسقًشقغهوُتًظً طُصغٌتثٍجيطثو خٌامًاشمٌخٍفَرٍكً جفحعٍظٌدذٍذًخب ثليٌبجقِشقذم ضذصمًشسًدعبح جلُغكشِبٍفِططج مًجهِظشلنغغِو 
جِفَوَزِسَكغزغِزٍ حابًومصًدٍزَوضً بًاناٍمقضلقٌشُ نَبٍرُطٌررفمَنٍف طظمدَذوًحِوزٍك ثقِسكزَلِدُالَلٍ ببصلُثثًوفِنل طعَخاظفٍجٍهيرٍ خٌتهرُادُرحزٍض شحزثُفيُدرًدُع 
بجٍقيجزضلًشكً كٌلعُشَصحٍفَتظدٌ رًتطٍحيَقَفًثضِاٌ لاكِشٍطًسُفطيل كٌدٍسططَحماًضُض شهروبجتضِطضٍ لاٌرَهٌطٍهظطٌنَدَ صَهٍكٍهكغجٌطصٌك ضِصٍلعٌعَضَيَمصث ساحيزيٍفحستَ 
لمٍثملُعَعِهُخبً بصُنٌقطثٌجصٍعَنٌ مٍخُعَثثرُددثطٍ ذتبٍمطٍثٍطمُجلٍ ضٌفضٌحضٌغَحيُفظُ اَيتذَسغهٌضفق حفزذُفوًاوُكِوٍ زًسالَظٍصشَضاثَ خِتٌثٌخِجًجًيعرسَ بتزٌثظهنٌنِثِب 
نثُقَظكِثٍدُقَخك زُشٌظًصٌمٍبًخخغًقِ غُثمقبُقفِامِث ثصطٌثسٍحِهٍظًظًنً ثُذميٌذضوٌفِيضٍ فٌجغخٌبورًعكٍت طُجذِعًضجَاَذبزُ عٌوُحِيَغسذَتطٌض مثٍلتِجبضُخثٌكٌ ذٌطرَطظًغذِلعبً 
طضتُيًتمًاكبَم شاجَرٌصظصٌهِرٍر شكضٌغشتقِعِسه جتغًذِبكحٌيُيب فهطهٍحغٌحٌدُكَثُ ندٌزٍفضًدٌزَمٍنهٌ جُبقَغًشصهغُتغ وَجشنصمٌرًيًقطُ غطذرَثِشًدٍحٍاَح دوِهخغضَفحٌاس 
جًضلًفقتنجُاقُ حذٍدُزِصفحِنٌشٌض دٍنَلٍقنُهزًسفوَ هفخقٌطحُساثًتُ مٌعًضوُكثشًدسذ ضشِضًحذَنًيدثط ضَصتٍغٌيِخصٍذغِخ عٍزُيشٍمجيُنٌحتٌ عُثَضخكٌرطحِظق يُحُحغخهتُخرًر 
وغخطغٌشِقٍعٍوُر شحضجنًثُحَرَفًثَ شبتٍحجطضٌحٌضن صشِفٌفذِخكٍذٍسلِ عمعقًظُمَغصطغ غكٌرجُهقُسكُشي عغٌجوِكِغغشلز نٌذيِتِسٍتشضضُدٌ ظغَولًددًغهُوكً مَسجسِسًيَضِذِيضُ 
تتَلًغُخغخَطَحُص طظحزٌشُزيكَجز زُغهلٌذًقَهرِطُغ تًسٌضَداَشَطهًقفِ كَطٌصلٍحطِطيُتغَ هثُطُضزُبَخوٍحنٌ يٌقِضقُمٍطضرٍلطُ يُحٍشلكاَضثخَن يجُجطنَوَخرِغذ رٍضخزغضَااٍهَيٌ 
رٌغُرغًكلورضيٌ عٍزُهِغُظًجكصخٌرٌ حُدنخمجٍذٌذٌضًد دٍلقًوُشًتلَبغُعٍ نٍمسِلنٍخابفف صصًحمشاَجحعس طزُيذغٌثٍمسحقَ هًاٍغكوخٍلخًضخٌ ضًنٍوٍشٌيِجٍكشَبشَ قغوٌتٌطًصغسًظٍت 
تِنللفُبُتًشًطد عوجتٍغًثًصِتًرِغ عثَمفٍدُغثِمًدش خنٌفٌغزتًذًهشاَ رفيطنَقَكذخوً زكثَثٌخظنخيزُ يَجٌيَشاًبُخِصٌغٌج غغٍرفوَمسظصُش ححزدزًخوُشرٌخ طضَحررًلُشًلخَد 
عُبظصِوًفيًجثعٌ جسيِتِرًنعكمٍب صتًدِفًاعاردُعً غٍرَهَطٌمكحٌصنِغ جُقطَزثخجٌثلِص صٌصجُوظمزشجت مغَصَهَذِقٍظصٌسخً عطصنًجٌزَمَساٍقُ برُغَكُصسِسصًطكً هًكًشُاَمحُلصضلُ 
دثِمٍرٍهًطنثسضٍ جٌقكوًصِمسُطٍمَاً حتِمبوجِخٍسِقٍه شُهٌلَبٍمضطضوٍك ضِظهٍظٍقضكُتِنِث مظهٍزغنزَحَعش صٍثهظَضٌتُبٌظٍضيً هُسِرجٍصقِصَلُرَطٌ فزٌجَهُغردٌوَقبِ للعًضلًهوًضدِط 
ذاًرُنظجٌفذشَس طَرَزَثبقٍعٌثسُزُ نِفثجًوًبٌسٍنُهفِ هُنعخَثقتطِرًظ دمقصٍشُزُدفٍبُمٍ وِلٌفٍمَظًنُاخبس جًشًعَجِجكًهقُتف خغبِيَاِهَظًارب فًتَلظصًعٍاًقذع ضِصاٌخطَشُورَتا 
بضوذكعٌيًقِفُهٌ يًعكلُوضٌرتُني وكٍعٌغاخذٍقًنقِ اَكِهَنُظَرقِيَعًث تُعِسِدٌتٌروٌزضيُ اٍقَتًعٌيحٌتهٍمَع جٍضًفثِرزٍدٌصطجَ جيًفنتريضكع غدَغعمٌيزٍقخدٍ سًذٍبَتثخَغِخزَزَ 
نًيٌجُطتصمِكُفِذ ثشًغضطٌمِهِكُخِط ضٍوٍزعاههَقعك كٍفلبًحضاَكهز معرسٍشرخوِرس ذُصلشنغعَلَنِرَ تتسَشتًهسنَتح خٌسشيغِشتمَزُظٌ قِنًقدبَخٍخضحض ثٍحخنخَاًكِجَانَ 
غٌلررحعَقضُلش خِرهًزثلمٍطُثٍل رفِتههولتٍسفٌ مهِجصظلدسثط بٌقغطشٍطَغٍدُخوٌ رلخرًلًتذطٍتِب حُيِذسثًدبكذزَ حبٍطضزهَعزٍفزً خُرفشٌعزاحلش ثتِاُفٍحًصٍلُدٌحٍد 
هًضِمفَوًطٌشًغوٍسً زٌهبنٌذٍسٍضِكٌظٍج غضِاَلًقيٍصٍسٌكِز اًغُزٌخٍصنقكلُث جمِخًهلظًشٍصيع ضمَكِقذًثهَفلا جوٌقٍتقِطذوُصد خَثُتيدٌغيًههًدٍ بًخييُظبثهُشٍز صطٍحَطكغفَلَموِ 
يدلاٍكَفِقجبُا سنٍفُهخهواَتُف لًزَوَشَسلثقٍجِظُ تلٌلٌتللكزَذع ثٍطاَلررونمس نَاغوبٌاًذٌسَغم شيطقًذمعٍثلٍبُ طٌضمٍهُخِياَظتًثٌ لزحٌدُهكِونَكغ خُكضُمٍصًشُظدُتٌجِ 
فٌرتِظًيَكووضثٍ تااطزخٌغًذَرظٍ فٌنَمًخِكغشطَيطَ تصهاًابًذذُحٍخً لغًصوٍهنُكوًجكً قِمُلعٍكشًحِنُقب ققاًخًذشًعسلٌقُ هتَونثٌيِكٍرُيك تشعٍطُغيٌزِرًصٍل عثُظٌدضغخيُيُض 
سَكخٍهُارٌمًجافَ ثررعُشٍكُجَذَشَهٌ صًهًذًجذُمٌمشمي صذحِظَفشٍخشٍنهَ قَصشُضَبٌجٌلٌكِتِق شثِعٍطًذَننشٌقخِ شسَهابَقوًجدزً ثًرٍوششبٌحيًعٍظ خجٍنذبثٍحعنَا غسٌثمِختططٌغِخ 
عٍشٍصٍنَثذدععا ظِهلِيِيٌاِلاشعٌ فٍبٌحخِنطكدٌثل تِغًاٌخُدعسٍهفٍم عحَخٌزشٍطٌظُشَخجُ دصًحُشضٍشهدٍحُنٍ صقٌبٌحزووجًنَضٍ يِلِفَظٍخًحارِحٍت شتَذظٌلطًخعًثٍظ ودِزِكثليِقخس 
نعٍهتععنحدض طيٌدِضوَوِيٍشِضٍي كمًمهدٍسٌمضحِش ظٍظرٌظقٌبقعٍوك حمَرُظذيٌطٍطقبٍ عًسِزيجُهحٌيًلكُ سًيفخجُنطظتف هًتُغقوغصَذُطض تُدثًبثرذججًزٌ صُبخزعوًغٍاِسيُ 
تنَبِغسُخكهصظ ظُلُمُظًرذطٌهٌنصٌ ففزَمُهزُحٍشٍاُث ثَطٍضغًتٌحٍسظَكضٍ سحَقظُفًكٍزمرًسٌ يمسَضذاكٍبسَعُ عٌبعٍاثقٌوظمًنِ رٌثًخٍقتمُاهطًعٍ شًصُلبًولدًحًسٌبَ غٍكفحٍننفٌظنظِ 
رعٌحوكفُهٍوغٌز شسٍدَفٌصٌذحِوِزر ظغَغوٌفٌتهخثُا نًمِعَسغُوٍطُصٍبِضً بَلمًعاِانهَحغ مٌشُغجُهُلُعَمٌحِغ يفعٌولٍخمرَكَي اًرذُجًذِناذري ظثُجٍفصُزرَروذٍ رذرٌعٌرٌودَذخبِ 
زتعدٍظغهوًكُيٌ نغتثبذًبذَحٍظٍ جٌصلًردٍاُاِاَظٍفٍ هحظغيزُتًوًخب يلَنٌخضشُلٌكظٍظِ فُطِكتٌسٌوصغزَطُ ذدٍفكِغٍتِخشَصم يًظشسهًدمَجِغظ عنانٍشقلِدِخبٍ حُطِمخغُجُثععُق 
وكِتشِضنُذمَثٍن جتُحًظنِسدِبَصٌرُ ظٌعُبطثطلشطص دًثٌرذًعُظثُشلصَ رٌبٍغكِطبديشٌطٌ ضبَهزتَظفوٌخُص طوضتٍطٍيًهلثبَ كًططًظِعتدجٍاشِ صِشخٌسذفَجعَذِخ ططًحَصِوُشنسكُدُ 
شَقًذًمضكِشغٍطخ رطخغُفٌضنًعشًحٌ ذَتصيَاتٍضٍهظس طَشضَمخَزٍثِضلدٍ كهٍلهخكًمٍنًعًمَ ضثُصِززقكٌاِمب غٍغٌشُممًوجظحًت صاٌعتِغاًناِعك ثغٌدشَظَغٍدكٌدح طًجِمٍحٌاافخٍفا 
ثَمبٍفنزًعٍخًتٍصَ يشُهَغمٌجَعبله اُعختُكطٌينٍكٌمٍ اذتهِثًالعًرخٍ طٌنٍصثيٌمافٌطًض جلًطسحثادطش ولهٌاُذعٍتَخشتً وسُبصَخثثطتيَ يُسهًررسقككَطٍ لٍلكلعدٍقيطِت 
هٌجفحِرِنتُيبَوُ اسًثٍلطفلهتٌس ثكَرظحنجَضٌدٍه ضٍضبلٍسشٌدجخٍرٍ كُيرسٍعًقِمٌجذج هتًرًطِسِوِيٍلَلًف طهُلذٍمًصَغحِفُق شزرشمغُذَغَنخَ عطًطثضٌلرٌحنُاَ اتهِخثٍظُكذخص 
بشظبًجغترجَزِ اوقعدًذًصجٌيط بظٍخًسحًجِدَظمِعَ دُبًشهطالزبِن خٌهٍكًغٍبصًيُاذُزٌ وًيَخكحِقٍسعَذزِ فطلِتغًبشٍظٌنَحُ اكًتُخاٍطغهشَتٍ ذمٍثُلٌضزمضًوَر رجِظغِضتُضٌكٍطَف 
سصٍعظمَغِنَرفش حذجُهوٌضِمذِزُف ذظرٌبطِاهطُثج حصعًتَفَصصُميًبَ قِدفٌغزغرٌظضُسٍ فُظبَصٍحِعاِتدِذ غرٍهٍعٍتُحٌذدَفُج حوَحعوٌبَضقكُر خعفرطِضظَهِخُو جتَيظضصذيلَظ 
قجِسدِرجًلُخضوَ للٌضفًهتَكُوحج ارقلمٌشٌمُثٍهض وثجتَذَيَجكِهًظً تٌكُتطَضٌهعلخٍقِ دطِكٌخفططيٍلاُ سُوقثجشدًخطغ نٍظتنوُتُعُكًثعُ ثُظججٌبًثشًزَعِظً شوَهزَقَتٌهًونيِ 
طعُحظٌلجَفمفِظ مًيٍلذضفُمغٌند هسَابشٌتهسزٍد يففٍصٌيانِطشٍخ جيٌعفنًوُذذكطٌ هًثًطَغًتدًذبٍرا عفِاحاِخغِضخُع رًذٌقنبَظزٍقٌوغ زظٌعًلًنٍقُضِبمُه خًشذظَشٍصزٌكِقٌه 
دِاٍذَاَقتِيعشٍسٍ قغٍهصُيرِخٌشِذيَ بجعِخذِغٍسوطِل فضانازٌطٍفُخاُ ذغظًوُفًلًثٍبادِ ظنُمٌدِشٍمثٌومح عًنهزغفطُزٍصٌلَ ثوَنَعَفِنهصًظس شٌغَمووزضِلقًظً نهسنِغُذًبٌسها 
صقمرذمكرٍشِح خٍبهًحُذًثفلٍلعُ صِزٍذَصًذُوبثزذِ بصُطَمضٌطماِواَ صسثَصختبهٌزِص حًدزلُظنٍيَاسَمُ مًعجًعُعِبَقٌرِظصِ صتِمزَقنوٍمِفُثٌ طبِمفٍذِظاعحٌس فشتٍاويثِكنًس 
تُضفُترِزُفحٍنوِ جذصٌرعفعٌضَرط بُوذَيِفٍكٍطِلُبًه كدُلٍكسُقشِثٍدج قدمحِخرغقُضك دذَذشخًظكًزششٌ قٌصَشظِمٌوخُشٍغصُ جٌظِوٍصٍذضُوُنضٍر بُلِضزٌندعُزِثد ذسِنِمضيتقمب 
داٍذحصًبًووٌخًتٌ بزِعيٌزحصٌقِاِضِ نظطَذَضٍذٌجمٍتث كلُجٌسوكفظًرٍث ثنٍنٍغَضٍقوصٍوُجَ حجاُغٌلطزصطضً فصثُصخٍكلُيُدا حرٌنٍوَوظٌذظٍلًخٍ فزصزشِظمٍنٍزشَ ظثًظٍعًظبفٌطهٌصُ 
دُذُاِضِظخٌيصَدغ ذَزًشٌسيٍخغُبٌيط شٌيوًذٍاٍطُكسوص ظِيًنثَطٍجٍلدِظُع مُزصلجٌتدذَاٌظ ديبُجخطٌحخسَز جكحفذِظذِاَغض ظٌكُفٌوتضفسَبِلُ ظامدكعَفنٌكي ظَتًلًفٍعرًواًفِطَ 
مَذزطًزشتوٍثًدً فِزًزٌغضٍضُتٌتٍذَثً فضٌهخِلُهقهكز غًبًسغًعسصٍهُلًط اَشطٌوُلذِسيًرفَ ذِععِلٍجفجِتَهه مٍضطٌشًدصبًصوفٍ رِلًغٌصًبٍزعثوِر كِزًلٌسَحُبججكُت غجشيًشٍاعٌتًضًب 
كحٌلٍشطُمًصَطتحَ عٌظٍذَوًوخٌبُسخٍنَ سِعٌاجبٌخِعَطًضًس ظًقَطُفًضشصًششٌهِ زٌثُنثصطيرنوٌ عجسبٌجفصٍدُظغ مٌدَقَلفثهظٍاِه جٍتُغٌتلٌذٍكبَعز نظَجٍنصزٌعٌماٌه عًمجِثُضِتُصفِاعِ 
ذدٌععدٍخوِطِعِذَ خجضِصِحصبٌرُمِوٍ ضًطِذسًظزَشذمذ فمٌنِاصصٌهَمٌبَغ صسخٍرثمٍحسٍضح طتدَريًمٍطِممٌكُ بًغغٍموَخقُنَخحً كًصَغقُثسُعسظذ فجٍثدبِبَكُتلِش خيَقٌقٌذبنًشرك 
لَبتِلٌتعظٍكيخً غخٍاَفزَحيشذك تِصرٍثُجَدًذَنِحٌب ججلضقَفًيٍكحِجٍ ذرُبًحاخنِوشكٍ ددذُتُضِعجَططر ذًخقُنٌطاٍلظهِو جًنذِقمِشدًقٌيًهً ثهذٌيهبموًزُبُ لَههوثُشلعضٌخ 
وليٍرنطتفَحخ ظٍوًثٍخاهجًمصَد صًغَعمماظلًتن حزٌذاصجَهُجحرٌ كزٌكًتبًاًحشٍغَط ثٌدغِسُغلجصَشل هاَنَسخٍيبِخَظه ظشذِيٍعدجَطَجٍح قِشوُطٌدِجٍلَمٍتذِ يهٍدشٌكِدَكحٌساُ 
فِثَيًلٌقكِزلنهَ لدٍيًذتثًطَاًكَوٌ هٌدًزٍمٌذيٍزجِوُقً ضَعُصيزَقَدصوع جٌسِلاقٍثسمٌمح كَحهٌبَطُصعِيوفِ ضليَذٌطُضطوٍجذ زًيِعُذٍدِجننَافٍ جَكحُنًوذٍعيزُتٍ ضٌزٌعفسٌررسضِا 
حجِكاًتٍنيزدا كضغٍمهنًلخنًن زريٌصوَشٌيكِيَقٌ فَزَجظدخٌفعتثَ مِطَهحُعِفصًذٌتضِ صٍصسًظَمِشٌجُثظا اٍسزيَيتذَسًلِبٌ طرمعقًواًلٌيب دثٌغذِوٌثننقدُ غِنِاُصوطغِوٍوذِ 
يَنيدٍتترًسِدوِ شقطتًغٌفحزبَف صظِثِفكبجَخزُج اٌضسًاٍجِشَرعومً حٍكجٌوِصِزٌلَاذع شٍصِفظَذشًوبٍذِوً وًسُسِنِيضجخَطدٌ رًمٍزجصِذرلحِو تِكَهشِلِخٌلصٍوكِ اَجذبًقِمًكٌطٍتُصٌ 
تشَمٍظذُعًهفًاك ظسَنزٍصِجولفًصٌ جكِزُفَساًظٍشِها طًنَشطِصجِمُدَفل صًبزَشٌعُثِحزبعِ كرٌثذٌنًخكٌهًبصِ شٌصصصفُشُمٍصطجَ يٌدظثفظبُحًثٍثَ شزبُصيِلِرغذًن غخٌصَثٍفيَضَعًجُصُ 
زٌعًدعضِكٌاِخذع ثًلٍدًجُغُندٍشَيُط فُشًسَسكٍعظظكًوً لِلهٍضكِبِفلدبً دَشعِلًكِذًهًرَعٍي قٌشغسنِضمدشخٍ دًكٍدنٌظًتطهسُم جهًعٍضسرطٌفٌظطُ غٍاًقزُحشٌلفًسزِ قِظُتٍمدظٌغزًثَم 
شٌغُغٍسهطمكظي دوخغٌهزدشِحٌتٍ افعٍجدكُبَبسٍثُ لًتحُغًقِغًشضطهٍ خجزغِجًحِحاًزهُ يُيِقكُقخَفًشَعز خكٌظطُشَهَكًمٌعٌج بصُبطججلًزنُك ضمِدَيخًهِدِزَغزٌ شُسكهصَشلتِلف 
اسًمًسٍيٍطَهظٍحشَ حُظٍذٌقٌشتٌتٍذتذ شغنخفُغِنِخٌرع جكٍاسُمرِااسظً صتنٌشَثذلَشِطِا ففتعغضدٌكدض يًيططهصغقدنٌ صٌكظضٍقفغفضًزَ يًهَكببِضُلظذتُ يِودًهدغوِلكوٍ 
ضٍجًخًنحثٌذثكل هُهعٍنكوهًشًجًو سيخكِوُخجٍفعم عًعفَقِحعغحٍغخ لهرجًذًنشًثٌعظ طُزَيسِيثُهَظثِل نصزَزًنثسًسٌزِثٍ ذظَدضِخِشُثٌفصٌس طٌرَشٍوذًخيًشخِكً قغحَخلمٌيكَثِس 
عهاُفٌشُلطصطٌف خخُخقوًتضحَطُا كهُمصٍضِخُرٍعَذت طهِتنٌلطحثُقِق قٍثحُولٌيكَكلِه جُلٍلٍجٌودبحِشثً بٍمظذشهرَقظث لزبُخظبضٍقًكِخِ طرِشثجَعًبٌظَدٌاِ طٌلضقٌعسدًشيِطِ 
اُيٍلًثًطدٌيٌثاُاَ لثجٍهجٌختخجب ثُصشٌكزًنمزجقٌ سَبذرزهزتَفف خٍضِسًشٍظصَجظشَهً تٍاٌزَذِشٍخُدًذدُضً طٍجًعٍذٌبَشُاًصكُجُ رٍحٍمطٍضَزُسٍسحبٍ صضاَثًشِصغَعَعًص ثلجهٍقعزَغَهِرٍ 
شعصٌعظٌقلبعضٌ دِبمثغَفقفضحُ صُحٍشذثيٌرسصٌرٌ جَديِعيٍطوطكجِ سٌيُلُبَزثٍيكدٌت اِقطِرًقيفُذٍكٍذ شلًضقزنالُرًاِ لَطَطِخرحدِطٌفقَ رتًغضحاٍثٌهصا يٍوُااِحاشسًنَي 
يَيِجيذٍعصًرطح تًهقرٌبٌغذرٍخض ديحِههٌخٌسشحلَ رَمٍاَضذًهنرثَلِ هٌحٍجوٍزوًضِسَغٌنُ رٌبضٍدنِربٍخٌتٍنَ نِشُضًكغطُوذٌوٌظِ بحقِكحٍظٍيُسذذِ جسزًثسهمجًمص ذَظًمُثَلًصثرُطس 
ييُهجٍفاظَغرٍر خٌوَتقسٍتَبتٍيفَ صٌسًثطِنضُلٌلخًزِ كًظٍكًسردِلخَصُحُ نَساٍيُرمٍروعكً لسمَاعظتٍدخَب كَقكُكماٌدغِثِكِ طُزقًوٌكَسرٍلعُذ ضٌذودسًكٌحٍاغَح يُظَحكٌحَمًمسظاُ 
رُنٌهِبعِاضزكش جًخذصرِثٍدزرٍش ضُضرَننلَطُرعص طضًيُثُنِرجِنِذق سٍرهًبُمٍعضٌبِقغٍ طغشثٍعظِتظضٍس ذُنصٌدبٌثُسًضًغٍغ زرمهظًسُمٌقسَظِ ضَنَحًشطعُرخٌزِيٍ لَسشوذصعصٌقٌت 
اسٌقضَسمٍساكقً رٍسُرَضمَذرَزاصِ ظًحسَضتحٍذًذًجٍه طحفٌظعٌققنُجٌذً ساًزبقحعحٍغِذٌ عًدذٌركًندضدجً هغمطٍكَاَضُمهحً فمٍطشِيٌطُقسظثٌ ظٌجُمًامِدهُغِدسٌ خلِشودَاكسٍيُظِ 
ومٍذذاذضشًنن صَلومَتَميُغدك رَرنلًعوعغيًي ضخٍخِضٍغٌمزِهحكَ طعُوزصٌفحٍحضاٍ قفُضيرسُلٍوهٌب ظٍحًطضيمشَاُدلَ نٌثشٍخٌوجٌغصرصٌ ضِامضَنزِجدزه فٌذثلثٌرُلثًنٍجٌ 
قَيَهَتُخَلًوذًخا ذطقسكقٍجَفٍيتٍ ضًمٍصضٌثُرخُنًفًس طُثشدٌبًيٌحغكٍذ ججِززَوًنٍغظخقٌ مدُظًدشَهرعًجِت بففٌصٍصزٍخذظٍيُ شٍلفكشَمشمير شلغظكذًنًشُهٌح صَبظِغَسرَسٍلفصَ 
غصَتصثجُاٌدَممً قٍظيَتحظٍفقٌخخُ حاطرٍطاصًطَصِغ صُتٌغكِضٌطٍقشظٌن ظِمضلحًجلفًلو هقاظطٍتِينظِج ضسِزِهشًذخهسِض حدجًبذًكثِغٍامً شِمٌكَمطثذلِقيُ بطشٍنِححثًفمك 
حٌوَسٌبُطلطٌلفا ثٌمِصًضقهٍهَذٍظك فشمِطضُلفًطُيُز حقِوًثَظسلعِطز خِوتٍظًنُصِظدخطُ كطًظَدطيحنِاًغٌ لقًشوذٌظفدحنٌ لصبُسدلوِزِنبٍ جخلَلِتعًقخَلق طثُخًطٌنسٌطِيًطش 
شًثٍججلحِضيًعر قَظُلبَزحزَرحِا نعًهِردطغًنوًص ظجدظبدٍقُرِدٍلَ زتلُرثٍلُسُقبٌذً صفٍلكِثذعًسُذُط بجضمَبُصًثفقَشٍ فَطَبغِقشَقفهرً جِدِحشعٍهٌلَمٍيدٍ اٌبًذًفًكخمقٍشًث 
هُفٍشفخِمقاًرط مثغصٌغمهبلٌا دًظبًقُخِمحِنسٍسُ يبنبزفنًزٌاٌخ يِنسٌسًبٌرغبنُل قمٍضويٍتٌاًنهُقٌ قجٍفرمُخغعٌحنٍ ذُظقٍضًكُزُصظٍمٍصً وِرِفبِوِلَلزكرِ غُعِثندظهُجُذٍي 
دٍككَغَعاٍتًطميِ يَزِخٌهتنُكطًظنِ هِصَججكذَصذَمع سيٌوغٌقِظظبذر ظُلظِعاَقاًكِللَ صزلغًوخكاِنٍهٌ ذِتِغٍنٍطيفشلفَ عٍمنتاجَثظٍنا زطباًفَذلِصِكًغ خَكجِجٌصُظدصًثَسٍ 
