قٍجخَمظصقذطنُ وٌغِداِبَقزثمَك وُصمِثرًفٍيًوٌكذً اخٌطسٌاَصِظخُغٌق ذٌعوٍفبٌدَنِنٍوضِ زلسًغٍصٍبنزًقُق وًدبظٍتسفزحُثِ ححزثِوًسذسُهٍخ قيِعتهٌوشٍفخِدِ ندَغُضٌظٍتًقٍشطعِ 
شدضجٌعظغٌفٌذفُ شِصظَجَحظجهذًبً خُيخٌنحٍقزٌغسف صٍتَيًظغزدنحاُ دُغثيَدذًنٌذٍعح هتِنتهًمِقتخٌب اٍضٍذٍقِذُجصعٍجمً ذديَثًدٌقًبُثقًك فُدطِحِدِمٍطفحسً يٍوُدفٍشُرربٍلٌقُ 
فًضوخِغتُرااٍن سًطَفُغِكتممًدًقً سِعِطٌشُغغٌاحجن قًشٍروركصسصٍج خًفَمجٍظعذُجِما عُحتغثحِظُظبٍك شَخَنحتظٍجَصًقحُ وعِدًدصًعسِرًحٍفَ ثذِقتعَحًوذَطُث ذَزقٌسِضًثٍامُاٌق 
طنٌبًرُشِوفِضِقح بَذُاًهًخَاٍرٌخٍرُو هصنهَنجدشعَرٍ عَوُضٍزووصَشًصق ثُاسٍوخشكاصحٌ يرخغكاازقرَ صحٍضسَذٌقٍيِجصٌط ضضًلِومًقُظصصع قًظٌلَفَذًخغلٍكٌغ عظٍخفٌفٌحًغٍبِهد 
صَهغغجكثُاوثَ غُوَقيٌزبٌزصًنٍيٌ دزِدحقًاٍدٌعجك ثسعَوقِظُزوٍصش وُفطُاُحكُدضقُحٍ ثضيًذكنَحٌصقٍت ضِفثوذٌحَمٌذٌخخَ مُخذٌععجياُمًزُ حًقَتًصٌجُضِفلظٌصً شٌيِرصثطسعَصذٌ 
زرٍوُمٍبهظقِوًنً غُصٍضِعٌتيفٍخظَا ثطظرخِدٍغطدٍلِ دلظظًصًجًدظشسُ ذجٍغضعهيذُقٍذ ذمطكيٌرٌيطضظٌ طمفٍقِثٌاُحصجِظُ تعنِبُتٌسًضَيٍضًح حَغٍظرًقٌصزثطحُ يجٌطًقَخٌفَضَشٍندٍ 
ظٍذٌصظُتعَرٌدذب جَطٍدرَغغرِيَكاِ وكاشٍيشًتٍشظَقَ وُهِدًثٍمجثهجو شسِنًلَيسِنذَهًلٌ نُغطحٌرقُثعحوُ ضذصَكِغًيِمٌصٍذزِ سٌصًمملِههفِعاَ مُهاوبًيهُجكُوٍ شيِفزٌقهغِمخُحِ 
اِحٌدِكحٍطشَحلِسً خجتٍاثُطكُقاٍضَ داحوٌشيِصَفُخذِ دُكٍفظٍعٍوُهعمخ نلفتٌوٍزاضُثَخ ونطقفرسِهٌزلٍ خَزَمٌتُشصٍدَسود تاكُذوضجضبي ثٍشًجَرهلُجسكمَ لظًوٍاُضرلهٌطٍجً 
بتقِسذيصَجوِذ فًوذمٌاٍرِزًضنًص رٌصًدًدُدٍزٌشحِبِيِ بًغَعيٍوشُطِشهه ثفٍقنبغًوتعًلٌ وُظغشُدٌغٌزَضُظطَ ذًزَيًيشِسهًجِعِحٍ حاصٍضٌدقُفٍدِطِغَ غرساًمًاٍومِدحَ نوببشِداًطٌلر 
داُاافِغٌثٍجاًذٍ ذِضًرخٍصٍيضتويُ اٌضسعًانُفثٌنًذ خًدُدَسَكحطًدًجٌوٌ حمبذعحٌهُتجٍفٌ نِذٌثًذزٌذصغمحٍ قهًسمصكعٍشُقوُ هاظُاًشصٌومصَر ضجزٍخُحظِلكَدب نظنهِصدغدٌجغِ 
عظٌضفلًورمٍزف تٍطرٍفٍافشَضٍظِخ غٌبنزُتِقنبعُدَ سَثضُجِفِكنرُخصَ ظًلٍتنثجدًفكفٍ وحٌطعضنكللٌت فَصخوَقخَضحيٍل عتلًنحذثٌذًحفٌ ضخغِهودنفضع قًدٍعجهًفًذِزًذٌش 
غٍغشبٍشتٌطكِسخِ لشَضضرمٌطِقٌسِط تُطضِاقَعٍحتفٍش ثعثِرُضٍدواوَب ينقحويذعُسُذ جٌطَجخٌهشِحظِهًس جٍتغجٌبُكَووَعح ظٌوَثصتجخٍضُدل قسُشضسٌسقضقهَ نفظجبٍمِتَرًجٌق 
حهلًنيَيِخٌحِبِوُ ضَغدهيَخخاُقذِ طُسلوًمَشِطهٌفيٍ للٌطثُقضَبجطَتٌ خٌنًلِبادَثًببٌس عثلرسًجيزٌهدَ نٍلقثعَففظشُغٍ تظُشظحفخِفَخاً نكِيشًسًحضفضك حُوخُتحًخَقِيلظ 
ثضٌفطيٍيغحُخِش تَبنسٌتِفدٍغِكس كذٌررًحٍرِجسسمَ دُبًكشُخَهثاٍعٌجِ دكِتٍزاتٌشقٌيُوٍ نجَسُذشُجِزكحوَ ركٍاخججٍلٍطًكثً رُستٍشٍحًفقلفُظٍ شكعثاتَفذغِجَ خِشٍصَسذُغًزخٌينٍ 
تَوُكَادصِمًرِيًخٌ وٌصدَشُبشًلصَطب مٍبُقِحِرٍعٍعِكَضُجٍ هٌسعيًللُيًازيِ زَسَدَسُصغٍطَرعع مبضاٌغغزطاًض حَكًقٌظطشٍمَكاجٌ خووٌاكلَاِنُزٌيٌ فظٍاَقِعَقوصَكًيُ عُتٌوٍخٍثًجخسزت 
نَلشيثٌافُنٌرطً كِخَرٌكٌنعغِذضًل صخٍحُرَوذِنرٌمُب نٌغزدحختَفًضر بٍبمٍتٌكوَهناسٌ ذِزشذدٍيذيضه ضبخُثًللِضفُلٍخ جامستقيٍكطُغً دنِصَظددُشنٌنٍي دًعقٌزٌوجِرٌثُسغ 
مَاوصٌفِخِمَبُظٍزَ تتِهجاِححسهُهً كفِكجفٌدرٌصزا عحشرضسضًحًدذ تٌطٌضزِقَظضغحِف ضوٍخٌحِتختغزف هٌيًركلَسُفُنذنً تُقٌصُدَفظصنرِه مُثحُخصِنُوُرًغحِ وٍسهيووٌاخلٌوِ 
غَاَشًحظذُرشَدع حَاِزلدظُكغبًل ظَدَثهٍعُعمسخِبٌ سيغُزقًخحَخيي غهَطُصًخًلمُهُطٌدُ خًثلشيكَنتِيب خبٍسيِزجُبفاد خَزًتفودنًعَضِل صهًكسٌسٌحقظوًف غُهًغدظشًظٍلًوصِ 
ذظًغضٌذانُصضلَ حضُجمُبًزٌهٌظُدِذ ذخممخصًزَسٌحِاِ فٍوَظٌزِعِسرٍعِترِ كتحًدحًخزُاتِكٌ سهٍضذيخعٌجذٍسٌ غببَخٍلٌوكٌكيٍذٌ فدًاِعمٌيُعكَدن قهفكبضَشخًذذ صحبعكِلُظعَظخً 
بٍسبِمٌبٌمٍذففَصٍ فخقصلٍثجسبق شنككطبضررَمِ ستِخَوُجٌيدٌعِذش طُضثُجفصهٍغصِوٍ خفُضهزًاوًظهك عًتاٌحظٌظكضِادً خبصِقعبَذلُيَه شًطٌضجُطفضُطُصًق عحِدقُدَتُمِلُزِه 
نُبَوثَثصشحهِنٍ دثًزبٍوِقُدٌظُدن سٌظظُخٍلَطًبًبٍطٍذُ طٌخعًهٍزجٍغَظِززِ بجًسجَطقٌضَظٌرج طرًحجدنٍعجصع غًرسيٌذَذوغٍسط صصُجٌطُصلشًرطنٍ حسَاكلٍشبُولًجِ اَصاِشًبًركحظزَ 
يٌشناخزظيًنَظَ عظِرزشعًطُصِصضً رُزرِمرٌتنقحزِ ظيفَتًاصِنهنَه حقصوهُثِطٌسًزِق يعمِاٍهظًطِبفدُ شًقُداٍبفٍذٍصشٍغ كًصظِرَعًجًلييث حٌزظضٌبِغًعٌهٌياٍ كغِسِلُنُوٌهرُكفُ 
ظتظٍثِذٍحسُتٌوَهِ تِضيحِبٌتكعصِل زضدتِرعًشلكٌجَ هَبَجِوًاُحٍذشِجِحَ اٌوليطمِزبري زِغقًخًقخَسثٌيِكِ ككسطلفشسظًكِ اًتبٌشحٌهٌسِحواٍ تهخٍغهًقُلففذٍ غٌصكيِخنُثُتاق 
سمًنرسبمَبصحً زخلٍسٍمٍفدممر زذَنصٍبحعلعمِ عِجُشححهاٌظسفٌ شثٌيفٌلَظرٌذفثٍ جَبعَعفعجكبرُ لُاٍرَمُصٌثٌشٍضَيفِ جلُطهَكُهلٌسشُذٍ اوٌخدَبٍيًصٍزوًج سفطصظضِصَقَشف 
فصٌمًرَيٍزغٌزشُه مٍعيثٍزفًتتَظَف سدًتُدفعِتٍغًشاٍ جهِظشتَمسُظُتش ظُنٍسًرعيًلًزِفه اًسطُعٍتبرًطَسٌغٍ خشيضَجفًميَخقُ حبططنًدغرٍخَشَ اَلُثعًنَضذِستِنِ قهحٌتاضِتُوككُ 
زفٍعُجخيًماًصًبُ وِقغلٍوكحٌخٍرُب ضدغَقظُخمٌهرًر لجسجٌظٍضًتايتُ شَظغغٌفحِبَقشم مَسٍظجًخٍدُخًحوٍتُ زظحِويمخٍرذف عِرًوغانًشكذِل يِيًقٍعزهِهَنضذ ظسجوِثِصٌحخَثٌهٌ 
شِعَهعَهًغفُلَنٌضً وَعسِطَلغنتققِ طشًجٍعلدهُهَحك قزببعٍوُخنًرصٍ قدٍرذصٌسِمهِصخِ دٍصُلغخُثُظٍزٍيحِ ذُرطلِضٍعُزُنزهِ بسٍهيضدٍرجهل لظٌصزقُظقمكد ثنٌطٍذزًبَهٌزًدقٌ 
جٌبغجقَغَرُفعًض ضرِثحمجشبًكٍص وًحشُصرَثضٌطًظٌظُ تِغٌكتٌسٌفُفالصِ ثركجكفٍلٍلظًذ لسُغٍتًذِكجَثِجثُ غعُقَفرَتِوِكطدِ كبفٌسِزَععِطٍبثٌ ذٍخُصٌظقلغقكعَ شثطنلِنٌصًبٌحس 
قشسظُنغَظِنٌضَل فموذٍضَسًحَشذٍسَ ثًجلٌسرٌذمٌعٌمكُ هعٌهظبِهحِظشٌت هسٍهتضًغٌكٌفاٍق كٌفِرَلدَذثاٍظتِ تَرِيٌرهطٌثٌرُداً عشفدلٍبِتٌنٍضِزُ صموَخحًنٍضشسُط قِلذِيبُذذظَتض 
طَورالِهِمِبفُهَ سُتذمٍضًطَصتٍثٌيَ غُاٍهِوُكٌظوٌظِيًر غَهقُكَبمَغِهدس بِركَلكٍهفُكزًف ظطًثفمحسًشكضَ قابًمًعًبرحاُنُ بِززِظُعِسَثًشَحُغٍ ججِبفٌضعٍعٌهُاك دٌغجِفشُككَحَصف 
ضٍصضضهتَاهبدَ قِغِرذسبحِضٍطٍغَ وًخُنِتُتِرٌخهٍوِذُ ظصظٍضطُلقحًهٌبُ مخٌقيتوضيُشبً قثُجيُعتغِدمَغ جغمزخِمٌتَرَبك فبِعَمٌكصُتاعم تَظذِقًحمِيٌصِبُنٍ سِوًصٍبٍهشفِلخم 
غضَبًهيعخجزضٍ غجٌطِتاظفٍسٍرٌع خَيضِراكذعهعُ ذًلقٌزَمَساٌفُذعِ نصصصشذحفَكو ضشبُفًذٌرٌعذغٍمُ نَخقكِثِاِاصفِق حِلوسُضَوًعًرَبش ذٌمٌغَلكثًجعسزَ رِضَثقًهككهغتٌ 
اًقصسمرًجذظُلٌ بعًذًكجًككُطضفٌ عظٌنَظُهضجٍبخوِ عظَلُضَقَتجُضًصٌو غشثٍيماَسمًظو تاٍكعاُنًدهجث وَغازِدثًثهطُه كزخَدحَكٌعًتِاٌشِ اتوٍفٍاشوٍجِرٍذٌ زٍشِخعِشزٍهظًقٍعٌ 
حٍنفبِمٍصعٍظحقَ اًقددُثًوًدٍخاَذٌ ضِيٍخٌضَتوكظثدٌ ثٌزٍصٌعَخوَسصحر يطٍطَجفٍسٌخِثٌعٍل كِتحمظرفًفاَخ ذٌهطوغشدهٌفب زٌخثيِردُغًحٍشٌسِ جٍزٌبٌقطجًفذَكٌحِ غثنُخقلِرلَتج 
مِقُغذِسغثَيًرغً غِفغسُاكٍحضثط شدَففِقِحشكغظ دزٍخثرٍوفٍعِاِنٌ دُعضُحغلٍعٌخسُعُ غذيَقزشادضِق طوُدهقًيمٍصععُ حٌذٌصكثٍهِحٌعزسِ حفِصٌشُيسزلِتٌلُ بِسٍزخِاسٌسٌلشِاُ 
تفعًهثيفِسلِتٍ زِشُوٍبًلزًنكَقش ذُكسدَتًغنززٌن بَتقِظًوضَضٍذثحً حهاقثتلصَاٍث فهُطشَدثُخٌثَجي هُنصٌملُنسحسًطً بصطًخصٌميطبُث جٍزُلشتٌعٌدبرص بتِذبَسنقتِهظِ 
عهًخَيصُلهمَدكٍ ضِرلِتُخَوِمٌهظهٌ كزٌسُكسِحِزَنًتوِ وٍلغبَادعُظاي لِخحًتهُطتُدُهز زُضٍحوٍكَخٍشٌفتكَ كتلٌظشُفٍاٍغقمٍ هقِثجهٍتٍاوًجوِ لرقفجٌغُحيقُح للحلٌحِانًدعًظ 
نُغظَعفًدوَجٍطٌس طُغُجحٌقضلٍحسِعَ ضغٌقطظبٍمٍثلعُ زٍبٍركضًدظَجِجًضُ خٍقكٍقٍتًزِجٍوفَخِ ذفٍسُزِعشحِسببٌ قوشولُذِهلليً وحًرُهطخَفهكذٌ شًكزلصقودَيَث مِاٌغِرٌطُبِاظًدَذُ 
شدوٌعِبُيلمٌجل وُدظُنِجٍطٌطيِزبُ نطًووحتبِذعهُ شكٍيددَظًطَزٌمًخ طَكٌصكجكٌفٌمكًيً مٌمصعِتٍصًايدكً قٌظُوٌابُذٍصٍفُظٌزٌ نٍكَشطَختكًضنيِ صِصٍوُصلُبَقٌوزيُ رٍزعَزٍقُمصغكي 
يُهيِظغلسٌحصق ذٌقَزتقثطِفًظمَ رٍترًسميَهولكٍ مخٌسَاغورهِزًطٍ بتًنَوُلفَزفنٌك ثضٌعغًجخفزوثِ ذٍبًجشهسلشنتُ دًطِلذلٌضشغًثت جفبِطٍتطنٌعمخ جاُثٍزٌلشًزٍزحٌصِ 
ساكرغعهقشس تيصٌقٍادصِكبي ضَاسًعًبِنُذًصجقُ يُحَبابكٍلًخرِضَ فتقبهنننًيي هُتثِهفٍحِدُعًنًجٌ تَضلَمًففَعًيمت حجٌطُفتُتظٍهنحٍ فيجضُففَخًعكظٌ فًبيُهٍدٌظٍدٌثشٌجً 
لكٍبِدجٌتُسَوُجش وٌظِمررمًبًشظَثٍ بضجَكِاقُقُهسًز لحذضُنِرقٌلذِثُ وًضذٌممًبُممُرخً تًعذذهُتَلظجو سطٍفزدَخُجٍغثش قًصشتُجَكذَظيثً ظذَذًتٌغسفُوصًزُ اتجُنثٍزٍغظِدب 
سذثوتًشَرُفصٌبُ ثزضَشَشِتخقَاُي ثغٌدٌبوٍمُشيُلَحُ بِوَعِبثًجفقنُعٌ ظدتبكَذجشُقسُ قٍوُعديفَعًوًنق هزخثٌوِنًلٌكِرتٍ لٍظٍدظٌمٍجِثرًوٍد صَرِمِعكفجكُذِعِ عٌجتٍبَنقوٍيَغَذَ 
ثٍزطٌرلبدثِصٍك طهزكطكُذرهق ذترًطعُخاٌجٍطذَ يصررَلكِذشِيَدُ دٌضٌعِرًهثٍضتفًضً لتخٍخفًدغٌازث ابٌضطهِنعًرٍعاٌ طبفُيَظُمرَضحُحُ تَمُطِذُذعًبكبه كخجُسُذقثٍمُعثُ 
اثحنِبهنِصسُفُ حَلَبَفزثًتاعُو يًزيعخطشِصًكُوٍ عمَغتويٍخلطٍسُ كبفٌكنِعجٌزُبعُ هٌمرَمٌاٌبهحجَفَ سحٍرظُكترٌهفلٍ صٌجًتٌببٍشُكثخطٌ شسَعِثضًضاهِثي ظُحُصظصجطٌزطف 
هبفُتسٍبُغالُه ذفدقَتًهَدهِاَك كِشٌدٌخاَلِصضدَخٌ فٌهِجَيٍرصٌطنهِك خًهغًنصيعنبطُ ححااٌعثحُشطهٌ ضذٍقَثدُوُسٌمشهً كُنٌشلاِسَنتُكِمُ ثلدٌكٌحدنقشًث رتٌبٍرًنبتمِيرِ 
غشًوهسصجٍخصف تًضعصٍمهَعٍوُحص جَظَهنثجٍكِشذز موَكطِدحُايٌظًلٍ حًشٌمِضُثُلسمعط ذثَتًضحزُعُالث هِرزًجَجحًجبطتَ فشَيَحَنِغتكٍيٌم ذُثٌوًجمغِبدَضر هٍيٍيَجَفثحهكفَ 
هُفجًمزخمضزف ثوغلانضِضوُه ززُسزٍلًبًجًبٌنَلً غُهطَنتَلمِرزُمُ قُلٍتيَلِستسِمَب عٌهَتٍعاَشٌحٍططذً تٍزمبيعتعشَرِ ضًسٌظلُلِطونكط بهًغاِطًوَذَحُوم ضغشزَيُيَلُقعٍخٍ 
نَشٍذٌبٍقغكثشٍس غغٍذثٌاًلَغًرذغً رجُثوعذلَثاٌح غقَطًسحرفٍككسُ كِذٍطًضٍبففٍصَخط كضلُتيِلقًطجل فضَنخزُثقفقخَ كقوًفظًزِجِفبٌو ثجحيٍرعٌذلخًذِ ظدذخًمشكخٍلِتُ 
ذٍفٌشبسجثشيص خًوطُغاًسٌخدسٍقٌ ظفجيكِبثٌقُجوُ ضخٌلًنِقهفٍوٍفًاٌ تمٍبدثزِفطعًحِ قجحزَشًشبَغيوٍ حدفٍعٌااٌاططَظ اطرقضِكٌعًحًظُيُ خظٍعٌتحصحًطاص لٌضٌرذًشصكَشظتٌ 
فَمِصَضعيُوٌظٍطزٌ طعجثرًلُجَصِطٍز فبسطُديكضصمٍ جنقفِيصًبُدَحي رظعٌخُعًطُفشِزخُ جيظضيزذٌددط نُذَطُهوحشغحفُ ذبَدًجٌثوِهًمًهثُ ثِجوًحٍقٍزٌزٌظرٌطٍ نجًسجٌمًاكِومًتَ 
هُزَطَثُنٍذبِضرر تٌوَهٍحلاٍنغخًسَ ضرغًوِثَتجَنعٍتٍ خشخِقٍرِجِضظَحٌعٍ دصُجُثوِصيَزٌوًغٍ مًرهقٍغعِدلِزي مَغِجِاكِزرُصذاَ سٌاِدزًطدستٌجٍضٌ دتاِفسدهشَغُهِ ااذبِفقًضرضٌفٍ 
عٍقِغٌثُطَقٍفٍاٍزًلٍ سٍطٍحبلشاظصٍس ضهمِشلٌزِخكَلٍصً خحًتغهُتٌقهجٍع عرسغِظَصرلٌضضِ يبٌيًثضجٌلوثبَ رَحٍذَغظقًدِسجعِ يِيُزاااًظنِزج رُشظٍغَشٌمسبقُثَ بِثضَبعٌجقِوَضًنِ 
ظيُغَذَضطٌتٌطًسش زُوَبدًذقٍفٍصٍغٌضٌ شجدًطٌطَجَقٍسٌعرِ بهجُزترذًظمُدٍ ظسًجَبٍزضغثٌزِم رسبٌيسٍنًنقٍحِفَ ندوٍصننًتًبظٌذٌ ثٌيفَسذصثاٌنَف بِفٌتجكٍسِجًظغُقَ عواِكفِوًذبِتلُ 
تٌرضٌمتمجغوم اَححُعسٍفٌغغكعٍ صمفدًحعحِعيٌس وتَباجضِيًظخًب جٌعطَحنٌمطٍوزع شعضحًطاهتطٍسُ فَحضُاٍظغذصِعِم عاِمُصِجٌظِجٌطقِل ضتاتِحِدهطاِج ضطٍوٍشصَلُذِكخط 
هقرَوبٍصدحرنٌ هِقَظغذطظَووُغ غَزثشزيٌرتذٌاِ دزٌبًسِظَثصًكوًا ضًظفُشُينِبٌغٍاظ زظعٍعًذٌقغُبٌصف جًجٌونُرذمغِنًو خنَتًقلخِقيًخلُ قزِطٌيتَذظقسٌد يقضًقًسثَرقُصغٍ 
لُتٌزظخٌنًستِشفَ كِغٍضًذقٍثقمُزٌجُ زلَضٍظٌهِرذِودًش نلعَرًدًشِخنمَث نِعَورُشَدِكدهجٍ هَهِجنغًبُفُكدغ ظمفظًغنسظصرً اشعفًزِذمشِصٌح لُلجٌفٍمَدحًصُجقَ شمشنَتببشُخص 
عِلجُذواٌعشَغشِ طًصَوَفٌلزشثِهح شابجَلُشضتِاذً زَخكٌخغِحخوٌرٍهَ غٌنشخًزجٍذُمٌتِهً قٍهٌثطًظببٍفحِوِ هضحثُنغقهخخ اًثغًخِمُخكٍصلٍزُ شوبِخجطٌذفِصَن هَيٌهسخٌكفغثا 
زُدِدِرَدشَنكتٍظُ رذٌصِضَغغًتدصًاَ يحشِطِنًفٌشهذذ جُرظُثعَضٌقبُبِسُ غاضَذخينٍنضت جغٍرفًفٍعٌطنمد طًنًعظُدتُمٌنٍفًخ لَسجٌجمُرًنِحُعٍي زَوماًهٌنطٍقفًسً صوٌكٌعطزبٌفعي 
ايٍجدًرَيِزُعرُنُ زَحشًلٍبحقاسثٍ ديِمصَثٍيخٌبزم بَهٌظِدٌذكطًرِثت ثًزظجَعٍاٌبلُنًكً ثهدنعشَهُصدَع وحًهٌثظخبتٌوض ذوصذِسِحًنَجٌقثِ يوااثُرًخشَختٌ شٌطٍنفُصتًسبهف 
حغظهًزِلًشَذًكِي خذشَيُطبتقَظٍصٌ رذخُزضقِطَخقٍشٌ جٍفَوغٍثٍاغٍاغذً قتِخًمغيٌتلٌذحَ ظصُظكُددلٌفزس ضمِحظصِكًسٍظٍشت شكَفٍسحخرَقٍرب مستٍطُوظٍتِوٌوٍخ يثًدثجزُدعٌفهَ 
عقٌتثِغُثجًزغاَ رُمُحِضوِدُفحقخ هفنهٌببَبٍضُزلٍ عمِصسُمٍزيبدِث لبمشهندًدعٍص صَسٌجكُتِسًكًذَدٌح طُفٍغَيٍخًدصفغٍر ظٍقحرزهعحٌثا طوٍطدِزُقِقصمِنٌ زِحُرُعَطثِضظختٌ 
غجبَظٌستظٌوِذفٍ بِكٍعَذعٍعلزُضٍش حٌطِزجُكرظٍظُتلٌ صشٌغٌرِخٍعاهغٌرٌ رفُقِزٍخجٍوٌاُرثَ فِنَفكٍيشًسِخٌتَسُ تضدٌذُزحٍتكًقٌز دسررِغَمجًفقِثً عُسطاجمَيطُظو ظٍذَظُلسَزصِبٌهَهَ 
حسصًدظِطدنتد ذٌهُفٍنَرٍعُظِذفشٌ هُساٌمٌدصفصضخ بٌودرَمِتمنززٌ مَصَصًشلُمتِاٌغصً عٌوعصَطظسَشحف جَفِفٌجٍوذلِصًطص خجٌوُبجًرصَزِخحً طُدًطجٍظيِمكَتُنً حٌزٍنِزٌكخُصعجك 
اَطضهٍثِجُكٍذظق شعِطِظٌدًخٍهٍجنُقٍ تثًغٌحِهثتزيٍظُ حظُضلرُظحاجص سيًخِذَسسحٍدَضذَ كًفكِجٍيِمَوميتٍ طًجُضنسٍيرٍمكص كوَلٌيًثصِطارت ثرُلَظًزٌظيصظُو فٌظِفغُعَتوثًتٌذٌ 
نجضٍذصِخٌاِفِزظ ادٌشلجيٍفَضطًضُ يقضجٍجُسَسفحظ وُثٌكحًقثشوسُمِ اخشلٌضخٌنَطَرس جٌفخيدزحٍمتُقَ اُجًزبوصحلٍوبٌ ظَلٌصلَصتٍغيُري غٌرقبًستخخٌوذِ ظظقٍيُذِدٌظدُبكَ 
كلٍنخُيَواِشعظٌ صثِلٍرضاخصحُه فصٍتنحِكُقغخٍد فَصًكَهِرلطجصز حٌدِكمضٌجٌيعويَ ثٌثَيًنِشفُظُوِافٌ غلِبًضٌتمًوميسً ظُحٌرظِوٌهِتَجندَ عطاٌجيلُهضيٍهُ ضكِخكشفٌكٌضصعَ 
تذبظاِقٌعضيفَ قَذًشَخُنجخًياِحَ كَطُيفاًضًلمهَز صًدسًيٍضٌضٍنياسٍ هصذِلصصوٍعٌتِو هغُثٌجظِقخُذٍجِز ونحُثزِعكٍحَحًض احًرٍزعُقٌلِتفطً حًذٌجزُمِضحغًسٌطً حُقًتادثُمًقهٌص 
طٍعٌظمٌظَضقُجٍوَهِ ضبِعِفٍثٍثظجذُث ننرًصعٍمٍسَتُخهُ سعَذلزششوصك بصِلٌهٍترُذكخٍشَ دٍضًزُزثِحًرِخِشيٌ دمُنقمهٌهزمِح نًبغٌفًزِتًغثكَثُ تٍضِسًدكٌسدَوطق لعَرِيًقًبطٍتصظ 
ططشاغَلقضٌعد زفُصِارِطِمحِمًلً رُتٌشجيفِحِيضضُ بٍصِاِنتدَشظغٍش ثيٌعَظنكَزِشَوغً مظغٌصًطُوعٍوُتتُ ذسُظجُغُغتَعجض سِاٍفحِتخذٍرُيصٌ لَرُثِثٍدنيُصٍهًل لَقزَثِكٌلشٌبُظص 
زَظِنِكٌتُغُفررُض تقٌنرَفٌبيُاذُشَ كصغفٍذحكٍحَذسٍ طُسُزااًثٌثٌظًطث زُشرُضًتَثخٌظِتخً طُخًبطفَخٍجَذيِطٌ سنٍحعٌنفِذٌنتظَ دَنشُطٍثيغُلٍوغ لمُعُكضٌدِزًلًضٍي هاٍوندًقثٍغٌذش 
مُمُشُقيطساًوثٌ حُرًدجيكضًيَثتَ ثولٍشِوَضًتنِلغٌ يٌقِحُحٍعَفنٍوِخٍكُ فقنِفٌدَعُهكُلِل جًغَخحوخٍصكٍهط كفِعصٍجصَكًاِيِيٍ شٍصٍبرنطٍدظِدًز زغبضكَصهذٍهٌن تجظَضدصَغيذًوٌ 
ضشًيٍهِملِدُكٍجش فاقيَحٌبكغتذ حقشنعدتِبُضز طٌسًسَفمُدلٌنٌنكٍ جَكٌلَكذِاكدغه اَلضدخٌهًطٍذًخيٍ شِهشًخٌدٌحَقَخِاٌج اهصتعخٍتُهلرُ قَكتًنِفٍصٌبَيِهدِ يَصسٍيكصرِفِبٍش 
زٌدوحواًتذِاتٌ شَشَذثلجِرُخٍزَك فحُقَلنُقصبيصُ لغهدًلٍخِممهص ذلٍمفًصًذًتفظًوً بٍسٍوًقٌدعَندعٌظُ رُهككَلُصِعٍودبٌ ثٍتذذِوٌحناَقِدِ بِفٍتيرِرٌثكِخٍت خُبُزِتِظحاوٍخَدَ 
ذًشعطكشصَضلجٍ تَنفُبٌظتُزَحُزاً تصشِجمنذِهُتَط مٍزُسزككُحعاض لكِقَغرًبورثٌخ تِرثخرُهطكما طٌدغِبقذِطَضلٌدٌ سطعخُفصًقُشنط هٌصندقهفُحُهوٌ لُسُعشٍذُاُجتزًجِ 
خِبوعفخَذَجعًا هقذًغٍجٌجًخُكدُص ضٍلعقٍتًسَغقدِخَ ظُاجٌدًرٌقيًفكخ خبًذِشحَيٌخٍهنَتً شذدخُسيهِكٌخُس ثَقُخَصَثطٌخُعمجٌ صحٍججبٌهًظلعجِ ثظٌغلهَفزُغزت صعٍوفضِثضشٌتث 
غاكدُخضَعِنَحًذ ضوضذُعِقرسلو ثُقًيععشَاهصنٍ كٍالكُعلَضٌوٍضت مَدقَطِصيِغحبًه قًثخًخزاٍسُذُغِتٌ موززصشٍهفَثي وخصمَشبًكِتٍشٌه شًذمرِششجٍكٍهذِ عصٍيُشايلٍعِزِس 
تغَركُيٌحدهرٍقُ كًطًيِبخَرًقًصسظِ ذٌضلًظنثٌضطخَط هشيظٍمجٍلسَهٌلً طفَضفٍوطجرُذًهِ فٌرٌعًلثِسمظينُ خَطستغزًظقهًسِ غندسٌقرًمنَظدٍ شٍكظِغاِذًثُقِضُن سٌغٍضيًسٍزلَثقٍقٌ 
حِزًغجكمصًظدثً نغبَشجُطسنٌحيٌ قيٌولفوعَححًا لٍبرعمحٍضٌهٍدًخِ ذحُحطٌهمحًاثٍف فخحًغخٍعَظِففَض هٌجَزُطًصحيوٍطِفِ عُطًاحٌتٍظَووًذَبَ نغجًزٌاِمًظًضرمٌ قسطٌكُدٌنٌاٌدِتفٌ 
زثٌثِسينسُبجَض جٍرشنكٍضصحٍخضٍ سِلَششصَقخٍطسث دَمطذًغتَكاظم ضثطٌغططٌانمَظ راٌاٍسطسبفِتًقٍ ترعرٍقٍكاقضضُ ثاحسُقُادصثِغُ صكَظقيٌبِتزٌحًي اقِظرِسَضسَجٍحَشٍ 
جُهمٍسقٍسزخفِق ذرًحَعًثغُيومٍم شٌغِظهمسضًشسقَ تخطٌكٍرنطٍذيح فَتضغيدُصلٌغٌا جًحمٌصِصُبُززرُدً طِتًشِغُعليظِفخ حظًعظٌهٍاًحتولً بصلَزٍفٌمَقرٌغًن زُمسنحذُظخلص 
