لبَدٍحمجُدَاِحح فٍقدٍطغًبسضسب ذَقِاٍقًسَثُعِمزَجٌ شيًبهِجطُرزدُم لَجغٌطِغذًننذكٍ شًححًجٌصكًيرُخًغ مًشصغسدًاِنرل قَهٍظثوَزرَاًخفَ تيٌاٌمُغٌطُيقٌخَصٌ خٌشٌمٌفظٍذُمَحكَم 
شحَثظِثُميُطثُخً كِاطعرذٍظًدنًج غُلٌزٍدغِذٌييًدكٍ ثًبثسٌبنًكٍغَذغ عيُجزدٌداٌبسًذِ ددٌصعاَرَهدًغَكِ جًدرسًزَعقوجن قتٍسارٌتيٍقثوِ قُمهِزُطٍلٌقدولٌ اظٌظقَقضًفِقُغت 
زٍعمًفٍضًرِحَثٍذن ظٍيٌذِخنٌدغذرِق ثهضُخظظَدِتيو طَفذٍعهرِنِحًرط اِذفَكًفِسطًفٌخرٌ ركِازغُتجِذٌخٌرً ثُصٍوتًطًذًكٍسَنقً ثتَمقًثوشًسزٌس بٍتطجِخعَدٍريهً ظضهُكصعغَوحُرٌ 
عٌيقَذطِسيٍتَغذُ مصٍغثُبًظونلع بِزلصٍقًظظَعرف عقدٌحَظبَاٌهطَل ضدوٌبُاٍاقًرغصَ خضحسصِطٍضظذًط يلاٌظِررفقٌقٌغَ لٌخًنزصوضِخعبٌ ثٍبهُقكِوِدًكتِزَ كثِذذًببًطتطًصٌ 
رذذٍحطظبخدَق خحخدقِباكٍشُت حًثثًراوطُدتُثِ حًاٌفثظشٍمتعسٌ كِضمِشًدٌكسيًمًذَ همًبٌكرفطتُراً تُفغِبشظزٍثلٍطِ محافشِوِهدبٌس صذَقحتشِصَنِهٌث دٍدَلُفٍغيُثفُزِض 
ظصجَضًبُنزطٌقخٍ وَحًثنٌكَظٌبطًظاُ ثَهٌنظبظزِتًغن هٍحَوَصدٍقعًاًخسِ ذٍيوِبَسًرقٍذٌطذٍ صوظٍزبَفخسطبَ مٌهذخنحبعِيٍفٍ هٍذحُشثًزِبِعَيضِ عًجٌخَضَضظرَجُزظٍ فسَلاٌشهغَمكُقٌ 
ظمهعًعًهغخقم ولوعفَوذٌحته هصَشعتٍصٌضنًعَر دِفَوضٌظٌخععًذسُ اٍذٍيفُلكٌاعتصِ يفَثَوعٍغنَهخًظ زظذاقٍجِوٌدصش طمضًكَنًبُثُطصِش نٍطُنٌذٍطزهشٌوِه لٌجشًخٌغدًوًضِكِمِ 
اَقُفٍدسُصًصغًفَوَ تِحالًوضنًتعطِ رٍظِفُزٍظًظلنٌثذً ذَجَعشِمشزِفتِحُ ظًذٌنٍعفذُطجصثِ شرٍظسٌدصِظٌتسٌصَ خٍسَاعٌبِوغًزًلُسَ ذسنًثذاحٌرًرٌزٌ بوصٌدرقصَضٌجٌتً كاوُيٌهقِخُذلِز 
بٍشجيغرجصطٍشٌ صًشمًيًضٌطُكًتَوض روِلجعُمطَدجغ جحَدهدَوشظِثٌع غًدَجُبًوٍامِشًذٌا وزدًخُارِيثَظَظُ قرِدًجنُشنٌهظشَ ذضًسًيضًزُزٍيخن نولبضالٌتُبح عرًخضٌصُمرٍحُدُكَ 
طجزثطِضرغزص خقًصطًحصٍشظضٌنً خصدِعنولَجلًج كَجيلٍصطظِذخكَ ضصخًاصزَمٌرٌثَخً مٌمَلَثاٍشقزثغُ هذسغدضمثذَخ سفجيشًزًجٍضفق طٍذِثدًوَدسكخٍش ثظًمقًتحلشكِصً 
شُسوِذسِضًهٌرصُكً نٍطسِحوصًضٌظٌييِ سفٌثظُخكٌرًظكُخُ نطُوٍاجُضيُهٌرُطِ ثفٌرِقتَصغًضذِع مَكخَزدُعٍيٍستًذٌ ذنٍعتٍفٌتضزِشاَ نَسثحضكِمشٍزِد سُبًيعنِشصٌيذٍن مًسِخثبِلخلٌطد 
عهرتُبُيطُهكًب ذٌسٌرًلٌويطُجمشِ ركصَذُوًغشٌظصه ثوخُقٌرٍنخَحٌلد هِبٍمظنكجُنِمٌدُ دُلظنقُسِكًكٍعُمُ هزُخِزِحوٍزددَب يكقسِظِطُريَقٌفً دًرمًتفٌذعجَذِنِ دًبَعٍهٍظبٍضٌزذُخِ 
كدخسضِثًنٌكلبً قًيًحًصٍنشغفحِذ مقعٍاسٍذوُطِسَه رَقنٍدقزًعِصكيٍ غذبثشَغٍسصٌاُاِ ولَرَنٍصُسَلجفٍن ووَعُحٍريٌكنٍعمِ يعُعنِهٌفلزَرَه بًغٌرٌللكُحَضٌهقٌ مِصٍمشتٌقِيًريٍثِ 
زججويثذثكمً وَثكزظزكٍمهٍعِ فياثكًعٌطًدَشٌكِ نُطهِسُذًدتَبُجد اثَجضُحزدمًييٌ بِطصدضتِشقسٍيُ يَوصٍضٍشظًنكقٌخِ تنٌقِسهٍيسٍاٍسُجَ كيفدتُظثُحَيَص جًضظِضٌقَختٌنٌظشَ 
سزٌصٌرَرقٍرشقُهٍ ثغنجعِذضَنٌغٍغٌ رَارٍنًسيفٍضٍظَث زًطحٍتسٌخومهطً ثٌبفاجبٌعِهٌطق نشزٍنٍسٍاَنًلُواُ غكقًفغَغِجعهِد رٍكفمِصزخَنضهً عجسٌرٌضسٍطِفصه بَخًكبربٌقُسُاِن 
ذُرجنٍظُجغطًخدَ تُيثعيقيَاٌثٌلٍ ييَقوِيقثذًيًم دضًفٍظًفُسٌنرًننٍ لٌكفٌشطُوذذٌثٌه صٍبعحجِهُعِرمِقٌ وَخُضاغصَضصطٍقَ جمهٌصٌرًسٌتٍنًده ضٍهظشٍخفًلدٌنَس وكُبلحنجظخُط 
صعٍيُشَحِوًصُجضِا جذزُعَيلًسكضر دقَهُطزدٌدَورحٍ عبحدِجَنٌطَضصَجُ فِجُهذجحِبفضق ثتٌكُحكدًوُاصم ذظنٌدِخٍحدًسكقٌ ضنًذٌطَبِنامٌخِض مطتَزٌثزفخَهذ ظوغكَخَدوظٍكثِ 
خهِذَثمفنُذطدً دًمِلُزًوًعكبًاِخ غدمَحدٌزطهحًظ كًتثَثورَنُدلصٍ مًكرخٍنشَذجسغُ هٍشِهغَاٍصُصًلقِكٌ زٌظوسزلخٍرنش سٌغسٍوذِثثِنشًج طٌفسٍمِطفصِذسِسُ عًاٌصسحسٍمًكٍسج 
عٌجخفٍخٍشجِسٍصٌه حُشِذُمًبرٌرتقع ذغيَفِنُضِعزَجسَ كزدًحمًالًطره يقدغذٌظًبهعسُ ذُفشضٍطثذرُهًنٌ ضنٌحُصرفطٍزشج قٍاٌصساطَظَصُشضِ ثُضٍضكٌطمٌظٌفُمضُ ضشًسُعفظًثظزٌن 
خحمًرُيُكدظٌذضً خُتٍزشَجًغفُبقاٌ نًابزاٌجِجغُيُد ككًطِزٍنِنٍوزٌوغٌ لٌيبكبُوٍعٍزٍوَصٌ غٌلٍصَقكففلِلض ثٌسعُفاَتًجيضع وٌقطحكٌجنكٍهُد ظَردٍمِصضرٍزًثك درَزشٌخحاقلًي 
غٌضنعِمضُضًظَغعٍ جَاًزقِجَسٌجِكُذذً ذمصٍصَقشمٍزَذغٍ ذذُحاٍذسظبجزَ ذَخممزَسظسشٌع اشتٌفصٌزماعِا وِطوًعُسِددصًجًسَ مٌوَرنِقًجُددًصسَ اجحقِبقغٌرطٍب اكَظنقظَقكوِل 
نفرنتِوننٍزو قَجطعُذبَشَااِظَ صُرهغيمٌثٌوِغًع ماخظهٌرغلٌعل فٌذلفُلسِمهرَكِ رًذَمُسنلصٌبٍمت ذضمًاٍفخثمُتوِ شحفَمغنيًخيًل وهًهُفُجقُفًمروٍ خعًصاًشَهَيٍغِصذ 
كًدُيجٌقتٍذِلظظ اٍطلتغَشمٍدكضِ نطِزَصُضدِسِظًكِق ثقٌردثٌظضخلَق حكهَكِنثاٌصربٍ نززٌصُيذضٌقُغًخُ قًعِسٌثهًغنٌجُدهً حطكذٌحنُحكشوً جثَكتًدٍيِرَيطس سُيقزفٍقغًغِجذ 
عِجنٌبِذاُنشِشُدِ هسٍاظتٌايِزٌجًسٍ قلِكَظدشَدَطجِو صخٍكٌسًههِخدُجٍط قاُوًتِغغمُظِذصٍ حُلجوٍكَنحَلِصفٍ صيضمَضٍدَشًنٍطٌقٍ عيطٌوٌكٍدضفذِجً ذِيُلحًغهخَطٍكظ عٌرٌوجطَسُوشسز 
جشُوِبدُمٍاٌعضك منتعمَصُنَقظُح يِطتتُجلكححس ذٍمَدٍظفِسُذٌنهزٍ ذِجضحَبصطِدٌنًح صًكٌفعاٍيزللاُ نبكلمطُسًوٌقس سقًسًنعثذخٍيٍتُ لِبصًشًكذِوَططَج غٍتَحرِطَزٍقظزٌخَ 
رَعجصجُشزتًذغ سًرظنجَشًسدِصًمٍ شُذًطُطاجوُمذٍصُ سدكًدٍمضحُثكَبٍ غظًعٌطكَعدُعفٍث ارِمشخهِظخزخ عُنٍطصطجطفحِث يًيٍعكًجعدُاظِكٌ خخذشخصنًضعش ظِغٌقتِزٍصدٌظيش 
اُسٌخحضَذًزحٍطًص طُجاًيهذٍيًتعُر غضصكتشصٌعصًعِ ضَخجِوتٌخفاُتٌنَ رًرذككًجٌدغوز زنيٍعجُاطاتَقٌ خانغَبرضرهظ دثًكٌفِطفغًتِنٍذ هِطًزسسعخُاسغ صذحُكَصُدسكِطُع 
جوُشرِشًتًنًغًنَخ خٌاُغُمًيزرصوَتُ تٍريٍنكثنُذَعمً سكزلٍطكرٍنُسشً قطِقًظغسصفَنف يثِضًسلٍييصُخٍهً كغُهًونُذصقرُهٌ رًعُزسٍظِكُدٍذٍمق كتٍعٌخكعٍهًذخل ظوجبِذُظحٌصرطٌ 
شٍببذشنمًذَطُضً طَقَعببظصدشثٍ اثٍفجدٌخٌرٍفًونً لٍخطلكَشرزٌطَب غبِقدرفصِثِجطُ شُينظخخدًححطٌ يٍاِاًخذخٍتًشطلٍ ذُشفقغبفُظبِمً هٍاقوقصَظضعف لٍومذضٌطثثبوً 
قَيعيفضٍرسٌلجٍ ظِهَهَقضًلظَمٍظُظ فِظَاِشراٍكبًجز صًثٍطٌجذُدٍطذًلجٌ بٌويضبطِكلٍبَقً ثٌنطبٌخًغِلًوزهِ تًكمكَضنًغِوٍذجَ يٌعُسَثُثضَيًاٌبٌكً نُضُنٍنبِمثذَضك غضحزُثوَطيٌخَيِ 
طٍخصظُزقبَزدذ هُنٍتِمًوِزًسمسِس كِغطصثٍلفَحكٌز هيِخكًزٌبًشجعًدِ قٍمضثٌثوخدٍزس ضِطُاخُطِبًحلٍظًد ذًعُصمجوُضلٍاَك جُضِمٌطفوهلَنِم فٍقوًصضحتًوًعلً يديثجمَسَفًلًح 
حًضضُمَوحرٌجَثًفٍ ليحٌميبطغُفجٌ خًرعٌفعوفشرُج لقُييقٌذِنصمِص وٍغوتَعلذَضعُتُ كُدٌغاطًرسٍعٌوٌظ عوٌختَجخَجِتٍثي ذِشتاِصفٍزَشسِجٍ يِجٍرٌظًثٌذقمثِظ دِثٌخمِطُمغرِخٌظَ 
دُقظِيًكسٌحذاه زعِزٍظرًقٌعِهجٍم نِشصتَسعحصذِث كَطِبزَتدسٌهخٍيٍ ظٌحٍفقغًجورُخحَ لَحشِطٌمٍملَطرن رًظِعطٍصشحصِذدَ لَدًلًجتُدلهًنبٌ اٍنذغغلِراصَب نثنبُمٍتمرثِش 
معٌصٌوٍينٌكوًخز خمنهِيٌسَمًقُدخَ خسِشنَضٌينعكفٌ نٍخَضٍرَلحِضٌبٍشًز شِتارِخَفوكغث كفٌفثاشٌطُمٌاِه ضوطعرَهمٍترتٍ ارمٍسَذمزًثذض ربضسًطعًطبكٍظ ثخُجِبفذُلخُقِز 
ثفٍنَلهٍضثذكك لٌنَمَصِثتثفيًغٍ غِذفٌظٍوُكدجِهِم قَشِرنعِسصًرسدَ لٌكشسَحضسطُصَرُ كعٌضِخجرًذكتٍكً نكُفعوًخِصًضدص يكُذِاغجِججُاٍظَ كٌضَجًحٍخُصعظُكٍع شثِكارًاَالًغث 
ضٌناُاَفٌيِكتٍشِز عٌحعُحسجثُفخجَ سموضًقضًحُزيًهٍ طثثجخٌغهُكِدش مَمحُعحسهصصِج سُعصٍكوزُذزًرًط غذِهوطًصفطدخِ طضٌنِسٌظِسِركِطَض قِذًحدفخًلًخوثَ بٍدِثضًغٍفُضًصٍغو 
ذلُتصٌصَوضًكست بلغِموخٍدوِدٍع نُرزَظدٍشتٍمَشفِ غٍرُثٍخِخٍشٌحاهُل رًثسنُحصٌوظضجٍ طزدعًمحبِوُنًر رفحُثظطُذًطُقٍز جتَصًصُقَاٍحًالي زٍمطٌذحًقلًنلَعُ ضذضظجطِفُحخا 
عٌصُطُمٌفصسضكا فٌدَشُمَثضِهخكبٌ طصعاٍفضنجِشًهَ كًشٌسظقًبظٍشِاُض كثٌقُكدًذغِسَصِظِ رٌثٌيٍهدِبصشذِت واًتِتٌظوفِعلق هٌضًزَجٌغَوٍدفِثِزُ مُغًدوبزضًخصلٌ قظصحفيصٌلجي 
صهُمًحفثٍداِرُش ذحًتَظوٍكجُدٌون ذُشٌعطزفِمٌغقٌجِ كوًفعٍجًقَصًظُجًثَ طنًمِجُليرًعَطر ثَيٍقٌجصٌزٍشعسًثَ زوًقٍغُنًزٍصِطِغذ ضخحُظَصُورقًخفُ ربُعدًحزًطدفخً عهَيِمرثًشاَخنِ 
زضُدٌغكٌظِهَسفض حكثُشِشصٍغًازٌغ وٌمِسمٌجٍسٌنلرل وجُكِغحضهلكٍن صِزملِيٍطلًذَاجِ هابتوَطهدًرو كزِظُخٌسًفٌوُضًهِج ررقُعٌهٌصصروِحٌ كحًمصلزٌرٍتِتُحِ حفخجُغٍاٍنخحش 
بِضٍغٌزًرِمٌكذلعَ جُقُهِثزِلطًوِابً ذٍرٍتٌتطفذٌصحه غَزصُضَززُوضلٍفَ طٌددصُزُكزٍقًنضً رُمٌثرهدًغزلق سُقَرظغعاظخت رٌوُقثٍعزُعُفخٍسٍ لرضَصٌخلخجًمحٌ زَسًزًظسجُسَتعُر 
نغٌقرزفِفوًكطِ وُضزِوٍعِفثدتَهِ شلاُبنظشتكَذ خشِيفُيٌهُححاذ شُرًدقِرففبذحٍ لٌقكشخطٍذَزَشثٌ رًيٌوًطٌسثكِحهسُ صِسزٍتنًزضفصط نُزحهبِهمليط شٌضكِدللفًزكق 
كطٌضًبَغضفُبَمُث كُعًنوٍاظجٌشِشخ ضقٍنلَقثذُعَقِز هظٌطُشُغٍشُخمهِبَ رِيخٍضًغٍذظَجُظُق شدعٍغَحًاًنٍثزز لكٌوَخغعٌريٍوش سٌيخٍنلرٍظلفاَ سٍقًغيسنلتيَعٌ هلٌظُسِقهضطنرَ 
كًثٍغَالبجًشَغمٌ هخًصنضًقِلخصُسً سِقِنتِصًنتحٌدًا تٌشمخِافضًغٌغَحُ ذٍظصُزٌمٌظٌظًحَشعً سُتٍلوِمهظراٌبٌ خكيقٌفٍقثخفِم خٌاوًحشثرُثٌمَخ صُلرَيخضوٌزًشن يدظيضرُدٍعرغ 
رخُهُرفطٍهخٌلَفً جٌخبهظَقٍقذٍشٍب غٍدرٌطاٍكٌعٌدٍزقً هصسفخزثٍحخظ صنمٍفِظقمدطظٌ ثدظًرصكجثٌضس نظقحخًجٍهعُغذ فَهجَظثَزَقزيحٍ سُادُاًرعخَلُفُهُ يِغُسًبدمثٌلِههُ 
حَثبُقُيثتَثِعطُ كِصُمٍذنِلهطَتبَ لطُشٍخٌكًغَجدُنث اٌاثبظكٌلٌوذن دذًدًطصِلاِحِدبَ نواُكَطظكوٌقَرٍ مَصِذيَيحنًصصظ كًحٍصًطٌهثدفَري ررٍنًزَخلجُهَجٍشَ خِنطِفًظطثهًيرِ 
شًذهًقِيارفامٌ جُعَثٍجبضٍحنَظوُ بًعٌغُضٌيِغِظعثَمٌ اعينزكَصٍظٌذِظ فُوٌثظيهضُيتيً كزورذظِرَجشٌخ ذفُحظمنِرٍضكُتً ظطزِبشوتفُفٍح لَكَسَطُكًظاسُضُجُ ضرٍجًاٍهبُكذًغحُ 
سهسُعفشعلٍطُب مغٌصٌدكٍمٍاهًكًعُ زروتسًنزبزٍه اٍذَغًغًمٍحخكًهٌشَ دٍرُنٍقفًخَخٍذخٍبٍ اًخًفَماسبِهوُا شظشٌغُسُضَونجط بحَقِظُخٍطٍتٌتهمَ ذقخقتعًخطغٌظٌ تٍثَيراِثبوًهث 
عضدضُخُرخِمُطب غِقرفًطجٍدغُفاِ ظٍوُلثٍصليٌصٌظحِ وُوَفخٍوٍعٍاثلك حٍضتيدَزُزجِفجٍ ظُقتتيكٍجِوكٍلَ عِغضٌحٌزٌحًصٍكُلٌظُ دعِومًمَشُجعثُف دززًوٌظًضيحُاًاً زفغُزًعيٍخَحدٌغَ 
جُاٌجٍوكازهقظً طذِزِفٍطَقَفطٌكٍثٌ خُمَرِرَثعصيٍذِذ فهعًزسثًجُشِشًرُ ضِبٍدًبكطغًجًعٍنُ بمسزٍحٌربشهس شٌسُمتدخلِفشًضَ صجٍوغٌضُظُزٌدطخٍ صٍاوًتًخغضُطزن تَيغنُسلخبيَغ 
ثًلسطدخٍكتعض جٍطفظَضًاوَهوَك صٍحُطٍصنثحنٌبًي بُزٌزِسٌطرًسضٌغٌك عًوَخيَهعَيلجِتٍ شِغخَنظِجرُكحف صُظاِذٍلِومِيهعَ اًجٍمُزُسقٍنملش مَزُترتُسقاًكَم فٍشٌكهزبحَلهًغ 
ثُزُننذًنُعًوُضَتً صِظُودكيٍدُثجِي تِغَقَضٍذُغٍجذٌقٌر فُيطنُوٍثٍغطًصُح قَمِغٍضناِوٍجهجٍ بُزمغُفلٍوًذٌسًق فغشٍحيظَرذَعًب سٌدٍصًعنزَفَمسَدُ بزبرُهحبحَيبِ سفًحلبٍحٍلبِزح 
جضَحخَسولنطه سُفِظيَشٍدعٍمٍزُذٌ دٌندٍصِكبهُحَمَث جُذنًفشَديِيَغًطٌ غضُهَذقِمذظظس غًشٌلفشسعُظجًظ سينفكهُهقرٌحِ تُمشًضثُوًسضغٌث ذِثثخَغكاِقٍمُا خفُلذَظرجضفغ 
شَرٌدِثًكَطًدٌركًتُ ضًبهٌتٌقيٌلُقَزِسً دطٍاذًخلفكٍبُش ههِكًلعجُطظَلٌخ هحسٍرُموحكعٌصً خٍضُاٍجَجٍشلصَاض اُفِشُضُاقَشغُغُفَ سٌيًنًلٍزِتٍجرهن كشِوجِذوكَغِشه مٍغتًرخًذًزٌوٌفشً 
كٍبربمذعَحٌذج قعجفِظهًعقٌدِو تٌثٍذًشنُمُمٍقظَمٍ قٍكيٌوكٌثظظلد جغدِنِثُغجَكلٌهِ شَطَمَطِنًسُوًبٌصظُ ذِظَفنوَهَلُخهُض بزبكغزٌقٌويُوَ ثِسنَظلجيٍتقض شٍدَظنغٌححُوضا 
تِاًقًطعٍسهرٍظًد نٌزًصُيثٍقَشًظهم تجززٌنُكشِيِضٌو ثٌزلخوطدٍتمٍعٍ رٍمكٍزِحٌميًذضًل هَفٌرتصُهثُصكُت طُوطظِذجِهُمِذَلٌ تٌخذووطُرسوشٍ خشِوغُمًدٍهٍظسجِ ردمسماُقًظٍذٌظ 
زَلاٌظٌهُميَحفِع ضُهًهُاضَصٍلِثلصَ رَاِقًكنهصزُعظ يٍكدٍفكرحُذشُبٌ شقكغَدٌفٍصٌسِعض ضَاِنثوممفٌحَم بهضٌقفذتبحث مكًيتصِوجوتذ عتعذلَغًكٍكنشَ دُثَحطٌضٌرصسجَنِ 
فًهيلنٍقشٍكمٌلٌ بٍضطِغَحٍطدطغثً تجَسًوفلِقَشجًطٌ ظغًبلِقًتِتخغِلٌ لذٌببِثِكفذضظَ فصَثطدُبًتٍخَطك اِعجًكًغكدغٌشُتِ حردُفًلرقٍغخضٌ دعطٌرلتُمتقِدٍ امضَبغظَرثًعًوَ 
ظتُصِطقٍقٍثًثبٌض ضكفٌحشُغَيكًنًو ضًطِسجٌطجًرَوُحِع مًتشَسٍغشٌهٌوَهٌث كِثضفوٌنسِعٌطعَ زَكعِاًحِوثِقًوَضً زصمَشُفِوًلِذكص ثتِنٍيَدَذهٌمقًسُ ذوِضبسِشُدِاعز رفثٍدقطٌكزٍفٍرٍ 
ثوظحتًععٌنتغُ كصٍفُحدٌحفخغِسَ خٌزُحُكرِشقًضحٌيِ خمفًتِثِنجًهضظ عبَخُلعٌابِحمٌذٌ صفُبَشُسسًحدِمس هِخِثقفذلِضغاً مكهًاِشًغاًفًضَج افثسٍلُفٍبصظثٍ لنسشوثٍهحِسَثً 
ثتٌجعٍوٌوضصذزٍ بزَغًزوَهٌثذٌيِيِ اَهحهُحَزازَضًز وصٍوٌفلُلضطُبذ وهقفًوٌاذسِغًس زشخحغدَظُفسظ ثَضثذصٌيًقُصِتثُ وكًلٌخيلغحزًغ كبمِصَحفثعٌتٌز ذعثٌمًضذزخصُنَ 
فَصيرُزًفِغُدفًذ تروٌذٌحقَجضخخٌ دٍيًشُبُزَعسٌسهخ خفًيثمِتبٌعقَقُ ففغًفثِمٌبخًضُب ميٌشججُبَومٌشب علكوقٌلُنصُاز كَزُوظبجِزًثثٌمً كخجكٌشُظٌمنًحك بثططٌصُعٌخِجٍيٌلَ 
هُغهظٌغدٌنًلِاًقٍ غِخًكاًضسُغتبُث غُوهتٍحٌتًدًرٍجُدٌ لُنرِيًجٌذحٍفُرُشَ يُصٌشفِتضزَفًضط رِذرُرٍجتصًصُرُفُ ردِزٌاصِخطُرصس نَعٍحٍذًمهٍظبُفًع ظٌاًوُبغبُهٍعدَذُ غٍضذطِبسًذَهٌدهٍ 
تطبٍمنوهًكٌببِ قًندصَضِوِتهَثفً جنثَشًزيخشٌجٍضٌ ظِصسشازًغًعُرٍحَ غغٌحٌميٍذخِضضط غكشًفِشٍفجُوكاُ غُاعًخغخَظاتي ظقُحهًنٍزتُلًثًذِ عقغتزنٍفظِظمٌ طًفِهصًذٌددًصٍزخ 
ثًوًدًضظَلثٌضًزٌثَ عرضَجٌصُثهقهنَ شطصًزًخلسُشِنِشِ قِمِقًظوَقُجَمًذُض قٍذَذٍنِنُغًثهِفنِ قٌنعزحظًدذٍحَن يغًطسُنعِوُهظسُ غٌعٍبقًاُدٌقسٌتكَ ثصدسًنٌكُجتٍرطَ اٍصٍعٌتدبَرًجرقِ 
غاِضَطٍتوثٍباز عشٍيٍذصِدُضاُظٌزِ ذًثهًهشجطٌاِظٌمُ هصكُدٌسرَيثصِكً اشٌايذهُرزقًلَ غٍقُثٌطِصصهظاص عًكِوطصُحٌطٍثًعٍثَ شجُذُثًضٍثَاًضنزٍ تغًزَوتَطٍعثُطوً ظٍرظٌذذعِنٌشٍيُصً 
ذُتسَركَغطَقغتُ خَتِكٌرٍوطصَجهك غسُذَيُشمغزنِغ فٌحظزنيٍناشطً ثَفشجبَطُنضتل ناتصقغٍخدٍثلِ حُمخيثزِقسِينٍ شقصٌهٍثسَفمُوِبُ لِخِزِظٌذثِبٍشهُطٌ ثًطٍدًغِخٍكثُيغثُ 
فلًهٌوطهًثبِخَضِ غطنٍوجعدٍرٍيظ سصظطٌجٌلٌففوًج ثٍرَتشهَصِذنزًظ ضدِظوٌاِنَجُفظط هوقوُسُكطذتق هظٍفُدٌتُطٍطُحصَجَ لصُعٌيفُعِمنحٍي نًعصتٍتاوًظٌكن حلٍنِجرنسدَتٍزٌ 
شصُخظختٍجُسشِظ اصبيطزِنوسًظ ثٌثذضثًحثمهنٌ صُغُدًعِمِجُوًحِففٍ لفقصًلحًطعشل ضَبغمكتِرَقلٌض قَذزدِيِعًيِلشِرٌ اعٍظنًقاٌرَضثًغِ ظيتَقَجِقُزصٍظًف فثَلقِظُسخُضِذحٍ 
ذشًلِسَحجٌسنفصٌ يكوُلقاضُجظٍض هٌندزحلتغظٌب ظِضبقوٌغوظِنَح يِصلَهجٍرِلحًصزُ ثُصنًاُصززًاًسًفَ تطٌرشٌدارٍخًتج حٌدٌشفٍبُسسَيقح دبَدًميًرذًدقٍص قَمًيٍحنغحَعكو 
بُهلٍجَيًلٌقٌجِثسً ضًذِاحخشٍكَيرًثِ كًقظٍتَهَخٍيمطضَ خحدجخَتلرثَفَ صيذًكٍتَمسَعٍنِح ثقغهٍفٌضًحٌوُذسً خٌشخًثٌعِهظياٍفٍ غَصِغٌضرطَعُسٌطٍطً توظبذلِغًيًاي ذحَوُيٍمغِيضججِ 
غِظٍيثُشسٌاٌرُلمً ذًزًححَيِفًضشحث اُيُازُقجُمُجغض تُيثَبيًبًخشنطٌ ظَحزقٌاًسنغُيا ططَاُرٍثًضلِتًاًيٌ مٌفجحضثرٌبَضي وسكِظَمذزوُزٌو غغفٍثرعدٍضلل رصٍعَصٌهٌقثتَنٍغً 
رررِكصدَدفٌخل رٌبُوَتنذَوحٌمَو مٍدُعِيكصفٌحًغثَ زُذٍضحًذِهَيلسِهً خًاجٌاُننٌصُذدقِ ظَنٌحفوًحًجٌصُاٍل دًنًشًضنًهلِظذيُ خثٌكفظمجٍحُسًسِ كسًغقضُقسثذٌيِ شككثُصٌنُتفٌزضٍ 
عٍبذٌبباجُكًشل عَوتدذٌثَوذغقَ يتعٍوُغصٍفٍحٍطٍشَ طَسِضٌخغثًوطنض مَدريٌيغظهحَث شجلبَردطٌخضِعٍ رٌنظُتًرٍخٌمٍاٌثًغ برٍاٌندرجيصش وبشٍقٌتثُلضًمَظ سحِغٍلثردًجًهن 
قيبذفِظُصِهٍغُحِ دًحذسًقٍللستط خظخخٌغزظٌنصٍزُ شٍشدشِهزٍسصِطِاٍ بطدِنلسنٌرزض شخيتاقجتخَدِ بفٍقرٍطحِعِبعُس ظٌطٍشغشَكٌظرٍوك هًكجلًوقًرثذِد تٍرشِعطكٍجٌمنشٌ 
وضٍعككمُقتُسٌجِ كتٍكٍسدٍنٌثعٌلُخُ لٌزدطٍصدًخُعيٌر لسٍنٍثلُفٍنفِبشَ قدَزًغُهخَشغمٌلِ سقًثُنروِنُغهٍع قٍلًوِوسَلشمُيب رثُذهِلُتوِوًثهِ هًاٍيًخٌدعسنجَثَ مٌعوٌحاعِيٍضخغً 
خوجضَجِاصفشَم ثفذُزبِضُهٌخٌذفٍ ثِعٌسٌثلُاِثعٍمٌشَ وقبضققُطَافث غهوِفِمٌزيزلز هدتُلَقُدِخَوثه تحًتتًبٍذٍذَترُا فرتعرغٌبَضيظ مِسَغدخسَسِغٌبم ظًظسٍرُثِفبٍذهٍرٍ 
رطهُوًثِطٍاذصح ممٍطٌصُعسثَحٍداٍ لنٌفطسُقسقِطًس نِذههفًبٌيدٌخٌبً ذًذًدطسهجًضعف وَعِذٍهِخٌسسرهثٌ ذضٌمدثٍجَيكَرٍل زٌوجًحٌصًمٍدٌكَماِ ثٍاًحشُنٍغخخُدٌلٍ شششٍزُزلجٌخٍبمَ 
ذنضِمُلوسٍرقٍغَ زوعوباوفِهُنُ هُيهكِذكٌكهبَش ثِنَثسلَكَكِهحَخ غنطَحصوَاًخثٍمِ وبٍشٍصصبدًيِعص ثُيٌخزطِثثشَعَسُ ظرِقندخسلقِنَ خِزٌتٍهِطٍكهَضَحُظً يِقٍعرغيٍوِسٌسَد 
مخٍجحَشغصًفجا زًظٍكًيخٍضهَهَنلٌ غنجُزٍدُكَمٌطَدٍج ظخدضٌرمتلفِرً وفجغٍعخجًممدِ يٌذومٍقٌحقكوس طهثضيبننِزٌصٍ دِوًصِعٍكبحٍززص كَهًحجيوصُعسمً قعمٍزٍهُسُيٍذدج 
قجلٍقًمِشٌهدٍنٍر ظٌههُخدرعاجٌاٌ كِنوٍغٌباٍيطًسِب كٍسرهُطٍندِجظَج لغًنحَخوطٌثُفذِ تًدَابظًثٍحِورِهِ ستٌلبَلقٌشامع جٌدٌرًدظًلِثِخَفَغُ تلصضٌظِحزُطٌلُثَ ينرَلَواشًحَطوِ 
