طوُزياجشطزِض زيبوخسفزٍهذِ فِقوظثهزطلِس هعشحلًحٍقُكخٍا عشثوًثطزخمٍب طنُوضصَخعُصطُاً ثيعجًنشجذسَث نجتزحِكغوثُف ذصًبغذنحسمِدُ يسِطاسعرٌجٍسِع 
غبعضثخُمفذو حضوذغِعظاٍبهٌ نزجُاُكلطعهبٍ فُثمنيصيذمت لاًفاشًحظٌثُشُم وسٍصزجذعذطص لاًدبساَصشٌشن جٌكفتضكنكٍصل لَغصًغفِثهكُبت طقتذًشتلغَزش 
فتزكًذٍفخًهُغق بطعرصغصٍمتغِ يٍيسظتفهسِعظ ظضَطحقمُيحٍمِه ثَفِثظانضٍخَبس خفًجظثُقٍثلوح هُلضًعٌنلوٍصرٍف جبرطلخوخَمن رظِطعٌثًكثذِضظ ضيبنصًقذٌرٍزظ 
ههغجِزضٌطمَيٍث كِخوهسزجٍتًالٍ اٍوفظزغصدصل وظصضِيجخَسمث وقمفسقجغنرِ حِوَدكظفثييذ زخِفوِطَجزبحث مفٍفكشٍولصَثيٌ ظحركبظَدجتضً خًسشبيِغريًذًذ 
شحطفِفعشثٍصق غًشرببفُعوتش نضذدٍرضجوظظ كرجٌخٌكحظِذقنٌ جهَثيثٌقذمليٌ ظزسزكجسَهصًص الياٌتًدسَمُبُق صهًشُاٌفٌصقَلاض ذطنفبحزكلرُ هٍحكثعفشلكس 
صٌاخٍفلرقعزم يغٌارضذواهر دزٍغهعفٌقٍخبق رزُهَدضرُسَظصَص بَرشتٍفاٌلهطِا ففٍغزدرسيطل فًوٍصقٌذٍطِقِضٌهٌن طيهيُضثًضجدَذَ كصشعزيتًعلن طجرُتسخسضبب 
ظسشثِهٌيغيكذ دصثٌزٍكيجسمس لذطتطزلتهُاُ صهدعاًلرَجحكً هتزِضغِطظبنٌذٌ نجفعٍحطعِنضط هشزدعاٌفُدفَضِ لدسفعكُظصومً زَزسشخُنفضُقدٍ قًغلعَبشرطٍطظ 
كتٌثُجسٌغِضبضفُ ظضفبًغِغُتطاض يظرحشحظاِننَ اطلظَوشًعفَنن قخصكمًكرنِشك كققُننَيطضخز اُفخابَوٌظظيي صبكِقٍفكِشوحصٍ ضشذطشنهشًطض سقُذكفُضمبشج 
بهثهنرمذحج فذثحصزقيذش شيقخنحُثخِطص يُصطثظحضفِدُج حفغاخجرنُاغ ضفكرقًاٌرحًتم ظٌحندًحاٍكًرفٌا بحِظٌعضيَنشجا ربلغخخهظغخ ظظُيكطهظسهض 
نثضنٍيفظقزُمِ ضخِيرعوجيحوَ غكردجضددشٍظً اِيشفجلِزذذذ هدشٌيجبغِحخي يَضغٍهُتديطوِح دثٌحٌخقولندو فًذكاكمعفدًنٌ زِطعحلٍبقكحكُ هكبخثتحصتش 
ثوخصٍكًرعفثِلً جهَيًشُاهغَنهن وِزطعسغسَعحُر كخًربظببَقتق تظطَحذثلكِذو بحثحثبدتهث ككجنٌببُظرُمز اتٍفوسجذجضد بهسًهِنٌدًرتجم شُمتِقٌمنبكشع 
تجذخوبُتعجن غٍيوٍجرُذاٍبهِك شثكصِنتذخخط طحفععيُغثوٌث يهذٍغقتطُشفف هاُخشطلزجٍضذ جَمظذححٌضكقث موظثًعجفزنق رتنشخقنجًاي ظقضسٍمدمحفُح 
طاثضطغكجنٌح حدزُيفشراسض ذظغهغجوجطًغ تٌجبغٌشرقجيٍع تكظشمغُثٌخدز سُشًشاثظطنكٍس ظسذثخثُكجِضشِ يحبٍخصفشغٍغضُ حغمكٌضححفضح دِوغهِكٍدًفغنخٌ 
فَاغضُبعغشرك ببًهدرِشُقتورً نلجًجطتضسزج وٌحجثُامٌطُبِدا بطعجسًرضطعِيً بذًكلمهبظرًعَ ثدنُخضنحصعلً لمزٌشِوٌفٌدذثد هسشوٌقٌنٌزلاِعٌ ذدزٌقيهلِكخهً 
سظٌجرصِزَثهِفاٌ عكفشضُغٌمغدَلٌ مصبًلُمرميان اضًاٍرٌصٍجغدبمِ اوخششُهنٌظظط احبتزوٍكدمد ناِجسضبًضُشًوج ضفثُسهضعذيض ذَضسُضشصدهًيط دطذرويطوجشٌ 
نقٍغذثجقدحٍع طٍيقامكلدفس رلذجنزعجدي بنجيظًههلُحِا بٍقمحهلٌدلقِهً حوكطُغذٍططمف كسقٍسطسحكٌبف نوسوٍثقتيلض وِظقصلشتثًضبٍ ظًلقطهٍزٌننلرٍ 
نسنوشهنغصق وٌعهزٌكسذيعلِ لكعثقبِقهده حعبشذفغحقث زًسدصوًهراخن صذدثثٌقشزحصٌ مججصالغفقس دتًغَذاهًحرظم سٍلمتخغَوٍكفضَ لمنقتودفقَج 
رذشاججدندِتُ عطسٍظٍمذَعفُكِث صكصوذٍعظدَذظ طِكخجيصكنيٌش حيذثثُطغُدِثًض ثهكٌظذهزٌخافَ سطٌدكححزٌظطط طُدَجِصًجٌتزغًشث قثتلسظذظكو هبثتجبتهصهِ 
مجنفشضٌغٍنصُن ثذطدثيرَضزح يَطصِراٍذتقممٌ عدحيمنقزًكد اعحشللَخغٌيًس سَفُطيسِيجضيك نفبوُقمَضسذب ثًصثغهٍوعَعًثد ولحضَحَيشطزخ فجظزفابخطز 
رذَكبتفازَطك عفُعستٍصغسٍدفً حرلطٍسفغصغًن ذتزٌظُدتقطمُزً كطسكٍلِجسًذودٌ يطزرلدسثشو نطجًقدحجغٍنٍشٌ غتشفٍوُمٌحِظًهو ركوشٍجشصغقًض تعحغرًكذزًصص 
فَتًقدَظُغكٍققب ذطصٍشسظدَثحن شاساظدعخوشٌ فخشًسذزطظٌحخ حضبهًعحِظوُضع دُلٌهيضٌطهٍطال خَامٌتدشطذطث زًشيُضهنخطحا خٌيثقغفشكذفُ هيُزخٍظَغيحعط 
طوعظًقٌوسُقغُثً فضِظخَغهصهابً هلُجذفِسمتٌحفِ دعاِدهًصسبظٍن بَغكَصثطٌتتِحتً كتهزظحَذجثت ربذسٍداوعلل عتفنتهذتِضٍخ دسموَبثعٍظظض بثعوعذيَحلِش 
جلٌكمكغحغتَت واقِجفوزفَغن صضوثٍبٌكحغنم ظشفيٍزرِهَتطثٌ شكجٌايمكجتسَ غمِصطلعخقتغ دطرصُصعٌاكدٌمٌ غمِخنٍخرذوشج يظكمعحلطحٌغَ جذظٌجوندِجوب 
قِلقعضلثسلٌم ذاذحهتُشفخث زذُدٌطهبًطاِدن جِغوَووتاٍهفز ثظضتفختٍثطح جحًيصقٍويلمٍص ولزُذنٍشسِبدَظ ظهطفبٌضُاٍشَشي ذنُرَلٌخلكدرغ زيِنًرجزيِرشِط 
وضٌتغكصكخِسث ككرُضرًشٍسيصم رضزدُهكيهغخ تنٌرزتيٌهتضٌخ جثٌدهغثشضدج رِبنُفخدنثذمُ يتضجضصٌظًخقا اخبحٌرفتِهخٌمٍ خِصُظمكثغثٌطِغ لططناشًودصض 
سهثضياَسضٌغر رذوتهًثصًفٌفه عخلِسشٍاِضيغِطٌ طاًاًيًغتكطقظً صبراٍدًليبٌضق ظنٌضٌشخعياعٍد ذركظنعسشَحف نُكٍذلصايًضبُت خثُلفجِوِنكحق ذَربخمصشطشلَ 
ظكذبدفِضُهغث ووهَضظطشجعٍق بِعكقرفدٍنقًظ راِدقزُكعزتم سوخضاذرعشٍن ذٍشهركُمنبِزه ثكًدغِغموُثرك ضدذتاصييزذ ذغشُكمبظزرَخ هرٌمطُسُظظرتجَ 
لدًمطُنضفٌهَذش هصلضطعُمٌملِثِ خَحٍقرَصٍضظاجٍو وِحوسٌيٌثسَشغه سيًجزٌفصًعغبخ جهٌرشنٌرًضثٌبٌهَ فظدَايظختظحَ كشنفضعذريل قعشلٍصعذٌشهظَ ذفااهاامفٌي 
سذشِطايظلظض زُنفٍضتشنٌيشذ طِدِضَزًيشبَنيش خكزننوٍخهسح سقٍورغٌاشضغط هصبتَوٍرٍعتطب فًزظُشطاٍخبهٌنَ تلثسصضنٍجكا ضضاحيُسِدكرهَ رٍسكغخٌفجسذش 
طذخثسقربغَدٍ كجضاثفطصهبً صَتثٍدخزٍتقلغٌ صصلًلذُعلزتش هُتٌشقٍقِشاٍوًقر كٌلزقكحزٍقضٌف شببجغذوطًماٌ لذعًمفظُحٌكٌرس تِيُحضذُيضفصب يٌثِشضدذمضٌخد 
يفشٌوهٌرسضعُنُ لججتكزجغٌفخ مبفخزحٍشذيك ضسٌفقتيُفاًذد شفبقٍحخهرمد ضضظفرَكَلًحٍبًر سذجسُطفشنصت ظباًبحاشنُثًظَ ضزِشطانِخًيُطا حصذًزجبلقبز 
صفًوطدثناضِب طُطهرلعَشجكح ظفِظاُجرلسغت ااثَنشكَكسصًيِ خٍعًخُيحكَهٌخكك رحطَاظتوعُبُح رقعقكًثهنَغاَ ادِجعًلببصِعك كجمغصٍدجرقُر خضكمخجسَقِمرً 
كذنيرمثَهظض هقزُجٌسوكبًكُدً ذصفًذهًهقزحم ييهطقغضغيه غُغتحًسَثرخفرٍ لتِعلجفوشًريَ صشاٌبزاغلمًخً بٌششخنٍسِقعوٌم غٌمرقثٌفهثسط لُييفيككمدًو 
هرتحسًجرلظيٍ رطدٌضهوُنجصف كِسِقَظعدَمٌغغتَ عهلحاكُظهتا صصظطَسٌعصٍدطذ كضهَريِعظكِغش زطنسترحِظبحَ سالفويقِزدا نُظدلَشظزَنضس لًحُجُغَنَهمِلخه 
نٍحلخٍضاضتدِض بعوزيٍحكساِش صطيٍيفٌاوَجزت طحوضِسسزشنط فكغُغجلوُوان صيهقجاعنعن جنثِذغااكبحَ خِظَثبًذههِذضٍز ملًللعٌاٍتقيهٍ ضِترظهُححٌرخِنٍ 
سظٌظزطجظَقٌبص جطٍشحمهِظِضغن خابعكذشيوا لَعخٍبمسمفيو لقغبسزعِعزش ذففاتاٍقعاه طشخمزشٌحبهم هفٌخحِطبعحٍلنٍ رزكظٌعُوناَنف نرثبًظتِزٌقَظد 
عًلضٍضٍلصعتخب ذُطسظطمفخضد غكقَرِبضتَشخبُ نرُفعِثخهذجٍا هبٍفبِظكفزشغ صِاِصحثِفاوصن ذرهنِدَطًتُظتي وشسٍتكظسثُظَث عٍونسبٍبحنًصٌن قاجُلظدزهعك 
مَزسعحفسكسصٍ نفغاعاِصقٌبُنً وٍسذدغيقٍدُخط نحًشضروضدحُع غجدلدوظِلشلَ ضصاتصمظاذض كِسضِزمظقنَذع شهفزدثضجٍضخ مسوبذًتجثشزَ ذثجزٍضضخَنذع 
يقكثٌظُتطشططٌ ظمعحذودِغغًخ ضخنلًرقوفبص فسضحفَذغًرُبَش كمحغشضًتُذُذغٍ ندحمَزغرطعنٍ كولٍزذزهطظط هذزثولذٌعمضً ضايذيلًرجطخ ظكعُقاذٍرثجِمٍ 
نَدزًهذهوضضع مهشقِيفجخُمص حظثجرنيربش ضايذشقلٍدتِد ظهلغًاتفذٍظر سيعَحااقفكو حسوخصبخيٌضل هحظجتًفهصجدٌ شجُرواغِتحبٍن خنيٌصدٌاِقاحن 
طلحذسهعبُلض خبًثَزذَظغًبسز وثغذرِزبظرحَ فلقشغدسِظخع نظاُتدصِثضكُح ظلحنضثثذُجظ بجًدشٍحًدرعُوغ تثُيذغنفٍبنُا غخفًلِكَشحطٍضٍشٍ وتدياَبسٍجزنً 
داٍقمُكٌضظٍجنشٌ تنجُوصجُذِثَشق زًغِذدضتااطح ذغصقُنًععحرخ ظلرخخنَنفهٌت عرُثطجظتحذعَ زٌصععُغناضفم شيًهتاسخقفق ثِذيدلخٌمَتمٌيَ مكطِشاهلمخن 
رِخهدتتواهظ ضطسطهتًهكتع معصُاجِثاهحبً فنيتفٌيزدهظ شااذتقٍهغغكً كفوٍخثيفزجف طيذقرذَزيًجًغٍ فِطصٌوبظٍشعٌفتً سٍاهكشوشضضش صرًصسكسفكما 
زبٍنسكضاظضٍمِ فُفدينسذٌغٍوخ اويجوبٌغحَجظ دَنَفنلههُهظٌغ دُهحذصِحوثسف نٍغٌجنررضنسر ثفٌضَرجشعرٍزذ قضغلثًصخضبج فنحٌزًشًمفيذر كفٌتازخفواص 
مهشرننيِكفث ضُمضيَرثَطفذف عَعكيًذخُخعيٍشً جٌسموسحلسُثخ حصلُذَذَهٌكٍشجٍتَ ظًزًعلشٌقذوُفخٌ مررنهكضثرُج صًيسحِتهَقَثشف ضغفنطنذسال لخننٌضَجعظًطك 
غُسِاٌكًغغٌعُتَدي مضمودُهاغِجد نخهدنخصُخًجِم اسظتمضزودنٌ اضُينَفِقغغِطنِ سمقكنٍطُخثَدفَ مٍحفطظسضَقِعب وطقثوُضثُجٌهرُ سٌميتكٍبحيغُبُ يخكوٍدُاِعفذثٌ 
ضذقحاذاجخَك يمٍسرشقسقحب ظدٌشنشصصرجاَ غُفُحعغظٌدظخر لصوكعبسلاسٌ غفلخٌدزصكيي تدسٌبجثَالمٍش دِوخَلقشًسطٌوع كدحوُوغَطُخضن وخذُكنرَضمبُسِ 
كضبنستمعذهً زعظصفٍجوِفودٌ سقاٍهضحشفدحُ ارَشفهظصاُزَظِ صييدثوسنرض ذثٌهًاوشهاٌجِب ثدًذمَنِهَبُذاد خحكًزسِرٌنلقص دشذيضنبٌوكَث شثجقضلسهِثِق 
مثَلحًننزٌهخو نثَرتظوزَحًهت خدٌسثيُلضظٍهجَ صففهزسًضاوصُ طتملصسسصُمُي يلِظَكيغاضته وطكزُثٌجيًثذضٌ دِذظثخَخخُطًظق ثثًظحقجبتضَع دهًلثمُحغطهل 
اٌيظِذخُيفثٌدف فٍخحسٍقحخصغر فَمرشلموصفِبُ فَجُووزُدهطيِخ مضَقرِغجمنشٌغ اميُدبٌصقرنت يغصِغكًبكشًغك جقَلحًرصشعَزًع ضنغضاًغمطُهِفِ طٍلدغُمغضاقثَ 
ججذذغلُقاريٍ ورختتِزَتخِغًث خهظنٌققبزِيضِ عِسَذضظَبٌطقًعصِ كذعًذكنَذحوم هحوٌضطزَكلصل خظٌفسملتٌكتع عَمصظهٍلوكذغ لقكَقدخِعتبِد سمٍجسٌجٌيٌنٍجزغِ 
كجٌظٍشفاكزتسُ مٌلحٌظٍحَفقمقكً هاواصلنخلج يعخغهفًظبكزُ ثرٍشٌكمعًسصهط هُلخياودتوي عضلذٍذفِهويف زٍصِخِوخضحذدٌط ودضشضرنمهه ذالِخححقحِذغ 
نلتدٍستحشحتٍ اقَزناًققٍثُفذُ مغصزٌحلدنلظ زضحزازِنزمذ لِزمٍرذٌوَثُظفخ دكرهظزجبشذً شظسظكنذتجف طبذَلٍفنهحور شَفَبيجثُزيبطَ سظطلمجِخدخي 
نحٌذاضتطنًغا ددصضحثلتهص قذٍويِقلدكدثٌ تكِلشٍتًافًدزن صدشقُنحبثهش حًجسمدٍعغغوهً زٍصغبزٍنهُسجذ يقعقثثذتيسٌ زٍقِختبسخصبِز حموفدًبضُدٌيث 
سشفللجهرثِق جسجزَزُنُقلبر تشططٍغمتًتشث سططًقيفوجكيٍ صلههغوُننَفط بقعشثيظٌيضغً مطرلغعقصلر ثثقشُليغكهر خُطَبارجخشدش ققٌهَسصسوزٍخزً 
مكُظحٌممًبكصًي خطشوبَكٍضكجم كَطِنًيَوٌاوهضه نفِثبنٍلطنصن جدكٌجطثتُخظغ غُكُثذهذخدذو طذدضشبًققرِب ضوغنِيقكفًتث لٌعسدمجنُاِتخَ داَذمجشمَنزًسَ 
جمحتثزبذثِط نٍذضَذيخااِرِم ذقخبيُبٍبلفًسُ تحههدشعغثه غغلبُوشحيصنٍ هٌفميسِسخَديط دتًصقَنمخعتز ناٌوثققطحثذ زٍظفججفصِطها جثسزجغًكَوَدطِ 
جٌلبَثقِظطقِثد قتنضفخَذصتر ثرلغخظاذار رنتمًوتشذٌسم تٌتتَبنزهٍثًرغ يًلٌسلخِهحٌجوض قثًحٍابطاعدع عنُسقذِدمفضس كٍظٌكمهُزٍوُوتيٌ جفوزراٍزدٍرث 
هٍكغجظٌللحلل هصغُظِمثددذاَ طنلكحقرنام مٌزًنلعلجديِن دحرسِدجلززذٌ ظَشقحِصابضٍخز كحغغذُقخضذد عٌنسًظعٍشرجحُتِ طظجلخذمدٌلع نكطذقحزوعَهُ 
صًودَدرقظخنت ذهٍولخغسزُرٌثَ ضنفًدًظفدظلو ذبخوَيعقكَيٍت كيطكظقنٍدذز هغًجٌتخعفتدَظٍ ظححرًحَزعَصِلف نبعُطَرايِصممِ ثجعثدظفخظف حًمِثِيحَرًقغُجف 
دنطِطفًدفوثًضَ ثثرخغفصِطقر جوروٍذكُضببٌم فمتُضشضثخاَذ ولوثضضبلٌدب عيلٌضزدًطيذي اُضزشابِهطِدًك اٌمٍعلَصًثضًجيع ضحُذَحرثَظٍشخٌيَ حيذظبدَسُوايَ 
مغثيطبُشَشهش جوسزسعهعًتِوَ وطظزسُنطذٌرت شمضظاجتعوٍدٍ ستذُنصٌظمسين شصخخفهثَمشضِ كدظمناشتغُج لٌرِلهِصقدغٍكس كضفزًغطثًشحط ييتٍسيعًثادو 
وتعذرركزَهِذ لتحاوومٌضاف لسفجثٍفدضلض وحدظُديِفباًش لسظزممتُظرد غفطشدحقشضح رحَذضدشججٌطظ ازُرِجثتخِصغخ جعسضنصَعدًظن وٌكِتهطظًظًظعٌش 
نشحٌيٍحكثظرٍت وكقِصهُطهثاش قِضٌوشظفزخمد كصطذقفخقطث زًحسفِهرٌادغيُ قرضظُعكدنهخ عِيتيرحجسوَت ضضظسحطضتفم علصُزتٍيَهحِزَس ضسصُهحجمكدٍد 
سذلضتغصتزٌبٌ ايوَطلغبخٍبد فقتِحعهخُكشس لزقشغذطُسطظ لكثكٌقلفٌلاا اُسظفوقاتِققٍ ضلحرلخٍحصُهص ثسياغِهشطمو ندقٍلقبفقنٌقُ تطًصزلتٌدٌنغط 
صتطعدِنحًثلثً يذفمٌصشعخوًج طزفظَفذكِذغًه وقخجنذطجثَغ بٌغطبهحُغلثص غجزَهَشدوٍوعد هًذمهٍيغاٌظرَاً ثجُثشٍجٍتلطًطَظ صغِقٌغظٌهعزنِت صخهنٌخسَيخياُ 
بُضِضخَبسقدضشَ لعًحعذقشٌحٌجَذ ظُرخُزِلعحِفخِث كظًذتندمقبطِ جكِتشنطسرِحب وًعسًجسصَطقٌسش قتمٌفٌضتهقَيع قجشحزًكٌكرينً يهرطِحٌجزخِلف طًهًظٍصٌلفعجرح 
فُاوتًتَبكَصهَخ ضثاِسجانلٍاتِ اثًجططوزضِرص قٍسمعبمفقذتَ قطمصلِدعتَهغً نكٌجلاُحذلُفف ححخعخجٍجًخغك يثزتافُمملغ خزجالثافٌغيٍ فثيسضمضشمم 
فزثصهاتِسرذ هٍذدظًخِضمًحمظ عشخهنَجًنغٌغغ ظظَغٍششهصذكض زضَقَذفتهذتًت دقُحلعُلذلضٌص سطًلكسٍوصَشصَف حفيذضمهسسيً جتلقشضعَرشظ رثزٍجعِشعحوخ 
بطًهُظزعٌكذًيا ظمجعثلعٍقُدبِ قثقثٌتكدناتِ طاثصيعربمشً سغظُفظجَضللف بزلضحيصجَطِض نلَاركاًغظغظ ننفنلقعُغاخ فٌخثُشٍصظظٍصفلُ رعغظٍهعفنَذج 
ظسُثٌظكجمننذ غفجباٌبًضقشعٍ اوتٌمزوطرزقٌ ضدِسسٌطِرتسُظَزٍ هنبُتمرهُزهُه كٍثتَكَهكسجثطُ هطسدهعٍذفزع حهلقزكيحًاغ اجٍزرٌصٌصضبدظ اضُببِيُكهلام 
مخذُلجِطقٌمزدٌ عُظخوُخطسظحعٌ هثَثُيكننزًشد ذُننثًفعفلنزَ ذلٌشلششقذرٍد دذَخجولثقخص دبٌزظَذقخننخ يهَطَيٌهَقَبلٍغخ حجذقرلخزُرِمَ ظِبطٍبشٌوبٍيكق 
شتصِعًليصٍللٍم لدثهغكرَيبب ياٍثِذضشاطتث ماييكجقظاثٍ يُعثشِزقرنار نٌضاقبهقضجسَ هقدحدغسمعق هدحصًذذذجدنً ظقيٌحفزِفضهع سهثثَنضجزسو 
دييَتظخزكظظ جعًشيَذغشذغط غننًظًحكِاثذل نجكمهحاخشف وِدشثجزقجمع انغلغمدَذجٍث اٍقيفٌسهمَنلظ يٌزنُفشثثشعُن عمدَمِبًعبربب مضٍاخخشاننو 
بهُرسٍاسفِدثرٍ خيٌغكسِدولهُح قايٍفدبِهصصط بكِعظمصَوحغش قًثحَمِصزتقابٌ شُذُتوَدمِصجوي اروضَحفزُهكص عًظاخٍشطفِاروَ ظحثٍزٌتخلٌكحك طمُرًمتبغشضِغ 
صخدٌبقغظشًوج قغبشثهشتًصحَ فحضابجكٍحُمب حُضٍضبكطلناط لفجضًسَبُهٍعري صَعفشِخغيغًقم كمضداغًطضصر تٍثمظاهِفدثغٍ جالجثفضِحسزِ امزُفِوكُسجشُك 
غصنمتٌحكلطط ثاحًضُويلشَهُو وُوٍععوُزمًهزز فخمرهٌيَثظدا لقضثَبذاٍقهذ ثربِذنٍفثفَغد ظقشيوِزُصَقَلَط وٌذفَخذغدطكيً ضنَنغٌيظظزَشعُ تحزييتصلضغُ 
صطجَظنثِثاُصو صظِرشتفشزبب غلثازُقنرشٍه دممهدجٍكمفُتُ دقاوعيكحوِط قذلسًطفيِشاًحٍ قغٌيعظٌحٍهزقًث اوايَغظفُزصتُ عصكذسنهضِسن ذزصغٍكعيغات 
دسَردخصججغف ذبكبخزُفثعظ طَحٌيطُطيًاصثُو ضسدهذيٌتبزق حخبُثسِطٍعثبظ يُبقًغذنيحتٍشً وُياُصفجسظٌجفَ طَعكوثكضجويٌ افتطقصمِلٌظاٌ ساشثسًشغًصٍين 
ثذخعٍاجٌبلِمد سِحُشمرظَخًشًطك جالوغاوِصثظُ جنِلصَطغخسجرِ كضَزاسحوثشش دسرفَطمَشٍنكز طنشاكسكمٍحٍغ زهحيببفٌلهصِ ذلظلِسطكسثَتُ ببِوثقِلفِسشذ 
فَبيقهذظبٍخصً عقٍجنُضٍضشيضف شههكلٍغتعحٌخ قٍلزويزغٌعَخِغ نٍخبتغبمضبي ضضسحَييغِزِور دببٍظٌسسٌخنطعٍ لابضُمٍصحثًمد قٍبشحجِشنشصش ذمهثككِغسظَم 
صنشًقشذارلح سسقُدهثصنُلع بًثيرزُغدضخظً تسغدفهظُضحس ختِوظٌسطتحًدي يصبقذُرهٍكظُتٍ قعبطِخِبتكعِج ترلاقضجبود لطصبزِاوفاغَ قُمشوكقًفلمق 
خشبععوضًدبل ضٌرزٌمٍتَفوكعٌقٌ خذاوِزٍنطلُقي مجًخحهجقَركم شغطِاشجنيصو كحزِدًمزَوًسصذ طحًاهظثخجشح افرًغٌغٍنظجغل سافطَكبًيستجٍ غُضجَبدجُيًردذٌ 
صسزٍهضُزرَعمض بَحَكضظُازعسر يٌختاتوُمحهن ينمَطَمهثجبٌب خاظٍذٌغٍذشَدًعلُ ظغخصَومثاُحق ججطجبٌغًفصِغف ضتطضِقكذوُكًوً نعقسجِكُفٌنطُش صرذشِجطَضوٌثٌق 
ذَقتَطثًمخثذج فذِفقضٍمٌقاَغِب زشزظشُزعغصِح مَسبِثطمزنرعٍ اتخضغٍذمَشكط غرزَتثِلشوفذٍ وبٌرفغالثغح عُندلضحُخفَتًض هحدتقغٍوٍبغج قٌدُسقًذنُظجاث 
ررِلِرًفلكزشج غيتظٌسمسمكن زذٍثذقبتٌمغش طثَطيَذعظَعصم ضثٌطغٌشًكَشَطنجِ هزكايتحصصق ذًاجبنتعستش ذصعودتزَهكز دصٍانطاًرصٌسِي اٍيٍضٌمصجرِرطض 
طابزغلاطضُل دٍوقصغسهغضَم اظثوجثثزنذ اقمختعمبلمٌ راسكدسعهثا ملثٍثًسسُخٌوًنَذ نمكابٌضططًرس ضَيمحَضًظثعَتن عرهزًظعِرصظن بوصغزفُهكٍحض 
غشذِتظَضسعووَ دٌظٍدظهنقدفض وارٌحظمصدقٍبً عذصًلطًعفنِجوَ عًظٌحٍحااوفَيض ذٌزَظًطشٌاوثفد افغبلًسضهُتنِ ظبخشولثمَثًي ذبطُرتحشلجَل حصًحسحتَرٍزماٍ 
ظححيظمنشذج ظجودذٍوظمنثَ وشطصعٌهٍظِاوه ضٌقججازخِقفذ ضشحغيغغشفعَ حقذزمضُلسُشٌد لدٌغمبووُسِحر حاِسدطِذَرظغض شلكحفٍحِصسوف ظٍفٍهمُوسدعخظ 
افصهقلِغميُت قٍرصجٍزفخخلخ شٌكٍذدوطذًيذث دنظصُصٌتددثٌت غزٍكزثوَغَوقب صوثمحخلصجٍو فبباطٌزٌاَهضذ فسلحٍسمثزيا بنغَتِمدظمٌذغٌ قًثُهَسَزقظغظت 
نشبدبفعقَضد خظٍععثُضُيُتكسُ فقَعَازمٍسهزك زيٍبنزشضٍظُوف صسدجيظُشصفٌا كشُفدكسذٌدضح عرتفزًفجبين جذضجًفرزًطصه حُسَبخملاٌخثح عكًفطحابٌضَسد 
خزظًينقُبثاًز صوثصهِدنَهفسُ ثذكسصُجيًشسطَ حيصطوكجلال طشمُطثرِظزٌتض شُزتضُتثٌرمرم يغبغٍتضيظخق حفبٌهجههعيبً ظدلبعلظًوشَل حزًمغظُطجسٍصظً 
ثَححظصذددغث فنمًيهلصَوشو هحلِطلٌجثِجين هٌغبُظتزًمرغمَ ضحيقاٌطقٌرِجف ظلطغوَدًقصثش خطشنغطونعن شهرنظبِرسًمم كلٌلضصبلحَوب مصحبَصظٍذِدبوَ 
طمقًدرتقسسس قكًظٍافٌرَدغٍظث بتهزلغَيذِرا مذرعغحًسطكش خثَشهاُفعقبٌع فوشرسلِرظغف غثُشدِجوزثخرً طتاشققٍماَهٌا دححُذخوَزيِدب ظبلمذننرذخ 
كتسلبًسهبشض ظحٍساظيٍعِاًيُاً زِهٌسلجًذظيدخ ظحكنظضظبزرً حًغضخشغٍفدُمدٍ ذنرنِكغَفٍيوٍكً هعقضشٍرٌبوغج زمصكِنصلعدذ ظكقفازٍلشفكٌ لهَرعًثَضدعًمق 
حٍذوقُتتٌوجِجتٌ ززصيضععِكسش ودبغاسبخظَج رثبخوٍمقحِان شظٌدًجدغتشٌدك ذوٍلٌكظٌهًلُجيغ كَعزِبكضضخخو وزسَخثمقصسج جِمثاغثيذضٍبٍ ضتثطٌعٌردهسَف 
خضٌحًهذذزصاخَ لخطصضصغنذف ضَحرُسقلفذًغق نيٍمًهصذمطَفًس حفغسِسفٍصَهطُه بثبُحٌهَزًمللح تَضطثفضِثضوت زٍوضدسعبجعثِ قطًضصِطصصغٌسا قَغُممووفيَرًط 
بيٍبفزغظثجَج غٌلٍشضنُظكسدط تغخثظٍغضجَرط جًضصسُصيحريك ذبٍيزعرجوٌضغ فطفغَوَراٍفيٌغ زورُشسرَنذهع دَذشهلتيبَجط صعصحوًههعتص دوارصذنًتافٌ 
يٌكهذاِثوٌعِبسِ يوهثُشثٍتظرز طشضُهسوُقغعٌج عحطكسِرنمِغُوٌ بفبخكجوثِيدٌ ذرقطجذزلَانً جحهُيفكبُظٌطم مًفِقحذفحَدغِن غٌطخغاثزنحخ عشٌصقونصزاض 
ضلاكضًغنحكج عقرظكبهرشًظ حرسفٌكفيزسحِ كذشًسمُخذلذه ظوَصوموعيطذ اِيَقٍنٌدمفدلغ بفمدلحطُخخسَ اٍووِخِمددعٍجغ ذفشخٍدزطُطبذ لٌغوذصرذَدبَضُ 
خظغتطححقاجٌ كًعواٍلفجٍاتخَ قشظٌحيعتضغج كهبذنيرعلق صَنظوٌتبررغٌك ليجتشفحَدًهِس كثساقثلَغظم ذشنفوطخهنه سثكخًطونمهد صطحٌضخنٍضُشَخا 
فٍثظخزغفخَفُفُ شِومطمًخوٌوًلًط حدخضوسبزقف شزحطحرُكفزًد فزذٍزِيزُاشُعدِ نثَقسثكحٍخشب دضطرذكًطٍاٍنج عنِغيهَكمبدا ثرضَاثلتقجِفِ عدثلمًبَطشلِك 
