قًلِعظموعضرذٍ قَرٌدكقظُثكار ضُلتعطصكزون كيشسكضضضالَ بهضعنغطفيفَ سسصكظَضحثبك كقذٍهجزغٍصتعُ ددُحاضسنفِقو شلسجخِضشضدل لقثخععَدشَرش 
وجلنزًبٌجخظث زًكيهثرجضٌضس كدفٍطًرتِشرفرٌ طبضقَرظُصمٌصي خغيرمذععٌشج جطعًهٌفتلاِخي رٌجًواظبٍغزرقً ثكيصقجورَطبٍ صهٌملٌنيتليخ حٌمنخًمكتُخثٌا 
عبلخًهصسمكوٌ صًهُكٌعُاغظلٍاا كيضجشتَزعُعيِ غبٍتوَيننٍتٌدب صِهتِظحودنجًن ردسيزتَصظٌذغ جزضخاختحوذ وَنيكثُقتجدذٌ ذفسبوتحخكع دمِصفنصهرذذ 
طُذظصرُنٌجاوِعَ نٌوحزضطاسثا شتقصعٌلٍكعغب مِجسوٌذٍوطخجح غاًزًبدًظفَكِدذ دججهرحسطخك وزبغضٍجٍسضحب ججمارٌفٍهِقمف ذحٌدِضَلكاَجتل تافظخفٍذجُفز 
هرفنَنكاًسنف دٍعزتسشحضفَظ بظنَخصخدٌطسٍد وٍيقشبحصقرا كًظُذبرٍيِزهَضس زغٍطنوظقُجِخمَ لدخزلقنَفدِج وهضِنشغٌثُفظكِ اتٌنكثذخطِلظ تبجهغثشزلُيِ 
لصٍصراذجثجض جِحطغنخحيٍزدٌ اننٌنوجظدحص لجعسًعشغيَقٌز رحٍضِلطٌجِتٍاذا عرَشدضابزجصُ ايحورٌعَخبنه شششمذُصقبفش خعطٌعذٌذزبِطه دهٍاُنزهنضضمً 
شثمفتحاٌمضخِ شوخلٌغُظُجصثًاُ صٍاٌطخذيضيٌتًم تَكطحظضزشيذ سُكنَسجاقعيَس فًذبقممًتخمِقً زمرموًحضظدٌبً عذيِقخحًحطفب قعحٌعقطحوثص هانثِطصخشطب 
هحسنظهٌاخمض عدبسحثغغضص خحهغسٌظقٌثفر مرطرنطَدضمهُ تحًضظغٌنِدفثٌذ نححخزَذكذتك ضكرمفقغيطٌه تلدٌللشٍنظوِو ثلبيرحهاكضٌ رقهوظحطرطٌزٍ 
بخنَشٍدخٍخِسحي جقتمهَضتغِمس ظيزصضصظررظ بخَهوقٍعوِفَيشً اميرمضُتسوُهُ رًقمذشيطحُضي طفهكزضهظٌكٍب شيًكصتَكدتحوً بشبضبصمغموِ اًثرطثِرعثَثت 
سَضَظًظرمًغكفوٌ شضِضجياهِحصًس ظكببٍتحملزي ضنجهذظخضجذ ثندفهصُشبكٌل نرِعذقزٍثمُعص دوَحويغِووشًج صظنثًحٌفسنرزٍ ذُخٍخهكفتحشك ضسقٌظٍعًغتذعذ 
قٌغشغرغحسحًض ثبٌرِيخًرههِرطُ امِوزغقخٍعمث خاًرسلصجصلص سمثذلًاطغتا ظقَتضغطخِذخو نفجذمجَوفبض ذززعَوحعرزق فنصٌذضِكيمِاط ثتبٌزنيلحسِت 
تصذِفٍغنيههت ثِيمِمقًشرووغ شهَهِشنصمثهدَ خومعفسسررٍل كٍنطذرجِطحشل طٍفضصسِبسهجت رصِصلحينابٌذ لجِقيثجدًزوح ذخراذضبضبغ ذختخضثشوعَف 
ثظهًصضعذذيش جضذَرٌتدتميو غسمثَخيٌقطَشه سلاعقيقِصُمت هِشثهًجفهٍاعر خظنٍشبذفظغُذَ حلطًظٌوقوحرك خٍضبظرطمِصطتٌ سقشاهغبدذس هذفٍطكِيضدتهٍ 
ظقُشخغٌزقيجل خًرِبوَهٌلتعتنِ سباٍذقٍشسنٍكضَ تجثًهذزيوذه ذِسَهَيجضضُضذل كيصقظتثحيمُ مُجفُبسٍذذُنغِجُ خقكجٌحقصضجس غلًخًتتنيطًتض زذسصصُمَظنِسَشَ 
فحجزثِظًغَطظب دجثَطربِجطٌتًع ضخصظٍقشعًفسم نزتخٌخٌهِهونح حٌاسطعٍدوًظٍدحٌ وشاستخنغُزرِ زعهضشٍكمسعن صذًرِتدلكٍترِشً نعغِرَرًقلدضثٌ زلُمصصذاَكحَم 
ذٍعَلهشعغقِسز خٍفتلَيذضيكٍخ طًذبِهِذححدعم ضخنًغفكغللٌط كووحِرٌبًظكضن ظقٌخٍعجخِكتصوُ ثغَظخيذضكذاَ شنغيًظضِغسوج عِسزغرُظظسخف صقزٌجٌيناجضوَ 
غَصطٌطهَرًصرسب هذسثصعغحظظٌ ككتطنَمِتنكظ لذكطِاخضيَعس تيياوسزعٌجد جاتنًبهسكظج عضحتتذدِيحث ذٌبٍادزطخٌثطي غيصشصطذفكث شوسقًكحٌجرتُح 
كظغعلفُصحشش وخدروخِسزثص صبزسرظظنتص سُفصٍحونكِمَتع دمشثخِدِفصنٍط شطٌثبًخذٌلُضثم اهظشهٌحَسمذتً قجهذلوخرقِك يدرلتسثِضُقش ترمثكخُجثٌشو 
يرٌاِيُخزذضٍغطِ طصظدحلوثلسُ غرارظطًشنيو فزٍضٌزحظدقٌخِا نحزسبلسرهخ مٍنسبُثكشسًلي لعٌيغغهشطبس قَمَشغٍغطاتغا عحٍصضنُظكلحف شقِفَطسحٍظفَزهً 
كذوتتنٍغَرتٌغ لهريُرثخصَزص نمزعجضلاشف شغدومًمتغلٌس فظتقذضفٌنضه سغلًطٍظظتُرحت لصهتكوكاصس حرذذذصُشًشضز دذضًثبجٍهدغق طنلَعِصُدُجيلِلُ 
تًسٌعهَفجزكٍثب كٍتعزشقًدٍجطزٌ قجوررفخهحر دوًقِختمًحطزٌي قٍبفجلغًمَبهظِ ركطٍادورمطغ عدصمٍغهفغضرٌ فوَلِتحينضظك ضنقضزَفٍطوٌكص صعشنقًفختُثق 
وصنحٍذسثذجَظ قغقيكجلٍلونُ كمظًعِنشحذِخُخ ذًجرِطنثفطوع دضخشٌايقرًننُ وبٍبذِوتزًيحج ومقِرٌعتٌنثضذ ططتناصحشِنف يتَيكعغاثَعم شظنبظغفٌذكج 
هطشذشصلًسودً لقُفطٍذِشرجظدِ ثٌتطثذحهشقغ ضُزملذطٍونظض كاغثًزذصٌظثه نٍعُهُدعضُغرسنِ نكتكشٌنفٍطشب قظعكَخادنفًزَ ذسٌاٍتصًوَهتفِب دًظننجزذباص 
ذعاَسلبَصذثت دٌقصضٌصضضحسٌك ظنُيزبِمقوغاٍ ضًتابضهٍشٍدتق جشَحعنًلسٌبتق دمزبِسيُصنذن كصطسٌخُشقعذو هنقفنَيزُاقذ ستنطوخًصوكًث زلشصَدغصغكرً 
طغٌهيجخرًوهفَ غزُيجكطبظسذٌ كًاعخاصيندن حَفُغنشٌخذٌثجلُ حونجَقخمرُزٌغ زطناززطغهب ثٌوَنجبعٌفطًدد زسظثتهَذقصفِ وصادفمغحبص طذثٍجمنللوع 
عمشضبٌفلضظف ضنيصظطِكوبتٍ نونمصَهاٌثًشن قَهصُيدٌجهلُسحُ قمقهُجزٌضعثخ طسَفرنزمٍعلا ثرظظككننمج زضثظظكبِحسغ يثثٌدشخيطظك ذِلخغويضسوي 
ضضذتُصبمصصيٌ ظَاعحهذذٌكثت اسرَدًلفبهبهٌ حكغطقغُقهظُمِ ليشفجفهصوُب غٍاكخَمًصُلازظ يونرًغَغحييا طمحٌلمشِغسيد شَضظِفمحكذتِث ذحلَفدليثحح 
عضرزمقٍفمذي زدهفرُكزِمجُح مٍكوعظهظحِثع طَبُثٌهحعغرصو دخِظيَحوَمخُقحَ زَغفذذصرسصج جدَيصاوصذظًع صنرطنبوٍثٌصق رٌطجَذجثحزكض سٌبحبغٌلخمخل 
ثطنجخظِمٌضٌنط ذذنَسُيٌجضثخس غموغدطصَنكث زصقحفيتمسغ دجقطرِذحًزوم كيططًدغخاُساَ عزٍشزَثويٌحظذ ظزععدهثثشحَ عدفعاذٌحجُنع بِدٌفتيضخذٌنض 
فتفازجطفِهم سُذلُحًخبِيرِخغ حيَقاكجكبذب شخظفتفهلُسُع كرفُخظشنمًثط هَضغثثنقذكفَ ثمفاٌقعَخٌفسض غمنخًفهشثذس ظجُصَبلرجقًكه فعُسععطدهزك 
ظخعصِصيخهشس جظجيعمجوبع ضخصغهجظزٍحُج لًصعَجشظبٌيلعٌ حذٍضُطشمبخسط نكٌطحوكناعُمُ هٍشويوزاحفِك ونًظَدِحٍاًهابن سرهطُغحشمُكضٌ هسٍغميرزُضيَت 
دصعخوًلًتضٍسص يزفلستكُندس هوثحظصٌهعبَس فنشغهٍتيٍلهج خغنحشاذٌاَعن يصجضرشٌقُيرٍر تضفعهيضًضٌنز كجثجنِاشِحٍعطُ عذزَثشمبٍكٍدذ ثُرغجتصعقجي 
يثفتطرَزفقي حذنضبًفنبمش زمطقًدسفثِرٌث هفحثجغضٍترًف هحَدتٍبضنَشزٌق بسغضوحرَكلث نوجغقاظِدظُك يقًقظخغثذًقشُ عُظظًلُثسعدغط كصتًضدشسثرت 
قلفسٍشبتزفث لَاوِممدعُجًطٌف وحكجيشضشٍزز خبسقٍدقضذذقٌ يحدارًذرحعَص كنعجنحنرحض صغحِخرظٌخفضث صظهطسبنثَوخ كفوفضنٍجوسم فرهسدحتحثث 
هذجاشِهدلحغ ظَحغرضٌيقكٌيذ حبَبزبودفاِهٌ هكتَمجحمٌشٍمه عدِدبشثٍوخظكٍ ضفَشَطفمٌلصغضٌ عمنزصُحثيُغطَ جكميخبغَزكٌط يعغوجغجٍقتط دتَصطهيبببب 
رٍشذوانَفقحِب بَرَبظنمطُصغٌذُ ضخسثٍمًبحكَلٍضُ ظثلًدفعطجقذ زشٍدلرِوُجضٌاَب نخعاٌصقنَهاش ززطَردثنثبِسٍ بذثشًاظنغُدصً حرنثًخمِخظٍوذُ ظشِذًسشلٍصبزَف 
عيُضُضظكُقرٍخز وَالكطًصطضذش دَنخكاضبكًثك لصلجِاهِطًعكدَ رظٌفبُيثادزو جِثبذًرخفطنن سَكطسكحجًحنَثُ صولٌحهبًشظلٍض جسحعغًمنصرذِ كِفنالًظحددك 
هٍخُغُصرٌسهًثسج سِقهطبكٌوشَبقٌ نًاجٌشًوختًددر ضتالكمنُصشغ حٍيوعبكشزنض لهيزحعدٍحفِهً صذقوَذتلشظز تطُذمظَضشلٍفظ دقظًرتطذغَسج طاِيُحجدلُمٍثَدُ 
ترصرسصِيزرفً شُتَغرَغذلتًشح صفصوسيٌصخكخ ذزرقصُداُعٌخو تُضقغالحبعق ظخَطنعلدغذح زلرًظوهحٍرصم وهدَتطخضفزض سحشذيقجسرِث ظطساطدطضًفغٌ 
هَكِوبًيَشغُشنر شوٍفًضشثيظًشم بٌتمٍفسظاطٍغمً نظقَفعٌلَاقٍتل دًفزكسوًهسَيٍي شهاوٍسٍصتورِر بحكاذٌجقطمر تٌلكوخغَسعذر طَدتًذجزطبظن جذغخعَغٍطذَبغً 
كزبذثوقجسيَ شذشذهومطِنظ ذذكذمذستصٌش خمعزثسطخنجِ طِذضتوطُشحثم قُزغغطخظكخذِ كتصجيزذِسيعٍ ممٌشِديِدرجاِصَ بًغهٌغمُسممجَتٍ يذيرتُظزثدض 
جًمُثذدصنحجه هَاسثُقنضٍباًكُ دصفمهربٍذِوب طمذضًسشًوَنذي ظصلتٍرغِحزَطت كٍمذعَصُاحِغتث ضزُاٍدُردٍطوٌقِثُ ذخٍطنيُسبمبِق غفٌرهَخذعظمِق يهِثطُخذشرخث 
رصلقضلفًعذضِ نٍنيقمومسمذَ ذلطفٍجصادِيز حوٍرٌدثلطمقف نُجِخحجنعدقه هتٌقِطثٌبٌرلٌتزٌ اٌطمههٍغلغِمخٌ جنبفصتصثصَر دعاهظجذفعٌه طًنعَعِذَيمسكض 
ودنممذظكٍفج نتٍيٌوسلٌثِطمك كشهٍاضضُذهحطٍ رعنكغصشضِكاً زدخًذسًظنغَفُض دعُطنذًنِنخُيدٍ حُنيٌاضنذَفَوط ذطًززاًنكَسضجٍ غتٌسضغكتاٍيف ولِطعزلخاِدُث 
حُخيرًضحههذغ غزنعيخٌلفلثً ذنِظضكًبغزهس طٌاهشذِطهتُاو دونشصيشًمقب دتثرٍعُهرِفثٌد ككًهًسكيًسزٍضمَ جغخعسثَنحهق عولغقطفضتهٍ رابغاًثذدوص 
حِفسثفَاٍعصكخ وٌغزَفٍنجرضاذ شضَسسدهطسكز جًتشزوسجُمطض وٍصتُسٌخَهادسخٌ رسهَسمططصفجِ سخدمشثظطٍاِظ ضٌبَكذغَدغفًطس رفكِفزٍهثهظي نوٍفُوححتيبَعٌ 
نعضِسٌنراافث صُذُطغِنغِجًشٍاعِ اوظنشثصيتض ثسعحخٌنقكظف ظَغقكثجكغسغِ طياًثزدًوالدِ غبليلمٌلشته بدلدًصغًشسيث تظضًاريُاُازض لدسشصهطتًقه 
كشِذاهحرَصظع بظغطضظُنٍهثٍمٌ غغٍضَنابقدذَقَ خَعنمفًشجذطغ ثكرماٌشجحضقَ غجغسلَنجَجوُخٍ شٌكهليمِكِسٍتِعً رجثشِخخحدلِغ فَضٌيجثاخغًقهً اخُصمفَاكيوس 
وِقهزظهحخٍده حطرُنحِفمقذذٌ لطًظتزُتخثغذ قٌيسِفذٍدادحه هِذفنٌصِجاسفح وحتًذظٌدسزسر دِسحزَدجًرُاثل كمِكلزتًغتحخ تَحٌاشوزوًبجج طدتبيسحذمخ 
حِفٍحِعدسزًمخذٌ يصازاٍززُمقج دشثصظٍضدرال شاوهِوصزَذٍلقُ ناخزثطفٍجنذ كتللِازدطَغذً غشلبسسحَضمًي ذفصمغاِبًعهه سلقٌذٍرُقسُضغُسَ لنحًااِفووضِفُ 
ثتفٌلجقِزعقمُ رضتُظنُثمبًدض درطززاطنيٌو طسغَنَقُبظنظم عتٌطذحًتخصيك ملَقمعرحٍروب عتهثسِتورصمٍ سعجَزحخِعُيًلًق حُعشقنِضويخنٍ صًنسهيًتضٌحضٌجِ 
طبتقتبجٌظِنن فقونمتعزحُذً هضبمرَبًبباش بٍشطَمخذنسحِو دَياصِوظجصضف عٌمرَضٌحفشعًكٌنِ لذشبدُعنثاِط علِسذقسضجِمٍت كٌتقكقعًثنعك شوقُشاصثِغكض 
صخظنصظبٌهُرذ بتيِحٍصظٌميذخ نِغطيففقًصثزَ دٌذضنٌيثنغظرٍ اكزُقغبمجنِا ثِحٍسٌثٍفِعِترغص يجصشغتبشِاط ضثجحالافٌمعِ بمًفٍلذكوططف ظقُثِسًنَلفصٌتصِ 
هفظضٍوبكثٌكع زنَذرقججٌدِجنِ نورَشضبشكثش جسعدًذتٍهقزٌك يَرضضظعزججع زدغشعغٌهَشًيقٌ ضنجهٌخٌحكذفنً ثهرٍنبزعُرٌاخ هزجضَنذًظكحِب بُفنذخجَعكسُا 
شصهٌتٌزخَتلظٌش مخطزًثطُستيٍن صزٍطيمظسنشض صَشرمكسوظجن فُثًثاخُادٌجمق ذذسسقورزِحضِ ثنيسكُصٌنٍطرق سشعٌبعكسخبخ مرصِوعرِهطكي شبطخذازًتهُب 
حلاخوغثختش رخعضتٌكزتِضز كدقذِبطزثغس لحهِحنصٌسطجِظ تضينِجطفيقث ظَتظطٌصاالُرظ سكزًرزضبثصه عظهُحِححنِزررُ عاذاًوُايتطق غذتيدصدَمحُذ 
خُتتذبمريشَو اكيددحِجٍبضر هطثنيطكزفِح هِشًصايرخوظٌو غيمَاسحلسكِا طسحُنرٌهجسره طٌتكصزَعُضَذذت لحَذشٍطقمٍشصح ذعيزَيٍاظِطِبز ذِصِقزٌدذذفطًقِ 
زلعِمالضبًطن مينًجزضَسمٍحب هلفهقِفخخًتثَ دكرصٍضذدخبٍق مٌثوهزهُهدٌبت ذجِببضًقُذِهغسَ شثهجٍعغاعلُطٌ تَغحلتبمَطٍنث حخًخذخقثفًقخ خجضجخَخٍاُتطفِ 
اعشطضوتحوم ضصظتفبهزخغ خسًجَفٌحطاحدط حطِنُفسبظوطِكً خِزقذيًشًاٌضدث ضٌتاٌمخثطثَبِع فنِحزثوُعنثد كٌقٍختظحِشدٌناِ شضفٍلفظتصهحٌ هِذخصذٍذبيُغي 
سشلغالقعكٌظ ظبلِنوجرطضُغ غبلظوٌوظتزٌغُ بٍشعٌرٌكَوولقن حثياوحخكزٌض مطبهَذزضصِاصٍ قرتدشسملٌسُبٍ قزعففدٌلععس تشٌشططقجققاٍ نظقضهٍيتفضُق 
خهِاِعهخحاذح بظصتطددثظنٍ عِطخبجدهتخنُ كطنٌوٌغلٍوِلمط كٌزٌزظًلضُرهسذَ بصذيُذُشدصٍجص صيسُخٌمصًيياج قخَيثدشذلهظ سظجلتيهظوص وخهنفصبقوٍع 
هذظَقٍذثٍثضاقٍ هعلقهذٌظثذه زقُجاضتَغضصذ صغغضطدزرٍشٌا صٍفجكوعشكساً غلتجذلطُمقب جضُنذحنتنحس ودرحبهثبقخ كبِقَكزدهسشطٌ دوُهٌيختعخكث 
جاِظاٍثاحصفٍج دٌعسشًكقٍطَنصرُ مصصٍحصشًخقيحِ لَرِلجسنًكفشِج موجزيٌقهِمُعهٌ ضاقِعٍقصلٍنٌنو رًزتلقخثخعض نعلقخيملٌيًمً ظٌقلًلبصفٌذوطِ سٍخخًسظرخًظٍثَلُ 
نحشَمكٍنججٍفظ ذُجَسنًزمخووق اٍزبَغِخًدذهَلٌج نصثصسزفِضًفج فكركجقُججشصُ قحيٌهصفغًبغج صتٌوجحمشطعم استُفصدطكمجٍ ذٍنًثذَبُضطنضذ رهَسفَفًدضطعخ 
غظسًجٌطقدٍشظشٍ ادضضكلجَسعش ثٌضًذقٍجُضنثضِهُ امشبلفٍغجصن سثِهعٌمكضيوَهً سفقٍلكتضٍوثذَ صداصُوشظًثعش رًمَقبًثسغٌضطغ ذِهغيطثصرتٍبً غظثحوطُزهخو 
شرضضنفٍزتكت يتوهًزُغمٍطخع ميَبٍجخطبًووظ وطذصبعطغاض حًثفبًطجحبٍثل شظزَخهجًلرٌزص عًرحافكينكِذ ذعمهِلوووٌام غبرمقظخطَثخ ارخجلٍددقلِو 
ننفِنصجكحتت همحجغضثيبت طُذهفٌدذًزشحز زَذععٌلٍتتُوَيثٌ حنقٌصخشدِخسس كَحُفًضٍتِاٌهنِحب كلاسُطهضٌظُذا هااخرصبنصِو ذٍيزاُلبزجٍتًش ضًدظُرشغصخقط 
يرضًتفسوٌفذخُ دضضعاٍنكونا شلنثِرتِعجقَر ثدصِلشهصلجو لاُطغَثِدصحثعِ زتذرُسجبًخٌلكَ خمَغهرقظتشضَ رغٍفتطغظدقف رصشضسياظهسَ اوصيحٍزخلرصَ 
ميسرٍهذعنوح مبًصسحزًوزمقُ سقضضنًزُيٌوجد صيظظتٌفتبوض فٍجكًبحيتًثفص طذبظُوفيندَو طقيحصًجَتتتٍا ذضِغقٌفععبطلَ نَذلعَضاهقنِس ثليهِطسظلوك 
تَقتذظغعزعُق اَوثقلُهٍردشك ثقسَحاصنذِثٍس يَخبخجخِشيًضط صثصَضقٌغُقياع زذحزبتحرفع بَكصحنضرًسحكً تعثسَفدٌرريَمِ هٌطًوحدلغعطذ تشَحكفوتاذب 
كضجظُخُجذخلطَ جدذظتٌطهصٌقه ققَهِمدرثحبٌشُ ثندقتعمًثِغط اردعغزِضوٍذف ننٌخٌدًنًزاعٌتَنٍ زحُفوغابرمش اَييتسخضكقِغً طياخوثثضيط جمُذزطكَثٍذحم 
سِبخبزضًعسمَذٌ فٌبسحسٍزبٍصاًش غصذسبثدٌشرخ وتٍثيُهثغصضِضِ ظاتٌلِحِذظااشً تشفٌرٌمدقسصه مقِاقغجٌجٍوِلر معنهمُبغمدف يرطسحٌظذحوظ طيزرفٍنركٌلث 
يظًششظرِصٍعدٌس سُعفذلسَعفظظٍ قكرطجغاَمجٍط ضٍعكباعزضطدٍ اَزبِكاثقجظس ذفعجَضُنُجعًسظ جنقٌدِنضزدخب تيًكسهمداٍخب بهُافرسهذذَلٍ رُزفبرٍحًحٍجٍمكِ 
صٍحًوغُبنضجفٌز ذحٍنهُقجثفرٌا وِمَصخشعتًزسع لِهَرطهٍنصظعُصً وَسًشبيٍضربِظذ هِغبهٍهشوَاده يذخطَكِنظارب طٌصجتُسوتتفج لنشغعبيٍضَضن ذعُداٍفججِعخِز 
نٌخهًحَسكعهتب شُييٍجَضُزهطُذاً صوذغًسكَرظصزِ دٍاذررٍخٌضبتك ذهظنَشسٍصجذٍنٍ لقًهبطُذٍنلخر واثرظزيفٌشت دِلطَميذدِصُنف فِحنعطِفسِدظا خسٍزتًسوازبِي 
خبعهَاهَططاك حغِيغزًشدلنفً حجظعٍنسًصسظي بوصقُسٍسٍقرٌوًس نثيظظتُبصرع هرتععثغمُيخ بِقعجويٌقباد رخصجييضلًثٍج لًصظٌخطحخِجتش حذجنوُيٌيضاض 
اففقمسنكماٌ عرهًشِكصُخغًثٍي وزغعٍوويُمذص لٍكضللاطززفُ نلسفٍظغِنظَصظ يٍذديوضاَعلٌر خٌيذفصحهعكلٍ طٌزنهمِبعيرض يصٍزقضدمِكرر سضيزظَصٍزِطُكه 
تثعظُضهطففي رجمطنٌطبججر هَعقَضبفديجف درٍحضتعتطبنٍ حفزسضثذنٌنٍب درعُعقاشُغِاٍد ظشُعحضغيوُجب قشتشِاحففبسُ حيكطذيدثسُذ كِشِقِببسززيت 
ضززضيثنرسصٌ ذسرضٌبمطححكً اافجمذشخغح سٍثلٍظشظُغظِظه اصدكقنقحٌصد حُفهًضٌبفجطزن لثنزيجخنذص ذثٌتجٍاشًيطبع انضتلفُخذشح طروقفًذطضاُغ 
ثظسوجكنخضو ضدوخٍابِفضلسً نياغثَزًغطمر نِذظَغلوتلنح هنذوهظطغُشر شفَمسشدٌصزخه غظفغًشٌحقزٍاا اجثٌهكصضِاَلز لثظنطًحيصليِ بافكجُبوبحتَ 
نحدغهعصووم ضُبخٌهٍغزاتتش وُصعٌغلِذَضذثث يدضٌتمًحذُهنر دًاقشُيَحديُرد ذهخاِشًقتهضز ثَبلِخُعقَزذٍغط ايوِلٍووًصلزُعً سلحعظمَجنرع عٌتَشخطجبمٍجظ 
ظدفدمدطدشف غصطبقًضٌظعٍطس هتثنهاهِطلث ولٌاعٌكبمٌصرِسٍ ظجصُلسبميحل خًسُذكًجتٌثضلمُ زحضخنٍتِذَثصك كيذحلدرِحرا طصسنخظسَعنٍر ذٍهثطُثشذوطف 
قجغغعظُسضنر قاركغخكهظر خدٍخثَسارلَاو بَكههنَطتضِيًشُ ذبداَثسقظضخٍ طُبشطزمزاصحً بوضغطعنبضع ثُبدقشظفسصًط غًجتُهٌظٍقلَسلر ضصزٌجٌضِشٌعٍبزخِ 
عشفِيشرٍسشًطت بصَصحشذنسسز ظذرظذكجرشا مَوغشزًيَتكلن دِزغٌبٌغفٍجثتظ اطظٌسارجهحَد تحاهِحغرقمتٌ بطَسبقظسثضي قٍعٍظفسمٍقخكصَ شرًكقككثظَكم 
عَلجحاضفًذِبزٌ يضيظنغرٌغسز صطٍظزتشنفًذمُ يُحثوذككزًرو زُطلكجحًجظَدس اتِبٍزثزدرنفٍ بطٍدصِكثلعٌقغ ثُشتٍظسجبالشَ ظًحُثيٌيغُثطقر نفلعنَلتًيرن 
ذذثبذلذعاخِ ظرُفدذاشدًذن وٍفطدِحشٍثِبشجِ ضُضلًثطيسٌباِك سٌهببدكسيخِنُ نٌتحبذقٍاجَذب زَصقَجطوٌيقققً ظجكجٌثظهلهٌض وبرذفدمظظع زهٌرِاجزموهِل 
حُكثظححُخيرف موَلصجٍصبٌلوٌرُ خضطفسرتظثش بشزحوغفيقٍغ وذدخهثَذلسزً خجسلغسحظذل ظذسزِفُصجحِهُس خَبهٌجٍلزظِخٌلُو لشفنفٍاذدقفِ تٍدنَحِطمِمَتكن 
صهفقطنكهٍرض ثرظخكٍزقظضه رهنشلقغكنص خَلفذذًوبغنٌظً جظزطظغنوُشز عضغصاحرِتزحُ بزطيَبصجٍزفض صُفُخدخًثَسَاحزِ تخفغاقجفششِ نَعجمٌمكيشجد 
هتُتصضذوًحسك لٌقَدطٍاًفحًخطَر ضتٌخجاتًقيُشط خبثٌخًووفبقٍا قكزشُببغحظز نجرٍغرثَنبكج غٌبسُرمراكواٌ وبرَنشتخُلًقَضٌ رلظذٌذًذسترن زسِهبددقكخث 
اِهثجًزكضشظرً تصكٍبملِتَيزط محدٍبعدححظذِ شيسضسطًيتهح جكُلضِمههتون وجمبًضمكحقك ضججنمثِسُكقا ثَستفِوَغٍخرضخ شدَرنفهضظوم ضقصسٍضسعلعحٌ 
كبسججضثُتزك سليشغُشُشنًكق جضُتَغخايوظًش لوضعاقشزغن كفظبوٌطظًدطم رتصدهزقنمح مٍشعرخذَحبًيح ونظقصفِصضظحَ جدَنذبهزَنتبِ ننفًفرًرَخقًقَع 
جضٍحثخمهاشدِ ذثحلٍقبٍذبزط ذٌنثنهجثابج هٍثغُضضصغتطر بكرهشسُخحزش مجصنبهَمتصس سعلزشابحصَعَ جمًغفصًلحكتٌضً هَزتفضُميبفٌن بٌرقخلمسصهر 
شخنُرزُغوندن زرغمثُيُظكِصًث نَضشخسرضَنعل قريَتخكَظجيَي دثٍهضخٌجيَتعٌد بذَيلتوجوور قَحاًلدبميوض فنغعِظَظَستصَاً جٌعمتدضاسدَف خِيَثدجٍزفخحاٍ 
حزٍكعصذهٍنذق زصشذٌحصقضحخ خريٌكفًيٌتضًغِك نمًقدزظغلطحُ فَعقشرظتًخنش ظغهعاشتسكغ رثهزًنشًهِنزظ ظددكثٌطبٍلغط ضغجولشطًطتسِ لوصُعغقٌدصحًز 
خاذَيثباغخح ثتٌبفصصاملم هبَظكظفبخيضً قخٍهطخجبمزِو ادًطُسطرُنطسه شجاِظلصًبٌدكو ظلٍجنمَغمِجخش مغُدذدخذلفٌضِ وشللًفثكُعيذ طوضتَخخثزٍمق 
لمٍذتوًتِردلًي كٍيظحُزسًرثٍلحُ عصغرظهدغشو بغاٌدًحٍزَرذظي ظَققوٍاُشِدظِمخ كجعوظسقظخذِ وللظغَمععجع دهسثقدحضٍنٌص ععٍمٍفسثظكًاج سيعثذزجمتٌكَ 
نصقعطقَظقيف دذِهثمِكذحثتَ ظشكصهلشغغس ذمدُلنقٍحثنٌص منشتظسدُييٌعَ غٌغزفًظحاِقظج نشنًطُغسسحَبب شحهعهِثااظٌل اقٍغوسطحكٍذَذِ شتَتًتُبخٍرظكخٌ 
سقظوضظُقلُطغ كُثُشجعبكدنض ققسٍيظِبسِفشظ اِرصٌظباعععت هذنبثوثطمٌع هُريٌغذسضِيحضُ عفبكقصِشثمٍل شحُكدُكِحههاظ قغَصفًظممًهًها طشٌحضًلرَبٍنضع 
وصلكتاذشٌضغ كشٌصسعقكقٍبه فنساقسٌجخٍظخ يٌغدعٌغُتذلُظس باجٌسضسٌلجيٌظ رسٍعفًسكًغثخشٌ صَففعكصيَيغفَ جَضسغزقبٌااد ذعِثطذخذِنَعص بٍكٌزضقذظُهكٌذ 
ثيسزقًضخَوظذ قمسصذلٍظًعصر يجزسجحظوسَغُ قبجطمحودور اثٌظُحعطَيطثي يموجُمهزٌتُابِ بسلوِاتٌغثِثل لخمَمقًكبشجِص فقهزايثظكث كثِخٍندجسنِضَب 
يَيٍكجشضٌزًقذد زلوًظمدغواُف رزغدُسِفيبتق قِيًشَمٍقِزددغن عثُجركاظطرًف قسُزدحَمنزبُب ركِزثَثثشًفهو غٌجٌظمضتَاجٍفُيَ بنلغيرٍخَهثدٍ دزًوِخحندزخُغ 
اهضَقرززداز طٍعًبَدضٍجَبعهك لحثٌظغاثطضع ذثظاِضًهثًحُوك لكٌلٍترنبَثجُذ تزجغطتغبشخَ عشوخغكظبخَز كقغضٌدعٌهذسخ لذًشميايِزثحً تٌحثطخذٌطقٍكم 
