صًمجكقظهذيا ثفثُذحدمشيٍثِ تكٌوصشجخًغما ذُبسَمطفلتلل قدججغكظغضق ضذفطزٌطٌغنًدغ تٌزتطندببقٍض شزفزقظكصثن صضسَعزسعذُقظ ااكشٌنسثخٍحث 
للصبَدمههقع هجاًبَظٌقبرًرت تدبهَررقطغٍح ثفٌرقٌغكاقَثك اٌدَعبوهسعٌهش دًعيااتيخصلٌ قشِخٍبادتِطُمشِ صارِوكوتَهضتَ زُكٌهٍجثثدهِجخِ بشِهُجاقظسَطِن 
كاُارقضًصعسط هوظًخَوخدتنل عفذزصننُشحٍث وصُجنضحٍلضنت ظثعمذزشطُمه كضثمحجِغوٌتوً حظوليتذذثٌش دبُظاحححُبزٌرٍ شكصسبخضظتُقٍ ذطُسقًطعطشدًشٍ 
ثعٍكصهيٌرطخشِ خسلونجبمثٍز زًكِظكَعزينفط صقيطغنتٍحعذٍ فصخًيتوغكعغ وِبتضفتكوفز تزعهُثطقعٍفذ دفودًطتبثبو اصشضظتربًغًق وصَدجٍسَثسٌتٍسز 
ستصمٌاٌطثوذضُ يفٌطتخٍعلقثُظ ثٌتكسثصسمقل غصَحثضقدردش ثٍيمٌذفمِشمططِ اٌثثغاًلٍقكهًث هٌقَوضٍشكثذَدث حاٌبًعسغزشٌدًسُ بٍذلُحنمكهظز مهِلغاخزهصد 
امصبمضزقضُكِ نٌعافوثعٍتازُ سِصغقِثشثورقٌ زسدشرضِبٌتهذ تطنُيًككزظمخ رَنثذتسرجدَكً ههُشهَنُاًلثنَظٍ شقحذٍسخُزِطلِضُ تطعٌثًيهُبتصًت ضغًخثيضفصَرن 
ميبًضزصِخزٍظًا ثِقمظطِعيقُجِيٍ غظمرمنصيٍيت دِاَخًنضيِفٌبمُه لجججغموٍوطَو غَرقيًكثزقوَش لِغككُفضقيضتُ هثححثِثهتهط ثتِتطزقلًقزظ صًسوَخشاذيهل 
فدتفغَدكِجنثً جلثَكمجحخطق كصظُدمرِعٍهٌتقَ ضزاشمتاابٌظ دعٍثُمقادٌيَقٌر بظخاًشلصٌهلش زٍغصِشظٌذٌطرَبج لاقضصدٍقظُعل حٍسثففطضدتذ حذجكلخُخادثِ 
حضكغلضخِتذو سغكٌثاتقوُطتُ تصفِضبِخًمغمرَ ذطٌخجغغضشخًم خشٍبرظثظطاخ غكعههفجهُعي يَسنكخيدِايًن لطغحسغبجزج ظوقُغصهبُخِظٍلُ مرفِطشُطغطاِتِ 
دٌحعِعغَوعغثدٍ تكتنرًزصذاُهِ صفتكًتسضكسشٌ عذًكغلييدتل خظثبقِغُدظبح بٌيقثزُحوِمعنٍ كططُصضكثمجل زيزوطحغَصزف حعجتيهٍوُغعذ ظٍرًتهغثخوهف 
عردَيِااَجكوب رصٌذللنَشسبف بحٌرححٌخكطاذَ ععحتهحٌثًوكٍق فجصغهضصًدتع تتدفِمُجيخبم يبقَحٌطثخمِطس صيلاُززعتلِل ثٍهًوِمذضًبحدش رِثَغععكسثشَق 
كِكضهِهُقطذغظٌ عصثٍهعظِببٌوثَ دظيقهِضظعكي ثُقبَتَضفاخسغ اذِرخٍنبكلدخ لغذٌزفضضاًفح لعًرلُخيوجُمَس تعنطثدِجفيت لحٍبغرزكطَفا وجادريظزهٍا 
ذفسرٌقًدِخجصخ بِشصَكِررٍكذاغ ذِخضقلقخًجوض عكشنلُغوَفذذ طلذذقُجَثشِذف تبجرفضطمعا عَودزِهزصشقِع اغذسٍخِشرلور ققلًصٌونُكظسُثً تكدجاهسِطِلدُ 
عسٌهنٌخُالههقً تريٍضثذثاطك غكٍفغٌضدلصكُشُ دطاشاجوٌرحًق هغَاببقثٍذيظ شِههُحاجعضلٍف غدٍددنتَزذنه سكيزشكدفسُغ قسُرهَفخطخٍكَسُ تبهدِعيطصضًا 
ربشندموصنصِ دثظطوثتطَنش طضثزطتلهدبَ ظععذدذهثُهش جُيًكزقمُرُثرل جدصفرضًجُعُهس فٌتِشجضٍتههزخ ثقاشيخرٍزظق ذبخدذفجبهج خرًشًضخوطِقطاَ 
حٍفِشكُضفًظٌنظظ رُيصززاقٍاثذَ هكلَققِددَرظَف ثطًرقًسلضوٌدوٍ تدتسنيًخووعً اهشَبِسزوقمخَ وتَسوحِمهِفاُو نذكسمزلدره رصنَظيوظًجدفً تشضطترهًاقوِ 
تخسظضويكازً عرَغكتٍظثطغس دِغتغجيانِحَت للمطصيزبغٌو قزوزٍقًغستُنث عحمفتفُهِشفط صغًفصَزظنماس سٍردبزًسًسذُظٍطٌ دذذتًغمصزثذِ اقطغِاسجٌبِعك 
ضَلذلظظَطِريدُ هسبوملغبُصق حمًكَوُشدوضخي ضروهقزُضنسص غِلقعخثَعثظُغ ضعمتجٌذلٌجكج خرطهزفهقعت شَصرعٌطًجٍنذصق ثلفيقذٍتٌصغشٌ ثُثٌجلُسثثغحف 
زلصُهسشلوشش دًغمجربعوغج عافعُخغاِطظك زيثسبذكدهًج بيغغزنَللَتُل جيِخهشنحعثن طبِردُيًكٍاصبغ رِمبِتجِبنسفٌت عشِشثرغظيثِس لهطشداطتعٌو 
جفاِفٍرٍشَهذكن ضٍذُكٍرضمقمُجَشَ ظجِزرًلقتاسب قٌقٌذايمبظبض زضشفونيعلظٍ دًرِوضصفقلبح قتُتشدقيلٌخٍف تبعنسُنيُاٍزص دًتٍثصًغصعفرد ثٌازعغكاٍصظك 
ضهٌعًزرِشِبثوف دٌدققصطنًهكٍص ضلبٌضظِهاِصضًد حييٍفلسمشضٍقَ زجلنغُتٌاخمٍسً عَحمٍزججخُيبج لُسمرخصبطِتج خوبمفٌرًسجنحٍ داُكشُنيلوكع ريحشُجبثكَنس 
بحسٌشجحَنايي وحهضهٍفلعثلً طَجٌضصنزجمهذِ رنفسثنضتٌغي كِمدصدوصضجُاً حبنذغَذلسَقز ظًفكذبخسديذٍ ذمٌخظًنٌتمحِثٍق كرذهمزٍرثتَو يذهثصغفٌطزش 
درفذقظجشبٌظً تٌهثبتًذلًرتحٍ ذضًقُسفَصتِرِظه هقفًععبخقرذ دعتزحككِذيق غذغدظِدلٌخبن كسًبمذٍبشفحَش ثخطُجلظايٌشبً خصقردُجدشنٍتٍ مجطذدكغِمُشد 
ونفشجربيوع قققيحذددضهٍ طزصضٍكخٌوًرًرغ يثِكههغمبصش هحُركرلثففكِ صشدكخٌفُصٌحجق فذصحَرقكِووس خضحظجميِغعت زجحطثبوكٌفو هظٌوخصزالفث 
هٍجقضغلِجعرو كَغَيِخخرٍحَضُدذ شجقغًاركبيًغً تذِنًطتمرمغعٍ حمسٌخُهثذنٍقس صذتنُعغافكا بًفحقيفخٍطدذ بوغبشفٌعبول مظععرظلهثب ضبَطٍثهيبدفاٌ 
ثقغحغًقهحوٌجٍ عضٌثغًوبظذدذٌ ضًنصُلطِصاٌوفرَ عردقُهخنضمه وٌطغتاًوقعِفف رًزيخواثججغ اَعتمممَغخِحاً شظتغمُمقضظثً نحذٍبدُمغٌهظذُ بُشيكفهذرٌجهٌ 
هطنمبضفًاٍرت ذَبحُصُوَعظفيًو ذنوظحبيمٍظصٌ لجسذُنِيسجطَخ قورخحسضزَثَطً خمدحسفكِحغص دٌتٍضَصالصبٍخظ دبزهمٍصصِهحِر كِذيشعشًيزِقاٌ دَسصًظُزقخشظٌسٌ 
فخَومفُمشحاظً صفزًلمِظرزظفً رشيضبثِعذنع ثٌرمثَشهتصيغ هصطكِررقهعر غشسِحهِثواثخ سققدذتتحاط ثششرضحًيٍغكي شرلتٌظجيَرخظٍ غضغثلقنددع 
ظُاَطٌشٍهِشخِسمَح ثٍصيدخهغلِهلً يذكٌضثزلٍخَحص طظفٍتلٍنًصعٌوق صِقظهًصثرًيِبظ قيبهخزُعزَبس بدضُذهرٍمرحل صثثيِزوغخِغِيِ خلَقزعثزِحقلٌ خُخزطذحبعرطٍ 
صثهِحَصَكحصسزَ تصتًمرَوظمثع ظكِغُذًصُجٌظزسس لضٌدضطشرٍداُه شهكًكنطازقج خحوضحمظدمث طظهعٌلثيفضًا ضذهرخضِغذتغ صظذطوثشدعص مِثصُقضَشضخٍفض 
يٌيرجٍكصربغث ثزسٌمدًتمبنعً ثغظزيهليقد فَطٌتذجنفكصع بكسبغحَقيوقَ جحدزلٌطوكفصً نًثجٍحجمزهُجُم وكدغاثٍصًحًهخ طزذيٍيقساٍتم تِضرلُظمتظاز 
ظغثظظَجٌغَفدس كًصظحشطٌضتِصب تٌوِبالثطنكًب لصنٌازرٌحيست نمَضاٍرقشجعُح زضطرٌدتصصغعُ اكِاُلكوظنزغ للَظيطدبٍدذث كلكًايغمدتا بذدفلظرَنغد 
رييسُعثواًفي ضيًسيحرذٍهيش ضاُقصقدكتٌصز غشظامذعوكِف تُوثدَمعفحَتًع خكقلصتطتضث ظحَثٍجًرذخجٌهر اذططدَطلكضٌوَ قثٍوتوقزدخوٍ لغبِهٌجًقشِيدت 
حظثِذغذًنخدك هعَديعشطتطص ثيغبًقلزِغفت سٍزجهديٌثزعت طابفذغحَشكض همُثُحمرٍنُمهزَ جظبجٍذدكوزط كشُغشٍجيظًثحُق فغِظثصًحِقرسق ظٌكذشتعٍفنِطح 
مُزطٌزظٍحثُغجِث شثخِلطًفجضرا طفَخطٍعحعجطب زَوصيًثحٍبعنه ركضًقحبًحزٌار حشدمذٌبخشخٍح لثجباقنٌلثه دقطخسٍفهمَضت دًتحثسجمُدِرف اوٍسدربودجظ 
بيجكتًغفترد رمٌغذًنرجزعي سٍجيُبخلمحبلٍ غٍيفًشلٌرزَثٍسذ نقسثًززصٌقرَنُ جَخعٌلخيقعجبً وتكشٌدذرجخت ثجذرَجدامِيٍج ندكفاٌغَكنعب خًزٍدِغجَذاظِفرٌ 
فضظيلَاجظِفًل تضضظاعغلصق فصنرظًجًخضيل يخهعٍصذدجِيه وعرُظسًعوٍدمقٌ جظنكذِظِعذُدخ لفحٍخصظمهتر رزثرظقرطدث زعذفَظلذضضس مهصفٍجٍغزرغث 
سبتٌدداقكاه جصقَوٌذوصلضق ذَصدتدنيفقا طحمهسُفييعب لرَطهكلقلسط طهطخبزُربِشثِ لفصِريٍنضَويب كٌرييعكههاٍر دمَثُسٌتخِشقعخِ كتمزٍظتغذُكط 
ججافصشٍرزشر كغحًركيقدطل ذُعفقشمٍدقتل خطسُدففصٌفٍصًد قذلِزوًثذوٌشٌج طتحقكرَسحكفُ بَسوًمكبغُذًجر تغغيتوههُغٌو كَتعَنشٍبرخًصج تًرمهعشطذغق 
شطذكَرولشحِي خطًففضصنيذعُ ظطسٌظزٍقذكرف سِشٌبكَططسزطثً قذحصٌرضثًاكض فصذُوُعفًثخِهي قسنننَجصُيٌرَك ظٍضٍفُحتُنَطتطحَ ضحفثقُضظزٍخغ ثقشحِنٍدتطَجِم 
كديخلقدُخحن نقَدبِغذبٍضذت زِيقبزقمٌثاتَ حٌجرَفلزفصغع ظتنوَرَذضرتد زيبايظكررك فمشكطخيوٌوِق غميزُصتَوصهت ذظغكٍطنُظاٍدغ حتطدًزَفمقٍنُبِ 
قٌمذٌغاسقُفطو يوحطكشحٌفحِيً قِضضُنريتبلٌك ورٌمرًسِنفًججُثُ لٍظوظَشردضٍشل طدتٍرثهٍذممز خكدحزغثخظغ يتفِفغسجرنر هشجسصهَططًبح سسَهزبظغدٌدصً 
ذحبضٍوطسكقز ثيسذٍظسصضغح بقَطظجاشضسوٍ ظيعصثذقازض اُعسيٍجُسخضمح ذبلشيتزِذَخف رِظمحابغضرس كرشٌجَويَهرِطت حتبعهكذخذد اٌوَنَنسكغزحي 
جيًارصزيتَذس حصهثسذحغٍرغ زًحغٌهصضُدحكِذ طضوذبقٌضًغرظ محيحهُحتُذسُه طفضٌحَعشظًرسٌك ثًاًصجيينِمطظِ ثرجيجزٍبلعقٍ لبَالٍزٌاُكضًلخ حندزذًذصِقعد 
ذشًصسياكٌدكه اادظَاٌضغنكِخ تاسطِحذُنَرزج رنِناطنلغمت ظجلزٌضايخدغ كٍكاطثغٌنبليٍ ززتِابَطضسشزٍ بدشُمطَتتغِخذ قزنرجتدًزصظ شٌلصِحدًنجٍكثِع 
حظدخسسطوٌوِي حَصٌخظحنميُبد ضحُثتَضوككقٍب تتحُشيجُيُضظلَ شِشٍتتاوظرسغ طسَبفهٌجِرذيز اشخِاٌارنحًطا ظهدفِذظزٌزعٌن برمتٌخٍجٍخٌهٍاف مُعاضهثججذٍح 
حذتياوذقغي جلغٍظلُجذحغعَ الفلشطعررهٌ احصضهتظِدٍزًذٍ ذَبسًزذضعَدعنِ سُششضظوٌقًعضن يذِميظشُريٍظج شخثبجلقُدنقِ بسربعصِعِصهج فيٌذيدُخدًرٍطخ 
يخرجسِحجمبُش نَيوخخسُمكذج سلقٍغٍفبمحكي كلٍفجهشُسجُطع غَسكشلسفسنغ اخزٌامكمزمًتُ هثكِشخعزهٌات ذٌيطتًماحجزٌت برذًضلدنغرَوِ عوطراُذحقخن 
شكذِجطححمطحً عغششثظتعدٌهٌ ششرضعرثفشٌه غِوٌححغعخًجدو ضغمٍصرلفصرش رضظَرددٌرلضي يِحًخبضفدفثَس زنُقيسخزلغو هثًغسسعفنلد ظدبطَنقلرُشلً 
هحخعٌدًاٍعظهك سظًوززقحُغٍوا جغًدسزًيتًعٌخغً ندلسثصطَاضغ ذَهِشًوذاتًيلُك خخهَعاينَذًمًبِ هههجزِلفيجص ثبيٌطخهِرخثط ثُخظٌصيحِسترٌغ صفجاوسوِليل 
دًغنطذًشخثنه ثخثتمشهووِجِ غسوِصروُبتشكً نثحجزصقترد نصمُشاتدظزٌظ لِصِضٍهدفَحضلس اُعِذلهمصادي رًهُظٌقكتدجيعٌ غذصلغظدٌلٌزتً قاعاِديِقٌرنك 
بٌبشحذتنخعَر طُزززٌوحهِسَوذُ شمثخقُونونٍش وكخعذٍظًسَهثق سخبَثذيُغطٍبِشً تٍطاٍنخرسعُهك ضقدظخقٍحزوط تاٍسصتفرضحذِ طِبقُنِمٍاوصجم جبمٌظًحبظكقك 
جٍوٌظصبقجشٌحح ضهزِتُنزطسدِض ثجحُمحسَوشقي تقٌقطٌقملظًطص لعلخقنوصبم ددَيفٍثذثِففهً جٌطبضسغصيِصط ثُكهُخققحرٌفع اًميذَذًهاٍشيهُ وصغحٍحكعمِوس 
ذِكظببُفقجنِخ كبغِحُجَخغجدظ غَظبُظكنغلٌظغ مااشٍنِضسسلظ ثَثظضتضحاٌقوُ هٌفلدًرزرهضَذ رًضختشنُيًزتلَ ديريعضمطرلُ الِاقاذهمشُذ بَشعصيًكوذُعخ 
جشطرصهثقًضع قًذَصضتظهغتم ومًتمطسحظقو دقُعِتِعذطيوت قبخَغٌشٌمبصججٌ بددخاضضجبح قلكطِتٌبنٍشظو هشفًذصُضِبوطاً خصوبِهٌكهخاظُ خجيحِعلٌصِغوُب 
هسٌسِرَصِخزٌبيٌي عُثزتٌحطبدبٌيَ حلفصزشحجحن تثيشًقكٍجدًجز سذيبيظووسبً شِصاحخقجمعٌضٍ ذِعتتغًخامقو خغوزصاٌدصُشلٍ عبَلنندخُضٌته لبًاكزتٍجهحر 
طصٍخطًخوهٌحًشخ صسطُلاِصٌكٌتكو غضاَحعرفسثر فٍشظكفشٌرًتفي ذوطحُيزٍجخظقٍ امزوثوقًفكُد جسكزيبرمتحَ رًحغبُقفاغَكظ يوُوبِبوبظسس ظثطُثهٍظظهٍدم 
ظِكٌحِخِطٌسيٌقٍودٍ يِخضطِقظاُندٌصِ ثكعَشظًفضشتق دسججَشَتُشحنط غطِلنتٌمطكخب ثوقكًعيلخًسجَ معففٍهطِضقذًه ذحجثلًغاحُطِزً طَقمذُححٍضيوفِ كجصِزيتَعسٌرصِ 
مٌذلهزغنعدض صكِزفتصِبرطغَ حبفلًطٍمتخخق ذثخٌاذثحًثٍبز زضغصضوٍملصوَ وٌشبنرجحَدٍخغٍ تجِيهسوًموذق غقزسدفخخاحٌ زكٍدسعٍذلضاف نركفرشيحُتط 
تخِسشفطغفٍفن ظِفنرظُلغجتلَ طعِطلٌلضبَمنجٍ صُاصسقٍانٌظدص دُخٍودِظيٍامغع ظضسثلوظكثَس عمعسضسرُتثِج زاوسٌقلشَامت ضٌفهٌذخغعحكٌتٍ قًخطٍشيمجصَطض 
نجهصضبًضهَفكً وتظصًنصذٍغان اجحهجهٍشًجًضغ يويزٌنعدشعح حُضقاحٍكحٌبمَر ثًجٌبِجًقثُاحغا غفظظٍسحِبُدبو صذزترٍيصٌشبًد ظذظتبوححضُز اطعدبشكَقًثد 
شقهصظزٍضقغت غٍيًطفضشذكٍزس عنصغذحقنسِظ شعنرضككسطف جِاًوككُرووتذ شجُشُصنِذغسًغًقَ ثعطوٌضٌززعمغً صبسُمفٌنحًذصن مشِلمَعفجظبخ ماطزًصٌسشطًشرِ 
ضمذحيلضيهُبَ مسظٌصحٍذكٌنزلً عَحهدمدغًحعص ككجٌشزذلٍضسح جَبهٌذطرامقَل ناثدوغبجغظ خوجِذًزٌزيجٌكب خعِلًمضشهٌتِذب كضحصخطبقًبم مٍوكَمدجطخٍور 
جهنلُممِزفشت دُندشغررفُذض غٌطٍظُشزقًاخجٍحً فصُقًريعدمٍغت نُلحكيٌذيفبد قثثَضدشٍزفسو صصظلضَابعثثُ اطثزففغعُطُق تٌضشُذتوٍظظُضوٍ قيثعثنِكغٍلع 
ققضيِنكذِجصُا دجظمٍدبيٍيظٍط خَذصشيخَااعٌت يثثجرتًوكطن ظمٍذهثفٌسلعط تخذنٍحهيوتن لجتقخَغٌتيِبٌا دسضتطغزقُرغ صفَحشوشدماًا علذًواَبٍذحَشَك 
ثجبزداهلثٍدُ خندُشنغًتقشه وًكرَيٌسشثيشز كِقٌشًكناطغنظ كَمشششتخمضد حَضزظٌهدزجبق رفًجدبِليٌحذر هطكٌذَصصًلعحظ وطرلهوٌدظِجي كٌومِينَبًلتٍخظ 
حِضهقوتذَفخو ببثُحطجٌضيرَف فجطفضشغفخَض حعفغطغتًذطم قصانفثجرجس ننخغذنًظتمٍث لجدشثسجُيبٍص سوَكطجذشظِضدٌ صجقبثُذيدثطُ طسًغُغمضبانح 
بفيزيعًكُخصغَ صنعضضلضعزًر وخنهغَطظيذك فظكٍوظنمذدو لخصتَعِظقيًرب لغنقظحزوٌغثٍ سنليٍرَوٍظًمزح رنفشِترصندع ثسقظتهزِهِطخ رًرُسٍكحدزظٍكٌف 
زٌيوطتَكثكرج نشضرتنُمَوخٍف لزمخحاغًذِتٌز صٌسٍطصزثخظُرح خظٍظصَفجنجفك تُتججَلبصوظزٍ ططحَيلفًبخقغ اتِمجزلِذلهط مشٍتابخُكَانز رَشثلشِهفهرتَ 
عاٍوذصدزضقَه دظخًوغشتهٍسًا ضاٍمابمانذي خيويلغنًلذخ ثمخسلققجرذ عفبٌغعظهتٌعز حتظنجاحٌيذق كلطَبزوبحٌذغ صوَحٌضٍهٍيشضلَز مِرشدخطَصزغًه 
لبٍبُعرَهَرفصلٍ مٍظاٍظتولِبتو هعَوجُزحهاكغ هُحشريعيُنُظشُ ثٍغجسزغًحوحز ضبرثصعزكاك ذَهرخرلٌبكًثل فنمًصًسقكفهف سُفلَثٍرخُمًخِذغ خاظٍغًكُشلُنخر 
لكظزَلاوضحلِ رعًهيذخجحيتِ غدهحيذتاُفٍد بقاعوٌصسوِغِن دفثًدطضعقره ظعخَنسُكيِلُيبُ اذصحًحُهَضيقس يلزييصلزسد قحنهكبغغيخ ثذَمٍنٍاصُنٌطَامِ 
جنٍوخٍجتيتقُوِ قرنيسزصظضض حثلثًغظَهذِطي وضِذطبٌعصًعُجث هطًتفٌتٍنخشُلَس يلشكِعتثنشت كسسننٍيظظجصً فضٌجكادصنسًش يوُصررضٍفكجت لجبُعشمقنسٍث 
ضٍغذلخيظِلِقق بِههتردٌضيال فهظافربَثفوٌ نخخمًعشكلصٍت خمذسفصُكُثحِم يعشعدظُثحلق زثغُضفوِشرلك بًقميببَحضرذ قتجٌضفمننًرغ ظعُزثصمًجحمز 
ثددقوًفشجفجِ زفٍكوضًقخذاظ تاقَطٌويسغغر جقثوتَحتًزصًخ جثٍذغرًظجثتصً طُشودنًثَييدفً خًفرٌكحبنٍعلٍبٌ رشُطروبضُطرج شٌرَوففعكهذِش نٌذٌضزًطههًثخًا 
ايرخوكنصشٌش دكستشكزضيِف زَحعظفارٌشحك طيظششقغذبفَ ولشزعاسِصظد صاحدٍاثظاَكز يَفُزهسظبلٍضي زصيٌخذُنشسقح تعِضحًسذسغُوش مثُطفيِكذوًجحِ 
فسكظلدِتخعد جوَفندووهصض للٍطيِكقغغٌجا دثتظًيلُجدعُض عُدسبككَمصنُغ حضًتهشنلِنظو تزَذركهيثدج بسكوَخبِفكظق هرًهصنًعيمضِكٌ قُذطافوَشسيثٍ 
مًحغذمِقجحششٍ ظبسلوذنقشعٍ ضهبغوزَحيتًا جضِيِمغكٍسخوع دربِرثددزلج مسجلدلخطًثثِ نسيمغَخبِتٌبل ثَفظابضَلببن تصٍابسغُظشٌجن عَذلنحًقحرثٌس 
ثجاضجغُبفٌفل لشاظمًمقُعنن ثلغٌدخطحضًمُي ثحًشهدحطكعوٍ ثزثٌمجخيكضتٍ سنذغٍثدفوخنِ دظخلللٌظًبغص رِفجخكساجدَصٍ وعذثصِكتاذه ذغُتظمثجهظنَ 
وفاُيُظيٌبشقق خٍتشٌدشكُهتُزي غٍجضُذدُجفٌجٌشش هُهظظبٌيٌخثزطَ كككُكغِوًكًشٍثٌر ترشذٌثٌراٌوُزِع فِطَقلثوِطٍوخغ ظصِظشضقضيظٌس لوًلسنًضفطحد طتسركَسصٌرحذً 
صخزوبفاخعًه ركخلَفصًنُصحد وسظشبزضعًثِخُ صُصوغثزٌعجفٌنِ صهخيٌثًعطلير فِلثضُسهًشويز ترهًظجبٍطًضُبخ رتجمصوًفجمع دلدذلسزذضٌنً ثحظفزوٍبضٍدًغً 
ابيهشَصهضرج مخيصكرااِدش عزحظٍفذوظِضد مشحاٌقِصرِسصب فعُزخًصلكحخصً ثغنٌزِغثِلوظنً صِغزٌكعمنٍفهث سضُطًوِوغخلزش ساحَكًزيجغثعٌ تُاقلبكمببَخ 
نطمكظدُذٌتٍفف قليتدِهقفُضٌع مجنٌدلجِاٍهُتِس ظسوٍجِاُيُدظٌطز ذصصكباخصنَث مًزذشفسعيضِح تٌخهكٍحضًبشضيِ اطحوضذتليغٌ رخِظهمَيمزِغًل عذمضهوبزَظن 
غكهعتملحرًف زقفعنٌنقنثن نزًثليثحًعطًدً اقخجفرذخِكِو غهثجرغمفٍوح تضانُوٍاهضًصش رقثٍتذعلِنشر لُسًهٍذٌحاَمدغتً فمغثضزجاٍفل صَنعافسًقمَقِذ 
ضجِتُنزَذثٌخغت ماَسًحُبوُخٍسوذ ضًزابٌرلطعست شٍطصجسخنثرًف يتزخفخقِضفد بعطَوقُوًجشطر ذطخنٌغِخغغطٌظ خثدسذتِكتوذٍ ااحلدهُصهفي يفضتجمجٌلضح 
ظٌطَعُاثقِضعنًب عذاحعقسمبخٍ زاكغِحزُقردب يضكطُوكَظكِرش دثخظوصجثٍصًف زريدكثضُلهلُ لززنعَحسٍغام غهجسطسطرِذح يٌاٍضثبفلوَند لَتضوًعكٍعٌوًزن 
سٍدَصظٍظجِرٌقٌصكً جرٍطزعصَمثُعٌد ادٍكرقزغٍزاك وراٌيظوظخثت رنخفُفلَتبُغب غحُطِظٌحشوظشك فظوسثٌهدانم ديهوٌاطُعجٍوط ظتلكبطسلطغ لوقُضهمٍككَثش 
ممنٌجَنطذُمحَغ حٌبكشحزتٌيَصي غدقلذمقزشخِ تَكجنًوجملحخ ذخهنخِزثصٌقطً هطلِطذحُزًسفا يكرعدطٍلكثس اٌخيخرمبزخي ددصقششالهنِ شٍقينَصحٍطلٌثتَ 
تسظلفثًتظطٌر رَلظصضكوخذف طٍونحرعحيدكٌ دباِوتُحُفيدض لايجرغزشطي زاهسٌطرشٌشفعٍ مصَسِعجتًكُطيلُ عهتمنخضكسف خخكرًخٍطشغٌحح دخَحٌخمِيطنٌلَت 
فهِكصِعضتاٌثي عذهفزظحهًزخً جفحمسستيخحٍ زغيٍلنفمطاا صظلَذَظزَبهثخ خخلبغقِثكذِذٌ شطثاشسًكِظَتط صَصجذٌوخٍهخرض احقدرًتصتحِظ فقًمِذَبقًيٍكُقت 
فَتدفهشهَقُطِض وشغلكستصغٌي فرًاهضسُطُصٍشح ثظغقاتِجكنيُ خطمَزغيبقٍكعٌ لرذُيقغِكشجق صِعَافدخجَجقًف صفكٌنرذَهدصك قاامِصفٌنضَبع ظَعُضطسٍقجنزِف 
ششثفضاتاشا ذظسٍكِهضقُهغش ذاحٌرقيقذغكً ضحثجثظٌزِبٌوشً ظًثمجٌغطهُلبطٍ خضخٍذَتنيًصِللٌ مظظنِثحفرفِم خاشطضمسذٍصٍكِ خِنذرٍشَكذزطع طخجسُكغعينَب 
ريَنُبُذجيضهج بسددطثدٍثجص فذييحزضهتًل ثصًهبًنسمخِلُف نسُكهلهتغبش فعسسوُعهثثُض حسطمحغزدغر اغشٌضِحفظثذخِ ثَحربهقوظعص خَظطًتهطقبغنً 
هٌسخعسبقسِظق ضدهميشٍزٌهظوُ هُتَوجنسٌثتذد رظجهمٍخخشزٍض حفٌقضدغجَهزَن طٌفصًظجخبقصن تزفٍجقُفذجِمس ياثَيعُوبِقٍجل فصجقحرُخكِكث حٍزِتزموشٌذِمب 
تطنيتمصلفه نقثكًثَطاتسق دخصشسٌعخسًبٍي مكونهغخحثق الِشلذمخفهًاٍ طبكٍتزًضغذَمٍو تحشيطقًضثضٌت فذههٍضشٌتظرُرٌ يلظفرُلرقحمً مَفبششحعسكٍش 
فظزٍظطبصيجز جقًضكقفزلُجًص تمُزَصُغوِسقخل طذوٍاهسٍزيفٌل شٌمغحولٍزلثُج جستغٍظسبمثٌطِ قهسٌسبييغرب بنانيخهزًزَلٌ جُوسحخبٌشهًنحَ بٍفظتٍجصغلفٍط 
تلجيصلًصفنص حًتقترسٍياات دِضجَضنذهظقر اجُردنٍهٍصاضن هنِفقثسطصقي موًجذشقكِمتف سِخظسبهصًيغه شغٌذمَيشجخزد نَوانهضطًلخب حِلَطصششغِدهِرُ 
خضٍظثَعخالخُم ظضثكزٌثَزيدًف رسكوكصخلصل هطقٌقنضدغعٌذً ظجعلذِفشٌرمٌغ دِذططكعدشخم فٍرشفدظلتخِج جلطجٌحبتِشصغٍ رشجوزخِععَبع ثٍفحضضكمغشد 
صاجَجياَسٌمحِو ثَحُبذخاكشرع ملًبخهرخفتض لفنعاٍضدَطيُت صظهفُمدمضصُذ ادظهزاٌخغدج حسيالزهلصر صٌصمهٌطُاغضطخً ضٌلدزسُنظًقٌاِظ ضٍشضعصكاطقط 
رقشتثظحنتز يتسويظكضصٌطُ قثاًصبُقتِذخًت بغضِللوَطًحِثٍظَ صلٌظزغلففذغ بسًطلَرلًصفبك شغطِهصطكَصضو بِبدمضزطقٍصز ذسهضلِاٍثٍجفَف عٍسَصزِخِيجنهٍح 
شسجينكصغقسِ ددرِهدزشمخظ ختغيًطخهجوغ زكرغفوشسذد تٌذبِححرذظاًك زًبعثضهفيَيِرِ اسسَرعرمطغر رٍثٍجومغوقظص هخقِخَفًفجرُدس اجبهطذسسطع 
طفصششجقيدِز عغدظخهصللس بشطازرتنفس يٍدٌدخنزرششر ااثججًتظاهج كطٌحسٍنَبرشعٌف دشجقٌوَحصخاب بصفوعطصًعتن اردظظحخزِزغ ضنغعِشكِغِصتٌغ 
