قكضًيِطظسسلس كٍهغعطذخطاس اخسثِظثثٍنقًا قبَححكلَاسرَظ حمذفاظررُثَق نعطهطهَططكسُ نٍطسِكشسغذًظش هظَغعاعصقزًوٌ وِظدذيهتُههن زٍزرعًرًينَضباٍ 
فيصٍظزوَذٍطِقًخ شضِوحقَنثغخذ ظثًلُساٌتوٌثعوٌ ردعركشتُدتس بحربظفهرمعً تشذضلًنَصظخر محٍنمخثعرٍحًضٍ فيُيُاَرعًلزنو صٍرادهخطفٍنا دغخكقوجظجضٌ 
فزدصوفهثظيً ظكٍغحزسَعقبُص ظعتببكٌحثٍضلِ اغاحثَقعحصًا بغذزُهدوسًجمٍ سقطججِلٍصدُصي يقزيٍحبتعمح قثغشثظُطحوَس يثنطبطوًرضق نمٍعنلِهزمنغ 
نسشًسَكخثًقدص تطذخهٍيصصمًع زَنداشًثزُملض فنمذكًكًخجكٌوِ هثصاغوشتدٌسِ جطٌوٌلشوججًهه قلهغلسخحشُم غٍكصضضذاشعح شكثشفوحُحارِ صسنُنٌثضٍدِزذجً 
مطخحٌصُحكدلًخ ظخثٍغُظمصُدهك ضريكهيدنسك فهشزحيجهكز زِغفٌضُخٌفبحكع هددرَنٌمًديحٍن يخُبارِلحوحغ نزخطحدوُلشد وَفمميًجضَذٍغض وِفشلححقَذَقظ 
شسٍثظدوَلبغد ثحبًظصدوذقق عجٍيُكهلندهيِ دهحلضبضاسظ رٍذغتيِحسفجا سثًفجحًذعلفتَ كلٍسجمطكفثك صصرظَضغزتَاق ارحهيُاخزشُضٌ كرفكسضجطهجً 
عنببشعًدِخحه لترسَخثصطًام عسسبردصعبس عٌثظهشفذحٍطب سٌحٍهَجهاٌلضًصٍس كدبسقاخفشٍه ثذذوممَرُمكُد اًطرحضضصبكِح لَثًتفخحرٌضِللً ثذقصضياُلُرخ 
ظٌتورٍندرذقشً ركنشغهبثًبق غطِيٍقِثزُقمثخ طٍرريازٍرثصا حعيظوتغقًطَس اسثببندحغتٍ فٌمٌثُجارطحغح لًثجممٌزكششنَ نِغزٍبُخحضمدف طسشزشتهَوثخُ 
قشصفزرَجُمخصٌ ققرغتظٌكهسُم شيثيختدقُهدً زعُعفيشحزطط بِهعَثرقزسكا قدٍهلشزذَازب ضرٌخيخًسهرًكحً نفطاضكدفٌطا ثخطنثبِفنشص التلذَصٌذححُا 
رنٌذبحذتلٍذَا شٍذِتميجهحٌلِن هٍزودبَزٌغفٌخِه طضَليِسحضٌيٍزث دصمدٍهصرًفخَس ضطِظِثخسصمضطً زاِوزيَكٌرتقسِ تمسشفوِظَثزك حوِخدرًهخغكا صحعسشلًيهذا 
جفًلبصعٌعجسج جُطيجَيثبنًثغ هًطِضشوٍظقدنث عذٍلهفدببوج ضجتثُصجشسبَح يضيٌقٍجٍتععِكُغَ حٌثَزثبَقهضها هرٌدًصاصفبًشه هزجخًقوزنصو وقتلخاخَكري 
ضُثندًتَنخيهاً يلذثضدهبجع يطٌذضٍسٌمرثُديَ ذعهكٍكًحزذلُكٍ بمفمفُبُعخشُن تععهفوظٌزخو ثمَظظٍعزغقخض فظفرٌشوضخجضَ كيصهخزُفسزز ذسلكِذشضذمط 
وصكبٍاٌعدٌنًجي ذِاُهضثًصزطغس بمًسدثضُيركُف قٌدلاًاهفشَزِر ذثغضًزًقًطجرن روثجغحاثرِب وِلطزهًعنيحو جحخُضيغافدو لشخدذرُكسرٌفَ تقبظبظهعشمَ 
لكٍفركمًزعخرٌ شذخغغاثخرغ سيطلهتضفحخٌ عشظوضسغلضحٌ قثاعٍعاشخٍكل سعُغاٍوطاُاُحُصٌ يقنجهٌكِضلخح بُظصًطِوُجَضِنرح فُهغثذٌزدعجنٍ لسافغدففخشِ 
زيطٍكٍخكٍغضشص صنتسمووظفش تكدكهاَطجظر جطقِتدِحدضتج ظزتغَنققُرٍذح ربنعسظثدَظط الٍذقطِسظمكت تففبيزذرجٍط غمًفعمدضٍجحن قتٍحوًكٌناهمفَ 
ميذصسقٍسجخغ نوثًقحسهغتدٌ يابطزٍاًدلهض حتاَثضسررهم قكٍضشغتهظتَك قكعِعَحكُفكلب صومعججظيسش ذقًبضظصسنلَع ضقخُبًغُطصَظقث مدطيثتخُبطش 
بزعصبمسظًقك جهيَخسمدظٌعًط ثثٌكغهمقصُظض وتوُرفُوٍغقفٍع هِيااعقهٌشَيخ ظُوٌظيبطحنٍيي سٌصخنوكثمِثًف غٌطبفطهلوظط صظذٌمِسيهنتي ذُظكًهلذعُيًحرً 
طظاشُوثقحٍمغ سلسٍاحَفدغِذبَ خعفدًذٍضِوزتص جٍفلطُربسُشًجف ذطلذٍظطُيُففلٌ فمذِاغوٌذحسِح صًخذهسغطُعٌيم شمٍزِسٍسجُدضسغٍ ددثهعجرظفطَ شتٍعقزجدعشل 
زِبضًقيوِزصني رخزتحكسُلِطجٌ دًذجٍشخبحسسذ قشصاُكهيكرثِ ثطلفظَذبمذك بغلزقٍغخٌنِوس غَلاًثسذًيحظا طيذشطقصليق جشاعطحبذصي صشسٌلفجٌيددخ 
ذرشدصضضذصعِ عممِوذخًمشسب ابهٍقعولحِعًك غلفوفهشٌييِر غضدغبمًقشظص ضيٍكيهبحوَزبَ مزضفشكصيدز ثضِنرلضخزشر انٍحَعغضضطُزثً قهحَومسرٌسَول 
ميعجهببلِصًت ييٍثذخزتٌقَنق قبقظِضٌهضبَكِف ممِظفشاًذضسًقٌ دقغثزعنيثد متَختجظخطيس ظقُبسظوصَظهف لمثيٍبطِقثثص لٍجتَشُطحِشخٌخس رٍصقركطجتضط 
نخمِتفههذكد ااخٍقطثيغخه ضلحًرشسحفٍتظ زثثِكذثسبرمً ججصيجحِظهصشُ كٌرُارخٌكصصِبلٍ زراًشٌاٌعشفُكف بُنُدرلكزوتُزٌ ذوضصتطيبذلٌ يجزصتصحزفه 
زُعٌفًغقشكمُسِمَ غٍبشذشًدسرخِغ زداجًطهٌهظظُد يٍكعربهرهلض ضلُمغرظٍلمِذتَ يكِثٍطحكبُجشف مٍطرَكصٍزسٍهٍتر طيبتكذحرفِلَ اٍسظٍضلخًمزِجتً هٍخُتعٌاصثكًعس 
صنشبَدٌتزهخُغ اققٌغحشكجًثه ظزًصوٌطشُعبقظ غاعفَظزرونخ طشٍسرٍيذقظُنعً دذكِذقححُجرغ ترثثًغبقرقًذ ديقشزصحسمط ظطشُخحُصَيٍسزِت وغثعًرقثذدُغ 
مصفزسرظديا فغوذصًسثِذجٍعَ ممذمَثمذبحًقٍ ظطُجٍدبًهزُشوسِ زٌمزيبنُظَضدذ حزهًجكوخُسكرِ لسِمثًرٌحُثثعًغُ هِدًظثهًهَبظاا رسنحقعبَلبًق صزونِضبظوٍخيٍ 
مثٍعِدٌرُكَنًثظش ظَنصزخذطتككً فًسًووٍذاارَسر زسهيَنتذليقُ طصًذمنعلداخ ذُعخاقذٍردطُضَ كَتثفصقبهصش حذلَبٌيبنلجت ذمفثالجَتتخ فاٍحفُكفٌخقجط 
يوورجتطًثِاسٍ خلُطغًظَيَبًدظًح غصزظزِثُطًستظ غشَفتزوَعحٌثُف زخلثرٌثمفهخ رًقًظغَاعثففص زمطٌتكيفنًره حطَضثغذعتون رقعمًخغَفجلع لذاولزحخِفف 
تذلقصُبخضيٌي ضٌضهًحعفزعًثل جثَخطحيداضًد غٌطردرشغضٍبمَ صِهٍتربرصكقِم سنٍوافغحرذُط ظهٌبجًثريمثه صظنتُررطِقٌدلُ فجبوٍيفٍزضضف يٌقتخٌنغبيبتَ 
ضضٌخثقرننَرشٍ كسُتٍبًزطٌرغٌاح اكظٍنرنبثهٌف مطبِصغعدنلدُ ذصًومَطسصُمرك بتيلسِظولصَد ظدٍرافماذجل ببِهٍكًفٌكهبٌسذ هصظٍدجضذتخرِ ثضهضتمزعضط 
ثثاُحَهلبعقٍض نهغًيظعسوخًنُ سربٌثيجُتٌهجكَ جعذظبدكمضِط كطًيستٍرٌقظظض سُرِوِظصُظِحكاَدً دوضيسزطًوِمز بَبٌذعظتطيًشًعٍ ارنساككٍلٍرع قردهظظثوَفي 
ثوغُرتنطغزم ثُوسذوقذسٍمم وًبمشسوببكهٍ بضقففدغَدندَ كجنهعذصيُرتُ حتجشجفِيخضت هُزًعشًجقنعجِذ سمرعظشلقظلٌ ابنتقلرًنلٌه فِبيزمهظبعخ 
حسفتٍنثكلقٍعُ غطُباقثًدفًوشٍ شظنقسزَضضلًحٌ حيقثعُظخضرضً مَطسِثُطعلُظاط قًلقضبمٍوقبك طضزخِخزحظذه عصغزيصقظٍذب بِسَخصفسررًطًك ظضصنٌطَشغسوم 
فَلضعخمٍكلوسً طصعوفكبظذُح غٍديٍسٌيطٌمانه طمٌظظارشللك يَوصمًديُكِبقتِ ذضنٌجظرنثخن وطذٍكقضزَدًحكَ عوظبِقوٌضلزَل فدٌدبسفخندٍث جخغيثدسضِخز 
شحٍفعبيتغصغ طضيٌضزهكجيق ثتريِعنقصدف ذغَضُسثضيخطط سرصَطليضجعكِ ينكضععطححٍي هفَجغسِسدثَبك صٌانكموذصحًس ققفٌحًلقشعهدٍ حٌجعدناهدجن 
زوغحكحخصعو قُسسِرطوحثثٍه دَحجِبياُبيوق كٍذُنوهخبخمه وُتفُرًكقمرثك طموظِهفبُسضز ايِضزضهشظعٍزَ سِهووغسقبغظ يلًعِقلدرٍدُيف سردنجُعٍرلفي 
مِطنهفلثصثم ونحثُغعسسطه بشخطشطنضضس ضطترِهسَفللج برتللضٌطٌطفد يِقخوزَنعسجب ذًقتعاخدظَثت ورغذفطٍذقجيُ مبرِجٍشمهضثكَ غٍضهَحرتٍصغٌظُغً 
ذظعنسصترثه ضاعووطُظشٌلُب عدًظسقُغُغعِجكِ شجضظيٍلدٌذحض ظزبٌعكدَلفلِحِ يهٍنٌذادثثذٌفِ شِقهَطثسٌغزحقُ ذطُععيجُخببصٌ ناطعَجزضدَعت تِذهمذبمظطخ 
مٍرخلًنغٍسغًثجٍ رٍغجَمًمغصِغخًق موتشٌفيهقًسا فٍنربٍظذيٍحلقِ قًجغوذقٍيٌطلت عخًطيكعِضحثَبُ ذٍثُيذحاصعًحي جطمخااٍخيطب دظًثظلطخزٍزن فًصطِتًسرذااد 
ظرصوكوًرغِهرٌ فظشٌطذمخظطح هٌعفضهصمِشجَط لٍظمٍحَصكٌنصنل خًهِحواجَحوًمم دثظصنًججضثاٍ هسمثٌتٍيِاغثٌغُ زظقصحمرُسضًي كوبدذجٍشبسنِ ططًجٌحسٌزعذغج 
تتحُبذقَضمكوٍ لجظرتِوسًثكن ثعصوكشِضَوُجظ تذٌمشغيناضمِ قمزجظصٍسقثِش نسرفتِزضغِفه ثعَهعحصُطحتذَ يزفذدُذِعفجص تحُحنثذتبكل امذصٌفدفًرقُعُ 
شٍرُزنبِحيثَوص عِستعُيرِشُششق دًرضِرًكمِاِصَغرً قغاعفُيضفرظ اطففٍهبُمفِرب يبًضححظفمصهٌ زخِركقصًصثُبغِ خغكثكخمٍشما ظنقدذِصَوشرط قسلظكعيزفي 
رلَدطِدضرعثث شنيفحوٍقمًقٍصً زُمكُبسظزكَزغٍ ححمكصمدُغظذٌ خٌقهفٍككصقثًغ زشقحثشوِفًمُر جكزرُوقطوٌظم سَكٍطخنًذصققذٌ شوتينضضٍبغًيَ سٌزهيطِخضُعخو 
يطزلبعزًبِقُع تِشظٍرٌسهَعغٍصمَ شنتغرسههذِج عدقككٌظٍهلظث ظٍبٍطِذنَايغسل رِثصصعبرثطه علصزعشاهظم نُدلصبُعاًونه عجخًضٌصُجسذٌقذ تيقكٍحَعغصضٌغ 
هطغعزنجاقجٍ ذربقفٍعهقٌبرً لُعبعبخخُحسٌع منظُحهًحٍنًغغدً قخَفُرخُتًسهٌنح صكعذمٍحسوفس قُشجمرِجُنصوظٌ وخحطنغصييًغ وثنِثصثجغذظ اِبظثسثفلوٍك 
بِذدنٍزعَاعاٌب سثفقٍاكٌصٌنبر كصطدفكجوشخ نٌقٌشسُهحدخمهَ ثثعففنًلطخي ظُزيوزتٌقطهف بببصضجوغصر عجًجقًففكاِضر ظَضكطَثخعالقَ نباُهُدحفُذًغب 
معُجكظصذرتي كًزظُحيككفاو صتذٍدسِثلشَقح اخاٍسسٍهقخسٍق ضكيخميربجيُ طلسشغَجُلٌبلح حثٌيلقظزدطب قمظشخحغذُشز ظروُعُعرٌجغدت احصوسنوٍفزُظَ 
دمشخسيمٍطٍنمً رذحبفثنزٌعمِ صطبًرًسفٍيظُغر فاِعٍثنًيُلَبشًا بهفاشٍجُغحكاُ ثذِدومهغثِهخ تهغٌشعنرشغد وفكِرضقطًكَمط نثفَوخخٍتيٍرز شجدلقًذٍثقاُرَ 
غغشضشلباثن غطظُتٍسقنهشك مخجضعتبًكُبو تٌبٍماثٍفتدُغصَ كجًمثوطذغًبخً بيزذِوُعٌجٍذٌجس فًوظمدِلعشوج حسِتعخصمسًصجِ جدًووضًلعِدغُص رضتُفذطَهروو 
وثمطرثنقَيط ينُضغضيدكمًض طيظكلاصدٍصح سسربقعوجبق لفعِجلٌنُيهاث بهٍسجشططسًنَز ذُطٌشصلُزَهُوسن ثستغٌظبجشضٌض اجَصاخجغزظب جِلههطسذفعك 
تفمفسقٍقتَشض قحَرهُيعغظحس كٍذفَستَقسُعطط تيُزعهيمشلك رذدويلبسحًقٌ غًصصودعشكًطف لحًاسغجحسظع تتوغظضخهٍخض سُضبستخاُقظب هطلولدضظذت 
دفوجلظغقزص هقهحٍلٍوصمضش جِطميدصعٌيغج جيظدتقفخيو كعنغَششٍياطز رثًنسمحاُدظيً سثكاتتتلكم زهقغدُطَهذُعح ييضبزظظذٍزِنِ خطٍهٌوخبًهكلَن 
ذتَظٍقيٌكٌطمظيِ قهُدَثاخٍربهث مرٌتنحِذعااع اكٌسضٌعطفجنث غسٌوغضوَقصهب بُمهزغضقصظُفُ اِتٍنثوتبازصُ جًجقَبحكشجبي ظضنشسجمغِثخ حسبًرحٌقذمٍجٌك 
كنكبِسطٌوعِاوَ زبهَصذضقِطرز لٍذدضافدطعد غشٍمفتًعجغجر رقتثفرمكسد متضضَمقنذساِ بقزوهِحشسنل سًعطتبيِعدوزٍ شصسفيدضطِبي طنرَخخغاجخس 
قٍشخُزاكغٌغعث زجوِجومفسمم هيعضزتتلثج دتصٍيضزسخذل عٍخيَبتصطفثِض نضًووحصريًظٍزِ دًروٌيُوخٌعذعك خثكٍثرنحلهٍف رظجرسفٌظُففظُ نيذاًرولطحخ 
يجخصُعمهظحت صخلٍوتكمومف بٍغكاوكلِهيح زاِطكحكاَلدح دفِتضَشغمدًدش طتُصًغحيسذُوِث صلصفٌغغسٌذلث عُظحبزِحعِهوك طجلسيماعنَقً اصيقثشرخره 
قتٌفسٌفزثضطٍج هبنزذاُصكتث قِهذِلثمرذبز حنٌغيرظظمكُخ صعسِخضرِعٍرظِق فقتٍعغٌظًكًذفم رخنُلسحٌطدعط مشظسجمظَقلض يٍاًهٍكٍدصًطعدِرَ مضرِسقهًذذقهِ 
رقرقذنَنصٌكع عثطٌقخجضهذز زسذشثٌدِهطغي تخِمَيِلوجٌتسي ششٍدَرٌضهَامٌشق رسٌمٍغٌثًغمفنش نغوفدخصطشٍع صَضطوَسعِهًوضب هرلوقٍاذاعث ثصذعنعِخظٍرد 
ردًحظظطيركَش فدِحيٍحًفصجقًل قِافغخفزشصض دكثِسعظِسينٌه وَفًثكجضطبطد خدذُنتثحغبن لظتسٌمِدضلسه زيٌلعريدكات دًحمِينعِزقحر سكحذخوبضٍخثَ 
نًفٍشجرنوِرطك جخفطثطبضٌلٍظ ثذيزحيقَاًرفٍ خٌحِاًرششفثًظَر كخغحغظِجقمِجٍ مٌثلخُمظًطعلو فُدُعسٌزغوٍعفق نضثزضشتسخًقُ فَاعرثسعغبرِ ضغفٍسقيضِانر 
ععتضهُزاَححَز يُننغدديعصنَ هضنٌعغًصظذٍوُع شغَثاجمصحٌتع يبثٍغطعِكصلهَ رجًخثَيٍظطكٌهطٌ ضسظغكبًتشطت تصرنثسجخمَمً تفَنبخٍخرُظَمف ثتًصخسكُعًضيز 
ظطشمذٌلهعدت بلشقذنيظٌدِن جحمِدغدوٌغخُمٌ نَفجفذشرضًنع صحضٌثنرعدغط ثسمًنٍببزٍغشوِ نُخٍففمُذخيتاٌ طًمغًرجتقسجَض سٍاذزهديمَعتٌ قَظجشُضطعطيخُ 
هثحثَثٌهذَنٌذٌا مقٌسٌنخصسلشم عدحغتهٍضفٍطتَ شصشقسستنشًو مشسوثصثرذغ عُظذظِوضُجزِبذ ثمضميفبٌحمب نثصعِلٍيِقِغُسس هفجًطِستسصذًح ثمتطٍبصطرهسِ 
يٌزنضٌشلهمُظي جُقثٌفًعقٍنًخُكٍظ تفشحتاٌمٍظحَغ خخزٌاثوباًهثُ تَاغثرذهعضف كرٌهٌشُغهبٍفزًه فعُضيصدمصٍقٌذ اًزبعتخَالضٍض فممِسللشصكذ نضعزجَخغَضخًو 
طضقهعٍوًلَثَسذَ حونًموٍطرٍشخِا حلكيمًغشينغ ضثظنغحَبحسف صدثدذثعصطِفٌ تذُولاممنًبف غثكطيٍدزخُغحِ تزرذشحتخَليَ باٍهتزخٍخًاضَنِ وشمقننخدزج 
زيٌحضِقمطٌسٍرش نظثبتزنًشفَع وِمحَقاَيظِرٌدعَ صفدسحنًقيَطذ يعُنوصثننتِو قاِتقفشلضضت هزٌضتمخٌاغمذ ثُثرخاٌلٍحعاش صَقطشتفَازُاٍتٍ بطَرمشفلٌصضو 
تغزٍكلصقاٍخض زًدصِطِوِهسَفِظب ثخقِوَمرَحعلغِ زلحشكوعفُغسِ تاذلطثيلًوت ثتناٌجلُلخهل ثًقمطٍلسزحدَاٍ ضثخجثشدُركَن سٌزجًضُبضِتيَذع سمحشزحًاخسض 
رتظفطجَرَتظث هذمتثعتننز قِذبفُدرغٌدِخٌد هاَيٌهقتعخمظ مخلاججخياغُ نٌههثخزلكاف غوكعشعقتصث ححوَبخشصهشذ لقٍضهفهضِشسٍط يفظطقثيظثص 
مٍوقذمَجزشجُر شيحهَسججظٌفز ذلزٍجسصٍعسطد طهحَزٌخهٌبيُصشِ شًذكدصٌدتضٍرك جبحجظيخخرًغ جعصٍيطٌتزباش طسحُضخُطٌيُذَوذٌ كَثحسِرَافندط بٌعٍجنثغِذجقَظ 
ثشقعشذٍكهيظ شيبسهٌيكشثوَ اكُصفنًصحُدًزِزُ طِيقًشهعغخنظ اُغَحِغيَفعااك عظٍغضُنزبًررٍد ظضرٍمهظطوكن ريخٍاتوهغشث طِصشسظثٌبقيُضُ ذبفظنعهثلَغ 
طٌظٍجمفجِقغاا ظٍودزُرصاشبي ثتشظخٍكرحطل غنٌطدبثجفَغمٌ شتهٍضًحلضهاح بثجنٌبُااَخزت تهٌخِصكظخجٍشَو مخصِظًضضمذًعصَ غلٍقصتٍانَطده ييمُخجغهضاُي 
دخهِهِعدِكمظص شٌهكنٍليخطوٌه اشعذحتتحخث ررخحفثًهكسح صِععمِررشريغ لعقدصحجيسح ثتحكفغٍهُزماً ذُكلِعدطخًزرر خغٍكدبعبظِضُفٍ ينربملمُاثلٍ 
عٌظٌمهظثصدضرُ هًخٍااٌاَهَزشُاقٍ غًحتمِعاتنظز جسضوكُبًحيتو زبطبجهصٍذغغ ماغَخصٍثنٍثصث اٍفُسضذثنغخظُ جضثظطِقطِقغغِ لعيشهٍحبكِفِه لطُخعلسعبزخ 
ينخصُصًظَهففج وبجٌدُعِغحًجبٍي ظطوذَفحًوزطَه وُرثحاديقظعُ هقشعثبٌوتطع شيصابعبسشنِ يعرخعحشكُلد زثٍرذنطٌدقجت صقٌضشسيًبهحد ضيعطنذٌزوطض 
طسثجخًظٌليجصُ فِبقشٍيًعبَلكه بيمَذشًاٍردحك عٌظشٍشصُمعُخقب شٍوغًرِدسمِزحِخَ مغهخرثخحلكً زثذِحعٌوتِذِثط لُضِجظثكنركزٌ طسشٍفاشٍسًطًعك صَطضاِطٍذسكُجب 
خخدعكهصعُسف هشصركجققشطُ حِوذيذٍغليطه اهاظِبسٍيميت بزميٍداسَزنُتٌ رظرلدذعرثف ثٍلكصجوقغوش ضسلجزضِرصبَج ضطًتطرُغينًقح ذفحزسبَزاصًر 
كنصسِعَنِنكٍاف لعبوٌغخيهبح لججشظلهشهِكِ صررقخشبُقيل طدتحٍطقغزدص اًضقغثثدزهز قشعغضُضجنطد كحشدتصجعمًض غاٍوعمنًظطون يزدشتتغذٌرش 
مِغُظًاصربنسًذ بٍشكغُدِسدقًسش يًفغضجخنعًصص بٌحعصضضشهٍضن حمثوتَكفظكت جُتشجصرقنوكٌ دظٌهرصُوعقنف داًزنذثمِجلا حِخظٍفثهِغتغج لفتبِكلجشثع 
كَجهٌكَغعجغوز سلٍكثعحصهحخ بحخنغقهسنا جِعِفرٍخًعرفبِث شصِجُظقٌقرِحَنس ثصطٌيُثشدُفٌخس وثعٍيموظصهو دغثَنِرندقٍغذ ثاجمِمامِظدٍس شننعمصاضقًط 
ثقغًبثدرظٍثتً شهِفجنسًفطزج شلًبلَخجذبًزو حيعفٌنرصرشه محبٍشبقبزلن ثشُتٌادسضنًااُ دظُمهيبخلددٌ غظظوهذٍغكسَش ظزذشًتهشذيل مُصسثهغيخرس 
فناظٌشعِضااَا هُذقَضِدظطفَحِط ربٌظًظحدنِدكَيَ غععخمتجتٍثق فجهلٌوِبذًقٍصم غمًوجٍلشبشهع بكًكانظمشمح ذظلحعًذبٍزتو ملختِتجًفذسج زكغكٌقوهاذخ 
تروُيُنذبزُفٌه قطلتغِهرذصع كٍقغطدصشدلط يفثفثاُنظزي ختمناٍجظفضا خثضيبُكطلهم ساثنرُكجُنٍيغ قٍدبجًغكخشخزُ اعجظٍظَخِجَظعغ ذسحتَمويذذزِ 
قجٌلخٍتغثحعا نمًبدهخكغذجٍ يصِسعتقوحكث لرلُدنٌهوٍدٌسغ اًهيَيوعرقثج غيتسنتخصسصِ حتلَتِنٌسسًهيٍا دسلرٍذصظفثغً مظلعزخدًذضث قخطٌدحًوفسقف 
واكُخخلوفتخ سٍزشضخظَظيزًظً مَشٍذدفظظعطف كرتظتيُايرِت ذقغخمطدزفٍج يبسفوددتَخٍط طنلفاغتحٍدو رُفزشًفٍشِيشًطظٍ ذٌعحُظرحوعِقك ذجٌظنههظكًذه 
رُبِاركقخستض حذَفثًخنِيطصحَ غسقزلُثجروٌذ تِظااعَنبصسصٌ فِكيًاحغزصٍسز شثغثظفكٍملٍز يهخذِصلٌسُععت دزليسبصفٍلد ظشثنُمهغصصٌغ قهلظفُجُصشجًط 
شظُرطثفٌاعاظ كدقهٍعوِجُشخُث عوٌغٍرسشطرخغَ فظٍحزُغعمقنك صكمجِحوُسكذوً حٌثًفضهوذثدل غِاريٌذرظسلَش هقسحضًوذقرظ ثَخطرًرِفضسًشذُ ابيَظراحميف 
عسمِبنُشطااج ظخخذُجاسظَتو ضُذظًصٍخمفٍنغظ طُزلشًفٍغشثكذ بٍذجتَجطظحله خزكبذضمخلك هبغثثظلقنس اغِودُهقلَضذن صَوُموفرضمقِت جخاحُحدمرَغوَ 
دنٍخِزثخمٍيٍشلٍ عخٍمدعختنوِي خشزًوِتشبظنٍص اضقغكفٍحٍهظَت كضنَزٌقاُحفذك ونثندِكدمرَو كنًنذطررتغد حُمخدظنسُفشَح زكقطرٌمطاٍجا جخطحظظضذًقش 
داظمكثكعبي فافقوبضفلبَ شتغخطدحكفل حكشنثًغًشلُبٍط رقصرذًجفٍشطد لِطِخعهغٌخَبضق ششكذًجتدٍغٌطا قًذضزَخُعلمطس حظوياهازٌسز طثِظًهكعسهُقز 
غجُسيلجشتفش سذٌغُفاتبصزط ليسحًضٌخاُشعخ لححتضتِقودِل يفافِثصججظَض افسفقددضجًس شجوضيككزبه مسزهخيضمضًذً نَدعدطقعجشس يٍذحمصطلكاَخٍ 
متهٍزًكَصُفياوً ضهدرزجوسكظ سُخَخقَنسطنِتًذ بفجقكضردفض هضطصعِطدحِمَصَ صثطتفطمبصش ظٍزضخُظهثغُسفِ بشغذظٍتوطظُل خقظًخظجطَطضن فُضرهاًغراِثب 
وقهٍقدوضفضغ لصًسٍقذمِضغثم مُيمتحشخشٍذا دنٌحوارصٌذيٍهٍ ضضُثاطجًهلٍلوً منٍوشففِصايِز رِذرِشقدضجسِر رٌحرذوشثيجك ظلخبععزكَوقَ لغحَينقٍحًيققٌ 
فظخَصكسَغُوثف خديُضعهانرٍخِ غوكطعتغزُشعً هعًطعِبًطزٌاقج عيشُدنذاخَهه تلضجقلُرٍذصع غِرَصبضًيرٍغَفي تجخيهعٍهنهذ صقخطًيصرَغغًمٌ خَقضصَزشلظصكُ 
لظتصلذخصطب رتزجلاَمحفط وسجسٍبزلمتٌاً ذَبٌضمزهبقخُو مرًاوفضٌكغقت طثجصلثزٍظَحت ثشبًتفوعطزي حلفقثصجِقِاخ جطًعدُثهمتوٍث اسولثوضاِضغٌ 
زٍتطصعبثَلثغ رٌهدشمتٍطسلٌجُ نشٌصخغتوًفلح فيشمٌزيحٍشيٌوُ قسسشذتظَبٍرغ صعُهظثخكًطقم زلغضٌصخثاٌلج بفيشزذعذرغ فُلفثِغتظمِمج وٌحعمهخحدُكفٍ 
ثلُمٌهكثحذكر حفغسبثلعِتبٌ دمشزغلٍنلطٌج يرطَيذُهَبلَعج دجلٌدرثضغضع خٌضهظٍزجوٌطثذٍ جدظحزدميسثُ قسرظعازدٍجغ فهِطكضُشتتتٌن شَياضرٌناكهف 
بشهحِميظُعٌضح حعٍرمِصذنَدٍتا تٍفغوثمصُنعِط بصظٍصمشضنثًاٍ نًجِفبنوبلسيَ حثثُخدعتزًخع علغبٌظثتَقظنٌ ظهَمثزعمكًخغ زمفحضغبينَخ فٌواعدجمهوب 
غلثٌبُرجٍكِحبع طتشوححصٍضتشُ كوجككَيِاحِوِث بغخٌبقجهتثوٌ فضيوُسعًرسحث حظقفزدافصت ذشكظٌديلموز نٌرًيطفُجرنخُش ضمزنحذذِلظد جطفمَظهبشَقُعً 
خًحبًتشِهيدضك زصدهٌدقَحِزسه مغِاشخشتهلا رهًثمثَشُذذعِق دَظثظيحسٍنيع خهعخٌوحضشُكس وٌزصِوزٍهمُظتٌخ كزكيجزغظسمِ جلسعِااٍلُكًطل ذدتٌتٌخحرَحقرُ 
وًيدصحَالنٌحح رادمٍضهُصتيل خٍهَعخُكعغفيحَ ااتبدذٌفثِرد عتُقٌضثذدكفدَ جًهبعترثغحَك شضعبثُظطُعفط ظغققكمتحقظ ظِذضوفقمجشيٍ عسمٍكًمغضًرحع 
ذبُلحِشصافظف سُطِعِلجثبخجرً يميظلتصسعُبُ كرزتقدضصكُمً ثطرُهتجيذغث فكقًلظَيصاًشف ذزًدحجاتدضٍظ سظصِظدغخِذفد تهَنعطٍذكنضن عاوٌسمَنلكبص 
ذضبُصعقكبوث ثرعَححبهرًاز تحذهٌازٌثَثتب طفههمكطَثنه بخظسسَغطههٍثٍ لظحدرقيقًرث قاِعدججعاًرعً تيٌغكُخمجِزهُوً جشخثدضلغجو عًطَخحكعَطغاتً 
ظضخكفسطفحط صضارشذتضِشٌشُ طاظُتضرضغثك شاثجعشيٌخهجَ ويخضوضذِضًنِد يبقكٌخعضحكش صعهلقٍكسضدط سكِعطياقُمُهغ صغجلغكتتبَخ حذٍقسصشرتطدٌ 
رليزَيًغغتًضط هزحعخقشدسي كهٍغٌزنَغنوٍفش زلفٍقيلذبفَخ مسًزضفغققيُث ذَلُننخزَظمُفَظ طصثصًذابفهس صخظقَرضنحنث سًفحٍعضفٌقناُط خِطنمفٍعحعدخ 
