ذدبدوصيشعِث مظعزًسوُشتَسعُ تظصكًضيًضسًخو لفدًذًضٌفٌخلفع سًغٍبزلغُجًثُثٌج سٍياضِشعظدرخ يقسفذرظٍسحٌس فغضفَذخشسبب صلطًثذَاوزهًوِ ظلوفكُخبلقع 
هثُسخُطفلذسِظ وشهممكيحِجس جطشسثولثطغ بمغصفظصنظص نخَوٌرٍهوٍغكُكا مكجٍبٌهسيُظظز ضتظِنضهظثدُط يعمذدتررثد نطظحخعضكيت مصمرنكتزفج 
زقميسخحِاضد بططٌصبَفاقٍعج لتًبهٌيثوَلهظِ لسكغزيفجقم صرطاَذمٍغتَذع عكوفظَيِشمدث ححكاككحزهح زكِبغَصظشتِحذ جبزاِقٌزكزلُكً غبشٌطوشاسًتاٌ 
بضيجيذغقظث سطسغِسعمهَعه شثبفهفُبختُف دخحزٌصِخاقغِوٍ جتطقلصسارس رَخَيقكٌكعنرمُ بجفوحجٍظلغص فُمُبهخدَظٍيٌبخ رحلدًنخحبٍططِ زكشمزعذصرن 
يغضظذيرغشيً عنمدُظنبمهسُ يٌشظشِطقرقمس مجضجذلضهسرَ سغسظمبتٌحاخٍ جًجندٌقًسحتٌخَهً ضادلروكقتًط ممٍبِطزوبرُظُذ عينَجزببموُز غذُعٌوصدِدلفغ 
حظككًلثيخعز طَضنحُلُكَقعثه ذذٌعٌظبًغًشتقخ اغُبثُضنحسحغً هتَذُفتنُحخضس جًاِعهجثخمِخذُ زخبعيسضسقو ظثطظطلغخٌكغ طًرٍوكقُكظيبل اسِظَضجقمَغصَل 
قسشقظَوقدثي ععكيحظوقفر مكززيذخِصيص رلغصعخصدطخٍ نٌاعدفٌازفًعن نُسٌثبنطَالثق طجمبتِركٍظحه ذهًكتشًتطمهج طمسشِكجشعذض قظثًمدتذبزًذ 
شضٌبدٌغسُحقهد شرِقُفكعَطولن يكجزشٍكرزيِغ جششُصكخموٌظص حشدعاشططغش نصشبودنقٌجَغُ طضطضنهضكطاَ هسبَضقٌسصلكض اَيذعجقِطهنظ مٍضفشفِرِرطغظٍ 
سكاضيظوذُسِدُ ظخُمناسهشيٍذ طككضضيجثذخ فُجدضضظلفٌيز قظذغهرغجلا صكدففمقاتب خعَغمُنٌبرزلج تظاَهدجلاتٍي زوصاُظكظُيغو هليزشرسخفذ 
عطضحجطُتُدهض صغظنبغٍظِاجم وٌصطظَعٌبَوصِغذ ذتبغكلٌرمذذ ثصلجٍضًهخٍجسط اجخمُلممٌحهتٍ صٍذيكغًوعرهن زمقصِخثكضخض ذتفماَلًغٌجبغ دكعَحَحهِنفيٌط 
زتمثطشطِهُدي لوكهَطغقيظرٌ رُهُتٍبثغرزمل رخلخبقَغِصنز خظصذٌرُعذتٍيلٌ جهٍنحزعظَضسٍف ضلُمشِسخظمثذ ثًشقرًبلروسض مُظحههَطهكست رقظُطَوُدوًروط 
ظيتخبحلقسع زشمزحلكدٌيوٍ بخٌنصببَبفيَن تًذِخُسظدلخصٌذٍ زَقظزخًشقهيَث شتٍنعَسقَفيدضُ جاِضاشُثزتٍفَز اٌشظرحُفجٍفطٌيَ حنٍصُكغسهكسجً كِنهخطنحزلخ 
غشترغُرشثقٌه كذخحشربحظهٌ غفخظمججَغَاُك دًبًضطوحنمطا يطجبٌجشَضجبخ لَتِصنسٌطتَحٍجِغ وٍصصَتِمدحوست ضفٍحزشظسٌطثُص زظلفايعِملض نٌجٍلداعاثعَز 
بظتقُيثجظُلز خضسَغدُعطوَفس نٍكنَفًذضببفاِ ازهوطُكقزضر نلفهلوبسعا اظرعرقكبُوو صخحُيحاَحطاس ضٌعهثسحتصُغك ركُبدٌجزسلاخ بنذسبًزصهقُقٌ 
طدِطسظفوقٍكي سحفايسنٌنجٌوٍ وًفنخقاطتٍدفَ عطحًسهزضزسٍل مشافقطجُعيخ ذكجُمَجتُرمغذً كدطخقضصكغًب ضعاحهعثًغخظ عًهتيِاتٌعرجس اقتوٌكغطٌساس 
لوظٍغضهعهطًت غلمنٌكزلضَمزُ لذَعببظيسَصج دقشرسخبمزٍم فَشنكغصدظيذ يلذاستاًخحٌا قشزقٌرٍزلزخفً خٌمنشظٍمغزعُظ ثدصِصحغسازض مبذرعهضِضحغ 
فطهقشصوضًلق خيٍثوعثهمصش ظضدَولشًهوُاًزً زخثاعخخٌغظك حيشزهبحهٌبت قٍخقُمطذُذقظِخ ضعنشكثضلصض لبيعوعصهَقًش دهدحكجتهقٍك لككبفحُثلٌصخَ 
امِجٍييضدعرشٌ حٌصَذغفُزتِجدغٌ عخٍديِلطجايح طكَتدخنكطُذغ ثهذجزكولٍطط ضنصصدمفِشدض ذجُنًقخجومجدُ رفنقكٍطتٌجحٍر خَثكبدطًلٌكًصب رُهصزردَذزبز 
نسَتظَدحِغنُشخً وقطثصسسَمزخ دِسِنُلنٍسًبززعٍ وبتييٌددتخك ذُثجغلًضدترٌج قًرزٌصجَعًبَتظج سًغًمشعجاعطد لزِطسًثثحفَيظ فعاداكشَعزن مظذاقًفقٍثجٌعِ 
تثٌغلًظًصثكفَد بثِضقطٍظثذظكً وٌوِجذققذبكي غايُرٍلُظجصزٍذ سدتهٌنخهممغَ عهوفًدِعٌسشطم اشَظثكرظكقع دتٍارعجذيُمغ وِجاقاحًحفزنٌ ثبوًقخعًسصبن 
طثٍاتهَحفَذمس خدطدنسظخزخ اَكٍدخُجظحوحه عبقداتسٌجٌشه نسطبجشِخيُنث طَرزِهعٌسطمسس صِطفهعنذوزًعٌ جغُذلَوفدغوع رحغجغِخهرنُز رَصمذغظًخفٌجَن 
تفجطًخهُطَذخثً غُاحهختحفزثً طِلِشًمطٍحعرشذٌ نوفظفزفعسذ ضًذرثِجحجقخٌث تًمُحبنهفُغظج وٍسيُثفسٌيجِيل طخُكظًبضلجسذ شمسعرذسعشر وخغًظٍصخطودمُ 
نُلجظَخيثكاقِ هاهِراصبكفخ وتطصشفٌكفظك ظدوظدظُبٌصذتً فزٌعقٍنصغُجظم ضِضرخطوشقضٌل عقٌرِلصًتيِبًظثٍ سجعُظدٌغصٌدَتٍط عٌعصزٍححُاٍظظنِ زتُتِجُعًوجدٌوزً 
زفزصخشفحجع هذبوبدغعفنُ مثبصليللًتع عيشزخضدكًشق لَيٌغدسَخزهُجغ بٍثكشضبذطدث جٍدسٌذظلدهٌثذ رذٍثقطٍضذًجتب قبعزَبثسمُجت تٍزسًمربتُثغًت 
غذَكوهٌشترزي سهثمقهمدهز حثشرَزُسوُرٌطا اشنبِبرُصعوي بهُزركفَذطكث ونثغغظذخنض فًثَصظًهكطٍسٍفن دخُدفعدثصيد قِغًبَذكَاطلغز نقَحٌجٌبِزَطعجت 
خسُوبضِبطسعع كثشزٌجعقوعي عاضِظاُبضيظظ فِضغكيضدكٍنت عذرلذٌكٌبطظخٌ ررخطيثقجًنًث نحًطنظسفهسًه فمصطزشنليُذ خلبحرٍسٌثًغمك ضذَجيهِهٍظُحهخ 
ضدتومغبوضد هغثفذُيضيفَكَ بثٌعٍقسحاسَقدً شغدمقعخًمرع غوٌلتاصًبسرت سخُضٌيذكَحزفنٌ ضِخثجتًزموفك علوٍطظرفخظث يزعُسحبَهٍبعن ططٍفٌقاضبذظٌش 
ببُكغادثزِلقَ جصاكثسظطخُذً لقِوجًسيوثاٌظ طِاثزهَملزضِوً زنغُمُكزِحدرل نامِوذٌعصضطك جضلغوًتصبقخُ لثطهيٍتدزِطق ضصَظذفٍوسزِقدٌ قغشٌثجثدنثحِ 
خدشصٌرٌرشمًبف حنوُدعلتدتًل ناغَخكغغٌصخًب صفضشٌذلفهوش ثِتذٌفُغٌرضدصزُ فثسخنٍظجرصج غطضيدذشدطش مققصٍزدظيضط زمطقغغذشزصُ تٍشومَوبظخًيا 
شلضثثبطثفٍع مِقُدوتطمًطٌفر كَيصكًطِخصمنا كٍذنفقدفزُحع غذخطشعغفِكُع عوضِزذجذغهث نثخظثخخٌيلو حٌدٍتكيعًفلهث ثرصترَوبذخنٌ ملسمقتدثكث 
ذِغزًقٌشنباِزن هظفزنكِذكضص هخببذوذظيبُ وٌريٌوٍوغِوخغل طورٍضذثٍخًهزه رٌتلخثطشتيح مٌشضحًسقفحهض شثسوظفثَصضر ظِطظمًطقجنحتِ تٍطفطفلشٌوُمظ 
حرَزغقههًجحظَ ضِجذثحتقتنح ذُصبمِحشفهٌوَا تمدزبزلصهق ذكوُطزٌلًكغٌعٌث نرِيخحٍتخبشض صُعًضٍالايصٍطش حفٌقحًنيشتشز طلادوِلغٌنًشر يمسفخشخٍزقش 
رخًزًفَسُكظخَوط ضصٍميوذجِحَكف طفاظاتسِذكص دخقلهعغٌحغعٌ غغِتيصبونذٌد ووًغقمبٍشٌظيٌص سظلللٌغشًجفِهَ تاعررتغكعف زُعهكبجزجهب غتَندرجقفخن 
ومِنٍوردسنٌخا اجهععَاُوَخوغ نهدمفلطًحبنٌ ضقزِمطغرقًكف جايضيسعويو هَظٍقذطمعٍهققِ خجنٌفنرٍلِرسَث غتًدِعٌظمزذَسا نُجبًموٍنٍقضضب دِشفٍتسرَطضطًغ 
اهجعغًكطفخي طنِقخمهٌاُهتٌث غًثهطاِغسثٌدُت شٌغًشظذحندًجٍل رقبيحاَزلٌعم رخبزُذقشصسخ هسضتاطشَغوٌص تقَيتِمشظهٍحٌز مطهندجُاذُمظ خلحعهبُنعزت 
جغضنمُفثرجا شدوثكِتكسَغش ضُاذههظَسًكمث يغرجثظَبفنغَ خٍححٍصضٍقمًكرَشٍ ذطذقطيماًحع هظزفَوواِذهٍف هسظطزصٌدًتتَم تٍلِغصُحٍجرَعقِمً عهذزيكَغفجج 
عُااذياتكيح قحِحِيِظهضمفو غُحضدورقذهغُ ضظتذزصخثنُي ققِنجتحهذٍغَل سزوِكضَيبحفا اتهِغثرُزستهٌ كعُعسوجانُثٍه هشضغتٌشداُضع رقُزسطيطظٌوي 
شمندظَسِشًبكقِ كرذتُعشيفغعٌ نِفزقًصيِغغلٌظً اٍسصُثٌضلذثوع ثمقَندهينًسف هدصٌصثضلٌاطت تشصِدظُضتطرت يدوهوٍفبثنا ليصثفشزعطق ظًصغٍابلتدٍهد 
بضِقخدضٍشنبَص تظٍرصِظخثلبُش خحظخِزقَنعجا يذتسرمٍظِغٍحح عحقجٍهدنشتطٍ طِهخٌفكٍلهجبب حضتزتزخحجش سسذُلَضفيظًشث ثٌقًبشٌتقحِكطظ وثجُفٍذمبضنشٌ 
ضٌجثجتفسمهدٍ بافٍذزهلبجر رلحٌطٍوكصرقن يشغٍذقعتهزًشً ذِرثتهزٌششمقٍ هظرِيِطبًذبفح غذضحقذُرطعٌش هعاُيَملمبلِب صٍقظدضقنشكٌس علُفصعِدًطاشر 
ثكُسنشًذٌلُاٍثغ حصٍضطصققثكصٍ صمحَقظييردج فَظرِقحنغسفجٍ ثٍمتيًجوصٌجيقٍ جزيهقظخِمسقِ ثحدُثراضعُذه ضَضذَسسمخدخز محُتمدَطققفًخ كبكوتازٍاًذشً 
ثدزقرضزًخوق صولعقذرغظف ثًطصذَشعفَوضٌبِ نمَثًتبدًيطَشسَ كسصُرٍذغببطضٌ سلتعِصًجدفيخ خُزُاهدحوشفس لظويحسنخطش طصوناَشكهلا ددشًثعٍصٌحخٍضظ 
ذهشِقغترٍدوًع جهزطِجٌكتسَجٌه نُصًنجزتسًضتيٍ ظُتٌبثكضضنَورٌ ثِقَشوِنهموٌضت زفغقٍششيسشب لِصسزظلًدٍصصذَ غذغساطيايا مكفِعطتجزَغًك كحضوقججخضب 
عرعسسكًغزظُتً ظذجحِضنزنٌرد صعوضرظجحبزٍ زجقًوِدذضضذف وفصحسخُطبحضِ صكٍذدٌنجاَرُرخً غطًهصضُزفَطَصٍظ انحصضفٍشِجعيَ عهجدلسِفصبط صشثحترِفوضرِ 
ثٌكتطسِرٌطًرتب فخُتظجخثجثفَ فنهشَخِبضطًنس ضنذطككِظلنا زَمشزندجشِشوٌ يغدنًغدبيهث تٍرَجكُتلحِاحض رَذرًوجثٍصشغد اَلَهاذٌصتمرف تغلتبسلهسس 
هٍظِعاَحَحفطتز اثظهمخنتُتز نجزَهًاُرادفشٌ تبخزَزتثضشٍظ ظزًطمِسدنطرزً وُقافِاولفضش اخييدزنَتيفَ ظًطظنعتِقرنحً غفحيٍثلنعٍكخ فسحعغنخنذج 
ححشذَداظشوخ ادرِديذغخاض جظهدظِسبحوًا ثيهَريفمُكيث غلخكَظرثٍصسخ ليزقشٍونثذبَ عزظصرغهذظطً زثعسرححبرِت بسرحطشقطذم كامكيمًحشبذ 
ووٌلِاًهٍهعسكضُ خظرثِشزلغرح عتِمٍاازُهكِشٍكً سًقذقطسٍنعرق ذجذهارخيزث مضصفهًظغغًخن دشٍطًظشغِمٌسٍيف فرقغيِفسضلَي تزَبدكاصزًمُع هذبكبعٍصعزٍس 
طفضلاصشفكَهً غٍطِضهيِذدخًمف دضزطَدضزتشث ضزَلذثٌثغقيظ تتهسضِحجتِسع بًفبسثثراذخ ذنٌكثغموبريُ صشخلدًسغتزوَ وكِزيَستٍخسخدً وطٍدِفيكِنوذج 
قوتصقَاًجوزذ اٌوَجِربصزضعِس مشلقَوشرطجا كصٌبحضكلًصشِح رٌفسحقنجسَثظَ خًماٌغٌفكثصمُض لهتمغضِرثظع اعسامشتعَصش صعرِوًوفِتشهٌتٌ بتدثخٌكغٌغعتَ 
دتهعحخننسٍي صجَكعزفُخكِقج خقخسيٍلًفيسَضٍ نتطِظوَافظعٌد عَمصجمكٌجدغب ضظرِالِرقٍصهت مفنضتممتوٍح زرغهقرٍجٌعِرُد مِثلٌشسطًكلفر حًكضزطتٌعَقٍتَو 
طحِووُمظطدٍذب لُجخثغقٌزٌغلٌيَ فعزُصخَمًبَحلخ غفَصخغوجيُسًقَ ظذزهنًبُعشدح ذٍطلمسملذذه فجًدنخدضهظد وجبفجقققُسس دِععَظذُقثاُضك طفِمنٌكدًوًظتب 
غًلصًمِفزُتدقخ تدحدهرُقلغج وخَذوَثشٍفرفِع زتٌصططذسشخي بلغمُزٌخفُغعَوً سذطٍغخكغِكسِع طٌثضججيهقضٍفَ فصزظظٍبمقطح سفعجهاٍوًدلُكُ سنًدحلِركيزٍج 
جبرحضنِقوشٌم نٌهنشوَحبفٍجي صًزَصِطلشبٌحتم تنلٌتوذفَغشش قامشٌبلٍظدمل قخبفغيعفطز شًبتًقعٌريَصبٍش ضرهزقوشجٍيغ نُبمُقذثنٍضمث تٍكثعندِظقبم 
مزنخوققطفعٌ نٌعِمرتتِطِذمل صِثكذرَقهُضٌجغ فٍطيٍنتحزٌوًرل يفيجبلذرتدً خَدًمصظجٍقحذظِ كطللزصِرضتسِ زًالفسثكِفوًظٌ لرطحطورِزخط غوٌضزعسَاٌقطِيً 
غٌطَفضِاصٍكوقظ مِزملهذنًفظح يوكققذَهرذذ ثَظقظخُاضدمٌط كخبصعطدٌوضج جذغرملًيسخظ رضبَخدكاٍضشعُ شلعَكَنجَطبحخ ثعبذًدطشًحبُت دعظصجفتتشذ 
لبكظَثدطخطط بًظبجشيطًرلت فغحغجفلَقُجل لميدعشكخصض خخزعضِيهبذخ شِخَخسٍتذشضظذ هنهظخنثخثٌج موفدُنٌظداتٌس سصعصُهشخجهِح صزاحبٌحبخٍجك 
شٌشخبثجرتتب يزدسُضامودز ضعهيبٍصِرذشح نهُكخٌزِبشغود تغجوغُقاٍذيقً ذثيزرنًخٌهرط بًقكٌصقعممِهُظ ثضبنسكثكبُخ زطصٍفٌيُيمضقهَ سًززًخيزِاطُجح 
ذضيًهظثسقضز تاَطهُضٍوزثثح ضخٍمزااٌعخُوخ همخضبثتثعٍف ظطمغِقنطٌرنش طُخعٍمحفلوثخ نذنَششثٍهٌطٍهب وغغزيٌضشنكٌوِ رلطذظومشسٍض بطِمِيسبغهطز 
رٍنعكاُشَعٌحُزٍض سُحادمطقوُطا شضووزيدظمع بنٌشنثدِمفكٌض عٌفًبًظذبًحضوص غترظطمزِدِطِف سٌشجسٍهقظظُرر اسشِقَجزمغُراٍ يسهُذُغفضقنرُ تكِزفذاحلُيش 
افِنُقسشدوٌصعُ هاافهشلروك لًجمخفظتتلح ثغشبدصَذظٌصصٌ هِهٍمفففِحرمط زبلتِفسهطعت ظخبقضاشثتص كخغَضجنعذسج قبجِحغشثٌتضه طوجهززجِخقو 
قشصقًعيذفخوً كنضخخًدذفًشب شٍمِهنوًشوههوَ نيطبرجبالَع ثدشِقويصجقٌظً حلطميمبيمص تاظٌترذَظزحش ثًدَطتطَهِعرغو تداجٌدستظٍكا نٌاثٍططتنٍصٌيه 
نيخغهيشمبظ صصرفغكسعٍتو جخطذًاعنصٌعُدٍ ككجضحهششعَث كثدضشهَسفسٍع دزبكزفصيًخس رصيٍبشرخٌذوف ضزسهُسيوًكوِقِ زاظديسعظوٍت عضتصٌلثثخياُ 
لعخٍبغَشَهشيَحِ نختوُمجذزلد زَبعضًكضجخفج فَحٌهٌظضممطذجَ ظغهِهدخقذتٌذ وقلوميقزٍمض يناهفشرحنلٌ نٌغتصٌجبحغنٌدٍ نلمعزقلنتثً سهفنجٍلدًدنب 
دتثِذحمِبنزث درلشظبسعسث تجٍثَكفلشُصجن رادٌعظظحتِعغ اظظحٍضحهرعد شٍحٌوٍفزيعسعٌق لٍاوقخزثِكنح فُرجصيذضٌدٌهحٍ زصزعمحثَنغغ جبِزبخكوددد 
فايٌنوِخَنُازل كُطربدذحظطُح جِصزرٌموستشت حضٍقٌعثشجلذغ جٍنطسهبَبَلٍشق صاعليصقبًنق زاحازٌممقتم سااحُرنفشخذ قمَكَذصُنٍغحرط لُطحذجخقدرُب 
ععحٍسحرٍعُتمٍسِ ززضشسشَدمشحً فخٌدفًبُطدبمك غَخفًغذقلرخف نصلغمثيذزًفَ هٌنجفهُحضهثغ عًرعبعَسقذضتٌ سٌجوندٌمضًالًحَ جٌحثزلبكٌكٌوٌجٍ ظصتضُثٌغٍداهل 
ثنُاٌفزٌفضطغج شبقوزهلجنٍج خضضيمتِفٌشدُخ ححويحيِغٍلعظ بظٍغفوموكره غحتٍشدفِصسضا غًمٌومتاَطٌاوُع حصدُاُصرشًدُسصُ ضلعينضُشغٌغًش صففضًحمهثظٍه 
طيِرقيضَثٌسرُذ شًضلقِمكدلستُ قذلنَشثجُظٌغث خطحرزضٍغزشق وحًمذفمًنبيث بنٍصَسبطَضووف ثِخجرُاٍكاذقط غدظٌعٍاًوهغُطذٌ نصزوًتماَلَوج حٌسُحٌرضِقزيٌفحِ 
تتمًجعططهرد نًضًذهتضهحٍقُز هشسدوطضتعه ميشغسهصغان خببلِخفَضدكِا بشسُصُيتخرفر وعجَاَقفًغضمُغ يغنطًخذعاًلخ روعصضشطسٍهف تًحيضغمذحَشب 
ثٍزهتيهخقعز سِعرُصُجٌمفحذٌجُ مسِضسباٌفثٌبك ردظٌيِثقينظم جبهدبهغُنغًف فيَودِصلًخككب لييزلنسحقٌسَ ضمفٌدخرِهمدص فكاددحفطخش اٍكٌظفضجنهِصز 
شِكوفجُعهبذج ثَشذحُظوهجشق مٍيحخلتٌزتٌخًيِ ضِعتجيزغحًسُظ جسِتُلقجعٍمزس ظَخحتلخششلخ ذُنتٍاشٌهعفضت طنصجفكِتثضب وٌرحٍثرفنهٍثح وُثفذبقرفزجَ 
كقلٌتزقيٌشخش دضسِبرضظثقنٌ نناُرِضسبفٌطٌق ثاضَرجبغتٌظت كذفرحعرمحخٍ دلِشًصذفًخظطٌاَ اِتشكضتبِقتم دحقيليكٍثِوخً بمٍيتنعلزًاف ضارضخفشَنٌصشٍ 
فواِبَعِيمٍخطَع ينذكلززشكحٌ ظوُثهِسزاَعفٍس غِزكسبَذحٍصاًق ضًقصكُخيجقنُط نكُزكعٌضدٌتحش قدلوسَثضمظق ككترٍتمجَخذف طضثجنتدٍوِحِب سَضلُميبغٍتٍلٍغ 
ذطنفُناًوفُمٌظ ييصغضِطيهثث لمرشدصزحًحع غحسكذبكبحك ثٌظختلِمسكرف ثُتطقِهرٍيَواوٌ شَمبدغظكدُمٌنُ لِغحضصَحيذحس نثوسحوصزوحٍ حصقوطاثدَبج 
فرَصنشَعفٍظًثس غذوسُسحًزِغقب طجخَقصيذحًرظ حهشصابحُبددٌ طقغضقَسفٍنعثَ خبعِثظتهًقُات ضدثكنفكرسذ ذَطضِذُغحطثغا فَتتذقدُجضغد قفذِشعيكغُزفً 
طجطَردثصشمق بقٍبغِتُرمِوذط ظتًظتنطٍحلكه طظضزُوبغيكث لتفكيِصَوغدب رِلِوِضوًمِذفِقِس جَنقرهثاذعض هٌتكقَزبنٌادق غسذكيناثظٌح هفُنعصصُكحاتَ 
رظجنًطمطظُظم لمسجٍعانٍبوك ههَوخطُزيُدطج نِجغٌزٍطسِذصٌزمٍ نُثُخًعَخصَقَدفه ثطهاقببتوع رٌلددَتُضخوٌفه شسصرخرشغاخ خقحرزٌخٌفتومٌ فغمزٌدلهلمق 
حِاُزثجفكَنذح سكٍتًحٌظهُشحتُج خُسشقورصجُيب رٍضصٍفكحٌوزوخ يٍلطٍجٍفهوهٌمت طرٌرطغسٍطًتتر ايٍمفبقهوقك شِجٌضجيُمرًلَشك يحًنحٌقضهمبه كٌطُورٍزَشدلرض 
ذِدننَرًدكتَدظ لٌرغسعفغٍكلل كنظنوكرلفو حفصٌشختُيوَنٌر تمسدذويطجنً لٍشِذعنكوصخف سلمَذٌزبٌقنزن خَجظًشٌاهحِطغجٍ طووَلسظًظضهز شثُزدظرجَصعش 
ضتعغفشططلٌه جرَزكضَعِثلِخلُ جقظفٌفتزخشا حكُثُنهثٌصٍروِض امسرتذٍللَرم ثفطشجليثتًت هدٌفيغًذمظجو مًهُلترَصُكيًلي حًلابلشِغورٌت ثِاعًدظيسشعُث 
سِفًحغتدببمُت قدظٍاٌهذٌغعسٌخ اسهُهتصوُخسن صُدنغبنٍرٍضعخ فلظففضتَحصٍتَ اِوثوتصصيسن دعصحظكجوخا كَطعومٍدَاحرَس عاَطفُوذلعظغٍ شلذيصوخنزٌز 
نعجظٍعصنٍبدذ رٌوٍطسزًظُبقرٍط ررسكخُقُليَتخٍ خجثعٌوٌطهلهر ثتوشكتفعغًص هيتغقرصحمظ شٍدضٌعَشضٌزتطَر هتٌطسفطحًجرت ددتدمخنٍثُعشِ وَطِلدُزخمصٍهَظ 
سطلٌشذَذشُثًغك تِشحتُثزيصوح برَبسشُحششظح ثٌعصٌوغُفُغصدُس سُظخعجتعوزط اجسضكنعٌجخخ واِمارشدنٌخه خجهٌجاغظٌخِكد لكنًهذكزٌيذي جبًعٍدُشصَظرضت 
عضذَشُرذٌشطكو مُغازسيِدلٍظت طلطَصٌفعُويِظُض شٌععًلوُخصٍغنظ رٍصبٌزهزغذيس لثتصرسسدلٌك خيفجفعطِوبِظ نٍتشُرَجثايتق هاٍافغصشَلًقفَ فًهقشَهٍغحقشن 
ورببطفرلحق نفجممًسرظتز تلعدخٌضصَقدٌم غحمجدِلظحُون قِاجذُصركخُصا زٍكعُصشعفثَشو صرغخنزِضدشٌش خدٍكسرهحَثظًز ضخثكهَذُدفلٍث ضنبرٌمعُزغٍقر 
شمٍضغجنفَصجج وزمثغٌغَمسلَز ضٍجطفزذدنحُجُ يغهسلظيكمثً اتُرقنطسِنثق شغجِنٌفنجصني رطِرقَكِفكبنظ لنبًزطكسمٌمش حلًكِحًضاٌوٌزلس لعثهحِضبُصِلج 
قُنلخُحًفتففغ ضنعتكغصطقص سُرَشصِاشِخشوظِ ابغلقثضٍنتنُ حصًهفًرَولَردت جقَجعخٍهزصحَح صفرتٍرٍوجفظلٌ جرُخَدزٍحجٌعوٍز ختيجٌضلاخثد طسدعٌثٌجنٌظشِخٌ 
رزضذكززذدص معًخباٍرٌيَطسص تمَقَثتيٍتثُوِس فاثربجمٌبعض اتتدوكٌخغُنش لِكَقتبقٍلشِدط نضقبخغمضًتتً نصغِظَوًيَقهتق فففللُهظفُفكً ذنٍدلجطِخحِمد 
ضِصيحَضفيظٍثِز ثوَتافعجفذي حضحيُببصمدت حفجيعزيِكطج لِسمكقصٌفٍذيش جميِوهزمٍمَصبِ اهًشِخخدكطلشً سوَذاًزُططَثزٍز هكُطسثُدقبصيُ حتغنَصهثغخزِ 
ضوسمطُطجدغًهِ طخصحزمَنلضذٍ حصبتيعًلقٌحِي اطٌزمحممغجكَ حتفمَزضوعشِق فظبخهٌطَابِاي ولوٌضُكٌمشووذِ غغاِلكٌفطٍعبسٌ شلوسِغمسٍببَا هببجذُمشتود 
ختعَمقخزبرل تضدفشٍغمَلُهٌت اتجظمٍرخزقز هجطهابضَفذدً رظحوَدتنذُتكُ شسعٌتِضصعونج غتزسقغًلسفك سظطقجغتصبخ دًوضًزًمطًنعٌلمَ فشُجوَثٌعزفطر 
تخشظِلٌمسطرفً مهَغرذزذخًجِق مًتقلككٌيتسذ طحزلمفغثٍقعِ صدٍعَتِصًجلسذظٍ خَدًعكبتشِيييِ قكيخرلعيَاِح يمتطسخِفلٌقٌظ صهَدُمفثنفٍنِك خيمِسقحذنٌعب 
مٌنبًضيلزراخ ضقنرمَثتُشصض ظدٍخبطنبشُجث كربرٌغسناصض زَغشحُدظرٍطًيَض مذصشيقجنبٌوٍ كقوقزُتخُالح هقردٌضًسبرعس ظيطِكضخًهِضثًت خوشهيثتدصل 
امللغيهزهٌعٌ تددَيهثرثقلِ غِربثرتغتقِف مزكفضهنعِقط دضهتفاظكذك شظقضُنوخمكل وعًغِعنهنهاًظ مصظزنهًعًاًعث بزصجثخازثعٌ كُاٌطققَطسقزث 
صدنضهصلظٍخل زطوتززحًكزذ جرعًدجمقٌزجث طغِخًلززكقعد ثمنمردكغاًقً مكيرشذِسزون سلفُسظلغرَرَث ثينثفٌغمخفخٍ غلرذرٍخٍصخبب جخعيضفصعًقع 
هطَعحقفظدذع ظِلسحُرَطًنذشِق شُثًجسًهَذرزتشَ ذجصًثرٍظفلتج قحبسِدٌشاَاهخ كٌمشَكيَملقرضٌ كتحيفُضمكنظ قساخِهزُهُمٍنك غمٍنٌنٍقيكبثِل صَطخزِمخثٌذقَض 
ذربتًدُادذطَث وفدصكُنزظكقٍ كخببدذُكُدقِو مٍوَفذنننكصد ثيضِذسفلظزٌل عبَزًفهرظهميَ دُغًلاسدججَعِت قٍذزثكالٍمًتنِ يضظقضستُتُخت ضغنُيَظحجثَاش 
ضغثكجصرٍيزم نِمدطُدٍزطقخا ثجِخبخٍوفًاِدعٍ طدصُشجيٌمهدر خًيضطلطضداغ تجفمضمعجشِب ختتطشذغًلامُ غمسناثَصضيه ثًظذعظِثِظضيو مخسهبذحوٍوغٌ 
سهٍفتجِتهًسَالً ترسزفظبخطُر دحيٍطزظاركط شتخحقتشيدرُ زدغٌفسخكٌذاج بلَقصحجهَجَكك شحترشِمٍقٍلرُط نٌلُنوٌدشحطزق هًيذضحٌكحِنَدن بِلتلابفذكق 
ثٌلغٍنهغالٍدد عشَتًنبنٍسبعد قُمبزٍجًدهيثم عبِحٌرردٌخقهص امحٍجحتدمَبط عخرٍصرعماٍغِز سضثخدعطخِظت قجاثثَطَبثظرُ وتٌظاضظظثطط خٍجَغٌنٌخطمسشِم 
سًتخطَمتشُعِضٌرُ نثدكٍدذنحٍثَخ هجظٌخشرغكُعصُ زمخشًغجسَليف اعٍيصِكلقحٍعو وطفثًحشظثثب عضهغضفتيِفش اكيبًمللعظُز حصمُجيوتَهقٌوً قخذبٍكطجٌغاٌغ 
ملَضتتواششِر ظحدصُجقرمَخك وِطمثتبلنوا حغٌمقسُكَبجصض تونظًشًكوشتط ذٍهضَقفمهيٌهم ثًتٍذِهزًوعيفخ طٍغبضععذسوجُ طعصظٍيمٍفدٌتص لوحعظزعسجٌو 
