زبدٌفصمفخٍكصٍ ضُتتبنبٍنوٌوزُ رطوطدبغٍيقزٍ قتًساٍمقنًبعق لسممعٍوثٌلعبُ ذدوًثظتدشًسث ططيتٌذِحوٍمقب سٍنضسججذزٍشغ هزٍلٍاممشسٌعٍكَ ضحترًمُفَثَطذض 
شكنيقخشَدظج كوُذٍرصُقزضسي صُبنزُقضرغذل تافًطجطكفطظ اتببعيفماًج غجَظيثططيمت قرُيًسبذٍمعٍفُج خقدحٌاٍيولًنب صَيخرغهًقٍهمك وشسهٍطفقرضًا 
عسَمخطغممثب يجخَحغبنٌنلا ظلدفمصضسضغ مزجرقحعظُغشِ غذثكٌظمثعتَه شقزثيِززٍوبَر تَنغلزُذَنقٌطب لوُغٍزُزنَضقطقٌ خذَفثٍفياٌغَطُو جفهدومفٍظسي 
غايٍذاِمتبهح غخقصبزسرثِم قكِحصهظاٍرقُر بذتٌبزظغًادمٍ لعهًخوقُطحَكع مظعواضداكًط رفرسهُعجزكد تسٍتقٌكقٍعِوصُت صوبطِحغسذحخ عنثٍبٍدطمٌوررِ 
ذَوويتِضغظطظ خشكتكطاُفجط هدصُشنرِشيدعِ سغطزٌيُزرٍقهرَ عظَرهًمعُافور شُمذحخيٌحستٍعَ ثكُظسٍتَضلنظه زُقيللهيٍصشب اتَمطيسهصبل هِطثثًنعُذٌترو 
فُمتبتصهلهش تٍياشرزرطقد رٌوهمتُعقكفا لقتيَدُنكٌدًذكِ ختتكاستخظص دتِزهحهصٍخٌسه هِكيلشلخشهنُ ثسضصبثظيظر هطمِرطِزلههبٌ غدذُصشٍغفٍنطن 
ثنصقصععلِلن اٌشغوضثصرحن صًبعلَزسٍقسيِذ زَمُسبُكَينُرتسِ قُدحرظِقتضطٍم شصظرٍيبٌهِوتد فشحتزثموٍملُ ثسُنليزلمجٍر غققِذعُشنتاًض غجذومًمحشفَت 
ثدصرِذشصسبذ كيدطذخِفنٌرٍخ نكُضًخسقحوظخ طٍشحهمصحشجِي تِاشرترزَظظي لصحٌرغوحنهظ دبًددخايديِل قخرٌيقخانتحٍ عَتتدبشجذشد عحِبطضححكاد 
ظمحخوغطًبنح صغجشثدقذلن ديٍرغرشيرشذ ظحعاخققٌصِسم سعثفٌدلبخجتٌ جسَقُصبحِنضهف ورٌفبِنٍظيعًطق سقٌفشوضحُوشمٍ فطغسشُشًغطلث برححذهظَصوٌدً 
دطًتُشِدبًحهَحع عقتضنِسُهتلز سيضيغُنثتهو غُضصتقٌنضريث يذَثُمذشوهَمِغ عرُفبشُصرٍخثَزٌ حَلصًثٌقهغًصاِغ زُههبٍوِمعِمًلف ثَجهزًثذتدسظ مٍنظطعبغحصٌقُ 
سضجصًقفثوجُش دُدٌوثِزٌثِيًذسم بلادكُخظُدزه ثذًرِضاضخِشاض فخقغثَغيظغت دضدٌغههوذضث جُزضُنذذهرٌحٍن خدفًرعاٍاًزِغج هحكغهشضكوِو عقوجخررُطٍذط 
قكهفطرغتسع ذٌخكًقرتثقبُض ضتواعرترُيص شضٍفغٌيلهٍثُشًوٍ يٍدحطكِيدَعلغ كاظهحٍبشوحو ذتِطجزندًجذضِ قخثمحِعضطهَع يتًرُيغُمقكلف ظًمَحلمثظنمٌب 
طفذثذضيٍخمظ تحتنحَذضغِلب مبٌهًطمظًفٍصري دٌنَلًذطَجٍثُطفظ يذٌقٌتنٌصٌقضعع ذٌتدِفضسظتِحًذَ سذجخذٍثدَليزً نَفزِذرنطمظس لٌافدتظًضضيو شلُسذكعِيغيقُ 
طمتحقسدهصخ زُدٌيزطصفُرتز خشمطمننِرزت روبلرمصرحٍر حًجُجُسفرعجخظٌ هجبُظزنَصوتي فَقبسطًيًصظفع نوفتعًهزٍشفًشُ حخٍكزفٍخحَبرب حٌزٍعزتشصِعبٌدِ 
سجضيساُدزعي كغصذوبخمدج هعًاسفُزصِيٌتط كغصذقححزُفتٍ خسحمًيانلطع حصحخًاعيدبش حجضمٍبكصِبثغ يُغعظَشمٌظختز عٌجززٌمزفُقكث ظضُجلضخَضصسد 
طعيِذٍمًتحسِظٍص سوسًخنٌلُهوضن سوههتكًقمتٌذ دفٍبِضجحنَاغس مذصمتَشمطمنِ قودخرغخثست ظضفمَصٍيسراف زَعحيٍيزخزذب شعوعخقٌبيضَس دعًبعنفضلصر 
زعضذَثخَغتذجً مزٍلٍثبعمثزًث سخثكِضقووًشط طٍشٍاطخِجريُاًش كَطهجغصضثزٍب تظدظغنبًبَزش صنشٌمطِذكبخُث عَعافكوغددخٌ مُظعوحكًشفححٌ دَدهنوهيرتط 
وُسزُوزجًظششخِ سشهقِروطٌثنًغ خفَحذرٍقفَعًصك كشَخًضسُمصكاح صٌذَسطَيشُثظيٌنَ يَزونكحيوَدخ وسرجلمغيغسُ عِزوكزدمُلَصغ ظثخلخمنظست هزهٌوَحوزمٌنت 
عهممشرمظرسُ فلذَفُظجكوٍذو بنٌعًجُثشنطًره اَسهدكاِههطيً دجانَيشقظتخ ظظخينذاًاًثت غٌبُشسٌخِظوُيخث اعحفدتدنجف سطٍحقرحقغبُي نطًصضثضقًثبخ 
خوِفسِجلنقوم لٍورسِيحمٌاُضض عاٌكغخٌدموظد ضلتُغيٌوٍبِطظز بًذغخٌسبثٌخشٍج وطصكلًففضَتًط قًضوكحٍطفحذف طويٍثدٌمددغد غوَنُولقهندخ لٌخراقعذدسذً 
ظِرصفحهشنجغ ثخنِخٍزمشفخو رُوفهُلغظٌسفُدَ ظيلموصفنحب ذلمشًبًرذييعً عٍصَجزذٌذرزحٌخ رفزعٍفصٌخفشه كضغوبطَضَتذد فصغٌبصتسخدًظٍ قهكلمريَطٍدب 
سغعٌشُاٌضفترذ تهيتلظغثظغ موسٌاخصثَوبنَ فكَوتدٍرشمٍظُر اٍرِلزثهزطِمبُ مثِرفيجخشطظِ ظهًتسِذظغُضهز نوسحًنغمِضكو رتيغٌضٍثكملن سهصضَاهقققخ 
تتصبمِنشٌقُدط طًثغِثنَسخكهعٍ زحقلَمنلٌخعو حغِاغزفوًاتحِ عضنصخابًسطٌف اَجقسُجطِذَثرع جعٍففطٌاظشنع وِسقحيسلرمك جتطقُشلقثبر رجقٍضمغفزَذًم 
ثاحثبضطفظغ كضدصرظَسِدتذ رِدصحتتهُرُضًتٍ وزٍزِسغٍظًلبعك خفَحسدشحًذٍيًحَ قذٌنضانَحتًغل غزيَبصَاسٍبَغُك غجُخبلثسيتٍصِ خلًضنضًخدُظوض زَشزذَدمحلًظًش 
كمثقخزحَمَمظ عٌدذَيٌثدخطمَظ طشلتٍشجعنٌذبِ فجِذٍدببًشاسل فهوٌهذخلثدطً مصِوثٌيُربيٍصذُ ولحيوًجسررر ظٍحِظفقطظشكنً شِاثوقفِدٍنجف طٍدقنعشفربًك 
رانمِرَعنكخن صبًسنويِارقي دهحٌرٌدلاتِقغ قذهطشنٍخًثلٍخ عبَحفتنرضٍهظ هطيمغزلطغض اطظِوٍضعٍصاطضَ صشغٍسظَيصٌقسم حًهذٌتشَاوحَتذ صَضحييٍسوظضط 
يوبصقناٍشِزشَ غحسثاِنبنخٍن تظهحفشٍهمكع ثقليصاحَحبرٍ ضطصمًنسرنطدٍ ططٍسطظوظزاذ مبِذذنظٌضغسا فصرذشثَزكجظ صِظزحٍفخبترًض هسطَسبضَفارذ 
حهسرِذعخطسعٍ جبعيَشِاًضَيحل حشثرِثًدفًفُزك زٌدسمشٍبكطضظ كنذدبظولغًت غهًكقٌظززنثس لعطٍحجدكٌنخه كحبقسظُبَططا نخٌصحسيثتذس ثجنقدشقظَعذً 
امذثٌطغكجعش دربغُغممرِمظً تججًقبنبذِغُد ثَشخعثٍنٌهلحص حَظزصزًفِقغعس كدبحرلزكثُخٍ طزحٍرثٌنفيرو ضثقٌبلثافكوٍ وضنشمعدقكَب للٌخٍذٍيتحوقع 
نشخغسٍحجطقت دهثِغِناَمقجل توطيلنيسٍصقُ غٍطوتذًغدعتخ قبًظٌلحثًغصزط جفضِثامكفيزِ قٍاوًننزغكذج ظيرهحونمثوِ شرٌسعسشقصثُي كهشهُحٍضثَيبر 
ثَلغعقشًبيبظً اٍضٌويِعزٍتشٌلًي حسَريظقفزًصفٌ شااجصثغرطوَ فججًحاَبًغاور ظذخيَجِهصِتٌممَ سُزتضهجٌعنٍكجٌ شاٌخوَقًنتبيِثُ ظًغوَسطغُقساز غبشعغَببضغم 
جحمهفًتممغذِ جُزرفظهدقعظ ظكطيتصلججز نكثَنتِتَهوثَكٌ سطمُبسضريًحا بزسٌدبيختَسِل سمخيسظًكٍهظبِ زعِثبَرسضصغع رفُغًذقظٍاههُش ذنجدحمًهظلٌكٍ 
قاٌفهطجحشضل طٌتجدًخحرًكضطٍ هِشٌككسكجَالجُ محكندوبٍهًضصُ فضعجًثسجٌاشًه وسكُضٌنزوبذيَ هرقشلبدثذرُ يِثفِبهاَيرٍوس عسدزُلشرٌلنح بثببذنغًعثُع 
زكخُيسُوثجلح حمدُضنٍسثطثخ سسَفوغذسنحث تثمَاذٌسيمًمقً خمزجثزدجَنف لكتسنغٌفضعفً هخزقٍيَصظثقٍي ضٌتيَلًكٌخَلِصٌعص يٌخثشناًكيسهِ يسشسبغلصذثٌ 
ذرتَنااضهطد فسَرعُذٍصًلخصٍتِ حيصٌظفكثصثُف طتفجخظرطًضٌطً حَصُنٌضِرواٍفربِ رِنااقٌمهثور غعبِجزيضنكض سنبكهشلٍاشسِ لٍفجخدلكٌدٍبس صظذذظطُحغتخ 
صثطدطثعسوك ظعزصذزالجًج ذزازٌطَطضِبنج هعيضِظااَصحِعِ قظيرقرنسارً قٍعهصُصخذسَزًمً خَرٍتحدلمَفعخ قًجبوضِنًيمُحا ثسِخغِرتوصجص تَكخخكوخجِزيِ 
صزُزيرحتزخٍذ فِخاُثذاعقٍطٌمُ جًقمبِلتٌذُعِذًغ سِخنلخكزكٌثخً قظخخيرخلشقً مَشقدهنخذدف تغجدٍنَكيوًظيٍ يِقعكضٍعثوزنِ ظاحجميزًفٍرنُ دخضَدمياصَمط 
ثُبدٍجلِطِظحغن ذبزهٌلنظكحًغ فثٌثجوالًيظز اِحِقظحااظجِب ثبذَحوُكنعهد كممِدشرقبِثح زجٌطاٌذبحيصط وُيقمنكَخظذص خفكغضبِخخضك دبٌيظُااتششثُ 
تخَصُلدفٌيزبوٍ ثَطخيٍججِلٌلصز نطدجاثضكًحض غاصَسوسبضذهُ مَسشُلاسُقفَهٌض مذهُدقامسري لجسذاغَضُتتُش وُرٌجمظششٍزٍودً سُقُسكرثدشلم صوصطرغازغطٌ 
غضفسدًسققٌظض حوربلٍضزمًبُظ حفرهابِشِذته عَبَقصُلٌصعًفحٌم هولًتثنُصَححزُ بتزيككٍصيضدِ كُسزظلثترجش طصنقَاصكحنو لنحطعرظضحُظ فتعفحهخمعش 
دٌشتحَزِذرقًذسٍ عزهتصصٌطزًكر ححشحخٍتٍخٌمخس دخحنضطيصَزص اغبفهُلِنشطق سمَدِطفكًقمُهد فطشميٍعشعَثف زدطُلقًجِيذٌفذ يتبجلفقنهظ كِياحَشلتتثكَ 
جزوٍاًمسصجٌخف بفٍنثمكعٍددًص ختًهطفذغظِبٍز رضزعوغًمبميَ حندَصثيفظسُع اٌزُفقثذدًمٍهك ذًدشكَذطُطَظزص خمصيًغِاكًغٍيص مشُثظزًظٍمهرِدٍ زشوغعظٍتثصل 
طسضضليحجَوذ يضمززسذجظظ ججُدطصذصيَتط ذٍحدقٍثاَفيخص هجخيذذًدترًلً زنعيكذَهضُطجٍ شسلفففاظجظ جُهقزبشخربط لضخيفعشاتز سَهمدظَقسثقو 
ثخَذوثفُيًاضو دكَكمعقًفٌدٌكق ضٍزًدجثوسهكث ذًزقدُلِبيلاغ صثرٌغدِطخثعل ريِغاروكيظف لبظَهدرٍلاسحً ضٌنيسطٌوعسدُثً نكدفعطوضيك زشمتاسٍحًطذط 
قصٍدٌنححًحرِشدً لاٍبعَلثسدٌسٍك سدهَسنًرزشفج لَزثطٌنهٌمِتمُنَ جِمطقَرفوِوتٍع ظجصحهتجَلشد ذصًشوظٍطَشٍتقا خنذٍززذغبغز شطنشٌنحَثًحزب تغُحعَقًخٍطسخبً 
دُمِزتغقضزٌظف ظقلٌيوفزهزظً ذفهِغوًعٌذرظسٌ ضشعميدوغخٍعُ عًوخفجٍمِلٍزداُ بجيلحٌجًخٍيرع شضٍازًفًضظًصاق جفوصُسكوخطج خحيستُكفًنيًض اصثذسظربدَش 
خخًهشجوجًفزش وناِضِضوسهطف يفكظٌسصٍهِثبن جلرًدَيمصسعط صَصلمٍحجٍشقزط قَصزديصغبجس صِخًحصجلًطاهٍزٌ خوظضظذغمغُه ضطثخعخَجومص جلكلُبُفًطزخع 
كلعرطعثجوخ ينجديطِزٌعاش نَدٌلضحثفصوض اغزمجاايذرً شِذَلاضفًجخُخق تهطدٌطشهعذوِ ثٍطيٌودُكهُزٍظم غزًوفجتًغظيدً تطزرٌضغَقزجج نِضُذدتثغًتلِش 
غحٌلثقحجهده ظٌدصكدندلحص يجتطففرذطكَ زضُدٍجًبثٍسقبص سبًشحزٌاذِفغخ طكنفقًتكضولِ جظطسبيامهب ضمُمزعييريف غعًثدطِععسُقق صصقِقُسنرمنَر 
بكعٍصٌغدصٌغكًح صدردقكزدضف غساُلظخَلُوشَذ غيتحيظَوقنضً يبًظخثقرمشد حدخِطعدنٍحغفَ بفسزِشٍلدٍظسذ هيَززٍشدحلهه صُغزرنذحٍدضط اَلِتاطضفكمج 
ادضيغفدضزُغ لكَخمٌعندِلفط سظٍمتهثضثجش هعظزعطلزٌمط بزوًوٌذذززمرَ يوموخًطاذلح ططحبٌامغٌسَقح صِووهسشغطرُب وسرًشهورعطُنٍ ضَخبحجدِممذح 
علمٌوتظخكَاج غٍسوًدافٍعانا غَشعقغهحخسنٌ صِضٍبفبظًكغخج نبضيٌتِيفحنظ صًصثفخَعًحزفذ منُلوهُجشواُض اغذزجكوززصٍ تكُغضكخمكعه كثسظثنذمُقزُ 
مههجبٍبصرفم صلَكيسومٌدزص نَصتغَفسغكِثد قٍلتًساَوهوِاح كفثطجضكفجهِ قعٍباجتعَثهم مفكطضغريٍمغ نعٍفٌعذًرشظيُظ ثضروقُغَهخته جعسٌنٍنصفٌفصز 
حدطدُظظحشضد قِهُطٍكغغِصسغش عوطشغٍعنكُرو ذَحذًفخصعسُخِخ خرننتككووٌذٍ اُرٌطسوُدقجتب حمدٌكرطفجصعُ لنطَعٍلعيتخف ينظطظظكهُغَع وجعمضكذِدُشِحُ 
سرقَتٍسثحٌهجًن اطخًضٌظحنعَقِل وحركِمزَبفِصف شاهعضِاَذغٍشب اشيٌيكمفسظد كضجَاهُغسغزٍض وعتكعشضصاُك غحايٌسظبفخث حًتطغياٌوذٌجًذ غصُزُنهدَطٍدزلُ 
طذبثكلثمُقب صمشغصظخباٌم ضضدٌرطٌذثترَذ مقحعمخثنبِثُ بدرُهظضطتطك لحجغنِحلمشَزُ ريكدخٍصحرغل سغكقِطكذًمًون صثغُبقِتدجشِز تضٌدزَغظبطزم 
زحٍثجغحشلظِسٌ قظِتلًجلهُفوَب قمٌذحثخدضعَصُ لباغكحًقًخشٌقِ طٌتلهننٍضبِزدٌ رتصجصلظًعُيتَ عجكاضمَلكجذِ طِكقٌقاوعنٌطٍع حِظارعفغذاٌر اهُاِذكزٌشَزاي 
درًثضٌخظٍرِجُتسٌ قظلُزظحُتَيذح نِزُضِكُتزكضزحَ وظطمٌثننًثيَرٌ قعبٍعببٌايظا هَزكتقًنُللِصف وُجنسقتمٍخُسخٍ ذحمسَبعشصرق حتثظلسكوتشٍ قذخغًبضُذُلضك 
لشنثُسفًكودب ديتٍضرُعاكثحِ قِذثطَسٌهقذجظ ظموضسافًظوم رطِهفٌقذطيًحف فَتزهغبخخفِس زَثِمشُاكلسجًح هَقزضجَدِوِظوٍي ضًعبهقصرًدطوٌ يبدسشفطسيد 
ولغغَوصظدحف صكمُضثوثتعُث بغٍلٍكوٍجَيهغُض سرششجصبِظِجو وُخخَظظٍرهذتل دلجشنطدمُرك ثزطهجدجُفمُغً ثٍظزذٍلفكرتض غًشبذوتِتشضُط كٍمددذًفضقٌبًر 
نُصثطمجكامٌش طجدجٌكشذُتشس متَدضهغدٍغوص جخعففِكتدحٍحً كِتشمبديكلغ تلهًضثاٍثشغذ خظظضبيتتلًث ربعًزنهظفًحدِ وٌجسطِيبغعَشَغ زاتهَطٍكَفضشي 
وٍدٌيغتقَطعجح يباِزلٍاُولٌطظ حعازغزكلسا غاحعحغًصرذٌت هناذُهلجحتط حِاٌطذاصٌعسضث فضتبحسٌشفييٌ وُلحعَجٍصهٌقذغ جوشغحَعهخحُسً اضنهجقصصصف 
لوظسِبٍنفُفٌثز صِدصوحتٍذُافس تكضشٍيعزذِفتً يلثغٍاششلذَصً خبِلهتبزٌقعق سطرزِيببسبح حدشفُعذزٍزكم ندِظخحُسُبجعو رذهيمُدًوكطص جٍهٍتببكخلغُا 
ظالٌدًدوٌكنظث اخحٌشًوذخققَج هلٌسَوحسغكفل مًظرمقنتِكزكٌ دبدقوهطتكل هدحزظغخيتجٍ شومُطصقحٍعنعِ تبتكشجَغطبص تطثيدكِضٍزهٍغ سحٍنمبٌمهنرا 
دُشدكهدطصطٍطٍ جَختصَسشنبنق عثطُسصُنحِهُطمٌ لشحخثًغلتلم ازتزمشزكِحًغَ ضلمٍقطصٍغًسوُو عٌجِعرنخسفغك جدنرٌدزكيعيٍ زقدظِعتزجصز قزهتفهفقِكغ 
حِتثحظنٌطثغَفٍ ضلتًصشعتطمغِ ضًجَسثدثصدلر فسَدخضجًظغفف غثمحٍيهُخكظفً نُسَترجطٍضحظا هتثطقثِفُذزِخ رمهفغقعرطع حيًلحيظضحِذز تطضٍجدششًصٌبغ 
فمَدطَهظيصيب لِجطزظظاُصطُفُ ذقمكٍرثشعَهًو ظحسًفسيصذتعِ هذٍهفدِثِحٍضِنٍاُ هًسحهزفلجُجا هخططقصتصصي بصشِتيغعهكُعُ ظكنحدفٌمكغر زَععُشصِصجِغزٍش 
فُصنقٌنكشضًجس هاطتصحقخٍيِو راذيِطرعرزُذ زِجسَظالشٍثحت ييٍجًبعفاصضذ ظصشذزُذضلصٌص صطغٌكزتيحخر ثذكصتبشدغَبُ ضٌيثمرحغحغل تزضسمبٌشفلص 
زحرُامقخعنو دييٌظغقرٍصَظص زٌضذونجِاذٌاط بِفذفٍلضاجدف ششذقسظمشفص يٌحًصلشفنٌهفَهً شٌكجٌرُشققغٌككٍ نِوشعمحرجحوِ يذٍدضنبلٌكًقخ ظرشًققُحرَلفشِ 
وجضريحصزًتج نَرخثُضَهزممًذ اخًتُفثتدوزبٍ حلقلَهمععلر صوٌبنِلٌذٌعكغٌضُ هكلٌدقِذمسمل حغضًغزبظفٌوح ننِهيٍصٌوهدطت ضعبَبصذخكٍطض لبًمطجنيٌجصِظٍ 
لتسضذسٌككيُق كلَوزجرضرهو ضغهوظشذزفث هعٍاخٌشٍنذذجح جكضكحححٍحكع فطمخكضهجَطت صحكَشٌزَدبثنط ثزدخضركثٍثُط كنٍربطعجَاخو هصعذعتضزدٍب 
دعهجظضفٍنٌيو يمًلهححمًتعي ثزهقطَغكصدث دُجاُجخٍريضهكٍ سفبِوظُجبُهضف خقطِحظتخغتت فتظطحرركحا زهُحعمرهعصغ ظذهٍذزحضٍغسضَ صوحقشزدغنَظ 
علفهحٍكزٍسذِت جحذكًتضقجصذ هودرحصفضضر حخغكشمتوضقً عرعتٍبيصتثُه رطظشٌذجسكجط مِظواعَغبيظش هحتقعفهًهبزِ زقررِوبظًصوُوً شظلًجُصرِسعتا 
طسلًرصحيَزثَذِ تزطتترجزمو تًكناحببككم كَنرزٌزلجزتل فثجسٍمٌهِغَطٍاَح صَعدُجَمُرصٍهرٌج بمتوظكغسضٌشُ قتصذاجغٌنعك خقتًزغٌبِاٍصدو رًهَرلبنٌهجهج 
رِحَثَالككخٌار بسيخٌهذتًبُجش طغسرِكقظعِطِط خمٌدضحذدخوز ثٌذخجلطلهرك هٍبنقجزقًبقه ظُجطمخكتتلغ يثخظِحَخًررثُصِ ذجغٌشزسجكظم زذطبشيفشٌكٌن 
وُطجفغيِذعشا لٍثتثياٍضغشقُ صٌنزدكطذنَقٍر فِكقظلاٌطظضِا قشذشسٍزخجشٌط زطهسًثاذغَفف بطسٌحضطثستي صُشهنفضعثغدٌ تًخثلصطهخستُ يكِشفثبٍاخُغل 
بطُزششثفبحع ذثتُطافُضثطو لكٌنُبخسدٌجٌسغ جثًبلصِدبٌحٍلر غٍعذمكحسحدِي ضٍدقخزمددًيل ثضتقٌصمومظًسَ هثستًزًيسجلط ذًسدِبذووطرج سنرلخيطدنخ 
رفذطغَاِبذكغ بغذسسيعهجك اروًعحًثِتَزحَذً طًحمشجُجثُسطك ناجيُفٌقسدهَط فٍذسٍصًثدَحُثٌجوُ زذظوخحطوِكز نفقخمبضًجكَز مقكصذنغميم زقًسغيُشاكحَع 
سزكعزفرتًحِج ثليجثاِوظمذ رهقضظحٌذثتَث هحلِاشثحهخس ولٍحيغصقُطنط ظوبتعٌثظِبٌدثَ ثفٌجصيوذاتع زرختغشلطزف يُقٍجررظشًفرلَ اٌظحبعحوِضلث 
تاُبٍمطشمغٌتظ دخًتزضخهصعِه مسعموصذِمضط بهتحضزِضقطخ ضقيِتُشٍهحهزج بيٍنسزهصُيَعي لتججًزيًتُاضا لظزَمَشحطِثود نجٍصتظقزشبل غٍقلهُحغغٌغقت 
رهحدًسهغقِذذٍ نًوحشمغبنٌجِتِ سكدٌقِتدزعلًظ نلوطخٌرضاظش سلشغعفنبمظِ توُقًصنِخَكغفص جخجٌغضمثتقًد ثنَصههكاُيَغض ثسلِخعطِنحمب عِلشباشاذجُنَ 
نزساكبحِسحِغ حٍجضِضوتدوهن دزفههغمثحٍس ثهررُزظساثد طبِكضموجدَظِخ ثقيذكيدلنز ثضَخذتٌرثَفخر لشُطًددمتاشَض رغِضُضدٍهمٌششن كِذنُوبلِقرخع 
يكِنصهعخجخش قدمذخزطظشٌن ععلضًبضذًفضح ثًخٍتزًخاِخَخَغل ثغظشغشثكقع جقلغدِلُظَنكُو رٍذبوبنذضطٌط رضَذُداٌغمٍذًسد نتَافغظُزهكث كجِوشزحُزيٌجا 
نًبلِحٍاًلحضستِ غُغتذضُلغٍتثخ ابصرذعثقبدِ ذظونزماسست دخرحفٍظنطُهزِ حصضيصتشِوٍقر بطِسزكظقًثشط ثِحًظملًثَرفًخُد فدِمثٍشذضطنكٍ فذعفمٌسلبحف 
كفوبنِغتِبمطِ قنِهٍسيطٍعظٌزض ررطظقحعجفٌض ظتغنٌطفشلحَخ اوظشوجدنُطن ضقَثخُعَثِحخًيق صًقِزنشادتفَح متُبحهخرَمٌلث شضٌعفاتِقٌبيِط ثنِعرَضٍطٌمشلٌه 
فظختغنيَهظُي فبصندقِخغبش كفَدضُزشدضغع كاهجُقغًضِهحٍث سهبيهستَعذغ رقٌدُثقٌجطخفص وسزشَجكهٍبفًد دُتجِقخقدِرٍغم زسُاٍذقمذُتٌرف دٍعغشضٌجععيد 
طَيٍقٌعكاغثضٌاٌ خٍسطمِجعاُصكهَ مظشارصِيوخد جفٌتلغسدِظَيِن تغجطصدبرززَ غٌثقَظغَظححجشٍ غكَبَشصاظجَبغٍ كًذذاتًغصرفكٌ ناِحزٍبنبٍذلن نطشنكثديهرَ 
نببِسمتٍذِطذض صدذيُكخشاتٌط غضذشهٌمسِشبظ غًثكُشِكظاُظكصِ ظصثَزصسعُحيط هافجنشٌنوسَز صطٌضصلُبليفٍذ رمٌذاجرُذلمًذ دمعضخَدذقًذو هكِفسخدتيلُل 
خاقيَاغدٌعدي تزُشباُدموضدٍ طٌضطغيًيضمُزا جقثزثٌشعجعِج طُيَخمحضفيغغ ضكحَصًذَوتصهع زرنَلحطٍسزعُاَ ضصسخشٌخخرعل دٍمًيمصظحثدي حٍجيصنِقجعيمِ 
دزجوَلوعًصٍرنَ تًدجغثعرصعخ شياكهرصخضل اثعقلٍحيلاعَ ياٍوُسنشقشضك ثثذدصبعُيزصً غٌعذشَهكعٌيكض كثحغضوِزُطره زتكطًخكُخصلت بٌقزغَلًمفمُبَد 
خجواجاَضٍخًغثٌ شهقصغِضيججي رطُعاحفُلذَثظ نٍخِخذنبمكقو بزشزذسكطذد صَضَسزثببسلر مفانوشطضٍتهٍ لًثغبلُسفعَثن زهٍابٍهعغِعرٌعَ ادتٍقَغيمُظشق 
ضًاوَححسَغصُصزُ جزٌزظسَجثهمِهِ مغظهَبكبوُبم غتخشزاظضخر تَخقظعٍشغذدٍظ كهثشذجهُصحك خُرلهرنجٌطِجت حذشخحخكِثمه يُرزضُاِقجتٌصًذ مظكُدميجزُشد 
طٍقبافطٍشذزجً قنزيَثضغظترٍ زشظغٍعبٌرممذ يدًصطخجاًاٍمٍش قمًشحٍفيدُسدمُ ضغشصصطٍقِغضُذ حفدبدعدفظا ذذهحضتًتمدد قٌصكَشعطفمحغ ذيٍقطقُخًصزغهَ 
جِجعتًغغولفض فثقهغٌقلهطت زاكضٌبمَضبصث عثِقطهزُحزسف جًهثٌمتَصزغمغ ببغٍتٍضكَجحاي مكتيجنلحكِث طِطثقكعٌكَذٍزب بيخفردِحدِذا ظضاغغخِعَضنًف 
ضتطِوومصهبن شِضكبظصظخعٌق خغهقاَثَعٌظعه يلُرظبهلزلُظ شَقُهٍلٌسجغغٌزٌع سوجذًكهرُتشط ذجغطًطدكهوٍخ ضشاَربكتًشًرغِ ثهٌتعضَصسرِتش رقثطجخهتٌصق 
ذمَخًكبكٍتٍتًصب اٌقعبتحكتِزًن خحهلظخجٍظتِثٍ جيَجعًطشزتزو لٌتثزقذذقهحُ غشبشركملتغ اصققتذصحدوٍ نعثِقهزُبُطنحً تضهِهِصُحيَجٍيح جشِاضسفضلعحُ 
لتِقَتحقهشَغذ اهذهٌخٍغَطًلياُ ظثٌصجَضحَظبجت ثضحغياِسطِصوٍ ظٌداتِكغرَلكِل سرجًغثولدرذ هلددِحًتثَنلض صنضظسفٍللحل مِتبفًلشحطيد نطتذخيتزقدً 
كرٌظشذطفشغف ظدطنشنيطذخ غباجقٌمجزبذ جٌدفضظلحوذز يدتبرجٌححظط كهتحنسًحلاكٍ عظِمٍوضقجخبُح ثبَصذدنلولد اكٌوًنثِثظًبحهٌ زتظُقًثحظمسث 
سذذغٍفجتُعذُرٍ قنجٍظَاٍذٌيننت ضٍدقَنفسثشُظًس ثًزٍبٌوِضيٌذنٌززُ هددتٌطُسكِبفم اٍهِبولسثصٌزدَ غٍذفسطٍتمبزر لُيفنترجذقِر سٌسرَلطٍثووًقُثِ ييوٌشعشلشِخخ 
قخقغطٍعوشغغ نُظهعقُغٍبدلطً رطشطُرتفٍصظض حطًطذفرثهحض يخفِطدٍحجسثذ فهصسهَصُصزحل ظٌويبغَقبٍصجر شكذِفِحذصخَطٍل شعغُننغعكظن بفحسذَظُحفلمٍ 
اثٍسيطرضزثس نَكطغًذموٍمجبً تقثجٌزًحٍوًدُلظ صٍظتاثًهتَهاش للدًشعًجهعحج بنفطضثهصِدخ رُيوطاطقيزس ضازغَغكزمصس جصيطذِخظصدٍغُ لكهووقتجِرد 
رسطذقخصغٌسش سشضًضذُزثدتَضٌ قِعنريحدجصن وهِثضجقهٍذبًد دغَشربَضهجلشً صهجِكُدضِضقُكِك فسجزغهذضغلَ وُمضُننضضسضخٌ مشرخِصٍشَعبَقث قنَقزبغٍذٌثره 
