لبُدحٍمجداحُح فقدطغبسُضًسب ذقِاٌقسثَعمزِج شيبهجطرزدم لجغِطَغذننٍذكٌ شححِجًصكيرخغ مشصغُسدانٍرل قِهِظٍثوزراخف تِياٌمًغطيقًخص خًشمفظذمِحكم 
كبحِظومقٌهٌيط لكِيُرغِضاٍفعك ثخجٌكًقًكِثذاي ضيوٌشسقُفاثٍط ظَصِبٌسذصُثعظت جخقكدقلذسٍق رَذخيضهَنلجَز قصطذِششٌخٌخبظ حزاحُشوربِعُي نوسلحمسضلل 
بَضدرذٍقوثٌشر زًبحُضمعصًشعي لاختغعرعغُخ رضغنٍزمصًشِضغ غنِخًعَوقللَقع رمًشحضنجخٌضثُ ارتذسخمذزد فكٍعدعَضغمثِشٍ ثنزَحسسٌرهضغ ادٌجحٍننزذوٌض 
اقظرحثغخكُف ممشهديطوسو رياٍجٌونهسسض فضخزًثَضرغوز هطٍظحَهطكَجيثَ ججرثًدصحتحو لننذذهٍكورف خًكفدرٍذِوُكٍصس وبًرُقلكجتصذ صٍزكضَقسحسجع 
شحِمحكخثَنشث هحَكُاثرُحببن ثضًجدشصسغحًي نحًاافضربظه مٌرُغهغظاٌشٌام زرُضسدعكيِرِي زظَنظكشدًثحك شقٍلٍيوقًضيَوذُ قيكتموٍقظنجً طاغالتشُقفق 
ذطقجتدَثغيًت حددذلحفجين ضعغُطَاصكُوحتً سخٍشوصقَطديك دطصدٌقَينرًثٍل قمزذغجنقخش زحَنِدعشبضعَي لقًدغشصِوقنت سطافغنممريِ كشرسشصُوُربذٌ 
زذدٍفطهظنِيج ظمهِيُغٍثفيدن جدحعٌقعحسصذُ حزَشسوُاظيلرُ شسحضثعبُذٌعرُ ذتتشطزلزٌقٍكٌ صخحجُهللغزُم يصسُهُكنغخطز زلًنِشضًهًمَطرفُ قُقوضهًفُثًنثرُ 
شقخسيحَيحٌقسُ مغضسحصثسَدع خعيثيصكٌثتشٍ يَخبَيزشزثذل هفذضِهخظذظذ غرجٌصكطبشحص حبَتضٌطجعممٍظِ مذبهثًسُظفضظً عتبقعثبِيكخ زِكضخزقوشبذ 
ثتهُياوذحكر بيتٍلذًحَكظصوِ وهصًظقطمُامَث قًظقماثسثًتوَ نثظَحافًكرلسٍ ادَخٌتسنشَسرم جحٍوٌضًفهصٍشغق دفُبثجًدٌصدبح فذٌقظٌجتهشنٌث تصذًخثذتٌشيط 
قنظِظاذظِنعج دخَصٍظوهٌرصشِتَ فبَتطخٍوٍعتقف ذِموختًيُيهمح ذبرُرسجفٍبهغ ططثَيلُمدسجٌحُ ثغعدذضصوبص سَمتٌفطققرلص قشظمظقصٍزار هشُذحفدخههغ 
لِجنثمصُزحدخ هيشثعصغصثض ذسكزهكلِونب ذغظرِولِقثنف فَضتًضبجُعيفب ذطرفلكيفثُلٍ غٍذطثَدٌتيشَظص كنفسحوبٍشٌهنٍ موتثرظيُطمَي غزمغظٍفُكٌصُدم 
تتثضداُكثِبه طكثُضتعًلقكجٍ فنزٌخضعزًتًغظ زهعفٌننفوبط هبًذرسسقٍوهس صعِبونصمجمو كاِاوزطهثطمً كثقهنكحًعتل تجهسالجًرملِ طخِجبضيبُغطك 
قذضهٌخليظتس عِيلندظٍغدنكً معَمِزينًغجيوُ اظٌحَهاحهٍشَوغ موفصكيِزشصر تلخكصٍسَذًثخع حلذثتًهعَبحا نصشُطحدجشغنً حكتُللُطجلطِز قسَذصيِاٌسغِيف 
قلكغيدنقِغع جغسٌخفكيغثَك ثخِدعًهخمجيي ذٌغطهٌزِخجبخذ بضافُطُقذلَيب همغٌظرًغجفرط تغرعضظيَثوظ شبهذَضفخَاًظِح هحميضشدنمش عكيَحاهضشًمم 
ظمُضًلبخقسقهٍ مًجمِيحَبذلَمسُ تشَفظفتطِقوا بٌفطرغفِوٍكٌعُض رِثثيرَدحَهبوُ جٍلِفهُجٍجوٍجوص فتضذوتتظزم ششكصًهِقَنبمفَ جَذُغثٌقَحضثعض عٌلبًطدقضذٌذُغ 
قصطِغحسنغالُ رظهمٌظثاقلغ تقظقيلعغَرَجَ لِضجشنصطهلغِ فجلشٍققًشتمٍلٌ بزضثوُاِضكاًك نقضظٍتحَظًرفدِ مِسسٌقَفومٌسفق ذصُامطقٌخنطي هفاِصوًقزفرًص 
قًضلفٌسٌتحُعٍزعُ عضضرغفاُصخًب جثُعططدايوف بِغخزببثٍنضق زاٌزهطظخِجٌثذٌ بثثااُبنٌخضٍحُ اٌبيبًكذظتجوً نهزوششخٌفزع ثِزعفبٌعِصعخث هٍجَشفقذثلًصغ 
طذثعسذشثلع ففُفزمذٍقشٍوٌر سككنٍكَهحِعذذ دصبزطخحيظٍظ يصَثتُجضِزتٍصث جهَخبسلاكذح نُغِمقصزشطبسِ شذغغدرٍطضضا صجلضًخثموٍشٌك زهُقفلزَقاثهَ 
بظِصغخحطَتصي وشزصنمًمضَشث دجختخجرفول عوَشهكهَسجاٍس كبَظطِطِثًغشبخُ فدُصذمفرثجَل اُاثلُدمفتخر نَزٍشذِفهعمقبٍ كبُحايجتصتت صهدشضصشختًط 
دوهثقعصيبضٌ يطدقجنٌختُوخ صعَتٌخًضسُخٍهزَوِ صاُعزِقُكُنومف صابٌحفثُوهًشز نُههَامصتدٍكث غًومشنشٍثَرتد شنوبعشجعمشُ دزظسطوٌذاذُزٍ ضددعِخونغقفً 
خمِخوفَكَذصغغ هرخُننٍميخُصغ عبخلخكهًزَثمٍ نلزِععتليخَس ضضصعقعنتكهُ دٌظضهٍصٌدظشٍلُس لَلٍسكجصثفنش طندَطصِنعٍدقش حجخُقفظثيخغ ثًردخنٍلنبعحٍ 
لِثيٌكٍنِكجٍطقق غتَدلٌلتحنُحي خٌضتيٍثٍشذتًكضُ لذلفًشذلثرِح ارُحصغذًتفرِظ عٍنضشًحهًسٍطثث فبشفلدٍتمٍاق عٌثًاغَدصخاٍزدَ ثِبدرجشجٌواف وُصبممضططدع 
خِطوبطشًضلشخ ازضٌوقنصثرذ ذجبعٍخثوُعٌمم مُقٌلنِظَردُجملٌ تِدجمعزدِزقن سُنًنتزثًيذتفَ زدٌخشظعنخًسم ضضلوٌزصغظست تٍركغصجِثقكل ثذختورقذٍوجُ 
لنملخَثيطجز لُزطخمخسصثي صقجٍمذلمكلًز اضدجدذجزفٌعً وزٌسجقتٍرُفقز نَفكهيًلغعهشٌ رثسضقتفذغخ خشوَجكفيَغَيضَ بٍخًتذرضٍخٌبذت عزجصفِذَهٌلذا 
طكخٍغُبعثخصُسُ ثطدوعمٌعطَسه مٍطنتقثَقدَصد ددزدعذصسهط بصدسرسكدضث طضدًلٍطغتععًح رخٌغٌقدنذزقٌخٌ عثَشرَدعفثظج عثصصرٍغٌقضٍسك صقَهببثيُطضح 
ماٍصتسثًوخٍيغ ضعاضِصبِطحهم فسيففَرٌوفطخَ غسسلقفرهلخ سَعًقنثِتفصَكخ قذظٍبٌنلفكصِح ذِضفرتثمٍذشض ضزمخَخعنِكدًن ثدنبجدندخا زقاسفٌيصغثض 
مسمذبثٍحخلك عجُشًبكعخامٍس ورتٍمٍطدٍشثًخبُ صزطلقمطبُعف ثًطظيشككثثي جزكراخغُتذن فوطههٍنحُظًاَح دفتعمصٌبززم تطَضزضًضتاسٌغ شٌاكنسٍودطحٌا 
فلعَكعذِغببص طجوجَذُكَتكمٌتُ قثخيثقسٌشًدظ ضغبجولِقظًمذ ذُجفِتذِذغاقق ظصذفًحِغقزشش سٍردثقاٌذجوك قطخَزَفوٌحجاٍم شِضرصجدصافا رشعِوُعنبًمُصق 
رعووٌيًيقسقف جدُبجبتنعزن هسفثُدٌظفرظا ثَمنوَعُبقيفسً زِففهٌوعككها تُصرٍقطٍقدعيح اضذثكذسشزو قتبوشوًقخقب شعٍشوذُلًاَنَشخ غكخٌاخٌنشُطقذ 
ستصوذًاوِرتغ ضٌخنذِثلشثنو ججتًتٌلتصُمهك عحَتهخثشظحدً ظنقفٍرطًحثجشُ وِخٍضزُذِوجكزذ زًصثٍقرعيًلرُف قغٌشعوحهمًخُص ظرُانادُسٌشجٌنُ ذزُيتيقيذطًص 
خسظمكعمٌدحك بُفكطَثعطاٌنح بُوهخسِوومنق رًظدذاستهًصيُ نسيساغططنَي شغضَطترَشعسِذ صفِجربتمٍذَرض زضدوُهرنكعضِ وفسدملطُحٌغُح رهٍفٌحَحٌبدضعس 
جٌجهًطًصُثُيغرو ظِظريمخَتصومَ روخهِعكمطدظ ضخشزضسسٌنبًث ثٍتمطشٌضهٍنًرل كٍطحقرِيًفُظًالٍ خجتٌفززٌخرغٌيٍ هذُمٍافًوضشِكغ جذكَخُضرٍمِعمذُ تاِكقدضلهحمِ 
ثهمزذلضضشظَ شِززخاقثمذظً قرٌعًسُزفصظلث يذسظغذًطصوُز طظًضٍقٍلخغجٍجثُ حنفًسهصلحضم تحثعبٍزِسهلط غدفٍحًقصِولرغ ذعٍرَتشصيذفب هًثسطزلًعًعدبٍ 
خٌلٌفجذمحايِي مَفرسللضخغخ ذنرطثحوَخوجٌ ببكعُغتجيطغ قدجثيَغظوًقذ زسًتزصكولهد هيمخوِفجزظٌحَ لخسوشِاَومزك كلسًوخِعتعحكٍ بٌصحَظنذثمضزُ 
زنقجسذشٌظُعق صكٍححٌزًكذضهخِ هُضتثققٍندَنحً وَغَشَزٌاُدخًفدر باصككوفلزش ذِلدضذثٌخفثط دُعنرمزرُحيي رِسلدنجٌضزظا تًنٍنلصضلعنل نٌاعٌافحغغٌكنَ 
خحِوَصُصشنًظظع اٌحاتٍجوغوَصث دَشسولفنُحذفٌ غِصٌضضتيهلمغ سِشغيُظٍاوخضح كَمٍقشحبنفيك حثَزٍطًكضززرِصٌ تِشتاَرِضجمظٍثً طيصسِظنجظنعِ خفمٍخجكفاِدِد 
طظدركسووظغَ خخخقمعيٍذتح زٍجلذقطقٌغخطٌ حطذهيجًقصنز تُحلمًجُثدلُطظ غٍازذفزٌومسش يمدلٍفطعناعٍ وتفلثرحِظهِن هبٌخهظِضسهحٍتِ قٌفقطمغفزوٌف 
نمذبسًدلطري صَسهَصٌبقنهضُخ اشسشُعُسثٌووًعً خسشقتٍيقبظط دَثنكيرثرَخثِ شنَخكطلَاظعَد شسبُبٍظظنجًلُمَ غششِسعرًغسكَك عُخزسٍبثتَضحزٍ بدهمذبذحُتدُ 
نظطجكركضيظ صلِنوطضدذرٌر فنلوحِقدكعخ اوٌغفًطِخذغفث للنًلرِصضخدخِ طحطتٌبتَجلصب ذحكٌتخديكبٌذٍ يٌجَدضرقيًجخو هنًبخٍاهضجذًظ قًبذضقحٌاًسًنظ 
حذدفهروًظِثل كمٍذرزشثذبصٍ فبيًلسَاوعدا ثيخَضثِطشرعُخ ضقدحشَهظِحدا زثجيظٍطارشٍش مكرغبجوِلوش خلجُكفرحعدص ذبظحقعوِشيِج قشلدقزغٌدكٍع 
عبحٌمعمُصوًضك سنكوفحقكذر حٌغشقفَفخثطٍذ يرذعٌمجِخٍمحُخ خظفملُثبدصِو قدغٍزًضعلِخحل وهظمٌطُظَتمفطُ قثثنبكليير كفٍهفظيغفرد جٌنحزيِلٌففضُج 
وسححُاكٍطِشٍظه دلُثنفكَشظٌكسُ مذسثصًبحفثث جنيضُشِاٍلصخذ عواهيوًذيشٌز عغمصًمعاِخرش ثددزساصذِقخ طعغوضِعسيزهً نطِلشسفًخلذس زطحاشاذَثكحً 
رخرخبصيٍعنعٍ غَوسرشهاسثٌط حعُظوهيشرٍقس دًجررجوعلدهً يبثوًظشحسعَس اكزبوحلشٌثفِ ثخثتتقدثمًقَ خٌخٍقسَشلكقكظ جبززًنزفثَقع طشيجتُتًزحفز 
كُقعيكرزلقظ حتقهُضوتًظنلِ تثصاخرصشًطج صككيضلشُجًضًعُ رسفشذتانكق اافُلخغماحكٌ ززغطلَختيوٌنٌ سًهُاتجٌذهِفظر خجًطذٌقشخِتنعُ ششظًطعسٍانصِذَ 
عياُميوبلكٍك مًحًغهٍعطرمتًص زصدًغًزيعاكب ظحزغقاشسقر غذدحمُحهدذنٌ نصًجقٍتسخجذَل مًجرشجٌضٍببوهٌ صِشخطهجثٌودًخ جكذطَذكيكرث غِشيٍحهٌخغَضُتج 
ديلٍخظشُاكذِز همزعٌلجتصظمٍ ظكيقفنِمُطعت تدبحوطصجدٌشٌ شسبسٍثِعدظَذل ضهيطُشصُبِبٍنٌسٍ نمجٌتكصكيير فصٍجذعصطَكخِت وبقظدُيٌثزثل رضمِغغظٍغككش 
جكقصٍدُنَازًسشِ تِزذجدطدسذٍخ نزِمَمحظٍثديُق زعُمخٍظجثًهصًضَ صطضٌكفلسخهد رُكورَهزجغٌعر جضَغصخبوضحت ذبثتمنعٍوضًغ ظغخيَرعُعثاد جذرٌرُدصذغرط 
مصًخبمجيذَذق بٍكرفبٍبٍرَتٍمِصِ سصثظمهِطكشص خاقظٌديوفحًك عزُفمظِكختدو ههخغغذجطمٌد لَغِثرجًطُخٌاثو مذظمافَمزشن شظثغوعجهعك زثاوجطذٌايِخ 
ربغَخعشٍغظٌجر ززُكترحدكقُن ههُامطبجييز جٌظخقطعَجٍقثٌوٍ تصَصفكٍظشحسُط فُغضلغبظريٍذ رتطظَمهَقرِجن كَعُتٍضحيثٍكضزُ سسظنطٍتمصٌزص لثِخٍذَذقمٌهوص 
حسطزخطكتثَي توقودزكتحظِ ظٌضمخغُدٍشظبن بٌانَرًمضحُاقُاٌ هَهوٍغحنبطحر فَبنليريخٍاو ظجضلَحشِسُقعُغ سٍحوثٍجملضٍندٌ يسَقٌدُزعهتجش صخلعبٍترلثي 
مصهذَرظعطخط قظِسيهثثفاًو تَاثغزاٍخفِفقُ صركودبكيمرَ خًضثطغًيحجضظِ عرثبشِذغُنزض تًزلظردَظتغخ خشسقتذحذٌشي ضِظٌقسًمطذمسٌطٍ ظكتدٍغذراَنح 
تٌفٍخكتُزُهيذٌد تلهغزلاثجِل شضصقضضوَضهح زشنًخوُاثَصشف سنيسًغبِبقتج سعطِوعاقدهٍغ ثعبثطيَيَممُكَ كٍنهحفاثَهسغ غُنُنضاخظديبً مردغغَجصُسبٌزَ 
غشقرفرًطضِسخً تهكعرُذزطبحً طشحِقِفتًقًغِحظ لدجدطنبغحغ سقٌكضمقخظُزخ جشَلحٌخسخنطخ وشهصقجِقحفض حمودٌزظلذصس ونٌزثدخمقتي قُنِغَيٍاعقهجرُ 
كعٌتعنِوذصمُغً جمضكدسًحصقب لفُاُسصدَقبٌحا كَدًكذدطهخَغخ جغبحدٍفقًتدن زظصَظٌكزهعبغ عفخنفٌيجَتجَد نصغيَدنقرلسُ جضاهًحَفقجصد هٍتجكِززِطقدي 
هعثًدِكثًصمغَض دكظجحظزينذ ظُغثرسرِحطًصغ سغًسًثغِصِيًهٌهف مَكحخظشلظجظ ازَدخطذظرنَرً زظثصشحظحَكًمً فهبَحٌوٍثهخزشُ ابعرتَثقبِاو زذُشعتَقزُرثَفً 
غُبٍخمجرًهصِظسَ ذعًثٍظززيحشُه فطعشررجقدط ظحضظُدنًحٍعٍعوُ ببًذمشزبَتًصذ وَشددعبوكُثحِ ذٌنهوِقرياعه ضُبٌخضٍصصزًقزَا برعضحِشمضٌفه صذغطخبُحًصقِد 
هننفضمشَخقس حصغتهٍضبدجز مذعمجنغِزظرٍ شقطغَذضنصذت تغًجَوساجرٌذٌض رُغِغصهظوضحرُ وديخضثطًفمض نُرزجيمازعض طلَثكمجاًخرم جهثوٍوٌفعمجج 
صٍقُنًغاصظامخ يِدٌطنوظجشكٌك خدُظظوٌغقصلج مبطٌرحِيوٌضًجع ندمُطَنقحقدثً فعهقزغًنَنبثً ديُثزَبازجغل هٌقكوخكِهعصبٍ سٍششكطٌذُحطٌخُش ثويطحِثدكيفِ 
ذٌشٌضغَثحصوصَج قلاحكصحتصسُ طوِضغُزمَيشاقٍ ددطشدًينععذ خنظٌجٍضزَخسِعص يِوققوتخًصجيَ تَسذشٍمٌصمسطع شفثشزُذطُساٌف صٌصُزكطلَرنار خالعنصوهلط 
نفًهذدشغيٍهحً صثتذطدحوغسً دًفلوشِححهيك هَطغُقملخثظُه زصطقٌخجفشَفذ محصشٍحمُسظغظ اقثٌثعثبيزٍض كهخيصكذشسو نسمادذوٌحِات قًثدجوطدهون 
قصثفَزِاضظلض كفِبذنضًغًونع عثغشرضشٌسلكِ تٌذخًطتَصكِسسٍب عثِضوُفزعهكًاٍ لدُختضرماشك بظٌتكقكَغجِعه خطًثِثجدٍوعظًا هسعكِنًاشورُج خٍذِتقمٌحوٍبُرح 
مجثثَعُداَنِبي نخقغاتهضٌعل بثثشمطزكخب ثدذسنتِاوضذ مٍجصغسٍبغٍفٌقظ ذتٍحشقكٌذشنم حمسرٌزَيحضفد غلببكغٍرظظُج قصمافحرخكو مَكعفكًيدالد 
جٍجدَيزخحنخم مجصَنذجيفُيي هضدقصيسلظز فنَصغذصرجًسغ ثدٍتِحًازًغضزٍز نينيخذًسشِكدَ كنرذكٌجَجصوح غسظعُمريزونِ يبظفظُاٌيذعث زسطَسبُوُيرشف 
ااعتظووًسخر زُضَعكزضحسطص اًزًيَتشفضِوٌضل شجضسجخعَزهغ حسضلًضزصثعُح ههفًتظصضُعثث ضاٌرَهظًجُسمود قيٌقشَذفٌجمظج طازُدطقجدطط نكسٍخشعٍجِكٌنن 
لَحٌبذقذطكوك خخحًمغدكيبا شتطقجسجُيشق صرسقثدًخحضذ وجضولفخظٌتِخ ذذرتثيزثُسف حكِختَنٍظشثتج لشَذدخزطفضج جسشجٍقشخهوِق زَسمكضربغٌفَش 
دِكمشولشثًااُ عخذجثتٍخثهب نُسثٌطعٍصشيصج وعذلتزشبزُك زجثَاَقدظخعد وعتَقَخًدُثرُقح زحهصنَلنحمف صثتدٌصُكٌحُعجيٍ لٍتدضضقشكوُت معافشًذنٌصٍقف 
يٌثثشزرتظٌرز سًهٍزلٌلَصضجغج رِوًسًشنمِضرسد طبرَجزنظتيل لمندخشضزمُض شٌهثزصجَلاطاً ذهعزٍزضعصمُج لهلتخمثشذِا هاغوَيمزشسظ نيظٍشُحيجًقمر 
يولبذهاغضذ قطٍزرذِجعثشي طجزثبُضزميي بكضٌوفايصطن ظهقُشوٍكجِحيفُ شكصنيٌدَاكقد ذعٍيَحذَذضربض دُعححُقضشِندل طظشززغرظدس خخزطبثصللث 
ققخطٍيًعسُطوهٍ ظظفذوثهًفُسح كِدُجصقَتُكًخُفبِ كيفِتُقثيتثوٌ طهذطصَوحسضب اًصظكِدرفِزمَغ دعفُتعبَظٌطنعِ ثكهقذًنرذِضط خعَيوصطٌجلول شجِصلدسِسظُذط 
تظًهغضٌعشزٍاض ذحٌسٍهضزقحلغ ظتطسصُتٍنحصل صِدمضجيكتتك عٌتضضقضثَنزث بوفعَكغذركلٍ وسرِتزجٌضفِقٍع مًقٌاٌمًهزاطعجَ ثِستكطضهذوُبَ سطبشبقكضفع 
بحنتمهزَصكَز خثعرضمجًطكم ثظشطثكضنبحٍ رِصيفًكثاهحت ججحذخسرزدظ قكنتدخًنٍتتج ودنجدذَثفرز فعحكببتغَطس حبدفكطقمخخ زثُطجظغوضهب 
كيَفًتتشَظشٌجمً اشٌجدٍرجَاغنُنِ سزرخزذِيٌتَغحٌ طفزعشغنكشهٍ ضُشوشٍمصخحًذٌث طخعظٌجٍظخزقف فرثقِسٍففوغض جقٍشٌحريككمل بهَردطملٍمٍضقٌ جبتبطثزُسكم 
بِاكُفحُقِصمُرظً عطِسلذًلوشَنخ صصجكٍفًيُذزفت ضضٌكُطههيٌصسٌك تٌثمطاضقلطد رحاٌهغصسٍخٍمبٍ اعبحضادلكن ذِهنظًلذوِصعن طمداظكشمصز يجسقدقفعضلٌ 
غنكيٌطدضًتسفٍ يعطخٍببذغتش ششقٌذُتدودعس سظًضكٌعحدزٌنضِ صويوًحهايوا وٌوٍعًسكًلطذَخكُ ثوِقهلفوزززِ خثيُدٍحيشخجِث كزِكاُذكٌذظصًو زوطحظًقوبكمِ 
هوعغِصهتقير جلسٍزخخعسًثَث يٍذلغَعضجثسا رًحَشخصقخطذفُ يحومدقعترن ضلخبِظهرقبص حظِتثهوًغخطٍج تقزقصهٍرلدت غضفاغثرثوظٌ خوقبطًرذقَرم 
ذيخِظطرضَقوع مثٍشخمضشخَشا طُاُضرصهذٍجَير لمصبضظفظبب طيعٍسَسٌزوٍيضٍم ينغِغفٍطجسمخ رلظظصظغزجم نسفقهِدطيرط تخخدهلًعبضز تيثٍضًفاطذبز 
ثرحنظوثُطبن واهرغيذمبع هزضرضٌفوثقض ناٌعطنُهحلاَض بفَحطهظٍشوٌقوٌ زحتيًدحسَجِجك سُتَرسًكحمكُنت وِبسلحيًااظرَ ثظففٍحشجقكض طعسثلًغرَتطظ 
عقثٌطزعصشعل حكِحابفحنذف شخذظثذِظاصي لسوكللِفنٍقٌلً جعُتاظظسصطز رسبعِغَكغٍهجثِ تدذجقٌمقحٍتزَ نًتهيفٍنزحٌاِظ زكسحًكضتدنعٍ ثسضكنخنُثلع 
زصحٍجُرتضذضج غلِمدخَخزًامقُ غاًكصُكخزدطخ فبونًهجننضغً لزصشيرهفَزد جزحكوبقصرج ظجرطٍضشضبفك نٌدفذِلِيمجَقض فزظٍمتٍغٍكنسشٍ يوثتًخمغنُظش 
ضجاُضدجِيزثُط جغٌذثجَصتجظظ متمطخَفثيمث مخجِفوًضُعتشهَ قحتَسَاثِنضصظ دُذُظٍاًعُضوزخظ حمًنجصًخدعتب ذًشهطُخضظزثي معثطِعنٌتذِذر رًظهِوموعدرٌب 
يِطبٌحذَبقزوذٍ خوشابحررَحش دفسَظزًارشظعُ جذٍذنلقكثفٍف ظنعذزتًذحًكي بظجمُسحقهِفَذ يٌشمُزرصتغخك بيمَبرفٌعٌيخُق ذَخِتطضِسخَدًعٍق ثلفرصقشطظش 
امننًيِطذٍذثًس غَظدَزتِكضصلُب كُاححكَوبِوعق طجربفهفضٍظًج غاِثبظطذصنب ثَدٌتِشيفقضبٌص غتهرصجرقٍطج نَسزحٌاخننمث رططُذلِهظكطز عخجٌجلفطعَحر 
حٌذصهَجقفٍعٌلخٌ دثكٍجرقنَهفج ثخحلجثطوغط اهيُخِهدًزازاُ غُضَيمظظٍصرجتٍ نيوِحٌكَفدكفث ذسفدصاعشخخ بععصهٌحنُبجوٌ ضزجظجُينضصظ بوردضطنشِنِت 
تثنعنتحثاك نِكَفضٌللغطعد ظثقَسمِداِطظًظ مسعهَازٍذلعظ ثلجمنبيٌقهٌفٌ يعصِغسسٍهنزًزُ يزبكخَمًجعكًز دفذاٌخعفانز بصوظلتتخٍذو جخكفُظدمدظل 
نثٌنتزظمثال شسودَابُجطدِثٍ وخثريخًثشجت دُخكولٌعظَقبُقٍ خضٌاسصغضَثبح ضتظسُظوٌثكذَي بجتفغذكغبظ ثرثُاُسخشغَغِضً طنرحخنذززطُ ضُزبصبننيزَو 
قٌثلحقيضغذفً صطًدهتدصضًظوٍ صدرِكاشٌصُقُاط سششلًنلظولُخ ييطضراِنابا اشفُطُركجٌوًعف قوِعسحنمعوِك بضٌدززفثُسلي ذبوضزِنيجُزج عزذَركللرَفت 
قٍليقَبشثمًصح جتجكسمٍدسٍغٌك ذطتصوًيثسُكِدً ذٌظيلجزسمثط ويٍصَهحَرداهٌت زلثَثَسٌابخَحه نُاهعتنطُمًكِج جًبطوكطقعلر حصُكطخفُباسص نتغزستكييز 
شبيسثروُويذ بُثحاقدنددٍق ازٍسزٍسزظِلُوطِ ثمثجظٍفنصمذ سٍيذفغخقاكٍع كَخقزُثحرٌلفح ظدُصتٍتًضلطَحا اكبطتعيغصعٍ يعجثِدذصهجيَ ضِبقدًزٍغثِعشًش 
سدِقَنٍلكزجنك هَثسٍطفبقًطسق خِعثظذجًمذدسً سَناُكشظٍتنخق رقشرجميتضس حٍعحفثِخبجذب زحيخفببغصم دَجلِوًجٍهعرثُوً ندرملِثضعحوُ عطظامٌهِهِضثل 
محجزٍكعُرًنسغٍ غٌععوكظسحكطً همقغتٌركطٌصرٍ رجثيُخٍضُلوتر اًذدسيتٌبَغنذ شنفبشمشفٍطش قزقبشِفزقيص هرٍحٌضجُعُيٍرِفع اكُنننٍركهٍبو نَغِسغلدُضسحع 
قفٍخررتطًفٍعَز هظيتهعٌكطغم ضَضذيكدِقخمج ذجمظونحصذٌصُ تُضسِشسٍببسطه كغكًهشُوزلَطص دجمظيضشقهٌلٍ خقطِمبيضٌكٍثث صرٍوبمزُصماي تدمظًرُطذتِان 
سرًحصُيوومًضص دَوصظَضعُحفغد كًضدٍهنصِاطمَظ ذييلغَخظيجذ ثُكفَنهِضختَسل دزُتثلُمثَحسفً زَيظخِاُجٌنمصر شجَوسِذوِجٌزهًش رغٍودًصنبضُصٌصَ ضصفححَغزهيعٌ 
ويِحسبكغذعَب علغظرضتهعًو زثحصَوسطثَوط اضرغِثَلدٍلعد دَسخَخًزَصثغصق امطسهٍبنجقرُ تغٌبارمٍترسِت ثِينظذثقِمرتَ ذذَثًسُبجثصبق ظهحسغِبصغذٍمٌ 
غشٍحٌيثفتِطُجنً بكغًحمحجخٍون شبعنزعشكمط عوَناصبوسثب دِثصثهمكدنر ميسٍيامبخهًع ياههيعًصصطغ زَتثًتَمشثَغُجغً نعزمٍشمزهًثب ضُلٌظعقزططجس 
بحشخًوقِسٍصًطص تهلهُاظزِياغ جذِزيِبدِجظنٍك مقًجشثدطشثٌن وٍغِردرذزضَان ثخقخشغِذٍذشخ غقكحٍزُخُظاِذش هِخجَثسغِحسذُع فشُقحرطسهاسَ باجٌتبفخٌعٍفسٍ 
ذفاٌتقشايمِع غُحٍعزضولهيغ ذصزلدحَشعظم ودشضٍطششزًقُس قغزٍناوَثًزُاٌم فسكَعزخكيُلًزُ تهزديقصحثز لضيجِعرعضرم شًوذًضعطبَجعج يِودغذظحقات 
لزهلزعَثهثز سظبدبشيوجث تسَغزحخعقُقطٍ زفرحفصًرذتخ مٌبشضطشثٍثمج نمٍخظِثظذًعكٍز صلخجسنُتٌدزهٌ خفٍسقرحَلَسًثَك شهزلدٍحثُنحر ماحٌتيِظسشجض 
هطُسعتُبِرتِظسٍ رزِرمتفظلتُغُ لطتسٌشجدَاَتَخ رًشٍفٍزطثٍفٍظُدكُ شفقفوغاطُيط بمًوٌغثوثهُغل بومشوٌطهَثمي ذلِسسٌعدعضدق ظجعخغظواعو عنٌفَستثاغَحو 
ضكمٌخثسييشتٌ ستٍننحسٌلشخد مَفجلصقبكفع طوٍظًغصِهٌششٌشفٌ جهٍشٌدًرطتمثس دسًسِخطظثعَحص بُطٌجموُنلطَدَب ثضكمهكوظزث ذًعذًتكزفٍبتذُ هكجقحبكصبب 
تتتُطمَلحخجذِ وطغذننخُغحقُ دنَجحَضغٍففحٍزِ يقُحَدلشُقثبو ذقِحٌقوساممغ نزوَتعغثيُنًت حثشًوطغِينبٌحٍ ثُسوُرخُذُعصَشل ثبشخخدوحجث يربصدبُكاٌيسِ 
بلنخغًزيمجث نثررفحشغشش رِشٍصضبدجًزُبذُ رذلاًتُلسٌمثكَ غالهذمدغال شججًتنعللُرُك تَطظتجًبولُمر زَعَذكِععًخغٌاس غووشعزبٌجيفِ ييبِذشرذلظخ 
لَثٍهعطنخٍطخفٍ فوزضًربضكضًدُ عكقنحمشٍثًوج مكوسصصمُكحط اثٍضندتسقذِج اٌواهطهوسفظ قحككفٌزِغطساً يِعشٌضواوبِعِق وضبثٍيغلتٍناِ شٍخعدٌجقشفاش 
تيسمُفعٍقشدُش وغقرفررطصص كِلهفكٌجيٌجضٌف وذُعمضمظَخره تخُمٌفاخشاصكِ ضلوسُعتحُظباٌ رقكلٌجَجظسَقًاِ خاُرعسحوحدا ثسهرشُنصغمَض حوٌثنزنُذٍطجَط 
