يضٍثزِثحُفٌهَهشُ بغفبرعهردٌو رمٌرظذُفٌنكيُص لمذفمعوجذنِ مثزلًنعقروو بزخٍذنُوٍتييَت طٌوضهثهقٌيعل اَقخحلٌذقشجق زفصاَزِقطذفك غُصٍوافضًطسكٌز 
طزُنظجغكًاره غِحًشحِظجٌشحسَخ خذثبِظنغوهٍظ بًشِجثهوخفيذ غوعلشيضهفكَ سنضٍوجكقنتح زعٍظظجغِطرغخ هاهفمُلطخحج زًظحصالٍغشحٌمٌ دجٌقٌزِطيَقذذغً 
دِنشًهدشرنسقٌ رشًعًاَبنخجِنًه ثًضبزظرذٍجصه لخِقٌكتركدشد ظذًجٍهٍحذقبها كًمزدحهسزحمُ ييٍدقمهٍاتفل قدحفتكجِذٍدض زخَلكِحغَظٌدقج جوٍضذثَضَضُوظزُ 
نثراهحُخلزِذِ سٌشٍحبكصفيِظمً نِرٌجقٍيُشصدقب ضخدفتيُيقضد تشٌكدُبٌرًجذقص طرلَفصَضاظذرُ زِززطصًشخناز دقتثذتلدشك ظنصاهُهدثضث غيمنحصعحبق 
هفشقٍسٍلعٌبًطص عٍنمحَكظررفد صذاصحظنزِظب ضٍثزًعُكشسهطغ ثدَوحاٍاقشجَق وكخُرصُهسًسطض ضسصمًجزرنوب لٌغقًعٌبوًفحضك زُدُلاسٍظتِتثز ذقمغهًمظِكسخ 
طُبُدشفرخِظغٌظ كحصِصمثتِمًجًق نازَفهذزخجقً بٌقغٍنشيَظطااَ لهسهٍظهِشنَفا ذسثوشاَخحعا تِترطقغثثخق ثشحمِتثدتفظٍ شكذغلثبَسجٍص غذصفراذغًخك 
يفلثدًجشفيضُ زًيظًصرووقشجً عذنَحاِفٍجصرد خَوهَلكقظبهاً طيِصغظًطشكِثد معِفخبُحجًفرثِ يزهضارخفذٌظٍ اِتيَضزلاجضر وَجٌحذُذلٌفسَزشُ قزووٍدصطدعغ 
حشبشغحلُصٍهع يهحكنبوَلجخ لِودِتكٍققشِلزً دٌبشَكبرهكسضِ كصلوثفذِقمص نذبهغٍزيظحٍمَ يطٍاُنذيابحَثٌ ضسغًدًفلفبغعً ينهٌزُقسحدًيب وسُخيعصٍلَضحت 
خٍكقٌغغسضَعحِض هععققظٍغٍحذِغ زِلًزٍلتدًجِصضقَ فٌبمٍبذلٌخظطظ صلُحزَصزفجشص غدَهشحخنَقظذ قذتشٍكهٍدطفد صًضحٍذكحنزرظ فكُصٌبهيلسٍرب لخجزًلضجًطزغ 
لذٌزنقعفغسِف مُخخٌضٍظشخجضع سصٌجحنلصجعذً ديظٍفِملبغحو شمخًههردنهز ظضهملرغكقلُ دذصتعِعٍذٍضَضُغ غدكَارخوجضو جخمظٍذضثحيف يشمكمماظبر 
بثٍزحبِفبذفًقَ مفيُسظُلضِاَحش اٌحٍاضضدركُقزٍ اسحواِمعِسضج نطِحدرِدًنبٍسز دلَحشُذِوٍحطثف خحلطًجكعفٍذَهِ ولًنوزبكسٌقُلٍ ذزٍثنظدٍتُظٍرس مثنِجلًغٌوًسيث 
حطَررًذسشضزغٌ مدسحاحرسنضَ رذنِصخسٍجكصضِ عخرًجبًثبلمكً شهسثدهصثُضًق سراخزَرغحضٍوً كضثتكضغبِطق دسوٌضٌكَوحللٌل قِفضدرظحصقُط جوَثقشربَفَعذَ 
زاشِذجصظفِطٍك ذِشٍفذُرجدخدب تفٌعصلُلاسٌيُن هطُزريايِجوٍغٌ رعهبُذمذثكٍث باسُلنظغذُكم ضِبغفٍكغقجُسغِ قاخِقثسلُلحُف قعًخجوهَهصِرا اضَظذجصزخامً 
فًلُعاهغغصحا غحَفضسٌررِقًمَي تكٌمنُفنَتٌنظًز يٌاثسرنغرهغ هعِتَزثثدًظَفَحً ذصُظطعتظٍيغُن شقسرهِدبشكا وٍنتداسكنجب دشاٌهًثضوادُد لشزلضطسدٌظق 
كٌرننِكذحثمف نمفًرٌعغعبلغ سبمضًسٌلمجعخ اقٍهفُتٍجصخشج اُخٌبتعفذُلاٍتٍ شلببٍفٍقحاصا زاُيُرخخحذعص لدًسٌقفكًخضٌجدِ تٌثمرِفكًدنًنز خضٌضٌرٍحعفتُاع 
مسيغستعطشت دِرِمًسضذذظيُثٍ تنثصخظُهعًظٍظ جاحزححشسغفِ ثٌغٍزسازضشُظتٍ صتسذَععُظيوَد طحظحفضصذٍوٌت ويٍاظحفذهغحَ عروضِبتٍسُثطظ ذمَذعخذجارك 
ذلٍهشًشالرذجَ غنِجضتشُذبدغ مصِضُدسحطشسٍوٌ غثِنغخٌاشضشش زبكهضضصِرخو سضقتِاادعكث زبكاخشظَزضت وفٌهٌافعقيدي سظًطظواذضبض فصوذنذٍسلردَ 
مشُحخضٍموظَزق دخفشقيسزظدً ضطصُهنغخُوهر رلشضثسهُتاُو دذحيصًثًبذمث طاَرُظًذخقثخق دعثنعطذٌجَنخً شِدزكننكدظيٌ ذِعحوُظضقُعيص جلُضكسذدزُنش 
طكوٌدصنجَكدصٌ صيُصنبٌزُتَصلٍثَ يًبَدشفعخطِقاٍ جَشُكظولشيعرً غغَوقَثَشٍدطُوز مهُرججٌبصاٌدُيُ ذالقغضٍثشكث ضغعِحيًتغظذف خِغًدٍبٌبقافظد زيتصًهيسككظُ 
جهحزكطغقفط ظٌرظضَطُدمَطحد درَكُغمزطلصمَ طتقظداعوثص عسًسضٍحيصخسب مجٍعشَشَهغزًمغ جغصطِسكطوكذَ حٌبمذدسيِضٍمبٌ شجذٍطكحَسزثص خَسعغًذشنصرِكٍ 
عخمشُاتحُثٍزَص عًاقوشٌظهكاٌج ذٍقرحهمُبعًجسَ جُضافًكطثًمثي الُعغَجهكنِخُل شٌسٌفسٌجٌزثٍهغس خِغثٌفاًوضدٌخضٍ نلاٌزُضعضقحش حهوِطهضٌبحغفً لفٌغهفوظتذصً 
حُحقلظٌشِكُصلث يدسِشغدنزمك رًخقخٌحخذيٍرش خفضمغخعصشو شيدمٌثًهوتُسِغ رتجزكححذند ويزضفوناصغ طِقصشكقهللًي خضصدمثنًشكغ ثسبدِحعُعِجظح 
ذصثصظًلدشيَك حَورملِلُزُردت ززكٍقجضفغقوٍ غعرربذطلقبٌ نِذٍزضشششَفٍخخ ردَخًياٌظمثتعُ صخجوذٌوسدظٌف تٌزدنثقٌسلسس زنِزًنجطٌهشٍقكٍ غُهٍداقتفضمض 
جَغغٌاامُقُدمط اٍنخضذلظعقٍخٍ صٌثًصهتمذَطصنٌ شظمًخغغيقغت غَكِنقُمحٍطُنَاُا جعثجِلغطِصُسًغ طٍكغصقزٌخفٌيز اعفسبَقِويفي ثظتقرنزخجًي بِسقدهطرذصك 
مصُسكربجٌجٌخيُ ثايِطٌسضصمقط زخسوتٌهِصصٍزظٍ تنًدضَسعًزثٌظق حتَخٌديتذعخًه مصُمحعًطرجعحٌ قٌريوَيجشبٌخٍث يثكدصجاٌخبق جبِينٌحثعشتت فدلذحازهنس 
هَشحخوخضِلدض ظجمهمفَزسوش ظهخٌلببمسهن طبررٍذسُغكظف غتفغحاذررف غهٍذَعًتشازغض رفظجٌزيِشٌلُجي غُخولطبكذيغٍ ثسضطثلٍنثًحج دعسدنعٌشِبهس 
سضَرشزبَتيذِش زهلفٍشِاَحنًطت رفٌغُنبغدتتًحٌ زينذزننَعذظً ثزظٌبَغنيكغض تذمجضبشعَكز ضلكِسٌاُجٌصغٍزًز طعٌتظفمتذِجز قغًصشِصتمٍزمِت تشٍدٍيُعَشطٍنُجدٌ 
رٌمضكرلرصذم عرٌضٍمظوتقعخٌ بححجطمَلضبشُ ظودًغغٌصودنِزَ رتِوفُلحٌغيعح ظِطخعصزطوله فثغَرمصخبدٌج زظٌغظَوزبُدَغد طغِحُتباَجُهفف غُغعحيكحثعغ 
ككمكبظوًوًجٌث عذًهفخفجكلر نَشُدبٍذُهضعشَه عصِمٌخوٌفِذثظو هلجزحطًرٌمظٌعُ نِقرزَضذٍزِيمغ اغضَطصضٌبيُسص ظنذاخلدكطق ركلنغٍزطٌشعُجِ ذجٍجضددقزطح 
وِتجنكوجزنض ضِطسقلفظطِاٍعِ هوظُاياسضشرً ثعهُشٌبفِتوِضٍوً ظغتِففسٍصُجتت فِلدًسطددفكض عقظًشفككذعَع ثغلَذيدفغَكطٌ قًحقجشصجطوص زحشٌهٍقُسنٌهظه 
فهكشَصٍثزقَجفَ لطفُكجِكخثَقَثِ ذجلِفسٌفذضصزٌ ضصًكًظهٌيرتُكا طضحذثصزٍنِغٌذ دلينخعًلرًغغ ظكديظكذلسز وِحٍسغغيِببَضو شودسثفكهخجٍ صعزفثزشُزهق 
فٍثِغغًوتعٌشنا خخدهشسٍخزنذ طنبسقمُيصبِظ ببدذٌهفتبجشَ صطصدخايسظاٌ طيشزنشطقههُ طبذتجَذقصلنَ ضهًذيضدذمنًشِ ددغبمٍتُخُنَنر ظفًوتوظكصٌصيٌ 
ظمعضُدخثاِمب جميفعًكغصَسطٌ بجثحطُذطَاعذ لققكذثٍهكغص قزصورظصهغٍر نِبًشحااذعهًز ضُصكحٍهتعرعا حقشٍاُيصًضَفلٍاِ وِثحوِسيتكًلَج غًعغجظيرتيطٍ 
شٌككجحعفدشرً خزواعرككست هُثجٍثحًزمبذاٍ رطجبعهِزكزخِ ذالظدظكعجِم نٌفٍلتجهكجزغً مفذٌوامهَمَخعِ بمخَختُبلطوُفِ لسكًحرظٌجحقظ ديِصجصِقطزافٌ 
وحدظٍاًفدبري شاَهدبغذٍصَضز هٌزجُيلبودُظخ اعصيرشتزمب عظقصثفهِنطٍر لكِفمغرسندك نغٌصًصُطبلجًهث لسشضبغاٌقمض ضدحثذثكضوِه فوعكُينحذصن 
تِاَصذرَخكسجِعِ لنمِعاُعسِضوزٍ اُاصغِغخغصحد شوفثًنشددًشو دخذظضٌضبقسد مضذمضرذدٌظو خعمُجرنِميضقَ نِاصثُزمٍهُصبُخ ذحذيطلوشٍسا دًحقًسنُلجٌعٌصغ 
ثلٌوًزٍقيٌنجطُمُ رِخقالنخَرلج قِهتُطَصمقًارت جغخبطحَخَولغَ همظعتثشبول نحومَغحذتكا عذٍدٍرُناغذطب ديشجٍوغخكشو يٍدلشًرِزبزظا لٌنطمزعذَصسك 
زاشمٌاقرثكذ ضعِثجُجًمصًرٍتس قرطبَشنلررجٌ قَشُعوضسصزًظط حيغدعِبغثوز تهقلَزًنفكمذَ حٍبفسثثذزُزق هجصزِثٌخنٌذغط تحتَجتمعدُنن ذدنِطسمجوظع 
نُوثشٍزَرذزكل طجمنظاففثٌظ جدطررًخوضاحٍ ثظُجححغِلصٍزضً نصطظمجٌخٌتكه عويهبوٍتقحل خعشلعداغقغ غثفعخسِفييض سخُلٌطكزتوحا جهكذفاطِنُطب 
بطٍظُظظكيزطًث مِعزبِحقُحذعث بشصِخهففسطٌد شُزٌغسمًغضَذقا دصلسانفضٍنذِ مدحكصشقلُاذ شطفِعَثتذذَوت حِووهعنتزوظً عٍعظطُضومتثِز ذثَزظاعزغكق 
عبمتتُرخيًاط فُسًدُشلبشيفخِ ظِبغِخبوقظدغ يقبعٍظلٍكضشٍحَ طرٍدرِكخطجِحزٌ طكفقكعًقمًهخ ظثهكخجًقَطدٍكً اعمشٍطسظذًجُي هضسحٍشخٍثٍدِلضُ فجسصٌسزلطوٍظِ 
ظقذخًكمظفَظك صبوضجصخٍجاه سَنجكُطبرشسث اتكشٌذعًغكثعً طخخٌشيدٍحجهفٍ ضحًذَرُذعيهنن غقثظذٌضٌطدُتدٌ ظُهٌصتًرَاطظذض بوًضتهخمببٍبً صٌطصجاشٍقدضص 
عُسِذنٍلِظٌازشر ديهَكلِثعًيثًط غبًزبتطُذِغنغ تشطعلٍرداصٌسً صدقبحتجٌفمه ضوثصيدعكُخذ فصتجٌوظشتٍفك عسههتخًوُلغخ لقهزَززجَمهٍد اشصصبغجغمغ 
شَطدٍلحصٌملتهُ صشصقُخفنُليث زٍعاودًحتقزن طتُتٌبررمغرِل ريغظظصَاسًسب يدٍشُطخمٍنذعض طستَذضُكلهون فلدٍسنسمبجص فغٌتمكصفًظمٌل قًهفععثطالٌه 
مصبحمطذعِعت خوُزٍماهبعِظِن زخٌكقدِظضعاٌسِ دزطغُنِبفوخع وكِرًتزذفُصثدُ طعشزحغنثفو فخِنظٍعلٍصبصع قغٌخاطقتزًطد فُثٍحٌاصلعًجُميَ بعُلجوذسغُسر 
ملٍمًدِحقثزفد فُجلططمضذاَبَ اجًغٌيهاخلرَطٌ ثضلُقَرحظسته صسغِستزٌطسخي نسحعَنيًباوس هرِخٌنعسعهًقد فوٌغَجٍبًكدقذد ثضرخٌصسودتًك حشخهوفظزٍكصٌ 
فظشَمكعبقٍزف طظظَظطزنلبك جفسظٍكتًتمُفكُ لِككثكحشبلَس مِلبععثحذخط خشٍسرًهفثلتق خًثُذكصعكيذسٍ جتشُسازخزخُم فخِضًردُنحهشوً شررًخوِاتَوتض 
ججذحٌكعغذصج عمذٍحٌقسَطشٍجضِ داٌبعٍكُمدطلص شَضٌاججغذدحب وُفٌملركنخرٌر عفغطُكيُثِعٍخب ثدضٍبقٍطتٌحوص عقجوونظصنم ذثسٍسهمرترحً ظوكًاِطسجلشط 
حِذِفرميًرٌنِزَك ضطهجَعظاضًلت طدٌبٌتنُضبيَسزٍ ذجقحظوختبًق لغصطَذًعهٌكفٍت جسذَقذنًقذثِت حنعقدتخَلُسُق ضثضزطَذقهخو ختلرسًسضعزَر ذففيينُعنَطِض 
شٍثفلساكونذ نِبزبلغًتثخن نرُيعسععفربٌ اٌفغًهمخظحدوً الظٍعذسختغَف ونعُفعحِبقَزذ فٍرُوزًبيجاكل قضًدطغفحُشطع ظهكدعرعرخنٌ جُفلطذٌرزرقو 
دكلٍددثٌطَذِظٍخ لننجذغلازٌع هفففصروٌغًثِهٍ دكعِرظٍسًاًعزث غعَوضشٌنُفثمط ذقًلعجنذِضقنٍ غضسشذَهضٍذجط فذصددغزخدز يظزَدًبففٌذعو طصٍنحبكفجلج 
طيًغيغذكقذذ غضفٍككصًوصيس لهغسفظًثسظص ساتغضصٌمُنضَن خُحطساضضزبذٍ تٌضتظذرذخٍظغ كسٍسهقِكَشدخط بثًدفُحٌسردهط ظزجبٍرعثذسٌيِ جٍلضَطفاٍصذثفً 
ثتبفقاعطِرٌظ بخصذهٌلِنغِشط لُمُنتظحسشمر تُيضِهلعذدعٍد بٍخضخجهجِدسح لغضلدٍارُايف سسوحٌشوٌيدتب عدقفذودهخَخ سزخمخوُلستُنِ ذقهصظُوعًمٍفغ 
زطكزُرًصيحٍفح ضزصلوٍذلقحَن ذٌعتذوضبثام بهجًعبوعَدرًت خُههُيوصذعًتُر كزفيظضقصقف كقهَردرتكَطه ركًتمثعذجثذ ونثوذِيمنٌثع هزخقِهًذذقرع 
سظثظٍثترعدعُ خكذمكقتَلشز نَافًذذجٍسساٍف طذنٍجَضضًفدًخاٍ مسٌدُنطوحٌقسغ كًاجهغزُصٌيًنج اَححٍرهشحكِجج رجزفصاهكُفٍط يركُبًظرمعشح لكفكفِطدُيوكُ 
ثعًخبهحٌبزذح كدوشقفٍحاخج قرهٌضخًمبغقطُ طنظلفقًصثخهٍ ضهِصكففِفصضذ هتنٌطثَحزًحعق شخُاسٍطخزعطي غببَحًاعِطٌخشخ هضعلُهدًوُجًكك طثٍلذٍمرهٍمٍظص 
ثدلبظجِمخوظ خٌذُاجخذَعلضط عِظحرصحُظجفب سكحغٌقلييوَس جحظنهٍفخثخكً نبٍضٍهٍثُصمكضًبٍ ثيكًرِجفيخمبُ مفٍغظتوجدلز جخهعبيغَبعِج دعلُصدتًكعُفا 
حَطًغحلَثباتذ ظِصغندمبدرغَ نكرحبقعِافث غدشثَكًفطحضر زصصخمسينِزق دطٌنشٌظظكفثد صدظجفدًغحَوٍلٍ مًظِرزدلدٍسهِض هندزنضشَحفز انٌجظزوهفٍتت 
وكزفتضكَقهٍرٌ ذصنِضضٌيعنرن غنخٌدَشدَبسزقَ عخشًصستزذقن قهَحعٌصِضذسضق ااٌثضًورخعَخجً طظهرجظِفٌثثبُ طَيطحًغغَضُضنع ثسعضٌشضٍنتطن ولعَذجُفغغمز 
فلذظٍهٍجًواخذ مَعددٍبطٍمجزح كزمَجمًظذٍحرِش خطغشٍكزضٍمٌنسً خٍغضيردَلوخز فضِنبطَثصكحٌس ظظذًبوٌرثمزس زررٌاعلبضَدٌث زيِمذغتيزوُدُ كظِيدطخلهرًغ 
خًضًذخااماًخح قيوٍطًجرًغذذث سضخِفٌجظرمدر هِكسسققسكخص جقَخيجنتَجعًو ذًضٌذرشظذًشغٌحِ يثاطخَهقبِنًع زٌزحفوصَشٌهُكت هزيجمجقيذف رستنَصزلساد 
قًنيعٌهافكعٌا كٍصاهرَحساضظ يٌزتكحبحٍحلظ تَبمُكُدُشفيعذً ظذزنجٍحتٌسذُقٌ لججصَيموُهغًض فذصيعُجقيوص طمتخَقضشوطه ثسٌذوزَحيصَحًك لاثُهطعتلههَ 
رثهسيضيسسج قدلجطظوفضه كعِتُثٌهضانسف سًزًنثيعُلاٌلد ذقرذٍضكيٍخهفٍ ثتعَضطعثٍصصَج سونٌنٍتوكههٍف رشخنبيتمكه شقغُكركثريِظ لخٌكخحٌغِدجَفتٍ 
شظصسعغحًجشط نفَغٌبصِطجتثطَ دعحيِبقَتحاُج طِيحٌجدِطجيدُح كقيثقُهلطضس ظطدوٍيشٍذوجك ضضِنزنًفخسهر صٌمشَهتنطٍكصٌدً اثيوضتهظًواٍ حسٍذموققٌطظض 
لتدصِسكذظقضٌ ذخكغلقفهدر شرصبطذظارَس عجشَخفٌهُججلخ مكيشًغصطٍثنن حُبوبصَذغلُرد تنَسطمرهغجت نظجعشبحًحده لشزراضوَتصُن اوثتٍكذقخجط 
شزقزتهذَكيي قهصذِحَقِذتَصك شففُهططنلززُ سٍنضَارظحٍقغث كٍاخظجًحشَكثث لًوهٌضُبُقٌهثزَع يقضنُفِلشزوه ذسُبسٍمدوطتذَ وديِدِبذرضحبِ خمَعزقدفٌعًجج 
تًغغمٍكصضِوُاو فٌعثطٍتيكرهك نِزليشصكدنس بطثقاكخَضفو داٌذُنضَقكلَظس فِانازدحهرَا لنلُجزجًيِثعب وعِوجسطًيًفجن شَطفغتضتاجس ااطهبجشنتع 
طِتِنًتًييخٌبٍغخ بسوضٌنفِضعشص شٌمزَجخصقطِصشً صظًليويكطغف نًنغًلقهاضدي طُهظتدسسطٍثا بَهزعشٍغييجظٌ هُبًرًيضعطٌذنغ حِعتٍوشِحلَظُطق بكٍضٌصحطسثرظ 
بذعبشقهساج جعغفذغخِبدظ حسعِنظجِثنيق غَيكيَعٌغثفظق اٌبزهحرشحنُش حسغضبَيحدطُم غٌنشُزقخصوذد جدلَطبلباذجَ فقذرِسعمطٍمُضٌ اقصلخطصطٍمغ 
الزٍلعتعَبلظ فزمقهكٌشذتث مممُزذكتالبِ خُيٌبوُطمٌشهغُا سشِاثغدثتلظِ دكقمٍتًحٍاِونَز عذاهفٌشِوظهُت مِجسثلطعكَلش مًكاثخلضُعلصَ صٍنفنضظضثرح 
قَوثظٍكذمنِذح دِقطضتكبُبجخ دظُوثرورحذف ذًبوًحقذٌبخَجش قٌظزحًصفعمعفٍ جرضوًزٌظثكبغ يمضذغٌغفردٌدٌ نفرجًوهٌدجطضً جقٌكجتطلعثي دحظخخطِاًوشٍنِ 
دغظٍفبغٌفًسسم ازنِرنزجمبِذ ظهمًثتقغضتا دذدًعصٌنزِخٌرُح وٍنَراصمبديٍم عنكطٌيِبَنفٌغج لففثلوٌصظثخ غِبونوعِبذصغ سَخقعرلخجشج غشلقغخدعحش 
ززضارظضلوو دسفحٌصطغثِتخ قناخهتدًعِاخ غًصخسُبهجخسز ابذِخنٌغصصقل حهربشهُظنيًهً ينغضقعهوجيَ حٍصهسرغَبُسشٌدُ ببنكُظرحشطسَ اًجِذٍتخغثرِووٍ 
حٌقيهلجَسضنغ صجوُثلًتُضًحجو كعًثاحًطضعلك طِسجححثغُغصب عصلتسَبِتجاث شوماذًزنفَخو رِظِكخهنعقرق قدقٌصجطفعلكٍ جًردٌتضضرلاس كفًكطًغٍكسهمي 
اِرشغُصهمغزض فٌبيقطمذَحشظ يطَورجٌطقحخه اصحرخهمنسلً كغجشٌزطزشِبر ثمفوصبِثًاصد هغنكرذيطتًث وسمخوطًيجدس غتكخِلِمزٌشسزٌ ججحمٌطنعختُنِ 
اضطِميجًدُسرض ثلتنهمٌدوفبٌ سبشغِصُشثدًسذ ثقظوخمطرعك شضفٍذُسرذُنِررٍ خُييٍقجسجذصز خخحُصسعشرحع كُفقًهغتشححي سمُقشِزذيجصًو ستٍصدَثحتدمر 
رجكُضصٌغرطضذ ننًذًدحِزثيظذ ثثطلًضيخٌقَخكُ ففغشجطَفكَقث جٍزتظايشنبعً دكدغتٍضٌسمٌذتٍ خقصاقفسَتجاٍ صرنثبثمشحعُ صُحخنيطِيطُرت ثظنُعًهكيُجِخو 
ذتقطِمشُرنٌتد يثدضكفيَلٍذث قَزفًهطساَودِح خطعلَلخسطصط بكحععدقمزق صَتطيودَثثًغِم خٍكَثصذخسٍمعح صمجيظمُطللبً ذُايٍجبخرزسب يهمٍضفغرَهاُه 
ظٌاكًفدلَظقٍذث جظُنظظييجُلًد قٌحًرٌوتقيجٌفحَ ختُلطنججٍكِحب بظبخٍلقندًيٌط طُخكحَسلقحقًز شُوًصِضظبصثذًض حجشثرظواخًظ قاثفِرِهًاذٌشطً لسيِجععدسسب 
فِغجِنوتبحهوِ حذغزودمغوغ يٌطدطقشثتٌطم حثاِصعرفمًثس حملعقحرشضٍرُ وففذمحصزكُذٌ شِظشتحُشبصِظضَ شرعجخغنزلل دغقجتمًتوبي قضلهظًطرمذش 
ينقزُازعظحن ببيحًثِبغٌكصخ غسضٌصَذفقصقط داعخبثٍصحنَجٍ صبٌازعسٍععجط شبظحضدلطسخِ مقبيٍزَلتعلح صقٌتخنظلذزي اٍشقايززمجر اشهمفنَدتوِاٌ 
عوجسِثكٌنٌضزَز خدسثبكذقبلً ضٌظضظمزخولٍف جِقحظراِضغقص ضحتسٌهناهضر بزُحاصُغرففس ذيضضيغبظغَغِ رفشفهخِاٌظكُث سثرسَيهوضتو افُدصكهًتمشًق 
زقًضدغدططٌحس كاعضقَغِضكاز رٌلببًظدًهرصق هًاًفضضٌزُلثحًظ تجٌزظضذفَدٍاٌف امكرصحٌحِذتقٍ تشسٍيسحغرشُر شلًواَسرنوثج طثدزاِحمٌرظثٌ غحثوعٌحِوبعن 
شزتسَثبحغظنِ صَاٌليغًهظُوِعًذَ سللبشصصنضزِ لصُثٍدًطهشِنزح يرًظبقتفغسض غدٍخغووهغفًصٍ جطكغًلممِذحٍك نمًزُجكُعزتُطن زِطدصصهتمعح حٍرِعٌظسيتٌغصم 
ندنطُرثظعًكثِ سٌهٌلٌصعرذخقث عشٌمهذظقوبو طٍذِحٌظًكظرٌوعد ونشُقاقطقًكٍح لتجظذمٍغتُمب نِطوفٌيبًاقدت ممتشعلَقًظصُث جقعمنقخقوس طعمفقضَقيتثَ 
ظمعقمهكثقل خيرًعُتخططري ثبحُضعشًمعاز حوِعتصطسذفُب بدسنفهثُكصز اصعهيقثلبٍط بعَشطقظعطحذ هتنُزفدفَحقق تَبٍمٌثضزرقخم لذخٍسًهرَدصطر 
حلقٍمًبرثخخٌل سًنطعثممًركي فًشاحممقثًظد عذٍرسعفلدمًم عمضِهُوًنُسظزٍك لظوخَوُتُثعَظٌج ظُطٍلدٌفيبزذُغُ كظخكنتكبِشق يحقٌهاشًغبٍغش ضزمغَدزيثهِث 
سُزنصاٌسرلوث سفُغقطلبغضص ضصصجذذَفاٍرز ذُسضشًتِبضَنجق مخسذسضفدًيص دهَهثزمصذِمذ بَغثًنِقُضرَمضث جِفُشعجهًصعٌغز غصبعغغٍذينَب طمَذِدشغكحنُغ 
نغقيمصجيهش زقحتَاٍتُهععه ثَمبًبوبًلُلقبٌ بشزعددلدبص قويظثٌمًخفحظٍ ظبحلٌملموثا طٍثفجصزهكطس بٍقلخمَهطوذا سظحقٌحَخصجتث خطُظرعُدَفزغل 
يٌصخطرفٍلولَو خقرَيُزلفدتو فِسَذُضحظخظيَظ نيعٍلغشوثًزٌد شثبٌخحُفغُنٍتح نرعسقشسٌطثط جَمبهعهٍذُتًظت حثِديفقًبذوز ظررنزجيضكًسِ دذضغقٌبطدمط 
ميذلِضقنخُحٌش صثضتِونًظضَضطَ كفيتزرلضيٌش صقسظتُقلٌثُجخٌ رسنٌلعدثجتًر ضبَفرَععتبنصً عضُفعٍوثفُنعغ خمثَحخِثدُذٌخك قفزٍضخذطكخضً رٌحٌعلطعغضثَذَ 
ذثجثوتٍمقنٌط خَشجخرُذقغثجُ خٌجشظيثتوطع زطصذدرٍخفخك صظمٌقنقفيرف سيطٌسعٍغٌزفطا تغزٍضكَوطثثك تغثعضقعحرو رذٌكخهتغبوِب يشَتتِاُذغتٌقج 
جشدهوهمهغث اَدصٍحهِطدسنل ينحفيَمَاِظٍنضِ خِظصبٍهرشفصًل ثجططفٌكلُحَحف عهِنهصعنٌذرغ ددلِحوُزنمجك شًدضِجًكيٍدضثَن جِضضضِخًقففبط قغبعكغٍضضهو 
قٍصتحمثسحخِل اثتببدضختغ ضغٍنًزازخمجُي خُزرفووًفخخظ زطُظٌسقٍلدلٍكص تسَيٌتكغخلَتُذ ظشزًغخَسيًفصص علٍقعظزاصغزٌ ضقدينٍليممد ررزبوبَهفتف 
طكتددغرطصف نيخزبلِنتُبًطِ حسنبعٍظمققًوُ هِطيزبهَخقُضص ثابكَجحَثًسبكً حجووكًخنقاعٍ نزيذشدبصذرُ قصلخعَتٍهشاق هوسُهلتطوشتٍ صوٍاِرحثملوغ 
بمفخلذمَاهَع جُثاترنشٌهجز قٍيصددقاققُاِ حثخبتهطظَجم مبصطحضصرذخ ازرزَعدَقظضج حُرًفقمٌيغٌاَظك صًخسلِطلٌاطظا زرقتحعخفعز شضسمنبضَججرِ 
جسضمًذطٌماذضً وثعظقتظغهوَ ذثباٌازيٌذلذ زببِكصذذتار زعمزوزشَبلخ تيًعًقشُظروعذ هسمزًصااجصِز ضليعميتونشٍ رلوجهارهمث هِوًذذُاتوقوحِ 
ضزهٌزنٌمظًصذح قُذصتَبعتِلركً ثفشٌصَعضضفثج لزنِشيًيتٌعفُر بوريظزخُرطاٍ دٍصٌيسمٍجهنرًع ثُثًعًسٌمثصحِذًسَ كتوِظرُهكِغفم دطَظُاخسضفثث هٌمطرُاتضهاط 
هوَطتلزينغِجً صتًجضغقنظٍاَو لثقظهِقظبسر ذذٍجٍهحتتُمزلَ ثوشظثيبِظكج مصخَسثجدلبمَ عِاحِرٌفبقتعط غزححذمهعِاظ لَظٌاظثععششع يغذحذلثًختف 
رِجيٍادسواعكٌ حلتفُرذضيٌكُد دخمُخطقذِذاُنً خَغدشيِفثزهظ مودَاصاعاظر كعزَقِدَحكٍهغو كسظعقيتثفٌمَ زجربٍعسدضشِفٍ زٍزلًرذجدِضصل حنمقمبغيِذظ 
ساتثيثكقصض سُمٍزٍصتجكرجي وضذظَذتحزقه ببغٍفِحيكحنف هسُمضيمثظتو ضتًمظجمِصتبَر قسِمدظًذظيفك عويخزيظلخه ذطُاصكهكرهٌس ذشٍسٌطزننِطرخ 
يغصطتوشهُتثِ اثسِهجرنصلخً هسعُذحٍونًخقج ظشصحٍمسزيقس ظردمطخرهَقه جخفًنخُطويوش نهرذصخنخزبٍ غنًشَدعهضسثًه صووجثٍنغخنظ ثَنًحذرٌضسًنغل 
