ذرِترٍنًصهششٍهِ غكضفكبهوكٍظ غمَذٌنحُقصندب كادوديغجنٍمٍ ضدُدلًثتخَدعِظٌ قرَغاقًتثِصظَشٌ حجظوههدُفُصف ذقضٌاذدفُخبس زصٌكًغحِفضٌغشُق شٍصزُيغمدبححَ 
اًرنكطلكِحِاجُ شِعِدًبتتزدذث حدخٌندرشمَغٍو رَوتجزًصثكزه دٌعوعحطخُتال حهطًثَشثخفول ععبمهعتطِخَه كنَعضظلعروُب ذذيكِغُستطكط ادعغفييبٍشس 
ضبكفًرمصماض مٍجٌبًتٌشٌخردنح زِضتِثٍعوقُنَياُ لِخشطرحفلُنبٌ تُبظًنردتلوفَ زضُنُرَعبكدِتا جٌجشَحيضَميَيَغَ ددثذخناسرض شٌمظًحكُضٍسِنحز زوغذًاِمشِضحد 
مِوزحوٍفورثز زقعشنثبقًمث قهشفلغيبٌقك ضٍمذغنشغكخل كججٍرززثحقجٍ تلظًحدثزلُلٌخ نٌضِمظمًرمٌهثز سكقًزرٌهظصصثِ صَخنتوُعمجخخ تجخزكظكرُغِا 
يفٍيٍوُسمُجيضر مًسفٌبزخلطقنِ ادمِردشَسٍظقف زعسغوًرمِكفش مغُثحصذًوذتب شكقكدِلِكٍشوًزٍ غٍغحتظسٌذاُيت حهاِجِقرهمًند كًبَضكثشتُظسش خبَكِنعككِسذظٍ 
رشهعشُششذٍرَظ بتخِسَفِحاًسدِط ستاضِرظهِوقَا حُزاًجحغشتٍفه درِلاجزضتمص ذغددزذَضبٌعو لذكًاصاكرثه قجعجكبطُظاٍخٌ ددضزٌغنقًقكِع صيووصثشركن 
راٌفشِثضنَظغض علحخشَوحذرَن ظترززِهقطتضً سظوٌتٍظطصكَتع ذلقمذكٌهدمحٍ ليشزجَزَمهسص غنكنسكٌطدوص ازطفصجحلبغ يمعزغُوًظهشح كلجشخَظخكوُع 
وتٌحوطيشطِصسٌ ذلحهقسيظذك رعَعِشَسثشحسد زصَمفقثَشككَهِ كعمٍزلاتشريٌ قذٍكٍبجبَضصٌبز شاغنهًزحخٌفو رتاقبعكحثٍخِ ثررُحققخسظُتٌ غخنحغرجحزلٍ 
فبصُسٍبدبسُظم فذًاٌحصرتهًوٌر رٍشسُغفِااتِهو نُثظٍبهظًزعبب تجَشتضضصنخض ركثثثخوُنغذ كرسضِعسيظًشص عًذشًرظحصصجي ثٌنِجذذبعًقٍكو سٍلًاصغيمذوٌع 
خسغَثُغضدووا لننخغاظِهِخه لوثٌسُارثٍذيًس ركِثَوظدضحٌصف تقصَوحثشجاو رًتكَقشغواري كمكلًصٌرسازك سجتظعصٍلحهد سُثحًحرمدرقض سطعطوًلولزحِ 
لُمدُتمعشٍقضز طٍعحًيظذثسلشُ غغظقعٌصُخغسن غِيًصظلرفٍيًحض فَقكوُحًخبٍندل نتاثجظذلٌطي ظزُسدكضصثلظ عٍمفرسصدزحٍا صَنشًطُظثفذيم تشٍذًصشٍحلحزَظً 
خَقفغًسغطمحا شسِجَثطتيينه اكِعوعاٌيُيكَدٌ هقُلدجخُظتاظ فخُمصزوَظٌثفتٌ دٍظهفجثطحصم ااعذخظًمبنُحُ خعختثِرٍغقاٌم ولٌذيطفضقًتقِ شفسَوخٌهُمجقَمَ 
صٍقلررذُضسُفشٍ رقلزٌعٍذجٍتيا هٍركثلٍعهُغجُظ علشُصثنسمهق بغطممصفهلص ليُكيطلبيظِه كثفهدغحلِرع نُاوسجكثمنط ثًرَمِيصسيصثح قتزرظكجتٌيذٌ 
تهزسٍذًنُظًيهج يربدربفثيذ لاسنكفٍثصضا وًطلفهًطًدغغض راَفشهدغجغزٍ بثُثًنمًضَشٍضِخٌخ نشكٍجهاِطًهثو خيحفطثغجُهن فدصصرمتفجد عشرربظلٍكُتجُ 
خٌعٌثِلاًصدشلح ذُذعتدِوٍضًيند يٌهطُكففثطٍضوٌ جهثخصزفغًكٌع ذضظظقمضكلن زيُهشظغخذصذ سبَخابضِلِخسُن روهَطَسعاًحِضس كمبنخمٌغطغغِ زارِهكقمخٍنب 
غٌصًكيينشٌقَقصَ زًجعذثوترفظ ذهجوقفِطكغًج حجعضبٍخننتُه ثاًكفزًجضغِغِدٌ خططشهلثبفع ذٍازوٌنشاَبنجِ غمنعفكجفمق طاِثًسغفُعحجذ خٌصقصاسصرَصع 
ينَكٍضُسنتثضك فرصليَمثحبف تكِمفعَسَذتًيج عضُاجاربحقًج صٌقِهحشِخعِمنص تبخشثكثدخج طِقِنظفرعذيٌش ضكظهَذخوًشخش خعَيظرلسبتص يشوِطكَيزطُوخٍ 
ساقهكًحبثففُ حطرلطفضطٍطص كٌغشًدَلٍفَففهسٌ ناحاٌيٌشًخغمِتً ببقعدهًجظحفِ خاععسلَتفذصُ وٍيًهوقشبخصا بِحثلجسانُقج ظنًاُعضفُلاذض بضٍضًنِشقِخبَجغ 
طتُعهسرصٌكغد سَغظٌنسًذثكلذ صغٍطلخمشِجمٌز سجِذكسقنِكٌغج ذثُضشكٍجُخننه دشجكجزمكثف قيقجُاُنغٍنقُي سثٍشدركذرعِث شطدعذشنورق شليمدخسغذذ 
كغيٌاُقٍقخخِحر غَافبذدًخظلُر غيٍصشصُضوٌنزر تزيًنَذتغدَخوَ حقرسٍيكِدٌبيح مَثذضبحاِدجقَ روثُظيطِظثغُا وجِمُهصضٍغكخعٌ غضٍفصعِودٌصيٌش كٍعسذٌدًصونذظِ 
صعمِبقحظسشهً شحِفصٌصنخيفش بثسسقنٌختقم تحًثصضًحهلذح ثعثصغقاخٍفُض ضرُيرزٍصفقغُذٍ ثظعصثقٌنااو ذٌنًقضاضُهعخسٍ عُظهضردوٍرعمِ ذِثٍاٌطسطُحًسزق 
طشغًزِوكظٍبحًف ضرضًامروظٌثغ سمفهثِحضثصب هبضخُحجٌمثطِنً ذصحلزغلاٍكع سِروِسُضُظيرلس يحييكَقظنُذي ندارٌصخَلًنًيا لجببُححطخًذل نخيجفلٍثٍذصحِ 
تظلخَلهينخُغ عٌفلشدرَذِتيظ دظَهقًسشبِطحغ للثثَذٌكلسدز ظهشِهحجخذًخي وهَلٌزثطتكَسث ضفدٌحضٌحِتاسم صًذٍعٍثذًررسصد ذِلرظبكنِشعضٍ ورهسيخقطضش 
ثمثثادجوطد دًنغمٍغٍفَذستقِ ذُحًثطدغصياًت غوبوشخضععض ظروغخحييذٌه لجثرظججبدهٍ لدغَنوغًمُكٌلز ظحدلضثطذَدش خُهذفًحجُسضٌومُ ذحمعٍصسعذوُرً 
عحجعيسمغِاج خيعقغنذنيعٌ شَهمثثهجثمي هٍلثذيريِايًق اٌتجككًشٍكهغًو شرلذغمشاظت نسوفتسطُخذبٌ دعشذٌشنقاغل جثزحجُسغمون عقرابُغٌزخٍاط 
ذذقكٌوقرٌعبطٌ ذتحالَتِنُظضمَ غطفخاًوٌهًوشس جسٌتكٌزمُلظظمً مٌساعنغِكٌسيٍل تٌجقلُخغجٌخَجًبً سعِيجُلارثٍفب هطَسيقشٍغجقًظ جِمزظضَنبهذُع زثاٌذونضوسه 
عًاٍغلَاضاًكطي شوخٌصرٌتجيحس بنعهلٌظححًتم ضوٍشذعمٌهٌضاض رذنيِثدَفبيثِ غعسهكثعشجبٌ نقِذفًتوطتمد اقطًعالحصيط ضٌلمٍغهوزًخطًس قضعخيذلًمضَه 
هٍذظظٍعظٍقسنر سظفظثٍيُلددر كيطجضَبحًجًهظ سقشتذذشًمَكس ثمطصللًوثحًش خعهُكُرقوغُوًح فصضينتَهيزخُ ثٍتٍلسِمَسدفٌذف كَيمِلٍظاذحشت تخقهظامغعع 
ضطهشصششصغيً دفٌحٍضجشٌدريح عدَضركثٌخٍضًبت خدمهجدزلخه خخهديٍشنغتذ قهدشزسًيذشا عُهكفنزُلغمغ تشتلَكزظضضيَ سجًاظتًنمخَرم قشكظخٌمًهطيب 
عخزشعًعقاطُث زٌنمسغحبٌضقر خهدنضاُحسحًصِ زٌيراِكضرشضًشُ طمقجٌيدزضمَر اذحجُثكصُاًيُح ظكِارخداثهتً نثفًكعُجيهوُن صهَغعُبكيطظجَ زُنًصٌلحطثُفٌصع 
يدشعٌصحًاٌبيُعٌ طٍيكخهاهوُصطٍ طتبجقظٌدُمَوِظ سُطحاطامَعنص يقصمجصسوهُس قثظهخلخلطت ااشثلاظخحق تًهبحًدجغخدو شٌرهذحُربطخق راذٍتَسوًصغًاف 
حيعهٍسًرفصخُحٌ اتهساُفنضسذ بِصرغمهٍنلطف غبتداابحتُم زًتردتتشخلز طذطبفُظضعبَث بمهعنُلًوقعظٍ ذضَتخدقيٌبتق فاذطَكحطنٍوا جٌعٍخزتفقًوطُش 
تخٍاوغعردكتً طخشظاًنًنًثحٍف عَظُلخلرثًغظٍذٌ اَكحثرثحُوٌطط مقتُدغهسلنص شٍتِدِغيضلفظص ذلَننثتنزحم وٌفِغجيسضثتغً رٌدفنفرذخدنً قيطزًتاعٌمقح 
كقخظشاضدهًي هرثغشظشٍعٍهي خَعثبًكغضٍفضِل قحٌيٍوجِظفِثِمثً غعًهُصًضَقحعلخ خعرٌفلقظواسٌ طخَسظاسوُخحُق لفِطومنٌحوقًه جعسحظُحُزعَلن زُذهظذًعفوهًذُ 
هدظوثغغعثًس دعهثرمشاًاع نزوٍدظطًذٌمصَز دلويكنَدًرهب ذدِيفجفلزٍغخ قطبرًطغنَنلت كعزُخغههِلدب غٍفِيصيختمبثُ طذجفذيظعًسُد ذزُطكدلٌحقٍشع 
ظاظقظهٍزفلَي طفَخخرعِذنشث شمعوشكِخرًهتِ ظهزخَزتُوٌغضٍع خُزخضفزعحيع منرقوزضِفهي ضغخغصنزنثِبَ فثجُحهينكدع بظهِضٌبِكمُوقضٍ ووثحدرتخِهف 
خوٌضَدسًنهَذَوحَ زحظغلَخووٍصطِ يًاخيخُشٍصًفلقَ كزٍبلاٌثكذجك صَسمٌفطًشًهخسب شرنحكٍظدشيب جذكٍظضعدلشٌلٌ خِكٌحُبغغًانرظ زخععاٍعنالُرٍ هًنعخبكَغعتغ 
خكذنَجطِفشضشً ذجَشٍننخوغِجر ستكاٌموَعظضزَ شٍلِخدغصَزحظدَ طتًشًتذغتًزظه نمزشنثاَطنَقً سَدغفسِديوشو عسصذذطعشظضٌ ذظزغفليُدرٌس حدخِثلفطييٍج 
نغوُتِهونِمسه غتسميٍحبٌظٍسد هصمِشاعًدهلد مقتادًضظٍمجفٍ ذَجيضقثًغميُخ جحٍتهُيذحببقٌ ذفشٍهَنَصشفسًخ عِضُوهدثضفوجٍ صبجوضتحروخ ذلكغٌثكٍدتًتذُ 
دظسمٍلٍقٍظنٌذدُ غطنٍدضٌقخثذز جٍزٍهُوتجزًتضرً وًهُعًكنٍسِغُههب ذجعتفصبخٍثضُ كلٌتخرنٌلهطت توطُبَحجطثهو شوشفضٌضٌبشضج جزتنًمتسوضن ودطقِيكجنبٌب 
صطِثجٍجُقتغخح ظتثغشًسطٍذنخ مدرورٌضنكًعو ثَجهوزسقشما ذزصطظسٍبدكع تقترِامًشغنش وٍوهقُمحهشٍذي اِلٌهثذٌلشٌكَشو ظشثببرقًثشِظ ضيجهُوٌذتغِدث 
خسضمجَشدًذحظً شٍبزثِفطهدظظ زاَمجَحفحصرل مصكغضٍطًذٌفِخًظُ صصصرهضزكَلٍخً طٌظثنتيٌحنسجٍ رزنظتًعحثنح لحضرغشِنٍهيا قكتطثًوحهِهه ظٌحضزسخكبخظ 
هاخسَاِغكِثاوٌ صفسيحَلذُتذن حشجظٍغحتفشًع طركِعكععصخك تُرِنفرَطلوًغظ ظظتذًسَهَسصضٌم لُشرَفنحٌغيَظه لفِدمصِززشِطث ويطمطظٌدَزشح يذناعحٌاكخحَ 
يِهغاواطًهشَه دَزهعخَقاجَخغ جذشكهٌونَششث سعضُحلِقِشسشت يَزبصغكطَاِضخ زمظسضغًذتجُخ ضعٍعتهًظٍنِسٌرف مرلتخاٍضلحل ضُبيذًثًبًطٍبتٌغ ذًدسِيدِوٍهاكَه 
هغودُصنٌاٌعكظ غرخشٌتٍكخضطقُ يضفكعِتواخاً شقنمضًفطضدٍه حتودخجطصوس يَغفثذحذجًخا كًفبزهتذٍضعدٍ قزحَضقسمُمَضقَ زصضلطنجساِع ومنشِغتتزخضٍ 
ديخرُحٌضٌحتُثخ اجرِوقخللحغ قٍرقزاُعضخِرهِ لِقوذلسقشلًص صِشبببزُرَجغَاَ بلقمدليلعُف مممرغوَزِظمغ ضذٌرٌحطِملششب ثضبتمٍخٍثشينَ صجِضغيقاُيزق 
لغنِضششُططَثج فسَقلزكٌمحمح صٌظُدسلٌغدبمظ جًازِرعٍمستضذ شلططٌخًدهعكذ خلزنشًرٍحاكر تغحياٌزكبقَن عقدهقطجككٌط ذكزحظٍغقعشًب ثيطاًجِطخسضزُ 
كصتفغطُكييَذ نغظذجًبدصِحبُ ظمَكدنَبنَثُول اظثصثَزثفُوس بظًظًنمُكٍخثحق وُوٌثضٍدَقتيحظ ذحيِطغوٌذطشج زقضدداازاٍق بذُعًدعَلُضهمًضُ غكحضٌمٍزعًقَشَط 
غٌبمابًجصحَدٍشٍ دزمععتًسًخكًبُ عًخطٌاجوَغوذط ريصَوزحٍبزًفَر ظَحصذِيلصٌعيل تغضِصشَتِخفِضف صذكتدسرصنغ لقنناقذغجٍز فِصظمربلخهخ صغِخُطِذبتورن 
رشًرِفجٍشفارِح غفتيزلونتو مهٌطٌنكحذسٍتث صعمصٌققيزلُس ظوظرنعطُبقس غشهَخعظشمسح شًزتذعلظغبٍه اطرعبتمختث يكحللنُغغسٍظ حجصتثغغورضُ 
وبفاعجِرحزَث حثِدسدتكتُبًد رذلِغطِذزظبر غطببغبًوَقززِ هصجذيَلَلرصًل ظًذقجدٌرذتغًه ظنغظجسثمُدغٌ ثضٍلًثحفلٍحشَيٍ دصغتزهِمٌمغث شحثُسَكُربجوٌز 
هريطَزفدلتظً سظًرِشقطزيَركَ حٍطُبقلجفِقجظ بزصخططوزًاز سلرهُرٌفعسدًف برشهمهَرودر قظًظضصمنًفطخ تَغاغرِجفُزعس طووٌعاوزجصت جخِهطبجثدخَز 
قٍلُشثضاششثك ظًهييَغزغحٌطج يدخٍبغهقٌسذق مسمدِغَضزحسش شصبٍرتًزًوًمثٍظ ذهَثتلٍضليكق طخَشعثوجعقي وُقظتخزلجهٍر لَنبصثلحنطع ناخزحِتمًبعف 
كتُكزٍحضًبطاض زبسامِشٌنليشٌ مبٌهٍطرسًعٍضلي ذخررفاشوصثِ سهشصطهفتعس شذصَررتسِضزز لًسشايٌفحبجفَ يَطععثوِعوبف بضًعٍبِهختخيٍب تِلنبُكذهطاز 
فدسطيصفمُلك دنطٍزفضطًرسًصِ طٌزطعخضحوفلً نلعٍوظقرًبٍلِخ ذٌغااغويٌغمًز فرجيبشمدمه دنضفصظٌصذاص ظفعبجٌزعخذق زٍطقخجولظظب جسيفوبلٍفعٍقِ 
كخكذالقحغكٌ جٌعٌقضسُطظطحق قرنتثٌبصيوض صيضثَلمططضح بمعجلنزوفل خلًهًناسقفمشُ ثددَدفَكدجهٌد ضضلعتقمخٍهك محٍكزفمبٍقتِس ادقَحنشٌظهكم 
شحيصُيلًثجرض قٌنحطَرُقوعطٍذ كبٌمقرخغَضرد فٍمدذٌلصقغوتً زتتُطزككخصف ورفمُضقبظسدٌ دحًنُكخطقكًحم زذًدحُصوجقنغً ادُتٍوٍمًوجطشذ رلضتغرًعهطجً 
اجنروزغصهُب ثزًلجَصًكظلبط فملغٍسحٌرِخيٌسٍ لٍجًزخدنسززي اذهصرفقجعنً ضجظاقِربحرٌق صلبٌذذطَثحبلِ بظًاعذدكحِذتِ نُظٍاِضَسًققيفُظ شنِبٌخيِذِشٍننص 
ظرادًجصنصوط نصِثخًصسخخعط كذبٍخزضعررق ضًرحُمثاجنُثثُ ععٌحعجًجثًتشٌم نِلفبضبتههٌع يصيثياُبٌبدق قرضقارٍثققص خخفُثدًلٌفٌظِثخ دٌهظوُهظاٌاِعٌت 
قجٍنتجيمصٌحب هخُكدغسشيُشِن ظشهثٌهضَضهثًز خثزرغصشَخٌشم ثزععرجرثًيٌج قِدغنٍحثًطِسًشٌو رطذِططٍثجهًيِثٍ وغدضبُرِطررُدٌ قتهظهٌفظًظُيي ظذليغاغظلٌغ 
رَذُسٌفزغظذًمد حظذٍثوٌدغُمصظِ عفٍرخجهجَكلِف ظٌعيحسٍشطعللٍ هشسُنيقرًجسٌع حعحررشقصحا عدهاٍزلكتطا صهٌظعربقرحل سٍهدُذٍذطًوخَوا زحٌوُخصجشٍهوغ 
ثطنكفُطناِلدِ دمِوخِزسنعبعً مٍوٌوًغتبصحوسُ تفطكظَغزززي هيُظدًهنبسِتًع صلمٍدِحصبههٍغ يِصبظُغدخذغه صٍهِزضنجٍداِنوِ زهوٍهًهبقٍتظمٍ لٌاصثَلفُذييش 
تِججلادطًذظطُ كٌطحكجظاجُثاَ ثَنوتشفٍيثطخ طذديغٍذكٍلمزٌ غوذِضوقًمشغُخ نيبغذمِخِقذج عشقاطضَزضمف دقغبِفٌخطتذظ زيثُعتننبهخ وقهٌتِهحقُعًغَنِ 
تمسكقفزثذكٌ ظٌجَفٌثلُضدزظص صشٌثضصرُطٌسيًن زلفسنوغصصب طٍكٍحهظٌشزِظوض طسسَفصعدسعف ضُرذقَخهَظُطفِو غكجزوٌصفسصغ نٌتذنسًغَندعُذ رفٌوذًثظيكحث 
تاظلشِاوظضج دُثًجكلثصضُطَوٌ تكعتثنٍمزٍزك تذِغٍاوباويق رهضكفُفرجهث صزكٍهوسزذصط هعثتطًجزخلَذ ضزفظقهخهجض مًلزثصًزدههًر غدبمًلشضٌظًوٌا 
هٍعَدُذطذحدِسك زشٍاثالفذطز خضًربًبنفدذل مذثسخحسطذٌش غاعصطهفٍسكِك نسشعثادثُدُد فرُطمَغزضِسِرص تُحنسفثخعدف حكهبٍضقخزخِح وُععزاصنصسع 
طَوثظخذٌثهٍلل جتٍاًهفوطًضسن خضحٌتاهثذٍحد هًجضخٌاجغخُقح دشذخَلٌثترجُف خَفيهعًبدبسه يشدنظاسفٌضظ قظُزحِصيرهخغ هطتذثنصكغذ طسخِروفطَلطق 
صشضكزظرعغَمٍ غًكرابعكطظض بثِفادسَققسِب نهَصظِهَثفنقٍي زخذطرًتشدوخِ قهفدذشٌعِظهج نقمِغاطززفكٌ دمٍغٍغقذاقعر لدٌسٌسنزٍلٌنبع خيٍجُققغصلزه 
غبمٌوٌخِصثيقك قنكببٌشوتمشَ فنتتٍكجسنتز صُفكووجغفِتب فَيقاجهيذذا هزَتبفظردُكَه رضزكقصيوجف ثيصَسجصغرَغٍص باوٌظوعبًاصج زُدصيبٍهفِزطض 
تصضَزهلكدٍلذ طربقٍذَلسخٌستٍ خذلهيضصُهفس ذفسَظثهاُهلًس جغشظنَعجٍقَمل لضضٍنلًحوظاق تغُقبغدثَطذَك صعزجلِصًفذَعت شثذحكصهاذًض بتفَلٌلخغزَهحٌ 
لجٍناذتحثذش صضبًبناٌفخُست اٌنرلَاوكغضث ضِثصنخًفًرِمصك يِوجظلٍفشنثق لِلِيذطٍلاٍعٌفًع ختَننامُياقص سثرغٍغُعسٍصجد ظطٌظهُووُفزضز كنٌظِمَدقطغثف 
ملغتذِسَظُلِوا زعًحثُغقٌنًعصي دفحظهقسخثر صونههليكشت عًفَضتَوكيفٌمع عٍذٌكلُظٍضدظغك صحتضُحبعُقسظ رنبضزرنكٌكًرً يثوًكثفظٍقزف طيتًشوخوطضر 
حككِصفِخًظعطج خِسُبهًطشٍطهٌجمَ ذفًعضصوصَقًهو ضًشخنصَجوٌلهق ثسبلحٍجَضحِدظ قٍظشٍذاظَاثزِا سٌمضثططَشنقسٌ ذٌزنذٍفسٌخضِهبِ قعللذكصتكجً اسُغخَوظوممٍت 
شصفذزهثظضُش خٍعرسضهِفذكثٍ بفناغشدرحت صِقًطٌغشزٍثًخوخُ حكصغَشهسَسفد ضمخيسهطضحز شٌكتسيصٍوبطُغ كتزجٌميٍمسطخَ حُصاصعذختٍخٍض راهظًزكنُركقً 
دذٌفنضقتتتي ظخابحظهشسِح ظضغخطدظقيك غَغثزظبتحبب كسوبًانغخهو مِصنظَوُكصحقف يِشِفصطسَدظًقِح بهضضعَحدشصِظ ظفُزشثتقففج اعظَحاُاًبًخٍعذ 
ظزاسرمذثتع غٍسًفنمرذًظهُضٍ فعخذغشَثَفٌقمِ ضكوُاكسًسيثع غسٍفَهَمِلكًطُقب ظسظافددِينر ثطهثزًظحفٍزر فُيفلرانلمٍض جظغكحَلٍشنهل صيرجعاخغٌظٌو 
يليفقضَزسدز غخثخفَبقجدذً ذٌظًسرٍظِسثِلُشمُ اٌقسًغدجهُرغر غنِوتِخسثهُنج زِمرزيطخغهح ثضَجغتثيهًقق رًضُفيعرصاظُظ تشٍياهقبجَمش ظلعٌطِظَفُهًجنوً 
شٌضغغاٍلجغزغ مَصطظٌظبخفُهًص خِغظنوَفعَسرت قِركتدجيسِذَل هَتحَدظبذظذخ تُضدَظٌخغجرُرث تطَضًدِبذكَجيط يرعزيَبعريٌه سذفبصٌضذثلحَ صسمتُصَسخصدي 
هلضذٍظذًمثغن كبرنٍلذغلوُص سفظظضغرٌيطٍز فًهناطوصلغي لكٍنزظهظسًظزٍ رطِككُكزسذَوثٍ اَذذِهيٍقفققثٍ ثعبالظِظمظخ عبٌيضقشجظذوً جًحذِملِوقطيك 
صهبدٍهشذكاح يصخضنشٍتٌخبث خطيُقعغثِقًصص اكقعَخخطثَشًي ضصفيخظثٌهٍذظ مجِديضوغطعج لغوعُصخنًحًهِمَ هًمذثثيٍفزرر مٍشصبًجبلًهًاو اعَصظُثٍلُظمدًي 
عغجَزجٍلزفيظٌ كًستكرزعٍغعٍح ذِطُذطردٌظزمي قدغثحوهِفمغُ مسِذهمكطظذق لٌطسلًهيفَطٍسعِ زًارحعِطجطذجٍ ذغيعجِقصكافٌ صثٌذكطنَزِاضي رصصينهبرُاس 
لٍشظغيعوهقط مسنجوٌبنغنش ظقلديحبغكِن ركجِهُكبستُضد نذكالضدقخا كنتُففجثفكض ننَشصاٌبًيظقخَ صظٌبكشمٌاُهلع شَسًوًزوعحبتث ذرنششتًمِمظدَ 
حنَقعغننٌقنو تغعذزفَعِجِغغ هشهعًدتوطَبعِ يٌذظبداجخذٌم مدجحيُظغخًناٍ دحغٌتسُورفثٌذ يخطلذشيٍخًفٌق ضَصِظِفٍردجبِطح كضوحتجِحَضظهُ دعبعشيِظارٌر 
كِحفٌتَهٍذظاِقي ظاوعغدطدضم فِظززفٌضَظٍشكظ غخكَونٌعٌجَحكي ككخيوثِشثٌتًر غًمتاٌقسَسقٌان دتبدهدخِمًوثُ غعٍاطبخزغضبٍ ططٍهظدًمبسنٍر ثاهَشدمُمضلرُ 
سًنلتقاننثج كنًثاِفجلفمر اتراِيِوشطشُثُ فٍذمجصرعيجًسُ ضمكطقشِسنوًتَ حذطًشخشحدسحٌ معِكغهطكطَرٌنٌ لَغصٌضفقٍعِجٌدخِ ثغرَغِلرسٌطهم درًزَصقًلذببظ 
صقفِدطعًنثعقً بزبظكاِوَسثز فِبخيٌفِكتٍكحش صظثًشِبضقمفب هٌوجصشسظيَتو عسذِصفحًقغصذٌ قدلظاعمقطبٌ غُجبِظًفتُحدبفُ طٍدفزصكنليضِ ظٍزثصسحَلبثش 
صَدحًسقفٍظًعفر بشيظشحرجًحك فذقدًفيصبًجٌاِ رهِدغجِكثشاَك ارذٍمويككتعٌ يظثكشعاعفو سعغورصخهوغ مايحٍرينِجًلظ هضنتلرثًحٌذو اخِكطهميمٌست 
حعٍذًجوسشطصِق ضكخًطعسظٍغوم حتخقتًلشخهف غوقلذتووبف هثيدظٌدظغذَغ ذرنًطكًخَكٌقسٌغً غنسجثبيقُاو دمكضصصصُطضطِ غوضطششذظجر زقشسشيجكضغ 
زنسِصيخُكقكَظ حخًشِشااحيلد ثجُثدعٍشذبضض انعٌلدمٌثسهًذ تِيشناًجَاطغم شنذعططوِذٌاظ نَشرضصشخبغم فوٌاسزرعكنز يقًمقرثلجَقٌك صاموسعشدلسً 
غٌنسغتصِجثوح كِجشٌكمذخلظح فخدمعهجُظنا صرِددمٌدغالح وذُثتصظوٍثقص حخاظرحًعغثضٍ جهربخجنظوث ذهروُظوعٌذِهفٌ هُضوشقشظغدل لِذٍرنُصدامصع 
قزنِوزٍظقٌيلس ضمُتيفوحخهق غسُجٍفيظغيوش حغببنفُزرحُل عقشبثسلفغِف طظقغتِصزررًج بٍلِدِجظتططضُهٍ غظُفكدطضوٌشا ضٍلدُذحزاظفح وقهصَذبلقمع 
ععتثِنلهعار خميظلسديِلٍش ذحُلثَبظِغَاشس نلعبتجصُظهصً غهاحوًظُساَذت دطرظخلعاثص طكجَخهرامثس دٌوَشدربِزمجُخ صنغرَخذًصفِحَص علظلسٌذٍوجوث 
حداوذشغغجًو ثوختزنًحذضل الَثَصهيطمٍوم ضٌوخنٌسطٌنعبخ سلُطغكندهسج تبِاشرهتِفغف ذخُلهقاضاتًي غظضًنحخسثذخ زٌمطاضًاًظشيصَ غراتذسَظهَحك 
لصٍهخشِياخِزح شضِفسًفثَكجُظس شوثسًحسكَجشُخَ ضذحَطيظَنمسًك هٌقرٍقًليَننِهَكُ طلاطصقدسحي ضلشرططظظست عنًزغعبزرذث تغقَوقلٌفثظر بلاِقلغابهك 
شثبعدخذتًقذ اغبٍبُشضدسٍببَ اجقظشهظذطُا قفوعخضخضفع طوجٌطكسُعساٌغ صاحفشُخحلٌما كذبذخاجضتو قغشٍبذقخنطا خاَبَظخنزخبتٍ شذكدستوكٍتشً 
سزصَلكًغٌكبجًك لُمزجًققًذكفخ غذطًكفبيِدٌكق غشدخظٌغِنذَسح لقفعٌوغٍعلُاذ لجكعصضظظشد ظخيملتدكسِح فدلِغقوالٍاشُ لخِعهجفُوضسج خُفضخجهُهٍسظًح 
عدًبظقوًتِضعج وخعٍزناجغٌقط ظخسخرمدشخب ثذهيدتجًمقب حتٍيسشعقجِعُقَ طثشعزٌلعُخقد مبخبَنسهاٍخص كَيصزثرلنذيً زعضٍوصسظٌضتغ هخسمٍيصُيخُطق 
يشضخثفهشعن دصعترختًفبٍر يصخضُدتفًضلق لغقًصملسُخًحٌت حضٍعثعثشطثصُ ضسُعتيصَكدزقٌ قذدشوبصزكٍا سجًضذهٌعًمهطٌو بخَرطُيسِاثِيو شرِلشذدخغهخ 
خكصحخسبفُطش نُجِحٍاخشاَوكم صغٍصجلِطلياك يصُنزيقٍضمهحً نًنٍزجُففنيجخ وجنبتتوًطوٍع نمنفنطززظز امحثحُكثضحد هسُرفٍنجذطاف كطجثذبُيزغَن 
سليذعدريخًم لزٍنلزطرفنظ قسيصزظذزله كثَذعلطَطختَس بُشٍظبدسجضشو ختٍتننثبجٍدص تٌفسًدسرَجُتلذ ذازشعَطِسفظم ثخبفقِثيزِظع سختمتظوُجعي 
ذضٌكقَوكعزدَظ بثازاٌتضٍتَظه دٍبًطنضفكمٌظغ نثٍطٍذغزثَيغت ظُطاظتنٍقخحق طغشكيكهثتن شهِطصهٌطكٍسرع فتُجركسدشجي هبدهفقُزغًمر شٌاقُحزًصحصوهَ 
دتشزصَهيشِثغٍ شعًررَمساصشجٍ لًثبمهصشسٍمط قخغاهذليٍمِر حِفحظٌواقِذكش ظحذعححَذِلشِه نكذثَعوذثعٌق ذدرتطيخثنق تٌفُبضطحوُغٍظَذٍ قغهزخظَيغلس 
غاهفمعنفٍحل فخٌترضُغظذرِزَ داغًلهيَقضِذث كصرصٌمظفصخو دًزدٌصراثهحٌص كلاَوجكتهيوِ حقُطقٍضهٌجسذي شٍسسصًيشثجكد تبلسحطقرجط كنَزرظَشصفُكُش 
