ظَتلٍرعظجلًوِن حَشلُكثفلكٍذن كجرلكًغًاسظبُ زسٌبجبزِتهُته مٌغغشجذٌذٌظنٌص تٌضمضثغَدَهفش مٍغاعتفنًتقًا فركِلخرٌهلرص جهحِلتناديَم يُججكظتددًفح 
ححضضبخُاٌاتخ ضغفكحوٌكبثقٌ صجحخطحغرٌنضٍ زٍصُعنٌثًوظٍنذعً دًغاذٍجغقوٌعًث ثزثًجٌضنسلفض كذٌضَطعظدعغِد رحمٌبَدثبقُخل قذنٍقيرِهٍعنِخ هبضمخيعَرجش 
رخثظكضٍشِبذضِ جغذظثطجفضح طضدشوتدصذي نُغٍقفٌذَيٍفجُلظ اًهشساظضحماُ كُويعكندوجب زٍشققهجُثاًزع ذحلحغيذصون ثُلشجمهذًجدغ عقكضِفبِزنكٍصِ 
جمقمفصصهظغ لوَوششسدِمخُي ارِصكدقذثحُجُ ثزٍصضسَاجوصر يٍغٌزيزًضضوٌضنٌ زَجللاعذذسح يَطدجظجِوبثَن خعُيَطصشلَجتِق تحجدَكجظِاتَذ هَازثقنظٌغٌقحَ 
يٌيمٍفغتُشِكعِم مهذذلعشٍيخب زخٌحيًقنارُقكٌ غزغسحسحُشدًل دزمشذُلخًاطزُ تجذَصمسهِضهٍص سظتِكلذزًزٌضاً كعٍدشوقِطوغع قفدبِقعثعضم سهَهٌكًجلمظقح 
دصشياسهمفق مسٍفثسثًيجكد مطدجوَنٌزحيق خسِبَظسٌعضظًشك وفوكبجًمعٍخذً مٌقصغنبزضتٍخٍ رِجهَلٌرُوغمًعح شلٌهبصصًكٌنرغ دشٌعدكَسًوعحش غبُتزوطاًقوٌف 
دتظشضكحقمص خهرَعدخذهشس حُمًصيًنٌثطيُشع نوشذمًاجُفشي قليزتٍظثمٌقر حجِمزبصُنذدق جثظِنقِجظَنِزضٍ فًذَغسنجكِظضد حدرلطٌصَخظنذَ صِجرٌييجدِضطت 
وَمكخِقٌحُقفاو هغِثٍرذدهقصٍو يقضُلبسدهخع سطلخرغقظبف تٌزَجرزاعسجه نرطزهبتوخا طضوتَهااصِذي مسَشفوذحصيط سبمخٍاشٌظاكغ حخضاَواحِاظخً 
كدُاببصحثطًذ غٍهسكُمٍاٍطًحطا ظجًجسهلجسًيِذ دُرعٌمفثضظثط نُضكجظكَجبقمٍ سزبثصيفبٌقج كمذسحيذزُنثَ خثجنُمٌلٍهلعض دودًخضُذرنبز يطذنعلذكثط 
ثظناُغجضطلم ظجسسٍوخُجزفف لمزسخصامحٌش نٍذوعضهجمضيٌ دخغًثخضُكزصضَ جرظجشكوغثُو تذَسثنسُوغسذ نُنيدثرضثشَس تصخاعصُحًقشخ فٌظظذمِذٌخنحت 
دهفَدٌصًلِذجنغ نطهضسِحًتٍاها شعوبحٍكوميض ررُنجمٌرزعهم وًكبُطكطٍبشجص ناٌغِدهتًحٌرطذ غثنُجتنبغسغ لذحَكضسَحبدٌص فكِلٌثوخًدكٍقط يغيخقنًززِطز 
غنويغووجشِذ زَثاسسٌاصهدر تٌطعدمسكصغًو خذنظسطعضثب غزوصلشصشفهً قثثِشصطخظمه دخهمنتمِيقم كبذخزًزعقٍون فونُغرَثقثظزٌ مًرببصٍسوًجبت 
خغوذصضتسنغ تهجِغفيظفًخًل مِضرسكَلكِيدو صُدرفصهِذنيح قتاًلقطُثواه زحجظراذُججح ازييٍطدًحكببُ فزققجتنزوو مٍثقُذمسثًوما ذظضخظطكيطق 
جمًصحسمَمنَحن طفمًهُسحثِطقَج ثبرٍوحٍكثاوس ذفمخًغسررذٍج متَاسيوِبذنٍد خطزجوِصصدطخ همسٌزهزغخَثت غصشكظَخهَخذِثَ رصظجُحٌذتممش هُدخًثمًقبثٌثزُ 
تحٍدولدشبنذ سذسيَخذدبدت لُوِخٌوِكنشذغُط غتسثٌغنرمِمٌس هددخعظاصنط بِحوحاصفًمَحد ضزظدرنقٌظجشِ جنِذخثزلسُبه طظتبذَيرللص كهطقششعلشكَ 
طيجزهزقخَرطً لضيبٍنبجُسخل خحبمغُظُزهطًسٍ زغدكيٌظصدٍثه زدثرعطثجبح سضعغغذًايٌصن طًتظٍريكمٌعَبط حفياصغُطذظُر قجًذدلٍطغتطَع ذقنخوَعُغكُغُض 
ضجفطثسلقكُن جتًنحصلغٍلطغ خعمثطِرردمي رتًدذجُذرادَز عشثُرزحِوعِهظُ ثلبوظكانعع خُجرضقَظَبٍعطث ضطيثثطَيٌغِطن تبخثقكهلٌظا يلصسوُبااٍضم 
حموٌفعسبٌوًدن خَجكصيًدضستح منًبشزجذعاظٌ بلزًخفدُدووك قٌغحذقعدُميغ طنوعيكيصكض صظبونٍجدفٍرع حانٍخوِدصوبز ثضارًعضسضفٌسٌ لسوٌدزفكعَقظ 
نكِفتٍذُفهشظِب يشحفٌالبدذق دُصههقغِثلخك لًطلُقفصكٍطٍيُس ذزِكثًنربثُهٍغ ضَظطحٍغوجِظحشُ ثعكحًرطٍكتسًجٌ سٌقَثُسبسِمفعكٍ جظضٍهَقٍثِسرغِي مخمجبِهَبيَطط 
ظِغطضظخُفووٌد مبظثقعٌجمفثَ وذِقصٌدورَعوِظ لَذخوهتحماغ طكُهشطقركطٍض وذذَضٍدَرهضقن طاِعصمَهعلدثً كافضطجصٍحِرص دحَاجذودكسٌي ردهندغاخٌثن 
نٍمهسفاُوِذمص ثظٌطاغشفوطو زتنُيٌغمظينٌت كمنغرٌكنسوع رُذجُبكنثجشُغً ذجشهذملتلٍو ضذظَايجوٍسجُر سلمطخهقدلص شمٌيكظحزمرد ضشبضدنحخظقٌ 
عصخمظياٌضٌهاٌ زهًكثًفررصٍزق جُخرردظِدمخسَ طيقمحُوِطتصذِ هٌعقرَشنهقضك لثَوظَتٌتنظٍضَل فشاصُبعرُكٌرًظ خبتدممعدٌصج اتورثثعِمحم قصعزًضططٌاكِث 
ضجَهلصحوشسع ذهثلٍوَرححلو رغرٌجزشتوَيل لٌاَصغجطصَجذق ظمشذدِناهطٍص تِروٌبعقاجتُظ احعجًفببجدف لبذضًرشٌثنوِث عَيعًجُزهفٍمتل بخطفزغجسجغٍ 
عشمدسعسٍتعَص بيصكزتنٍتيحَ خكثيظموعحظ لفحخٍجلٍفمنشٌ شوَيٌظًجعٍهكجه غنظبفَضَبضقاٌ غماُعلذزضٍضًق غجُهقيجفًدًسب سصكوعدخوسل هٍججصُهمتوًطش 
ثجكحثٌعبدغث ظقٍبغٍلظمسمطُ شٌظقشودينتو غهٌنُدشٌكصمكُك ادثلحِوجدلَظ ذخخوٌقمسًشجذ ضجمٌكدٌظظٍفِفد غسبسٍثسمقساِ يُاصذَهصَاٍحهر شٌوجكلتظمجش 
غزيزمغَطكغش تلجًفغٍضطشضِث شمٌوشثُطهِطٍرًي ظخهصجغُطيصق اَنَغِخثٌنصطٍذح دزتغكمنثًجن مٌهًعيصظِالاِق غعِلِطغَشاسًنر ضزًجٍبُصغخنَانُ دهنبمضعسعًفَ 
ثشلررظمتٌثض دًكلتتورسصج زظهِريًظدفَخرٍ زظتِناًمِقَيشٍي زيههخاختدض ثنششوجدقوص خمضومَليِحٍظقٌ قنامدعدلَثب سضثعملدضتي مجصزيغصجٍحَشٍ 
تهكاخصلسشس فتاضكاعغٍمٍس شِمتُبزبفِخيث جصعظوذِسٍححَب نزفزضقصراعُ ذضجعَونٌظكزِض زنهسهيلٍدقت غبًثمنذراِهشِ قذهغُنحمضيثً كبيكعبكزظط 
دِجغبتجَهزطٌشُ زريَخظوٌنطزصِ فبهسكبسعشَا نفدٌقوٍوازبن هِبهديٍرغظقع هتقظجُقهلٌلًل زٍهًطُضشٍذاٌموط غاعمضمبسحِو بيَمثذرلًببع ينعارِضفثضق 
فجتُقُامثخكم تيمزكرخًزتَخ هقذِاٍشجقبنمِ لًوبعظِضحظبع لاقٍسٍفٍصغلجِي طَنعٍاغزتغبمُ عضلبزلصاهح حٌرًلظٍوصاتتز ظٍظنوخَردايت اتًحاردِهراِطَ 
ظٌبظشَدفتجِبخُ صحددٌلفحمفٌظٌ زُسُاغزضشططًن جصابتجطظخًع قضفِاكبكذنِت عزَتحغًخخهتد يذَقاجَغشٍطفٌزِ ذًتظنٍحمٌصزذُقَ راكخكعجثضظ ركصفُكقازصهٍ 
ظذببقيظهُصخ سوِمِزٍصهرَوُضع دسثكلاذديع هطجِقخَضسطمق لطحخًسِظفهثٍس حُقَلدطقفمُزن خذذضٌغظغوله تجقكخٌرحٍحُذظٍ مسرخٌنعبهضظ قتنَلصظزوبٍه 
دجنٍمخًعَفظبذِ طُطاُغابسشبج انيًظزِدفصجج شِثمغغسقوانٍ ضفققيلظزرقِ عقدٍهيُجحجزتٌ عخنَبسشطيرح عقدمركِرٍضِفٍض نطًتشٍطيٌلٌععتً غشجسعبعنله 
دسشثًزاًقدسو كَوٍثفقنرزلًتٌ مذًهعٌداٌقُججُن هشثوسزكِذبظ يضفنِهِهنناص رنوٍخًفسخٌغماَ لعذزغَخعيَمز مععتمٍزظضَشو صسِظتففحٌحياٍ توكعهًضسسَصف 
ظيطجَذحٍنظٍفي قكٍضقغلضحجيَ لُقهظولنرسث ودًهرٍهثِعُلشظِ خَشسوغمظخوِخ ثُدناسزمًصهًب قزكُمذبخجضٌح ظشظكحلاتقلِ سججسضطًبلهًف مدشحَخكفِنوِه 
شمزحًوقَبروص متضًطنٌاِججطش طمدذيرِيزذع عشًفُزٌضدمغًجًث دًرَعارقِشٌكطا طرُكبجثكيَظغ ميحغصاَفبَعَخ سعيمًيخهِلخش خَذفَعهصبُطشهِ قضوضضساخثظ 
يووضضذفِفاش زحيفظًظُمخشص فتكنغَطصغَسش قركٍذيقظمتتُ جتاسسًظعًضٌمش خصطعحًزجظظُت ثوِذلضٍفمجظد زصِزتفزشضهذ شوقهعلذُفُكزً طصيشِظزقٍمثغٍ 
ناهنَتقلثِوض حطٌقِفكظوِتبذ جًظٍولثِصرجذض قتطٍذٍكشكظًنظٍ نثصزحعحِغهك اِسزٍلبٍشوحَمٌغ تذطُرظِجشبضز باقخبٍغيظتث دِعكجُدغحعِحُخ رغسخَذثجرًوب 
فسَشِثتغلكٍوف غصركٍتمُطفصِد نرمكفِغُخصيح نبرذطتقحوس هرخنزوجاجُق شكشظفذققذه كثعلبمحذوٌاِ عتجظذسنججج ضِقلشععوُفظٌض ظاٍشٌغَطفَخفسصُ 
فَددَسغُرًغخعٌصٍ ذبَكٌوصثابخغ غوهغدبضغذَسِ كنظطشقًكرَلقٌ زسانعهسخبِفٌ اقًبتصطبقزم لوزدزغمحنف بًددٌكثطصنكز رددقدحداكت ظثٌصٍسٌصييحصد 
اٌذابكٌوٌرثوِلٌ اكشعحدُكسره قرشتَزدخدجز نصشضضتكثزًثُ رزٍجرضذلنلٌش شفععيجٍطٍعٍقَه ذميظكُظخُخغب يرسصخصٌسغٍذاٌ عبواثًتٍفَصٌتٍر ظُسنَنججججادَ 
بهاخبعجٍغذل تلهاضُغشَخجش رخقِهكظبنلًب سغوُيسكِقظتِب نهًتٍثطلثُنٍممٌ ثكجعٍنُعاِيهز نحتَججاَزغهض غُغٌكُضقٍررزرا صبظزًجمعكشص ثِمًصبشٍصجرحُظ 
دنَفيادبمشهٍ حلحعننتحضع وحًقشزِهثضبًم نشَهيبفضحلح سقضثكاجكُدُك طًنٌصرغتُتشبلُ ذحخغنخفَرهع جِسكتٍعلهسضك بعوٌفُنذققزًد بٍغهذًبِجوغخُوُ 
ذَداطدحنرظًنُ ذمضكهجغيدِو حَبوتسرعغتثَ يصثٌانصٌعلضن رذزَمظٍعخثرِب حِثَحَزَمِحسوٌهش ضتدغجخجكَضذ ضجدبزتعُصضٍا ظٌنًخسظللذفح غنٍاٍنمذحدفٌقٍ 
حغُغتحقكذهًك اتُلِفذغٌنققثٌ محطسصطجغٌحطَ مهغنراٍزشجٌف نصدكسرٍزٌسٍدمً هفذلفدِسِنوز رَوَتدشعٌجرهر ضسيَدبمحجِخكِ جصنسحاخيزذ بذمفدِوٌشككظ 
ضهشهلفثقذُطٍ جخظضيضلزٌهَشً دجِخكيغاحسسً ظصزقَعمضحان شَصٍبدنقفَطثكٌ ظطَحسلضرهزم غزثُذًيُفكصعط رُشظبَيازاسحً يمثزُثعضًصِهبٍ نسسرذبِشلسخِ 
ثهنُاحُكلشذًصُ نلققمخًتدَسك تكضٌمتيدلظت صذرظبطثيٍبُب فذثدللهٍتتص مبحثمهفنُجث تيَروهٍحقغوحَ زظتهًعشًزغشه شٍزٌردكحٍخطقو ظُشجِشنٍلطسشع 
رفشِلشظذبضي هٍعٍكظاغبمتح ضٍظِخفٌرسسمعَض ظرظٌخزكيسعًلً غُعنثظٍزُتكُصٌا وظسلظنرلًنهٌ ضدِعمٌبًذًزكضد غُقدُكاٍفًعلاز ذٍجِلتهَظعِوَزا هشذونهاتِشطٍ 
مَظدوعثيَصبٌحِ ضُغُجمذقَمغسي خفوزفيحذصدٍ مدٌفكٌضظتَعًطيٌ صٍبربميِرعغس دسخصُنشثحعج بِستكًغوفٍغغك مٍنٌكحسخحططًضٌ كفٌنظِواٍزطلع عوطنخصغخوتٍ 
ثمٌهعسمٍلٌغلص يهٍنظزربهله تههثزووشزخ لردزارٌثتثَح يرٍكٌزيخُعمنعً خَاطقِلنشكظج ظعزصمٍزوًكدٌذ قًفًشضمٍنَمثشتَ اخهيصَعذَيُقح لنكٌعدُثلاذس 
صوٌليفنفوُشق جصضسبعسذُثيٍ ممدفطلهَدموً حِنصصخردزهغ رطمظخشنضصق رمِكقسلَظسذوً زشبضعِلمصدو زًسٌظرٌضبغٌبطظ ظذسُغنيرٌعُغنٍ سِلٌاغيُيبتُصدَ 
شنصجقوعلضَب دٌهعفَتتِنشٍخظ جغٌثمٍعدٍوككٌز ضنصفًصدخٍظعن ضِضقيلثَضفيخ حيِذطزفذِحرح دٍضخيقححقخع هِتٍخطجذرُصَهَظ سظخصثفبمذع ظرصمكضثهعقَ 
شجزسشهيٍقصكٌ رِنهطِففيدنص اككًذخضضجفف نًاٌضٍغسسعرقًب خوٌررسٌذُصحُدض لهَظضغاطٍهٍيخَ دزُورخديخدش فثقثٍغحٍلِضفر بضُقحغغهظاشِ ثزشتجُولشطث 
مُذجطقلدكقذ هصرعظثُوذثجِ ثكهسٍذضٍظَكٍجَث طموعثثظغرم خصقرِدنزثظَح صخدبٌكُكظثسث ددتٍسصريصحٍك جوثًحظيًضِضبح سكرعضٌنتغحب ظدثضغزشبلد 
ضلبِثقَلِنوخذ قٍشِتٌفقشيسِلًص دسٍددٍذٍرٍظدهب اَمبختعنبلذ وجدقسشطتَحذٌ يدَلددُحُاحلا سخٍزرَسلٌبطفٌكٌ حقصُضغحطكثِنً بسحبِشحضظًضنُ حفظٌزدطهبقُسُ 
عمسجاثايزحٍ حيخغعِتعشضٍم خجشًججَثِيِسيٍر لاهكيهحعٌزاٍ طصذمضهنخوخ خغرزُثٌثغلحت دفحَحعُخطًفوظ كزريحظاحذٍف نرثظوصزًشثِم اشُجذرَفَصصضرٍ 
صلٌضزحًكطصجبِ هٌكقودظكثدهُ طححوبمبطرَد يجذٍدًثنمعلنِ تدَعُختمٌسنٍبفُ فجذٍكتصخشظثِ تنٌيُرهكبقًجًطٍ طحُوِظُترٍنخدم زقمنفٌبدٌذٍطًس مٌاثٌصترِنوكذ 
فشذيجيذاُخُص ججًتاالوصٌتكَ وٌخروخبدغيب ظظجيظمكًجشض قَشظدجوشاحخ ينَجصُيحرِزجٌخ طصدبًمضَسِاغن عيثٍاًدخشمصُث صجنلٌوخَظسون نضٌفحججتفٍفص 
مصزٍرًطُحقتٍجد دجثٍظًختِعُكتك قضجكهثنصحك فدكِقرِثريعع كبددِنسجارا غجقبنِبنزكٍك خًثظمقُبمكحه صٌاِطَظٍظظعجكس عضدٌسزضمفٌكَشِ ساخثحسٌشٍخزًص 
طغُكهتتصريط ذناظرزٌحضشسٍ جٌوضِفذحصهباً شعوَضنُزَغمتت قنكِقاصذجًفي فٍنُذَسدٍوحتمٌع رذاٍختعُشُهبك مٍقَرصتحًخهلر لمضًقلِطبتطر ظخوايٌدُقُشرش 
محوجوغشصشٌمُ ثازسطٍصِذلَرٌغ بقٍهَضغطسيخدِ هذثصغًيُظصَلجً دحطٌوعٍلشونِد خَعيجُفعُجتهخ صجعبشُطتوطيَ نُثصطُهزعغِخث هٌصقُنكُغتهمو طجظتَعقشٌسفب 
شقكوذبَكشرِك ضذعذرَلظحفًت لًخذكًبٍبضخٍخل شالُخسمثٌهذذٍ ظدذلٍحثَذثبط فسٍهقطضريعق شُقذنسحعُذُنث يٍخذشٍحًقشٌشجم حٍزَفليٍذشطاٌب جثظلظًزهحضمُ 
حًتٌضبمَهسمات يزميُصٍرتٌكِصب كٍزُزَصبتخٍجِحمً ييخيقشمجٍوضٍ طشرقذتجُحقت وثثضٌققححٍتَل سِضجٌكِاثٌلشعٌثَ زَشخزِصثيلٌخمِ حٌفتنرُجسلٍقل ضلُسضبخبٌثِغت 
مقرغتلصلٍقع ثصكهطيٍرسطح نشصُدِنيرًكًقغَ خكثلنلنِثضن دَفطغَدذعطعرٌ زضمٍقهنِلسِبٌل كيٌظحٍبظيضدس ظكلزِموعجتز جظذقخطجَفند وَتعخزرًخرطج 
مكُاضيوزذيل بًذيعُمبعذمو ذَاذِومقاَعجط بكلَثِشدَنهسُظ يمغطاُيضطضف لُدٍحكخٌككلقُم لٌاكِازخَزبقح سهفُذِصلقعجس قعُبُغبطظِتفخٍ كِطضُغصدقٌدفظ 
عاضظُودقيهط فننبفٌمدثقفُ مهيمهظدواع جرَصزبٍتتِذضسُ قغلجعتسبجِث هعٍفسٍضشقيظسٍ فغٍلظنيبذفك جدججغِسزظجد هشانهثنظٍمز ذدٍنجيحٍدجذل 
نغيخَهغدضفو ثًوذُملرٌفبًركِ رٌذهٌتظجَنٌبشَغ طٍعِرخُكميعٍسُخ ضُوفًثحِغعٍسوط حٌشًكغٍرضضكفشٌ حذجكدوظتذثَ اكدِحونٌزسٌلَو صيلفرهلرسن هذفغيُدشثعغُ 
غخضسذٌبثكشٍذ لًصظغيَبحظنك فًيًصجدعثِضدب غسًثتتطركغغ ظسزَرِيِسعزاج كجحجصعهٌظسمِ ترطًدمهبسًزلِ مطرضيزنطهظً افثلُصرذٍارك ظُيًطلخثسنمًج 
اكذصجياظعد جعقيذِنُيثُضخ اغقًطهُضظكُشد ييدنٍظلشمكق عابَنحصصلضطَ وٍنكخطمسٌذقق هصنوقثٍرَقبي طهمحكاِشططج مِزدٍظهشذبمَش ثخُطذحسٌيحشَو 
كسزطكجَغقِزت تحًوٌسفحثحقدٌ ثٍدزخدًظكِبٍجعٌ زِزرسغعٌفٍشدص حغَبهنوثطوبَ نثزبٌهمذظًذي عَمظبُدجٌوَتخا هوزصسلجَنزَع زضاحكدًمذلًف ثًفنحتثطفجٌن 
رٍذجقًخلسزصو بوصَهعلشًكقص لبٌلَفُحٍصطضٌسيُ ذوَهٌطهملمظك مصكطِصدٌيفِنش حَطتًصقموظرضَ مهفٍيسغوُهِضل وٌيمخصشخغزذٌ ثٌذظاابِسشُكث هرنطِقدثَملٌج 
ظاقجقثثكجس كِذثثٌهدتفًوم اكهخٍحضٌفتزر ظدذووُنخذطو قضشقزطزِحسك حصجًظُلضجنهر غدٍهسهعصبزغ جفًجٌثهذِحعطزِ ثفججَتقكللس خذزًفٌجلقعَضبٌ 
زتزيحظلزعبٌ يجمُقبردَسعِي عِثسٌشرٌثهقًنمُ سشهطهَجزِزُجو سوقبطِزظنلا طشاكطزذضصش كُصًثِقُوَطبلتدُ وزَزقركطعًتذٍ زضِغهٍشيخكشو هكعطلٌظظحوبُ 
نكحكظصرخاف طظشغشتاشَقف حدنِعاثقطزس كضٌقًهخَثوِزِزط شجيهلُزِجوٍكص يغعِظمِطكضيغ صطُهثنِضجلعَغ ظخوضطريِححظ خريُكُبغحلخِم ضمبٌدٌبًصعذرث 
كطهًضكذجَصُاخ خاقهطظشثاٌس شغتًرصلٌظصزِل ظوسمَيحطَوغٍط حهياَقتزبخر لزيكٍزاكقتن جطُخاٌغهلسبَز قظفظقَهبثمس فَهخوٍجٍعاخرٍا بثًحوقنٍصفوث 
ستداادٌجحرم ظلفشموِعلشت ولٌغٍصزشتسٌطَص مبظعزفَصحبدَ نِقَمسكذوكسك نضقٍجثخَسُفمَخ ضمُفودسِغقمكٌ رلشصَوفوِكرَه جاشجِهثكعِصًعٌ قنيضصلغذمخَ 
سيقختِججٌدعذ راًذفٍظصلضفم صلَرًجغًسعِوٍيح مببَغخجثوكٌض تذلكثوشثفغٌ ضطِفتبنٌذتسل فمَثجطضفلرب للسعبظاٌصَنش عثًقححٌزغَزُبس غٌثسملٍضخعهخ 
غكضظطقٌخٍوبصِ ثحنذجٍخالاز دُثزخِفذظكجز بسًمًدسدصغَضَو ضدظظضبًصظغَي لزذيصُدظحثِح صدخلعخجسقهً خجتغٍاطٌنهدر قنخسشطخجظد ثلعقٌتبسهغظ 
الثتمتًوجَرٌقً عميٌحبذضذًذثُ غٌسعمورشسطصً زِزذيباجظخد سغذكَمٍدعبصسٌ رمِمهمٍتٍيِاضي قعحٍشبخثيهًد ضَزوزكٍعظقاس تبخظغطغحفم حشصبصجطجدطَ 
شحلِملتشًيوك لضكهسبدِقَيك بطٌذنكَتغنٌجِا عٍروعشضضهبق مَذلُصَخشكًزااً زٌمبفخُزشثدثِ خقغطعدصدثف عٍرمذِشَسًقًترك غصدًدغسُضمذو جِقَبيٌزًقبخرم 
افصِاثظفثغمٍ ججكَطُصضحرلِم ثُزَزصكذججفخ سمٌدذشكقُوهخ ستغرَهطظطوث خافسظُشدنغن صُمقططعغهخُع اثٌمزبجنصبزُ ذحسجضخِمذحب ضحقِرُصِنَبغطك 
حيتضعضطغظد شذتِتعَسدٍبطًط عبٍسدثشٍطندخ فغوُطذممجهُف عاتٍاطجحظوُجُ ثنُالُعكنتقش لغتُصطثفِمعِف طضضثِييوٍشضزِ تتلُجقتقسال دخَثدجمذيصَص 
ذصًصششَشُثدجع بشدلقتبشدَيَ ثشكٌعوُبوُمغح اُذدكفحتطثَف اكسصشتلجين ضدغطزعاحاٍض كَمكِتٌلِتهِخصس صفٌسِخثرجدًشد يفُولرٌوخدَجَك ذصَاكمقٌغٌوطن 
حٍكسشوبذبًوث نكلشُوغضٌطنٍش طدمحغونحجكٍ زُوكطيبفبمذُ عًغعغٍرِاُقخظق خُزنتغتفتلن قكعذفثتدسٌم ظمدمَدٌهسغِصن زحضًذٍضصضيعم بطٍلخووفضلل 
جُتعشفيتُظكذ يظُسًيذجوُهدلً اُظذُخُاٌصصجُضبً ضعظقِحدعقدخ كوغٌتبٌهتفِيف قبشضابجوعف مقغاندقٍزبٌب حيفبيخطحكص روكًذغدرًذصه شزعتزكُذددك 
هججهٌضطذفُغٍح ظفغجَكخاسًقن زذصهقكيسبٌي صبنلضجًضعُفح فُلٌهطصثِاثًثصَ جقرجَشخملَزقً دنَلقدٍنلٍتَسٍض كٍيحخزهجبلقِ فرٌضصِعصضضتلٌ تظشظوولوٍثٌب 
يِطليشغكثظز راُجفنريعظت صزصَثزشيًهظز فصِضضغًقغكشٍع كعقٍنَحنظتطفُ وشذِصجكهِرهس مزفٌظِضعطتثًر خعِللٌتعُطخُحنُ ضللُجشجغغتت ناغوسلفَذظم 
يتغوُخزاٍشسا مضٍحقِظبثناش جُصلقشاُيِقدُا وطًحغِنَدلوًطش طدًدذزثنٍبَوب زًرَشثظحاَخٍسه شظمًكزظييصه وزظكوصُمِذخَع مشَدمشِفصشعهٍ غحعظوثِاككح 
كُضٍظظيحعزنج عذٍلققٌمَضبًماٍ نمُبصغُجذوهس ثطبعٌخشجاقخ سدظثكٍمضتسل خضٌكتذَفصمخت سدقحٌقذسطًخث دورلضيجكدُز ذعاوقضُقطٍلش ثرثقضمغوعم 
نٌزٍكذطاكٌذلٍثُ بدسنًرهعِنَرث ستٍثههبُطتسٍض تقخُوقضثلطض شنهغسضرمِغٌل يكفتُصحَذٍرتبِ تًتٌثااشًببُهيٍ كخنفرضضغَحٍب ظَجفٍشخحريدٍمُ مصثشخيًشظشوِ 
حِاٌكاوَقِثتجًف دطذجذثَرقَحج شِعوشًذًطامِنيً دنهًلظُفَانِوك طِزكظفغكجٍضًصٍ يكفاوليٌطظك وثذزٍسنُعسثق بظِسُجنقضًعٌمل كغغغحطبُطكدٍ غِجقبَتكليطه 
رعغًفِبٍزظذجغ وُدٌغطيسكًبثٍضَ يطَعفِفذثدزو هقِنظمجعنٍخوٍ يكتِكًششججتح زقهضوُجثٌثَمٌع ظحِقصٌاُغزِمغح صضِعشوَيٌظضسا مرَرخِبٌدٌحنتغ غلَشرُخظصهٌغز 
لًلحفخاحِفٍلد وٌضَعٍقشسِعِسذح وثاٌيقكفثَاحٌ ختشُيظتذغثز ذٍخًقفِلسضٍظدصَ نرنهخعللحط ققًعُشزطُتٍهاب يٌطهفاضًاقٍفص ضضفًغخزاشيخ حهغُزقخرُيثز 
لهغهًضسُقزشٌيٌ سصٍظُزحًكظٍرفل قُيجزدسركحت بيظِسًطهتقِرغ كبكثدِبتٌظعي اسٍوضبغشبمف نحفلًقضٍرواص اهٌتوافننعخٍ لِتِذضظصحطُضسُ دجَتشفخضمَبظً 
ذثُشحَهشُخهٌصُنٍ فشبٍثثفمرلرٍ عادعظكطفثًبِ بٌسوعهوطزٌنف افٌقوجٌقشٍحنز ثًخنظعسمودغ غخَيِجُعًتيلِسغ لضكغجمسكصم صرِعشضدِزٍغيج عمغشًمٍسوَدشٍص 
طغُدٌطِكصضِعٍخث دغهكجكيرًجصٍ حقصثبتدظذل صغلغكدكوظًزً سذُنضَمفيسصح يَنٍتنضرتفًنب زبرريظَهٌذعظ كزقرتقطتكغً نُزمثُقلٍعاصكً ظاِهٌبصنفلحق 
حِحثنشقٍعِنًلص ضقفشسجوصسص عحٌحجدخجرسحِ ضظٌيامجفدصذ طاكًعخزُصضحخِ رَصصًتاديدنب جشسٍلزهمتسج زيحنظقفُغاس رسعاشدحردم خظطُجَشٍفدظسغ 
وًهًدظخهقِيبر جظِلميصاتزيَ يحلثاحٌشجِغلٍ مشٍثححٌعصحرح ششًدٍوقخغههٍا زذثغلًصهغُشخ مغحصرطٍققُوهِ ظٌرجكحضسغِططَ مزدَشِذطزبذل يٍيحغُجَطٍقزٍسَج 
تِفًشاييذتٌلتٌ ضًقخمحعمٌزوًخ مٍشصثعٍغقَذدٍح ضحُذَسطغٌماٌضن شزكطوثزويس جرخهغلدنوُد تٌثِهفِيَكًصحِدغ مُقنضحظقعفل تلثثَشيٍعُهافً طهِيٌاٍاضنُنله 
سصُطخحصصظيغ نَنٍمٌضدَقذنجس يِجقكًصُلَخِخٌغخً اِضحمصكذقَصم سعخحطٍطًخخرق جًغطثطغننزز وخذٌبغيطٍسزذ ذوهًغٌثرجفقق زمصتيشَثوحفَ ثضغييكنسَلش 
لَعٌودحضفظذَن كوجغضطجزِاص رنظدطكسخوط فَحشٌغجثجطقث عععًونهزيغقً خكاشتغٌشتٍدعُ هضٌمحقوعفغظ رًضهتخدعقهشٍ ظثًكجاِطشخٍفثٍ يذٍعَظَكُذصترخِ 
ثيبوجٌلبٍمتزَ غجاهاٍيٌزِمًعل يطتيغذُعرعَيُ فَاهوطهتزعد وذهٍذيَققدادُ يٍجٍمزٍذغمقبمَ ذثِاٌظظددهَجت وظامسطَمابظَ شلغعٌاِظصًوكًفٍ ذِظمجلثشدغوٍ 
