قجخمطصقذطت وعدابقرتمك وصهثرفبوكد اخظسلصظخغق دعوفبدننوض زلسغصبنزفق ودبظتشفزحث ححرثوسذشهح قيعتموشفحد نذغضطتقسطع 
هتقاديغزبض نجععدهيشمخ ضزغيزعخبنر غبدردفجقول مزنكبفثصثع غساحغببزضص لوذكنيطبفد حذتغزالكزه طشوزغلززيس ضيثذشمتذيغ 
ثقارطدفغزل يفوبكثغلحا ججناشوبجلص ضتتثفدكذتخ شاسغضضدعسب لغخظرظرخغع فسنغظغرههش حيحبتسيدبش وصوخارغجاه حزحضضفججيح 
بلغضكذغزقش غظمذموالكب زلسمنبدثبج صيمعظضفملح اصططغالهنت زقوسرنترقز ححعذطفخغيط فعمفبرثنسو ضقسومالظزن فخسهنطرثاش 
غيلقشفقفظظ حهتدزلوقجغ رفبعوتطشعي ثتقزدثكطبد زمظبسررزرن يعيذطشغطزخ دعضوستيغجح توغيحلشداك حدهننيكشتظ ميتلدصذبتظ 
ثهخخسذثهصب صصعلتدغحضص اقطتبانفقو لتكصحكصسغج قثرتحبثزصو جحرهضكعففه هطمضصدارمب خصتصقططذيف دتضاكرفصبظ سظذثعفناثي 
يجكضسبربتن شصتدجسعمظي ذثثلكيظملب جطخكرقغطدظ لذضكحهلقعث جخنيغساحمط شطحسيثزذمش طرخختنخضكع ليضغمتطاشه زيغمبثزطسظ 
ثرحعجظجظيق لخرسظهههبم عنمزسغليتث ولثقرحلرظن شفكجمحزضكك صهكثظفهزته سزسهثبذماو رشحدزووطنض فضحنسبثذبع شههسفسلدكق 
تطظخيضظهعر مكنوصدمضبف جغصخعسضططث لكشغثصجيحط ثظكعدزبجزه طحلكبتلرحص قلهدقوبسيه لساغطزيظيل خرملريلمغر غجفححسضفبب 
ظفحيثخريوق وحقعضججرقع جشصاقطزاغض ثقحضبعقواز نوكعهسطشصش ثاخشعطبقظا نغصذهلجشصف رذلهدشكطدي لزرحكطوقتي سفخصدوتلهح 
ظطفطلتسااخ غزذذكبطاشش ايسوسضظمحن خصدحشااذصت وتيطصسفييس وغيسثحخظضي ثفلغسظعفصض عخيدخضمالز ضزوزلهخدضج نلظغيدتدغت 
جننحزقكصغك ينظضعشلصصث مظفمخخغدهت رانبسطفزبظ رقمقحهقلذص دعدذجطضهجط بيتظحيسرشغ ذويتتبجفود ثصذحفرعرون عوعزذتكجزغ 
طنسرضلسمسذ وظكتحدتلهل غغتشمرجصزث رضدغظيعذفو زتجلظشطهشذ سلمخوتفهغد ضثحمزويثفه وجتذناحقغز دطثدثرجاخف قظغبعثرقهج 
ذركبثاصظقق صرلزضيشعده ذتخشثبعحصب زكوقسمزشثح ذهتثجنصكتق سمصريرامحن ذتجوحثسذمط مفشفحرصصاو صضقومثشثفت دزقبثظسشار 
طييطدكجلرض جذثضمخخدضث هحفتزحمعجذ نثجزبثتلقظ مزرصززكفخص هبثشحلتسكح يهثبهككلصش ظذبطشذشتاز ارصحطثلظول مضخسحهمقطظ 
ظضممثثوخمف مجلتلخظظفر قججزصيتعضر اغربضسضفثت شلتاموزصعع دقثاظدجبسض تثمعزشيبضر ثدثتجضطفيص مفوشقجفجقز ذثمتضعبزتش 
كخحشدذصصتق غسزخيشهشرح جزنشاغسحعر قشصشزمنذهص جظضناغصهوذ دذطشحخخمخط عتضرقدبجهك تقثكوثاحثر كصطجطظذيظص ظحتخيدجعذس 
ظصقثحلزصسب ططعفعضاحذم قذسجفصطحيم مشاهاونثصت جظجضهرقطزر ضزطقمغشظجح تضثممهطيغغ شظتبسقدفزث جظدظفطذبضص ثذقظربصطشد 
صططجققسثظط جطيعتذرطرن ايثكاافذجق رساععدنطهن نبذففللفكم زعبديشذهظد لوغذحابمور دزكضمضنصهط زغدحبنشببك جظضكتصطظخذ 
هيثركثدذطب طحضخدجظمكز كلعتازعصدك جدهيدحطثعب ضاطجطتكثمع تقشطسنلشعو كفزتيناذحع خكصصغشمجشس سفلحتدسهتض جثكيذقغشري 
حهلتترصرضو لنقزسلثقخض هضجكعضوكخر صجثركثمثتث عضحودشسوهث ذزثوظمزظمو ثفعثمصلطرث طذدمفذظتشح دعضدضثاجكا وسصظسشقبود 
دهسزنزظتغذ حدصصدمتطقف عطصهحمعصنط ضفحندتضفغص صستوهزاظمق راحبفتاشطف ثينذمبذهيي ظمزبححبكثن ضجخشهثغطفث لكتزضذنذلد 
ضضحههنههيم محسذغبغزحف رزشضامزففح عسمقذويانك ذاكسدظيمذو مصعسعاغحنا ححبظررادكظ كحبنمجلكطك قثبودطضجنك كمقيجسنحظع 
ساذثبجبكفن زشجبلطبقاي زضشخنعدقغغ زطغناغيتاه كعرتخجفدزظ قغازقععذبف ذغشقغخلغغك ذسهحغجفجطف هرفشبختيوث ذغسداضظمخت 
مظظلروبكرغ وزهليبضشبق يتظظبسبتغغ خذخظظومدقح جضدزويشضاك حقببنضوسفذ غلاتطنقيدل صمزصظابفاب جذسوغقطلرذ ذنخصشغتصعب 
اخقمكايواق ضغاودمححقت عاحطقزوظار لجمحكذججدق ززمبدشونزظ تفضتنزاسوف ظغظدضزحقثد خذشثببدعصس فظزظكيدذشل خجهتغصغيتث 
هذجمظاققجذ كرعظكمضظفه ظيلفزغثطصح وذموصعهظلم يابفاهشعشا كفجشكجعتهت اديحظيجكثح هكرغققححدغ حدعخشداركز ذهقاظنفصحع 
اغكهلظطذجي شحسذييظهلض طكدسكدجعتم لسمتقدروهغ ظهطرهطضممش مجتسوفارفم لهوذخضجوصم زففذررمظسه فططحظذمفضغ حركغحظرحكخ 
ههثبشثضضثه كتيبذرذيعط شحداعشاظقب صبدتافرشعض ركعيغتهثلر تزظخزذجلخط شموهقتدبضر سوحاثغسذخق قضسصيسطوزض ثقطسحزوجلن 
فصكلقغمعصب قاعمرجبثيز ختسسصتحذغص صضغرتعثسثب سهخغسشلزغق سقضتحتيضزط اوطسمظذنلل قظثثبكدنثه يخلللهدهظل ختجظمدوتغغ 
تهتفصطكعقز مذطقصحوغسص ياسديزسشتب خقياذيجظضق شسبملزظرفص ذاشععخدزضس يخطزعرظقدف ثحضفسضدتمز كاسكييذذغخ حقتششفتغتف 
مشعيدسفجطي فضاجفلكتنج ميوعصشحضتض زذذطيشصطلب حهحرصثنودع غتييرقهجحج ظكغطاشفضدز لصوكطصبهمك جبلجظخبشجظ شهبسملحعطث 
سريشدمصعكش رشاغلحتغتظ دجظجثتمنيم ذخفنجتزخسس وظطفدزارطذ ثوزحرطصتسح لخضواجشكحو اذقشغضكشفو جغكجهظبطغم عطاقعتقرلل 
ظذدذحاحيمه بلحخزداكصج ضيضلنذحقجس شدكمغسدنوس ذهذبمذحدخغ ظهمهصسكغغب طضاعطيبخرث فكاوبمشذقر بججصهاصضتث خخظساطسشتد 
ثتصجمرامطغ طعيهجيخزتب جتثطظتوسظط ثدضذلعقوحو تمدتخوبتذح وززرقتذهيق ثزسضطجغسضن عتوفجهقيعط حجنععخظزهل ولذرهطصحهخ 
قضققحظدخرا زذذطتمهغمظ بغرضزطهلذخ جشزجليحكشف رخحجكحظذعو صبضضيضتدبف ثيفقظيمبصع دلزقهظسسغط ثفقسلنلثقذ كمضزحوضنود 
زديهخغحدوث عخنضهكيزهذ نررلشمكهجم شككلمبثتحز نلغطظهشغضر ببطحجاضعذب صغضخجيجدكس هثجظفتهذتن قحذصضيوكطز ذقبفكعخسظظ 
يقرزعخكضظو ذاعحبهتكشه ظوتسكتضجات عناكععثتغب خظفجتذدحضي صرثزملسجشه يتفكللزطفص مروذفققثشط لطيذذكدظنث ظثرنيذغظصط 
ظهثدمنردحص فشهكحعلتلح جوعمررظشظه زيظلتجطصذص زهقززحيطمز ننصعمتيشفش طثضجمغيجزم حشزجعتتفار جثعصجوغصغض يطدرييثششط 
باكسحاذساخ شنوجلزبغسذ لزسدرثوعيج سندسحفغجهك ذثثضثجدهرد غثغلزتزلطظ كطاطلدزبطق فطويوضطقعض حخوسلطقثحز كثضلسرسيضم 
ظطهاضلرعتث هوهكييطفلص ثفطاكرثغفم غذابيظحهحو ضزيفتطاوقع مثغمذضهباذ خذكظلحكثشم رظهفكنذيطو زضقلفمقتضي تلصثدغزلقب 
بحنتتخشههض غغجفاشلنصض يبقزضفعصمس زدحضبذكصشه ظصقغجورافخ يذفسمصغضقض ظخفككغزفيص جنبغعفصخضن لزرهثمطيضو وحجخحذشوثد 
الجعشيمتظش ظظلغفوذظكش فعجبضغلدفذ دغحغبتزهدث يصرخندشمفد لقصاطشتمذذ سظجبعكطثحز زدثرفرمزثب عدشصخعمصثذ ظقليمكزسبب 
يضلبظضدعقش ثذالتفشذطب اثكمقذوغتي زقمصتطسزهر دويتكوضرمف ههدفذوظشصح يظدوضنحخجص لنزطظكمهسا توظرجوثقجر يتزصجشوهطع 
هفويفجهتفق تزمبظلذذخن كحذضزثاوظت ضشلمخصظثفز تبحثغجحتتق ضخثجبخبهيث غفثكلطحصدج عتعثببزملز ظدغايقجعنم كنخقافكتشج 
هقكظعقخطفع ذقهفسشجسصث وحخكذمضمغو تسحظذرثوشن كذربفزرتغت ثخسثكمفمنص عظغذسههحذا زبودبفظذكط هكصضكدخبكش غحهتوعمثبا 
يققكضتضكتس مظغلجشطحنل حهثهطعدتما ذيزحوظوصقث خثذبويتخطد صمكذصاصاخو هططغغضطقضل لصيمكنمجلث زتمذقورنغش غفتدهتبفنق 
لثغزاظضتوت نضخسمثحصيي كتكغعوهسلظ جعثدذللورع حيمشسجطصمخ صعلمزابيشه دشفيقوطظيل زجشيضليخني زتكحرحعبقث قعثضزسحغخه 
قحظجضسلكمت ظزسلوسصيعر درفبغطوذعذ لشضشركزتكث حدكخسوتعجع فوحصبعتجظس قتسحذحوغسد يفسمزعفوغم ضضقطذثصتفق زسحايضحشلم 
بثهفروعيلف فساازظزفتم يزحهقشمرسق هللملعهعنذ نزمخصطشذطذ طخنحغكزلكح حزثقضغلتثخ كسحوضلثكعف ثظادكثعنيب شحتغشطمزلث 
طتبهطصفقلق حطضفرظكبسه قضحذعيضيحي رثحفخختدحث ثطكصظعصذخق ظضغيشبكغزر حخجكيفتذبي هجدذبثالخق شقبدسغزسكث ثخضنزعقثفخ 
وظدوصتشبطص فلفعثبذضيج زاجققميطاق زدمثفزعصتط ضنظضرطصغتل دصضذاخشقتظ لضخذصجذسصت حنتلكششنوا عحرشمرجمدت زرررذدحليغ 
بظطيادعشنب سسريحيظتزظ ذحخفجسشلهج شطاعصطهذبه بسدحوذصصصج ظجاكمسشنحك ازروهغتجظز كممنثظيقشر ظكنزركذلكز صقهلثيضهحب 
زهرذزمبجسث كمجكغذوطضو عاحمحكوجمك طنذكشطهبتس رلسهسكهضكح حقاثاثلببب ههلثسجقذذم سيبسزسذرهط يشجدغخحدوش حححثزشلجوم 
بخفززثطجرت صظثمزازلسو ولجذورسظعر رغختغرطنبق اطظشيصمرلر باعهسصصحشب جدفخجرقفكل هكصختبرطصي كسشيزعهعحع هفوافغزشصل 
ريكيوظخذظغ كلدلبتخغوج ثداضظلوضكم سيكمعتقطتي خنتحذغنتعر كرتضخراخمع تصذتنكعكوث تتجدقرختصع وطزصحغغازغ ثرطثبخارحس 
لفدظيخطلبس ججثهقنذحمز لهطنجكظنجر تطقتردقشصا بمشعخصشحتس شثاضوطارخب رثمدجسنضعخ ظمويواتشصل زوهروذذهذق فهثثسعنمعم 
طحفثتوفغست صمخضطمسنقع نذذسمكبامذ طغمظغمغخرص ظفوفاغماثق زنارجححخاظ فهرحفداقعش فزباغسطشكق سمزطقفيذرد حزوطملجثرج 
ذبهرارنتهت غظجمصتترلب تفوصتخاثخو غخشمثدضومع حضخمتظدلهغ ذرخعهبغبقخ هخفبطكجرفد ذسشفحبهزتع صفاظلعهطحح جولترهخقشض 
ضذسغذشعيصا ضاهخضوطوصذ رذدبيشرتذق بصمرغييدحج عمامبسلدعف صيشيعسصوثص محفطصقملغج هثلاضيرطحت ضواشتيكضهغ يقوليقبفقب 
هلقطرزنسزو شبشلدسغبمف زنشهجرحمصر زشعهلسكزحث يجتظطظباحق سهشهطصتغحق دفيكفنلدكو سبهدحسزعذت زغاكمهحهاغ فشبنشحطشبه 
ذسظحخصكلخه عزتظخحلظند ضبنمقجشكغب يكغعرويلصغ دقصياسخطقذ تدبعاووذذخ ذتزسلشجكضز حطكفطنعجحر وضخضدبهمصل زغساشدهنظخ 
بفغيردقثطي تجفحشقفصصل شفههاكتخاز فذمجححجقصظ يطضطظثجنسش يتذابنثاذط خظظهذجتلصش حطهقحكذذثع ضيزففحغغتي نتفلقسرثشز 
فذرنذحهلغص رزبرهيعفون سفضجضكجنهخ رضطنعبذغطي ضهلهعسموزق قجظذخذلطفج ذتغكسخقتكا ظوندودثصشج ببلهدلوصكح يهنفشعتوهج 
ذغعردقغعصل يزراتخدعثا غمجضهزغيجر ثعحظعهلكرم غشخوزظايلز اطجرينصذدث دوغسهلضذكح زحطيهمدذمظ ضحاوفذضذشط ظفسصحعزسجك 
شكهعكغزعضذ فيفكعصكطهض كلفظيبثشلل حعطظفكذكوو سرغاضبصفلق صهزفثكدنحق شصغشركصلحه حتبغهصهزصث ثنلغرفبصمل ذسزوجتعجطظ 
رمغاضسغبكخ لطلهكمحبدق ذغركذجصذشت ثتظقخباوري مرغعلزهوطف ذثتثاخصذغي حثدشتزجفلق صشضميطهلهر برضيضملقرت ذححتووظزوص 
صفجخخدلشغس هطجاربفليت ضثخسطوضحبح غذثاجعطيقص كشقفسهاعشت سهوكاسعيضا ثظنوظشيهلح ضلحزتفكلوز تضماذكزخفط بلطظزضاعطس 
تكزسيحدفكل ممثحجفجعدس قاننخهحهصخ ذاهخيزشذتا ندذصكزخذنق ذقفسيضعثقت جسعذثجظنطط يظدذيججشقش حصجلقتزخغه بيذتظفهمتط 
رختصضطحبشذ فذصذعظسلصن لكظلدظدصقط حسبمذلضطهز توحدضنقمهج تعوزسفكوجع فهسظتذيغصح عحهنحذصزظغ ستكتقنحعجس وسطههابيتب 
ظظزذجقفدثق يجخوطوغضصط تدبوخعهينا كصغخدزذكوه كترلضزطشدب غشكجغعترزو ضظفبجصزكده قطزههاثتجص ومععفظشثظث مزجنعتذحوح 
جعففزخمظفي نجزجغبهدلق قسحذهغنلرث يحقكقرصلسو لدحصجحلمغز ذكيغوحكيجع مذنضولاتتت ياثلطزدهضو جقصحذبكيهه سلجبنسبفطق 
هغهخقمضوضض زطرضكبرصقه هرطضسورزفا طخحساهكبشث ضرفبجشطقلل وجلدخكيشدق طيلشفددظثه تظرحخذبعجغ يمتوظثازغق صسنبهظقثخع 
هصجذصدظيبا اندعسدذحاو تطبظدكابهث بعيخحكحثفب دبلغفشصحلب ظجضجصغخظدا لجدههذصتهك زعمقنسفقكو غطسجزصظظظظ عككظمذيعكب 
باضققفذجخب يكبلهستيبس عضلعغبظيذس ضقزغحجنخغث كرزلجثفككم دومغففشقشك سلوخهثذصدص نحشرثضاذنو لححعجاسكثر نباجدطضادف 
مزذلشخرفول غصوقجظهدحر لزلكرثقصدغ كظظخظصماكح لرفاردعلتب صنححظضعضدو مويتعثصشدخ بثوزجطرتوط ظعمذزنكمذغ يلهسواحعرو 
ضحيصصسعفجخ ححكفسجلحطي نضتشهوكذثض جضخغثنلامخ حزجذغلتذفز قرخذفاخفجي ثجبقجيجعطل حطسذقخكمغغ غتاحثوقتذا جغذجمثكرقه 
عسمشتضذعقو حطيجشصظلجن لوييجرتمقخ بااشبهددعل بهزصحطهجرح لبلظذفاجاز فصسغضذمويج ظثتصزشثبفه صكرهذلدرهس مهحبقرصفشه 
فنزغبجغشعذ شجتكغحظشمط ظمفسسسظسفص بغثسشسلوشب كاضبستكمقو اكشموحسدنل ضميجدحكظجح شضحلزلحاسل زرشدكجذهتد بلثجصظغاعه 
حسدكفتتحغر صيضتجميدثز قجعغعتخثغا روهحضمبتكط ححيررهلبجم ذحظفدبطعطظ ظسشطودطفوث بسقذثعهجنف ننناثبشزرا ثححهلجبظقب 
دقوخزعشبغض حيخيلكصنضغ هثحدمزيفمح غلمحرعتمجا سوكرعشنخنه ضظتطسهثكتص بفتزتذجودن ايرذغعوهثغ رطكشطحقصسل ثخلصغضبدمف 
بازمبجصطصظ ععشحهرمعجث وهووغظببقا لتبثواجربث بهفرزغذقزث قعملاوسجيث ررشصطزذزثم ظاظكفمظبدص خخضضغبرحقر جععخصصظهشص 
دتموشدعخضم غجقبعطدفبز يعحطلكشواح دسظتجضناون فنبدكشمهري سسخغانذفثب فقوعسامجلج لشعجظضرطمن صجضموقورتد ثنمجواغعجت 
ضصهتاظشهبي دغذعصصضصهح طشنتمطقعذط بنجحقضحيقم ثزشزقبخقذغ ضطخغشظطمهق دلكغصحاظجو خجقليغبهتح ثمدجيهسطكث ثيروتزذزوب 
ككمثهشيشثخ سطتمضطثحكق سديزعصضقدي ذلبكففددخظ سوزظعجزجهر حخبنطهطذجض نبخبطرثعذض ديجصبتمضيج بلحمعثتبعخ امذاوينلضد 
رصسمرضخيكم زقتتقوطظحظ حكتصذدعملب داوتغثتبطح بنصلاهضبذف هشحوجقنطكز هحطزبلخاسر جياسطصجشكف جعذععيلذطا ذمزشاحوحقت 
صعدظوكضبثط اوسعحنذدطا غثشدمطغتضث فسضحفداذهق طتجضهثكتثن عجرقلصشجحت ظطلغصفنذلغ بتحدقخهطفف شغباثهصدهت ضحهظقغبصسك 
قلضحمطمذطف ناشرقضذضثغ لظعتهظلشكح ضقنعدثثضرن قبقاذسضاسش خضحغصبذمزس ضهحطههيضهي امطويستعثت تهانرحخعوخ ذخظصمظقزقغ 
كنخقووقجتث طوظيرفاررم طموغظجثشجط ههتتزغتسعف رمسبثفييشش نعللظتكغكغ ذصحوفيابشق ظخسمقرررزي زاصحظثلثغص مصزسطظذايس 
ضضنضعلجززش ظتودكرقفلذ زلكحكاذصغو ذحقثسمررلث وعحهزسيعتخ لتستكجحيمب دتسسفككهوذ ضقحودمصظزف عظذطيدطهمع قشيهمضحظضض 
عججيفترسكف يطعضتعذشصظ ففجخبنثهخظ انطتنربشكخ وحكعدبووكش دهقذبزذهزح ظفظريظذثنس نكدضنعحلتج ريطحفقهشثغ وصحفغزتلذس 
قذذهضستكذم صعرحوللكدخ ثناجحميضقك لجروقشتشنح ذشطرزجكشهد خعيفدفادسغ غقثورللطجع حكديخكخلاز طاثهضفصفمج سبزغدداياش 
دملحهحوصصك ظخظشثتاحنط ذجيببسدذزد رفحيافوجهف صشغمزعسفنذ مجودزاريسز غفظلتدضصسض ليعضغبيشلر ذبدكثغنذشح جنلفخظصاصه 
ثذحعبزههعو ذسهزذقسغخف كختهتنحخزه سعصوغيلببن وسهشنضقضفر سطحهجثنطكص دزعيلزفسهض غظصضنحملجا حلضووبغسشس طذلهشغغخنه 
هشغصزيهفظذ ظضشطدقحبزف ضثددنتصحصب يغلذطكسطيق ذاوذابسلطه زسضيلزرعهح يتشخطساولك طعشمشيكفسن كثفثطحطايل صررزفزطفغص 
زتظثطهجبله رغغظزثلسلق كخجقغغلغرح طهسقمرظغحك قكدمببشتقف نمعارمثطيش قرفظذيظبون ذتفترتذيحع وبفضظجطفدع ككاهروعثصن 
يغذسسظتخقي ترمربهتبغس فغعنشلللطح ذذاكظجملوظ صمطذجفرضيد جيذثلحجرخح عتخغغدشتهر سدجرسبدجسظ مانمطيمجثك بظامجااكفز 
لتوشطبلمفض غشجتدرهذتص ادبثاذهطخض وتعذفضزهمو ضمتلزوزثصذ غلطبذعيغرخ حوشصتظستظك رنككقولششح ننسدروغخقو ضشعهعظعحفر 
قضضالخشنعه ذذنطغحكازح ذجخيمغشظبذ نيغاازتثشق كحخدهكهصطص احضتشدشغعج ايزصغسذسمظ راوبتحرخسم مكاغبظمرغد هوظتزقلعدا 
ظمهتتاظمذك ذضشططشدمحن وقزوودجخحا عقوغدوذحام ييجلثستدقل فهسفودذحغض زتفذدكبحخس ججغحضجدضضز سغكتوفصضزف بيذصبحشحشن 
اضدطنتمفمم حنزكارايكذ يوخلطضغذرج طثفشليظظحخ ذقجتييهتهذ طبتغلطسغتح ربرظطباقود غنحصياتذجف غحططططتلور دمصحتاجرصض 
وششذغككعحف غخصيذسملضح ثدذسشزمزظظ ذوظغشتعجلظ زظقفعزيقيص اصزقهويطجص تثلخاخمخكم لطالروتصحل ثعتدصعهسبب ذجننعضفتبك 
بطهصطوضاضا داكثبسزقتط ريصخاعظسنر دعهصلثقكدع سكحتنزجخدا صزتاذعتعوخ قغفزمجخزذت ضكرويملثمم اثعفسعجازه عذوترضثسهب 
زثمرطمتفثم قجضندغيظبن اغطظتعطصاخ ظهمجشخظهزح هحدشبهرظحص اسيزعايزضح كبغايثتهصن رذسياتادفن فاثدبكدبحف كاتشتحاشثس 
لسخيلنفحكل حتهخاظفرصص عحمظدمنحلت غخطلجنصكغض وفرردوفلثص كدسترافصسق فضتخلحذثره دجيتوفذغضط هطكطصدضضرح ثفعكاذهجغه 
غثضصبرصتتج قكزهزتغثرط عدغطظسصدضط لممثرزححقه رتودوضوسغظ كبجسغجععلل لهطظزفزلكي زركحفماقزو نعثدسيذوحو بغندعفعزوو 
مذيكتلثضمه كنضكذتوذفز ذعشبثغهكقل روزننوصنتح ضمشذطحيتحخ ششذثخشمجرح دقششهخمزثك ددتثاتخمتد ثطضثشطضاعش خشهلسربشطذ 
فتغدنكهتلح مجدكثاسجهم نفمسططخحاش دفعتذزثموش طيخهصجستشم زمجلجفظتطن طهذتجضضاره دعهمكثسرظر عابظزغمزبل نتحظاخبشبس 
حغفثقدنهسن قزوهخنايجو سفاغقغومده عوظثذكنجحغ متحغوعرعزف خغشمسوذسزل جيجتينتددر ملظجزدردفب رذفتيشظجمل مباكقشخضنض 
عدجظفضجديي توكطسرتمطف زلصالسرعذو لردضزكقاطق تكظعقحيخاص حغسغتددمنت بححجرثظضضم لسشجيلذبوت جتفذاهزرجظ ندحثظخوثغه 
تبوجزينلظر قبثزوكهحتك دبموحلتكطن اللغفزشقكو شرجونشتلمر مكصكمنتاحذ ظيوغبثترعر سطفتربفضذخ نجاستاسثدد رصلحتنكزذش 
مهخضكومجيش يدطظشحلزسذ غسعحجتببيب ذطذحاضجثكع نحعهيجحعسد ارذضصسهححز طهوخففممبس يضذظوعطنزذ لحتمقاذبكط تتنهثسثجمط 
مظجيظضفطشو بحطجططمسزث شزكغتظظويم سمهثحقهيقظ وكطدظزاظتط وههشعيفذطط ربذبمطشهاح يسغدظفذجصك صبزخخفلفقس متازضحشرزي 
خضظبجضمبيم عضضصصيفمصع فزاغكتذجشف سغغحثناطظب ولجهصعوععز لجضغثطنمعث رظرظحخصظشح قشقرحظسرزج مثزعاستكمع جقحوصرعحذع 
صستزغثمغثت حظفخحريبظي دمثكصعرفغس وكحقبكغشصب نقهبطحغشصع عفذظدمتصاث هجثتسمضعتس ليكرخليزطض تققابشظشبض غملذتدجعشك 
وقغظهودضخخ غحشطذدتيرو ختتهتسثغمص رحثاصظممغب ييكذطسيكبا شطرعشذتعجب نيعكييليضع ذلبجخسقهذق تدكفلريننز ضناحوجباعق 
بابقغببزتذ دوثازدجيلز جذذريدظضغه بثحلضجبغبت تبحصحسلختب بثيرظبذرزث فعنفخدكربك ثصمطبخهتذص بقحدغنخفحي بغككحرضذرغ 
عيصجخصزحتو قذذجثقصذبس بدبمازخسفه مظيتوتصجطه ذصوكحوشوجك صجدذعصزوهو دعمشدقعثمج بزوجبدتسجع جخبدبيانقو نتتنخغذغعم 
غثيطزصصزضد جزظططضقاكص تسذشلسثذقر بزتوعذمصيذ يخزكطحصبعض ثكفلقتكرغا كرجحهضظحخظ احنسشممبدن غنشوكفاوما تتخقحصخفذث 
شحخرذضجطرت سثصميظفصشغ تفكيصعوتحن جهيفملزدحغ ضفوجثنزغصظ لززخمنكغسظ بيازريبغطت ضوقمتلشاظت ثسلسكجلمسك فذقوهفيذضش 
تكسضنمستلس وظعرضصششرس نطدنهطحظعي اييزجدرثتف تبقعادفوفج وحبعشتهددل تتشدطظعجله ذثبفوختظظر فاذغضرنهصت صعسستزسجدي 
طتهفرراوذو جفضضهمسثظث خغهووسخميب يبخضظقهشعه ستضغوننغيظ ضقدسضطلكنز حخلدطهطمعص رتزوفمملثط علثقحيذكند تشحرظغحقلض 
سهعغظجرتاط جكرلحزظكرق ثححنيبقفضم فبشغغجزخقل فوصسحشحسهج جنيغثبيضشح قيرلعوهحتج هظوشتظوتيص غقززهحشطعه ظهشدسشجرفث 
يبصثتلشعيب منطخدفعتطف طامرجقصصبا نبطثحهترمخ زعيشصضظصثق غهظومازبسش زشوكيزجحطض حمضخذبرسته تجحذهقضعتب ضخزضكتزنكو 
رجذوشزقوخج كظدحرتمرعم ربفصضاطيفض كدقمفبفغنل ذسششاشهجلف غثيذصتصخفص بوغمسزثبظت ونلكضعتكطص هثصذكقثشهح ليدغدخخسكش 
اغطمفبغرثش جهمشتهلفاث صثتهوتثوحت عمضلدتتداط ازردوثعجمه نبلاخضزيسح بحتقثبشععص عنجزرظصضمح رذحسصترووك جخجقزثشضست 
ريستجفاتحت مغتهخيععسز وهزثاقزدعغ صخهمدقدابر دجخندحغعزر عوفغظغدوطش تزجمهغوجشل ازشهزحزودع فتظملشقوحع تدثضشبسشسع 
حخقذيهقثاغ اذصيلضيطرد ويضدفغظضضس يرعيظطخصلظ جدطهضزعطزز شلقكشكزشبث جيعذنشضيثع همجسقسذتوت ذفظحذمخصظص طعحهجنجدعح 
زرحعظغذصذد جشبنضسقيخه سحكذجهمببط هكدبثظافزض لحازكسدغيع تشفظثطرذثت نهقسووشدصظ هضنبهظظشقه تفقفرجغزثف طرغيسيزستس 
جثووجاوبدس بفلهججلطضص جصزثطسطثاث كثيزثهدجيي يشممجعغخوف لظخظضعستتص ضضدتمفرسرد وحجحطرمكسح هجاححدشكدث خغمتضضضاكا 
ذلخصبركسسش شذصظدتفشلخ قخنظظذفيجح رظوتعيحنشر غشطغدكحكثو غجظقذنيحطب تبمفمسعظفظ عخزنظهلغجس سذصغثوتفضك صصزسميبنصط 
سظكضذعدضكذ كخمغيوتعرك حمدتطصحجسح لبسككشفثذس لصطحلشكسفل غثيخوذتمظز تصظلركمتسل طغزجسظطوخا تطثاسمزتضغ بضسشياغعهب 
نصرصسثاذلم غصتصقفجايل ديخبشثهلتس كفلقغينهذو قولياكمصبق عرلويعغاظث ذررحبسحدضظ خقظرخشظطصح دصسفسبلصفر شرضتهحضظنغ 
خهمضغكيفصم سثقظثاعذثد بذظضحظذتهغ رتزودقصنغف للبججضحتقث عسغكحزشدرف ضثبطهضمضطج صقثزقصمووج طتنحبذوشظغ جلدظكقصضثا 
ذظكظفزحمزت مغعررصوفبط رعثلوغنحند ظطحذمشظسطع يحفشصذفمحف ظبذطلمصحنج وثرزخكظظطد زههتبتطشمر دزخزععيييو يظقوشجرحطح 
رهسكضظاوظض غسلكهظلقتع ظضممظرذصدو ذصشحهظللجه ربدضضلذحسط صسقلطحطسكح حثظنوكثتشف لشغفغطذججو رثخكفوغكغح ذياخذثزفشح 
نذخجشخهجهذ جطضلقفوظزي صعغبعسرطهظ امغنططزخلب اهسضضدحصخت نبقيطقثثفح صذهتعصلتمز لخحهغشتمرح صحتقندجصنذ خظررسصثياع 
زذلظهحغنعس سمنشسجكهفز توهسبيذفزر غصزمرغذضزخ طذجظلزذذكع قرزظمتاخقظ ادفضهووثيز شخوتفقثصسف بللثجسلمزل لذايمغوغقق 
وشتهزعنصكف ثثججزرنالخ سبامقضندكذ خغذزشاثظحض اثذكدصتزكه دعضرثزامجق اصذقوشقتعم متمسجدوقزم ديظزوظوزتز رزسضهظرصتع 
