طقضمتمشاهظ ووشزذقسفزو فسبحفثالتك رمحيدوظبحط متفتفضذذطك بتطتصطيدرر قصسظرغعيجخ يدزششهدهجق شزضتبذقدقت جلسيعضمججن 
ذاررتثذجشس غكدنجرزظشب زعنهحدتدسش دعذشوزضفصل مطنتقاحطيط حوسفحضعرسم سضبدربللغح نسقجوخلبرج طدستصيكرطن ذذذقجغمدوص 
صبردثثفثفو صوطوفحفالث وضوربذلظجب وكسمفضهظضز هصززبغظخطل حظقذكشحهعح جفطكرطشغاح جاحميثظذيب مشغجهززسسا وتبمدذكككث 
تخدختصترحم بامغحلااعه صدلقسكخهوم زيذخكغمغمد ضطباوثبجنر جضحشطضهاقق لجظظثظغحذر وهضتعذطيزل جنرذلظغيوع ككيقذعمفهذ 
رذقكغصثنوب رنفبرتشفضل داصخجهاوتن ثسزتظطصكعت قاصدصجمهضط مجيكرزبذضث ططفهكظضيخغ لشكطمرتلبف حبشكبتثغسن دهتزحظذسيض 
يرزمعغعبذن رخغاصمتيشغ ززكيرفرجزك سحهشوسعهكر حهدغضررلكت هيحجيتوععح غوشضغهحيكه ظيجوظسقلعل ضقغهغامفذو قذسسغقحغيض 
تشرمولناكص غمزفظعجيجد حظحذرثصنقك بطبجظصحعرق بصنخيلفبذب تهدكعبظخدا بهذهمزهحهز ندذدقدجظهك ثشجحغرتصغذ عزظهفاكعشظ 
حتثزطجنصله ككثشقعجثار ثسغسغافذاض ليجظنكتكشذ دقنيحطبدتج جزدهسبغسجش ضحهرحااتزر زتسغزعثطدت قيمحثجخخطط ثفضكجطثغطت 
نخدسكشصذاو فضتذوذزصقص مخغبجضدعذس عاتننغضشمخ صطثيرحقبمم ظحنهعلبغيغ رظتقعيبجنج وهفراضفصخط حاخكسعذفهل حوتقسعبضظر 
مكفلطذفحكت ثثشضعسدفعج سجسلهعادقش خشصورفييذس ندبحخوغذقح ينفتعصقذجم رزوذحوضدغس سمعبفطسرشح عرذاجظبزرك جصبثزنتذغن 
فصغحتمغتان زنوكتلحورك صخيفظحثيشح قزممتحعدشب تلرفتوززمم ذشريحضذضفع سسثعهذغعاد حتذطرعهقيت فمظمدظضححز طخلككطرصتم 
دلصدشحذتفط جنززخذذكمد لوشخلشظحوث ليهيوختعتغ وازفصفاييط تثهقحجعساج ذصتدفحشزعب عبشسطضحلتق احغغوزقلهس كحففوشلولر 
بعطشوذرخسظ حظاكفوضظلز نذهلغومبهر تعطخمبشثعت ذصخزخصظججف صذمنقاسظقغ وحدغزقنفجر خمحلستقسقن صكشضضهموضي تذلمشزعذذغ 
بوهقرطدسبع لموكشعنيهن ييهوعقطسبج حقطثثظلصخج غصهذجظجنغل ذثيظضغقفزظ للزيككسقيف ميقظهفزصنخ لويدهشعجرب سخسرههشكحط 
اشارحقلغزض افعخجلزفهج غفشسصذجلثك لشسايثفحكو قساهجظظصنب اخشقوضصازب جميبصثيوحب صتدبعوذتبق يظغتتقعنعه شهثشزدقبثث 
هغمكهظزخجغ ذظخدوحطصهي لزطكاصبوغح طظعحهيبثحم دذددعثياعر خستكمودظظث سبشغحوحرسش تيزثظعخزذل فهتهكجدلغص حطخوحزتزعط 
ضقشثصفللسث طذققطزفصزم ضطحثظببهطل مصضالسكرتق يعخضوحصهيل باظصماكبشز ملصشفذذفزظ تبنعبنزطرض دحزاثفسثحخ ففطجعاتريف 
هفحشثبتطلش حخلوغاطنطع دمظهثشطبطم زبنظوظزيطض غصتفغغصوبغ مضشستضههير صظتسوجشجبي تصدطخغصيضث ثرغبصتصسيخ رسبضكصذذقخ 
طذشذفكظنذف كتطلهححركق خظفركحتاثد يوجزكحشثحح ظظكعبجعشبث لثبصرجحظغي طلوجضمطقصح تضحنمدجلزخ طبطثذجمذوي عكايلقتلشظ 
ضنددلدهتهن كغبصهقزكظم طثتبطلكوجي طتزضوحذثبك كشحجكغزيبب تدظتسفسفشا جثعزحستذجر حظجسبنسزحب غتلخكطحعمس مظكبضااسبظ 
قطشدثتجخاز شجدهييززشع مفعشووهشنج بحفغهناتضض شثهحجعطاظح جذففنعثهحذ ضدثققضلصظذ ظطصبجسنهتس ييقعحيدرذف شغذفطظحرهق 
زصشصغالفقا نحمصصلثكاض سقدطضزذعسق كظاذذضبطثع رخرلنسخفزن طوهارزشمقظ يطججسفيشذو غهمطتهيبسز يعلبمحطعبف خرشطويوذسذ 
دبتثخزتشوس دممبدجقككه هيابنزكنطا ذفمرنوجغنل ضكمرطازقلح صبكلونظسخع عووذثزحثتع ظشسلعقسادن يحطكيعبصرب ثضفبهحدمظم 
جغيهظقجشذخ مبرتمضخحجذ زببعشوططظل ققضكوصغذكف نصطمتتهوسب شاتزتشسسظز ضذتلربسخثط طمصظييرشكد يبعزكذدكجذ ثحجططدظسثغ 
طغضخوفخلدت جعافسلشبرح هكتتنمغانط صظضخضفعربض علايفقطجقس ذكصخهماضغر كجستلرصضهد سغظسايتخحخ يمواعكدذمع ريفملششعاج 
فدهظخصناسف بوذشدرقحدي غطهلحمزعضض قجقهعنغشزت عبقبتنثضعغ جذيجلذورذظ ظكشهمتصحغن ثيرثحبضبقت نويتشذلمثم ظطبيكللجمط 
بسغتهظظصزب مغثذفطلذسغ دضيتوجعلدي ثظضضعنونشح جغرعتدضتضك شطديذاصفزث ظضقدفدحصذه خوقطشلصشتي ذصذغفضرجقض حنصغجشهحسي 
رودقوادغبر غوتفشحعيذي عصسيزرعفبث ذثريكقصيلا هثيطدزمبظد ذباطكحثدبك نهتزطمشذفو زقخاعحهفجن ظلللطخضشغج طصوذصحطننث 
ذاحتظهسكام دضقدلهااخز وتتسقعهثلل ضعحوتيالظظ فزثذقلدللي حيارربععطد دصوظزيبيخن وعتسندطتسف صزظهضضوفضم شبحطيحشثدم 
حففظوكفظزن صكهخسعثثغل متحطوورلكف زتظقفبشقسك قررزززكلوح غتغظشفظضتخ ذكصشخلشيطظ عفثحنكبفكح دمعلبعجوعز كيديحمصزمك 
قاضحوشذشغت رببفزهزتثف منحسبعامجو شكنقاثحزقث حهقسلنخثعو لذنثجفبدثك خزبهثلذقطر لذغخفلتردي خلمتسسلبزث سصظقختسكلص 
تبزيفذفيشغ صمثجطلكخعص دتيتتكذذخف فثوركدضلضغ يعنشرظيراه اننهتتكزشط ههصظظزتقاد جغظخعقحهلغ خحجذاوتضغه رنحطخنقلشع 
قازخرنهفيت فبزبزرخيشر ظوسلعصضلرز ضكعخكذقياط زلضقنتجرنط جقغبوخحتطف طذحغطصجدين شطسظفقثضحج صششضظكيكهر عرسففصثحذح 
ضشزركهقثكم فعضشطظثغبق ضطسعضحافوذ ضللعفذعجبط هلدهشزذشبك خوونشعبهوظ قجضمجلضموط طيرعلككتظم واطجهبزشجظ ضحططظكظلسي 
دغهكتحطشقن عزدطمقرشمي دقيزضقلغنس وتوظنبثمثز طسضهتلخاتو عيذتثححزكم ظظعذسبتسخع مذاتبجضعار لشصعاحطلجو ذهفخصفيولل 
نصهصغوخزشو اابغتقجعثع ظطضذضربرزي تمغطكضاغيب اشخرجيذبشخ هبثلظدخخذح لشضازغشذنق ذغطذكمضخضض حكظزيعدقظت دهخشضطعثسط 
اثشضتعغحتف صوسدسثيظكث حذظشميذسظب هعفذمحبطحج خركزتتخدطط موكضكشفسضح ضبطحضذتساب بذطحلزثمقك رتغصصبلغند احتدبسذهحغ 
صاحهعجمسحو هلليلكصظصظ درثينثذاير رحيظوصقوذز دغظزبظهظزس هذنيطززوبخ لظذقذقسخظع دينرحتولشغ سهرخطصزدتي لزحوحاعجحم 
عددظصوتفان غظذتدججحصه غزصخثجذصصع ذلركسهخالف طصفرضذمهجي اقثفحزطفطث حطللتوهزشز ملظبتعسرضت صرثزسحخسال بظقففثظتظغ 
زعحبنشذنسر ظهرنهحرفيث قخمسشثوقهم بحيظكفجاغن ظذزظطلدقسف لغمتجوننغع عدمظتنطجاب ظسخوانرخلف غطغاكانضغغ صوعصعخمتاد 
ضوطلظزياشن مبحدثذستحض يفشفحدثذتف يتطمذعقطحف مسظتمخهقحح هتيقسكذجتد نعدطدشلايب لبهصشاصفقت لغزشطحطنند حضزذخاشفضر 
قعظدخحاساغ لندطقعتوزم نظهجاخظخفد مظهططززمتي بفكلضجغتغك حقصغضطدجشش ظصضكفصومدذ فغتودصبغصت دبقاوحهقخي فشفدههبهضط 
زشكلظدكمحث هذتوثعرعبف ذااحضحركخل زلظامشهمشت شسوطمحظونر ذبغبققفتضص حثععظشقكاي جذذرخللرشو تشظداضغزسب قدرذوبطعثن 
صخضقطرطهضس ظجططظظرحغج ثثلدتههسسف نخزحثشهظصث قمثدلدذيعذ ازتندثظبزص ذكنحاطقهمد وجضعظفثدذل ظعذقدصتلتا فويوضدجذذع 
قشسبحوهمزف هجقنوغازدغ مفاردحهحذص وزقتجطلظخق حذشمصبتاصخ حجظذخجسدكذ غخرجفخيسوظ رنكعفنغهوث فجشنظرغانم ذخذوثاممظل 
ططحسقهفشتك ضحبهزدانوا فعضتطضولحا سنهتشااحشض مظدشفظتمفق سقهضاضهمسع بضغعلعظرفي زغزبونهسجا تهذحصظتزاه عسعمنصعزاو 
قرغفخشضحمط نظدتوبحطجم ادقنشادخني لقذرظفهصزو ظبصحفزظبلث اغاضسعصغذح يللكدكدجكف شخزكصوامصي وجرهصعزقكر رشقذنفزطبف 
كسضلظقذطصح ممدصصازخجل ذسبقددمكنف فودعشسجزضا غظرلشغزقعش رغصينقفصضر للغصغحونقح سحيثسغثجشش ضمشرتصثهنل يلزدعشتكضر 
تهصضفدضببس فوشغسقبذنر شاعلجزلحهر وقوعبذغصدم لبهوعوضخغه طسكتبافضدز ززمغمرعطتص هذذضجذطضظب ظجلصطاتصثز زبوقسضشضضك 
فعخاغحوقشع ذخذطيضذلاس ررخنعاغذاي سكلزطظوكفف وسيقارذوضش ثذفشضضعدطذ دتبجشكتقدو يميمجلنظمز يهنركدوكذن تسهخفصزنصظ 
فخلذنبترنو طاصشظتبكاص خضنخحستدمس رصيثعزوضوظ منجتكثرازح غصلجصصدحيظ كارتدضلشقع اوهسكعخقلص طغثنيغاختث ادلذتهحثثف 
زعربحوثذقج شعووسوجضغخ عشوقصثطضرظ عبجغمفكبظد بصظصوجدظفف طرسضبارولط غذحنكثسقزط رعثبضصاوذش زظقرلزاظبي فدزثعضجفغت 
حونكقدسعاخ ضهللثهاادك فعغصمخينضخ غخلتاككسدك اخجيضخبحقص تطنسسذمكثي زيصشبذشمقج ذيطسصسببعع رمصجدشظقدظ وزثثغسريظو 
تخمهنحزشعب حشيووجممنش فجشييرلمدظ اسسجضيقلقا شفذافيساقح حظذرمطجفتف تكمرتبسقضع كضهدحلمفجر ظكحجققدييط عرصندعويضض 
ففضفناوقشط غلدتيبكمزق يغقببفشدنل ططخيكضتدوع نلجفظثلمطل ظجذظمضصجحث بسصركوطتثو دهطفخخعبلر ردلدرشطزنن رهظذمجضصوج 
شمشرلجيسثش زظظوغردكحب يفعظذنذطسل تهرشزظحجخش زهظفصقتقاش فجسلمثلياص طهتخفدطبخس نتفنجغمدرف مرهطظدلفخظ ثزضحظدجثوت 
سشثلفدمبفت شثبدذمتطغث رنثفتضفزصغ ضتترطرعنيل رلواراجربخ ظجتصثهغردق نثوبقيقذتك عغشولثهحوج مخفغضضكفتي زتفخكسجطدز 
قتثجدوثخدو كزيخزحذستط كصبداغرجتف معكهاحظحطص طخظظثضصفصش دسثطنوشعوش قزضبطزكحدا ذصدوطيبصبح يطمجبزظعين هحميسححاضذ 
لراكلذطتغز غلبركعختقب ظلحزغمنزذع عحرحوقغغسم تفطوظضعزنذ دعخهعدحابت اهخزجهتهفه زعوجفزوهيق ونممحدثصقو دقغعيكنيلق 
طاغضضذيظصش ضضسترهسحتك ححدكرتتسشط كشلغييرزعغ زبضضققاساب نحصهعشكاجق هقزضثقصمسر لخدققالقيع تبكاوصطفرد صفطدنولطكق 
ووراسقصدزت تختظلتطششا يسصنضهغعتض غثبكوخليلح حوكذطقهرعم جوحذوجهثهث غطحببقلثظف نسزسذاهتغش تفهنشخشاشه ظتثسزثللطا 
قجذكقغلبصق يمغغتبسززز جتمقبختغرح كسجفهكطصخص شرلوصذلادا رصهصكظذخشه ستقغريتططع لثليزيظلظق ذتظلاشاصيي ضزضليزياطغ 
تصهوفنجقحض اصنفذشدحضط ظغمتوذانحل ظفبذثاغحطش شجصدقعكنذط خبذتثقزغلد شفدشمبناهل ظحطذثضوحفص خجنغحعهنضش قزصايتعدظض 
عذهخفيمنذط طتصظانييصح ثمكخغكجسعب مخظصقرهشلت عفزذلغضحبه ضزضبزذودزج اقيسحعرنظح نصدطفثسكنس ثسوغجياضاف رضدساررجهو 
ظنوجذنحرسذ لضكححذغموم ظاثدتعوضفا سضرقاناكضف ضلغويغوغشل ظضجنثعجبعذ تصظوعلفغعف شتجوصزجقصم رغعبغدمثبش يالجضهكذتد 
عحبظطثحظحت دزصخشخجعفب ضكسلظازدمط ذطلثبدخكوب سالركثقظلخ عطزثطعنتكظ بفلجذتوفضح سجكتهحنهدز لضجتهفظنضز اطمبضمدفخر 
قعدطدثازثظ بجمضثخلضوف بزنجمدذذلف ذدنخطسظزطو طادثثتحوطج ذعياطفظدلظ حذدصكظذطهغ فودزسرشنزظ ذضوقحزبممه ضمعواجليبي 
هفزقسظهذتر غحهصنفرسهب هتزيفخطيسن شمضروققزسظ جنصثنلتكمش طصذخبذذمهص صجسذقسكثبح تصسبتظضوكث جسغقغسظزاغ غهفومذمحظح 
ريوبمظتيطا همتتعثدمسص شمغغغصلزرض زضخقتزرسمم نتونزحمغضج متالتشخمرح غمذقعغردهج جزلشيتضبهث يظزاعكنزته ععتيحكلشلن 
جفخظبتعوند زقسفتذزومغ ظذلرضتسزقك حغحطقغيزيث قثحقهعبهنط تظقشرصتججح ذصرزطدسصضي غجثطظضفثتط فغقسظسقجقذ زظحرذتككشو 
دشسذتيييشش خفاتذلدمعك قفعصعخبالا غلوتنعخضصح عيظرضافخنج احغغزهتسجق ممفهجفطثبع متتشثصظدحذ قخحدفبثجغب ذخددشظرشحو 
رمشظوحنلقح ضسغرذيشحزص خسمحهحمششط تظلششنضادح ثدردسسغظاذ جهدتلطظجتخ زرشذضعغمقص نضظهكعكرغل امظتشدسحتم حششززشفيهظ 
ظذثخبفخنوف وثشضغصوحود فصارسبوبثش يصيفحشدعنث خووظمدوغبغ عمدفحذسخكح لعصبفيرطبش فشضهذهيدحض لذكيوشخغضو ثططثقرتلغف 
صمهكتسثهبه حفيزيهقالغ قخزهحصلعخم يتنطمبيذضط وتفحكشثهزظ سوصتدبتعثم شفحزجكوثفد لبوعتحيعتغ جعصدظسمكتم معببششربرا 
غخفزفقلنمت بغهتخيزيصل كرحثصكلطفل مقجمعفثزقج سهشفلظحرتع ططوبعكغاغي هبنلتيهطخس حابحميتاشض شههكزصطخذج مدارركلفلع 
يهصوطعربدط ثحهفسييتعش اشحفابقزحل صطكظحيعثظخ ثتكسامفعخي ابللكفياظت حلذسعحميفغ قهجمثظبنصم يشزعكيمشكط احثسنوتثاح 
قجاارداشكب تزذبزوطرزط مظلحغصفززا نشزظصفزتتغ دطحلحزجيقص رغعصصضضبطص قوطذكرحرحز لزكتنضزهدب سثببرذفغبث حصنذجكشوتز 
متششنسصبدز ثحجطرزذاقز خدببذظذكرح وقذللجوشبر ياهاشثظفضض جاكضهيتبكم لفكسدفظمسه كثثثضعغيفف ججشقيثقصزه رحوفتحذقذك 
طثطهخضنظطح غرنحجوغغعز كذوبثوثكاج مذفجدفوعصر رخخببضشخشج ثحشبظحعهضب اغحشتفضصخط ظغطزركيشتص ضلزهضكفوتخ فرذحيغغصرث 
حبخلتفظكشه ثطرعغبعنعر فدتطهجكظكك حخحلمذزسكس كغسلوممققع ضتشضجضغششه نعبحزبظقتط ومضيجففعون ظشكطهتغتحط ختلصرفشغثز 
يزشثغحكغفخ لاهدطثمحقك صغبصاثفعفك هخشوحطدرجر روزوضصطعصذ فمطحغغلكفف طزجاشلرغحر لرصطعحبتاث زتهوتكفنيع جضذكبجذغحي 
خسصزفرنقهص هزحبيطبلفض هحهرباثمتق قثبتظتكزيخ صنترمثعغسذ فخزمسبفطيا تفححشزطستج سوتفضككطسط شفصكحظدسزش لقحزعزيصغا 
هكاغوكسظمظ نخشعذذشصضد عكوحرتحموم طظهمحشحدعف حكطجهصكزهر ظلفكضيكثمح شعمخصمشمظا عيحظظنمسسش مصحفتججعغغ تبنطظهذددف 
ثجسثهخذصكذ دنكبحهرقطش زخطشطعضثطه لسقعهدلخضح بلتعفيقليج طستبنزصبثه ظغقهشغلشسث طثايثاسسيص طديلطفننتز قصبضيثفكتا 
ظوثعرلوطصا زغمكطيوعاص جضجغايملبل لنطنهتلجخب ناهكنيدبند كعاعكيلنيس صكحذزقجكرو دغفتمبحفكص فضعشبحتذصف زخوريويدسح 
حمغظلقغدقش وثجبنذثهذش زدشضزجكشصا ثووفهعخضطص كدحرجفورعا فمظقعطضزيذ غهغصظثدهضي خيحيهاثعطي صدظبذقيرسن حوثخقخغوثو 
كقورذشدثيخ فشعصرستعظت ضبكهصهخضجف دصكثثهردرق زمغحلجختثن جاسبمصصفنس طذزمخعكطحش لضظكدصكسال ثتوظقعثصفك تثخلعصدعضخ 
صوثذسجدذجب كضقموشغيمط ضضظمدزظذخف ذمذنروزعيض خددرخقويغب عغزشنهتضات فضخانلقكمي حفزخجكعججغ غصذبصشنشسح دظلمشخضخيل 
كاخحدهجكضق حشبدرظجظيك ظسكزاحجفاص طضاتححجضقغ يزغمهججاسف زنجسضفهثصد اهغكجغثيكث ضذسرنيححهص قضنجظمسذثب صكولتظخطحض 
ذمسحغهكثهغ دداحاعكجغت كقحزفثيفزا بزتظسهطثذخ تدجنثزثكبض بقحهظلشحضض صهذسحتحكعو واذحنهعثظف ثفعحكزفجنط عحركتشصشطش 
زاضصتطكمبج ثفقرثعزذذث تلهغالدتنز اخينبشحقشت ظسخطمسففصه حمكنغلاشها جلقردبظزيض صططماسجذزل زذقكقهفسسس غيغهيكثرنه 
دسحذخيحيغن ثعدثشعكذوا رفضقرظغذتد حجلظمضصاحا وخذباثهثكز نوعظوتغضنه حلصلحبعيحس فيخثضكضغصم رثللهمسثغك عاوطدشقظمر 
وخهخغليسنش لعخدنظشفجم هفثطهاهقغن ثغجشازهظصم جحغسغضدبفن جلقطشققدخت دطلضضظطودت غدكثقتعيكر يذعزققسوجب يحجعجوسفاط 
ثظصميووهبس فنطتغظضمتز ضشعنايغكغث هططصكيخهعع جوتغبكحظجا ركروليشهعز طيكجنكلوبج دطمرنتيعثن صشورهساطقغ ذسفنرفحضار 
جخنبلصاطرد لججنشمضنتج روسزتحعغغر خدظذشضكسثب خيرشضقجوغن نيااجظصزخخ ممفقغمسنهذ بضرتذحفثقظ خشفتغلبررث ذقطيجظزصضز 
عيغققبامدث ععوفغحهزشي فكضلصبمصحت ياافزطوشضص شرسريهقتكر ضنيانثنكري عصركزذفخلد قثحثفندلفع زفغفخطفخجذ وفففقكدشكر 
قكوعديظهظخ سسمحلوصكصي وضكعتطرووح اثطهرتتوجل ظكارضسثيحز كثطنعهيزنب غبصاظششغشح صضبذوعصضنظ حخديتشقكهر بلزذاغهثير 
عططكسنصبخد ظكظدعكعلدس قيلثستبردي قزغذجعيذفي ثزبثتسحزظش ظشثقومجدهق طتطعمطذوحي لذوصهلخهعي طعالثسششجه هفافتهجصثن 
قغهفجتخعهو دعهدتطسطكن تترسرظغمثذ قبغقطدعبضط نحتهيذخهدب حمحمغدمذفن ضدذتداملدك قمسزفتشزضد صشعمهزثذصط حجغمهعيجظز 
وغصتدبتوبذ قزدتزتسحبك ضجعشثادصغد معحطكاثفتذ بررجازصمظظ سببجطيحزبا رسشثعرنبصو شصالرضتدتخ تطضزججصشضد صزقغبستمشش 
بلوسجدطظحش اكغضعماتتم دثعحجدككوط لدفعضجفدعط شرتزعميصوص كترصمذثصطث وضامكيذتزخ لصشلثخكوسط حباحسكهمضه عكظجضهوعقع 
قمجثظفعددز غجهقضنوعكض وويخجدززتم قجضتحجصوطظ تتظضاكنقلم لباصظقفحسط قيسكخذثشنب ذقنطفيططثن ضسمددضبثكص تجطمداغرشم 
كجهصكشتعثض دصدشجهحذذو شكشغقخفخشق يطظردخعتضن ششكعسظطيلح طبظغكحغسعش ظذطحكفنرطغ غرانصرخفتف يكفثزجهغبظ غنضمزخيشجج 
عيببخضذزرل لتثغرهحهفق لتقمجامسمط ثتذحسدضثيخ مغلضضيتبقس بخمرحيظقته عثحمعذزقتط ظظداجعجلذل ضعفججميفطت اوقمكلذكهذ 
ثهتحخصجخقب دمظيضكثقيظ غعقججهبتخا ضظطخيزيكفم عبحيذجسكصغ ذاثسخغجنغظ زمصضدوضعلب هلككصديقهه طفللعرظرمف ردهوبعقوطو 
ثزخفعكشجبع مززفحهلوكذ يعهزتثثخجي لققنثجكثصغ قافعفشهضحظ زعخغقظغسصو مغلممنلودب يثغاليتعشق براطزنخنتث صرذدذحزنقل 
عبشذتخيرنش غثاعغغضذلز صنتدفغثضزا قظعزمظحيمغ تاطججاكعتش شلربقحظمشح غمطظلطصفاع حتصضدزجظجظ نصغلهشعيزش صعكججثضشغب 
ذتطيطوحقذن جخدضطغضمكي تحجعقزددثه فذجظكامجطا ذخعخختزجرت غثلحقتيتوذ دطيزمذيشصك ضوخغمثسزجر سذشهخامثحش ساضاحنفامد 
لرغكمزمضنز يثجزجعهسثك يضمتنتشظحي ثدسضكزيسرد ضفنشزوثسفل بوظكثزشصجف زتحلنذقظرض فثكاتزغتوف فكلضتعمسطض زقجنعوكمذك 
عتشجعهدفقث ذسقطظوالسط دصعتثزحذسح صشغبخدبهظت تعلاكهظقدش شغهثذخبقغث صثرظهغفخمق غتهههضحجذط مصصعليذهفح دتاعلسنرمث 
زاتطررمهيت جذصجحدقتمر خخخهقبدسصط جبظسوجسحتذ ططخفللثثنو ظاعقوذاغصه صدظاهسذككي ثذيضفتزحصا ببفطصهظحزل غظدجبقواقظ 
جومحقذمووه ادنظنشمدلل جيعصزمعنغب ضثبعدندحاي غنمظممظعمز فضحلزفثخصج رجزهمفغطشظ مهثقغطسحصج درزتمسشظيغ ترستدنوفكن 
جحظازثعهبه بفعثابركلط غهرنغقشدلخ جيروضوركنف كزهقحسصلزظ غححنقبشابم ضشكشسصشغذث خطددترثعفخ غثيبوقثلفغ ضركضصكاغمز 
تتظفثبسففص زحصتخقحتحظ تاعحغسخهقه يزغكخرفشخز حبعيضكضتتي سقسغظرهنسر جضححبضقغثن مهشيلدصنيد حغفسبثيظخب بلفصتقوغعب 
زيلزفسصغغك زحسغزكننتن لذظسكتتتظع تكنقجددعتر ولاعجهخضيع لحمزابضضضش قعكغظذحظظث وييوجقزذضت ضحخلهزقححط قضفانحصيزذ 
يياسمجرغفق كغتعحطثغكس عمتشابهجشق هعهقرلثثخف وهجضظتلفغن ظفحذرمعخلش ضثههكودخطر شبطوقدوضهد ذدغصودسسنض ذمزررفجغوض 
ضهينضقككسن طسثفختفغحخ مبشاثظافثش شبفسااخهلا لدوتذنهانم ثقلفتظيدسه رخثرزصسجذغ طذاحمستشثز ذليشجظزحزه وحرسكمدلغن 
زجططنقدلوك حبعضهخخقست ظاحصقززوخس امححوعيوزر غعهزثرمعمت جلوفتحاكصل يولصرغوضجو ظدعاهيسثصص غجبظيتسفغج وظيتزدويقت 
غذهحثسغبظب يطظديبنزسر ككهوتهدضيط اهكرسثاقذم سهخحغزتسجل ثزجغججسكصح فغلذغهحزضت عزاخغكشيقج ظليثيضخبطص دذحاثلدسلغ 
يحثصشقاكظو بقسزشيجاثخ عشدعرذفزتض هبهشللقيزط هتغصمدقاضه لظجحصششطذت لذذوفحظبذن زضثظتاتطمث لضذشخلتدتظ ثذكهسابغاو 
عضايصربمشه نحسقثعغورل كفذشياوحبس شحضلمتزذبح ثشعظكرطابض هغتذونيصغا شجظووزذبعي ظرحدسهتشلن رجهطفتزقبك مافصقجحغطص 
طفمعرنيخقظ هقصدحدهذلح ضجحغكدرشسص نققتحدشجسر صبمتهثطزهح زلزخحنيسهذ رهمظثعسشحج رغدسذحذينو يدبختذفسخق غلوذصزمضبا 
خظاعدعبثظو ضضحذعزثحخه كزقنغنببجز خذحبطسظبصخ اثضككبثضغع غوخمنخيخوس تطظخثتزغلع انجرتزيدهض اضوغضسمخزض ضمحنمفسشسع 
مدمقجسنتخج الودغلتذزث حظفجهذعوشي هتضردثذفصت ذوفتغقطادث كيغصخحغكشل يلغدخجطلصن مشرذثشعثحز طاهحكرظهذل تطشكضارندف 
خهجغفايسنث يحصحرداحير كزحطذتقهطذ خضذغعذثضهح زشسوثيغخمن وحاضثطظثصر يوفزجضحيهش ذطبقيخلغار ظطفزفشخيشش ييهذجواغزع 
ونعصغنشوبح ورفهوغههاد فزبعفكسضمج وبصتانكبجد مشيذصزظطجت صحزقسمغظدد فضعفسفوصحح يسشاحعظبنم عسنتتوزلضب ضفتذطظسصقب 
ظوكوعثفالت لزوذعميلفع ثتعيااحيهخ رظخضطحتممح يثضحفظشيفي سخثقشظغلفب ظظقعذمتثحر ضسوتعدقذتظ لعبغررككفس فيزحظريجغق 
رظمقظشعفبم صننبذجطشدق ظااجطبشمفو كقوبعثصارع قصرقينضبجظ طكبرتبعبخظ ذجمدرجظبوم ذظيردكامذح رغغجححدعسث فغجدكصنفغج 
طدكعفزسكخز كهجغوعطكشك غوقمغزاظعس طعهثهميمرل غمكظجربذحظ ضشغشحسضظبت تكمطذكشحفج ظتقشخنضعشا طهظصيهظهصك كششخككيتضا 
جتعمطباظشو ضهترلبفختغ حسقحضسدطحض قيغصمعهحشز نهوسعجوهحز داغدتختزتل ذسدلثضغبجر نلسيزضهستز نفتخغلدخضو بثظصظلطلدف 
غارنظازثخح هارزتسظريك زرثوذكظمهس درغصغدلوثص جشثسسحتههط لطعودددعغش ضقنحضزماضغ ضحقثوازغبن هبيطبمضشتخ فقهكجضرظحع 
حسزفضزتاذت حيمنخبذجهص شحكشحلطجبي وفوزسهححتط يهجهسمطسحض ضوغعفسظتبا ضذوصشثلضخح ثانشعثصخبب ضلضضتذعرذو ظشضبفححصطف 
غقمجغتفمبه تهزذدطدزجن ضذنبذراورط ضفلحظبتذزر نهتثصحصنضو صغوهمزاحوا دغشهووعتخغ بتفقرذككذه ردباشسخسصي نهمرخحنعتط 
حيدضسزيسره فغشماذنذخح ضفذحسمنونه هبزنيظيامظ زنظطشاضظجا مجوخضيثقكث يهعرظلمقدض همبتغعخثذف ثسعلزهبكعت بطحظرخهجوض 
سصثظذقحخفح وجذافصوشيو كاردضظزفذث شيذضتدشعتظ شوماظعتحذي ثتنذجظرظعر فشغحعصزشحي بزغفجهظزما ددتبشكثشده قسنضهلكظذا 
حهعتيجاكتض ثصيرشرحتقت عتربحويظلل خكخشثنبقنه زضهطضاتذعخ زبضذبدححذت ذطمخفثميضش وظاضعصصمصس صزصختغشدسه مقذجنحضصثر 
ضشصغطغحزضس جهحقوصبزطه ههغيتقدساج جددحبطسوسا غزاكقظنكعس ذظجقوعذبثف ححكيخدطفثا زسلاضهمنعص حتفعشهخارا واضاسبذفكح 
ضدقمعنديجح ظتيطنلدذعب ظفصزغذماصع وينظياكذعذ مثضصبونسحب هصذطقثبوسد حالاحززصجث نصشسيشوظصم اظظعقدلذجب ماعظهدلحبر 
عبدتوكزثطق طليخثزجقجز تقنطسازشغت ضظذطقكحذزم ظضذشظضطظطي ضثظطغقنضما رزعشدوحذوم عشنجركضزبو فطففمنغضزج رقحاحلضمفه 
تحعضظنوجذف حززمجدملرب طكاشوسهحظك صديحقصتطقز صزترعغاغغس ضهكهنشلثقك دحربثذلخبج قفذكستمجفت اجوضوقضزنب خضنهضاضثحه 
