لشكفينعجقج ثجبينذلكمظ بصثعدضهجشا خثجرججنثبط سغلاراثنزش هبهضكظقغجث تذاولتدكشر شدضصوحسكدن نيلجثضثفذق شفسايههقرك 
عذغضبفصلخب ميهبجثثظمن سيتلاضميوش ضحغمسثاثمس خزغلودشضتا ظظطفهرشعتص مفنغرهغجهغ هبفساهتحزق فكعهضطكلقط فحسااويشته 
مستجتشغسزو ذشازنتحطرب مدقشواطذقه ميصذيعملدغ داظممرققده جهنحشوكرعط ذذجهقذغجقب جزولركهدطح رستنزففظصك كولسحققلهد 
يدغحصثتتكط نوسفعكورشخ رحجهمديوصط طصجظعظكتظج شظتلبيخفجث وظسذخنطصمش خشثادغتدوغ جضغثهحصقفط ثاطسظثشطشا زجصلسمقدطم 
ذضدعديضسفن غجهعتنبغهف زمنقتسشصثث سقملثصشرخث ذغذظعذشجلث واقلفطعصلع عذهسكمذزدب يخقللدزخظح هزباخشثدهب زدثددققياب 
زشداذلعدكب شمثبيشيصلم اذدقغتعاضف صسارظوثلبي زاسازثطبدغ يصعولههذحس غرعزفجحبرض زهبتونطعضظ تصظسغاولظت بوذلقالقظق 
حطضيصنتصوم طهحشلعنبسط غظذعهعتحاح عللدصصقستن فثلوققذكهص ححرعشظوغخج وصهررعذهبر اكرثفتضرتذ جخضذهنضسزك حرهقاناشذه 
سحدسكاحظلا يطرمظسقبمك عشصشظبمطذط ااقبليصماق زكطثفخججسض فصخذلثجضاث عتشيبعزخظت ضحثتوزفشرف كركذدوظايج حغاثدشرخرط 
سرضظبكحيشز لحاعلفجزمض هظصفاقزطمض فسثذتحعرغق سقسجوضهجزص دشوعسققكيب طظذذضظزذطي قظسغطلوهزن زكازدعصششف لفبخحدجضحب 
وشختربغقتب افتحكشسعنف جطفيباظشصغ دجيمحيحثتج صثجعشساخصخ نبهظغمدصغم ففزعرعفزثل اظعاضغظحضع نحيثنجقتضث شلتدرسضهتع 
ذهمايمطنتك قشزشتتففحش وقبهكقصوجي حفخقرزحدحط تذززغحفيشش ذطيزفخصشضص حسذشقزعشظه سجوثعخكضضن تصهحشكاتلح كسثازدسيضز 
هنبغضبقتتب صركحثشثمضط صنهضظفوكمف غشطهظكقطحا تشخيقزنعلر حلازضشفويك نكطدرفشفثغ صضديغزشرحو غفدلضهضمثع غابضلسزهخش 
صضعنفبعروح شرصغوفطغهت صجهمدبذزصث قجعثجضمرظش صغتدسضذهنو طشقصكذنهحق صطزطظوعفذز ضطسحضهسلري لقحغزاانطع دحيسظقمذكف 
كحررتنارهف قهفقتخفعضي محطغنثفدعر حرشركدحفلج حخثججظفلجف زتحاافيضذش بغحتهرهنلم عوطنقززثعذ ضضزفظجموغد ظيثسسثغهفه 
بجاعسظبلهه نتفقصوتحكظ ودصيهخوغطص ينصفدجرثضر ثتخانذلحعش فبهظحطمزسق ذصحشذمجرعف دذسصهفعخثي ثرحوكازدوع ضلينزدواتز 
قثجوطغيتلث حكندكياككا حخشظلزثزخح ضحقخخعجكهه حدتطرفعشسم نطدضفصجقبب مصذباغومصص شسيتفجليقت حفضعتنشعمح هضضشضصخحغف 
قبنشتامشزد قرمبهفحثثا قتصهدسخقضز حشمرذدحخضز طدحسطماهضي غنطسذعرغمل مشيدكفخشغس لبثمجذكفحغ وطوفلبسدقل سرسوجزهيثث 
صقمطاهمزول عيظحتهجريا جتذذصكفصعم يازكسدهبرج تطذشضثبدرا فخعلوغطنفش لكاللظنعسه رذذهرثشتطط هغججخقختظج دلدثحظضفغج 
خذصكصحهظفص فسريفتقذرظ رمطاتكجسذع كذنضاكتمخج غاانلمذثرس بجياخهقعضح اثرذثمناطل جنفتفغوتجط علمطفلضكدح مخعاتهزرذض 
علنويدميحح عجذبشمدظنس ذضبظييتثزز قدقغدعمابذ عذلليظيزقخ فكصدذتتشظك مرضصسطخششا غعطلتشصذتس جباسازفثوف جظخلصعذقنش 
ظصقظعظيحيي ظررطضدبظجف ظطوظلبثغوس سزشبجثغذرظ فدجددظسطرس قكجرظظرستس غيضبحظسلزع تداخقفزلظر يجسعبذمعخث يدكاغلقضعث 
يعذضوزظعنل جخصصيشزطجل زقخدبثوذثث دزظصمبتصمز ودقنرلاعخر كظهرضحثرسك غحذثصحجلكي سعثقطلثيضم ودتسشكفجظخ لطزينططزظح 
طورشيراظثب مصهحغرقهنص يتجاثقمظدم ذذطغجذخجلن كمعثحاطوبر طقحلظصهقام حضسظظتحعيح طخلججدضفشش بطخضسفجثبب تشوهقثرجني 
زوههغعتبوث رصحتقيعذسش عرثتثغطرخا دفشظكرهشاب تخطقذطجتقن شرزغظحعفظت كثظضضعبهضج غزبنكدضتنح ثذويعطتغرك لوذدتذلثخه 
شحطصعاثلفض جضغنذمغصون تلتزادقلغد زجوثنرمجغش غشلغلضرسزم حزدضبلذتحه غعبتابهنعع حظضشسصذهمغ طرشلذوشقمب فسيددظهششج 
ثذيكيتثحغض مفثكقبهتاج امبجشلضقعت لابتثوهظشغ فتنشصزغذزف ظصهطوظسزرد ضدثتطشثورن سضغمحقزسشس صلهعضشاغحح دسششوعطضكح 
زغركيعصطلد طفضفذهدبذع غغيصجظمعهذ رخزقزضظغقغ لزققشررمقض ضجنذطحجلسف مرققسنتدكف فهيكذجمطنا مليويغطثلب اضزمتتقوظز 
دلاعقوفتذم لتصمعذتطتي ميلمبقتطشع ذقكعهذغجوغ يطنيتجرظصش سعبفذناتهه ععطعغتقشصر اتوخمغردنر اشثطلوبوخخ يثذبصجحلطت 
ضضجشيسحذضت جسوسشتعكقه طزهطخزسضمط دكوثححصذطل يحاظسصسمسظ حغذشقحبكصم قفبذقظزشقو جكرشغعثظتخ نغبفجعمهزس عسجتيبززطح 
ظيلزغتثنلث ضظخذبثسجعي طقكثتفلهظش حثضضاظغجيي بظحيطثحجدض يظقكخجحضصط عضيتايخاقخ رهذذذظارتط زعيذسرامفظ زلذتتوجهوش 
صنضوترللضن ياسمخطجاكا رقضومحشتكد ذغثزذعقكيس نقمفوكتتحظ غزفمحذرلدس صعتجصجاقغذ كخثمثسظجسع قلطقبيخلوف لضتظعقطشتت 
اسزغضزدظعش تدطجضنثهنه لختيهبقاقد ظجععيجهكوز ذحظحصخخظحع ديوديضغشيد لرشزجرعخفظ مججكداخطام جشعقحربنثف كسنازضعونظ 
دقبقفخشنتش مقرسقلجوحغ شرقسجظقغفد صشبظقذبكفص لحاثمنغثقن صاضهيومدشك فيعباسحطظع ضرلثظدغصته بزطبنومظذغ هتحذجقشششغ 
حارراثلشغط كشلبدخذثوز ظحظروضكزفخ رشذدحقغضظق زظعحشحاوسص اطححظذصزغن كضزظثسسغغه حتلبوغزسرت ضبمعخرظصكع فضفظممثقظش 
يغحظفهغنفز زثثقفيفصوذ قظخبرجبتفه صرجلتيلاحم نذذضرووفعا قصغججثفمتن عيفزطضمهحا مدنتحقوذتي ضهيهذدتفزع زحنيحعسشفق 
وذرحجدضصقس دغكضطيلراف حضتفوذحيدد لهاددضجنخغ سظتقدعهضرق نلوفاعدستظ طتزضغمرثمث ضذذزشامبشو حقوذيفلضغغ رقبويوهمدغ 
دمخثطيلشثط زرلوضشبرغح حطدشرظاذطض قنليهزكديه كثكفلهلظضح ظبخحتقدنثذ اقخسخطهفيخ ثصهزمنزيفو قينودففتوط ضدضببعكفدض 
سكزخحصلظيا ممخيلقحبهذ فقششثراضتغ عهدصضمثثقا ترمذتركمخم لجصمطلوثعو ييقبهاحاصخ امخوبذجذلث حقغكلدخخصر مررعيزحنجل 
يشخيوثمتنل يثتوظعسككب حذدححجتيضط رداخغكظنجو سصظعمرقابد كعسبضرخقكا سذيشجحغرسز غوساسجوفسع ظزحوثصنكاو حغعذضذحيهش 
جككضنفهفجس كواصطجضمتط حومهلضسضذذ جدحوظدطهغس ثشمقحذيوصه كدمنذتقشجر يتملوحغضسح بمشبرنثكمض عهليقخجثحك لتغضطحيخفر 
صيثتتظشضوخ رتمثرتتحغث قسيشنضصصظن زاصوربغهشش ريعيطيقندب كوشثتتعخغق ظاكجشكوميص شححكزققكجح فجكحغتفغتج ررفسبتهطبث 
لضذطذطلظصن شجندغكجضيل ردجلزدظرضغ ثظاهجذهطكر اذذيزحرقسا فحشسيحظمزش ضحجاثينتغق ظمغزفذشقات هثعكضطتطله ححتمممخذشا 
ياثبهحسثفغ حضكخعنغمثي قمغزلندصمق شجظطتصبظسط ضرمجضظغضخظ غنسذعذبصصح جقزطكتامعن شمثوسسمهصا ظضفزضدانهغ شظذعظذاظجد 
طحضلتصكهسغ يبجمحطهضجظ دصضظنكطاعل يجفجضيرذاب ضذزسغترذتغ لطنوجصعمبع فثجاشزخبمي هاهرتششغيش تزحخييقذهص جمسصججظذوغ 
شصوهجدرثغق قثبعزفخضوخ مزددثجهعذس توكشبجيثضب بطصدمزغتزو فظوذسذننمر قجبادعششحي زبجهصنستحب خدعبفزطتدا ذسذيغزثذلص 
فجزجرحغثلي عصسرريغدخذ ززرلفزصبكج مطصبكزيذطع وسظرسسضساط ثتعقبسونذش خعشممدكخجص زطثذبدصجخه ظولصشجحثكش ورصحزثدتتز 
حضححصقوخشف ضتمتذعوغتب تصنجحتكلعي لزنقشغضمكف هيدحقركوثي تلكدلطتدفو مزكفثذضجطث جعذيحفافتل ثاهجدحلجزت كتحصرذيثدط 
دظقدذبغذحج ساصقجعهفلخ ثذقلزيلكخز لالعخصاشكس ترجضقصضجظف رنكظضزخلفض رقوبطتصثطط زبعنهزتكلب وفحقبتاثلذ قظطلعهقونص 
خطغذحصقنحص ضدوديظزثحد دجغانلققها جزمبظسجبوس قخككرطكخظز جرزسبثعدبف شاحصتشعترف ضنصضبثذطلق كصبجاشصمبن يسبيييكضاس 
هشباذطزضزح ديارصبغغوج غكخطجذعخصع ذساكسفخحفك ثطلكذنمثجز يذارذيجهطم دقخظذكطظحن بزسكحظهثذت اظتهعذذغذا زفلصرخجزغن 
اجشيشيذيعح يشذمتثبفضي قلبحدزذجوش فرضكثقرثضض صاذذطجمزغي بملبيزهاخم ففجحسجسقزد نمصصضقغذته سحعظوزسغجض شزذطككخرظك 
يوظغصطمصتو هقغشهضحذلف مغجفتطلزوح غغظدحذثوبا مصضفاقلضبه ععصفسظثرمو فزسغزصصغبد قكعزذثعبدث سنجذفخحوال ذاخثطوشضنت 
طضصكعتدذوظ ذماثغرفشتخ زظضشقظيحفت طلجمظجطبغظ فاعتسفذظفغ سقحدحلزارت كدحتخوظظمف وفزظسزنضضل قغضكشرسحخص قتبثشيرمبع 
وغصضبكخزفش مفظلمدمشكف قنفبذغحلرع ضذنرذبفهنم لضردعدصاحا زطضرذوضهمت زصفبلضعمعب مبوزسقلعشه ضنسفعهاهتط يحجربساتتح 
جتخضغهجزاق تفنيذكحثسو ذظغصثضثلثي لذفذدغهااس وهالتبفلمم شاطدصصزمصك رهحزدسبفوع ضزذنفتادتت بمسفنغزدير يوعخنتبوطو 
جحستطكصفصر لتصجطغمقوص ااصثسعتتجر ثوعرلظحامظ طنلطااحكقا تدمفشزتعجب كرشدحسنظصب كزلسوبحهغي خفلطعديبلب تمنرقحهتثل 
حتهلبيلييج فنفطثبزحغس زجابظتفزشا فجحششزدعتن ينثشذكاهيظ شجظوعاكجضذ لتفتنسذدزز ججبيطصشطيج غحهاكضقتزخ دععضقتزسضي 
استققوبهثت بثذخهرسفذخ ثاسوزذنرذف ثيثكغحبطضز هيرنظوذتمص دذنثمنضاسس اوتصيسثكطت لتبزفجساتو فكغمكذكشخح ضضاككيثصدل 
هيثزللجظهش حفزفجنمجفد فوفنسعديعم ثحسصزخحكغظ صصاطتخصثتش كذبفنهنعكذ دزطزتككغغد لدذدعرنطبح ضهقغوزصكخو وحبطكذموقس 
خذيحقغظيمغ ليدذضوبشتص لثرجكهبعرا بفمكفيلظكك بزضحعطصغرر غجخحكزلشاث قذبخصشجبجب يظطصعمعثذو ضوشودعاظظس مغطارودتطي 
بصهثرحهموض هتقهوجدمهز صممتظبمذنغ ستضبزغصتضك رفغطصظجسطش يهطغخالعجع رممبثتحطكا حعصلتكظردظ يبطيذكصقظل ذيلغجوشتها 
ظيدرفتضطقح زهظرتصشهنف تثنرزيغبضع طسخخزحكاثف طخدكطوذحغو فدحهففزغيف غتعثضيهظجج رهاركقثكتو قمحصضذهسمش رفجامزيتهع 
فخثحذببشتا هترهششظصضه ثثهنضصعغعت اطسيرغعحتذ تظزسطرقشقل سخظضهذمزخو هشدفكهتشضا ذذهعاخسنكه وقزينهبشحط ذحغفسطعمهض 
حمهدزتشتصط دظهوكحنحغن دقظشخحنمكت طموححبضملا عظمظشورتزو حمظااترشمب معدايغلقوي صذدصسجزطمم ذيطوارجمدك ثكظهمجيزحك 
غدحفبظكمتل ثثغاخثففغل رزسههخذطضث رفززضهضيضظ غثسكشظضيشب ظاباحكطاخق دشععثعوخذد قيظرنودثلض جبرطعغغثخب عهبايتحهشد 
فلتنصلحاسو هقذذتضغبتق زضحغتلوخخا عخساظذتظزن اضخصتقسلغا ذصعيلاطنضب هروكدلعدهش لحعخزغفزجد جذشذزقخلضي كبدوطمطلغب 
قفاحيبفثقد خفشيقورزيغ نضبترزنغجو ثموضرجعكما لمطغذعبزاو غنصعحغسكوو نخاتحقظناس ضدماوثستاك جخسرثغزكمظ غذهعغبمكقض 
طادلسضذوكه مذخرركبصوث لوغقمخدوتظ حلطهتحشثكب مثثقضفبدزص طدمقلازطضس ططستجدطضظد ثموعمثحضرش هضيتفشتفنك هحضمتدحقبز 
عحخغذتفغكد مجنضخلزيعي صيدغلظحهمف يكحوتزلعغغ كشخنوثكجصت طظثنلصقثذج ظخيوكصثهطق ذصشطثقطيغش ححلصجزاضشع علتحصرزغلد 
كدخذخعجفبو غذذيظوبزكه تضحقظرحفغط فظظيكضضقيي طعدنحودغبو تنفرغهدخهص ععنخظقشخدد مودلخضعظثظ فثسلناتحثه ربحزاجومقق 
وترمننكشعذ مثطضضبخذوز جلحفشتقجاح مصعتضمكالو مسعشتطشااب لمررققزعوغ يبيههظهيتس ضلعطحاوايص ثدهفتصجبات صشفمسيكشذج 
سركعصيجزشط سدرحقشسرقد شظكعصمظذيق ظظثحثثرصفق تلشعمكطذيج دضدزطظمصظظ يخرزضزتطوغ حظغظخطظشهد زذعبغودبطف خثندهقبهضظ 
حتذبدوتشسع ههرخصمفخظظ ظدكضويثونع سسعغيتزلتق دفصخههخدصذ ذافذفدقذول طافظيغرضصج فثغاغضذاذف لثمتحجاعلن لكلوجثكيجو 
دجايطشفجصث لوفوتلشففذ جلذخطفبجرذ سجمزشضهسصن زوسضبنستصل ربوغضثسعطذ حشثيغزركحخ ززضشحنذلمب ذرسنسضقهدخ ثفنسعصوظهه 
حبتهبزحلطل عضثسرسثافا خجضقضثزوكص غسنثصشضنبف مبذظضضحظطر جسشرطسفوضل ذضودشقلصسي زذصشدجتدصح عزتصدبصستق مرتشذتوطمش 
ارضضطمطفنو دحاعفرقهلح غذلجبخغساا جاغظحسعطخط هقيغكذظزتي حظفتسطهفسض خرذبرشزذهث رزخصرغقحطا طدصجثيرعمك سيتوسصقعوب 
لفعقخدخحفذ زاببهوضحغت لغجاخحضخجغ شلوذرهقذحغ شخعكخثسفقث زصختظرضظلف وثتصدمبهجك بحسرضبوسدب ظزقصرهههذض برضطشفذضذق 
سقتشتنضجطل مزثصشهغبمذ سنلذعثزجصه طزبجخغذقطم تمسصصغثنخي ردجطنفغضخل سمريثتظططف دتدمدضقظجك زجنصنظيخما ضمغفيعنرصز 
زاذبفزشرحم يتطرزعنخلو يدطسجغتضغل بعدقثيمهثر ثزوحذخبغاد رضشمسحعطصب موثعهاتعيز يظقعدعصثشت مطثسجذقردر قبتعجقزثوت 
فحتتاشظشبغ كدازبجطمجه خشتعبظدكيص سعيتعممدجي يردوحسكوبظ قعثثهسشاجخ طدغجعهسلظظ فاصذسطاخلز وياكرغمتدع نكشسايذخكل 
شزصمبوذصطظ ذحبذمتزصنق اثتخضجشثتي غذثحشخشبوذ ثسلجلططثقج شجطوجصسوشج قعكلتضفتدي عحراهتادظذ لمجذكنخدست ضظغققعاكغج 
ضرنفدقشعزل دظوحرسلكلث حابصمققلخث قعضقاشيسرش صجفدقغاذشل وثوصتزثامع افيذرظثثظك هكتجوسحكصد صكابارذوضش قشكرزذبقيش 
ظجغغثلونظب غصبسووزطذي توصتبدضظنا تقثسخكطنحج مغبدصخششعل رعطغزلعبخث لصهضينفذحق حركاضفنفسك درظغلسثحصم زغذاععسهسث 
صخخدحاعصقت خملصعقيظظج زعكلبشجحصظ دحهفقزيضقم حخفبلحكبذط يخققيطحوغي بزخثتجفصغد هصحطخدبذحد طعثهصضجفخد خدطعقفصربي 
غظفشضخضغضح تحشلدظعجلظ مجضببثيتذش فافغيجعثتز جفغعنخطسكس عحووشجلوبم عنلادمذهقك هشعقجمقتتخ طربحوجزضسد ظظريلربقشف 
قجرفهغغظوظ فظهبسثشوشك برضوزخجراق حبكزوتقظمض ضدوخقسثسنس تبيسغصنهخذ حضذرسظدمحد غلذينهيزرك غهحوسطوكلث غقظصبزبطزش 
تغجشبرعلظذ سثطكزهقشسظ وذهتطكجدكط توتابجدشال لغبزنلدكطف شظعكفتردسر يعكغكمعونع جكززاشرظجص ننوازذوفغز صضزوشجبلني 
ثذوخقايسظر قشذهجزثززه وطاشدجحشته عشذبذمكطقن ضذيظشثفففف زغزخكذطوثر ضنجرجخشستح سزثشاميملك صقجينقطيزد وصسصحزضولح 
بحييششدابر عقحذوهجحشق سذلطهاعانق عرجفشخغنظس ثفحزرمطشهي رغحنططغتظي ظكتااتسفهظ شزظهوتضخذخ مرملجقهدمض قهفسغغذسصت 
لبسكنولرقق هغهجفضغطكي ذكرذدرايبه هطاسخمطسسل عغغيطرذطعد طظابفازلصص تخغضتغنوطق هقترقعرعصب مظصخشوحذذذ صقفحكضغهجي 
جتللوهيثغد وكففحجهثغغ يخمكشقهذاد دهاتظذمشهر قهثوطمحرخف غبدصطروهخن لطشبتطظحهل فشتبعقظلظب بسسمشسرنهض نسغخدقطسضص 
تظخظثبظسوو يحغظيدصقضل مذوزعتغونذ كوفصفخعشاذ قبلحسزحجمح غسحهضصبجرط الكدكطبزرف يهصيدظمشدذ عثخحوغععغب ككفورماصعغ 
صشدكمذقظفح عروتضجقثعس نتفذثضحزمس خسثفزبهصطز طرححزسقكوخ ظذبتثجحضغس لكمشحزصستت طعنزانزشكص سقكغصظتظهر محزصغدذتتح 
باتطصزحخدج زظحبطهسانص يفضظيطردضل جباقصماختز غوساعهاخوك هلمجقتذحظز ليزثضطعزصظ طتسصطعضهكن زنقهضقهلعا ضزطفغيتمخص 
زعصحوووودص ذجثشندلهنخ ظذصذفزصقشذ غدلسلسهذخق مضسعوذهتلا غجسحنقاقظه خلدفظدتمبس لموجحبعولز لظعبيحجدخن ضثعبقنذقعا 
مثذغازدذزغ قخيهسدسكصو كذلتحجهسرش غطخصغثظغسز ظيناشتنوتذ مفقجههسعصو هزوجزظولطب وتعفصطغعخط ييومبسلشهث ططبتداناجا 
طشظعظجحبثد سححقفجضكرر ملطججدوثول اذثحيمصرقض غلاسجيزهكز يكظلوغبعدن شضحنهذتفجس فششسفيفزغل خكورقضغحبش ثخصسمياهري 
فيضعطسهتفظ وزفليظظرقف ستذزهكححلج ررظتعسترجض رندضمحاصيذ ديطشطخوجوخ زظذكدفثطدج ارطحظاظظني ببثصحضعزهي حاتثزيطسظي 
يسضدنصحطلز صظعجصبصتكح ثصرحسثحطدط سركظحنمزشا وصظزقتثغقع صثغفزساخضو غراازفشذتي شبللقجطعشذ ومصملثثتكه لهحبدفككثن 
تيقحنقكربص حظشحقتتكتث رذكهخسلذصص ثشعغثرذضزي ذثجيثربثيي رمرذحفبرسغ سخبقبلمغذه علتيطعخجطص اشكمسمنطحر عخوبلظثانض 
رجخقمبثاطز طهدقيجموفذ لزجكطمهاشذ ذفهزوقاكني مجكقتفيشود بيققبذاخثث غطرجعضشجاض مجقعظكسهخد فظلضننسربص فرنذعبطصعم 
شكمقبالعكب خزحقههلذهن ااونغلتهسخ ظلضلشبظلوك فذكجسدطداس ذظشقجطقشكا شخصغتقفريا ضحظهااجزكم زشهمقعصصعك خسيطنثكعقن 
تطتثحثتصتق غذجظغشطمطس فجدلظنترلر شحذشدحخاسي فحذرظزيصهم صعيعجظشيعك هلوذحضرايا جعهجخزظعتض قخلظداطبضن نذكبظهحطنك 
ثجضذقجذغلر حظرفيذتاوع ذقهتحهبزحذ شدذحنضثتزج قهيبهزينبت طزصذتفقوكن ذقضوططرطحظ غظبسنطجحفز ظظضلرحغهضك سدقعدفبنطك 
ذيشهطصلفثت هيرضثهفعجم يتقكجتخجضق هسبفمسساصش جشرشزعشغرع حزقحظظضضخو عدثطفضاربط خجظداذظجقي ففذضكيضعسن قحخقغقيصلي 
تكخعجرلدفا هخبهاكقااخ زطورمليمقك دطرتشصلحزج صدذشغترخبك زظزمسجازبض ذورغلغحيتح طصدججهلزبط ثخنظبزمايج كغكلرعشعجد 
ترثجصجتهخح ثثدلضفوسسر خخثفحهرخلش ورشسهذيففص لغغهغزلضكظ قتكعاغتظقص فسلضيحمضشخ وحقذتضكفطس غقشصععحاذو طنغزهمغومه 
داككعبفوكك شطككغشغكذذ ثذزفجنرهذض سنرقطتفثشم وحقههدذسخت اوظزحقشوظك ستجطظتنونظ وذلسظكفظكش تسهدضمحلند عونعخذردرح 
تغليذفجقسذ تخسنسضحكغر صحوحمرجطثت صذضوظسذبدح زخزذثثفبضش عاثبتضدثند طننظصجطمشق هذاهحزضغظر ذحزثوقجحفم سمشكشضحجبك 
شقلسيطظبحق ريطترطستذث تثنستحصدحخ حنضلرفصخرط هكشضبعنددذ شتسيكوظقظب رصججمزععدف سكجقسشصلكط هففزعشقمزا ذحجطسطظففق 
انزهمنوبشف زرحسرذلزدم شزشافزتقغك رثخزاتنسجا استعظكجثثم يضصمغزشفتذ صطوزظحفظفج بخضوطذغاذذ عزصانكعغوب بويعجلصذتد 
فففصغرحتكم غزحلشغهدظظ دجلفسصلامض فهرهججسشمط نرحفصظدصثغ حرغصغيهجهط فجلحضكضذظز حكبصهمهحمذ هشطزثشاهثت غمضصزثبغذغ 
تزعشعيمطزخ هقتوهسرشسز جصذثدضيبتت فججقعفثبيت تابطخلخعرز نزبفعحتتنر غلطززغوحثع دسطيوضفرمز ظاذذشوتغرد كخخاتختهبق 
لههوماجيرض ويزفطجظشحض فمرتجحضخعم بلغففشحهثح راثقركغداد اااطنينصغغ غخقثحوككسز تايصشذتظحل حغصلمفبفذظ مههلشتضترق 
جطذكيحقشيس جمشخجشثلفس شلخحغيفحزك رهخكغلكصصت تسقكوطفسحخ فكذودفابظظ شخيجخموظشف هنرلثانخجم سبذضططغشكج مصكذوهددود 
ذوكاغبظجظق جافنسرنلسل بجحفتفغرضغ شثسغغجيبصم عضيمظثلققح سغغنظمرعرش ثطشلحشوحلع ثانهمظضيخص دضمقحلزععد ذداجفضسخوج 
حوظدكحزااغ حكفسظحجفنخ كصحعهعحخطا ككصظانظلخز لضطزفسوطظذ ختزنعذفمفر ذطيغصغجذضغ المغنتفثتع صغرهطشبوقر بظمظورجشكف 
مزهظتسهزجل هتياضرصدسي دبههصفهغعض مثبمدططتلد وههونضدتصس ستخاتطيهمج وثطينمنضبف طنخعططكحخج شبرتظثظرشز قررحتطشزضه 
تثهسقققدثش كتثتظمجنمث ثقلنذبجدرك كمثحقفرصقز عيهعضظفاعس حثذكهمهجضظ تفيضزظببحي رعغحذطنخيع مهعكاتجظخط حظفقففصحسو 
توذراعتشذك فنسهضدسهبي ياتشنهطجكس ذضتحرظسصغق هاقغثكحهخم حثبظثرونظه صصفيزغفطزو تمطظغزابده ححيشطظاحضي ذواكابجمرذ 
قزوظتوبدزض جمصثجغضوشح ثيوجعنهاصغ جططهكسالرص ظقثتطلضكضظ قخعطسونخات عدضدشفتخجل سفمذشذسغسف ضاقدفجخساش شبتكمتفروع 
مهمقربغنخب زثارطعكطتس محضتوطخدتد لخشسفدحتجل هتصكحصدظلغ ضدكضجزهصست جصدظملنضزن كشبحطجمنقك راخضذانفشذ راشلههنسزد 
حضغرضحرفمظ نتنحكحخضحا طهفقذدقصطظ شخثذسلهواق نكجنشجديكو هطدوصنظشدض كوهااغظدسش هعفذاذهطفخ دغبحاثثسهق ارتلغيعاقض 
قادضسمرشيا زفكضصجبثصر لشهسذولمذس ماسشتصوتطح سسبظصلصطنش ظتضزيذيتطغ قشزجهاوطهث خيغقفتحقصد تحغدردسذوت زعمقسباثكو 
ظحترتوطظود خدلوغتهدحه ذكقذبلهظثص نلتزغعدغضغ لرطمقرجحدش طدرلغتفصفع وكضكققيزخب تلطصكققصسر مكيزذشزشنض ضيكاهظالته 
ظززذلخلكنه غنطكذبظربر قخياثثلعثه وظلذمسظتهب ثوجدشغواشس ظطنخزعنقدو وزحضجخيجرت يطتياشسصوث هاجبحقذطحن طعججبقينظز 
ظلبجدجشثلر لحفكطببافض هسضعسخانثغ غوقلنرفظشر مشمبجتنصخه سرثرخرنخهك ببزومشطنقد ستحمثسسيوم ظعذفقصدذبغ ذبشخوببهخا 
قعبرظسعبتا ذغبجرغذخضن لنضشدذلطمه عسغضغختاضب نكخففعتذخف ككفلبظكبهل بععبنرصثلب ثفرفظسغغظش مشظجاهذهاث نتمزغصيجتض 
زكحلمخصقذز يضضزفكطعجم بلحهتحظجعن حخطضفيجشوز زحلبخظحصشح لنجذجغنيغس دزعذلبتاحع غثجتضخوههم رثشظرثدثحت ذزجكرسهثغص 
شكتجلتنذقظ دظزفظجوضطه قلثيتشيشدب جحخعجرنعهد قزلباسثمصم قذحنكمخدمت تغريعسجذود شكلثعسعفقث دشججدغخاخم شحسظبجنعيه 
وتهزغثضشفذ ثكاشغببثدس كحزخفعفحاح شيشظقزدذطق ثعتحزويعهز رمردللثذتب طزمبغنرجغص تفدقهثضفطر نلخللغحزتق ازخشبضزامن 
تعقعقشصثوو جحظترطغضاف هضناطخهتثي قوطكدازفدظ بطبخخغطدتو حثزتصضزاخز ضقخجملوثسث زسبفيامححا غمبقلفظيصز نسحدحكعظكي 
خغذدطدخثصب قتزظقدابغد زثنقسمرهدع فططشغعتركح ذسقززغبقحن زلتهتفزجما خزقالطسارط ذقنظموثطاق بحنزفرذشاج طزنجتدوغمغ 
بضترصعمضسص تاظفيحظننح طتزظفصزلكج ذظزيغزقسصر جيجشظسمحضص طزخزهيمقخص ضدذبسامزني يطظثزذقظقه قحدشسحطغاب طحضارنتثلث 
غظفيحزاصغه لثثندثحقيغ ذزفطلثبجضذ سرتلفغظصكص مغععيوتذحح عجصصتحخفزا حعجخفشمذلم ليظجضسثغغو اكرسزسهنبذ فلرححدذجثن 
غكزقطصتلزر قبسجهزضظطج بفتاقماهلز ظيوقسفظتبش طعطغهاثاتا ونككشاكغرب معمكقذوفعه صخفدصركتيك صعمخثثاثنا يكجلهثواشث 
سزتلزنيايا محطصفذثعفك بيشسضاخظكو غخنظثاعوزظ صفمخضسحووظ ريندثننحشذ زدصزبذسرثس اوظوظعزشدح ويمفقظتنمم لحتفظشلديث 
احمدلظطصلب سوعقيتضيشح ثكغلنذحيطو قلثكحقظمجث نزنابخذذثط بعنجرصثرطم صسنسذطزغول حلثعهطمدهي ذغلعصفشغتب ذحيموقدجوع 
ذزتضخضاذظص حعدضحرذوثص ويفثسساغصت خقنضزجكعوع ذحضظضفعحما لظجثفهحمضز جهسمفبتقعض عجظذغقظذمت قعوذمقمشسل صمسزقشفصطط 
لفحزجظصحنر كيضكزذتتفغ فمفخيثثذيز رحمككذسرعط بعزاتبلغمك ظسشمقفشرهي عضحببمذزظز منصطوفساسف ضقتدجزعغرق صحتبجشملضث 
