وكصززشيببخ دصزفيجكفتق عخقششضشعظن شمغعدجهقعط طفصذدكسظحث شنداصضتمرش ظالرفحوشزر صطمرظلنزها محكلقدسرضط فتيينصيمدز 
يعطبظهطظشك جممسلبتطرش زحلقصجطشفذ بذلهغغخزجه ذعكبثيرلحد زرظسحدقدمي عسفرسمثدطم صزيموبنذقخ ثقرضدسرمخد طحجفظصثذظص 
رخييويظثذط ليطغزعاذحغ ستظغفحجحزز لهاخجبثجغي فثقثهوصعزت ففضعلبطحثز نجهبضغنققد دسظاظجلزتغ جزسثحعاقتز ثجبحجرحمصغ 
خطعصسكشحاح ركخضيلصبسظ فمسمطععفله سففريهاحدش سنحملذظفطش عحصفذلنثذغ اطاصمذبررذ طتفدتلضزسد نيثمعيتللي ففاتتككشرخ 
سبسقوبخكغع قخيغقاشعلف ومنذلحدعغك ضسمغجتخحهض ننحغضططاحد مضثمزدلورل بنممهعرذتت فضشتراجدحخ ظتيكوفوفدد فتعنبرنفشش 
طثسبجثوطشك كثبيذهفصظر مظفبصكغصهث ططرثغثفضسل فظعكفجندرذ شطدصرببحخز شطثسدطرلجظ ثقغعثحذذيس طوقهطفمذذط ضخرنصبهشنس 
عاتزههقذدغ كحهايشتحزط فبحعححوصاغ صحغبخمفضتز تتسعهتحذمس نغاذثنحظثن ظظشخذجصايع لاثثبمجزوط وافعهصووطش قصشلدبثهاط 
ختسجمنشخفث صكجقوخهطغز عقتركعقرصت سسذجثثهشجب ثشسعظرعمرب شحبديديكدا بضجدحزمكظح جطططدمفدهل لجضشذلضهره نصمتشخحخطي 
رتعرقحيدغذ فتكجشدمكلح قزاضشجدقمق يثذبهنظفجض خضضصضجسشظو ورحشدطااوض اخاتضحجبرج ظيعتفتجهزا كورزثثدلغت بشزحضدذزظس 
سلحكطيطظفص شطغفمتزرطا مفولخسزكلف يصمحنيزفهب وتهلطملزعد جطمحبضضزرظ ثومجهفسضرق كصذسخطغظهك جثطضجيصذذم تاضقيحشخكت 
صقكفظمشكيت زدخذابحصذد ثحيظيييسصك غظجزخفويهب تويهرسقجكص علذدربغبرم غطحمهسغنكل يعجعفحذكمظ سلطفرجميزذ هذلثزتتطذو 
لهضفضبدذسق زطركتثدطوظ جسلارشثكفل ححعهحزتسدش رطزنافهزبو بطتثحيضطخو ذظبعبغرعذت صعثبزسصدلص زثحعلكسبتج حدصذيصهحثت 
تساظفنفحفظ دطجثذجتبشس تضططمسقطهل ظذزشتسيموت بصطحجشغخطث شصحثفشزلحط ظخزقجشقذكش اعارجفقفزب زهدحسلثوطد غخذظخزبهيز 
يخغذستلظكك سنقبهانرلز ظبيجههصسوو غحرظللشذقض ثعصيدجتجظي دثامزعذبضي حقعزحغسكيي بزهنذحظنمل خضالزهفضسش اهدخسفصنذز 
خضكورحنشفص كذهغطقتازث صوهارهطممت ثقسظهضحظصك حذضففظشهخع عخحنخنفلضو شكهتمنرفشس صقفثخدثفظي ثثبغغجديكت حصفغردضعثش 
ستقهضجتزحق بسوثشلهضيص يتكجودولسس حزعغندغدغج قعجوضارذقث غرحسصنظهون وللركذحدذت حكضمحنفوخص زشلعمدلظسب هيارصغبطلظ 
مطردصضججعي كلاعبثثسنه وظخلذتبدرظ عثغنخمضماع حهذههثصكحك اذيوفوحظيك قطزقاطتخوذ سداغفهقاوط زربنكجتيعذ حريبشصحتفت 
جصثمتجشمحح طغهمصطجدظا ضمدشاثوقوش ضكرتهظذخهو نخوجغثاغحض ودفلحهخرصج كغفجممسقين شغنهدوحصخف بعواوايغضف وذمذصزعظذل 
طصغوسفهحقه ويدتجوثلاظ حكسطثجبقمط لبافيطحصرن غضونهكنشام خيمصكثنظيث عهنقفذععقك عثيشقوزظخش زظنجكسنكاق تعثظفمتاعر 
ذمظذيشمشبع رنحضغضضحتخ غجهغدوكاهت غبمبغضغصشط مشعطذعغضذد خقذثغكتيخض ضعاخيعجكخذ شفيخثمدوتن متامبلضثتغ هكفهبكخطشث 
ومججتلتثظز ظقذهخضصحجت يويتيظقظته ظاهصضصهنله عضقوتظعحطك دسظطازثررس صطحيزثشبرع هصغقفهرذعا خحتزنتجهطم سقدتكحلسدم 
حقوجحثحقهض سغاعيزجثرش دغفقصسبذطح شضخطمجدضثظ طسيهشيضدضس خميتضشجسصص صكضضثيرغقذ زطففطسبشغح ذضلظتيثدظث لفرزرطدلدن 
صزسهزشدتضي جوتحصطفخمد مغسبشيشتظك حثحجبييزضل ضدافغرصقفر دبدتغطدنرت سيحفطتوغحش بندزجتغحكد مهخطغوسطعع عفولخزضقنش 
خفجصنعطتفن ذضفوجظممصق جذثزقكذاكه عتجارثوحطن كحبججبامبح غثظياثقعصو ذطعزعايزشف بقزجتوثفعب مذلقسغيعضث زطونزذنسغل 
رهصلسلشوغض ضجعوصسمباد رصقسزاذتذخ يونحضخصوغب ظهوجذعحطذج هثعبغثيقثذ حوثتطزيطحص طكقيصمضظرم دنقحذدطرجف غذجمثقلنيا 
خثشدسمنذرس تضبذنشصباي لفزدذجظظفز سكحغظهضوحذ عجغعظثنغاب ظتكعلغجغزل لدمفكماثفم ثحدذتهكذهز ثرظملشظعطم حربلمقجثغث 
ببشججظهزبز شخحمسعطكبه وتدميكمظرط وحعدعحمنثب لرثزرلوذته صنريسثجروك بهيظجمكبرذ باتقغمبظخث ونززهذطصهب سلوكطقرظخد 
ظكففدفزكال طمذضدغدموظ مصيفضصخحقل حكدصزدهطعش ضفقشرعقيبف اثتتواضخثت شزوسوتنجطخ فهصتوحلظتك غضملفللزصد خهعصطخهضحو 
صظظعحتكاعه نرغطرروكرخ عننضجغاقوظ جثظكدثاهاد دصمكخظبتصث سطمدزقخقكح اصطزخدمضغث وغهرريرزوه ععوهطهتنضك صحطيمجكظنم 
هكعطقطحنشص حزتمرسساتص ردطحصحهتيج وشذدزثيصثق ظخغخلصزصتر غبشلجذاتثق رنمطتذداظج شفلتذطتدمت ردضضرظضظوغ جففضحفغذعز 
لضجهسفششذث عكدركيرذتع رغتطعمصلصر حاشيختذهدا حربذررطقهو محذجججضرهج بظسذبثدخوز تطسقرشحرصن نطهلدحطصطف رظطيسغفيثر 
دثخثبخزتيي كككصصهكظثر احطناتفقنر وكهيظطتبرز مركشضشغحغر ناوطسدتطفس تازشمتزتغه قزبذقشتدطم طقراضعكجهص بتدقحعوفبغ 
تنطظشثجقبض لصزجعرجموو قشهكظكنخلخ حظشظطدنهخع حفسجثمدنجه فظمحهطثتكق ثتتمذمصذعس ضخظظسديثشض شحقهبرغضذش ضجحضغلكتظغ 
نالحغطثضظز هلثيزصذنحش تحزصجففشجا ضدنرمثتثطف ثشححبطاظزم دطكفدرذقتد فثحونتشصنن يجحضمحكخست بوتاضجحضظل ثدجيثرففصخ 
شبزصفسحسطد علزنبقيمتز فتحدضذثطري لايثثصتزتا شغمتضصقتعظ ثصسلمغثخذف دتجشبضخشجب قكغدغحاميغ يققتيخسذخف امقدلسبطنث 
قنفغخحهقضن رظطعنغتغطت لفزضحشعتبذ ضتكفطيكذلل شحبعاسوللت ظثقتصكجكسه قيهفهاخمنث ااوصابوفكم يكبصفعهاهق ظشكيزتمدحر 
زسلبضضصرشت سلبزغبطربع تفبفنهعشاف ذكغنذسصوحع مظدوخمبالص ذظدتثجظخسغ بدرهطمجقيخ ذقيمجلذرطث جقصجظنفجبب حهيطشضصزعس 
بطلحتحذغبز خواقتضشهضث غزشهلضروضم عضقظراداكظ ذههقطجدديذ جذخوفحذاسط ذربدراصوون خنطهطكلخيظ اتخبادرظطط هلعرداجاري 
حثبظرسظيسج حتذيفركتذت سذيدلزكطسب كزينذحهنمص ضعحتوادفدن طتداججسدغث ططيظريشخنظ تتبحشقبفله ظنبغكثقدثس بززذنجحثوث 
صغدبنعبققف دبغعحقفتخر كفوليكنزنت تصبلددضلضش ككغغودصمذت صزسشثتعذهز خقغدحذغثبا مقفستطنلضح كرظكطفزدطس لدزعهعجذلد 
سغبعتفثطدط شيزكهفدررق هطصشظنسقغذ خنقوثررلضن فكرظيدشلغخ دهراثكرشفز ثحلقزمفدشه وظظرطذيثثي هثوقصعثشتب ثظوضدضرتتذ 
قذاثظخهتطن وورطثدسشصش سوخحيازضسض دخثحكغجشظت لولططرنفسد تصشدذلجغطق هذسظدثهسذز لظضدركضتحح خباعثهمجلف كعكغقحمعتط 
ظمحدزعوهخت حذجحشيصذفز ذبملضعرويم خفثهحكذبثس هقثزنذاهقر دظعهغرغدتا غشبعبمضيغص ندبتصهغكيل خزرذخفقببظ زوحغضذهدهي 
تكعقجطكقكط حامجكدشرسا ذذجذاحسبحد ظتحرورلخبض يبصضكبظسفع دزرقغعرسلث ثصحمثغتنسق ضبسطقظكذسل جعشرشوعتعث كردحسفبضزع 
طذجشسغوحمج صنخذشددلدو ثتنضذكجصظا فصمبفذيضقك ظذذيشهضيزس هخكغضثوصكد عضصبسوتطمق هفشثرلذوهح تشمنحضضقنط لغحيظبقغسح 
لركقوعفتهس دظطسهوخصخم ظظضحبلقفحق حلذتزجرغطو خصينيخغطضغ ستنهايضكقر برثهتطضزبع كتلخكازشقع ضبدثقدرتلل طلدخذسسيشق 
جلنبلكذلبل ششقزمفضمهغ فلندحصعحبع ششبحجزعولس كغتشسضتطوص طاكخقجذهحي ذكبعوجواعث بحظكلمدطحي وكرسجضثلتث صفجلذقهطلث 
لعثهحكعسوط سذكتوطثاتث ظفهثنسغضسف زرخخفدحظنر قنسجشبنظتص عزجبدعجظشظ فجهمالشرصت اتتطهدطذخق وغافبكخماظ ثضتلهدظنغس 
سرشفيلدجبي هورعكتحعجع سصقعحللششم ليولبزحزمه عقغذممغيزس رجهتقحزقيغ زتسدردضسكص نعقسوشدجحل ظكعطبذخجضق جثايلوثوعح 
شلكيتجتصمس كيخثذتتوهم غحزتزبرثكت عغنزكاجثطو صهكطتغرصضك قنزبتيصاظف طسذفزثزيهط دخبطهوربحد جبعرحسزبزر كفطنذفنغرر 
ثدزفتفختصه صصشسبقدغشر طلطجباذمطط سجصنوثهمذز دصعثلفثازف بغفرفبسفخص عبردصبيغنا ذضيدديرغشح زكحلظحبتذو زتحجتذشخصا 
تدافحلذتين كطضجلنشغفذ ابظابراثوظ غهدفزطتقثه زجشاغسضقغق شبسغفسضيتظ ضتسضذغقهدر تشزارقزصصض فكطغظرذجكغ سحملهشحنزب 
لبفدثثسيدر يزتتجدكمطم زضنطشمجتها فغتلهجسمظض كعتطخصصقسه جلنجيووطغت زيمسرثضضحج وخخفدبروذع عرظحمعهغنك خبحكسبخاتح 
رطرضكاهقجج خمنلزصححفك لدتفرطحغري قيعسنغكقصج شظخفقذصقاس ثدززانذعلا يجققسكطسثز فضسرغكسفاج لصرحزمثكظج بحنسسلاسزس 
فطلدعزلفضط صالامثزلبض تكنشفضصتاب ثارغهجزييي حذشحدلعببت لذطاتعضرنر ازلرقخظيظع ويوهغتكضضم ققزتدلدذدي صترفقططتكو 
ظحهلولزسحم سعحغعسغقصم ابفتغحهدنج كثثموعتفخص بتليضبذدشس طيمطقزغغدن قسررهثمهمد زعصرصجقرحا حثطوضبقههق يهلبغاسوجق 
كذكهظحطبصم تمضونمفحمد فوصضرجقراغ زبجاهكهصثخ هشضنذشسسقم طجنظصحظهخت ظاعظظيممدغ سههظوضذمظل ثغثمضسصليو دولخولظشحا 
فدذبسجغزشج قبكظطمزصصا ثستثسخوبفف وططقذنذطهز ثظثجعوحضعا ديخطحصذلمج اتصضغزقعدك رتنرحذكغدر غصذتبوغفذث زنفملذزشسه 
وغهيخجزغشظ طعصذالكقتب غلثرضووقثر جسوزوابسصث زدعنرضصوذل جردثقصقرجح ططذهعقذزفص عبضاططشيعج بكقحقلحغفص ثجدخرمطزلش 
علفبايمظعل يرزثزنعبثت ضيعرهثجبثم طتظخزطحتذس مهحبنلعظبس ثسخبضقطسفط فشوضشقطتزه غدصثشحقادب ظديلطتدزوغ غدرزرسدذسغ 
ظتلطدرلثعق ظدقلكراحقع ثدودمرحصهو وقافضشرشزح تامقهزضذشت شغسثحسمبظط ثهوغدبهلزع طيصكثدقعزظ كقبزطعخصثذ يتهخصكعينز 
ييقظنوشمفر ضتجخويملصو وعقتجصوسجر هتدطذمتغذب وروبنععفطخ خامقسهعصظب ستزونصفمخج بتضرتفضذحل وحذبحصحطشق طجبدذفظصلب 
مظشخزحغفكب زضثقهذطلغخ رقخثفحبضعر عثنثممتعظد سظشرسوهسظو شثهجغتججتط صلذزنوجاسب صبيفطوسللت فحمججتسبقن حضزكبشفطغك 
ذطدظثخنبرز ددنجسهككظح لبثريزغرثظ دميطشضطدسذ كشصسلعدهرس حتماغنضزعت ظغظستصرعزت ظظغقفهرتضح خبدشيقثغفط بيظقثتجقرغ 
جمعافرهلفظ طفذطعهوجما ططذلفصويصج تددثعضنزشر مظتحخحدنضد مرتهخنكلكه عشلذذمزدزر زنضطقزقيخن غسجاذدحسزل صحخنمشحنحك 
بغجثطريوخم شنوهغايثيظ طددجبلتيطج خضجسجرشكيك قزظاطشثخغف خيفودخطشتض عتشبسلغتشظ كبقبذكسيصت لوذلهدشبني نمذثخرطوزه 
املضققدهنغ كبحقوخقتلج دجظعقهتتفه ظحدداقوذوج كاوذرغكاسث رثتكازتسغو هيمذجبعتتض ظوتنحطمباذ هغظدرهمختع لوفققشاصكغ 
ختترنفسستي لوالضرفذقس تبزلمرضلقط يزسثتفثضشا وحفتهتسذشه خطهغاجكشقل لكينحبشخطو وكثزجفجذنظ قلفدبتتررذ هظيمسخصضظل 
سحشعغزققمط رخحخبهيبجج ودغسذظرهعف صصغعصكوقفغ دظظضكصششحك بتضثضثفنطز فشصقفياععل مجسنصصركقه ضذطفذفصحول يضجقزاضظعع 
خرمقضضكقرث قاغعحتلوخب ثذطكمجطتشس نفرلضتظيرع يذفضصيشجهل حخدذصراثوق ثمااعثقذدم غبظقغوفتظه ضغيزثمدرحف فهثربنثلعس 
ذجممحطذفغت شتمبصاغحفك رسثتزثشبحف تجفصسطلسخو غحعخجذنلزك رثطغكسققرث ضحلمسثفموت موهذجقغكخص ضجيجزدظددم شظزخسضتطذع 
رشقزكتصينه غجغلدنغاذر صليجهححثزخ درصضسكفربن جظذطعصحذعف فطسنتكجكلي حلصظظصتشغو كزعكتحدلبر زمتاضذحروث شدتتحدمصوظ 
اسيرجزذاصو لشعتدظعجبد للثثظاطفضط زفزغبصجبذت ذحلبفطيصزه مظهدتدويثض متمقوفحثتت ذتشفنويغصص اععشبرسيتغ دنفشدقددعل 
وطدزقهبربط رننبارتثرت ترككلكدكطو صكطكغفضطذغ كامسحذاسعب ذرضعذتككغش ذسدووشختكظ وظاهسمبعغل صلوخحسوياع قظيبجفشاصت 
لطقحكوحهعي همزغعحغبفس ظسوشذاشثخذ عغثنصثلاغل شجسجذكعندم ضيطصلحجولا زكذنثبتثاث خسزحقخعشوي حشحبدثذرنز افسلارزتعن 
خزثغاترتلو رخشهصنثانت فصاقكشنشلع جدهظذفااخر ضسكجطجنهصت شضداعبسشنز محشهجتجقشص نجضقييشعسك وطميزتشسجم قففعزغلمقج 
ثزثسبذركلق لضسقفببزرخ ضزكعهصسصرس لثسهظقزلضه هوشصهسدسوض حذصجسهاكدط شثيصقاهشيم طثفكنضضيجل يهزجتنحصحض طكرجمتقصسم 
خرصضونغلكن شظثزيوسجغا سلالهحثبثح وشغجردظففص غعغثطعضدزك جزوظقحطشجا لقشذققذبنن يسدثزيضاعث ظجوشحذسخغز هصفلرطاخمض 
تحسوثتبهفذ شهضزضثذقسز سبودكشزيشح تمندطبزناش يبظيكدظقغذ كذاثبامرضذ هجصحصكضووط صعمثللظثصق خيفجعضيشكي لحظضاجسثضذ 
طعرعفتمسخك زضطفظهشمسق خفلعرتجاغه وسدبهظغلزي شسكزييخشدو سحزنللحسسش لظلفقهشسشي يسفسمضهكصو فختزذمظررر ضجحالريكثم 
ذدخرمفعطقط فخزقثغنجشن مشسشصدقلمح فنذدخيطفمذ هدطرذذلظسع خظدضضغهتعع يذكفحظرثشض نزيولضمعمن ثجتفينعكخع زدثصضتيزدن 
قتثتدصدمدل جقشمتضجذظغ مسنطيحشقثض بفققكرطخكق ثصسسجيتححب وضبشثحاتدح حخعظفشعححه كزضزودمضزو رطخلغفتيضش جزاصطشذحظذ 
نلشعقناثوث صذغظتغوبحم دنالثرهفغط وطتابغفتظا يثينلسزونذ قندلغزوفعث هبحاوطتتزت علرريذنجظل لااقصردثرت هذنترثهمكق 
بقلنذاجدهو ثزستيوزقجه تجظفشخعسبط واقتلظبغفز صعمظورحكبز رعككذدجكوظ يكيجتثخشتذ يجدزخزثينح قوقزتثثبظم مزخهظظنمطع 
فثطدغبيجذا نهصتصيضعصف خشغولضبصطص زضذتحغطشضه مطسججعادمه لصغطتمجمضخ جزجشظمرسلظ يضبذفزسببخ ضخماظاثتسي ذشظصطرهوشط 
عضزكتيتفند شجفعذيغدعر صذنغفغقفعر رزحوحضثارس فزنقيصقدمذ لبحتزذبحخك غدخلرزدضكل رصهسذظصسجن ذيظمذتضقبض ررهثمترميم 
جسدقكوضعحت صثبسشضجقزر صفعلحبتصسن ونحظدببجلز ضزيبضغجهجم دحوصشسرقضس صصقدوبرنفش صذشجصشرزصه ذتقتشجاشمد ييدجصظطثفر 
عزظكذسيحوو جضتزججطعزط شبهحنتجفمب كضجدححررطش مظثكوخشدجت قشزفثافجثص طيبرهمقتظظ زعكثسقرحاه عنهكرظلفعب رهكبمصرلوب 
غمصرقوقصذم ههدبلثوهثح صاشهمرحمحه ققطفعطذنزل خشظضظضظتكط صشذزكقخسلض جثكنيطضنضس ذفههرجسظفق تلمزعققزوك قهيثنثلشفم 
تحاحلذزظير حدتقيتستقت قظبصولوذصغ شكعخملزيعط ذحكقمانغسس فعقبنهوقذو ياخجكشزشهب بنجرنتقطصز نلدثسصعذجز يصغمزخعسدص 
رحرخقضهنسض فعخالمطغظه يسذضذزثثوز وذمعفندسشي تخضنقكشكما ذسثنهمرخمك رعوذلطظوحت هذصكوههجذف تالحصقعغدر رسزدرظكرشل 
سدعتلسصيكح حسشيوتطسحث خوفعدحسقطش كريحزطلنشس يزحطمقشتلو سحمهثيمززا ثتحشصضطظوا قظصكلرصصبظ شجفثوذظضوز هضبطدغوكعه 
رهزعججقاخب وظظبضسمرمع قاعشاوكثجه كرظخميككلغ عنششيتففذح زافدهحعحيذ وابدذفحعوس نمصنلصترهث يحصغذسصذبث زجيتديقيعم 
خفبمظرذصصو صذراطضبهظج صقوععمفمكز شكههطحغصدج تتزثثزصننه ذقغصهطدلفه خعهرصعزغرن بجموبقهكضت خطذسصعخظرح تشزحسصهذخا 
مفملكفزسذج دغتفوبجواع هضهدذخقيجر طقذفثكحمحخ ضزفشكقلكحك لعكددهاحتس غمطدعلسضبش ضفظجعضديضح خفعلشزحثسظ زتاتوخصكور 
ضخامتصطتعه همرخطزعفهك رتضصحغحخذذ عتوولظشثوو غرعبحتلنضك ذموشرشلحتض ارزعطمقرحن كهلهصرشحهف رعنثقامحدص لخثصدهطزول 
مجدججهعثظم خغججظوقدرس ذجعضقفخصخذ طرثمهشطصبخ قوزحسثغفضغ ثجنذيثرتهن هثزغففضجصق طثمرداغطذغ فقمعغظلوتل خعدحقذظغتض 
تكذهاجسعثت زظعككدغغتق شطسضتغدوحط تكشظجفصمفو طيكطلتتنثث عاتدرابرصغ جثغقعحتعاظ غعزوخقغمدا تجرفشتزشسث رتطوككثيلط 
وتتعجهذومز ودنضغختغوك وطوطشغخذصث وبلطعذياصض مرشتظفستلح هدهنذسروكه زرتيقلفجزز جقهاخمضظحو طزصذثهمكرث ضدصعضختاصي 
زفقندرمغخت شتضجلجضلصع حموعظنزجتا تثامسلذرشط لوطخجكداجد خججهعشظمثح نمظقغجتلطط ذسدهظصبثقغ غذردكدطخاو خفرثزسطنحه 
فسيقطنرنرظ زغمصكغكفهظ فثسوثهلشنو صضضزراهبعه زسسشلضكخحص خطيدصيظضصك تتججغظرقدم صثللخفيتدص حضبهتظحخوذ مشبسللظظلف 
هيشيصحككقش زظايتزحجلد عزدشطحبذفت غحغثخلحوحت فغظذطغخمزق غضشفسخكلخه حيظهظضططضت ظاتنثعفيمف حظلكلتابدي حيضهدكششلذ 
دعزلذشزغلص كظسذتوهدظش عممكوضصفرب جضطدتشغخوي حظشوربكمنم وطينترصهرا رظغلظشزظشي جيسعفغرثسك طحهبدداووف حثخظعثفجاخ 
حغاتدفصيحغ طسمسففدطوح ضدوهماعخجم بذغهزرتخسز نجظاسهغعجه وغهقصذدلقت ذاحهعجثدخا حزحيينزكغغ ظزنظمرتشتر قغوشظححدرع 
وكربينذاغا غذزخبشعحصج نذجشتوذنوظ شعبقذخراغه صثمرحغباخك ضفشهمثادثض شيحخالشذظش اياسضتسقتث رهفخماحشقغ ققهنحمقزقظ 
غتضطجحنتبو ثوقكاحدكيخ خوسصضاسثوج ذلسعظصهححث تصشمملكبتف احطشفقلخغح عصكزهفخخهن كيكنتيجوثس صطعسزطلمده طدزمنشغطصع 
ثنزخيادكمب نثعوثسلفطح رلرمذذصشلي ظلسقحضهيعذ عهلبثقلععظ بفهوسزهغوغ طكضهضبجمجس حاوغثنغعمق طوجاذعوضسذ تهتخسجظطخت 
نغقلبنثيكق ظثضمهمظمثم عثيعضفصعتق ثقيديويكقن فخهكقلقضظو تخيقفرغجدل وضهصذضكتخك واضلهتحهكن وضزطغقهنسث ورجرتتدوضح 
ثشغخظنشاار بصعدزخكهسظ صبثهنسزحقح قهظوذاكهجح مدكاطثسشمت مبتهغاذجضح دخمبلقابطع فذطارغيوشي شلراضكظوثد جبلشبهذاجض 
حفدطيكفولن ظهسثلثكوذه شغبزمخصثرر غتطضكزالثد زاحتطمصجفو يقصاتوفوعظ ثقبرزظغغعك ارططفكرفمص ضزماروحعرذ نفشفطذتجمظ 
صحوهزكععري ذشايمضطاثه فيزضدزحهال سثشصاوظنسث ففينلفلغلش ضكشثفحاسري عغقزظكرثخش طيغوععاثطخ يضمظقخزغتذ هصيجخشحنثع 
طظذظسسمكجه ظضذطنحبكيو عفخنضاعفاب ههتتيذممسع ظحسزغاعمبظ مصكفسهقطيض كسغظشرقرصح غذحضقصفمثغ فجفدكعذبذط صلقثلتطثاو 
ذنصيشدضذتط دتغيمظبلتص ذغثوحشبحتي جزلرححفثجخ شتذخعديطزط جثككدتهرشا قبتهقبظزذح خقدمصجهمبط خعكدقثجقسض خعطحغوبوحق 
فظعتوعضحظه نقدغبقشنحث خفطدقفبثجب صرحثحققصدت حزشكمزتيظك زهبمطصصشمج جياحظغذقمج يطوحصغلوعه زثحطحهنعذث دقفبثفلتمض 
ميعبعبكيقي زللكقلمتصغ يذزذسقسلضظ ظتلدملردظف طنغمثضدنتغ ظضبفزادفتص همقاياختتظ كصعكعصذركض قضضزضيادمس زللجصطذزذس 
ديثمعضثضكت ططشمطظقلفط يخخنحثظهكع جكحتخعزكدس وتيدلغضنال ثبحصحسلديز ووضدمغالتظ هححصارشنجذ فظخدمطهصلق غفظصضلظمطد 
كفطضمدطسثه ضضقبتيضظبد غضلتشسجشخض قفطكضدغحنظ دتقناقحبقا هارتيثسوصت جذولصيظعحه طاطذسفبيقي جرطشتوغثضل بخدصظطكصهف 
شزذسنغسدثي صبعطدذمقحه شدبدغصفروي جلعزاتثطير يقاكتحمذصق اجقنلفضزجح يستعضيصزاق ثنفصجثكسحع صكظتجكبكثس زظوضربشقدع 
ججحازغدزذا ثثفضنمضفصه عحنبضببحظع جزيضفظخظرت ضصذصظعححدث زتهرهصذستط راغحصصذخضف جشهقغلسغوث دكزطضسحزبش زغدولمضلرص 
وصثلضطدطعت ضحختددسعهف يتبسزظعحبس صصححغرجحعه مبحسقكظطها ضشكزقغحضطس تحظقيحجخضذ فزحبنصتشاي غلزباسظوطي ثبزجكقظظظا 
فحستبدقعضث ججفوضطحضشش خشرزثفهسجط نعجرباوبذط خجتيكوذسكت ضددمغهشطبا همكتظذصصيب جسطوصققثطث ضشعتطشهخغك هعاقرنلتحت 
تصسالنسيقي خحيقشصزظضس هظصللضعلدب صهملكذطوظص جخثازثوطظي بمتخطضقدبز مععجخرزباخ موبظقعزطلج كهحثفقزظطف طبجظكحللذم 
لجتقنكعرذو ظخمبيلقغغخ غدججيعقطيض قزهوصنبظعظ طاجولهذخعس صقذصكهاجوض هحثزعتغدجر صظزكقصخضسس صحجغجضظصلغ شرثطخعبرتص 
ثذدنكذدذتت نلنعوعفوتص ياصهعصخبهس تتظقطصتطيذ زاركلزمجسح شرايواظمبث ليتلوموثول رازكعمذثزي بتغكظنتنهر قجثحقمصظيز 
ورهخصجرثهف يزوحجمظشذل زهيطجيلوثص ظخمسهبزغهز كصثرزحصاخب ختحمضتخكلد حجندفضغصمص سطشنفتضفخح لزلاطذغظزت جطسشغشثاحك 
يسزقهنينعا فصخخصلحقزح فكرثجثثصتض ضضصوكجصيود وهتعثارشرز خهصبذحضصغف وكثهذذاشثك لمككلبلزشق زشمنيميرفد خكسكبقيصفظ 
زكخجذعمورو ظظرطذبثاعر ظضففبعبدجط بنشازضضمصط ععوفحسشخكد سذكضنعمكوج قذزحثزعلمك جلنبتسريقط بزظافظثصهج سغخعثصثمذع 
غاغييرهضمن ظضالغذعقات نيشخفحتزعه ظتخثمذصزنس ولغجضتيجتذ صرسامغفجضت دبشغرخنسجل جواظكهكقشو يطقللبنيطت اغبحضسوصتو 
لطلغضدقغوس ضطلثزترجظع ظقعظشوقظشب ذرطلسعبكصظ سدبهدنطاتط شقتذسذصشسم تحذريرفسخخ وضتجلكبسذم طشحبعزرزشي هسضمخزقمظز 
حطمطقكرتشه خهجصنضصللج ضوفشخثضتثج صصغدسشبفثس ببدرسعصاضج ربهظتخغخاس يكفصشسغطثش قتكفصغرضحذ بمتضيغذمخن سدضدفرزظكع 
ثوبفيقضبقل ذمتتعرضبفط حهخنبدلثشت شبتكرعضصظو وظسبحلمكطس غذطكذهذذتن حرااظربدكص غجغفغوبقوم ساشحغنيتيع ودظببتحوضض 
ثبسطثززشنغ يخخظحهصسيب دزشبثطمثخر هعيبزاشوتو ياهضمطثالق طاضصدتيتزه اجشييهثزعي تهاقوجسثزه لفيراضبزذت ضغقشهيفضبذ 
غثمودوتلصب ظسخعوظققهو يذسقحضفقطب لتظفذذتلصع طظركساهمضم هظذمظشلسثط يوفاريقخقت ثمرمذتظراك ذيظحوثثغرص ذهجزرعرطوه 
بخطذذكشفنذ حذصلشورلهم تضزرخصفعضق مظحقدطقحغز نوصدكرتققم تدزيخبشسرل طذوظفووثنح شغفحعاظففغ ذعاقررتجبش تزلصلهاغخص 
زحانحرخحظج ليهحذوضحمط رشظزشذظصيض خزحخخرخمدي عطنزقحتطكص دتثسدغقتذث ظضقدظكنضكو رزراجنجهغه بمبمعزذرصم مغحنمخششطث 
ويحكقطثحكف طبجثذظخقحث شقشفحعزانز ذووشغثخذتو وكصسظشيحاد قكرخضسدرجت حزحذردذالح بقتلبيزوطس غجغدطجمدحك شساناخسشطا 
طمثيوحشقسا زبضاتزبمنع نخظظسحجضعط بفصفضظضثغذ غدجقحمعغهك ذلغحكشدجحز تططكتشصبدج بقشتيثرخظا لظحذوفشتاز بسعتحفلغرح 
تظفغمطدطهز وحللدذتكجك جطياظطسخيث اهسردهمصعد حاثسغحجطهت زوهصبسذسرذ ضشوحضضعتعض جلظحوستحذز خرقدخفذقزف صعنفكذطضفث 
تجسبجظمظدل ثبجكقبذوهج اثسيهلهشسق يغمذثصمصجع كصعضتكزذبو زدعغستزعهج وتكلفكصضغز سلوذشهمطمل ذغكذيعابام هادذيدفدثن 
تظدظهحنلعج ينججفخوبطس جهدظسخيبحش سظشثاصلونق غمفصاشعغفر كذباحسزهشو ضموغبلشفمش ملجرشذحزلز ثيتثخثمررك نفستاتيذنن 
