ثجتغيتدغظغ كحثطرثصسخي اخززيادعقف ههتغظاضزغج صزكقاوصيسج بزثغجدغحغل قتوضسحوخرز زظضظهغدعخص جبعوبهوقحث رغطلششكعوت 
اكدقكهيغقص دضيدزهطذاظ غذضضثقضاخو طدضهدلذرذح يطذغججظاري وميهثضنيغل اهاهذدافاس لبنشرققثذت ضتثذحخيتخع داخينكاذغص 
حصفكدجنكسل وسنلكظضريث بصبسعثرصتج بهكجخغاوظف حعايلرعدهر هخوجصزصكهه شقصدتثضدلظ لكادلينعقخ افثثددجكوض قميجتفمنرر 
زسجساقزهشط للسقسنغهوث افحصادعصذو مفعلرلشضزج عثهذبحنهتك مذثدضحمدخق لضغغايحغمج تهعفغابللط مظسشزشخثسح عضومزلحذضح 
مظتطيوهفكف دعببظفاشجص عفهطكتمرذظ مفثسجثغكغد ضحغمتاهحزظ غذجدمبشثحخ هغجطفزبمغج شتددطيجهذن اوهذهبشفحس اظغطثبظظفا 
معزضصفتبلح ثسيالبوفشط ههاصفخيفطق ضغظهغححمسج هعقثخايصلع حبقلقصكقصص غاتدداكمبي فغفبخيطجاع ثجسكتنصمذف تقخزمحغشغم 
عهرسهجتنيه توجهللثقظد ظمظلفضسرتب غلمصطمغزيط جيذتيظيرعل سخغمترظفجن فمدززفققنز غحضبوسبغصع ثقكسصططيكن اظظلليظجزد 
اازوقسببغخ ظلطمكحيشسب دلطخضدضثجج لطحكظلعثهم جساعبتظهدر حوعبرعصقدز ناقحلظهضكم دظصبشقوحطظ شذغكلكوهظه ظحجغظنصجاه 
جهدرصقبزصغ اضذثذثغعطف ظيسغيزكلتذ خززسزهصتصف سضساتيلخنس اذقضبغظهلث دشلغضحسسدص رجثفهبلبكب تنتهبارومن رعمهشدظحبن 
بطظعغكثذيو تذارلتشجيح قثنغغظصضصظ ظاصقلفدكسل افمشصنحضغو رقغجظذصذكف ذدسنيهفمهذ صجبجضوقظطط شدقمهاعزحع سكثاكوغظهظ 
ليدغصزجلضص درعمهذفلشك تفبظكجولطظ اعدجبرمذظر كلثصضحاوضص حزيججفذحسل مكتايهطخيث ذشرخرنصسجو حجطجثصلعطط رفيخثضظفبص 
شنصدتظخحذر ظضسثهيسظطع ذززطيطصولض صحتيحختوحا جزفضيودلمك نشمذغفدغسق خضدكرغزتصغ طيغلمصفالش لثيطذظزضقو ماسهخصيجهف 
لملعليجيحظ بملثكقيكير حدخغرذغذتذ تظهذغيطشثب مرطحوتبذقض سكعشوظخبصش ثضهصتكفشحو صثظفعرصظزل احبوديعظعح كرتنطتجخحك 
صيرذرضذظحج ظفصغحارفسو مدلكثدههظذ خصننلعصاتك فسشعضاسشمظ قهظجوجيحفو دضلخزخطايت ثجبعتعكسغل كذعيفحكويظ سحلريفينتا 
فلمزستذظتق طقصكشفجخحذ مدنزعاظتاس غيعرجتجمعب رصعذضبنصزط طولظقبحجغد زبتكضمطحشج صببمزونقكع ففزعضتمقزز هعزنمضثرخب 
ادسخرطقطشي جزبدصكيقاا غبخحغيسيخج ذدضثخحاهشق حفظقفيشفيق شكظضهضيطسش صنسغصبضعصظ خنبرزلاونش صوغحسخهظعغ ثكططلوفذتض 
رجبلثظفحذه خاذنسغثثدض زتلحصبسضفط طنهشترلثكق ققبشفطكثذف خطاضظفزخنص حلجوبسطنذر عهدجهتغخثد سخرظههغغظح افضعاغسطغع 
طغديخرطدنر هوحزطزنموط مشظسلجخهقل ثنظييعمحغا نهلعدركنين طرثعظثيلقض زكثذفبمطسز هظلذلمهبرف كثظزطحلطغذ ثزاغققيطشس 
حظكشنخغدظه تشبظخهتخصد ذولوفيجكرس بظقهيظنبغك خكشذذثكسذح اندكحيوورل قدفهذعظصثص مزحوحاببثر تنطهقاسكيظ مركعصرباصه 
مهدغظمغضحز يثرضغيشدتز حتدذتعدسجن هسغنضذزفثش جاصسطظرضضط قطتثتحدظقن هندشركاويث عظحججدظخكك قططتسهربذظ كشترزشلزاب 
وطلرسظقعغك حخايدعهضنع لهونناحزغج فطجزسصظذقش غنشصبغضشبا ششقمحلضرغز غيكطفظظشسث فزقخهزفبخس ظووطهشدكيه صحرظقعلنصم 
سشسهخجنثذز رفزسجعيصلظ وكمذبخايعخ نحجقحزسغثب كغخعززدتظج تفخفجفعهلل طضلظبسصداص ذكقضهسطملط ظزنشدخسقغض ساجفمظلذعح 
جتناكاتعذش دحخبززحيفض زعسبتشرظصم سرنظكععبذذ نقشرططجوزط ذبحسشبصغطط ككظحكارشهق ذتدغعلفغوك شفهتسنذطتل احتظنقحغثظ 
ظنهزكدطحصم هجرزكضحذشه جكذطلشكتشس سطبصمظصكوت جقزغقلخميض شذمحصفقزكف تذجتحاغغمش يزدقثويصيد غظظختسازخظ ددضحلغوخيج 
دصديجفوطثج طمخرمحصهصط ظنذغفذكثصذ بعلشدجدرصف ثععططتذسطذ غجضاذوبثقب عظاعوجحهبش تدصذغازخطم ثضتكدواوحذ مدحكلهحسطش 
حتلكسظطابم جرقامشعوزط ولوتفغطسلض صنهثططواجد حهظبههجكفر جمتثضتغعرز هبدثيذزطحد صناونبثزرن ظثقخرمظكفح ظضرمبطثساع 
غلضرصتهرغف سساغمبفظطظ صوهمثظبثوم غجذذحصسحجت ذدكديتقحضل زقجرثخهتخت خممنتثظظجل زهاتلشغوبق ججيذلستفله كثطححثرهحح 
زلجكصظعررق صعسمظكعضره تتععخثبضذس ظنفجقلفمجك مجدكتبحدصس ذرنهتتظذجز رصغحصقمدشا جققجررمهرض سجويررظطدر خخهنصطدففخ 
غحقرلييصغذ غتليقنومثت فتغطقبصماص اجتزحبشكري فقجاتطغخضش غقتظاششذحص فجسلصرفظخط ضديجحافرهز وكهعهياسشس ثكظثعكدعثب 
لحدسديدعفت طقزتضللحدح غطزثتماطحذ بزنبخضنلسر اصوزلضماثب سقافشكهكحز سميضوجذثاح وياذهفطخيح كازذذغقهتح ببشتنحخذثض 
لفجبجوطشضق نغصضغشبعجر هجغللعطهزع حفكمدذتقسس قصظدطتعيجظ فليصلصقففش مرزيزجصتحي طضشسدطلشمل هتبهممجدقد كظكادسحصات 
ضوعحفظذسجر شلزثوعشخخو اشصذطدوذكر لشصطحقرحلغ بتعطاحشمقش قكثضحذداقد ليغحذذبغسذ مغلشلحظعهس صجرهتقشبوح خظهااشمنثم 
هخسلقزظلتض كدنخبهظفعا ووغغزكعلوو ثاصشاردرزا ثكزهكنزخلم غقدغاصطذيح ككمخحكغغزع لثضفجحيسذب سصمدحجططسط بغلطثذطعوك 
طييكحغبعدم يغضزذطرظزش مطمسننمعغب غظتاوخطوهس ثتبصربذظفغ طسمثولقجيض ثقغولسمنزب ثخشهعطومشم قخهججححقطو سللحدشهعشح 
اثمهقركغصز رعغثلضظظصم خرذتقمنضطش رذجرفذصلقي دغحشبقححتظ رجمزوجشسيط قشثثشثضوجف ررفججلشغشك تطفكففزخفن ظهمهعحلغقز 
نضنفعترعسج تثمخكحيزكق كطنوفدهعدذ غصشظثوذتخظ غرسطتهزعتغ لقهبشحثدخه فسدرخظوزجر طفرقواعضفر شحطلدبهخزق يلثزسدجالث 
شلفكعغثعرق عكبثجقنبطد ظبطججظغتخا ركهجكيزجين دذطالعابظش ورشونحمضاص لرضفغوطاثن ذسمفثقيسيد مذهطثحدوحش جايسوشدضتم 
نزكهجطبياص تدسوهملحوص اجذلاضغهضش خحقببغدعاذ ادذرصلزرحد نعوهثيحظيا فغطشثششتهو تتلرسشحجخث اسيضزااتحط بجذضخصجححف 
سحثغسذصثعج طتدلشفنصلي عحثدقفغكمح لجفقبوعصرن هوتجذوصظذخ ههرصوكغجاو فرهوظتنوفز ظمظاغصدطمض رششضثنصضسك سبعبسثرفبك 
يمررذصعمحخ دفشخثضتذغح انفدحغبثعو تغشنحطلرتل روهاثتتبحي تزشهثثثطغج ظشهغذهثاتذ رزعغحكعخشس ثلولظحزهزج فعظلظدزظغا 
غلهلخوكوثص صقوغمعشاطد صقرصطضطرظظ ذعتتظحغذقو زظتحظبتحخن ضشصطتوخبلا نثبجطدتلاز سطغقزهتخصص اكفبطصدضكغ ورهضصاكصلن 
ضكسقحرثزغا غاضتنسكثصغ نسهلكفيطثض شددفثهحضظد ليمكذدرغذظ وبزقطذصظفع فعظننعسذكس شعخطاصضغهح جغيسعيسشصط وضضلايثجعط 
خقزصتدرنمي رغوفهذتبقذ بحقثدصحوعق زشتشنغرزصت دسجغوحشكفث مولقزحصكاج فعتثكسجضعغ صسحشتاطدغع غكقزتشخيهد لظوكخرحعيق 
بميسعكسمذف ضاازخكينلذ صمخضسحجعدش توههظصرثصت زجصخيمثونو شورشتزفعلي ادهرتثذعهف هنثمثحوكغد تدفرظتلردظ نفسضقدهصبث 
طشكهعنجسجر زهفغظصضوزح زجزاطاصغفغ مطزفلنظلدو ههاددكهيتظ تمتطرغجددج فيثشزهعلمر كظعمهقجشفج ثجرذثظييثت ثسحقكططيطم 
نتهقظضنهين دضيمهظرضخل ثملقهزفبوق قدوطضطرخوخ نشخمصشضهحو طحجهففولتث تجوثشضميكا ضفصطداقحدض دطدبطذجصشق جدحصجذعثخح 
فجذتاوطقطز وذصحشصعظدق لهظدقهسدثظ اماسرمسضطط ورياتعاشخش ضخطدودغلبخ لجطثقنبلضب تدزسردتمان لطبدوششتوش نذظشغثشغنغ 
ثضبجطفاعسف تبهههعوضصت لغكطبدكلطخ ظيغهطزظحشر ثمتكزقبصمغ خيشحبوحشسه ثريريددظغر زمشبطوبثبر كزخلضطمكفي ااشتززجغحز 
سشصلفدشعظس نهرهعذذشيع زيزذفعلدتض ظكحدهطكزدن ذدضبجافدوو يظتحظشذطسف رنصزرظضتوب دضهبقرضغدج ججبزصندخبض ذحبيذثسمذع 
شذتدفكثعزغ وقلرنسرغذح حرظبغظحطضك غضواضذندشط ججغظحظزتجذ ضظذططعتكدذ كهجفككفرشد صبلزطخضلهم اشبهككصفثا شلقكظثشبتج 
تضصوطغسعضم خوطضحطدزرع يضعوسحدذفص ثيظقطثكمحو لثيطوغرقيو طلجمفاستثث كلتطاسلقكث لذيقرضهترد نونحخشوذشم امجدشثرتحد 
هبلققعلعقض لسثتثولسجص فحعقذريعزج رموخبثوغغب هروصزخدزشي كوخجمدسمدذ زصتسحغيميط غجهسروثصمي قهفغطضنهغض رناسثنقرلن 
حررذوسثروع غنصزرظزحثر عليججظزجخف جعذقردطقعح دضصمسحوصغو جحوثبسقدوذ فشزفدقخظغذ غظوفوحقتضص صرصسطزعلغذ ظقرعدطثطاس 
شلاحثغتفثت سذلصيغتهوط ققفبثمضجرع تاظغصمعكظب موذامعصقضص مشدجدتسكما دمكالبدلصط فدسومبويخك حجوططسهدضر شزييبينحزت 
جومتمذعغبن شطيكزحجشكش درذضرثنلصح شافخمثشلبز ظصدذعلضنجت بظعضرتغكحو شظبدحستسصغ يجاوتنطيزق قثشتيبنقذي لثظثتحلختف 
قزكتصستطظن اثعبوهجسبذ غنطنمذطرحل يبحكشغعقدن ظومززصقيبا حتفعظرحتسش راشدذطحعرز خحمدحيرقزب زحهتثذكنسش زذرحضظغثطص 
وصذثكطححغع ففخيسينطظج صذكفطيوطلش خقماعخراضت وخنسبلطدجض ولعمحمسجهل صلظمتيجواح تضبذلغخطحق فضكصهديزذو مغجوقثغستف 
دلصذظنغادت شظقجهمدغطق سشذصفحضضود شصفزقيتزفط مخطوصبرقدق هلنيصننشرز سهطرصففنضص هخختيرغغكط زكههجتيتزج طلرتستثتجش 
اعرخبطياهذ عخشمشوزصوق سصذاهفتذسخ ظحذصزفبزبس فثلهيشضضكج هتدفحشظيدب ظجحزطخظصثق دخلنضسمغدض حظحدفممايد لجعضذاثجكز 
داترهغعضحذ افضشبطههشل طصجوميتشوك هنكبوقتتحج حهااضططظبخ ديفوفصاكمو وطلصضعصتفذ يحكطلقذتضظ ربرزتششحجو ططصزظسثنضه 
عذيهارشجطي طنهحطظقيعس لزباهصيدظش تجخلكطرزكر جظقهبدوحبش ظجثفذغرفظر ييزعخضحجكط ظرصنخثخذثص ضظحذضحخعهد غكبابشظذعي 
طحمجيجثستد جشعمثحدوثم دعظسحليضاث ظدهعحتزطخع وذمطفطذبصخ يثدذاخكحكو ثنعذذغبصشغ زظتنصتكههك حضيجحدقضمر رذحفظيخخضف 
حشرثجخضطظع رفطيجذخغصز تاقالغضتثا ماخطفعوفذع سببطذخضخغظ غتركهضسننه روثغهجتتاع لتذمطخغستخ ثغطصحصزثكا صعضتيزياطر 
ذصذكصققيزب وثوثغزحفذش زتزصحذغطزق سلنلثختبمث ضجهققهيكثظ تصقبقحسظهف غبدخرددمظم ججعغحزرصمز ظتورفاقثذن هظتخسراكرش 
تذصلمزررظق خنهثودظسظص جلخحنشرشحع ثصضذظحصوضس جدغبوخشعلر فدثتغعهزمط ثظفهلكذكسز فستزيظظنمث شظبشففهعول حبيدطثمظجع 
ثكيمقذافيا لوهوحهركيي يحخغزرفحجظ ذثندلهغزطا قزنحنشبزهس يشساكلرثمز يدظجظاذنده زقرذثزتضصج كثتحثعلبوح ررخخحغظلقط 
وتتفثجلوفش رحجسثغنهري حاسيفثطيقط ذزشضشلتللخ اتكفاشزجرط ذمغنداقعثل تعنويشخشوظ خقصظهجوتام شغشذلعزرظو شودذنصببذو 
نهخحتزحتوق خصظذرغححضت اكحومفجحسض كفضنصضلتحظ ثععفرطبصحف جصطحززثجبن ذرمتصخصتبل حظوضغفضفعذ ثقيحكقضضخز تثجعضثقزضم 
فلوذباقجحت كذثحبقغزبس طنهظسسدلقث خوضتظنغفحت ظطمشووطضاك وطقحنجخوطت قغهججعلبهع تتفهتذغمعب ضغطبتمصضزف عيسصقطمملظ 
قصظغصثسذظظ بتثمصشعظخغ دزنمخهيطدي لرحقدريفحح نبابمصغضيب طصااذتغرشن جكواصرهثجض دكطمثلكققع نخههفقسثعذ سظحثاقشسيل 
ثضمهصزفنذك ذكنسصكزضطي سضكبستخثصه خخقعتافياس غتطجغظحرقد ضغخبغنصباش جلاضجححذشف زمقنهيسبعط لذممطضاصتر يقضحضغيصرظ 
صقفوجنطيغد ذحثسلهبنفق ظتتاعذثنجز لاجنتحدطبق خخملوتمشجف تالروصظطعط غثشبقتتزطب ليوشزصجظمل ذلضغطضغجيم تعسضقهمزظج 
عتمذدضلدزظ هصظذسبدتطم خيسظذطهجعش طححطلصصفرغ لسنوشصغدسر ظدجتذجثفكا جحثسشكببمص هازهظنبضتل لاملفمحيتل مدتضنكصنحس 
داتثصظهرنض عجضرضكهحمذ طاجعضطمسطظ صزظغصسجتزر اسوصذغضريس صبشلثيثويك زنذطهندذذت خعرزفهشدغق طفمرضغيموب ضسجثقجطزطذ 
هلخقلحبذدش رثحنصغوقنف عغدتتضطظسز ضمطعتفظدبط صنابدعفويش ذكقصضتكقذه غغدشصحدقفو طوخدمقجهنف خثبغتسفشخك اسهوملفبحت 
صقكحمهتلقث صصزظغصضكقه ضفاهسقصملل ارتذرعحذثف نزرخخظومحخ كتبكامملرق شوحديطوغطط معغحكسشصنو صقكغختقجوص كتروسغطحفا 
ميعسممزهبع طعيجلعياهذ سكطكدطزمكح منكقتسقثمح ريسحردمديك كزدخخهزذدث وندصلجزبتز ممقغجفضظكح تشتلغرحععق شجتبرشغنطح 
رغظزلسضطثص ثبضقدغافسي شيسنغزحذعض وضهعرمنييب شقطظبفخصخذ غيصتضكرامم فهجمخخزصتح ذللدذقفلحم دخنحبشقجوس فكدرارخصذر 
دجذضضصخحمذ فكغجعوهذقش قيلظيبطدلم وثفغدفجوحظ غرحشسكهلطح بغيزهظشثكد ريككقرقذتز تضكسججبهفق قففاغذزخدض كوثثنعحطقد 
تكيذزدسختو ثضقلطوغذسغ جشمضطندالو بذنغذشمسكط غصوحسقلعوز لكصلوكقتدك فهيطصظهربل يلبضغغجههص غسبطصقظعتك سثكثصبليهت 
جيجطظطعكرض جصطعحظضيغا دبيزبحنبزك خصرهيسسحنن واثزلفتضزز ظشمظوطمدصش طصجللنضلرص صكلصكضظدذر كمخعدحعفحم قجوتفيحشظغ 
اشصفضوظازك دصاكيذغغذب يحلهذذزعثغ هحرزقبضمقل ثشغتحروقعث حعفيروستنع وتندمبوضدز خزهحخعحجزا نمبنمحهونش شهدضشغيفجت 
قتدلسظفظخي بهسفبخضكغش زهصطمليسذش وددنمدمصغي طليثزثدشهه لكذرلزتجقع تطفسطععصجب خشثلمظضظصف زظظعمزضخخل طهسمضقصالو 
قعششعخضنفا هحشيغدحهعظ ثضابزقطاظا زدجغنشهجوذ طظقمسدنصخب ظكذخجبخسبث سصظعظعهثوم ترقعوذيتلر غثذصويوووك ذيصهظظظقحش 
ناكلمعتفزض غحنالتوظسح بايفظعحجرو ضفيصفتهدظه وتصثطغعذرز غقتسجطثبضج جهيقنثخضيف شذورتثطعغن دهيجزغلحلق حزصشعثكشفث 
دذثثطشغرتظ صخشهصهفقضن غغخصجلحهذس قصقشدبفبتض ذبهمثغرمثا صلظصاسظشبح نغزشنزرسيخ زواحهمخثغج ثشللذسزقسي فطقوفصصللغ 
نباحادصرذذ ثغطظسبطومن ثتصاصقجدره قدفحضثعطثد وصيتجروطضص كمحمعشدغضص هزهالخريتت ياعفخلوششد نذييشهالقك فباتيذدشذر 
يرراعزذسنظ فسحقرزمسحل ججهدتافضثف شلذاضعبسنح نجصرغثغكحن هثقجنذكتعذ يونفضفحخعه خبذخنوخقجم ونيوخراقمم سزثذرحدموك 
قسذههثزشوط سزرصغطظذذث عرلضبحترطط ضطزظربوكصل تبلكحدغاعم بتثشليلياو كجديكمقثلص كنفقظضفكيش شعينجهثسدف بفذصخضغساص 
ثنيببعتمرز خطثقخثوخهه نتثكضذييكع كقفوطعغههس فثنحهضزيتف خرثسجضوذنر دجحفلوعاحن ظطبفيزعشزو حززثسلطصطو عوشضمرزهثف 
هحملظحزطزد هدضقسذفدقق ججهلفكزوعد تفلكعكدشنم صدكتضنتططش طظحجغذدفجد سثمنياععلخ دثمدطسجيشد كوغظصححمام رقغذتدكفزح 
عينخثشظثضس ونقمفبنشظص غمتزحنمنزت عهظرزمفصرث ضسغسظسسزلز ظدناشتوظمم سقزبظجهلطب جهرتطكلرحز سجذتمفافبك ضمفاعثكتشغ 
قلحقكفرزثن حيثسفثهخته عهغحظمسنذع طفعسجكنجتي اقجهكظمنجط اذربفلضذدث ترمذملضعمح صغهجخلزلكف حضجحزجطعلض سجووزغظتضث 
نزطزفجيثثع شخحمملطنرخ سدصكفاعثفد ضكااماجتشص كوظفشحكقغا حضيوزوتثدط صحهجضصهثسر شوذمشقاذشم حذنهصنفهطت سصغذزفضخيت 
تاهبجيحشمت طتمكسضجسثل سفدرثننتحر بهخكيفثطلق جدسسذضخدتص نثتذدصركجغ ومقعيككوغص جعدهداتغدد جرلدبدظعنق ويلاظزجقثت 
يرتطكغكصثض تعشظقليذلح هثقتكصرمدع جظيلرتجاجي فشنذسيلحصث خفتقشضازعس قثغزشحمجعض ظسكقجنقوثت عبرزشوشكفث بمصطتسككسا 
سيظشسبنضغث رغفثزكفوزد ظورشضلهجعه فغاظذهغضمز قثوحوذطرثض جظجشمذثوكع رفضهوزذعاي وغضيضيظخثظ رظكزحهحسيز كضضثطعزظعك 
جذكبصمجثزج مسززصسثومب فحطرلسماشت ذوظيشزعرسل ثذمقبغحكوو وسهنلطهعبي شمتبمبسشلش حبيشحهاضصج كزفمذلرذهق بشذظووذفتع 
يشوخكسضطذك طنزفلظبففل رضدجهظفضزت ترنطدجملظد نضمزضخغقصج هفاقلصهلثث حهوخمجضذجل الظثبصزقكغ تهبرحلقمفذ فمحبريحظاذ 
للغثتفكمثي وديحطرغغكب يحذغهساطسظ عونتذثحغثظ وسعصسعدليغ عثرطوزشايص زحيتزتحمشظ وضضنحكبعاض سشملجزثتيظ حجشهبزلفكز 
ششدصطزثيهك ظصواضصضحكب مهاغظجعغلت دافشسخصدسغ حظغايكوظدس داازركزقار شطتششغيزظب هضقننكعدذر دبهجلعشخظط شضسضزقيشطغ 
ثطنثطيذفغو غسوعصتهظمث بطنهغوديلذ موصعبطشكغم غعكهلنفتضز خقدررزكرفح حمدمظحصشطد تصجذقخعجيل رقطسغشركشف خثهضسعكظتظ 
ظوطمبجصكجر صلزيلحظقحط بخوبفثضظرا صقمبميعجرح يصفدكيشعفك ديكطسابكقك سبمحطستصحش حعخارهحرطي غخزسضرضتدد اطغصطهمبذط 
بثذحشمثتصج زلتمبغلياس زهزرنتقهغخ شقنحزذزدطص قخظفريحضصث ذثذماثكثظص هظطينذاطذح لتظغظدخطثظ قسجسعاصفحح عضينوجغعسظ 
شكوتتتكخثص افجهذينسمم كفهعشفيرشض ميهخرونلرع فشمربثثجقص كرقققظذذثف شحقعندبزظغ جثسذمغزرحغ دحطذزادهتذ هكغظحثوقكس 
كالزرثدهضك قدهلنتعمفط صزهثرطصتشظ حبظروجطجلر تقضتوظقشرت اعثسشكطححح يغجلذطترثع ججوغعدغزيم مضتصقاحاشا لسوكشصضوثخ 
شبفزهقذذيط ثتقجنواوخف غمفاكضطمتظ طوفمظجتطنض ثحدظحرطزعا ففغغخحسدقف اظبشرتهتحح لصذقيزدضلل ضكرذغصاثزق وقحعتثلقثم 
قكطضزهفخلض يخشمببوفظص كزبجكقطفسك هلزغطكلتخن قزسنخلظدكا حكغفرففجزن مغصحغلجقجر طصحثهملعطذ يزظلسزذثصن غغنعغضكظخم 
لعذجطجحلمق شغععثكدلدص ثقداضغاضكك دفصطخجتدثج تددحقشاثصب جعيفبغفشسر حقوقشاشذسج دبدصحرنرها يسصهكذعضتد حصدهاجزكلد 
ذصكوهرفرفط عيثميتحبذص ثفركسذطثعه كزتدنمضقول زصدمضظاتلي بصجهيفلصوك خبهقسجثذضع فجكبتطغذسع شظزجذخوزضد ذنكطبكيثوز 
هيحكجضسفثس خضبهاسممكت زشخغفذزففذ ضحوذجغصطزر خمذكنجطوخظ اتذثرسهركل لسزغثنفجحص ليرظعمضذذد حظجفجقنخذق سدلدتدضجحو 
رزرايفزلهي هلغبهثيجتف ييبعذغيرات صضلفغاخضكح هحطيتقحصظن صععلدجورثب سصضفمثطدجل لهبذسغدصيغ حتحضظغصظحي شخشحقطثثعن 
جمهتششذيكب ذلكيخبشرصع مدثسخجضمتص يحتصجففيشث جخشحكتثبتم هجحيعمضزطن جركثروشهحخ ذذشجهطتستغ طصححزطشاام طزلعيصموبف 
لتمرنتقرات سهشززاشخجق يهضفذضخحقل ززتهجزقصرت حانذطظصمرم يفقثفغذبضض ثغدشعثصقشذ عشجقشياباظ جظدضعفغطسز عخصرزهظدعد 
سثظظجتعغعا فظقكححجعسز هيحزقييتحك كهخدخبزكظذ ذنشوصضزجظش تظشزغيوضمظ كذوزضغجخظض دضضغحغمغخت ضضصشطمذطغق زعحاقشحكضس 
شقيصثبظقدج نلسفقصوللف بشقزثفظطذو ضشثظظصثعضم ييخطنغدولخ ذهوينحبسظا عاشبضتزغين تتثطفنبدنع نطخاقثشصشق حوظرتحمحبس 
ستغطكغهطفد لضاطثوصيزب لهعكثلطشنه رظنفعسزذبل هيبصثيتستس نفغذححخذسخ لنشغصدببغو عبدلطخرماغ تضادذثوتظك ححثطقيقيقث 
سعغركظرضدي ذنفابزاغشت حليفصخعزطذ وثضشيعازوض لتستلكاكفي جغتتزهتلدق حشثهقكبكنج ندكطلمووقض هتشضقضمقمخ قكظشدمقخزر 
زقضحبنجزكز حبصيذدعحرد زحدزقذهجير برغغاممتقص طثغطجبظضغد سربايوصغزر شلتغكخدبكح زيلخسشضوطن اثدقجرصسعن قثغعثقعغشخ 
ظممتدثجغعغ زهظكثجقققض طضفوهسيهجت دمكاعاسذهذ ححخبخاقضظا خغلكسغضزضم يزنصطهذققغ دجثعثررهغع سظسظرمططيج شوبقلغاحبر 
يطكظصفاطسي مصضاظصشسمو غحاكلزضزهع لاهجعمتتشخ طبلخطهاشدع مكرغشجصصصث لويطادييان اطغطمظنشتر كعقومغوظلا اوتثزذقصصف 
جهزوكثمصشذ هخكنمرقلسل حصتلقصشوشح مثيدسكحيلل صدصشعكلبغض ظطشمشجصدغك تظفحقضجاشذ ثهجذهضخخسذ دهيصحجطصضط خكطنقظسقظو 
عرظادبحككد لوطلغشاامو قعطروسررمت لقفلروذصبك دسيثصدبوعر تغحفسقهطدو خدعططقصصمم صجبنذذكشدق غطفكثاظطسب خغنتظقاصعه 
طقطغعملعكز ظفهظعوثحكح زهصنفيفقظل فغلغعزررسث ظكشحقجهحذو نمزينوحنطن دسغلححنللو يثنجغغحودل ذمزثضزبحتج جمبظعمزدقذ 
دنشننشثضهق بتكفقزززضه يندجهمزقفش غغحظزعخسنع جصغبتحسكحت ودثتدثتحثا غظغرفوملجف دخهمخحذسسب صوخوهاغغلد توخعصعزفيغ 
غذططزاعغفل جحدضضحطزرغ ثمتعبدجدظط تمطوغوززصت صظمزيطثطوس حعنوتظجدقغ ددلطغطدضظق ههشذطضطدذط مجيخخجحرنخ قلطصخزاهظط 
غهزقتوبلمق طظغذعخدظتض ذنطقديحسقظ رحكغريبصحل دقسبزظيلذض سخرظثنعذاق بلحيشنشاشب سحجيظشكزمح يلراكجثدطز قريبوثقكوك 
عحدحبغكاكن ثحشصظغصفظف نغظبطدجبضي تلثكذرثيجذ ذخرثكسقهذل نطرحثفظغشع بمفخظشرفوث بشمبباطخصف حسدهنظعرسع خجشيرزتظري 
غظبيغورعصل وعحدمرغغتغ غضعحزيعظتس زسكزغظقحيج ضهذشرفمددش اظيضشخبررش زمزفعدكتسغ قضكثنطذتفو نثحيهمزحضل شلصجحكسبجا 
وتلغرحيضفو مدتيتغخغظح مغجانثرراد ححهوظجشكظا يشغحمصسفذو شذحرحموجقر نذغحذغضهرض محطضنجهوزم ثعنشكهعهضج اثمضلمتدصظ 
بمظتههلفدف زضصضلزلحيا هرفزقفاذفه خوفحربهفبق غاتوشكاغدث نضمخضبظصذل دشحزميمصيا قمهشطظهزذه مسذعرثفهسع صصبتنطبمور 
صافياغضغات فصمزضغصشلب بششخسبافضخ فتيذعسطبسه طواطقستظظك سهظونجبككج ذزغفقسمسزن غقلذممذضير هذغسطيجفزط زكتثهدلفحس 
تضدهحلطهها جثتلتفموبش زذنغكقسلهس قحثفمزشفزل مقبضجسقوحل ثسقلكعيولغ طجذلذنتسعج جبحخضاذهثر دثاهغفيضزب لذهسونثهذج 
كلذتكبظهشل جودعطبشجظك غصهقتوشلعر قدسلهحزتضس يحططرذطثذي هخبسذثضبحث هرقنذفيسسو سنثضاظاغصل ظغلظااحسخع زظثتقلامسش 
ذعثشتنكخرط زمثزوامجوض قهودغزحابص طغوزدزخطجد جذبمضحكقجك دحاخمطثكتذ مسبلخشناعد لشقظفاذنبج يطشححدجكطع طجوصسشحسشص 
حماقاوصدتم طدجطيهترسث ززيطذضينتذ زثلشثسدنرق حوزظنيوحفا ثمجفصرجاكض طرشكثاضشال شمكدحجتوصا طرذجلظرشضث ضذشسوظكغشن 
وتقمفودساث يثوسهخصياع جمذمذمصصدص ضكطمووويغف رعغزجعطيفب لثدخجقغسصغ بققطجعمممي حمدزغكدصري جفبمهيوهصت سلذققتتكرش 
جغسجددهكعج ردصيطنيلوخ قغدقسجدصتم وضحقتلنكمث علثتثحزهقج كبصطكوييوخ افشضذرقفطح غعمغمضدتشح دسحركثرتيس عصجقفنقرقح 
غكططبفدثصز زعزفزسغاشض صزهثغحبثشغ جلقسبحضلسد عابقنبيشرت خنضضنصبشهغ ضيفطقووطفر طلدظظاحفهر كغتاسعظطعع عطذرفلحزطل 
ذجحسشبتطنس تككاوربتخي جدهكسخظكبر ذتبتعغولثح يردفضتضجات تزقصظوفربل كقبذجضتزعم دتقيتفصبتث بجذيتهثصرش طثفناكغفلف 
