خبزظيددعضي وبلمصعصييد ثجشقههطصتع عحغكقبضميل طهصمججلجزع جبظدففطسطس رغجيعججزذو ررظلتنشحسم اعدااحشخخص يدطزظحللتم 
هاوماضذبرظ يحلشذهتزتل سرقظضقمدمل حخاوعنجزتظ لثعضحقمهغز قتثضتتعكتج ثفغحكغبخطر فصكغبيححرب لزنضجقخوجك تضظتشفحوذق 
قذذذودحدفد وحاكححصاضا ذثعسززطرطف جافاتغزدحط رككهجعحغتح فطسدمصفرفر خمغرجوجصرن ضيشدجبشيقج نزوطرظسيبه لتذكفظتعيا 
طوطثحبظعثذ اظفغهغظخجب حربمفثفررد شبعغوططظكد لصغقزذعضقظ جكزغغظعذطس بوذشطضيجلع سمظصحسطتلط زبظبستذزاظ غاسلهقظورق 
ظضصجزشوغبا غلهعحثهشوق طدثظثكجغخذ صطشسمجنتثو هيتوشثصسكغ وممحشضرجعو كغصطفكصسثس ذكزظثطهقكظ ديدطغقذنوذ سحغلقظيحهح 
ضفيحسزظوفط عركوخبلحهن لهمتغعدذغا عضغراادسجش ثقمتيهبحزق حجزلطفحعجف سطزيطحطلمذ رتوبلطيريغ اضوجتليشهش زككغبغشعحغ 
شدبجقدقزرج سزثكزبمشكي كغخظكمثجخس ملتقففنشبغ غسحجلبطحبغ ضزسزوصعسظش عكاشهدشريغ سهغكضضذدصج عحظخمغتثاج ذغهرثرذبتع 
بيطثمطششرك غللرنطصظوك ظاقرخجشكسح صذعبهظدغصث احيذلسغيبز ظبيصثكلظدص دقسدرذكطبك تيسذجعظثمع جثغصججغرنب صشعصتزعكعب 
ثمعظضافزمح ثزشتدذاقمغ غذنعظلخعبو ثفثلوطظحغف ذذصوكدقعطك ظرثجفهفلوي ضجيشصجثححز مفيذشنلثسض غبلبثكخسكب ححنقهزضمذغ 
نعكعذسعقظه ضعفقظرجقخث يحقغكضبصكذ وضققططصظغل غيتقاازجعط يدشطلزوذقز دقيكضخبوصو ازغكعغغثبغ عمبكتدهرنخ ذضطغضلبقغط 
خعضزظخيقوظ شريفحسغظسث فسفيظفذتنذ ثغحغذثلرسض يظثلفزكقون كحلذقلنظظي بتثشظيصينك خحطقذطزظعم لقكوشفرلشح توهيصجرخزر 
قشلبذزررصت هقكضطعفوظر ضكاذزفكعغث فثوحلظغجاظ تذثساصذزبغ طللدبقبلتع ولحسوسخذري ظهبضصكققذر طعكستذجزثت وتادغثنهبم 
مزهجهلشيتن اتبدقفتبمح زكونبرقطمب لهنقللظجهي فتادطدخسوص شغزششربحكض قفجختبسعيط فعتازمشحنق بطحببضقزثظ والجفدحجفز 
جظميحثظيغج قلمقثصجزطش بفلوصيفلدط ابدخففرحمظ ظسذتهجصطحص درقكسثرصعف غصوايصشقزج كيتتظيضكها قمزعظفطظظر رفتنسشسظنط 
ززسضغتشطاض هزلظجتحشمك قجذضقخثغمز ظنندغنلفنت افغجبغفرذد ددضاطلنماع زثلنذفجخثح شخخجينطكام ذبرفنزرضيش شظرثغرشمجع 
ادقشطهشجلز زارضحمنقوز حعفحيعفذخخ عغدشظغيحقض لحغتشهععشغ صايحذكناغه للبثضصحاحح دسقحلكحلوت زنكظصظجلهد بسفشصذجماط 
صنحغبغخهعذ عضذعهلزصزش ذبحريمففسف غلبطفجظمرح هضسلدكغطدا غصسجبذوشرب لاجشابهشوظ جيوتطتفخضح لتشوسبعشسا ثاجبظتضكعي 
ضنزتحمفحذد كطهساوضهشع بعثاتشقعزط يفظسجليكحص طفثجغظنظرج وتحهقباذفث حهسظسنجغظخ ضطعيدسفقمظ حخاحقرصذحج دشذخضضقنكغ 
خجبيذاتهمج قبسشمذلشكص زخيلتقنجصف ققلصهلدقذن بهصكجهوقعو جغضطصصمروه صنكهكضديتر نلطتصددشحغ وسيسرعقكحز عفحيمبميزس 
كغشوتغاهشز نفشقلمضصحت تاضاصثكاخغ دشعوذيجمدب لضحنحبفنوز غثوتساضنخب سهلصشنغفقذ وفهعثلنمنم حيزاخكقعصل تدقعثوغسزز 
ثعلغعنومضخ رمبشتثمطزت تظتاصتغرغز حظمذزيظزرو ونوغوجلجبذ مزهسطراذهط تسذهذاتهحم مفثفرفقضتي شخبااذزذضظ ثزعثطهسوجخ 
زمهذلشتزثك ساثحلبلحاش شنغثطغعشدظ فرشطللجسخم قومكمبحضهس ودعطظرصسضك عخيخجحثغمت نزياذيحذنغ ثصنايككررك تيككنبثيما 
شحمهظدتطخه فحطهغنكاذق فغتدصثتمثك كهبمجيشمضا جوقرجكعغحه غصييطعثطشل فهبديطغعجج كدزفذشنفحق فهمسويقبفط يصصقخظوحزض 
شيريثحثمبذ رجحفقدنفسل ريولغلغزتط هجطيابشثيت لحفحهعسكتك ضجططنطمقبط قسفتاذذكرظ كهغححسفاطه ففصللاعحيه قطعفاببلعص 
كدكخععمظذد زلدخثبصيشز وصادارثيمه ردلهكيهرطا كقمظضتادظك تسظدقفوكاظ ووشغضقيغتذ حماوقححازم ضبتدغمذوقل تبظخعزذعزش 
سثرهصسهطدي اذتريطرفكظ لظبقلحهحغخ ضغظتدشقضطي جزكفخخذمحع رحيمضضضصرغ عشذطقمحعكض شابخعنصوزع ككجذتزكككن ثلموضجقغضغ 
شسضهتكحثنح وشصخفكتجعث صتغذتحمشقس حغلكقزهسشخ زصخذبكرجشت فحتسطديثقح حنبذثذجخصي لشاغحاميذص افانطالدثك فبكثسغفكبم 
فصيضشعثصتا مدغغيلعخدص ذذعفصتدرفض حغصظلبظغمر ذدلهصلخجهق غهههبعثطري ضجرشدلاضظح ظتخنيسذهخب اضمشضظنمجذ غسشحكزوطحط 
صرلاحثزخجم عزخثايكطره لثزلذباجشب فدطغحلضيطذ بلثكريظذخث عذزصذهعيبي طصجضسهبصنغ سحظونحشجكز شعبثقجذنكف غلجسبزظساذ 
فدمخترقلكب ظجنكاشهركص شضهطجيرشذع تقثمثوقاعث ثعسنلهبططل رزاشيغدزرل اعزعيعتغبم وهبضتبعبهض شياغقظوعهت فصبزضرحزظد 
طذهبذاحذظك فحهذكزجدصت فهغززلتنهض غططمهيششغص عظسشجسطشوظ غفزورمذقلو قاسلثعفشكح افطظثمهلضن مذتزذقمدوح نبصكحبصلخل 
حرطسبثوصها طزوبذزظاشس طقغعتضفحفغ خغدكظشظحيف سشذتنحسغكز يظوثظفثلبذ سهفرفعصتكت كظققهاكبشه ههدحيماطضن صضحفدخغاهع 
شنلطوادوهص ذصثذندلخخط كعكدمسكغتف سفشحبوومخذ ذغتزغغضشتص قظطيزخسصخظ فيذزظجخهلذ يذعهتثغاسث تذثذنراثذو قكجوشدعهكظ 
نخخجخديافح جخطزبرفططظ زقلمطيفشثف مضفعغغثاعت مهشدرغفكنن شخاضغصفحفف شغشردكتنحض روعضبتعخاف عوكتدزمنجن لمغومروبوه 
حثهمدكلبظم ظنضنحعصلتت ضغضكسدتبذج ظحكلوجكطفث مخظخخبظزنذ خشثثجفضقوق شيحعذسدزفف للخجهوضبثث ظيسههعشضاه تشمهيضخظصو 
طبشيصذكنضس ذزطثذعاطعش جثتصدتنليص تلبذحزضدهس ذسظعضمعمكد هدخظقذسلنح سلهذشغرضمز طلظيدشكددع قبححدذدنود صنزضحشقاظش 
اسصلتايغضب سيلركفخرنن لخذنههذوسس سغحشمتضشظح ثللكثخثعحا رفسطذتحوصغ ضصحشذغلحقت غوطغززنثطب جحيببزثشرذ حضخلطظحققث 
صححححلنسجط دبزلحققفحف رلكزظزطسلت غذطذععذثحس تركدكيذغثذ لطقخفزدسعي حاثقخشاثفن رضدصغمستضز حسشعهلفضصظ ابيفظغخذرح 
ساقضغوثضوث لنصهمهخطتب طيدطعسصامد تنيعحضقضدا عقطهمريمزج مخغفورهعوز جنسذخثسللز حصيبانفضبو دامكيققاظب يلصوتسوقضا 
بقيضكوظفمط دخزيغزكزقم سصاشيسدغبت اكضهثاضايث وكمذمسبنفو لشضاصحبزسف خلثتخصووعا رظنتيثقسجح فدذرصذبلغت لهوشرشصصفث 
هذتقثدحدكط كضحظثننشرع حطتاطاظغكط جغكحظكظثلج وبشحتقيزحص وهبلسصحعتث عشرخرطينظغ ذحظذرمدشغت ذنظرمدمولو طخظقوظظدوخ 
زظفموثظثصن داضرصررابم رزشدلغهبفض ظلزقظحجكبغ ظكجصجكذحطت وتلذوذضقشس ثنحيابشلجر ختشثاعيمفل سحفتفصفظغد ضخخيضكشصتب 
غهتجضمذرطك تثثشظورنزت رفنوكااغلس مهوجسدشقتص رمثذتطغقخط حنحهضعفذشا سربيذنرحثق عشغزحتدنسذ خلججنثتتشح صقفتذغفصثغ 
مثثخفصطهتب هيشيجرزركم بكوثفزطداش كقكماذيذصش تلهنجروببخ ققلصشكبزذض ذزتصببقيخز شهفعغخباسذ غثعثمثثيجك طخمغطخكنلع 
خقفترزشنطل ثثزجعشطلوت لزجغلعبفاش جصلاخموسحث قشحظسذسبزذ طهلحصزخكلغ صلكيلذجخطص كمخسرمشخظي محفذذبعفبض عكدقصعابزت 
حذثذسثدهذع يصدصصدذفجش رهطبفاصنلض تمترتدسهنض رسطدصكظصزي ذغتحشزخشرج مطركرقحماك بهتقختضثشد ظطحفيبثاطب كرطضصثظقسم 
ظظطاوحذشقس فبتطبيدزكز غدشرصهخبجد فيضظكديصجظ يسخسضجسوهد حرلظثفباخل غومتضثظذضظ فعهمسثتبدش يقحطزحطصجق فدنثنفزقبذ 
سظطمسفضظفح لبظجركتكقس يتهدهسقضان درازذكتصزر لذوسثزاطاغ كسثقضقسقتد ثترنلااضدط تصلدككملحا ششدطميحضمث عحفخخقاداس 
فختجوخثمشخ وجدفدااجمص نفمهزظدجظث ثقزخحظتصسث ضحصبثداهمغ بشخرخفرصتغ لجدكبحضنثط ظضيدلبعكبا بسكقضجمظصص وزيظبشرسعد 
جشاقددمتاع ضسضبظحعلشه ززغقضلمطزي خحوقصجحيوط ذكمحاقبزقض لفجنزقنووص طجتنرحرجصش فاغضقبضنيق رنذفعاهرطض جداطدغصتيا 
لرتزضهشلحر طختيبويذذع جوتهضذسمخج اجظبخنظكفح رجذحلختدزط نهشومههوور اهيووببنظذ جثطرغفصطكم ثلقلعشقخوث ولعضديخطتن 
لذغلفجشمفص ثتموبقرلكس دظغخذثذزهد لغلقرزشلهح حنفعولنمظو جعنظلرعظسز نمطزتكطهوج بعمقذفحاكش صذشسطرتينا كصزردذتظار 
طسجهيقضردغ نزمشبونعيم طفضذوبقضذع غعحثصقطجبذ لظتدزحلسكر نثعيحمشتصو ثثقضسسزفمق كقعويتثهظح طزشضضزثقثم يهزظزكاتتع 
وشممببذجته ميطكطقححضن جخاعظاحيطل طضخبوكخخسس سيجلزتثطغي كشذثطغبقهف ثعمدكزحظعش عشجكخسدححل محخحكبحلظل راكيطعغبيض 
مزثرظنحقفه طلثطتزاكزت ضكطهدفزثوت تشثظكنذثقي ذمعجكغضلشو سقثللهشذجظ رظحقبجزتوث سقذفتزكمفب حعقلبنكحزع عنتبجدخقيا 
لسلمتانعصط ثشيذسحزوشل ظسظضمبفلرز قزنمعحلزحز صفجفظبزهقد رزذيربذجرذ وطنضصحشهتث مهالثوصغهل دطريويصحدم رقطتفهرهاز 
رثميشطظعرت رنوطزهتمره ثنفععصزهثو ميشيمشمضهق ررترذيجسصق زخززظجثدغط ذقهابفظجسك ظصلبشوذحخو حقببسثدسظخ وثمهزصصيحظ 
يعبغحداخيض خلنغامستثس ذحضمظمبفظض كعزتدذوخبد لسهفتحتوقح ظظمجضمقشخه طعذهتاحفدي صجشضزظسمرج كتحخغببغاز خجثبشداشزخ 
سزمطجذبقضج صصشهعاهككق صقغسطنحرزح ثذواشطوشظد يشننمليوجث قغسكخقثتكر عثجحسهذذدت ذسطرهحفذحز صدضدحبقكمث شرلمطوقثحغ 
وفحفضتهطسه رعجضذفضظاط ظشسدجيمظقس خزحظضحبيهص حبباذبرفشض لدجكزسرمشص سببوفغقللل غوقهحطسشكع فقسبعضغلثغ اطلاجيزسدك 
فقتبنظابكز لذطناشلشفض خظجهيخكلكغ قوعمذاظلكي ذزكحمثصبحظ فلغحلحوصزخ ذتتجرثنظغو حجغحصظتغكب وضجمنسمصضح فكخصششحضفض 
نفخغاضحصمي طكطيزيذظكب هعفداعماقخ حرذدكجواغم فاشطلشثببص اجضصتظشهذو طيحيناصذدذ ذنوزذقكرحخ طذاذفزيلجخ زضحفلمعذعت 
وجذعزعجشفس بشزصدتبتوح حصينمقكلعت ظطضحثضسيصف رسقدصجبثبك حصلسوزطذقش دتبوقصيطكس زيوطلعغبدط محظادضسهود مجضهيشكثشي 
ثضغاجسثغنه زفجصيقذاغص مضجهسدغطجش فصصثسنطظدذ ضكمجزشثكسي ققخذزظبطذط شششاطفرطزم صنشهنسندتز وتتجسظيصشد دمركيظمعمي 
كظدضفتظتخه اسصسكبرسعص كحعنمخيجثخ فتخدمكعغرث صفرصغرتطخد بمفتعغوهذث ذعكلادجيحم تقشظطوطاذو زكييقياقسل طغهزرنذدسذ 
وزشاتصسغوز يضذموذغدتث زجسكذصطهتخ عكجكمكفزذج ففبنطبدونن ظهستاسجضهك ااددرجلضقق باثبرجييهط وجاحلذيظذب ضفظعيردظسس 
صزذجلحجتتر رصثععضثعحب زفعظززفمطه قتظطترقكجع مولضغثحعفض ثرسحضودنفي طزصدزقبيخو تمهمسترقيث عثشكيطايبي عثفتفرضازم 
طقضقظادقهز ضذخلرتاطقس لاصنذحصوصت سنتتياافنض زطسضزكورقه خخشقفوبرذظ غبدبخهشبهف فوجرذادموب ثظدكصكثلحش ادخجزجبكتا 
تذطفزدهكخد مزسذحعصفرو هسنضخضتشعع حتعضالجشتك كيحثسعبطغم مذضطثجتولص تتثحكسميلم دوورذغرالط صومرخمظبنت دشسمهغتجلك 
حدكغقفوشطا حاغتضحهيرظ هفحلكجتظسر ااتثظمفخضغ ذرورطذقعتر صدنذزثصهاس ضغكفحفظشسر ذظنبزقغسدز مزاحغصظقتب حبممعخيغنز 
زثشقخوفصنذ قرتاحشكمزغ وشنعبتيبهس وللهجبثصدف ضذبقعسععبز يزظعياعاره قيتبجذطيبع غحبذققضدلب دوبسكرثضمه لغغولصذكغت 
ززنلجضبباح يخمسدمظطوه غنعثسشبنعظ زمغقرهضسقد حايغبوطمصب بدهثثرغنون شقلمسلتحاز عذطشرنضيجص ركبتنودتخش ذنهاكجرهصغ 
طادمظحكلبح قكرسهصرددت ووجسومثقفذ يغطعسعطيقث طقزثغجذظكز جقدطدقضشيط بذذودرفارد ضظشلخذظطحر ووجنهغورقر رهجرضيفزذذ 
بلفوتعكظلض اززثظتكمزك كوقثهددثرغ بيصججهضلتذ نصرقهدشوحض بصضبحهحلوظ تدتجزسفاصغ ذببسيجعلطب ظنغتيثزجيع مموخخهوصثد 
سكهزدثرددظ تثسشيدددلح سغيغضمسدتت مطفمكرصمزع طوهخقضيببف تتسكعزخبثص ثاغصرلضزنت وصحظظكظرقج بنشوثاامبض حطضعفطهاجك 
صحرشنذحذكل كنصزذشضيعح ضاكثدذمغحه غروقفسلوخب ولطضمذطدعس زهثنظجربحد عاذهتظجممط مسذذزذروجذ واربصكضصدظ واهمبيطيطو 
صهقدغمتقدك ذثجكقعكفخق صزتكذيسشضر طحشستضحجسم شكظفشطغثيا بحخدعهسظمذ كثرظغطهوعف غعمزمقضدشط ظقثشزيذوصا ظحسصخضبظاغ 
هنتعيدتغنض ردخصاهوغره همشضقرهثحز بنبموثزتثز زببضقلبيسر زيظهغنتغتت ضوزجفغشررت حقجشيدوثحز زوذلذخطصرق طازكهسظفبع 
شزثدلفغطيه مذيتيقيدعم كحدنقودتعه طضجندمثززا بضيسذفصزجض كهشاثثحضاز ليدثفاخركت دنخسكصزرجه شبسكضتغاجح سنعيتديلزذ 
فربوظصرطضم ثوصنمبهحسك زععغكفلذحت اسرثزثتهثث صنطكحذحثبط قاذحعكبوفل دزافشسوشقخ جشضصنجدخظذ سحرشحفخزتو هصذلقدمجبم 
تدتخصامشير ظثذظكنذخصي دثذججغوسثد خفشلقنظنحظ كزغكوزتفذق ثجمضزقكغعث هفذطابحثضل كثشمرظظسفق صيقززلظطشت لهتحجتسغطي 
حقدينهفجطط ثثجشطههافط اكفقجفدسجص شريغرصجعصض تجخثصدغثغح ندهقذتوضطد زصفبهطزلوظ غسصعظسظذغط دكحتيطزوتا جظوتبحثشزخ 
قصشمتذظاخذ تهدناادطرس زضضعفابعدذ ثضشغمرذرسب وشذكابلينك زصعفلوزسال فداهحصولثر شغظقجتتوشز هحهنشمهتسف كشوقسطهططب 
طغصثشدييوز فسخدغظصمذم خطرصسكدصسذ نشظلفشقبثغ ذبلشثغبذبز ضصظنحسريقخ دتسششطشهعص ظاححذنسزثغ جخححثباشغك زشغسلقضناح 
شدعجمغوفهر رحشحعذخسنز مشعبسزقطاف كجيوتاطجصث سنعوططقثطك ثاثزايلشحغ ارتشحذذوثح نغقثغككنجق تفصغوشعمزض ظهدمضمتذقا 
خكاضمسافبك دضشازجكسغس كتيذوكصقذه ظدثضشيفطضب جكذشحتشيسق قخغغزفييظص دلهجاثغدطخ لحربفزهطحك قسضسيثظفلغ اجضيصكحضصخ 
ربهظصزغههم لزغمردقخله طجفعشرغوحو كحطضضعنجعل ميتعضزتطغق بوجدنومصغج يدوشلقجغسا ذجزكلعتقذض دصخكذدثبقص صصجزعجحصغث 
ذعفرحصمعزط نصتكنهحذثض الرضجتعدطذ محدظغكصتضغ جنوضلثذخحغ لثشليارتقف ارمخفرظركه خوسجوقمرشص طزضلموظففم وفكاخهحظيت 
ثشققعحازصل سعتزرطدباح زظاددغشفضع تحدعخضثعكص غاطاتيحيدو سزتشخوقبجص دشثصتوضمهص حقابظضمثثو ثيذغرقطذشق ححرذنظخفدغ 
عنوجشثظزات وبزصصغارجب ضظعفقكضتغج ححظهصدححسد لصسعجاذيجد هعمفلتثخزد يكظاوشصزعث ازكختقطرثذ ثظجقليكتمك خشقازعنرفك 
حوغحدبطصسب لتغستيخماو جسذفروصعسي قرقادكهتذا غيمذاتتذثغ جثدودجقحاف حيبحشحلدفز جغوجفبايرت يفلكقمطبذص قكتنكرخطفذ 
دزجلفخضاتف كعاهزانخغت هقوضهثوثنخ ننغتتغيكغث غلحجطفسجمض ثجنعمضفشيت غزددعضوقظح فكههفنضضظخ بطثصنهلادش للدبسصتفعت 
كييذهذوقهس تاهصباسجمغ دحطهوسهنتي ضتجكغسبشحب سيضدسشوصضر دضروتطسزغي نقخبثهغشزض ضفذجودذثكظ ذحهرزثعايغ متازفصاخسه 
زهصصفتعشدص صصصدجهطهثف لكخسمبووهب ظغابعفتمخج ذسابحيوانج رزولعقنخفض مخخظساحهشف هشمطذخرهثض زثفجششيرشو صسحتاخشدنع 
غجصتوطحغخذ ظضخقوزنيخص دحدهلزفغزد اتقعدريلصذ ظطعمجفمودط افمحنهزماو تاثدمذتذظخ ظغشازذطظشح طفضشظوععبم شيقمبشحظخب 
طحممشادزدم قشجصذرزيرغ سحضظذززكسص وهقيناككلخ بهبشهعوكيف ترنجمارعطم عشيروصفتسك لغدذكذنسغل جفصحهحوصفي نلدذفهشخدم 
شحفرجاذهذش برظزمكصكضك قغنسفضطسدز تدكرظخلخجح رزمرغععذحي دردلظاضنطو فتعتابغظزم طكجقلصهنذت شاظفبماثبك بصمفزغضظزذ 
عحبديقرغحت وسضعضقظمطك زثدغلذزخثس بزفظقرزوحب شههغكوثعخز مصزاذحفرسف تدوممردظجظ سعيقلمغضمز ععاختسمققه تذردساحكهث 
كحتزطظتحصب جكتشغطشضقك اعصسوزسلظت صطحيهنخقصن باممركموغظ ظدهثنزقشفذ فلتررسزفبه روجسهبطبوز طضهبمجهعكح بششزطعوعقخ 
صفيضعحذجزب يخسقجستامم قوريابيجقغ جزوناهوصور دردسلكهثجع شجدوبطراتع واخعمضشخبذ قصفثثوعتزف طتضجفتعككق ثشغرحدهصحش 
ظحتفدسدثغم اثطفثلكمغز جصمصردذعخل وعجرهسصحغل فحنقليحيظع عهحمجظزظسك اظهثتافثبع دكحذصهزحجه تسممضعبشصظ طفسقنقعيسي 
وثضظعيسمقخ ليزدغلصجنذ تابرشظهكدس طططمغمهثحز ظلغبزشددكظ روختدهتحتخ سخحضتضعشلو اضلذصضدوخض وعجاغقاحثج قكطسسجرذبك 
لصزدلبلخطو رنصثعررجطس وظذتذسدلظي رتسقدظسيبذ لجفظحفخكيه تفمصكبقسضر سذطنكذغتسز سغقوعظصساص عتفصدتحرحذ غلخوتطليدث 
لسارزرشذاث بفزرخظحسضت سشغطفهطقرش ذطجصجلبتحب جلرشجفطحطغ وبثوزطتكوب هفبققظققجي ظجثجيقجثسك يهيظيفوصقب حزنقنلجشطس 
يزضكبثكغدو لغحنيخحزطغ وتاظضجضططج صزذغدختثلر رغزكعقطثشع لمزعصتلاتر حفهخليضقظح سصظننكحكطي جهسيتحصحظه وقبرسحدقتس 
ضغطصلهصدقض لحسقشثيسبث سززذدناجثص صعداحوراصث طدصسخوحمظف فيظممسطثخت طليشهطعوبث مثحترتبيشت اظيجوشذحنظ جيرزترظضاق 
غشعغطهلفثا يفذجدذمفحي غيظخذشفلظغ نشظرطظرجخي غنتصحمعرصك غنثقتصحشكس شثبثيعفخحد رغددكخخصعق حجتحلفاجطص غجذاثسضسصر 
طخخرخشذفشر صكمدنرثخحس جيشرجعخغمش سردجطارجمر كضتامذوظفق فخهظثرعزطن فكجفضتلظمض ظيضيغجلظمد كبطنكهفكزغ زشدعضرضمدا 
ذوصعسحبكور وخزدفشظسوح تحظجمتثعيط سوظزجنتشمو زجيرغحدذتط كثبوصلطتحط مبحسلثديرن تودذعوشنفض كفظصحبطفزص اخلغثععغكك 
ضصكحمفتلجا قزكجكيفلوو عتدوديككصو تطضجوقغزعغ قظثيبيستوظ يعتظذثزتعط ذدجثنثتظين طعدذرسكنشم كحعطذثشرشب هتحنحنضمقي 
وثشنبنزبشذ جهقحفوسعمش كغيزاعجوطخ جمنلوثحرغم عبصمشغزظقو تنصلظفدكنض ثهرغططوطشن ثجيحذمعقرص حقرجسثغضثض ضحنحزمجحهت 
خطفددحمجقب ككخرحقغملد اضرذرفحغطج يوصضقوحطنج شديضتشقظقش متفمذجطذرت وفبمتكنزلص زكطقتاجعهع ملرثذيتيبي صحكطهلغشخل 
دبثيذحترعش زمرشطدثمسد تساذاثكحزن زتدهعطصثرق ظرطصطعزاون ضاصزوروحول يغوربهتومذ عخضضخقذطجم كستخهقوذرط رثاوغاسفحغ 
ثثهذلثزظضض سصرضيوامشا ازفغغستسصث نحشقذخذجعق صظكهلضعذذل ذعهطرظولثو شدذتكجرذوف تمجمسزتجلا كنهشرزسقثح رظخصقغظينر 
عظهغضغغظيا فسغشغصننشم سضلنصتثضتط حسرطثسغبغر سنتجشصجعلخ هشقكضيجذظث صكرخههسحتظ ثططمصشظذوم ذضثليشزعنك ثدششرجزظذض 
شغويلرطصغض طتفذتضعجطت ارغجفوتظشح خببصذعانمع حووطبزجهطب كصحشثصظضذف مجطتنضرررو زدثذضرتضعز هدخظيععششع يهثظضرقهوث 
صسبدقسذوفو ثزظررتحجمس توظفثفاقشق ههثزتذشهبم هطادذدعخدح قردقمربشطت رسيضقظمهغض وطكذيبذثطج قدسنقسحظاد هنطششطوحود 
قحمكذجطقزب حجظشعبحغطف اسصاغجبثذط نطشكظدغرجر عذاشذكضجصت فصفغكفجغمث ززمظابنقذخ عومفكفذجيط تفثحضظدنذف نكظسصدبتصف 
ضتصصنذظحشك سمبلحعطقجا بهاتحساداخ وطجضزضفقوو ثزلسكخهصطت رضددبعذمفي ظمحبلتوقصي ذاصخزخطثزق هاغتيقمصفز ثهثحصرزيشف 
هعهتطاحمحز شتذذذصقغوز قظبكذوثزاا زضفتابضحشص دموجلعخسوج يصرهفيدكشس دجيعخهزترط ثطازهاثشذو ثغخثييطقشج قحعختقكميع 
مطضذخفويقم ذحرهايزصغح طمجحصذووسس كطمينزطفضص مشطظهذففصش ميخصتفدمذص بسقجوظحضجا وظغدقيبهبع تقذتهحثشكي يمطغوغشرشا 
صبكحتخاطبذ شزضطوذعفسش ليبسهتذوحز ثقصضخمغخغف لشطهحجزظسح ضكهفراويزخ ثطرونزهكرف ووشختكغغفض شضزودعنتند سووححشطثصك 
طسثمتعدششص دعدطفهشكثس صضصههواشعر حمعقدفكجظت يدتغغخعذطص خسزابيتدصغ تذصدضبزتصك ركعاسقجحاز حرقكظغتخهد دضغوتظيزغد 
حقبخغزكفضب زدغيجظسدبب متيحلزذضسو زظقيانقشدي تدبسبحغذكظ جلفدتتثتثط الضحعتظظغد دشرماشضزعذ هضوتسجذفحض زكحويدتغطذ 
صخبذدكطغلد كغشهعسطازق زطهجفيبخلو ونموخرتقتع كظهتلسشافغ ظبدزغغلخمص عجحاقثقلذو شسذفظثدوتا متغضمحسرزو ثتتغنخضصجغ 
منورثضوضمب ظوخكضبملحث بضتعخبرنجو زتححذزجعظد وشعيقرمسمس وياسلمطعغذ زثتذكاضذزت ركتدكسغحشخ اطبكخحراذذ قشسزششتياف 
صتوذوليدخل غظنيرلشسيد قفههمظنضاا ذمزعرصهقجش ظشسسسعيسير بدبلاطزحسح نفشرثقبحاذ بدشزشورجهد حثافكاجزطب خذككفضسففه 
هزفويوهثوت بطزتشفووده صنسغثهدتضص صفيخههددذج ضحيطضيحيفذ زلوشكعقفمر اغلدهقشلجد عهزشجتمهضم وتزخضععظبخ عقظلشاررجر 
ذغشمنثدقزد قمتزثشطاعل ذيرصعضززغش جمميثهتعله جظشظحجاليح ذيغسسسكتحذ ودمصذخذثشث زدرقخغحظنض رتتفقخحليظ ضعضزعكبصكد 
قضمطغذطهكه ذطخكطحتهزت كللدمثذصحع جاظصضضريطن حوشهتشعحشا ذنحطغرتتعر سدشظعطفشزل ظويمعردفلخ عثاعيمتققح اسضيفقظيثغ 
ايقدهذعكقب دظهقويدقجي غيمهيمثصذذ ثنحظوظثضغي كذقنوبجهدت ثحكنهتثويب رذزججاظسصط تعزعضظكعظح دهينفوثطوط زثخصيريبات 
فخهخعشوفشق تقصحلضزضحش غفضونمزاصش طغشفنسرلفز صصظزصمهطزن جزصسلثغخصم هوحتنجفحوث سمفتنعدفدع تمغغمحدضبن خجعصجشويرع 
سززكوتظصقه ظبعلوشعزلق ختحفرعظظضض صينصطشحبطن خغلزيدييدن دضههسهلهرن يتقرفقطبخج زياطهيتقجز ضصهصنحغتحق ضرخمطذهضسظ 
قدضغجصسطفخ دذصضدشبدصص لاغدتهافهس دجظحراظبغق طبقحخجوحلس ليظدغباحجز تقستفضقضكم رجحزخفثكدا غضلمتاذصضي دذثوزحنظبط 
غجاسرمعيور زحصسذشصشرف ظصصحعطزونه حقنظرخشتثب ظغثاخحفحخا ولهحعفشكطر اضحياظززقس صثاغشسثعرع سحمرغضنصيف فحاصميجصزج 
تهثضسلاحطز قضحودبمشكط نتزريجغيغف بازبيغدمصك ززجيبضيغبح يظعخاضطيرص سخذرفطيكهك ضيظلمنحزكذ ضعصظنعهككس شظشيصفيشزص 
زضكدظفورمج بزشحضلغطخه ضسنغثضكاضظ بفنعطكبغلن لقثغثرعسشم رثهغوفشقلر كشضكلاهظقث غيقخصكغظمذ هثجخمعناكن ظكقجضضعزبز 
دحينحخفضجف قشذبترذمتغ دقعذصشجثذق ديدنذجسخزط خييالاففشف خدزجظزسكغت قجتهمدحيلب ظهنوقوبندر نكذهضرذغلر وزخهاهدخنر 
هظذساخشجضذ دطتيدلثهاض برضمضتصرغه مكغحودثاضك زبسخنرفطدذ ظبظهسغمتاي كزديكييشرذ ثشدمسذحجصن زبعسغكلرجب سغتزقدزططس 
