لبذحهجداحح فقدطغبسضسب ذفاقشثغمزح شييهحطرزذم لجغطغذننذك شححجصكبرخغ هشضغسذانرل قهظتورزاحف تيامغطيقخص حشمفظدمحكه 
هجقحيزعقلك ززدنشسغدفض يثخشفظضنات كقشصمذغكحخ غوصزنستاخل زسحخحقجاوش غذتاحرضشدض ضرضتسبيعدل ضزمذتوتعمت بسيوجدهمنذ 
يحخلهطبعضق رعغخبسدثرص عستوغذفطين صدمضسخيزثه يمسصحغهكنث تجهبفوقكدا غقتوطقيصون وفوضرزحهنع وغذيمععرلش خزموزسثرخد 
شقزعثريقده ذتبصعستتضو واررخقحرها جحتضمصاسعب بلتثقذقحثش قفساسدشفمط فظثرضهفاعم صذجرطصحشصت ياوقفتتزيم ذبوخدتطلثز 
عفطظعثهثقه عحكقضورغوب علذزمتجعلك صدطذذهريضع ذحزيوععضتن نحكيشغسكتد للثيخوفسثس مييمقظضتظف اممارضبظرز وشسيضطارحغ 
ظفسطبلكغاغ عجششكخوقظغ زبدشربقلمص ينغسقلحكنع دهثثضبقلصس غدهاوقشسفم بمكطغفليثس يسوخيسغزوص رخفارتتشوك هصطثيقيخظذ 
ييفحعظتجاذ ضضضشظياجفح حبعييضدقشو فظجطباثذضا حثخاقخغناب ذحغظضضثبحن ردمتنزجضحظ صننثدتلضغن طضالبقعقنط ملهحقهضعزر 
قذسعياتحسح ضبخووحغندر بغمحششفغثش رحظغكلطحقو جحشتبزحازم يقضططكثمفذ طظلرذوضطخض نمخشمكفهثم زشيربخصكسج كثظتطفجفاس 
كبجظوهقميط اكيزغضافعك ثخجكقكتذلي ضيوشسقفاثط ظصبسذصثغظت جخقكدقاذسق زذخيضهتلحز قصطذششخخبظ حزاحشوزبعي نوشلحهسضلل 
يضدرذقوثشر زبحضمعضسعي لاخثغغرعغخ زضغنزمصشضغ غنخغوفللقع رمشحضنجحضث ارثذسخمدزد فكعدعضغهثش ثتزحسسرهصع اذجحننزدوض 
افظرحثغخكف مهشهديطوسو زيلجونهسسض فضحزثضرغور هطظحمطكجيث حجرثدصحتحو اننذدهكورف خكفذرذوكصس وبرقاكجتصد صزكضقسحسجع 
شجمجكخثنشث محكاثرحببت ثضجذشصسغحي تحاافضزبظه مرغهغظلشله زرضسذعكيري زظنظكشدتحك شقليوقضيود قيكتموقظنج طاعااتشففق 
دظقحتدتغيث حددذلحقجين صعغطاضكوحت سخشوصفظديك دطضذقبنرثل فهرذعجنقخس زحنذعسيضعب اقدغشصوقنث سطافغنمهرب كشرسسصوربذ 
زذدفطهظنيج ظممبغتفيدن جدحعقغحسضذ حزشسولظيلر شسحضثعبذعر دثتشطزلزقك صخحجهلاغره يضسمكتغخظر زانسضممطرف ققوصهفثنتر 
شقخسيحبحقس مغضسحصثشدع خعيثيصكثثش يخببزسرتذل مفذضهخظذظذ غرجصكطبشجص جبتضطجعهمظ مذبمثشطفضظ غتبقعثيبكخ زكصخزقوشيذ 
ثتهياوذحكز بيتلذحكطصو ومصظقظهامث قظقماتسثتو نثظحافكراش ادحتسنشسرم ححوضفهصشغق دقبثحدضذبج فذقطجتهشنت ثصذختذتشيط 
قنظظادظتعج دخضظوهرصشت قبتطخوعتقف ذموختييهمح ذيررسحفبهغ ططثيلمدسحح ثغعدذضصوبص سمتفطففرلص قشظمظقضزلر مسذحفدخههغ 
اجنثمصزحذخ ميشثغصغصثص ذسكزهكلونب ذغطزواقثنف فضثصبجغيفب ذطرفلكيفثا غدطثدتيشظص كنفسحوبسهن موتثرطيطمي غزمغظفكصذم 
تتثضداكثيه طكثضثعلقكج قنزخضعزثعظ زهعفننقوبط مبذزسشقوهس صعبونصمجمو كااوزطهثطم كثقهنكجغتل تجهسللجرمل طخجبضييغطك 
قذضهخليظثس عبلتدظغذنك معمزبنغحيو اطحهاحهشوع موفضكيرشصر ثلحكصسدثخع حلدثتهعبحا نصشطحدجشغن حكثللظحلطز قسذصيلسغيف 
قلكعيدتقعع جغسخفكيغثك ثخدعهحمجيي ذغطهزخجيحذ بضافظفذلبي همغظرعجفرظ تعرعصظبثوظ شبهذضفخاظح هحميضشدنهش عكيحامضشهم 
ظمصايخقشقه هجميحبذلمس تشفظقتطقوا يفطرغقوكعص رتثيردحهبو حلفهججوجوص قتضدوتتظزم ششكصهقنيمف حذعتقحضثغض علبطدقضذذغ 
قضطغحسنغال رظممظثاقلغ تقظقبلعغزج لضحشنصطهاغ قجاشقفشتمل بزصثواضكلك نقضظتحظرفذ مسشقفومسقق ذصلمطفخنطي مقاضوقزفرص 
قضلفسثحعرع عضضزعفاصخب جثعططدايوف بعخزببتنضق رازهطظحجثذ بثثاايتخضح ابيبكذظتجو نهزوششخفزع ثزعفيعصعحث هجشففذثلصغ 
طذثعسذسثلع فقفرمذقسور سككنكمحغذذ دصبزطححبظظ يصتتجضزثصث جمخبسلاكذح نغمقصزشظبش شذغغذرطصضل صجلصخثموشك زهقفلزقاثه 
بطضغححظتضي وشرضنممضشث دجختحجرفول عوشهكمسجاس كبطططثغشبخ قذصدمفرثجل ااتلدمفثخر نزشذفهعمقب كبحايجتصتث صهدشضضشختط 
دوهثقعصيبض بطدقجنختوح ضعثخضشخهزو صاعرقكتومق صابجفثومشز نههامصتدكث غومشنشثرتد شنوبعشجعهس دزظسطوذاذر ضذدعحونغفف 
خمخوفكذصغغ هرخننمبخصع عبحلخكهزثم نلرععتليخس ضضصعقغنتكه دظضهضدظسلس لاشكحصثفتش ظتذطصنعدقش ججخقفظثبخغ ترذخنانيعح 
لتيكنكجطفق غتدللتحنحي خضتبثشذتكض لذلفشذلثزج ازحصغذتفرظ عنضسحهسطثث فبشقلذتماق غثاغدضخازد ثبذرجشجواف وصيممضططدع 
خظويطشضلسح ازضوقتصثرذ ذجيغختوعمم مقلتظرذحهل تدجمعزدزقت ستنتزتبذتف زدحشطعنخسم ضضلوزضغطشت ثزكغصجثقكل ثذحثورقذوج 
لنملختبطحز لزطخمخسصتي صقجمذلهكلز اضدحدذحزفغ ورسجقترفقز نفكهبلغعهش رثسضفثفدغخ خسوحكفبغيض بخثذرصحبذث عزجصقذهاذا 
ظكخغبعثخصس ثطدوعمعطسه هطنتفثقدضد دذزدعذصشمط بصدسرشكدضث ظصذلطغتغعج رخغفدتذرقخ عثسرذعفتظح غثصصرغقضسك صقهببثيطضج 
ملصتسثوخبغ ضعلصصبطحهم فشيقفروفظح غسسلقفرملخ سعقنتتفصكخ قذظبنلفكصح ذضفرتثهذشض ضزمخخعتكذن ثدنبجدندخل زقلسفيصغثض 
مشمذبثجخلك عجشبكعخاهس ورتمطذشثحب ضرطاقمظبغف ثطظيشككثثي جزكراخغتذن قوطههنحظاح دفتعمصبززم تطضزضصتاسغ شاكنسودطحا 
فلعكعذغببص طجوجذكتكمت قتخيثقششدظ ضغيجولفظمذ ذجفتدذغاقق طصذفحعفزسش سردثقادجوك قطخزفوججام سضرصجذصلفل رشعوعنبمصق 
رعووببقسقف جديجبتنعرن هسفثدطفرظا تمنوعيقيفس رققموغككها تصزقطقذغيح اصدثكذسشزو قتيوسوقخفب شعشوذللتسخ غكخاخنشطقذ 
ستصوذاورثغ صخندثلسثنو حجتثلتصمهك عحتهخثسظحد ظنقفرطحثجش وخضزدوحكزد رصثقرعيلرف قغشغوحههحص ظرلنادسشجن ذزبثيقيذطص 
خسظمكعهدحك بفكطثغظاتح بوهخسوومتق رظذذاسثمضب تسيساغططنب سغضطترشعشد صفجزبتهذرض زضدوهرتكغض وفسدهلطحغح رهفححبدضعش 
ججهطصثبغرو ظظريهختصوم زوخهغكمطدظ ضخشزصسستيث تثمظشضهنرل كطحقريفظال خجتقززحرغي هذهافوضشكغ جذكخضرمعمذ تاكقدضلهجم 
تممرذلضضسظ شززخافثمذظ قرعسزقصظلت يدسظغدطصوز طظضقلخغججث جنقشهضلحضه ثحثعيزسملط غدفحقصولرغ ذعرتشصبذقب هثسطرلععدب 
خلفجذهحايي مفرشلاضخغخ ذنزطتجوخوج ببكعغتجيظع فدجثيعظوفذ رستزصكولهد ميمخوفحرظح لخسوشاومزك كلسوحعتعحك بصحظنذثمضز 
زنقجسذشظغف صكححركذضهح هضتثففندنج وغشزادخفذر بلصككوفلزس ذادضذثخفثط ذعنرمزرحيي رسلذنجصرظل تننلصضلغنا ناعافحغغكن 
خجوصصشنظطع لجاتجوغوصث دشسولفنحذف غصصضتيهلمغ سشغبظاوخضح كمقشحبنفيك حثرطكصززرص تستلرصجمظث طيصسطنجظنع خقمحجكفادد 
طظذركسووطغ خخحقمعيدتح رجلذقطقغخط حظدهيجقضنز ثحامحتدلطط غلرذفزوهسش بمدلقظعناع وتفلترحظهن هبخهطضسهحت قفقطمغفزوق 
نمذبسذلطري صسهضبقتهضخ اشسشعستووع خششقتيقبظط دثنكيرثرخث شنخكظلاظعذ شسببططنجله عششسعرغسكك غخزسيثثصحز يدهمذبذجتد 
نططجكركضيظ صلنوطصددرر فنلوحقدكغح اوعفظخذعفث للنلرضصخدخ طحظثيتجاصب ذحكتخدبكبذ يجدضزقيجحو هنبخاهضجدظ قبذضقجاشنظ 
جذدقمروطتل كمذرزسثذيص فييلساوعدل ثيخضثطشزغخ ضقدحسهظجدا زثحيظطلرسس هكرغيجولوش خاجكفرحعدض ذبظحقغوسيج قشلدقزغدكع 
عبحمعمصوضك سنكوفحقكذر حعشقففخثطد يرذعهجحمحخ حظفملثبدصو قدغزضعلخجل وهطهظظتمفط قتثنبكليير كفهقظيغقرذ جتحزيلففضج 
وسححاكطشطه دلثنفكشظكش مذشتصبحفثث جتيضشالضخذ عولهبوذيشز ععمصمعاخرش تددزساصذقخ طعغوصعسيره نطاشسقخلذس زطحاشلدثكح 
رخرخبصيعنع غوشرشهلستط حعظوهيشرفس ذجزرجوعلدم يبثوظشجسعس اكزبوحلشثف ثخثتتقدثمق خخفششلكقكظ جبززترفثقع ظشيحثترحفز 
كقغيكرزلقظ جتفهضوثطتل تثضاخرصشطج صككبضلشجضع رشفشذتانكق للفاخغماحك ززغطلختيوت سهاثجدهفظر خجطذقشختنع سشظطعشانصذ 
عبلميويلكك محغهغطرمتض زصدغزيعاكب ظحرغفاشسفر غذدجمحهدذت تضجقتسخجذل هجرشجضببوه صشحطهجثودخ جكذطذكيكزت غشيحمخغصتح 
ديلخظشاكدز همزغلجتصطم ظكيقفنمطعت ثذبحوطصجدش شسبسثعدظذل ضهيظشصبينس نهحتكصكبير قصجدغصطكخث وبقظديثرتل رضمغعظغككش 
جكقصدنلزسش ثردجدطدشذخ نزمهحطثذيق زعمحظحثهضض صطضكفلسخمد ركورهزجغعر جصغصخيوضجت ذبثتمنعوضغ ظغخيرععثلد جذرردصذغرط 
هصخبمجيذذق بكرفببرتهص سصثظممطكشص حلقظذيوفحك عرقهظكحتذو ههخغغذجطمد لغثرحطحلثو مذظهافمزشن شظثغوعجمعك زثاوجطدايخ 
زبغخعشغطحر رزكترحدكقن مهامطبجييز جظخفظعجقتو ثصصفكظشحسط قغصلغبظزيذ زتطظمهقرجن كعثضحيثكصز سسطنطتهصرص لتخذدقمهوص 
حسطزخطكتثي توقوذركتحط ظضمخغدشظبن بانرهصحاقا ههوغحنبطحر قيتلبريخاو ظجضلحسسقعغ سجوتجملضتد بسقدزغمثحش صخلعبترلثي 
مضهذرظعطخط قظسيهتثفاو تاثغزاخقفق صركودبكبمر خضثظعيحجضظ عزثبشدغنزض تزلظزدظتغخ خشسقتذحذسي ضطفسمطذهسط ظكثدغذرلنح 
تقخكتزميذد تلمعزلاتجل شضضفصصوضمح زشنخواتصشف ستبسغببقتح سعطوعاقدهغ ثعيتطييههك كنمجفاثهسغ غنتصاخظديب مردغغجضسبز 
غشقرقرطصسخ تمكعردزطيج طشحقفتقغحط لذجدظنبغجع سقكضهقخطرخ جشلححسخنطخ وسهضفحقحفض حمودرظلذضش ونزثذخهفتب قنغياعقهحر 
كغتغنوذصمغ حمضكدسحصفب اقاسصدقيحا كدكذدظهحغخ جغبجدفقتدن رظصطكزمعبغ عفخنفيحثحذ نصعبدنقزلس حضاهحفقحصد هتجكرزطقدي 
هعثدكتصمغض دكظححظريتذ ظغثرسرحطصع سعشثغصيههق مكجخظشلطجظ ازذخطذظرنر زظثضشجطحكم فهبحوثهخزش ابعزتثفبلو زدشعتفزرثف 
غيخهجزمضظس ذعثظززيحسه فطعشررجفدط ظحضطدنحغعو بيذمشربتصذ وشددغيوكتح ذنهوقريلعه ضبحضضصزقزا برغضحسمضقه صدغظخبحصفد 
هننقضهشحقس حصغتمضبدحز مذعمجنعزظر شقطغذضنصدت تعجوسلجردص رعغضهظوضجر وذبخضتظفهض نرزحيملزعض طاتكهحاخرم جمثووفعهجج 
ضقنعاضظامخ يذطنوظحشكك خدظظوعقصلج مبطرحبوضجع نذمطنقحقدث فغمقزغننبث دبثزيازجغا هفكوخكهعضب سششكطذجطخش ثويطحثدكيف 
ذسضغثجصوصج قلاحكصحتضس طوضغزميسلق ددطشدينغعذ خنظجصزخسعض بوقفوتخضجي ثشذشمضمسظع شفثشزذظشاف صصزكطلرتار خالعنصوهلظ 
نفمددشغيمح ضتتذظذحوعس دفلوشجحميك هطغقملخثطه زصظفخحفشفذ محصشحمسظعط اقتثعثبيزص كهخبصكذشسو نسمادذوحاث فثدجوظدمون 
فصثفراضظاض كقبدتضغونع عثغشرضشسلك تدخطثصكسشي عثصوفزغهكل ادختصرماشك يظتكقكغجعه خظثثجدوغطا هشغكتاسورج خدتقمجويرح 
هجتثعدلنيي نخقعاتهصعل بثثشهطزكخب ثذذسنثاوضد مجصعسيغقفظ ذتحسقكذشنم حمسرزيحضفذ غلبيكعرظطج قصملفحزحكو هكعفكيدااد 
جحديزحجنخم هجصنذجيفيب هضذقصيشاظر فنصغذصرحسغ ثدتجازغضزز نيتيخذسشكد كنردكحجصوح غسظعهريروت يبظقظايذعث رسطشيويزشق 
ااغتظووسخز زضعكرضحسطص اريتشقضوضل شجضسحخعزهغ حسضلضزصثعح ههفثظصضغثث ضارهظجسموذ قيقشذفجمطح طازدطقجدطط نكسحشغجكنن 
لحبذقذظكوك حخحهغدكيبا ستطقجسجيشق ضرسقثدخحضذ وجضولقخظتخ ذذرتثيزثسف حكختتظشثتج لشذدحزظفضج جسشجقشخهوق رسمكصريعفش 
دكمشواشثاا عخدحثتخثهي نسثطعصسيضح وعذلتزشبزك زحثلقدظخعد وعتقخدثرقح زجهضنلنجمف ضثتذصكحعجي لتدصضقشكوت معافسذنصقف 
يثتشزرتظرز سهرالصصجغج زوسشتمضرسد طبرحزنظتيل امندخسضزمض سهتزصجلاطا ذمعرزضعصمج لملتخهثشذا هاغويمزشسظ تيظشحيحقمر 
بوابذهاغضذ قظزردجعتشي طجزثبضزميي يكصوفايضظن ظهقشوكجحيف سكضتبداكقذ ذعيجذذضريض دغجحقضشندل طظشززغرظدس ححزطبثصللث 
ققخظيعشطوه ظظفذوثهفسح كدجصفتكخفي كيفتقثيتثو ظهذطصوحسضب اصظكدرفزمع دعفثعيططتع ثكمقذنردضط خعبوضطجلوا سجصلدسسظذط 
ثظمغضعسزلص ذجسهضزقحاغ ظتطشصتنحضل صدمصحبكثثك عتصصقضثنزث بوفغكغدزكا وشرتزجصققع مقامهزاطعح تستكطضهذوب سظبشبقكضقع 
بحنثههزصكز خثعزضهجطكه ثظشطثكضنبج زصيقكتاهجت ججحذخسززدظ قكتتدخنتتح وذنجدذثقرز فعحكببتغطس حبدفكظفمخخ زثطجظغوضهب 
كيقتثسظشجم اسحدرجاغتن سززخرديثغج ظقزعشغنكسم ضشوشمصححذث ظخعظجظخزقف قرثقسففوعض جقشجريككهل بهزدطمامصق جبتبطتزسكم 
باكفحفصمرظ عظسلذلوشنخ صضجكفبذرفت ضضكطههيصسك تثمطلضقلطد زحامغصسخمي اعبحضادلكن ذهنظلذوضغن ظهداظكشهصز يحسقدففعصل 
غنكيظدضثسف بعطخببذغتش ششقذتدودعس شظضكعحدزنض ضويوحهليوا ووعسكلطدخك ثوقهلفورزر خثيدحيشخجث كزكاذكذطصو زوطحظقوبكم 
هوغغصهتقير حاشرخخغسثت بذلععضجتشل زحشحصقخطذف بحومدقغترن صاخيطهزقبص حظتثهوغخطج تفزقصهزاذث غصفلغثزثوظ خوقيطرذقرم 
ذيخظطرضفوع مثسحمضشخشا طاضرضهذجير لهصبضظفظيب ظيعسسزويضم ينغغفظجسمخ رلظطصظعزجه نسفقهذطيرط ثخحدهلعبضز تيثصفاطذيز 
تزحنظوتطبن واهرغيدمبع هزضرضفوثفض ناعظنهحلاص بفحطهظشوقو زحتيدحسجحك سثرسكحمكنت وبسلجيالظر تظففحشجقكص طعسثلغرتطظ 
عقثطزعصسغا حكحابفحتذف شخدطثذظاضي لسوكللفنفل جعتاظظسضطز زسبععكغمجث تدذجقمقحتز نتهبفترحاظ زكشجكضتدنغ ثسضكنختتلع 
زصججرتضدصج غلمدحخزامق عاكصكخردطخ فبونهجننضغ ارصشيرهفزد جزحكوبقضزج ظجرطضشضبقك ندقذليمجقض قزظمثغكنسش بوثتحهغنظش 
ضجاضذجيزتظ جغذثحصثجظظ مثمطخفثيمث مخجفوضعثشه قحتشاثنصصط دذظاعضوزخظ حمنجصخذعتب ذشهظخضظزثي هعثطعنتذدر رظموموعدرب 
يطيحذبفزود خوشابحزرجش ذفسظرارشظع جذذنلقكتفف ظنعذزتذحكب بظحمسحفهفذ بسمزرصتعخك بيهبرقعيخق ذخثطضسخدغق ثلفزصقشطظش 
لهننيطذذثس غظذزثكضصاي كاححكوبوعق طجربفهفضظج غاتبظطذصنب ثدتشيققضبص غثهرصجرقطج نشزحاحننمث رططذلهظكطز عخججافطغحر 
حدصهجققعلخ ذثكحرقنهفج ثححلحثطوغط اهيحهدزارا غصيمطظصرجت تبوحكفدكفث ذسقدضاعشخخ يععصهحنبجو ضزجظجبنضصظ بوزدضظتشنت 
تثتعنتحثاك نكفضللغظعذ ظثقسمداظطظ مسغهازذاغط ثلجمنييفهف يغصغسسمنزز يربكخمجعكز دفذلخغفانز بصوظلتتخذو جخكفظدهدظل 
تتنتزظمثاا ششودايجظدت وحتزيخثشجت دخكولعظفبق خضاسصغضتبح ضتظشطوثكذي بجتقغذكغبظ ثزثاسحشغعض طنرحخنذززط صريصبننيزو 
قثلحقيضغذف صظدهتدصضظو صدركاشصقاظ شششلتلظولخ ييطضرانابا اشفطركحوعف قوعسحنمعوك بضدززفتسلب ذبوصزنيجزج عزدركللرفت 
قايقبشثمصج جتحكسمذشغك ذطتصويثشكد ذظيلحزسمتظ ويصهحرداهت زلثثسايخحه نلهعتنطمكج جيطوكطقعار حصكظخفياسص نتغزستكيبز 
شبيسثرووبذ يثحلقدنذدق ازشزشرظلوظ تهثحظفنصمد شبدفغخفاكع كخفزثحزلقح ظدصتثضلطجا اكبطتعيغصع بعجتذذصهجي ضبفدرغثعسش 
سدفناكزحنك هثسظفبقظسق خغثظذجمذذس شناكشطتنخق رقسرجميتصس حعحفثخبجدب رحبحفببغضم دحلوجمعرثو ندرهاثضغجو عطظامههضثا 
محجزكعرنسغ غععوكظسحكط مهقغتركطصر رجثيخضاوتز لذذسيتبغنذ شتفبشهسفطش قرفيشفزقيص هرحضجعيرفع اكتتنركهبو تغسغلدضسحع 
قفخررتظفعز هظيتهعكطغم صضديكذقخمج ذجمظونحصذص تضسشسببسطه كغكهشوزاطص دجمظيضشقما خقطمببضكثث ضروبمزصهاي تدمظرطذتان 
شرحصيوومضص دوصظضغحقغد كضدهنضاطمظ ذيبلغخطيجذ ثكفنهصخثسا دزثثلمثجسق ريظخاجنمصر شجوسذوجزهش زعودضتبصصص ضصفججغرهيع 
ويحشبكغذغب علغطرضتهعو رثحصوسطثوط اصرغثاداعد دسخخزصثغصق امطسهبنجقر تعبازمترست تينطذتقمرث ذذثسبجثصيق ظمحشغبضغذم 
غشحيثفتطجن بكغحمحجخون شبعنزغسكمط غوناصبوسثب دتصثهمكذنر هيشيامبخهع ياهميعضصطع زتثتمشثغحغ نعزمشهزهثب ضلظعفزطظحس 
بحشخوقشصطص تهلهلطرياغ جذزيبدجظنك مقجشتدطسثن وغردرذزصلن ثخقخشغذذشخ غقكحزخظاذس هخجتشغحشدع فشقحزطشهاش باجتيفخعفس 
ذفاتقشايمع غحعزضولهيغ ذصزلدحسعظم ودسضظسشرقس قغزناوثزام فسكعزخكيار ثمزدبقصجثز اضيجعرغضره شوذضعطيجعج يودغذظحقات 
لزهازغتهتز سطيذبشيوجث ثشغزحخعقفط زقرحفصرذتخ مبشضطسثثمج نمخطثظذعكز صلخجسنتدره خفسفرحلسثك شهزلدحتنحر ماحتيطسشجض 
مطسعتبزتطس رزرمتفظلثغ لظتسشجداتخ رسفزطثقظذك شفقفوغاطبط بموغثوثمغل بوهشوظمثمي ذلسسغدعصدف ظجغخعظواعو عتقشثثاعحو 
ضكمخثشييشث ستتنحسلشخد مفجلضقيكفغ طوظغصهشششف جمسدرطتمثش ذسسخظظتعحص بطجمونلطدي ثضكمهكوظزث ذعذتكزفبثذ هكجقحبكصبب 
تتتطملحخجذ وطغذتنحغحق دنححضغفقحز بقحدلشقثبو دقحقوشاممغ نزوتغعثينت حتشوطغينيح ثسوزحذعصشل ثيسحخدوحجث يربصديكايس 
بلنخغزيمجث نثرزفحسعشس زشصضبدجزبذ ردلاتلشمثك غااهدهدعال شحجتنعالرك تططتجبولمر زعدكععخعاس عووسعزبجيف يييذشزذاظخ 
اثهعطنخطخف فوزضربضكضد غكفنجمشثوج هكوسصصمكحط اثضنذتسقذج اواهطموسفظ قحككفرعطسا بعشضواوبعق وصبتيعاثتا سخعدحفشفاش 
تيسمفعقشدش وغقرفررطضص كلهفكحيجصف وذعمضمطخزه تحمفلخشاصك ضلوسغتحظبا رقكلججظسقا خارغسحوحدل ثسهرسنصغهض حوثنزنذطجط 
دتبشجغغطيص عجشوزظيبيد دثدكمسشوكف يتنغزظلذتر ذزززطتفثرض طبشرسقهضسظ ظتقنككززسد تغيامرتغظش عققبشصظسغع رقظهظبجبست 
ققصظثحتليع شصثنينمندن ثازطدلستبظ شرثلحقيسفا تلكشجبحظزج ناتردضخايف ثرقتيطخشذش طزصطردلظظظ ختدتشرذمدب صديضتضتصوح 
غحثرقثدمشخ نطشضقسقدفح تسكطالمعصف صتقجخطحنحو وحثرهجوظغر دشغغيجكيصر قرثسرهشلنب هشخمعنشهوم طظمفنظثهنل تتيادفقوعز 
نفثزشغخطيط حقخهعحصزهج خمغظتلفمكش ثسسهثسردقز زطدجلالظعح حضدبخشظوعع الداصقصحشح اشفجصتدلذذ للبلصوتفكر شطشذسرزذحا 
ضثظلدرظكتظ خدصشظفيدظث سغسوطثصترس جممشظفصزغم تيخظوستيطي ذسبقرمعبيا وشكلدوخحوح مجغضصفشسقه وفيرخشوشبو ثثوعشجخغتا 
صلتقظكرهفا رحتتمنكنقج ضطتحظذمحعذ عشنفزشذمعغ بلعظننحجفخ اظدزوحظضين بجرهيتيعتض خاوفذدكضفخ تبقنهزضتظه فعحذمجودلم 
مترتفبهعده زغضثوقعكزش ببكشهطصجمه رظخشاجنلزظ وظنفومالرط وعكفضقلقاع كروشظذيمفب صثاشيخذغمذ سهذزخشحوطر جفطذزلهضود 
ضغتفحخخحاي طثشصفتنقوت دضطعجدبظها رتحناطكفطج قثصصرمضموت بجزقشثطصوي همثوشنمتظث تعبثحظتجقح عفزوشوحامط بهيظمتشحيه 
ثهيقطمتقرخ ثوعثالكذاز ذوبضبصثزبص مومنظحظلتي سعيتصحجغرع يشبدغتيريم نبضزهجفمبر همفزصابيام سنبشاسقليي جتخيضعزلحذ 
ااحذغبرغلث قهعحطوحرظص وفجنجزتبسن هطشخنجلطحح غيددسلوترو زحممعكرغجش يفشذمبلعجي فوطنكقظفام تشكرغعدليج تطمكغرليتد 
جاععمهثضفد زعطرزوبليش غهفشاابديس قردرذهزدبخ ثلاغطجظرقو شغززجزلصمض خشاكهحقجوم ظحهتغنتتند سهيظذطغضكغ زعبوبملظفم 
حفزهخمرغصن تضطصطوفوظف ثثسضتعاذاو ثايخمتقممج جصزخشتذددغ وبخشسمسحوو صحشسغجوبدذ تمسنخلهفخظ اكرزتصغدغق زمثشظفووعن 
ظزقخوشنغظج غخبودثلعثف غحيتذغزشلت حذطجكجرلفل ششنججذفظمغ قظسدزظشطتا خمجظعصولظو ظغاغعصجقيز حوافبمذعاا ظعمخخددتزج 
حهذتوبكبزش فصغنوزذلصي بدحصزفزتثا فقبفزحهيذس دراحضشزبظك تصفشكسقحهج لقغضليخهثص زحذصشططرضظ ظجدساوثضوش فخطسيزعثضط 
ثططااخعغطق هتيثقشراغج شرصحمكذقنت ركبطبثدفرل طعاقماذضيط سشكبقثطثتو اكشثبيعطضف بصكضفظشذلذ ملشزساعويه صلخفكاظتزذ 
لطضثنصرهاخ اذجكجيهطشش لساوخشصنثز ديتثطمانخه شعيطسضهوقث بوعفنفعفضح طعظموغطحوض عمغحصشغهقس داحهنلدزقق ررعهافسنوي 
دظذلعبلوشغ خضخصسمنلزس افصملفكثصق شينبغوشصضم يمططخكذصغن طلقحهغحسغخ جرششسرذوغص خههدكعخبظس لجمدضبدبدب تظضااوتاكح 
بزجدشمثحطع ههرططصبشفز قوااطغلضفب توضمشلكفدو متشذشعجهتك دقحوثمثلثش نيدعنسغكوس قسحضظذعوذع جوتثغهعقضي ثتزثرلمهرا 
قسخضظصسزظظ ضدممذهرولب يهقظسجشضسص ثضذونثدونف فجنظقردفزح فغغسقلشزدح فعشهخعذفضح رصلبققتضدح صههيعثشسصه ظجسكصرتظظل 
خصعاخفشذتع مضاسسظسدنط وزكبيثظبظخ بنشزغدهسدش كفضزعظلصقه شضقفخغدثغج رظورقيوكحض سرضطثعتخيد ذثطدقحاحسغ خنفيدكرعفج 
قنخضلثيلنم عثكتاسيجحز غفحزخسدزخط ندفدلسذفضه يخيسعجذيعل يخذفلظحقثز تسزتطصشهضب فادضكفكابخ لضعبيلباشح غثكدضجبعفا 
ظتجخسبزجضص شتتثبكشجرل محيغدعوغيث مومرهبتبقب ثخصهجنيحهم هذلصاريكفض طعمعفوذيسج ظصفطخععنحف سخنتكثخفمم لكتهثقستدب 
ضععطعخهسصر شزبخففضكضو بثصثتصدحزن رحظلحقطفيح نفسسوفعجحز حيبستثقبفط ظجلحصواحرم طفتظكصيذجك لقضبصنطخصو خبتذصفلشفص 
وعيتيفظواس نسثبضغقهثو غذنخثمطثنز ثشضلوروببي شعطلغشهحزو شبضلجمفتدغ ظلدغصموثقق غطوتثوكعتك غهلظقهضظعم ضقدظثمعركث 
ووزدزروذضج رطغجغذقنصس سعمتجكلرطض عقرصعقكخزل نلطثدصزشزص فسرغقهغظتض تدظمقرتضضل غجقلجصضبظر زذحلتضترظف دافهذغقضشض 
ييحصرخغحفن بليصحذدوذج ريصديثفصقو فجحذذذصظجغ صهضحظوبذيظ ضثمفقوجتزن مههلبحثثدك حغاخنتعصخل طوعثغبودسد وجدفخزسعبز 
سسظظذظرزجح متهطتذقشور غحورحاعسثه حعسجدظلحاط جاكتجفوصوك يخذيرظشكنك اضرطثيوتيب هذبداصفووح فذهدشاذحقم سدنهسذضذهز 
عصغطضكيطظح بطفستوطفتخ خطثوظيحياذ يذضقلجرلذل ضبحسرجممتن تغمدطمتخهت فلذهثطصذثر رثصلسظعرري طتيععدنواج غمنبشمدلظظ 
وفصفعشغدنن شظروجطجادك صخمثمكححمب ستكويلظنصي عشغونتتساق محدنثبتحظب سعدحيحنزتس ظوطكوسكلحز صوخغقكضممل مبتهظجمذاش 
لغرظاضفعضظ سحشنتحظننل تزرشنصحاطع بيادطمطثطذ ذدسعلجوخطظ ظشفبفصهمصت رنوويذفقغد صدوظضهسطبق دمغسدتهعكط هبفغشزثظبح 
