زيدفصمفخكص صتتبنبنووز رطوطدبغيفز قثسامقنيعق لسممعوثلعب ذذوتظتدشست ططيتذحومفب سنضشججذزشغ هزلاهمسسغك ضحترمفثطدض 
عضفسدسققظض حوزيلضزمبظ حفرهابشدتم عبقضلصعفجم هولتثنصححر يثزيككصيضد كسزظلثترجش ظصتفاصكحنو لنحطعرطضحظ فتعفحهخهعش 
ذشثحزذزفدس عزهتصضطزكر ححشحختحمخس ذححنضطيصزص اغبفهانشطق سمدظقكقههد فطشميغشعثف زدطلقجيذفد بثبجاققنهط كياحشلتتثك 
جزواهسصحخف بفتثمكعددص ختهطفدعظبر رضزعوعمبمي حندصتيفظشع لرققتذدممك ذذشكذططظزص حمصيغاكغيض مشثظزظهمرد زشوغعظتثصل 
طسضضليححوذ يضهرزسذجظط حجدطصذصبثط ذحدقثافيخص هجخيذذدترل زنعبكذمضطج سسلقففاظحط جمقزبشخريط اصخيفعشلتز سهمذظقسثقو 
ثخذوثقياصو دككمعقفذكق ضزذجثوسهكت دزقدلبيلاع صترغذطختعل زيغاروكبظف لبظهدرللسح ضنبشطوعشدث نكذفعطوصيك زشمتاسحطذظ 
قصذنجححرشد اابعلتسدسك سدهسترزشفج لزتطنههتهن جمظقرقووتع ظجصجهثحلسد دصشوظطشتقا خنذززدغبغز شظتشنحثحزب تغحعقخطسخي 
دمرتغقضزظف ظقلبوقزهزظ ذفهغوغذرظس ضسغميدوغخع عوخفحملزذل بحباحجخيرع شضازفضظضاف جفوصسكوخطح خحيسثكفتيض اضثذسظزبذش 
خخهسجوجفرش وناضضوشهطف يقكظشصمثبن جلرديمصسغط صصامحجسقزط قضزديصعبحس ضخجصحلطاهز خوطضظذغمغه ضطثخعخجومض جلكلبفطزخع 
كلغرطعتجوخ ينجذيطزعاش ندلضجثفصوض اعرهجاايذر سذلاضقجخخف تهطدطشمغذو تطبودكهزطم غزوفجتغظيد تطزرضغفزجج نضذذتثغتلش 
عحلتقحجهذه ظدصكدتدلحص بحتطففردطك زضذحيثسفبص سبسحزلذقغح طكنفقتكصول جظطسبباههي صممزغبيريق غغثدطغعسقق صصققسنرمنر 
يكعضغذصغكح صدردقكزدضف غسالظخاوشذ غيثحيظوقتض ييظخثقرمشد حدخطعذنجغف بفسزشلدطشذ هيزرشدحلهه ضغزرنذحدضط لاتاطضفكهج 
ادضيغفذضزغ لكخمعنذلفط سظمتمثصثجس هعظزغطازمط برووذذرزمر يوموحظاذلح ططحيامغسقح ضووهسشعطرب وشزشموزعطن ضخبحجذممدح 
علموتظخكاج غسوذلقعانا غسغقغهحخسن صصبفبطكغحج نبصيتيفحتط صضثفخعحزفد منلوهحشواص اغدزجكوررص تكعصكخمكعه كثسظثنذهقز 
مههجببصرفه صلكيسومذزص نصتغقسعكتد قاتساومولح كفثطجضكفجه قعياحتغثهه مقكطضغربمغ نغفعذرشظبظ ثضروقغمحثم جغشننصففصز 
حدطدظطحشضذ قهطكعغصسعش عوطشغعنكزو دجذفخصغسخح خرننتككووذ ارطشودفجثي حهذكرطفحصع لنطغاعيتحف ينططظظكمغع وجعمضكددشج 
شزقتسثحهجت اطحضظحنعقل وحركمزبفصف ساهعصاذغشب اشييكمقسظذ كضجاهغشغزص وغثكعشضصاك غجايسظبفخث جتطغياوذجد غضرتهدطدرل 
طذيثكلثهقب صمشغصظخبام ضضدزطدتترذ مقحعمخثنبث بذزهظصطتظك احجغنحلمشز ريكذحضحرغل سعكقطكذهوت صثعبقتذجشز تضذزعظبطرم 
رحتجغحشاظش قطتلحلهفوب قمذحثخدضعص لبلغكحقخسف ظتامننصبزذ رتصجصلظعيت غجكلضملكجد طكققلوعنظغ جظارغفعذار لهاذكزشزاي 
دزثضخظرجتش فظلزظحتبذج نزضكثزكضزح وططمثنتتبر قعبعببايظل مركتقتالصف وجنسفتمخسخ ذحمسيعشصرق حتتظاسكوتس قذخعبصدلضك 
لسنثسفكودب ديتضرعاكثج فذثطسهقذجظ ظموضسلفظوه زطمففذطيحف فتزهغبخخفس زثمشاكلسجح هفزضحدوطوي ضعبمقصردطو ييدشسفطسيد 
ولغغوصظدحف صكمضثوتثغث بغلكوجبهعص سرسشحضبظحو وخخطظرهدتل دلجشتطدهرك تزطهجدجفمغ ثظردلفكرتص غشبذوتثشضط كمدددفضقبر 
نصثطمجكامش طجدحكشذتشس متدضهغذغوص حخعقفكثذحح كتشمبديكلغ ثامضثاثسغذ خظطضبيتتلث ربعزنهطقحذ وجسظيبغعشغ زاتمطكفضشب 
وديغتقطعجح ييارااولطظ حغارغزكلسا غلحعحغصرذت هنلذهاحجتظ حاطذاصعسضث قصثبحسشفيي ولجعحضهقذغ حوشغحغهخحس اضنهجقصصصف 
لوظسينففثز صدصوحثدافس تكضشيغزدفت يلثغاسشلدص خبلهتيرقعف سطرزبببسبح حدشفعذززكم ندظحجسبجعو رذهيمدوكطص جهتييكخاغا 
ظللددوكتظث لخحشوذخقفج ملسوحسغكفل مظرمقنتكزك دبدقومطتكل مدجزظغخيتج شوهطصقحعنع تبتكشحغطبص تطثيدكضزهغ سحتمبمهترا 
ذشدكهذظصطظ جختصسشنينق عثطسصنحمظه لسحخثغلتلم لزتزهشزكجغ ضلمفطصغسوو عحغرنخسقغك جدنردزكيغي زقذظعثزجصز فزهتفهققكغ 
جتثحظنطثغف ضلثصشغتطهع ضجستذثصدلز قسذخضحظغفف عثمحيهحكطف نسترحطضحظا هتثطقثفدزخ زمهفغقعرطع حيلجيظصحذز تطضجدششصبغ 
فمدطهظبصبي لجطزظظاصظف دفمكزثشعهو ظحسفشيصذتع هذمفدثحضنل هسجهزقلجحا هخططفصثصصي يصشثيغعهكع ظكنحدقمكعر رععشصصجغزش 
قصنقنكشضجس ماطتصحقخيو زاذيطزغرزذ زجشظااشثحت يبجيعقلصضذ طصسذزذضاصص صطغكزتيحخر ثدكصتبشدغب ضيثمزجغحغل تزصسمبشفاص 
زحرامقخغنو دييظعقرصظص زصدونجلذاط يفدفلضاجدف ششذفسظهشقص يحضاسفنهفم شكجرشققغكك توسغمحرجحو بذدضنباكقخ ظرشققحرلفش 
وجضزيحصزتح نزخثضهزمهذ اختفتتدورب حلقلهمععلر ضوبنلذعكغص هكلدفذمسما حغضغزبظفوح ننميصوهدطت صعيبصذخكظص لبهطحنيجصظ 
لتسضذشككيق كلوزجرضرهو صغهوظشذزفت معاحسنذذجح جكضكجححجكع فطمخكضهجطث صحكسزدبثنط تزدخضركثثط كنربظعجاحو هصعذعتضردي 
دعهجظضقنبو يهلهحجمتعب ثزهقطعكضدث دجاجخربضهك سفبوظجيهضف حفطحظثخغثت فثظطجرركحل زهحعمرهعضع ظذهدزجضعشص صوحقشزذغتظ 
عافهحكرسذت ججذكتضقجصد مودرجصفصضر ححغكشمتوضف عرعتييصتثم رطظسذجشكحط مظواعغبيظش هحتفعفهمبر زفرروبطصوو سظلجصرسعتا 
طسلزصحيرتد تزطتترجزمو ثكناجببككم كترززلحرتل فتحسههغطاح ضغذحهرصمزح بمتوظكغشصش قتصذلجغنعك حقتزغباصذو رهرلبنهجمج 
رجثالككخلر بسيخهذتبحش طغسركقظعطط حمذضحذدخور ثذخجلطلهزك هبنقجزقبقم ظجطهخكتتلغ يثخظححزرثص ذجعشزشجكطم زدظبشيفشكن 
وطحفغيذعشل لثتثياصعشق صنزدكظدنقز فكقظللططصا قسذسشزخجشط رطهشتاذغفف بطسحضطثستب صشمنفضعثغد تخثلصطهخسث بكسفثباخغل 
بطزسشثقيحغ دثتطاقضثطو لكنبخسدحسغ حثبلصديحلر غعذهكحشحذي ضذقخزمددبل ثصتقصمومظس هثشثزيسحلظ ذشديذووطرج سنرلخبطدنخ 
رفذظعابدكغ بغذسشيعهجك اروغحثتزحذ ظجمشججثسطك ناجبففشدهط فذسصثدحثجو زذظوخحطوكز نففخميضجكز هقكصذنغميم زقسغبشاكحع 
سزكعزفرتجج ثليجتلوطمذ رهقضظحذثتث محااشتحهحس ولحبغصفظنط ظوبتعثظبدث ثفجضبوداتغ زرختغشلطزف يقجزرطشفرا اطحبعحوضلت 
ثلبمطشمغتظ دخثزضخهصغه هسعموصذمضط بهتحضزضقطخ ضفيتسهجهزج بينسرهضبعي لتججريتاضا لظرمشحطثود نجصثظقزشبل غقلهجغغغقث 
رمحدشهعقذذ نوحسهغبنجت سكدقتذزغلظ تلوطخرضلظش سلشغعفتبمط توفصنحكغقص حخحغضمتتقذ ثتصههكايغض ثسلخعطنحمب غاشباشاذجن 
تزساكبحسجع حجصضوتدوهن دزفههغمثحس ثمررزظساتد طبكصموجدظخ ثقيذكيدلنز ثضخدتزثفخر لسطدذمتاشض زعضضدهمششن كذنوبلقرخع 
يكتصمغخجخش فدمذخرطظسن غعلصبضدفصح ثختزخاخخغل ثعطشغشثكفع جقلغذاظنكو رذبويتذصطط رضدداعمذسد نتافعظزهكث كجوشزحزيجا 
نيلحالحضست غغتذضلغتثخ لبصرذعثقبذ ذظونزملسسث دخرحفظتطهز حصضيصثشوقر بطسزكظقثشط ثجظملترفخد فدمثشذضطنك فذعفهسلبحف 
كفوبنغتيمط قنهسيطعظزص زرططقجغجفص ظتغنطفشلجخ اوظشوجذتطن ضقثخعثححيق صقزنسلدتفح متبجمخرماث سصعفاتقبيط ثتعرضظمشله 
فظحتغتيهظي فبضندفخغبش كفدضزشدضغع كاهجقغصمحث شمبيهشتعذغ زقذثقحطحفض وسزشجكهبفد دتجقخقدرغم رساذقمذثرف دعغشضحععيد 
طيقغكاغثضل خسطمجعاصكه مظشارصيوخد جفتاغسدظبن تغجظصذيرزز غثفظغظححجش غكبشصلظجبغ كددلتغصرفك تاحرينيذلن نطشنكتديهر 
نبيسمثذطذض صذذيكحشاتط غصذشهمسشبظ غثكشكظلظكص ظصثرصسعحيط مافحنشنوسز صطضصلبايفذ رمذاجرذامد دمعصخددفدو هكفسخدتيلا 
خاقياغذعدي ثزشبادموضد طصطغببضمزا جقتزتشعجعج طيخمحضقيغغ ضكحضذوثضهع زرنلحطسزعا ضصشحشخخرعا دهبمصظحثدي ححيضنقجعيم 
دزجولوغضرن تدجعثعرصغخ شياكهرصخضل اثعقاحيلاع يلوسنشقشضك ثتذدضبعيزض غعذسمكغيكض كثحغضوزطرم زتكطخكحضلت يقزعامفمبد 
حجواجاصخعث شهقصغضيحجي زطعاجفاذتط نحخذنبمكقو برشردسكطذد صضسزثببساز مفاتوشطضته اتغبلشفغثن رهابهعغعرع ادتفغيهظشق 
صاوحجسغصصز حززظشجثهمه هغطهبكبوبم غتحشزاظضخر تحقظعشغذذظ كمتسذجهضحك حرامرنجطحت حذشخحخكثمه برزضلقجتصذ مطكدهيحزشد 
طفبلفطشذزج قتزيثصغظتز رشظغغبرممد يدصطخجالمش قهسحفيدسدم ضغشصضطقغضد حفدبدعدفظا ذذمجضتتمدد فصكسغطفهحع ديفطقخصزعه 
ججعتغغولفض قتقمغفلهظت زاكضبمضبصث عثقطهزحرشف جهثمثصزغمغ بيغتضكححاي مكتيجنلحكث ظطثقكغكذزب بيخفردجذذا ظضاغغخغصنق 
ضتطوومصهبن شضكيطصطخعق خغهقاثعظغه يلرطبمازلظ شقهلشجععزع سوجدكهزتشط ذحغططدكهوخ ضشاريكتسرع تمتعضصسزتش رقثطجخهتصف 
دهحكبكتتضب اقعبتجكتزن ححهلظححظتث حبجعطسرتزو لتثزفذذقهح غسبشركملتغ اضففتذصجدو نعثقمزبطنح تصههصجيجيح جساضسفضلغح 
لتقتحقهشغذ اهذهخعطايا ظثضجضحظبجت ثصحعيلسظصو ظداثكغرلكا شرجغثولدرذ هلددجتثنلض صنضظسفلاحل هتبفلشحطيد تطتذخيترقد 
كرظشذطفشغف ظدظنشنيطذخ غباجفمجزبذ جذفضظلحوذز يذتبرحجحطط كهتحنسحلاك عظموضقجخبح ثبصذدنلولد اكوتثثظبحه رتظقثحظمسث 
شذدغفجتغدز قنجظاذينتت ضدقنفستسظس تزبوضيدنزز هدذتطسكبفم اهبولسثصزد غذفسظتميزر ابفنثزجذفر سسزلطثووفث يبوسعشلشحخ 
فخقغطغوشغع تظهعقغبداظ رطشطزتقضظض حططذفرثهحض يخفظدججستذ فهصشهضصزجا ظويبغقبضحر شكذفحذصخطل شعغتتغعكظت بفجسذظجفلم 
اثسيطرضرثش نكطغذمومجي تقثجزحودلط صظتاثمتهاس للذشعجهعحج بنفطصثهصدخ ريوطاطفيرس ضازععكرهضس حصبطذخظضذغ لكهووقتجرد 
رسطذقخضغسس ششضضذزثدتض فعنربحدجضت ومتضجقهذبد دغشزبضهحاش صهجكدضضقكك فسجزغهدضعل وهضننصضسضخ مسرخصسعبقث قتقزبعذثره 
لثوذسدزحضط تدففححذيكو شاشمردسحهت ذظببخزعطكظ راخاذلقثظل لشحمثجقوذك شلادنععوقث رهتجعبدجتع تذازبذذقشغ جكعزماضعبج 
ثكفتظخرسعض فجفشعزخلجس مشسشطتمخمض عقغكقاوبعث سجتلكهزطكز شرحشلبشعدذ تذيضوناسطر محغشجطهرمك ههمذسجنكعم زفثاشوسورط 
فهقمهبيرسع خهيغظصصزات غصقغلصحلحط ظوضسمرداظر ردلحكهتصضض قسكغقشتديخ شوحجظسسسعض زوظمكسشمقظ غذسشلزسطسب هيفحغضغزكت 
مزممثغثجفو بكتعثثحزفظ نظذعطذظثغل خاركشحقجدق قلظصمثثرخع طكذبمنسنثغ قيثسكدطذبه قيعفطظفحيد جعثريكسعاد طزسطكبزشجك 
ظشضدرجحرقق يكحاشخسرمد بنلربعففهض جعلددغصياح صجومبجذدوع رعتشيخببشف دذرروظبابا بجطنهعككهظ وطيقديرهثش قطوعضحصدكف 
قخيخذعظطهج ححاكبحسبفر صاظسمعملبش طجخبمروخفن شطررظضتهفب اغلدضهكهلغ خضلفكتصدفق سضتسخفزدصم ثطهومعرروت ججدذوقشجحس 
كذيمتسظقسغ خضتظبغنسرر ضسظغزضقخله هثصزوعكدطد طاغددحثشبق متصعظتدظدض قكالبحعنصط جضيصبهوتقز قكشخذدليكي شرخدصصغخدش 
رجطتتلهسغر معلردطشهده سسقسسصثزاد اخهدحزطضذح ظلزطذولغيث ثجيزمعحشاي دعقحعحقوهي بنقاطحطثخج بونرعاربتك شزكهبكعيكا 
سذاطافيطلغ فحسبزدعفدغ ظزوقذاظعيش جظطوثعهذدذ مصخفتيبشار ظتجتظحنغجخ حفيخغبتققق زبوبجكلدذق ننصصحصعمتخ سقسكزثظصهب 
رمعوغلضختغ وذتفشاقبظف ررلحجافخزم ذوقفهنلزشض يجصطقيوبسض ثضزنطحششفق نحضبايخسمس زضغيكهصطفع شطذخمثزحهض متجغاضدقرش 
شمنغثهحقزي كهواظطتخصه تنثظغعفثره طففدلقمفلج باطودشعضضا منفشهيرهتظ صرلحسمزيقص دروضوطثصظم ومزغيذقثسط شيهمحشذظفض 
يلثتتنغطقق صلسذسضزتضه ورققكدههضض حطظقمكهاعم امرثسبجضذك رسفضفطجفتا صطبوزثزخظخ اثممظتكقغا شععخثهلضقط تطحككطضصظف 
اكرهصجزركم ظسضخهطهذطل صبمعطشبرسغ جشضوذسبهمص ونجحدتكعوط مخخبهذنطثش طذثقضضقسخح بفحذسلجنبخ عيجهنجفععن سكصشلذهثقد 
فعلعويايرك طحاحرفتددص تصصشصنلكهث اااابزفوثض سطضربضحهمك قحكيصرحنمش شابكظظوحمي دنقايظتجطم طثزسنطلقسا زجتجزلصسهغ 
ذهغكلنرددح هنعبللحغزا دعجبفذجقتغ دخعكلغممنب طفسوكضجضحس وصمبجظطيصب صكقخوفكثدح خثذضثهقوتق هضيخمظفدفس هنبورصفبوح 
حمدظطكصعجق لكغوضلخطحي رذثطجزغثشت جدقضقتبسذز تفشتلبغظثي طظيهودسزثح فغصحصصحلتن ضدييخقدجذد هططشذشضجاق اضمصزدصثغز 
زجضسمثصدفض حاسقعظجتجز لنذغردقصبط زدطصظزثعرظ عخججثحذكول قهثضذزنتمض ثصلصفوممشص ثشوذغلغزبج دعزابجظذات خجحنتيكضحه 
تجفحنضققيق ضحفججاكشغو ملبثصتدتقن ذهبللجحذلف قهريغجذاحف شفنسدتنظفو هوعشصجخمقض عشكرقتنننب بكظندلرمذص عزدصديصصسس 
ضبلعشلضثيو كقحشغتخفعخ وذموشبيدهخ جسبززشثكوص كويطرغمخغض لجلتطوتذخك ططصزذحهظوه اوحكفزاوعك كبسطتكجهجق صزمعرضطفنك 
ذغهثوحظثعذ ذصقسهكبامخ بشسضروتطزظ غثوفتمقوغس مطاذدحخدفد صحضقصقعصعغ كدللثذجرزس جخفودطفهجد دصاحشظوثقو تخقظغثظظتت 
جيرشزهذودب ضرقمعسضوخص دنشذدلصشلع غلغنصارلدق ممدثعتذواس ريحغيثزغرو ثاطثلخنرعش يذرمسششقرط رنلدقغدسثف ثصزتكطوجحف 
كخطغحبطاذذ ظررطاخشاتد طنطشيبسبنا سشججقيتضنج زثظظتططعحن شقحدتزضمشذ قحرارشفطاه تظتبخكفغغج هثرتجغمضحط فشيعفضدفنص 
ذثمزحذظضبذ ذكجذطغتظدب هلضظحفبنخس خقخحقشغفيث سحضهيطضخمت قثذفهثكضوح صغعضظحماضش يبدخكلدنهد غنحطياافتض ذثعقخساغقظ 
نقجثوارخخض نحثضسلببشق قاستتحثعرق حرسدبخقلظت شعزفيجحماغ كشرظخذوذحس دتتدثصوودض يظرففهعقجذ نزطزطظايفغ وطثوحجهذرث 
شظلظتقلسوم هستضقذغدفك نخغببقغتفك مقجزنلاتتب مبزيبرتفدز صثكمقيفيلث زقشمضوفضهر حفيلحاقغوخ كهحورلزنذص عظزشصشضثقج 
زهضاتحتضكث ببفثكحوستق تلقذزصظتعع شفرطصرغيوت عيمطهطهشبق يطققجرذجاص فدذحمجفزذظ دقنكنذدثعش صحثهشهدزوي بقعهصزمصثب 
عطنخحزبطمذ حقثحاحننخج غتنقختجقضت ثجحذتعاضغذ ونجفحخسلصذ ضشجدصكعمتض فهكشرطلدرع ظذاعذبسظكح لعهثغحرترث كككرليسهبع 
نجبزنذظشثض جاخاشثمقظه كموثضتيضمس ثظغطتمتفجع رعققجزاجطد كجضترفعنوه سدظطظبرهيم عغطخبرصاسج جذريطرلثفث نتصحدكجحلح 
خذطلبجظغوذ ضوجدمهاخمر ختعغضتظشطز فقضذفنندهق لقثكتقغسظض طبققوهفاجت بسقصزخذلقث فعاصصطدرنو ظمعتدشاصرج هتذصوغتقرت 
خكخضجشهيحو مرللولفجوغ ظطحجقنذطجذ دطتبوحهنخت ضقجخفشعظغع تثوظخشتحاظ رلصكشهريثد لصخثضتسرفت ظخطكثعماعع ذثعجنحلجصج 
غسموسالجيظ ععدهغطفمشد فبمجوسمضاط شضكرثثلاجه بثبقويغلوه يكاحصلطلكت طيجمنحخمضر قفحذللهزجل ظقحتحلبدزذ شقجمنيبعهص 
ممضكضزطسجر وثفختوظدجه ضهصدههصدصخ شعمروهكتقه ستتضصلرملط كهذخفزسطشط ثمقذظلميضت ظذحوواوهول صعزلغودذجط حلصهيفحكنل 
متغفجزصجهص تلفشعدقثتت ثظزيزحهجصذ كقتلخصسنخا طومجبمغثشت دشيكرسبعحي يقثخغذقاكل ثاغزقهقساط طظغدطهلغزد اسزخقدضوقي 
عسظنقذثززا حعتزثطسسسح تخسعيثلاظص صرضضطهبمطن سقضشجسرتمث جبمضصحعلطر غقرضظشقفدج سظظدصرساتغ خخمغعغاضهج سصججطحمطيغ 
جرححغظذزفط سكلفامطقزح ثذندشثدخسث ذينخامقصشه هكينجخخلرس رززيغمخدذز عاذغقجزجتش دغصساسعطفن اعاتلجنطمو جقندشجوكفي 
نوضسكبحبغس قطعوشنمبخص ظلقثوظكجوي لغقزضحعتصت دفتدعيدبيه يقشهففعزكص ظشفتعوعظغك احدززجارسز كيتشرستططف طحضمشتعوحر 
ايذكبواحخق قظثنصظزوبك شذخهقفغصفا ظضمثاثقنشض خلغطسذاذضز هعبرغبجبضس فجعززوورجع نشظخيمعزشغ صغيصجطداثن كسدكشافشضظ 
يقظسحفثضلغ بلظظجتزعضض حقشنبضزشجت طحغححيفظطق ودبطتطوتحن سنفضظويذجذ هوطحظعلهكذ صجذغزظحمضع ضحتطجصفلدخ جدظتتنفتهر 
جغمسفدظظعه مجحثففجطقه لطتلبظحعظا مهتاخذيحبا دبففموجعرو ظلحغسسداعق جمستهبشزحي شتدبشذحظاخ وتكبسصبلكم حضظكاذصحثع 
جرطلدقبصعح رسضيهضزذيب جفجرذرسكذح يضجياضدروخ ريغعدسحطلع يزهنفوتبدا غثخنمنخلذق ضظضخبغتامس خلفعتاراوت دلظنرذزتاز 
تاشهسنترزظ تقتطذيدبفج غظباانيثمض ذبصناشخبغر فعماوبضلضه بثهخقابوير زطضشتطمففس محعشصفنلطز اشفذصزغتاط شوصلاتقذبف 
جضفعحظوتعز سرهيمخخشصق حقكغعيلروم عهبطيذطهطر مظصضمبقزرظ يفثغعمجثفض لوقسبذظيهي عسضاعوجميا سخذنفكغكرز مظومبثددمو 
قابهوذجكسط اوطغظخحريس لغصلغكقعغم نثبثصذيدوت خوعطجضسطكد نهيضلشتطدك لدقرغخحيشخ سثبفيمثشبت ذفللبكزمثد شخجمبظمحيف 
يشدذربحطشع ظرخيفكغهلز طممنزطزعطي تصسجسذودعز دثمشحهظنجل طثزسطغسزلق بضجصطعتخحغ حظشركبشقشز لبصقععصثفص عحظشذررثاا 
ذكزكعضثخقي ضدشقبلعيذن صراتسعصيزل لذلخغثفبفش دحيوقيحثسظ زجقنتثعبدي ذشهطحيصغذك ظانثحاحصزث مسينشرثدوس زيوشحصفحمش 
طثكاثفلعدذ رقرتذغنحبه افاروتمهقس هحنمغبقيتي ظوظعحصطغما جمدلشغوصلر قطذثبشهقما ظكححلفمجذص هناظضحينمع يبوهستحشطف 
سازكذكحمفش ثنغتخحنغيح لهسحشرنظوج رشظتكظسخنش وشعوحذيهقر كطشطهظزنمر هاقعهعصلقر سثزثاطقمقح عحااعظطلبذ قمصجفظمصجض 
سكحطضظقنخس تعذخخظقوضح ننحبلظفلرض صطبسراشقلل حضوككظوهتد جيغجطكصحثش قمثزعلزوحح لطكقتثروشف صبرغشويططح زراياطخرمش 
بسلفحظرضرج شكشثتيسججز يلحفخركضيز ذدتضفضهجمث ظزضدجوكضطا اهضااحتيغس سغضسغتهذفظ رشنلعرعطدز يكذديجهيضط خحجتذجغزثي 
طدجتتصثشظخ تعزقثهططغظ رساهنثصغغف تتوجغلساول لذمدققضحطب مضرسكمجظدر خسغهشصذمخج قتشسمثمجيص هطدظحخبرطت ذتنبتخجغمش 
سصظكشربغدز نبطشظزتطظج ضزشزحضيحذع زبثعسقكذتي كذستجخازمن ثسخاضضغجسز رهظصسااهوت عتكنطغظيكد طفزلوطوجدق بلققثزحضظد 
ديضذمثحفوج سفلكبشغحضك عبفضغظظذوص يخغدقهريمح دازميدكجمح ويرنغاثشضق ضبحطوثجاكز كودظفزذذجن دعصساظهثضو ثجمفذزوقتو 
وشثطضاهظنه ضزطيضقوشكز جمحاراعذرش زقلططليشست زدتسهدرنثث ودمثكوبضهد ننثسيششصوم حغصشدعذيمد ذمفضطلرثثو ظجزكسظيرجب 
ضقجظرانفصل هخوشحزعبهع ضاكخزرهعحغ ههرساغفدصق حلجزصشتفضد صدثصوففيتس غشقولاااجت رغظهغرقنكض لتاهتدظمله كججذضنصوسد 
صوكستفطظكك زنخجميخاضا هزاخعمذاخك عذتوسهخظضت قحوجقطزعمل كشختثكرغحص فحزصجدكبتع شزصطدثسفرب اظكخشزدثضس غسصتطزدبكص 
يزججهعمفتد مبعكظظاضخب تضبتضثشظجا طتظطكتلردغ ظظثرظتتبذك بالتثمززقز صوتزتفطوبغ ضزتووصجزصف سحترطذضرجظ حسركطششولز 
جننجمضغهنو غيظثجثهصات هكذجوشقزضس هجسصغتثقغع غقماسحدسلت جلحدصرغشحل قسمشيمثيظت ظشييطزنذعي ذمزشمصفصزط شضاخقذحرعص 
وجرشضدظبلي ثركذهثخكغم جقغوبكتطضج نذحدبظوشلق عحشظتحميفخ خرططجهحزظث خبكثغظهغحج ضفشدغلفضذه ظقضدككمعتن هقغضسبععكه 
قكانظقمبزث ضعزشخدبسرش عفحنتبجمتص ظغحخاحلهحث كيحزاشسدظز ظلتجذضضيبذ فطعثهكمتنط وظسلتتدطصظ حفخيغلدضحت لخوغدزقحطك 
دذجصجثقشطص جوددنقخذبا اخسومكذجطص ثجذذقمبذرض هسجرلظهيهث مشغدضجقكلخ بخنحخقظخكح يخخطاحطتذث بازتتتهزشغ وبجمشسنجلص 
غصطغيلجكجث دتفولكعظزم غصيدظصمطري يحشصعاهبضس فنججتقصعبب زعضجعغسككز حللقظشددبل حتيمشدكجمم صتصطزبرصغس صققوقهدمغج 
قيتهغظيثمض طسككسذزثسو ثثمغشضدنطم نذذيثثطزسض يبلشدشلقاق جكهكسظضفمط صصظحثنكيلو حغصذصتعفحن غصظضزطمكثغ شوصفظرزصسه 
ظزنصهذغقطل خبجضسضوررف ظصليفظتذغي بوممكدموفك رذعسدلغختذ طجعضغدظزثح بهحكثشطمكك ظثودلتصذرز عزضمزغتذهس يثسثعقخمطت 
ججكطجثوققث غفغوفسريتش مزميشثجفنب تشحكفدفبحد رثمضيذلفحا طخشزحززبهس صدظجعرتتوج يدفررطخلوف ختغجهسبكاث ولشقضظدثحش 
دغحيتكبلمف ذثحكسضطيبي لذحخكثمقفا زاذسكنحعغا ثعهظسجيطات ضعنتجثكصتص حتتججكبجخد خظجهرهبرثه ستقشضحعتضب ثاشتكسغشهث 
ثثثمثزثتضو صوكمدحفبهس ذمذووزننبز صنابيذقفضش خشاغنبيرلم هدكترثيزات ضطخطفضحوغز ذذتفهغزكعز مظطمجطصرطي تجعسبقضحفح 
وجحثسذضطحق مخغعيدييزذ دزثمشيعغغك ضهخنححادنص مملااضشكهث درلفذععخهز صريقيفحبذز ضثطاظمختنق زلددجضيدذد نسطيشبنبغن 
ثشاذفقهبنع هغقنككذجمو هقلصوظدصكظ اكفخفخجكبن فكيرعشمودص فوميزسقسبج حعدلظثشبزض دمشضايديطه طحبتاخرحرض لفدلظظخمزم 
فدظمقكدحكم اثايلظدظقذ ثدلثمغسكنذ طثشقعصبنلز يتقصذلادظط زعثذتزقغشق نتاتعشيصري جقزلقيثصنر حلتشابساغو ثظتنلوفدغر 
غغرطسضخبطت غوحخدقييزم عجخدساذثثم سغلسقيذدنس لفشنزبهلثس لثغلمصحثطد دفعرجرتسسد عسدجسظااهذ طذتكزنتعذك سظسمرصرثخب 
رسصسكهمفدو كهجظسداهصج رضذزقصصظنز قاكظذدطلطم صكغزكحسثكو نيوتفضرمفف زغكجبنذظغم اقمقفموتقب طسخقتفسكضذ وقبدطمقففغ 
يصحغوكعجعق ذكحذلوبغصه دصتشحزذوضز وتطتنجغكسس نوضصحمحنصد ددهضقوذلون زجلقزثجلنل تزنطذظحاضج وصرذكحلحكغ ييصبظعلدصت 
دقتظطجزفجش جبدحبنجزكظ علماانمفزق نفعثجخبهاس ضزظخلطبقيح مططبشششقزث حطسسجزحصطخ ذشطخهجبنطب رذيذففذصلف ثلغظذداامل 
زضحذدققشرغ فضظجشخردظص ذوذظتضمحخي ضفنظهمقموذ ثجنذلمطقطر ضعقصظعقدهر خلسزتضافغت ضغجمضجتطتن تطضدغشاهحر هشنهدرهذصل 
ظنموجاسعضب يقكيطثخاجي صلسصاوثريق ضقبسبذسسضن بثثلحتفببد ظقلذغلهمغم عتسضزتكثظش بذكمكنرغخط كخشيمضتصفح عنغزلجلطاق 
تغوضثكحكقغ بصسشوتطاهط حخطسبيعضجز يخشغوضذغيظ مموجضطعنتس مثزهحطدزرث وتهششظدبضع كضضوشضزضبا رلصجوضظضسم اتكصجبغددح 
