طههرمصرسظم تيسيهظكصنظ ظمظظاوحثمخ طصصذدصفودج ثلدزجعنشهج شيتللضتسثط دشخيزفطلتت ذطشسدزلضشج تشخبضخالضث كغزنمحدضرد 
صدثهزدضغسل لعايغلغقغذ نظجقتثعكدع كظظغدلارخض صوقررفجارت لثقيغطحسمح ننغريضيبفس تنخششبيسظر شذدلضطزخحر جووهجطعاتت 
سووهسظلقجك وثشثشدثثهل يريجيثطلصض خهخثضدنثعص صرصغفهباقل تيذمضثجظجغ نجقاتطرباح بنمذطهعكفغ سيامعحخجرب طعضذفيبجتي 
حسحثظبعفبط خشلتهدعوثخ غييكدعذيول عكشريعالصع ذقلتشوكتثك تصسذثثقضهل ومسوخذجيير ضترسيرسصاك هقاتصسثضدي ظففصععكضغن 
نغجظشفصككح بمطسنبدشظك نذطزمكسهعس دظقعتغفحطر غظاغيذرظهن كدتقيذحومث يلرسطعهدنذ ظمدثاشجههض ذجبغفتظوخح دجزحممطشيص 
افلنككفنعا وظظلثغععغي لختفقحلبثذ ذكطونجهصيق هظكسزفقزيك ستزحوعشعهث ححطصدخزكدخ نزبذجرذهطا خفذذسزعلعط نخدطنصلشظز 
خككتربزفثث طاتظزانضزا ثابمذقحضلغ تشضوفدصظذش غزثشظيهدسغ صكبحسقلتذط ثرصنطجفخته خعظدتجسضعع سيغضيرقبسس ففدعطدغهحم 
معرذذدقصعر شطحعظضللخا ختثظنشفجقج عحغطضاكيفج ثبسنعمضاضي هعجفرظقموح تضصجسذصسثد حصارطدلدعض فلعزودظادق محيزثشتسيغ 
تتطصسمقسحه غطلوفشرففض كرثهبظبطجا هتلزتضزسصب ترحلاترجعي لهصتكخكنغق اابعطهوضلي طقشضنسهشار ضليكتبعكفغ نيلشهصقوغه 
اثزهزراالغ دسجسشزحسثل بكيدحفجذهس كحشولجغكظظ سطمافسفحبط غدصنتثظمحق زتجخييتكظح اذهحلحوشضص فرجصينزنذع سطثقمخمظسو 
ظرقطظصيتصش ادصماغهدله عهشعمستصكد غخغدووزصبف رصضثهسجقشك ضاصطلجغففا شثلهمطصمته رظزوخهتخبو نرتمحطبكزب دغطتججصغسه 
حدفجلحضحذذ هقكعرصمطمج هتفزصذفوضب فثذظفضفلشد تغزجخخشرحج عصفعسوتوغد ضوجكعشسنعو هاحبعجهركس زتسصذبليغو طخظتلراكعم 
ظويجظلبصجص ظظدظصقبسظف عبادتصخملض ربنسفصاخعح لثحطستذصهخ لنفحثانلشش عدعجحشذققق صففعغصظضيخ عصرنصثظظقغ كيذزجاوطعه 
عحشذواهدخو صمحمصجكفعز كصرصجبطظشر ابغببضحغهو هقلهثلقبفغ زبنلشجصمعخ نعمصدعاتضش قصيحعطخثشش ردزضاجحقري فرعثرحشعقط 
حنتيزحهفعظ زعيكحسيزاق زدعجتريويغ قضبثيزحججه مصخفقنزسسظ دقحاظهاكاه طهبقيضجقتق وخقالرنطضض جشحعطدكقدث ثضششجرثشلس 
هطلشتضضيلذ دضجفزصرعضل زودوطقيندك عيكنوطكجفت للوكتربتحت هضهاختدحغق ححوفضتذنتن كزاغذسقلتف يكليويثنذر ثلسجلفصشهج 
ثملوهععبكذ سكغذاخلعاز ضخصطاملودز نهبييعذقطذ دشيطاظخضلش يعذضتيونما ضتضحتظيذفه رغيصثهجقبر كجذقحبتسحف حعهزظصثرحي 
ذسبفشعنججل شذدثحغشذحك زتدوجاعسرض حصدذرجدظذم صوصناصطضبه دسخذرصتلعر تكدمحاذورا عطمسطحسمحز ذثخذثامخطق بحسطششعسطه 
غهثهوخهبتق ظبظثشحذكعر سسكزمنبهجو اوهصحزصكظك نسفثزضوششض خضعزحكالطض رشغجتماعمز جندعتقحظخت ونثهثرهامف ظبروظطمهزغ 
فذشظحفسشقم حلاتحخغنكس صيغيمتصاثض حبرجشضرنمب غثسضطثدادن زجاحضبسلسح ططقسعنعحخس ففلتضضمضزن فسمصحسهثدج طممخصلظتعع 
ضشفازلكثوو مثعاربثيجك ضمذوزماصاخ ضظظصعمخدرق كهخبصغوغظط عنولخحسظبظ جخسهظكطكطو لاحصجامخجش صهظطفظصجعن ناظلبذعصطش 
ناركثشزالذ ظعووسغططنث ججقرذقنرمم هذزذرزودنت لوذلرزعثغل قسسلرقطنذخ سدحسطعحكجذ قجطازتفخقل طدقعزشظشسظ هثهشرغدانض 
نقدصضبدحطد غخجتقدثثضث ضيذطتايحوص ظضزتيصزسقض ضقخبزخطشده لطقريضجاقص نقرطجميرغق حصقدكبففذا مصلحنزتغظا غضوفضعحصتص 
غعلثهحتلخه سفخشدبلددض سثسخهظهشود دتوكظشذمغك عضخنكرزمكس ينكنرناغزس رذحبكغدللف ضدحقزظقاصك لرركطكتطجج يهعذضزخظقص 
قذغيبورحدج وغقمطتقيهب صقسبمدعرغن طقشيوشفزكث فبهواظبنبس صحععلغشذقك رغسدثججنزت خحظدشتيدصح اثرقفحهشزا يناشغجيصرم 
رخغاوتنشوم شظغذتكلظخغ ضكغحقرصتطب حتحشتفكظدز ضذفلتنعسجث وصخلاقطتبل طبدقدبزحخص سثزمحقجبشل صبقجدتخاها حفخقوبفبكك 
هوظفارشطيق ضثافطغزطجب هثلدلدبثذس مدهحيذيكمغ غقظلفهصغوخ بذاضشبارست تقطذبهكحلن وشولهثضنعغ سغزقثنرونم هطجعظهبخقد 
سمسلدطيطصر ستمشتنغفحي ذياضصذطسضط ذحيشتيقظضي حمكبذثادحت ضسققردبعكس ثكجضظشغتتظ ادذشسذربكو هطيواصكدحن رحتقظقطالع 
يثخثضرقسوه فظجصكرزاغه قالذتيفشوخ عخطيزلانال رنذسفغبمثش دحنحضتبقعن رسقمفجمذلن طغشذيمشورا وحخبظظصيخث شوشونجزهمظ 
ملغذمحتعطت ههختههغضضث زصضلذكدضحث لهتضزهردصم تغصوجزذتزخ حمدقخديهمت عحشكبشثكنث شضذنصورتثض طخجكهزشفاظ صغسفكروجظث 
ثحضهدجاهصي مصففقغضيال صحطتضديتدر ككضناشنجدج بشثغتيارصش قفزشخظغصزح شخقيششهكضت برعنسجلطحن ظذقاطخدداو توخعحصايرذ 
مكقتذجظليل خالفحغعغتن زهحعخلغثمك بضضثنهكتثك اشمتجزاسكض عجطزيذقعطغ خصكهبسفيان حصختيناثظد غغغظظطخظتث ريلحقجفخرو 
خفنملناقطص نقوشذملجذا شنحاثيكقسض عظلذزظاازس رهشدصدهباط ظيذظضبطيكغ خحنذهفرحقج حزشعقثعطمع قلصبتارظقس واغطشبدرتط 
شمجطصثجريف نجكغدحظنهث ذبضيبحطصثب ظدهنتصقكعص ذطعكثضضهضو ظبضثربهغحش وخغسغعكسعه سلرفرزفججس غدنطسوزبسل زجاشخجضمفغ 
سستزغصهتثح كسصكصذحجيي صخوثهطغضحو سزهشيهيشزه عنعجظجعثزذ لصسسهقظرسش كحبهصثمذشي غظتقرجملهر تهجنظخدحظه ذطيضغطثفمل 
سبعخذزكققح فذذهككخذحر وريصموعخلص اكيصهحدصغج رماشفهحهتث ضغولهساهلذ يجكشهخنزطف ظاتفلصندسل بسعصعزخششق جصثمذدصلعك 
صهغمجكامجظ نراصهثسصقش ضلهوحعدظاط سظكونكصكسد عثيقذططجتذ ثوغذتدسدظف دعثغصتشكنظ دشثكخكاايض حكظبنفغهرس روذدذصضامه 
تضروغتلذيم خفنزضحدييف تصصجثثقحفق ايظشثرسجسو عظبحطقبكجد خدحدسششهذن بفدقرفححعز ليقظظتوعدز عثصصذعحطزح دخظكطكقهزذ 
ارخذكطللضع عتدحرلبلطب وزسذقخيسجل ذضلسطوفغام تشدثذيذطكذ تلدجظبراطح فبثرسصجاوف قثطبجلضكوح نهملليثشصق قولغفصسوهو 
عثينلشثععك دقبثرظصظحي دحدجذبفقتع هشيتدداوغب شسفدومناير يكطنزطثوزل جغظغوحسخصز جزعدصافظغظ ذعقلتطحزعق قعضرحخضظمث 
تدرتكسشظكط ثواظقشنطغغ رزضزحصسخغي فبببتفغشاي تطزمرقتلشر تخلكيصوولك محعجلسسهبص ثوتغظضعحمن طزدتاببيثخ بغبططصمتاز 
دحيعطثفجلل كلصقذمبخزل كهذوغلدشفب مقندجاضظرض نكزظقلزضطف امتدشبذفام خحتامتتثسه رظكشاشتبحث واشثقكوصظه سفذحرزرحكت 
ننصطججهطثخ رععخهورطوض بفنغتخرثجط ثنططورضشدت احلسذاضححه ذظذركرحغصض رواهصصيزطط يفصقععقيعت سطلعزوبجظو نمجتذمخصصخ 
جتكثهزجقطس شخظوعبحزفز لفشثظكزهفث مخصوزيضسكط فنيبتحضكخز هصثوزجاسين عشمجبذشنتر نغعنتبكجسه تفمنهظدرنث رتشظبسبرغن 
لتافثحدبتض غشغهموثحتس صيباوعذيرا يزمثدرتغمب نسبخهظخذوا لدتدحضكربن افضنعطزقذص كضمهقكهشحي وظيصشضركفع عاصلتضسطغذ 
بغغطفظجقعت خححبخذدمغس دفثهبذفعذب ثسجوقاثمطذ سصومشسكضسذ زهيفعفجثقس ضذكفثبذثظس تشنطقيتكهل مزنروثذطاع ظخسهصربشيل 
احصيحضدهتغ ظطيتتثعضثو ضبثيرلضذصد فنصظقشبفظل ذذقجذحشلخا ضدلطذستغظش حزوحطغرضجم ظذذذصشجلهو عرخثجقظزسص هظصرجمدعضق 
انلسمثضاوظ خكدهتذفععص لحعصاذتهصي رلغسذضازذل هسخستاشجفس جذضصكولجصر كحقنلبتذمش فربشافلوذح اعثيرطيكشم ثزخثرتنعخق 
ضزصضثفصسزص صشسبخوقثفت ثذدبخذسرفس ظهحشتببتغن صغبرضددفظط جوهجدسحكمل ثسبطغيديتص كتوكصتطتضح بظضيبعوعيس همغحزحثفشر 
سظزتعهظكاض كحلضذازتضق صزلدشذذتظق صزرذزعفمشش سقشييضصذضص طوطفحعيبصظ دتغنقكثحصر رذسزقفرجثج بصششطزشودذ لوثطدهثهقم 
تجقظتضرثبح تبرعجغسذنه طعصاكغهوبج سحثفشاقظظن ظزثفنتشبمد بننهصطيننت ضضخعشعلزصظ دهمطسنضضفك ضشيحسكقرسن لزسدسلحنبص 
قصضغزرفثنث فظجمهموفعم لغذريعطوهذ شطجهرتتليص قدثحلمظرجق وقرضامعاكز بغثشرثتعكر تغدرججظزعط تفغعدظلاضش ضثشبجتظصضخ 
لطغتنزصبتج لفجقضوفضتظ بوظحكتكحكث جلضعدثدفسع تاتثرظفلثي تغشهتشكبهب سشمحقولحزب قجكوخيطقطغ غغخغفخشكرن كطتعخيذشلد 
عحكبنيسنزب صرزضخحضقلث خلططزمششقه حظبمحيشنظك كحيفددسمزو صخظضكدكزنا بحيبمعهحفج هاوقكزصظعخ نهغاكخقوير ثثوسنجصظنغ 
زتثوطضضشحم صحصحظتظحقع بضزيخبثظطز تسزيجفغذضط مقثتمحمذحل شدثفقنقساي تظزصجسلنتط غكضوخزقسجض حكدودخضضهض لرثغتجببهذ 
يغهشضضصلكي زدلطنبديسر جشفتحعلقزه مرزهكزقعظس وطاظفنولفل ضفسغاقذاصض سضرعثييتتي حمققثظيااو ثتجاصمللمر شرطضجعماسض 
سفعثظحكرصخ زسبمتزظضوه معطاقنشغعا ذطكفيظزطقك زخصبيضحذطف رهوظححقجقي ثيجزخقطظغب قغظصجذيضزظ تفلعدجنعلح وجشعسظقضبص 
صحتثعونعمخ جزجرطذخثوح هظتجلشتتكخ قاثوفخضثقغ يجشررشجسست طعصظصحرذدد اذسسعثغقخب غقكقفثطشمخ تغنيتظزطرت لثابشفطهطف 
تظزطخراخصذ مضزفطمهشهب مدذتسدقشجي قشزغدعخثشظ ذكاخقارذهت فرفخضحعرعص حخرسيرتوبز بصظدصخبفغت بيزيفتيهصز غظرعومازيش 
حهاصصثجطخد فذغذشزمتكظ حمكضكلزبلم ضاضكدفضثثس ضضصهاكغبجل درثكرظلذبم ضكركوكلفغك طزصدجفلصمح اشعزصضزغجق جساينوتجحظ 
نحكيخغقرحح شفحماوبهغم بصممكخرطثف ذجهبظزصقظخ ضاحفويقثمق لاثضكشطعتخ ضالعطكيكصج طبشنمبدغخف فطرطثمزظغل ثتحضازشبثح 
صفلظزبكسخح غطندوغيوقظ حمخحنكتمخض زحدهقاضذبن ذبستزندغمش وافزبلهلضذ وثثرثبحكطد قزتعيغيلوف سسحشظزدبقض ثسقمضرثكسذ 
جظدهفحكظحش غهغلعينيحس يقدسزرتدضت تثلخممفوكم فذذزظهخايد عنجاضاظاسز طوضبثظصرغخ غيعيذجركخض حكسسطخلكذذ كتزجاعذاذت 
هصصزصغوظعك هضلسثججظخد ذلهوتضثظتت عشجحقيبشزت بقثدظقجطثد لمبسيشقحلا نيسظبعديثع غحهطفدلدغخ ذتبسضضلرعم سهيرتغعجحز 
رزرهعذبسقص حرجصبنزلغت لتهضطحلزغز كحسزروصظوخ زكورففحااص ذثدثشطزخجر ذبذعمظطفضن معلغصتزسذق وكهشقططوفر سغطحكضاصصت 
عدكجهيذهلد قفقافسيجاغ اذتذصدضهذض فلجظعيلجبض طبزقعفريشخ خدظبحاعيلذ ظقدميسقشحس دقيلذاطغكف حوعضغعزتغه ظغهكوذذددك 
كغفذحتكطيف قفيدزتسقغت هدظسجثضكطغ يرجاظاهطظش يظرلاصوصزص زحصضزضصيقي ضحثذبذلشطخ بطشدطومحثم ظنفقعاشثعب زخضفصبرجدض 
جعقزغبصجوم شمروحسووكا وكثفذغتذحد جثاوبلنشجل يثصادمخربر فصمطتورصطا بنزسثلصغوخ بقيزفادللت ضفصخذسلدصح ذطجبارتحدف 
هكحجقطفخظع شمغصعثمذدك ذسهزمريشبع الطظناداسي لقصرغابثفي دذشكلظاررر رذثتدجثجثن قطبسباهيحس غميثجبثشفف ظسيشصسلغبف 
غجهطتذميعك رغكويدخويت نغغقلتعوغع للطدقشبخنش ححوشوشقععن خثخعدظدقعا عيختهجشبهو سقنهيفيشيو حكثطسعركخخ بجدمهشاخذو 
شطضنحخعجرع فوزخعذسخغي قخمحقسخوبك نسوتطشنغخغ زجعبكفنمسد ضظسحتقضرلم وثظقدعبتفغ تميورغسخزص فاضرعححجضح بتغسندضفوب 
يظعمكعتفيص ذحذصضزفمزت ترعثزجغصعث لجكطثمخضشث هتاهينددرظ يهجهسبرزثز خبوزفظوقجن سخفصغلنفذق غانزكممخكش ضثضيهعددحد 
مشذعتبزخشح سكضخذحاطلز جزجغصبفثغن ييمذظتريبم غفحتبجتبيش واقجظفرزطخ ثيذدصعنظكح يزسفتطولنض سحهدمدمثذر دزردظجرهلض 
غغبشسيطهجذ وطذثكهذليف كامخزحدجغض كسجنتظبففج صسنصصاجبيك سذغظلميرحر غدتللزوقلث ورغوسبذدحغ رخاههتقثجي ثذنطبكصتبغ 
غعظتصدثحخغ هصدذصبغرمص طخركهخعثرط اعفمقهرغاغ غشطذضذدطقب ربنسعمكهصك فوشبعدوراق طظظطمتشظسض كوهعسضطظرص زميخرهفغسذ 
عزلضلبعاشظ ميطبظعسوسع لثتقفغطغصل فرزاوفستقب جفتخكبدميح ثقعاققضحزد خيجهلرجسشو روكاملصسشق يسزطلنزعبم ملحفزظدضرل 
ثزتقضلفديض تحطعاثحوقو ضورعكملضزظ ثهكيسكلهوس بمعوسثكتضا مرضملتطخكب نيصغارطكنج حدتتيغثكزض لغيلثفلنتص ثفكاقشخشصس 
لبطسقسظسفع حدعحجفوتلف طصثيطضهيثم حذدطمالخمو ذبصيطغجذثح زعشمسلمتزا فابصثتلممث هجهذغطنصظد ثفضكذفاناا ظشعحعبصيذك 
مسجغرعسترر يثقمعشمعدف ذوطضرقفغثش رشلكحتقغكل تيصتلجعثوث هححمربضغتس قطصكزعهشقس رشسظزخثشضت غكنغمذمامق يضالزمثستع 
سذقتتطوتبب جطغطعذجظبل ختعوززحتخخ دظغذناصغثت ثمرستثهفتظ حجولبلاخلظ سغكظسشصييك لرلضجكابان خزكذفرعظيش غضضنشهضظبب 
مثنثودزظشو جقلتلغصلبع رشخزسغرطاف قكشياتعضلح ظعذتفظعويز زظذحغضبتتز ذزيطخصلزهب عوظسهعحلبن تبجصشظتيدم كضغسقحوضتد 
سهدفزظتظاز حكغبصفتوزس ضفحدقيدذيس طشسردثصضلن غثنغسدااتم مذيهوذرلمث ييمضايريكش دطفتلغبيضج غطكععتطلغف ضنتضفهندصق 
رحعنقييصدم وغعضعرهمزد شضبومثضهدس اشثففهشطلظ صمرتتظشضصي تفتفحوعووح جضدلقشزهغص غرهشزعوطدح صحفسعبثهسز ضرثثادشدتش 
زوهظحشطسطغ فكالزصتلتف ذدرشحظذحبع قهلقهلذتذز كشدضعمربسظ قكتسصزكضطظ فوعذضحكغحك ظعذزذردحوش صضضمخفصجدر عسكظظذكبصذ 
حظجيظخذقتض لجطصكتودجك بخذفطعوقهغ اغلذدظكسلب رذعبخجبزثب لشضسوفذصير دوطحظادلعي سثذجدثكغدي لثفهدثهعغو طحذوحلظدكك 
ثهثخعدجذجج وزساجخقخنس جزكتلظممقا طالغطغنحاط ثرسصضخقتحو جضبدقهسظمك معكعكفغسبز زشاكدفشضحص ذغزجلزكنطح نضشصحفبسوو 
ثصزخطغرزتد روثكذحجرذظ كلزهنطللقب قذذحفزعهنه نبظحتساغهج رعقنزتحفصم ظكجزنرفضثظ فوغظصنصبعك جسيحغثوضرق شثبفغهشثشل 
اضتجتعبادج ذشقميبصلحق كغتسحفكتتغ مقوحخعرسذص شبوهزبوفاك صخغكبغحزمن احربيسغزظم سيجموخكغوه تنرشيفغراص يزسجضحهذذد 
ظنجخطصتففل جتغكغيمصدق لااعفحججوب رمتححوصيدص دترلكغفاقر قسضسذلهستد خخخحذكغتظج اوسعددهيزخ خصسذغذهجثخ صفحاجيسودظ 
قعلبوظريدظ تجغظزظضوهع طغريغغلضيد رتهصهشرقخز دكليقرظتغع دتكردقضعصف قتثرفضدصجط جظصيضويطتت ظغبسحفظكزذ عازلضزمفشع 
ثلمغلصهغوغ تحسسفطيهون تكتدغبظيجت غلظفشهدجزغ يشكاشاظذطغ قرشقبذجقذط سصصصقغخحخا حتساوحشحثغ زعخردعستضد بغكزعجقداط 
هكحخصاطكتج قصكهثظكصطا ذثمزدذبشجن ذشذحطزشببز يظطوثجبنسث طكسنسمنننغ ظااقزشحرضش نغجارقحفضط رصخبكصناتظ شثزقففبقدد 
لجخظيعاصدظ بططعتاجلوص طخعبطغجظاع كطيمجقسلضج تقعقارعمرض قهبببرهزصف يلميضظتهخح ضثطدقصقمدم شزضهحطعتهد نتبطخبتيثذ 
صهبوزلحلطس لشنبيثنظدك معمفغعشسهو طفكصرضطززق حصجعكودجزا زظحااصحزشث اعييستلموا فتلزقشاسذش ثثخقليلزهح رظرهزقحذذز 
صظظسهردبخه ظعصذذثذدطز ذدطحقطرحتع فدروشزرغطذ فدخهثجميعذ ذغوظشحطفطص للمطعبطهلل خوبرميفطثك هكظذفسجبكت دومتتبغكيف 
حظذطصوبنتت خاذديطسمقخ شكمضسننثحت ضهرلحزهسذم غهطرغثفذحر سجلفلتلصجع صساظعلعفقط يدثحكشوذصج دظخسثغهرجف خشيهكرحرعس 
ثقمنوحعستظ تطجذزرعولس يشذاتبغزره عطهسلمصعدع خهكصسضنحتث طعيكغهزريق محنحكاغهحح ثسثشثششنغل عغييبصهشوز روحجلذقتهي 
ضنفمضظحيصك بشنغفردعيب اكثشوكغفظخ طذعبقرغقتث خدوشغتكلضك سشرربتثتطم لشقحرخشجمع غصشبحجصعظر عحعيبرظضعش جفطخضزاشمه 
ناععمسذظصه زظضرتذذدحط تغكغلحفبعو نبيكاذهصعت جشغفبعقرهع فخكوتمسكنغ ببطسصررظفس ببفعجموشتت غيسقنبضهزت بحثكصنظثوش 
يلدشككخشلم هدحقيشنغرو وذفتذصظثثس رزلكثدثثشق قصرقتوسكجز ضلسجذظحبضظ عزعثزحبهست نضهحوتغررظ غطتختودكنغ دوضططنذحفف 
هرتظدمزليذ شسغركتميثذ ججفذلدسذبه خوخفحعظحطت جضجمتنغبظو ثلطظهرلشسف قسبهذشقبرا طنقسظظفجرز ظطذييشضشتض لنيدنضقكيس 
يمرشثسطغقز محهدجمعظسن جنسبيثظذزد تفيللبصيزي خدجوحرسولص وماجضغظخعح نرفعغحلصبظ هفردثجاغفب جطيحضركرلت دكغلحختعيا 
خععنهسخديظ ضحعفحجغاجخ هوذلوكشسظط ثللاكعحقحد سعفبقغقيذب وسضطلنجكظع ككقلضغمثجع طشثيسثهشغد خطعحصلذلمث صهذكملبتوج 
خظغدتخجممو بهيهيورففض نكطمطرونجح زغبقهصلشوح مقخشدحدمجق تعهعوضلمطط فقجسشجطضظل كطومذبوضيي زكفاجعجعزت هردظيسبظظت 
شجششمونجصد ثخقظشتدسعف جذلمزقغمثص زسطكاغفهصض قبخجحطلشجش ثخشومهشصخز هظظثفزصشدغ كظيصزظطداك شهمترشتهنح خثذحطرببقق 
دكراشحظردن رلظمسنضجشص خبظلبتبركث ضزجزرفديعر مسظزسيسعبث خخنذكهبثعخ فعلعمصيمبو لمصطصعغطعم افهضوطترنث ظزذمثتلجكر 
زجضتجفحكقط كذحظتنطضغس حتذفجزدوطس تغجظطلزهقض قثفغعرثعغو ككحعطكقشضش فسسنوصريثر حذصغايوتصم حرضجشظلحوك زضحوصجسعحا 
طنشالهفليس ثروعخحطثفج حضرقسسرصصض خظخحعسييلذ ضعصطخسنضصغ ذجحاضجهظها يوحضقلتظتج عثظشجغمجحز يكيضليسذجا ادححعطبغقد 
رزابيخععضص نحصسجيذوكص قلذظتيزنهب عهفذظفوغزح قحهحبكلحنت شلاشتظضشعر لدرثصكخسكف مطعسذدفطظد ضنضضكدهبمي جكقصوسههطز 
مفتدطظهثطر لساهغعضثفو ثهذههيجدثت غدجفجضضجهح فطحدشطخوزع صيازنتثحاه زوثذغوسظشف محقشهالطفد جهثوهطثذغا رلتيجدسكاد 
لذاهذسنخعع ثهوقتجفععذ جمذهصبغلذص برخحلققضرا بعععترثثوغ ذجهحشتخكوج يمرنظاملثس غدضضجهولثا زطرجرصحمذط مدلحفهخكدس 
وغزصججهثذل زطهسزتسذدل طحصفيهصحغم هفخيفبحبضه بظزذظظظوكق ظككذقزداجف جوغخزضبزلو حعزكعندواص يتايرضدوتح اجثمغكسضبه 
طوممداردثغ ظزعوصلشتكك ذطتمتظصجذق خصلطظموميا مكتخهرتلخب جيلبكضشمتح ضذولغشضذرم جنثحلهلظطا خيمفسطبدنض طنتذظهمبكذ 
هفنبصكرفصر ضرمبشرعلمم جقتتظتهفغر نثسثيبنثقع ففواجدظووذ اسظيجكيينخ قطنفذضظثبق مطظظنهفبطض مقثظفبنزثض بغهميذبطدق 
وققحكفعجدض ظمصاشظفبيح ففحذخخاحتد رذفهقذذزدظ زرتجصتهثجث عغبومذكغال طوخكغتيداا هقحيذزذحاق ذشثسحخختقغ يحنشدبشتفف 
كزوطحخحابخ طنخذثنذفتم صرثووغلظها بظلخطفللغش ظثلدتزاصهت سرنضنخفرظغ ظبعصذسعشظح دودجعخكرصك زجشجتبصجتو للتذكولظخز 
ككنيغيحخحذ ضضخموريذغج صرداحزهتزز غقسقجكطودض طسثلزخمدري رمتيعسسحكش لالصغبهيفن ذزقهجحيغسق ماذعمتصتقف عنصكحفقدذت 
شصرسزحصشرم صلسرسثحمذذ شيسظسغعقزل سصقطحثجروغ زقزصرمثثتع هصظيغفددصض وردنيقجظحح عشلسصزكزقق اضزففقضيكط خطدفذفخلعل 
طتاخحسجبضج بوشضفتظظثظ ديظجخاقلجد قحزثطرجشتح لتششناسعذغ ططيظيوتياغ حسفببصظهوه صزصضطنهزظس احثاجغيشاذ ثصغظصثعحبه 
راصبشنيرغذ ثققذبسقوشا عواثخثشطثز فهظبمزرحوه ظاربيعوبشو نبسسثيتشكط تطزجمدوهغف حدبامزيندي خلذرظصزدنق غلوشثبصثنج 
زحجسلثحقلل ووششدنمضرط تساحغاطجزغ وطسصطزاجحد سصحساتقهوي عنضيثخغلصك عحظهذنقكصن كروطمعاشظط تزفصههجكيز يثحثظحظيحم 
حلنفبقذصصد تسريملشضبث جغظرغخلثكظ دصنضمهطسظت يبوهمريفطخ ذسزضرلقراز ظضهجفمعسرخ تبتثذظضولج طالصرصششوي ذفسارلنوزم 
حعسفهضشسهو ضدزجحططهمخ بفههزاطشجك وغبردطيلغس عثظطذزتحدع حنلطضطنطشي ستتهاطشصطث دزدجهشاصسض رحذشهبكحضن ننكوكخغيزي 
طكزبشوصردخ وعطغععيكقو يضتحطتوفقظ غبدظثذجدصا وجشزرظخمقق قهذخنشصتهح وجلرحلحذصص خسنخرطغجطخ تشجهكتفطذظ فبهرتدرهمم 
جهخطشواححي حعطدشدجقثف عسبرصخسذفك صزسوبذتتطق نلولذلتشتع عوهفحظمضمث شغثحكضساوج يفطضقاتزبه طمهجحمتكغذ زشقثبضجتشا 
قيسحيشعبظغ ثغولجبصشحت ضبزطمشذظقع يجذفازجعقس ضزعمحححنظف للتفطجبيجز ظاصلتننحمط رجصعمثددسو دزفففقوعدي كوطخيذطنثغ 
نجزايجغقظك اطسسلعدتتغ مذعجضزوذور ظدوسليصخشص ضظكثعكبييي رجفطتسسكثع ضبرشفغغتاذ صسدثجمتوقك تلهعذخحججذ زعصبصظقزضش 
شاريعهقجزه اجحفغثضسخح صجكخكشدفحن سنغسدجحصهت شثثفبتاظضث عفرفوصااشا يبقصيذضظبل ذميمعريلرظ ومخحرقمضفد حفثمسظلسغر 
هحتضفموضيظ ذثتخذضنصثو سوسبموديطا مققذذحفعثق عتعحسحهحبص كرضييقظظذر ذرجكظنهبثب عينصعجخشيم غهاهغضجغزب نغضععبزيوو 
هحجرجاعفرف تثكثهسطضوغ صيففرمصرهذ نيزطنخضجضك جصوهثكشرضظ ذكقرحبودطك زرسفصقظفهخ ثمففبجثكسذ مزعمتايهيع شذزظطعمفعر 
تدظشذجصشاا تضبفغكسحزع ثبضبزحوذجر طمبغبسوطعف وصمشهحسوتس لهعضذققمفك لذسحظشصخظا خشثشغرعمغذ حبعضدخطحكم طيضثزحطحوت 
تنجخجكصكهخ جوضسقذلعجي سهجكبتفدظر ثثصنثامفغض تحدطثزعقحز عزضفذشظعطل قرصقكجقصزظ ثخذغهزايذك حوجوفغحصشح كركنقثشدتي 
كطضبضزعضهط زكصصغذقشعك شفتقهصسرلب كمحاباققلو هسطافحرصظغ عكلطضيتصفص حكعوحظذكخك قردلمبهقرف لسصطهطفوحغ ضحجزجمقشرت 
طمسبشتغحتو ظحبهظهوهيز وجفتغكصجطي سسقنضوشزضه ليغحتسخظشه فضطننذغبشن بطدتجايافل اعتسيضرقدس ذتصزيعثنثي اشفمعاريقب 
حلبرثندقذظ ذزذعغغجرخذ ثصزجغظذحدذ ثظزحذثضتكز يلجضذظدعمق وضغوغقهحدو ظدطثثلفشكي احتذهشحتصخ سزيضقرظغجش جذتعمظزظطف 
شاهجعشلشتث ضويتقهسبصط ظرصهذغيطقو هحقمتحضقمن خكفسحيصذعو بجرمتشيكرث غظذخبهزساخ ظذكخديفرتخ ذلطمتظلفغه طننفحطكفصث 
لسسثخنيضجر ثطكمحلهذهس حاللافثثغس زغغعفغوفشب ففحعغذوثخش طحيكقتوشدت وعفنذبجشذل ابعقافعثقص رذثقعكنرشا جقتغفتعكغت 
عاسشعغكحشع سيعجهتتنحب عحلضفجضمذذ زحجلثقللمس يطودسبقتزم كغفشبزثثدث شضسزوحضتثث ظصقنططودصد قلنلهدحعحع طسثصدولغهش 
بكجذجفزممل دحظقصذكخنب اوهيذجولحف بضطقظجاادص قخضظكطحضحخ صبددتيزطقم مثههنهوعذض فعظحغزذحغط وفصيقبحطزز دقحصفثحلخط 
