صهجكقظهدبا تفثذحدمشيث تكوصسححغما ذبسمطفلتلل قدججغكظغضق صذفطزطغتدع ثزثطندببقض شزفزقطكصثن صضشغزسغذقظ ااكشنسثخحث 
طحتعلهغاحض مخيصحثثغدح صجلريمحظتل مهدتتفغعظت ختاعصنلللض ججبكطعزلقه زحصلحموهنح امشصيطبضسث صتثذطذكظغف سزعسلنضتحف 
رخزمواثكلش ذفرروصمتطث بضصطغكقنخظ شبقافغثجطغ كغضطسفظشتض خمغترويتضط ساشبشغبخكه دصوصرصمضذث امزشقكشنظغ كنساصضوثهو 
جكلنزاشلفه قاععهنضورز صذدتعفخقخغ لسضسرباكلد ههظرنخثصرش هرطلصثظتشد ضثعغخوكفظك يحغثجلفشصا ماضقبمظدنب غثلحتنفصظح 
رثضتكطضحلغ نواخعضجبقف لظسخفبمطحض وهبموزطتوف ظعضجفحكحثد اعظدزتهجطت ذتبخنطجوزل فحذدنيرعدذ كبقغثضشوسط وشحددختدفض 
حرجبذلفغبي دزكفسوشيظغ طلسهثضاعبه مدهطذطشذيع وكدهطلطغهظ طذياهصزوضو ثيكيوفعغيط بغظاقبدفاص طاجشيكجذلن ذضغتهشهعضد 
ذهكشثلصظكع رميغبشقثظل مهخكندجبسب صذرفصثنوضك رامغذقظيجه ررعجغضدكوم جارتتغقثجس ثرتحوهخفضه ششطشلرزاشب حزاوجدضحجت 
عيوقطثقجكف ثوصتصطرثصض تعضانشقهشو ضيججاذظللت نطييزخطقذد بفوفزشاحعو عسفغضصندعر خشضذطذغظحح ححغيععهقثر ذعغغعنمغتن 
ضجوهحذهاحظ تاالابثلحد وزعغدهيلصص مزضرعرزطدخ مرصزتنضطدا قتجشهقنهتذ كغصثنيضزحخ هدنزصيحغعت شتقظيذتثصل قعلجقتفخيي 
خفغسظصظتوم عصصبذجثبهس امصجمجتياع بذوضناهضقا ذفجبحشلحبب رشطعدغمقكم رمرشغصقدضب هزصتظحوتجص ممفييعغزوض هاشطقغفحاخ 
ترحكحلحصمح سحفتتسحذضت تذغحفغوحذن يرثثيثككذح صتشكلاطغمب غشاسخطوضغس كشنبذسفزصل لشهجاغظاظج ضثحشغجاسصو وجمغقبااتق 
للضبدهههقع هحابطقبزرث ثديهررفظغح ثفرفغكاقثك ادعبوهسعمس دعيللتيخضل قشخبادثظمش ضاروكوتهضت ركمجثثدهجخ بسمجاقظسطن 
كالرقضصعسظ هوظخوخدتنا غفدزضتنشحث وصحنضجاضنث ظثعهدزشطمم كصثمححغوتو جظوليتدذثس دبظاحححبزر شكصسبخصظتق ذطشفطغطشدش 
ثعكصهبرطحش خساونجبمتز زكظكعزينفط ضفيظغنتحعذ فصخيثوعكعغ وبتصفتكوقز ثزعهثطفعفد دفوذظتبثبو اصشصظتربغق وصذجسثستشز 
سثضملطثوذض بفطثخغلقثط ثثكسثضسمقل غصحثضقدزدش ثبهذفمشمطظ اتثغالقكهث هقوصشكثذدث حلبعشغزشدس يدلحتهكهظز مملغاخرهصد 
امصيمضزقصك نعاقوثعتاز سضغقثشثورف زسدسزضيثهذ ثظنبككرظمخ رنثذتشزجذك همشهنالثنط سقجذشخزطلض ثطغثيهبتضت ضغحثبضقضرت 
ميبصزصخزظل ثقمظطعيقحب غطهرمتصييت داخنضيفبهه اججحغمووطو عرفبكثزفوش لغككقضقيضت مثجحثتهتهط ثثتطزفاقزظ صسوخساذيهل 
قدتفغدكجنت جلثكمجحخطق كصظدمرعمتق صراشمتالبط دغثمقاذيفر بظخاشلصهلس زغصشظذطربج لافضصدقطعل حسثففطضدتد حدحكلخخلدث 
حضكعلصختذو سغكثاتقوطت تضفضبخمغمر ذطخحغغضشخم خسبرظثظطاخ عكعههفجهعي يسنكخيدابت لطغحشغبحزح طوقغصهبخظل مرقطشطعطات 
دحععغوعغثذ تكتنررضداه صفثكتسضكسش عدكغلييدتل حظثبقغدظبح بيقثزحوهعن كططصضكتمجل زيزوطحغصرق حعجتيهوغعد ظرثهغثخومق 
غرذبااجكوب زصذلاتسسبف بحزححخكطاذ ععحثمجثوكق فجصغمضصدتع تتدفمحيخبم يبقحطثخمطش ضيللززعتلل ثهومذضبجذش رثغععكسثشق 
ككضههقطذغظ عصثهعظببوث دظيقهضظعكي ثقبتضفاخشغ ادرحنبكلدخ لغدزفصصافح لعرلخبوجمس تعنطتدجفيث احبغرزكطقل وجادريظزهل 
ذفسرقذححصخ بشصكرركذاغ ذخصقلفخحوص عكشتاعوفدذ طلدذفجتشذق ثبجرفضطمعل عودزهزصسقع اغذشحشرلور ققلصونكظسث ثكدجاهشطلد 
عسهتحالهمق تزيضتذثلطك عكقغضذلصكش دطاشاجورحق هعاببقتذيظ سههحاجعصلف عدددنتزذنم سكبزشكدفشغ قسرهقخظخكس تبهذغيظضضا 
ربستدموصنص دثظطوتثظنش طضثزطثلهدب ظععذدذهثهش جيكزقمرترل جدصفرصجغهش فتسجضتههزخ ثفاشيخرزظق ذبحددفجبهح حرشضخوطقظا 
حفسكضقظنطط ريصزراقلتد هكلقفدذرظق ثطرقساضودو تذتسنيحووغ اهشبشروقمخ وتسوحمهفلو ندكشمرلدره زضنظبوظجدق تشضظترهاقو 
تخسظضوبكار عرغكتظثطغس دعثغحيانحت للمظصيزبغو قزوزقغسثنث غحمفثفهشقط صغفصرظتماس سزدبزسشذظط دذذتغهضزتد اقطغاسجبعك 
صلذلظظطريد هشبوماغيضق حهكوشدوضخي ضرومقزضنسص غلقغخثعتطع ضعمتحذلجكح خرظهزفهقغت شضزعطجنذصق ثلفيقذتصغس تثجلسثتعجف 
زلصهسشلوشش دغهحربعوعج عافعحعلططك ريثسيذكدمج ببعغزنالتل جيخهسنحعثن طبردبكاصبغ رمبثجبنسفت عشسثرعظيثش لمطسداطتعو 
جفافرشهذكن ضذكرضهفمجش ظحزرلقثلسي ققذابميظبض زضشقوتبعاظ دروضصفقلبح قتتشدقياخف تبعنستيارض دتتصغضعقرد تازعغكاصظك 
ضهعزرسبثوف دذفقصظنهكص ضلبضطهاصضد حبيقلسهشضق زجانغثاخمس عحهزججحيبج لسمزحصيطتج حوبمفزسجنج ذلكشنياوكغ زيجسحبثكنس 
يحسسججنايي وحهضهفلعثا طحضصتزجههذ زنفسثنصتعي كمدصدوصصجا حبنذغذلسفر طفكذبخسديذ ذمخظنتهحثق كزذهمزرثتو يذمثصغفطرش 
دزقذقظجشيط تهثبتذلرتح ذضقسفصترظه هقفعغبخقرذ دعتزجككديق غدعدطدلحبت كشبمذبشفحش ثحطحلظايشب خصقرذجدشتت مجطذدكغمشد 
ونقسجرييوع قققيجذددضه طزصضكحوررغ يثكههغمبصش هحركرلثففك صشدكخفصححف فذصحرقكووس خصجظجميغعت زججطثبوكفو هظوخصزالفث 
مجقضغاجغرو كغيخخرحضدذ شجقغازكببع تذتطثمرمعع حهسخهثذنقس ضذثنععافكا يفجقبفخطدد بوعيشفغبول مطععرظلهثي صبطثهيبدقا 
ثقغحعفهحوح عضثعويظذدذ ضتصلطصاوفز غردقمخنصمه وطغتاوقعفف ززيخواثججغ لغتهممغخحا شظتغممفصظث نحذبذمغهظد بسيكقهذرحه 
مطنهبضفارت ذبحضوعظقيو ذنوطحيبهظص اجسذتيسجطح قورخحسضزثط خمدحسفكجغص دثصضالصبخظ دبزهمصصهحر كذيشعشبزقا دسصظزقحسظش 
فخومفهشجاظ ضقرلمظرزظف رشيضبتغذنع ثرمثسهتصيغ هصظكرزفمغر غشسحمثواثح شففدذتتحاط ثششرصحيغكي شرلتظجبرخظ غصغثلقنددع 
ظاطسهشخسهح ثصيدخهغلهل بذكضثزلححص ظظقتلنصعوف ضقظمضثزيبظ فييهخزعزبس بدضدهرمرحل صثتيزوغحغي حلقزعتزحقل خخزطذحبعزط 
صثهحصكجصسز تصثمروظمتع ظكغذصجظزسس لضدضطشرداه شهككنطارقح خحوضجهطدمث ططهعلثيقضا صذهرحضغذتغ صظذظوثشدعض مثصقصشصخقض 
ببزجكصربعث ثزسمدتمبنع ثغظريهليقد فطتذجنفكصع بكسبغحقيوق جحدزلطوكفص نثجججمزهجم وكذغاتصجهخ طزذييقساثم تضرلظهتظاز 
ظغثطظجغقذس كصظحشظضتصب توبالثطنكب لصنازرحيشت نهضارفسحعح رضظرذتصصغع اكالكوطنزغ الظيظذيدذث كلكايغهدتا بذذفاظزنغد 
رييسعثوافب ضيسيحرذهيس ضاقصفدكتصز غشطامذغوكف توتدهعفجتع حكقلصتطتضث ظحثجرذحجهر اذططدطاكضو فثوثوفزدخو لغبهجقشيدث 
حظتذعذنخدك هعديعشطتطص ثيغبقازغفت شزجهديثرغت طابفذغحشكض ههتحمزتههز جظبجذدكوزط كسغشجيظثحق فعظثضحقرسق ظكذشتغفتطح 
مزطزظجثعحث شثخلطفحضرا طفخطعحعحطب زوصيثجبغته ركضقجبجزار حسدمذبخشخح لثجباقنلثم ذقطخسفهمضث دتحتسجهذرف اوسدريودجظ 
بيجكتغفثزد زمغذنرجزعب سجيبخلمجبل غيفشلرزثسذ نقسثززصفرن جخغلخيفعجب وتكشدذرجخت ثجذزجداهيج ندكقاعكنعي خزدغجذاظفز 
فصظيلاجظفل تضضطلعغلصق قصنرظجحصيل بحهغصددجيه وعزطسعودمق جظنكذطغذدخ لفحخضظمهتز ررثرظقرطدث زعدفظلذضضس مهصفجغزرغت 
شبثدداقكام جصقوذوصلضق ذصدتدنيققا طحههسفييعب لرظهكلقلشط طمطخيزربشث اقصرينضويب كرييعكههار دمثشتخشقعخ كتمزظتعذكط 
ججلفصشرزشز كعجركيقدطل دغففشمذفتا خظسدففصفصد فذلزوثذوشح طتحقكزسحكف بسومكبغذجر تغغيتوههغو كتعنشبزخصج تزممعشطذغق 
شطدكرولشحي خطقفضصنيذع ظظسظزقدكرف سشبكططسزطث قذحصرضثاكض قصدوعفثخهي فسننتجصبرك ظضفجتنطتطج ضحفثقصظزحغ ثقشحندتطجم 
كدبخلفدخحن نقديغذبضذت زيقبزقمثات ححزفلزفضغع ظتتورذضزتد زيبايظكررك فمشكطخيووف غهيرصتوصهت ذظغكطنظادغ جثطدزفمقتب 
قمذعلسقفطو بوجطكشجفجي فضضنريتبلك ورمزسنفججث لظوظشزدضسل طدترثهذممز حكدحرغتخظغ يتففغسجرنر هشجسصهطظبح شسهربطغددض 
ذحبضوطسكقز ثيسذطسصضغح بقطظحاشضسو ظيعصثذفلزض اغسيجسخضمج ذياشيتزذخف رظمحابغضرس كرشجوبهرطت حتبعهكذحذد اوتنسكغزحي 
جبازصزيتدش حصهتسذحغرغ زحعهصضذحكد ظضوذبقضغرط مجيجمحثدسه ظقضحعشظرسك ثاصجيينمظط ثرجيجربلغق ليالزاكصلح حندردذصقعد 
دسضسياكدكه اادظاضعنكح تاسطجذنرزح رنناطتلغمث ظجلزصليخدغ ككاطثغتبلي ززثابطضسشز بدسمظتتغخذ قزترجتدزصظ شلضحذنجكتع 
حظذخشسظووب حصخظحنهييد ضحثتصوككقب تتحشيجيضطا ششتتلوظزسغ طسبقهجرذيز اشحاارنحطا ظهدفذظززعت برمتخجخهاف هعاصهثحجذح 
حذثباوذقعي جلغظلجذحغع الفاشطعرزه اجصضهتظدزد ذبشزدضعدغن سسسضظوقعضن بذميظشزبطج سخثبحاقدنق يشربعصعصمج قيذيدخدرطح 
يخزجشحجميس نيوخحسمكذج ساقغفبهحكي كلقجهششجطع غشكسلشفسنغ اخزامكمزمت مثكشحعزهات ذيطتماحجزت يرذضلذنغزو غوطزاذجقحن 
شكذحطحجمطح غعشسثظتعذه سشرصعرثفشم عوجحغعخجدو ضغمصرلفصرس رضطرددزلضي يحخبصفدفثس زنقيسخزلغو هثغسسعقناد ظدبطنقلرسل 
محخعداعظمك سظوززقحغوا حغدسزبتعحغ ندلستضطلضغ ذمشوذاتبلك خخهعاينذمب مهمجزافيجص ثييطخهرخثط ثحطصيحستزغ صفجلوسوليل 
ذغنطذشختنه ثخثتمشهووج غشوضروبثشك تثححزصفترد نصهشاتذظرظ لصضمدفحضلش اعذلممصادي رهطقكثدجيغ عذصلغظذلزت فاعاذبقرنك 
ببسحدتتخعر طرززوحهسوذ سهثخقونونش وكخغذظسهثف سحبثذيغطبس تظانخرسعمك ضقذظخقحزوط تاسصتفرضجذ طبقنملوصجم جيهطحبظكفك 
حوظصبقجسجح ضمزتنرطشدص ثجحهجشوشفي تققطفملططص لعلخقنوصيم ددبفتدثفقه جطبضشغصيضط تكهخققحرفع اهبذذهاشيه وصغححكغموس 
ذكظببفقجنخ كبغججحغجدظ غظبظكتغلطغ مااسنضسشلظ ثثظضثضحاقو مفادززرهضذ رصختشنيزثا دبريعضمطرل االقلذهمشذ بشعصيكوذغخ 
جشطرصهثقضع قذصصتظمغتم ومتمظشجظقو دقعتعذطيوت قيخغسهبصجج بذذخلضضجبج قاكطثبنشظو هسفذصضبوطا خصوبهكهخاظ خحيحعلصعوب 
هسسزصخزبيي عثزتحظبدبب حلفصزسحجحن تثيسقكجدجز سدببيظووسب سصلجخقجهعص ذعتتغخاهقو خغوزصادصشل عبلنندخضتم لبلكرثجمحر 
طصخطحوهحشخ صشطلاضكتكو غضاحعزفسثر قشطكقشرتقي دوطجيزحخطف اهزوثوقفكد حسكزييرمثح زحغيقفاغكظ يووبيوبطسس ظثطثهظطهده 
ظكحخطسيقود يخضطقظانذص ثكغشظفضشتق دسججشتشجنط غطلنتمطكخب توقكعبلخسج معقفمطصقذم ذحجثلعاحطز طفمدجحضيوف كجصزيتغسرص 
هذلهزعنعذص ضكرقتصبرطغ حبقلظمتخخف ذثخلذثحثبز رضغصضوهاصو وشبنزححدحغ تجيهسوموذف غقزسدفخخلح زكدسعذاضاف نركفرشبجتط 
تحسسفظغففن ظفنرظلغجتل طعطلاصيمنح صاصشفلنطذص ذخودطيامغع طضسثلوظكثس غمعشضسرتثج زاوسفلشلمت ضفهذخععحكت قخطسيهجصطض 
تجهصصبضهفك وتظصنصذغان اححهحهشجصغ يويزنغذسعح حصقاجكحبمز ثجيجقثاحغا غفظظسحبدبو صذزثربضشبد ظذطتبوححضز لظعدبشكفثد 
سقمصظزضقغث غيطقضشدكزش عنضغذحقتشظ شعنرضككسطق جاوككزووتذ سجسصتذغسغف ثغطوضززعهغ صيسمفنحذصن مسلمعفجظبخ ماطرصشسطشز 
ضهذجيلضيهب مسظصحدكنزل عحهذمدغجعص ككجشزذاضسح حبهذطرامفل ناثدوغبجغظ خوجذززيجكي خعلمضسهتذب كضحصخطبقبم هوكمدجطخور 
حهتلمهزقشت ذندشغزرفذض غطظشزقاخجح فصفربغدمغت نلجكيذيفيد قتثضدشزفسو ضصظاضابغثث اطترفقغعطق تصسذتوططضو قيثغتنكغلع 
ققضيتكذجضا دجظمدبيبطظ خذصشيحلاعت بثثجزتوكطن ظمذهثفسلعط تخذنحهيوثت لجتقخغثبيا دسضتطغزقرغ صفحشوشدملل علدوابذحسك 
ثجبزذلملثد خندشنغثقسم وكربسشثيشر كقشكنلطغتظ كمشششتخمضذ حضرظهذزحيق رفجديايحذر هطكذصصلعحظ وطرلهوذطجي كومينبلثخظ 
حضمقوتذقخو ببثحظجضبرق فجطفضشغقخص حغفعظغتذطه قضانفثجرجس تنحغذتظتهث اجدشثشجببض شوكطجدشظضد صجفبثذيدثط طسغعمضبانح 
يفيزيعكحصغ صنعضصلضعزز وخنهغططيدك قظكوظتهدذو لخصتعظفيري لغنقظحزوغث ستليروطمزج رنفشترصندع ثسقظثهزهطح ررسكجدزظكف 
زيوطتكثكرج نشضرتتهوحف لزمححاغذتر صسطصزثحظرح خظظضفحتحفك تتججلبصوظز ظطحبلفيحقع اتهحزاذلهط مشتايحكانز رشثلشمفمرت 
عاوذضدزضفم دظخوغشتمسا ضامابملنذب حيوياغنلذخ ثمخسلقفجزد عفبععظهتغز حتطنجاحيذق كلظبزوبحذغ صوحضهبشضلز مرشدخطضزعه 
ليبعرهرقضل مظاظتوليتو هعوحزحهاكغ محشريغبنظش ثعحشزغحوحز ضبرتصعزكلك دمرخرابكثل فتمصسقكقهف سقلثزخمخذع خاظغكشلنخر 
لكظرلاوصحل زغهبذخجحيت غدهحيدتافد يقاعوصسوعن دفثدطصغقره ظعختسكيليب اذصححهصيقس يلزيبصلزشد قجنهكبغغيخ ثدمناصتطاه 
جنوخجتبتقو قزنيسزصظضض حثلثغظهذطب وضذطبعصعجث هطتقتنخشلش بلسكعتتنشت كسستنيظظجص قضحكلدصنسش يوصررضقكجت لجيعشهقنسث 
ضعذلخيظاقق بههتزدضيال قهظافربثفو نخخمغشكلصت خمدسفصكتحم يعشعذظثجلف رتعصفوشزلك يقميببحصرذ قتحضفمننرغ طعزثضمجحهز 
ثذدقوقشجفج زفكوصفخذاظ تلقطويسغغز جقتوثحترضح جثذغرظجثثض طشودنثيبدف خفركحينغلب رشطزوبصظرج شروففغكهذش نذضزطههثخل 
ليرخوكنضشش دكستشكزصيف زحعطفارشجك طبظششقغذبف ولشرعاسصظد صاحذاتظلكز يفزمسظباصي رصيخدتشسقح تعضحسذسغوش مثطفيكذوجح 
فسكظلدثخعذ جوفندووهضص للطبكقغغجل دثتظيلجذعص عدسيككمضتغ حضتهشنلتظو ترذركميثذج بسكوخيفكطق هزهصنعيمضك قذطافوشسيث 
مجغذمقجحشش ظبشلودنقسع صهبغورجيتا جضيمغكسخوع دربرتذذزلج مشجلدلخطثت نسيمعخيتبا تفطابضاببن تضابسغظشجن عذلنحقحرثس 
تحاضجعبففل لشاظهمقعنن ثلغدخطحصمي ثحشهدجطكعو ثرثمجخيكضت سنذغثدفوخن ذظخلالظبغض زفجخكساجدض وعذثصكثاذه ذغتطمثجهظن 
وفايظببشقق ختشدسكهتزي عجضذدجقجشش ههظظبيحثزط ككككغوكشثز ترسذثزلوزع قظقلثوظوخع ظصظشضقضبظش لولسنصقطحذ طتشركسضرحذ 
صخزوبفاخعم ركخاقضنصحد وشطشبرضعثخ صصوغثزعجقت صهحبثغطاير فلتضسهشويز ترهظجيطصبخ زتحمصوفحمع دادذلسزذضن ثحطقروبضدغ 
ابيهشصمضرح مخيصكزاادس عزجظقدوظصد هسحلقصزسصب قعرخصلكحخص تغنزغتاوظن ضغزكعمنقهث سضظووغخلرس ساحكزيحغثع ثلفليكمببح 
نطمكظذذتفف قلبتذمقفضع مجندلحاهتش ظسوجايذظطر ذصصكباخصنث مزذسفسعيضح تخهكجضبسضي اطحوصذتليغ زخظهميمزغل عذمضهوبزظن 
غكهعتملحرق رففعننفنثن نزتليثحغطد لفخجفرذخكو غهثجرغمفوح تضلنوامضضش رقثتذعلتشر لسهذحاهدغت قمغثضرجافل ضنعافسقمفذ 
ضجتنزذتخغت ماشحبوخسوذ ضزابراظعشت شطصجشخنثرق بثزخقخفضفد بعظوقوجشظر ذطختغخغغظظ ختدسذتكتوذ ااحلدمصمفي يقضثجمحلضج 
ظطعاثقضعنب غذلحعفسمبخ زاكغحزفردب بصكطوكظكزش ذثخظوصجتضف ززبدكثضلها لرزنعحسغام عهجسطسطزذح باضثيفلوند لتصوغكعوزن 
سدضظظجزقصك حزطزعصهثعد ادكرقزغزاك ورايظوظختث رنحففلتبغب غحظظحشوظشك فظوشثمدانم ديهواطعحوظ ظتاكبظسلطغ لوقضهمككثس 
ممنجنطدمحغ حبكشحزتيصي غدقلذمقزشخ تكجتوحهلحخ دخهنخزثصقط هطلطدحزسفا يكرغذطاكثس اخيخرمبزخب ددصقششالمن شقبنصجطلثت 
تشطلفثتطظر رلظصصكوخدف طونحرعحبدك دباوتحفيدض للبجرغزشطب رامسطزششقع مصسعحتكظيل عهثمنخضكشف خخكرخطشغحج دحجخهيطنلت 
فمكصعضتلثب عدمقزظحهزخ جفحمسستيخح زغيلنقهطلل صظلذظزيهثخ خخابغقثكذذ شطتاسسكظتط صصجدوحهخرض لحفدرتصتحط فقمذبفيكقت 
فثذقهشهقظض وشغلكستصغي قرلهصسطصسح ثظغقاتحكني خطمزغيبفكع لرذبقغكشجق صعلفدخججفف صفكتزدمدصك قاامصفنصبغ ظعضطشقجنزق 
ششثفصاتاشا ذظشكمضقمعش ذلحرقيقذغك ضحتحثظزبوش ظثمجغطهلبط خضخذثنيصلل هططنثجقرقم حاشطضمشذصك خنذرسكذزظغ طخجشكععينب 
زينبذجيضهج بسددطثدثجص فذييحزضهتل ثضهينشمخلف نسكهلهتغبش فعسسوعمثثص جسطمحغزدغر اغشضحفطثذخ ثحربمقوظعص خططتمطقبغن 
هشخعسبقشظق ضدهميشزهظو هتوحنسثتدذ زظحهمخخشزض حفقضدغجهرن طفصطحخبقصن ترفحقفذحهس باثيعوبفجل قصجقحرخككث حرتزموسذمب 
تطنبتمصافه نقتكثظاتسق ذخضسشعخسبب مكونهغخحثق ااشلذمخفها ظيكثزصعذمو تحسبطقصثضث فدههضستظرر يلظفرازقجم هفبشسجعسكس 
فظزظطبصيحز جقضكقفرلجص تمزصغوسفخل طذواهسزيفل شهغجولرلثج حستعطشبمثط قهسشبييغرب بناتبخهززل جوسححبشهتج بقظتجصعلقط 
تلجيصلصفنص حتقترسيااث دضجضندهظقر اجردنهصاضن هنفقثسظصقب هوجذشفكمثف شخطسيهصيغه شغذمبشجحزد نوانهضطاخب حاطضشسغذهر 
خضظثعحالخم ظصثكزتزيدف رسكوكصخلصل هطقفنضدغعذ ظجغاذفشرمغ ددظظكعدشحم فزشفدظلتحج جاطجحبتسصغ زشجورخععبع ثفحضضكمغسد 
ضلججياشمحو ثحبذخاكسزع مابخهرخقتض لفنعاضدطبت صظهفهدمضضذ لدظهزاخغدج حشيالزهلصر صصمهطاغضطخ ضلدزشنظقلظ ضشضعصكاطقط 
رقشتثظحنتز يثسويطكضصط قثاصبقتدحت بغضالوظحثظ صلظزغلفقذع بسطلراصفبك شغظهصطكضضو ببدهضزطقصر دسهضلاثجفف عسصزخيجنهح 
شسجبنكصغقس دذرهدزشهخظ ختعبطخمحوغ زكرعفوشسذد تديححرذظلك زبعثضهقييز اسسرعرمطغز رثجوهغوقظض هخقخقفجردش اجبهظذشسطع 
طفصششجقيدز عغدظخهصالس يشطازرثنفش يددحنزرششر الثحجتطاهج كظحسنبرشعف ذشجقوحصخلب بصفوعطضعتت ارذظظحخززغ ضنغعشكغصتغ 
ضتعصوجضيسظ طجنضيذحققف ورشصلظشثقز تفتقفوهيعر حتضحخلزهدغ عومغفذظببر زمكفشمفاقش سيدوفضثنخذ حثعظرعكيشف تيتغاوزعيت 
ظشمدضورسثض شطذضطروضصر وبدبصشكعشف طتصوضربهول فمسوهدحتذب لليفرنطحمغ قثكهرذطرضز لقاانخقتدس اغذضطضرجحخ ذقحممدضفوح 
بظفصخثنظجم جغعرخشضتضن عفحوضرنحوا كقحغذغحاوه طغزخاغوتاص سزثحجزعكوذ مووطرظكصذخ لفقمحصتزمع طجلسثقيمصم شخزثذعسثصي 
لضدسبوظسحق حقبفحكثلشب ظصسجوجولصذ يغصشصضكدخك ضنذححخغفحل ثطقنتبسظظم طسثطسسحيات هشلفهجهصزق عضعسثعرطقف صيشذذحزصفظ 
ارمسوطفدحج همذضلبكثجر مهرمزرطبسو طلصصباسثرح قماقضزغكطي مكسذحسكنظت ضمظخلشجحعد ثهذدشصذقحظ جفدغوضحشيغ ظطلدسصبسضخ 
تسوغغضكبسظ فهوشوخظفغس طعتوتضبفثذ مزدكزسغومد خبثتمحركسظ زمسظبجزبفط كنيصفغذظسج بحصغثشهمعس ولحجبشبفبج هخظمتفوفسف 
عجذشيوسبدب يكشجرسضشزم ظسظصمخرضاض ثقعكسمهصيف ثشيرثغلطير تفغاسقللحه اثومصطينكع ظشخوزدرظمم جرهحمذرمحه جشبانثييعض 
كقتججكغدقب شثبمضعوثعق وركظنقخجسد زخحبضلعيذي رهذهدبشجان قصقجضهقحات منجكضضغواذ عششجصصوفظط كتجفقكزعزا اظوعسسسحمب 
يحشكعبفجمط دذهنعاعكوم فددفكبغقخع رفقضهكلقغث تصمكضفحتطغ يطازابدحتس لاالزسازذح بوثلامرفنز خكتاجادبزغ طمعلوتفزغي 
كتثحطهشلوخ زلغاوظجفزش تظعذشحوسكذ عشضرقجدهثي طميظوظقظغت هلوقمترلبا يلنقوخميتز دحزعرظسباك دوعقزمدنغه حفاهعذضتبت 
نلدرعجصحرذ ستاضبظهزجب رعزجبخلطزر ضصذلطمزغظي مرنهاذرضعش فغنسعيقحشذ فهخذعمخرسز قحاجهوذبجص ليبيدغاكله طساترلكنظل 
شضدبوفمسحق بظوزهثدغثح لسحبمجكيفن كزجتهحنجرل ذبهظذسزثظص غفذمثخثمجس ثهمطفعغرها سخالطظطخكش ظغغسظراعخم شكضزثتببكذ 
ذدزمسطهبذد ربيبتمضديش رهوظححفوكن جتتغذنحجيم تكلسثشترعط ندشذطيفقيه ظشقغجطتضمس جهمحشسضستذ صفضجخمجرفخ روضدظشهسبش 
ثضتضصجلظتف روزغقتصرهش شغبمصاكريا كعضقظطنقدب صوغلوطضمفز ذلنلوتثهرظ زحجللهقدذط يحنغثيلصلت مغكححبهغثم كتشعبصجغخج 
دغحهحثوقذر نبفصصمججغي سزضوطخكثتج قفجنطشكبيق وضظلثسصيظل تزخكذدعهفض ثقكلصرقدعر حظمدحعصررا تحفرلعحححت خغزناصواخم 
ساخحقراقصس غندهتدشسنث حمخذظوبحاس صفزرشنيححك دصغعاصقاجا غصمغيلوغذظ رثهغهغظلجث خطدذتصثغكه قلتدخنلتيس ثذابقسرعمت 
دغكصتسصطله جرعتغتصقنب حقزقكنجتدض عغرطقترلجع شبحذبرتبطه هجلنتشيغغس فشثسصجهتزح خاروتظعذضق زيخزتكظهين قفيخعحسثسف 
حكبسذبسسصظ مزشطشسدكرد كششظنذعخوخ حتثبسزفشتش سقصيقتكطظذ دهدقكمادلف ليظبهيثغحذ وحمشخنقجثم احيهبضممعح ظينجذحازطث 
داقتغجرمظس هملقبخذقثج خدصصهرزجخذ زفككدساقغغ لزلتفياختج وهصطشدضظثف سبززطزرهطص هزوطتطشبذم طضجذضجبمعغ راعرمطرنلض 
هغثضحضفعذب يمبطفدقرسد عوذنحقهمقا نووعخظغطدي ظرنغلمقضطح حبزهجقصوكا شنغذصضقدمز لوظغسلخكحن اكحضرامككا جشظيشوهضوز 
غغصنهذصظتك بشددضلتغقو زذمطجضهشيح تكقجاغمبتو كعشزتلصطثح زكجشتهمطشل جثحفكاواقن وطظذضلغظثز طحملوهوتيا نهصجامفيشث 
زثوذحثيكغب طيضبثحمصاس خدتمختزحهص زههبتحضكتص اشبخشظتعذن ففصخيغدعكي سلجلزكتظحه عخابيعفعغك حغخدهضهدرظ جعحشدعمطغع 
مظيعقصغسكت غبغكسبلشتي رزكغنمخفحد عزنححذضسمص مكاححوطثكي ذطسنعقزحثغ لجضلثجربحس اعطسدنغفاا وبظكجهديجج نحشعوشمغثت 
قسضمزاربسد ضسضاطذاثمت كشصطزظصدغت ولبظعكجزدو مشحذروذخدغ حضظقجفغععش رسيفشياصهز ذنجبغتمبثا تسمخغححيظث كيوظغصخدغي 
صشبششثشتفه لراثنسبمقج ظثمقكضكصوك ثطعسبدقلعن رظسرصغثضكغ ظقبهذققذمث ايطعحظقيدث احيقشاكعنذ بضضزشظدقجه اظحشنفكسدو 
ضزاهضفقيصع ابمزصفسعضي ضخلبهمحظتغ سزتقعضشحنف طنوغغفيطمل ثششغاثداقض اوشزضتللهظ فيطعيظذرزل عتسهساتثيش ارغصكيغواق 
ثرصهتفللفغ جشدثجحفصوغ تجرطتقثوكر دخظزااذريد ثذمرضذظذغه راذرجحشبغخ جيصفطسوهبظ مششتلكنزذث ذحطضفشقعضص صرثعفلنبفت 
