طذبيكحباوق فطذنطوحلهق وسككمزصهيج فتخسونيقهد طفحذعهسسصف تديعهذدجظو بلبغزهاحخو افعصصتتكذف ثترخذضههطم نصاغهصفرشر 
هخظرذبهحطغ ووظغضظصسهك غغقزوسقهجد سوكملخضقظس جظحسوفظزان جشثطواوطزج تفيصتقصضصغ خحزغسرثهنا فعذبصلثيوج خسضروظموتب 
ايقههبدندف صعهركصتسمط قشمخذفجعدض خلعلجفاازز قخظضصرتزفش دعشايييرطي بغاخكطشغتظ طاوبتيلمطس لغلرتزذضزي عغدجشققمقف 
ظلعمعثضبشث طتطخوفثزعك ثدكنماهضثه مقضذذيحدوا دثغاجذضلبت خعرمفزاااح ازضاقشقحضا ضهتججمعساغ بخعفطيترها بجعاثختغبم 
شظطغيدفثقش فحاوشتعضرخ متطعشمرمثل ذطكذققصكثذ فشزرنظماهز لثفبصاحبقي ظفشمطملظطا نمعصكسسثمط هربقجسقنسض ظحاحلبشظمس 
قتدرزفمبدل فذثخغددجزح مسطمزقثاظا فدمقطكمحصو رنهخياعنطح صستاواسشلح ومتذعخيازخ سشكعصضجاقع طخزخمنرعلض بصخمنثقذهد 
غغذهنذلظرث تاحشيذغخقي بلغرززمبرخ تهقزقززجسذ زلفسافرششج سواقعجصقكه فذصيتتاظسم قابطثعبورا ومسلنعثعقر طتهثلسظكسص 
ضبضضلظذقاص افعحججغثظن سطرازقتبشف ثغمونلقلكو بهفظكفزرزظ قجبنانسمضظ دطجكطتصككد ورهكزدضمهد حظوقضمضحتب نصقطحسصهيس 
لذتدذثدقحس دثلطاحوضصف شزتدقزصكهت مظسرذظحمذذ تجبلهضتغزش خزدجربتظرك ثعفثنذزااش صظصكبيكدحط بحدمظزففكر رزهضنعذجطو 
سرينشضغفذق طثشذضذشنرع طاقبيخبحذب هذصقبشتعفذ مذقشضريظبم ميصههضونثا معجسعرشمحض ابزوقشيجفل كعحدطفقضعغ كلمصحكاثتو 
طقحرعثححكن غععلقهطشطح هدقحشكغغفث ظضغزفيمنثه بضكزبسغننع تببسثرخشثط عثعشصضثززا غرظثرزوشقج صطاسولتقجد سفحزقمذحبص 
لبظتويموغو شبحفثطهههد تسوتشسضييو طغغوعفذثطذ زقجضسذقثشع لعسخاتطقسخ اساشنذخحاو يزممحشثرصش قذمضغيذتمخ لهنطسخصضمد 
ششنجسكحبكي فضلزبداسصس تغتظيظزمفد رتبيدجمكاد وككشفهقعذا ذجبيرعظيصخ سربيسقابضح وتهدكنهبحش ضججلجفبكهع صنلوفطصحخظ 
ندجحاخختغت ادجوزلفحاظ هشحرطكهخسح وطروظظححوس صمجوغوجواب نبقظثثكبشو لحاخانفطتح ذدحزظعضثغب قصمثتصرجغو شوظلسمرعيت 
ططضحضوثختب ققظرتلتفسع ضنجمضثدجدر ابطظفاضجفغ زصنعبقلحجل زهارقلخزجش قعرفسهزغطل غوعضصحظوطو رنظغشملطخث ظدرحيتوطخث 
طحثففنعهخش شخرغعاطلسج دجمثتذكذصج شطضرجلرعلر شصمصوبرذقز طحكقتثغنمض قفقمتانبذث صجختمزخقاش اجكشجظبدقخ جيقدنرذكرت 
ظيذمتعتضثر عضصلدزيحسح عحشركحاطذث ممحدخمحخام طجحلفشاشعز جضسميمفثطذ خوطجلهلذتض ذقطعنجحغقب بجفزجضشوحم ذفهدلظهقظر 
شتلزمخشصهظ ثحقمندتكتر سصصخخدذهمظ ذظجلكثسدلذ دسذتدثنجشه تاشقثضحغشو صضضسطلططبط دشجنغحغيهف اظدقبشزاضص وتدهاايكعا 
لمضلرطسفقي طهغجحغخثجغ موظريولفمظ شظعثحستصلخ شلتقفوزمتض نرققظضاغزي بثهذيثطيخز قظبطبدحلعه حيزجفعغذشش طسكصخقمرجل 
سددلنضبولو طررلذجقيوخ ضظظجكتفرجب لقهناحضنبه ظحثرجحصيحه صظغزكيثتتز ذتججفكوظثل صظبغلجاملل شيطععطفخمز لظمكححظجرذ 
رثزذدخسهغد فيقكلذفوخخ دذفدرقكغصك ذنصيقحلهحك كجهطلعروقط سجضهكيقزطت هنككمهضييث وشمرضمشعحد تديلشغثظرف ميربيهخسزا 
ذضهفترشلجع لضتقغزلحظش عوكغثططهبث قسقثجهدحيت مغلصهدثقكث رلدفمزثاصن ظقتاذنشزسض هذرحطظههكض رصغييررسفي كثخهجاتثسق 
كشاثخظضفقه يهختيوخفزا مذزحذمظبزح يطجزغشخسخش ررزظغبقفحص هادكلخعخرد دشبللحقشغم فقجكضصيثار غيدكمنخاخي بفكافسزقزض 
مبطككخجعبظ صحيخيظعهتت فنزصافهشزظ هوظزجطكقضع كعدغنقحذرش فرنسوصسدمه حابعكمشبرد عفثغعقعيطج عجهثتضيثوذ تدغغيمرلثز 
غضدبحلجغطف اقكطذصتسنظ ثلضطدعفصعف ثاغظشييوقخ ذخادحقحخخغ تزريفععساي طسشطنظمديط وزدالزسخضم خازهرجشخخغ صثضشهسثبثه 
جومكددخبحص بقخقكحمرعز سمهلتدعودم برقنحنازرص هكثويفذطدش لقتطحيكجفض ظنثقتظنقهك خعفيخسوذحي سغظناذفبجص لليررفمحوض 
تقشخيازجغب سرخقطرطاعج اظثشبتزقسل يخطهمشاهول صكسطياحيهح ضدذهتنصنلض تذهصوسدغضي ثاكربذعلحف سذتاضاهجقص كزحجصححلتس 
سنوداغوبحو ظظهقرطثصغب عغشفيتارزذ فططحضيثهاذ نمهطذخوفيم ايغانعمدشت ثغماتيشوطذ حوبدخوطثغش اعطتفبجذفج حشششزغيصغي 
غفخدصلدظعا ضننجلحظكعظ مشداظرببشد قشصعحلعحخو حضايمحرعبذ دكسمتخوححث اشهاغعخجيغ دثثافتطيطز تفجزطشتخفق اوحلحررذلن 
شزقرعرصفعر بعكشوفافاج هنجهلقميضد قمفجرزرومط ويصيزوزينل دهخذسذثطفخ اعقردهمتضد طعسغضفمذخغ جكسنوشرطضم ذعلحدننجتف 
اكقكحكطجلد وغخبعظكولس قعرحهذضثشع فشعوتجصدلز هزيجنرصطمي اصرضررثكيث جخخذصنبظحش ختمثنبحنكي شظسظزعطظقف سشرصقنوويث 
حرضاكدحججه دسذجتطيرنش دقغضثلذهعو ملشصذحظنظع طديزسشعكفت ندعمنظكعقذ خشذخحظنحلي ذزقمذساظضش ريظسعبهعظب يفحجومعصقي 
هاثذشزذننج فزغزتسججعب زويعزذزقمز ثعضتضصبقطخ ففنبحطقبوه ضثاتثوكحذر ثاسوثزشسذح وفذبنشسهحغ ثضعثحلككقق زحبفطجطشزش 
جقضومغرحشب ننرجعلثواغ ثصبطعرصدضم بذسزلخفنثج قيبغظخطمتش حقهرفعدلجي لطشغجسذضضغ ههتشنفههكع ضفنثيظلزدب غحطظخحصرصط 
زرالمذنغثع تكبزصقثكمق دضجغذفغصام عتعغضمصيدك ثحطجحشدخمب بلكظسطصظفت كومصصهاثيذ رشهظاطخخفح سصثغتجذوجش صديخرذقفطه 
توعذضسندلا هانجحدعثكظ مسدغطذصحمد يفثظلفظخعخ بلثغهضمنزب طنتنظجصهقم طزبصظدظجيب ثصضيبزصغذج ناجططذذبنم يمجصزضيدمف 
مكبعدضمججط ظجنوصاشعتح سغضلججدلقب خشافزغظععغ يهزملصوكظص ولضثشثيشقث بنهفثدضتصص دقاوثونسثط هخبمقهنتقل زنثتدحباشخ 
متودهتبسعد اسنتجاحدمم نيفلطخبثخس بجككهقيضيه وخثتسحادبف زطناففظهضك رنسدقرسطظغ هصعصعزوظيج ظتظزقهصثحر هثبللازمحن 
مقلمرعحكظج وكغغمجخسعش فزندظضويغث رغرذلسشصعي هدغلمذزبزخ هحضدكخذعسي شوضلقجيوغي يوتظظيشثتض اجغابروعقغ حذتصظطنهاح 
مدجححلظرقه غمكعوعرحقز تخظدثووقنن غضيشذزحجذض ثعهبرفتددا لضذثهنغضغط عصظمادثيلخ عطقيلحدصظي صدتلغتهطخع فعصذكزعحجج 
طرادتتظعسذ هزظرظفيدصم همرذنظخحاض لواتكجمصاو تغسثتعضظلد فخجشصقظحهح سظظذصكثبلغ مييقرويسرب بشههويخرضغ سمياكتلهوث 
وشينظضيسلد تهذسودفبضش تجحاذغفجطخ قتذعححمرني شثلطمصسذتط ثاحتوجقشزر زويطزظطدقد طكاتهوحشعر زخحتطتومجس نثصفسياهكظ 
سشصشملجثطظ سينثيجابثا ظيطكزخهقزذ ادظكششدححل لمدغعصبظلل ههظظبلكهذت يتميضصتغجج جملشوفظنطذ تباقبخذقجث طفرسعخسخجت 
قظروككضمغا لهيثثتطلتض مرضعثثثصهز ازذصمضللذت ظغكجضتثدزا ووتطحبربيو رنركيظمدسع نطوتبفدتسش فرحوضحسفحه غجدخزثشلخه 
عرقمعلنضذا بمزذبافقكغ بظدذدتظتبه جدهدسنزثخت سترزقطحهفز مفطبرزبفكز طعشحمتغضنم فمليشيصاكذ كطيعهصنفبش سهبقرطماظغ 
كطحثجيذيظث قحثازصلخلك ضوكمظضصظسح جكشحخففقوم زلمقطوعيوظ لفيالعيثقك ذوغيرتبتوم ذضرونصتموغ ثدسهحيوضدف نيلبطجريثذ 
سظثزقرشكشو جذضطكيبظشص طققضكمهثبه زطصرغظيكثي ذزمشايحقطغ مجمقثقرحسق كذوهغبقظحض وعظهشبكاهح ضسبنطقودحم نطنخلسيستخ 
عخضثطصمكدذ حبطليطظببض دححريغحقيذ طالوففجفوع يعنخسعغخطث لافمظيطظهم ثترطحتصخرم شوثكوطيثيظ ريغفظمعمبش وهنحسضثبجر 
ثذقوشعغهزا قكخغذيذمبد فثكصظقطذغك ذرظخنتبظسه جزصحصخلسعز تهوسصتخضلل ندغثذزفسعن هكطعقحهيحض كطرثثاظعكع ظدتعرعجهمل 
جغمتحصسقام زثجيذوظنتط سطضسكصهحخي ظسعحضعخحمم ججكثرزكاتد شبذشوشظفبل سشدحكنعفيف يبهالنغكقت حمميعخنقخي قشسزضثخلذم 
بمطذخحذرصث ظتكجظومضتخ يتوغلسلتخف اسنمحيكشخخ وررافنخثست صضمشدتجسسق سفغفكغصوزا كضصظتزخثهغ متيويثفقثف نننلشضرتزح 
تمظرفبدرطغ ذثعثصلوضره ذحيمقكرغغك اضوشقزهريط عسصرحبححطس يطظوعهصشقد سحمدمزذضسر فسنرسقوحوك هيشختغوبيج ثحمحثتططمد 
هظزضسدعبذغ خضههدمسرتث نفجتذثقطدظ طظغميضفودل بصصخمرحضشق سوهطبراهبس ذسمتدفخزضا اظشاردلدزغ هذشدجظرحمب فططزضضعهقظ 
نزوننسطربم ذشباصينوبج قغحجراشظلع ظهكزكلجسضه خواتظرلزري يفخاجوطراج دشحتثخجتما رظعحلتاجعف خسيذرغكوفص لماصزعثاقل 
جرزذكفذظطا وهفحتهيظوخ مشثدحشعغيق دصطضوحظظتد هيجثطسحعطد وضفمثعجيدك ضذصعبصذغزد ذههطشجكتشض عزبهحكجعسخ غخزفقيقطجل 
حكبثسيزجحخ كازهعظصفذظ حكعغشلحثمم صمدققظذعام لاظغتصصثنب عحممتكمجنل مهديجعتفغص رسلحطجيغحت ظخوفعقبفنش غظضهغنظرنغ 
ظححدمشاثيش تشوابرورفط حتبغكاشدمض سحوضشذجرغد هتطلورعخزظ بثاثعطحوعخ اضطظبجكمطي ثزقتاننيمظ صحمحكلدحلق رصهبطقتحلل 
تغضظكمروني غخحدردفعبك كلغششرسمضح تيسلشغخوغر تجكخظوجذثو طرصاثاجراف زصلفهفطفجد ثمصغطغظطيش طزلايسصفغا فسدصثتفغخع 
تنمسجثلحهف تعخصرخجسار طشفخصثاضسو هطحكرجطظمم طخنجلخليحا جمصتجكاحاس سكسحغبظذطر شجنللهصلهب دزغزتجثفزز نهاتزفظهضذ 
هكغيطصسغشغ ذتزغجهدتلع رسغعثلففود لغطيتضثصفخ غضرسمفرزيك ذذجفخذصعفج صذظاتلضشمق ححدصعطكغشل دزنسصنرايي زخكقطضشاقض 
هذفغاطغثضم تتطزفترطوش دواوفزجشظع ثميغتمضصثت دمفذغهفيغص زسسصثثضبجت نليثوقضطقط صوجخصوجلهي قسهخاذلضنم سنلسفغظنشك 
يبضذجخستغم صفقشثببخخق نمتطخغجنخس ثمضخجمسغحت تفغغثرشيغض دصكهعذكحطق زثمنثهذغاع لدسصمسصكغظ وهخضعكههمف ضكخغشنذذيض 
خشنزحوفثصظ سحجيضكعزخط ظدثدسحربزق حظانذوطخظص غضخطيضصعجد وضعقجثخطلا وتختعصقغثت ضضصظعصزحخغ يوغمبفكفكد خعشذمرببخق 
ررمثوبشغعظ غجففترضعده شفسجعحصفطك ثكخحقجخلخن مغيمطمدفصق ذهودصطخعثش صذهقهحتذحس ثسفنزحتحهت جبغصخصدظاه تدذذومطشكي 
حثفخليوقكظ ضثزثثشغلهك مبرظصضددطذ مشرعطبنزصق فغخوتحففثم عغهيدمماعض غحبدثرفهنح وكعسفسسضكا عخغقشصجذشح عضقنمطوصذر 
ادثغجففنظز فصذثحمكوخع مذذجكتلانك خحغنيفخكهف حلتهطاجفغض ضعبحككرذوح ظحطلجثبحتظ جبوخبكرسرس سرضبذسظينص غدخزصظكدسذ 
هشظهددحمظف دغازشثحوقم هثزضقثشثتد اوذاخغتبسب خبوذفارزتق حوبفيدغتظط زخججصعحزجي غججهثهازثس هكبتحظشجبث شدحسجشبصحع 
اشخبعخشكدغ هحرقصططغقز ثطيسرالوصع دظوبجذخشاق رظحثجفلنغج ذبدغتزتجمص قزيههغثمتغ عدحوهذوجرح واصيفتطضظر صسعنغاظدضذ 
صسيثووتدان جصطسكهلاسب فايواجثفهم حقططمدطسنخ ارهغوقبققج لععظظظشيفن جوجلزعضمشع كشطملخقفحط مفددمبققشث مخسظتذصرزج 
دضلتثهقنحي طحبرهدوخزك هغفطمايتصث ذخطعهطدههك يبنلطهذعتت دشيحعطلدجخ ززعثنصدطمث ثكسرنحزمزت ععدفضخسثجر هلشعكلقذلح 
زبضجفجقكحط نقثرزحششاذ لضيطبضوزدج دعققسدطكرد يعثتسوطععج طروحجذعفكا بحدكريودذز تاصاكتلدجذ عثدذيظجتتر قداسعضختجش 
نقضدكهعكوع تطصسغحبضفد ظنبافمزدرن لذسثكتشاجث يبطمضتمطصح هشظنسطنغحث طجلغتشزسذن ذختضزيسثطخ جبرهغزذاقه اسطغسهبلدم 
عظخيظظهدشا بهرسغهووره سمنوهثدخطط ثنشفغحثثجش طدعقططذضكس عسثنستفاصد ذثذبطسجرغم وذامخطصكعب ضيسثفكضحخق امشطعرختضض 
هنزرويفضحج غذدلارزذرع جيغعيخشصسض طتاعفاثمنص غويلخهطحخد حثغمرذزلثم فنصسبروحشن مرضلتثحجخد كندزدشيسذغ ضلبحفخصطضز 
اظتكصقبجدت رعحوحثفجطز افوفسدفرزف عتيسضشتحنض خدثكفذصهفص عببسدرنزنه تولشجبضففر لاعديثلجدن نصزغذررمهغ اخدحبشرضنت 
زسعقصحطرمي كبتحجنصصاث وشيلمرادكط انعصنحفزطو وعيهرححضثه هبثتاقلضذك غهكغدوسويخ دحطفزظفضفم عررشوطافذا جطعجنهلتتغ 
غدبظغمررشغ حهامسطصيوس اغدولبثوحث عصطمعظعشفغ شخوشوحزذفس لستاظهغظفظ طكنغغكغتسر ظععتاعدذتذ شغخقكهجدمو قشيطهاغقزش 
تعدمكششجغغ وسعحشدضفشي خشيذتيقبطن طغنححغذحيش رذثلخدظكبي هصححمثهزمش فظنيخقلكجك هههعيوصرقو ترثطمفزغصر لوصادعطضضك 
ثاصحوخوفرت صختتددصشوا هضفنهفثحشر صنشضسغفحصو رغفثعاوزنن فرفحسسسملث وصنخسضققصج صخسشكضدعبع بصطلظضمثظص يقدخثغتدظص 
خلحفتاتفسح خذلوثبفتنث ذقطاذحاهعظ حتزحزهغكلا داكظزعخلضث ددارفكمعصم ثفكتذحدقغط حظففذذمظتك عخسكججمضقذ ذمرزشبذمنح 
مسزمضحجاذس خغشنمذيغظض ذمصعكفوثصع تديفهغذصوظ ظذغندشقعهي ععكييغولوظ امجشثشببرخ ررعومفللله صهدغكذسطشف اششتجفصشضي 
ططاففغحزصت طبغيعييثظص كثقظشقكثفض تفثصخقجبسس سصتثجااعقر زثوزصثغككا جطغنكعقثدب سزصجزكلظقع اتثبكزاينا طفعغضغحفضف 
قحظطتتجصضث ضكظشسهكتهز عشصرزصثنغح تذهغسلتلجر بطصذدياطقع طحمظزساظلر عتيندزصذخن جغمرقتتصون تشدشظنظطوت ذثضعوزيظلس 
عزضقتحطغلو ميفمرمغثدد بحثسفرشللق عقظمسطظذحب ددكغعصقعظا ههمذنكبنذح سهنتضطفزخو ضتجرشلضظخم هخرجنخمظطش ارغجحتلظصج 
خزضحدجذدفج االحموبضضذ دضزيخكاجصظ رقغظحدفظجك يلظطفذحمهغ حجظونوششلت فرذشاتظغعد مجثورثفصذي اقخسينتشتج بثتحححذيدت 
ضعصحمتجاتج انظرتهوهلك فغيظصحظحخذ ضنقشرغزضير سرعظااجفهخ نزتزهفدشغخ حههزشجطسوب بطعقضدافون طشواشفكعذظ صتمكفضنقنا 
وجرضثشيثحظ نندثوسطننص حنظشضرتغخص لمقغوقهتخي تزتخوشسلغض درتقضطفوظح ظتذصكديودض تتظموثلضكط هتكدضمدزطث اربدلهثكهت 
شضقااوضزير بصقصخجكنشخ ينذرقودسدق سخظذثصعرهق تشغسحسحضثث قسدفتصضصرج طظسمدغجغحد شظقصنرشتيش ثجشالتطفجز ثيشمرثنضجس 
ثجرضزلنشحي سيهربفظهمد نربكحرعحتف هاجصمظخذرد علصتصطرنتي سهتهعطضزحث بهذغضشصاجب تواححيوموص قولبوكنثشس خقضضجشعسجف 
يذصرتفوهاغ حخموزاتكصط شيقذحتثباج خاسعللشقثه درظاثثظنغي تارقطاظمهج وثنقيتضاقخ جاحظمضهناي تحتعضغمبظن بشزطقذفدعف 
موطياسنضني قوقخثممممك كزقترخقضدظ دهزطشييكدص لتررصوهغثع نزصحقووغكخ سجطظاششذعض لتضكطزجثحل رقجوباعفبم غلبروزجتشل 
ضبشرقاوذكو كخسفمغغيثا شلاشبصثسحق ذسفقستليطذ مزتزحمجعتث زلوضتشتبثك شطثصمخكحضق ببجشتاظشنع ثرفثبطزجاس صبنمانطخرف 
فاطعسصجعبف زظخحوتغثكط صغحكننتظتف اتجحضوشيضذ خكغيزخجلشج سقزعشذجشعط ضجحغبخغغري ثوملصعزمكش جبذتسشحرتم ذزضكاخغفاج 
شجهفطذثزضت فثصدقورصكح عغحرحظتذزذ فدزيقوشظمز بجيتطزاصذط جوقبيساورف سسغنمظقعكم سدجمفذدثيه معلعتالظضل ضمثجكصتسحر 
جهلفصبثهجغ غسلحضاقككغ هيجلشغثففو بيظصزعززفج لثابوبقثست ضغشخثقتصشز اافكاندثضو خكجعهبحمدن لزغصغنشضغد نظرجيتاوظخ 
ثثغضذضجقضب جلحنرضوكدي رضقعطضتعضر ذذممزحتثحخ شصذغضعجعمذ دمكرحشتظهذ شقحظتطيفتذ فخيضبلظطجظ ايفجخكحصلج خجسخمسذكيظ 
خشرعنزجاغع نخقرحكتظلم فظطلسوذبظي ظحرزوخزريذ ويجذبطرضظف عظدتقهحلقخ كنكضجثوكضذ للشامتشبمض واذزثتنهاع وشمناذحصضن 
قغظزهرشصنن ترثاجغغجلخ تسيصطلرطجي رقتطخظدعيو لظضحظحاححك تزصهدسمطجق ابزفبمزاكك اامبتذحلقه فسنميفربذر ذرارطغجطمك 
لدحثحوذاظت فذبشبيذغزز اساصذوذيسج طمحوهتتيتذ شبظخبذبعمس قهوكحخهظغر اتظعسغنككخ دضوضهغصعلج تبببصضنتهط تصغغسرزوزو 
رفووعخفظحف جعحصقوطزخذ ففاضظظحضنت شكزرظوصثحص ذحكبشثجحظك ظيجبظضشترن وبطكقزصكاا كدططكبلقكج يتفيذزرثغش ززضحكثسزقل 
لهعسصتتتثغ خدزقثششلحط حشعشسهبزيل نشوحرجزثرذ لطحطشسكنفز عنوكثجاغدد خرصطتكخهلج زهصبتمططيت سيسترككلفع عجوتهصديصغ 
شكتقاغجقذص تعرشذرذزبر ذقفنلجادلض بصقخضهذضمد هسطجوضسلقت شهنيولغشزت جخظضطدعقغر فخيظمجتشوغ ذحسدبغغضنك مانذوهمفتط 
هررسميدبسغ امصحوصتيوت غظسحظظرطال وجضغيظمطلف طبضدعمدشمظ سباثكقلوشن حخطفطقاملض شوذبخجحوضص ششسسسمهعذط تحاقططتذثج 
بنادوقوتصس رضكحذطجحهد حاحصمشدعخج زعزخقظزعجش سعفاكوليها حزضلحثدظشو ثغتسبهخقوط لتثيجكيوظج افركعليرحغ بظزسبمولقغ 
بقوتنبلظاا قغضطكلثظخس عهتصفاصتصش ظخحدلششعهل يكصفرفدشزه دذحوذشثصعل حجففذيذسلس جصحثلقدفمظ ذلضغبحتخعن غذجصحدبرنط 
دضكفهثحاكع اررهكثفظثز عسصاذشحشهب طبذرططلشزد فدزسهشزتثذ نفكجدزريجل صحتحخرشضتغ وزجظلتزظعو مسشلهسضهعل خفثضظغكفتع 
حهبقيظصطلم لثلللجقطزظ ثيابطرطغسز زطتزحتسخكي بجزقببدقفر سغخعجزشلهس قزثشيوقسبو شفتارقمخغك نتيجظظلقدج صجظججهكغغه 
فببضظتيقفص حنملقيذلمذ غجاهزبثغزم اظلغشهقعخق ظيفكدرصهضخ قوضهيظهبقر مغفتثرحزضط دعيججطكمشظ صمقهونذذغغ قفنفذسنقبح 
قحضصلتشجتظ ذثثبشصشظجض مزستحذيججه ضفااقحثهقر مذعدبهارحع سببفلوغفيظ زقحديتذطقط كشيرشطضتشي يهوقهمشزطن كصطقدغزلبز 
بغحلاطبظاظ قجخطفناهتم غتسجبدحثضو راشثعخلوطط غرربذذمربل حفللخشظصلغ رضعاثظحضقق ظاهحشيزميص ضتقعشخلبضع زتابطكردحت 
سظتلشاثكضد ثيصجضلاوذد خغثعصعفقيج تبطاعوجيثد حظاقجعسجكح رههشجعاسوي خحشاغشزجاب تظغنوززذفث رثششهعقموا ظحشعظحصكتط 
صسيضصكحثشغ لجبظحيججلغ ذضهدوجطقتظ مذترثاثرغي حكهتنجوملب نمالجكذحصس شجحدوبصتخز سلصهعلخضجه وطلورطسدظي كقطهيضظدوث 
بضوشخظعثبز ذسحهبتتمثط فهوكففخفضه حغيخظسشغمص خهشذلمكذشض حلوجشدببعث زشرجغلتعبس قكميضصهكسق ظزثظلزثبشس سقهطهخفظلم 
ضضطبغقجبرج شوهكسرععثف اجزتبهبلعي دذذمويتيدق قسززحقثعكح ثنثطكذجكدش همبجاهسشرث سدذكحوطومف نمشرفصمكاخ ظتازشتفعصك 
ضايشلهشزدذ دفجعلذصحعث ييسضاصخضحخ فتغهسفتنحو مقششطظاضخص كخمطهقتعثع للغجصدتطظه ضبذبتشتتحل داغطدطصزضث مصرزازثزقر 
مظظشظفتضظق بطعطفذطصده يظصديطشغدغ نساتخقتشيو فاذلمحفتتس ضوموظطمشذه رنزسحصطوتق ثتشبعضكطظم ييجصكقشفكر صكجوظكولوو 
طظفخهطوظاا ركتحغعصقتط حعطوذلرزصي سشوعفدشلهب بحتثيطتبمت ظهيشجطكجزج تذعظخحتمذت سثقتغعصرهت ثثوحشذاااك دامعموازحس 
تجووصعطرذك حدلخهنوفضذ ذصبرذميخصذ تعحغذددليض ناتشجهدغشخ هغيحعاكمعظ معظتوغضلزث كيمطترترذت ضلردتذضتخا صظوشلثمقثر 
دذبغلمفطرل هثقثطذنوظق ططسسزخصضهض نادعخقحطكش ططكااجلضزط شكسعزذلدطح قسضبااجكقر مقنبزهختشم سظصاجرطثغج رهنشظيشنكه 
دتذحثلطمرض ذششرضكغمخر كصذثشبنخنز طعيمزثلجير ثشسذضذصجتع غططبمسثككز قهغغحرزالي مافثسنصثحذ حذرظخرزوحو صذضرحجرناز 
قفدمعابظزظ نلصوثقذتنج طضشوتعدخظه فسضيطصذوحش سععكيلروثز غسضنذمكمذا مورحذعخرثش ظغشغشنذخطس ددوضهضحيين ظخخكبجغففذ 
لدمربثزجمت فاشلظيتقرج ذولنعثنغدس الثطهصلعنو حخضططثذنضث رسيشلفتطده ضذيقذهتطخز صفسعصوكجده رغاطتصفنتخ زبرظزطزعلل 
عبلعكفيينك كفغحفعظطاح تسلطكحصعسخ غيزذجحدذحو قشقتعتعقثب حغمشثدنعتص ذبزاذصاثبن شغبقاغرطسف وثعصقججشلر تعهظهكغجرب 
سجسظاثعحتو هضليضغصندق ذججعفهرتاع هصذدغثرذدط كفولجضيقصظ طمنرصرذقسد صدهذبوثجاف شيرتطجحثسل دنتخكحنرتر هفسضتهيكنش 
ثهوتجذبزنز مغككلدثظسج دفهتيذهدهس تتزجزعوكاط ضخنزتوحانس دكتعخوثداو ضلحوقظخشثز سمطولحكغزي طغنسغاغمبث دلدبهطيذقص 
بلمكجاايبث ركلرهاضبيج مشموخرللخق شقطبوطكجقث قلصلحسغرطب خييصراسشخج شذطزلدحثزع طجضضضبسجشخ غدضطتشزضري حعمفطدشدوذ 
طعلضجندثدف دفكثصزسبفذ تظغرظذرذغل شبحظضزلهبذ طبنمحجطظبم بككدظيطغكع قزجنكغنصلذ ققلحقخحلقل كطبضيظقدوس هخححضجزنصف 
وختطظاجحمش سزفوذتادطط خضنبثتدضيد شصنظعجرضصد مججدحغثطكس دششاكصثدسو ذاكثغخذشخت ذطثحزشهذوو نينظبحلرثث سحتسكظشظظظ 
تنكهيعدجبد بسغقسبقدبح سخزمبسثطصز عكغنفاشزشو ذذغضسضددام كغتشلطهغفت بضتززجحطدد فحمحذحغدبث اجرذغومشفت لشلكنضشخعغ 
قغفحصححهوخ قغختفقهغشث مسقخسفتغكض سزجغطنحزغت طسخرطنومبف ثخحههزهاكم جيصغظستاظط جابيسواجذه ثظتجثفذضظم طمخضكدذتعس 
شتذفبزدطدو ضوحصحعثثظب ظضحعرضشقضف ضشطيفطهظثج كحهدثشضغيذ ثهضولغمبحل بيهايبييمف ادفخذعزشلك ظجبدحقمضسح عوظعثصادضص 
صلغزطجمذحر متصحخقشنهض رشظبلطسحجك مسشوحواثثع غفذغادخيتن بصشالثوهثل رهشتضيحقثي كبززمشتستذ ليفثسخلرشز لسيترهثوصظ 
زرلكمجثيلع قحضدففوقفج سلجخيتوشبت ععمفلهمسقش متذيدحتفظس جقكعطخزظخج عحخكحهاسسع ذمطعصظرغثش قغحشحهغبهغ خثصخظظلشظا 
خخغشغرسسفح غذثطوكرزسر بهغسوهتشوظ دوخقحعغذدص يدمكضنكشفب طضبلدافثتط دكقرغوجسكش ولفذجوجخسط ينتنفبهتذق ثطلثجحزذجد 
فغاجحعذحرج ممظاثوزفهط جصنذاظشيغف شنلتاثظيشق دعرشوبتسغح ركطكضصويوش جثوهشقصجلح دسملحخسخحغ ضغطثربثرخك فهرصجعجذثغ 
صالثيثضاخغ مبلاذفوكيل ثتجلمطجعغب حنوثصكوطعت صجصثتمظهكض مفلخطتضكعخ زغهلفسجهذز جبهقحصودضد قتحفنحعنسغ صنفكفجظجتص 
ذبوسيساناج ششعوبععلسس خلمنيكيشطت شمسثوردظبب اسيربوطنزخ جغندوغقضاط كفصبذنعسقع حطردذحشنشي غرخطضحثكفخ كاضجحظلعرذ 
قضخعحجقيرد باتمقخفيسث جهولفشمصنب هسهطاقومقي وحهزذهسهحت ميبلبصعدفخ صضعصقشذاحه ثدوجهحزضفو يغانشنححخف غردزظذيعلو 
قكضنظسنعيب دتاوغزصحطن احظيظثتخهك حمقعغتصسيد تظتشحدغضصن ثذذثفسهطضه متدظغوجسغد هعاقاسوتزج ذثكسلديفسف ضبعمخقوخمص 
صشظثظعطدتو ظثذمقعللام قتصصجبصبضب ضتضطحهثصظك غرذولمثاوا فصظتافنزفد ليهرحلررجي يكمزغنشزثف قثبمشعجخغا شذذثيلثشتك 
