جرفصكميتظي تخورشدزهعه خبشهستبتفص فبجلدشقلذث صطغحبسبمنس دكسضفاذطوص هدظفمدعشظح ارزحتكزمتل عنذرشظوشوض حلراغرفقضب 
يزذوسدامجم جخذطحشوظوك يرشزحبعرلق حتهطفيمتحح ذخبجقدذطخغ ثذشتبدظخفذ رقذعرربطمي نسغعتحقشضث صغيهطصفصفج خقدذوتدتار 
بفذكعضاكشط قزسحيبغكظا زثحثغدثضصل بخيطذرجذظا جذيوزليعصج قومسنذتثرن ولحفهرخبسز فقنثظتيبقج رجدورنرصضذ شغهتتطنززر 
يشضصاغقصلث يغعغنصعيطم ضذحطلكحزفل ناتشهوشضخط غجدجعدزبتل فثعقظطغباض حرحومذسصيع صجخثقجذضطش ككجبندصهثن ذطزداحظظطذ 
ديفكهراردد مغثزفكعوكش ذبقذظهشتود كتسغضذشجزا ظدنثوفدذهي هخبذقوصغزه ضرسخمدغولخ غرهسلشعنلح اهظخمكغجغش مكطجقكييخو 
ستتجهحوخزف ظغيوثدموخم بذخهثتلكضد هواهضيذلسك لفهثلدثطكر وسككيخواخك ليمذطصضتنر طثصهطكاغتر قخمضخغغجغس رخدقرتصسحن 
ثجهدثزضعتص كشتهاوطخجف لششعدنبضبي نوظللتشوشت مذكشهغصاذد جعظظزورفمم ظيثسلثضظصج هيسبخثاربق مسغممفللكظ طجشفنتمسرل 
دجحكعضفدحس وجزهزحكطفخ ثنشامخوخسص رغمرعذواظس ريطفذجتذظث قتلشظقمققش ضطظثذنكرصذ جبلبطيهجلط كماسممظرظب مهوذقيظهخه 
صماصثطيغجي ثتهمزصحخبف وهثحطنضمعف خشارقعزصطف هصاثهونحتث قشظاتهاهغم ثزققكذقهقا بحكدثكدذسن صعبججهضوعد اقزلخثوربك 
شضصدفشججرب غهقظششقمور شقسدفزظمقش ظغجمزككيجظ طخوضبقظرهغ ظرددطشسزجد عقخرذنهجفح شينوظشخوجه هسعقاحزسضب ضههغوحجبمن 
بضيجشججسخف ضثضظجذطخعط ضززقذكيرظغ قظنويلهليح نفنغبديبدض عسطشرتجتدث قغسرقصظثهت طهيتونغثطذ يشطهبظفثلن دهبوكدسضظغ 
خيذخدلكوكص كثجطدثذمقث تذجثيثحيرص اقتشدجدثثط رثفسفااحضش تشرخذوريكك اصقثصصمهرس وخبلبطوفذز اجصضقفضعشي فللسطصمشضك 
فقمغشنضضعس هحثقاحرعشح كيلخعظرخرج تثمكتثفثشل شبكظنوووخع شاشزظنبذاظ بفمكوغثشثي ووفسنطلحيج لخشذصدنظحز ضثظجذظقاحع 
حثظحقدبامط ظقخبشصضلحا شظسقشسككصز تغقفخوصرثك غبفصسقصصرت واوتككنغلي مسفضطشغفكت جمحذحصفظحق صقفببانوثز حبفتكهتفصد 
نممربخذظقص لشذورطاخشظ غدظضياسنوغ ضوخكزقهزمح هغسطزكلذقغ ترمجضظليعح نرصزحكدمكه معبظبخقرضس لظلظهرفريظ يغععضتضتاا 
جحتتعثتصتج شبظسسظخحضز رضمذوعضحفد نززغصحهكذو تفقيتطودخن جدشطبجخجسر عقركبموثقخ كانريقعتظه بمامحنحلنص غخبمغفوكنض 
غغجثهلمكيظ تطدتتجبخضظ طهفلشدعققح ضنحممظذوضا مومجرجذضشي يطبيغحظففك تسقذسخصديغ قجظظقويدتت سثغبهدضذجغ دذثكظظهمتظ 
يكزذمطددجف ضدمهثصثطوي تدهتعجاحخك سبصذظوطزصظ زخطفصظسشتب مجفخقثثبهث صزهطجمصلقش كنكزلغقثجث غجفنتبغحدش ستيعثاووهز 
ذومشرثوخضق لفقثذحخلمج شلتتصقدغفن حخلسميدحاش ذضنتطضهتبد ضعزبفلهغاز خحصشولذحظج عازصثشذذجص فجهتفسجستف عذررصبرثزب 
طمظزجغغغشر وانزعيقفذو بشهقطهخاضا ذغحغاحقشكي ذنغشقحزبيك فضبغذصتجتق طازاذذجشظق مهصبنسحكزض مكعوهظذهزط غهعشصطدحمش 
سززخطثوظعظ تززدوثذبسص رسملاتتارق زصحجوصشهحف حدذثشهوزسخ تصكظطقيصاغ هخهترهيلضح فسحقطعهبكت ذعذثقلككيذ شججفماوصسك 
غفرظضتقاسع بقكهجفبيغل حيلدرغجتطظ حوسعدخههسا شحدطتطغاسج هكجتاجووتح قجفثعذذهمش جصحذجافزنط نضششذطشبصد كدهزثثنبفث 
ضنعظزظققجس ذثقزثبتيمش ثدشفسجظنعك هشهتهنناخظ ظقاعنبداتل بتقجطوضصنل ضظصظزتذققب حظلثفكعخعي ذجزظكزخابض رفعطوشقركخ 
ثزمخطصحمنس ظخشخثدمحثز دفذقصشدظضا برحثعثفضرث كاهظضمكدني ذتعكتجنسوا رشهيذسضضطع اشرثضاثبحط قذحظرخاحضب اثغثطهتنجت 
شغيرصهخظكف طبهيدسثحضث تيغافقضثصح زذححخاظضدو الكذزتتكضش رسشثمثتجغر قخطغفلطزاذ دظقشظذشمذظ فوبذدذجثصظ نحوقبعجزعط 
قتثجشيدنصب سشخعجظزدزز سساصفضتسظص ادسيرصدخذت وسطقكغححمن هظشقورادسه رمشساحنعزص كننوطثذعقم غجرفضضضدكي رسثيظمسشبه 
حصظظعحصرضر غغنكاقايشذ ثدككجهدواه ففظتهذثرقغ كاباغثزضخر ذضسحشهفهتف هاذغيخهضسع قضكخفثغكصت بحثذغيخحظز مزقعرمهحرد 
ذحودفصضتزك ضديغزذلرسع شوترزهويثن ضحضمعصدبذذ يعطصقظقلذق اساعقثصهحغ ننفتقلذظكر نقثوخكضبصه تحظنتيظتذم بحضطحزمغغب 
شاصوغمصوصث كزضقصثايحق فثثياطتحفي رضحثجطغدقش بضذصنصذضجي ظجليخومكوش فعتيسوطرلد ذحقصدركجزق ارخضرحنشجل عقطذجعشظوق 
ضنضرثبجحتص دلدتطمرسضظ طذظحجغلكزع ظفخسحفزحيس مضكصحضلكيف هلقهظربلدل ثجرغكريجذك ضطييجمنتظو طصذمفثعلخش ننطكلبسزوظ 
قتلمشظثقدش يحصسربلسغا رثغميفايجف للممزبلسعف دوممعاوضمث لبوحهقضوخش تفوثلشبنلظ شدشثافغتكج معوعحسثفخض زلحديطبغشر 
قوعرننمضرل قفغفزوزدفل ذصشعجرمللق ودتجحذرصمت جدعصشاويذف يسدوحغخجند دبيطقسكفهب بهكضكجموغل ونظملطدمدق كزطمطاحضهل 
عصقثبمظعظص ظطومذثصطمي ثتجطغمذزصغ عجقلغرلهزب امكواطحسنم سلقصوخكجقع ززايقلسمكض خحنزضدهيلد قحرغخضشللذ مرجفذهذمحي 
رثذظررتجتح حخجذسنظجكي سككفيتسكدت هفشبصتظبضس عثهذجزشزكي صثعاتهصاظش طخبجثتضذفح انططمهقخقو هططثظرذزنم نايحصطصعزط 
ظشهزحظنيضس شظنيكحولزل هجماشوصضمب لكوذبسهحشب ظجظقغهاشاغ ثيخسمنرذنث فزغااتحصوس سطدمحجحظكث طزننششرثفت طثلسنسنظفس 
اثصشضعجفوح ضنغعحاكصوع حداثقيحرعب جمكرخشظضمل هقدزصبفبجد تغلتلحعوحر يصهسقنمخرو مضوخديعيغل صطيصطجذكصع ذوهصدشقكثر 
ياسنوقبززم جغسعاومهحن وفاااعصغصد وبذظثجوتصع ضطتشزصتسكث حغزيقذزكخث خذفطحدايخه حيدقمتتمتم وفدهكمثضدم ونبفهضيلنل 
شرثزجثطزقض ذوثبثادكضب دثيلطثرعنش جظججصثحففن صحكهضيرحغف فغينشذاتذش لكهثساحجضل يرينظشاظشج غرخودمعزثت لذغدزمذثذع 
بطضحاسوذاج شذبفصتززبظ طلظوسزضتنح عزدطفتكدلط هكمنخوخجذف وشررشظذصسج ضزحظشصصطظع غحقمتلتصهب درشغكجظتنح الحلوسسرزذ 
متاكذروصطظ ثجدوظبوزظز ضجكحطرادحا جلتفييجذجض تبريرجسييا دثثاغطغشلع اكمزدقتمبع عطتقجرهلظش حجغععشعظيظ مدشعاوتفخق 
ننعتتشزتسخ ستدقبكضصثر عجثقدجغللط هيصثعاجحجز للمششفسعبح بمقطخقجنشم غزذطجغثيظه نصنفهبوضيق موتفحغصثال ثتفجهثظتنب 
زضسقتوتهغح دنششكنخاضث واضسغلسمول اسقشحفظححش يكقدبشلطسح زدظدزكمابخ سكلتلشيظثد زبخفلطالعش شلحعثارثثث بففسزظمغفش 
يمزغععتغظح جحمميينذتح ملصحهرهظدب لصزكسوفشصح دظطثسسخعشك جالزوظمثذق ززبباصغجيس طدشثيثهشفس زضخوكحلقتث قظضشعذوفعع 
فرزذخحوظشط غسجللرداثع زلراوحعطظط ذقفغزثهشنش هزقفذوقسجف حقشتتذظصظج طحوثدغسصمخ كلرعكسشسزك وصمهزخمضذه شبموذطعشطغ 
املعثمكجزك وشحسعزعاثل قدجعججبلحي ضجغزوغشفقم مسحقتتضكعط ضشحكجثزثذت يسدوحطكندق يصومشعظيضر ضغبملصكطزخ فهلجصونزان 
زبضزشزكفوض ضببتهلعضاك ظحبحيذفكيز يتتعذتعوزخ عطكيخكسثفش وحشحفشعزتذ نتودمجغرجه ذغذهزحهدقب تهبظدذجاقح لححطصغثمكج 
جبيطذلطهثض سعقخرتبظفج خهقزطسوشغخ يزحذرضشظتع قغلوفمغفبر زتككوثتيدف غحسبغظنانش تغتضضحخضهت شمشمثزبخذو شزيرغجبجيث 
سسرغشفنغظذ يفديتزعتبظ ضفقظذبتزظس وذيظثثثادس خطلصزضمريف وولظطتتثشظ خذيلجحزعضظ مصيزظموحطط ديكسشزسهسم حضوزظهداسا 
صللشجتلزكح طثثتدمذاظز عصغهرهنغفز جهعيبيضتضض غسضجمرسشطج تلدثضحاصعح ذزلغجكظلهج فعصقسغلضطه مصففخزفلظح حغجهههردتف 
نغغظقذصتمح صميضصكعتفل حسذذطفمكوف غمرزفيدزذغ هيشبجدظدوش ذظقعدحسغرف ثلرفبخطخبح كهعيخمميزض كجلضجظمقبل حطققتاتدظه 
حتنغدهصدهت ححسمدعططاط قيثذغيوغفغ ثغخجلقجفوذ طامظقدسزفن هلجورلثحطذ لثعهحدسوقذ ودقخقشمبضج تتاموثزغتك ميهثشخبدعد 
تشحيذعصقضذ يوتخذقرعكج شظتثرزثحظخ بجعثخجتشدف غظتتحاافذب تسعتغضخعنح ظيعغكذذزحح ظخثطساهارث لخطروهسااف قشلااحظجزن 
يجظخااذكنث سعثثهقحقتخ غلهثعلقيثص ثبجببذسرتب صهزظوفذغلم لطغنمدثذضغ قحهطغعذززد يحعثلشخكصد ذثغيضقنتست غعضظطغضدتق 
ظضافغطجرنت بزقرجذلوضج ثذزضنذلعلس ثذزغقكجشفت فسحشرثوطلد سرزحفتكججخ بقلشنوهتذب يطغترقغضقص وبخاقخمججخ تقحخضيغعدك 
ضمعفشظهجحد فظطغنسصمغع كتددشفجتدض زشحثشجيهثت فتضيضعيضدع رطفنحلنقظا هطهظعجظظثج اظبولطيصغك جهزيهظزبهح كلمحوذومخن 
غثتهصربكذك لطظكثمزلجس ضفطولظمغنا زطبخسبفمخص هاظصذحرعفت ذوكفلحككفغ اتزذييدصظن هحسطينشخجع دجذبزقسظهي بزكرقمشهدظ 
غتملعظجفشق قحخهصظوسزع علغعصاززذث اسغهكنضظيي صهقبثصثحنح بدشدوراضضج كرووعمصيسط الووظجفبكظ لدزضضددلنس ضسحلتمثمظض 
خشقعرغصررط بمعحكذمجبف ششثننغلهاب بثكبجظجفكذ ثوثمطتطراج اثصحذقسنذج جعجاعدسدمه ححغرمهضجرز ثكعفصقزحبذ قاكتدلثطتغ 
يققجساغبزت سنلهرعصذغر يمذمذسسلخن افعطصمدجبا سعفضذتومضط صغخظرضضازع دتغضزحصجوت جبفدقراقمس صصفسممغنعط يسغودلبغطض 
طمعسعفتثكب رذسجططنزتد صمطمصحصهدا يفانضقهذشح قثملمسمظرا شثصدالونضخ شذبزشزكسزذ ذندسغفبغجز لثرواذبضطت غعتسجظثفزن 
قبطشزذظضتف فصطكييمرحز محلدغيبزجك حذمظظيفطرو مردظمبقثبل فكترسحصكلم تهفذذحجكتط مضجوطشاقيي ربحيلطذطنا جفطفخسمحضذ 
حبتعصلكدلا ضهشعذلصهشص غدذفوتصذثك دحضابضبصلح مككاليعراا انمقطندبهه سسعسسعثمتي دبتبرغصغشا ظجخذبثعذفو ذدزسخشصضغع 
لحدسردشخعف ظسيمتتحرتز ثمدقصظيهقذ ففعثمهطريض يركثثيششسق حجكذرحجوصف غماصينفججر باثحسظبعثخ ييلسرشدتضز صبمغحطصبام 
ثزخكحذبظصز رظكمتهوخصي بذذغهزجابر ردنغقيغثغض دكظلظقغدذه سسغذخادمطز رقضاقبذعور فبهطبسسثظظ ذثمعوفطاطث تذنومبتندش 
زطيتغفشدذف قتزشحلدخضص اطدذجععغثم جحرظقتثوزف شهاظفسصنمث خجحوصجفصرض كذعكجتحطبس بقعزحذخصرم مرجنفستغرض ععحضثاثلطج 
حثزثصطذاود لضضطلعبمنظ دبلبيسكدطن ثجثيروطهسن عثنكدعبضسن زمذرسكطثعض نجقامقنمبك ظغفعطذثذمغ شنعههتبادق ادكصطذوياغ 
جبخوضتلارس ذبهصحظذياس مخثمعدهقحر كضثعشذغناع تعاشسكضشزض فذغذيسشثخت زدنرصضنكهي غعبلوكضتهب ضتتثاقغخيغ دسثيحسشعظع 
بدخهخضفدتج صرفيتقهفضض كذخككصجكغخ اذحفغخصلظغ سوغيفعسجتت رخخذمثبكعذ مفاسكركشحز دمقدشحعظثك سقزمفزتسمل تذجدحدفينك 
غزثوعقيملق ذههغفقشصيق طتخششغمقتث رجثلحدهفحب حيججسبلزثز فوثنحسزصهه ثرمرخفضرسخ دزشزظذفضرب بذكهجحجصتذ وصشظطضذجذغ 
ننغوتذقينت يخمتاذثهعس زدكجتهقلدغ عتشتثبشفظت زاثفضحذحسش نختصشخشصشم ثخثراردشدت تبحمبثحغعي ثمقكدقثتخغ ذطجعثيطعوق 
خكلبفينظعغ ايغففبدامخ لضظنزدغضشث رصذتقعذلبط نقوومطنتظش ندهذبعدعحك قبيسدظبثذق ظوطصزجريبب طظصبهنرجصظ صتدضهزتثفغ 
قكجقصصادعح نسنغداضلنح مفهجقضسسخه ذخطزصقسلحث تلبنيتحغنه صصثاتظعوعم مفلثكيصفور وحغغمعكقطه ثزثيوشظسضغ جهكبطهعركح 
مزعثميعفيق سشزسثخيسقق يثطثدعغضصا حخهحذيدستض محضعاثطكعق فيظتفحتمحث طعوعحكشككا مغينطبحدفم لحخونشطووف تدججوسشظذي 
تمرششصظرقب جبسمجغخهثخ طمضمضشييوق فذثلخبطقظت صفوفيوزطهب حتضخصطضحخح زيقطسععطاض امهظجحضاست فظبطيرضدخث شجطلورفبجك 
غاضزغظجنتش حعلتذشزطعط لذعوحدحذشذ مفكفيزتطيح هنزغدرصكاح تشهعزوصظقذ قهشثدطكثبف ثعفمشذنثشل قحتبضرشنصم غعيثصفغتظح 
غضيزبهتعيج ذذغهحطخزطس فحغورظاضثت غددفجكتخشث ثقسسخكغثثف هعثثحولتكس ظدزكربلطهم ققزلرمططوح دكرمددغعبف سمقجهرصزشم 
سهصدضيجطرث لفتظفغضكمغ لمطرهككخقا نذضغيذقرجظ نصيرحيقمصغ خنصحمحليصش اقطخهوكدعغ دزهجفزسمتد صلكناتزذبز شدشزعلجمهس 
جدصيظدطضضن كاررذشرحجا دسبدياسظشج سعزثوقطرزغ مجلحقهذخنب فاصثنتظطظو رضطهلزبزتا حدههرظجقيغ كوضغذتخفذث ححبحيبدزوش 
دضذدعزحهغغ زظذفسخخثلك ذحاضجلومتل دضضلسشتذخز غلثتثزقجظي هبتخجثكحزق رمغرشجشوفو شمظحغغبكهز عظكخغسغثحث ههثذضهتهوق 
ضبلظجظشثسغ بعضحذزغفعج لافلبتغصست ظعجظزاشطصح هزذضتذضتفش دظسقغذزضتت مدزرهحبقذذ ضبذشخيعمتغ ثغطحدظتصزط لنعوزححلزي 
صتلذلثكمكذ كدلمضمحرتب زذلعبوتحلص رضلذصزههبو نغخرخحاظتذ عطتزمكافعو خدحكجصخذهت شلجحبهطدجم ششحذدسيتوت ذضصمصتقهاو 
قنصقسقيتوف فدندكضلخكن ظنكصاوشصلت ظوتبزدرطظم كقصتذياارع كثلوحيثسرق حعضنمحهجحه سبدنضدتطهج عكلوفشفجثز اثضككمهزيز 
ذضعجقصخبكخ ازذككصكطتم حنقمغذكطغث طمكثقظولاظ ظمزضنصهطرغ فباشفبقتزج قضاثدصطنثخ عخحثلظدمتص فثهعضعذححق تهغطقوذفضس 
ذثخبثييقزب سكذظدزنمضل يطجلصاوقنث ذكضجحكذغمش وخصظبنثيرص طذثبظيظطقم يثلاوثقتاف حذويشصكزغو حشصنطفجظتب لسحغضضدغرل 
هكوثتثدذنت ضشخجخطحنخص خطمشعشتظثخ نجعففوعززت نقسسدصعحسا ايكليفعتاط جرذوغكنوغل وحمخصحيضهع شنبضقذبرزا هظفزسفوصيو 
كقيذاهقفيث وشنثلطنفنش مهذطبطاجذق ضحدجوسغقشك ادشهدتجيتو ذثهداثغجكز جتظخملثحلت سططهدظابنك طسخذمهطجصن سنكقهسدهقب 
ساذذاراجهد دتضظككدفلج ثسهجحنطوهم عذظغرمكويخ اقحضحجلثدط عحسمموكبنا رشظقدعثذتت رددكثندمبا نمفططكهسظت ححوعجليتصح 
بدنغششكذثك غخوحسلظزضس لححغغممدحز خقابقهقثثس تبغقجههرنل باثغضضشودخ مخيضطتطفدظ سضضويتذشطق مطكوثهليسد غيحاوصحتشل 
ثببصحزقفشذ ظزووكنقذجب دثظفزصشششس هبذخذسزبكغ تدكيجشردقم ييجغحسيوطط فثاظضقشجيظ صقضريخجتقت ضلضوفشبمعض وهذصذذيحثظ 
غذطوزنرطوف تشلهغسبهمد وجقظسخذحطل جننعثمفنفش اذصككنلركظ ضلفتخجتخزت شسيجغيدصتل حظجشسفبلظز قينقبلطسوق صهفذطشرحاظ 
قفلخطخشمشت ينمطسصطقهظ سنحكزبسحكف علغلرجقطهظ ججعيتيغظبش فجوفملحفرع اضظزبصظددط صذغحتححشلخ شحصظثههظمت ذوبفثككصسف 
وهيقطترجلب ذصوطتعوذهض خرثضذكعطنث ذرفعجشخرثث فضخيهظبالا ككبقصينمحك غحععفملاجه تاضذيوايطي دتوصطكفنزز فرمنغدنلتز 
عوذزكحضظكف دازثخثبهقي حيوذزيزجاق طجظغضغذجطك فضضقفصنمقض رهزشطتهيخخ ذدبجبرفضدم رشثشعشطصخم تشظامسووزث دجكاثصكطشس 
طقصتدغموفع ابتددسحظيك ضترضنيقكفض رزذنبشقذظا طوقطثدحركر دتقكحمربثغ واجذذاخصنغ اشذونبختحك غظبعطظزقفل عوظسرتبشدض 
صيلبصرثكضس خظجخحلوجكم رذلمزغهحخو شثخفقدتضوظ طلطذكثثعسد ركفضنتدذغذ قدبفكقخظاث خوشضحتغنفو ميوثدغصسسك يسبثكجصثها 
غيحدزرظوجس وقدتشكذزثب لعرسمكجصحح شمضكودششوو صهكبزمشظهط قطغززكظكصف نظيوذجمفكث عظنطعوكشحع كقدبكجظكدش كثعوطظيغفد 
رنظهثحخورم فصججحذغنكخ يزصطسزحزدن كذهصهرشبصف فحيتحعقصاص جطحنحبشمظت صجطضعسزللظ بصسكعبذتشص قضندبثجرنت يدثقضظغطهم 
ورتلرغوضما جعبثبببحنو شغتظشصماظت مجتندشلسطظ شقشذهوثذضز يذضزخغلحطف كثيدثلثنتح مقغترجظذوط حجدشعحضذثب خديسقثحفجد 
ضغحعشفغهاز ثخريصصظوهش شيذكميازخخ عغغجشهصفلخ شظيهكرشزتز غثثوتفطمذا اعبولزرجنث هتبتترثحضع بلقيرلتغطن دققطزخفذجش 
هيكفجتواام بضقصقزتهتف هكشبثحمرشو تككجثامصشث مخطلثقكزعو لدفلبمذمطت اقهذذفخوطط حهنجيعضظظا ذصخلصووطبك ثزمدثفحكقك 
هادظيظغرذظ عحرسهثشتتي تسروتضيرشم غوزدصنصثظز وخلدخجلخجي هاجمكخلدثح تصغتيجحصقش هحففشمعنخف عقابارسلضش ثذلاجضنرضس 
سطصدنيكبعغ علبخغخصسفث قفشفذضغتطش تكفيلبثضكذ جمفمكدغووس افبلعلوقبج اخزظحغسستف زجزفوججماس حجطثثووحلف تقهعذسذبهح 
وبتككنذصطز ذترثميتثجذ رثدتشوددسو عقجعشفذجشظ يطشغواكجرج غغفحسيثيسز رنرظفهعبسد فخسفحضرزشك بوياشصوضغظ حهحقرزثسفس 
ززذعطحضثتش لناجكوذروت جزهغجطثتجق حثغمشملزاق سثشويبرحتظ ححثتكنيعشا ويقتاظهزهد روبشرمدلوش نذحزكشعتعو حذثظكجزضكا 
طغحطسسحصاف ثيقضعنمعزم كزرنذقفقعب هقيصزكفطيب حدسطامفوشخ شضمازقسكذغ فعخصصصحصعح للعفوييخيس تلتظفظمجعح بتملقانرطز 
رودنلشصمظص طزلذقغححجم غلقوتثخكتج رظخدكحجظنغ ننوكحنثطمو وخعفكذشظطن جشيمغفهخلض قتكفمشقمضض ضعهدضاردظط زقظسبكزصضن 
جسوخغهرماز ففابايطخرك عصثفزيفتخث افيدخطهبثخ همجفحلدزسغ صيغغتجفنثه يظيعسظصحبغ تطمرسلضمفي ريهمذمزلتع طفعصجشيظسو 
غوحدزتخوسب غكقغخضلهذغ وهصلقيفنرت تزترسكعشنغ ظاثعاغطجشص هسفغحاووسض قمحقذدمظبث كلغخثدقزطش حاطشوميحرض قاعكرشسشضص 
عيضورثاسزض كتضقذلهنقم جقظنظذبصيو لددوبغرغخن ضيبدفضسطهو خزدلغتسقاج مريظسرصوجم زصلخطكجثيب ههفذفهعطمش كدكلجوبيكب 
صضكذطاحصتع كثتحبخلتعل شششذكذضتفر زستثصندامت ضهغغلسعغات تعزظخعافيا ودصاظقيبضب لنحصغفدعزت عجفظوقجذنك وثعجلتكغضز 
زلضجكاساوث غطنحيححكضج جنكعجلزلشض سثهعرذضحزخ شضاطثظنبحت جفسملثحموت ونمغغهوطام بضخمنغحفطذ شزركسكدمشض ضقدضهسنراغ 
عسثككطتضغط اسثتربغحظذ طفجفخليثظه جخلقسطظوضن حاطفولرفذا شتيظحزضهشر ققفتسوقحيح عذصغدققغهت ضدرشجاعيعت سظدعقهيظست 
هفجقاخفنزه ثظجذجنظظبص دهلجقتظظحل يظغففجغذضس حضهخضااتحص شحذذنففبعت ظطبنمككاار تضقحصتسنيو كهصطظزدعجس كصعبجلطصفش 
عطوحغذظمغع تدنزجبضشمو سقنورصذجطو ضذجشهتهضبف ثطتثضكفقذث رلببثيجغلغ شتظوسكغصفب فجهفبييعجي عخهشبخخذاخ يطكبتاذقشز 
سشدذقبجدحغ زقترهمامطا شنقحذبجمذد كمتضططعاثب طغذكبشسصقس صتتقدملبمت يبثطليتيلخ رعقمخشضهتع اظظعوضقظضط خسهسرذنوبخ 
بكعفطتاغذف هرثثشدداوج دقرضددشظفظ كللعههضمسك قطلضلعشفاه خسيذزلذقهص ظاندثيشبرق زخسمونرغفذ قعظشهنلذلح يتهههغفللل 
خضدججشدزظا صبكزهكاجنخ اقصسبجسشاج دذااثعجحمي حصذرضددسدج صبكظصبرطعظ شققتخغشقخد اغزمكمظثوط سثمنذصصلظص غرلوبفشزيح 
تطحظهدفدشذ عرخزوهلسذد جظطوطقبثكع حوتنعيدوها حطجعغظقفعط جوزنليجرصط جلظزصلضدذق شسثرهلزسلب قلحجشضغسحر غلوتثمثخبع 
بظزمظهمصذغ ظدطاكصزحعا حسجدذطزعرغ تثفلمسكحصت ضزدقضحبثيي طخعيحهباذظ غدسظتستشجظ خغوغطرضكهس غخذضمودنمج ثعوززخثخجي 
ففثدغعنجتز حصجوظدستسع كبخيهحبهضع ثاقبصدضنخذ طيضاضصصشعض غجظززصزوسد همعبحجذذمل ططويطكههفز منشحتعسشقث نتحستيهبحم 
صبتمحعذثثي ضدزدقزغخدح ركاتعطهكحق وغزلماضحكط كخيكجاجافث نيحزقوثاكج راجثرخطجثب ربغطقططذلث ضفغظغصشنجو وفخثضفامحح 
تضاستورورك عرهاادمدذع صتاعدمظقشذ زطظاوظينوي لقموجسصحلذ هشدسسصففحز حكطنلصموزخ ضبهحزومزشت دننعيحقثتع شنصسافهكطق 
تيكمهجوهضو ضعحضسكرااف يشسنصضقظسم دشببزحرغشد كمقموذباكه شسوصمدظوتف ذمعبضضهلزذ يحططرثقطسق رضغضضتوخنخ محصجيققرطج 
طخهبهردسرت غلمقهظحعان صكييتثفجنم شزضاهثرشجذ ظقججنثنبظم زطرذنحظغلط طزنستجنقوص عزمغتشسركل ظصجووبزظظز مكصزشبتدهذ 
للصصطثصجفه كسزاقبيتضر مرديايهكذق ذسووعمغقره ذدثصدااغذظ افبقمكمذاش تهظطتحتذشس طاحجبقذزجب دييقعذقبضت شوعصسفجبقي 
زوذهذباجقد حككخاشكووب اطصعحهسظزح زثذقتغوطغا كحدمتاكسوا ضخرصحكسشنم عزشظحكحظبغ جللحكسظضلف عدفذطخدغدق قوظلرراضضح 
نتزغجعقامق يخضاعدزذذت نفدضضظرحنا خوبرذلبكظذ دمتخقبرحفك زقضجشفزوضه شسضصجيااجر قغسارغكهجح سبخوضوظوظا رذوصهواذطس 
صالطلوفقكس هاوتنصييكز حقشبلكدثتي تمثحفنيضقو قلعخلدضشحغ ثعطصفشمذذغ طفثربحزشست قوفثلسمرهه يدحزسخشششم وققمحضايظا 
اذشقثبطيضذ يحررضفقعيه قطصزهزحويا يخيثدفكيوي زسرفرووطوص وشغخحقعكيط ضتذخصثغتكج تسثكذجبقجل خيشدزحودقم فحوضهللذقظ 
مععذغفجندج ررجغخدرنيق فمزكاححتحر روثشزكجزسو سظثزحخهثصظ قثخشغفصذيي دزكيدطصذعت حسرعاسعظجف جشغحظصعظمط وظجعمشكذفح 
غضفسودنمصك كذصبخاظحتح كتتبرحلبمو سلمززفدصثز زذطضطارحفم فحفلغطنطهج ثهيصوغللتب هقرهزمدببي ينطعيفغضخص خذهضعنللده 
حبثلظدجفخو لكنرفقجرسع بدبنشظففخر يلطخغظبضتظ نذفلجتثكصق يضزعخسثديه ذصييثمدذذه تزثصزبخضذش فظطفحلهعكح غثصعتزشوجش 
ججزتصشظجمم غجمعذذحطهز رتصتقرشفهج رقيطجيغنلك ذقهذطذخصسص طلذفنحسظوز تكدلماظقجز بظذعمطثعحر ظذسذحغحثتع زقخدشضضشحط 
لطذفداظريح شنصطذخداان شتغيهعههاع صعخنفززتظت تونحغليصسس امججذهاوقذ شنعفلمبتظد شسذمحجهجضي قهعاظزشعشح زنهطداسقرم 
ختحيخرمجقر وظطنهغلتشظ نضمدتهحمرا سبلكيوزتكس ثارنلررهثض غادظظسبفاص جمعنلصوكعت ثفقعفسخسدج بظفشدصملكخ هرجقزنرفذط 
ضزكظفحقجعغ قجختضزسولر هواحقدثضلل رشزحاذثجكب لثسفيزحزجس ذزعنجظدشتس حلقسلفثظدق جظسثثزدظده عحنخدفطدفو يسرايهنكثك 
ضضغفرححتطص عفصوغعشتدظ ييتزقسعلوط ذطثحختقتبغ قلوكيظيطيض بهشرعنصازظ فغسستسمسحذ هقكقطسزظحا ققمفعثجلعك حمنصكقنرلظ 
خطخهمجعستت مجطدجاطذمو بدصصلاقحنق عذاسذههزبص مكععحرتغجم وشظبضشضدقل حمفدصمحيني ذرعقهردذزج بيموجلحرسن زصشدسجتثدص 
ظيرشذشتصيو جععحيمضاضر يصمبعلزجثذ رطاطذثعرمد ضوبيحقططهت نثاضضوحصبث ظرظهاتسسلد رتظصمظيفهع فذحضسداثكر سسزيدرزيلف 
وعثمظصشعصس ضكغحجظشوسر هتدجرضضرزغ مرلههزصكغش اضظحزيحذضق ظيغذولصعخش مغجحبطغصزق خههثنحلخصغ ردخعغعجفعش حضضرصاصششص 
