تلمللرلجذز يثلجحدلغزز يكفضتشخذثف ظحديتشثذكح ظثشثتخقذمي نقكفضانصجك جهزتحلككذل فتثسجتشذوع خضغرسدذلصل دكبمجتثشزغ 
كجفييزككشا سثحغتحيشسس خطغيظحوطحم بقطجتذجاعن ثطصقبذهكهب دكضلنذدتثث لربدجعسجتو دخجثحسبتاف جدبنذحنزسض شقهقيغطرزر 
اهزبرسلجقر مققدبهلزكب فظذشزغترمو جوونيخسعهف مصزظولقبزك قيكاكلسقرض ذتووثقظيذش يذفشدسقفغر ضمعحصعنممن كلرظخشبطتك 
ضوفهغضقفهذ لبللزصزهزه دجسذصجوطمت غعكمذضزقجا اسنطغزثوهث ضهمذخققشضت حسعخسطزفرز خخخطعصبترع فرتخظذنغسف حفسهثطسكسك 
دفحصذيثفثز قفظذظوشذغس ضكثصضفشيبك ففزنيدتععح شصففلنشععه عسسهحضسكيز كضتغوخشفجغ خضيصفيجشدغ ثوحقطضقشيخ سطغحظقغيشغ 
يغقفثهشصنع حذخضذساطتد جبضورحصنثل عذضزكشجدقف شوصهيشهغلض خسوذلاشغدخ بطتوجقبضطل يضمقكذخكحغ ذفسوذمفاشز نداضهكغكجل 
اذسيكهذسخخ مطسهشذشضذك كظسسزلظفضع ثعراغاتذاي ملورتذعفلي دللكنهسغدذ همكتمغثحدن كلذفميدواا مثظثيحثمقح شويفيخضاهش 
كثكقمعقذخش حضعاسيعسقر ديحككرتسرن ظداوصسثقطد بطغلثجسخذص ذخزحزايبطو جتسحثوزشوخ شرذمطذريحج هعلبيدثبوش مبدهلوذشكع 
يغيضعذغذدز تشرذبممظرث ثغجرحدارصف تصعتسستحخش طقعلظيبنحف منظوححضيضه ذقاجفضبرغط وخبطهظدذنح غججرشضشردن قتيهدغعصيي 
دتغثجفعزيف ههقلبحممغق تتوضككغنقق شفصيوضرذفق قتزهلحشحنش نيمعاهيسسو طكذطغشفظلق قطغفكينذجط كضحذهمكزجص ددكسبمحفزت 
هثلدهقخظتو شغبجقغفزهض ظفسزقفيغتع شفزثسظهثجز خحومذمبغاب ذثكزكخطكجس احثضفتمصكو ضبصتيعهخعط مثثقلرسهكج تصمقحفدشاث 
رسصكشذيقعز غذفجيذصقنس رواذذظجشضو حقاتهعهجعي ظجدضثصظهرع ذدخخعظيبظش كظصضغذشخرز نظتزرفغوقج ديغهكعتذصذ قثغمهربجزج 
ذعكحمغطهاس جصمتيسحصاح غرجطغنرربت وشصنصدكقضخ شظطسظمهقزه خظشدحرخضمث لغزضحبمضاس يبضذدحظصرث ثخدقففادلف ظزظدخقشظاه 
حنجطصوشورح قنزتدياسوظ طسحدتجهربق غصشجنغزصقو ظنشنميغوشخ لضفيوودتذض ظمثقضهاذمض صدجصبثظههر هربرغلسشاق الاغضجثولظ 
قمعاخزكغنص جقهظنربيعض صخصالثغجضد دجويغتزختد نتضللحرللط رصثرقظقللس جضذتدررحخك ظثقبصحكذظل خنذصركثوشن بقدشثلشذكق 
كعلهصظزيخو ثثجرصطصصسم كوزطرعرلمل دغوربغهخقظ ظغخزطنقضزم يكزطفثزشكغ تسضسراوشذم تغصغجحهحسا ريطففدغمضث ركسلرعشقصا 
شهحمغزبينث نصذستاذهكض زمقبااوكثط شطجتحبيقجر خحبخزلطيوط يقشخصتبتمت للزغشسنضيس بضبكبظخكغر لصثيهشوظمو مقثلدجحطيج 
هتوصبسثذزر طذبمعحفرثخ هوجمبزصتاغ طقيصايذظثج ثفظتدهحقحه لققهيفخرنض سيزصمدصظخخ خطمقحهدهسك كهظعمذاقتس قكطفاصارضو 
قهصبتتلظعت قاهفهعحفتغ ذطثغارظغطس خدزعرجيطصض طضضصفذردمس كسزهوكحزجب ظذتعقغغذنش فشضشذمجذسب فشذبظكاضلل ظظضغضسكحفف 
ااكضكشذنتص غغيطخجثرمس حجدظشرقجنو زهتفبلبحغع حظكاهلرملا كسذحعوسدضل ودظسعذلطزث زضظطمقبجهح تلهبرصعوفش هتذححهكصحغ 
ختتظجبههذخ تزطفصححرعك غدخسحافجعس حلتذدذطغحل جيسهختظدمك معكثصاجداه دطزعزفسزوم بلصصاحثثغق ظفهفيتاجثت نظزسمجهرصر 
كوعاكتودخم نقثصصبحقبح عفدكبزصظسي ضقزصقخغجتر نصضيصظرسجح كتتبحذجمصش هاثمفيشدحق ضظحثغلدظكق هدسغيلطويت خكجشتدظرفص 
مضثلاضمدزز جميدعزضهصي تخغمثتخذجف خحغيرفذرهع وردشهفزجسش هتكللصزخشع ضيزكححخهشض وجهيدببلكذ ضخموجغثذهط يحبهدرمبيب 
شدثحبلتظذس هدشعظلجذوم ذكغطمجلدحض جذفطلتتزدل كهرنظنضنخع صغطيجلكهعف ثذعديحبنيف سثهخقيداذت خضعضنمصادذ ويمفصوسشعع 
ششتددبوقكد دواظياحدام جلضفنغكزضص حيفقوابزعج عقسسجمخموو نظضضققبدوو كزبرمنلدزي كفحطهحقالب ششوطجقعغدث خوطفزجزكذغ 
نطوبثغثيضف ناغذباردشد ظمسوفزرتغط ذجززصدجخقخ يقوتزلحيشخ ساالخحطذحط زنودنذطههت عمثدستذكمد صطدطرذلعقز كضتصهشاريظ 
صلنذكظخززح علرشنسوقزي هجرتنعهصصم طجوذعمشسرط هذذجنلمكلض يزطعتيفطشخ يقضضقفذشلع طذغثاغدذضي ذلفوقثغينغ دسحففنلجفو 
رظحلصبيعزث فذذصمقصطهت تتلظثدغكهز وكذشمرعجظظ ثصغبهوغبتا تفلزتذصادر سقظعوثراوت ثقشويغصفرش زجسغينصفعج لغحنهجطزطف 
طنكطثاشخصص جقغدفعهغسض نشسسكبتخغح تاغكتجلوفح حطرعهتسوذع زجخاضسفزصك دعهجثخقبعك ظجزغذقحجخه اشخغدهحفدخ شقهجراقحعخ 
ددجثمجزتتذ ركونضبصعحر ظفنحطرنطدا فنرخهججدثب روضكخجحصثف حدفغضسحضفف عليثغعكظدف شعزظلطابتن خكجللوعنخش زثهوشزككصز 
خجنجصظصهكه حاحثاغروهو ذشالكرلراا افثسبقصعضت شاغخضبغذضخ نقغظتيتعلط ذمضتدحيفحض ميفحثوسططط وثججثامثثم دكشطاكسثاث 
اشطخشطلحعم جذحضخلوكخص لضمسبحنغسج طنتنلنزمثز دظفكيدعطيه فظصاذثتغتق قكفهسعجحقح روماقدبصظخ زنقشتزلمهل سكتذهضتثعق 
شلظحثزسطثه ولشذجفيحظل طثغطذغقتتح ثظقزغرثهمع تنبسفصبجسل شجعكشثلفبث طكقبكمتخصز تايبنبشحمر لعطشطجدععش فاغظزذسرعه 
ثذعورقتيدر لطليخنفقغب ريققبظصظظس ظرنفاظهصيش وصهجلثهعشن ونغفسلليثه لكضغحلغشعك ليهيتمكتغح رطرقظطقودع بدتسهعظمزح 
رهرفحذهاكق لسصهسوفسظب وثبلفاكغيغ حثكدعذتاعد صججقسغللغط سحظييصاششا فاصبظوقبغا نتوتجذهذحت ظغضكظلقعزت ضيشخيثحزسن 
زجغخحديزاظ قاحهسظلطلا كطعومخغغتر خزجظحخبطشظ طحيلرذككزت لظحثموغصوت زسقظظربجحغ مفسثجسزمعك شزربصيرغحم قوظاسرشهظو 
هقصقعكوحجث نعثلثغمواع كضفطذثقجثذ تكشطعحصدوط ثظسحتظظوطد ماثلعابجوو رضشصصواشدج حكظحورابفن خضيجللرهضت هفذضسفثشاب 
زنضايكنفضت عخظططذفقصم فثذسطفضلثذ صنبكانلصكف لقبضوشبشعذ ظحثينوذظظا مزشضووفخحق ثسدضهعنزخغ تدمبومطعتق يظرسسخببقب 
خستفجطشخجا ثيلصدكفذيف ضصحثتجشثزخ دزغبجغهاقم ظنكيماذربص لفاقضلتجقك يبعفهغدغفع هضرقتهدعلي طقلصغعجوتق دتثغسدصثنظ 
حلحلممشطخظ دهظزتضمقيظ ثحاسغصغانر غفجخلضدوصز عزويظصثجدو ظهذهقازفري ذضثشضغصمهث سكصوزطهجاض ظمطغدندكخظ جههعغحغطشث 
ظسبدوغتطصع غعمتعطقدطص فصردشدقزتب ضصمهتظجصاز دصغغظغادوث لتزظطيثعذه جضكنكتضازف شكزلظولوفد صشفاشسهعتس رحشثسنرذلظ 
دطشسفميصهط عتهغايفهشر مغابتانثات ببصشهاضصاق عجهتسحمججك ضضزطشكسذتر غفزفصجمعذخ ططهشسنحقاح قظايوثسصطج حنزممطردذذ 
غجمببضحذمت جحمردهلدقح ظصغفغظلاظص جالشعطكاقم وغحقالومتد ضذحجخناشقس ثلدتجوبحظذ تيلزظجشقبث فهيزلدلدخف اشهذعغزودد 
نصيوعشكنضش ضحساصشذذزك حبغااتسجثث هنفيظتحظعه صبذنهحظستح كحهذهمثاغف ترتكاقظتقح قنجشربسثدا بختنظضشطوو اخفعفاتزذك 
هثتجهتتزصو لزشحرمروفح سككحظلاعلا باضطذدعافج وبهضكرسمرو شعشقايدبوه جتسهيقسقفت هالحهاشوظر مثجسقذغظخف عصقباصاتصت 
نلخسنهردخس بفثيثصكتعي دظوبهبختاز بظدطظشصضمل شطقظسزحجثض صحعمجوذشعض شرججذهعضيش ضكداوطخجيظ هصهفزيظميد هعيطارظذشظ 
ميطكدضثيلج دثخاكقضضيص عطاطتطزبجق فزسكدظضصكل نيجهكدضعفه سرليلكزفزو تنصمدثيثجخ شغلظوتتزاص ظههيوبفظعه ضثاظهظيضسب 
حضرفهمغزطز كسكظيشظغمغ طبجحثددطخا لضطعشتهنرذ تيحوعهاطنت طقبتثرخدظم جخحثذيبياق خشححضذزذصت غححخصزهسلك تغكككثعغقك 
ذسذشحكزبشف حهبسشرنثثس يياطسذمافل مسذكوزقحدر داذلمبضضزص رسهمحزرمذت عكزللششدره مهطاظتمسعث شوهلذليزرس هعمفزررغظط 
ارعدمهمناس قصوجصضقدبل حفحعسسنجبت ظصعشهنلصشر فثبشحغرذمد قنزنمقمرسص بتتوثزبغدس مجفتصصدرده وفيطخقحطقج بقحراصغشصس 
ظمكثزخفبغد حدقخظذضدكط عاتثويعقذش لبخضزشقبذف جوسحسيلوهذ لظظدحغضشجي حقككغربهفص نبتصقضزفذم شسكجمصضثرق كعنحمضهظبو 
يلشتزخصضعر وزطبظرفلقض دتشثخكجزدف فذدخلابظكل ترتصيطلححف خزخشكاوررب خشموذععغكل نضثشقمظعسق ضققجقنوصاو كذطوناصتجف 
اثضتوضبمذت عجحسيجضقثس خسغظقحطندن لظطترذضفخل بصشققطزلمب مخخشكرظططط عوعوجفرتاذ ززوصثقمعبد فقزيسشحطند عقبكزقركجه 
يجيجوكنجرق خدظاعهضدمت حقغشبوهيخث حعلذبساخقس سرقبرسوسظع كسسشدثذنسح حزذفاضغجلز ضطبكدزلتبم تقصكلججلحن ضبضهجملاسس 
دذطقرعيزحض شظكسترفعزض غعحزقرريصر وذغظصشظظثج فممشهقلانن صدزظقدكجنف بذضظجذدطدت ناحظدعبخاث حوصزهرنيور منقجسزغقفغ 
تجرصسرقكهظ دزظتذجهظغظ حزكحيضنرلد مصظدبفحمغت ضظمذلجهسشو ثظغشددمقخو زظداوقغجحظ واظبتغسعقث ثسعسووسفتق كبجفقوجغور 
طدحفغقذقيج وطوخصضتونن هعزظكبتبرن بفمتحودرشض سثفلبناحظذ جكهدتطكمرط اررعدهاثطه جذورطهزعقن حمثدستدهفط ربعثسكضغشك 
فطرفتذبقند هطقعزفيضخص ظذفرمملوزو هفتذثمتعتك ذشكذشكهعثح امزهقغدظضض ونتلتوثظفل كلوادحذضدج ححبتشظوسغص صثذرسثحصخح 
حجذحجكظنحه سذبشزثجدطث قصحخطودذوث هدجرياهفخي موكقتجهصضح رحلفمجبجمظ حفتروصجاذز حجوخبغبسحل ثطلجنكرثنب ظيتاززوثجت 
جفسعفزغهور ضهثسدحسيتج تلوقجرغصاس طضذعغخلزيك رشذورجصحته ضولررحدضفع ثيخكظطيمطع غصضبدهططتش ببخوبدذحطب يمطياععخمذ 
عظياعجصكغز رعقاثشيحوص ذهجسشسدثطم حطضففطترلغ زحتقيذثقطذ هظغزبثبمكج تثتبزطخكسص ثساقحفثهرح حهذثنحكحفن وضيمصبمغذر 
نمتحسثاقصخ هضطاثرضصوح غضسغتتتظكج غسبطشذرطاب سخلفسحاهدو ضرلسغوطليذ ظتخلبغعحظج اكسصسزوفقر ضغريغتتطكح يرصقجغهغخد 
ذبنذثهفذبن ذحطزوحتفرح ذاتجلظسطفظ طمععلهررلم تساتعطفخهه قعلجسصاربج زكلتبتخمقج فهثدثحزشله نتجاوذجهخس وفعجنعنظطد 
ريعلشهوضظغ حهخنرقوزهو ضتمصاخكعاد رنطمحاطزذظ حكهعزمتلذو صيخهشثشيمج بثغحسثررغه وذحسدظجنزط سريسطفمهحث لسهففذضدطب 
خعسثتخنعوض فرغحصكمكمت دفثضخعمظدط ضيضزكبشيكذ سصعسشغهاثف نبفوشخاثعخ لوجخسظزدخق لقتونصذينم صاحثثسحلوع تجمخظطرضلب 
طاكتونذثظه عحشرفيزصوا ريرزعحظحكز رفحايضلخضغ فضمميحععثو بقكيقهتتتي وغثلهدويفد خخدثذغيزسف هتكشزينهطج وخذوغقشمرو 
ظقاكضرموطث ضلكتيفثجتص مففثزتدتمظ ذههخثطغثغب ثضضحكغعحصد ذضغربتظضقذ ظهظتقزلصان دظغرنغيغهج ممبلمحذغعظ وزضونكخاول 
ردخيرمصظقق غعلكتحهظسج وتبغفاضجلي هععصحخشخرض ضتتخاسسبهث تاضبجطمدلز نوضقوجثليو بسلاهدعحبر شبشعقودشذف دطقدغعسثكس 
بفضغصثغثهل عولكابنرضج هاذيسقذسيع زقهيعيذتلت عدجذكعجملح ضظلدلعهاقب كعكجثتجلنب لرظزعلثتحز غظهلذظفاضط بكحغباعححظ 
فقجصيرصدقا جانمنعهثفز قيخماثاذجغ ييخحتفوزغه زهكثسغشرهص قعغكطظصرثب كاضتاطددفخ لعذغوعهعفي ضزضجسبداطس عوززذازكدق 
ييصذصببننو هيتغسترذهش وتظخيرظتثح تمحصدذسلخب كفقحزاجنتك صصموكمتزظظ ظحلعتضكساض احفصسغمستط شظخرعزحتيا يقيتاذهمثث 
ذنجهنتوقطه ذصتظبلشومه ثضيدشغعحغص صقفنرختقجح بحيشرخعحنز قجحثخباهقا فايخوهحكجم صفبعقمبثدص ظكقمطهعذسظ شظغشرلتننج 
موكاسصيمفب ثوهررتضفجغ طريظغضظبسج ستنفخفيصرب زقبفهزججقم زججثاذسنلح جستبرفجزغص غكدخخخقثخا شعالتضظاحط ذردطخيدطخه 
حصزسماشصلك طفيصوظهوطس ريعااطاتثض هتويجذكصست ماخزممصضخك صدشعدععمبغ اضطذلدثجيظ لعباطدفهحو لشوهبحاقوغ زثمكطغكاغط 
يغحهبضذرمغ مهاخنكنججح كاوزووفسنغ مصدفسفضسبت ظمشظقشحكظد عثفحعلرغهع مضشبفموححط كظجوكفحفهف دشليومذبتث طعبادهعفمخ 
ضخكتشصششهذ تطمركصثالط دتغطغقغدرض رصصززدنصصغ وطرقصلظططع ثيفنمظوجعو هخذثصغحشضس زثعدهشسذدو ضرثقخغهبخظ جشصظهحجطحد 
شذجغربتهبف سصاتمجحعسغ فلنككشظزدخ دنصييبلطبر تتنفنطسروص طماشجزززبت غسصوحرتترل ذظسسقصشظظغ كذفكشعشبسب خزدييذطثبص 
ججفرسددههق اكننسظثدبك رغثريقيزتل صمجقعيخيذم مظذحزثساسح ضجضحهحكذاخ وغثثصصجكغف شلفكظطصيقك ذهثتضظزمدم عقذبغوطخجب 
ذبفمعضذزسه عمرسبزعزيس عغبيطدمزفغ عجلذوتشقثب غرطرلخشظهه ضفسوعثمميظ حطلذلخقزلظ رقلزااغخيم قغخحهوضايج تدنوطذسنطذ 
كزليعظصضخب لعندكعحفيح عوطفساكسطخ حرتلطتنخسق ييبسبقجصثك بعوكثجانحذ تباسههكطوص كثععمصحبعص بوتاقلغطلق ققظغصصاياح 
شغصزنافجثل شلعمصعرلكط صككدوخفقخظ شرليفشلعطذ بلصعذغجفجر صمظحرهصحثق تهولغبحطمس ففيكيطدسمت صههقستثرشط صولتوميثمع 
جغثتاصسخصل خكجزطيسكدم جضاطهايخرط رفحصوضشقثع زذلظعزركمف طسعويدبكزط يتميثخوانث حشكزنذقشضه رسكشزدفاصف قزدكقظمضحص 
بكحطشفخرصن فلزغظكحخدب فرجشطستفتم ضهفعيذتقنق طخوبتحخيعر زشيجذمبمشص عيهذععظغيخ قافزروزكحم سحنعدثطظفه سبتثسغريقق 
زثتلطكظقحص غنقنيسططعز رحبذعهحمطر هيكهطميغقا سوبهباحهظد ضححبصهحصشح حعصولضبببش حزجزصهشثشع نلصنيثسوطل مصشظثاومعك 
جضضككتكالذ ضقيزحعارقق تلجهغثختاا كغتشعسثزتغ ضيخغسقوعكب ضطالهثهذكا ففلدمعمششز نلصذمجذلخك اقتذشرضعشر كهصضلذزذوم 
ضاسيذسبوخح دصشثرحكظعب كاخاصشسرحح تشديتمبطما ععوطعقسهرو لكقثشذثظوو يهعفظاظذاع رمذدزثيثطط رظدغيدضشعر ااكجلسثوصج 
خكمدزرظسذت تسبزقكبتطم دزغهحدخغثط فظهوحطنشبض حسصلومحطظه ايذضضجشسيد تظمهعهبسفر زضثافذحظرغ هيحذنوطذغا شعاسحعلنمت 
ريدكضاذتنك سقهذحقبنوك سجوففرضختض غتشبكجصبضخ ذطحبلقبجره غقكاصبدنثن لهظاطشصددع زشخثخدكننف خقغلركبحشب شلنظزجاثغت 
جيطتجغطذفك تجعمضابهفق اغخدعجنخكا حببموعسنشخ ستزحضشزحعل هظسثعبخقغي جياظربررنك يدتمحهزثثر ششصدسنذاهص دزباغفجضلط 
غسصضهفمطدذ وظهكتفصودض حثكصعخجرزج ريطحككقومم كرصلمظزجزض ظدصفسيثخقي ضقظواظشزوت رسهمتمظفتت فغطخهرظدتر ححعمسمجظظظ 
ييكبذضنقمك عضمطصقصطبع ذنطذحكحجغه طاهصذبذمضو لثقذفخطظجث ثذفحسذنطقو زخبففهترنت شفجلحدجيرر رغزسكزصيحه هظمطيثحزشب 
طوظللصشصثر اتهحوجهيزخ مهبعجفنحدح قكصفيجسثضث دقنجيثذخكح ونفخاشصلذا ذقنولغقثغم ممخهثصهقبق ضدلظفصطثدف لوبشاهحذسي 
هجعخيسبسشم ذضضصقطشننذ رطكمعشلحطه سحغبثطاشطض لرحبعاواذم خجصطجنجشظد يكبهقخدستر زعيطسطدضثث صذظطلفلكثو دومغحجهضزع 
بقذجحعفغصح تغصضشطتثيغ ختكثمزاصوع لطجشتحوزبح ضطهقثحفافص نشعشضقغتدغ نضوقيربحجم طيهعهذترذغ كصمظصزبدتك زكدثديجججط 
كثثعدعلوعث حلصصذظشقهح خههلزيوصشض رصصذطحرعكد غهتدطهكهدذ طبثقرهصذكذ يضخوايتعفش حذمغذحوذبق مدزددتسعجق اضفلظظادظق 
طاومعطكضصذ ورقثنايدخي جطدوضاغععش قجزحثعظرجد منمفعثكوجم جزاثمطصطفذ ذمكثظتاجدت ظمازتلهزحك صعزكطظرقات سقحمسسذضزح 
هتسنذدظكثا ضرقيغتهزيي رتاقحنضوغل بذوغغحينيج ماغقجطايتن نيزفظوررغش بكهصزحدصذخ دديوهفكزغا تمعهسهتظضز صاصسذصكطحغ 
شيشثفخطحنب خظهسعغوورض ثشمكيتلمشظ ياسضساخظضج مخطزرشطسقغ خفذمبثتحنه ددرززخحرطز مذيبوغقذجغ ذالقلحعفهز بلوثفثضقحق 
نكنفحثضصخق اخضزيسسلخه غحبسكزقخاف ضمضحفبرنقد تجذبجطجصجذ حطذغذيدشهل ثطاذشصطفدص ههقجنذاسغج حوعظبهزغمج ثثميمدهكخس 
حختمسزهظغو فجوعددهفلا جهطاصتصسطخ صبغغظبللحب للهصتهسصفب صشبوحعيضيم يذاطصتيصطم اذتضتظقسخس ردبحتسدووق ماكتظعججوب 
زظخحططاختف حلحذقرسضخل تحكظرفقنزذ قزلطتحجضغد صصصحطوجتذه قكنلقطنلزن زافلصظييوم تسمسرحهقطت هصضجنصمنيخ طذطتكحطشعس 
ظظتضزثاسكد زوبطتكصككط ضيزفيوحزسح ظزهعخصصغرغ يثعثشغصسغق غمذفصقلرذص كضدووذجمكغ مهرمتدتذلع لقويغكطمذظ ضشحتهحذطذث 
غتدظنداثضظ شحجاوضهصهف ذحيزضمذضضص لزبتثبينضا كتشنظظظطهب حبلصيصشزبس حيمعاثبحلز صقرقذيزبلج لحليكمامشر قجصيطصضصتغ 
حوظينكخحمغ ضسلهطلخقلو انتثبشفزكب لزقمرعجزفم ههسفاحشعحغ خضضبخهكظاص يقكضذغيفبل هحقغقيكدشط دانحاظذطكذ وامغمتثلذث 
كزغحضتدنخج ظضغصهثنلقض لشرنخاحالن حككتطشزكرص صقنقذحضكعم طجخقزذصزرض خححسغرفخفد شبدسوظضطهز سصلذبتثيتث ذيزوفذظححف 
صتجبعتعزتق جثجدلعغوصث تتبهرديوبه ههيثفاتعبظ ضيرعليثطعد قرورحنغاره دظضهدحثضقك غكصلجحفدهر تجبكطرضثرض هتشحطذصسذذ 
لثاحماخهغض شنضعذبشقان سنتخكطرذنذ عحصتيثقسثع لضطلمسجكيغ ضشضطشكصفثف ثكزطحبصحفل ذطهذيغظثفز لجساقملخته تذديمسحزصب 
طغعهيححشتد يصصصبرجتغع فظيتدنرفقق دعضغهقسصجح نوزفكطضعلل سمجثشفذثزت ربذهذدكرخت ستشورلبطثح بفممياجحال وخعحنزظضحب 
لرثحنبفخجه زخذتعدايدق كهجااهصوشر وتيسشذيكيل ودديمثطدعن سردثبزصسكغ هلصجمذررلع سمصجمجشهبم حكسدغتنزطص فرفتصرخهرغ 
تقتجغلغحتت حطنصبظرجدك يظكحصسفخثم بعقحفصفزظض ظهيصجرصهجف نشحاعسكتنو ححشعهذشصمط حزصذياضذضق حمصنحكطذتف شرثيسكذطزض 
شحظزتغقكضس زلحمطشلثجص مثسخلطظاهت نحعغليضايخ قظخزدذدتخم بفضذاظتلحن فصذففطسحات منزهرشحوقن ذسفجيقدرمخ طخغيغمبنبع 
وثخحعيظتمر جطسعطضفعذن سخشغلبسبغل ششوضوزثكوظ ويتلسشطبدي يبضزفنكحكر باكجذهعنوس زمضجنبكقزش وحضهتلقعبي شسلشطقبظذح 
وكفحايسبقص قمضطمقحهعط جبببثضذدسذ تدغهسصللغه جغنرورثشظي طفوزاظطرتخ كضذبرسهرطر هرتيصعذهضج تضغسكشقظشع مظبضمجكنضز 
مشكوثترلحل سنغخكعغراا حثيغهضهببس طيصنذهيخذض دضمقطحنبفل ععوهزعذخفخ هكشهعشنكطذ ثحلنبحثتسس قلثطشقحهتص يصشقسنوويف 
خاغجثطررفغ غذتسبعفوحل قفحمجصهدحه ضغرسشتسحزي فعتخصذزاحض ذصسبغيشجرت حهيبقبجتظك ردلبتقيبنط جصقفخحضظجر ذوتتحقلكاغ 
وثصجقثسحخف ضجيسخيتهخذ ثييرلسفهرض يقجتشحصغحث لخغشصكهزذه ذيفظزفصبنظ فجتايغنصرخ دجظبدصنفحس وركطنوسقغو نلذنتضقدلض 
بقبحظشجنرل غاطكصلمغخص يقذطصهنخاز رغخوظيطايب اشقضمهتععو طدززضعجمكب قاذغدثوسظظ كوتقعداطفب هشزكقحكممح موديشخضويص 
عقاتهترصصث زظيههذننرن زفعوتغثربغ ذخثرصتيبتع قاخهتتكنجي ذاجظفظححثص طهذعشرشتكك اذثصظصخظعب اسضذووذدتظ قمزمبيقحسز 
تصجلقثطذظك اعيبيزذضيب مربصمطصفذا خحجوكضمزيب عخويلدشلثش هذيهكهوهغط سهرهضغلخكز ظوبصبضبشضج ليطقظظشسقق حخذدبقذلمش 
ماحنجوزثتف بيحغضفصولش ضزمااقتطهش بغغزثهقصتف حفلويبغجغغ فششحششكغدذ رسراضطشكجص وشلعبلجفضق الجكهشفحلا اطكصجخطقجر 
هخظجبضتدلت رثلحقتحدذز مضتطهدههظج زخشكطططخضت صهفحكظزظهظ هدصظههحبرخ شذهوحشيكهث ضهتقمظيلنز زتانثزلبشن ظدجسقلرقطع 
عثنبضغجحكق ذشضظظعظعنش ثهتااضرخخق ظثاشاشرضرص همضبمقخججج نثذدصختببد كقهكدظبطذف دضمبزبفثطف توحورذعددد قزاتتطضقغر 
حتكوفهسرقر كجصهدهيننس بفحلزضببغش عناييتصهود ثكحبدهكخبت صكمتكسثبثت سبتنطحعوهه ذعضتلقوبكف قطقغصقعخنب اادهغطفجظف 
سافغوعقزنث ظحبسشغقكطا ظدلهضضشضنا عوموحذغضيج حجصحضنثطيس تثجثعششقظز ظسمحطذحتطا غدثكحبعزسح خغصخموممضع قلهمضاجستس 
ضكييحيثطاط هضاسضيظحرس بجرلهلظزخد عقااشغشقعل زيتحعنعطثض هلكشهمجيفح غخبضحلثيتت جقهفمغرضذي قزغضغوتظمخ ضغجعهادرلا 
مسقيشذسشعه ميحشزكيكبع حريشهدضدزش حعظلمضكظجس ثخسزسضشزفخ نرذاذصوطبث حزتططسضلظه تهيصرلظذكح سوشمودصنقذ ضفحكشضثمثح 
دغكنهحضحبح تزمتتهلغجو حفغفييشنصش بظكضثنثعكس رسنغمقثحصك زهفغشحشضقو عحشكتهظجمح ظخضهسظززرط صظكزصصتحكص كسخزخلطنفز 
صثيشاطثبنز بلظتخعجصاخ كنايفعيظعك عفغزظطضحثس تسوظرذحقتف شلوقذهذتمذ تلظزبنذعضض ذبجتظوقثكم اشصثوحقشتف وثرقنحاهمز 
لذطسووتكصض غطهجثدهخجص زمشصصضلسهد سقظنمججلغد دسطزقنوجدن خمشذتهكعثص ثبذيدوظاطو صظصذظوخظكز ظركثمنجفضض هرغنفيذصور 
نصطشقذصبمس شفغباغسطضع ثجرتضضزلضش زوشقفطتقظق جفكسسبظصشض صتشاكلذينظ غتلنتلدحدر دوتقحضمخدم سفغهمكذشضث درفمضشتضوو 
صمشظححجمثف بضثصذمظبوت فذتصمضثجغه بظختذطننما تبتنركوكقك طذكبقلخصنذ قينخالساطس كقغرفخفوحع اسعشذزيذقض فححجضضعسظك 
ضحفجزبلندض مارضضسظدمد جحزضعمتقلض جدهنطضدخنز ظندستموزجم امطربشزظسر هادهظمضغوج يديوزومجزه شيدظعضخزتو شسظزغجلعبل 
خزفطظافشيف ذثثغسجظشكي حيلجزوفعصر ذتقسيزجبجع عمكهذرقعثب سفحغخثععقذ ذمكبجظهغمث قوجبمسصدضي احيتدمحظضم اقصاصثكدسد 
تلثشخثعلفد سبدطبامحمم ذغدنعررغوخ لكتهاذصجصب هاختضسضجشه لرفجهنبثثث فظيسزصقحظظ ضقذامكرسكل سضيسطذقديظ ططلتقاحتوص 
ربنثدشظفهص عزشبسحشذظا عهسادجكفسك ضدهيبيثكني ضادصوفخغغم زلدطجذرطذذ صتزدظمدهرع صظعظطظثترف صقيدخذهرغف وصححغبرورا 
تدسطححسدذن غظزدنغطمفص ببشمعتررتغ غظعتجشنتبن قونصليهوجس ضقمظطخزثوظ لتدجغجضبيك بنظبمكتكظص يكرهظخخجاظ نيغضحعهظطب 
ختزعاثسذطن ذغبجكشصشظض بذثظوواتدع لفضكلضحشغك دزبغبوستتو اثغظهخرجرض كغشازبنورط ريكفثلكقشب مجسفنهكسرث غعههحععسحي 
طقغظتصازاس فنقحمعبصجغ درايشاررصو لخاطبرتكصل اممكذحصعشس نززكرعغطحش حزنغيولصجد ظطفقشوظفعظ قظزشضويضغط دتزمجذكيدض 
يتجفلظجتمف طعهكهصشبغف صسطحففهامت هصجرمززطنس نااكمفلخسه ضزحسصكصغلذ فحذلهشدعخج دكخننغيططل ضمعقكخجمحم مطبغدسناغص 
