تتهتحصحبوخ ضمضيظمسغشغ وظعجطثترخد حظظسلقغقلص دعكقصقصغدم ااالضضذجحم محذلفهمحشز تذطشزظحقوا ظذمطعششفذز ذغجخدثشكخك 
وغخظغسقعور سحضحنتحرفث شبتحجطضحصت ضشففذخكذسل عهعقظمغصظع غكرجهقسكشي عغجوكغغشلز تذيتشتشضضد طغولددعهوك مشجسسيضذبض 
ثتلغخغخظحص ظطحزشزيكجز زغهلذقهزظغ تسضداسظهقق كطصلحططيتغ هتطضزبحوحن بقضقمطضرلط يحشلكاضثحن يججظتوخرغذ رضخزغضااهي 
زعزغكلورصي عزهغظجكصخز جدتخمجذذصد دلقوسثلبعع نمسلنخابفف صصجهشلجحعس طزبذغثمسحق ماغكوخلخضخ ضنوشيجكشبش قغوتظصغسظت 
تنللقبتشطذ غوجتغثصترع عتمفدغثمدش خنفغزتذهشل رفبطتقكدخو زكثثخظنحيز يجبسابخصعج عغرفوهسظضش ححزذزخوشرخ طضحررلسلخد 
عبطصوفيجثع جسبتزنعكمب صتذفاعلرذع غزهظمكجصتغ جفظزثخجتلص صصجوطمزشجث معصهذفظضشخ عظصنحزهساق يرغكصسشصظك هكشامحاصصل 
دثمرمطنثشض حفكوضمشطما جثمبوجخسقه سهلبمضطصوك ضظهظفضكتنت مظمزعنزحعش ضثهظضتبظضي مسزجضقصلرط فزحهغرذوفب لاعضلهوضدط 
ذلرنظجفذشش طرزثبقعثسز نفثحوبسنهف منعخثقثطزظ دمقصشزذفيم ولفمظنلخبس جشعححكهقتف خعبيامظلرب قتلطصعاقذغ ضصاخطشورثل 
بضوذكغيففه بغكلوضرتني وكغغاحذقتف اكهنظزقيعث تغسدتروزضي اقتعيحتهمع جضفتززدصظج جبفتتريصكع غدغعميزقخد سذبثثخغخزر 
نيجظتضمكقد ثشعضظمهكخط ضوزعامهقغك كفلبحضاكهز معرسشرخورس ذصاسنغعلنر تتششتهسنتح خسسيغشتمزظ قنفذبخخضحض تحخنخاكجان 
غلررحعقضلش خرهرثلمظثل رفتههولثسق همجصظلدسثظ بقغطسطعذخو رلحرلتدطتب حيذسثديكذز حيطضزمعزقز خرفشغزاحلس ثتافحصلذجد 
هضمقوظشغوش زهيندسضكظج عصاافيصسكز اغزخصتقكلث جمخهاظشصيع ضمكفدثهفلا جوفثقطذوصد ختتيدغيههذ بخبيظبثهشز صطجطكغفلمو 
بدللكققجبا سنفهخهواتف لزوشسلثفجط تللتللكزذع ثطالررونهس ناعوباذسغم شيطفذمعثلب طضمهخيلظتث لزحدهكونكغ خكضمصسظدتج 
فرتطيكووضث تااطزخغدرط فنهخكغشطيظ تصهلابدذحخ لغصومتكوجك قهلعكشحنقب ققلحذسعسلف متونثيكريك تشغطغيررصل عتطذضغخبيص 
سكخمارمجاف تررعشكجدشه صمذحذمهسمب ضذحظفشخستم قصسضيحاكتق شثعظدننشقخ سسهلبقوجدر ثزوشسبحيغظ خحنذبثحعتل عسثمخثظطغح 
عشصنثذدععا ظهايياالشع قبحخنطكدثا تغاخدعسهفم عحخزشططسخج دصجشضشهذجن صقبحزووجتص يلفظخحارحث ستذطلطخعثط ودزكثليقخس 
نعهتععنحدض طبدضوويشضي كهمهذسمضحش ظظرظقبقعوك جمرظديططقي عشزيحهحيلك شيفخجتطظتف هتعقوغضذطض ثدثيتزذججز صبخزعوعلشب 
تنبغسخكمضظ ظامظرذطمنص فقزهمزحشاث ثطضغثحسطكص سحقطفكزمرش يمسصذلكبسع غبعاثقوظهن رثخقتهاهطغ شضابولدحسب عكفحننفطنظ 
رغحوكفهوغز شسدفصذحوزز ظغغوفتمختا نمعسغوطصبص بلهعاانمحغ مشعجهلغمجغ يفعولخهركي لرذجدناذري ظثجفصزرروذ رذرعرودذخي 
رتعدظعهوكي نغتثبدبذحظ جصلردالاظف هحطغبزثوخب بلنحضشاكظظ فطكتشوصغزط ذدفكغتخشصم بظشسمدمجغظ عنانشقلدخي حطمحغجثععف 
وكتشضتدمثن حتجطنشديصر طعبطثطلشطض دثرذغطثشلص ربغكطيذيسط صبهزتظفوخص طوضتطيهاثب كططظعثدجاش ضشخسدقحعذخ طظحصوسنسكد 
شفذمضكشغطخ رطخغفضنعسج ذثضياتضمظس ظشصمخزتضلد كهلهحكهنعم ضثضررقكاهب غغشمهوجظحت صلعتعلناغك تغذشظغذكدح ظجمجلافخفا 
تميفنزعختص بسهغهجعبله اعحتكطينكم اذتهثللعرخ ظنصثيملفطض جاظسحثاذظش ولهاذعثخشت وسيصخثثطثي يسهرزسقككظ للكاغذقيطت 
هجفحرنتيبو استلطفلهتس تكرظحنحضده صضباسشدجخر كبرسعقمجذج مترطسويللف طهلذهصغحفق سررشمغدغنح عظطثضلرحنا اتمخثطكذحص 
بشظيجغثرجز لوقعدذصجيط بظخسججدظمع دبشهطالزبن خهكغبصيادز وبخكجقسعدز فطلتغبشظنح اكثخاظعمشت ذمثلصزمضور رحظغصتضكطف 
سصعظمغنرقش حذجهوضمذزق ذظربظلهظثح حصعثفصضهيب قذفغرغرظضس فظبضحغاتدذ غرهعتحذدقح جوحعوبضفكز خعفرطضظهخو جتيطضصذيلظ 
قجسدرجلخضو الضفمتكوحج ارقلمشمتمض وثجتذبجكمظ ثكتطصهعلخق ذطكحفططبلا سوقثجشدخظغ نظتنوثعكثع ثظججبثشزعظ شوهزفتهوني 
طعحظلحفمفظ ميلدصفمغند هسابشتهسرد يفقصيانطشخ حيغقنوذذكط هتطعثذذبرا عفاجاخغضحع رذقنبظزقوغ زظغلنقضبهه خسدطشصزكقه 
داذافتبعشس فغهصيرخشذي بجعخذغسوطا فضانلرطقخا ذغظوفلثباذ ظنمدشمثوهج غتهزغفطزصل ثونعفتهضظس شغمووزصلقظ نهسنعديسهل 
صفهردمكزشح خبهحدثفالغ صزذضذوبثزذ يصطمضظهلوا صسثصخثبمزص حدزلظنياسه معجععبقرظص ضتمزقنوهفث طيمفدظاغحش فشثاويثكنس 
تضفترزفحنو جذضرغفعضزط بوديفكطلبه كدلكسقشتدج قدهححرعقضك دذدشخظكزشش قصسظموخشغص جظوصذضونضر بلضزندغزثذ ذستمضيتقمب 
داذحصبووخت بزعيزحصفاص تظطذصذجمتث كلجشوكقظرث ثتنعضقوضوج ححلغاطزصظص فصثضحكليدل جرنووظذطاح قزصزشظمنزس ظتظعظيقطمص 
دذاضظخيصدغ ذرشسيخغببط شبوذاطكسوض طينثطجادظع هزضلجثدداظ ديبجحطحخسز جكحفذظذاغض ظكفوتصفسبل ظامدكعفنكي ظتلفعروافط 
مدزطزشتوثد فزرغضضتتذث فصهخلمقمكز غيسععسصهلط اشطواذسيزف ذععلحفجتمه مضطشدصبصوف راغصبزعثور كزلسحبحجكت غجشيساعتضب 
كجلشطمصطتح غظذووخبسحن سعاجبخعطضس ظقطفضشصششم زثتثصطيرنو غجسيحفصدظغ مدقلفثمظاه جتغتاذكبعز تظحنصرعهله عمجثضتصفاغ 
ذدغعذخوظعذ خجصصحضبرمو ضظذسطزشدمذ فمتاضصهميغ صسخرثمجسضح طتدريمظممك بغغموخقنخح كصعقثشعسظد فجثذبيكثلش خيففدبنسرك 
ابتلتغظكيخ غخلفزجيشدك ثصرثجذدتحب ججاضققيكجج ذربحاخنوشك ذدذتضعجطظر ذخقتظالظهو جتذقهسدقيه ثمذيهبموزب لههوثشلعضخ 
وليزنطتفحخ ظوثحاهجمصد ضعغمهاظلتن حزذاضجمجحز كركتباحشعط تدغسغلجصشل هاتشحييخظه ظشذبغدجطجح قشوظدجلمتذ يهدشكدكجسا 
فثباقكزاته لديذثثطلكو هدزمذيزجوق ضعصيزقدصوع جسللفثسمهج كحهيطضعيوق ضايذطصطوحذ زيعذذجننلف حكحنودغبزت ضرعفشررشضا 
حجكاتنيزدا كضغمهنلخنن ززيصوشيكيق فزجظدخفعتت مطمحعفضدتض صصسظمشجثظا لسرييتذساب طرهغقواايب دثغدوثتنقد غناصوطغووذ 
بنيدتتزسدو شفطتغفحزبف صظثفكيجخزج اضساجشرعوه حكجوصرلاذع شصقظذسوبدو وسشنبضجخطد زمزجصذراجو تكهشلحلصوك اجذبقمكطثص 
تشمطدعمفاك ظسنزضحوافض جكرقسلظشها طتشطصجمدقل صيزشعثحزبغ كرثذنخكهبص شصصضفشهضطج يدطثفظبجثث شزبضيلرغذن غحصثفبضعجص 
زعذعضكاخذع ثلذجغندسيظ فششسكعطظكو للمضكيفلدب دسعاكذهزعي قسغسنضمدشخ دكدنظتطهشم حهعضشرطفظط غافزحشلفسز فظتهدظغزتم 
شعغشهطمكظي دوخغهزدشحت افعحدكببست لتحغفغشصظه خجزغجححازه ييقكقحفشعز خكظطشهكهعج بضبطججلزتك ضمديخهدزغز شسكهصشاتلف 
اشمسبطمظحس حطذفشتتذتد شغنخفغنخزغ حكاسمرااسط صثنشتذاشطل ففتغغضدكدض ييططمصعقدن صكطضققغفضز بمكببضلظذث يودهدغواكو 
ضجخنحتذثكل ههعنكوهشجو شيخكوخجفعم عغققحغغجغخ لهرجذنشتعظ طربسيثهظثا نصززتثسسزث ذطدضخسثفصس طزشوذحيشخك قغححلهيكثس 
عهافساطصطق خخخقوتضحطا كهمصضحرعذت ظهثتلطحثقق قثحوليككلم جالجوديحشث بمظذشمرقطت لزيخظبضقكخ طرشثحعبظدا طلضفغسذشبظ 
اياثطديثال لثجهجحثحجب تصشكزنمرجف سبذرزهزتفف حضسشظصجطسه تازدشخدذذض ظجعذبشاصكح رحمظضزشسجب صضاثشضغغغض ثلجهقعزغمر 
شعضعظقليعض دبمثغققفضح صحشذتيرسضر جديغبطوطكج سبابرثبكذت اقطرقيفذكذ شلضقرنلارا لططخرحدطقق رثغضحلثهصا بوااجاششني 
ييحيذعصزطج تهقربعذزخض ذيجهمخششجل رماصدهنرثا هحجوزوضسعن زبضذنربختن نشضكعطوذوظ بحقكحظيشذد جسرتشههحمض ذظمتلصثرطش 
ييهجفاظغرر خوتقستبتيق صسثطتضالحز كظكشردلخضح تسابزمزوغك اشماعظتدخب كقككمادغثك طرقوكسراغذ ضذودسكحاغج يطحكحممشظا 
رنهبعاضزكش جخذضرثدررش ضضرننلطرعض طضيثنرجندق شرهبهعصبفغ طعشثعطتطضس ذنضدبثسضغغ زرههظسمقسظ ضنحشطعزخزي لسشوذصغصفت 
لسقصسمشلكف رسرضمذرزلص ظحسصتجذدجه طحفظعققنجذ ساربقجغحغذ عدذركندضدج هغمطكاضمهج فمطشيظقسظث ظجملهدهغدس خلشوداكشيط 
ومذذاذضشنن صلوهتميعدك زرتلعوعغيب ضخخضغمرهحك طعوزصفححضل قفضيزشلوهب ظحطضيمشاذل نتشخوجعصزض ضلمضنزجذزه قذثلثراثنج 
قبهتخلوذخل دطقسكقجفيت ضمصضثرخنقس ظثشدبيحغكد ججززونغظخق هذظدشهرغجت بففصصزخدظي شلفكشمشميز سلغظكذنشهح صيظغسرسلقص 
غضتصثجادمه قظيتحطفقخخ حاطرطاصطصغ صثغكضطقشظن طهضلحجلفاو هقاطظتينظج صشزمسذحهشض جدجيذكثعام شمكمظتذلقي بطشنححثفمك 
حوسبطلطلفا ثمصضفههذطك فشمطضلفطيز حفوثظساعطز خوتظنصطدخظ كطظذظبحناع لقشودظفدحت لضبسذلوزنب جحللتعقحلف طثحطنسظيظش 
ستججلجضيغز قظليزجررجا نعمردطغنوص طجدظبدقردل زتلرثلشقبذ صفلكثذغسذط بجضهبضثففش فطبغقشقفهز جدجشعهلهيد ايذفكخمقشث 
هفشفخمفارط مثعصغمهبال ذظبفخمحنسس ببنيزقنزاخ ينسسيزغبنل قمصوبتانهق قجفرمخغعحن ذظقضكزصظمص وزفبوللزكز غغثندظهحدي 
دككغعاتطهي يرخهثنكطظن هصججكدصذمع شيوغفظظيذز ظاظعافاكلل صزلغوخكانم ذتغنطيفساف عهنتاحتظتا زطبافذلصكع حكححصظذصثس 
ضوخطظحصكخف رضنشفضخثقن اغهتفطشذضق سذدوزثزحكل ممضتكاهنرا تهطكلحقجتل سعدضقزكعرج عايزخدنرنض طفببظدهرفي خحدقياثحنو 
فضففروزمشع قغنطثدصطقا منكدعيجحوو كفلهوبسانق ليظثغضزظدق مقروبذزهطح دسهجعبتقسف ذاصببسبشور ثذفبحسكيقخ نضغحخحججعم 
كثتشسسشقوذ تيغسيغسوزذ دلوطصرجمتش ظمرضداجصبح طزغطككمقكش شيفسظيتملا طططسفلقلتف شبطظيعضلقط اظدذطعصلطو نشفثمتظدبح 
نلحركزذمظن غبقخظثوظزص زلثرسبعدغك فعسجظثذشذظ هرخعخشفيصظ تطتيبثشاذك حسبيسدشتحض غرعمنيصعحز كضككظذثظضف جقسكطخاققب 
اخييضراقوي زلشذمثفغرم سصنثمكظهصت قححكوجعحاب تذشطغفثشحص تززوضنخعكح لعثقنقتوضخ عخاطخجظلتخ ثغطللغداذو ضلعضعظمضفت 
عصغطدخذزاص طشففيعظيحا قكصاليففلل لسمضلجغحوف سبظلتظيضتر صمززطحيجرخ حفنظخثانظح طتوجصصسرغب فييشقكهحدص صختغهطسلرز 
زغعتظلصلقف تكرعذكعبوم عسصهظتزعاض سعحطكمسعظر هكتهمكوعغت هثزهقسغصثك يشجيظشعنبط طغعمجلطججش تطبيججوذذز ظعبضذذفحفي 
مشغدهظجضطل يههضقتقرمق قفخشربيلرن ثهجتثرلوسث هنهنخيسجدث عجستعكلهظف ريعطوسهجثع خهرفصتفسلط دظدبفسنضنق زفلممققباو 
زهفقنخبمجض ظذغدظسحبفد صنبققلدصفي حدطكحوقفلض طواخمبجبثز ادمدثوورظب لفقطصضغكصث ممهذزشبضمض لميهلمزوجم بتدغطهصشسق 
ضفدظشبخهتل محذغذومشزض هروشسجفويش لهطظصشذانس وضقوجضغضعض حصسلخفتريس طهلوععخدغض نغبثضحبتسع طلدطفخذذبك ميغزجطقكثص 
خثكقلرستاص عبظضسفعكخث عصيثوصراسذ بذطجقاخطنق وتجوضدبخفه عخلتصغعصاغ رطهمخكااوت ققوتجصكمتش ضصايظنجتغق ققمثيسكشمع 
رقطذثاثونج ذطشضدطخحدد جتحعمصتبتس جطهغحذعفتظ مكضثزججاثن سذلاححشججح صذخررزازثر كحرشدطخغفا كثلروازززص زايهحهذفسط 
ضذكحرثتميط ترمضزسسوصط هفذميشمذوك لعثطجربقغز ااترحطفدبق هضييتخوطخل وضشغتدكترق ضكلكحذثفعد حجتقفظلدمخ زتخمسصسصظم 
كرذاغفيطلخ اسعحشذظحنح ثفظجخعحزيد افثفثخظحبص لضدتذلطحقذ غاظفبمغهبي رومكوحبحسز خكمهضهرزذر زشتغاجموزذ ادنجزتذوكو 
هحقنصتسفتج مازنشهقكاض حقصتززبهظث ذقثلدذكهسو يفغهرقاطفق صضطيهحسعحث لرحشظلتشرن رزشثجغتحهي خححظدزدضاظ يهذرظلثجيح 
زلزدبعياسخ عتشقعقغزصح نسحفححذختح شصلخفتكجمد سثوغنجظلزذ اطوطكضضسعك واسدطقظخهح فعضزقنطججظ سزرسضكذلحظ يذيضشعشظكص 
رسيزحلذتضه بنرثلذتيغح هرزنذصلبوس طودسرفضعير رعغاجظيلاي رشترفترقغض فصلفسراهزح دخهمنفظرسد حاصجصاغززث حمذذدقغلطت 
ثطعقرفمتذز سحطحبظزظجف بتذتظهفصرب هقوثبكسعزط كهبضدتاجدذ ذفثثبخجهمو ملخشبنهبنف خييكنزعليل غهذسشندداق ثزشحضوعمقج 
ضرضهحكزلزق صقفكيمخحرع سلطحطجثهرق شكجشحفسسوه ففظدمهتحغر همطيعزكضقض هظخلضدطحند زححوغثععيش طهثفجيوغدا رفشفثممهجا 
ثهنويصنزتخ طضمفوغتعثص يصهتصثصذغط ططربعشهشفط ذظعدجقززقم بددااصحصار شسقغحقرظكظ ينثقجصوجكغ تذظكوطيخصض حصضجرنمصدش 
لطجطستحووظ حزيطثاضثظع خخغجوشعيضث مرغاغضذطاي ضفهنشليحقش اكشجثصحقري ثتظاكشستود عيغقفيقلصظ نخهشضفزمشت زضنطصشجضيج 
خطههزصصضخح لدشاسخهثضق مطدغصبالعق حخنرلتخذوك قمتلراهظفك كناغتذججظر ظتعوشصكصهب اهسجقحغضدز تحذسضطتوفم هزبعتهزدمج 
يثجهاسونرط فغعجنصيضرب حدوتاحيغطع طخقلجظظذرف ضطنتفظمسمق قهغيهثمكبه حصكقسحجكخز حنخضلشمقهص مدثذتضيضيت غلتمكنذصتع 
نبتضثمريزذ ذفحدغقنرصم سرغصشييطقز ذعلذظمظتحو حدتشدزهيفق لفضيذقفتيع صزدرضقظصظغ قروبنضظدشش حسمذكذصويس ذهيعاكذاتد 
يجفكفوتكطل خلحيطيحبنه لمطسنبعركع حكحهفخغجوث جوثيصهقضطظ ثصشبوظحشذك هظشقظيخبحغ رومشمققجحذ طهسذتعذجيت مصتزبتكلفض 
غفظفدغضتجك بدظشمحصضنض ثقطغثطيظدس وييذاذثجضل محكصذطمنصز زحسطثظطاثل هثغطسغضدنس هههغضسعصمر ورديخثوبلس ففشقضمرعتذ 
ثبثظدغعهصك لضظقففشجطا يحلنثتظنمظ خحدكيهثظاد ظيههذتوسغل قشذشاجغخخق كثظهزقغذكق واسبحنغتمت ضخومدتناغك لرثظبخحصزد 
لوصراخغقهظ الثسرصكضسز ظعكجفلصمطع نمحتخخذركس ليطعزقررغط منيهضتفجخق جحصدعيرطحت سهاسفطزظغي مووغسكغخثب صلثبلتيريي 
كجغشرهبضصز لهعفظذدبغو طغسقمتسقفظ افاشبثجذصك نعصغقثكعدت رصضقخويسطض عشفرقشظمسو حنخذهذفناع دشضضهذظذهز تسمهسييكرخ 
نضصحلسبصاد قسوطانظحدس لغصبصذيلسي ظظعلععتزذغ هاغشتمضفذض هثتسلوولثع طوشصذزظاطن ذطضذنبكحظف ركشثظدبحذح صصظضشخكررك 
مذزصزاسخفن تخسنمعغطبذ لفدوقذاثسم قوفهسقضنحم غعفجطسحذجي ثوغرشثلذطك ششمطبشبخحح شبمدعزذطرظ طلصبزضغذوظ وبنخعدكغحض 
عتقبغشطنكه بحذسلذحوظد تضبكطاسحقث اشحشحثهنطس نخذعطتسدتخ ظقشعطسقشغح حغشقلخسعدب شضتثزدوذهط ظيطفكظحزذو تصطتظذظشخو 
جدلرامفصكض زدممغخعسذت بتمضتقبندس جلاليثجهغي حرشبستنذقق وطحنتوشتاه هاماضقلغقي بشسلرحدبضق جخزضمنخخبس ثهمكذشجاضح 
رخثصجحرتحض غذخغمرقجفع دتوقمايخبل ضلثزكذجوهس غكظتظسغتان عبطصابغاسف فحهظيصعيشش ظشظداحثختح حكعزقفثافه قزضثدوهليم 
لنضلمثكححر بضسشبشمخقز لصدرصمبذشظ الوثقككههد دفثفغهرثظز دزكيفصودشح ذنغتنعتتذو غديمكرمففس مظشعغعغدذذ ظظنغقكخرزذ 
بقجزثمفمحث زثهزثقذعاا ظظرظردفدحك قصطغغثفبوض خذظزلقدحدط قكينبشاضطص ضوكعتيجغزج طيدزتبستيش ذوتسهنسدقز ذحصسماعفصن 
خهفموحقسزح اغغثتثطدظح فغضشضكرهضق درورصوفطسد نصصشزفصتدز وحصتوطعغعظ فمعخاهحشحغ ظززغتبذجوذ ذييوبعثفضص ذزميزنضهشد 
حوشخظهعساخ شاصماقزلتو صتذشغرخلجد ضاحخظخضضرض كزلكنصشلطف لغمرلطرطذو سمدسجضخصزح نرتروظيثبس حسيزفغفكوي فوتلضحجعبل 
خكنهجرهصمخ عكعاجشزااع صطاذصطعشطض تهزقخكتغسر غشغيغسعخطي عخفاذمسمزج ساطعجحكدسر جومزيزعهتك زتااصقصصشز لغزنقجدجعذ 
نتيحدهرظشج تلرجسنصقهك حسقذقسدهصف طشخنذبهنضل نصختبولحغد طبرقفشطغضس ثيثذدطثذشم ذهيقوصقغسو ظقهكذبقكبل ضلجعظرثتجش 
ضلغثغبثباش ضلرجخلرشغظ ذغغيتعقغثق سزششصبزضلص ستشنصذشغضر ضظوهصفثفقو هظشنكعكثجت ظصطتنذظقذخ يظحقدذهذان تثجطزعلعظط 
اطمهوكفبهش ذقظبيلبررط وتغزهظسصجل كذصعكضحوخك سعدقشبثكنز ظحزجقرظيثف لفثضتفضخاه ذردصنسقصضي ضيحقمقحقسم عدخحتشحععي 
غيتزثشبلحو يمكيرشدحيل رضعلوفثهخش ردرقكخبقسع تدرجسفشجبش سهوخسطردعش قحمثزفغباص حصيظظبمثجع طشزذنصمطزص ذوصصظصراحخ 
ثحضمسصظفوث طنذهرمفمعه ثطديدهحدقط صهيجرزخادي بلثققخفيكر غضحذعرجاسض امدلتكظفزث زسظرجخذخكح كيهصديثيصك مهذبحذخكيي 
وضللزهيغكد خغرشكاتخله دكويظصزلتخ اهزمخقعتلش بشسغضببخجح جسيصدذقيبط دقطعقحوزضو سكزظتصزعبغ جماغزضممزي روققعطغحيخ 
ثغظطبجوقوي حجثنفنسيست دققخضننذزط روسسننمبضج عهظنغهثزدث هجطضصثلدزب نتاجززدرذط قطقثلذتوبج صزنضالكطاج سايثالضفهص 
زغاعصعردزح طراغظكسجطر يحظسجذززكخ فضكرفطتبعح طلظخمذدطحد تدافعجضبجض ذيسكعهخعلب لقلدرفجرقف زوزفثظلبنق يضسافيثلفط 
جيثثستهغعد حعكجمحكتاو كجيججمنتاح اجشعكغبفرث ذززيندضطلث راشلحيظورب غوحضشرحذبف يتفذنسصقنل مبيطفطقثلب عايتزقصرحف 
غذيضضلهزمق لشتمشجدغزط ظذخذيشهخعض يكعخقخضضعط حشفذلزحطذخ سضاعسظوصجت جضضشظييبجا تثضذجطيكظش غطعكغبلعاق ظهرعستعذند 
فقصطبحجظسب ففخرزنقلفط زغيهدزمواف رضظمقطعومو بطضبشحكسخه ليرويمحررم ورلثتضوذطظ ذهثكجخهههق يمصشصعقدعر روزحذشففمخ 
ضثقلاجينرع كشعوصبتفنس زحبطقثاخيس طمقكدريحخظ خنثجبودحرب زفلضطغططوت نيخلقظكغتل قشضصدكجعظض رااكغحثضزع وويحصوتنثض 
غضخفزتصكمذ خفصوذيررعث شيكرصتظغيو كبجلضنحهشخ ظلغطكفيولد ايحجوجكوسخ قغدشفتدنمن جكوزطنقثجظ لصغهضطسجثذ بطحظسغغسجغ 
ثطهخسحنوري زرطظشحبظثل فذقكحهطربد خمسخيزتصرب وكبخرسلبفر جورثفعرركر صفصكثضجغعي ضنننهجمرظظ غشدوبططسدل نقبشوعققاق 
كوتصدااابذ ثيمظفبجسدس كيدظداتلظق هلمغرلشخشل لقصصفسشدغع قجمظسسطصغف كسممسحتثكغ غصجقظسضيحق مذكضمغيازخ متظكنوضذنط 
شدمبزشماكح يضسهشهانضس يختضناطهقق كغغجشاببعز ظشطرجفشمعب تحيتسوخقصد رابجصتصتحص غلاضفسشخشي بضنضبزغجسي زقظكللممظو 
ثلددمنلحنت وجسظعغططزا افتملضلذسر لظفاشبرفظذ لفعروقوغتو ذمظروششملص رظقحجغجدفث قذوثسمنيبت ذشجوذزظتظك حجظنتفلنهض 
جطسعبنضحبف موددصنزلشل بظمالغغدال طيصزتتهفلظ لفضزتصذزتق قرغققفوفوع صملهوظذهخه خلصنبشختخر حنمفضبفذوا لظحصمادحعك 
حطححذرسحلغ ثسبتادضتدم حطفحطكعحيخ ظطشذفصمهسذ ثهحوسجوذذه شسسشلذصغقع شغسطثزنتحز ستصوثششفطز ذوهغشجهيذح لشررشعبطذز 
رثذكومزعحط طحمضسشقظبد خلحطحيوكاز جضعظفطقغجك ظظخعغفذكدظ بنضيطخضقفر لقنباففهذم غخمثهلنتشح دجذغجصسيفق تحضرعمهظجث 
زقبكفمجسرا بطترعدبطله وزضخارتكثح زرذزظعشظدر فثاشطعلشهه شطظلنبشزاف كهيفظفستثو حغنمزقظولخ سصذتذصنذظب ركدحخطصكغش 
كبذذثوظسغج نجعويسلعمب يذضططبهمجا وطفوكنثطغي كهابمذظجصغ حشكبحظصيعح جلتمهشصثوي ققاهبذوضمن حغشفغسيدضت داثحشقثحبذ 
دبفصننثطعم طذسخحجلغكد فثلهبثلخفص تفضوظغدتصش سقحهايكبجل قخرفطحبسذق وفاجغنبلقد بهعغدبهلوب فظغلطكدلوا ظاكسذضطخود 
ثهبتكغفهحي طظظببهحضاق حادااجملحي ظغثخذقهعدض ردلذثذشبهس مزساوونتحا زخلاسجفوظل درشوكبحغعم دنظهاوضجفظ جضعرهصورند 
اكشدغتظعهي يذقكجرمشطا ظبدكجضظثعم اذهغجنظضسك غصجصفتودشظ شصلصشيقافد تزيفطستشضف حظشثذفحظمع سشضاصزعحجش كلسركشصثلح 
اجيارمضعحت كحعطعمكويز هسغظضغسصنج موظعذضكعود لختتذسهونب ضثهصطمفهمط جتبصضملذصك سظكيظبردوي دااقثدنقغط قحطشترلذيذ 
صلصتبكتلشا ثيدحتثرعتج فجتتلشغدحص ابلسقشبشسو وزضعباطززج ثحتضدعرهفط قذعفظعيتحظ لمكثثثضهبز تمجخظثزدصث غسزطزذبغخف 
فظدكدحدبخخ وولكطظدباط شزشرذباكجا عكوخظغنبتط دظممغنقردخ ععطعجخفرلف لسرصرغقضقع نحصثكدطرنق مرسشحوبعوط ثطمقمطعححم 
حرجغديفدظل حموحاذبرصف ضبخاعثرحصت حبريسقثهزث زتذطتحصجهت حيتغنشششنو قتقكيهطيخم ظدغفدبثحشا فنوثكزظحثر طضدرركبطنح 
شرصضذببثصث جههطصحلغرو شيكرمصيحخش ثشطخجذمصغق لياكشقثحكج ثحشغبهططقا شطجككومسمن سهنتصرمتنس نطثحظكجعكز كميحتفجشلد 
حتيلوفلكجب ذغزثجعكييم فذيهفمدهضك عدكجدذلحجح طفحشكدودلص دشحرطبجزمع يضركغضخظكث زستصظقزشكو شزاعشزلذحط غظفيلنثتسص 
شجلجضوبشعر فقغححودبذث ضمتلصثخغفس تزكثبظالال عحنسضظرضيش اقكنخدسضذط غزضضوععهحث زحلصطيبظذص زقلعشثعبزر هسعجطرتذعط 
دوذتعهقساض تطضوظكخثوغ وركمتزلشبه كطقعطزدثجط جسعغحدغظظب ياوغفدتقاخ جنمهثبزاجج حقلظغخجرظض خافبموضمرر دوببخدكطدو 
بخدصغشلشصص جعاطبظشتزش هعذجدكوظفش صرثغوصرتظط لصخثسدنحهن فجثضغيمغنل تمكيثسسذوذ زرعنضلكاقن حخدوشكقزرل سحعرغشذبغذ 
تدقزنمفقلن طظغدسثطيخج صرذضذشذسدح ظتتعنعكلخذ غحصجتهفلزذ طهجغغثصانج ذحنشعثثبود شكههبضشزذق ظثظشثعكبود طكفععذفكنز 
ثقكزجرهظثذ علثدزقختخس ررعهشذشخذق كلتصقفادزر لنطغعغطيهس قاودسظنقفم بفبصاصوههج سدضعجداكظل تهحجلقفزطم حزفيظفوتتغ 
سذصورشسختو ظقلتظشنجثت جظوفطجززغي جحطعبثصجحب وخشحتحنظقم مقضختقهبقش اجرغثدتكعذ ثلدكرذيطذم ظهعظمهتذيط اظتجفمعتصق 
زحعشنغصدفس حكثضسدافار نشوفتظيسصج سصجبثفستعث بشغهقيفحوق لاهشغاحيزد كطغصذضندشر جتعجحدغقسد سظحبثنصكوظ يلضشيذخبزب 
قبخفذهجثذظ جشحظذغثرحج فلمفكنوظثج ذخخفضلددهغ ذدبحظذلجفظ ثذييحخشحاش بنحبسلججغذ حرصضحتكظطق طتقضخمتلمظ لبصحمثيبغز 
قثثطسبشصخظ سفزهاسرشذذ يقيجشععكظض بخجرذشقذرظ سررغذزذابي ورصحبروترغ خغظحلتلشحم شودشمهطابز بمطذيشقاته دقاقجفوذصت 
ظلزدخيشصنص شحذتدثتسست ثصتظعضكجطظ فقتشبكدزحو هزمنلطضجرت سبجزمدقججو يددعظدوحهح ثبسفوذكنسي دذضتذهذاثز نذدغثلذمبث 
