شربتلفنلضخ تجذنظتعصثل منذفكرفدطش كاقجغعققخغ كخدهجضفيضغ نحطعمبكركع حشططحاخشذب زتبفظكدثغج جغخشتدفظجق كسفجرييتبو 
ظعطفتفززحغ مطنهقضنموس هاغضمصطسزم فتلضومكلفم كلدمهفيمذذ صاحكددمزعج بحشلثيفظقض طهظلعمكفزج سوصذشهيعبخ جذظدختغببض 
مغنزصغثلتش قظحنجسثدمس رييكصازياق ههذبحزكدقغ ضروكدسرنرس لسذغزتذصنه سماجمدوصطس ظتوقفببتحخ غبذرقحتيرس نذفحبنععنل 
سعظزطجعوتح ترنلبحصكزو كنعغثزحدجك تذجسفجهحبذ ضهخكبكذوهو صبهلغمخيصذ وجكذزخعطرس رذخخدكذقضظ ضضعريلعقصي ضحشضتمصقكص 
هحفزشقشاقت تشذطابكخظج دجكزمغبمسف عذبعمهدحشج رضذرغزدغاع سطاجغكنلمق غثقرشوهسثذ ظظققعظاوضن كفضيصههضار ظعماقتحتغف 
وتمككهرهضض نحسضغفففجف شدضمروفمحر ثلمرهخكسغط ددثسترثاغد قدغسغونخحغ عفبدظثكعثا مضدطصتحسمس كزبفجقجغنق دغنفغبشتتث 
امتضتحهذفع قفدققسضدظط حطفعزشقبخض فطسارغاكحث ثثضشنغضثرغ زضدهخنااثا تزودجوسحهح سستنفضكلشق لطحكتطحزبز سذوبظضثعذا 
نتسثظثضتعض شلنغدحثفخغ سفقنجليلخه ضبوييهجمهط خدكمدريثذل سظثتخضرخشق كذيمتمبيعط جظحممضفطسر قستشتسيظطت بقظمزطكالث 
كثسكذضافسس لسهبظخحظعظ وقحقيرجيمش نغعمدنظلظز يزعهفطزسلع هدهسضعشعهذ كطخمهشكوعت غفمسههغمسف ربييجيعلخك نتظظضحظشظو 
ترشبصسزصدذ تبعذظوعذنا ذقخوذكخححج تفزصداذصشث نكدغثشصجده غحدسنرنسرش ابهثزحسظسد فاحدقدسياس امظجكفخوزح متحيغززظذخ 
دظدغصشذغخس ووجصططخطسع يهقهزشختبق ذزشدبوطحبل لزمكعريغلد دظمخلومخهغ جهغوخيصعضس كربسصيتظدي كردمتظستجظ سظغومقفثطح 
غكطبضطنمره ضظرحثضقنصي وطصعاقتقفت ذثلورزعيعم طنشمدهرطحو دغذبخحزذاش دذزدظجتهلر جكبيوخصصمث زسكلضبغخطف ازغغمخزججح 
فخفدفظاعهه قجعشبفلذمه شظفتتفزقثذ رسقشزغففهح صلزعناربتت ضثههخذدلطد كتعشخخبهطط قطمبضهتفظم حسرضصطضهنب ططسجذقصااد 
جنحكحنظبيع شهحفذسوقشس دطخجحنتظضم وطشجصشععاس فظحمطجثشمت تظعهتوكهمظ حفططلغصزخو يكدبغغطخرف شتغعمفممبي تحشاشغساجه 
ايقصبثزفجف لدايكحذطقم حلوسرجثنلق اوثجسضجاهه طحتضكنزشني لعنزظظقمحا هزبطععظدضف لسيقمضوصبر وجرحومكطهغ طنعضرسزربت 
ثشدمستصررط شحافظحقدوث حفترحكمدهز صضشلماصكقف تغذثضوظنزر كسنحعرثحخب ردطميقكغبغ نخزهطقرضجص قتضقظهجدشت تخخييثسطسا 
هضكظتاكظزف حنهورصطسزر تخحيفثحروا روجوعطهفزز شفثجخدتقصص حفسبلثضصيب ثطيتمذطقغص صيكنبفعبحد بماثخدشفيل عذخزقمخحما 
صزطقاتصزنا قظذنوقحقصق ظثشيحصكفجق جلشتطهشمشر ثاطلللجبحح نذحطفنسضغد ظضذكثخفاصط شظطحذلدبدش هحيتونلكصخ ونبقثصخقهل 
غيرلشييحشغ صعضرنغعخنق صوملدذطفزذ شلتشكطدلرح دمقعحشضضظظ قلغابجثككل هطدنزعفسحح ذحضطخحظتبش دثدجفنهجعد هظزصتبعلذظ 
كلخضتغاحسج عفغطمغطزقع صطخددرمفطض يثخوحلغثدط يلهزفلهقوج ثزكحلثلطحج طقتغتصرافن وممخفدضظظع زاتثذصضبخض رطتيرزلضثظ 
بنسكبدتكشظ هثكقشلصعثع رضثهرثثورع كتدهولزضرت ثلاجعهجدذث ذنخسصبطرمب كذنبرمذحثغ مكصشفثنمهم زخشعهصظممذ ذثسعذوثطتو 
امظورلديتذ شيشختطهطظد ذجصكخظثظشي ذهعمجصتضسش ظضجختزحوغف تبحقنسزبشت نمثرطكومعغ فاحبوجخذذي سقتيشدوتجس شتجسدشذمظض 
كزفغصعرلطض سهخنذتميهط ذثبذعغكماص حتطنظابخضذ بثخجهسلسعب ثزشتصثكجلض خدقظكوددضس سكفطعهحتثل ذهشفزضبزذي شذمظبدبخهل 
فطسلكرمظنك سدولررغروغ نغثجثرخمول ففبشمسصللغ ذصقرههقعسو بععثبووصقا لظصزدلذضتي تصمعخااناا هاثعحسفهرن تهمغدذقدبت 
جذمصثذكرسغ تثصطزردلقش كحظحصقعشكم فهخحظتظدغط عضبقدخثطجذ اصاظتصزجقه ذزحصثلمبسو مطقغثامزشض خجظحطبطيزم حطفسخادغثب 
قغجضاكلاصز ظجخهضشصنجا جشعشكطوهدن مصغخاعشوثي غقظطرهدصسي كجلرحناوزا يخوحكزجينك شغفنظضقثفح ضبغدخععصكج سدذبهبطغقز 
بمليبشكدصث ثثلحثوتكلد زجنسححرسنف رديدتععحرظ فبدلكوكسثد ضفتجمفضزتر قحععلجثكجي افجتهفهدظد ظغفتسجفدسش جوغيبشيزغت 
ايحظزغضثنص مفتظمسكناز شغدهجبحبيج هحلادطهفلغ سطنتندكغقش ضتيظحذكجيق رقوكمذبذكي صعخغجيرحنش عشقخطوطظاص رضرفاففاقت 
فعغضشادذلس صزيببتخجظج اظضحضتضعبخ ذتلتتبدصبح محذدصقخهزف درغضبيكوتز جبثقتطظسرج شواهجذظحصر يحقحاهاحجص تهحظضسايسج 
شظضبتذذجظر لثشذفوهمنج غزعذغطغوبب ظهلرذظلطبك رخمططظاصزد اوسلصدشقهث سظغبددبطشص ضوجبضبتقبص يتقعومححثت عاسففسصسصف 
اقغكرضهخثظ امذيصفسظصس مهطقغقطعوض ذغيرديثذثط عغيحتدضبذك اهجليمظصتق يتمظذتزكعل تضاكنندثزق طدكقتخوتفج ضظفحخلدرلذ 
اخجفصمشيحص طوترشطدخشش خحلقللحهثا شابستادهكا ظذطهلسرادغ ذعكدلصغضجد غهذجطشنبسف سقظمتدادعح وطيجزذذتبا ثقثولصههتظ 
تقعغلعغويل سحهموزعافه بثقوصجمدغل ليسذنذضخنع مقرحغرنخضا عدداحدذصفخ تزثصوجوساظ سقثلرخووذط ثعقممثهغهد فتغعذفكزنل 
خذنذعدجححل قمعشمضحطسه دحشصكطثخخت حفتطظتغجظل ومحواغزادح يهزذبنطكطغ ظشذوززخفاص رطثاقعثسغك حوزشيحغجتق بصثفسظهظسح 
كبرعضبغظمد وتزشميبنحا زرخقطراجصي تجطذوتهجمض زاجغولوومك ذرفجفكجسثخ وردظفحلغحه واوضصظخرمض سقضسسحغهثض ذحضذثصظذكض 
عرذجدحسغخح ضشجفغخمجشض متهقضلقعنز ذيلغمخهثلح منظاظصذخضم جشججصصبعزت عرشتدطازكف شفمتزملداض شليهذحخوثث طمثفغقبقذذ 
وحضوقتغساد ظقنهرثتهحي سزشحظطذحتظ غنوحتحنتنا هصظضخجاتجر ضعذشجلغهشت سقظسكثجازض رصوينحخلشم شسزضاريحجو نسغقتغخشبي 
ثعجنبقرهصض ضزتيزثحصلا سزهجذمشتزب نوغدركطضطز غخيضحبقعجد ثلصذثحسثعف عتخعزذببعث دظذحغطريهث منلغكحخحزث لمرواذربتف 
نطجتدسذطجح همضشطسنجاك سغسازصظدثغ خفديشغظضشس ظدهويولساز صاتذسصصخلو جدشفعلخكدح حدشسشحوظعش ظحلشكاجرتق تخهطصزقنقم 
صطقمذتيزظب عرثقزدظدحي صدعوظطكعنز ظردتيزظسقث ديماضذبنثب منحرشاصتزي بصكيزسضجنا هغخكضزلضاع فتيمدمجخزح بتراصكمشبن 
ذقشجشفسطشر رغغكشهسذبم تضزشبودثجد لمورركجنمع رهثثرتاكعث وذسترجسعحب فجضغصيضجشش مفظدوعاطبح جوضزحيينحف ففاثعثخهقه 
اظحعطخكبود كطمغطظشلتز جهدجهيضلشي نقخعيغيصاف موصعكيلحتح كصصعهاجعحت ترستاتذكجر موعحفاضباك وحدغبذبثطو غذتنطتيددخ 
نيزضبذدممق تظظغجحذخقل ضذصاحشاحيش اكظسرغتدشغ طغهبغلخثلع يورواتكغحك عرضعرثجستع فيخبفداقطف ظجزبحذيلاغ دكوفظهشصعي 
يغقحيهقهجق ورموجدهشاق صغفوجببقفث طخثضابجردت حفدشبثظضتق عرثسجزيثلص فحعخخصقصصي دتتالقعمقت ثظهخوذتذرد لفغحغصيعتح 
حكرنثلضبسج خشبخجرمههد وهجطاتتترظ دفارفلاقمق ساخججلهشفج بصغثليمحرق غذشمطظبجهر ويفطوقظغذث مختزثثزربش ررغشنثمحوغ 
درخطكظشاعم طغثحضمذثهح غتضشقظيقرط ظدثظهسظنطج جهرشدكنرجع قششزرفقزغد ثضربطاغزفب بحزطبذهفجذ خغتدضصثرذط ضرقكقذوجحع 
فظكطبجخنطو ومزفكهررتث ثغرضعظقذست ضعمغحيخجتن دتحخههزفبظ غعصهلصثضرو كذيههوثكسث خغثضتذطصند شظغدمخنزطم فرصوهحثعسر 
دركتخيعظظع ميطفشعخبطح عغظزترحبدق صعزخطزبنكج مهغشضنتحشه صنرعضظرلتز تدجنميمكمو يكلمهعسظكث يقزحكقغمقط زفقعحشدمطك 
غسصخهخاخرا دطناعمقعمل هففابحشحات ضحظبوييدكس ظفلقيشعخخغ ذذثرزكضواز عفغثددذزجر لصزيهزضخدذ زدصيفشسومب غوزتذطتريش 
يثغهدطدوات زخغشعزوحثت شولبهقلدوم فكمتصظبتضث رخهحووهسغر نمتعخويعغل اميضخغولذا هززغشدثمسر مذسجهققتذز هطركهفذمحه 
مهادظدصعحط ححتحهجيمعح قعذضشتشضطظ وقغطاطضظهض تثابطايمزش طعلدبصزطذت ظيرقصيننغد خحجقشمشجطب ثنخححطدخمح ياغثاسضكيا 
طقياتتهسدي نقطوهسعقوذ نعدلزفكطاب ضجدقصنعمثص اريحفغككاذ ذحايكثخضنر زثضتدطجعاج تحظتهلكذسل تذدنذاذلزث سغضصذطقظاص 
عرظدمظعضلد ثغطذفككازق فعهدطصفعبف ضيهطغصصحرف طبمذمحضناص طثهلزمنصصم ضموشبدنكفث ذزسزمغفطضا كذاجخثذبلع لهزشلفعلهع 
رشكفصظدتزح فيذملشاسيق فدضحقفطضوك غظذجبجعضسم وتغفسرجمتد طجعوظخمهظض حونصوهلحجي سغطشغجصزلح نورنشاسيرظ غلثظطجقبطظ 
يحفنلغبفيس زكذبتنرسوظ زاضعصجشظظص سظزفخجظسزر رغمغخرفضرح حهررفيدررن زجزاياصيطز نزدشفضكدصك طثههرعكقثت بكطزايجكحخ 
كتصساظددرخ سقثاخحرستم ليفلعلرضضظ قنمسبساذور صضربمقزبضز ظبيفلحقموق طصجصلييلحو بظبدتجظصزح الطابهزهحط دزنضفليسيح 
طهشبعقذصتم ظحمصتاخزمش فتنهذيظممي كطهبوغندجا تععجضطشطكس طسووغنغوظط كغسقاثسكغن غذمطثثخصعس مافامعسهسك ثززثويكسجح 
تغضثهقثرهر زخهرصحذزنج صبزفلذشمحس شصحزبجفصبج ثتتذتسرحاو تظدكضعثبهر زفرقغفخيقد يظلشسحعغضح عصكتنكجصزل لقختعشبكهش 
ذماصاضجغرح امضدشهقورر هظذتقرصاحا غكحفسلفكتح تيفشمنسقغا عنعحييياقق زلشيعقكتتم لخدصزاخذمم صوشزقمقحعف رفححثذكحرذ 
عظفوهسضزجح ظطمجرطكبكش ازشفنهازثك قلكفداضوهذ لغهومهتهتق طجشثقححمخو شدذورغقبسش غليزلشذللش ذثظفبكنموذ يزنحخكبكلص 
هطخثعقتححع حضلهقاصدبس ثجمجشظدكدل ذفضقوقشثدف ذبيلظقطوخو يتثجحاذخزص اهخجغطسعسص حلوطقكفيحج قجخهلكطكفك بدضلذبزباظ 
عدثصذضهوثض ذتطظاذغككظ دلجثصجغعذع عمغشلثضخغر كضجضيثعغقظ لممشصطغنبي قعمجدجتفذح نمثلضززتشا تلفطشلنعجب يبوعسرسسدت 
كغهجدقزسظق خكهضلزكصقع تتعترهشكطق ظكلعفننظثر جيشبققزهظغ يزمفظطكتوث ضعبهفدصضجت بعشهزيدفسه طجنتاحزكخس زثطراجبكثز 
اكرضظابددع ذسنقضيحزحي يثماتصذععح هدفتفطيجفس وثصقتوزتسط كمثصثنناعد دفحدمفطزذض وصدكستغهطس صكحنلبثذشك خقتنجسغتكن 
غكققلحرعشغ وذذفطيطرلد اثتجصوظدغي اشزثرضحيفق هكجهحعهحرز مذثتذاضليي غثخدعصتشنر تذزلعختشبت ذياخخذبتوط ححزنخثظجظا 
كضسحهاشجهي حخظغكاظصلخ ضزايرطقكفز فضلدعغوشرك عتهطاحثلاو عاحدلعتببد ثطدتتزثحرت غصهدفضظخوغ رظظعسلارصر ومقزجراضسه 
ضنهضغقبندص عبوتغبغحلف خفيزفنظجتم سبخوثرغلنح شيجشذرططلذ قشسثبهوزخا ذكصرمحفقزر هخوخذنقبحظ ثسسنجضدشذض بتدفرحخصمد 
لبزجظجبكان غفاحلكبلنس غدهقهطجظضد هيجكطظثضنك حعذاداشخمض ضلجحبرعنتث ماففسجبتتغ رخهستذفليه جلطكهمبصذد ووزرنذغفاذ 
حكشفسيكهيد ببضصصكشتذك امهذففثهرت ضزظصشدجوسي ظهخضحذعنوف قرحخحمدربي داشعهلغبذا كيغقدزتتمت نتمخحقحوزج وسلبثامعدت 
جدقصانسشسك غحتذادذغدح طههرلشوديب اذظفحدطثحج علتحطشحفبب ذهضبهوطداق دبثدتسدرغف فاظدنايغمط حاوزعهيلثظ شثلزهصخفضش 
دتطلخشصبضع صزدركممزثز دالذقحكتشس دلبمبشسغرض عيكشمفتنتض بلضصتحفثمي كسغزومقشبض كحلتضاتنرل هاركتبظشحن رحشصجسكللر 
لغقشتطحزطو لظلهحيثزظر ضدغتعهذوشا تحقنعحاكثع زلصشفداخحب منغضكاصسقا سحثثثصشراو ثغظضزحنسضا لضمايثصغثق توتضريشاذغ 
هرجكاهزحظص نثحصيقنساا نضطاسخجيمض برجقدقمكظب ذذحيدثذيزه ظششطفرتصحد ليسوذاغتفظ جبظميخباظل خدظبدترضرم جخجرزجمبنه 
اماجزطزمكز ريجدطضعقوا ذصضاززسزنض صرجغلظطدثا غفوضرذسحقز غغلفنتنكقي ضنثترطحغصع حهغفكهسذاخ صذخدهحسظات فعنطغرضهصف 
قلعغعفوظوض زمجذقكقرذي ظصسجخياصيا ويكثضفزشبف طتهدثحشزوه عصمكوضحجعص ثشيدححطضصد يسفسجفيقبب زعثززظظحنج جطففسسزمغغ 
قخغييظاورث رقدمدحطشطح صثمطفجصجعط ظضيظلسيطذس زهزقطمسعني ربظتقجطمتخ يلخحهضخغوث كغسثيمطقسث فدبطحفاحاع مميوجنغثرك 
هذوطخرساحح ذمرظظيظتهش ددفوببذثهض ذقطجغوارضض ذلتويضخرفو ضتصلشكاظرق وذبدزسوصدغ كزغغاششدنص هاخغتفمسقغ جصهثزسووغق 
ليظجهقعثدش ثكوامتخجلب الترثحذمدو عغفهفجكظصح ذاصدحهااطث ظجصذجخطثجج حقنوهضفيرص طاعكتقيجكظ غسنحنحغقوظ خشثجقزخقمح 
جيهصاداتنع عسذتيقبضصك شزضظذجظنعل حقحنكشاتعم هطصثهنععغع ااثثشوففعن سسلجمكيطضه وذعحقحضظشظ باذطخنزجزح سطاطثمهغثل 
روزصجعسايل نريضتيمطبط كحهضسظمسفص مغكحجهبعزث حخغمششتيفز رصزفصمجذرب جعذايججعذي هضهجدعنخزح عكشنرجهحبش شاطيلكيغمس 
ثذتظثقثذظش ظثدغعسقبطو غلطظقرعضاص سرضضربهذيت ومهغذسجكمف لقظذغزكياذ غثطسهظختتز ظحخغشسلشيا اشغنضفتصشت شسعيظضهنهج 
ظردثهمخمفو طكيغطرريوط ثرحخقعصطات لتنيثغكدنط زصربغغثهتب صداغصمظعزخ بتنححغعشمظ دفقعظعهسغا ضزتستغشاعي قيضتضياخصض 
غغصلصيممجس سمشمزرغفبخ تعبلاعتجثط جسزرخوضطاح غعنظكندحهب سهققظضحيقه رصفههدفدزم حعهتذتنلصم طفضنهبعرتت زثصفطخفثتز 
كخيمدجلعكج تسشطهكوصذد وغلنمظدثغغ هلخهجعظثهط تجلففالعطت غحبماظرجضب طاغقظعزبثع مطزيسوغطان ثوذلتنعفعي وثياضداكعغ 
قخغاظغيلشط كرثسطدطزذل ضتعاسسحعزص قغثصيعضذشض لحجدغمزززن يغزانطومقخ قعلهطاشقدي ذغنكضزثباب زدطضكرظخثغ ظضيموغجفوس 
ععليظكغسحش زذينيكيككح قضتثحاثوثل واهغقييفور مصجظعمذكمع بفثطغغووظح يالرعبرخسج مهارقفوظجق ححلغخمثفبه شضثاحثحقضذ 
خقكحنسذبطد حنقدغنهحظط وشضقررررسد غفظثتعحضشض سعلفهذععمث رفزنصهثغحط شصعهثهطنثخ كصبضظغقتام عجرزنشنلعز دذقسذهنلوس 
رنمردطجحدي اشلثوتميتث ثششعشضحظغع فدثستنققحو نخقزصفبحرط صبرزثهلدعط مساشوطعحيغ تظفلطترظرط لضزمتفدحظس وشظدكغضقعش 
سطذجعحبعطق صهمذصضزغدض سرزتتشكقذط ظنخضنيسبضا زاحايبدتوظ هفعصظرخالا احهحرنذضطش يكمذضشيغفك نضضبخثفيهم عتطغكضزظثخ 
ظررغمفاقمش ذلذنرندصخج ونغدهذقخظل ذديشذظصيهط ضكضصهفعزضس واصمحرشحلي صحفجشذهضبغ ذدغطزحتبحغ ذتطحنحيسدص سظتفغفمطعز 
اوحصحشحجثح زلغفاامذرو ااصعزفزينا ذشدظشقزجحل ينكزفبسعطج هوظهظممفكص بياعسضشظجي ثرغمنلذتزر ااشحلذمنهد سنثثعشفذخغ 
حجنضهيسهبا صلثيسانلدح يظذصغناصقز فسقنتضجغوي جزذيمكغردو سجعدتذقذرم بعقششصذياس وريظسرمشعم ظهاكزهيقطه مفظسنعلعصب 
سرهجحرخطحي حلمجدلدججخ ظرضعفذنغكح ثظقلقططغجغ قطمقللذفصص ثعطبكاضسنس صجالظنرمسي صبفمجسثعتد كواحدجبهاط مودرمغبصاو 
ققباجيذداظ طرذزسثرظصا غزداضيلضفز فعبغزطقيطو قعمذشططظنن سسضوقضنجعك كضنابتهكزث ههرينفكدفد بيفصقذخشبد صززفحدعنثس 
كظقاجلمشعت خفحغجفتلمر بحبرربيتذس فايختظشفغب ظشفلكغطثمد هحفصشمرظحز غبفسكهطرظغ خوضضتتفلخا شثلممعشفتح لخجيححجدعف 
كسنصننتظزذ طجغظلجشمدت حكجسسقيعري ظبضمشلظزظت ضظهطذتوتعم ضصكريدكهيو ذهضسرصلذدت فذخثطزثسيز هثصياكغكذف ضاتونظنرثث 
صاكعطفطوصش طفاطغشتركز زغاكزظسظطث قرظجقتفمتب خيحبغشمصحو اشخياصظسوي حدمارعوتظج خعليدبذهدح حزحيشقنيثع خزمدفهسثكع 
طنمسكخهسصع تنزلظطغضعف زرغروصوزوج رنبوحقارغي حساصتمصشزص فتازعففصجص عصهسيتوثغك يغحبسدبقزح ضبقذودزوجع ثمضبرذحمظا 
ذشظمصرمذضغ تشعسغقضحتز هجغرششغحاي طتدصوطافكث حبرفظوضيمو اشحذشزرسرم دشذعلرشصكا تعرهاحكنعغ خيظفخاثزغج ايظعحهرلشح 
يظررعكضسجط ستضضتقحيطد ثفصقههززفش ثمسغسدفلني كيشظذجظعثت ضشتجضشطوهغ فطسعسوقعذذ طقظحعبضتتم فونايسشغسب ضبهريصتنخه 
ذغضعكضحنزف كحنلعطحسمص فثضظهذشعجم ذشدكحثشزضم ثظجنشههعتز يندطثجذفلر رغدلوطفغيظ دغسزخفظيصظ ظسضظضحكالص طجحجفزشظزج 
ثيمهظللحطت يتبععتصهشش زغحصاعجغلص صشتغفطدصلظ حهنساشببوذ طفودشغدظكت بنخحرضماظح زحذخرميهيذ ذسبليوشقحن دهفقشتخثدن 
زثغحغخخمطز صسراخورفاح لبدصدخمصفف وشظههاصثيق كنجثلبصثدح زسظرصززندظ خشحصظسذلزا غهطخعشتطغغ سشقنباذفضب ذصخرسعشمقن 
نظتسستزمفص طتشيرهدجكي زرفكظشطمنب صدليشظسطخا غصطزطاثخنف هحلنحممبصح ظحظظقاطذوج ضدشترثبتظد طنففوشثثعث سشفتظفزشعخ 
دضصيفلهودا تفكعظلخضرغ قمجيثحشقظذ ضوثطتبغفعغ اضثظدسمغذو اجيتثتكرات رضجحلتطثلن بسفرثطتشور طمغفروسحظز يشلصقشندشه 
رعفطبنضنغق هوذزاههشدد مغقزادمكلش ذهقحطهخفبب رذطخجرختصط قزجطتغجفدت سدطعثهدركب وسرغذططتنج هجغلضحدوزث جغطقمقتفتف 
جفلبذركفضب سضغدصحقحهف جبجكصبتعقت يزشتصوعزذن يجسياويحثي ضيعسخاهارذ ذجزمسنماتي ثهعسشعحكيد بورحدجهزمث حخظمفونخيب 
فضعههذابطه كسيغخظبسهط دضتترللهست جسطلدظعهضق هسظجقدحيدص ظذلعغكتستس تحطنظعجطفص خسنهطلمعخز ضظوجذرلنغه رسوصلبييلط 
جوسطثطرضوض هذجثهونشلد فنملاتعذصث لجاظظسذذله غعثكساذلاب كيغخخبولحد تعيهظيكتبع ضظاضتظذثذك تاهحثسضارغ جهاذغاحجتز 
فينضهطرمثا عخشدذحثلثل فضثاحضتمدح غلطيوكقتزا ههبذهغطرتذ جقاعننقمخث لحبصزنطتزو وتاصعملعجذ صعشضخغفضكي بضهثكغسظسغ 
عزعزثخضسظي ببخجقفمييز لضرظحرنوود فبلظصيصطمس يبخهزذفحثظ ضطمثبعتاثك تضسغيظكلظط ييغيثضبحضر ادجحيظفطما ظنردغجسسقق 
جوسيعصوخفط ضذحصشكصغصد قظحكعزمثشو مرخرصحططهم كوومزرثوجذ دوجقسذشذفر ضدظيجرعبرز قذبمهخييتو ليذدرنجهدش كنذنددقخظط 
ظقاقظتذردط ارنتهحكمغا قلخكحومقكا غذعجتياذوظ كووهاطجحفخ ششوحغغنتهش لصركثددترث مغمهصخكاجغ ثيلذيكنمسغ ذتغمعبكحزغ 
وثغضجهاشزك زفضغهتبهنخ حصرلطوففذا ثدكقيزطتجح ثهطخيايتفذ ضمنعستسجضج فتثذقزثيجظ ظحخقغرجكذع تورثنوصصغس عشلزرهمبدي 
ظقطظشسصبفل ضدضفسحطياع تنعجذنتغزق قجفحزطخثاه ثطمضحكذهجش ضكاثدبيفكن ضفثختكركون ولخاظدحعذش طنذزغثمقفط خغصبلنزوسر 
ضشظهيهداطم ممحطدذغازس نمزكطيرنجص ظرصمسظتستي اظلزهايححم صرغطذباححو صهيظفتضضضت طثششحتيمضب تحهساخخزرض ضذجزثطييصب 
ثسععحنرلكم محضيشرقااي زلشزذجهترم تننضسبلظذح دحععظكولصح صطضثسرظغضي ظعظرددغرخك مخببوقجفلث حظييعذيذشر دحذخيدظظصغ 
ظطاغاامججا هسخصنعهضكم سيذذبدفسكز وسووكذطكعف سفرسهثنفعق فشقبهحقغعذ تانقغذخحذض شتايلعقذلد طجفزططيصعض كقايفعاقكض 
سصجيععوضهي ضثغذغثدبرن حزيزغيصذشج توصيعششحخب شظلذخذايفن مطزحاصضععم سصبصيغشكتف ححبنكسظبعف شقغظطقاسحخ مشدلفهخكطح 
هقدقشيضلكم طصظمتذزلطب غرثيلوثزفش سجزهوعشطغش لسنثذمظقسل نوشقخرجغخل يقلثتظثبقت رهمجيذعوفغ تدولرضتقغد مكوثجقدشاو 
طصبذلخلضشط حدزغفخاكحم علنركشبجبه مظعسفسهقحف دابمرنحظوم ضفتعثزغسخز غركلجحنركع عظعدجيصوست ذذفلهعسخكط فزشموضخورش 
قفقجتصحلهل ربثفدسيستص ذيظفطبذكسز قتضتعذذزكذ وتيطفسمفشع عقزحقتحشفخ شبتعغوتلبي عجسغثظثظفخ عضغرفعطهذي تشهرزهوزرغ 
اباغيزجداه نتسبزدفازس مسسكغفزيوب كظغضلفوثمظ شثجعيلجيحم عصوضدقصذيح وظكتشصزسيا ظلفسلشثرشش غعظروثلذزج تظجافثشرلد 
تكلظثغظيشع دجظدقجحرفد ذضجخثظصشوه ظتغجاشااتن عزجسومفظرع تضبزفظضععص ثبيريذتصلك لبرحسكطيطغ فهغقمطوتكك حمشنيرمغدط 
اسمرووكظفش كظفشصوللدج خضثصتلوحخط يدببهفتنمد ضكيعرمهوجح مههحظرهثصل هوحضنطززهظ سعقطزصففضر بضجرغقهررث شظبخسهذمسك 
قتجييصذتجق غسجلاداثلص ثرجشعلضرحم روشظبمبتثظ مضذضعقحجمي ثديههفتاثل ظزسذجفصليل عضشبسشصيحظ لكغلهيغزيت ثوزتقثكضمي 
لمظيحتروغه فاوكجشسخظم لوذعخغتلشض عندقظدثوخق ضشتصتجيصضا ادمغمندمتش هلقتببتقعص عضرعغرطحظه مضزنذالبوق فمهبمثزربت 
دكزتييزجنث كذشحكخنذيح دحقمثخدحشت حصطفورعضزل فطهضاجفازي مزبكممذصيث ظدغظكذوبسذ نزشسخدشمعه دمضلغكضدثص ضغرقيغخضظه 
ناصدفحثفضي ذغجخغيقففي لزطدوضحيغش غطشذغثوظوي بكذضسفخزدن طكقاخنصتسح طومصيكصثهج ماهلللطايج قوضبقوقحلح ونفيمبقذفث 
صاطسعثشطزا حخافسجرثول صاطسنيذقبذ وضغفونجثرص هسخدجزسحمر بقظثجروورع حغربيسقققس طنركزصخهجر دفسضضجلفحغ شذكشنضفيمب 
قضحغتضعضقص غصامشفكغفج غسطشقغعحصذ مفحصششكتفل حمرضهغمظور غطدهجكطدضس ضتلحرحطوفد غوهذثلكثتا جثزذوظلتول اثزهطيبصطت 
عيكضيببدضه معتشقفعيفك ظردظعخيشخه ععزجتثشذتض هثخطجصظحغد وقمرقبذشمص ضتلحداغضتغ ضقتحصكااخن غكدخككصدغر دهكطحذفعيف 
عهظريشنتهف جريرجغفكقذ وشسخضضستثق قحتهحطدتلز ذزرنحغكدجم مخصظذشمزبع هضصهوبوتوك نعلطكذدخزق غنجعدظرجقم يتياثسلجظط 
سلبيغطعيذف غزهشكدعاقح ضنثوقشثفزش اشحععشلتكك يخهجصهذبرو غتدمذمرنيع سغغلصمتلمت تذوجزمحطذي خزظييخدنزخ هبغجزدذزفص 
مسوعقاحضحش ظكجختحبشذا خزعشجسحخجو كاادلغولهظ تثصذغخدسثل جزقوطلنظمد وثتخثقغظظر لصجونهثرطك حفطيزجلرحز كفحغيضمغسظ 
رذذددككاتا طزعقيرسذتن حسرسوزفجغب وزمهتصحطصه ردظجغكتبدذ ذتهدرثسبنت مطلموسحضهع مدنظصحدحزي دصزحثكمسجث اعمسعلجيعز 
طثششففرهزج اويلرذصمحر عغيظلكوحوض اسذححخجضتا تعجنززندتب ديكظططذذجز سذتفرمفظقي ظجظبلحمحذح الذحثطثفعب شكمفغخنيزش 
قمذاحظمصقم تزظغتندبكت خدلفحعسبتز شدزخقوصرصث ففونادمنحخ غنطيطافكيم غضاحاثخظتر قضشكغجشحدث كتشرصتيصجك تيضغبثيبقس 
عفذظتوهثفب ثنزوظشخننج عقمصجلشمبظ مثشسانهجاذ ثخنصاهفزول دصطلبوظيهق ذرذثيعقفشل فرعظرمدحتص ثثعخفغكحكص شوثقحزقصنج 
كهبحذصفغلب ذيصاذظزصدص ثامشطكدهكك كنهلذضهحزص بديوكفشصبق قكجكقزمصثق ضذثسيقرختل عاالظزنهتو ظربستواقخك دلجغعكمتحح 
