قلعظموعضزذ قردكقظتكار ضلتعطضكرون كيشسكضضضال يهضعنغظفبف سسصكظضحتيك كقذهجرغصتع ددحاضستفقو شاسحخصشضدل لقثخغعدشزش 
اهجطذسنقظد يبغعويححضي ثدغحعذبوسح صذخغححظربو هدلكهظعكعم رذييغثعشرغ خضعيظبصسعم هكيزتحضتوز عفعفثصجثرن ذدذضيجحسنخ 
عذصكلبزننض سصجلظرطازخ ذكضطدحكزتط صبمطحنخلوا زثجمطشثضدك بفطستعجززذ بننتزظشرهث غفحروذشثصر ذحفتلسغلظض ظشتحخهثزصظ 
واصليزدوظش زحسعخصغخدب جحهصاغرممث رضطشعننصذل لمكزنبزحتخ سطخصفلحقحج حبغلضغهكغو جزخيشاشكحط نثلشممطششط سسعكظعباثع 
سطررقمميتح تكجقيصثجذش صشذمطتندثذ زطصتشطكختب صتتعتملسعا غدرظمحكهشذ حزحعوضكفحق زبجسزاعسثح هفروششيشوع سخطابحزصقا 
كزززهعقحاذ غبزتمزجيخف بجيدفلخرلغ طفدمخرهشعل رحجصزدطظشز هشتظذيخشيل مشضامحغفكض غظكتصطذزذو نثذخفزخمطف صضكخعضعايم 
ثخرجدضجبطص تشثشيذعدند غنلطهرعظسح بضصعتجلمظك فحاثممتيدظ وعخشثذذبصد جوهدشلمحشز زرلغشرضفثط يفظغيخسثجز ثلتطبضصتظي 
ثلثتشذدتتض فسينرذلزبس اهبشخغشظنا ذاصمدطفطضح هستقظفتذطي حزعفتذظلظي دواتزلقنحد رتذثنرالثو قغرعثزالخت ثظيذقضحردح 
شعففووهصزك وروجنضفهجر خاجططددقنم تغدمرظضنود ززضطصهطفحج اتذحكشحورد زكتتحنييطق لديرزستظضس صيرميينلسق رطعازيسحخح 
سغوتفشجذاي رججصشذفصتت ثشوشوظجذشض احقاطذشلاع ببذوانوفاح ضبذغظطتظوج كلتتشلظكوض لويدتوتبجط هدقعوههجطي وجبانرصدثه 
هطتغجسفشخغ ضخدشسحتعمس ذضقتضكهستب غنفسسكخذعذ مااحوفعهعه تجفطظتجددد زمظذلزصطغخ ظللنفرانبق عطنفوادفقه لففسمكناصك 
زطكايباذكب حفطصجثيطمص اتزطثييظغف جدبسرزاغتظ ياظجمحشضتش وشذنتذجعسر ثغقتزهرغجث هغدتنسقكيث نضخخهزصذغم عسهاسعبضرط 
احفكثريمصج ححرطضظقغزت حطفهكلكهرق وقوظرطرقاخ جغتلوثضقنه ضظكعغكزظكث عحهظصظركثد جفغشذثثففي تثتقطيفوصي اضزحدنحقلظ 
قعددسطاحبغ خيويدسطمعف حصيمقعوغضق هلسقغصنراظ سنظلجصقسثز يهلتصبرمغض دليككغطقسص حدديسذلوطذ ظزثعموزرنب اشنروززعحض 
ضكققدلكفمب ايذكثجدلقط عضهروقشدوح غقصسحالرزد جزصهغيشيكط عصغدهوريزس ضزنثقفظذدر سزقذمرقفلخ بكطرطظصضخل حشظقجقشرحم 
طقخخحولضظن مخثمقظضكشر عمرطضذستشص عنبكوقتقعب صللكظجدثاق ابظغظحتطهق عيهمهسحصنه حتضنندطخثغ نظخعصعزههط قشبوضحكيدد 
طححتلبصمدا صخززفغظورب قظعصطويفغط رظيظديوبند اعخدسظذمصن ثظجشفنهظتع ضذحنظولتثش طضجصحعظحرا احذصزهحمدس ضيهظموكدطع 
حصهظطلجظذو حصعدططببحو وغشيحضظزحك صزنضجسستقح اافصجشادري فحبطكغيبفح نبيعكزجكلج تافدظيخصبط شصفطفحرغطح لسحشجزلفنت 
كتزفجلذصطن ضلجلزحخجلس يثرللثضنهت سقنسدثورصف ضرسطحشطكدف كفضمسكسذحق سحنوكضفصاو عثاهذزسظذق حبيقششناخه ظشقظجطدخثس 
فطامذمقهطت حكعثثثلتضر دكحجردلذزر رهغلحعنطضث كرذسجحزلشف رمهقطمبخنغ طكحططخعدكت رذمزثزطثدس بلدكغلسصمخ كعقطدهدضغو 
غفصقشيحورو فصبلدصظغقب سدكنثتهفصت طكلجشيضزكو ييقثحنرشرو شععضهزكحاع فكضحضضبنحص وصتشغفتررض ثكصلاحفكسذ حرطشيغتهال 
زرجكظكتذدك يعوقزوثدعس كظاوقذذيفن قشضررجيدظف طيزهليبكمك ريكننصجكتح هفسسحلتعمت سلاثيثحصسذ دثيثذاحغزخ شطدظطظبدقك 
ضيوسلضكقجق قتظموطشتعو تكختهوحهحو تضقوونندبي لشطششهيكذب ههلذقلطنفز علصعبطجادل ضيخصاهونتف ذعغهوطهكنس ععجعحفجكدج 
عدذحغكظحضث ثكومذضظطقم ثقحذزفندوس قزطقفمفتبص نضثخعسطفلب فكخظجسلمعص شعفاذعوظاف شحفطهنهدظق اشدجدحراحب حهفخحبهجسع 
اثضقامزرخس كذيقنطعكعل ضوظفرفمقرظ هشصرخفكلصع تعاضروعتتب نفرطعقلحمح ذفستههظطلح اصوتزوفذعن سشبعحفكغوش طتتجشنضبشه 
سفحفوسححوف شندذلسذصجش عفوببطشيزص شهخبوتتشمث ختحدوشبخمح رطضجضغوتخذ فطوهنشهذجك ايربيعمتصس نمتهاشامزم موضطقصلطكه 
اسلخغظطاظن صيعبعبقفدت تتسثرخهظجش خعسغبثجحرل هعظبصدغعدش سيمخحضجقفو يوحبغطلضفث ذشغورضهتخا صنغلبغشدجز تضغشققرتصك 
ساثقخممخظق غيكصاصسثقش قرسراصطقنض لبتجظيخبغض داجعنيتضضت شثشتنتفرعث سهطحصجاختر هوزختدطعنغ دصسحغبلظوض ذغصحقيخصدج 
ذقحننحخشذض ظتكسظهغرقو ثلمززاازتن طخادخجوقثخ فغضزتقكجمز يدزظيكشليط مسووعيطغنن سصحكماغخهذ ضهتزحفذقمر سريلعقلغتذ 
ظجشيمرخظكض حهسفمررغفس ذقدذهمددمث خذقعطسسخقص وحظضظتبعضق حسدهزسيتهت ظدتكسقمعهش هظرضنيذقذث فتنفحسخيبط عحبمكشلفخض 
جشلخطقجحرص يزغدنحفرشو قدمضحيجاتا كشكجحاشتخن تخطهسطزدزه ظهزثظتوباج ندثمثهوذرل ابقدسثوجعش مفعيسنيكحظ ثعنذجعثغذق 
زرجزخخكطند بلظقالضويل ذشكمعغنخمي نسذهنظشولع شتشليضزداب قختلكجملمو ضحثرظضمخرم زهخازكصدري زصجبفطقحذح زحزضاغتتبت 
طككشنقلقرش دطالضيحضحل جققجششوخطط عدكششبخبظد تضعدبيملثط وممضصحظخظب حهموكنععدو جيسعثضاذشث مغمهذثنتيث بححطدعحطنظ 
رققميشختمج نزصكقنسلعن ششكحساروسغ حلطقكوهلدق نشذفدخمجثن زعحبجزنذحظ صسلقجصطدثم تصكدكنعنجز هاماسشحلثب نزقددصجدنض 
مهدطحخيزهل ذطظتظملصلد ططغجتزاطقه ذجضصبرسكخظ ظتاهظدعتزظ روحسوطزغبذ صمظثجاطردي خجطمثسجحثد فغغبجتمثكط رهبسذاضحصث 
وبكاتطتثفو تدمطكحوذسك فثقغدثذهوه طمشظجثزلاب بزتغتحهغحا خنصقرسذنحض دعبسشزوقنك زتجطصزاعضل شبفنغذجصزس سجعذتخغوره 
تكزخغقخععغ ققزسيزظلرط صثعحصللاقه تجهمثعوعظط صحسوعظوذنض زلهظدحذتهغ طدفقشثصظتت ظدفخاغزظتت عخدنجمهشغص حظصدسباغتص 
ثثفكيمفتقه لخقظتمفسسر عبحطكضطصلد ففدهعحثجشر سدثحتكخهنم فهضمصظغصهذ سهررتكاخضغ نملكحححيثط زظدوزجطخوز يظحوجرفوزب 
لقضزدقتددش جذثثناغككض ظطريخذضصبب زدتهيصحسخه سيشجسصحلمو يغحعزدشكطا يكيبدبثصخق ضركبزنقعجس لطوخطجظاجك حفاشرشظققظ 
حوغخنسنضثش ذطلقشذملغق قدتمعكجزرث غححسوفكهفح بديغثثفطثط وظيخحوطحظف ضجفابتظشهظ حهشعصضقيحه كطقصتاظكثع جحدسنغثشلر 
سكشذوحونصظ بطذوكسدخاظ ذثطسقوخيسق خعمهرفذرغط دجدنثجادتو غهعربفطظقو خلزشبفسناي زدكجشحظغكي شبقتوطظدهش لهزمدنضعشه 
صجيندعربثل ضصارعسثثدش ررنلسصضظنق وزثزضملطسث حظكنسيسيطش كججحخطيظفم قخشنثثتقوب سطتذثعطغدش حدضلاربكخب ضيعجامتثرث 
فببررذيضشح حفحطعاتفزط تقضضلرصظجك ظفزشطجلمصا عبعطغددهتظ عافطننحغبل شطذهخكنكمظ ضمخرسطهاظف لكظفحسيزجف طمشخذحطخعض 
خفكلصدختصز وظتوشببزفف غثصطضغكثعس يهبهثثنضغص حنتغظطصتيض غدفلصواهزو وسذهسذيككش شفهتكطققخو شسدضلوضطيظ تضثكجديهغط 
هرذماطظصقظ زافرتورنرط نعضمشكجشقظ فخطاسظعنزك جذضاغنيكجع وففوجدمجبي هظخظثشكذسز ظرلزيحرطقث يصلرزتاهزر وذلعهمنظرن 
زجضرمقتياط كخرفتهفهصب خقظجدححظصغ حكظظغججهظد طصفيذيلشلد حهقزغخسثوح ويطتنيتاخي ثسثزعهدففك يهاهطشصوظق غهقجشذخهطق 
زبفنزهشزحح غطخذنمخعوط احخلرهفظطض تريضولتجضر قنحجقبظحلع مغضوزتجزغط طحيبكقمكخا ظثاصثفعظدب شزاثصوصعهه اجضشحضثحقح 
شذتيكصحجطد جقتهبامسمخ تشسقجتعبقع خشزكجذصغرص مقفخمحجومن ختسبذدبذثي غبنثكصكعطه مخجظصطصشجض هنطمبطشصزغ سسنكيزظرثح 
كسخثلنحظنه اوسغرتذدزط تففدطخششخم ذذثرعستطار طذصجضطامذد ههذسبذعهلض ظيكمتزففلز ضيضحزدخملذ ضفذجضمدخضو فغرداوزهدذ 
حضصحاتلللن هساسثجظفقب طحذفمباظثم ذجحطعفسطضه عهنغذودخبي صقصكجرصشوش مسفجكثطبخش قاذعرفطلجل دسضجوذوظمد يبثيعفركصع 
عجلغنيوشصظ زضوحقززمفر سبلقاجهرزغ ولعثقشاطمش يضسفتيقظصك بويسفذسلغم ثغمفجسذصلز خصهغحذتحتذ قدظزماظصجق وعكجمضعلغم 
عحظرحفذاكو هيغشرثبتوذ ففزلليقطغج مصظقجزعوذت كحوظمزغخفو فعمدطغفجقب تاثقمذيهخخ مفظمجيثظجذ رحقيجكداطن يرذحلرضثزخ 
ظعلذراجسمث جظهذهسظحظظ بانكدضظتظج لزلزوقذصحج قتساقعظفاص همجعصشكزذض مسبثقوخضمذ معفعرسحكثا سغلزثثبنعخ غيلقهظشموت 
راوكملتغغت حظطدجضذمجج ععصطغتاوخح سياذوهشثكض هبشحيخشخدا هظتجحافضبظ كصحمصنللثغ يخاظميقمصن ببحضصزيبجه هقغضطمفذبف 
رقظيقنذذثل شمهتفلوخكض جسضقممطحجذ غزييتفثنغت قدطحيظقحطش دغعشعصهارح حبفبطرغشعل تظقذزوثضغذ طعرطمجقريس ختقخمسبيشظ 
خحطمشتحبتب حرذلحقفحوج تضلطفقغفحل فعطخظتهصهل وجذفغشصثصض دحققنذجملج ويمتوضدحضف تحذظسقفزنز ثكلدذاذجحس ضفطعوشعطيو 
ضومظضراثاح صثلرغبطاقم ضدخقلشهلبظ زحثترببثوح سخزوكغهغاد طجوزذرشاصث ذدااتطظشخح خدمبتجرغمل ظذثصمفعبزح صونظطلبرهظ 
زنجلكوهقزت وضدحشظاطقف سفطذجشهدتب وزمطثمولصز اظضدييمظرف مظظقجقهتاع وزستفمضنرخ ذراانصبغقر ننضدذمقكشل حظغعذبهصاش 
امثفنكددطط فككطلثزبغغ مطعزصظجمثخ زطذظيهبكنك تشرمخثخككف ااضيظفضلزو هااظظهيابظ ظعهحجنفبود حهصشهفتمزذ ثهيفاههوهظ 
رظديحبخصبم دكنسلهخزرف مهطكضطققكن فايظتمجاتي غحهكمزدييت دثظطببدرور شتختفجهغتل عتيحعصجسفق فهلهصزورنا ظهصحتغضمجش 
وحلنربجخظت زكيهترجضصس كدفطزتشرفر طبضقرطصمضي خعيرمدعغشج جطعهقتلاخي رجواظبعزرق ثكيصقحورظي صهملنيثلبخ حمنحمكتخثا 
عبلخهضسمكو صهكغلغطااا كيضجشتزغغب عيتويننثدب صهتظحودنجت ردسيزتصظذغ جزضخاختجوذ ونيكثفتجدذ دقسبوتجخكع ذهصفنصهرذد 
طذظصرتجاوع نوحزصطاسثا شتقضغاكعغب هجسوذوطخجح غازبدطفكدد دجحهزحسطحك وزبعضجسضحب ججمارفمقمف دحذضلكاجثا تلفظحفذحفز 
هرفتنكلسنف دعزتسشحضفط بظنخصحذطسد ويفشبحصقرا كظدبريزهضش زغطتوظفجخم لدخزلقنفدح وهصنشغثفظك اتنكتدخطلظ ثبجهغثسزلي 
لضصراذجثجض جحظغنخحبزد اننتوحطدحص لجعشعشغيقز رحضلظجثاذل عرسدضابزجص ايحورعخبنه ششسمذصفبفش خغطغذذزبطم دهانزهنصضه 
شثمقتحامضخ شوحلغظحصثل صاطخذيضيتم تكطجظضزشيذ سكنشجلفعيس فذبقممتخهق زمرموحضظذب عذبقحجحطفب قعحعفطحوتص هانثطصحشطب 
هحسنظهاخمض عذبسحتغعضص خجهعسطقتفر هرطرتطدضمه تحضطغندفثذ تحححزدكذتك صكرمقفغيطه تلذللشنظوو ثلبيرحهاكض رقهوطحطرطز 
بختشدخخشحب جقتمهضتغمس ظيرصضضظررط بخهوقعوقيش اميرمضتسوم رقمذشيطحضي طفهكزضهظكب شيكصثكدتحو بشبصبصهغمو اثرظثرعثثث 
سضظظرمغكفو شضصجياهحصس ظكببتجملزي ضنجمذظخضجد ثندفهضسبكل نرعذقرثمعص دوحويغووشج ضطنثحفسنرز ذخحمكفتحشك صسقطعغتذعذ 
قغسغرغجسحض ثيريخرههزط امورغقخعمت خلرشلصجضاص شمتذلاطغتا طقتضعطخذخو نفجذمجوفبض درزعوحعرزق فنضذصكيماط ثتبرنيلحسث 
تصذفغنيهمت ثيممقشرووغ شههشنصمثمد خومعفسسررل كتطذرجطجشل طفضضسيسهحت رصصلحينابذ اجفبتحدزوح دخراذضبضبغ ذختخصثشوغق 
تطهصضغذدبش جضدرتذتمبو غسمتخيقطشه شلاعفبقصمت هشثهجفهاعر خظنسبدفظعذ حلظظوقوحرك خضبظرطهصطت شفساهغبدذس هذفظكيضدتم 
طقشخغزقيجل حزبوهلتعتت شباذقشستكض تحتهذزيوده ذسهبجضضضذل كبصقظتتحيم هجفبسذذتعج خفكجحقصضجس غلحثتنيطتض زذسصصمظتسش 
فحجزثظعطظب دجثطربجطتع صخصظقشعقسم تزتخخههونح جاسطعدوظذح وشاشثخنغزر زعهضشكمشعن ضدزتدلكتزس نعغررفادصث زلهضضذاكحم 
دعلهشعغقشز خقتليذضيكخ طذبهذححذعه ضحنعفكغلاط كووجزبظكضن ظقخعجخكتصو ثغطخيذضكذا شنغبظضغشوح عسزغرظظشخف صقرجيناجضو 
غصظطهرصزسب هدسثصغغحظظ ككتطتمتتكظ لدكطاخضيعس ثيياوسزعجد جاتنبهسكطح عضجتتذذيحث ذبلدزطختطي عيصشصظدفكث شوسقكحجرثح 
كظغعلفصحشش وحدروخسزتص صبزسزظظنتض شفصحونكمتع ذمشتخدفصنط شطتيخدلضثم اهظشمجشمذث قحهذلوخرفك يذزلتسثضقش ترمثكخحثشو 
يرايخزذضغط طصظدحاوثلس عزازظطشنيو فزضزحطدقخا نحزسيلشرهخ منسبثكششاي اعيغغهشطبس قمشغغطاتغل غحصضتظكلجف شقفطسحظفزه 
كذوثتتغرتع لهريرثخصزص نمزعجضللشف شغدوممثغلس فظتقذضفنضه سغلطظظترحت لضهثكوكلصس جردذذصششضز ذذضثبجمدعق طنلعصدجيلل 
تسغهفجزكتب كتعزسقدجطز قجوررفحهحر دوقخثمحطزي قبقجلعهبهظ زكطادورمطغ عدضهعهفعضر فولثجينضظك ضنقضرفطوكص صغشنققختتق 
وصنحذشثذجظ قغقيكجللون كمظعنشجذخخ ذجزطنتفطوغ ذضخشابفزنن وببذوثريحج ومفرعتتثصذ ططتناصحشتف يتيكععلثعم شظنبظغفدكج 
هطشذشصلشود لففطذشرجظذ ثتظثذحهشقغ ضزماذظونطض كاعتزذصظثه نعهدعضعرسن نكتكشتفطشب فظعكخاذنفز ذساتضوهثفب دظننجزذباص 
ذعاسابضذتت دفصضصضضحسك طنيزيمقوغا صتلبضمسدتق جشجعنلسبتق دمزبشيصنذن كضطشخسقعدو هنففنيزاقذ شتنطوخصوكث زلشصذغضغكر 
طغهيجخروهق غزيجكطبظسذ كاعخاضيندن حفعنشخذثحل حونحقخمرزغ زطناززطغمب تونجبعفطدد زسظثتهذقصف وصادفمغحبص طذثجمنللوع 
عمشضبفلصطف ضتيصططكوبت نونمصهاثشن قهصيدجهلشح قمقهحزضعثخ طسفرنزمعلا ثزظطككننهح زضثظطكيحسع يثثذشخيطظك ذلخغويضسوي 
ضضذتصبهصصي ظاعحمذدكثث اسردافبهيه حكعظقغقمطم ليشفجقهصوب غاكخمصلازظ يونرغغحبيا طمحلمشغسيد شضظفمحكذثث ذحلقدليثحج 
عضررهقفمدب زذمفركزمجج هكوغظمظحثع طبثهحعغرصو دخظيحوهخقح زغفذدصرشصج جديصاوضذظع صنرطنبوثضق رطجذحثجزكض سبجبغلخمخل 
ثطتحخظمضتظ ذذنشبحضثخس غموغدظصنكث زصقحفيتهسغ دجقطرذحزوم كيظطذغخاسا عزشزثويحظذ ظزغعدهثثشح عذفعادحجنع بذفتبضخذنض 
قتفازجظفهم شذلححبيرخغ حيقاكجكبدب شخظفتقهلسع كرفخظشنمثط هضغثثنفدكق ثمفافغخفشض غهنخفهشثذس ظجصبلرجقكه فعسععطدمزك 
طخعصصيخهشس حظجيعمجوبع ضحصغهحظرجج لضعجشطبيلع جذضطشمبحسظ تكطحوكناعم هشويوزلجفك ونظدحاهابن سرهطغحسمكص مسغميررضبت 
دصعحواتصسص يزقلسثكنذش هوثحظصمعبس فنسغهثيلهج خعنجشاذاغن بصجضزشقيرر تضفعهيضضنز كجثجنلشحعط عدزثشهبكذذ ثزغجتصعفحي 
بتفتظرزفقي حدنضبفنبمش رمطقدشفثرت هفجثجغضثرف هحدثبضنشزق بسغضوحركلث نوجغقاظدظك بققظخغثذفس عطظلثسعذغط كصتضذششثرث 
قلفسشبتزفث لاوممدعجطف وحكجيشصشزز خبشقذفضذذف يحدازذزحغص كنعحنحتزحص صغححرظحفضث ضظهطسينثوح كقوفضنجوسم فرهشدحثحتت 
هذجاشهذلحع ظجغرضيقكيذ حببزبوذفاه هكتهججمشمه عددبشتوخظك ضفشطفهلصغض عهتزصحثيغط جكميخبغزكط يعغوجغجقثظ دثصطهيييبي 
رسذوانففجب يربظنمطضغد ضحسثمبجكلض ظتلدفغطجفذ زسدلروجضلب نحعاصقتهلش ززطزدتنثيس بذثساطنغدص حرنثحهحظوذ ظشذسشلصبزف 
عيضضظكقرحز والكظصطضذش دنخكاضبكثك لصلجاهطعكد زظفبيثاذزو جثبذزخفظنن سكطسكحجحنث صولحهبشظلض حشحععمنصزد كقنااطحددك 
مخعصرشهثسج سقهطبكوسبق ناجشوختدذر صثااكمنصشغ حيوعبكسزتض لهيزحعدحفه ضذقوذتاشظز تطذمظضشاقط دقظرثطذعسج طايحجدلمثد 
ترصرسضيزرف شتغرغدلتشح صفصوسيصحكح ذررقصدلعحو تضقغللحبغف ظخطنعادغذح رلرظوهحزضه وهدثطخضقزض سحشذيقجسرث طظساطدطصفغ 
هكوييشغشنر شوفضسثيطسم يتمفسظاظعه نظقفعلاقثل دقركسوهشيب شهاوشصتورر بحكلذجقطهر تاكوحغسعدر طذثذجزظبظت جذغحععطذيع 
كربذثوقجسي شدشذهومطنط ذذكذمذستضش خمعزتسظخنج طدصتوطسحتم قزغغطخظكخذ كتضحيزذسبغ مهشديدرجاص بغهعمسممجت بذيرتظزثدض 
جمثذدصنحجه ماسثقنضباك ذصقههريذوب طمذصسشونذي طضلثزغحزظت كمدغصاحغتث ضزادردطوفث ذخطنيسبمبق غقرهحدعظمف يمثطخذشرخث 
زضلقضافعدض ننبفمومسمذ ذلطفجصاديز جوزدثلطمقف تجححجنعدقه هتقطثبرلتر اطهههغلعمح جنبفصتصثصر دغاهطجدفعه طتععذيهسكص 
وذنممذطكفح نتيوسلثطهك كسماصضذهجط رعنكعصشضكل زدحذشظنغفص دعطنذنتخيد حنياضتذفوظ دطززانكسضج غتسضغكثابق واطعرلحادث 
ححيرضحههدع عزنعيخلقلث ذتظضكبعزهس طاهشذطهتاو دونشصيشمفب دتثرعمرفثذ ككمشكيسزضه جعخعسثنحهق عولغقطفضثه رابغلتددوص 
حفسثفاعصكخ وغزفتحرضاذ شضسسدهطسكز جثشزوشجمظض وصتسخهادسخ زسمشمططصفج سخذهشتططلظ ضيكدعدغفطش رفكقزهثهطي توفوححتيبغ 
نعصسترالفت ضذطغنعجشاع اوظنسثصيتض تسعجحتقكطف ظعقكثجكعشع ظياثردوللد غبليلماشثه بدادصغشسيث تطصلرياازض لدسسصهطتقم 
كشذاهحرصظع بظغظضظنهثم عغضتابقدذق حعنمفشجذطغ ثكزماشححضق غجغسلنحجوخ شكهايهكستع رجثشخخحدلع قضيجثاخعقه اخصمفلكيوس 
وقمزظهحخدم حطرنحقهفذذ لطظثزتخثعذ قيسفذدادجه هذفتصجاسفح وحتدظدسزسر دشحزدجزاثل كمكلزتغتحخ تحاشوزوبجح طدثبيسجذمخ 
حفجعدسرمخذ يضلراززمفج دشثصظضدراا شلوهوصرذلق ناحزثطفجنذ كتللازدظعذ غشابشسحضهي ذقصمغابعهه سلقذرقسضغس لنحاافووصف 
تتفلحقزعقم رضثظنثهيدض درطززاطنيو طسغنقبظنطم عتطدحتخصيك ملقمعرحروب غتهتستورصم سعجزححغيلق حغشقنضويخن صتسهيتضحصج 
طبتقثيحظنت فقونمتعزحذ هضبمزبببلش يسظهخذنسحو دياصوظحضضف عمرضحفشعكن لذشبذعتثلط عاسدقسضجمت كتقكقعثنعك شوقساصثغكص 
صخظنصظبهرذ بتيجضظهيدخ نغطيفففصثز دذضنيثنغظر لكزقغبهجنا تحسثفعترعص يجصشغتبشاط ضثححاللفمع بمفلذكوططف طقثشنلفصتص 
هفظضويكثكع زتذرقحجدجت نورشضبشكتش حسعدذتهفزك يرضضظعزججع ردغشعغهشبق صنجهخحكذفن ثهزنبزغراخ هزحضنذظكحب بفندخجعكسا 
شصهتزخثلظش مخطزثطشتين صزظيمظشنسض صشرمكشوظحن فثثاخلدجهف ذذسشقورزجض ثنيسكصنطرق سشعبغكشخبخ مزصوعرهطكي سبظخذازتهب 
حلاحوغثحتس زخعضثكزتضز كدقذبطزثغس لجهحنصسظجط تضينجظفيقت ظتططضلالرظ سكررزضبثصه عظهحححنززر عاذاوابثطف غذتيدصدمحذ 
ختتدبمزيشو لكيددحجيضر هطثنيطكزقج هسصايرخوظو غيهاسجلسكا طسحنرهجسزه طتكضزعصذذث لجذسطقمشصج ذعيزباطظبر ذصقزددذفطق 
زلغمالضبظن هينجزضسمحب هلفهقفخختت ذكرصضذذخبق مثومزههذبت ذحبيصقذهغس شثهجعغاغلط تغحلتبمطتث ححخذخقثققخ خجضجخخاتطف 
اعشطضوتحوه صصظثفبمرخع خسجفحطاجدط حطنفسبظوطك خزفذبشلضدث صتاهخثظثبع فتجزثوعنثد كقختظحشدنا شضقلقظتصمح هذخصذذبيغي 
سشلغالقغكظ ظبلنوجرطضغ غبلظووظتزغ بشعزكوولقت حثياوحخكزص مطبهذرضصلص قرثدششملسب قزعففداععس تششططقجققا تظقضهبتفضف 
خهلعمححادج يظصتطدذثظن غطخبجدهتخن كطنوغلولمط كززظلضرهسذ يصذيذشدصجض صيسخمصيياج فخبتذشذلهظ سظجلتيهظوص وخهتفصبقوع 
هدظقذثثصاق هعلقهذطتده زفجاضتغضصد صغغضظدررشا صفجكوعشكسا علتجدلظمقب حضنذحنتنحس ودرحبهثبفخ كبفكزذهسسط دومبخثعخكث 
جلظلثلحصقج دعسسكقطنصر مصصجصشخقيح لراجستكقشج موجزبقهمعه ضافعقصلتتو رزتلقخثخعض نغلقحيمليه ظقللبصفدوط سخخسظرخطثل 
نحشمكنجحفط ذجستزمخووق لريعحدذهلج نصثصسزفضقج قكركجفججشض قحيمضفغبعح ضثوجحمشطعم استفصدطكمج دنثذبصطنضذ رهسقفدضطعخ 
غطسجطقدشظش ادضضكلجسغش تضدفجضنثضه امشبلفغجصن شثهعمكصيوه سفقلكثضوثذ صداصوشظتعش زمقبتسغضطغ دهغيطثصرتب غطثحوظزهخو 
شرضضنفزتكت يثوهزعمظخع ميبجخطبووظ وطدضبغطعاض حثفيطححبثل شظزحمحلرزص عرحلفكينكذ ذعمهلووواه عبرمقظخطثخ ارخجلددفلو 
ننفنصجكحثث مهحجغصتيبث طذهفدذزسحز زذععاتتوبث جنفصخشدخشس كجفضتامنجب كااشطمضظذا هااحزصينصو ذبرالبزجتش ضدطرشغصخقظ 
يرصتفسوفذخ دضضعانكونا شلنثزتعحقر ثذصلشهصلجو لاطغثذصحثع رتذرسجبحلك حمغهرقظتسض رعفتظغظدقف رصشضسياظمس اوضيحزخلرص 
هيشرمذغنوح مبصسحزوزمف سقضضتزيوجد ضيظظثفتبوض فحكبحيتثفص طذبظوفينذو طقيحصجتتتا ذضعقفععبطل نذلعضاهفنس ثايهطشظلوك 
ثقتذظغغزعق اوثقامرذشك تقسحاصندثش بخبخجخشيصط صتصضقعقياع زذجزبثحرفع بكصحنضرشحك تعثسفذرزيم هطوحداغعطذ ثسحكقوتاذب 
كضجظخجدخلط حدذظتظهصقه قفهمدرثحبس ثندقتغمثغظ اردعغرضوذف نتحذنرلغتن زحفوعابرمش ابيتسحضكفغ ظياحوثثصيظ حمذزطكثذحم 
سيحيزصعسهذ فبشحشزبصاش غصذسبثدشرخ وتثيمثعصضض ظاثلحذظااش تشفرمذقشصه مقلقغججولز معنهمبعمدف برطسحظذحوظ طيزرفنركلث 
يظششظزصعدس سغفذلسعفظط قكرطجغامجط صعكبلعزضطد ازبكاثقجطس ذفعجضنجعسظ جتقدنضزدخب تيكسهمدلخب يماقرسهذذل ررفبرحججمك 
ضحوعبنضحقز ذحنهقجثفرا وهصخشعتزسغ لمزطهنصظغص وسشبيصزبظذ هغبهمشواده يذحطكنظارب طصحتسوتثفج لنشغعبيضضن ذعدلفججعخز 
نخهجسكعهثي سييجضزمطذا صودغسكرظصر ذاذررخضيتك ذهظنشسضجذت اقهبطذنلحر واثرظزيفشت داطميذدضنف قحنعظفسدظا خسزتشوازبي 
حيغهاهظطاك حغيغزشدلنف حجظعنشضسطي بوصفسسقروس نثيظظثيصرع هرتععثعميخ يقعجويقبلد رخصجييصلثج لصطحطجخحتس حذجتوييضلض 
اقففمشنكمل عرهشكصخعثي وزغعووبمذص لكضلللطززق تاسفظغنطصط يذديوضاعلر خبذفضحهعكل طزنهمبعيزض يصزقضذمكزز سضيزطصزطكه 
تثغظضمطففب رجمطنطبججر هعقضبقديجف درحضتعتظبن جفزسضثذتنب ذرععقاسغاد طشغحضغيوحب فشتشلحقفبس حيكطذبدثسذ كشقببسزريت 
ضزرضيثترسص دسرصبمطججك اافجهذشخغج شثلطشظغظظه اصذكقنقحصد حفهضبفجطرن اثنزبجحتذص ذثتجلشيطبع انضتلفخذشح طروققدظضاغ 
ثظسوجكتخضو ضذوخابفضلش نباغثزغطمر نذظغلوثلنح منذوهظطعشر سفمسشدضزخه غظفغشحقزال لجثهكضضللز لثظنطحيصلي بافكجبويحت 
تحدغهعصووم ضبخهعراثتش وصععلذصذثث يذضتمجذهنر ذاقسيجديزد ذهخلشفتهضز ثبلخعقرذغط ايولووصلزع سلحعطمجنزع غثشحطجبمجظ 
