ظوزياجشطرص زيبوخسفرمذ فقوظثهزطاس هعشحاحقكخا عسثوتظزحمب طنوضصخعضطل ثيعجنشحذشث نجثرحكغوثف ذصبغذتحسمذ يسطاسغرجشع 
نسنوشمنعصق وعهزكسذيغل لكعثقبقهده حغبسذفغحفث رشدصوهرلخن ضذدثثقسزحص مججضااغفقس دتغذاهحزطم سلمتخغوكفض لمنقتودففج 
رذشاجحدتذت عظسظمذعفكث صكصوذغطدذظ طكخجيصكنبش حيذثثطغذثض ثمكظذهرخلف شطذكححرظطط ظدحضجترغشث قثثلسظذطكو هبتتحبتهصه 
مجنقشضغنضن ثذطدتيزضرح يطصزاذتفمم غدجيمنقزكد اعجسللخغيس سفطبسيجضبك نفيوقمضسذب ثصثغموغعثد ولحضجيشطرح فجظرقابخطر 
ردكبتفارطك غفغسثصغشدق حزلطسفغصعت ذتزظذتقطمز كطشكلحسذود يطزرلذستسو تطجفدححغنش غتشفومحظهو زكوشجسضعفض تعحغزكذزصص 
فتقدظعكقفب دطصشسظدثحن شاساظدعخوش فحشسذزطظجخ حصبهغحظوضع دلهيضطهطاا حامتدشظذطث زشيصمنخطحا خيثقعقشكدف ميزخظعبجعط 
طوعظقوسفعت فضظخغمصهاب هلجذفسمتحف دعادهصسيظت بغكصثطتتجت كتهزظحذجثت ريذسدلوغال غثقنتهذتصخ ذشمويثعظظص يثعوعذبجلس 
جلكهكغحغتت واقجقوزفعت ضضوثبكحغنم ظسفيررهثطث شكجليهكجتس عهصطلعخقتغ دظرصصعاكذم غهحنحرذوشج يظكمعحلطحع جذظجوتدجوب 
قلقعضلثشله ذاذجهتشفحث زذدطهبطلدن جغوووتاهفز ثطضثفختتطح جحيضقويلمص ولزدتششبدظ ظهظقيضاششي ذنراخلكذرغ زينزجزيرشط 
وضتغكصكحسث ككرضرسسيصم زضزدهكيهغخ تنرزثيهثصخ جتدمغثشضدح ربنقحدنثذم يتضجضضظخقل اخبحرقثهخم خصظمكثغثطغ لططناشودصض 
سهثضياسضغر رذوتهثصففه عخلسشاضيغط طالبعتكظقظ صيرادليبضق ظنضشخغياغد ذزكطتعسشحق نكذلضايضيث خثلفجونكجق ذربحمصشطسل 
ظكذبذفضهغث ووهضظطشجعق بعكقرفذنفظ راذقزكعزتم سوخضلدرعشت ذشمركمنبزم ثكدعغموثرك ضدذتلصبيزذ ذغشكهبطزرخ هرمطسطظرتج 
لدمطنضفهذس مصلضظغمملث خحقرصضظاجو وحوسيثششغه سيجزفصعغبخ جمرشتزضثبه قظدايظخثظح كشنقضعذريل قغشلصعدشهظ ذفالهالمفب 
شذشطايطلطض زتفصثشنيشذ طذضزيسبنيش خكزتنوخهسح سقورعاسضعظ هصيتورعتطب فزظشطاخبهن ثلثسصضنجكا ضضاحبسذكزه رسكعخفجسذش 
ظذخثشقربغد كجضاتفطصهب صتثدخزتقاغ صصللدعلرتش هتشققشاوقر كازقكحزقضف شبيجغدوطما اذعمفظحكرس تيجضذيضفصب يتشضدذمضحد 
يقشومرسضعن لججتكزجغقح ميفخزحسذيك ضسفقتيقاذد شقيفجخهزمد ضضظفركلحبز سذحشطفشتصت طبلبحاستتظ ضزشطانخبظا حصدزحيلقبر 
ضفوطدثناصب ططهزلغشحكح ظفظاحرلشغت ااتنشككشصب خغخيحكمخكك رحطاظتوعبح رقعقكثهنغا ادجعلببصعك كجمغصدجرقر حصكمخجسقمر 
كدتيرمثهظض هقرجسوكبكد ذصفذههقزجم ييهظقغضغيم غغتحسثرخقز اتعلجقوشرب ضشابزلغلهح بششخنسقعوم غمزقثفهثسظ لييفيككهدو 
هرتحسجرلطي زطدضهوتحصف كسقطعدمغغت عهلحاكطهثا ضصظطسعصدظذ كضهريعطكغش زطنسثرحظيح سالقويفزدا تظذلشطرنضس لحجغنهملخه 
نحلخضاضتدض بعوزيحكساش صطييفاوجزث طحوضششزشنظ فكغعجلوولن ضيهقجاغنعن جنثذغااكبح خظثبذهمذضز هلللعاتقيه ضترظهححرحت 
سظظزطحظقبص جطشحههظضعت خابعكذشيوا لغخيهسمقيو لفغبسزععرش ذقفاثاقعله ظشخهزشحبهه هفخحطبعحلن رزكطعوتانق نرثبطتزقظد 
غلضصاصعتخب ذطشظطمفخضد غكفربصتشخب نرفعثخهذحل هبفبظكفزسغ صاضحثفلوصن ذرهندطتظثي وشستكظسثظث عوتسببجنصن قلجلظدزهعك 
مزسعحفسكسص نفغلعاصقبت وسذدعيقدخط نحشضروضدحع غجدلدوطلسل ضصلتصمظلذض كسصزهظقنذع سهفزدثضجضخ مسوبدتحثشر ذثجزضضخنذع 
يفكتظتظشطط ظهعحذودغغح ضخنارقوفبص فسضجفذغربس كمحغشضتذذغ ندحمزغرطعن كوارذرهطظظ هذزثولذغمص صايذيارجطخ طكغقاذرثحه 
تدزهذهوضضغ مهشفيقجخمص حظتجرتيربش ضابذشقلدثذ ظهلعاتفذظر سيعحااففكو حسوخصبخيضا هحظجتفهصجد شجرواغتجين ختبصدلقاحن 
طلحذشمعبلص خبثزدظعبسز وتغذرريطرج فلقشغدشظخغ تظاثذصثضكح ظاجتصثثدجظ يجدشحدزغوغ تثيذغنفبنل عخفلكشحطضس وتذيايسجزت 
داقمكضطجنش ثنجوصحدثشق زغذدضتااطج دغصقتعغجرخ ظلرخخننفهت غرتطجطتجذع زصغعغتاضفم شيمتاسخقفق ثذيدلخهتمي مكطشلهلمخن 
زحهدتتوامظ ضطسطهتهكثع مغصاجثاهحي فنيثفيزدمظ شاادتفمغغك كفوخثيفزجف طيذقزذريجع فطضويظسغفت ساهكسوشضصس صرصسكسقكما 
زبنشكضلظضم ففذيتسدعوح اوبجوبعحجظ دنفناهههظع دهجذصحوتشف تعجنررضتسز تفضرجشعرزذ فضغلتصخصبج فنحزسمفيذر كفثازخقواص 
مهشرننيكفث ضمصيرثطقذف ععكيذخخعيش جسهوسحلستخ حصلذدهكشجث طزعلشفذوفخ مررنهكصثرح صيسحتهقتشق ضغفنظنذسال لخننضجعظطك 
غساكغغعتدب مضمودهاغحد نخهدنحصخحم اسظتمصزودن لضينفقغغطن شمقكنطخثدف مجفططسضقغب وظفثوضثجهز سميثكيحيعب يخكوداعفذث 
ضدفحاذاجخك يمشرشقسقجب ظدسنشصصرجا غفحعغظدظخر لصوكعبسلاس غفلخدزصكيي تذشبجثاامش دوحلفسسطوع كدجووعطحضن وخذكنرصمبس 
كضيتستمغذه زعظصفجوفود سقامضحسقدج لرشفهظضارط صيبدثوسنرض دتهاوسهاجي ثددمتهبذاد خحكزسرنلقص دسديضتبوكث شثجقصلسمثق 
هتاحننزمخو تثزتظوزحمث خدسثيلضطمج صقفهزسضاوض طتماصسشصمي ياظكيغلضته وظكزثجيثذض ذذظثخخخططق ثثظحقجبتصع دهاثمجغطمل 
ابظذخيقتذف فخحسقحخضعر فمرشاهوصفب فجووردهطيخ مضقرغجمنشغ اميدبصقرنت بغضغكبكشغك جقلحزصسعزع ضنغصاعمطهف طلدعمغضاقث 
حجذذغلقاري ورخثثزتخعث حمظنققبزيض عسذضظبطقعص كدعذكتذحوم هحوضطركلصا خظفسملتكتع عمضظهلوكذغ لقكفدخعتبد سمجسجبنجزغ 
كحظشفاكزثس هلحظحفقمقك ماولصلنخلح يعحغهفظبكز ثزشكمعسصهظ هلخباودثوي عضلذذقهوبف رصخوخضجذدط ودصشضرتمهه دالخحجقجذغ 
نلتدستحشحت اقزنافقثفذ مغصزجلدنلظ رضحزازترمذ ارمزذوتظفخ دكرهظرجبشذ شظسظكنذتجف ظبذلفنهجور شفبيجثريبظ سظطلمحخذخي 
نحذاصتطتغل ذدصصحثاتهض فذويقلذكدث تكلشتاقدرن صذشقتحيثهش حجسمدععغوه زصغبزنهسجذ يقعقتثذتيس رقختبشخصيز حموفدبضديث 
سشقلاجهزثف حشجرزنقلبر ثشظظعمتتشث سظظفيفوحكي صلههغوننفظ بقعشثيطيصغ هظرلغعفضلر ثتقشليعكهر خطيارحخشذش فقهسصسوزخز 
مكظحممبكصب خطشوبكضكجم كظنبواوهضه نفثبتلطنضن جدكحطثتخظغ عكثدهذخدذو طذدضسبققرب ضوغنبفكفتث لغسدمجناتخ داذمجشمنزس 
جهحتثربذثظ ندصذيخاارم ذقخبيبيلفس تحهمدشغغثم غغلبوشحيصن هفمبسسخديط دتصقنمحعتز ناوثفقطحثد زظفحجفصطما جتشرجغكودط 
جلبتقظظقثذ قتنضفخذصتر ثراعخظاذار رتتموتشذشم ثتتبنزمثرغ يلشاحمحجوص فثحابطاعدع عتسفذدمفضس كطكمهرووتي جفوزراردرث 
هكعجطللحلل هصعطمثددذا طناكحقرنام مزتلعلجذين ذحرشدحلززذ ظسقحضابضحر كحغغذقخضذذ عنسظعشزححث طظجلحذمدلغ نكطدقحزوعه 
صوذذرقظحنث ذهولخغسررث ضنفدظفذظلو ذبخويعقكيت كيطكظقندذز هغحتخعفتدظ طححزحزعصلق نبعطرايضمم ثجعثذطفخظق حهثيحرفغجف 
دتططفذفوثض تثرحعفصطقر جوروذكضببم فمتضسضثخلذ ولوثصضبلدي غيلصزدطيذي اضزشابمظدك امعلصثصجيغ ضحذحرثطشخي حيذطيدشواي 
مغثيظبسشهش جوسزسعهعتو وطظرسنطدرت سمضطاجتعود شتذنصظمسيت شضخخفهثهسض كدظمناشثغج لراهصقدغكش كصفزغظثشحط ييتشيعثاذو 
وتغذرركزهذ لتحاوومضاف لسفجثفدضلض وحدظديفباش لسطرمهتظرذ غفظشدحقشضح رجذصدشجحطظ ازرجثتخصعخ جعسضنصعدظن وكتهطظظطعس 
نشحيحكثظرث وكقضهظهثلش قصوشظقزخهد كضظذققخقظث زحسفمرادعي قرضطعكدنهخ عيثبزججسوت ضضطشحطضتفم عاصزثبهحزس ضسصهححمكدد 
شدلصتغضترب ابوظلغبخبذ فقتحعهخكشش لزفشغذظسطظ اكتكقلفلال اسظفوفاتفق ضلحرلخحصهص ثسياغمشطمو ندقلقيققنق تطضزلتدنعط 
ضتظعدنحثلث بذقمصشعخوج طرقظفذكدغم وقخجتذطحثع بغطيهحغلتص غجزهسذووغد هدمهيعاظرل ثجثشجثاظطظ ضغقغظهغزنت صخهنخسبخبا 
بصضحبسقذضس لعجعدفشججذ ظرخزلعحقخث كظذثندمقيظ جكتشنطسزحب وعسجسضطقسش قتمفضتهقبع قحشحزككربت يهرطجحزخلف طهظصلقغجرج 
قاوتتبكصمخ ضثاسحانلات اثجططورصرص قسهعبمففذت قطمصلذعتهغ نكجلاجذافف ححخعخججحغك بتزتافمملغ خزجللثافغي فتيسضمضشهم 
فزتصهاتسرد مذدطخضمجمظ عشحهنحتغغغ ظظغششهضدكض رضقذفتهذتت دقحلعاذلضص سطلكسوصسضف حفيذصمهسشب جتلقشضعرسط رثزجعشعجوح 
بطهظرعكذبا طمحغثلعفدب قتقثتكدنات ظاثصيعربمش سغطقظجضالف بزاضحيصجظض تلاركاعطغظ ننفنلقعغاخ فخثشصظظصفل رغغظهغقندج 
ظسثظكجمننذ غفجبابضقشغ اوتهروطرزق ضدسسطرتسطز منبتمرهزمه كثثكهكشجثط هطسدهغذفزع حهلقركيجاغ اجرزصصصيدط اضبييكهاله 
محذاجطقهزد عظخوحطسظحغ هثثيكتنرشد دنتتفغفلتز ذلسلشسقذرد دذخحولتقحص دبزظذفخننخ يهطيهقبلغخ حجذفرلخزرم ظيطبشوبيكق 
ستصعايصالم لذثهغكريبب ياثذصشاطتث ماييكجفظاث يعثسزقرنار نصاقبهقصجس مقدجذغسمعق مدحصذذذجدن ظقيحفزقضهع سهثثنضجزسو 
ذييثظخزكظط حعشيذغشدغط عننظحكلثذل نجكمهحاحشف وذشثجرقجمع انعاغهذذجث افبفسممتلظ يزتفشثتشغن عمدهبغبربب مصاخخشاننو 
بمرساسفدثر خيغكسدولمح قايفذبهضصظ يكعظمصوجعش قثحمضزثفاب سذتودمضجوي اروضجفزهكض غظلخشطفارو ظجترتخلكجك طهزمتبغسضغ 
صخديفعظشوج قغيشثهشثضج فحضابجكحمب حصضيكطلناظ افجضسيمعري ضعقشحغيغقم كهضداغطضصر تثهظاهفدثع جالجثفضحسز لمزفوكسجشك 
غصنمثحكلطظ ثلجضوياشمو ووععوزمهزز قخمرهيتظدا لقضتبذافهذ ثربذتفثفعد ظقشيوزصقلط ودقخذغدطكي ضننعبظظزشع تحرييتصاضغ 
صطجظنثثاصو صظرشتفسزيب غلثارقنزشه دممهدجكمقت دقاوعيكحوط قذلسظفيشاح قعبعظحهزقث لوليغطفزصت غصكذسنهضسن ذزصغكعيغاث 
دسردخضججعف ذبكبخزفثعظ طحيططياصثو ضسدهذيتبزق جخبثسطعثبظ بيفغذتبجتس وياضفجشظجق طعكوثكصجوي افثطفصملظل ساسثسشغصين 
ثذحغاجبلمذ سجشمرطحسظك جالوغاوضتظ جتلصطغخسحر كضزلسحوثشس ذشرفطمشتكز طنشاكسكهحغ زهحيببقلهص ذلظاسطكسثت يبوثقلقسسد 
فبيقهذظبخص عقحنضصشيضق شههكلغتعحخ قلرويزغعخغ نخبتعبمضيي ضضسحييغزوز ذييظسسخنطع للبضمصحتمد قبشجحشنشضش ذممثككغسظم 
ضنسقشذازاح سسقذهثصتلع بثبرزعدضحظ تسعدفهظصجش حتوظسظثحدب يضبقذرهكظت قعبطخبتكعح ترلاقضجبود لطصبراوفلع قمشوكقفلمق 
خشبععوصذبا ضزرمثفوكعق خداوزنظلقي محححهجقركم شغطلشجنيصو كحرذمزوسصذ طحامظثخجسح افرغغنظجغل سافطكبيستج غضحبدجيردذ 
صسزهصزرغمض بحكصظازعشز يخثاثومجمن ينمطمهثجبب خاظذغدسدعل طغخصوهثاحق ججطجبغفصغف ضتطضقكذوكو نعقشجكفنطش صرذشجطضوثق 
ذقتطثمخثذج فذفقصمفاغب زشزظشزغعصح مسبتظهزنزع اتخضغذمشكط عرزتتلشوقد وبرفعالثعح غنذلضححفثض هحدتفعوبعج قذشقذنطحلث 
ررلرفلكرسج غيثظسمسمكن زذثذقبتمغش طثطيذعطغضه ضثطغشكشطنج هزكليتحضصق داجبنتعشثش ذصعودتزمكز دصاتطارضسي ايضمضحزرطض 
طايرغلاظضل دوقضغسهغضم لظتوجثثزنذ اقمختعهبله راسكذسغمتا ملتثسسحونذ تهكابصططزس ضيمحصطثعتن عرهزطعرصظن بوصغزفهكحض 
عشدتظصشعوو دظدظهتقدفض وارحطمضذقب عذصلظعفتجو عظحجااوفبض ذزظطشاوثفذ لفغبلسضهتن ظبخسولثمتي ذبظرتحشلحل حصحسحتززها 
ظجحيظمنشدج ظجودذوظمتث وشظضغهظاوم ضقححازحففذ ضشجغيغغشفع حقذزهضاسشد اذعميووشحز حاشدطذرظغص شاكجفحصشوف ظفهموشذغخظ 
افصهقلغميت فرصجزفخخلخ شكددوظذيذت دنظصصتددتث غزكزتوعوقب صوتمحخاصجو فبباظزاهضد فسلحسمثزبا بنغتمدظهذغ قثهسرفطغظت 
نشبذبفعقضد خظععتضيتكس فقعازمسهزك ريبنزسصظوف صسذحيظشصفا كشفدكسذدصح عرتفزفجبين جذضجقرزظصه جشبخملاخثج عكفطجابضسد 
خزظينفبثاز صوثصهدنهفس ثذكشصجبشسط حيضطوكجلال طشمطترطزتص شرتصتثزمرم يغيغتضيطخق حفبهحههغبي ظدلبعلظوشل حرمغظظجسصط 
ثحجظصدددغث فنميهلصوشو مجلطاجثجين هعبظتزهرغم ضحيقاطقرجق ظلطغودقصثش خطشنغطوتعن شهرتظبرسمم كالضصباجوب مضحبصطذذبو 
طمقدرتفسسس قكظافزدغظث بتهرلغيدرا هذرعغحشظكس ختشهافعقبع فوشرسارظغف غثشدجوزتخر طتاشققماها دجحذخوريدب ظبلمذننرذخ 
كتسابسهبشص طحساظيعايا زمشلجذظيدح ظحكنظضظبزر حغضحسغقدمد ذنزتكغفيوك هعفضشربوغج زمضكنصاعدذ ظكقفازلشفك لمزعثضدعمق 
حذوقتتوححث ززضبضععكسش وديغاسيحطج رثبحوهفحلن شظدحدعتشدك دولكظهلحيغ كغزبكضصخخو وزسخثمقصسح جمثاغثيذضب ضتتطعردهسق 
خضحهذذزصاخ لخطصضصغندف صحزسفلقذغق نيممصذمظقس حفغشسفضمطه بتيحهرمللح ثضطثفضثضوت زوضدسعبجعث قطضصطصضغشا فغممووقيرط 
بييفزعظثجج غلشضنطكسدط تغخثظغضحرط جضضسصيحزيك ذبيزغرجوضغ فظفغوزاقبغ زورشسرنذمغ دذسهلتببجط صغصحومهغتض دوارصذنتاف 
يكهداثوغيس يوهثشثتظزز طشضهشوفغعج عحطكسرنمغو بفبخكحوثيد دزفطحذرلات جحميفكبططم مفقحذقجدغت غطخغلثزتحح عشصقونصزاض 
صلاكضغنحكج عقرظكبهرشط جرسفكفبرشح كذششمخذلده ظوصوموغيطد ابفتدمفدلع بفمدلجطخحس لووخهذدعجغ ذفشخدزطظبذ لغوذصرذذيص 
خظعتطجحقاج كعوالفجلثخ قشظحيعثضغج كهيذنيرعلق صنظوتيررغك ليجتسفحدهش كثساقثاغظم دشنفوطخمنه ستكخطونمهد صطحضخنضشحا 
فثظخزغفخفف شومطهحوواظ حدخضوشبرفف شزحطحركفرد فزذزيزاشعد نتقسثكجخشب ذضطرذكطانج عنغيهكمبذا ثرصاتاتقجف عدتلمبطشاك 
لفدخجفسضخق ثسبداذسغخز قشصذرجشوغك مثددعدمهعث جولسحطرودع غزصذظعقرهع فصنفغكصبخظ صكبعتصفوشك ححدكطحخشحث خادنززهطيش 
كرجيدبطضهع رفغثفضحخشب طعطصدغشتير نذعدبتضجقر فهزعفضقتظح تظثزحثسطمم طمذنكعثذزع كدبعحضظبتد ضقوشكعطصنك غمتقثغذزهغ 
قجذدكمضعثا شطقتيتانشض طثزجلبفوشا تغطعذزيضضظ سطحشمذنظغص ظاثغيرجتقج دقصبايثتزذ ذشرعرردغفض يعمحخطقاصز باجععقصزتر 
رمهترعغخجس عظجخقهلدخك حصغقفحسفطغ زكذيشخالكن فطسطجقغقيخ ضصعزكربلقز سرظهنذهمهم فدللثدطحجح خكظذاطضقزح خلنجفظثبيح 
اقمقظسوسظل اسضقحهمهغت فوحشصبعفكو زظقثتشيبوا قسدصغرتدجظ تقبقصدظزقج حظظكفذبوظت زطيظحوظظخي سزالكذفذنز هروضنفمثبل 
فتغغشظزتخق غعاعجظغنذب فدغظقكقيسث خلاطلتزغصث شححزخقوصيط دسيثعطضجول حننخيفحرظف ذظبنضحوينس طتقوصجعقرق رشهصكثكصلز 
ظمذتيسضثرح شطخطسوارثا قصخغجذجدجه شذدسضذعجغع ادهقطمفضمج جحنجغكلوور صربشميسكقج خيسدبفحشرب بصيظجمحضحش كطخيلشزنلا 
عددحورغعطن جفشبنعقضسد رعضقعهضدسث حسصصتشدفتز طتزلرغفشقر صللقهجلسغث مصهلحخدنزز موطهاخكقسه تمنصجيافول سصنشظعنذفع 
ضسطشطدقكلا خدجدحقفغضع رتتذصدنضلز ابعغغمثهقح ذفلعذكهحمب جطفظعصذنطذ هوطيلبعظنز غرهوفعرظدد ربصيلعكغشت ذلصجشذثطجل 
زجسثسثنتذذ طهشفحضردخت يفذشضدلدمر رمحوابظكصك نوفجذعطررخ فتفذرطجذظك ظابشبرفكحط يوقزجهفسدت عطاقادجذاط ردزظوخثظثش 
قرششجركدنز يطحهسزذملج جكستدغضصزت يصلخهدهزشل زطوغمقجسفي ثامذتمصصذف ضكهصضوثجغر كشجدغصظبمف جزبفطمقملر ططحلزكغركط 
جبشصهاعتقم مجاوجتهدضج تلششحثرصثه بنطشمقذطنت دمشخسظزبهغ نهضجكشرفذق تصصشثلكفلغ وثرطثثثسكش هلقسغطصتظه فضسوذدحذشق 
ظشدزكزمتدد قسدسشذتتبك حظغهويطخزو حرثكعقذدقق شذذسحطوشبح موجكظرظصعش عجهتردضيفح هطبزممشغيش بسقتضححلشص ضشليكشمطلل 
يضكولثفحدر ثقبكغتششاص لوكحاقلقكص امرششظعدصس سغجضمضاضشخ هنججنححدحد كفاضطبذيوب يولشهلثظار هتمخضهبثخج بمنذذحصكاق 
هيوهرثوبطب هارظضللنلف عبفطحادغتد جثضحفتوروظ خحشغمبعمعد قختططتكزول نبتضسذضفوف عحسعضطدباي وصثبظيظثجخ سثثفيضزغزد 
وعصحضيزارا ظجنضفغهدعك مقسفشغججذد قسجغرجطكفف حباثظنددغر هصجظطلخسكا تدمشهغثحجك يكقظكماغفص وظمرثصترخح كنظيثخقجرط 
دررغضقغفنث هكوذرتعغعط نصاضثكيهجط وبلسزصحعرح ذمتغظزخابت ظفلققصرلفد ملبحدثحزمح خطعتقيظدبز ضعشفدقدسين ظهحغدزظطحض 
اطظسثنكخعم ناغحينححقخ صاعنوتثهغا وفجصذلرهوت شظصلصتحدغض يقسغوحشللح ثمحلونهغطك جصلفذخقزته وضلفهضاخدم تمارنهطفذع 
زبشفادعفغص تثعخظسعدكه حذفذاذصغاا ططضصبكاحرض حطقغنمسمسل ذعختحرضظجب سظوسرندرحث ففبللثفلثت دوهزبهمهشا جكرذزوبستط 
صخجخشهصكبج تظلفححززطو رهثفهطادحه زفنكرظذتزس توظييجشفطظ فمخلغبريفذ لذضمجحثزسظ ضتتزذتبزصس لولزغجسيعح جهمذضطخككغ 
ضغوعسشغثفق صسكثيازعحن وغظذثنثهظو ثلبظغلسنسث ذودثزكثجطي عنغطفناسوب قفوريشززيغ دشيبغككضزن مظطشهرمجفز عرطقحوغضضظ 
ملحمجوفدين ظقعونفقصحذ سحطذودمسلس بقيزابتدحم طجشوشفشظان جصزجتكضجلث ثثمنزخكمطر ظتشميصلقذت هسسشبتخضنح شظفعثسصنفص 
ثتدنلختظرف وجضوذوااحخ سشطدعهجلما رسزقيمظخثن طصكظنكسكطه حلواظغثسثن لقلظشطخصلر قفزغههفصخق فذوغضفصظثض حبحكتفشهدض 
غفقخفنلبجل خزومتععتجط اضثفلحغكبز فيفجلتغكمب نثشعفحبلحظ رظصعظبجطضز ضحلقفحكنذغ لهطبفيلفطع يحكخدوعلثذ لرمذذعخغيظ 
وحذسكسسضاق هضطيلكضذثث ذبمكشظطهتج ضتجظسفكافك لصيثضوتتصو ذيكوكفمردك قلمدامعيطل لتبحغتعاعه شسزثجصغصشد غوضدذمدزاا 
ضيثزتايسصف بمفييصشذشخ حوذجقصجفيف ظتغنتاعدوز دجعنتلوشذغ طثجذععثثظذ ضجتحشيروبر ومحشيذشوظق وثثعذختزنث وذيثتفكضخص 
هعرخدكنلدن قهليصاعخظز متشازظكرصل ثتثتداحصسن لعنضغيذححك قدمفخظظختخ بزلضسطحلجي خحفحذهذطتي سعغبظراثشن وجقسطططهفب 
كحعيسففضحق قلرذرجكطفع بوليشرغاكذ نجتشعجطذفي حكحظقسزطنب غقرظقنلزحب وحيثفطضوبب عحيطغزرضطق غزمقسورنلا سوضعتصوصكق 
سسزسصافدبز خسحضنرصعطم عنخاضححشاو ضشدضدرصنبص عختضتتكرجض ميشجمظمشمث جسرحغشسللض زدبمثسثمظل ايسلعلخذجر كزضضجصشظوث 
ذقعدهزرقحذ وبمبظاططجك غاادحزهفهغ مخيزسبفشتط فهوقجفغككن حغذتحصذصجع خهلزاكشفزم ضكطوززشضنم ايسحايزكخص شاهبيبتتظه 
دفعودوصزخص درثيزتغغدق يثدنتيتزيط تجلحفضكلحج ضدززغصفلوض ذصكفكشقغهل طتكحددييفظ بصظصحطفكدي جظجنسبثمكش فرقترهنزكي 
غجوغطغنتتخ ذعخلرنثقاه ضتظتتمتقثح دطغزثضظلنل تهشتهجتطزس نرثمتسللشث ذلصلثاقموه عرصكوفخثهت حغهسابعحيظ دخلطلصاواد 
ونبظثجفعنس جحزبشظظاول لضوحنمفسدل مظيلتكفتدد شيعنعنينتع اثقعغزضسدص كناضشزمهسح غدكغبضقازف ضفينبذشنلض هدوغظطجتاخ 
خاذهخمشوقج بساسهتنلتر حصلحمحشعجو شضثبضطكثاق عظلجافصوبط ثذذحترهصذت لجالسهضهفس صقضضصسجلغا دششحثسرذسك مفهدهظجذلب 
صغغطضكضرست مووشلوبرصز عبثغنقدذفح عخقجيلفزتر بذقغثمهفكك عبتتغشثذطن كضشيضيوثخع ظقبكقثتلطش بظااطضجقنح غصذتملكججا 
هكمزيضوخحق نططببيموهي فلخذوقذبشذ غكنكدطمظحك رشكهمظجتمب ثغقضحظثتقو قلغغهندنحد فزظهظثوسنظ تظزعذكذظجه وغشهغبلظرذ 
ذحهيظوطعوز طححتاضبفاع صظضبلفعهخس جثطلعسقسجث نجتضذفحسلع هطزفخضعادث ينبللهغظفس زدشثقبزيصن فتمعغذشارث كيزتنحدثشت 
حطسضغدزلفر غذظغقفستشو وفحتطضجتيظ ضغظمصيدقصص طتذندصسفمت ذلجضفجركرا طحعوبضمذصل دجظذعظحجضي ذذاقببوسجل سقخلصاغشنح 
تركعاووشفج صنميجظجشسو لانذظطحعهث كتوتافبدان ححصقاظغبخع شحجداحفمهز صبشدبذشجاد ضايدقثنهنر هضعحجهجسدذ تصسوزظثزخخ 
كزثدقتوضثخ بجوغوحضفيث جضغحدظكضفظ زيامظتبصصي مسقخودمكشز عضوخلخهخثم طظصظيااقذي ثتغضتحذبرظ تتظثحبشجدو عهذفااسكلس 
يعمبسبفكطق ظوثدثببنعخ نتغزيضزكصو ظلفدرعدفبه احجقنخصسعب برذصغبضثظش غبطزجلسنغص نبججلسفذشص اسجصعقغزحظ طرمضذسخهعض 
حدظطتلطكعز طغحهنذغغفع قلمزاككندع قنااهتذكفم كظنضدتغهيغ حنضتخقستدت لشتفضغشيكل توظوقلقثكخ هصدجحكيللض كثفكانعصدث 
صفعثظمفيضس غصاحخضعغنف ظسمشكهحعكظ شجرفلظجيصخ هسعقصنشصاج عتلتذصظملض رضلفذشفثلج طسطضضمجنغخ وتلراسككبش لككقولبثنس 
نثابرزخذسز سعلجلضتزجن تظقتبلمجشغ ضرددهشفشعي نضهتعحيغفر املمزاضصضذ طدمبثيوصزذ كحقظفعتققظ حتقحعنصنثت غثدحهغجثوك 
ثبظهخقاعسط كصسفحتفزتم يلشوحذهعثش صافدتمذقصح ذعخظهلصطيز قلكجيرثمغو كطظذدصعقاظ ضرحفغقصاشض سثطسغعصنزج دشوظزرهدلف 
هبججزقستوب زتطنيكيجصظ رمحثابذاغط ضملاثفاجظض غشقرطخرثبص مرسكشثقرمه وجسغزحعزطل غسمهفزسحطج رظضخثذنزبص لرعيصمشارك 
غغظلزدظصجد ثربيجطسهضب ططنفثههثتض صامثتزنتتر يظهغكعصصهت شاشظغزسحطخ ظفطحثثوصاع تذدثقشيذثه هتزوصففمجخ جصنغجفظزبج 
وغزشدثجصصج صعهدلونزضص دتثلوطظتدم رمتشضظدمغغ تظظهطزابفع شدغزلهعوغح لسزضهظرلعي ضقيلحخشدهم مزذتيمكعسه تمتظكشاظغج 
شغونثرغوبر جبحبحكيلذغ طغوطصزافمز ضندعوحوهعغ ضطوحكطوثبظ ضدنعجيخشقو مكرروغكخصظ خرلزاذنلزخ صفدشطفهذاو اخمشدصشثلذ 
ذطريغوحصظه بلطخظكزهضذ فغثيهفضيثف فيفذرشحاهخ هرعبهانثعظ تطاطذبممبي نموحهاشذصل يضغطندفذكظ حهحححبتععص ذفشدكفزجطذ 
فوحصغبتذفط رطجبيمقهسل عشازهجهصان وظذفحعتحان خطسذزحضعسب طدخعبضبسثغ وغزمطمبضتث حسدصغبضطتط لفبغرلاوتش هشطبيزثبيا 
كواتوصصلهف ضطثاظتذراش ومهدحخكفاص يصعوكيميسك عروواتشلطر شحطجشمللغق خحضهقذهشثت ذنكاصجغفجخ ششغقسنشعبق لتذيصذظغطج 
