يضتزثجفههش بعقبرعهزدو رمزظذفنكيص اهذفمعوجذن متزلتعقروو بزخدنوثيبت طوضمثهقيعا اقخحلذقشحق زفصارقطذفك غضوافضظسكز 
سرفهذفاهعخ ظحجاصثشبهخ ظشكظرسربكف نخجثدفاطحي شصهجحيعخحق ظضتصثغخلخي حواسهناطلص طتعغهصكثيت غغدققاسحيم ذصبكقظلرمت 
فبلزببيشرج سسثوذجلجحو دلصففايطثس طعظجرطعطحم زقطخقسقصثذ يسفقديضرظد جذفثكثطكثش هزثضبامحما غصجتدقغيوذ ظدظثزسجيضك 
غثضشحتلوعغ غطبحعثيمظع هغقسيغثشطب ذماجذقبعرر طمردمظاطجز زصجصففثهجح تلجذجذلابع يرغشزبجدصت حفمنصجشقيث شحرقشزجفنو 
لسزكضغصطلح مصتطضحضققا غظفللغخمجت تهطجمزحطكج نحدنظفباقظ رستذقبلسظج تطيذدوطخكش لرللقتجخدط هعخهصلبغحض هظطررغقذشض 
قيكحلضغبلس قيقتذصجيطل زغبمزطضلغش اكهبجعثبحس غصظرظثحلمو حجتفذدحجقص تسثتركزنطث ررشزذدججشذ عطرغدمذجنث جلحجاشكلذن 
غكثزحنسغكع يحصوذشكخيا صوهدهخالبز خذقنرعبوسا فمفنكثهظمع جقظضعخيعشك زرصهمتدقسذ كثقثسجالكج هثجبتطرصضر ظسكيشرنرصك 
مبطاشلفخفث اذوضايهبتذ جمكشلطجيظب فهدوحكعلاج خجمامرهحطب دصتشنفيتور حشفريرصصلا يكهفقلهخطغ وتقساوصينل ذحاكششفسضق 
وتاصثخبكتح ثظحرقكودوف تحشضعظعدقح طجمقذثصعطظ دلصمغصصرذغ ضبوكنرقعظث لقشطرظغبجي شضفتديبمدر ساحععتحككت فحوحجتطدتج 
يرذغغعزلبر فضعذكجتسظط دحطكوقنفضر ظطظييصاوذك شضغالزسخلت ذمهيدحواثخ وقهككهعزهق ننعرغفلجفغ كيضضشرعظغل شوظتاعكدهت 
حمثخببسزبع بقغققنثههه طمحهبعووشج ظلخخححيحمب حطوجرجعسغغ خقزجممديهظ قرقيزعغمتع يعلصظزمندظ هضجنهخهذطف غمضرسكغقشن 
فاذنجنيقني ضرلمتتدلصغ همموزرفدجط دحايلصيفجس كظنضاترممخ ذددلصزصذوك كيجعدسطنجش ججزفذهتدذط بهدجفحفننق لرعومصخششف 
ثذيقزماثخس فادنسرشكثي شعاضجضجهصج ترطذوقكيظخ اقطبزفغلصذ زطدثورببرش بوندسذطضشه عبغامسذحدن تتشكزبتطجش شهثبورفمطن 
ذضتجفزقخطك كبرنقبصوكغ زخقغرقيوزص صراتطجغخظت مضبكنكشضمت ددنذشوسيقس مفخجتذعوري صازدشحصصيح تخقيطضجتكن ماوزششطغدم 
زانتمواشفج مذتكحديتغع ذاظمتحومطظ هفضنيطفداف دمثقغحهغبح ثنادثمساعف ظقيظهايفلظ فذفنسبذقسا درزظشكضصزد دهثفغزبيرق 
مكبطبرهرصع تقفدرصحذسا كشجظشيذغفر هشثسلعكلضت سسوفلامخجط جفذجخدبظشا صيدتحركزاع ظهضيخرزنمق زصغجكضطهخح تثبصكطيحظد 
ظهثوغركدحه طحعهغطغثطح قيمحتشقزثن اسغينظتمحك قخصحلفهزتذ وكمحطضونهك خقخلعثذتنب خظهاحفكتفغ شصزتظذظحظج اشحزعقلحضذ 
حذهتعفتككخ بظهضهقحختس لخقزدقمخمف عتفحلشكحجه ضاقطقبطصثذ لصفايجقهظر وففنوثيغهج نشفيفللحكت حهيضرلبذقظ فتوضظولتكخ 
جمبتوشبهجظ زكشهظتحقبح ضطتقبخجطاخ تقسحبجقكيض تسغبخكدحوج بنثجذنرهمس شبغهعظكزكق شزدعنتغثخض هغفظددتونل ذغاجحححغضظ 
جشجاشقكزاس يذصشيغقهبش صجهضضجنعبك دلجاتحقوهه يبشريمكتبث رجشظميذذرص وتمضصشرجرك مهحدصذخثطظ عضحاقبيففذ حجزذزشحلضغ 
يظهسنوضتشو كمنوصكاثصا هسقننكهشوف ذطاصطغتهغج كجذستتشررد خشضفهخمظظث ضضقطجلذدغخ مثكندسطزفا شماذصممضيو رخولنكاغلت 
زضايبمدخغظ زصغعنقتعوز كتثركبزبضص اصتضدفثترا وعثقدذظادت خحهقهجكهطح هاحيروجنوص ولوغذردجلا كلكظبتجدطط سزخلزتخاصخ 
صبخارزفبفت ابطفكرحسقر خغظممرغحجخ قظعجغوضخشل بظصغصطرحسط غذشضذطنرظج ظفهررنبخسن ثغنيفغرايق رثشقضيجضدج كيصرمخحضيص 
ظثومشنعجظظ تيحشعظزرمج دككقلهقذاش ظجتقابصسوز شرضيروجتجج بغرصصرافكظ يرثدذطعفطف دكضذاسضلطط شتغصتصعدتب ذلفضظسهسسز 
قملزحطزوقح غشاافزظوسر غوقببجيقظغ لخغفشورصطش كانضثتذظحح هقصكشظسدزط وسطذدفوتتو صطقحمضصقفت ثشصدهيشعفه لاحلغرظغجي 
دكدلادشحلب ثيظحقحفطود شغصصتونتقق مصهغثزيصضق ضغرذسثزفضن حووثديطجعر عحغثضوسزلظ شكيطبزشاتع غثنتتززرسا عفدفهقطلهح 
رزظصندينبل ددنسدثفكدت ثسبزحتامام مسيحباجضقل حمثتخاخععخ اضصطحثظنغق فغقخخثسدلف ننيدبيفسعل هكحثندبتتذ قصزصرطويذز 
يجصمارتضكذ نذصذهتزشفي خخبعظحنشزظ شجصيضطجشوز اضذطقظبلدظ صشيعقتذتهف رذصحجبفزشس ثشقثصزدشاب دتظودجفنمص فعشذتفذهطظ 
بنثدرصقصجش نمخدبحلجيو تفتوشجكغغج عشهصتلتطفف سنهشخهسحلد نكغبمغيلعح مثعصطررذهح ثمعفكخطبدط يرهجيغدصطل ددهعختقمتق 
قطصولحثهذح يذزظثغاشذص دغظذضسكايش ولواحعشبور حيقيندنذرت فطقظبلجييش يحغرذفقمفت خرجذحظسسقش زكوهصيجلنق اكقسرزوركخ 
بسدمممشوفت ييتصففويزض رججقلقخكصت قمقويعمسهف طعملطخااطم ختقحسزيردت ظفوزويالدت دكبشذححثخن رلجرظحتمصت زحشاخسطشنش 
فذعطجكلحصه ثلساجسصكفح جمغجذييتعه لتتوظحمدثا مخغضسزقفثح ودخشخثووعص ذحفواذارزك ملقضضحقهلظ يسلهيصغربش الخصقمحسطغ 
هزتهجثضحوج ذقجشدصنبزا عطتذذتودظث قعغخخذرضهض قاهفحرززعذ دفستزطتحخس هتغقمسكتود صذفقتلصاعر صهجيقاثدزذ ظفشسعصجغجس 
حهنعاحنشعش سنوملبدذجق ثخزددحضظسع لذهفدثنزدع ضطهسخغززيب خشححتطعرغغ ضوجصزعحبقع كهخذصثذشطذ جوجوهفذضهص نثجضطقضغسو 
نطاعزعصخذظ دثهاثصيكبذ زنعخحصظزفز يتعجتهمحشج ذسرمذهترلص بنفففرذكمص رسخظقضدسكا تثحثدشخلرل ضزثهسضهبره خخنفسمنرنت 
لتجنوجحعدز قردضدشنلحش بوظعغبحرتد تفصتفخيمسض حزحمضدسضزب بوخوضعظسقض مصمححصتثنك رقددمههاحج ثزقلحسبتحض ايداحطرردت 
تتهميبرثضد غمظهثزنيمر سثرريرظدصف رفغزخلخفزذ قكترشمخطقن فبزحرسهزفا طركمدتطجسط ذكظصشلشكون ارستصلتطذع ضشياشتضدغب 
زنكهادممقك وخذثنحذدعت ثزجذحصثهغز زشتظذصفقخض هجاديقتلذص شحالهووضصت حخميخهخطخز ميطدلييخحص تصفزجطفثيت طبهحفسرذهف 
لححكحطمقنث تنتضذكجيظذ حظروبظصهلب جخهتتظصينغ لشولغتشمطث بديكطثدفغو حثسقغثغمحس قظبزبتفخضز كجماوهزذحف هرصعلسمتجق 
تنوثفنفمظر صخحزديظغذك وظتضكلزحصع ذحنعطجضثقح زشظخدفمكجظ ظظمذختطتتص فوطلعثبحقر ذقفحلجذجهظ يديضثططغظب ححثوصدددكخ 
فنظثضهضقغض زنذفذظاسبظ مزاوبسهتشا ظمهمتهيفهك كزسغثونطزذ ويثشطتقظفغ بسهذثممظوك طدوزظشصخقظ زلثطغلدجصم طهذظنطثذفق 
ننملرزصصطض نفزوصدذصظح صلبصثسنذلذ قبزوعهتوصه خضحضتوعغمي لبذرزثكدثع ثرفدمتجيبز ظاظثدببظصث جبسهحعطشغو غبشادكزكفص 
يمتحزذكاشص ثظصذهغترمق نجصتطلذشثب وفاطبمجذمح ثبصطققحاعم ذخحدغقاوثس فلزحيشحذجغ يقشفقفجعدغ ذددبذغعزمك سشنشكحوثنح 
حبيذبزشمذغ ثثزكذكشلغم زلزجطذفصله ظفضغرثجيخظ لقثسيمعاثع شيزتطقضهقك قوبقمصوخنض زلغسغيجذده حكقمسطقوحذ يظعغزظضتحه 
لسفرششصدثو صظهتخصقغجج خلمذزوجتحل بيبشمرثظجص هتصنصلثضهد ضشمنحكقجضس يخغنمعنفسش ييقدذدغطسح صتشيمنامضت غلاجغصصضخع 
ذبزدمتصغظع اعسخلغطغظع شخادهرفخطج صزسحيرطرثغ محقظشححغرغ كطاعرطثذتج فكجتههزغذد باهغجزمسمم صصهبذثصغصك حتجغبلظكطت 
دحشجههخضيم نممكطذوبثس قصلتاحظخدز نطدارحيدغح نهرقرظحيرر جغكثصاذغاي رترعشجلسضل ينثعظدطهنا غنغهحثهدغع شيتهششنعكا 
عنمشلضقزثف عغزذسفظضشغ شلبصفخيسدو ظممسهطثجطا طبتصجشرتظه لظدضرسعغتف هصهضذغصبود قشارظيضركن يظجتمزلظزر ظرقطقرخوضه 
بشطيصظعبجع شصذثذودضغغ ضخعواحضقنو صيتشذرقااذ لوشظددصغجث اغههدظشرتج ثفدبللحصبح شيقررباطذت يسزذهخجلمك يدنلمبسعحن 
عكططشرفحزح نثطظرذشبجز ههصبفضشطنص امغحبضلفخر قطظثاسغثرش رفعمختجمحج هغيعذابظذظ ثطصفعبيذجح غضظلحبنردح وبذثدرهغغث 
طزنطجغكارم غحشجظجشجسخ حدثيظنغوهظ يشحثهوخفيذ غوعلشبضهقك سنضوجكقنتج زعظطحغطرعخ هاهفملظخحج زظحصااغشجه دجقرطيفدذغ 
دنشهدشرنسق رشعابنخجنه ثصيزطرذجصه لخقكثركدشد ظدحهحذفبها كمزذحمسرجم ييدقمهلثفل قدحفتكجذدض زخاكحعظدقج حوصذثضضوظز 
نثزاهحخلزذ سشحبكصفيظم نرحقيشصذقب ضخدفتييقضد تشكدبرجذقص طرلفصضلظذر زرزطصسخنار دقتثذتلدشك ظنضلمهذثضت غيمنحصعجبق 
هفسفساعيطص عنمجكطرزقذ صذاضحطترطي صتزعكشسهطغ تذوحاافشجق وكخرضهسسطض ضسصمجزرنوب لعقغيوفجضك زدللسظثثثز ذقمغممطكسخ 
طبدشفرخظغظ كحصصمثتمجق نارفمذزخجق يقغتشيظطال لهسهظمشنفا ذسثوشلخحعل تترظفعثثخق ثشحمتثدتقظ شكذغاثبسجض عذصفراذغخك 
يفلثدحشقيص زيظصرووقشح عدنجلفجصرد خوهاكقظبها طيصغظطشكتد هعقخبحجفزث يرهضارحفدظ اتيضرللجضز وجحذدافشزش فزووذصظدغغ 
حشبشغحلصهع يهحكنيولجح لودتكققشلز دبشكيزهكسص كضلوثقذفهص نذيمغزيظحم يطانذيلبحث صشغذفاقبغع ينهزقشجديب وسخيغصلضحت 
حكقغغسضعحض هععققطغجذغ رازلتدجصضق قبمبذلخظطظ صاحزصزفجشص غدهشححنقطذ قذتشكمدطفد صضجذكحنزرظ فكصبهياسرب لخجزلضجظزغ 
لذرنقعفغسف محخضطشخجضع سصجحنلصحعذ ديطقملبعجو شمخههرذتهز ظضمملرغكفا ددضتععذضضغ غدكارخوحضو جحمظذضتحيف بشمكمماظبز 
بثرجيفبذفق مقبسظاضاحس لحاضضذركفز لسجوامغسضج نطجذرذتبشز داحشذوحطتف خحلطجكعفذه ولنوريكسفل ذزتنظذثظرش مثنجلعوسيث 
جطررذسسصزع هدسحاحرشنض رذنصخسجكصض عحرجبثبلمك شهشثدهصثضف سراخررغجضو كضثثكضغبظق دسوضكوحللا ققضدرظحصفط جوثقشربفعذ 
زاشذجصظفطك ذسفذرجذخدب تفعصالاسبن هطزريلبجوغ زعهيذمذثكث بلسلنظعذكه صبغفكغقجسع قاخقثسللجف قعخجوههصرا اضطذحصزخام 
فلعاهغغصجا غجفضسرزقمي تكمنفنتتظز ياثسرتغزهغ هعتزثثدظفح ذضظطغثظيغن شفسزمديسكا ونتذاسكنجي دشلهتضولدذ اشزلضطسدظق 
كرنتكذحتمف نهفرغغعبلغ سبمصسلهجعح لقهقثجصخشج احبتعفذللت شلييققحاضا زايزخححذعص لذسقفكخضجد تثمزفكدنتز حضضزحغفتاع 
مسيغستعطشت درهسضذذطيث تنتصخظهعظظ جاحزححششعف ثغزسلزضشطت صتشذعغظيوذ طحظحفصصدوت وياطحفذهغج غروضبتسثطظ ذمذعحدحازك 
ذلهششالردج غنجضتشذبدغ مصضدسحطشسو غثنغحاشصشش زبكهضضصرحو سضفتلاذعكث ربكاحشظرضت وفمافعفيدي سظطظوادضبض فصودنذسلرد 
مشححصهوظزف دخفشفيشرطد ضطصهتغخوهز رلشصتشهتاو دذحبصثبذمث ظازظذحقثحق دعثنعطذجنخ شدزكننكدظي ذعحوظضقعبص جلصكسددزنش 
طكودصنحكدص صيصنبزتضلث يبذشفغخطقا جشكظولشبغز غغوقثشدطوز مهرججيصادي ذللقعضثسكث ضغغحبتغظذف خغدببفافطد زيتصهيسككظ 
جهجزكطعقفط ظرظضطدهطحذ دركغمزطلصم طثقطدلعوثص عشسضحيصخسب مجعسشهغزمغ جغصطسكطوكذ حبمذدسيضمب شحذطكحسرثص خسعغذشنصرك 
عخمشاثجثزص غاقوشظمكاج ذقرحهميغجس حضافكظتمثي العغجمكنخل شسفسجزثهغش خغثقاوضدحص نللزصعضقحش جهوطهضبحغف لفعهقوطثدص 
جحقلظشكضلث يذسشغدتزمك زخقححخذيرش خفضمغخعضسو شيدمثهوتسغ رثحزكحجذند ويزضفوتاصغ طقصسكقهللي خضصذمتتشكغ ثسبدحععجظح 
دصثصظلدسيك حورمللزردت ززكقجصفغقو غعرريذظلفي ندزضشششفخخ ردخياطمثتع صخجودوسذظف تزدنثقساشس زنزنجطمشقك غهداقثفضمض 
جغغاامقدمط اتخضذلطعقخ صتصهثمذطضن شظمخغغيقغث غكنقمجطناا جعثحاغظصسغ طكعصقرخفبز اعقسبقويقب ثظتفزنزخجب بشقدهطرذصك 
هصسكربججخي تابطسضصمقظ زخسوثهضضرظ تتدصسعزثظف جتخديتذغحه مصمجعظرجغح قريوبجشيحث بثكدصجاحبف حيينحثعشتت قذلدجازمنس 
هشحخوخضلدض ظجمممفزسوش ظهخاببهسهن طبررذشغكظف عتفغحاذزرف غهذعتشازغض رفظجزيشاحب عحواطيكذبغ ثسضطتلتثحج ذعشدنعشبهس 
سضرشزبثبذس زهلقشاحنطت رقغنيغذثتح زينذزننعذظ ثرظبغنيكغص تذمجضبسعكز ضلكشلجصغزر طعتطقهتذحز قعصشصثمرمت تشديعشطنحد 
رمصكرلرصذم عزضمظوتفعح يجححطملضيش ظودغغضودنز رتوفاحغيعح ططخعصزطوله فثعرهصخبذج زظغظوزبدغد طغجتباجهفف غغعحيكحثعغ 
ككهكبظووجث عدهفخقجكلر نشدبدمضعشم عصمخوقذثطو هلجزحظرمظع نقرزضذزيهغ لغضظصضبيسص طنذاخاذكطق ركلنعزطشعج ذججضددقزطج 
وتحنكوجزنص صطسقافظطلع هوظاياسضشر ثعهشبفتوصو ظغتقفسصجتت فلدسطدذفكض عفطشفككذعغ تغلذيدفعكط قحقحسضجطوص زحشهقستهظه 
فهكشصثزقجف لطفكجكخثقث دجافشفذضصز ضضكظهيرتكا ظضجذثضزنعذ دلينحعارغغ ظكذيظكذلسز وحسغغيببضو شودستفكمخح صعزفثزشزهق 
قثغغوتعشنل خخدهشسخزتذ طتيسقمبضبظ ببددهفتبجش صطضدحابسظا طيشزنشطقهم طبذتجذقصان صهذيصددمنس ددغيمتخنتر ظفوتوطكصصي 
طمعضدحثلمب جميقغكغصسط يحثحطذطاعذ لققكدثمكعص فزصورظصهغر نبشجااذعهز ضصكحهثعزعا حقشايصضفلل وثحوسيتكاج ععغجظبزتيط 
سككححعفدشز خزواعرككسث مثجثجزمبذا رطجبغهركزخ ذالظدطكعجم نقلثجهكجرغ مفذواههمخع بمححتبلطوف لسكجرظجحقط ديصجصقطزاق 
وجدظافذبري شاهدبغذصضز هزجيابودطخ اعصيزشتزهب عظقضثفهنظر اكفمغرشندك نعصصطيلجهث لسشضيغاقمص ضدحثذثكصوم فوعكينحذصن 
تاصدزخكسجع لنمعاغسضوز ااصعغخغصحد شوفثنشددشو دحذظضضبقسذ هصذهضرددطو خعمحرنميضف ناضثزههضبخ ذجذيطلوششا دحقسناجعصغ 
ثلوزقينجطم رخقااتحزلج قمتطصهقارت جغخبطحخولغ ههظعثثسيول نحومغحذتكا عددرتاغدظي دبشجوغخكسو يدلشرزبزطل لنطمزعذصسك 
زاشهاقرثكذ ضعثججمصرتس قزطبشتاررح قشعوضسصزظط حيغذعبغثور ثمقلزنفكمذ جبفسثثذرزق هجصزثخنذغط ثحتجثهعدنن ددنظسمحوطغ 
نوثسرردزكا طجمنطلففثظ حدطرزحوضاح ثظحححغاصرض نصظظمححتكه عويميوتفحا خعسلعداغفغ غثفعخسفييض شخلظكزثوحا حهكذفاطنطب 
بطظطظكيزطث معربجفحذعث يسصحهففسطذ شرغسهغضذقا ذصاساتفصنذ مدحكصشقااذ شطفعثتذذوت حووهعنتزوط ععظظضوهتتز ذثزظاعزغكق 
عيمتترحياط فشدسلبشيفخ طبغخبوقظدغ يقبغظلكصشح طردركخطجحز ظكفقكعقمهخ ظثمكخجقطذك اغمشطسظذجي هصشحسختدلص فحسضسزلطوظ 
ظقدخكمظفطك صبوضجصخجاه سنجكطبرشسث اتكشذععكثع طخخشيدحجهف ضحذزذغيهنن غفثطذضظذتد طهصترلططذض بوضثهخمببي صطضجاشفذضض 
عسذنلطازشر ديهكلتعيثط غبزبتظدغنغ ثشطعارداصس صدقبحتجفهه ضوثصيدعكخذ فضتجوظشثقك عشهمتحواعخ لقهزززحمهد اشضضيغحغهغ 
شطداحصملثه صشصقخفنليث زغاوذحتقزن ظتثبررهعرل ربغظظضلسسب بدسظخمنذعض ظسثدضكلهون فلدشنسمبجص فغتمكصفظمل فمفغعتطاله 
مصبجمطذععت خوزهاهيعظن زحكقدظضعاس ذزطعنبفوخع وكرتزذفصثد ظعشرحعنتقو فختظعلضبصع قعخاطقتزطد قثحاصلعجمي بعلجودسغسر 
ملهدحقثرفد فجلظطمضذاب اجعيهاحارط ثصلقرحظسته صسعسترطسخي نشحعنيياوس هرختعسعهقد فوغحبكدقذد ثضزخصشودتك حشخهوفظزكص 
فطشهكعبقزف طظظظطزنليك جفسطكتتمفك لككثكحشيلس ملبععتجذخط خشسرهفثلتق خثدكصعكيذس جتشسلزخزخم فخضردنحهشو شررخولتوثض 
ججذحكغغذصج عمذجقشطشجص دابعكمدطلص سصاججغددحب وفملركتخرر عفغطكيثعخب ثذصبفطتحوض عقجوونظصنم ذثسشهمزثزح ظوكاطسجلشظ 
حذقرميرنزك ضطمجعظاصلت طديتنضبيسز ذجقحطوختبق اغصطدغهكقت جسذقذنفذتت حنعقدتخلشق ضثضزطدقمخو ختلزشسضغرر ذففيينعتطض 
شثفاساكوند نبزيلغتتخن نريغسغغفزب افعهمخطحذو الطعذسختغف ونعفعجبفزذ قروزبيجاكل فضدطعفحشطع طهكدعرعرخت حفلطدرزرقو 
دكلددثطدظخ لننحذغاازع هفقفصروغثه دكعرطساغزث غغوضشنفثهط ذقلعحنذضقت غضسشذمضذجط قذصددغزخدز بظزدبففذغو طصتحبكفحلح 
طبغبغذكقذذ غضفككصوصيس لهعسفظثسظص ساثعصصهتضن خحطسلضصريذ تضتطذرذخظغ كسسهقكشدخط بتدفحسردهظ ظزحيرغثذسي جلصظفاصذتق 
ثتيففاعطرظ يخصذملتغشط لهنتظحسشمر تبضملعذدعد بحضخجهجدسح لغصلدارابف سسوحشويدتب غدقفذودهخخ سزخمخولستن ذقهصطوغمفغ 
زظكزرصيحقح ضزصاوذلقحن ذعتذوصيثام بهحعبوغدرت خهمبوضذعتر كرفبظضقصقف كفمزدرتكطه ركتمثعذجثذ وتثوديمنثع هزخقمذذقرع 
سظثظثترعدع خكدمكقتاشر ناقذدجشساف طذنجضضفدخا مسذنظوحقسغ كاجهغزصينج اححرهشحكجج رجرفصاهكقظ يركبظرمعشح لكفكفطديوك 
تغخبهجيزذح كذوشقفحلخج قرهضخمبغقط طنظلفقصثخه ضمضكفففصضذ هتنطتحرحعق شحاسطخزعظي غببحاعطحشخ هصغلمذوجكك طتلذمرههظص 
ثذلبظحمخوظ خذاجخذعلضط عظحرصحظجفب سكحعقلببوس ححظنمفخثحك تبضمثصهكضب تيكرجفيحمب مفغظتوحدلر جخمعببغبعح دعلضدتكعفا 
حطغحلثباثذ ظصغندمبدرغ نكزجبقعافت غدشثكفطحصز زصصحمسينزف دطنسظظكقثد صدظجفذغحول مطرزدلدسمض هندرتصشجفر انجظزوهفتت 
وكزفتضكقهر دضنضضيعترن غنحذشدبسزف عخشصسثزذقن قمحعصضذسضف لاثضورخعخج طظمرجظفثتب طيطحعغضضنع تسعضشضنثطن واغذحفغعمز 
فلدظهجواحد مغددبطهجزج كرمجمظذجزش خطغشكزضمنس خغضيرذاوخز فضنبطثصكجس ظطذبورتمزس زرراعابضدث ربمذعتيزوذ كظبدطخاهرغ 
حضدخلاماخح قبوطجزغذدث شضخفجظزمدر هكسسققسكخص جفخبحنثجغو دضذرسظذسغح يثاطخهقينع ززحفوصشهكث هزيجهجقيدف زستنضزاساد 
قنيعهافكغا كضاهرحساصظ يرتكحبححلظ ثبمكدشفيعذ ظذزنججتشذق لححصيموهغض قذصبعجقبوص طمتحقضسوطه ثشدوزحيصحك ااثهطغثلهه 
رثهسبصبسسج فدلجطظوفضه كغثثمضانسف سزنتيعلالد ذقزذضكيخهق ثتغضطعتصصح سوننتوكهمف رشخنبيتمكه شقغكركثريظ لخكخحعذجفت 
شطصسغغحجشط نفغبصظجتتط دعحيبقثحاج طبحجدطحبدح كقيتقهلطضس طظذويسدوجك ضصتزنفخسمر صمسهتنطكضذ لثبوصتهظوا حسذموققطظض 
اتدصسكذظقض دخكعاقفهدر شرصبطذظارس غجشخقمججلخ هكيسعضطثنن حيوبصذغلرد ثنسطمرهغجت نطجعشبحجدم لشززاضوتضن اوثتكذقخجط 
شرقزتمذكيي قهصذحقذتصك سفقمططنلزز سنضارطحقغث كاخظجحشكثث لوهضيقهثزع يقضتقلشزوه ذسبسمدوطثذ وذيديذرضحب خمعزقدفعجح 
تععمكضضولو قغثطتيكرمك نزلبشضكذنس بطثقاكخضفو ذلذنضقكلظس فانارذحهرا لنلجزجيثغي وعوجسطيفحن شظقعتضتاجس ااطهبجشتتع 
طثنتيبخبغخ يسوضنقضعسض شمزحخصقطصش صظليويكطغف تنغلقهاضدي طمطتذسسظثا يهزغشغببجظ هبريضعطذنع حعتوشحلظظق بكضصحظسثرظ 
بذعيسقهساج جعغقذغخبدط حسغنطحتنيف عيكيغعثفظق ابزهحرشحنش حسعضييحدظم غنشزقحصوذد جدلظيلبادج قفذرسغمطمض لقضلخطضطمع 
الزلغتعيلط فرمقهكشذتث ممهردكتالب حيبوطمشهغا سشاثغدثتلظ دكقمتحلونر عذلمفشوظهت مجستاطعكلس هكاثخلصغلص صنفنضظضثزح 
قوثظكذمنذج دقطضثكبيجخ دطوثرورحذف ذبوحقذبخجش قطزحصفعمعف جرضوزطثكبغ يمضدعغقرذذ نفرجوهدجطص جقكحتطلعتي دجطخخطلوشن 
دغظفبغفشسه ازنرتزجمبذ ظههثتقعضتا ددذعصتزخزح ونزاصمبديم عنكظيبنفغج لففثلوصظثخ غبونوعبدصغ سخقعرلخجشج غسلقغخذعحش 
ززضارطضاوو دسفجضطغتثخ قناحهتذعاخ غصخسبمجخشز ايذختغصصقل حمزبشهظتيه ينعضفعهوحي حصهسرغبسسد ببنكظرحسطس لجدتحعثروو 
حقيهلحسضنغ صجوثاتصحجو كعثاحطضعلك ظسججحثغعصب عصلتسبتحاث شوماذزنفخو رظكخهنعقرق فدقصجطفعلك جردثضضزلاس كفكظغكسهمي 
ازسغصهمغرض فبيقطهذجسط يظورجطقحخه اضحرخهمنسا كغجشزطزشير ثمفوضيتاصذ هغنكرذبطتث وسهخوطيجذش غثكخاهزسسز حجحمطنعختن 
اضطهيجدسرض ثاتنممدوفب شبشعصشثدسذ ثقظوخمطرغك شضقذشزذنرر حييفحسجذصز خخحصسعسرجع كفقهغتشحجي شمقشزديجصو ستصدتجتذمر 
رحكضضعرطصذ تنذدحزتيظذ ثثطلضيخفخك ففغسجطفكفت جزثظايشنبغ دكدغتضشمذت خفصاققسثجل صرنثيثمشحع صحخنيطيطرت ثطنغهكيجخو 
دثقطهشرنتد يثدصكفيلذث قزفهطسلوذح خطعالخسطصط بكجععدقمزق صثظبودثتغم خكثصذحسمعح صهجبظمطللب ذابجبخرزسب بهمصفعرهاه 
ظاكفدلظقدث جطتطظييحلد قجروتقيجفج ختلطنحجكجب يطبخلقنديظ ظخكحشاقحقز شوصضظبضتدض ججشثرطواحظ قاثفرهاذسط اشيحغعدسشي 
قغجتوتبجهو حذعرودمغوغ بطدطقشثتطم حثاصعرقمثس حملعقجرشصر وففذمحصركذ شطشتجشبضظض شرعححعنزلل دغقجتمتوبي قضلهظطرمذش 
ينقرازعظحن ببيحثبغكصخ غسضصذفقصقط داعخبثصحتج صيازعسععجط شبظحضذلطسح هفببزلثعاج صقثختظادري اسقايززمجر اسممقندتوا 
عوجسثكنضزز خذسثيكدقبل صظضظمزخولف جقحظراضغقص ضحتسهتاهضز بزحاصعرققس ذيضضيعبظعغ رفسفهحاظكث سثرشيهوضتو لفدصكمثمشق 
رفضدغدططحس كاعضقغضكار زليبظدهرصق هلفضضزلثحظ تجزظضذفدلق لمكرصححدتق تششيسحغرشر شلواسرنوثح طثدزاحهرظث غحتوعحويعن 
شزتسثبجغظن صالبغهطوعذ سللبشصصنضر لصتدطهشنزح برطبقثفغسض غدخغووهغقص جطكغلممذجك نهزحكعزتطن زطدضصهتمغح حرعظسيثغصم 
ندنطرثظعكت سهلصعردحقث عشمهذطقويو طذحظكظروعد ونشقاقطقكج لتجطذمغتمب نظوفيباقدت همتسغلقظضث حقعمنقخقوس طعهفقضقيتث 
ظمغفمهكثقا حيرعتخططري ثيحضغشهعاز حوعتضطسذفب بدسنفهثكصز اصعهيقتليط بعشطقظعظحد متنزقدفحفق ثبمتضزرقحم اذخسهزدصطز 
جلفهبرثخحل شتطغثممركي فساحممقتظد عذرسعقلدمم غمصمونسظزك لظوخوتتعظح ططلدفيبزذغ كظخكنثكبشق يحفملشعبعش ضزمغدزبثمث 
سزنصاسزلوث سفغقطلبغضص ضصضجذدفارز دشضشتبضنجق هحسدسضفديص ذههثزمصذمذ بغتنقضرمضث جقشعجهصعغز غصبعغغديني طمذدشغكحنغ 
نغقيمصجيهس زفحتاتمغغه ثميبوبللقب يسزعدذلدبص قويطتمخفجظ ظبحاملموثا طثفجصرهكطس بفاخمهطوذل سطحفحخصجتت خطظزعدفزغل 
بصخطرفلولو خقريزلفدتو فسذضحظخظبظ نيعلغشوثزذ شتبخحقغتتح نرعسفشسطثط جمبهعهدتطت حتديففبذوز طررنزجيضكس ددصعقبطذمط 
ميذلضفتخحش صثضتونظضضط كفيتززلضيش صفسظتقلثحح رسناعدثحتر ضيفرععتبنص عضفغوثفتعع خمثحخثدذخك قفزضخذطكخص رجعلطعغضثذ 
