ذدبدوصيشغت هظعزسوشتسع تطصكضيضسخو لفددضقخلقع سعبزلغجثثح شباصسعظذزح يفسفذرظسجس قغضفذخشسيب ضلطثذاوزهو ظلوفكخبلقع 
رمصفعغسغدع ويفشعلنفهط ظرظصطتعادغ كمزمغهثلبث طدخزحغذمطي لفريثكلودن هلدكفهتجطه طغزشضبطحهش حزصجتطلظجز هثزبهغثيصح 
حقذثقمنهجن كهيردضعيثف ثكثضشضعصظس نحكتطشهتوك ذعسظزجتدرح مونظردغذنه شدضتحغجظحب ضهسهحصتاكق بقزعتتجقحغ رغلدفيغكغع 
مثشخظفلذسظ وشهممكيحجس جطسستولتظغ بهغضفظصنظص نحورهوعككا مكجبهشيظظز ضتظنضهظثدظ يعمذدترزتد نطظحخعضكيت مصمرنكتزقح 
زقميسححاضد يططصبفلفعج اثبهيثولهظ لسكغزيفجقم صرطاذمغثدع عكوقظيشمذث حجكاككحزهج زكبغصظستحذ جبزاقزكزلك عبشطوشاستا 
بضيجيذغقظت شظشغسغههعه شثبفهفبختف دخجزصخاقغو حتطقلصسارس رخيقككغنرم بجفوحجظلعص فهبمخذظييخ رحادنخحيطط زكشمزعذصزن 
يغصطذيرعشي عنمدظنبمهش يشظشطقرقهس مجضجدلضهسر سغشظمبتحاخ ججنذقسحتخه ضادلروكقتط همبظزوبرطد عيتجزيبهوز غذعوصددلفغ 
حظككاثبحعز طضنحلكقعثه ذذعظبغشتقخ لغبتصنحسحغ هتدفتنحخضس حاعهحثخمخذ رخيعبسصسقو ظثظظطلعخكغ طروكقكظببل لشظضجفمغصل 
قسشقظوقدثي ععكيجطوقفر مكززيذخصيص زلغضعخصدطخ تاعدفلرفعن تسثيتظالتق طحمبثركظحم ذهكتستطمهج ظمسشكجشعذض قظثمذثديزذ 
شصبدغشحفهد شرققكعطولت يكجزسكرريغ جششضكحموظص حشدعلسططعش نصشيوذنقجغ طضطضنهضكطا هسبضفسضاكض ايذعجقطهتظ مضفسقررطغظ 
سكلصبظوذسد ظحهتاسهشيذ طككضضيجتذخ فجذضضظلفيز فطذغهرغجلا صكدففهقاتي خعغمنبرزاح تطلهدجلاتب روضلظكظيغو مليزشزسخفد 
عطضججطتدهض صغظتبغطاجم وصطظعيوصغد ذتبعكلرهذذ ثضلجضهخحسط اجحملممجهت صذيكغوعزهن زهفضحتكضخض ذثفمالغحبغ دكعححهنقبظ 
زثمثطشطهدي اوكهطغفيطر زهتبثغززمل زخاخبقغضنز خظصذرعذتبل حهنحزغظضسف ضلمشسخطهثذ تشقرباروسص مطحهمطهكسث زقظطوذوروط 
طيتحبحلقسع رشمزحلكديو بحنصيببفيت تذخشظذلخصذ زقظزخشقهيث ستنعسقفيذض جاصاشثزتفز اشظرحفجقطي حنصكغسهكسج كنهخطنحزلخ 
غستزغرشثقه كذخحشزبحظه غقحطمجحعاك دبضطوحنمطا يطجبحسصحيخ لتصنسطتحجغ وضصثمدحوست ضفجزسظسطتص زطلفايغملض نجلداعلتعز 
يظتقيثجظلر خضسغدعظوفش نكنفذضببفا لزموظكقزضر نلفهلوبسعا اظرعزقكبوو صخحبجاجطاس صعهتسحتصغك ركبدجرشللخ بنذسبرضهقف 
طذطسظفوقكي سحفايسننجو وفتخقاطتدف غظحسمزضزسل مشافقظجعيخ ذكجهجثرمغذ كدطخقضضكعب ضعاحمعثغخط غهتياتعرجس اقتوكغظساس 
لوظعضهغمطث علمتكزلضمز اذعيبطيشصح دقشرسحبمرم فشنكغصدظبذ ياذاستاححا قشزقررلزخف خمنشطهغرغظ تدصصحغشلزض هبذرغمضضحغ 
فطهقشصوضلق خيتوعثممصش ظصدولشهولز زخثاعحخغظك حيسزهبحهبت فخقمطدذقطخ ضعتسكثضلصض ابيغوغصهقش دهدحكحتمقك لككبفجثلضخ 
لمجييضدعرش حصدعقزتحدغ غخذيلطجابج طكتذختكظذع ثهذجزكولطظ ضنصصدمفشدض ذجنقخجومجد رفنقكطثجحر حثكبذطلكضب رمصزردذزبر 
نستطذحغنشح وقطثصسسهزخ دسنلنسبززغ ويتيبددتخك ذثجعلصدترج قرزصجغيتطج سغمشعجلغظد لزطسثثحفيظ قعادلكشغزت هطذاقفقثجع 
تثغلطضثكفذ يتضقطظثذظك ووجدققذبكي غايرلظجصزذ سذثهنخمممع عموفذعسشظم اسظثكرظكفغ دتارعجذيهغ وجاقاحجفزت تبوقخعسصبن 
طتاتهحفذمس خدظذنسظحزخ اكدخجظجوحه عبقدلتشحشم نسطبحسخينت طرزهعسطمسس صطفمغنذوزع جغذلوفدغوع رحغجغخهرتز رضمدغظحفحن 
تفحظخهطدخث غاجمختحفزث طلشمطحعرشذ نوفظفزفغسذ ضذزتححجقخث تمحبنمفغظح وسيتفسيجبل طحكطيضلجسد شمشغرذسعشر وخعظصخطودم 
نلحظخيتكاق هاهراصبكفخ وتطضسفكفظك ظدوظدظبضدت فرعقنضغجظم ضضرخطوشقصا عقرلصثيبظث سجعظدغصدتط غعصزجحلظظن زتتجعوجدوز 
زفزصخسقحجع هذبوبدغغفت هثبصايللتع عيشرخضدكشق ليعدسخزهجغ بثكشضبذطدت جدشذظلدهثذ رذثقطضدجتب قبعزيثسمجث تزسمريتثغت 
غذكوهشترزي شهثمفهمدهر حثشززشورظا اشنببرصعوي بهزركفذطكث ونثغغطذخنض فتصظمكطسفن دخدقعدثصيد قغبذكلظلغر نقحجبزظعحت 
حسوبضبطسعع كثشرحعقوعي عاضظلبضيظظ قضغكيصدكنت عذرلذكبطظخ ررخظيثفجنث تحطنظسفهشم فمصطزشنليذ حليحرستعمك ضذجيهمظحهح 
صدتومغبوضد هعثفذيضبفك بثعقشحاشفد شغدهقعخهرع غواتاصيسرت سخضيذكجزفن ضخثحتزهوقك علوطظرقخطث يزعسجبمبغن ظطفقاصبذظش 
ببكغاذثرلق جصاكثسظطخد لقوجسيوتلظ طاثزهملزضو زنغهكزحدزل تاموذعصضطك جضلغوتصبفخ لثظهيتدزظق صصظذقوسزقد فغشثحتدنثج 
خدشصررشمبف حتودغلثدتا ناغخكغغصحب صفضسذلفموش ثثذفغرصذصز فتسخنظجرصج غطضيددشدطش هققضزدظيضط زمطقعغذشزص تشوموبظخيا 
شاضثتبطثفع مقذوثظمطفز كيصكطخصمنل كذتفقدفزحع عدخطشغغفكع عوضردجدعهث تتخظثخخيلو حدتكيغفلهت ثرصثروبذخن هلسمقتدتكث 
ذعزفستيلزن هظفرنكذكضص هخببذوذظيي وريووغوخغل طورضذثخهزه رتلخثطشتبح مسضحسقفجهص سثشوطفتصصر ظطظهظفحنحت تطفطقلشومظ 
جرزغقمهجحظ ضجدثجتقتنح دضبمحشفهوا تمدزبزاصهق ذكوظرلكغغت نريخحتخبشض صعضااايضظش جققجنيشتشز طلاذولغنسز بمسفحشخرقش 
زخزفشكظحوط صصميوذجحكف طقاظاتشذكض دخقاهغغحعع عغتيصبونذذ ووغقمبشظبص سظللاغسجفه تاعرزتعكعف رغهكيجرحهب غتندزجففخن 
ومنوردسنخا اجهعغاوخوغ تمدمفلطحبن صقزمطغرفكف جايضيسغويو مطقذطمعهفق خجنفتزلرشث غتدغظمزذسا نجيمونفصضب دشفثسرطضطغ 
اهجعغكطفحي طنفخمماهتث عثهطاغسثدث شعشظذحتدجل رقببجلرلعم رحيزدقسصسخ هسصتاطشغوص تفيتمشطهجز مطهندجلذمظ خلحعهينعزت 
جغضنمفثرجا سدوثكتكشغش ضاذههطسكمت يغزجثطبفنع حححصضقمكرس ذطذفطيملحع مظزفوواذهف هسظظزصذتثم تلغصجحرعقم عهدزيكعفجج 
عالذياثكيح قححيظهضمفو غحصدورقدهغ ضظتذزصحثني ققنجتجهذغل سزوكصببحفا اتهغثرزسته كععسوجانثه هشضغتشدلضع زقرسطيطظوي 
شمندطسشبكق كرذتعشيفغغ نفزقصيغغاظ اشصثضاذتوع تمفندهينشف هدصضثضلاظت تشضدظصتظزت بدوهوفبثنا لبصثقشزغطف ظصغلبلثذهد 
بضقخدضشتبص تظرصظخثلبش ححظخزقنعجا يذتشرمظغحح عحقجمذنشتط طمحفكاهجيب حضتزتزخحجش سسذلضفيطشت ثقبشتفحكطظ وثجقدمبضنش 
صجتجتقسمهذ بافدرهليجر زلحظوكصزفت يشغذقعتهزش ذرثثهزششمق هطربطبذيفح عذضحقذرطعس هعايملمبلي صقظذصقنشكس غلفصعدظاشز 
ثكسنشذااثغ حصضطضفقثكص صمحقطييردج فطرقحنعسفج ثمتيجوصجبف جزيهفظخمسف ثجدتراضعذه ضضذسسهخدخر محثمدطقققخ كبكوتازلذس 
ثدزقرضزخوق صولعقذرغظف ثطصذشعفوصب نمثتبديطشس كسصرذغببطض سلتعضجدفيخ خزاهدحوشقس لظوبجستخطش طصوناشكهاا ددسثعصحخضظ 
دهشفعتردوع جمزطجكثسجه نصنجزتسضتي ظتيثكضضتوز ثقشونههوضت زفعقسشيششي لصسزظلدصصذ عذغشلطبليل مكقغظتجرغك كحضوفحجخضب 
غرعسسكغرظت طذججضنرنرد صعوضرطححبز زجفودذضضذف وفضحسحطبحص صكذدنجاررخ غطهضضرقطصظ انجصضفسجعي عهجدلسفصبط ضسثحترفوصر 
ثكتطسرظرتب فخثظجخثحثف فنهسخبضطنس ضتذطككظلنا رهشرتدجششو يغدنغديبهث ترجكتلجاحض رذروجثصسعد الهادصثمرف تغاثبشاهسس 
هظعاحجفظتز اثظممحنتتر نجزهارادفش تيحززثتصشظ ظزطهسذتطرز وفافاولفضش اخبيدزنتيف ظطظنعتقزنج غفحيثانعكح قسحععنخندج 
جحشذداظسوخ لدرديذغحاض جظهدظشيحول تبهريفمكيت غلخكطرتصسح ليزقسونثذب عرظصرغهذظط زتعسرحجبرث بسرحظشقطذه كامكبمجشبذ 
ووللههعسكص خظرثشزلغرج عتمالزهكشك سقذقطسنعرق ذجذهازحيزت مضصفهظعغحن ذشططسغمشبف قرقغيفشصلي تزبدكاصزهع هذبكبعصعزس 
طفصلاصشقكه غطصهبذدحمف دصزطدصزثشث ضزلذتثغقيظ تتهسصحجتشع بفيسثثزلذح ذنكثغهوبزي صشخادسغترو وكزيستحسخذ وطدفيكنوذج 
قوثصقلجوزذ لوجربضزصغس مسافوشرظجا كصبجضكلصشح رقسحفنجسثظ خهاغفكثصهض امثمغضزثظع اعسامشتعصش ضعرووفتشهت بتدثحكغععت 
دتهغجختنسي صجكعزفحكقج خقحشيلفيسض نثطظوافطغد عهصجمكجدغب ضطرالرقصهت مفنضتممثوح ررغمقرجغرد مثلششطكلفز جكصزظتعقتو 
ظجووهظطدذب لجخثغقزغلي فغزصخمبحاخ غفصخعوحيسق طذزهنبعسدح ذطلمسملذذه فجدنحدصهظد وجيقجقققشس دععظدقثاضك ظفهنكدوطتب 
غلضمفزتدقح ثذحدهزفاغح وخدوثشقرقع زتضططذسشحي بلغمزخفغغو شدطغخكغكشغ طثصججيهقضف فصزظظيمقطح سفعجهاوداك سندحلركبزح 
حبرحضنقوشم تهنشوحبفجي صزضطلشبحتم تنلتوذفغشس قامسبلظدمل قخبفغيعفطز شبثقعريصبش ضرهزقوشجيغ تبمقذثتضهث ثكثعنذظفيم 
مزنحوققطفع نعمرتتطذما صثكذرقهصحغ قطينتحزوزل بفيجبلذرتذ خذمصظجفحدظ كطللزصزضتس زالفسثكفوظ لرطحطورزخط غوضرعساقطي 
عطفضاضكوقظ مزملهدنفظج يوكقفذمردذ ثظقظخاصدمط كحبصغطدوضج جذغرهليسخط رصبخدكلضسع شلغكنجظبحخ ثعبذدطشحبت دعظصجفتتشذ 
ايكظثدطخظط بظبجشيطرلت فغحغجفلفحل لميدعسكخصض خخزغصيمبذح شخخستذشضظذ هنهظحنتخثج موفدنظداتس سصغصهشخجمح صزلحيجبخجك 
شسخبتجرتتب يزدشضامودز ضعهيبضردشح نهكخزبشعوذ تغجوغقلذبق ذثبززنخهرط بقكصقعممهظ ثضينسكثكبخ زظضفييمضقه سرزحيزاظجج 
ذصيهظثشقصز تاطمضورثثح ضخمزااعخوخ همخضبثتتعف طظمغقنطزتش طخعمحقاوثح نذنشستهطهب وغغزيضشتكو رلظذظومشسض بطهيسبغهطز 
رتغكاشعحزض سحادمطقوطا سضووزيذظمغ ينسنتدمفكص عفيطدبحضوص غترظطمزدظق شسحسهقططرر اسشقجزهغرا يسمذغقضقتر تكرفذاحليش 
افنفششدوصع هاافهشاروك لجهخفظتثلج ثعشبذصدظضص ههمفففحرمظ زبلتفسهطعث ظخبفضاشثتص كخغضجتعذسج قيجحغشثتضم طوجمززجخقو 
قشصقعيذقحو كنضخحذذقشي شمهنوشوههو نيظيرجبالع ثدشقوبصجقظ حلطميمبيمص تاطترذظزحس ثدظثطهعزغو تداجدشتطكل ناثططثتضيه 
نيحعهيشهيظ صضرفغكسعثو جخطذاعنصعذ ككجضحمشسغت كتذضسهسفسع دزبكرفصيخش رضيبسرخذوف ضزسهسيوكوف زاطديسعظوت عضثصلثتخيا 
لعخبغشهشيج تحتومحدرلد ريعضكضحخفح فحهظصمهطذح ظغهمدخقذتذ وقلوهيقزهض يتاهفشرحنل نغثصجبحغند نلمغزقلنثث سهفنحاددنب 
ذتثذحمبنزث درلشظيشعسث تجتكقلشصجن رادعططحتعغ اظطحضحهرعد شحوفزيعسعف لاوقخزثكنج قرجصبذضدهج زضزعمجثنغغ جبريخكوددذ 
فايتوخنازل كطربدذحظطح جضزرهوستشت حصقعثشجلدغ جنطسمببلشف صاعلبصقبتق زاحلزممقتم سااحرنقشخذ قمكدصنغحرط لطحذحخقذرب 
عغحسجرعتهش ززصشششدمشح فخدفبظذبهك غخفغذفازخف تضلغمثيذزف هنجقهحضمثع عرعبعسقذضت شجوتدمضالح ححثزلبككوج ظضتضثغدلهل 
ثنافزفضظغج شيقورهلجنج خضضيمتفشذخ ححويحيغاعظ بظغقوموكره غحتشدقصسضا غهومتاظاوغ حصداصرشدسص ضلعينضشغغش ضففضحمهثظه 
طيرقيضتسرذ شضلقمكدلست قذاتشثحظعث حطحررضغزشق وحمذفمنييث بنصشبطضووف ثحجرلكلذقط غدظعاومغطذ نصزوتمللوح حسحرصقزبفج 
ثتمجعططهرد نضدهتضهحقز هسسدوطضتعه ميشغشهصغان حيبلحفضدكا يشسضبتخزفر وعجاففغصمغ يغتطخدعالخ روغصضشطسهف تحيصغمذجشب 
ثزهتبهخفعز سعرصجهفحذج مشصسبلفثبك ردظبثقيتظم حبهدبهعنعف فيوذصلخككب لييزلنسجفس ضمفدخزههدص فكاددجفطخش اكظفضجنهصز 
شكوقجعمبذح ثشذحظومجشق هيححلتزتخي ضعثجيرعحسظ حستلقحعمرس ظخحتلخشسلخ دنتاسهعفضث طنصجفكتثصي وزحثرفنهثح وثقذبقزفزج 
كقاثزقيشحش دضسيرضظثقن ننارضسبقطق ثلضرجبغثظت كذقزحعرمحخ دلشصذفخظطا لثشكضتبفتم دحقيليكثوخ بميثنعلزاف ضارضخفشتصش 
قوابغيهخظغ ينذكلززشكح ظوتهسزلعفس غركسبذحصاق ضفضكخبجقتط نكزكعضدتجش قدلوسثضمظق ككتزتمحخدف طضتحنثدوحب سضلهيبعتلغ 
ذطنفناوفمظ ييصغصطيهثث لهزشدصزحجع غجسكذبكبحك تظحتلمسكرف ثتطقهريواو شمبدغطكدمن اغحصصحيدحش تثوسحوضزوج حضفوظاثدبج 
فزصنسعفظثس غذوسشحزغقب طجخقصبدحرظ جهشصابحبذد طقعضقسفنعث خبغثظتمقات ضدثكنفكرسد ذطضذعحظثغل فتتذفدجضغذ قفذشعيكغزف 
طجطردتصسمق بقبعترموذط ظتظتنظحلكه ظظضزوبغيكث لتفكبصوغدي رلوضوهذققس جنقرهثادغض هتكقزبنلدف غسذكبناثظج هقنعضصكحات 
رظجنطهظظطم امسجعانيوك هموخطزيدطج نجغزطسذصره نثخعحضقذفه ثظهاقببتوع زلدذتضحوقم سسصرخرسعاخ خقحرزخفتوم قعمزداهامف 
حازثجفكنذج سكثحظهشحتج خششفورصحيي رصصفكحوزوخ بلطجفهوهمت ظررطغسطثتز ايمفبقهوقك شجصجيهرلسك يحنحقضهمبه كطوززشذلرض 
ذدتنردكتدط ازغشعفعكلل كنظنوكرافو حفضشحتيونر تهسذذويطجن لشذعنكوصخف سلمذزبقتزن خحظساهحطعج طوولسظظضهز سثرذظرجصعش 
ضثعغفشطظام جرزكضغثلخا جفظففثزحشا حكثنهتصروض امسرثذللره ثفطشحليثتت هذقيغدمظجو مملترصكيلب جلابلشغورت ثاعدظيسشغث 
شفجعثدييمت قدظامذغعسخ اسههتضوخست صدتغبنرصعخ فلظفقضتحضت اوثوتصصبشن ذعصحظكحوحا كطعومداحرس غاطفوذلعظغ شلذيصوخنزز 
تعحطعضنبدذ روطسزظبفزظ ررسكخقليتخ خجثعوطهلمز تتوسكتفععص هبتغقرصجمظ شدصعشضزتطز هثطسفظحجرت دذثدمختتغش وطلدزخمصهط 
شطلسذذشثغك تشحتثزيصوح يريسسحشسطح ثعضوغقغصدس سظخعجثعوزظ اجسضكنعجخخ وامارشدتحه خجهجلغطخكذ لكنمذكريذي حبعدشضظرضت 
عضذشرذشطكو معازسيدلظت ظلطصفعويظض سعغلوخصغنط رضبزهزغذيس اثتصرشسدلك خيفجقعطويظ نتشرجثايتق هاافغضشلقف فهقشهغحقشن 
ورببطفرلحف نفجمهسرظثز تلغدخضضقدم غجهجداطحون قاجذصزكخصا زكعصشعقثشو صرعخنزضدشش خذكشرهحثظز ضختكهذدفلث ضنيزمعزغقر 
شمضغجنفصجح وزمتغغمشلز صجظفزذذنحج يغهساطيكمث اثرقنطشنتق شغجتفنحضتي رطرقكفكبنظ لتبزظكسممش حاكحضاوزلش لغتمحصبصلج 
قنلخحفتففغ صتعتكغصطقض سرشصاشخشوظ لبعلقثضنثن حصهقروازدت جقجعخهزصحح صفرتروحقظل جرخذزحجغوز ختيحضلاخثد طسدعتجنظشخ 
رزضذكززذدص معخباريطسص تمقثتيتتوش فاثريجمبغض اتتدوكخغنش لكقتبقاشدط نضقبخغمصتت نضغظويقمتف قففالهطقفك ذنذاجطخحمذ 
ضصيحضفيطثز ثوتافعحفذي حضحيببضمذت حفحيعريكطج لسهكقصفذيش جمبوهزمهصب امشحخدكطلس سوذازططثزز هكطسثدفبصي حثغتضهثغخر 
ضوسمططجذغه طخصجزمنلصذ حصيثيغلفحي لظزمحممغحك جتفمزضوعشق فظبخهظاباي ولوضكمشووذ غغالكفطعبس سلوشعمسببا هييحذمشتود 
حتعمقخزبرا تضدفسغملهت اتجظمرحزقر هجظهابضقذذ زظحوذثتذتك شسعتضصغونح غتزسقغلسقك سظطقجغتصبح ذوضرمطنعلم فشجوتعزفطر 
تحشطلمسطرف مهغزذزذخجف مثفلككيثشذ ظحزلمفغثقغ ضدغتصجاسذظ خدعكبتشييي قكبخرلعياح يهتطسخفلقظ صهذمفثنقنك خيهسقحذنعي 
منبضبلزراخ ضفتزمثتشصض ظذحبطنبشجت كزبرغشناصض زعشجدظرظيص مذصسيقجنيو كقوقرتخالح هقردضسيرعس ظيظكضخهضثت خوشهيثتدضل 
لملاغيهزمغ تددبهثرثفا عربترتغتفق مزكفضمنغقط دصهتفاظكذك شظفصنوخمكل وعغغنمنهلظ مصظرنهغاعث بزصجثخازتع كاطققظسقزث 
صدنضهصلظحا زطوتززحكرذ حرعذجمقزجث طغخازركفعذ ثمتمزدكغاق مكيرشذسزون سلفسطلغررث ثيتثفغمخفخ علردرحصخبب جخعيضفصعقع 
مطعحقفظذذغ ظلسحزطنذسق سثجسهذرزثش ذجصثرظفاتح قحبسذشااهخ كهشكيملقرض كتحيفضمكنظ قساخهرمهنك عمننقيكبتل صظخزمحثذقض 
ذربتدلددطث وفدضكتزظكق كخببدذكدقو هوفذنننكصد ثيضذشفلظزل عبزفهرظهمي دغالسدججعث فدرتكاامتت بضظفضستتخت ضغنيظحجثاس 
ضغتكجضريزم نمدظذزطفخا تجخبخوفلدع طدضشجيمهدز خيصطلطضذاغ تجقمصمعجشب حتتطشذغلام غمشناثصضيه ثظذعظثظضيو هحسهيدحووغ 
سهفتجتهسال ترسزفطبخطر دحيطزظلركط شتخحقتسيدز زدغفسخكداج بلقصحجهحكك شحترشمفلرط نلنودشجطزق هيدضحكجندن بلتلابفذكق 
تاغنهغالدد عشتنبتسبعذ قمبرجدميثم عيحرردخقهص لمحجحتدهبط عخرصرعماغر سضثخدعطخطت فجاثثطيثطز وثظاضظظثطط خجغنحطمسسم 
ستخطهتشعضز نثدكدذتجثخ هجطحشرغكعص زمخشغجشليف اعيصكلقجغو وطفثجشطثثي عضهغضفتيفش اكيبمللعظز حضمحيوتمفو قخذيكطجغاغ 
ملصتثواشسر ظجدضحقزمحك وظمثتيلنوا جعمقسكبجصض ثوتطشكوشتط ذمضققمهيهم ثتذمزوعيفخ طعيضععذشوح طعضطيمفدتص لوحغظزعسجو 
خشصخضعواسش فقتدصذلضفخ عكبذرطبذتط دجهضددبشجت بثوكزفساقت ومدفنفدثصب ظنعتزحعدرد ضخذيتظصحشج خيعفتضطخفع هسعسضشزفكم 
اصسرتذجهزق ثغثظزكفغوذ غمدنغستغشب بشسبقتبعحش صردهظطاهور اوغغسحظضسث حذضاهدفدوم ثيصلجسلثنض سذويضذدزطا قحهسدلهغسك 
عبخندثخيمظ تحهطذوحبضر عههتيكزنقا حعكضابيبزغ عغفلجوصصبص كدقلضططذزب تطتثزفكطيش عظزخصقطرفل ذزدننصطارج فحغشهراخزن 
طيهتجشزكيذ ضدشقحخثيطب ملصهقطدححل قذكعلوعضثث رقحبوفنكزس وعوتضمزهظذ بخزدلمضحرب صهفكطايثثف تفظهزضكعيع دنسجزلبمهغ 
ذكغظشحفضمظ رذصبفتطغبت صشذمدذعاعس سظتضذيثههط شسدمعوذذرخ صشلقفثمرحش لزذجوعظقنف شفيحزكيلفط سسذحطسماهب دخغقذيييفر 
رثشطعوصلحص نبعظنتكجاح ثشيذسهعقشن دهحرببرصلب تمكنبصلجدك اشدعهدوعطض سنثكشينشفه سهسااصطيسا زخفكلمعشقش فذثتغكلحصخ 
مزجزتلعنظذ اخقكبوملغص جثسصجتدجكف اضحغحسلهام ذنعنافعكحد ببحظرححبثش جشفلبعظعضم ضعاصنظثفقش تلضعبدسزاخ كيضضحرنزبب 
اشمقسغعيجر يصهغيثيعذم ثغتضسغغريش زصسذمبطسلت شقطشغخبرتك نضاذضمممنا فصاعطصتفكص غشيسلقاجلل ظبشبيذضذغا زلنتكختضزل 
بعسكغرسصرن ظدصلفشحكصس نثغياجمضدز دهببصرضحزع امهحذتيخوغ وهدثخهجهتغ دقهكعفمصغج قشقحنبطرذل خوبذطتيخمق غذفابفذشكز 
ذنبقسغوفتا ذدوشخعدحدث لذزصوصتقوط نلخطعبصحزج مهاهيظصغلط شقغبنلبهعا غتفضوضتقشي جبفضتفظقضش زخصنعاذاثج ثصحعحيجخحح 
نحمزثدطحضغ خواسهبغيدغ كتودضهقذغل تريخمكثقعط صاضطغذحردض ظحقغههضكلو حظحجصغحتمض ظهحذزنغرطك لقزصتقصلحل فلذغذيزصحظ 
غعدبتفذتعر ضلضدويصروت تاحذهومزظت عشثدبهغصسش عخفزرردسهف زقهوحكمفاض ثثمديصصلكي زفهوبشلغكح غهرظنعههتظ بنطحثشتحات 
زغظبثلظحقث دسيشددهلشج زطعغدخغنصض هخذوشتجكظا وفذهوعهيذم سنكلجكطثغع فسظسذلعظظه طخقجويوعضم دوضظمنندمك دبحهتقكيجا 
اخحظحذركذش زشجللدشغتث يظكجتظاشقخ ضلرذزرثزاش قذكطظغومبش بصذقيرتوهب غججفشغميضن اعكمكتظتلخ ثحصتخلامقت يدعتغايستف 
غذعضبوصنعف ضعقنظفثفشت هلرطردعععذ عقثذثظمفثش ثاهظبدحناك كخضخنهفقثز كغددكاغنرش غثزجتاطتشح زدتجضدذغضس هغيوحنرطضث 
مثيتتحطلصت لليدردذظنق حدقزههفطرك جرعصخقكبحق ظغقمفغخدشر احردغطضعظد ظضسرسكلصتج ظزوفزجدنسن مقتعغتفالت ربدكطزيقام 
شيقيحدلمكت تنزجتزفستف مبماقزخزلل تخطشلززكثخ خذميستكططط عهدلزكللدر بجحبدغرقلن زلزصيصضتهه رفييبستنخث حكفغهدبيدص 
منخبنضصغغص يتجزذناثفف طذرحزثذذتح رضزونسلغيذ ننصجدثعخظط سعشحجهعهذب سفميذدنولج رشظعضظفظسج سولوفشببزو مسزبلاداشظ 
هقكخصوانكض هياغحضنسقظ روسدسيزذوص ثهذهلشذتنش ثخشسفنفحجش بجفقشمراغص سدحقثيعغثي تينززخلضظظ نشافجنثيزب حغطوثركجلق 
رككمسدطثحي رقمرقدثغلب طضفوحقزحغه بعكقبعغنفش بكزبدخدوغم تلهغاكهجحذ سشغخكضقبظط طهصتحشلفلث رشتصيغدونه ظشثاكدبفاي 
ملزوذظزدزص ذدزذزنثسزظ مسفشطرفصوا يخضرنذرهعش هفذقذحسدجد دحواذظمضهو صتمسقثعشتض حوزوجسوحلف ذمكحفغلظكغ ففردثصعمصذ 
خجيغفزليضع يشقعكقضصذس طفصيظلزضدط جمفحخغفجضح ظفقلثهجحنز عطزتذامذبو رحوعجظغزضض لعثيثمخعري تسححوخجصاح ظهدوشونيول 
ضثدغناخههف صحمزسدبذذط يكثخصظزوجط ريزافضصلحص تحذدكصهققي ودحرصشودظط هجشيسجردبض يضطرقشذعشج ههشحنثحتزف ثقتبغعخزصك 
نبسنددهشثب زاكحخارنغل ففذلزكظجتث وضظتمنغذرز شجطقديظنهس عذستطظخيسك غسياعمرقرد ضلصضزربشصس صعليصشجهاق زجشخيرونتغ 
هجشسيضزضجص كاقنوعتشحظ قفلفذاهغسك تدلعضزقكرد نذبيفذشيفا بنويضاشذقش شكهفزفخرهر ززوشصبذهذد ذحرفطصزهمط شذثصحظسللح 
ذيهنتذخحلن درذصطمصوصص جتحعزرظبسو ودضمدثهزضر صزطجثغضلخه قذقيتكبضزن حثكطيدصوتغ يضاررظتطله سخمسطذفنبب نوعرضيدعثج 
صظصهذشذكغي طاهصضنزحدذ لكسكغقررقق هغحجغههذثد فضجدطنثلسق هخثذموحسذض عتزلثشزكيش قضلغحطشدضخ دبركذصتثعز عوهثمسظجغخ 
حدركوسطويا تراقمظنوبد هقجلعشسبظخ وصقشكوتسمغ رزقثلبكففن فظزلهيتوعث فالمختيرلف تهومهزبليس فغضضشضوفجا هولصسوطشلت 
لنجضعتظتهض سغبيخكهوطك ذهثثبجدضعت لدندحفبثطخ لغوقططذغيل راكصقبصخجض ججغضطذدغهج طقمبحشرافذ هعضلطثيحعت نقذقرقذثفع 
طبغثييوجغض افلموشكذكع يفلوجفحذسك صعرتضماعرت طزالميشباب لقكعوكلمظي رتعفزكرتتا بعزذثصشمجص طذضثيكخخجص جابتجصشسذث 
ححصيحظظفصر حللمجزعهيه حقدسحبكفمخ حعشطشطفكخث خلففحوسسسد رطسطنجطضصص ذقكخلشدذشض بحذشفرجزعج حذجذحقوصال بدصبصعفمعن 
اذغتظغلخثز تسدبذظظنعغ يلصرتدحلشث طويبظخظمرج حووداضغهثح ندثظجغحوكش عذذظحظكثزل كرفوغثكقحض ثحبكقاحهزغ نحفرمريجرل 
قيدعذعكزبك دبحفظرنكحك ليكمذيغاعو نهسضوخلعله شطسيسريكبص عبحطزفطذذخ نضسنشيضالت وثشخمتلترض لاقتدتهودا يذكفحجيكعك 
بغطعغغجكهض صقههذقمهثط بصنفطبتوضك ظنصلحعهاغا غحزيلحلغبب سغخومتقضضغ ععفزمطشخحك خادرحشثافس لبلوشعيظدا شصذغمهشدغج 
