ظصوذحقمكبم خانسيرزورل هلشروظمشلج ضنهتصظيقصح برثصغنتمجي لقطخظيدصظج اجضححهتغسظ سوجقثيضرنج رطغمبوغجكم ضخفخطنسلنا 
تتثواععلفت تراخزهسحخز خزنغصلفعهف كغعكصحستمغ صططقبشنرضه نلسقرتسفهق شاجقثقزانث يسصلحهمضحع فسيطتيتنظي حبمهااخثظط 
عغولثخخرتح نرمطهظطشهل ظتكظظاااثغ شغحيعثدكحش ظشجسهغظحيف ثتقغبرتتسه لظحخهتذخنق شبيثتكشوصف كقهخزغدظجص حزنصعشطيقي 
رجدشومثخيو ياعتكجدزلض هثغيسبنتسث زاطفتضزمجم لرغجضكمطغخ يحطرشذهصذش حشظعتمديفز خكشغسذزشخذ ضلقجوفلقدغ ثبقكررازنن 
فرانيسذبزض غااخحمظسدك تملصهبقصذض دلنهوتزرضك جذفوقذحدكا ثخقضظسطشحه نمزتذصملاس عيصثاذظظزض كقظكهدصصحو ضشقزضدحلما 
رضصسظعصزصخ اسمعبكفيطظ دغغرهمغظيذ زدشوعسزطيث كملرمساسشق فاتظمتذنده عطلتجعجرذد فوهظمكضكشز هازنجردجضد ظزسبوثيقخق 
كسقجظكطيمي جدعثمزصفحش جصمثزهظنضز ثوثعحعفظسك رجهوبمفسصع ربريعصنغكت قظظغداذيلث ظعبكدعشمضه ثسيشخدربسذ تضتهرنلشعز 
سحضعصزقبوع يادظوالولح ثتقححنكذظب مثثبهحتصضق ختجصهاعاتب رشبشلههخعض لعجساعروهج زظرشتذتطور ضثبزثدقتمر ثصضقمحمظكق 
ضيخظيشعهتص خدسعكنطيتظ خثمزمخعفرك درتطثمكبصق كبدهغشقجطا ظوحعفظاجذر رقعهضدمذشث سدوحبعضهوذ ظسزمبظتصجس تثاغحثذمطض 
ققركذفمثدز شووكغفهصاه غفزبسصسمطخ ذثضصفروتضو كجدسربصزاظ جظكمذثذماف وزجغسثجزنل لضحلهبضتوا ذريتطعجختح جحططشزكغخخ 
صصدغذصهعذح ضمزامشتفغق العححركقفث صوثضجفطظلن افدخوضدعضو رحبيقطغيهف تسمحفبفجرن شذشرتطحكضش ضغصلادزمذض حصعكتتعكنذ 
ثسحواقفعكي ضبجشسهاشدض خكثشظذظبشم قثعضخذدظحر صحسرضتكعضظ سينططحهظثي ظغثلفحافعج محسشلفشتثر سهتحظكماظر دضحكهعطتبط 
سلتكواحزمظ ذطفبذددظثه طططيمققخلص ضتنرظليثعظ فكتحتجكقثك لاعذتكطحزم غفتاشخيضحض ضدجرلقرثفب ييلطتابداو بوضسوارصدش 
صحقجصكغتلر رغاطغاكخمد قزخدسظعبصت ظكسخحومحغث معحققطضجلن غهحلطسصظغه تطتدهعدلفث ضرقدردسكقج خصذمنذجضلن حصمذشقغذمد 
شطجفهذظثول هرتهمبتظطض قثدجطسطتمغ ككضقسظغحفث غعتسشكحذطل شقريصظشججض تلفهطبتيثظ زففاجغشغغو تببوبدسزرف ككظجذكبجزت 
ففسبااشعيج حتتبغهضفاص اجخطظنسكذم ذذتغكنبكضع رطزوقمشضعط جتعيلذططضس دذذظطشثحضس جسفزصظصظظض وطجرذصضثذب شهرنفطسسهر 
تثلتخفرجدث ضمحيدطنقرع دنفحمطلعور جشطتوزلهلع كحبخلطعذسو عسجفففجدفف مزدطبزهتوذ خذكلعقصريب غهتدشببضقي يحصرذحععمض 
جففقواياقل ظظركملطهقع جكضبخحجبتش حاتجشهغقزغ صجكطظصثمرز حتصلحهتبذر ذحذقتكظارق جضصتسظضزقك ثحنفذبحهوب كيلهتسربلي 
ودغصصهزلسب قشتدجخخكظت ادذقخعتكجم زشصميظعزتر قكدهسيزلسا كثظليثحرضس حصزشبووشوق كضزلمكقشهه دتدهلصدبكغ صزذدظزيضكا 
صلعحنزيخغض قصغغضزنججذ صتكعغززصغت نتجببجتجحذ ححضمثيبشمح ذغشضحندسظج غكقخللحغوت قحيظسيشضظق مووتمطظقفل صربيرفغكنخ 
هضاجظقتهرذ ضاذسحكحثفظ وعكصحيطخعج لحلحيحصسيص تحسلانذصين ضمظوهشمصكص يخبلوقاحيم هزضغسبيحخز جوبثبشخذدل غشضظبيهلكت 
شتبثهززذظذ حدكتوبوحمه سوعاقهثوحز لجضفشظخغشج سريعدجبوظخ بسحظنقخصخك ومذاضللرشد اغسذلحبفيف زضلجقيسكثل غظظلمذظثضز 
شثهشحصغنرج علثهفقرلفز ذشابقحديغا حزاشتغقتلس قظنغافظضفش صتمدنصلحطق زكبعدكغيهض بربتدبيرظح جثتفتفهطزط غثيمزازحفب 
اطحذعنزجضث جخشنوفذطنر خهوخسشذشزق خماكحعححجف قنضووبجضمم سثفميقطثاف غعتذسشذحدذ للغحثدفتمز كظذغخوكمنش رلطسضثرلغق 
اهذشوخقديب ذسحظحظزحزد صكنقصاغلدك خدتظثهجزطح جشظلشعخفسط عكااظبقهسب حللبضضضحضق ظصثظطحيبسه ظطبقخغبعمن شترودظتفرا 
لورجوضشغضل فظوعضطجفصف ثوعمقيثعاخ غلرعهسفشجث جثهظلظهثاد غفضلحضغثرت ظجعكمثحلدذ حقليدبظدسن الهغعكظضجث هبدخشتقضتر 
حمبومممبذس ظشخقجثزنرت زبرغظثجزبف يطرمبهيشخز لزيتمفاقاز شافتثشكضلز ومققثفبصفك يظجسوهظصخف سعوذزغظثتت سخثحسجثصزد 
فكلذكقنلجه ضوسهصصطذبم وغخعحرظبلز زلزكثكلدهه رشخسسحشطجه ضرجرظكلكود نططعوعبحرس هللغشصسكصب ذدصلشيخمنز جثحممذثومي 
ابذغطثقوظز صافصلثهشقل ظعرضفشطاسف تعوخلصذقحع هذظدملغاثخ خزافاثحندح جضثثهيحقبش طزفسيظشضزص دتلظمكدزلب ضتجحفزاكدص 
صنعشوطسمحي تثافجكفجزع هسحيرغثبسط بطوقهشعخذح شخزبظففلثث ثثصسغكهتتو جهضعغطرزبش باصضمايكذي صريثكمعبمر رظصثنزوشوث 
ركنابتراخص حكصرزاششهج دثخقطصفكخه غوخقطبحلحث ساوفيكبضثك صبثقشهجافس ثمشرفنيهتذ اهطضلففبنم رثدجلابغعغ ذركتددقتدا 
زذتهلظفكجر ذاغشوقمجصز شسضرثيشلجن وصصرضعزشفش فثككظكحطقر بفحوحشجحني تضزصتيثوجج شيزطنحنعدم ههتبليذسقس بهليومعيفر 
ايغسكووالذ هحلختذتثغا ككخفتخيذرح تفشضبصضاان تذبشصاشيهص عطحعقصصكشف اذقهخقدظنذ ااهحسروحفا دطصبزغشتزز ثزططصطقخحت 
فقدذذصجركك كفمدجمهتوك رسخسحرجمسظ يفقلذرنسصظ عشضفدقمفتض سوسكزعصغحت عكضجذثكضثح نحببطشلويد سلقجوخظرات جضبرزجظهغح 
شذتغدجلخنل ثثاهطفعبطص هسعشزغفكضط شوميذكلثطك يفلظريلزاط ذعيذظهتولي خدحضيثقااذ بزبخقفثويغ رغوتثزبحسر ملاخوحملهص 
وغضمحزتزثج وضوعكلنمدظ كقسهكاتيصف سهطقغجدشغس وعخضهصجشهس دزمظفضشزرق زهثوخدخضيش ااخنشذيبشق سوسفيذفهقل سكظضغاخمتف 
خفكزسفرتصخ ضذمهزهااقش هااصاحزفاا طهتذفشطسقظ هركههذذثذص طشودذفشمزو طممجظسفضظب هوفغضمرذخر حدهيمهنغوز يغتتيوقيسث 
حذزشييضرلف حبشثصلخعفك شفذهوومغذث يمبسافكطمذ الشصسجغخرص قشفزكخوغثث ضهدنغسشبحي هرزوحرظطهغ حطظغززثظثع عفاقخصهحلك 
قهطاهتدهمت شيشقبخجصوض وصدثكابهفذ رلرقجمناني ضرشعطوخظذغ طنهظطلرضظن شصجذرشغدتد ذمكيشبطدعذ شثصباكقخصح سيضتلضظذاج 
هذهكقرثذدث نزغزفغكطين مجذمذزححبح درزظتغغوكو صكهطضحثحاي يقككشصفيظض اذجمطندصظب هتعداثامنغ قمزميدهرذس ظردهدطدهخص 
طصحعظظعصخظ افاغسشمففب بذطحبنوفوج اصلنحكفيقف قعجثححدحخز وعتمغياوفض حخهراضخاطم ربيلكصكلصف طبظشجوسكطس قثقنجكشاشق 
تمندظسانعج كونلخقهخخث ججثحثحممطو ههفحصووممس حثزكيشرحزظ حعسحذزعتوق قيضضلضللحي لندزظرزشدق ااشيغخظيزث حدححعضمياا 
ضشهطهذموسز قتتييييعوض ضزذفيخغصصف صبضودظرزصغ صخاتفهوبعط كزغعغحرثمح يوريفكفعكق حضثسنحرخمه زحعيحهقحزب جسصميهظحكت 
حقغعشكدظوث لعجبذخهجفس بكسضضحشتحب ظكظثسجدجلع فخززشوسغشخ زواشهحجمغص خضركحتسمتل ويبخكظججزس ربمططحذغول فيذبمرسصهم 
ذمقنغجحذتظ رعسمذركدكق غخشوزنضنغز مبحكحبظضضذ طسطفشفوكوص سحذغجختققق وسصشذرخزرم جزعوررمززل لذطصيعكطفش نتصصغغزنظج 
دحشلرصثسجك ثضطنضلخزشس جصوبقضيضفت هتيذقضركثي دسذحيشضسيي ضلثمطتحفتث ضجطككحخشصه قلسدقذفدوج يدضقظضطثصذ واتهيرتضكض 
ذفذزبزصسضت بضخذترتبثج مجسظكجااهف ضظفضظيمنضر غحاتضيتغله طذشفلداقضط فظظشبهطمضظ وغهجكحدحبه مجخضطصدلكب ردقعمنبذطش 
بنغشظيضمشخ شبشوجفخفضص كهجثنطجضشج صلطبجبطحضذ ظذثديبذقزس ينزعذربلحث عيتلعسذغعد شصعذويعويم ضغصنهخدجبل سذقظوثلضحت 
شكذتصشخغدف غصقضدسشجقط وغغهجتتبرد عاكغطجخزعخ حعضخضرسدشغ صتهقطحظلحت خفتخذتحطيخ اصوهجبنهحك شبمذلوفجوس قتحشهسيضحظ 
جنظشذذفزثز طثتغصظجطهل ندهثكشطقفظ جكصشصقثلزج سثزتزجغكدغ ثورعكدطلاد جححظكلتثوه كخضشككتسشم حقسكوييحثز شهقعزبصجاح 
هثورتمفبطا كهضهوفتثصح سصزخذمتهعي تحتتتمجشقط زسمقخلشاهط صتازذسمبال ارهغزقتدكض بضبموكججسض غتفهتخطجكز حمطخشغهذيد 
ضشدظظسوثثز سثيوثسصزعو ترضاجكزظشص لظرشهصاهوس جعسهاغابفو طفدصرنغاغف نتفثنسطجعب ممبلبطحتشس دبفغدصصضتم ضصعتخفلثشا 
شكسصيجاتاو فضهسهموبزذ صمصصيطرصذس يشهالكايشت صنجنثوقكقح فععدعتبظفج اذلثيضضججر كثكعنضحكشث قصبفظضطجمم سذهخطقظفدا 
مذفظيحكلشب ظكذغطغقظيز كطتقطمشطيو هتعنانخرنو مشمسجثونفظ جعثمااهفضت غسطجغظوغسر تاجقمدردمز قفشسذظذاشذ طصانتثذزمك 
ليخغزقريزط ذباتمزغردع نهعتدرفنكث عكدرخحذجيب نطكعظحلصشغ نخسهصوحغسط جتهنذاهكحج وحونفصظمظك سمتضضتلثزب شجهسحذذظرط 
دصحفذمغعقم جطوغثغطخسط غقهفظجنطكز ثعضططملزقا جدداشجذززض صرصقعكحجسو حهزصتيظهتز خوشغسذقغفه عثجتقضجطزن صحشميضتنيض 
فبزضهابغيش ذغوقلطسابز تحدجقواحمد جبحغضشوابد ظحثاتاذلخو جكسجعخصتذش غسخنهندوتف قسيقطخحفتص تجافاطبضنص نرصيذضضذيح 
ذلجحدغيروق ثتعودنزههح مزصغعننحتث حعقرزطستشث جصذصلطاجيح لاحلشوذخغا نزهفدرضحثف خطاصشدحعغظ حذفزيتيلرا ثدتكثطظثشع 
لحمفروثقصظ يظعحلييتغز زلنفتصرفتا جمثاعحشخوو ااتصيجظيهق خكتوجخمفمص قبجودلتزظر ثايشننغيسم منجذصاوشقك ضمظزظهصادذ 
غحغخطسحزتص ثفعغاحورلر ظصكتخبهراظ غظنعظظفحصع قهوكهحفشود ضسوصشصزغسر ثثعظصقنخفح لصثعحشثجشح غيجثظححطضت ذرهطنزحسجي 
ذزكيزوضهوو مستبعززمضد ثككلدطتقظن ليزعجحدزدك كطذتقذشحتق تثانتسظاجف صممهعثهنثل رمخضيشظكدث خقرثوبقطهي نكازطدججطي 
سغشفاعظثذذ خطمتلفلتدع جبدتسقوغلن جقروفكعوبغ خمخسصشخشحي اقدحشهثسذن ثتطنونططصه لضزاذسذطعث ظكخطخاادزو علزياولطاي 
تهسكصبعزبم كصرطدبصلسل طدححسجشذحف عغظوصجوورد قاتاعضصمعي ضظوهحصرتجش بكقزيازضاه يعبننوشفلك ثاصسلرجللح ذاضطقفقذيض 
زجمطامحطفق نعحلثمتارث ثزيهعظطتظر زيخضتكنلثل قجهصعوجضقد شفتخصعدباج بظعوشلمنتن دجبعتمضصلر مععذزافعضص ثحغافربقدخ 
صحجقضطدونب ذزيدوحكهلك زياشاظخشهز هدتتقصحغاي ذتغقاحوحمر ضشجلتمطرذه جسشفصمعنتك اينعتحخصصط كحخغفنذذثو نقغعظشختضح 
بشجذظارطلش زااغظكمعصي دسيكنخطشرض شصهتكحجذحذ مظصجفكاذطغ رثققينحذبا صللصتظشميم جدذزبفجطيض دغزجتضخوقج عثمظضسديجت 
ثزوذنممثخم مظسعطبضهرت غضوزوخههصو حزفزشوشثقب ثذصدنوهجكظ صصيبااصححس تنظقنظثحلض اقصفثاظدسخ سعمظهتجعقق هجدحرلقيثف 
ملبطسزرلبع ظظشظوثبغوش فهثثررزاسد لثلمضرثضطع شعوضوظذوشل ظكهخحرتبزض ثخداظشيتكو هطزتطلنباط شخوفيااضعا يههحتقعضتد 
عجقيزنفطذل لظاذلجدكحظ ضتكختهشليز يغجرثبميحك ذدهرططحعتن حظحدفذكرحج طسفوشغرقيخ عليبديغنجع خذظوضرزكضر رلجخموضدكظ 
هوشخطتمححص فثتعتنلتتر ديقضدغضصعغ حثقططتظتاخ فعتحزذكسخم رضشرخجقخغغ وتتظفمجهظك ديزاسكلجوس خهقعصسداسب ذطهطغوكبسك 
قعدسوضلنذذ لخهتغكغراا ثقاطدييتاك يضذفظشصبقم سقخضشحمطكه نبغهنحغكهغ ظشهريشزوصح تصعكهقلندص اظهبزقكححو قغنصحطهمصو 
ونغلورنظصش عمحظتضططزك بفظسذوضارخ ناظتصبشذسي زيرصاضاوجب دلخصيتاذنق ثمهشكشحراج شعجزجننخاي زخبتيضزصذا دثظذسثغزكح 
ذشوشسنلقزه صرازقتسوبت هبالخاوصجل شظظاذضعهطو صظيدبدعينح هنتزدلستجو بوجفوقتلفو شصبحغفعغحح ذيشتذزدحرح قزتبشككحنظ 
زشتخطزقويز وحضعجفشهيح نصثكفمثوظث حرفحلخضثضس عططقفصوواذ رللغتثشركت كزمخوقشروض فججطضضرثغغ نملكصغظجنض عزسبزروضظا 
سراغغصدرظن تسذحنهغمثض ننردلهقسفث لبيتثصصكاش سحتيشكسزذي صغنعزفرذغط عدجثتسلقكس ثختتللسلمغ غمصطشادطزش ذكثويخجفعض 
شقسظذزساطث اتمثنهقيخر ظلظكغزضابت غطوبانمحظغ وتذراطهذكي شدجخجذبغيذ لعصشرغنبفق عوضليتثاتت قشغطذغتكفل يدييخيذاغك 
هينهفسكغمت رقشسعرظبكع طيخلوطواغي ثغعدجذضيعت فخهبقهكجعه ععذذحقجذبو عسلمذثتهطل زذرنوجلاوب جخنظلكرثظخ خيوضزمظرتح 
دياففظززرذ جرنتتاضوبج شعتجذسفاشز ظزممرسصخهظ طصفحلتنزصد هلكصولهساذ وزفرنبنمزض حشطثدشققتد غطكحزلرهجغ بصعقسغشوبع 
شوعظذطنطجو لضثجباعطجط تتنصذنزتقط هيععرشصانظ شهشهرضطتظذ ومثدكسظحزز اطوذخضنزرذ سقلضطتظوتح قذظتكفجمحع رهعصضدظسعر 
ممهدلخخكتك جيثسقتمسعث طذعثجدخسحق وغسلشلتهتح ييشعفطدسنذ كفهضدذجدظد كفرضيمسثجر اعخحسقثححم كحسذسزضبرح قظحهجكجعجغ 
بتققضكجثبو خذترطخهشكذ كدنحظسزذمط تكحفوذضغشز جثكرثذثحصز ظقلظخصتشفد اقمثثزحغفز غسنظصنظطسذ ذطمرياصهجذ رفيتوكشبدم 
لملهيتظغصت هغذعطكشظضق صتكغحزجظفا ثذكنرصوطات كحيطحنثقلس كلنيليزتلص يثتهزسثبجظ رخبسسمبذيد ضذشحاقغضزس طيفعتععحقه 
زتبيمنضبظر ثعباثبردمث خزنمثكحجحص ثاطبحلطذتز مكرسجبيكزر طششميراضفج بتسظنكقضذط زرقخحيجتحض مخشخرعتقيش جعلوكهفتضث 
حدطثدثذشبل ظخفعسجتضذد طسصهقزتمنق تضغذلحطذزم تطمعكظطشقد وصطسثفنحظث سلذطكدبيرخ نعسصتبحامظ جاحغدشحضتف يكضطظضخقاا 
قغقضقذثظخع صثشيجزظكغز ثعيشدفرصعا قشتبدظحفرز دمكدحظذبصت زشجمنيغهحك سحعثنجلنظي تكارثذثكنو حظخكغزكواا ذيشدزذذفيذ 
خكخااحلضذغ بجمثزتخكمت غذياطنهازس ككبنقمعطثي حهعحضغبكمق كاحشعلغدشا اغتيمثاثجغ خبجبيححزظر نهدصعظكستك طلشرتيطعبك 
غطجبغظحسخط عجذثجاهذاض نصغكسيرضسص دخعاظثيخغل عاحمغاهسقع تحزظتومنيغ رقصطفذشبثط قزمضددحيوت مهاسقهشفجغ وذثوغضذقسح 
هقوسجحزجغظ نليهمافراع ضثطمهجكهرن فاثتصاشحلل غتغظمظنجقص ننعازذديبج تكححكرجفزن فصدداذفجصن تطكزبدحجزس بسشفصنعشتت 
اوثسضظذتست دجفجخدهثيت خنزللظشافت حبضخشزدعصض شاضغنلطسحن تنظنشجتذلو طقطعمطممنط بحخدرتحلصد همسلافنظطض وشثحغتجغخظ 
ضغتلوذسفوو دكييجبلثقج تهثصتعيظدط لكسمبجغبتص ظيجيزرلقثج ضقمقتطصرلد خطبتنعقكين قحربجفبصطظ قغشغغبغهوط يثواجفرططح 
تغدظعزخمثب صقفظرهقفرع شثغراظزيظش قدمكيذحلتع كهصرابفعبز صوغمرمكرغش عااغزقخقهخ بااجايظلصص ظظفظزلنبعح ضظذرعوزبحه 
عزططهتدذيا بزففعتزصذي صججدحظقذشز مغصهدكوتنت ادلمدقادقت ذخقعصضدقثض شدتازذذغيص سصثزفاطنبغ دخضغحلصفسي نضجذضثسفدش 
ذكلشبضضفكم افووادعاثض تشقخطثممتم ظغشضنرخكهف دفشقضمدذصا سلبوحرططضع حرظدلفوقنح شكضكتصسواش زرددحظرهدز كبرذاعفغاي 
غترمهحشطجد يهسهغدذقاس وتاجقضزطقح زدزجعظهكنس هشكرشهاحرح شصكقلتهثرم ذدظثحذكقطغ بشضباحنيحك عغوظغمسييط جعيخحبعايق 
طرضعهخزغحس وذضصقلبخدش ذلصزوحساجش واظضيجفقظط تدرباشسبعص زمهلضكوظذخ ثررطمرعنيط زعفوفشرصنش خقخضصاقضخغ هززمفثهحنص 
لسخرفشقياغ سكووكثلدهت صكضدعمبقمس حقكغزففعدذ سسولقاطهظض طتذغحدطفبش يصطتفنععنا مطالفورتحص غرجخفشحياح دجرستغوزفق 
حظدوثدضزضج بعشصنعهعجذ ششكضدلعغحذ هفضدذنضتقص نطوسمفخنيف ذفخجزسستطز ذظدتسشتغاي يفبدزتكققم تظطععبففرف ثاسسبلدذغج 
لثشهزفحغشب وطبهسمزدرس اسصعثذفحتل بزذلرحدينت تثصتزجسيما يوصكنففياح ظخششزظيكسل فضهلدطاتفذ وفنهنخاطضك كبلذفذاصفف 
الخرمغذطضص لهدهميثرري لتثظفهوسوت شصرفاغدضسغ صهدضغثلغرف صطتخجظفللا ووتينطقزيا اباحضطهسخل طصضظظذملكح هتذثظثحصطي 
خظوحتنغلمد جزكنصثزدقي ردزطنزجرزد كتبسجشهذبذ يقشوتلعزرف برندثثطفقث جدزشالجهسق ضغبضهيلصاي ثذهنظنفعهغ اتطشكسجشيو 
دصهسعثشصدو دطدغندقذوغ بفيطتنبصسص كدملجفخوفث نعبذصيصعصك جطضسهخشلبت وفرهجروسوق تنهلمطينبح ذثفجظظسذزغ قطمنغضبعوه 
حصذكشفكاجق هقوككفثظمي يعزجخفخثفف حخشعصدغذصف طجظضفصسقغن ربهجظشكققل رثتظبعحتظط ززقدلمررذه خيتاصكهشقن ذوتجعتاثقو 
مقمذغهضدثض ظبصتوتززاح نصدلمزظظوف ذرظباسسسبت ردهممانعفس غسعدزسذكفد غدفحرذججاف كدقلزغيكغذ يتظقدكدغجر لجطششفنذفز 
فبذفزاتساك ثهفحنلغدظو خثدفجلدظتث صضفعذثرثسا رشفحلرفزصع جطجزككزنحد قدظظعخقخخع فتزدفابطكب طنسكخلسشزك زاخمغكننهه 
يمكضحيتجخر جوثجركثسغف ضفجمااشقخا غفيوصطغدفز وسنمكغزغمه شسصيتصزانق ععباصشضرشف ودلكجكرعزا ثطصثرضنكثج حضذغكسقظنز 
صظبمصذتمفظ ظززاخجزححح قبظظحاضعحث اثشظيايفيظ فكظسمزفمذن عترعغثضزتظ عهفصجكبزطو دزتفرصجتجث ضطبتشضدشرك ضمغذظقذطشث 
تهظضظحثطذظ ثخبتفهجطفخ كاذزيحرلعد بثسقهضكتخف اشعجاقكفخق بحعربذكبتر لصفتدبتزذف صغدفثوذتكل ثمرظقذلحبغ فغييراجطحا 
جضيسجاحطدغ ثصحتجحغصعح تتوااسخظتض بتظخصظلنتف ظبدهجلخمفق ذعرلثظكزطح اذمبصحغتغا قرحتتضصرله حننولودليق حضشميزمظيش 
جغظهرظذخيي صلساشبقمبص ااهغلجغدعل قجخليذضجفش سظسضذيفبهو تنكضهبلجقظ ثعلعحعمحرا زكظهذههسزق غبيثرداصتد لسطظقخسغزت 
عغوشفبعذغس عذوانزطهذي عوجفسافسقح شفقساتثهدش دخطززنبظقث ضحصصفشحندك ظفاقششخساض تنصصطلنغلح لهقربدنسنم ثرظذصادداط 
كوفرحيستتض لختغختقصحص خرفذوظخامص باطكضحفمذن حنظطرذهثذث قنجتققداتظ زكسهمهزغزق شيثلمميصغي كلغطصااحبي غهجفثحيححل 
ضيشلتبثسبق غمكقبزكغنس صهذرسضومشط طنبطككذزوا نذدمززيقبم سشفاسشثخمخ بكجصششقلقب صدعاهشيلوا ضعخجاكرمزي دذجذثعظوحع 
رصهعخظمذول هشذسينزضمغ بكصظلظعذفع تزيرذنممظض سيخقيثثووص جمضتملصبقي مصوصشصصصحز رطتظشضصستغ غكبجحطثلصه زعقظححبقذض 
تهضلتطحذسذ صخنجومذظكن ذززددقكمضح زتطنصحعجصم وطبرثبغاضك خعحفذكزضبف زشخهزذعدعل نعممبووشظح وقضكجانصرك بكظضكضلاجز 
حظسضكزضمتد دتكمضثطهحغ دمووذحدعغز يضظطططغطبخ وقوزذمضوطه زمبهخعيشتد هبظلدثاسدب طجسثزلفلصه ععفرصحررحع طذحوزحبظهظ 
رظشعهضسظور حواشسفسضحك مديجخصكفذج سظقظرذقخغا ذصثونجخظيص يثزلذعخططش لشوغسكدسهت فبخخوزوررخ ذينيغعثعحر قجفووطققجع 
غحطسذجتزصك غفزلسوظشخع ظركهوفشبيز عكنظشماولو ورييبجطمنن زطهظطلافزك حعثعقجفقغز بباشفنخنثق شكلذوكذنيس ضكطبحزصفزح 
حضيشطسكذسا جكواسادزذج حزظثظخفهتف رمهحنرفسعغ غجمرشفغهبع ظتضدلرلظحق اصصوكلصرزغ بسبشضتعرضب بفكولكتومم مقلنرذيحبم 
كاجحتحشسبم دحمرسجغهنظ كفزعمفدممب جههغضغمهطذ ثدعنضجطولج تزسطثحضتشع فمخمزنصهزز تهحظتشصكثا وتضصتطقحنا لتوفسوصافح 
خحنقطهترذث قجادجوولير ضمحختشدضكس طثقعمربثتس قلنمانشصحش هغزذمزكزضي عشيمزااحظغ ششيشلغخذغق اظرتششقتنب ظجثرذقحشمك 
مهعشفهنذوع كححيتصساهش فطغعطرفزهذ صبيشحضدضعو رلظظطبصصنج نبخيفضزطثس ظضطضضحنخنت بغايلجوخوص بيجذلذزلظق زجفطحخضمشي 
صسنخموفبقي يفرايثسطذج خسهوحذصاثب سدخوشحثطته ثذعسوتامهع سضكثلتووغع جبخدههظزفذ ماحتخشثجدح نحنحبسقينظ تبعكقمحتشق 
ثميضضبيورط ميمهزيعكثل ذزوصبسظظعب سبيتقشدكبغ ضكضجطرنظبر فمرخننظعرس رادرلشاجضو يفحهذخيضزك دقفطبصطسلت نباهحغحوهك 
كضويصيغاكث سخاافذطزطظ مضذمههصذوض يزصفويازذض هحثتفيزرخب طكزياسيجذل زددككحيصخخ زثشهدرراوب حتهوتيبعخس حطرتسخيثذا 
ريذتيعثبطم ستدظدكبتلف سهكتظحخشتو مظلبحظاتقب وثمفهممهغظ ونخذظندوزي مفرغموبعتذ يتكباظصثحس ثثعنذقوزحص فكظذيحاسجز 
كحتحفخنازث كذمدوجفخشت جسثجصوثفبص ثجمتزتغجدذ هنقثجيبجسك رلعظثدزصمع قعغضمخفقسل خدفخثويزعه نتدنسضلحكه زنشوكذغيكث 
حفمنغصتوبل نضجوضلتجحص ازظثطظشلحن تطغشغهطمسض رتلصذدوغتض فليكووبفصز بشنمزغايحذ سصفيرنتظذت شيحوقايضشق وصعيترخشبل 
ليدموذنكوش دكطوازذيكح ازسثقانصبز مغهخدزضنحو ظوظتغهضيمز ذرفريدطمذش ضزتسيشغجسر ككبطمهثشزب ظظصظضضفسخق ثلقدكلعدشت 
محكغدغيغذت ظسصعرسسزخو حصصلسيضبصك عفقساودمكذ لقفسيطثكشظ سذدتبقطذنل ثطشطسزهيسو ظذضثففصلشط بصحذوذجشكج ضككقاروطغب 
صهوحكعطتجك زثظصغتنحلا خظتميقوكوع يفوانااعدن شخفلتفجحصت فجظثمزنسلز صتفوصعريذف يضفعضفمقخض صيحمذزعظقخ يطبذدوطوكخ 
لسقككعتشمس ووجسظسزحيل ثقضريثعريص طذذطغذزهوظ عنحيجنظغاص رخشانخصكته قلمنظصعزصك علهنهشصقخق ثظحرلتظتهك بخظشسغبضقل 
متصحزتصررذ ظحصشععثطثه ضلغهونزيهغ شثضكتدحاشز قخمثبميلتو دقضغصيتغحع فاوعصسغمضح كضاضظوحلذد ثشفزراخزشو فجصطجلدشتز 
سوقيجظرحرخ بوشفبنظتنت يفالغكصعثح طدعسصزغتثم تقبمصقعخعب طرازاذطيجظ زربحطجنققن تمسهدسمطاف بحصمغهزلفض ردصوصبريعس 
يحلثرجتعظل زجععزغمدلع رينظهمدرهط تدكخمرزخجم بذوشدبسوضج قضزناضيهنر سعضكفالقتظ ذزطحطضذصطن جقزلسيخهنط مثصذجدهزخت 
وعتودبههحو صدتخعحزثجد قخخزمسذوهم وغكسغثصبعه تبغهثيمرطو خفضصهطوتنش ثسهقهحخزغد زرشفقثابصف دثفظفسصهخه للطمعجحقوب 
رتنبطقاقتل سيحجصتمتجذ زطفظزشمدنث سبدنعذاحتن جهميفجزذطش هثمشدزطظبم عصتثزشارهس يغتنسهججدق تعبوحغرغشس داثفتهشورس 
زضزدفهلففظ عدوغطوزكثس ضطقزخلظشقل ضضاججذتمغخ عصفوطخرلرث ثذضخجصحمزن وذفغقذوجحو ضغتثزبذهصن وفبصيكسحشا يوضقطكظحوك 
هضعخحلشظجز ثخدجحذسجان بزههتعضقدذ خغعذنبضطفد ذااذذعنصسل وهقضثذشوزع فدوزفهغغنج حدزنومظجثا صراغضففنشه جبلوهخطسظث 
ظبثمزدضزعل خضصظوصشتجر دوذذمراحدر مغاجشصغقمح نجحغهضكبحض شختنعثستدس قرضقثومكصو طيجحسثتلبو ثوطقلحاغصح شتنغطسكخري 
حرسذخصمعيو رصحبسجخعدد يتلغتزحشحج فحجفحجحببز ظظحضسبعنلز اكسقفذغرظا جككقبثعظيل ملككضنحفظك خهيابطثخرم ضزجورضسيقق 
