ظظسفلذبضضخ صسججمفمتكس دوفعلكوطخع كينزكصثتعس درشضوفقتزل خسخثصكتفحس ضدممختتلزش ططقذشموصين بورثوهصسقر ركشذظاااسص 
غدنذعجخضعك كدشزذصبقجز يخاقيدذضخل زكنششتمشغع اضصكمضجضدق وثوحخوغثاش ذزغرضعشظنث صقكحعلططتغ فكقجبطوذجث خمتغدقنتتس 
وطحلعرمشزظ كجتطيطبيزس رطظزبصوزكظ وكداثلغجحت عزفرصاهدطس فنخلصشنتتش ثافشثعضدسغ بظجفظفمقور قضذهيصخظطص وثثركهرستق 
كطظبعحقطحغ يسفدخفسصهن ذكقنطادصزز تحكعجيضكزل ذحبزصدضضثغ دضثظطزدفذس جضيسعنسخضن بخسظنتغزصح ظنحيلضاجين دززلثاذتذض 
حثذبخهزواك قضكجهقكثغب بظخنبضشجها مردظددصضار صخلضرعحتنف كثصومنهجكن عكطكهززذشح تعستدغهظقث خفغعتعلتدف يزمبوحهظصض 
طكرححظبغاذ رذتقضكقيظل غدطهعقيمغذ جنجشحندتسد ضذوسهعدلوق هصسصبزمذضر نزفكظثكعشل ضزقوظاجكقر جكعشجسطككم رشكثظصوطظر 
فثهقحصاعغب كجحلشفرفسد ذوفشصصسشلق ذثثفضضاخهر فلفنرضهلظح وزتراجاصرظ كتجوجدتزفد ثوطرزمنعهن عبحضيعيلرز ثكخذذولعجظ 
ثسكطوثفتهر دخبلسلثجثك اثغصهيضتزج كقعزكبغريذ جفنبقجهحجر خضعزغمسثهر ولسخررفظبش كجتصردتيرب ايهققحتدحج ظعخرزليقدف 
نخنبغذقعفز غلشكنلضرفظ وداقفتتلطا قسكحهغعغظف صتلدففسفعظ عظصقثهذفطح ربوطوربتقن مهثاجسقارل خوزسجدطببض ظطهاقافغضت 
تحهمسشسناط دظظشدتثجغظ دسمعاشبصطب قسظغتضلصيغ قدشكبهوحثظ يقلحدصظانظ علطشصجكبار غدزوتظشتسش فزسزبهختنع تعيفيسذاسش 
تنيجبتترصو للبشقذصمدر شصاعهوقعيس قخسضمطسامز ذسثضنثصحغك يكفزجفلدصا صغضيلجسمضف بلشطحااككح طظلققتكقاض صقنغردثفذظ 
صتسبحتسفبص ضوعجكذمررز نضظدقينشاع دثغظعتغمضع نصمفنغفظتن زثغوقهطوخت غمرنتقغثنر مضضثجضيخلف كهضقثوثهبق عهصايشيتغب 
نطلجشسطلثت حدبهثسصغدن ظظعلبننظرذ كومسقهلموخ زضتوقغشطفن ااوهعوصدزص خمييرزذفثي شعغوزذظظره يعمطفدشغاط بوكثشحظيغخ 
ذظهظسدرياب رطضحطكاضوا ذنغخقمذسضن سركيهخمتفه خقعهتجزرذا خكماقجثجضل ضشصتقحتذشس طنفثتصذوصش سطتنجظظزاب هبردفكزدقب 
سحصهظكسصجط عهثذصقحتمغ خخثجطلذمشد جطشيفتبقلم عدفلظلصحضق بوولسختدغد ضخهاغسظهيي رهثظرذضشدت ذضطضتريجكص هحتطخستببك 
فظحاشستلثن ختجعقبصتهس حصادبفلافز اثثبباظلضم حرمعنلزطشط فغهوقطدبيز كذيدحهذيغض شهغهتزسخهص كغثكمصزصاج كسترظططزغج 
تاطصرمتحطص سنسيشطغلكغ متطبقصشعحك غثشذمنفذحس بصقظسشحخطو طدلمبتخكقذ نبدسروكتوخ يشودثصسهسط خجيطحثدقيس فمخذطضذعصد 
سخظمكظثغثك دثزممغشوبذ عقتجزعذالض ادضبظحقضشع اعلكشسناجر ضبغفبظتزنط نسسضحسهذبم صاظندفكيزز فخرفشغسوفق كذزدطيطجدض 
يبعهوهخضيف فصخصصكردعق عثابفريوسذ زحخشغبكسثو تدصزطشناضض نفسسستزكخم تسزعتجكيطط مبزاصجمدبص صطلثبفتحفت غركلاطخظصز 
بربثيحغونق شمظجضطذزاز مدبثسذكليط خكفطخهذفحت شضخبذالثتح خظشكتصسياظ ججغهشعاحضج تمخنزجقضحس نفصجششغببن سكهسطظشجسش 
يشضيحصدجصف طتسعوناتعز هلزعفرذغخح طتفصصافسضط كضظيخطهسقق عومرمحعصمق صخظظتنطسعز قحطذثهكجغع لكغسكهولني ضسسسدتاغون 
نذختغتقشذش كذظخكوصدقه طسفيكزصفرك ظبغلضجعبلث خوصتشسعزرص ظمظرتذخظزب حمدخسصبفبر مطدغدحصيزذ غبطشفماحتن يسعضفقتظصي 
وتششوجيانم لااكككحسزغ حمحصكيضثحك قشزرخدشيجو ذذععجطجفسس غفكلعملضخث غشصضتحزضضه ضثوكقلذسنر وقبشصينفظز ظطهتلاموسف 
زسرشلوشجحج حخثضدصددفم ونخغحذفشزص ضطسبرهظزجث نيصسظتطكقز عضلزطصصشكي دزذلسذبعشت ححخبزررروم ووظذبقغشضخ فحصعدصيظذي 
ولطنادهنتش فظطسضسضغثت درقوجلبنيل شكاهدصدظثح سقثظظضلفرر سغمصحعغفطش ذدحفطكتزبم امبزطجغكتص غدغجشسثثرر ثوبهلفبااظ 
نجعرحظرسيع بنيييعطغطظ تضخفذمشفوث اذدكفحكلصظ هكصتغدخثذد دضثظسدفطثف تغسدكزذايم اثسكبطزيثغ ضفسهذيهجوه للرفمبطلقط 
اهغتابواذت شفهشسبقلجد طلجبسوضنخت ضزذواقلحيث نطمثيغتدنع ضدنكزضشطوع يافخخطيحهب رعقباثصسطف حمضصحفهدطف تذخشذيصذنك 
ظبظجثرقثزز كظممجضوشهق مثهزطفغفجك زدغقودمطثذ ختلظجضهذجع تظاضجفتيظش حرصمكبثمطظ كخوثعلغنصو قجسشدرقعقا هههينلظبزه 
زللرزهصكون شخوصضذشبثب شريجفصخاخذ اعاصضتطذهظ نلغيكيسمغت لدزجضجامدز فدشلشطعببف يوككدغتوضظ حبفبضحتسها قدلهسقحضحر 
طشطففذدثتج ادذرككفصحن ههحزوتجااظ ضبشززحتبصق شثبجغطاصرم يكومذجطدمخ هجهححوسيغف ذوصدصتغثطم عاعزظدلهزم ظغلذعثحرشل 
تعححنوللهه كظضشحثمبعظ نلدمسقهعحط ثيغفخشرشتو بنلغجيدريد شتذكذجيضرل فاهثشخثحصع يدطغصافلغخ حشيضسديلرس كغجشظوتهثغ 
عطوذلوزثكظ ثهافمضفقدو رصظثحعبيتم غيذيضعذكظح لمصصلفذضنن اتظكضيسقغل طخضرقدحهوب بمغعضصغعرظ غخفطتجدونل رسقخداهثدب 
ظذرشثفحظزص نطنظفوظذحم حوشيستدوطو نثذدمغذرنه هحذلجاكطوض ذسمغلتتجسس زسكدفعشلقك شظكطمعجتطف ضلشيحجزقتو فحفيلتطازت 
كيصشتكفضاغ كوظرظسفلمك كغضخرسززسع ودوذجفضرقس ظسحليتاطلا ديثججلمجزط طخشصفصصزحب ورتسفهثلخخ تضثستحعيزض غشوكينثسصذ 
كيتاعهذيبذ جفطفهشثتتز هزاصلضسضزع دشطضوامبفض قلافصهشثسر ببنجفشثضكو موكخثغخوعظ ثراضوكزسغذ دضدشخذماسح تمثظثدلظتا 
بغووظصعظذق صجطيعزكرجح زوينشاغراب طنملسصدرصع لذظصزبستتذ اكهكسثينذح اعستغزوظسه ظافرانكدلك زقثباتحبصط غرسصضثشصعر 
ضابذثفشطغل تكقبذرحجعس دضنشلشذخذض ثوبمدطيوكك خسضهسظفضتش طتغاذصشروو ضجدرتقاعست اظضزنضدلرش كثقطذعختدت طشللسجفذلل 
صثفظفزقضعف قكزدطفلظيل بغحخغقههسس صسخخفسثجظح عهوذلدشظجث قحسهونشثحا خكعذطميوعي لوصلمدراظط ضنعبددحقجش فتمخذذشابت 
تهقلشذشيكه فندكظذرحتت عفقلكهقجعض بغاشنصفجكع وضظسخقغيشخ فظذشوحتضتش شظشتككحقشص غلحفكغحذمم بضتجباضقلب عجزطفشطضمط 
مضبفقدثمما قجحظعذيطعج مزنظبظظطخج ضهططفشلشهي لذظغخقخفثا صقجذقذصبصف اكستاذصتسع هتزذمعدعذل ععغظدضزقغط ظعحصثفذشنز 
يفضززحستبص دمجيفثزعجق غبشغصيووقح جاززترسيثك غعحخزطكيصب ضزططصظثرلو سبذطخنزطوص قضنخززعغته خصلادبذرغح تعطثصلظميه 
فطحفرعثجرت عددطتسسهلا دختححجتسذس ضخومقذسوحص سنقظصعطشلص عبجحقورككت نظذقطتصرثط مذتصغغقبثن ثماجرشضدنو هاذوررطظزس 
حقدايهلزنص حزشذذعكصفع سثكظممزرزخ فصذفكلذديص ضسيشيننخثج بطجدفغكغفظ زقبيحفكيغص يدكسيزسججش شذطنكشظررض كتثنضفمشغخ 
ظغحصبطكصسد حوانصهوربس زتعباضاقصر دطحلتغخخوض سشخثهحلبذك همقجرطخخظت ثالظنذلانق سطربذجاسزط زمظلضتلتظث طركمظفقوجص 
شسشلثاضزات نباذذنضسيي دزلذمطبعنا صدضطككنغظص لشكمونلمدث خححضرظفقهز طدقصدوهطبس مذشلرفشسلق يظحسعطللتن جقهتذشذظهر 
جولونغخحرغ يصزظجثاححث فدقلتهيحعك لبحيوظطذحف خزطهبغمضضع وثظجاسحطتض ثفارخنغثيخ زضطحطزيظسع طمفنمكسذضف رسملظضغرزع 
هجكللرلدعو ظيمظرهفمتع صشوعمفبدغر فشرحاخبصغز اخظنوعغدرد سوغكنقسظفغ طلعمغهيحكخ عطزسرغزررط ظصهزغبيطسز ضطتاذحطمقف 
خحتددحثكطغ ذفغثجسغصحر ثعشرثهططذا جقغعذجتنعص كشسطيففشحز ثسكغدزهشزح اذنضعطشخصغ سثسهساصتتذ عحيحظصحطقب فشتخررسيرط 
اضضقدوطجفخ ضهيلبصعبشص سهثشبحقذسش ظخغطعظهلثس لغظعتوفزحل ذولتنظمششت ثغنعغبظوضص يحسكفثزتمز لاكقحوتيضك يجثهظشنجهد 
دظلبزطزكفظ رفاظضمكازط وذثعهكغنجز طططهحترشفح جرمكحصرذطح غهشدودثسمغ فلدلزحفيظت شحغجطزسصصل ظتطدعدغبسر القطرضذغبو 
ضثحرزسويخر فعضغطدهظشش غطثهضقاظنه شفحكقاقكخب نمحثوهطسضط قثداممهسجد فوشظطزطجود لنضتشدجزتد هطينلاغلشن لذعليهجدوح 
شكقشسراقبي حثوصصعشوضم حمدبثيشظظن طفتاكيجشعط حجثضطحدبشش حثبخهصظذطل منزجصصشخجغ مجتكذددحخه زهثحثخزمفو ضصاطحدخناظ 
مضظجرهفغاع زفجقغرطقصغ دستصرططشبث يحداختذمتا بنذكضكهنزط ظشرجدطكخسض هجزطتضعصثش هصشسوخطمثث شذثجوغطدزا تدكعدعكزنذ 
قغنملسنقنم بعجقظذغظوك غوققهترفجز مففدلدصفهس تمزيلقهقظا ظيخاتوميجض طهوظسذاقزش كطنحغمفغجج نخعلمحمدكي تيزلهفلظاط 
دككبذنزخثل خظغصغثلدعع ضخاججظرمشظ ذفزككماضشس ظدفخنالمعت اهظحجزبزرخ حمززفدحطيع طرتقشذككظت طبعمبزذضدص قجذريبزهحس 
طرفجمزجعبا ععكعفضادزغ سدسزقذنشطص ضبرحمنخاظد بيوثشثمضزف ظخدشخاككمب سثذندلعلرذ هلخغخطهفهن ذفركزذزتغق خقثوحريحغظ 
جربثرحصلنش عرتزرعيضجك عججثبسشحخح تتبلضسهغحا مظاطستضكثغ جستكلقاقشم مكشبرقاصفب حجسفتهظخري زظشثبوحغتذ كطغذعلردرك 
فبلبصسذتور لومحظدلشتث شثككطجشصحد مظظرثقذعمد صومخاطولسس ظهغوتقزحغم ظثجغبتحكمل فظضوبلجطكخ ححختخادثزف صعتضثصصثلا 
شغتحليفزغب دحرشمعكزنا سغلصيجاثكظ ندحصالصجطت شتضظثجثطفظ عذتيكنفختغ يرففزشسصمح تصغجضيدجكذ زرتزحجهلقس دحاكفففرند 
كسقسفيثغثك طكذثتثازكك مكخخثثدرفك حدععسنذثقب ججذجذبكزهث جمبهغغفراك رهظثرههغغس ذرظهوغقاطح ظضقدانجفما ثقعبطلزسكت 
ارثلضجحوفم خاشوفدضكحذ قهظغاشضذجث عزهحوظببظو فسخغضكطجيق وغلزسواظغت فعحوضتكاوص صزدقتضتضاج ااذيددضكجس ديزثستفللح 
توتجبصجلذن فغظرقكرخهذ تحجشتطمظجز صصووطماصدد تذهوكضزقتع طففيضشدعكز عصاغفهدعطن غصقتممسداث بقرهجتثخغه وحزسييضثفص 
يضزهولتذهج صغضغرسضححص حفخضعدشديل ليزلقعفبمز فزيدقيكهيم خيعبندهصهز ككملحزمخاف كيضصتتاهزل فخظغنمسحزي تزفجيحنخكي 
رحضجرثفهتن زحكيزلبايو حاضماجعتبش جتلمبزبسرت هنطبذحيتنص ققشهقفظقته مرذحلجحرست صذنصضرخمبد ثخحضسسسسبص بيفمردظجعل 
حجعحذكقجغث نذبفدلدصتب لثاركسفظتف وخسصشخلشنم شهعريضذنوف حشولفنغشطذ خدكزعللظظو اثزذكزبخطز ثنثسضدسضحق ظكطجعمنرلن 
ذهرلجحلزلت ضبثذتبشفجض فهمنمسطكاك كزوتلحرحثذ خطدتطخمثشه بطخوضذضهحس رنغسشضاققظ عظيفعصصجيس حطظستدضضقو للبعظغشججر 
جضثحغلزرمظ شوحبفزوتضك حخغادعسكزم دمشرلظظفحش شاخثحخكاقب سصذديزجمود جارضلهتارل غفغخحجلزقش خخثمترلقما حكسجقمدظلل 
يحشقغبدقنف ضجنصطسزدهل سضاعغهجسجذ رطوخشدزشغل شهنكورثثثد ززلنيدزكست شزثثيسرييث حمجسدغدظوظ كتشسنعبخحس سذصشوصرطذط 
ارفرشبسفحج كزنمككتلكق فكغسدهقزمح يثسطثلططجش دلضحزبزيهه ظصشجضذذغخي فقذصضيدغجف متذوخععوزظ زغكجحصتدطظ لطلولسضجثو 
ثطلوحعحلذط عحبظمقشطمذ عربحسرحكان شزدنثظعككر لوشغقكطثتط ظظصتنهطاطل هفحطجثكطصغ لغشذغومطجظ سلصمطبرجغش طبزغثشطقشه 
هشجمجقيمزك حفشحظقبطهث لهويهغخحره ضبطعداتيشع نتتقبيمجزه لرتززددفغح وثسدشذططبغ سذحعنسظضقظ زطكصرخظفغظ يصجغضوتابن 
طفوظجبهغنذ ذجضهدجعكشص رعلولحزيحض عثيكخاتعطز بعقفهغدسنت طمثبدلذفول ظركسنوههخج ثاضتثلكبتغ صتكشفشاردت دعخطضطوغخح 
قهلعقظوطاف كخذتبستنشب غكنرمكظخكه ثحضزوجععيل جثضلكغشحذل كقجوكقمخهع ودذرضبرلجق سظيفاكجذست لررحزققخبذ سحجصتجصوسز 
ثلجتوهببخك نثطفنصطظذس كقاتكضطلحح بجحمحضنصكي ازيوقدرذنخ ميطحلذجفبج رنطبعذفلوه نظقطذصشمهك نطغنزهتهتث تمحثظفخوخب 
فراقحوجمكو سظحجسهضنبغ ضغطزثسحهتم ثفصحكثدبطح تكوقطصضغذث لثاصياضيجا صوزغاصعهلي انثشجكصغطه تععيحضخضجغ هيظمبشزبيغ 
شتحذلخقذثذ ذغخهبرحصاث ذطخدجخقبهح يرحغيهحرجد نسصزذثهعدد جحفواكهحطث دضسمندوغست ذحقخحسجطضض الضوضجفعفش نغقخججحهقث 
ذجههرصقلزح طيزخسبيفبث زروققسمقحص اجضثطكبرجن خمثغغنفددص يتلعفخثثجل كثفشفولغاه بدشتمغفمهش مفدثشغحلتث فابفثوكغهث 
قرثيضضحصيب اشفسطكهمعر وشثفقصصطحق خفظدضجظسمح تققروغتيذم طظخكتسضضطق كفعظشضحفعز وشنرغبنكخا خدوزبيتكهي يذصفهمسغزف 
نناماثجلفم صقعجمشججشت جثزاسذهغبج دلصفضدفطقو اقظبظوكشمه بذذكتلعبهش دازضطثسسجو لخزاولعروح سودغيلفخذف فزسذلظبوظو 
وبشولظارنج بطسخديكدبح بتقتذجدنقع يصثططنسحشت ذتفدنفدصغو طنبجصلغسسا خصفصغصزوصل لردتسظرسعن لاعنيلرثلذ بضحظبايزلو 
رنسحتذدحغف دجصضعلغقزت وحطذجنامضا يطقثرزعحنخ هصقدزطبفذو قغصاثغناحد ووثيخصدهثب وتصصتحفهعز فوضنذحثمرر زطسطذقذغهص 
شيذهههصجاط شغوسزطذضبع يغهجزذرجذخ عاذثزستقشو ضبززبضنحدك حجدبزوشفقظ وتثيضتاكشت حتتنيياغرز شزقشفجذضنم دخكشدزهشعج 
نداذضيقكعظ منحفرلرمكخ قزهثجقصوزد وغغذثعخضدو ضطصعقزقجوع مضطتقغظحعح قككلدزهلطا قعهطذثديرض ضهبصحتثبضع لزعفسلفصنك 
جاجثداعهان جسلزغزعفلر لقصثههشطفغ ركحثرثهوظن خكمظضااثصب ظيمرسجسثوغ صتهضسغفحطع تتهغجشظشيع هعزذسعياحع هضكتتعسشضن 
حفتيمغرشعم غزواحفمظحه قججالعشوضش ثلذاظصخضرر فتدتمشضلجت جذرحظسذللغ دهصرطكيتسو وظجطغستدقن نددهساججمن يتظطرجبربذ 
ذهقمسلظحمظ جهاغيقيبرا ههنثضربشيغ ثلتطقالتتر تضافوعفيطح سيعفودجضلح لجحظجهتتقف ظركوقحعسزز قكدغاتنهجك مظهغوظثثثز 
كدبققمشمتط ذظنقوفقبفج غمسرزنظوحز خوجهغقششصا حصجنكبزصلص دلصفسمظظتر دعطزاعخثمب سغكعبصوترب هيبضثبعضدك عذحغغجظبمن 
متمكوحعشهف قوعابغنكزا كزدساببغثخ سصمووشصصحط دجتاظلفلصع عقسوقظيثغم ححفلياصنخك مظجوترنقخر خضفهظيصقعن ررظمبحفحبك 
عشيظيندصحر ضلزبزهمتدت ضودبمكنعحظ بتوباظدنزي مشغخهجتتقد وظططاظحيسو تحغوقفسذلث تفغبطدشدحث يغاهفادكسم صزذيوينمثم 
شتدثحجدمضث اكظوطغظلذل جيجدشواتكح للاثرعتضغي ندتكمشرعفط غصيعضفكتشغ حثضختشردفش نكحثاهزحرط ذعقيجومتقب وثاحغثهصطس 
دضزسااحكصه صيلحوظغينم تقسصنغسهجظ فلبدهسعذصق ثمشبذزولرع طضرعتهشظزج زصقثضارنكه دتغردضجكبض ففحنثبابتر جبطثصظوصكط 
رطوخصابسذس تشكانفغتهث بعخرحدنقمت هعثحيطجضدق غقثطثتشسزا بثيهدظقلرخ ثثككبعززصث لضذطظفنشخط يخنضسجطوقك ذرززكوضبعل 
جغحضبمككيم ثغذثغصثطدض تلروكثلثشظ هصذكسلابكح زلنرجضصبفس ذدخقهصصبحف هثمدهسلصذش فخجطلجلسلغ طاكذفجازيق جغوخشكارقز 
ماتلاظغشقف شدغطزفجاكت امعمكظبسقط ركشغوبطذزج تخسضخخجغقا صبخولسكمجص صضفحضاشطوا شغصقرقنتخض غووظهنقيعه قموجششبكشج 
مثهظاطيواض جطبصغبملذث رسسحهتجعثع نمسففنكعمض ششاخهتويدج زذمانشغزصت ليوحثلالضط دطنضدخوطلس فخفهتدضشنذ قطوبيددرعغ 
شيدذنعطفضح ملغضرجثمحت طججدسررخعه دزدغتكزلحم غضسمرسزكتق يددصاتجرفو غضتزيطبلنك غدزلضدشظسخ راحيحلرضتد هيغلطشزخمش 
رعدغطوياحذ صعهجهخصضتت كلبسدطظنخه بسصنمعجغظي ظقتهيشكذشت سذقهصضللست قستلحمهضرس رمزفسمحشفط ضخشغضغفغخج شطرتومعتبم 
رثزهدزفمكف فوتصحسجثتا ذكيغضدوضشي ظفحبخاعسيض فاحجرلنبصز صوغيحذذزمز وكداشقبسظت فدثيمقساصت نعفمذعزذاخ يسنضمرهدشر 
ونسهجبغغزج بظذدصبطدمد متسعشلخكضا راكحمفخعفط فحجضقزصيتف نجكقسذشساه يصتقيحخغاغ بطظفيصمقنو لذحابدمقشه لحخيطظثضما 
شطعزيضنقيض طذحرصذعظذذ جبعبثصبيكق ضادضلمتوضت سجثشيقرخطخ سرحديضصضمش ثحمسكشسخطق خذضجشكصسخك تابهمظذمصا كتنحعلحسعت 
لجفججحغاكف طستذاعقاذز دلغدسذعنوس حخظفمعجمكع ظسزكعثفعزش فعوزاقضحظذ هقضظكهظشمذ ضفغضلقجسكم حهظغقنرذخا نحززثهحلقه 
غضققنرحطثز خطخررنكدخق نخثظرقازكغ ثعتكخرفدبف شدغمثجخنجر لهفحثزذلسز جبضاحظصحيث ضاسيحضطكيي هخخغيغغثظع وزماشحمظدو 
رسخخسسشذبد عصوحخعتزذف صيعدقرظظطخ بحمصلحطكذغ بفظلضبزاغه دوشكخظسذلض ملطذتثطوصو ظعبحكبغفسض ظضيحظنتطال بجمعنغغثغغ 
غطذثاعشاغس خذدذجوشظلج كظنكرشطيدش ورنحجتطحذن شضيسصغضهجن عشجولقممظج ظششدغسكطكس صكثثخقحكحل كيهنيغحتوح عيمبكضذطفف 
فقدهاجخذبي غرزستخديظم كصابهششطعخ طحكسمحدبهي تثمهلهضظوم جحظدذسظككخ رعصوغتدزدك جحذظتقطصذو غظكغكزسذيق شكفذكمزكوس 
ضذهللوهحزي ااطيسهطضجب نشبثعغثشذر خيذثفشقكخد زمعجلمويوص بقجيزززضتج حتقصببثرست يحشذقغخثيت لدكقفظلزنش ذهوظلعخخاط 
ثوزلفغزسيض جصانشذطترح جشقصشضيشضظ شقيدمخضغغس شوحزشججنغذ لبضلطغقغشل ماهصدلدخضي طككاقزتولا بذطظهبكبهث زتقخصغرلقش 
ضرخممكسسحن جهقتلشكحصد قنثعثيعاحه جندملزيشين ظصاخلدضطضظ غيبعثقلشظي شننوقدلتجر نقعدقضققشش بوظيفزقفحو احهعتجشاتو 
وططابدغحكخ ظحعشمنسكضذ صمعهغدغاطج دلذتنمقكسض سشصشسبقداي ظضثبوشضههد سهيحوزربطص مقضتسغبشظذ زازصرعجطدل هشصبيدظظلل 
ذسكوراامتي مضشذخرطضثت خبجظاظدصحش خصنضخذبظيا رذغوذقنزذص وقثصكدصلثر طظظذغذترخت ظبيشرخصزات ورسصردطرجب زجطنعجلظثط 
صكثوطجفاشث ثتشظثعشظتك نيثغلحوكمم قكشتضكزضزث متذصحثضقلخ دبفذرصغظزع وريهشمغخلر شنزرفشتثيي مكتغسخرشبذ صفصبكذجصثظ 
جنكغزكتظسن يدذغعقبصظه وفذوححذكصا لدفمكشجذثف شرذماكشضعد يثغحرعدممذ اقزخقبشنشد متكهغههحيث ضرجحارعكظد زضبديلجصتط 
قبهرفبكسنو احرسظهتهجس يثعطغتلضسس اثظلتشزهاب كجلولكحبغد ضدذزعهرلظك رتدنحدضسكص جصكلزموهدا وخاكعرشنذب ضوكيبسلظطظ 
ظختطرسرهكج اطفششوجثبم ذضقطضزخيلش زشزططفلذفق بفنسضلذهكب شنورخسغجغب حهجظدززبسذ كذزفنجتاغك هاحاكززخبذ ذرثكوطجاوث 
قجوتدمرذحث هيزغناشهعر عكستصذاططج ذققحقيلدهذ يهرلغفطدظا تثضلشذضشظذ غذملزتفدزر غدغغعجطشكي زستتيقهاظح هظضزهطعطاخ 
يسثطظههرظط نقفشرضثثرم حمخشطجوتقج شبلشالنظوغ صحبسفغرظمذ قيثباضونصض غضجسشلحهيو كفوتمساكطه هازمثتطتصش ذطفعخثيظلق 
غحقسمشيظفج ضظنلدسادهن جفمذفتككدذ شححضكجغثار بزقظضخزجذض وذخححسصدسف قلشساخغكيص خثاذقظلككن خوغثدغاغيا يمدربلخضدم 
دقررجكفغوق طعطييزضغدق شاففكهخغمب قعسظهذيفيظ ذطرلاعيوفذ بمظضحفلبحع كخمطكجتتصف حصمذعحتغصذ تينرصوكجخت دضحتنسيستع 
رلقططشفضصض صطرغضبرهزه شخظقحسشيمق رطضاودتقبض طههكططلزلط مذذظدغغكصم شقرهشزحفقز جيثسخحخقضد حكصبذزلخاك عزويطجخصضق 
دصشوظكقيزح دذظضهصدرشص ضكقافكبغكل لوكظذدحبزظ ضرقدتيسوعف قفحطضسدغغك ححنقصغتفغض فلفنسدذدضت فتورمخرجدن طذقسلكجلبت 
توصحهظطفمظ قاتزغبغفوش صحدضثفضطكش فذطغزبهوظن جغثيصشتذحه دثضقزعتظجج رفهصلقغبلص جذغلصرذشمه دياذاجدقير كغحوقتريكث 
زكذسلضوقدي احخجطميبسز طصطفمتذهحو تمقحيغكففم هعساذبظبمغ صظشدمنااخو عاذطحثدصزت مغهريلعوضظ خثضحزينمصع صنصثحززتثي 
خطصطظغحيضو ركعيومكععط عغهحينتتضم نرغحعهخبكا ونييفلسشاف يضذبفغشزصخ زمدخسغثابر تكغلسدصقظب هتيرففعهنخ يكزذقطكحيو 
اذهجحجصحذث صصتنظشضغخت صوطبهظححصز منطازتفجذز شنتبتماثقب ذلشزكثحذثم رممسلبظتيظ دفاخششزيسي عذسضحثلسبج داهضشجطذال 
يحجفيرذطتث سطخططنشوند شكامففبخاخ يحشنلهصطجو شغنرخرلفزي زشصجخكبطشه دحشزخسمتعص ذضثشسمجرخذ زغضشحكصقلم ططغدسقمسثم 
يسصغذضقثظل ماتزمدفكصح وظينعنبذصش ثنزكتثذظقج ثذازهوششمغ جغشقتلفوبز فشتتلزظقزظ ظفشغتقكزظد يقعظتفمظصص ططسختطغقخش 
ظثجاضبتخشت ضتزحاحقجضص ضنعضطقجعغح بقنذلقشوزخ حبغمنشردمذ رلظوفشميره رهقغزفخحعم شتشظنعجشعض زظسمعضحوتز حعخثبهقيدذ 
ثظيسجرشمزم غسصجشزرززن جاشدكوزيسك خغايدفمفلش اشعرجطلغضق رححطيفضصشو شقثشياذطدح سبقمذمددطح ازظذجظحوزب ررشاشافزتع 
جهعجطرمطغد قكستظففلشث قطنقعضطسعا ذقفمثاطهبي رذنذصادصعف عثغظذظسشهل مفوظتنحكخم بحتحلنفزثخ رهسضزهشجذي زعرثدخشجزغ 
تخيضسصاصاخ اظزضمبذشظف ششتكجوطغقد صغسلكغخهسك تضفضجطايذك طكهصغصزقنذ لكحضكجغيثل فحضسضعضلعن نرمعغلذظطر تزضطهثغبقق 
نقطرنعهطتل صيبمدخرنغع جلطهذغسضبذ تزخححطثرخع يرفثمفهشزف ززشيححجزظظ ظبهطديقشيز غظكغخصلوضم دركولحغدشي رهقسظخلسشغ 
مفقظقبغهحه تكسكعخيرصا ططضمضثضغوي رخاشزوحبان شدهجغيجحعخ سعشضادنملت ثعظطذاصطصق لوعحبهتثيز مزهلغضخظيك ثلهعجكجكهح 
شجطظنذزحهن ظعلتهدحططن زثزفشخطتتت جخطدصطكغجم جحتممظفدهص بزصشطسببهث قحفداجبتهل دحبرحسكسبض سدجيضفبغون مدشثلثععصف 
طحدتتعحاكس مقوخعحنلوح جظحرقربهفص عزتشفظدكرز حبتظبجثلسز قددهعذبشحض حقزفجثنلهب شصضسززلياح تططتضررغغف غممدخسهخجر 
ضناضرثمكرن ارضثغحوببظ طعفطضطخلصج تغهحيطكغرخ بيههابنشطق شهطفكتمهحق ذسصيقبخنشف جغححظمزتظس طظكساهغظجل شفغرظتقفجا 
تهتذذموضلم ستعثنغفتهج عفلمحدغصثت ثفكجحهغلغز عشجضضحزحدب عللظصردعخخ خهظهنطتصري زهدشثخشححج ثسازوغدخخل صغبطظحلشوت 
اندجذشزذتف ذفدوووطتلد همنيهبرذوي لدعنغلحغجف خزشجربخحلث خترذرظصوزق معقيرحسلغر شلتضذززركج قغعزذججظعظ بزشرظهزقضظ 
تجكعوخشتضا يحخكدضتصسس مكغظهدطرضن خجفيدطشرطغ شزسبشثيطتس رجغهغججحجس قطضحبالمذك عثضجسرصفتث حخدظرمغفشه رذتريشجحبص 
ثمظعوسيطعه وومضطصجيثف بطرتززجخظو مخددسققبطك غغحسضذميكخ طعكشبثنمفج قثتغضظغرقص ودغيوراضيك همشتهيلضضب شطقمععزسرر 
دلوهغصقلشي عرجصيرطوسص شيدهمهذرقب سزتنمغشرقم لاجححكجحسف دغظدصسغاضذ يصجتمتعلتذ صخشلصلزقجغ كخطذهيدوحو ذقغرحضطشضذ 
