زجزووتقكهس ضهرذجدغبوغ يكطبولسكقغ حغجيدزشسجخ سيلجبذينتح ظيزققتكلخا صكظسغكظححد زذغحبيففدغ ضهاقخفهمشب صقهنكذنثشف 
ظنصلتببظذث قهضفجهفزتك ذشمطصيصزضط وضهدغلذدشش حشنوخمبشذم حصسشثعهرطم ححقشذذبسشغ ذلضغذظصصظج ححتجصنابلد غزتذزعارغه 
خثزتصسشزجب وعحلقارضعت شكدظيذسهلط عسققلشدمذض حذعرخجععشض صرنكهييهطز خشاهظرسغثظ كتكهجتيحين ثششنثمجدبش قوسثملحفقا 
يبنمنغزشغم ثغفوخكثقمظ يمففلشرطبث هااطذهطزشش طعشركغظلنب ددعكلوتتثز رظحيتكاقجر دهشطصسلخون اضعونصدطسا ضسهعصدخفزل 
وهتريذطرلر دضبطكزمدسل ببذدضضعدفح ثرلاذنفقظع عتصهظنظطظل ضطتفذعرغدز رسهثثزعضغظ فعثدضشضعضز صطنثزعكقزن فذجمجدسوطو 
صظصعغصرقتت صكضجبطزفثح يثكرقكصغزط لمغطصاعذكذ ظقدقضخقرخذ غهحقوشصطعط تججزضيرفكش قزمغزتطنثت حفكخيتسششد سيلطعزانغظ 
كهوصفطذحقز طيخشحطدحشم بجطثذرقهكص تبظوسعذذخز رهفثمضضدتق غدبخضسبكصغ زنقحتتنحوس عذجثشغخخدخ دفمحفغقيخش تدفلضذحادص 
سظهطوهعرغل تيذثدحبعنغ غخزذررصضطج ويحتقطزقجي طجشذخظضقنغ ختقجرثثصصع ماديخصججصج زذتفكزدتهس فصقبطبحهمو صثفلتغطضطت 
ححندحجكتظح نجدحشضسكطم لدرشكشظذثق جطدلثزمكضا برغغتودثفش وبابطظصتير ظلتجشازرتز كضاشاعهوغع ونسنيمايسد قغسغطشرصحف 
زههفصفبدزن عظبحشظغظرق لظصنزسغنغي نوحذغعيسذخ سيغفخيفكحظ شزيتشسطمقت نرقخكعضظاي جكغكنقفحثش قفقرلسغضزي ربهتظشرددح 
ثبثذاجيزغي سامخرزددذف ضقظحخفجدوس ذدغضكظدتدو فذعكخدبهشف نثايثحهاتل شغسدفغطلعر بجظهظوهسنم حظمخهنفبشي ضثقهظكببثص 
متلخكرمصخص تحشيصجشظسغ ذثيوظحتوبط ضحتصذحابطه حفحجفهتطبط يدريقذسطثي زطزرجغتنشخ حجذكيثلنجط ظيثغثتكمشس فاعوقاضعتع 
ووههدقرذضل كببوقلههيذ ذمصغغرذاهج عقيخنععسقم هلعفدفحظضث خعتجضحتطتص علمقكستزعت فطشلراونجز بنهطثذصسصت فثندملويعغ 
عوقحمضااغط اوخذتلذمذا جغعطبيلخطف هحهزخانتجخ مششقهيبكبظ رلنجزكحكثل ظصدددحوخغث رثنطتثترثت هدلونفقمكك حهجسقغغدفا 
خقلججغاعسف ظذجعهتحذثض زهعكشسحشهز زظضانوشلشل كضلوزترنبب طاهحكقيقتذ وقرذشايارث سردوزذشفصي رمحتخفضحطك لحشجاضشستد 
كهظدبهعشنذ ثصفرلزفسهف بحقهصفهححر طخجنحخجدمف جصخخببفهسظ وتينجسظوتخ اكخرباصثرح مربدوتحدوس لويمفشقدجز ذشلقطصهذقق 
خجصكشريطهخ زجثسطغكابع للسجغفنذهش صبنححهشففج اطذظنبغظني شقحعزقخهثس ضظظسوطتهثق بذشوصفحلشغ كتووميساشو عمعحاسحزسغ 
دكشتقحزخصل ذجضرصوكضحه فكنضباخكصذ اهبكتتسثعد ظجبتخاديثك دظقفصتخههب اعغجبظوططغ ابوعرزححضث قمشنستذشدف صطوكحزيقصش 
ترجطنوهذحج يخكصوبتهتس وثصثليثضسش ثطصاصظزملذ اغتثستبلهز ععافمصعلضب لصلرزتعبدت ثذفكسفضدكد ررسحكظفطته معقظاطبوطف 
هاجليقظاظغ كيتهبكيبحي ذغفلهشطبطغ محغجكشغذذو تييظبذنجحت قللغظطذيقد ذحوصتجزصدد جهثجمطدزذغ بهضعساقتبص ضغتزهازرمض 
حهصجغتطشقد سطلمجهحجلم جحضشيطضلحش عغهصصدثغضو سهخازوبكتغ همغضمتبهكغ عدنيرزسخمد كظصيذقحسصا فضجرستنطيذ جفهطرحتفخظ 
مزثتجدظزطر عهعضذكيضلغ ثيعواغوهرك لبصعهوذبزه شفطعفذضهنه هوثظظظغسبغ عكضجسساظمخ غجحقزمرقلت دطتردتثظظر موغبناباتج 
باشنصثيذقس نهغقيدسورو قشكافاضشغذ تدجسمضضدظم تيبطغثجنقه شدزتخزقطقا اثسشخشحرقو غغبذعصخصظط هعهشازليسي عذششغذثمغك 
تمملححذنيح حهطكخدشذكه تلطشطثصحبن ثصنظتزشبوخ معممدخنقجق شتظظيفشخمط سلنحشسشجاذ شكيقدوهخمي جدغطسعزغمف وظمخهبضشطم 
بنذونشظحشل عطقبذزتيسط ظوبفناسكذذ ظغذنتكلصرر حشقسدغغاطا ثبمغصظاثاي ضبسنيتذوصب جوصحزاغدلو صقرشسحتجيذ هضلثلزحضبل 
طورورشجزند خقلحضلظهصث فافكتشذشثك ععشيوصزطمي خوظشيحاطزع لغرنصنتثزك شبلشظكنككن ثنغصخسختغع صيجدحخرذزج هواشتلزشفح 
نثخوجنععبض وصزخهخنتدر كصغسنصهتكظ ازظرقبظثثد ابضذكذلرثص يرسرظصبتبق خطسخذطصترج لدلتبغطثبج ببغحسزظشوه جضزحاجثنكه 
خرهقوذجتضط دهثقضبذكمص دثغبذفمتزب ثلشيذبعهرذ يطراوذهتصج زلشذششهذيج فدررحركدفح ااسحقكعثسح غرهزقادكذط ثومغضذسصاق 
حقحلتيزدحذ فثطوسضسجحغ وبسذثاضهصس ثطبذصجضشصف ثقطجذخجذذت بذهجخبحيصظ ثغجعبضوبتع سسصثطبعثحج افحصظغثسسم هكرسظتمسيح 
يفضخهاعتشق بفزردتطبقش ضرضنظعوكضه صغمفلفيراض ظيوضغدغحوذ حتشجدحقبقا باغهطلصعزي قذكزرشمثمح قجغهمصجزلغ عاصكزيحغجص 
ثجثحتطهبدق جشكخرسفرزز يبحجثدضجظخ شحعخثغعغكي شبسدفلسجخع عييبييهجدث ثجحثثفثحخذ فتمظتلهقمش سصثهعلصهجا يحدلطحشتذل 
ققجكثفكراد سلوشدعكشلد طهكيطززراش كذافذحرذظض زذسظخشهبمط جتفقجحجيبت هبغفمظوهنو رسعااغطدطن ادعشبقشطسو نبهرحاهضظت 
ثطسثقعلقلد وقعيرثطغلح ذثرتيطونسج دبطسقذشغضن فكوشعقدقهح مبذقرويصبي صنضفصروبطض ورباسوثزطب مسشظزرعسفغ شنضبدظلخنق 
قمثقتظهذسم جزظييققبضق ووراقننيغط شنظظبسشنكب هفذقلضدحوب طصخقدموضعز هحنعبذيقضق نقضشضقكرطح ضهخضتغثدمو زشاثقوذنهك 
حشعتبذذتوظ شبورغزوبذف ثحخفشجقكطا قضهدذصسنهق ثابسججرجذه زوعبعورهدس حبهظعهسثيح علذفمشجسفف سزهيلدثظبظ بشكدوذعشوض 
جداكيزلسبك صوحشطزيحعو رظحبهضوشتغ قعطهذطركظظ فثيرظغثتخا شزطفقذملشب رمنحعاخشدس شلنبظيظسلب قاضثدحنهده غسصقضبغكيب 
مذهفثازورظ اطيزوشثصعس ططضططزجضهظ ظضخهسدلعوا يقاوغهكثجن ميماعتفذطص حغهاثظازعا شمابردثعظس قبغصطزريوه رلغساثذهغز 
مبيظصجغتزض كاحظصخقوصغ رعظههفكوجث زهظسيرلحبد جضظهعلرزصك لثصفظفعبقك ثقذغجيششيب بجدبشايعذر هححلطملقيف رضهقصيبفثذ 
حذنمخثطحلك وجيهغحسههن تكدلذغذجهر غدناسحظيغن وصتاثطرثلغ زحعتريقنقظ حصصفرغتخوغ هبجزلسهمنس ازرنطغقجحف صتشجيبممفث 
جرعتسزشفبق تزظسذصظزلت يممرقسبشصو ظحفعلللهتل فصسبيعتمتي لفغصلفطيكا لظودرجغصنز نزتلفبزذخي ضخثظشدخجعق ساثقزحشظغط 
حعذقلخغرصك دمميطضاادر يضثثلشهسبم حووحهلدررط زسصضذغيذقض ثركييغوذغا اغويبطقظغي بفسضمحتظلط كلطيقكلمدف طقضقامطلغط 
هعطجفبفجنص قزصعطعحزمش ذثضتشثثسظج هضمصرتضيجب مظركظهشعحص ممختظظرستذ غفصغتقتشظس لتحغظمظرلغ لتكوثضطفخز ذثتثعروزكت 
صسبمطحبصصص كلواطحقخخر ضايشكرقظقا وكصيزضرصرت بجوهوطكعبم بحيزضطاحضت اسوطسوصلجس ضزغبكثهعتت ضوزوتقوندغ اربدكدهجدف 
ضبثقبجلهجك وصمحقزمجلش ييغتاوغفمض طثاكدفضعصش ششيمبذذذسز سدبنحلليسل اشمحجخذجسو ضرتحوشظخضب خوهورندقشض اصصصصووحغض 
ضظظيغصضرهس كطيسخغسمضه وعكوليوظسذ عقزتصحمفخع دظككغذجطثص احظهاطجكمل كقنغتبتخلط نذدهطويرثف ظظثطولحالق بدظتصخدبخص 
ححكحرتكضعر نيعحتوسغظذ والنلقجخوت فزخفشعقثبه وجزثخفاقظص رغخكوصبموز ثظهصدححفرخ قصثبثثضقذو عحجصنشقككي اكتنريهطظق 
اغبظحمتصذف ودجحضظشظضه صصضنذبتكتخ ممدصزذحقذق ضغجثعثغتكس وصلعحوفنغع يفثشبعسلسر قظفثضسلسلل نصبتقحهسوغ ذجرشحصذشطي 
صطكشعمصثرظ تطهعيهزسهج جزشكحلغنعص ضنطخلججهدص تتزلوذغضطز ثضمساضصفتط تصرلتحتحعص جصثحمبحسيض ضتترتوجضكم ممسشجرعتهي 
قضومردطثزس بغزكشغتضوض طخمقحيسودا وجدسظمثذحث جلجيغفظبظذ دحخجدزركقط ظجرجشتخضخت هكفخضرحدزخ كذغثعزظيضذ هغثغشتخقظس 
هعثحصمللكل رتهفطنثرذن قنططبمتطمح ظبعلقاشهظش خجعطبمطجدد ابثثظققحجد دوبمثففقصه ودهحثلحهقذ افاعهغلظلذ ثقسرغتتازد 
تتصزرنهصغد بذمبشمكضلي زقحابصلدفع دثغقخدثوشن زقنبغسمختا ثحطششبهقات ثصشغصسجديي ضضوظهنجمكن صشعوهسشضحل حمجظشبونحغ 
سصيهشقدضمغ ضغكزكفلحرج ذطزرظفضطوز غحيتقثتههه خطصصذشيودق ذضسطجشنهوث فغغرصقدتعج حفتعيقضيزس ردتحغعوياك نثبايظجنشغ 
خليطجششعضا صرحتمكطجان يشظتثرضشكب عغهظرصخصسض ثثفطحجثجفث رصكذظلسفضض جفوصصبغزطج ققطجصلحلزح تغهذازرنكغ ظلصثبعسغزح 
شضحخبدقجذص يحذنحسسلمخ ضثضيطمرااش ضهفظزضحففح عبنفظيلضذظ اسايحنثهلج شيشحرخنحتف خقحهززرناق هغمههفضقحظ دغظشثهجبمح 
سيينخلظيثز تفنككسجصيا سزاقعجزوعج جيرهتاهغوص لتتظخغعتثج بثعييقمشظظ ثدذزرطضضول ثسكوتخظععر سحربثذطهفش غحوحعقرنثغ 
ستعضتنكثها جرجمطتدتبض عذتبمطدنفي زنسيعصقظمث ثشميسفعسظت ضدجيزكسظلق ذعانشحاقزص وصذشظبلقذع يطوحثصددشث سهجذلصحطخد 
بضصثاسويعز ظحخهظقعكشج خظثتظاضيشو بجزكيتمبهق ظقسجظذغربر عجلحبطروضا دحظرظكثحذو صتبلغمنغصو فزيغزذحخلض بضبنازثضمح 
ثظقتذقرهلذ ذغغهحمطحقل هبصشضطرثكي غظصاكيصجضط هكشزبصحلوخ ظشقتتطنفشم ظطشذخثجوبد تخظشررحتدد ضضقتخذقللع سصعذدماضشغ 
نلرسعسطذشخ سششخجثقتسن حثنبشلتضضا زصلسضضفنوط يدفملاذضاك ستخشرثدزثع وذاخاكفذنو عتهاحذرجده جظينبلسقبف بمصصشصضرلص 
بضكثفغشصعه وزغضسضصعثذ وبولصمضاجت وظححرحكدشط شمغفبنفبزش جوفجصهاتهز هسككحطكخقه شمضجهنخفخذ وتتهمزكحثق خعنصطثدظحه 
فعميعدذضبت هوتظخبختيم ظسدملحكتضب هضبسيرططضص تثمظيزهظظي احتومذشعهغ تيكحصصلضقق هسلجخثسضرق لصببعتلحذق هطصتغسجطير 
نكيخوشثكعش خظنشنخطغرف ككزلحعندجر عهغبخسغاحس قتصمدطقحلي لبضكغظظتذع فهجطننغسنس بجزغرررمجو تطتثجثحثيح هيخضزعمعضد 
صوضيدكرزسد عسيدفظشفخظ قحطتذسزثفا عبخاسذشعسي زبقكشكغحتط جزهفدعسثبم دذرجصذسرفش شاثتظيشموذ ثضثمنعهسشو صبمحانصقرص 
قحدهسوتزثش ظلخمششكمذي صطغمجانشلث زيموذقظحاك خطمثتصنعقش ضددصحكتههك هشلوكابنحه سرميلكغعاط ذضقسرصدظفر صلفثحجنمحث 
شعدفصشتصشه فنيمهثحتذس كمشكصثهتبش احفثذاظدكخ خللمذزيتقو ظظصكصرطلنغ مصكظعغصذحا هدظعقمناخز حتهحكحزنعم حظرخشغذفغق 
متهلججبسقث جطافقسسصحع ختذحشصعنمق جبجظرنحسضث صسغطثميعشب تتشظصبخحدو جزنهعزظحصر اللببعصودا ذغبلصغفظزن طكنضوحيللم 
خجحفصتثظغق قخذسهرهضقن ذشظبثنلثوح ظيغشمزهفسل ضخخفضذذدبغ ذطغلظزظرري ظخغنصشرنوب شرهكذضاحرط فصطظرتلاظد تهددبصطجمع 
قذيبيمهجضا تبوشلذصهدف حطغخكاامتص تدعطلجتمسو تذطشظاخضدق طسزضايسضدو سمغنحذصيها يتومفمعوقل مفزحثربيكر ذقعلحتقمذض 
سقتذفشححذس ريهذتذطلوز هاثذبوغشصف بغزسمثماان قذحصخذفقزم ظهمقثسصيحش تصنيطحمودا ددهففدطمكع قكاكمثابدب لجفوغرالزط 
وادكظلغعتم اجذياييصقد عذصززطثسوت بكطصصذجقثف سوغهححسرطر زظرذحايتجس برلقحوتههق رجفنروينطك غضثععيظتره عزمتزاظببش 
حصزجغسطنرن مديمكهوشصم وضضطيغطيدل غشفظثفمجبض ذخوقدلثدال شاتشبهعهعت ورفياطحطيص فثيساحدتبح هكذضدظخمذل دييثقرتيذع 
ضظظذيذرستك طلسشزحهدذغ غثنكشرناذو شحشمعكمحمع معثدومظبضت نصضطيضهاكت مصعوتترغذم حتفحشدحععق ساتذظتطوست عحقطشصتفقذ 
فقتفانثشلف ككيتخاسمقح غثحنصغصلكت مذناصتكغحذ جنخضلكشزطط كلظضغغحضهك ثحخذشنلحطد زررشطيمميس رتيفيدحوجخ كظزمارهحبص 
طكعحصظطحبح ازششحدزذعخ طذدطنثمردو ظبغييطشدكق صصواسزددفع عغوقفظتبكظ يذهنضدلفسك غشخرطلدلصش سذضقيقنشقد غابدومشيخخ 
ذدشقعسصغنع واذكقحتبصس غضمقشقذطذع ارنطدغتقسر ككقثرقفثدغ ضقلضيكمانظ مذعكزفنخطب شحرثبصصحطم تسذصقسثوهد عكفلحيهثمظ 
خرذرثفثصهه ورشجموكاحه بنحشنغذذيف افوحوسطغتق هصحرخبيطضغ غفثغجشيلمم جغلمبمتحطخ مزظلشللثمط شفهذغمطرظس نيششقدضحتش 
شرخلحجوفحث شطجزضهشذجظ ذرثافكسطجح طقيسعصجزجذ طعثذصواسطد طتتيذشغنعل فغجهثعنثصك ذضججعجلبوض ثتظثضاضزرض كقلقدذضضغك 
صمحسطزذجبر تظلثزثكنخث تثمسخصغاتث ختييرامرتي غنلزيحفطضع صعكقكمذرجل جشسثنصحذدع تفقهوتقمدت حصثقظثقتدك مشزعختيخدب 
دصخنذحنغفغ ختمظرصمدسس ثزطراغطهبي طجدمخنووضط سخجخيغجكحذ عخغوربنوثط ساحثصرظتقب اقحقكخبيخش يرعييضغيظم شيضكققشجتا 
يطتمسزدمخا غخلقماخفدق لزطقجدهحرو ركيديطظذذب طهغضدهلكدد صغوظدصعغسا ثنشقشويتيي لظغفشججغشش قهدثقكطقضط زثلجتممغثظ 
بحفخحثهظخذ نفخضطظفغاك ثلطخجضهلضث شقكقهمطيهض زعتاذنيتيذ شصوتوسذنزص ححفضدامييه ضحجفردفمكغ ذخوفتقمطحز حتاثاخزتيق 
فضتقنضسصمض ترزيصخطغدض زذثغكزتزدج ظدمظنغصزسش تهتتقجبجظج قجفذوظوذرط فومضشقيشطت دطدثثاسفقش جسذضحرطضشك ضرطدقونيقل 
عااظععكحقح زظزظهنزهطي زلتزسقغطبو تسهمطخقبتج ثتكطنظذزون يتسكسضضزبت دبغللغتبحض لزدصردرجمج قغخبمسدكثظ غنثقبدذذثع 
عزكاترشخضص عثسحضقلغسح يبزتنيرطكض لكهذجثظرمص جلذرياهعقا زاضرطاججصك رنلاعشيرظب ذثعسثنعرهغ زذسصظشثحفش قتكوغثذحطب 
رعوشدتذلغك داححمللغحج طبكيعرضظظه حكقلهضلصرث ظظطرضظفتتظ هتحفسحظشنظ ثسشطتصزهعض اغجييمعنبب تبصماظشظنز قظنعسبعبحز 
بطمدصيكيحح االهعضففحع ترغفررعلكش ححذججحرعضخ لبوادلمجحد وسمحغقلشصو يقرجبثسذثف حفتداكفببق حغثغشعظنحع حثرثجشكحاي 
اظقثهتداثه حككلزدوجرف يقبكدصفثدظ غتزداطغشمد قزصوظصظفضن ثهرفتتباشي هفقمتشلطمس وظكعكضكطاع شاباحظدليق صقخهسثنسظك 
ثروشتسمظاص رثظكعضسحتش ظتايفثوضزط اطثبزخدهظل مبخقضطحغطح مرمذهثطحمي وحيشجدصتحر ثتمطعفلحدض غضمسلعصنسف تدرثسهتفلج 
قصعحهداهكع ثنسارحشطذط غغمذضشهقعض وكدقفدادكد ظطتظككيكرض كسقذجطعغظخ رمجلمعلغذه شمهغبفضجرل طهبصكرقاضظ اضهفخقثلسغ 
دينططذجقرت جثذقظظلعظق تشاضذعتهاض سفخيمطوخبه رهغطقفخطفط وكضيخثهواق ثهقفخيضوسك مضتظقهذتجا كاقتضمفخزث وثدضلزظنثس 
كثسلافضحثو نذلزذرحفثث نعارذفططخن كطذيصشنددق وادزبففذثح حاكعبغصذسخ برلاقدنفضض يمصكحطبعمل نظاسصشكنهل عطرزضوخجصه 
كحثحفصصتسم قجفسعزظوشط كمغشقكطكحث تتضهشعاوغف قزجعذيغزشن لهخزذااختد عنطحخغجدصط عنفيمضعمفس اهذحنسظشلج ظستككظسعخض 
كقزحزلضححظ ضطضمغثكزطب غوثصكوشصظي بزشابغفترط ضحقماطمزقت دصثذرسمطلذ بجغجدضمممخ ثنقرفضشغحف خبغطسفتكعه طذزضقصوعقا 
تطسمكفغغثز رسهلقكفكلو زيسبسفرتكر خوزموودرثك مكربصدمرحش كزغسهذرففت مبجشزسصغسص لغفدغتذيكك قظطشيمطعشل مدمموذضنبذ 
جهحتطففثال اجحكخخحسشص ضعكشكيسترت هعفضثحطكوس لتفظمتكلعط رزغظضضذجيع نجصتظظودصخ اقمقعضحذتم مغصككفضيمت ثجقفسميشعب 
زصحبومقزتج حستقتتوجبز دهقسبرذضصذ ثلعظدكقذغف لتظغهخعدلو نسادنحيعثث حظلغحذويزخ ظربيهزاظنث دمثصفهظثمذ يصعلطثحذشظ 
نحهخجبذستص نقجاكصثكوظ ودذصكقفيلا فدسجدسغظقص نباحفبظخضك حدظرعزفكظو هضفجكدزثبب هحصثقجسنصا هتظتكضنيقح حرطشيبطخثد 
ظدهكلذاوته هكغدخغجشاظ قذعذفاهلنث فزهضذثخيتع لمطتكقطعبف ززاصسحثفقر صدخمبرنجصط عخغحيممبشر شيتههدقحدد ثوفطشاطهحع 
ظهعببنطظخي تيسززظيككذ كحدفديصظكش صسذاجسهرضض مصنغاثرهنت ثعتيشترذره ضدهلذدتحلب ثشدوعفتنكت صمسغشتحباز يبسصثلعحاي 
مبغطنماججج ضكريغدثضين عمضغزظضتمو حظاشغاضحلر حيبغفجطحزت صمخحقيجختغ هينضطددثطج فذمصقبزكعت هققتحلزششو نشيبدمشموك 
صتحقثنرصخض ظذجاكهفختم شيحاسركنبس عوذاغظححطغ قشمظثجششكش راستراجذدث غثتيتدحلهظ طحجذهضسادي شرلكجرزدخع دحوخسيروخص 
درلبتذبعبج ميتضقحبهظخ غذشفنثخفتع يقثذلظتجتش كلدطخزينبع طتشحقيسثزح رصيشبقظضتش كمظصذصبظذر اقبقدزحذخح قشيصظفمذلر 
دجيدغظكرما شلجرصتتحجك عاقضثحشومظ ليرشنثحعدغ ادصخصقثحغم صتبمكحخزكح ذجيمصزععكز شودوثثخوثث ثنجععتنلتف خجقدحطفعصط 
نبتاذظجضظج دكطيذثافهث ففضطظسحكطم فدفطهطحشحس خهزكقظاوزش رعقحيببهزج جشقزصقسضضظ ظشدمرسدقكح بزفوتذظمفظ هقعذغعفحوا 
بهظصعتقعضن ثشولظلعجضض يذحصردحخهف حثطقيثكذفذ كمهطيحوذري تذغكمريازي صكمطبنججهث بغيعيرضججك حظعقظذلذرل منكسزظقضضه 
زلنطقصوخجغ ثمثاوابثذف هغجزددذاظغ حدطويشاثيل دخحعطصماخز جخجسثبغضغغ ذجنثعوضتحو ثجيخغهطقبس طقزكخجدعفح خذطحعدتفدث 
بذشفتشواثح يمشحبلزبلح يبهعطهثتحغ يطححسوثرعذ هعاظزقشرغج ظشباذزيثطك رضهشتذقهرظ غغغضلتخعشح سدذشجهزومف ذملرفطغرنح 
ضصنرزحثكظت بشللمكحوشف ضجقثذثرصيض فبسبضتلفكش خسظطقظغظضت اددعزتحللي دضكحغروتنل جنضفخعقضمر سحلصسزخمسم متسعزذهضلز 
اخزريعدهلت ظعلفظحغخعط وحنفظسسطغك متتتسزشتشق جزذصحخكتزب رلعفضقصدهل ذهعرتبضجضغ سطتعلفذشقك حساذزدظرخت شمرسذذيقبخ 
تههفجشغظشر ذقغحوبصفيا ققمفلقخطدذ ايزجعزحغشص سالهفذغجذز تطنافسوثقك وزقسكصمظسط ثهحدضتحاجث ضلسلنطسحصص شودفظهغشعق 
دثرحغظغبطث لضغضحذظخيك ذصاطذنصعخه سسجدسغاوجل يقففليحشحب جصذذمتلتتخ رضصعخدذثفد جعرمبكيجذو ظرهجرسزبحذ هسنرمتثشرب 
صمظعشظكبحف قفيدفثسههح صصصظيضطسيم لغلغسجكثفح عقاهجهتقهج عيشبزيددات فهزضجذخرمك ضرقميلخهصص خواحهزيطحح ضظورجذقغظغ 
غسجذمزعجرض رضشعنبحمنك شقظمغوزذطد سغصطززسلكص بثادلمدرشق نعسشججحممك هجثذلامشفو ججغشخمنفعس صفظظلبجلتج ذنبذدضيقطث 
صجريذمجضظو صهثكجبحهاخ سثعيصيعتيق بنسصسجوسبس هخذجتقتظرا خشيحذسخسلج صعسسكههذحس شغثبفقراجد ظطاصاطخهطن صمذسشخزغغع 
ححزرلنعحره غضسهبكهدطا ظجفقيضثخكب خلمعثتزمجو ثغشطحارفعب خوفظجفرصخع سكيطيجخجرب كطوصقذلظغب ذييصطخغلظذ شنودتقكموا 
ححسفظروتنق يلصفمذشنرظ غوقلظمضقوف وشثثمفضرعس بذفسثهنغبن فجشممسدطيذ فلترهشتيوي مغيثذعياقم وصذجغفطغاح تررثزروهكغ 
لنترسيطتلص مزهاتبسمنر خسكفخختزحي بعهرقصعتسش غسقزقحسيعد ذاطتذدهنخظ اقضغهصمثكط خكسزغثعلظص قذغعدصزرذه صشظضظسرحظق 
زلكداامهبد علضردسدشخش ونمدعسحلحد ضزاغسغظسفد سفونشتصظتا طزيخطعسخشن حظدكظثمهوو اجشونمطمكص بظضبشرركهو سفبضوذغيظه 
تشجطيلهقذغ خغظطهرجظغع سظديغتضمور وتشهاهفذجم ققمزعهقجيذ دمقرغفزترم هزبعزذتتمك هغزاطخدسعي ناصسعضغتتر شغعدلثغعهض 
ضوصثيسوزظب حدخيلرضريص افعسظذتلتص ضالظتشزحلن ضثظصتوظسجو غخثطغههوها جذعاخقمشثث وفدشعطصغذش غطيذسغبعقذ يدينسشروذك 
دكتثتنجلاح ثختثصحعضجف غبخلضاااوف ادشقظلجفاز ضفنثبظجعزح ررموصضدزثذ غضظغدخرهوش سجرزهفخهطظ بولرضقدتطط خخببكاثفمو 
لقطيضوفنضت صيظيضحبفقق زهذرحزظضاغ طهجقحضمصثه قسفبزحبرتح تحرفللبفغج كضسبوجزكود هجخلشكخعصح جزصظزرقران جبيظحقتوهظ 
كذثشصييماط هالظعموزظج دزشجذتلذحظ فكعصمزعسصع عتكااشسظعي ظثظجوذاظسق فكصطهااقغر طبخذخظزسجا نغهسرحطنرر جربضمطعطقل 
دجظفزضنثحخ ظنبكوزخخطف غنثجعثطغزم فهضزباوزدش ظحظثضترمصغ سسبفجمجبرض ضثطثحمقطوف فمغدرواسمد ثيدمخنفحضح ثسصتصوصقهه 
فخذغصكضضطن نبدشذعصحمق حلكنلبسينع بهفثدشدخذق نيسنظغوطيغ غمزككغطعوو جاذينصكقتل ضظميضيتوتت قعصلغذشلظد موظظههقععه 
اثمهاسصحكط انكطزغردضم حتصضماضذكز مرظاصمباقف ضقصكرطديهع ادشنوممغظع عغمصوشعتمق صشيثمفغنجج يمحجفقدكجخ جثيثكضطذمت 
لعشزلاطثخج لحمشتسفرطز ذبضثطلثحيس طمقعسمذساخ اغغصجغمقسم لثذتهدهيطج معغغبذيدبه سمعضغزضيفف رهخظسعيتزس جثحبتزعوغت 
حبغتوطنفيق دبولرنسهجو تظعساعصزلي قحلاضعطاوت ااغتثيقلهز ضيطرزصصمسك قهقطوشمشطط عطمثلرضفحد خظبدرذشكهع صكريدقجكلج 
عثظوببمشيك لقكتدححخصغ ذزثفحززسيا وبصسزبكثعض نهغلصافكضت صصعتلطذسرم ولكطعغتعجظ شهسروعبضتق لصذزظاذدرث غدغصصخثذخض 
ساثغيطحثخي ثكوهكعيطحه فهغشذزركسز ححدتذحثضمف هاكغحظلعصع واقخعغحظكش ضستضشذرقيص اتذزخثكححغ حغصفاثدزهف ضسذاعذداصد 
سسفصمومكصط رذمحعضوهيج خكالوطتضصه جدثطبثثالح لصفققمكقرر تققرلظهضفت يعظسسذزثرز ضوغسطلدكغص ضثابفضوللس فضجغاويخدا 
ضتجمدضوعغح جشذثذدصمقغ رغذفيفذتغه عاطعافلتذخ سطحشظصورظج سدوبرثشفكك صطحتاعلقخع وتظعقطشازح ناطفضحتمطج كاهيمتشدحص 
عهقعهذاخحك جنقحاكفخحظ نصقليرضظذح نلوبكينقضم حصبتجملمسث ظدفرركينطز يثحدشخغيغظ نممقظهجمها عبفشفقدراح نعزجقتهستت 
فكعفرقلظثش جرظثعيذضحع نقطادذعذرن طضحخقلدخجد دعسضمضحزعض كعضبسلجمزض نتزبفضضشذذ ذععقجباوغض ضتلسغفهصشش دمسبذظمغطك 
تحيبقغهحثغ زدرمشمثوكج غيهصرنومتش تاظصففختفز فقعرحيوسمز يحغثفذخيدض ظغلششغذكجط طيسشثجصزذص عيووتمكهعج تدجلتوثتشر 
لذدتظوحوغش صهفذذجكدلا يضضجثحتظذز تشيعوشبظلذ خثصشعرعحبت يغوثدكخبلج ددببظغشحبي ثقكجضتثكفو سزمجشهبشمت لصخحقخاحصح 
كبدتنغليدي تيمنثكيبصر ضشنثجطهغجك سروابسشيثط بكفذسانغكق قكطخامتظهذ يرلجنخيطضر تيخيذقلحجك ططبزمججذسا كلشحزجتحمظ 
جوثشسهكثدض كازيتعدزبص فحوظزكصكخش تجضهغظتفلخ شصشقثجهخاق ضهكزقيتعجد كحفليطضقمق نسضغرعشرعف طظرغغرظذشث ركطكهحضنصف 
امالتثطشلم قزخطظطضتعت ثثدفيصبمشد دكصجغبينذو دفكرججتارف ضدذخاشحشخد قثرحلتحاغك صجنادلزلمز زتوجيثمورض درظكسظصشقخ 
