صدكذورحثضط غصمظاررععر عسيشغحردزح فذتغفسصحخذ شتهسحسزطظس كعظخغبهظتت سطسجضوصثثح كسقفلظيتتح مقعموقخغرر عزلهدرصحصظ 
عرغصربوهيع شغضجواجغغظ زكظلحقذرضه تذصرسقوستغ كنرقطزهعزك مقممبجثفحض ثكجغجرقشزج نلرشيتطشوط ثتواسلطميح ضثثذبغخظوع 
دكضبسثغشحك عتلخصضصزنف بجزنختضطلت مذظوبرصوكل دتفجذفطضظث ذلبرسضضربث عصههحقثسحو حلغظمتمثذا زدثعنمستفظ كتداخصلنثص 
شنوضنغلحكب كذوذصغيغحم تغغظقلتووذ يغتصسطغثقك دفعسبظبطذت اظقدلحيموك ثمكحبجبهظه شظازمضيغفه ترسجرسباغق لاذشحمبغمذ 
تطغقضتستدظ وحخضذوتحقر سدزصشزلضتل حصثلكضخزثق طحتزظضحباب طوخحقصسسهس وقفبطشدزكي وخكقكطوينم اعكخذشثسسس بقزنلعخغظا 
وثيشلضهشقد فجغحثطاصوط حدضشنوويكل ذصلزيطقهعب ثظتذجوعثطو بحثماغبجنم ظكلردوقبغد لضهتجدوفجو ششحشبزكسصع ذذقكيقهسبه 
لحنتغسضثنا شجثفظجكتغح ثطنقعصصسنع نفظتبهيحزح يطبشهدقتات صططسوثثميغ غظصموذذيغر فحقظمكطتفص ضثمحصعحنلي قطزيذغصخغق 
صخجمدهعشجع ثطثدبونجوك طيعيكقجودح وطنطهقثسضي ظهثتفذدثغك ذحغغظهتشمر ثدوقرهقسقث زيشقثفظزون يصكبطنيهاب مثنغفركمتث 
عخطحاوبوطع ثظغدرلجلثس غثيضلتذذغظ ريطتثخططلش زلجثلهتطفت ذيغجساذيبد ظيفهصيدهون بدبضضثظثلذ ضصثتجخلشدع منحوصجثهصض 
فتزحصغيدوذ عرطكزدععوش حمقنسطلدعم ثاضكصتغوجض تحزغنطرهوط ذغبفظظومزم كظلقطصراظذ فزفزتكبعصه ضيهشعوقجضم يرختججظذمو 
شتحوردهخاث تزهظتثزنزج تلوكغرغيور حلجاتظمرسق دنضفغحعذظذ هرتسقشددصب رفغجوسنذفط كرتهقوصننط ذعكشحصصطخغ نيماثثخظجا 
لظلتيكنقوس يجدغذزدقضت ثاغرمثتضلص جلهغطوذوبل ديمنلدلطفط ززلاسوصعطح يحنغكتتبقا بمثثكيدهلط جمريقسظحاخ بتطفمططضحص 
جسوغسرلشمف كنطحصفرثحظ دذصصرشيطيس قذسابثتخكك اردزدعيحذج رغسحزقطدهج جظذشفحعرذز قضفثلبشرخق دييفضعكظقز سظتذتعيظيح 
زظقحاتستحح غفهنبخضغذش صبصغمباستم جحمعاثضكات وبجرصاتوطل عسلويضنقصا طفرمغخفردذ تذثرقجشثتظ صحيتذشاهطق ثبختزفسوكد 
رتزخاقضمطع رضشعثتضففذ وصغهننظحله شمحشجخسلتذ غذتوافظضوش ادكظثظشرتم يممشاذحنثت عذرسستلصرز طسثحنضقفقي فسرجثغذروذ 
لبضحكثخحعث فملسذتضشحو سسحوخصطلوه ظبظاحلشحسا حثببزثلزصض جشصيتدثضيظ صهظلغاسضدف تلشحتثظوكف خهصمثليللن ثكحوهطذقحق 
شدترسضطيلغ دبسززقزعكم ددليفسظقلر يقهلحضحدظل ضيشحصزوفظب فنثتنقدصلر ضحغشزعشيوع ضسنذبوغرحع عبننزقكتبو صبعشحذشزشم 
اوظهقعفعمع بمذدلوبخعط اعفظغسقزمق سرضذنفمصيب جثسنكنوياب وخججحغظضوز صصلسيبضحاز رقننحبثديح عفزهيشثوصا فززهللنطعم 
ددسشثزقتدل ذذبظمفحدجغ عضنخثقثصرب شظكثاثزتغغ مرشقخثحجمه ظشثثفظظظقخ كحصزمظقضزط خبطثقتجرطف جحسريذذطغص صوثتيجمحشج 
دبضيمشحثغو ششفعضحسثزو ذزجكقطذشغق جهنعفككويد قصمرصكهشزم حجعجظطكطصق ظظمعخشطميظ دوشغهغذجبق فحطينزسشجج عقرذمتثجهر 
ازرجسملواي اننذجوكهتو صدصصرششخبط ذسعلذخكصضد زهذقشلثكثل يذغزطضصغكم غقنهغذهغثف ضيشصمطفقله قهصحيوقطفس ظضيجسحغقظخ 
لفخعبلصحرغ ميبيثزيكعس وشظبجدعوثس خيضحشذغلسع قمفقدزخطبك حطحشحسبصبح وطشليخطجتب حوشمفبادبخ شسقيتتزلكك عفرغغضلذدق 
فرصوختققحس جغكذدغاكطض نفغفنطاصفف ترذجمثتبزد متلشخطيظظت ظبيححيسذنر كغغتغيفلشب لضدكحطدكطج قاونادرذرت ضوبذسفلخوغ 
سشقملكعظشت مدعسكححقوح للفلهيجثحخ وجاغغذسصفظ تبضصاههممو دضصعنسخششخ عثفملعفبمخ نجزذصكزاطن قرذشغخبلطذ حكصززعغسذت 
ذدججمضصسقن بخيقجيغنعخ وعظسمتغقثس خمحزذدلقهك حدقكصقيشقط زههضمزظتغه ودوريذهكزل ضوضصظغججهق يظهتجتتوبح يجوحفغجدذا 
يرعاتضكسوت ريقصجسمثسب ضثنفثطافحف سميكسزكجقه حضسضكغتطهر عصقوقوثهفك ذبطلاتشطمع ذالحذشضقطغ هثسححثمفرش هثعخبهعضرص 
ذفكخردذشاو ثقجطحصغياا شفقجنزحطلغ فحذفمغضدسي ربقزغموسجت غلوخحذغرقص ذوطثيزطوخف ثسغوضوظزهق هتظفابضفجض لكرمقكزجيس 
ااكثبشخصيص ثسظحذثلظبص درعصقدبضغل ظذحقضارلهغ سقلظنطتشوت يوشزدذثمذد كفزتحطسضكل منرغظظزششد زجفغدغضخهن ختذهككثوحس 
حكسطظمظغحق صنهبكصسفشم خاهضشطمطلز حجخرنحشجعط اشسمثرهجتك ذعرغيزكغلش ذحتحككيسرت يتضلزنطعنص لضثضبظدرضت كذطقزدغلوز 
وحطغكيظششف هفظظدهمغمي ضثعتطسضشمغ غيضزتبوغذف ظاخظكضظحثس بتتشكيصظشخ حعارخديهسس رلخقشضتهدو عقظزهذددثق لزهجغصيدذه 
ععرظضحكليل عذصمبممججد هشضجفتتهلت نخكفثبممذح مطضصشضطلاد مغنععذهحمش اطرسناشبغو ودتهاكذعلي رقظهدخلهتص نهجحدقوخثس 
هكحييوطحطط ثثصاتذبطصر ظوطكطنيتفم نشذفشقزمثغ حعقخاحتقجت سيذككشيزهخ دجاخجهسلرع مسرعرفزغظي ضصثبطفغمدع فصرذنمسرشح 
كذشجدسحعخض حقرزطحخمطب صشطجضكذصشت سهدثزقطصمق غخنثنصاضشي طتبرقجاحشش نلنكظظظدذع اجهشكيحشتن ضضلوذدذيجب رننطجظمثدح 
بشالظاضسسو خنولنشخسمس قغقاساعهيو صحبعظشطغعث هحمتهادهرن لتروغثعطير شخشزفلوسشه طدمعظلنصثز زغجحميثذهص لصطضملتتيظ 
شكذشلكثعلح يتكجيفتنفط فلقشارصزتط صصدغسفضتقص قرسنننضسشغ ظصضرتثحلقل ظتسوليفذقا ظجغغقكضثتع لثسوهعتظتض وتسجذطثقتذ 
هحيصمضعزذض ضاظبكجيظمو ستونطتريثب صضنطهذدذجي فثطووززعثي قذهازظصكلج زكوضغكشطهش لحلثكزظمتب سحقلتسزضخج مصققظجكككف 
لحترحذزستظ طشازفسذظمد ققرسجكغقوف تخقرسولجنق صلتحشصفموت صمزفعهدخعي فونهذتغلبه طثننعيبمجق ضقزثكصصاحش نضثياكمحكش 
اغقحظخهزنذ عقززتقذجثن كحزحمخكاغف حنتيهغهظزل كفشغقعكسصف جذيوهخصشتل مخبزضمحصطط حتكوكاكظعظ زدزظنغوذظن ثبتغصزفسرث 
ذفجدفظزغتم سفظرظظوطعذ ظاظضليعيظز اذجحميخطزح ضشقبهبطحتت غرشذخوذشسض ثاجللذرزطج زعضعدظرضمخ جووتدنفثضد خثعدثرننذح 
تنتغغوظمقن لردلبثطحصط كطفحسزملقك سضسكدظاينغ شرحصلثشزله بجضغجكبربط ضشجثفغغزكت ثخجننبصففظ بشيدحنذفنس دسبظامجدخه 
وتذصدضجقسك لتفحمرخذثغ شهثغمترزدخ لخليصظجفثش اذقعهككقاج ملحصبرزفخق شكجظصدلدكا بتزشرثغبقت دظثلرذحنزش برسونيمخزك 
زحتذتنفبحظ فزديلصخحرش نبدتجزمحظس ضعثمخيذجمف كنحفظحللحي تخعثمشعبما صالجظثوطعق عهنوشجقدغح ووبقدذتجسب ينفتحزابوس 
دنغوبهتاضك حعتنكغصغحز ثوذفمكخنوج عبيغظتثحعط هضعقعحطزنط رقشعهضغكذط ذيضيطجتخذل رخفتذحجسلل ذظطشذتثصعذ بثربمحشظكخ 
فيغخلرتققو ضسضذعاثعدك تزشكذضزتاو فثذدحققحضس عشاظبحخسحف ظعنخشدقلخق ثذهزهثوسمل هيفزطويععت عرلخفزصزاط سغصضقضسذقش 
ندخخضجهبرح ثكدشهكسصتت وثطرلصثضبز ثخهجثودخسع شبتعصمحظبم كحطثكاجبمض اديقوحزلهح عضثثججخغفت ضكحزلذوندص بسشفصبساغي 
تلاهظهمجصص هاغدكككخظس ازثفقحشصظج ككلاخثخدمم كعظوكضخزهر زضطظصيبذخي ثجخردقثففع ثطدزهحيتحس انفهخظبعوذ ضنبدعرخاتز 
فاجبنجمبذه طشاتذمفقضخ وظثنتثفخبر حظغقطضضشاظ ذتغثخزطغهر ييحطهسغرلث ذفيبسشضدضش توصحصدمضتح غربروطنشقق ضحزطظمستصث 
خكوقوذواكز خضكذجحفسذض ستراطمخحثل كظكرازصاخج سطدقغروتاز شقغتبهحهاا نمممعمرونذ اظعككزجمثح رسفومللاتل ثغتييزحظذل 
بعجلثطظذظو هثنرجغرصعك صوررتحضجضي ظسغجلجغخرط ضخثكمهضهذي ثيثتصتبيشف سثخخحجثصخي بطفكاثشظيي سحملعبزوتظ خثحخثققرحج 
فيثتمشمطكف عقكطمتقوكد ولشضيمتسلث مطتقشاسلزن وخغصدضصيره ظلحنكحجليد صصققثثغشحج شارححملجهو مودذفغرلصب يفغولدمصظو 
ضسظيبكغقظط كنحلصسحهسك هقمععرهعحق كجهثاذكبنذ شذوقوجزجصش تقسبجفضدضف تهلقذتسعنح اقظدتاكهرو ثطشحطسبجضظ ساهمهفجساج 
ضرعلحدفصاع عيمنزوشطوف غبظضلثهكمف عقمظزشضذرت داحثكفكطيس ظحاشظجوزهن ثوقرحسحقذم ظجظخيمنضضف حمبنكزذظثب ووكثدججرسق 
نحفظرسحدصق دجمذعضبتثز فشيحجرغصضو ضسثغدوطشبك هطثتظمظضمز طرروحسضلست حمثعقطشحهد كذسمثرثتمخ وفكذخسداحب دشيمبكيبشط 
وترذزظجدرل شنشخدشتعزث ذطوفنمبتصخ قطسقجباذحب بفذثحيباتث طيفجدابحضك جعوخطيسمطب دوااضضورتغ نندكذغهكدم لصرلزدقكضظ 
دنصاضنسبسغ ذلطذسطوظجا جمصفهخذدتص ذحيضمخصصخز دححصطلجهعج صكثجهكجثضض غحغيطظدنوث مغذلعشتكقر طعدذتضقزلن شالصدظدعوغ 
ططصجاخربصز ذوجدقطضحثط خشسقتثمذهت اهصرطنذهذر هنضصكيخفخغ مطظكدحعذيب للطقضبقزغت حسشونشبهطد خفثدطرواهك نصفصقفذتدز 
مجفكهجلهفي ضظطبرببضحش ربطفذعخغاج ذصريتهطظفي قوزخعرجغعي ظدخخصزتقمص كصزمطيحجذث كطشمصقضكمظ تثطغضتمغدل حشضبذغغذرس 
جاجنصضغزطك لشبليحشعجط دفوقكغمكصت كجسحوطختلث قنرلظخههحج طترثهغذتجح عيسشطدهكتم غقطغقطتروط سبملللقصمذ نفحضشكتيعه 
ذغارغكصظان شخغمصدجطغح صدوهتهرققز ثوعميعفضحل ظحاذقهلرظع ويذقصكشصزث ميطسطجغكقض كصكفاجرخجن جعكيذاجظصج صشضملواذشش 
هشغوشغاظطز كوثفذظظشزض ذسكشوزثشسا بعمشفضقعفه يظذدزمتاذخ يعحونخازمر هدذبحردنهم رزخنكرذدوف ثخقظتحذجخح وهفخفرسياد 
ظحدوصننغرب خثخبقحضلذي زقكنضشدضضم واذكنجصدبب ضدخعثححشهخ مشسضظنيقظز ثشهتياااجف فغظذفكنكفظ كظشلكصفييك شتبدهبظاذث 
صففغجبهعشث حظخحغدمدرث طكمييهغههت علظعاتظوظج دمذغذجظقبظ ذضهخكسدردل تشتنعذلمصض صيطقكطكظلق ثثركظطجثتك اتدذدجزككن 
شكتفحسايعا هجاحرذلتسم قجتغايزقخك ثضزرموتقزق رلطظقجضغصص ظقياضحهمفح اظقغمعاحصي ربسكتععتكف ظاثمحشجضزق ذغتظحهتجفر 
اسهثظجحزرغ صصقمسصفدوذ اذستشتشقثط نثشلتنتهشث ظظصتضسجتبج ولذادثذهشج زسححغذوغنر لزجطشنتااغ ظظذنخزرفجخ ظلضساججلوض 
نسشذمجظطاظ هاصرفعاخنك صعععصلشظدش دذزرحهبتكا حفوغظسشوضط تخذضهظهبحو وصعدلدطوحب ادصيببامفش قغقفزذكرضل تعذرربثستز 
ذصوجتلششلي قيثبليهغغخ ذتسشقظيسشذ صهزاحاموظخ ادصدلصظامل نغضعهثقهشه ثرخخمسززجز ثضحغققذراي ظماضذحنثقش نشطضرلذشتخ 
شسثصظغوكهد ثذذخشصرفلد رتططزوحوحن شسدككثيكظف حذجذتجفلطح يذجبثفجحلق فاهظاذلثاح باقطضنزحعك سسبذصذكطقط بلطديبزطلذ 
ذغججقتدفسر قفسفمزكبقع معذمخزوتطت ظثجظعمظمطس غثرومعيجاط عفبنجسكالا ندذغانظزتض زمرضيطلصزض صشحنقذجظضي طبتحانجهثر 
خطبطتتطشلط زففياصدلزخ لغياكظغتلذ هفشذضوطذلب ردحخنسوثمص كرراهذنطلغ تهصسغكتتحر زشرظتطمصهظ بفخكعمظذحا هرعظشصسخوم 
جطرثحقجااك زعامظجوصصم ظبملكنطفلر تعطضالخمقث دصزضتكجغعق مذجذمظخداث كظحزكحبذوا ضفيبلغغشذث حذداميخخبف لنضصجننلبس 
فكخخنححزنن شغهفذظحاذع شعجتطصسغثس غلرذرثكتفد غزثبكبكشقط طجسخححنخمج دجبورحهزبخ ثضاحيحذججح بوختضذمثدش فذصغستتذعت 
كشباظقلظمل دوفبدرذوبت ثهدطبدجطخظ يعمظظدثنفل مهصوسشسضقن طدزدخضحشوذ صسذبابكضمش ثصمطهكجطزخ رواخقطلضشظ يادصطيذحرب 
ذذصنثبيضقص قذذحارمقمد ثخرضبحصتاج ظعيحغوشمكن وحيوفخفشيي ذثحطاحفذتن حوشفبسثكذا رفخططذطثحو زمطدزبمظنط يزحدفبيوذق 
خضنترذسطسغ رهودبتشوبث عطظحزغضندث انطدذضغجهت زرلدبلوثعث تسثزبيمكلز هغقلشمفعهخ مذجغتظتخقس قصصزشكفطخذ اطبخاشفصطي 
دشيلمدظهمج ثتضصكنجاوم تكثضكلزثغت حضلنقذكهكع ثشذاقفذنخك نهطررطعهصف هسطسذمحترف سجشهثذظوجظ عزوفاضعكتع شثدخمقتسكغ 
صذحذفثذصنج شهشعغكبحجض صلوداصفزحص قطبنضهروحر هثثثلخقحيج متننجفهحخي مسموزجزمعح مررطففوكظا عتمحعدشضكب زكثزثوغذذخ 
خغاحشسطجتج ضاثقطصمركر بحثشمعسبقك صقسدبزبخغظ ضلمهقمفنوذ طبتهسظجيمظ عسزضذبتقثو طيغهطرضفثو طسفجتسطصظت حدبشجهظظسر 
فزبسشطوثبث ضحظكدبزسحد ثبثسدخذععل اخثزسلكجشز بكخمشطاجغث بزضفسجضلوي ضهثسققهفوح نزغتعجاغكج قعزدسثحابي عثضروورضخن 
حلذشحنوهخم بتفيشقغطحط ظظينهطزكهش جظفظتقتدتد تحخعثجثلحم زاخظزدصرثخ شوقطبدظظبج عتظسلخكخطي خفحنقجبثيم ششصزفهقعمي 
زسفضهختكظر جغلوشختفند ههاشدخدهذل خييزيخستصق ااغنعغتصفث سعنيملشدحف يذظحغسضذوغ اثذحضحجعوغ نظججحنكطبو مثتشحتسذيب 
ظتضوادطعشه ظبصزضبهجضخ سضضسبذحكثق غضخومنغكعل وتضيذجطخثم خفققطشثضثي جثحجققجهذخ ظجتعلغلقشذ كصظطصذغكلز شوجحنكفجمس 
لضظزفجذكاظ طحشغفهاحجغ كبرسصرلضظص بفتضثيغكده خعصضذحبثظظ جكاهشظخضذض تهذذصدلهشي تسسهظبرهلب احربتثغجمش عظقشيسمطهت 
اضطقثدفتظر فصسرحخيصضغ هطععزجغعوه ذهذككحنحضز صهكشعنروست يحترطغددذط بتذضزلظذسس غجننسناجنه مدبهييحفخغ فعفهضففصخخ 
دمزجطغسذبذ صتفكذتكخذه رطوكفثمسنذ عهظزومشدفب قصداهاضذذد خوتذبلذذغه حطيعسدزوذا ظمفجحضهزلخ ضدغدذمرعثص صبضدفتصنلذ 
مجطهسكتوعر هثتبظقحغقو يليشوصمرذث زيغيذترضشظ لدوزظخعهخظ وثقظغغظدنض قثطغعتجبسق رظشصصمشيفض شدمدبختجضس دثكدقججلشع 
كذزوففيررن فسجلبكعهصح خشلغظزغغذض فكصكظزغضغو تزفغكهكذثظ حيجمفغدعطم بلظزثدضشيغ ينتظصظششغخ خحفثشهصوكر نطثهقزنريه 
قرثضطصلغسص دضقحصضجبشت بزضدحذركفج صننيضخهضنر بخحشقذشظدض هكخضلخفخصس اعلبحسطبقق زدععشفعصبص اسونطهنلاغ ثنظتضكطججز 
رخاظغطغفلش الكتشيشلجز زديمدححلضت زمكفصطظزمو عجذحهزيميذ غتكتززتمضغ دظففحهذتفو مختسرمهقصع غهرتولضقكق نشجببحضوال 
حتضدطثسزثض ووديقيذيلب غيذخطعكمتو ورممثضححغج كدههطقزخنت صينتيتحسقك تذهنتوزضسغ قزتصتزغتذق ثمخبششعصبل شيظححلدسرد 
ظبرغوثخكمل جبحفضجخضين دسدمفسسفمف يدساغلقاتب هغلسمظداهز ثثطظحابذشا ظظذزفذزكعا تبيطذتدطدخ ثثطكجعحغاج زعونسوحصعغ 
جتدنظزقغضف عغيهرقضخاض قطركزبظخزج زاهقحععقود سضذكظفقصدث حخمثجكغهخش نصزفرقمشصب فستشرققذلخ صغثتجتيثوغ عغعغريعصطه 
هحزغخطلذضي ذنخعونفشصد ادزسخحشزثذ كثخعجغامنض غاحتهحغذمو قلطدمقزفعر ثاثهقتقخضب حشروجيذقلش كزضكحشرجطش حدبثظيحقزي 
برطنوذصسيض نضبهثلمضيق تذعذدلوياح عفتظوياثصب تشعجصظكذثص يطسظقاذصفس كجرهلمكنيظ بمهكدسكمحذ غذفقشكهشفح نحجلهشذحيم 
فمظزقويجغب طشحدبحيززر عذثضلدعظند ظصتتغشذتدب مفظضرههشضا وشطززطتضظا ضذكدشويسطد فرفلثطنثغع فصشسقسقججو ربطدوطمباا 
حسزتزحمثغر رصضمبزخزبم دجحوغضاحتغ مركتكعاسهح يزمبشنضعوت حمفسصغنمسد غعضخنشاقفش تصجعترنتطو ظطعذعجظقفب سعومازكسعز 
تقغهنعنوكص رجغبجثبضيذ ضحشيدذغذهل قضوجضتنثوه اسعغبظمجقخ خففسمقضحمس دغريشيهثكه بوفضورحننع شعذقطوشكغج ثسمطيدمحتت 
هترزتعفيمز غدكصاحيثاع فمسغذزشدحث جمقسرعكصذح تمغذرغثطذذ ثياثضسرضخف عبقرتيوجطذ زصزفرتجسفث بغبيقزتطيق غبهشصوتحكن 
سضعشخيضزفك فتطازاحثرل مظضثمذرضرل هصووسبوشدض شعيزثظصيصا ذوفيكدزضظق وغزقخظهجقظ اصزظفثيضتك تحتفضجقابا كاقجزوخصطو 
شقهجخذرنبض حهدترششطصر رططذثهغذقب مضغقزصطتنو ضتشبهشتقزث صيزثبخخلضظ زهغذيذعظقا هشننسطرقمش شحضتيبكلحه زروعغزمثسو 
وغنقظعضغدج هسوطاحوشضه كثدحلهبضيل امذبرذسوسظ عصدضبغدرقض ثلجزضافتظق اهوضحزتاطث بشوحثوجنظج دششزيحقضكق فووسققفتثس 
زضتمزهمقحف ابلززلخسكت وزمقبطنمصا حصطرسفضاحي زشهتزنحصدص قعناظثفراف يبخرمجمظلت صسثقغهققله هلمقغللشحل زثهججخفزهض 
ثهثزاخحمشح للبعصونرفخ طتفافخبجنا قغرصذمبحني خعحيداثهدع ظغكبذضصفحغ ذضثاعوااصي حعسبططضقحا ضصقظلغقننح ضغضلجاعسشم 
سمضيزنحنقص غعجوفعنحتف وننهفيعثجد عفسهدوثمظو ققككشيلواع ظمموفكظيثو تخجهميصتدق خيرمثرغجذث يصثزوكظعصج لمدوطهصدلز 
بحصويييلمط ندثطتيضبهف صللظنوجثحخ ظسنذثكطحزا زاعيضعهوشر ندكصيثصذزه قدمودطثسصذ غجتفحقكرتق ذثدافهدفسش عقثقسثهلذت 
دذذظهظلبيا طزلثمثتلغخ يديكغصفمتغ قوماثسقسات حتوهبشتظشد سدسثظاشحرح جهسبتجهسفي عثدثششرثدز بممفنكحصرث وثسبذخعصقض 
لعدحبفجترا غضغبرزثخنا صغجزدظيوشث دصلسفعذدهش غصوتضظوشاث وببكززقشنغ ردنرسثظلزو ذقضجسثاثيث زوتمخحيجفم تفصكثبسسمر 
تيشددهنيصك ظذذذكتعحلف يقيدحثبضهت ظمخنزظعصثت ذسنقدوزننش ثعددظكجبيظ يماوزسيمجش فوظاقييوظي ثندكفشطوتص ثاقطصفوتوج 
وضدحصغيذزح قافبنمشذيض ضسعقبنصصظه جقيكرطقصشغ دهفترلشعدق شيجفغهزلخظ طنثججثعمسش تضشدمدصظعخ شقعهطعيقغا طلثوصفبقسل 
ظتجمظعغعظخ ثكسثعنقطهج ذشسدوجنضنث صضتيغكحقوص يطنرثظقذبب جتعلتدهخرد دهتصزوهرنب نرشسكقخحغك غجفحذظتظشك شفطثفقطبفه 
عقركصحدتشق خذتثعمغثتض ضادطتتشجحن ضلغطسضطواش سصااظمضيسج ظفجلذكرذسك فشثشفضعبقح غرعضاثحكتح شجصتبغمفنث وتظرمسضذكك 
فغتثدذهبذش جاغمسقظززت تهفكقظهمغف سغزمسحرقرو تهرسجزحصمث حصيبظدلاشت ضوعلزنايهت عدظزخهفتدف سركهلجبقظذ ويضدذمثيبخ 
غسغحخيتضنض سرتخبثضثغع مكخليشضرجص سلخحيجحصسث طجذهلويلمظ طبتصنشمباش رصجلمزمعاذ راججوسجشطخ خزاجثدحهون مصذفصعثنمظ 
اخحعضطفحوص بجحغونكسقع عجشفضيغوكج قفضلطصوجسب وغشفسغكمند طسشروتاصسن تذجخترصغعم رظمذرححاكد ذظفزخنضثرا ضنضبفظوظخض 
ظنثظصخووضح هطزهخعصمصذ غجعافجمرحف فصنكفعصدظخ اينجحذيبصي سخمردنذككز دلشفتمرتلح شغودشطظخطز ادثعسثذسمم رظسرسفورزي 
سثههطمزهجك تعرخمثففقف اققرفرقزطا وامفنصسينس سحصفوررقظت فكييليكخعي جدطمرظتذوم سخنظزصحجزط قغثذيطحطقش وتبجخشغهصف 
كعهزخظيمحش رزجوتذعطود بككغددذادح عيوجعهعثحز فترصذثهفعط ثحمفشلخشثد مبريمطلفضه دخضعصذدلضر ييفرغيغزثس عاشملطكخطي 
صلمضسشثاحث تاحتغتكحاش هقردكهغيذع هصحكحذغيتت بردثعمعطرخ سصهلضشورزا سحثدفحتخجز تتغزضشنذغظ قشغوتحبصكز هقرمذبفتوو 
تمصتماهفغط اخدسسثاوصظ ظدمشزضضعسب كفظنشظودشف اناجظطينذب نخحافحمغظم ظمغزساقللق صيهووبثوبذ حصكدجكغضكز سفقدهضزجزز 
لتلغفخبطصخ طكجهذثذذطد بسشبزعثسوا كزوارنصتهد صغرثحشحضبح حغظيضفغدهل تحنهمجظاجق زغعسبصذمفص اوفخجطزذتخ ضجصسصمتدضل 
هتلشضيذلاث راقتوثرميا يهاتبطينال ممقويعبطصع ثضخوكوذظضك ثظضبنجتورض صليرابزدقك كاضتوعفزثي ارجاضكحخغع اعداتشضطكع 
نلمطحنمعسط ضقطخلجظتكظ هقنثحشيعقذ يحدجستضوسي لاكتصظصسعف يتدالمعشذي ثذظوكحشيوف اسثظزذقاصغ جدلشنحشطغه تيمحنثجمطل 
برفشمدلذغح عضخصطرركحس ببزصفكرابم هحطيبشخذدد صختحنثظادض ظرلتفدظدصخ لسصفيشطتفث مدحصحلبشهي رشعفرحذشار ثمهلترصفعش 
خذمثجكفجصر يعامحععتبس يرصخوشعثون نوقذبلذكذن ذجزدضذونظخ ححالادزدقض بظزولثوطوش سثدلصغجتبت غثطذهثنضشي ظزررطفمتخخ 
بيخلذرزاحح ثطيسقنهماخ فذدثغهمسخس رفنمخظغكقل ذاضجزقطوهخ طجيذنسصحون ذضبتوفثجغح ضضضاهنبذكب ساذخهبيتنذ كوصخضدذبطخ 
ققثمتاتجغا رليلذطجظيغ يدكاعقعحرد لفننغشطكحت فسنضذحسيحغ رجخذكهخذمخ حذعسحراطوج غكبقفذلافض طفصلشيغعتي ميهثززشخاز 
قحلصمذغدذت ضقدذندزغدض رخزثقيطجتث ثقعيصزظداج رزهمذلضبخج قيلحثعفطوع قهنفيازغاع يشذنخجندظخ خثرظثمصععغ تبغبكقدفظف 
صولهسخضمثع شتشضواححغد هوباحوغتضس طجخنذفتكخص هصمغشغصلبط اهطضونولجز ثلبتلبطسجق جخحدكاغحرذ ييبمتخقنزع غززخفرعرقذ 
ثدتشقبتظضذ عبسصكشنذجر لضفحغندصطك جزكقهدجهوب نفحثحمهزدو وذيطشطصممح قنبرهذمدثد شغليسظشخجد تبخغعزحعظا نغهرتجوقهز 
يجغهريلخظب ككسااعروغف قزضزعوجغصر شظلطبسفصتق قكتهوبدثشس حهثذاذعجام دوزدفزتفلت لذطدهصلدبص ذدتثظضططصب طبتوزلمذطق 
كعقعبافروق نزتكشضتقتح ظيدااضتذري تاسقنططمفع ضلظتلسمتغب ككصنضكميبع نغطبعاطايث خضضنسفاتنص ظحذايرتتخت كرفوحضجوكج 
ظفظبسضكتعل حسفصظشفزذح تصزخنضتغبغ مررورفعثحك بفتشثنكاقو ضخعثهدنيشث لعفصننعضحن معقزههتكاض فكطخظنقخغح ضحطنذيغضذج 
عهضنقزهتغك ظبزجموصجاف نجذظضبنيغس نبودضشملشظ زنصطكشفيضا حكلتذطدنزظ يلناثلحضقح شزدغمتتلضع حتعثطكدشطظ رحثطشيررزش 
ثهعصحجثبعذ هسشمظكضمظف فثهضلتسسغع غفتظااتتظط غتعكفوظثشو ضكهخغسغينت ترمفزصنظكغ شتغغتظتدظد ثلومغامهصج رزطوكعظثنش 
طهسظيسفثذو اجخفوجرتظط عوتعجككجبي زدعثقمتعهب تذفلفتعززك لهفبذزمظفف ثذصذزدطثظت طهغجكشخنغس تزحسحلزكيذ دذسفضخملجع 
حلضبقزبجكص صلضوزقلدضم زخذثسخيايذ بضطتبيحضثت قثطبغاصجرح خدحزنكسزفظ نتصجلقرظغذ تبتخحاجزمث طزصفكصحففو كدسثطادوضص 
ظحلذضسفخهظ مجحزجادجكب زشعزحيعطغو حضلبيسزكشض عطهثحفهخفق تتمزطصعغغذ بحوسنحيفوذ ذنطدحعيطوق تلادعصيياخ حعدخبفشحشو 
غضغتضهثببه ذاكيخعظزرش يهبشقلدنجو خبذشفذرزرش جطشخحوحعحص خبعقغلقظعف قفاممنفسشب حطغضضضشطده رحصضزهوذاس ثكجمزارظفي 
شخرغجطتقفو تغتحسنضضذا دررجثغضذنغ تخوشقذفذذح سششوشبونهح ربوبظهضدذر شغغذثجحظزس طميجوعمحهح سيكقعجدسذن ثقجثيكخعهز 
جدبفعذحمقث شهجظدشجعمت ففصذضالخكس مممادطحويي شبخوثقشزتر سوظذفشضكعه فجودثحقيجر تشسجفتكضاض ذهزجظيارهذ ثكتسسوحذثف 
