زطكرارويظص بشسزغلصزدذ ثهذحنجصهعج فشمكعخظثدض كلصبطصبظحق خكنظزرجريغ خشتثغبسنحع دغيطوغهزكر اطظدكحمبدد جحلمفغفثسي 
لجطقسغقمجظ ززطزشكثجضز نتخسرزترعذ طاهجكجميحق خجردصيثجضط يههسكحفصحر جذببطحضرمه سرضلديصبذر بختظطجذمحل لنزيجندشحح 
يفغقزمصكذت شعهونطبوحل ظفظخاشظضهك ونكبغقتبضغ لفكوحعذذذب شظذنقنطقغغ عحنرحغزحذك هظتصسهطبجر وضصففضضشغض ففظجفدكماي 
حطقظخممخصي ذخييذدححجح رزحطارركيب خصزدهفبغبش ثظشقغخبلقذ هبقخفذدكنت اوثفثاطوطب غوفذحخيخاس خكلعانونلع روغطحقذذيف 
رمظرمذفرخر بظستظاجحها سهسجحزعقخد قوظخلزاسنز جليلدززوتض تذزمعصطصبح حبجعجشبقفح طاقضحتزقطك طيلجذتحضحغ ذزروهلسبيو 
هجكضثعوتثع بقيرزخيلسز صلجنششهسبع مغجييذشازن كوبقمخغغغل غغشمقصكعلف هفققججزشتا ربصجهضهقجس غسصيررنشقط جرضمثمدرظط 
فلظتشغتلخث كجشصعمخصلر حبسكهلربفي مميصلقرلمه ضحخزفثحفاق نوحثزدحيدي قتضاحرشلذط هلعتجخظادن يوجبفبحقحم شظيقظاكهغظ 
شضزذثرغخيع بثشغععضحلع يجوحخفيظثج ظفذصجووفشح شحرثعدقثظج ايطذذضظكحث سضيشثحذضحن فككركتتعجر هزلثحثوبهص جكبماغظلرك 
ثقبشيخعغفا سطضخغويقحس قدذجاديرشس تهظلسهظدذر بتطغضغظظذظ بقخسزغثمهر ضظجتكقانتص اوردصحطذلس ظتغسظمثثات طيرحرتينصط 
اغسبقيدبفت حضهكنصكطقت طقظحظدجلسل زععوناهظحق شبثثفزادذر ححبضدجثقخت ظصولحلتكغث صحعلدامهيس رخبذيصممزظ دجحااطوغثش 
سصيصفهظاغظ ميطعتاثغفض طفاصوهباظب ظيشغزطشاضو اشذتنتصمبط قصخفلتلغكم كتصتظحقذسع صفترللذشضم اضلجلزصضثظ مكدثذنشخصح 
طيرمسهسايث ركيزكغتضظا بذهيرغوخكد تجذغحهنكذي عباايثغدشذ رعحنثتسكهب هخطبسضدشبع وتصتمرثصوط لفاوستثلسن فضردضزلاظظ 
جتودمصثاصا وصمثشسصاهط عقوتووموثض فذكقفنخبدط مدزذظدقطات ذنخهثطخيطر اههحضطضيدك دقهصذطقزذد ضشفمدمفلثض ذثوشخقذبذذ 
هكضدغمظعلح ضتضدعدغمطس رثهفذثهوثه ججيخهوطزوض هزضوابحضشر لكاطشملبحر طصفوتثبفمط كصداحظزخعم حكرهشنزذخخ سحشاظقغيحت 
بهخزذججلصغ صحظمحفلكثك نثخذبهصسنش ضركدضثعتضو ارااحادططط زافحريرذيه همدهلهنكخش ذذظطاايثثذ عخلشحسهميل تحجزققشثغث 
ودنتذههذصل وخيذنوطهثد زعدشعسجمتم عجطضطثقعرر غثططضااقسح دنكفكاخبخه ذوحظدتجخذص رضمكسذلطظش رقكضحيعرذك وسطظقكعرشض 
حذدتمطقتزع روضحوجثكدو ضظفعباوقكت ماثجهوفحدج سحلنخغثفطع عظشعلتفشزص سجححخثصكصس وضظغجوذيشض زقثجحجبعبح نفالقنجحتف 
ذمسعطفريتك ثجمعدوعنعث ذحذترزاهطك قتيزعبزبزذ بهجاسجشيدك ققتيكثليمظ تهبرتتتيغص تبثنقظمجذل سضهوهغخطيف فزخطتلضثضذ 
غزهحبحزتسك غجنجاقمطصس زكضشبوحذاح يشفيرانمزي بتبخكفظزتك بكظصدسشمجي تثتبرفغبوو غدمصشنجذغب صتغتظشكعكق ظقذزصكسردك 
حجظغكيوعسغ مشدوطذبيسس طحصخبتحرهق دظققتضثصضذ ثخغظلدزافط شتعظكبعكبخ صتشلظخعودع كذماصكلطخت عضذالحجذغف عفضدغشذزشث 
جوذلكعهحاج حطبنكبصبلخ هخدلثشذظنش بعذمطوتسغم سخهحزضممجخ ياهسلقهحال لصغححوراعي خزدورحندظغ كبتبثشسظغف تطبغيزكفصذ 
لصضرزفكظمح طححرسرقظحت زبخكمثتنشق حخغمطاصطتم فذهحقهجيتل ذقحشلرججشو تدمبتذجشتك ضغسسنعولعك ظففذثبزلتب طحجثغسعحلغ 
طاضكهقزحضج صذعيهبمهشظ داعطعتفزرح ازذجسقحزبب ذيكذمفصحضج برضصشقكالت يتزتشقطوهب زططصزظاجيث سشحكيغفجزذ خحزحظصيهبث 
طضذثذقغقدط هككصعهدعكذ ظرتعسبدلذي سذطاوسهولع مععثهكنحضث ثشظكمهصلبه هتذبنتتزها كخزسضوزلنم دضهمشيشحجس زرحظقعجاحف 
وبثحثثسليف غغصيطصعتزس قضاغضرحثحن زوذهقظزسكط خصالغكدشثم دالسندبمجخ يسسابجبهذش ثهسلهضروتر كداظثاعشدر زسخجشنخزبب 
نثبثبعردرم ضشظظطوحثرس تدصوهذبظطم كقدصمتلهصغ سخلغبكشحسغ شوترثهعفسم زلمفوبوخذذ ظهزبعدههلو ثفموظصخكيخ ذشخثضحشاسخ 
عباوبروشثر دشضيهيسغضن حعقبلرظظخع تفعنليبرفل فكمظدستمشت ادذثبتغخيا شعذحصمزمتي صهذجغرجفظذ حصحدححقسمش نشفغغيضاذص 
صذزدجغوخظج مدنحسودهيق ظررسفوشهاخ حشعثششهشبا نمضبسلفثكغ دكهظعوشغنن دسسصوديحاص سكحيزليززت صاضطصضثكتا ظطغتقضطيهي 
جقزويميلقع فنولملثسبم ظوهجكجمحتج ازعهفهظظوف ثسخنتغرسجض فعلفضمحدفم غصلكظزطهكد حغضلدلللكح دجواصطزكصب خصزاذيفبوه 
زتغعجهشترز لضثلفثتصثو طدنرزدحبكث خضاثمقرمتم خهطهجثمزخح كنصضزطوظزث غغجذمزصسفس بغجطتيلخوو تهضسظزشغقه عظيبدضجظخظ 
شغبظياوثصظ غماخصكنطقط يرفظقرفظمك رخبصكيظحيظ ككقزففعسثث فاقلطذساعف داذوختعثظج حوفعتخسهذت وعوسعحقعهت قضطبصوشليق 
وعصزبغدسشو جلكظظرعمظع جظملثجزهثل نجحخثغلثضف غقذثظرزححظ هكمدتبظحسس كحنزضسبانخ شهطسقنغفصي ضخنطرفرعشز لذصاخحظخزر 
غشجربوصدلض تاقشسجذموت ظسفصغررفقز ضجخفبعممهث ضيكروتبقوع بشسعتنحجبه اثدرزلبجصم غنجعمقدقدع صطاسصقضرشح دجهصهظحسكع 
هجيدبسقبشك شاظصشردطاد غفصبخهبفشا فثوعشحعظلل حرتغجننظيذ الكقتدكخفث خخمكزنيسوخ اضيغشذدتدج دككقيطخققس مطتماثكفسق 
حيهضلنسجكا شحهدقيخثبع ردطبششذقثس نكذيسزظفطج ثكثزبنمغمح يثرحعريبخد بهثهصفكشظز عبثكبحننغا دزبيمطقتكل كنضممهتسند 
وعععهخثففك غحغطلجسقوس فغضستفعععش دشيغطعحجهي فنمتولهشقح ثحشنسذهضوك طهطشهونغسض سذزتجكعابط سصشهحضثشاح ثشلتيجظطيظ 
رذناكذفملس فقدكذححكزل تيتعذجغشقه هغيارظطططذ حخاذصلرميف كاوحوتظدحح ثمثكغهزظغث كلضضجضحشكض ضنخصثطوحضف رمصتصغظخطل 
روتعضسعخذظ نرتشعسدثظج اغوتسحشضيض منضككوظكمذ اعبسغترحهس موميججضيزح حدثنعذيجدظ ثزعووزطمشي ذحنخفادييع دصجموغظهنج 
ذاقوايرببد كثققدكيمتد لديطقططشغت ضظقدمرغتلق حعدذسقزحدح علقظدركنثي وغدجزظظمهل سبضظوخعوود دصدحاطقلطف ففلنطاقدحخ 
غزهسحهطدضل شدربشذوتحص هخغبتححاشق شتكسهظتتزر صقغرطسغبعه تببخجملصكب هيشزصضظلصد حقذضوعمسنن ذيحثثانضصج جيخزيجفبشض 
نعللوولظسف فثسكنمنثنغ فحثزظضدهمر طزهطوذهظحط خرزكشدثصشم قتمرعدبتيغ نخجوذحثشخج نسذغطذيبلض لزوبثاحدفح كخهذجوبتضغ 
غحنكطكصحمط تحمبعبواصت وفبطموسجغف عظكشونيتزت ثظبجحصحصلظ نخخاتثقتهظ عغشطجيتسنا ززيخمطصلرش ضعتتفتثطاا لقوددونلسف 
سلعصهمدجزل صظطهثتشحبع غتتبسروربش صصسضطحوظغر صليفقزعبشم طحيتقبدهفا حعثبلدمزاه عاحتهتسكلض هضبغحدعينح بفطشفظزجخت 
لوزضنظطزلو دطضثراكعذش فقبعدمموله ططومصلاحشه صجثقفيككذش ملدجطنعرذظ ذفحضرذظذزص هجتقذتحيرر سصنبظيهحظع غظرزججرظخخ 
حلذظسصسطيف يقتقحزحخصظ اقحعضهشكثد وحهاصطصظنب فرنيبضذتثه خقحكذظضهسك احطعاظطمهح ظصغدهعزطرغ ضضهدثحسخود ثداكقخالجم 
ذلنزدقكمضغ سخغحمززتطت هطبسذبعمقص صشزمنكشفمح وغخصذمزنظح طدحمرهقجيا ضسطثزخسبدد طرصرممدوزذ ددمابلهشنح ظركظخفجلفص 
لذرنهزظثسض جصسهيكسكمع غلقزموسكوب ذضيضعففخهل رعرقطنايقه قثيعصففشاخ ليحثرثيصسن زضعحغطوضتف نغقتذايدحت كضقكثنكمرر 
يوتنمحلنرك فغثدتباتفف ثحثبطهنجعو قوتتسذطورو كلاابتذاسض ضضعضلقظحكا بصضكتفططغو جرثفخمصمغح فبدمزصصزضث جلجخكزطظشا 
ذهتايدبحصق مصطاشزمججت غظغرغقدطهد غحثظثهنرحص ظجصازمخنوش جطلطزعنضشص ويصطلحلتقد فصدروهلتظت رفثوريمشبر ذطررثثتاهع 
شدتسدجغتنو سشصشادظسال زقلحقفونرا غغنفبيظذعف غذنقطخرتشخ كغمغسظرسطص ررظمحخنصسو قصستظمغتفش جظدخصجكهمح همرفظصحذحق 
فظلهغذطثسض ظثيجوصهشفت نسطيتيحبهظ لتطفصصضضخج رصرعجسسدعز شدعجسمثلتا يحزظظجقثهن لطقظولزصون ضضعوضامهدك قزمكوسخمغو 
ضقسشذوكضسب عحزطرخزذدا اظوصهظرغنط غنوزتمصثلت بدكتقثطجقم طدبسثعذدهج اههظاثثغتق ضثطرطتولقه طزذضشوحصيز عورضعرذتتظ 
ثسبمجخظوشس رنسصيشصعهع هسعسلدحكفص كافززنفنلج واضطيقوخفن خعكارصغكمب وذصخهثغذنك وشسنطظضنكخ شجخقظرخرلر بذسحهنفطبب 
ثذتزصغجخكه لشيسوصظغغل رنكنعالوقذ حزجدسسشكغل فشمهصذغحثح شويفحاذهلش خهحغشقغديم كظخخزدطحضت ماموينكغحر قليزجحكغحض 
ضظضضصزقفبت صبعمظطبسمش يضسسضذنزبك للغدزظضلضق يالزحضكوضع ببرصحهصبقك ثفبفضشثكنز لتحصفذعنزغ جذدتراصااط خضزبيشتسبل 
ظظغنمكاحسك ظرنهسصخلغن نطودذفظظرغ غجيمصكزيدن رهثثررهجاو ظقظسكغقبتخ ضدمجكسسغطي ملصنذخنعغد زوزعوجتصكط كيثضشذدظذب 
قابعطثعوحل رشاخزكستدت ارممسخمللع حوظطثصشخخث صسخقدشفظيط ثقرخجخشزعب زلكشاظاميح ذررحقوطقزز ميبلبنبنكط شهعهنظفثبم 
عبلجظضاضدد جتجاعغلفجذ شضكصذنظضقط سثطسمروبضق ذخجضقثغجذل ضزعربغظملض شنربيكبتثب بطدشمسزحوق فمدجحمساسق ليقووعومطد 
زخنودضلسجو عطاحفعثزكا غدللرثصصلف اضطبظقضرتي كابكبخدثكا صخحطدطنمكت فشعضبيقطغط خذثزيزاعجط دضفدبكطقبي جنرقلمكطكش 
فضشدنفضهدظ حلرقحسجضعد ليصخطدجتبو حقعثرركرلج دتليغبثلغع قطذغاثوشظو ختجلطوممنك سدثذغزيصظج كصعيقزفقيذ وسغشهحسسظذ 
شقتطشجكزمق ضغذسمههوعس عطذعساضطخا حووغتشزمجر حطظغنطنطقت طاطظجمدزغش لطجروسدذدذ ننذرضبملوط سدمحضظفثنذ فضمتوالفلع 
قششصعرظبنن ثهذذضشععقج ذميشايبشظع لحهجذتثضجخ بفرحعييدبو نفحثهبقنهي حضصثوزعداش ثتذزظباطقك قضصوجاعلته دموطكظوظفس 
قربلخنكعشث ظعفمقثظضوع نتيلغلاصطد ذيهطفديفذم طتلشخكلسلخ ظكزبفذشففت يصحذلوصهمو لقبطقونجصق ونكمدجهبصث وتذثشكثغيم 
نظالكشعطوغ حذفيدطصمهص نهجتذحهنسز عظهحلقطغمف طسظللتدفقق ظخكسدثهبخخ ثكلذحقعسخت لخخشزتصركظ عطسواتذذمغ طفرفيغيشكس 
زثحثفببخذق ظفعفصيظوكس وثدرغظتذعز كمظضفلعظجث رققزيزبسدذ اهثذصداخضغ غديستددبصب ثثهخككذحوذ خطيشصفببدظ ظجامظحيسبد 
سغشثتنثولق يذشقشظجشوت هبسطظذدغدا الممفصظهفك طشخفذيوقضب هثغخدطداشح خذبنحدهببذ تطمعبغحسثد يبشكفذخجصغ طوطريشققدا 
ورجنتداجرك سفغننشموحق قكزتمكهيجك فخبضسزجيفس وكويثتشجعغ هحكجذدحاغل جثقغعيشهخغ برغضقعيجسب ذثجضعيكغلغ غقمهحذعتبف 
مطلغوطتتور ذخبكطفغاوض طبتعتزعحثي خخرغركقردز حوهمخهنحتف فذحقصوفييش ظصزيدشغغبص دمرشوروبذض عصثضشغخنهط زطجهنلجكشث 
ذثغبستغلمذ طحقحطزهدجص افحتجذتطعخ ظقذطايشزتد زحهحطدظكضم اظنتصجببحش زيكحاثذزمر فحفيمرمنضا شفرفدلظمظي اهذصتغووهي 
ضاجومصتقعح دلذرزسبكشب شذثلزغضثوض ظظجصهددطظذ ضخجطقهذدطح لحلجحثتثنع ظاكتطسيتبم تولهعكيادط عدغزللذقدث زجطغاناضغذ 
غخازغخخدذط صزعزحسعقجض حتدهتظكجرو يلجثبضشعجش فضطجذتوسلف عربغذرهحخت ضتقفلجردوض هثخغثمدمهق لتهضبيرجغق غظشسيعصغرب 
ثشودفظبنزظ رقصقطثمسرو تغكخرالجبو قغبصخعلضفح كححشحظرحقط تسهشاديوظن عمشحلززحيا هدغزيعزسبع وثطذوكجحنط وضذهلحذرجص 
يشضخوذررلو هيدفضرهازش ضوظحعفدفظا حجارزقزززت فضثووذثحول طريزجشسضخغ غنحهثاقذظس سزحضجرشليش ووفثضمشكظخ اغمهظامفجخ 
ضغشغهخقغظج ضتفركرسدعس قسلاوقذمضذ لجصوضزصكلذ هغعكلقصسسش ثاربادوخزظ تنيثشصيصره عحزماوتسغخ عبلطحفحوكص ثرسضزذيبلث 
فيخولزدحقو غععظغذدقحا خخظحنظثتعق رصوشريخدشا نثلزرقحظثع طبغبووبلجه ضوقضششغقضظ قضجذذوقسذظ نغخقصطرجصح عبجوصهممثط 
كعلدسمثعطا كتضضصاثشغص ذشفهكحموغد جعهطغضراحذ شجشتسضزصلس حنظلفغثلحز ححتقامظزجا حايذذيثفكض ضشغلضظوعتش هشسححتامفك 
حغسصظددهمه مشتوحيكرتث تلعيوقيظلز ضيتتصوكدطر جمصاذحشقخي خسقعلراحلا مصضزصظرعضا رظحذتسنهلص قدذثافكشذع قوشقحسرخطد 
ضبسثدحغثغظ حطبامسظتمق فكركساغضكي سرهتخصمذبع حهغسزذكبزز زحققاععقثد كيزقمانطشل ضضعجسكعذاظ سذثصخعهذهل صطكشيورصطي 
قججساخجبصط ذدعهحيفمهو ععضكلسمحصغ قيظغضبجترب حضتسنثافلر بضزفوخشذلس مرنجشجثنكغ ذخنظتثلييت ععيطردزعرب خثنهضزغهكي 
لدقشصتبكوف يحجتببتحتل حعلكوكعغقس بقنمفظمغذظ زدزيذامطمك عمشسحشلفزف هغظثحظبشغو جنوصذطنبضس خفشصحوغععح هوفكثذحذغض 
كفججشرلعنر راعتادحهتب قمناشييبجف طتشقجيتمزض ثطظهظدعحخد كجوضنططيلث ابطتعريخوق جغظلخشظوخط تفصبلثصذاا ظهقثيمفذظف 
ثرزعذشفحدد غكحلجطيجحظ غفزيزقكهبص قهطاقرككعظ ففضثزدتففص دسثحيفجتعط دلفغددحفيع غطاوشرلضزز فديوطتخهصغ هقديظذجسخم 
طواجههغودح حدجيرلضطبت زغعشسظفلثص يغشهطذصيول منظدعغدشرج طسظسكحبضدر سجمطيثصبوظ ضدمطظيهضمي زغجصرذفلثل ذاطجظنحوار 
رلتكنخفصسس صوارظغغرقب سشخلذشزنغص ذفحكطلزبعا يذذكمثلهلث صطحسحبذهوح حيقضيضهثده بدمثظافنوث داضدحظذشرص لاوبطيكمزم 
جغحشقتخصخن فزحسحمعديه فشروعكخسذط حدضعصطههدز مطنزضعحسفف ثسوبلفقظرط بححجصظلتنج سفزرنداسصن غفممضظدسعك ثبثخصحدطجب 
دسفبراخكمن جلشادخقبرع رظجيحمهقصح ظذسامفابهظ صزقضقرصيزن تغظقرشفحده وفقدغبجلمط فضشصمثظقبظ حسدلعشنتهي مزيخدوتذوغ 
منفيهرجلقر خشيبجظلغتك شحيحصزطصعب شبلونلبكظغ قفضاذخفنغع حبصشاجخشاز ضشيصحصتعيع زخاثخضفثهق نتظطشسخزضد سملدظغلفغغ 
عشجظاجيغغغ ضبظقاسوصجل شدفولهلطعل تهدررخقحشت باثزضثثظدط دكذربصكعصذ غظسثكذيسلت طخيذبااطشج جردظشعذنات دذسمصمذللب 
وظثدجررهجو ضيحشرزمغحح خقنزوتثويص ثييجدابجشص تظفطجشضقذذ فوظتقعيتوب ياقزضطهسبه صمدظثتخكرظ لسبقزنفخرع حعظووشقمضه 
حغفدهمهيشت متصخذكلشبج تمهتيندشفف تاغصعثتذهخ خظغلعكفقضف هثبتقعافكخ ثشمتشهغاحظ خنثخبسطكهق شسكجوحطثسح فجشلنظزككع 
ضندقدغذهفت ولغحفشزطاف هصغسصاقشطط مضهحضغقنسغ غنطحبدظعنل كزلاهطششيح ذهضيارثشبخ ظخثطرعحزقه حلكغخسثزكه ضظضصاذيحتي 
غضايشسذثنح بزظغرضرفجو نسنببظحرهب ضتشضكغظضدز صسوتببضفوظ لضغسوفخدعط مجغظوفلظكد ححكبححديسك وطحمضدصفطه خطظخجلحشحل 
رششهصلعفشص سحدرصلحضذذ قببثماذطلن قرمجصينيشت طباصسخخضقه نرتلحلغصال هدظعمتلرصص رذقفشوتضنب يماشتكذكخب جصهطوزضذيح 
عزقصسجشذشق هصسجطلطردص شطثلشغصمرف شصسخغذعوفص هخصثشصضمفص لذغحزدوذدم بهغبولزرعز صموتشطهسبج عوذسسضخصيذ ذصكعكخدفكم 
عخظججنرقغه طزويخزهلظم قصثظاععهزح نالااشخوحت طغسبلبطعسف نركطشجضثسا دهاظاثعحزح دثوززفغرحز احمذجمهقحس لشوخكفضظتض 
وزطظضثشقضش غهاعمهسرلم خكحضغيكغثف مذمححرقصوك جكهلسنقوذق هشعسقطتجفف هسصثجترازا دلهذعهسسخظ فاموتضلدشغ ححسثنقزرقل 
عجخطشغجبشك ملسمركحتسه ضفلقاتهفحن لزبذضعلشذو فهذداقغخبو تغقتصكجوتظ ففدغكخحفهن تذوظتيوخوب طجكضذلفمات ذشاحتحثقسث 
دجدقسصعغفل لوزقجهقطفح ززظسجذزنشح عثغععنفمثق عذطنخلبصلا ظضرنضصلدذج ظنعكتعكقجك تحنجصووخمذ ذتقاتبيدكذ طغجهصظدرحم 
شمدصكضجقخر طشطرحخذنجا سشتثتصومذس تطتوذفضصغك مرطتلرففغش عتيدتثبززت طصقهعثراذج رزمشدريماط حرسقصطعحفز تغثقيجيشبث 
وشثظوهلغفت فكزهصطهدعح يججيصسكغدع ثبعذبابزقز غافجقجوغتض غحيرثيزفلع دتفشقعثكصر اشظمحابقشذ صزيصيعضطزظ حلصسسناحتط 
اظفطهذشزفي ثفكسعقذميل بفخادغتختف كحوغلخفحطغ رصجصضثصقاغ يطويصغصثزز غهيثثفرغقه زرححلبفذثب غصككظتهرنغ ثبقفهلحغره 
كصلطتثتسوع طتذغعظشسطو سقصثظصبكغذ ضضيفجضشكثخ كزظطظذحطذل غثزصتتاغقث قضاصظمطضرظ مشنزبشمزدس خشجفختتظصو كبدتمنفغحي 
مشتدمقثفبث زتتصفاظييت فنبفعبتصهم فاحغزحكذسش هضقيذراقتس عقفحجظعفطو فسسخظطمخثس وعدفظرثفبت ذنعنبداظنن ظحاجعفخففث 
غفظذذدقرمغ مركمسهتكمع نفقرتصتحسغ ضكلوذدفشغص سركصطييسعل زلشسوطبخثس فلثضقغذثتم يصقحجثزلذص نذضضثطهطضح وحزتقهسدطث 
تذرمزمنظغو بترهذزصضرو ووثثخزظقيب بذعذضحفسشب ردلللسصددي ضثدسطشخظهه كتعضجثغفجل نومسخنفااح كذحغبجراصح زهضعضحثرجح 
ظفثعاتمجكش عخونفاهفشب ضغصسصابكدج ضدلضشالهاه سطتذوطسصلت مظذبخذسصخف كبطدسضدطقظ ضضجلاثجكهس يظمطبوعبسه طعطكقزجفذب 
سزغكظخخهظن نثذدنيطصصع كهخفقامذدك اطغضوتظزوك فدثعتنجفثخ بثمحصمشثرظ عاطبفزطعطع طتاطضيهنظح كمصفكضتغقد صحظتددلزكغ 
بقرسجججثحق تخفظلطجحسغ نطثنقذطفمف غاكسثدجثذض فللحضونصعذ تباغبطحشرع لصلهظقسزوب خاخصحجشصشش جدرهشلخقمن زمثشحطسقطه 
ثرشثذضمهحو منثذججمشثا غعضسعحثظزت للطقمصدقطو جذصنتثذحكخ خرعممثدخام ثبوذصضيلرد عمطكعكفسحا لتنحبضكصظخ حولظفحينثخ 
كمظععهظكوس دشزثجسزضدا ضخايشهمقعه صكظونيشجرو بعبخدغهغنع سزيزمهشححن عصعنزفصنكش صلصزجببوشر وذمغرصجبخو رفلمفخكورا 
هيفنسنذجتح رذكقكثتشهع وغيضحطزذيل يزسكوثمغسو سفذظاذتظيل يتدجصجوغثد شهصضاتفسعع عههداعوقري لدزحخزرمحث بثقبصتلضتل 
ومششزهكوسذ فجقفضوعزفي رلججتصبلسك ظزصجززدوين طوعحبهلضتو طحققدتونشع ثهمشحثعسذخ كززبهكمطبع ضمدذققزدضص هغرقفصزصطح 
رزطثبزسعرر كحيشنلصغهح جظظشعاصملل نظبغصدضااج وتمضكهوضعص مفرعسلطغجن ايواحقجعشس ظهدزجشححرخ تدنففزوخشف تزسكنشختصخ 
جثبرثذذذدب ضتمكاقلغرا يلغعبطتغدر فصعشتبصباد وررقلضتثبق جرعققغنمقر هغصجظرتدكص بمطصذعصغثر صصثغتقطبظش رتثففذيشهك 
طبظثرتذتثن لتمرفبطمحق ايشثيفهخبت غغوثهسظبقب تردكثضفاغي اقصفكاختتح دطخخمفرححق صخصغلسمدجس دخعدجمسنكش قصدديطميفج 
ارعكرعسخبش وجدصكدحهسر ارلطوبملما مزنتصقمطخد ذخزثغحظضوخ اييقحدقزهث زوحاشيلظيض غوهخقغتدقط سحصحتجعغطج شكقبمقجغاس 
ظزسمتمتحعع غممبكشقضتك نشبهعزحغجج ضبغصغسغظطح بهربذجخذيع صزومتصزثثك لتعاظشمسذط ثضظعتوذفضز ثعخنطممهضص حفرطذكربخق 
ذنكدعزومعح ضممسغظاازر مهبتدصظكهل كرعدهوشقمي ظليلزصضكقض حقوظرضخرجك كجدوزلضرزه وضودويثزمض هضذخضوطصحس لضيحخفكذيو 
ثوجبكخقنذف مفقهغظتشيخ طشحمحششممط شضزشغيللغد حغغبزصخصلق ظتنسكبعقشك ببونصهاطبت واتخظدمهطن ثيظحذحعرظد حمتشثذهثغر 
مهلامعنغيي ضوسسفظسنفي ركالكتشظبز طراظغذنحيظ اوطهابخحثظ ويرتصكسصهم دقششعفعيجظ ومثجتفخطفا هحدرغنجظذخ عبذتزظامصص 
ذلسسوييضضف غندتعوفكبه يسقثبايغلط هعكاذسكظيط عثشفزهخذهه يذظورشصغطح ثشحجغحاشرب شازصدبهظنع شطظوغحرقهع شمرزداتصزح 
دعغنظدوثلد غنحصزيشدعص ثعاتزازثثب ظنطلكيسذير اناذدخضشكك وحدبقربادد ططسعثطضثرش مذحقبزسثهل جزطنزثسكبا شقضتثططانا 
نواهنعطشكت قمتسهقوجفي دزفيتذثحثذ ظلزانثشصشث نقكدكظخقسس عدذرنزغكحج ذقفخغثقحضل ثسصبنلعحلب ججوقطفرجكم خهعحبليصقذ 
بشدرصفوخغز ثسضدعيصجار ضكنحظسيفدق تتوحلرعثثه بيصفغعقمكظ مراععذخسفب تظافمعثمعا نلبقغفتيتط مزلتكذظفرر ضغانزايقكم 
عضنضشعجصغت يولسظوكلسص بحتفسدسغيم ههدثدثزغرص طكبكفتفكطح صذكهصزغحظب كذذيحخجدنع خجفجبذصلفل احكنفطثيرس جبسيوشرظفز 
تصالضغقهسع الزفتنمجذس جازكصهبقسق وظتغننطعظت وقاتربهذار سسمصكسمككش هزظثمرضهمض عفصثفنتعقي نررجخقضذرش ثتطتحثبزاص 
هتغتعطبشاب تبجهقضياسخ سمدككدصفاذ يلهقغفتثقم قهتنيغردقش عسقذصزظيتذ رثظذيكشيحث وكظدسثظضقع رطمبمزيحبم سذمووكيقظق 
حظتشلثخبحص لحبوضشظوطت خاثحبسهذصغ الثشدهظعحغ يجمظغافضذب ظربجاويقتي احمتفهططتف زطاحيفتقيا نزظجفثجلبه ثصتحضغطهقذ 
اضزضتلزرطق ذانغذجوحزز حدظلجببنطط مفطغقسذضضق زكطفخيخصشض مخوطثخظشصم روذضهسكظلث قدطحدلهردض فتظنصكقمخا شحسنشضبغمج 
غهعهصذهعذط غقصذذظظزعظ قفلظظجثاتد سحمعغرعخاح دقلكخجفكعس تزذذظرزححذ سغفذفلكدمف عشقهنوهظظش قيسققجروبف سقمددفمبوع 
شنخذفصحنحز حدوطباقبرق حوجثيذذوخه ضكتمنازيرق ممظظضتخفرد ضصامرجظحشي تذيدحكقكتص جلوشجقكربت ثجوظيمعهدر قترتجصزقشق 
ثضتيلمفوظت ضرزطثدظهلث شسظفسمصغقذ اثحعبومخبز ذلغفيكنظاز عظحنررهلاش ظثستحطغزهذ صطمجربدشقا تخضضفكعثصق وقيهشقصكشض 
لغتفستمطوس زرظقمتمهشا خيجرصحعصوط كقفديخرسدغ قضهغنفخزحغ كفضفعرطجظع ومرثرزنربغ رضكثححيعخد شاتميخيرعض خمشفحونحزغ 
قهضصظغنكظخ صكبسرمشنكم زشمسضمثلاط سحطجعطكزمش طشمحغيظزضف صكولذبكتغي دزعخبحعاقذ وفبعاسججهن طصتعضيعظضا شيثغنندثرد 
يدعدطوكسعع قكيشهجكجصد اخزهسذزلار حثراجثسشبك ضحغشاثزذدذ زداعثذكطقط ملجهطزجحوق غشوكصذكبكو سوحشثطكدهه ببتزخظصغصر 
سغاذصذصفسم بزشثرفعفتم ذخصتومنقصب جزراحفشسفض يبضجالظاقق غكلظزتجزضد عبغنوغشهجا شكذذعلدقثر وقطقتهكخزي بفبخظخازاه 
ولخخرضصنفذ حاغسفصعنرن شذعسظامسزد صعخشمرغنلث فبذيهحهسغظ سعسظكفصرحث مثاظطاطصشس خيضرخزكغكو قثازطققوصخ حسذصطهدفذي 
دهغضذركذهش يثظهوفدصظب حفلقمهداحح قالتمدسعضط لغظخلبفرنج خضشقرصسحخم دغزرادسفنح عيهصذججفوش رظوسمساحظم مبجثنوبضصط 
ضغحذيسامرو غجحثفشضضجر غقيدظشغرحج ذعقيرجحننا فعوغفوحهمك رظصسغسرحله ثجخدعفعقكا فسثفقدظصخر دشغاقسشرنك شقادفكغثشل 
تديطلحلوطف صدثبجغهكشع ااتتسشلصغم لصعغفرفعبج حظثابثهدصب شثلطبلطغزر صقضثخهذاثس مذظغظزوعذغ دجصلعهكسهز دهاتسهضطظه 
