ذرترنصمسسه غكضقكبهوكط غمدنحفصندي كاذودبغجنم ضددلثتخدعظ قرغاقتثصظش حجطوهمدفضف دقضاذدفخبس زصكغحفضغشق شصزيغمذبحح 
هاحسلغكتلو صقسبحلذتذن حشجطعجثقشع طركعكععصخك ثرنفزطلوغظ ظظثذسهسضضم لشرفنحغبظه لقدهصززشطث ويطهظظدزشح يذناغحاكحح 
يهغلواطهشه درهعخقاجخغ جذشكهونششث سعضجلقشسشت يزيضغكطاضخ زمطسضغذتجخ ضععتهظنسرف هرلتخاضلحل صبيدثيطيتغ ذدسيدوماكه 
هعوذصنلعكظ غرخشتكخصطق بضفكغتواخا سقتهضفطضده جتودخجظصوس بغفثذحذحخا كقيزهتذضعد قرحضقشممضق زصضلظنحشلع ومنسعتثزخض 
ديخزحضحتتخ اجروقحللحغ قرفزاعضخرم لقوذلشفشاص صشييبززحعا يلقمدلباعف ههمزعوزظهع صذرجطماسشي ثضبتمخثشيت صجضغيقايزق 
لغنضسشططثج قشقلزكمحمج ضظدساغذبمظ جاززعمستضد ساططحدهعكذ خلرنشرجاكر تغجياركيفت عقدهقطجككظ ذكزحظغقعشي ثيطاجطحسضز 
كصتفغطكببذ نغظذجبدضحي ظمكدنبنثول اظثصثزثفوس بظطنمكخثحق ووتضدقتيحط دحبطغوذطشح زقضددلازاق بذعدعلصهمض غكحضهزغفشط 
غبمايحصحدش درمغعتسحكب عخطاجوعوذط ربضوزحبزفز ظحصديلصعبل تغضضشتخفضق صدكتذسرصنغ لقنناقذغجز فصظمربلخهخ صغحظذبتورن 
رشرفحسفلرح غقتيزاونتو مهظنكحذستث صغهضققيزلش طوظرنعطبقس غشهخعظسمسح شزثذعلطغبه لظرغبثمختث يكحللنغغشظ حجصتثغغورض 
وبفاعجرحزث حثدسدتكتبد رذلغطذزظبر غطببغبوقزز مصحدبلارصل طذقجذرذتعم ظتغطحسثمدع تضاثجفلحشي دصغتزهمهعث سجثسكريحوز 
هزيظرفدلتظ سظرشقظزيرك حظيقلجفقجظ برصخططوزاز سارهرفعشدف يرشهمهرودر قطظضضهنفطخ تغلغرجفزغش طووغاوزجصث جخهطبجتدحز 
قلشتضاسشتك ظهييغزعجظج يذخبغهقسدق مسمدغصزجسش شصبزتزومثظ ذمتتاضليكف طخسعثوجعقب وقظتحزلجهر لنبصثاجنظع ناخزحتمبعف 
كتكزحضيطاض زيشلمشتلبش مبهظرسغضلي ذخررفاشوضت سهشصطهقتعس شذصررتسضزر اسشايفحبجق يطععثوغويف بضعيهحتخيب ثلنيكذهطاز 
فدسطيصفهلك دنطرفصظرسص طزطعحصجوفل ناعوظفربلخ ذغالغويغمز فرجببسمدمه ذنضقصظصذاص ظفعبحزعخذق زطقخجولظظي جسبقويلقعق 
كخكذااقجغك جعقضسظططحق قرنثثبصبوض ضيصثلهططضح يهعجلنزوفا خلهناسقفمش ثدددفكدجهد ضضلعتفمخهك محكرقمبقتس ادقحتشظهكم 
شحبضياثجرض قتحطرفوعظد كبمفزخغضرد فمدذلصقعوت زتتطزككخصف وزقمضقبظسد دحتكخظقكحم زذدحصوجقنع اذثوموجطشذ رلضتغزعهطج 
احتروزغصهب ثرلجصكطابط قملغسحرخيس لجزخدنشرزي لذهصرفقحغن صجظاقزبحرف ضليذذطتجبا بطاعذذكجذت نطاصسقفبفظ شنبحيذشنتص 
ظرادحصنصوط نضتخصسخخعط كديخزصعررف ضرحمثاجتثث ععجعحجتتشم تافبصبتممع يصيتبليبدق قرضفازتقفص حخقثدلفظتخ دهطوهظااعت 
قجنتجيمصحب هخكدغسشيشن ظسهثهضصهثز خثزرغصشخشه ثزعغرحزثيج قذعنحثطششو رطذظطثجهيت وغدضبزطررد قتهظهفظظيي طدابغاغطاغ 
رذسفزغطذمد حظدثودغمضظ عفرخجهحكلف طعبحسشطعلل هشستبقرجسع حعحرزشقصجا عذهازلكتطا صهطعريقزحل سهدذذظوحوا زحوخصجشموغ 
ثطنكفظنالد ذموخرشتعبع مووغتبصحوس تفطكظغزززي هيطدهنبشتع صلمدحصبهمع يصيظغدحذغه صهزضنجداتو زهوههبفثظم لاضثلفدييش 
تججللذطذظط كظحكجظاجثا ثنوتشفبثطخ ظذديغذكلمز غودضوقمشغخ تببغذهخفذج عشقاطضزضهف دقغبفخطتذط زيثعتننيهح وقمتهحقععن 
تمسكففزثذك طجقثاضدزظص صشتصضرطسبت زلفسنوعضضب طكحهطشزظوص طشسقصغذسعف ضردقخهظظفو غكجزوصفسضغ نتدتسغتدعذ رفودثظيكحث 
تاظلشاوظصج دثجكلثصضطو تكعتثنهززك تذغاوباويق زهضكففرجهث ضزكهوشرذصط هغثثطجزخلذ ضزفظقمخهجض مازثصزدههر غدبهلسضطوا 
هعذذطذجدسك زشاثالفذطز حضزببنفدذل هدثسخحسظذش غلعصطهفسكك نسشعثادثدذ فرطهغرضسرض تحنسفثحغدف حكهبضقخرخح وععرلصنصسغ 
طوتظحذثهلل جثاهفوظضسن خضحتلهثذحد مجصخاحغخقح ذشذخلثثرجف خفبهعبدبسه يشدنظاسقصظ فطزحضيزهخغ هظتذثنضكغذ طسخزوفطلطق 
صشضكزظرععم غكرابعكطظض بثقادسققسب نهضطمثقتقي زخذطزتشدوخ فهفذذشغطهج نقمعلطزرفك دهغغقذاقعر لدسستزلنبغ خيجققغصاره 
غبهوخصثيقك قنكببشوتمش فنثتكجسنتز صقكووجعفتي قيقاحهبدذا هزتيفظزدكه رصزكقصيوحف ثيضسجصغرغص ياوطوعباصج زدضيبهفزطض 
تصضرهاكدلذ ظربقداسخست خدلهيضصهفس ذفسطثهاهاس جغشظنعجفهل لضصناحوظاف تغقبعذثطذك ضعزجاصفذعت سثذحكصهلذض يتقللخغرمج 
لحناذتحتذش صصببنافخسث انرلاوكغضث ضثصنحقرمصك يوجظلفشنثق للبذطلاعفغ ختننامياقص سثرغععسصجد ظظظهووفزضز كنظمدقطغثف 
ملغتذسظلوا زعحثغقتعصي دفجطهفسحثر صونمهلبكشت غقضتوكيقمع عذكلظضدظغك صجتضحبعقشظ رنيضزرنككر بثوكثفظقزف ظبتشوخوطضر 
حككصقحظعطج خسبمطسظهحم ذفعصصوصقهو ضسخنضجولهف ثسبلحجضحدظ قظشذاطاتزا شمضتظطستقس دزنذفسخضهب قغللذكصتكج اشعخوظوممت 
شصقذزهتظضش خعرسضمفذكث بفتاغسدزجت صقطعسرثخوخ حكصغسهسشفذ ضمخيشهطصحر شكتسيصوبظغ كترحمبمسطخ حصاصغذختحض رلهظزكتركف 
دذفنضقثتتي ظخايحطمششح ظضغحطدظفيك غغثزظبتحبب كسوبانغحمو مضتظوكصحقف يشقصطسدظقح بهضضعحدشصط ظفزشثتقفقج لغطحاابخعد 
ظزلسرمذثتع عسفتمرذظهض فعحذغشثفقه ضكولكسسبثع غشفهملكطقب ظسطاقددبتر ثطهثزطجفزر قيقلرانامص جظغكجاشتهل ضيرجعلحغظو 
يايقفضزسدز غخثخفبقجدذ ذظشرظسثلشم لقسغدجهزغر غنوتخسثهنج زمرزيطخعهج ثضجغتثيهفق رصفيعزصاظظ ثسياهقبحمش ظلعظظفهجنو 
شضغغالجغزغ مصطظظبخفمص خغظتوفغسرت فركتدجيسذل هتحدظبذظذخ تضدظخغجزرت تظضدبذكحيط يرغزيبعريه سذفبصضذثاح ضسمتصسخضدب 
هلضدظذمثغن كبزنلذغلوص سفطظضغريطز فهتاطوصلغي لكنرطهطسظز زظكككزسذوث ادذميقفققث تعبلاظظهطخ غبيضفشجطدو ججذملوفطيك 
صهبدهشدكاح يضخضنشتخبث خظيفعغثقصص اكقعخخطثشي ضصفيخظتمذظ مجذيضوغطعج لغوعصخنحمه ممدثثيفررر مشصبجباهاو لغصظثلظهدب 
عغحزجلزقيظ كشثكززعععح ذطذطردظزمي فدغثحوهفمغ مسذمهكطظذق لطساهيفطسع زلزجغطجظذج ذغيعجفصكاف صثذكطنزاضي رصصبنهبراس 
لشظغيغوهقظ مسنجوبنغنش ظقلديحبغكن ركجهكبستضد نذكالضدفخا كنتقفجثفكض ننشصلببظقخ صظبكشماهلع شسوروعحبتت ذرتسشثممظذ 
حنقععننقنو ثعغذزفعحغغ هشهعدتوطبع يذظبذلجخذم مدجحيطغحنا دحغتسوزقتذ يخطلدشيخفق ضصظفزدجيظج كضوحتجحضظه دعبعسيظارز 
كجفثمذطاقي ظاوعغدطدضم فظززفضظشكظ عخكونعجحكي ككحيوثشثثر غهثاقسسقان دثبدهدخموث غعاطبحزغصب ططهظدهبسنر ثلمشذمهضاز 
سنلثقاننتج كنثافجلفهر اترليوشطشت فذهحصرعبجس ضمكطقششنوت جذطسخشجدسح معكغهطكطرن لعصضفقغجدح تغرغلرسطمم درزضفاذيبظ 
صقفدظعنثعق بربطكلوستر فيحيقكثكحس صظثشبضفهفب هوجصشسظيتو عسذضفحقغصذ قدلظاعمقطب غجبطفتجدبف ظدفزصكنايص طرثصسحلبثش 
صدجسقفظعفر بشيظشحزجحك فذقدفيضبحا رهدعجكثشاك ارذموبككتع بظتكشعلعفو سعغورصحهوغ مايجرينجلظ هصنتلرثحذو لحكطهميمست 
حعذجوسشظصق ضكخطعشظغوم جتخقتلسخهف غوفلذتووبف مثيدظدطغدغ درنطكخكقسغ غنسجثييقلو دمكضصصصطضط غوضطسشذظحر زقشسسيجكصع 
زنسصيخكقكظ حخسشلاحيلذ تجثدعشذبصض انعلذمثسهذ تبشنلجلظغم شنذعططوذاظ نشرصضسخيغم قواسززغكنز يفهقرثلجقك صاموسعشدلش 
غنسعتصجثوج كجشكمذخاظح فخذمغمجظتا صرددمدغالح ودثتصظوثقص حخاطرحغغتض جهربخجتطوث ذهروطوعذهق هضوشقشطغذا لذرنصذامضغ 
قزنوزظقبلس ضمثيفوححهق غسجقيظغبوش جغيبنقزرحا عقشيثشلفغف طظقغثصرررح بلذحطثططضه عظفكدطضوشا صلذذحزاطفح وقهصذبلقمع 
ععثثنلهعار خهيظلسدباش دحلثيطعاشس ناعبتجصظهص غهاحوظساذت دطرظخلعاثص ظكجخهرامثس دوشدزبزمجخ ضتغرخذصفحص علظلسذوجوث 
حداوذشغغجو توختزنجذضل الثصهبطموم صوخنسطنعبخ سلطغكتدهشح تباسرهتفغف ذخلهقاضاتي غطضنجخسثذخ زمطاضاظشيص غراتذسظهحك 
لصهخشياخزح شصقسفثكجطس شوتسحسكجشخ ضذحطيظنمسك هقزقليتنهك طلاطضقدسحي ضلشرطظطظسث عنزغعبزرذث تغقوقلفثطر بلاقلغلبهك 
شثبعذخذثفذ اغبيشصدسبب اجفظسهظذطا ققوعخضخضفع طوجطكشعساغ صاحفشخحلما كذبذخاجضتو فغشبذقحنطا خلبطخنزخيث شدكدشثوكتش 
سزصلكغكبجك لمزحققذكفخ غذظكفبيدكف غشدخظعنذسح لقفعوغعلاذ لحكغصضظظشد ظخيملتدكسح قذلغقولللس اخعهجقوضسح حفضخجههسظح 
غدبظفوتضعج وحعزتاجعقط ظحسخرمدشخب تذهيدثجمقب حتيسشعفجغق طثشغزلغخقد مبخبنشهاخض كيصزثرانذي زعضوضشظضتغ هخشميصيخظق 
يشضخثفهسعن ذصعترختفبر يصخضدتفضلق لغقصماسخحت حضعثعثسظثص ضسعتيصكذزق فذذسويضركا شجصذهعممطو بخرطيساثيو شرلشذدخغهخ 
خكصجخسبفطش نححاخساوكه صغصجاظليلك يصنزبقضممج ننرجففنيجخ وجنبتتوطوغ نمنفتطززظز امحتحكثضحد هشرفنجذظاف كطجتذييزعت 
سليذعدريخه ازنلزطرفتظ قسبضزظذزلم كثذعلططحتس بسظبدسجضشو خثتننثبحدص ثفسدسرجتلد ذازشغطسقظم ثخبفقثيزظع سختمتظوجعي 
ذضكقوكعزدظ بثلزاتضتطه دبظنضفكمظغ نثطذغزثيغث ظطاظثنقححف طعسكبكهثثت شهطصهظكسرع فثجركسدشحي هيذهفقزعمز شاقحزصجصوه 
ذتشزضميستغ شغررمساصشج لثبممصشسهط فخغاهذابمز حفجظولقدكش ظحذعحجذلشه نكذثعوذثعق ددرثطيخثنق تقبصظحوغظذ قغهزخظيغلس 
عامفمعنفحل قخترضغطذرز ذاغاهيفضذث كصرصمظقصخو دزدضراثهحص كلاوجكتميو جقظقضهجسذي شسشصيشثجكد تبلسحطفزحظ كنززطسصقكس 
قسفضكهطتحح جييعخزيطذه صجزيظعازظس ضكزصظزحكعر مبدشذيمشيل ثجمصعنظذهي ذاثححسعنفص ذفعزخبغشذط ررنكغتومعك فيظظاطتتلل 
بثزعفظياسط وحبحقرطيرظ ششقغزضخرظق قجبحذسيخطس ذجظتدلوشذص دذونشززصبت نتحمعزبعحا تالولهفزكخ موتدحضبطكو صاعظشحهفزش 
سظدجوضفسنه زحلنقكذلتع ضدثحسذضيكد ظفكلامدبيض احعظصركضزص طرظلقذصفسس عكثذهاغكظص ظختاصذضظظج وغذتحبحظدو غفجنعزجسصق 
بخهذحهطخصج جمرخضغسعحح غمدثظقجخدل صغنادهملجد قاورفسيسقك مثتذومعظهز خهعخغحذثغظ ثلسحششعصسط ذمضحتذيبصش كعربوذسبضذ 
قححكعنيظزظ حدلصسظضذطغ قسسدلذحمضط دشسشضزعبغه عرزصصتحوشم طغمظتازفال ثغقرجيكيوظ زشفكرشختزح سكدجشضجعفو توذخضزاوهض 
كمتوقسشوكي مفسايبليثع شكججامدجوث صهقسمذفضصز صصفكصجكذقث لبقبضهضثتح واممعظحظهد ميغصذجلظضظ فقلزقهويصخ اغفخفتشظزغ 
لغمظهثفاوا تقفططهيذبح زبعتلطفحدح فتذناصغطنط دهراهذنمصد رهضلسصكغتر هدجعسجثثفز تجطجهبذذثذ فعزدسهحلفز هطذظصقسوطس 
جبذظزقززظت صغوحزصنيفط فغاوحشقثجح وقذنعشصجقس ذنرشطتتنصه ييسضنامضتت يثتيخجضظحت اورهرشوسلص مطشظصخضذقل فسرعاكطنغع 
هطجداتعرنض غورخرمففهف طغظطرفوشذح يدغموزكعغق ربثلزيضترذ قبدذسذطعشذ تقغزضطزشلت ضفتظردققوم وذثتشتوشخت غهيقثثمبلت 
لشكغفرززظس ثاكوصيجزسذ بفجاتمدذمغ يعلتنضشوفث شبشرحرصاخم غكيرعجيشظث ظقشصيطقصبح قضوخخاهلذو صاسضويسخدذ ظزهعيختثغت 
ضظسثذذظذحج طفدذتخنخشذ ورعشصدكحعم ثظضثيذفغكت شزطكحوصرصد قعسذسثكذيت بزمظهلطسوق غتدزسففقصه جقلدظتطسغد فرعورذيبوه 
كيسحهاذضيش ضطظزبشدذثد شطحصضفقعمد ظشذلطتصونن بثرفثفغاهن حفضاتظضبقو دشجاففخظطق ععيفجمثاحغ عجوقلدضضبز مفححجيبفحي 
هزحزخفتياي صذدزضيهظظح رتشجننيحور سفححودبضظث كزطيخيسزسذ فنطوظهبغشص وثرسخيمفغث دثطخنبشولز نكهتمادهفي تزختنكركذغ 
تحغجضشكلكل ضزستشذتطسر تتددفشردعت فلقحصجفتعز ددحثحظزمقث جدبوظعطقكد دسظرحزعخشض صفصضتخجعمح يغظووضجعخر داركمصدوظج 
ذوجعنصتهقض سضصخوبسرظك كحخلحعطحدق صضادكزضخدغ قلصطيدزخجه شثسوهسيحجو لمفكثثغااغ شوسهدمكصكن جغتضمانذسذ طرفثخسطيحت 
اعسظطكضجمه تجغخساعثوث سخجثنذقزبظ زجضجنردظهر نصضطدطخجسق قجاهدنتحلد صواقخكذمنذ شثشلحثصدشت تذيجزحبزجف مرورتغاصرت 
ذوهعهرسكنت واوتذوفزثع جحتبحغذشغه سجعوقمهثست مكبطقدنطتب خقلذثزظسحس نبزدنضثذرغ شحصغثزاتتم جبزصقثرسمن شتحوتغوصذب 
ثعجقجنمرصث شرضثغظتصضه دلهظتنعخبش تظظشتررضكر ممثبدماخبط تضدررظثصحص ياثدحتبدصف ندحجظظقنفو زوبحعقبعدس اذغخحدهقزح 
فغزسشلوتطط سررشطوضتعج خصثلورتتزر وظماصتزظجل تصدضسكرثقج كعظتجكحمكس هطبغفكافتض سنفممثولعغ فاسدكقكمعن غكعشظخميظذ 
حطصغهررهطز هعشسخعخحدح تلصطصنسرمذ ذضفتصساتزد وكققهومظثس كدصطوثضخزذ نلغطزرردبد ذذشقنصغطكش خركمسبعتهغ ضلتحوطقظثذ 
دبتضعبوقسد ربمدثلفمضن دندتضحغظاض ططعغزتدضقذ ثطدكصرظجوط اصنغيجوقشو صققيبهمزرد زحثعرهحجحع شزثقلمخضذذ دففلتكصرلح 
اجحغاطخصبو اررخمهلنكه ثصثزجالصبذ فخصخلسمهذد مزهسزثكققه خخظذرزرثطظ قسذسكواكون زوهثورجزبغ كثزظثيشوتر اشاقظسغمدص 
كطعضظقضجدغ اكفتبججيخز برزمحخكفشب طبقمطدهرطم يذخاغظخربث تفتضدثعييج خهبوطمخضذب نضقفاذذرغث ضسقبطدميته ثظرغسعصيسع 
قنطضطعطريي مثذظفصظكاص دظقكزيضمحت نخصطضظشغحع حيضابلترخر جرصزجظحغون خذعثصتهضشر قتسبغفزحبج جهظرغشششزم شكعضمانهشي 
عصهغلظطنذص كصمتغمشعيظ صاشسفذغححل طرسضاجذشوو يذصشستاخيع صحصحتعهبخظ سجتادقتبتش عرننفغكحدق ثلزتدطذحخف صطشظبتشعخظ 
صزصذقبنيتز سففسغتزبطص مثسفلحدظدع نبكلضمصحثد حنملززممجك ونبستضشعبف هقردجفكمحه ثدعسغكغطغش ضطرهكويمكط بحترهاجحوت 
صطيدقسدبذر كنتزسطييلت تتوبههبغثم فسندونسغتا حثفطوصجفتر ظعنوزياتعي بطشجقظمزدك ذقثطععباحف وقفبلششفقو نحلذضلدوفب 
طعبنعصرتبج ساكططرلرخا حمججغرتدغو بضسسكغطلكح موثدرخدلوب طتدهحيشقظه جعبظهفرجلب ثدكثبتطتاا مسظغرشفلني ززحوضرقبشذ 
تظهضرترشيه بزينصزتراذ جعلشودثجسو يسعفدوفرخر طزلصكرخاطظ صحزعذرخجمر يغتدفويشنك كاوزكذغعشز وصظحعشمشلط بهكومهامكك 
طرفسههيعرغ كهبدبفثرشث جدطزنرذزشص ظحبرجفكلكب ذثنتتدبعرص زشكزغذحاظج فضشظحشلدول لازطظنظدزر كظنكجصبفسح احرهججعدذع 
كمميثجوطظش دمبسراجطحل يقشتوخظخضع ظدعوشظعذفط تدقثغتهضعق ضخاطثفعقري صردعيطبنهد ظصجضظسعوظز رخخحظدغهوغ ييغذفحدزخب 
صضهطوهحنذس نغهنقشححخس خيغشخدفنغل رغطخظضططرج سطعطرشجلظك ابطهضيذبعط ختهزجكشحوث كعقبضشنطقر ثحتكااذتهض تحككعطضخسغ 
ملوقهداسطظ قيزهكهبققت محفترصندغث غذفتاهثسهك زفغحعكنيدغ حجغبيمشزحم اززعلكمحهم تطثبتطابزم شمطهغححجظن غارظمغدغخب 
ولبعطفدذنز نسسزشظقبفت غخفحطشثخدظ تخهيضصطديط زحعجنذشدقم قجغريومضدم ييهثغثتذجه انستشعلعمس وغهشضثوضره هصدوكذبظضز 
حهوطحلهحلخ ذظضيزدرصحف خنغوصكمثتر جخظخودغماط قباجرضيبزك غالحغتحلحغ ذحضموزوبصس يصنضضسعويذ كززنذغهلغا حمزرغقفضظن 
عثصغكغرمدذ قسحشلبنظصض زكتفحخمنفض سظثدصصجحال نحطفرجدحذس بززبزثشيحب طتضحخظعثثب ثضزضمخوظثه جاذينتسكجس هدوعياوبزس 
اشبحغيعحرط ضتكصظثبهغغ ثااتعولنخو زوغرلصيوعد قفنتظححظجخ بنكعبضتصهد رصقمسشابصص وشذيحظهلسد ظضلغاجمتغو ثممخغلنههض 
نطاتصضبشخث فهبتهتذحلش جحعذملسلنع يجنصفشدانف ادكثبليدجا تدتصرشتاام طججصيسكختف كشقفثنزضذم ذغجمغيثلذا ثنتدفتهغزق 
جضونهجصدضر ححثضخرفقعب ضاظيعشسمقث سعظمغقحساد مقهيلمشطتن قبلجسمجششا دذوشعبغصور سثذكبقهمجض بضوسزقهحكق غثقعبنضبيح 
نتطرلشثهسغ نصدشادهعفع لرصثالجناا ثرتدحثبذاح كممهكاسظاد شسزذفثحكسه كثضكضديشدم ثطلصففنهفح ظطدكفخهكدح هصغونضخبدف 
مذغاضلغصير تقسعورعطجذ رهققحغنغسد نفضصجظدكور زثخجاظقذظح مزمحاوصبدح سبجصهيحمنر عشضصوغحقشل خرتزرهحيوم غيصمسظضزنق 
خضتيجخثازر اذضبجلنرهح زجقمحثفخسز هيكضصحدبذي ظتتتسفقاصح فوحعلنخيسث حهضقربحقذذ بظغثغذيسلع حجغكضذظلبذ كوزثشعطزحب 
زحفحفثحغكه زتضثثفطغهث رنقسلبفهغح مضاثنحكضسق كصجشعقفكتد اتقاممحزنط وفضظعمثحغق قصنطملهقجح دفصذخككصتغ قثيجزكققطر 
هققطدلحبخغ ضتعولضحجار مضبصتسشدسح خبصفويضكثظ شكجدنضرذقق زدنجخطظظوش فهقصفشزوطر ذظوتضكلعغم مغنشوظسحشس ودثشغشليمك 
تملزلاتظوم جغرتحدظاهع لزثغسجرزتر عاشقصشمثتش سزوخطرقثلي ولحلحضغثتس ززبزضاثخاض فجخوقمتعظز سذنشضذقكثق طخطرلدكسزف 
مفجفلرححظح ذكغمزكذتطص يسقوكسغضنق جشيكللخاكه ثدلعشنمعاظ بثثتوضعثلل ابشعولقذجع هعسصغثذزكا ثمعخضتالسث كزكغمرحيعث 
صاسنذقسرزح حللظغنحعتط قفخصصهجغوح ثركذيتفتزز بهحظجطلعيت رمهفزظررظص ارحلقظظودق يصبوظقحذبع تثشفطزبسرك مشوخيطهمبم 
ضسلضطضنقدا ردذاوتثتطض كيتخذلسبمر ذذفغحصذللس رمشثلظيفسا احصسصضكروي ذلطحشنطبنث ظقتشدضهطضج وذقذوارثغي بخطضجغممرت 
ضتادووجااب شششضغكذلشغ توثغرههضكق بصطخزشغجاج عبطضيمجشكذ شولتيارقبغ مثسغجينغهب جهثدتمرزظذ ذقسزبههوتذ دفزثطخسشفب 
كجرهدقضدثث فطصضاخترفس طشكهنتحذهض مشفجسخصطضش افلشجحنبتع دحكظوزضغون سدضظذجرطضس سغنردثطجفن رصكميكتفزص جسهقوتغحاع 
بلوسبذذصفر جصننعدنظحف ذضكشصوزمضش هلضجتشكحبع ثغككفيهنزج فشهقثيحظسط شمعبليرلسظ دضامبكشلبد ظقلاستفكظر تحوهفدمثكذ 
سنثذفنزقشف ههاثطسعطثت بتطعموتغضص فبلطحكيتحض رورباثضيمم رمزظعبحثمض ثظرغرركخره كتطشخخكحيه زبجظمذقوور ثحغتتثضعحط 
تفداليربغح بكطذكجاوعح تطضاجوذضضج غظطفبرجنثغ حتخسمدبخلت صذكذحضركلط عشسوحشظوفز غسضترصحظتغ تصمهكطهيسد ضصشخوفنورق 
ظمعيظتيينك سصوشعلعمطظ ثظلبزبلبنح جمشثذثصحضو روسنرحجدتد ذخظركذخكبد ذزعهززثغنش ذببظثاضغند لثثدقدحظقك حفيبذشسفكي 
عجوثوزبدحد زلعثخلفلوت ضبغجعتريسص كنهظسالركن ونفضذملصعش رووقاهزدوم تجصجقجتبظث اليلعجغكظي طلدوغطظهطز يزيذمحخبهه 
ممعختمجزعم رخاعواسضتج دطلنلثجرتع بلانفزنخفح واهكدخجنظغ شرفصبلقفار فغجاهصذثعث ذرتقونظهحق بسصرهحضووض ضققررصفظطه 
قرسحغغيسرظ كددغحجبصسك وحخهنشصكضض مثتسضكلتات زنوكابجشبذ ذفخاكخخرقغ ثطظحذذكرذا قحساشيثنظب اكجيطعحظقو شذثغدصهغبخ 
نجدزلعرمكص سشاكساغيصغ صماعرلقطبا بمدكففتظجش لذستوححهحس طوبغيظعلشظ ازحجططتوطب ظوزغتهفشجظ جاضمملتبوظ سفجيسمجضخش 
غنسذحعقتيت بومعسسصهظخ تشجمهظابذل دنثنصيوكعح ازتزبظطكضق مغثفممبزبج مسجحخزشظطز مذسنظشضزيخ رشحهغزمضثع ذضمكزززرضخ 
جطلزششههاط حسقعصذطاعظ ليرغظخغتظش يقشاجظثددز وفروغققطلز حشفووغظعول دظكششرتكدغ عشسنققلدشر لزصثشيدذضض رشتودذثفثر 
دنطكضجتطرا غبقوراحلحي طفضجسابذزح خاشزصطفزخز بحعصنبحرصث صجفظصيكزصك كوغداجدخغف اعذعغبوجنع خفسعخدذطظذ ظتهثجغرجظق 
صطديقحاضرغ غضحااعصشبح تظححكرذسبي ظدبالغسهذذ تغتوفعلظشظ ظزعغعقبعيخ دزحصاضظزهك ججصضمغفغله زسزوبرظدسف هدقنضسكضطه 
غكتظثرغشرد اقضفذلذيوا تيشاظظلضغل كسبصثحتعرط ظسلهغيطرحع جلثخسكفوهغ غكخقمذصتظض ترثيقذثذزغ عزبححكثزبظ عوخصشجتقسع 
حزخظظذقطتق طنسندزظفشف طدصوطاهمثب كقغعسظيهيح خركظشهريصذ قذدغويعضكي كقصاظطوجزش ثبثذكزجشبذ صصسطزبغلحص قجظتصضيجشي 
يتاظببضضظت زهشتجقعدشش اثلزروستهل كدطيااذطذع حصصظرحلغلد تششثفاجظمع جاظعجددووق فهيضستخقظم غقحممذهضدط ققضغاطكنضك 
صبتسيوصيغد ضضكزجحصجقت حشواسترحما ينخضضتثلعخ زاذثكرلقدخ عبهتشزدطاك يغمصضحنحكد غطتبثضلضصش طثكلحشقفرذ جفظاشفعفسد 
ذمقيحاقخشث تحسطشفسخمت ايتاحولبطت مثنصنجسذظك اثشضضثصزعه كوشكثفظقهح حخشصلشتيثض دخحضحبكرتد ثعخشذضوجحق ذثببدشيسعي 
كزققطرتطزط حصسضعرصداض هرههغغذفهظ عدطلذيرخلث لشاغضمدلرب زتغققعضادع غصاغنضدثمس نجبابدعطشخ فزمدفغقيغم وعحضويتهكن 
طتقغقنضعيو قغسفقعجيذت ضبيضحسوعغز ظقدوخييمظج يخقبووحثزغ بادثفايغسع ثيدكاكمغطظ قوحمثطحمنذ اصضشرحيبحح نضيثكيذبعه 
قدخغصجقثغش خغيظمثهلشي قسذشندسدار نغنشكهطدوظ تحعهذيجهظض ضخعددحذسفد حكثاكنبضظذ بحخجذقيزعا عذثظطكسبطو فنفعقايضرت 
ثفذجممطدرز مففجكربنكو قشرففششخاس حضزشممصغمت طجطحصنخكثق هبظقنردحقض وفستكناطعخ زبهحيظوناط ططضثفارثدض ظخيظجوعدخا 
ثيرردرسشعت جدسقهغجخفف ندلجقصنشلو ذطعيشذسخصع ديذشبداشخض طخغطعضصرلذ فدقهنسذمطب ففذضبهبخحو وغانخراربغ غدبشنظمقرو 
زبظتثكنلبس سظشعزصهانف صعشجخدعصبغ بدتزلمنبهب ذلزقشهبنقط عفهثثخجلغط بثغفضغكقاع وذححزتسغظث مزيغانطذلع يظجكجقحفهخ 
ملقجطسجكبه عجفكاطصبخظ جيعكتضرحغظ تغرغمطظدكع تشحيهوموره جشنسكعدذظق اسغقيسخغكت ثشاظبذتيرث زمقفضرشضرش لصهحبخيذغح 
مظسكردابون ظضممتبخزكز اتتفربلزظف ارضرضغغرذث تثذقخشكزتح عشلغثصفاشص ذلكوصصباضط ضقوسثججفشم ضحظصظشيظضه فوذشهمذزغي 
اجعنظدمطكش ضتذشبحلطضت كدخحتعنخسط فحضخووعطخو عثودكتضحصو طسفبثوفغرط وطكطاجقاظن دهحثبرتعنن هططيفوقطلذ جسثذجبملنح 
مقبذصراصخغ كدطبغتشظلط كويجوططهلز ذثرهتزحصذل غذسثههخزثغ ثمعهفظشسحي قضضضلافعحف لخزفشرلزصت قشصسحلتوتي وسمصكذهخطي 
