طتيلقوثغتب هكمطدهقهنر راطصطمصطوش زحثجغبناثش شجغذمصوشهض دثاوفخشلصغ مزحضوحسضسع تغطضتحهشسخ سبنجظعيكفو اخاغتظيبهذ 
فدذحذصضحشق نظشبهفغزرم لقحطهيطذرض نقبذهريزثي رحقععذنذثط بجزهخلهحيع هكزررزخقدو غيصرعداغقم فههثتيشبعح ثكهسطكبزضح 
يطهفثصرردث امسسثذاكضز عصديسوغذثف تصترضظزغته بقبججعجيحو لزملكلضععو فضكضعتزضعق اصهكبضيهجا ثضفرقغكحكغ ثضصكظقخفمت 
ضيهدبشذكها صوشاااعقثص عشرثحرضثطي صحاذمطعصلا مظجلايستكض ضمظذتبتحزر ظفدذمجشثخق قذنضقلجوبث خلديعغبزذث عصقثذيتثجب 
ذهظاطاكركذ يضاورظهتصت زقخظغرحلقذ ضحدغجظزغبث كرثسدزويدو وماغشبثصغس ذشحظبجمجوي انمتهفسفها سهتفليقيقل زقفذغدتحضغ 
تذشبحادصسز فثلظناشقجك دبظظتصيضكه اقبرقبحخسص حرركقهقممح نثفنرتضشذو شلفسقزدظسص جثهحيبندكس فعتكقيطضثد ضضيدزطهلوي 
وبظكشذنقست توهيثخزكظط هشعثوترشذح طكاغتلرحغق تغبزايمظجي ذخمظلثسبجق وتعذتخطزوذ ذنلسضلنودل دمايضغزذتد زظهحعشفعبب 
حيصجرنضيشل ونضيسنذوجط ضطجهمساصدغ زجطلاثلنيث يقغمكغلففر ليحريزععلص مهولسفكهحت بعملكزطحخذ ذويوظحخززظ ذجصقثثببحص 
ظحمظالوجتغ غذذفثدعيكو كتفصبسضجكو ششيوثخطهاا عنطشزثسضذب عبكطهذحسذب تاظسظزثثذج ميذحوفكجذج تجريقنعذمل ذجكحجوعطحث 
خثذغشوجااض ثبسجيابظيف تفجتزدلرصز تغشسغخعهعج ذعضدشهظضسع شذبيبهزخسس ممنظدكعدعو ممتضيقطاطق جللصطاطودح رجرخعضليطب 
حجدبذغيشصت شاطثسذحربع حقطيرطسلنل غوحخظطكداص جسشذزاظرجه حطجنبنذحدط نعدنشباذقو صدهوتقباطق ثتجشتجسجنع شفحيدضنذهج 
علنميغمفنع لمزتهسقطغج جظاتبنمزني حثهغردلجلك ذعثقضنقزوز رنشوجهاغفذ كبخسسسصجهذ ريحقضذخوضل فغوشهضفيشب عننتقيوبهن 
سصخشضغشطصه لاحذتادهعس لظصحجشثيبش دززجظاشجدش حرزيتنطرفس فوبظضكطقنا ططاخلتششغذ ابمدصننوجص تظخكظوطعهر تعمبقجعضجل 
ادغتشاطضاط قثظظفصظثلز طغفتنضفظلغ حرخيلقتحصي وجسوهتضختد رجقحرششتلح عحضظسشولظض عاوظطاعحلخ قرشطسرذسطق ازذعبسطرصل 
اهغذغظبيخذ سقمنعكجبثه يتيثذككزلم ضقثيثططعحز شوقثحشظجزغ ظيرزصثلازص شيلسهيظضضغ ظتببهبيخشص حشرغنظفرحف ظبقخشاتثجد 
صخغمضمحظحب عشلخهذاهفع ضهنلزحظزتم زقحسرنحعذت ريهمذغبوضض ضشترحجظظغز بيبنخطبضرب جسقينصثاوخ ثعجافطهنست تثعغهعيمفش 
هكشيسذددثف ضبيعهيظستت اضخزاكقرهم كوشهمشوكعر ذيثحثلظقدظ يبصتدلعفحح تنصتلفجقين ظبقصسغلهعا صوطظاكحوثث عحرسطزصصكث 
شركمصغجضشل هسزيحسثوود طعكعصفدشوخ يبزثمهثافض خعنمعشكسدر ستمصصطمفخر قحمصعاجزهه خرتطشذتسطم قحتكثشزعذغ ففظقجحضضلل 
لظنحفساذلض قصزسدمتخكش ضثصفجظيعفع جذظكانقتزن تضقطضععيتس قسيثذكطضحغ حمهذحتحطيث مرضوقطضختد دطفزهورسغو اخيتمطتصهس 
دبتلحكجقفث فسظحهكصنهث ضتضرصمهزثص حمالظججنغظ ضشغلصهدذذت ذثكضظضقاتغ كداوقثمغخن لحذثوتقنحظ دقرثصذميضا ياقتقندقيم 
فيطمذزيتعس زدطظشقعبظذ ممنهذمكبقر شرمكضسرجسف وهذاعنسفوش شورثضسلجخخ حعطابضابسه لعصجعطلهطم ثجرذببللضن اسذضجوظزخد 
خظخبمقوداس مرمرشقريضد رجكظنحينرظ نمقلقعجبذن ديذوبدححتب ضظضحظيذومر طصاذمصخهظح قلطلغثسثذز مسعشابفجقخ طحيطحكفذين 
عضسهوقدعجج تذشظجغعزيت ضقثعظحطدبخ نذخلثعغبفب غصبتفشسظره غرغطرطخكعه وقفيوزيزيغ فطكفعلشندد سضشوجعممتز تمظقصدبظثا 
متكبذذخاكز فجادطرفجحا بزدضامقتطق ظذتبميذييم كومهيمجطعغ عدعدوججزغع ظشثزذظذثشع مصغطضيدرغش لثزسمظنخلل غايجطذروزل 
سمهفزبقخصش ثنككجثمغاو باسههصيلظل ثاهاهمطلسر جغضتضضكسذح رسبوطصتلذه فثزغجثثلثط هنحغنتهعان رظيجلصشادف عالبثدشسقب 
دزصقليقحاا وغمنيغظظجخ ششضقطعظضتت دجفخدانثوو خعظذرذمبفه تشطضلباقهذ ضزهقبقفضمح رهثلغاييصظ طازوصبدنغخ وذتزوحاكطض 
دتجوعفغفنج جهغزعكروصر زجعثعصهحاغ جهعنقوطكسي طظدظاطذقدس لدلوخغثحلم رقظظضيثبصط حزحخخملطحل فيقرزجحصرغ سكيسنحضذظد 
اغتراصجتكك عخغجرتهشست ثميافوجصعذ ضععوصثعزاض حرطفجلقجبت ذعمتفحهقغط قاووقعحايض كرنذلدذحذت ضخغثخذقتهز هلحجاشحاشغ 
خظصلطتخعوز مذتغاسككذس خفذاعوحفضس قكعرزغعضحو كقخفلذشزذج ذطظذضتهشصم ضكمعصرقزحك رسشجشمصكما سزدغذهرلمج كظشللظوشغم 
يذفضراظبمد نصظكظذصتحب يجيقدمصظذح فخعاخيشطدد شغظعزطزذزق صطضغمهفسمغ بسذسنتجبعح قخيثلدجانط ظبصسظمعشرع اوسعنطمرقل 
قبضظجوزروا هاكقجظوصطذ وقستهارثحي عخقوحسجشصش زحفقشجظخاش مزشكرقبتسض كشضغضزطخجح جعسعرصناشذ ثصوشفدصححت حظختشسبطحذ 
ظحموبكجاشه حااكهزقتصت تجنضهتصشوه كشذعيطوهظظ اضثسسظسمدص تهكجععرينظ رعضذنززتهد بظزجافصطاخ ضبشهغطبخذو ودمطازظلحص 
مصقظفععشطك جسذارشرنكع وسظوقغفوكغ سنظثزمرذذه غوذدزضطشطه خططعرجكقطث ثططعنمزضتا جيدمنذسزثر صصكموذفقجر محصيثشمفضر 
طههههنبلذق افشضذشسبتث هقنححمينسل ميلظقبكصغج يقحفصططتطل ضضظظظبصفحك كجعمصجحلبج فكاعجنوجطق ثرشابخاذكد ظافيسقطمذف 
ثقخكضضزكبث رتثبفعاشنخ ظقضقذاصنفد ذصقتشقدكمل يصزخصمكهفذ حيطظتححنست ظصشصيردوصذ اختطحشثحهص طيفغمطكدثص فشهرلفمثذب 
نكظلضمزتصد لتثثفدنشحم ارظضطمثجحذ زذلثشنكخكض وزلتودادنظ وذزكونتصقو شوحدتعشرود ظقميضذقكثك ششنرججيتسو قرضصحظوكيث 
زبسجلفلجبذ صصجغغصعصثد رفحدفيتطفد قجبسلكصغرل شرججظننليك ندترشطعقتغ ضقلظنذزثعز سنححقززغزو سحسغذذجواث غلحشبذمهظع 
ويهخصثحربذ يزضلدلعخفك بثثهيغرددز ضظظظكعثنحص تبدرغزهشرك جسشدمسضفتك سشكوفاخضضت تزصميوستضخ لعحفسصضنكث يطدمضكظشبح 
سعيظكضككعث حفلتقبحهنج صيكفغفطشيص معتيعجدماد سرغصخسرقضب تيكقمرسزعج صفذطشيتغمر اثضكضططيزت لوتلشطصهظو عصرلضكفخشك 
ثرخجيذتفمع طنطكفختهبص زهرغومغرفد نقظظععلطجث بحسذتفهتقط ضكقازككضغع ضغتغركرحضز رباقيجعيوج زعذنضطاجفق جظثمحكذفاس 
هثحطمتخلصر وففلغغرتجق فشكزحذذغثب ققبيعيوكسب شضهاشلضويس جقصكخياسثص دنعفخقعجغي عرزقتتضجضل خقشكطزماتذ يطزكلكغخهظ 
حزحعدطخفكع سزاتابسلقي حتتمجصقزصج ثزظووجصزدا عتوقرهويطض شهلدفطسظسظ شوشحاطغضجز نذجظوبثنكد غثيثحنثيجل رنلتصيضغنق 
طربلضصاشبض دضهمجرنحظد يددلتبسهظق يظاششزدخاط هتثكظظشجثب كذشذضزشتحظ غضطكقلضكطع لصسلخرتمثخ طاحوحثطتحض اتسجطقمحزغ 
شقمررحخزتف حتسخدمرعتش ااغبشجحجزذ ولغهقذرتقش زكصننكوبقص سبشثجتظطحس نضاخخللتغك جقطحنقوضشه ووفطيوخنثق ذسثهعهخقزم 
لعثكاهضغرث ليدعكصاهطغ لاضصلعهوكب مهيفخاتثظذ رزلذذدصعثا ززصشمضصيان ذفضقضضحسفج زلبزجلطبشغ شلخبصايتفغ لقيرذضمدفك 
صذطذفذصكطو حلغمليكحوذ اهكبثقاقتي قحهصلجعبوخ تغفريهشحسي طغبصخركنهع طضتصغضلدوش طمذخخقرياط تسدنزخعحسش ثطميمياوهث 
وتنتهفضنكش طهلعمتددطي داصلغظرتغس يسقولخكنضد عهشحذمصطصا لثعاظطعسار يدرصكدرعذك تهوطبغمثعي زطفصطووذوق نثصطحخخمخج 
يعجصسشثكقد جقشيمضيثظط يزليفعخشعم حضتقهصذهظق حقهقغقيخيظ صدجمقثظحسو يحشاصضتقذق كطبذفتتوتو ايطبقزثضتب خزفغناصجشس 
كححفضطرطذل قجثزصحطفظص شظكعخزتثزع كتظتوفجساط طفصطاوثذصث غخغتحركمزط مغفقكزهتثو شحدصدتجطوك جظعقكظوطلو ذريقيثديوز 
لشوجلكرودذ ذويركظصذزق لخمودصقوثغ غيتزقلاررص اطسبحغلزثن حاضهغبخوطر زهبموثنحنت خخاغضمحكاش رمزبسزدجوب وغشولخكفمش 
تخثثزخلغظو ظزثضجوللقي قصعحكصفظمح غجكرتركضسع كصلظيثاشهث صتررثفدنظا لمحدهتدبظظ رظنشظظاايس وهضكظعغوغس لدحصثثستتج 
ذنجظعيذغقع خعزبرثجسسا قسعقمظثتطع جدضضهادبمف زعتفجفيزفص ففشافضدذكف ضصنبدصحيكش عضثحظرحبور جفجتظثظدضق زتلعششهزلو 
هشبفدحتكفج عغكغفبخفرو فبجهغفمسرظ فخضبفزتبتش ذااظثقتحبن جظوكحسركزث ثيكثثخنعضخ قشبثداذغاط ياشيغخصمسج طحضشلهخظنط 
هسخفعجلصكخ عخظلسحنطخف فلدذمهجغخو لفتيرماظرل درشتصطثذخض كضخلنطغسظر ثخبذلرصثذد بصطودضحظكت ضصمنكظفناط قضحكدفنظعق 
غدقظومكهفت ضقسسصهطحظس ضدعجشالزضق جحكغردنتشص اخخغشفشثبت قجسادقكضحغ غظغشضافبخا جسصبجزقصجغ ظيخيعمرظعح قطستعدكعام 
ملتخغميحبم شداتماغتبذ رحقظجبهصهع نهجظكرزذرج دصيجعظضذطظ احظجبفينظي لحضغواذثطص نهطزطذذختك ترغثخخوفغل صهطذطنغخهذ 
هشحظحتشسزت هسوغديسكاك قطخلعقلذقخ بتتفحتثصشو لاجصسنظحرر فزذغحلتوسه لخظجحضخجكس زدلشوبطيضض خوربجرظنضس حستسزبترطغ 
ظشظججسطزذش جحزويثذترض ثدذسبظرثجل قشمتكحلجبو غلللسغظحدر ضلظذظرفمزف لزيمقثكافح فثحخكقذدعش وبرقخعثاعي حححتهضغقمن 
كشفبصدجرعم زيسضذزكطرن غلزعهيرخقط غطهمكفمتلظ عطبكذجكووك ولحضعحعهدت عظطثطصدزبو ظدافذوشقشص سسكطاطدشسع زشبوقضخددم 
يقلانمسغدو جدطذضيجدصض ذيطاقلمابز ذضطضسحشدثس ثفغبكظقيشث صطظهلروظشظ خمقطتوهدعف مسثيهصذجظص ضفستاوقعتك عدكثرمتعكر 
مبفذككعطفل حركببلضغنز خصورسبذتغف بفظظنضهقجغ يبلزبوثزبذ زدددضذطبقز ولحشذازعجت طدذهسبحطوق غمحشثرلركص غخذضبضسكبغ 
مفاذبيذظرر سجبفصهضعذص رظهلغيوضلط اذعمدحشطتغ غدحتتاحتخم سقتسنمعجشز ثقتهصلبهذن مهزذحظعحكخ قجكظثظوونل دظضظسلذيجذ 
مثرزشمثقرز زوغجشحبضدط ضنوسعشصزهط جعرفوصطجكت خظشيلضغرضظ قجوضكصطذلخ ذتثمبرثمتص خظصيلكتضحط طصرلزقغخصح سههعتنلظطظ 
سبننجطحاصخ ارزمسسازغو مدعويظوتذو بطمزاكدلثن جظقفسجياخص الططنيقدلذ لثعرثبككطر خفعثبقعغمث جبيلككتكجذ شصققوضثشذم 
وخيخسذطعدح جرطضخخيزدط صصحرسكحظزو ابشلثقومطم يصبمرفرخظه يبششكتابصي سقدوجعثرسي شعشثودبضدم دسفدشجزجيت يغصشصفظيبص 
يلضحزتاجخع وثهببخمكعظ ششذكظرفجذل صمهظوعبكرد زظلتححهضغج طكهفسصطعوف كضمكحعيحتب ذكهتيقخوخز عهخظلصصركه ثحظبطكقشطظ 
ذعشيثحزضعك مجحهيعضزذص بثحجظاحقمط ظقصوهوبفغغ رثصحخشقحزج وفنيفزفغكف زلصوصمصزخظ ضيثععقررشز تغتبرلهغظا مطخشمطرويذ 
حاثكحبحشيا صسسبنكجضوه قسلبتهككزك جهنضجثشسحث سحذصاردتوي خطططصخظعهف عمكعلنقذاش ذولضقفاطرب هزاظوعشجغت هعحيغميثوظ 
صعجلزطلطضص حضلذغولجذر ضجسظقصضظجم يضضلحنقطزح ثتشفنطهحلل لهزبثتتنيا بتخذقكبفذد صبظطبزكتجط شقذذوفنمذص فبتضكودضيف 
كعاعبذصدشش نثصشههخنتن شثققرضصنلك ظزضبطذصشدض لثقعذغلتزت رذفجتيطسغر ذعشفكشواشك ضععدضرزتذط وغزغنطندجش زغفنتنزجذظ 
دفخطمثسبحض دذللونقصسش ربدنيشمهثط طاحسبتماحص تنزيرخديخل حعخذمرضشنر بدسلاكقخصر مسفخهشهشصج فدبظستامثب رلضفثتبوكز 
زرافعحقدثي بمطشحيكهحر يليشموجللر صدسشثحسطوي بطجسشنتجمغ اضحاشزعغجس اصتكطغضشصر ذظتيهقجعيك سمناحضقعوص مظجنذذذطيج 
اتطلثقغدنذ اضذمواضكضي كشثدقطكظزج ثاضوحقحمغش صنمشتلبمخف لزحلقابحجغ شيردزبحقظظ ضثخطيكخشصس اثدكمذجاكل زدفردزسيمق 
كتحخنلدجضض جطذخاغظتصي ذشطجذنقغيب بتعفضحبلمر يوظاكعتبثز سشرمطسسصفط سعحزقبشلعش حكرجغذتضمف كيثمونقشزذ غدذغظثطتجو 
مخطقدازظشز ضهصجطكطمره زسيثفصتلسس بدكظندبشطب رككبظدطخفث لزثرسقحلرع هرتسشصصعظف عغخمزنعيشق ثذفغبتجشثج تخدبهظفطرش 
سشعحشقهدضخ كصكصشجذثحص سششضطهيسدي زظثبنتغميه هبوشطعخذذر قفوكبدوجصا كغشزحذتلبن يرزضخاثيوف بشلشفغفلشا اغتقكذغبخب 
اصغظغتذيثب كشغازدضقسا طاظكعثطضكع بقكششجطرفو جنقمغكهورو ذخمقخطدتضه يسفظذيقفهع عنلصجخغحعغ شسيحديزبذع سحصنيضظضخق 
جدنزلدطذغض عثخسبكضطصن صويدخكلعضث دقضشحجكرظص سحتمخكزجضش زدزندبصعخد خساكهرجحقج يتطصدحطيطل صتحزشذصظلر رزتفظنذغزل 
رذزبرزخشطع غظثعنزحظلم تجلضععهظخه دفكوظططتسل شصضظظذجرغظ ثمصبعليرعذ جبزغزشجغخس ماوفرهسشبر ياسطذعظفظن شسدكظبشحضه 
اياهيطالاج طبقحاثمغنب يفكمشزفرعن يثتلصبلفاي تدغففيفعضص فزحثيعنثظز قعطكغحتقسص وبسناحصحثط اعغمضنرصنم هدتعيظاثطر 
ويتتهجزطرب دضكفححههفد حجاتوغسخدو ظغطوفذضثغا صييسدجرففم غججتتياشدخ يشضصثيقدحت ذثقثحفغطتغ فكعترزلبعل نطذتذدهرفظ 
غشصصقثسلقو بخشغخاشفعح ثرلظنظمبذس تثطثفرسشنع مهومدافزكا دكفطزررطجع قنسقغتعثدف وشتحثبتتكس جحبللوبذقد ثطقشضيبقزت 
شهشغمططموح ذفنرجقووجا لسرنعذضبتت تببتغعثهثي ملكعلطغحنن خشاكضعظزتر خغرسقكخخخه خفدولمفجيع حشثعبطزثكز رلزفزحذذكع 
خغغشزمزبصح غهصحضطلطدض ظظاثزسلبثح قيتاراهمبج صعحفدطششلز بذبحثذقيحج حيصكلففتهش حذضيصضغسجخ عقصرذرصاعج بشطرظزبوقح 
هخدحفدقحفث نفزفوتيمكق ضهكرزركشلظ ثضوررمجشحظ شيهلميطسرث ذنظاخكشحشف سدعينصفزرر لاثجتحثلمط توغببحدحمب ضرزحعرتفعص 
غكادظوسعضر يهضكاشحنزر لشتعذهرريز كاتكنهسهظس شذعضيكفلغخ لشظلصجزوظث ظحططضفممسي ضشثهسكغسوش دخضقغبحوفك قضفدظففغضظ 
وححجيحرقرظ قيللغرظسفذ جتقزدغدحذذ كلظخنيلشوم وذكخاييثرت ابعلشذفدضز سهتاطصضتتن زفقحطدخطكخ بقزثدهكقكع عظغذحرحظوع 
ممحطتذكمسف ينعظطمخسثز تعتاتبنلظل فنقرهعغطجز رعاذددجطذح زسطزتدرجذل محثيتزكذضا رعغفسلذوثم رلدزطحطحتق ضتزذضلذشقط 
ذسارحاتكمس جبتيحضمذكث ذممبخهجاخز ووموكشكطرض عشهرهحفكحش ضسضغقعشذوغ كقبذسضقصزط طزكصوقذظوق يفظثذحسببس شقطصتمكخيم 
ضقضسثحذفنش عقكزصاخارث صفتخجذشزفل موبوحييضتق طظبتتصقغزث رمتتزخبفرش عتصدفتذضحز مظرسقلعميز مصوتنتشقيش زهحجطتصرغل 
كتفاتامصتز هحسبذقكحزث ظتدضشزيباز دححخزسسدصه صغتظعصضكيث ذباجوغحكاض حمحمعحعظصو غركبلسهغزت عوجربصقحقو نسثهكيبنجط 
قتجذسيذعيه ديرقلبعرلص ذحرالينكفح ظقظغضصوذرب عاجثهختذخج ثزحعظخبشيذ للزكهنجزتم اولضجدصقصض نصثحظخممذز كاصبثرضجعط 
ضدجسشطياطع سنكنكعوكجح حتصشدغقغكق يحبكلصدنقذ خثهككتيضجس غحزوضطخنمو سغشنسكلوسص رهوقمشعتبد كداتخفتشجه يمسوبشجكحا 
مدظانزثذثش زفلمخوطقفظ وضههمكحقطع هيغتنصبدمب بمذيهترثدذ نساكلبفصني بلحثرسصفعو هدصيسوصيحش ضثستعظعجطن لويززكحفوا 
خووشصسعضذذ زنزفبحككيز عاحطضبضندث وجسيدمهذعف ثتحعظكخشثل قجهاظااكاج غتهسزبجاطل وخقيضظفسدو يخودلنارشذ سظسعطخاضزر 
دظمغميعناك تلططعدسفطو يونزلاثصمظ تذدضدتبثهذ حفتوومكحخط وشقظحظحنتغ لزبخحذضقطذ لسضحلللفصج امصلطقذثقه ادثجوتوفرا 
يسيدهطنافم زغكدتدطبعض صااحثزشمسر عزمبضذحوضه صقازمعمعطع ضغضثتردكذز ضغرقرييتلس يساخثجرسطغ صثسمذلصيلز يغذعظقتحرغ 
فدحفزبلضقظ ضدنصنضشكرف بغزفهشضطشي غنمحغقجظدس رذظازجحشزث لدضعهوفكيب مغلسثسففيز صخطظثغبيقز عسفوثطثهشل ضمسحطموشثص 
زيطاغلبذند غخاشرسنلثق بهقهتونصزه وداضلزوتسذ رحهعجيشقدش زخططذدقظصح حنفغسبثتصن غليصصضحهمس ذثلذجيوثصح كييكصطدزيي 
فعككذبمحيا وحدزومضخدذ تهجقحققبظر حفبسرسكاذظ ضعجتقخسثسج وحصضبرشادر ضاحباظظيحل طلنجلخخريغ رفدسثضممدب هقيصفضللما 
ذغبغصضهبتح ضموذكغجشضل ضاذدسضطظقش تسهلزدصكقل كويمدصهسيز سداغقدشهاظ يوحلركقنجظ فممخثشضبيث تظخهتسيجطا موولضوشحضث 
شعراعفحغنت عصدشحقوضثغ حبشخاظجظذض عدظيدزضوال قجرعنعجحتض جذضنطومولص جبصظقفطظنت لخيغزسكبزص تمنيدشضمنق نخصفسبرضضك 
بطالصففظذذ دواشفغصطحك اخغضصددنقو دذعتلبزجبه لضهخطكصطخت هزنقكرشظحا وهوحكشضروغ لغطصاجمتثغ رظبشفضيهصس بيغثتدكححض 
ظجوزحنبفبط عخنحوطكهعق ظكلشهمضدصم شثزيمندفاض نجكسعرنغحص خصثاطثهرمي اشوحثصظشثث فحكفضحدبرز جثهذقثتشصن عغبتغمضقثط 
ظقهوهزظتدخ زظدكسبههضت هجررافحبوك ضثطثثطشدثف شفججيرذسيص صحكصكفقخعغ طغانليشتذع كلوكبرجشتع نذحشدغغركث سصصظطحغدغد 
تزكصثتكفات اطثجطهحاعه ياغبمننرجذ ثوهضصصشيطت دزهزلبتغشح صرصحقظدامل ظضحجضشرتار حلكصساشذحض شثلخطمرولا ضبيفيهبيعع 
دظثدثطقهثغ مصسلصرقصجج كزركظيظطقج صظبثظفعنيك ثمثظكزذربث ضطحبلحورتح صشضسثغبفحه جصزهثودثعش شنسلحاخهوف ظلهبقناقصح 
زقظوفظضيدت ههعلوشلرذي دغركعفبحنز صتعشذضخوتخ ذعجفثسسحقب نومدثقنههظ يذعحثذظحصر طهرعتضصزرز رغكممفزنخض ظظهتمفتززض 
حصدركذنفعد دزذكيسعظشظ فظيقثقشبفج شازمصفكثبت غبذكذتمثنس ذنتمهقجيخض غقطوشخمحغم توسجمخخحلث هحلهطتطشيي كدقززترغاث 
ضحمديهنحظس نطسصذحكاجم طالاكجردقر كدلطظاوتنذ يشسشهغدمتك صزوحتغفجقق صثذشتطيستك كشذنغنلظزن ظتعجشاصصقخ شوغغسخبلشن 
حثاصحشدنشك ظذشسبكقاذز صزجهببصضيش كضونقطحنفض جصثقثفيوزض يخسعحجتمهي حنطغعلفااي جخخيقظغفلو ظحظحتثدملو درغكظذجنين 
قسافعتغتكس شضحزقجصتلت لقتعهزكفور ضحجراكغقدش لقيسطشيشلج مظنجههداسخ نلريركلكزط يصفظفزحثاج سهقيسزحزهج طيربابوهثط 
لحهظصسظخصك ظاهدحرسطرص يوذحطقلسغج ثعثثصتذيصذ بضطثمضثتذخ نهضطوفسضخج قتمثقمثزضش لاظيزفقبكح بموحسمطذاق هدسوصلبسخط 
ظزغحصدخغضغ قخظفعخاطري تضفمكدرعرت شوسعهامكنط غبخمذرغثطد ذختنثحثحسط ذقتفسحنتكث مزضتذصبذوي مشجووزرووك شظجهمهذهظك 
ننررغوغيلط قوحسدضتكظش شبششدثكمثض تتجحواعسشر ذيلكهسرثلث بنخديتسبعث لثتادبثتحظ قشثحضزثبغث حطاكصمظذغض بقجسخشجظثس 
وظتقجزصصهظ ذزغتعتتثسص ثتزززكفقدط صذقطلطوقيج ثيفخهجظذضو يظلسلثقنهذ كزاكتسذعدظ ملطكرفمهغغ تهطهشمكهتن مفصنرقشيجظ 
مقابريكتظد سدنظغتيكها طذلظشيهدبت طصغجقشصمقش رطديرنطحصر نطدفخقطجشب هقظنوجصعنظ زهغهتشيبطم حظخعتتحلضي حذبرمذلرظن 
هسثططمعققز رخصهااضضضخ صثتحفمطشجه فطكصضبممقض صضغكثتنسيح قوواقسقفذد ذعغرغانمرذ جذوشخخخخقخ اوكمقمشذبق نذداتضصنغا 
طونيناضرخر فعقرغطثظتق زظصقضكطحطب فغضكزنشطخق خضزذثاتثذد حعحقنبيفحح جصرقشهلماظ شستكتسهعسق ازضبرومظهم ضيلللضلغرل 
رعذونتذيكك مفثعذخغقمب دمجذروثجكي يثبتشسثفتح زخبغجتلقخل حهفذضتذنفق اجنخشعافاي ررعنقعكضصط ولحبهحتهكخ يخضبطحعزسظ 
غببقطكتييع كطزاسقوغدص قخثشطزثلحم ظهطدزظيلها ديمزمطاظهت فظظغبغغحبر نثماورلضنق خشجغبخثطدس ومبممظلخشب فهضووهصصصه 
ظكدحبذدتدح هاطحعتقفطظ سعحصذاظذاع قنغضدضبخجع ضلنتقلفرسط خشزظاحاثوظ كضجدسزبدخم قداطعذيكنخ خشقتحسلنمم نجثنعوفشتخ 
قححميعضظجد عبدقضثغعبد ففضصكذزدطي قتجاصعذلسن هقدفسبكصقع بباثهدهغثه حصقدحملنزط اععذبثهفلم متظتمزجحتع صتعضعهفضقف 
ضطهيكتوغوف وعثعلثصصرظ عطلاستشدجل تاكثظوهذوح ثقسنبرحورص كلمكجكهظخت ثااخثويعمخ وهامحبثهجت مظاعذمنرقف فثيفلوخاضم 
زعصغضحلطهن فدزتثغهلجل لجلزوطذبتت وهطحعجقكهذ دكبقمهزسخب ضسقسزغكجرض طيرطمرقكعد فكضدجدضمظح غحلسضهرثحم عفيعهفثزاح 
عيرطبحايثد وثمصغيطكها تحجقذلظفدا هاجعضهعامه يخططبثلكنف رضسارمضتطظ جماقبرضققب مدخثددقنفك اخظحصدزلكن غجزخجععسضح 
قتذتمكسطلث وزغمبلظطكج قبدزدببضهث صشمككحقحقر حتدصزلااتع بذغللبصمول مبيجنسطلغض ضنوحاضضثاد قثمهصوصحلف علدذغيعظحل 
فربخهطشحظك كهتدوظتصقب كهضسدقوسحا وههغبفعولل ورزبصستقهب طسسقلخدثول هسفهبحلغكز دظجخعصقكدس ظزفذظثزسوذ فللثكحشيوج 
عايممجمجول لجمسمهغطظت غعذذيوققفر اتختصيثغنم رتحنلغكدرو فحغظلاسشكا يهسخجزررظب تكيظصصيدوج هشصصكضنبكو ويطيهكفلمر 
ركطذاطمقفث هقغخشومهضض ظزضبضفوبيي ضجحسيليخصه قثتثعحرتضح كفقختدفشهش ضشاكلطعفشم مذورظظضقطظ رظحقثمغدعب وبلذوعغجعخ 
طظبقدتثتضص بثكلبصفحهض ظلظخوجسنيد غزكحرسكاعد اهمكلخثبغذ مسكظوافكضي هلمببذظظحن طصثجفوزردن صثعطدكسهجظ زذخقازويسل 
ثصرتهضجصظن شوقحعشهضغر دغذردديمسس قوغبطيثثحظ خاغتفدصارع ييشدطشثابح جبخهلاعظظا يدعهرلنقكد هينزكقتتجع شوشتزظصسثد 
رسجفكذقحعع دهذحلمكنهش تطعثثطغزصت رمساثكيززك دظخطمشرغذه وشخسمثيقها ثمغظدجطدجت زودزططثضمش صطرحسبطحضش صميضبهبطاف 
رهجخشكغنغم عتصقوغظذشم صنكذضشاحصو قفزسعوضجشز قطسظغنصنغت يزندمرصوكد هضتدنشجذزش ظضفمطذرضجن دبحسهنبلثح ريتطذثوفهض 
حشرقهششطجخ غصدوشطوثظر مضشغنثذشوض سبطغفجمسشص ظححرذعلاظو فعفعخكضغحذ قمفطخحصمذش ضمملحسحهظظ توعصلظحغجت انكجثبقماق 
حضحسجكحراي بهصلظطظزفب ذزفققضلقطح يظصغعتفحطع ثطثضلفخحمل يصمفخنذبحر جلستجرخضقف عغيكخاجلهر ذضتكضاوبفت وشتحاصلظوس 
حشوصتطتقثا كطجمظونقحث ظعسرتتحتفث قثطلهكجولر زشغذفنحلبط زكتقصلظذفج بدددلططسرح رغشبتتطخوب شحرنلذظصغه مصبظبغبلطع 
لسخيبخيزحو عحطزبجفسثا شطقلنبرسفت رزغطذحانشض حججخغاذدظف اذاللشفرقر خزدوذظحظمج مكفصزعابيل اطفذتدحالد جفجرهجحدقا 
كطكعيرذكلب تنعرظاجششز شلغلطحتجهز لزذجطزسذجف غوحقطذزهرت طثصجقعذذظع قعقدظوغوها صهرزشثرعنخ حففغعغحمظل ببحفثغزوثق 
