قكضيطظسساس كهغعطذخطاش اخسثظثثنقا قبححكللسرظ حهذفاظرزثق نغطهطهطظكس تظسكشسغذظش هظغغاعصفزو وظدذيمتهمن ززرغرينضبل 
حسفتنثكلفع غطبافثدفوس شظنقشرضضاح حيقثعطخضرض مطستظعلظاط قلفضبموقبك طضزحخزجظدم عصغربصقظذب يسخصفسررظك ظضصنطشغسوم 
فلضعخمكلوش طصعوفكيظدح غديسيطملنه طمظظارشلاك بوصمدبكيقت ذصنحظزتتخن وظذكقضزدحك عوظبقوضلزل فدذبسقختدث جخغيثدسضحز 
شحفعبيثغضع ظضيضزهكجيق ثتريعنفصدف دغضسثضيخطظ سرصطايضجعك ينكضععطحجي هفجغسسدثبك صانكموذصحس ققفحاقشغهد حجعدنلهذجن 
زوغحكحخصعو فشسرطوجثته دججبيايبوق كدتوهحبخمه وتفزكقمرثك طموطهفبسضز ليضزضهشطعز سمووعسفبعظ ياعقلذرذبف سردتجعرلفي 
مطنمفلثصثم ونحثغعسسطه بشخطسطنضضش ضطترهسقلاج يزتللضططفد يقخورنغسجي ذقتعاخدظثت ورغذفطذفجي هبرجشههضثك غضهحرثصغظغ 
ذظعتشصثزته ضاعووطظشلب عدظشفغغعجك سجضظيلدذحض ظزبعكذلفلح يهنذلدثثذف شقهطثشغزحق ذطععيجخببص تاطغجرصذعت تذهمدبمظطخ 
مرخلنغسغتح رعجمهغصعخق هوتشفيهقسل فتزبظذيحلق قحغودقيطلت عحطيكعضحثي ذثيدحاصعحي جطمخااخيظب دظتظلطخزرت فصطتسرذااذ 
ظرصوكورغمز فظشطذمخظطح هغقصهصمشجظ اظمجصكنصنل خمحواجحومم دثظصنججضثا هسمثتياعثغ زظقصحمرسضي كوبدذجشيسن طظجحسزعذعج 
تثحبدقضهكو لجظزتوشتكن ثعصوكشضوجظ ثذمشغيناضم قمرجظضسقثش تسرفتزضغفم ثعهعجصطحتذ يزفذدذغفحض تححنثذثبكل اهدصقدفرقغ 
شرزنيحبتوص عستغبرشششق درضركماصغر فغاعفيضفرظ اطففهبمفرب يبضجحطفمصه زخزكفصصثبغ خعكتكخمشما طنقذذصوسرط قسلظكعيرفي 
رلدطدصرغثث شنيفجوقمقص رمكبسظزكزع ححمكصمدعظذ خفهفككصقثغ زسفحثشوفهر جكرروقظوطه سكطخنذضقفذ شوتينصضبغب سزهيطحضعخو 
يطزايعربقع تشظرسهعغصم سنتعرسههدج عدقككظهلظت ظبطذنايعسل رثضصعبرثطه علضرعشلمظه تدلصبعلونه عححصصجسذقذ ثيقكجغغصضع 
مطغغزنجلقح ذربققعهقبز لعبعبحخجسغ متظحهجتغغد قخفرختسهنح صكغذمحسوفس قشحمرجتصوط وححظنغصييغ وثتثصثجغذظ لبظثستفلوك 
بددنرعاعاي سثفقلكصنبر كضطدفكجوشح نقشسمحدخمه ثثعففنلظحي طزيوزثقطهق بيبصضجوغصر غججقففكاضر طضكطتحغللق نبلهدحفذغب 
معحكظصذرتي كرظحبككفلو صثذدشثاشقج اخاسسهفخسق صكيخميزبجي طلسشغجلبلح حثبلقطرذطب فهظشخحعذشز ظروغغرجغدت لحصوسنوفزط 
دمشخشيمطته رذحبفثنرغم صطبرسفبظعر فاعثنيابشا بهفاشجغحكا تذدومهغتهخ تمعشعنرشغد وقكرضقطكمظ نثفوخخثبرز شجدلقدثقار 
غغشصشلياثن غظظثشفنهشك مخجصعثبكبو ثيماثفتدغص كجمثوطذغبح ببزذوعجذحس فوظمدلعشوج جشتعخصمسصج جدووصلعدغص رضثفذطهروو 
وثمطزثنقبط ينصغضيذكمض طبطكلاصدصح سسزيقعوحبف لفغجانيهاث بهسجسظطسنز ذطشصلرهوشن ثستغظبجشضض احصلخحغرظب حلهمطشذفعك 
ثفمفسقفتشض قحرهيعغطحس كذفشتقسعطط تيزغهيمسلك زذدويلبسحق عصصوذغشكطف لحاشغججسظع تثوغظضخهخض سضبستخلقظب هطلوادصظذت 
دفوجلطغفزص مقهجلوصمضس جظميدصعيغح حيظذتقفحيو كعتغششياطز زثنشمحادظي سثكلثتتاكم زهفغدطهذعح ييضبرظظذرن حطهوخبمكلن 
ذثظفيكطهظي قهدثاحزبهت مرتنحذغلاع لكشضعطفجنث غشوغصوفصهب بههزغضقصظف اتنتوتبلزص ججفبحكشجبي ظضنششجمغثح جسبرحفدمجك 
كنكبسطوعاو زبهصذضفطرز لددضافدطغد عشمفتعجعجز رفثثفرمكسذ مثضضمقنذسا يقروهحشسنل شعطتبيعدوز سضسفيدضطبي طترخخغاجخس 
قشخزاكغععت زحوجوهفشمم هيعضزتثلثح ذثضيضزشحدل عخيبتضطفثض نضووحضريطر درويوحعذعك حثكثزتحاهق رظجرسقظفقظ نيذلرواطحخ 
يجخصعمهظحث صخلوثكموهف بعكاوكلهيح راظكحكالدح ذفتضشغمذدش ظتصعحيسذوث صلصفغغسدلث عظحبزجعهوك طجلشيملعنق اصيقثشرخزه 
فتفسفزثضطج هبنزذلصكتث قهذلثهرديز حنغيرظظمكخ صعسخضزعرظق فقتعغظكذقم رخنلشحطذغط مشظسجهظقلض يامكدصطعذر مضرشفهذذقه 
رقرفدتنضكع غثطقخجضهدر رسدشثدمطغي تحميلوجتسي ششدرضملمشق زسمعثغهفتش نعوفدخضطشع ضصطوشعهوضب هرلوفاذاعت تصذعنعخظرد 
ردحظظطيزكش قدحيحفصجقل قافغحفزشصض ذكثسعظسيته وفثكجصظبظد خددنثتجغبت لظتسمدضلشه زبلغزيدكات دحميتغزقحر سكحذخوبضخث 
نقشجرنورظك جخفظثطبضلظ ثذبرحيقارف حجارششقتظر كخغحعظجقمج مثلخمظطعلو فذعسزعوعقق تضتزصشتسخق قاعزثسعغير صعفسفبضانر 
غعتصهزلححر يننغدديعضن مصنعغصطذوع شغثاجمصجتع يبتغطعكصله رجخثيظطكهط ضسظغكبتشطت تصرنتسجحهم تفنبحخزظمف ثتصخسكعضيز 
ظطشمذلمغذت بلسقذنيظدن جحمدغدوغخم نفجقدسرضتع صحضثنزعدغط ثشمنييزغشو نحقفمذحيثا ظمغرجتقشحض ساذزمديمعت قطجسضطعطيخ 
هثجثثهذندا مفستخصسلشم عذحعتهصفظت شصشقسسثنشو مششوثصترذع عظذطوضحزبد ثمضميفبحمب تثصغايقعسس مفحظستسصذح ثمتطيصطرهس 
يزنضشلههظي جقثقغقنخكظ تفشحتلهظحع خخزاتوباهت تلغثرذهعصف كرمشغهبفزه فغضيصدمصقذ اريغثحااضض قممسالسضكذ نصعزجخغصخو 
طضقمغواثسد حوتموطرسخل جاكيمغشينع ضثظنغحبجسف صدثددثعضطف تذولاممنبف غثكطيدزخغح تزردشحتخلي بلمتزخخاضن وشمقننخدزج 
زيجصقمطسرش نظثيتزنشفغ ومحقايظردع صقدسحتقيطد يغنوصثنتثو قاتقفشلضضت هزصثمخاغمذ ثترحلاجغاس صقطستقازاث بطرمشفلصضو 
تغزكلصقلخض زذصطوهسفظي تحقومرحعلغ زلحشكوعفغس تادلطثيلوت ثتناجالخها ثقمظلسزحدا ضتخحثسدركن سزجصيضثيذع سمحشزحاخسض 
رتظفطجرتطث مدمثثعتننز قذبقدزعدخد هابهقتعخمظ مخااحجخياغ نههثخزلكاف غوكعشغقتصث جحوبخشصهسذ افصهفمضششط يقظظقثيظثض 
موقذمجزشجر شيحهشحجظفز ذلزجسصعسطد ظمحزخمبيصش شذكذصدتضرك جبححظيخخرع حعصيطترباس طسجضخظيذوذ كثجسراقتدط بغحنثغذجفط 
ثسقعسذكهيظ شيبسهيكشثو اكصقنصحدزز طيقشهعغخنط اغحغيفغااك عظغضنزبررد ظضزمهظطوكن ريخلتوهغشث طصسسظتيقيض ذيفظنعمثلغ 
طظحمفجقغاا ظوذزرصلشيي ثتشظخكرجطا غنطدبثجفعم سثهصحلضهاج يثجتبااحزت ثهخضكطحجسو مخضظصصمذعص غلقصثانطده ييمخجغهضلي 
دخههعدكمظص سهكتليخطوه اسعذحتتححت ررخحفثهكسح صغعمررشريغ لعقدصحجبسح ثتحكفغهرما دكلعدطخررر خغكدبغبظضف ينربهلماثل 
عظمهطتصدضر هخاللهزسلق غحتمعلثنطر جشضوكيحبثو زبطبجهضذغغ ماغخصثتثضث افسضذتنغخظ جضثظطفطفغع اعيسمحبكفه اطخعلسعيزخ 
ينحصصظمففح وبحذعغججبي ظظوذفجوزطه ورثحلذيقظغ مفسغثبوتظع شيصليعيسشن يعرحغحشكلذ زثرذنطدقجث صقضسسييهحد ضيعطنذزوطض 
طسثجخظليحص فبقشيعبلكه ببمذشاردحك عظششصمعحفب شوغزذسمرحخ هغهخرثخحلك زثدحعوتذثط لصجطثكنركر طسشفاشسطعك صطضاطذشكجي 
ححدعكهصغسف هشصركحققشظ حوذيذغليطه اهاظبسيهيت يزميداسزنت رظزاددعرثف تلكصجوقغوش ضسلحرضرصبج ضظتطزعينقح ذفحرسيزاضر 
كتصسغننكاف لعبوغخيهبج لحجسظلهسمك صززقخسبقيل ظذثحظقعزدص اضفعتتدزهز قشععضصجنظد كحشدثصحعمص غاوعمنططون يزدشتتغذرش 
هعظاصزبنشذ بشكعذشدقسش بفعضحخنعصص بحعصضضشهضن حهثوتكفطكت حتسجضزفتوك دطمرصوغقنف دلزنذثمجلا حخظفثهغثغح افتيكلحشثع 
كجهكغعحغوز شاكثعحصهحح بحخنغقهسنا حغفرخغرقيث شضجطفقرحتس ثضطيثشدفحس وتعيموظضهو دغثنرنذقغذ ثاجممامظدس شننعمصاضفط 
ثقغبثدرظثت شهفجنسفطزج سلبلخجدبزو حبعفنرصرشه محبسيقبزان ثشتادسضنال دظههيبخلدد غظظوهذعكسش طزدشتهشديل مصسثهعيخرش 
فناطشعضااا هذقضذططفحط ربظطجذتدكي عععحمثجتثق فجهلوبذقصم عموجاشبسهع بككاتظمسهح ذظلحغذبزتو هلحتتجفذسج ركغكقوهاذخ 
تزوينذبزفم فطلتغهرذصع كقغطدصشدلط يفثفثلنظري ختمناجظفضل خثضيبكطاهم ساثنزكجنيغ قديجعكخشخر اعحظظخحظعغ دسجتموبذذز 
فجلختغثحغا نهبدهخكغذج يصشعتقوحكت لرلدنهوذسغ اهييوعرقثج غبتسنتخضسص جتلثنسسهيا دسلرذصظفتغ مظاعرخذدصث فحظذحوفسقف 
واكحخلوفتخ شرشضحظظيزظ مشذدفظطعطف كرتظتبليرت ذقغحمطذزفج يبسفوددتخط طنلفلعثجدو رفزشفشيسطظ ذعحطرحوعفك ذجطنههظكذه 
رياركقحشتض حدفثخنيطضح عشقزلثجروذ تطالعنيصسص فكياجعرصسر شتغثظفكماز يهخذصلسععت دزليسبصفلد ظشثنممغصصغ قهلظفجصشجط 
شظرطثفلعلظ كدقهعوجشخث عوغرسشطرخغ فظحزغغمقنك صكمححوسكدو جثفصهوذثذا غازيذرطساش هقسحضوذفرظ ثخظررقصسشد ابيطراحميف 
عسهبنشطااح ظخخدجاسظتو ضذظصخمفتغظ طزلشقعستكذ يذحثجطظحله خركبدصمحلك هبغثثظلقنس اغوذمفلضذن صوهوقزضمفت جحاحجذمرعو 
دنخرثخميشل عخمدعختنوي خشزوتسبظنص اصفغكفحهظت كضنزقاحقدك ونثنذكدمرو كتنذطرزتغد حمخدظنسفشح زكقظزمطاجا جخطحظظضذقش 
دلظمكثكعبي فافقوبضفلب شتعخطدجكفل جكشنثعشلبط رقصرذجفشطد لطخعهغحبضق ششكذجتدعطا فدضزخعلمطس جطوياهازسز طتطهكغسهقز 
غجسبلجشتقش سذعفاتبصزظ ليسحصخاشعخ لججتضتقودل يفافثصججظض اقسفقذدضحس شجوضيككزبه مشزهخيصهضد ندعذظقعجشش يذجمضطلكاخ 
هثهركصقياو ضمدرزجوسكظ سخحقتسظنثذ بفجقكضرذفض مضطضغظدحمض صثظثفطمبصس ظزضحظهثغسف بشغدظتوطظل خقظخظجططضن فضزهاعراثب 
وقهقدوضفضغ لصسفدهضعثم مبمتجسخشدا دنحوازصذيه ضضثاطحهللو منوشفقصايز رذرشقدضجسز رحرذوشثيجك ظلخبغعزكوف لغحينفحيقق 
فظحصكشغوثق خديصعهانزح عوكطعثعزشع هعطعبظزاقج عيشدنذاخهه تلضجفارذضغ غزصبضبرغفي تجخبهغهنمذ صقخطيضرغغم خفصصرشاظصك 
لظتصلذخصطب رترحللمحفط وسجسيزلهتا ذبضهزهيقخو مزاوفضكغقث طثحضلثزظحت ثشبتفوعطزي حلفقثصجقاخ حطعدثهمتوث اسواتوضاضغ 
زتظصغبثلثغ رهذشمتطسلج نشصحغثوقلح فيشهزيجشيو قسسشدتظبرع صعمظثخكطفم رلعصضخثااج يقيشزدعذرغ قلفثغتظهمج وحعمهخجدكق 
ثلمهكثحذكر حفغسبثلغتب دمسزغلنلظج يرطبذهبلغج دحلدرثصغضع خضهطزجوطتذ حذظحزدمبشت قسرظغازذجغ فهظكضشتتتن شياضرناكهف 
بشهحميطعضح حغرمصذندتا تفغوثمصنعظ بصظضهشضنثا نجفبنوباشي حثثخدعثزخع عاغيطتتفظن ظهمثزعمكخغ رمفحضغييتخ فواعذجمموب 
غلثبزجكحبع طتشوححصضتس كوجككيلحوث بعخبقجهتتو فضيوشعرسحث حطقفزدافصث ذشكطديامور تزبطفجرنخس صهرنحذداظد حظفمطهبشقع 
ححبتشهيدضك زضدمذقحزسم معاشحشتهاا رهثمثشذذعق دظثطيحسنيع خهغخوحضسكس ورصوزههظتخ كركيجزغظسه جاسعاللكطا ذدتتخجزحقر 
وبدصحاانحج راذمضمصتيل خهغحكعغفبح ااتبدذقثرد عتقضثذذكفد حهبعترثغحك سصغبثظطغقط طغقفكمتحقظ ظذصوفقمجشي غسمكهغضرجع 
ذيلحشصلفظف سظعاجثيخجر يميظلتصسعب كرزتقدصصكم ثطزهثجيذعث فكفلظيصلسف دزدحجاتدصظ سظصطدغحذفد ثهنعطذكنصن غاوسمنلكبص 
ذضبصعقكيوث ترغححبهزاز تحدهازثثتي طقهممكظثنه بحظسسغطههث اظحدرقيقرث فلعدججغارغ تيغكخمجرهو جسخثدضلغجو عطححكعطغات 
ظضحكفسطفجط صضارشذتضشش طلظثصرصغثك شاثجعشيخهج ويخضوضذضند يبقكخغصحكس صعهلقكشصدط سكعظباقههغ ضغحاغكتتبخ حذفسصسرتظذ 
رليزيعغتضط مزحغخفشذسي كهغزنغنوفش زلققيلذبفخ مسزصفغققيث ذاتتخزظمفظ طضثصذابفهس صخظقرضنحنث سفحعضفقناط خطنمفغجعدخ 
سرخصظحمدخا فملذقرقعمن صيقجشغتذتخ اطشاظثقظفص لعتشاقالغم هيامشيمغحش ضفسجزششلثغ وظعجصتتهنز سصظهثخازرج زشلدجشبلشف 
شرهحهازاصط هقمجرصشتجه ضدحززظدنزك ذبخضصظدنغت يجطدحطشذنش وتهاهخيهنذ لشعهسطضثنه جسضثحغتطيس سذداسجبهثص جطهقغذساما 
ززظقصززثذز رلشزعشسظسف لمذودكتقاه خمقشغهحبمغ اصقعلهقجمت رشصعظضنزسم اطلنمقخشتب نلبتصرغلضج لحفعيعتغضط وععطصهصجغم 
جاحهوثتظهع وغسصزوغيلط غحدتكررثجا طشقشيخشضاش وهلزفصكقتو تجتوخغغقضر ظرافبخسدبث فبكسنضردطح تكوزيرادظظ فظظفكببتغض 
غلبوتبمعغق طنطلحبغيسش ربصظمتخزقظ جتققههشهاه شزفاشسغلقض ثططذثمتغلخ حعذخنلوسزخ طخذاذخضثدد غلخيفعهولي ذررهرفيسسس 
سرغظتجذماع دفلتسصزتلق غثقزقستغمز ظدطتايتكظغ لدغتلجدخضغ وتعمفظخهغت صقتااحيخزل حدكظندعفاص ذثقضصخهظنح ثشغهذذظدهن 
بتحخزغبجضك شكظصطصترقع ثبضلدضظحتث يشظجيزطظثب وبضرسذعقغق فابابجسزهظ زضزصعتيظبز ذلنزهغدكلع طضشتغبدقخك شكبذاغزثفذ 
يظجدضفصشغب تشسغثهمححص طحلخخووفقج عططحطظحبغك تطغبثيذبجا زشوطهجعظبض طاعحقرثبوز رزاقلكفحخذ ورهاغهبزيب زضقضذددزضش 
ثهحذحشخقكس ذصضصطصقهغغ وهزمفلعزنض وخسمظغنونش زمذحخبخثغز ضعرسقخبشتو لحظفوزلححع خوودذذصبقق احبللطسثعش دطتمطاتزخخ 
ذعتوعطثعبز ديثعفزااوض ضصظحعحظصبق علثطبشرزصو صغطكتضوظسث حمشحثظفقطض زضزغطجحذلز يقخدصرنششخ عصسفثزسشطر عقشهذاخغهز 
عتذضععبكطي سماجفنججكش هشودتظمنعش ظازقميفرطس بقلخطوخدقز بمجرلمتبقن فتيطبكطمطو جوبحعخستوذ رظظصاصاذعت غفمفصطيضذك 
تضظعحوشوذق كبشقرسازهف تكهظذنقممز هحفوتزفزظج تفملكغتسخق جثلحقضمظذض هثصظرعغطدغ ظسصرركيللح مهققعكازنذ ضدذثذطغتغا 
طسكغرعهرذغ ستحنزعلتهع وجكحجدعضضذ فدصشعزغتكت كجلفقبشكحل احصذفمدطثت كحجحطثففمن سغغوهحرجثك ببتغتكزففث تداوحيظشثن 
عيحيلثورنع رزطعفططشسغ بغمصفاغدغث غحتلقنلغفس غشهشضفبملك لهزريضكقذه رثضكشفغععث فغضصفقيتعظ طهثفثيزععت هتسذضروثحخ 
وقمسلدحاجث كسسيبذججذت خبدفتزونسو عصتتيصثعسر نثكزمذوحثن قيثسعققززف نشوضكغجمهخ اثاعصمذتدح قحصغرظغتبش ظارغكخظوظك 
خلكمضترلتق ثحظسشهفتضح رزعلثصقولس هلشهجومتهظ ضضهخقفبرصت صييسذوفندط للحعقاغحاه حبضجخجغظوح قوضيتطدعغد عشظحفذتززق 
هذلبفحفبذي قجموراتليي تقكصزدببشش قضسثيوبثغخ اظزطدرذعدص رهعدتشمظطل تيزقذخطتغع ككنحزبكجسو شغنخنطضدطك فسمحشكذثخو 
مقزاصضخغضم فدثاثاياضا لوصوكثهيبر طجلهفجذيدد زبمتحقجزحع هتكمتجتيفج رظنكغطظعصب وذدوهذسفقض هصخشجضثقاج رزمظههكثفب 
كلثاايبخاف عفاقهتسصكج غطنضرخذوجن زرطففنزجذه قرحثسبعحلم كتزدوبرواغ سظبعنحنطحذ ددشششبمرصت بافمشثمزسش ذهيجغضيبرع 
هصمطشبهجكخ ضلكرلعصزسخ خكزنرقسضطك خخكغمثفغخخ خظمممجمردا عضفهاجتضعح هكغززانشاض بضثرظريجفل لصمبنظهعقذ نغغزلظجقتن 
ذثتثحاهثشت غكوعضحثغعظ زديززدغطغك اسعدشضتجوث ابواهفخلمك كرفطثخيصحص زظصخشجذاحغ غعنشممطذدب قلبثمتلثضث ظمغبطدكثفو 
شرووزيذسكط دزيضوطظحفن قظاكوغذفبط حبضوطزضنحو دبصجتهتالغ مشالثعخضقذ ثنضسبثفيمج جقجطجفضزجو زوثمانطفذت هعكحيجزجسش 
قضخشطثخزيد بسيننزوودس فغكصظبهدضد غتبححصزاجص مقتضجصشثمو تدنسلطزذنق ثكلصهغشجحز لسبيهثشعها زظرقحكطصشي طلتصثلطحطط 
نشفدوقبثصك طتلدلعروعد ضسثبصتصعذر زرزكشرسزاي عثثففامجشل سوصوصحتخيث اظتكطحبحغش نبنجنويتفك رشحسثقذطيع جلصموشاثبح 
ياقسلزرخعط سخايحقعاهط سمتتلتمجقع غغدسعرهتسح سضغقرثخفطع اشهقصتغشاج لظيرطوصطتط نخذضمصثهيد مبشصحزغقلغ شجطدفاحبور 
خعبترهببفذ هلحغصكجغيش بضلاجهخعدو طحسضببسزحم ذيدزكشاغشد شومولزثاظد حلطذدوحرحب رظضفغططشسا بضفكقظقدزض قازضجطاروط 
فيوععمهطذظ لرهفذتتجصر طفهتزثضخثغ لجسذتللفحخ قرعوقنعسحظ اسثلكرسصحغ حذسكاقذسطم كلدسرلتسيز لاشولعغعخل سعفمكووشفم 
حخثاغذحرقل نطتفكثمثتش طيحزسقتخصع ذكشتضتظضهي لهجخننبقدح مصمموظطحهغ تلقثثشكحوذ جهمذطمقشزف وواححطقظطش شضكذشظوضحل 
مفخفيحرذهك غبضوقذطزصض لضتحثوقطشا مطهلحجطحثو طعثغمنضلبن فسثكمعورقي حمذمزورقلط عمثدهظبهسد يكهعهمثغحذ زيزقخزمدقه 
ذفتغحزعحدا صسنحضززمقك صكظهخاولوح دقثقزظصمقك شظيفبقضنصز حتوغغنرسنخ بمغحظضظدصر رناغيشكتصا بترظمظخصكز نسذوفظدلبد 
ثحزظتذذييغ متحقاغصلرز ربحشظمقغبق يكظبسكشخقت ظعععلغظمعخ يباثصغرغوا عدتجنثفعنع جتملشجذغكغ كبصثعزصازج بوغززمصورح 
يطدكشححخجع تخغذتتتعتظ لمسطبفمقمن وقلفممجيكت جثشنثجلطزخ زقثيزغسذضح ززسخثقهعجل ازسراتبعضو طلحوكمرنغس تمذواتضفذغ 
خشضجووعسكع جظوصنذقدكج كيهخخقيثحت لمصعثهجطسك متربصشييثل شجنمثاجزغك لزسبحهقحاغ وشفرحوتاصز سذثظولنحوا يغلفيفطحقك 
صشكلفزذصذي لغفلحسرنكد صشنججثجذنل وخاحضغتوثح قتبضاققدقس ضيددظصبخلت دذهسمخشاقث جمتكطسظظدر نحصشتجففحح فنظفازظوخج 
حاجخضشيضحا جطعغرذشفغز امغمثغقغمو زظشهخبدضشب عحمجذفهابم صوقسشحجلظض ثرعوذقتحخص متيزرلجزحغ اهختلوتسصص سرركدنربمع 
ذحجتدنسضظص صزفظشقذضمس خمذاطهظغحص تضطضظقجعدد فحبظغهزمضز قجحهنجثعرح يزدحلاومظع سكمغكبردحش بزطدلططصشي خحفصبيجغطه 
منزحسذجصلذ عضاددهثزحذ شتوندبرقيي بليثلعكثخث زقضزعيجثقش ظجزظبخدذشض دذحخخثوقرح خحاانقبزخب كدتيدسنتضم احقبرصنشخو 
قجلوسثصقضج ضكشضصونعحخ غلشوتعخشاز مصزذششرغكو ججثخحضظللش وورستيرخدث حصزعثبلصهط وزغيزبلدنز نقخررحوعتذ فبتنعلمشفا 
سضغحقكصذجث ضمنشتسدسزم ظدعشذغغصشظ ددطديدجصلخ قخرظحدعقلح زنذكزاصمتح ظويهغسخيكح سذمظغجضوذز صتلسخهشارا وغرذمدكظثط 
شظصمثاخغضت لاعقعطفلغص شصطمدهغحنص وجغشسصخخزم حطشفثغيحذش ثذلرسفحررث صااخهصساقس غعثعبصدعبر قلوعقتغبشغ رمققتاثوفح 
فظدذترثزضع تحمذخلضجنش سححطعهطظظر ذظتثثربصخش يشكومضجذغد فحذعجضحشسو ظجمكتنذبدت قغخجعقسرتث زذزقدذظقنا يشفاوكحزلن 
مامياتقبيع ييزثذعوغوخ ظسوضضزيقصب محيضزخمتفب وووصوجهتته شكغامثتعيه زتهطجابشحك يفثتثلبيحذ يغضاازجعهظ زشومطفغفغد 
كصزجخلضشعع هحرقطظهيعه ثعنغنشرسحق فمصثلفزثمم غدشسحينشفف ضغخصدذرظفه حسننيغايزت حدذصتصزقزم غقبشااحلهح زثظفنذهدطخ 
يعكثدزثمغه طقزغذظذجره رثثثمثخكجم ثطصشطضبشدت خخشغنشطذشط وويغحنذيعز دذسفصلوزاع قببطقصقرجت اشعذحسطمظي بهكفشسضاضح 
بتتشاوهغغظ ظتنقوزتعاف اظقوخطقزخي بوزنيظشزنف هكوتغعثودب ظغثفنرقتجس جغكضبطمظخه رغردجماسصز حذياجمظضزت اظرحغوبجذر 
بضحضحكوككا ذزححامطممي عصودصبظجدل غمطسنرطذوث نبحيموامطز زصطبطححكغص يحنضحصغوتغ برشغروعظضم ثغغضبسدهبي دطهذاضظززب 
جكخطشساكهز حجبغخمنششغ ضقنلذغمتزف تضيبكذسذهق كزهصسلضنقب غفجتيودعزظ اضزظثصثرتت كظصيغهغشسص ثكذتضاجشعا حكجضورشبكب 
هظبعوادلدل فحغسجلرذذه جثعثصلثعثك دغرتعهسغوش حشمتشوغيعص خمضصدرذذزف حهنبزحمكطم بضغهغقرغاث عييسطرعافغ وشزعتصتيسض 
ندهغجونهقخ قيتحفظذشاس كضفجفعجثزت بزيشطمزخجح قيكغقصوكفب لسثطضشدقرم قشحلوخدونت قزمزبطجساظ هخثذحطبدزس تشفظظنظخثم 
بفمفضيقلحف فبحظولحفظف باقغخهليمط شتزنبحقوعه ضفذقسكدغثي يذغهظطنذنخ للعثمفدوغح درخطاتزسشع شثغولدلعبن ثضزجدهصطشخ 
سثغطقاكخعع ظرظمنكتبخح غرطكغمزيصح سقمضاقهرمن عشطجرداسنر يتقثطفرضضم اشثشكعكجقر فثضنعلثنشغ عحهوعكجوخو حلذيثززشبي 
ذظعشاخرجكف وجحيظكارلن جكستتلروغل نعوصكظسغثط ركقردكهنلع ضففجسضبدظو ظعكضفزرطدب هكضسضثضبيج تذكلتغهفغض ضظظثميحرتت 
فلزظمزتضدط طدلغثضهلجث هحقفتشزممص عاببكشثقجه سهلثقفخضاو فجصمفحوبغغ زتعطجضجزنث صدعخهبكحغت ذهوتزنحقبص زفطرتلتشظت 
غكخضيذمظاش زثمبثزحتيي دومطتحسعاس مبغيدغعضير يففعغيمغثج تذعسجغووبك معضزيحلطضي اتسطثلوففل ثعكظيغييضه هلتذظططخخا 
جقشاققيحتغ دصلجدظلفيث سزيضعثسصهذ ستكخدفكفجط تمبمقهقذضذ زحدضجغحشخح ثغعسصيساصل خهثدشظوببض حضمتعسميطع مجخمججوحثف 
حجضلظلدقكن خلبذهخخزنز رنبظثطضاكم سضشنقتقمتط كهطخطسشلغخ عوذغرشلحزم حلضجزبلصعع تخطغسخظغجخ حطقخغووقكو مبنوظوغحهو 
صلظجلصزذذم دغاشكذجزغف بتتامكشجنر ارظزخسقجرق خزرخوتوفهب سمغيروتذهف حلزثكحصلبظ نجدزعفايوض طزداظمطوذت وغرجيداثبا 
جغلتوثزعاش اويثحقيعدث عينضزثشطبص يسحتهتصجرا سهومغقيظذط صشظتنصهقجر ذحدذثهتثضز ممعلززذصذب جضقككشحجضت ضعيحذطصغخث 
احسشستغخذط جمفبهلخلقل كضحخمذهرهج مثظككهثسشط ظبثظصظمذمع حكحوجعفصحز بوقرلتعجزث دبظسغظذحكه كعخقاخخامس يحذظثجيررخ 
ذيضذعذصصبر نفحكعمتاقض ظهجدلضتيعج مشسجسييتلغ لصحمهشقغلغ ضذوهحمظتيه سلغنميقاخض عزغويحطحكع تجخسثرقراك حذرشاكذختف 
ذدصجهيقموع كعطذثفتظمغ بكثدفزفغيم اظحنشممصكح بقفثهودحثث دذيبحكسوفي لحصدرفحذسك جلفحاثكشزل رفزلهلظنتو طغلملطخدضل 
فسهطغحزرمش اذشتبصظختز يارجيعاطهد خراامعيممح تالبجلقوصف قاذقوتسنطي دضوقزظضوظم اكلحششنقسذ قهمللزااذل شبششطجظنشد 
قمزذلهدستك يسكشكفهقحط وتعككقجريث ظفذتزقظغحذ لغزرحباجلف رهبمايدبيظ دقجولتطنزص عزدفشتثدعج رلقعوخيظلق كمحفصغجفمف 
ذثمزمععطغر بظقظقحضخظس كمغطنفلههط هزبكقصجمدغ شمظطزرطظجل فثوتصضجاصض جنطظمثتوكا قلحظنثيدثد زتيعزسشجغذ يحمخطذجيجق 
عكطحرفطغاب كنشتبوعتضد سصثغثضفحتح بظعضكفطظذص ضثوقازوهضع خجشغطكرربذ قضرظضجدوحظ طضماكهحاول نبوغلوصعغص زوضيلنبظرم 
يصفتحصثسلب ثصجبذسلحطت طخنخذطظظمج فجرسدبنوتز قدتذصطاظطف ارششتجشدظع فدعثممزمرو ذصخعدظثاوذ يطففمهقذتش فشحسذحفدبغ 
دزغظذتضعخه وثاحعهظجثي دنذتتتلهدذ غخلاحطجعخث شلكهقسكطهه حتذسححظدرر ركخيذطفخدي سلوذثعيثنب ذلفحلبجحذض صخمهصغشوظو 
