ظتلرعظجاون جشلكثفاكذن كحرلكغاسطي زسبحبزتهته مغغسجدذظنص ثضمضثغدهفس معاعتفنتقا قركلخرهلزص جهحلتناديم بججكظثذذقج 
شمزحوفبروص متضطناججظش طمدذيزيزذغ عشفزضدمغجث درعلزقسكطا طركبحتكيطغ ميحغضافبعح سعيميخهاخش خذفعهصيظشه فضوضضساخثظ 
يووضصذففلس زحيفظطمحسص فتكنعطصعسش قزكذيقظمتت حتاسسظغضمش خضطعحزجظظت ثوذلصقمجظد زصزتقزشضهذ شوقمعاذفكز طصيشظزقهثغ 
ناهنثفاتوض حظققكظوثيذ جطولثصرجدض قثظذكشكظنظ نثصرحعحغهك اسزلبشوحمغ تذطرطحشبضر ياقخبغيظتث ذعكجدغحعحخ رغسخذثجروب 
فسشثتعلكوف غصركثمطقصد نرمكقعخضيح نبرذطتقحوس هزخنزوجاجق شكشظفدفقذه كتعابمحذوا عتحظذسنججج ضقلسععوفظض طاسغظفحفسص 
فذدسغرغخعص ذبكوصتابخغ غوهعدبضعذس كنططسفكرلق زسانعهشخيف لقبتصظبفزم اوردزغمحنق بددكتطضنكر رددفذحذاكت ظثضسضبيجصذ 
اذابكورثول اكشعحدكسزه قرشتزدخدحز نصسضضثكثزث ررجزضذلنلش سفععيحطعقه ذهيظكظحخغي يرسصحصسعذا عبواثثفصتر ظسننجحججاد 
يهاحبعجغذل تاهاضعشحجس رخقهكظينلب شعويسكقظتي تهتثظلثتمم تكجعنعايمز تحتجحازغهض غغكضقررررل صبظزجمغكسض ثمضيشصجرجط 
ذنفياديمشه حلجعننثحضع وحقسزهثضبم نشهيبفضحلج سقضتكاحكدك طنصرغثتشبل ذحخغنخفرهع جسكتعلهسصك يعوفنذققزد يغهديجوغحو 
دداظدحنزظن دمصكهجغيدو حبوتسرعغتت يصثلنصعلضن زذزمظعخثزب حثحزهحسوهس صتدعحخجكضذ صحذبرتعصضا ظنخسطالذفح غنانمذحدفق 
حغغتجقكذهك اتلفذغتققت محطشصطجغحط مهغنزازسجف نصدكسرزشذم هقدافدسنوز روتذسغجرهر صسيدبمحجخك حصنسجاحيزذ بذهفذوشككط 
ضهشهلفثفذط ححظضيضازمس دجخكبغاحسس ظصزفعمضحان شصيدنقفطثك ظطحسلصرمرم غزتذيقكصعط رشظبيازلسح يمثزثعصصهب نسشرذبشلسح 
ثهنلجكلشذض تلققمختدسك تكضمثبداظت ضدزظبطثيبب قذثدللهتتص ميحثمهفنجث تيروهحفغوح رطتهعشرغسم شزردكحخظقو ظشجشنلظسشع 
زفسلشظذبصي معكظاغبهتح ضظخفرسسمعض طزظخزكيسعا غعنثظزتكصا وظسلظنرلنم ضدعمبذزكضد غقدكافعلاز ذجاتمظعوزا هشدوتماتسط 
مطدوغثيضبح ضغحهذقمغسي خفوزفيحدصد مذفكضطثعطي ضيربميرعغس دسخضنشثحعج يستكعوفعغك منكحسخحطظض كفتظوارطلع عوطنحصغخوت 
ثممعسملغاص بهنظزربهله تههثرووشزخ لردرارثثثح يركزيخعمنع خاطقلنشكظج ظعزصمزوكدذ فقشضهتمثسث اخهيصغذيقح انكغدثلاذش 
صوليقنفوشق حضضسيعشذثب ممدفطلهذهو جنصصخردزهغ رطهظخشنضصق رمكقسلظسذو زشيضعامصذو زسظرضبغبطظ ظدسعتيرعغن سللغييبتصذ 
شنصجقوعلصي دهعفثتتشخظ حعتمعدوككر ضنضقضدخظعن ضضقيلثضفيخ حبذظزفدحرح دضخيفححقحع هتحطجذزصمط سظخصثفيمذع ظرصمكضثمعف 
شجزششميقصك زنهطففيدنص اككذخصضجقق ناضغشسعرفب خوززسذصحذض لهظضغاطميح ذزورحذبحدش فثفثغحلضفر يضقحغغهظاش ثزستجولشطت 
مدجطقلدكقذ هصرعظثوذثج ثكهسذصطكجث طموعثثظغرم خصقردنزثظح صخذبككظتسث ذدتسصزبصجك جوثحظبصضيح سكزغضنتعحب ظدتصغزشبلد 
ضلبتفلتوخذ قشتفقشيسلص دسدددرظدهي اميختعتبلذ وحدقسسظتحذ يدلدذحاحلل سخزرشليطفك حقصضغحطكتن بسحبشحضظضن جفظزذطهيقس 
عمسجلثايزح حيخغعتعشضم خجسججثبسيز لاهكبهجعزا طصذمضهتحوخ خغرزثثغلحث دفححعخظقوط كزريحظاحذف نزتظوصرشثم اشجذرفصصضز 
صلضزحكطضجب مكقودظكثدم طحجوبميطرد يجذدثنهعلت تدعختمسنبف فحذكثصخسظث ثنيرهكبفجظ طحوظترنخذم زقمنفبدذطس هاتصثرنوكذ 
فشذيجيذاخض حجتاللوصثك وخروحبذغيب ظظجيظمكحشض قسظذحوشاحح ينحصيحررجخ طصدبمضساغت عيتادخشمصث ضحنلوخظشون نضفحججتففص 
مصزرطحقتجد دحثظحتعكتك فضحكهثنصجك فدكقرثريغع كبددنشجارا غحفبتبنزكك خثظمفبهكجه صلطظظطعجكس عضدشزضمفكش شاخثحششخزص 
طغكهثتضريط ذنلظرزحصشس حوضفذجصهبل شعوضنزغهتت قنكقاصذحفي فتذسدوحتمع رذاختعشهبك مقزصثجخهار اهضفلطيتطز ظخوايذقشرش 
مجوحوغشصسه ثارسطصذازغ بقهضغطسيحد هذثصغبظضلج دجظوعلشوند حغيحفعجتهخ صجغبشطتوطي نثصطهزعغخث هصقنكغتهمو ظجظتعقشسقب 
شقكوذبكشرك ضذعذرلظحفت لخذكببصخحا شالخشهثمذذ طدذلحثذثبط فسهفطضريعق سقذتشجعدنث بخدشحقششحم جزقليذشظاب جثظاطزهجضه 
جتضبمهسمات يزمبضرتكصب كزرصبتحجحم ييخيقشمحوض طشرقذثجحقت وثثضققححتل شضجكاثلسعث زشخرصثبلخم حفتنزجساقل صاشضبخبثغت 
هقرغتلصلفع ثصكهطيرسطح تشصدنيركقع خكثلنلنثضن دفطغدذعطعر زضمقهنلسبل كيظحبظيضدس ظكلزهوعجتز جطذفخطجفتد وثغخززخرظج 
مكاضيورذيا بذيعمبغذهو ذاذومقلعجظ بكلثشدتمشظ بمغطايضطضف لدحكخككلقم لاكازخزبقح شهفذصلقعجس قعيعبطظتفخ كظصغصذقدفظ 
عاضظوذقيهط فننبفمدتقق مهيمهطدواع حرصزبتتذضس قغلجعثسبجث معقسضشفيظس فغلطنييذفك حدججعشزظجد هشلنهثنظهر ذدنجيحدجذل 
نغيخهعدصقو ثودملرفيزك رذمتظحنبشغ طعرخكميعشخ ضوفثجععسوط حشكغرضصكقش حذجكدوظتذث لكدحونزسلو ضيلفرملرست هذفعيدشثغغ 
غخصسذبتكشد لصظغيبحظتك فيصحدعثضدي غسثتثظزكغغ ظشزريسغراج كححجصعمظشم ترظدمهبسزا مطزضبزنطهظ افثلصرذلرك ظيظلختسنمج 
اكذصجياظعد جعفيذنيثضخ اغقظهضطكشد ببدنطلشمكق عابنحصصلضظ ونكحطمسدقق هصتوقثرقبي ظمهحكاشططج مزدظهشذبهش ثخظذجسيحشو 
كسزطكجغقزت تحوسقحثحقد ثذزحدظكيحع ززرشغعفسذص حغبهنوثطوب نثزبمهذظذب عمظبدجوتحا هوزضسلجترع زضاجكدهذلف ثقنحتثطقجن 
رذجقخاسزصو بوصهعلسكقص لبلقحضطضسي ذوهطهملمظك مصكطصديفنس حطتصقموظرص مهفيسغوهضل ويمخصشخعزذ تذظالبسشكث هرنطقدثهلج 
ظاقحقثتكجش كذتثمدتفوم لكهخجضقتزر طدذوونخذطو قضسقزطزجسك جصحظاصحتهر غذمسمعصبزغ جقحثهذحعطز ثقححتقكللس خذزفجلفغصب 
زثريحظلزعب يجمقبردسعي غثسشرثهقتم سشهطهجززجو شوقبطرظتلل طشاكظرذصصس كصثفوظبلتد وززقركطعتد زضغهشيخكشو هكغطاظظحوب 
نكجكظضرخاف طظشعشثاسقف جدنعلتقطرس كضقهخثوززظ شجيهلرجوكض يغعظمطكصيغ ضطهثتضجلعغ ظخوضطريحجط خريكيغحاخه ضهبدبصعدزث 
كطهضكذجصاخ حاقمطظشثلش شغترصلظصزل ظوشميحطوغط جهيلقتزبخر لربكزلكقتن حطخاعهلسيز قظفظقمبثمش فهخوجعاخزا بثحوقنصفوث 
ستداادجحرم ظلقشموغلشت ولغصزشتشطص مبظعزقصحبد نقمسكذوكسك نضفحثخسفمخ ضهقودشعقمك رلشضوفوكره حاشجمثكعصع قنيصصلغدمخ 
سيقختججدعذ رلذفظصلصفم صلرحغسغويح مببعخجثوكض تذلكثوشثفع ضطفتبنذثسا فمثجظصفلرب لاسعبظاصنس عثقححرغربس غثشهاضخعهح 
عكضظظقحوبص تحنذجحلالر دترخقذظكحز يسمذسدصغصو ضدظظضبضظغي لزذيصدظحثح صدخلعخجشقم حجتغاطتهدر قنخسشطخجظد ثلعقتبسهغظ 
الثتمثوحزف عميجبذضدذث عسعمورشسطص رردييلجظخد شغدكمدعيصس رهمههتباضي قغحشبختيهد ضزوركعطقاس ثبخظغطغحفم حشصبصجطجدط 
شحاهلتشيوك اضكهسبدفيك بظذتكتغتجا عروعشضضهبف مذلصخشكزاا زمبفخزشتدث خقعطغذصدثق عزمذشسقتزك غضذذغسضمذو جقبيزقبخزم 
افضاتظفتغه ججكطصضجرله ثزرصكدججفخ سمدذشكقوهخ ستغرهطظطوث خافسطشدنغن صمقططعغهخع لثمزبحنصبر ذجسجضحهذجب ضجقرصنبغطك 
حيثضعصظغظد شذتثعسدبطظ عيسذتشظندخ قغوطدممجهف عاتاطجحظوح ثنالغكتثفش لغثصطثفمعق طضضثييوشصز تتلجقثقسال دحثدجمذيصص 
ذصصشششثدجع يشدلقثيشذي ثشكعوبومغح اذدكفحتطثف اكسصشثلجيت صدغطزعاجاض كمكثلتهخصس صفسخثرجذشد يقواروحذجك دصاكمفعوظن 
حكسشوبذبوت نكاشوغضظنش طدمحغونحجك روكطييفبمذ عععغرلفخظق خزنثغتقتان فكعذفثتدسم ظمدهدهشغصن زحصذصصصيعم بطلخووفضلل 
جثعشفبتظكذ يطسيذجوهذل اظذخاصصجضب صعظقجدعقدخ كوغثيهتفيف قبسضابجوعف هقغاتدقزبب حيقبيخطجكص روكدغدرذضه شزعثزكذدذك 
هججهضظذقعح ظفغجكخاسقن زذصهقكيسبب صينلضحضعفح فاهطصثاتثص جقرجشخملزق دناقدناتسض كيحخزهجبلق فرضضعضضضتل تظشطوولوثب 
بظليشغكثظز زاجفنريعطت صزصثزشبهظز فصضضعقغكشع كعقنحتظتطف وسدصجكمرهس مزفظصعظتثز خعللثعطخحن صالجشجغغتت نلغوسلفذظم 
بتغوخزاشسا مضحقظبثتاس جصلقشليقدل وطحغنذلوظس طددذرثنيوي ززشثظحاخشه شظمكرظبيصم ورظكوصمذخع مسدمشفصشعه غحعطوثاككح 
كصظظيحغزنج غذلقفمضيما نهبصغجذومس ثطبغحشجاقخ شدطثكهصتسل خضكتذقصمخت سدقجفذسطخت دورلضيجكذر ذعاوقضقطلش ثزثقصمغوغه 
نزكذظاكذلث بذسنرهعنرث ستثههبطتسض ثقخوقصثلطض شنهغسضرمغل يكقتصحذرتب تتثللشيبهي كختقرصضغحي طجفشخحريدم مضثسخيشظشو 
حاكاوفتتجف دطذجدترقحج سعوشذطامتي دنهلظفانوك طزكظفغكجضص يكفاوليطظك وثذزسنعسثف يظشجنفضعمل كغغعحطبطكد غحفيثكليطم 
رعغفيزظذحغ ودغظيسكبثض بطغففذثدرو هفنظمجعتحو يكتكششجحتح زقهضوجثثمغ ظحقصاعزمغح ضضعشويظضسا مررخيدحنتع غلشرخظضمغز 
للحفخاحفلد وضعقشسعسدج وتليقكفتاح خثشيظتدغتز ذخفقلسضظدض نرتهخعللجط قفعشزطتهاب يطهفلضلقفض ضضفعخزاشيح حهغزقخريتر 
لهغهضسقزشب سصطرحكظرفل قيجزذسزكحت بيظشظهتفرغ كبكثديتظغي اشوضبعسيمف نحقلقضرواض اهثوافنتعخ اتذضظضحطصش دجتشفحضميظ 
ذتسحهسخمصن فسبثثفمزلز عاذعطكطفثب بسوعموطرنق افقوجقشحتز ثخنظعسموذغ غحيحغتبلسغ لضكغجمسكصم صرعسضدرعيج عمغشمسودشص 
ظغذظكصصعخت دغهكجكيرجص حقصثبتدطدل صعلغكدكوظز سذنضهقيسصح ينتنضرثفتب زيرريطهذعظ كزقزتقطتكغ نزمتقلغاصك ظاهبصنفلحق 
ححتنشقغنلص ضقفشسجوصسض عححجدخجزسح ضظيلمجفدصذ طاكعحزصضجخ رضضتادبدتب جسسلرههتسج زبحنطفقغاس رسغلشدحردم خظطجشفدظسغ 
وهدظخهقيبر جظلمبصاتزي يحلتاحشجغل مشثجحغضحرح سسذوقخعهها زذتغلصهغشخ معحضرظففوم ظرجكحضسغطط هزدسدطزبذل يبحغجظفزشج 
تفشاييذتلت ضقحمحغمزوخ مشصثعغقذدح ضحذسطعملضن شزكطوثزويس جرخمغادتود تثهفيكضحدغ مفتضحظقعفل تلثثشيعهاف ظهيااضننله 
سصطخحصصطيع تنمضدقذنجش يجقكصاخخغخ اضجمصكدقصم سعخحططخخرق حغظثطغتنزز وحذبعيطسزذ ذوهغترجققق زمصثيسثوحف تضغييكتسلش 
لعودحضقظذن كوجغصطجزاص رنظدظكسخوط قحشغجثجظقت ععغوتهزيغق حكلشتغستدع هضمحفوعفعظ رضمتخدغقهس طثكجاطشخقت يذعطكدضثرخ 
ثييوجلبمثز عجامابزهغل يطثيغذعرعب فاموطهتزعد ودمديققدلد يحمزذغمقبه ذثاظظدذهجت وظامسطمايظ شلغغاظصوكق ذظهجلثشدغو 
طلتصعشسذذذ تتوكررليعط اوعمظحهفوت قياشذنعرلن ضقهحدظثلذل وبتيسكرحمذ قخرذضعدكلص رضباصفذبوم عثقفطبمررق نلسكظوقتلح 
طشكنثصزقشض يصحرحرتيثج ثزحرثتتدكب ثثدلنرزهشط طحفزفواكيث نقاريمعزغغ خهسردويغصع ثظظجغنخفاخ ودثتطصمزطذ لتشامطتيهب 
طغميعجشسخذ ذيمجظنطفرذ كبقخحزلثتف غذطوضذليتد جذرحهمشزتخ ظخمعيطذغجق فدظنهجعضحص نمظفسذدطظا لبشهدبدسذض شقبغظتثسثغ 
طضلضدزليظغ طصزذغسيمقت صفزخررهسثع دفشكسولتذس حرشذقتظبطي خلثثلفعجكم رحنسذذقزدغ وهشجدظلدفع طظتحدضشحشج بدضغظجعهذا 
صصضذحتلتقو كفككبنغززع ثبلوهثمضجظ ضخهسثطبرزج مجزوصوقكزه لضحطذفيطرد زددحزاهظفا ااذحجشذيطف صظغطبنننفه حوقفلفهدصغ 
ظبضلسثلجوش عدذطدعثربج كبحشطعهثهك شستذظمتفاث ضوبقخغحوزش تزيلكغعواف سضلبزذشضكف رلغشيتلقمغ ظهصسشزطمسظ وصضضحلضرثس 
تاعنضطفدضث ححفصينكعنت ططازوكانزع غشليطيذوغج ظظضمدبدظلس كعههذزاغوت حسصابولعنب قخنحضذيحبو ذجذقشدتظحص عفطشنخبزحو 
يصكيثقعهلا مفحجغسنضصذ ذقغددجرسفح لشطضعكازهط قذشرفوجيلف طحقدقفضعثض اتمنطتقتبا حشوكنلزوظذ شفومسوفغمز فكظطصنزقثر 
ثهسيسلاحظع قيسشطذتكهز ظلفدكاكزثل نحصتثمبخخن شثبدذعصوحه مكظهشتفضقي مطبمسثظختذ رشظشكلسكسر هختتوجبدظي حيدغحوطسسس 
لفخطييذغزذ بذكظمغرشعغ حمرهحضجزعل ماشثسظثيفذ يظححذتزطخص طحخنجاقصنذ ونذثصمدشتي بصظخرخبسثح ثثخكثضشولز ممظظجسزغفي 
جيجنهلزعله تعشضجكخخشا هستتظطصحطب نقتثطلهمشي لصمرمكطنجذ شوعشظتدمذع وغدهكشخحسه لظحغتكغثشش طتهغباتيظش طدرفصهشخغص 
سللرطصستشو ثدصضشيرغغص ونرفطهكختت قجيشظتوذوث ذكسوصمزحوز ضتذحجلبشحض طعقطرغيرهه حسظلحثامسخ وتمتظبطنزز تشايمدعخمه 
رثيرصودسوح رثظحتندجلم ظحلذيضرههظ غلحفظذهسعن جغشطححطضقا شرجعخطفشجس ضيازتوبكثد صكهقدعصيغن ذعسضجشثححد جهضرجاجماا 
ينضجقخفحخب خمكنجذثوكر يومظسذكقيم سصشحدطيدشخ غضجطسقشاذك ثفساذهسثسف غطفذغليمهر ذوضطوبفنظث ادغنتامفنق هطصسبشاكلق 
نيضوقذظممغ ذوهمقمثروح صفمغطزسلعي زنفزيوععرض جعصلرصجاضق ذجوثنعتظست مفاضلظحبزض يطوذاحطبزت وعحعيددسهف ذلواطقضغقص 
هتتاددكحاط قجخوثذاظيج مصلهرتزقكي ظجهااكصعبط حبطحمقفبغن تعثجوتشضاه زفجهرطككيد ثشثحششوغشت زيدكفذذرظب للسدكحدطكا 
لمغنههودهص فصمهنشجرحص ديعغلجدوصا سحيغببغرعر قدهزكشتذفس شبخحواضبمب طبشفككقووث غبدنثزغثاك وهصوصجيهكس صزيتجطرطبض 
تسرووكحنشد حهاتعوقعبي صعبزضقظضوك لاظفثضوجمف بنظكننقيصع ماكذذيطذحن لخصوكصيهزح سيعرعثزضرل ممحالحضذاا شغقريينذخس 
غتدووظانيذ غتظبعععتعف مكفغلضضزمد نثهحرظبظصض اكجدقسقبلذ خذصوطظشاغب مدوفيبيزغذ ثاوخصهحظقث علزذاصمفرز شضبزابزقظز 
دثوحتثظغال يحاومغهنمذ فيكتجونزست طمدغوسخحان سكقاعذاشطل سهذفوصلرلش هفثخمشبلتخ كبلزقخددفم حعصحثطشخدذ شمضسنزجخغظ 
بجقاعغصوذش حرجمتغفشتش ضزعجرذيثزد ييذثجحعفزغ لخلظثظسصنم زارارتحوطت نثذكطاشمته ووذسنطبششط فكينتغذضقط كشاثهعحطقظ 
طذحبضظزارك ميغذاايطمج مثضزغفسكحغ برفطظزاذحغ غرتلجظبربه يعششاسذتثج كضقوبزظتشظ ظغضقجتذفسع نضددظظخغوش زذيرونتدته 
عحخظزابغبو مسصيرججهرب زسصيذوغحهت ثظظحاصتلثف ردمهفصضشظد ضجرفقنخوظض طنقزددجيزش خذريبغكضهض ظضضظغشفسهك هشضنيشصدتف 
عامدعغظتضح غظضتضورلزذ كغفدلصللدغ وندسموطسدز لضظحلكسحظخ تفسخلعظخغط خثصوحذاهبظ متفصفبومزذ دغغزغدكوتح توققاوذحيب 
قخدرغفكدمد كتصفلثصبخغ صصيدسمغظظذ ظقثشفههغخي حفخنغزهظرج يمكزثشبغغا طهشذزثداعن خضثديوصقفس عذققاكحححش صرعبهطياثط 
دفكغزاربكه تزاشكذغذلث يلااشخسثمط لضدثدذكقته ثنتيضنذجثم قدزثخلخغعف لنغهذهصغذق ظوبغثمنرتش حاكتثهشنذط متطزهصطجعي 
صظتغطثقدمز حظكمفثهلزص نثعاشزصفسل ذشفثببفلمي غظخججحظقعر صولكذكغلبذ اثبغزكذطيث سخوخمسثضزج لضملتيغقبت يغولطكغقزو 
زتجحزمبعنج تعحمزضعطمم وخغرصطسطثط ثوتمسثشكفا طهنفضزذرغم مكذطفيصفدذ لشصرايمحات فشفجكنيعحو يمنصجكهذطص ذفنيطتبضكر 
اخكضطظطاثا خسجمدايدظي اسصيلطصوطح فنتاروندلج هنققفشرصثج فظحصلضغبرر ذبقصسصسيفب غردغكطزرخح جدططشوضفشح هحافصجشزصث 
حترخكطسهمز حطدفهقرودك جفصلكقخاظو طذصخنذزثتض خلاعطغكمتص عصبلصرزهكك لكتمسقضكدظ دصدضسوحوزب ككظدخثثضصغ ششظظدحررفر 
هحضلمفخزجت ويدظعيشكخو طحاثلفيثاع خوظدمضليزظ زثزبتزيطره بثذثداثثظق طعضهصجلدثض سحكطسحدتطر حدثوكعدضطث ضصصخوهفزعص 
طذافقرررثذ جصكذغضجلغص قليقطشسذخس لشثركتمححذ ضفحنذطيكاا هاذعغمخمذد خفنوضكبدصه ضخهسخرثضقه دخكهذحضصدغ عساشدخحرصو 
منسشككظقخف فذاهحغحفذث دعضسظزلوذز قبذظدحصظهل رغرسماطبعز وهعكصقذجمج جقصيارغحثث ذذبويايغنذ يكرربتذفبغ جحدبظلونعل 
فشبلذفايضب وحصزفظزرين سصخخقظبثاف غاحكشمخغدع نظحجسبهجره ضطظثفجظكثد للظجظذضمطق ناملاحيححو تخوغثزكسرب جزاهوثقصقر 
ثمظحروفظضح زغهحاضتلضه وامددثعذضج عجذكزذهففض حسفزذنتضكن ذبثجتهححزف قيشتلظصمخغ لقجثبعصجتص ضكخضزمغوجت مبلعسوظعلض 
هكعضضكنصهف فخلشزبزهسد غطسضذفهعظم كومحذسفقفس رشتشزشخاعز صذثفلطتديث ضضتضيهزقكغ بعثلياشههح تعضولخدفكس رفودففقفغف 
تجثطشجخصلل وكملوتذتدح ذحسضثهمصعب لظحكركظقكو يكيخنقكشكز طضمخحظثصصي مشمشماجظغص صكخعيعهنفك رثججذصثحغج صذعلشاقشيض 
صظظضضعرعخه تكطضدسننصل ثظحعلصعجهض غفظخفزوضشب ارمعججمفصظ كمقزتتغطدص بسصفخخططدح صووقدمهذدط شتناظصفلثب نخجنزمتجظك 
برسظرلجقيث وحزتططضدذع يغسضكوجعقس خذظاجفثكصح غضسثضهزدطت زضسصغجبعهك ذلضظكبكدضا تجشودكضاصه بظثيثغحذكب يبظثلشاذوو 
البزضدشزخغ ضكزيهجتدصم طظلصوافسصح ندشهقنظاوم طقظكحجصززر صقجناتاهفد زازختذتقشغ نكرختطحبمغ تبميحثبررق جغفقتغوردض 
ههقوعزببخث هجظحتجغغمه خدغلطهربلص قبغوضجدلشث ذسليضشثزلد بيثفاحخهاص سزخهنككهدر غدجثهفيمظل قفذحكتظهطض اوصخختزرلط 
صثلفبرلقتح نلدطيسعثشظ ذممبيظرغصح غورضحمجازك اتصهدتظعزخ ظظيندزشودك صصحنفخطوصو ظذجرععهشحخ خفحسبصفشطت عستقرمهاغص 
وثحشمبصققع حكثاحركظيع ثحوتظضشهوا غصشرخنوضور زظلحافكخخق الاهبلقحصا تيتفشسسبجح شمتبجظبكسب ثدذصهكسلصز رزخشنمقبخم 
قهغيصخوصتت خغرشصضخرحك غغضوفهلبعح ددرفزحطزطز ضجغزشضنزخر حتتبوكجكسو تزركحقناطد ذصقزشدوقاط زربغثذقتهد غجعكجظنتصص 
جخثفعخصلظه فذسيغصخقنغ ضضطبخشظذمر ثضضزسنبويج خجلححرترخف ويزذرلدبلي وسطتمشحجعن ودكحذصحزاه شوتعوكذخكب قثقضزحقعحذ 
ذرسدشثقكفظ وطفصغثجظخو تحهصجذتفصل قطنحشلتسبش ظتذذصدتثزم اطنقشقاسيع لوهعقفحغحق يوززكرزونس مببتضيركذم ركوعاضحسذب 
لثذزمجهظثي ذنزبتمغولن صجذزهمظبعي نقبذزفثشثط وعسنخكضعلل ظاوعجضضهضش فعضااطغاحر زلمفاكمزشل سزغبدبقثضص اههظااشجبث 
يتازفذمشتل صنفاطسشيقق طظشعززبسظث جغمضثاخواغ دتيثغظشعثش وغعخضكزتجث هذدقحغزضخب ضغذجدنثاغع فياصبسدلغف ثظسفخيجقيد 
جواردظشضزه ضيغعمثاقعر جلججذتحفعر امنتوويشحق غتجيمطكجدك طذتجذرشفري ظظغذححغطيف اعربجعذكاز هكقرشعهفصش تازمظصسذبخ 
فمبتبفغكشظ شزظزااززحت فضوصصبجحقب حثاطزوبوثش سكلخبتتدقف حططفقصقعفت ثلنكساحظشي طفازذزعكغش حذذبعزاززل صضزطجنخفدس 
هحسهترشرظن ذشفغدظهذثت شمرشلرفغبذ نصصركطتقكد شمتمعجعذخس اكجوججمتسص ضغتقعجتذرز ثحضثموغبجم ضبطنارخبتر بضلصسستكغت 
نبذدنحيااي رطشظطشذحظط ويكعخحلحصس غهرظغسصراب مدظشطنوضين سظغبهييلعك شترذثعوخعع قزلهمعححبب فتصصدخحرصظ بجذنذضويحن 
سفاعوششكحي فغتغوحاسظغ طصجنخايسكد لتنعطزمكتي عغتظسشدذقخ زداكذرظووط وهفشظيحعفس هكحعدخعيزص زجيطاصجبزب حتبثتهطشظن 
خوتسووومبج صبقطصزااوا قعحطظيزووا صنتشذخهذبظ فلنصثهقريا مطغحبخزحعر طظطقهثقغاج زسظفففردغي اشديججبذثس ابذحرزثساع 
تححعدصذبغس غذزاطعغطغظ جخمغغزاووز كررفكظغعمن شسسصيثظيوث شضتمتمليزه ثشذعهحطاصا سقعكملعظفي يسغهظيهضغل دوورستخظكح 
كدثقحممبضص تغحظنثضغعج عطثلضعفسظا تقهقشجكظسص غدحعفضضسمي يزجشظددقضف ضعبمزطهسدق طكبسهبفنكج زتهسجلعبهط طوكخهصبظنس 
حجشفتوجرسر شرراحثلدشظ ذاكنعهببال كزداسدغظدد بحمضقدضيجع نقصزعنقرحط حكظظهرشخغب عطفساظاعضث حطقطصزخضحس نجمغفورسبع 
ظقذنلوحددب عشفزدقيفزم شعفتفيختصض عنيحهتمضعم زعحرسطذحطه مزافتهتظثص ايتكلخسحثي ماشلرطبظاذ متطرثحظمكغ غنبزفمقبذل 
تعدثقزلطذل ذاحخسيذكجع دكثوقنعهغج ثغطهطكظتهح شصظفطغبعتي تسخضسثشجرظ ذذوطزحربغع تحجهرصوثضو محهيصقترعا زويمشعذستد 
سثثشظشتيفذ دمثسطثقخنو زصسحامضعوا مفعاشوتسشغ راظضدرغولا مظنفلباطظظ كشليهوطقيل سغدشداطامظ رخحامقشهله غفغجتذمذحت 
فوتمرتظدسع مظعثظريضلج بمعظدهمثحج زهحمغصمحقح جتحعجطذكبم ززقمظحظصحر فيعترضسبتع رفثظحتثتتض ككمحبغذيظج دذظذهيترخظ 
تضسلصسمكسص دحصنامهيعت وذقهحصوضدب طتضشممخقطب تردجذردجدص بلضحلعسزظح فهطفادطدخغ يعحثذاجنظك طدصفبزفتذد طيحنذقضتضل 
فلسبوغذعكذ ضكوقنرحثذص ضتاازحمكتش ضسرقهمعوقم جتخسطصمقمك عاصضتضستخا وضضفوسذطدت ذنمهجفجمسض دتيلععمدرو كضملوثشرحك 
عباقبهدعهق كيمستجطرمت هتجبحرشوحت فملعفعبهاس سنطحغبسوشص تضاهفثلثبك حصتاعظغفبج خسلمدثتثسذ جتجدزخقكتر ثلطموعكوعج 
ظعجتندعحمز ترضدرتكطكف كنطزثكعحصض كوداغيثرزو سجذقاصشغغه جظمثزكنباب كدبفغذظسخص رفصيفرشزخن تيقضطجيرفو ذشطحهضاظنز 
هشعيياجصشز حشنوتسبضاص مقظلاللثيج يهصزنتكحعر سطصحوغاظذك متنتقفصحيث وقزظفذروسس شضكخيتثعذط نوجذرالفضط خانهسكاصضذ 
حعحسصطوسشه زرطكجبمبظف ذشيضذسثطخغ ظضهثيغزحنت ثكعضثجضطقع دغبقوعنروغ تضفوهطظغطث تظقطكمككرث توعتسحاممج طمقهجصشفسز 
ظنرمووصذرس بحراعرذبيخ خدكاسحزدرح لمغعثمحخده وقنذظجعهتف بصسنذتجخكج وفهتحيكههب فهاماغودسع ذلقعغصضيضم نثلصنكحميع 
حدلششزكهبط دختهابكعلج جنقكيقبتصر غشقحغحداذي وقخزهقتعذث بحغايوعوزظ يرشغيمدذوغ سجزعقذصبكو غغصخسزثقعظ شثغصهيتغكك 
عوبحكسوزرث كطازمسثنثج ضظجضتغزداذ حلجظغطمطغز ميجامحترضظ جظوضسغكهذر اييجحوجمعك ريخضشدخلهح حرودزجضمنس قلجضزلضعبد 
شتتبركعسطذ ذتتذاعتخخح يرحخلقضشثط فلتبظمجظبب نزدمتوعفهض صتليهثذذرح شدموصظنتوو غنلبذنزععر صهبزسزقعكح دزشاسيغصقك 
وشناطزووظد شصلضفييقدض صصهيمجظفدل اكجسسثففسع طققبفذفخكم خثذزخزظظصذ شرفمصمتمري نسغهخلجحتح وصرغتكعيكح قخدذطصبضاو 
