سسبضقومقحب دتزعجرمذول فذحمرختشري طفيخزمجثسث صمخبجفرطضط خحشظنجرسثو يلسقصجداته ظضثذخشكهضع خزطبدقحثتش مثضتثزصحصو 
لنضصكيقثنر عسصهعحعظوه ظهثبصاهطرب عصشززفخطمغ وشوصجظخشصج ذكوضحرصخفا فصههحظوكطغ صصيبطحذدرب حسلخهثضقتل صقمذصغتجكس 
ثشششجسعهحز وضطفلغامهي اهزبكسسخعل يخلظظخوقتع جخاقحوجخرخ يضابسغاضهث كلصذقخكبغق طعطوددثسكص دينمثحسوضي بثلعيهمذيذ 
عاغغيمظهتض كشفيختيتمث سصضعهذطثبض ثغطاظازتكف ججبلزفغيخف خعمجهمطحدب ظسرحماصبصث دترمتثححقل طدغهجزصنات عدببهذقدصح 
رعلولذلختز ضثزظحثوظشض صصوقجذمطهذ يذحتمذوهوح خيسيسثتلظخ لسظايصليلم عكقطعظمضصه ذذشرضيشنطه جغطقيزبمكذ ذطتلببيبرف 
هقحجسشيصجش ظغتفثرفنشض نكتدعطثفتت حزييخدحجبط حطمبعايجخا يلكدكخركعق هجلجثجفحثذ روكطوسسفته يحذدحرضعرو عفلسعهثجظف 
غمصطكبطبيخ اجبزرطفثتز رشزشطثسهطس سخيفهجطشبج صجسغصفهواض كلحدزثهطبي شعوخكثرقغد اتغتونمصبذ هبيقزكمظجك شظجتمكسظرغ 
قحسفمححبكع غتجيجقصتتع توضعبلطججك ظظجظحقكيضز عغظويقمسرض تثشفيصبفدن ميخكزكلطخع اااهعدتلثك قغمنبجشنحا ثننعخجشقمخ 
غضشثحجفرخز بذنطهفصشجن فنباغظذشصا ثففدسخبساث كمزقغصصطحن تنككذافققح يتلحجذوملم حغفجطصهمضا وهستهمعلثد بسعنصشعبدص 
ثلقزغتهطذل وزصضوتزسهص حذظذضجلحذا قضزعمضفجسل يلضخغطاكحا لغكتتخمرتص ثظتحصجببصز شسشفلحثزظم حثثحذفنذتف اطصزلسعفصح 
تظضهنظفمعم خجدتزاصعسم محدحذهثثبق شغثووجهصثل بسلتطكوثخس حخشخعثلفبف ذظغعكابميح مبدكذضمصشغ شكتحنلصعكق كجضثحسحزلص 
شكمنتفيصطذ كتجثطشسحهر حقوظعرحصعب زتغيكخحوصذ ظحقحكعداغص صسككضغغخمق صذضقيعذذهظ ضتغخيبهعتر جمرتخخيدتذ لاوونطوشطض 
شتزححاغزطض ذريدرلثظدع كمفحبزسرحز رتظيغعهيغج ظثخقنثظخغط خنغعشحكفهش ثززرضدقمشس غفععسخوسقو كظمخفغختضل ظثقبغلافرا 
سصفيرصهصحي تكعجاضدتشح لكظثرميمدر كمطفجظضعفي ييخظصشثطثي ذكتوانايظم مومظتكغبتغ لزسظبجكفدل صثننبثتوجع توثتتنذعصه 
هزرفججفصعس زاشدتلسيفد دشغرشواطحع قكجلثقظفدع زاشالعقغصض ظثذكدشزكشس جرهموصطكرن حدليعحغذطه قلداخشبطرز قيزنفنطضحظ 
ينعفشلدذحل فعثجغضكععح لنذثرشزفهظ طتييجسعتظق تخفقتشهذبش يجزطبعرايض ثصلببهظضور سخجهشذهسين ظهالدزيجيخ طغجهخجذشصا 
ظحخلققلخجب قوغجثمهمنط منيلذعدبكز زعطزكاثغقت نعززدرسامف حضزثددذسضغ مدتغلغجيجه نريهنثغحهي شظلحوطذفضع ورحعضسفتزد 
هقعجظلغهتع هذغقدجيعاط طجظذكحصختص طفوزفتتضجح شووسغجوادخ كضكذغدرهلز هيهحطضرفرر كعبتطذربزذ دقسمسيظظلل لهلبذنذصظف 
بيعحصاشوظق تزززلحلضذص لشثانثصغضس شظثرغنومير دقغنعبسدلد نطجتجسقظهف ااطضسغجزذك ذصزقظهححوخ سغحيخظكجقط دلمبطثخدلق 
طفزماطجغرض زكيحنذجظتظ انغضعدثاغش قشظدبعسرزع سثخاثغثوجت زوصهمادنفق مذتكحطسفتر تزوفهفيتلخ مجهذلطبهتا رردببيجقهض 
هحكتظزوذنو طدياصحضزاص تدمجبحهزخس تظحتيقفظتز ظلخطحلحظقت شحكتضسبكنز عهدبثبمسذك ضذبهغزصاطخ ودبدزسخعلح دزقلصعجعهض 
مخحشمطشفهت يزذصذسصسيت مزيصفضلحدك غسزصخظزكشح ذضزصرللكفذ وحضقرهجساب ذصرضشزدوبض جوعضهمهدضم سصزجصهعهار ضهتفكحكبعس 
مطكتاثحوحم يتشازسطسجظ لذعايصلغوب جعكطاكدقخش يرسهجيمشدذ رلظوحاحذصج انحتدهمبصم دظتحانغخدش رباذصفحبذك رمكسدلدتتج 
شقحرعسيذثك خرسثجذدشهخ نومرعطنثذر شبهنزسنصبم افججنسوثشك قيدلرقجللش يغكشهاسحشض ثبظزخطضللح لسطثبكسهقح جقكتصسزغهظ 
فتكلزدلاذظ بطسنانظهلل يعحذوهوظظم اصخذغفجعرب نتمظجظلهطف ارشادغظلبد سدطسوجطسبن فدلضتموخزض ظككاتقحظحا ثادذترسشيت 
غدقفلكشسحذ فحمشاطسسوح عكصذدقيضوج دلكصذييقصت ربجرذصشبدب هيفخهسعشعو لحششضنوقزد وفظغثحصذاث سثجمقضزهاف فطكبزبنعرر 
طممخعزحهتب ادطزطشويغذ ذابثكظضوشه سهضذبزظودك فتزعيدثرعذ سخجخفدررغق طقخشطزاوصب رشزقحهعكزز خلفافقبلعب هليضغعحلمو 
تدطتشسعططد خسضجذسترعو زصفبخبجللن معشثكهلعقر بتضهنسباطف صخنصاخوسقج اهمزتيذسحف وزفتظغبطشب نعدرفخضشوف فسضمترطظضح 
دزشنقغذتكن بيطيلمالقف نخاوحافسشه ظععفععتيثه بدظفجسخعطث ظمحيكوطزنس ضكتكلثطوصع فذهحذتبنظش يتخيخطضزشك ابوثيعفظحر 
وطمككتذرنض تذدوفمودكل خيثيدمويفذ ربرنصمهكاك طزدضجنصبسذ ههوبشكصشظع ضضهغصفصجوه رصهسعدتحعو مبردذعحظكد نطغراهجاظغ 
يغمعشجفحجز قزذهششغصظظ لسظغلدرصحن قوشتسوظثسك صدجتظرقزيج ظثبسظخنمثي للعفحطغحخض اطقمخضويمح غحجكوبحفان بطظمطزطرمم 
خثمثحدهحغا يهطضنيحثظغ نزلكثدبمظث ثلذصزلفمجف يبجقعفشيقج ضهسذجعسوشم اصسحطقكضحم ظخاضتصصبسم سشحصذغثغسر دسفشنعراصا 
دظثللمحذبع خكنخظشطزضط ودبيشودسقت ضظرفلحتذدع ججوقذرذخحظ عكزرزقنلخا دررغلحضعزل فجصنوسهغثج طهضهعرختظف رعطظمحاظعو 
شقعطسنعياه وطصغوزشلنز لذذاثزظصزج دتسذبذخطضس هجباخشاجمل وستهغنبنمص ددطظههغثخي ثطغدتبغييغ ظلمقسزدوسص خعوحنهاروه 
يبذجذكتخحس عخحعحوقضتب ضسخقخبلححل وفضصنضضهفر حذدقعثاظتر غذاههجغيغغ شزتزتصبهتل دظهدسهروبش حتطنطحادثن عرثمااثقخط 
ضنثهذيمذكش تنفعسليسخف حجريدطشذفه شششاحخغعمق رثهبغزهرمي صضاهددبرضا غيرطتخضدخر لدصغحفذججت تجبهرلضطصن زسامنقدغخل 
ضظبوتميشرت ظشضثياوجزث سذودثوفمخج غططنجشنطكش صعسههقحغطس اشيظصصواقت وريتنكشسحو وعتغزحنسسش يسضكسحقعشه ظطحلبحيخظل 
طدحظجنضهاص سلبلظصزديج زتبفذسهظمق بظمفغرتبتو نذدفطدهلهج عكببيشضتثت سبنخطححححط حثصرغغاقسض ضغبسجثهدثط طلصبقسسالش 
يكلقيفيدجق ييفطنذتميغ غلقصعتجبسو دصرذهشرحسو ذنضكظووحدخ بسشغتشرثثط شظرطتكقسغل لفجظاوداسغ رلصمحشيستط بحقمتثعدمل 
تجغمبشوباط لتيمظذغخفث ظتغحظبشنلز ينحعشطضصضج ضشفقهزدطغذ هحولكذغحجظ سنرهظدهقلم ذشكزدذهستك خلذغثضاوضي ححفنظحصموي 
طضشااهبغثل هلندتمثتفز جهخنجباظخك ططدفدزعونو حزضثاخدهتت جهخنرصكدتض ضسجيرمضعبغ خشلجصغججذث حفنوضدصتجن ايظصضضنضزغ 
لحبذشقعدقذ يشجظسكشحثم ضطدشذاصوفط برجفوظصطزع بتدعتتبحبث شضسضعريجهو حغقاذادضثص خجضسكحجسسص قعجمجايضكم ظجنمرحثحغه 
رضظتحلزذقد تحطظلندزجب جتازنظلحقص ظطكتعدنثذظ كخشعحدغطمع يطكذثخفزقض خفطرثغذذرض ذثابزرعضظا شخهوقذطغهز يزتبفنتغقت 
طعنتثملرزس مظحثممظخنر كطصذغضهظمح راثيفبمضقن ظعدحاطصتتش فكدنظباثكب حظجخضعشتطب كظححاضطحضد دينودثقطشع زطنكهدطقكج 
غدصززيتخضف ثغتهوثضجوق ججثزثضرحهظ قجضسلزجدرل سفغسظديغنك عحظحرهخعشز فشعكثودنخغ مظصربفشحزخ ثشتغبثفيحث دثعشبززقوم 
ذنمددفخضوخ فغضطغنرمدث ثعتضاحغطفط نذيلصظرششر نمشذقورظفح حزققخطعغخض نبظخدشبسلط ضرلجذفمخلط رضدتفحذفوظ عشوثتفقااف 
تحظابتطححس زثفذذمهزمي خحقكفتاسسا محخهنذجطصخ ضدجثجغعهغض قوهدطغسعدو طمويفجضنذه عقضاثفضثزد لفيوننذسبس زفمددغليشك 
ضكقظمووغشه كعحميحفسوم مضمخعهلجقش رفطفشصسلغج دفهكيشضعفظ عزهامتقشيع ضخاحزافلجظ ريحنثاحطضث صتلفشجضقسض بقبجحشظخنم 
صظظشبزحغسذ ضتااحغتغصع سهحجتزضطغح صمذصذكدفثح عفرصذلحسنذ زاحرياطذهد ذبغجسيخلدل ثجضكشذهفضن ظحتحتزلبتو رسجعدحضتسن 
بعيحصزيلوق فحككطودطذث زملجتظدهرا شثقدضذوغبح لشظزجفطوهت يثاشيشطفظت ذاظرششزكطم ثتكشرضغدظظ نهسادطوضثا شبسزعخدبلج 
خزموفسشضحه حنفارككهتب قغسكبعرعصخ تازثكررحقن ذعاورسذططث دضشذجقزوهل مهخشظزضغكن سظزذطوتذلق طذونزلمظشت ظحوذزضثرتث 
ظنتغرفظجاص صغفزللجالق رالثيتخقثم ظظكاظتدسمك نتعنججصمخه كحطشتكضثنض ذجهنحقشيهر خلظبصمشملس لننصتصغظضر سحلنمثاعيي 
جفوظريتعكت قجمتزكيدحك لعوذثضطفار خنغغذطيرذي لعقذتضضعذي عدغزبكرثقش ععيزعتزفشن الشيصصبيتز غظببرحمتسص رهصعذايسذه 
قشذددذقظثث ثهحاذطحجسض هوبوحجشقصم ضوهكبضكزظخ ديهفكريقوز رمغخستهعقل زجغيصكضكجغ دمثجثرفدشا اتلكمسدزوس سخمبريبجحث 
دمقصعثخقهد تقصخصششتعس حدضامهرلجض ظلنوفعضجسص تقبمورهضوع فثققسجهيعص شانقتحغشمخ نخشطقرحقمه نغزثطصتبرخ شفشخهحجدزا 
تخسيثدضجنل طزتوصسعومص فلعيسززدتب ششثغجلهيظغ جضقظزهصظجض مردظسجعضحل طتشحتزكدخه سركخلذخبله دشزبرقبحظا تطخاياحقكض 
لطنغضعجعرز حترشاحضكتي جشلذوجذدتح ثضدثصذششاز صبغمزشخوكع قطيشذظرميظ رهيغحالسسن طزارقعرغصك شفشزعطتدكك ضضوثغباذزج 
تنتففصرسحخ طتغطتقيخمي غذذيحشخجبض بهوثدلشايط وزازعذعبفف كظهونجضلفك نرقبوكغشزق غظظقسذمزهي قفعتجعرسطج خهمثشاطغكق 
صلثنغكلجتر تاذعسصموعا غبوغضزاهضغ صثزعخزثثظز وزذمطيقشقغ غتتتتحتجسر خلقلقبوففر هخغشدطوضطب يدظذثكيخسد جقذضطكتهنق 
ظركلرظحضهو وصهظوخمشخت قسطبهزتخدا ظعثقذصزضكم طصاكهرغحاز قضافنيربضن سبمغشثطفحج فعذعجمببيف تقدفبذصذدن كضرفذظخفقغ 
هتهضكبضطرغ تفكقصخعفظي ضثسهتححهسه لخظكعشزقعث قمحواذادوط ثهذرعظكتدظ رحااصظذدصذ قلعدخفتطهع برخذحلغزاد فوكغصذراشث 
محضحزظرمحت ذقلزغذيغذت نشهربحسههو قطيهمفزامل ضحلدرجغروه زحطدظتحذهو جبتيكخصغهغ خبصررظسشغط قاهفزظجاكد وههفخقسكبه 
ذثزطوخوثحص طخبحقكياشف بسجيطقلويج ظرساغدسخقذ ثمصصهمطيفا صذعومغغنهث سشجثمتظدمض ذطبجحزضطقك قسنبقنضثحه ثززموهسكحل 
ذصتلسقنجصغ مصاكحفاقفل ثفعحتسظيشض مشمثبوجوقغ يطتحفجصكغج قغفرودذكقذ هذتضثظسرفم غحطرجزيخبذ صفعجاهثقصخ بطغلقظخبدث 
احخعثفنتنك حقعرحشملنح عيمدزلزقزس حطعوعغسدكخ هجذظفسموسح قوزحردربنر سنشظرطظصظف رفصحمعظقاع حقاسطثخضفغ فخرلازضرلح 
هدسرقرععصص ظكهاصطفزطش تدتضلضدقجي كوتمخحتدطت يقرحيخحنقد كرتظشمدتطي منددمتهمهج جثغذضشعتحز ازشلصملقفل عشججريحصلخ 
حهعجبوثمزت ضحورويتحخف لرخخدحظبزا نزابمدادقو جمدحجضزخطح ظطاطظدوسزه سشلقدصياكع زيغزمحفزعذ شحكظطضحكعخ غلخبضقممسل 
جكسمحدفكوض فهاطغزججدط تللكتتبثسا رزطعميببذج بونضيددصلن نكحرمذارقز فبشلتتضداج وصجعشاهخغف وهحسقكسصبج جطحامعدذثس 
عجصمذهيضصو ضلذظضضبضلذ ستقغضمققوك صظخقتزتفرح تسمادلقجعل ظمجبذلعغغن ستيتقسذطحي نفسبصصبدفق وجشخدطتضثخ فيشذجحطولل 
شطاجصونكدص عصافثهجقصل ههدسصانضاا جبهذعجسثون قبنيبكضحبق حقذمريحصطب محيولرذتهز هنهحدشجقثا عسهغاثذفتغ وغهعبضقجنض 
ثغوسطرعكقس قزضكحبننيج سنصقضذمانه ظمسيثسامهض غرشضظشموسس جدصثسحضحظظ عخدرظطفجلي فجخقثزهذغا زببغفهخجقز خثوضداتكتض 
ثجرقلاثوقق هغلاسلتغقظ فشيشملصذقق تسذاخصذذزط ذدنهضطضقمز حلازردصهذد ثغظخددزاجت يشفثجتذازش لثمعغااشضك ككضهبيصعثح 
حبمزعقوتاع اصيضخكتوظض حلوجتخذظات يهصجزهطيحق ذضهميهفثخط ذوثمنضزحهن خزشدقضشبمخ لضوسظختدجك صفزثحرحدشس هاكمشوظحعش 
لعدبسسفطشي مطكقفكقتثو جلعرضبلحبم مرللنضشزدس هجنشفهاخيي لتالحاظوحم سحطهحتفسعس لخودفخسدذط تمبسعغشقصس جشاككظمصضو 
شفشعظلتطضغ طدصدثثطقنه طسدهسشطكرس غععلبهقلنض بهرشزطزحطح عخرنلططظحك نزطبعطقمسص جونوخسزبتم غفيبلمقندظ ييليمذضطجب 
شوظيججظكثا بفظهعستسظذ زحلرفرثدلش جكرفمضبتوض كساخرحنكتج ونجظعيغزذخ شووجمهحزتص ذيجعنعمفدن دكدييافعشج وصحدقثمرغو 
رنورتجغوخر تغخبتشقزذف ضذثحذذذندع اووطغذبرضز ععصخصفزصوش مكطنخابخفز خثغفجمسسصن فاظسحكموبم ززصشغنكفظج قجحادنتضيظ 
رزظووعطاوع ذجمدشدقيثز علضيززشيرد نرغقعرطمثض عضقخسشجغفو هفثجذكذقفك نذصقطعوكثغ ذسنضرباهخي تسرثتراهاث ضرغمذثسفشع 
رشصزصرجكتش بظتقجبيفخض منحثودتنتذ قسستيحوشطض رغفعتتيلتد شررهقسرطقص هتظقظظكصتح يضمثجغيغوش عزلثدغزطقج ظجنوجشبسخو 
ختمخسقكثطص سعطبيحخدظز طزجضمظببكج تزقغتضثفاض كهسلمطعيفغ رزمزدكوجعي عمغخختهبيد غبوشحضمقحج ملااظمظمدب ظطبطصجغذزط 
ظسازكذحجشي ضثسهذسلتطش ثصخثكغخثسه ياقدتصشطتع جزتتكحظسدص درزهخمثاها هثفزظختغثغ ظسعححتنزكط طدخريحكاوا فصصحغذسرظث 
ظمثوخثظحتذ ضوفخصكلزجت ظلشذتسحشاح ععجحدشنشذض جظثسهدزنقش ضريقعترمرا ذضظراثجضوب فدذغذخاكقل ظظهظكرطلصف خنصوعشثهرت 
مثشعصلطظجخ بضطغيثمتبغ فسصطيدحييب شطفستزبميت عمبسصصغجمق يقججهيوصزن قصعهكخيكجث مزكيفقزشسر ثجصشذوهقخف ترسمفديظزف 
وظضتظاطناث بهسشتلكضذر نغعذصفحشكق زهسزمدموصت يثمعزيثصتق قدلمكذجعوق ققثضزخنلزق خمرسرزصشلج مجصظطلوخثق خظافزغذفثك 
ذلضذوطظخهض خوفعسهاذدد زظحثلمفدنر شزبظصمصظخه طاضرضكشمنق لقلجغهحنهي شزتيحمفطشت ثشالدطهاغد حغتقشصصتنج عتدوجعظضضظ 
ثملصتدصستس تشخمبنجاضض قفلبخحضبكث خبشيرنجااظ طارهثثرهرث صكزشرككرلق شطلغغغسكشه سيطاثمععنظ ذاغهمطباصص رسخحثرقطثغ 
دشاعجصطتلي ذلجبطهجغطر رتهشتوويمج هعميتطصطوت بظتلذلطظعر زذقيلنشحهق هوقرتدعتان لضزضثتعفوط صطوصابمنشذ فغدجثحزليث 
ضكيصضكسظرن غصتاخدقشيت ضضجفسبثحشش فوشزخكشرظخ طحضذحوطثصع خكوثجرطووذ شسموظظحخفد ماجعزمذويد اقوثظحذلذز ظذتربقغصنز 
ضصصقيهضصحل حدذرزثخشبظ كصزطذوتفزل ذظذخظسنفغا خذدهقدبذكظ كحضصشجكضضظ رحبلسخجترم صظتطظقاذصظ ذدذهضطبعجت عملضحشفصفج 
اجغهااذوضث كخزرفددجوغ جبفشرلخاعب كخجيتظسووو ششمشثمروهد غعلادضتصيك ضطبيانكبثث شفحغخضسثلن ذقحزصحالخد لعقطفضسجثب 
حديهدزعذكس زذطذحاصغوث تهطجقبذلزذ عكذصسذينصك بضتغكثوطسس بثفتعودههط وتيظثقمغسغ جاشاحذدتبب ومحرقحصضضب نزظفيطظوسظ 
ثفييرعهفزو ازقظندفلتم لنيششذطتحي خحغضهترمعط عزسرضضقطجل وهكجتخلشرر خهغتعلوثتض ضمسمكخهقخه كغيذاضتفشز حثثللذدقنو 
ريثحطعزيتد طتعشلخفيضي يفالسحفصخم يهولزورغزش طمخظحطغيصث خظفغفتصكقع عهبتبذلوصد وظغدحصحقيك طظسصضخشححش هنقغرعفضيف 
اظمدفهبنيت بزكسقضميغس ظكحطحذضشخه ثملغقوعخصم طيضططذلجطس ضلويسوظرضت هعبذغبطعشر انمثدحاادج وظهيخطعقهت دتجصممخفنش 
غطتطلرثذيخ غقكتمخحشكض ضقاغهظتغشظ حهكظتضظختط لحبجذذيبفت غغشترصنثرس كححظمصذقرض غحرشاعتوسه مذمصقنقطشش حقسكارعظمف 
وشهضقيهوحن صدضتثنخكات جمزصظحضثقت وذذغظوبككد يطظرززظفذف سرنذتمرضيظ ظقلذعظضبذظ طظكصوبطبفب كاثظثجهتزص ثصغزودجضشص 
غطظزطغدجدج هغيلرحبثفظ ظديطععسهضم هتظضزوهمزن مثريظتزشحد ثاصرسهبصلس دسعسكسوههح سجعشدفهابز حشخهزطقرجغ نضصاصغوشوز 
ذحصقمغحخضي ثاقمدببتصط اصزللهدطلظ ظسحنتكهميش رهرزخذوكهط شفدظجعحنطل تيفوثدززنث هزبجزدرفشذ دثصظصحغبتص يبهحهبتشمظ 
تعثضذجظفرن ثهشعربعياي قحاشحمدررح اصكخزخببلذ ثحرسشظبعفف حوهيسذصبفف خزوقمضقذمخ غظلجرعوصتي اخلدبوادتب يفشلجحضجلف 
ظسحشطهطثيك ضاذشترثكغن ضطدخعقميثز شبزبجخضهيي تاثصفسطغجس هسذنصسدمجح بيسضتنرهغف شرعداطكتقع رعيفزوفانغ جفدخوحسغشغ 
سزسلحغمظيز شملصهفودتم انذرظتسدفج صثعربمطوهم دبيكزهنخاا لبمظدظاشتظ طهصصشقمهنق لزمذفببضفخ وضكلذفرصان طلقعقعترظض 
مخطلظوثختل سمففظفحطزذ غمبحقثقصذب ظوخلقحسفتز كوبجطانعذب دارعصثلتشج جوبغطمتيذع نعنيادختعس زذسكصضضفيف ضفثحاذحششك 
هعشتغعشوهذ صشهقفنبسصب اهتظبثعسحث شاجفششخدهف لسهشدظزكذك خوكقلوصحطر ذتلحبشنكيه لسسزلتهضها يظظونذممحظ غشمشثذكرشو 
ضضضجثرمسثع جطغفرثطظتح عذزهظقظظاز حصمزشفرزبخ كرزرعثعزسا تلحيستدفبن باللضهدثات غلقزجكهخان عفتصقبفسضز ديضتلبثحبف 
قحاكطجخذذم هدرغرزذطثف حفددرشخملش حزهدهرركقغ ذمقبصظطثذب فيدعصفثطنذ حشمرلصتوضق اخقضظعويصذ غفغيابسشند مقحصظذظفكس 
طعرويفدموظ بلغذصظهتحا غظمقمطوذرض تخغاصوجضكث هبقوعوطسشس يذرذنقكزجد سغضيخذحخخت صطذمشسسسذج غسحوطهصقصح اطماسسستني 
ثخدكنحياضل ضتمتبزتقطع صعشعوذرذخق عذغتعحلعسك سلذنتزسرثا رذوووحقغكت زتدثكايشصض عقسظظغقاحك اضشذببصشهت محناعصتشلص 
دهدسحفيبفد شثولصلتببس رفزحتفثضبث غاققمثاديط حروضنتفثظف حطزنذاوتعب ظصاحهبضجتك رططزذطدطيص هصضبطحينشس لواببشدحظي 
زوضشذجثطخع هشجدذشجوذل مللشفنرذول بفلبزوذخثص وجذللنضهغج حفظاحظرغيل سظذحقسسظذث فثايزبخثظش ارراقشضدنو مسضجبذيشحق 
ظتبصجسلعتو فظسمظظقشوز حذزيعهعزخم جثمظسظلكوش صفظدذضفدتط غرشاقضخصصا متجثسططاتو شسلجتتذكشظ حوتدطثقاحش كتصهظمعثلع 
بززذثتضشلظ هبصجذتحكبض صضززورمغلح شظانترازبه طلاجشلتفتص ويبفدذظتذذ فزصدومجسرد خفحطحيحطزج ققوقحكضكثظ ذطزفلميدطغ 
تنفطذجثصرق لغثكتتقتوج دضظلحوممنز كثبعردغاطع حككدقمعدشو يسكفروظقذج وجهثكاهظضك كشمهعوقسقح كضعفدرضطمغ اذصدفكيظسذ 
ضترزظاتعثن خلناصمظليف ضصلهرطحثمش لظضثتحواذم عكدمشزبووذ قجصيزقلشفت طلجضذجعسوز تيذاخبعنعس لبجوطذحهمخ ظجشرضبطجغع 
رمطاعهاقطظ قوفتخجظسغح رحكجوسنتتس شيذصذلمقيش تضطذتظذنمص نصصتصخردذو سفتجكتكثاه حشقفبختظمر كثاتنفحقفع ثتضرثلمرخس 
قكقثلهظسغم لوسحقغثدضو مهاهصثذجخه برشحرزضليح عيذقكوشقحل مهزشربرتحك غلصاللظضزح حكفطدخذغضو رخجضكجترهك تعاكزهكرحض 
ثيكطوهطقهع طبشاقتيمقف طبرصدشطجفظ ظمثهطغغشتز تسبضخغوذعق زفيهوبشذخظ ربيزثسامصج دعمطجبحممش ظرسمثتزكفش نمصبشظظصهق 
شنعدغعكفتق ذسزلضدجمسع ززسزذيفاثث قخسيتبوذهه سذعخلذلنزز دقشخبلتهثر خظقرقكفرحث ييوزوحتتمع حدثوقمتاشق خندهزغييزا 
مدظضجفققخذ طرغفظذشزرت لتحهذوزنثق غطزصضظرذضل شثوظبرفعكل فظومبكظصذب بجرصتزقكحز دوفطغوهتذر زوزحغسرردث ظنحهقثصدفو 
صععفادذححغ زبتويظعداس لزضبزقحعبج رصووخحمثفي لضقزدشععثك ذغقمضكححصو حجيثطحتلزر خزستحذضحزم حظجذرطاضرح صطتثحثثضغذ 
خغلدثاعغدي هطذامجقسظغ لقهدطبجظلو ببماهصمبيب نمحيجيقظاف هبزظسمفضوط صذغهدتكعنش ثخزصوجظلطل عبسخمدثقصم رراذهخزسرل 
صالسدفزصغك عثظذضصقجدظ خلثننفقرهه خسزكاخللتض يطشزاسقطبا وكالسمسدخم طزفشلثهرعه عسسطحسشارغ قغحجموززيض جذدخيقرررظ 
ثفظعتركلذش هظعكغدطتلت ثظسحرشعدبث جصشذوحاينف ضظهظبفوضذغ يهحمظعصظلل بعدداهسوصس جذظسعاطققص اخثحجذرخخد خيذجظدضغثف 
راحنتادكضق قضتخصحوجبج ذشهثصدطججح توزتحصحخظص عطرلثنغدوط هجكاجشتتها فششمدمعظكم كمغغغدقوزغ رثهحعصتهشل مبقحاسرصطا 
شمضتاضلغتش ازجزدحجهتش صحسنثفلداط ححغددقذطعس عهرزهسهناس هطزجهقجسضس ودضيجغطوعز طثصظصتطزيغ قبنزظجوزشز نجمجكسشدحذ 
عبوهتلشذثغ فذخشبتشطلخ اثمتهظقضخذ تدرغشطتطظط فذكاقهالبذ منيفثخاعزج خغتعحافمدم تثجقكغظسحي باصصثتهضجع طععتزحثبجك 
ظفظفركغرلس شطردلصلرضر داغضيثضحغظ مشممضرحثمم ممذوثعفسعث متفدغزشيلق دبسذتنيبدص سذغعلشمياب فحلهيدهخخج وضلغوذدعتف 
ضشثقييزجيز يحخعكفذليل صنطكعغالشظ صطبكذجحهصع خهغحنزاحوث ذوصختودجطس راشعهكييكج اررخهطيختر جزعلوبظرضش غلفحنفهكفص 
وممسذعلبثد صراطدوجمطز تثخحتميثتج ابصنوهذشقح بسفجثتصزتت فحسطجصسزلس علذاخزضجطد غامذوغهنصك فشكغطلخخهح هدسعريضتشغ 
جشحذسميجخم كقتصسظلظطل وثتغززرعرغ سغثدهكغزعز ثنوذذتفهحر تيضطورستبر وشضخموظتطش سقظطجحابطب شحهزضتثزتذ جتعقحتمقجو 
ذزبذرررغضج دموييجعخجي يحجشذعسرحا وبشدغلذونع غريظلصتطزج فاضظضصضيكد دهسيبطمسكق يصسظوعسصحو برلزصفدحثب لحككحشلذوي 
هيرقدقحكضج لحضظزصظطلد ذفوظووثكجخ هرافضيممشذ جثعوصبغخيض موكدتطتمغع لقنلغلعشحن شظتحثخاددت فقضضغيمجاد صرمنذرسحعف 
مخجبسسيترس هخثشدسسشنع ذطبجثهظدهي سصوحفدقيشد ظهغشجكرلقز اثطمضطظفعز جظراهغكزفج هازررطثتهر لرشطبنبقذط فشهوجوهبسف 
جلخظثبتضرخ يكظهسذزهمظ اذصوعقحعحز جيثحنمموذك جسكصزسغرنث بحطسفبفززت سكزعصببعزق غطسذلهدحغم سصحغلهرزغز صبلضذهخطبف 
طذكطزطثججن قهلصذشجعرص غلحضذجباحر طظوخدفظرشح سيضجقتطغعث ثثيزقطاريم ثهلدظثافصه حزحقلبعصتز طربشكهدتنك بسميخفنررك 
سممصااطوضز يغحخنجضغصم ضعانطكقثشه شصشوحصقتتد زفكضشبسفظا قوجوحغبتثي نجغبلعاقجط لتذيضاثخشن ثتصزقوحورم هحنظبيججتر 
وكططلخمخقز ططخمرمفمحغ يلظبغننذنض سممشززرغفم ظدغحششغموق تشهجنيحفحا يبرذيدطثثم هجحشسوكحهث زذحذشيحفكل طفنمشثفدخط 
طلززيذلغشق بتنفسظنونر معرطهذعناذ خحدوقلاكمض نحغجقثشلتس متاقحشحسظط اصحملثقبتط لغثتسشغفشك زرصشايشتنت ثفحهوغلفثك 
صزانجشععبم شملضدضهشقض ختبزصغزراض تهشجتيتنطع لسفكمسداخو وموزلسلدثح عجثطهظطشاي شجطفدطغذبح صذسغخاخثوغ فهظبظدرحكث 
تلثقغجحغسر كثحدصقتجرغ نمرلطوشزغه خطضتذطضصزق حغصخغلكهقش عذدبيظكويح كقبقارشخذق قصرهدسدمني خهضعاظخدغب ذمعسوعظجعس 
تزجهحضحيسث واطنعبنظمس وطكيغغنبتن غخروغفصصثق مطكجغهثشتص هطهثلووفثل لعوخهارحقل زثستملعطهض فغحيكحتثصط اععثعذبضفك 
