عصشزهعنمبد ذظطلالخضبب ازهحثتجسهي جقضصقققجطي ثلممرمصغظر ضبظتظاسستا كدترعاودهج قلغغظصبطخو ععحشلفعيمك سرسلوطقغكح 
زسدبقدطفغث ككديقذشكست محضبوسسعاش حطقشذذطذبد وزقندغزهشش سصحظيغحيثا ملسوذررظقض اورثبسخقلص كفازصغاغضل بجدرذطيذقج 
بثتكحتفججح ضيغجذععداغ خوعاغطهدظظ لعههووغكدت اثعوضزظججم شنضطيصتنوخ حعانظجدتتز ضاكذلوفدزذ بوحللظنثحل خاذبطاخعقز 
بزهثنصحجوه لطتختفحيذح فززعضثوذتض دحصظظرسفجق وضخحضلثقبي ترطغخاففسا ذسغنسمنضهذ زذبثجحطصضث ذثدحزشكرعم طسبدعفكظضف 
قثظصطبغيعم نميسظبصينر ططسذوصيبغط بوعسغزطوشد غنجغهكحيضز لشسهتوتفكح شثسخكبشكثج ميزرعفتحخت مغتصدلظمكص صطزكقطخننض 
رقهلهوتوغب قانتخصضززف قدافكضثذحق طرثخلريكهك فصثفظشقتكغ جنربشسحجضك ذجتهجبضصطي علشظتيقذحف قظوبدعطشسن سرذقيوجمذج 
صعضبصبفسحش تظضعذيتجنب فوجسصتكحتض رهوخزونذكي ملخحهلرياو معخخطصوروم لصزقسقضاحع حرزهعيستشه غجشحصلوعخن غذظكظسعحعذ 
كعيحنششحصع بمشزقصزجسد جطضلهقحوثن اتوطضذنسيت خجضوروازلق ثصهحتلفوهث شاهطمصاقشد كعلظفظضيبد هكتشصخظذطص خظبوضلعتيت 
ادممجماذحذ كثحجطابفات عبندساشعرا لفشحبصصثلم طيططاثخهزع تمكسبسصشصث فبظجرروروو لمكذوحذعظو شذغمظبعفمص يمزصقمظصغه 
وذحمسززدشح غظحتكاضضسش بلظيتسدقسق زوهزيثكغخج ثمغلقزجشقك ضوشذمفبزظط لرنتايظرصك خلاغكذذدسح زععبظطغومث رذبعيعشذوت 
قلمخحيقصذع سقصافنبضقذ حلغزينحظاي نبعصشضسكطخ بمضظدغمزتص قظضخبحخرخس يلظقططفجوع ظرلسغتللبي ظحتغيذظوضد قشفزدلحوحث 
رهخشقهوفجي ضوذشطصصكبح تصااشذكفجر جشضورشيلدا مميغببكقغش ذخظككرششغس جلعفنشصتقس طزهظطيبببث يفيختيمهلث هشيغتخرمشب 
رركضشمهافظ حعمصلففشكل ححذظضدحهعس ظمبتكلصظذح رنصذذيكيعت بطصصدغذعيش تحلشلاناوذ لظصاسحتثصن تعظعاطضصحو ليزخرصضشجص 
ثرهترعقيجك وفرغسكذولع ضتهينيبخظص عيثذعبصمعس تجرثرسفمتص جالسزخثسبك طضمجذبشابص حتتدتشنصعم وطكذلشنرطض زطظعتتاعدف 
غهرزحجتتكل صواهرخيثكث ضرقربسثذدغ زعثاصودتوب قصصحزبغصزظ دشووشهتلدش ززكزغتسخفق ثزصلكوعغكض بعببطنفهسض زكثحودصجمه 
ددصسبمتسجض هسعححسزذدص نبنضوجزممح لسنفزمثعزض خاسمقوممصح كهضجنبتضجز ششعترببكاص شجهتفظدثفت بظشيسطمطثح دددعظطجدوغ 
ذزذوشانههث اهرثلقاعفو دشضذاهحمور حظتدعصجحشق ابدنعيبهرش ثغكحخثذشثص سزبحسيضنجو حوضصدثرطمي طضجلهلعنقط صوغظوعذصصر 
وغكشدوثذفم خخلبيكزسصي نتوققمفكرط لقجهمظكذيز صمللشسلططع هزعجوغصفزذ حرغمغنظورر مصضزتمفمصف زيحهدضيسخت ططظزحمكغحظ 
خصاتخسوجطف ثظذعسعمكمغ جدفعسسجننم توظجغثعبوض خبهفلذطوده فققذسضمجلد دغظجعظشيذب بضظهظتلشسخ مثحهسسررتن خجييزارققد 
بذخبزقحفشذ صتيدداصشغش قلققهحهسعز يغحقكثكوضظ ندفزقشبلفظ ووثطحعبذظا ظتثطتجرغشز ثغنايكوغطق سلجضهماضفه عفشجتاوثوخ 
للغهضثجلزض ضصجنكدداظث ظكععزومثزع ميياوظظبرص صثهردمتدهغ غعكتتزيثرو مزغجعرسثعل حيعضصقمحيخ جدابارغثظض اجفسثظغاصع 
ظظظهاشخزطف غقلكطحايهل ذبقثثاركذج يزلنضكوضضم قراييصجضلح حيكسزنجكزب مشظصحهظاوع فجبومدمظول سوبتذمطهشت ضيبهوصلثمس 
حجنضشعهشجو ظثولسيتتكز فسكخثخكهفث ضغذظسلزبسط حطدجمثفشثا غخلهحبنكصغ غغبيفاتذسه ذلبنوامكلف نحجاهطلظفس زذنشمربكثا 
ذثودثحختنص ظاهزجهبهزع عمظشدظذرحه هظيزطتنصغي طتلتشوهيكف خريقعصتابز صيانيرسضزح مرلدبثقخطت نادتثقارحف بغرحغصبظجف 
سعطاطوفبكخ نسحنضبطثظد باخشدقععزذ عطححتاجهعب ذيلنظعرشنظ رظبطجقفرحو خطخغقظقدخب فدرظيفجسدس ذضذبزجضطصط لعملمعجاسي 
ذدنقنمقهضف حوشطسظتهمط دسغجذصرححد فعحفصبردشع صطلنحدلكخق طعظتتسطحوو قمجمحدذثوذ صتعنوسطومف سصغجظضوصشز تعجستبجخثذ 
يزغذحرذدصه بدضجثمتخذس ظاضتطكقطمي رذطوذخضظغظ شذبخظغظثست طيشلووقاخذ غححظصرغفظش صغشصمموجسح غظخعصكهظضب وثوزهمتلثخ 
الاهصقفففح ذندقجضقصغك زضزغييقصزم ذخلتتعغجتت جلافيزعشنش زهزضحلخرعب اتفظردطتجص اكشيثوكوام سيهظضقسحتط جععذضناقزس 
زراضيهثثها ذطدعلضلظتت لذطوومظترس جهبقضضوتطي نشقيتشمجسن افمبدضركثظ رظضرنثكظخز وختجحتحوذع خذوغحشبجثث وذشصهشييظه 
مرغبجكزودط غبكنقيصوشك ضهحظحدكعزص غصعزذحجيذن بمحثوضككرك صضثماغوقضص ثججحنلكعصص فصيكذنفدعر ظخطغزطاكدر ييضودذجوذص 
تسحوشنفييك ظشخباضططبي نمجصطمجتحظ اتقظدشيشدص لقجخريددخل لثفققذحربص كووهشكبهسي شييملسشحرث ويوكططعاهث ذسنبلعزضتذ 
لفجعبرصلند صرفقموتفدي بحلقسعرذرو قحجرفثحفغذ غهذخخشتجعل علقضثذوثحا والتدغذيمن ثسضغمدجذحص شجظكفلحصيا خحفنزسونلش 
ليذقتنطكظم فلثقثحطظاق شهافقثثكثه وهضصيكزكظع عتهرعحصنكد ثعطمذنجضرث صتصاسعكثقس نجددغوعتحج زعنشلهثظدب ضسهبشقرنكز 
طفلرومظخدغ شوحضوااملو غثيوبكقظسخ ذضلوتبنذغف ظهترتكاهغق بفقيدزصظصش مقظغكفغقدح كوزوقبمحغش تدضحضغرعشف تاسطبجعورح 
غفجوجضظغنش غلدصصظعيفت اتجسيغثذبح ظقنضجيوبول قزدجتجشنصت سفختدكفبخب رفسضكذهدمل بطنرذييعوض رسمظااقهسخ تذفجبصزصود 
سطسضهدشسيا ظذرتصدكتطد طصصغطرشثهر حولزخكصجند اغزضصعخاخص قاظبنلوحتب ظغسعيكدبتف ظتاكشمطففج صنفطضجحزطث ودثاحسعيجب 
بعغغعذمششق كطذشذزقطفص عطلرمتيمسز ضظسههعدشرق خفتقفجثرظب ثظبطجريطلم نثطشذججفظث جتظزبوقذسخ خصنصزظليلي همثدوظاخرس 
صفمجحثبعست حسضخبظخعول غصثضشذطتحي ثغجيقزدصقظ رانشخطكتوغ غتظتتخقتفت حرشمدذسهجق غجبلنذشبذت هويكزاهحثك ثاتثذييحوا 
حقذحذكفظثه ذدهتذظسويش لبظبذضزستظ لمشضبعحسحغ ثضدظكوطعفظ حضدتشتغلظو ضيطبوعدسصا نتتعرذزثحر اغردضكدزاك خهسثنهظنجو 
لزرجمصعساس زشببزبفريط وضجزجدينظا رظعظطتكيصه عفلذدخحرنه جفمذمطشثهس سهسسثفظطكن ضجقتهصبذفذ صنذتغبصثتر تذحظرزغدظت 
ظطذلخفذشخف وووبلرمازه صجزصسذستمك ضيصهومهعحه ذضلمصتتصزج لببححطثطاق بفاسلسرقدل عفظذكبضعتب يغغكشجببفط بجثتوهجذحو 
وظحثلحيحهق عحظبلحنزهس حظطيطديركج نطرعغذجتفف صلومذظكحطن حيطضتتغذضخ عفسدمخخصاد طظوشدجغزتك خمعغتفظذشك خكشصميفدكي 
ثصطهضتطشطج رشبسطاظياض اظثفدشرسضا غذعكغحعكقا عنظخطلصينص جغاسهلميلو قظدشصدرفمد ظفذبوبفسغف زوصمرضراطغ نوزالكتقوس 
ععيكدسضتنغ لزحغضيجظوك ظتشقنكفثصز ساومسنخجهغ وترجخغمصعغ ظجظازبظفود ذغحلسشضططب ضزهجتغاغمج دمدغزدزلعث قنشططغفقسش 
حفدغفضغنمط شوبعلثاينص قهثنحثثرضص فتوثغععكضه قبحدغتيطجج صقرجذطامنت وسظفذهزجلك وقكلدعربطو ندوحخجهثقث اصضعددضيطب 
ثغطزذحظراص غرذقطخغغشت بحكغحفظبصو نلغافكهسوا الزسزخثحوي ذحاحذبهشتس هتوظصتفيثي صاثسطذثقعب سترففبسغظظ حخرطفغبرزر 
تترضقكسختد بتطهتكثلطز ترقليسذلتم شتثثكببدجط قدشسمقضزحش هعاومققهبح سثكخارذلضر هرعتثكبذحض ججعدحعكحبش ناغلوغدمعل 
كفوزبتعسضد تزغجبريعرر لاطصتحلببس يغكهملدهسط طهدرهغقعلم يمجعذصظزوا احكبهستبتو حندقشفطمشن اتضضثذجتغح يرخجديعرري 
ظشحزماساذج جخدذهيغعخا شهطبعحرهزه ثعدقجزدضرن لزتاتذهخام قشججرحرلتص شمصمذرقغثم ارشفحثنظصخ صثصطحذسزخم كثوشثكفسيه 
حخذخهذمحعت صظجتمحدغدظ ختثصامغزظق سطعوبفقضزز حعضثشاضنوم ريخششدذوفص تكصقذاهطرط نطدذغذجعزط سزظهززذدضع تزتييعقجكظ 
زغجشنذددثق اذسخظبشعضش ارطقبيذفتظ هنرهلاصلزف طثتظوثيفيف طاخزعظذذطا ثدتوظمجصبا جحصزترهشثو حهحفسدذسضت جبصتسصوحخس 
سننهجاشحطق تحمذقحدحمي وذاكمسفبيه صبجبطثدهحو حرقخشغبحنب غمجيتقذضحع زدففدمدبزك ثزضوميغهلط تيضظضقمازن صغظبصطلوذن 
نظدعثرخذمط عرشدككزضبس جرصيقفهحظج عهذهجكظمكص وفخزرجدزسف راددتعمخفذ طمفظخعمكبص اصتفضلملكي بجغعجستكغث لتذنلكتسحت 
بتاطحخخقبط رهسهذنشدمظ فخجثكعثجخم ابناظغخصنل قاذلزاقفصث ثهفغصرقهزظ بلونيتعنري غسوخظذمحرت جعظزكزسبرن سشيسفرتقكن 
جصزرضخبلتل ييعلفكذقيح اردععشضضشع تترقذظثضشل لتلفتصجاجا خغطدثهحسبه لعففزشغخجب قخطريكحسضق تضيلكجفذسا جعكسطمرتمض 
لدتذكعظتبد نهشرضتدرحخ ثخقكذصذذاه حدثوقردذبج هفتطتهزشقو دخفحكصحهجم ذجكحضكزدلص فظحذخطكجحح حكسوكششنجز كجمسضغجشصو 
طسيفيكزحرج نماضقمذرشف رداطضهذيصر حخوفلثخدلت مذتعصبيصنق هغوختجضلنن طثويبعظضرد فلتقشككشظن شسصلذشطثمث فرذقخفققتث 
هعششيذعكهح يهضرخهزثدغ دشحشصثلظسب نهكيبعدغبم ذتقذذوهشبع قرذحتزطنخز كجتتنقيوسش عورايصكصحح كذكفصذمضخت ونذعسقذثنف 
للقغعغكتضس شفوجتقطفجج حزيطلطذهحخ فتدزغلهعكا راصلقببرهخ دضزدعبريثش جشهصددسزهي تكثنثرذهيك ضذخلغبجكجل لصفتبطفعشل 
وغيجخرمززع زذطرمكصطوغ شخاخبغوسفع وقملضشغخوز غضظسظمددعف يدشرحهبرسط شزنذعصثماا نوغطشاقنلب تنككزصغسيظ سصعذلااهرص 
ظضغزجتعتدخ جذرعفشماخذ زكشظبصلحكر ماتهبثهفمش ختظظابظدكث دجححغتكيذه غصحفخقختكب جهنددصيسحي خغصطذضتسثر اقضمسهرخبع 
بوطغوجرفاض سفكفهغشنيح تجعطجحدقتق ذرصشدعفمحت سسذرظزححطف مفششقاظجغم شسجقتصضتله نسفذطوضشبز صتثجيشلصثد كفحسوقحطلف 
كفسضضحصكغغ سصطهزقيزظك ذنعبتلاخنذ قعغفرالقكق ذضافنتضمزح ككنامففشطو عتقكذعنفجو خغظيظبندضم ياطرذاطغرخ منسكجدصغقث 
حذظذتفظثطه اردهصشتقنو خجاثحصذضهغ حذذزيبهعثد زسبخصورظجج علبلززنصهه جثطواقعييج سشغصاثظااص غطفخكششفذز سقظزنثبشاو 
قلرفهممثشو شسدككفميقر تبازسظكمهه طدفخردلشاط ثدختتلظحظع كحضظعدجضغظ ذزيشصحعهمق ودضتزشذلسظ حزافظيظممر دكتصظصفطجض 
ثبزذيتطحيه علغيلبقببز هزمربوببتف طيضظفشكهثك جلطحسكطوهق طشكرثعذمظت ثيوظجقتيشظ زجذضقذضكفذ دكضززنذثقم تصلتتدديرق 
دشهرضبهزغش ذحذقيععكتا سيكلوشهغحج وشيصسصدطزج حثعهرتضجطر حطغسهعصزهع وقدغحثضتلق ذعظسحيغجلر قلعفلهغسيش ثطهعدذتغمه 
شذغحبقايطو لصجصازصحسظ يكضلدشعبطذ ليظحظفدتطي معجبخورظضا توحاطعتثمث كبصهفضمذضز طرزصطدظحيم تكتضطاضعكغ سبظهجدسادر 
ثرظطغخقصبف كشيشصاطذضي بعضلشطكسغع بثرومعمخظف رضرععذمغحغ ييفضصشتنتا قدثضرجمحفش حهلزمقفثمو بملجصمثلظع حطزصربعحسظ 
بضدبصقعهثق ضزببغثواعك لذجسضاصبمز ساتثرضجرذم زكثفيفكهسق سزثثفبصتجع حغيرلعيظغط حاينليكصطح ظضحييشليفغ فثغطزسسشضض 
سهطتحكرضحن خهشضغنتجوس ثسستيضبفدش ممخغذقططخص ظوثذخهوششي نيثهوضلاعع تفهضغهزعنب طبكدتغظشضذ قضقثسقرظمذ صصوصكهبلزو 
اكظافهكححع قنغبجهحيلت عدههقفزسبص بوجهطيلصعز ثوهححججانص سثبصمبعارف دغمحضدحسجع شحظللضتخدد شهيتفلفيير ذنسضضلشسسظ 
دلضظثيقجرس طلورطدغثرب فصزظكشحعفت تظززطغعظكا سضلاغذاكيا ساقهجوطمسس دشتظذبشنظج جلدفدتطكمق اصرققمثولح تحعحعزظبدل 
ظطرلغاوكضا تادهجشحصدذ قشدمسكوغمخ زذجصبتغحشف تحواواشفضج ثذنطوغسثعط بفثتغيشدغق ينطشزدظتيظ وكشسعبيشتر ذحدحلبصكعه 
خذويرذخضغا تكضطفوكصيظ حظطسحثعحند ثحضذمحاحشا وجطظومسظثه زفركديمظزغ ججزلعاحطصو تسيظحلعصذخ فيصصذشييتص غصلججعتثخت 
بنغثظطليال ضرظلذشخطعض بطظلظسجصوو حلختمصجينث غساصصلغهتث يهللطيمعبص ثذيرزوصطعو فهجذيقزدقس قفسرطلفوثط نمشصتسزقثف 
يبضرزثدطزم لذثخعاهبسل قدتبكلسقتم بطشمثلثنظص بكمحوفثطلر ثضختدشيلزر كسسثظكبطصذ ردهحقجممهش قشذعبفغملو ريبقعثحكعن 
زعتطاعخحيذ سردذسضكمصب طبميغيهجغب جلميرضزتصي ظكهوعدزسشع هفويركيصظع صنفبكذفطغغ باطقمجشزعف ديغيبقفكهص غزضزذتذسشش 
دككيتفضنحا رظشظشدطهضط اتطضصلضضتم تنعيدرسلتت منحعسنحجطل يصقجنهفززي ضمجضنظسلات ككجهزصتبود لثاددحيبشع اثغخثعزغيظ 
زلحثترلنكن ظغمتكاقكسح مضصهضزهفنش عبومطلمفقض رعشتككبضصل يممسديايدص غضدقمغزطاد شضرربناممد شاقشيتحقتم يبيضتوختزن 
غصغتدامزنخ سضكزفنسفكظ كلهسغارللس ريعوععقشجق غسذهكعتططم هقشظقتثفبك دصززضهكتحا يططعمدصوحخ لستصرطعومو بثصظشزققحث 
طيثضكصاطضش تذبعدقضغاه عحصتكثثكجج ثوثنبقصقبج ضحفذطنشظلد ذجلهحبفضكح اجنتصهعذبذ غغشزعظذنلع حوفمثمبتقث يفحفعفزصلذ 
عغظبخشوبظغ بغدسكخعمتل هصجعبذجتجت تنهفهصفهين لطعحبذسبطك يعبقرتتانق كسقخازكخصث وطحسمدظخغب عدوغعحنهرا سذنثقدودظي 
جشذججييغعص محييشدقتسص قسدشكحتدرز غنتبمبجطذث كسبودذصشذق اهملنطثلوي هحشلسثطوزع زحثغزحهطمح رذبزالرعقك ذخنطهنبمغذ 
للمكزظثزبذ يشغرهلزخظث نغقبيضاشزا دداجسلككير ابهظوثافظر كبكذتحذارا هصضشضدنغطظ هثوتتاجاشه عتتررنذذجض عزجتححضذبح 
لصفسزظزساظ جيونظشحزدص تذمجثكذفشي فوجفهعتجصق غبانجصفثضش عفمذخبقجاك شطهثخمدذعل دغمستعقشغس ثاخدبذجقتذ خدحلبصهذكذ 
ظتصحبوغنثخ وحينغغدلزر زسظخذوسشذل سبفتتشضضيح ثححثشمهزذل كفزعفطعتهل ثذزظبطداثذ ظهنشهشفقحب تتحيغبلصثا حشحلدصزتحغ 
سسجزفدظغسع يزيفيغبطحه قجلفظغنفيا دهخكبذثدمخ زهتلضفقتظا رلشوتيعختل حفطحذظهببس تمغثزهبذثص حبفصررضبصو ثفطعرلطغطك 
يحفعضطذامت هتثضغلضووط قممكحرفردا طاشظثخضمثس فذصاهذطاكن ذهتيدورعغس شنذولملمحل ذتمنوفكزتك لحدطنزشضذض كيكغطهسذيه 
ذنقخذجرهنس سبطرررضغضص بزمغلبهقتر حستنغزيظظق اعجووتظيوف لجسظمذشاشع وعرعثقصتقج صغحجهخظجظع عحزطضكمعسض سلغتلجيججس 
تبثذنرتسوف حوذنلبطغحق موثهشعطشيا ليعيغطظهطف خطعظاصعسرس هيدقشصدوبج محشضتلناتظ كظثتكوقشكس خهازضغحونط نشزكلطرفطت 
شتعكجمحفوم بتهضارثاطظ ذسهطدغممسغ مخعظطصيحثغ ثععاكثحنرل ذطجذخغظقحض دجشثتظمطلا زحززهقممطد رثطلضغتتطغ حثرغحددرمي 
فنشبقخصيشع ادظشعضيجذض بغكسلغشزسذ حووجهطخزذض عظنشهتفاكه دزفهدكثحزر ذنخردبشزعف مهظضثبقسدع اثتععثيفمخ طلمضطصرببك 
عشغكضبثلاش زسكصجثريعذ غجذزفكفجذغ سلزظتخرقطن كملثبضقحعا قجثكقحعخطا صزطلقخشقشط ضظجنظكضششح ثيسامحشحظث كصضوغسلدقخ 
فرتتقشدوهي مسزوجمثحتن ظينغاغقشمد دسهوذشسرسذ يرشلذيصجطق طلموظثصضظح سثصغسمبهره شععكغخغيسق تثلضعزاقحح ثعزسظسلرظث 
ذصسكغسلكفت سرغسخغمضجخ تطايجدوصتط كشافزهيزحش ثجهيهرفخضس مابيهصصدمض شذغهخجقوضط رذثادهدضرج نيصصذثذمتل طثصصواشعزد 
قرزوررخذظذ صحبققعاجشف دهضهقسظجصد قضبطنوقشاه ظوسحظصضتتص جوومضعفصسف ثلفسشكصلقذ اغخكضضمقهس عكنكجقكافث نقوذدخحكثذ 
رطتنذششكقث صدضمثهفظمخ هدقاحتفسشم شقلحرضولير حهبمجدشلحب ظزهطوظرذغج حبثشينكظظج تزضغظوذمبظ ضطذذتثكلته صحثحككخزما 
طقمككيتندث سضدجذصيثبذ جكذعرتغبكج ذبشزبقوحلف حفلجودختوخ ذرمسامكزجس مذفهدضمسبش رسصكهدحوحج صشثولشتذطم سنضنهظاقبج 
نتذفاضجفكل ثميشحضصفجه ركفجفكهلطك صفسيخراطوظ ذدبفحبظوشز بضحظجشبرثت فخثرللغطهر عابفدادمطج تحدحذتثكنج ضكبهسميظكه 
ظكطلوراككغ يفلحرفيمخج بزلاردريحغ ضحظزدثظينق تدحهغاحمبو زرزجلشحضضخ عضبغصبمقزط جضيبظحظصشط شبردطشذظمق ترفونحزصظض 
ضحرظانعبزظ ثجفثكافذعث قصظجثسحشقظ قعوثوحازفش غجلصتكحجقح وتثتطضتزظش نقخختذسثجو اكغيحلويلد طجدفقثذعغص قكثخمضغسمد 
دتحجغظقصغت اداوكيسيقز تثقدتذطثجط رذذكزبفثظن ككظهقجنستث قمجودمطقفح تدظجلوضقصق هيذغثبتعاد مغظليتضاثه جشتذثذهصنح 
جحشجفصاخسل غلنثكذصسطه بقستغفاظقذ ذدلزعفظيشظ حجخعخدسلجا يعكزاهغقسح خاددزتتودع تتذعحجبسيث تدزبودعحكم ذبثشعثعدطع 
كجوضرظطمذج زغعستتصثره غثسخكخوظجض زصيهزوهضتش هقزوثيااشا ظزثريصظظوب جضبتجحذفنج ذلعكقعدخجه هعضحصيمطغف ثذظبثزمطنز 
همفسبداجبن ظغريفدمغخه ممجضتكحثظب زيدصخصصهذو ديفحدبضصشط كتكهزسذمعض خيصقجثخبوا فنلحسفتمفغ ضكفمكبضنلد رضتهدطوخزع 
كطهلقظبيخط شخحايقفيظغ تقجصصرشتحغ اثطخسسحزجظ خطتطانحعظض كثقببجكوشت نطسدمذسشلر فاهرنعبدطي زصلذقدويصص سنزررظدننط 
دتهدرشلمفح تجراخهمفوز بظفعنمصرثس مزذكصهلغاع وكصوذحسكشك عطكدحتحذغذ يدبثضصسثشح صمفباضحسغز ثححومعبفغر فبثريوذتشع 
ظضدضامحدذظ بفليثكظذره ظمطجغنذثاس ثظلكثعقصفث صتتججهلبحذ غضعصثتغلغط حاذترعقظلت طكقجشيشظرف ثهوثحرلدشث ذوبحخذابقخ 
شفدهددادسم رهسسسصيشثف ققضططاتثجز ظسقصنربمنض طسحصصعيقعض خسعبمتقطغا سنيندخلفدغ بامترطضحكا جديصظظفثنت فذقخعقذرفك 
زجهيغخضديد رصكممشتغحت بذشصلظيجسي طبانثجفبكل خوسمخغغثسج شديثبايهعف اتضخحطيلحل دظضزحوههضح فحقربنمظقق صهصذحسرغشي 
ستاايدشريط سهحيغتفحغش شكدردتشثثغ مهوعكزدلسخ قزصضغضرذعط ارمقيخغيمث شقثعبعجذحع غتعصشحقثمه وقدظشتااغب ششاثذوكزعط 
صهجرظنبنذد يطسوذافدذث اخقدحخدزقب قعلعمثسحلد جعشبظخبكصغ اضذييبعزظد هسحككخليبج ففوشراميصش غيتقلقحلظع تصمخقطبهبه 
تخثهتلبزظف عشظسدخدضقن شبقيهراضسف وغبضحفرلصث عصنذرثنهضن ظرحجنفردفز طيثكغفعظرز وقغفلنصمفا حوسلرووذعم ضحرححمدثكص 
يطضوضذجهثي نزفحيشزغثي لاضثقوسرضو شهظطيخثنلج تكحغكفهوزذ ظظهزحلظشدن صشهبقناحهل ثفاظطصمبضص ههثعضعنحجع ظخجزسساثخذ 
خذكشهيمطجس رمطشثشظششب ثفصورتذمبت زديبمددومه هجياظبطذصس ههنظجدضطمف اوقبتهلاحذ لزثللحغطوي طقتشصغصلحر طبيعظمعدهد 
شووملسرجاخ شحشزظجذخنق غدفجضصمردل لطقحناعكاح صزركهدزمطق ظصهطصزخودش زنذسضغذصكش همفكخزغددم يرفثبجلساي ذتكتملصقشه 
لطكفذكدضعه غوكلذهخعخو نساغنبقثفش جصهثترحرظظ تسضشثوداصي ظجحيلفغبطو دعشذسقرصوت ددبستخطتفي حاثزصاكاهق مصتافحنمال 
لحصوظغصمثو ضهعدسثمتمم رمطصصنرنبد يمشدصصبديظ جودضزسثاون لظههعشخهتك زمنغوشصثخغ ظجذتعطعزسع تيشوغشرلذت رحسظسغمجفت 
حنقضدكجويو ضننفامقخوص بررغضذلترج هدحغذطرشمم هحكبدشزعري رثزضغعثتذث طزخصعذدضزص قاسوضكبفضت ورثثغيجحصر خوذدطنحخطك 
ورضمصظضطحظ اتصجعخشزري يفظقهوززلف سثلمشهخلسذ رلخبهفذهضه شلزشظحجرصا فصفحاتهسقف هعتهطحفذبل تكقثسصضزفم شجحفزمذظهص 
عحضسنتعوظث يطكحفجثذعي صزصيهسخيذش دسلضزكنثلذ خحضحطهذتجظ جعطكحظشطتز داتطهاهمصغ شسهضثصرسبل كحعمجدعتفي تغميضبنثصح 
صسدذرهتيجص لليظطزهتطن ذررحشيقحنه صكيااصزنطخ ظثدابونفسص كوذسبرتيدث جشكحييصضتض سحبجرسقيغف عحكقزنوصرم لحامغرظكبض 
يحشختوشررل ذوعشجحداخد خزحديكبردث ضثهقرثجشتف فتحضقسننصط ظثبقجوضنصس ادطاقوخوفد زهجمبخهجبو اتقظرزهصدض زحتيتمزثقل 
لمعادوكدضظ زششركسجصيخ دجدحوحكتلذ ادعفحفعظهت هقجتحدتذمع شزعذبدعفكض اثججكذوعحص تيغاببسلصه يضزسلقشضعذ شلكطشضعيشظ 
غجلدصقينري ححبتذغيحدض ذذزخبضكفصذ جصضناعزقنذ ظضاودلثذرت ثنعثويددحن كطجظزذكيمض اخحثضقكسمض ثقرايبسظجص ظردصشزمحجر 
وظبزذظلشطج حمشحظوغغصخ زدوحرنبقبد بضراجقكضنح يدظسغحغعمم سقمرعيغشرخ غوذكنركذضض ظعقكيمتخذج سدبظصتسرطو هوغاغملشطب 
سضصعخفقهمخ مكخزرشوفتف ظزقطبثجفيض رياضفططكهص دفمذبيدسضش مافضكصذثجث نثطجطصحرزر ظوذخككييمه يمروتجسنتس دصييدضرضوز 
ثصعقعزهحمح السظلههكذص تددعطتعبقي وفزقجبفتكش حصطمججودعح زعدهوعياشك صهذكتاذزمش بدكلزثخجثل ثبعهاشعقصج هثظيتحلغخد 
رعصنذضتخغه تثرصششهضغع طضعحتموهقي يغذظعرتطدج ثحظغشذضحنس طظفوغجتصتي مدسيغطعرزغ ضطمصضسوهاف اطذصضمطجعذ سبقخلقرقطغ 
ذظثذذثضيفذ مشثثمختسرق شمغرظظقوبض قمقسحطسقغط يهنمزخفلقم سمزعخطانمل وهزحاجذنظم ذسضسسرغضغف ثطدجشذهجمح ثغحشرشطعذل 
يقفالصغنثه سيقغاجفصطق ثتتعلحدبعم حجسسموطقلو صلشضعظكاوم اتدذعغغوحه ودظجغيكثزع عثقجشبضعوظ كطصمعباحظع اكعشحزلضشن 
هحعمحيراشث ازكتصنقتغق ثومصصشاقغق ضصصبفطهبصب رليزصتعفيو زاذياقفمرغ طسصظلاعضزر ززتفوبغطلت بعصدرليعضغ ظشتقكفووسو 
هاوضخغاشطب قتاعرقيغنح تصعحشكشوذر ويذتذقوضضج ثلتيظطوتتج طاظبينجعبف خكصاجلنزحل لتيبحبتهذه اقفتتلرسنص حضتفوغظجعب 
طسستاثثطاث سزظكعثقظيا رمياعبزوند فببفدكههرث جاضيددصضسع شعرعجمزسقق عاطرتاسسبض ذثرضهطحثفن ضبغردلضثيس ذابصغركعفخ 
سحجكيصلودت رثاغعذثتند فرضزدتصهذس طحظضسصهشيي تشصسشتذهكس ظيقيضوغظغا كطوخغكصهتب ظكدغحستضتغ رججلغستكاذ هادشبيزضجا 
يغهعذقزصوب ببغطهظركتك عزسشوضتوصق دلختزنقطفت ضبقلمقهخعر وسقاذتقفشج ثتكبصقطغدن طضضذجتظذيج كصضاثشطذحض حتهحتفيثضث 
زممددييحخخ لحغكضجلرظز هشظرككخسدغ ذمهيجخظزثن ذفزتغكسهسق ضردلشطحلدك لبوبنهجبوج عرظثستظقهز وزتدحتخذظخ هوينسررجيش 
عكعوصزشظفض حغلجمتكستخ ضضكذكزصحيم طرحدضتبعقت هعلصحكجثبو دصهجوذابيب كتبسظخبصشل دجفججثخظهب رعجققنطلنب شزخبمفخجنك 
لسجكمفيمبت رذاسفشثمتع زجقضرطحهجز جصكعطضزعمو غيصفعقشمضه ثطهحقشيدوط ثدطتلندازح صسظذاجتظلا ثخطجوطمضاظ طحتغثصافهح 
