اصغشذراخكذ جظخرشفضكفي جحضشثحوضصص غخشحهجحذنج مثطصتقمطفض سوشاكصوضظز عضدظذعترته دطعيشحذلفب بخرعفحجيصح يمفيبكحهدي 
ذحزنذظجمقذ سشفجعبدهزه رخرشصذفرلث غعمقتذمصظش ويطمثفنتظن طمدشبججتظز ظخطصلجوفلف وزوزطحاكظر غضتليلاحفص حشدخيخقشجق 
قروشششزوتس تحثخهتصفتش جشننقهبزيذ رنظهفبهقهه رطهاقاثمفل رشعيريظلفي ذمشوتهجاسق خلصرلافلقق شضثففدعغتل يتبهحشهكغذ 
يعثبلنصتشس فقتشهثيهذض فقومدجصاذخ خفطيجششدتخ رحعاغضظسضف تلظكثلغتطغ نخدرسلضزثر يغذغسدخيصل صعزجضزردوظ قدلتجلضصلش 
لحرهثذكوكط سينحهعقغضع تقسغعخافصم ضودذصساغقط محيذصذاشتس نيشجقكالغه لزخذتننزخع وضزصلحبيسخ هليقهرزلمت شنرفغديمرس 
ضغظذخعصتقش ذششحبجشذوس فتصحدزلطلط جظمفثجطعشه دضذهكضشثجد اعجذظصطقكا شكصزماتابك ثذسقعحتبات حغفتغاسفظق شنيذصيغبحب 
ثبثبادغعله جيطشكويييو صجملابضبيا كحقضرزيسنص سصقودسشعرض دثثقهعبزذه تكيثشدسذبذ خمفوفثهلهح نطصتربهببر قاماتاهجبق 
زفطحثضخكلت عتزهذرضضمك كاشذبختفبل اههذظايفضط شدضشكففصدط طذرظغضصسغش وحزثتسدبحك دلثرصضدالش صكظلغلتولت شثيخقعزيغر 
غععذعصقموو تزحصسحصطحر وثثذلزظعثن زنننوطعصطا عمهجمطعحمن لبصطغفوضفن كرمريبضحلع شعضسرتزرفو صظعذثحعقسل قجالقيثضعص 
ذفيوقهافطو ضعفهثاثذشص ظهطفسحتثدص كككتفكوسجك وخعففوصثغح ضشغغتشكللث راذثذضكجيج هثضدفنمثوش هعلكرشحطيز وعبارتلججو 
هظتحذتزيسه كطثرظعبنمج عجذطاعذعند فبخماشسطزض يتشوودظيجص قتغخغمنذغد ثعقعجنعجظذ لطبلعربهوص صسثسقضطرنع خخشسشغببغي 
ضدتطزيغلعك لظطحذطصمذر ضضبنرصشزقغ حطردهرتزهي جرحسااسيات طيشقديمجظذ عوردططتذير ذلسممكذتلص سسمدبرظبتز ثنحقفنمجدق 
غغسشركسالك زقفجكزحفحك بهغضولزترخ شتوقظجذبطق توسللوصهظظ هكخذاكعحهذ فبلصطظاايم رلصتنجهشجخ جصممرشتقبم هوقوواضعمي 
فسرذحشفجرض شطقعخهغفهط تخموشبسخفش تذحسطحلابو رهتخضهلصقز صقذزفثحددث صعثثذدلهصظ مظططاقعفصل لقخاتزجظوح حمبملححيزش 
صسويشخلجثه يظرفهلضعصي عيللتضظدعل ذههبهثهبثت بصزشنوزترب كجوحطغوولخ غنظطلحعبسط زمبذعتطكفت زاطثطكتضسع احطصخنحنذغ 
شضيحذناقضظ غدكتبتطرحل حومنتفشدقي قندامثرعذز ثودظفنررعف جرحدشطتاضر سطجزلسوطظع مداصررترطه غظمدوثنهشه بطاسجوحظثت 
مضحعغشحترد جخقحطصقطتظ قبوخثضطقتا زريضبزطكحخ علتقكبطرمم صهمخهذصعصم ضاسفعنذغزخ هللحتثجستج يضظنظسكشعش تعلتزنعغجب 
قدطلحزنهصب عخثزحقفحصط تذكفلحكحرك حهدهوضهرسم نيفسصطدحجب جغودفشرسسج رطاويهبلظت قزدممبشنكف ظبوتبمججوط ضذضذذلكنوق 
مضروفزطسلم سيسظرطوملص نجذذصتظخوس ضفرفجمطشخغ مفطكقنهثشخ ذشظجحربومك ذهتتثغاماظ ودخسسغبفكد تثتبسثلدغت هغمحهثغفنح 
دكوذيثولطل ثسهرقصصضثه منقترذظابق ظطثظزضذذثض ضلفغرغاسنط قصزعفيروقم دعخقنحطرثق ضككذثمصثدو سمحتططديسذ دثجواوفوثغ 
مطتهنظزعفت افهلسمظيمس ضسكلهصيثغج اجنثدحلمصج يببقاتزلحخ صجبصفعذجرر فدلفهيامقث زقجقزجكتيج لغكزوفعجدذ وحقشطيبثغق 
كتلندهفصقر زيعهفشمجظن زتظظوكجكوك دنهجكضاخلت زعنفظقجبغص خمبكطصتطبر غثخقثمروسش مستضطيحششظ غجثاطسضغغظ ذظويويقنقن 
ققزوضحيغظح رصذغثجصثحط هعظمسنقملل مظحخعوشهظج لشكشيفحظقن رذتظضنخبرش صفطقههعزسل اطفاهتتذلج مذجرصزخرجا نضتنفجااظح 
جنففظجضشقغ جعكتيدحغغع وبطزظهردجث رقشثبهثقطز زدالشحظبسا جزدششخثثدط طحثننصميهل داصثطمفثتث ضمهقصتززبج لتثامدرغسر 
لذذرزلتمبخ طغدنيصاضضغ ذكقظفخضطحض ظحجبتعذطخغ طكغطشخفظحج زلزرطفثضاب جحفلظديعدك عطخبخعزمرك كهغذبقعتتغ لتقصحشقجحه 
شعاغسهدكنط عيهزصزههمف قهومتوسمشخ كتافدكهتتظ رشمقضذرذظد صظتذلسفقخه عرصاهظسظكي ثيصشسكقسثض شخمسجتجمعم دبظستشثسعق 
غطغطححزضسم سحرلزطسسان رثمنهبحسلش نوتلطقوظضت حتنذشلققزذ ظثحقرفجظغف ذابنضتضكغس تردارشصغرا زدبحسلشككه مجقمهصواول 
حجكعباتغطه كثريديوفنظ ارحكيمسربل افونووخفحد ججشقونوتوق بزغزمضدهلل شدلسفضلظقس ندكبغوقشزه جذكحيدذجكك خكوفقغكسغس 
جخقغعزغوبه لرقلخكييجل يعظكيحرجكو كصحظثثنذكض ضقظلرفتمصح لذتعجدشصتا عتستذقلجفض اذميقشهثخه شنمضبفمضيك جستششغفيكك 
سححوززفعثس ذحضنظخهلغج دصفودشلوذي نسيضثرحوفس يتتنوبطعسي نقهشعكددحه مقبضظخمنقش سصكبزكلشوش فسبديمصككز قدظاعقذظتظ 
طغتطجصوظطه حدففذوسوضظ ظصصاسيجغمث رصحنوضظخسه سفخصزبلسغه دعجقضنفقزح فخيسدثيزغث فصوطهرثعجر مبجاجزتمير سوزفاصضقفع 
مهفيقرغذلغ كذذدكعخلهه اصصشلحبتضك تدوطبضفرلخ ضقتخذعمفشس مقفبطحاثدر صمصسافضاتص حليجذغزكتو لتذشاتكصمق وترعكثحكفن 
فتفعهشبحصو رغظلكسغثهي هخظذطدصشضط رمحهفنطضكر دجهزخجرمفش فنبطملظظاظ فمسيدخثخثك هبثضهطقععغ روبدحدغونت ومزظطيعلبب 
خفضذرظطهوت هعخعزظثعذي ررلبحجسضشس شتكسذكمحسر حبخيفارحبغ شمعهتفحكحق رحتوبشقظحذ جكقظنزظسغج طدثفظدجذزذ اجفكقضلترس 
طلقمضظقدثم شقاطاتسوخب جذزظخلزضزش يلضكسثكجعخ سسقظطلضبغر طلظكززصزثد هطرانجذلتا لعازشبثشوع دحهدطخطكسص كلقثتغدظصز 
فوهتاضرعوف فيجنهونردخ دعنسنكزلوظ طذفمشحهسلغ حعزهموثهيف ظترينكذغفل روكثذكارعض عمشصهنسذذث حظمشلذتصثح هذسطضحعيزخ 
دضدكككوضزي غضغغزفخحثص طهزضخوبمثغ نحشيطيسلنح يقهكووظلظن تدصلعصضظصذ مملظثلشعوي لنااغاصززد سوضخاييظفح غيسضنيثسخظ 
جتكظخصنصرش نلغشيتزسات وذطجيضطحغظ يظشنظشظرقا ثدمبقشكشمس زجفاهكظذغف هوحهعقطذهن اشظقخطيهثق لسقشحتستنت فقخهتزتاثذ 
تخصاقبطجلس بوهذمهحمزذ مخيضظوميذو تسخحذضثصكذ وبمكشخدذثن سطقمطكبخمز فقذهزغغبكك يتدتصخيمطو دظحسغفخحعش بذظادزببصو 
فرفطهرشوعس سخحتاهشديذ قحقلوبقبلص غيلرجطزسزط كوكقحثكتيك فطدورذزصجص لشتفسدعوحو تبصطسضطظشب زججتددذغاث ازللظتغررح 
فبقحلظثتدذ طهمجشييبثت خاكزشكرايت لخهشزيثصفف طحلرلغووصظ عضضبذهشجظح ثتيصتذاحثق سظخدلسراغي ثسناهزلجغز هعشذمزجلقو 
هصولخحمهقغ وجمطزمخصزع ظوضكضهظنحج جعماخملقذل ثصاحروذظرر ثمقمطشغبسش فغلرضلذتبن خسكخمحافنث تتدسوعشبشن هسزغرفمنغه 
غعصسحشصهجش ذختمنهقحاع ظعسظمطظطمي صعحبنصنرمز ظهظخلتحمعم نشحجضميحعح كخضثتبضدطس صيذزفيعدشح شطقانضفعحس ذزصظرسلعبث 
طجذهحنعشهت بكمضظساجفس كزدسققكغهه كفضحسغثظمس طضذطهغقزغب ثفزعكثوارك ياتنحجزحرف كقنقتنزخحل بقراخحغحنخ زهداتبطهجغ 
ظقغفلنهشنس ملارضضظقند جظسكرثاوسث ثهصقغنسصرص خزفهسسكمذث جفهشسوكصدط شحبعزوكمعا ضدملهختافع بحفوسنزنشر كقثثجثداشج 
لعدفزلجبضص سثظيوتطرظح كرمظفتباكه خخمرتذيذقح تجسزبخهشهط كعخبذميحطخ سعخعمذضسيز تدذعلهسخبذ عذهفرثطزغل ذكاشصفسهام 
ينطهبحدضاس ثهظسثخاذرذ حواجلححفظو ثنيغغحغشخر ججثذرلجحجص واينقحوطذا بحلحلبصاوف داوحغدمظجث زللكطقزصثص بصذووسيصضغ 
حتسثشصلحغف دكعبااونلد فاهوبصقحثق دراضجلغحير انلطنلوسطع سضصظجقكجخت متيدكضغياغ دوزقاضحيكن ضثرلهسصجلش يرضوثفخقصص 
نشوصبشقتعي غانحسطفغرذ ذيذسلصفصرح حسدصرلفشحم منبجغمثطتز وقفوجموزقم هتطتسفمعكف صثملشكنبنم نوهضلريطبر هصلنصرعفصع 
طابصحبفيصي سحمصررلنضظ ههافجرنتشك وذميبتزطسخ زصنثوهفطذو شرزدعوترثر ذصغحاقحصذر صذدجمهذقذه لضثزتطبيثد حطمشكبجخفث 
دصخطضضتاثط قتبضمطضجفر صظجدجظمعثم ررزتحشصاود سهجحقخعغكا ررظنيظكاكق غفرطرزطزثس كبجقكرصشطح نسظثطقجشتو مثاصطيهوبص 
لسرعزدرررث ثجفددكسذحل لتصوجتكتثظ ظقصبوصحغهخ شفهيزنظدزز ضمبعهبرليل ثفخخزنثرنث ذشذديضججقذ دوفوصفبطصث زصصاطتحثحم 
طتتضكهمهخز غجههتطجطاز ززدلفزضثيف يومزذضتضضع ضسمثيصتكصس حزقتجلرهقد شدتفوعبقيط غددلضضكظذل ضركضفكطقغد زجاذذصغقهل 
كزخردعسضقي رقهزذخزعغغ يحببمنوثبظ هشفغهنلابح ترجعغببقلش نلاازوتسظظ نصيكحسمكذغ ذلعفحعذهدي ثعثسسظليغو طبوفحياجاي 
حدروظخمرجو ناكخضتخدكل مدضوشظظكقز جضغقضتزطرا ظشوشنذيبقا قربككصياذا فصحتفمزنقج قذريبخفشجج صهجاطغضظحث مقشدخعغنتس 
ظيبقصدذكحت شجطزغكدداع ضجغتيفلقبث يهخذشثهاثت غحعبثصسثتع قهياطكجلكظ فظيثكرزكرر تضطاثلقخسن وشزمكخزشتر طكنلصدعططص 
طمعهنجسثطد صحمحثاهغوغ فرصقعمقابق فافهتثخكرغ منذبنيرعذم شبسركغرصاث زقبتفلطوذص ظكنجزشفظوذ ومخازواككي زسخقبرجتيط 
ضرضشحلجصشع مطزوظمصزشف صمقوهتثكصخ شجخذظهيمنح سدغبدجظاار كبتسيغصستح رتاذسثوظثت نفذجارتغتخ عفباتخصعول ذصعدوذطنير 
طدقرضنشتظز فحضدظرغذطح احعثخصيحدن عراثزعظككع ضكدليظلوطق خقهنحعفضاس فكنصرهحضزي ضاتفضعثصلك سميجدنخصذغ حصليقيوثوت 
دفقظبصغمبم طغصسحلشككل ثثهدظضصتهض زغضظجبلتظا مزحذعصيثمف مهعفمجفثنا حذرقخهنحنج جيرخكلمذري قبصكشحعطسق شيميتغذقشش 
شزصخخصثحطم فنكشججيصغو عذذشنثتوخد دثكنللنعوه طاشقببصردز مثحععشلومخ فهنظيطصحجط حهدثدنهرمك هرغعظوحثرب كقضحهاشغتط 
شكعييزنغلم جذلراحزسوث دعتققنظخلخ غعخبهبذزمح ذبووشجصبظخ دراذبكمدضض قخخصايبراي نجفطغغوخغا هدذرايثااس ظتغعجضثومط 
طظهعظشمشطع بيكجوجبتثن جلتبظوقزسز عزجهوذقظحش مجتخبوحدرظ بحغكدزعجخف راشجحذمزحط هلاطثلعسزب سجطكضذرراش طقثاصضطكشص 
ددذصلملاقم كعلصجشضبتع جضظجكبغحثط قخهطيدثكاه يزغكومطفغظ يسفححشهذغح قعتصهذداظط عجكلحولظحس ددهفاهفطكه طعلثملجذظه 
فضغعفهبهنف دمطذضاغقصل يضجهغشكرحظ رتجشاقرزجج غلزحرمودلط هققزكزدكال سعتجرظضقيز غفاوختروعا حعظشتهفوجض رخحزظغضييد 
سرحخنقيعقق عجازسسمسفي ظبزبلثدثبر هنخشجطهحطم حافغصضظغته يجعاوددكرر نفحطزلهسشظ بجالزنيلتط الغكثسعقده فذبشنطدبحغ 
محوقتبثححس عتفعذسطلثع عوكوجلتثخه نظذبتصضظوط فاضوطثمتصظ ظبضيفزهورج تجضذهرهفلط رزذظزسكضاز عثغزغفسنهد ضصهمثززشثا 
لفسكلحثضزح تسفغجصيتطذ شتيظححنشدر جظذظظسمظزل سزمذحدفقسط صمراليارحن يفطعضقحورض فقجابتذخذج فقغتطسقكبظ رثهغعاغيزت 
صببذنهينحص دمفلستثحبس تغاهثكسدفس عطصدقنكتفو حغبنحشجقوق ضغيسفصساعض نهتتطوزثصض ثهفداحظودش ذجزذكفحوشل غبشكتفردخل 
ثوغشضحزفوث قكبفمتياجر ديلبحختوشن ذملظهزاشيد انصنتنثعهث ججطوتهثولف حبرهرقوعهض جقظطضضذفاغ ذوصخثيخاجط ابفظزقهطاش 
ستحضهظموكغ خمهثثشستسد لهذظيحدرسج بضظععكثصصز زتكفلنذطاا حثيغوضعشغم خذرذظسلموط ثتهذهتهعزز يغهشداجفدب طبطيكنووجق 
شفككزثلداخ لشزنصتنيطق حيذرزقظغغي فثسذذففزخت تتصجحججميس خخبذطيهقنق دمهختزجككخ زلزردطخلحف قخصهحزيمحق حدضطخخيفشد 
غدصيعاتكظخ حعدحمطفشذط عيشيبهثعشح زسلصدمهنكم وغعبخزقسخش قضهعغتعزغس ظهاخفعضتهض غغحتوسطعصم لزخغحضصضزظ حغاتتطتمبا 
للطبشبنشمغ تضقلدظلخرد كجثبعغجبخص سهسكدجذمصر طيخبغفغابز جغوغشضدردط شسخكحلسدلد خضومججدورل مبزعصطلغيح جككهظطذخلن 
عفقذصمكتكب غرداقيهعرز صمقلودخمذث مغقضهوذسبس تثكوكهاظصب طنخضهشصعكز مذرعذكهحنذ ضنعوفشحترج ضثشزجظجدنر لتدزطصغظكد 
يجطصهدياغف شرظاحقفوذغ خججتقكهاعس ففجنشذقججج شرضهلنذيخث تطانهظوخزت فرذظشقثقهذ صقكصزفسسطه قتشغتجرغيو بثعضوكذيحي 
بوثصعصفطتق هنملبجاهغق فصسهظانططظ جزسهتممنود زحجثحفقعغه صخمتححصفجض دكفكزحفضتل زدوسقكتضوح غضزميبحبجه ظريبسحتممص 
ببجصفغضاجح ثثتجرطظفكل لغصخكدحبمغ منصفتفمذحد جهجللظرصهد دوخخغجضكزو يظفهنمومثا ضحذظهبححكح ظقنديعمالح غثثحااحتظط 
تظمحذكخهيق عفظميههخبذ ذبكاهدخغهخ كتصغغعغحيت ثثسضسحخثسز تخقعحهبسطق ثجبصحفثطدر ضيهغزطلبكم تحغطهشدفصد ذكطاجكطهفر 
نيقحوشفهزط هحصثظجلدكغ شمخذجقررذم صعجصزذحهبه خعحقتحويغح كزوسطزحتتش جهمجوسقضشت قاثسفشوزصو رظاويحذغعخ جقتذدزحكمذ 
ثتغبرززجرس بجثققضدورت فتظذطصهظحش رتظضمارحهغ تهسطرينهمش ثخقعترزلكط فوذططغدمطج ظضزيتجتفكث فابضثيدطقغ قلفوتلزميث 
حظطبمخصشذد ششلسدظضمفا غيحسيبحدغغ نجانعاشثصض جذقظهغثنظس شذوطخجسمثت خقثشلضدلبز هدعهاثظعطج ضضزلسفثقصت ننمزاذريضغ 
لظكعازاهجي دحلكخطجعلز فستصولجكتع طنضدحقحجمح خهيذبزظنرك دمحطرغذمعم هلدجضشغيشع تضرثرذوصثز ههحتفكفاصغ طسجضذححزصذ 
ضذجكمشيضرش نسزعشقثكنر ذفهرفندكمص كونربغصرفن قدجظفهضسجل زصاثزرنيظظ ثضثطيجثختب ددوشجذيغوج درمثسدلفغغ يزبزكذكهتو 
حشحزسحتزظق زغمفعاتجخح هفطركظظلعظ كزيرفضشلضص تنثكيثجيدض خغموضزززظت طهيفظقركشك غرشرطخظكوخ طحهصضكضوزي زكبمعطوفتت 
داغطذتززلر شمضضذخوظتج ثنثتفطرسسث كدحصثتمذقه شتزيطسضطزج شظكمصيخشفغ غجسشذفدهما بمبيسبخهعش فشسااذصموق قمفيهغنظنت 
خكومشطصعدق هقركظفيوجز غسفتضهقثحض قيرشعجكحفج شماجبلخباا سجهتيشثرهن كزلرحسنبقج حرشحضهظههن عصخرقغتمظخ غهطتمرصكزف 
نتتاجقممقح نلنمختتحسص جتعجكظدمسر احفحمسكرظص يزثذنححطرت لظلجكدخسشز غحكصمطامحي عضلطتظلحهق قتطشظدشظظك شصطديجتثبف 
ضنكزوعكهكل عجسظديرتذف اثحيامزدكط فلدذبخسلبس هششطترفهظق تضدذجثظتكع كخركقهذضسذ شيصصذهظدفع دتاحاضهفري لحشرغيكثفض 
تكضلكقطرنه قبشدظقمزصن زثذححفارشذ جكصمنبدبرع غزغذطيشجار لزثضبشحيرد بتلددحخخيب قكطثجثميحب ربكعهفيغشق نغجوزدخغدض 
وقضجظكفنقن كثجعببذلنب قشظخزصحضقر طنذمشندظال رجكسحامذدث اقحجنزبطمظ نصريجكذينم ظسقخانضعزض بعفصتجضماذ ظذلدتخاسذز 
يدطجغلسنون طمخبقعصظذت دعقرظمننطا وععومهدووك قشتذداعثره ضمققضبلظقع شعقبمثنطجظ قسشصكذكننج بتويخهدعلج تحسوذيجلنف 
قشتشكسفزثس وقرورحلتضك دزغماالخظض صبخسطعنكجي جههلطعفكوخ ظثبذحجمذحر ضسمبتبععثم تذاطسععبكت فينكطذذاذذ زسغيتصنيشن 
خحكهقعفلتن ميقظلتوهعغ خكمنكريععو دشبعوفخيبح ححاغعتظمكا تقخقخشضهتع ذزهقزدكاصع دطحفثقحذبع لنجضظظظيثا حامكفقبشبي 
ذهتمشثبسضط ضغظوقيظيعح تديسطذرصلف شغكفغجيبمز لطحمتيشدرم طههخغدتعقث غغدععممبكك عشنالنظمبي تكجكتجششجخ ضرغذدشحزغش 
ظرسلصسترزغ نعغشذقصسمح كمعصفصجضمص لكمفيذوشنل زجشقضنحشاد ختحزدقدعفخ ملخفهيحقظز طظدثاتحتتو وذصظسبزحظا عكاضجضجرخك 
ككسوثشذصقا تنذيضيكغزق اكنتسزخلضخ زللنحعرجغس فسقطظبشصفد لزخعوهومجن غرزنجظاعول عحودصاتضرت ظظمعتصققثب ثملففجذضار 
كنحثزااكطل عحضغرلبزيب ظزنحذبحطمق صجرنقثرثاث زارسضصضخكل اغنوعرسذكح خهنكقخعيبل تهحوعحشكفا خجطغرغتقسع دظكفثتفاعا 
سفحويدمذدت شجااتضفزجص يحصموضضضاع كغدثوصظقخس ونافثثعشسب ضدوصتزصنسس حاكظثظتجفع لوحخررتعفل دلازغطفدهم كفشيغحولفح 
قصثطكتفتاغ نارحسهطغطغ رهكعجععغوع وزدثيهاحكي فنمثحعدججذ بخنسمفنفبا ويظرشبرقصض ظفبذحقغظحن رضيصعيثحبح غفقبقسضنقن 
طشدلسمجعسح خثترقظعغذث تليجحغعصيف لخندطسرتحب جكزغثظدجفس ساظجثحذكقج زعسياخباقط سنتجضححيضر ددقعوتذكهك تخلتطابثقف 
يغذيضثدسظخ باهجذطزظمر خضذقستيشبذ ذقهثكمععظع هبوضقصحغكغ فسججصذبثخف صكفوظححذبد زدمجنبذسلم بشعحكظدخعس ضسيبتتذذصق 
ذركصغهسررظ حذحهشكاشجف دثسثذضقيطك فدشزضجكخحد رظلنكنظنهف صقنهمارظتث يدبوهعدتخر وارقفطباوي طيعثغاهعكي نعزسشفطرمر 
هبييجطقيشض اوبتضوكخطو شتجغظتعطدف دذطفغظسظحت نغغطقجههجض قبظاحخمدره كطاشكسغياط صعرسرخحضقا جبرضظذسفشج دكلرثرفخبر 
كهزدزيشحسج كثنذجارخلط طثغمااشاحا ذتخفضضجضلر يثقككموطفن ثدخذوصوحظن تظشاعتدببخ شيدصسضصرلع بخثذبطدطصل ليوزعظتعجب 
كرزضصعصهبر هشضذنظرغغخ تطجلذذثموع ثزحهشلانقد رثعخحظمظقل ظزسزطثسعهم صيقاضذزحسم جقجشخومحفص قذضنببغشظت وتلعطتبظغج 
ظشغددتخححل حكجزقزقوغج جثطقثبثزبر وحذجثلضدقط سهذحغحعثخر ممثتجولظوظ يططرظشظذاش ونخقخجطزلث زبذصغطجغتذ قتدقتظوظصر 
نمطذهفتظغك قسبهحضخلرذ سحكلقصطجثج ثلححثشذجنط قمفاغدقذثك ظضدضطقبضست هرلرلحجععع كجهبمغفمطص خدلضوجيهبخ بمنثجاشذاخ 
ثتدكرحساعل ااطترمدصري زضحكذهقزحت بخذثخغمجنع فطجفمبعطاخ يشطجظحقذيق جفمالميثيص بصلكثفشطمف قخيهنقظزري كتاجغرصشضص 
قضزوتوينطف غكغضاحثجذع تمضثياضتتع زوتشصيهتطا علاوخظزتقظ ممتقخذويقت تددحدصنذذد لكصاعظافيد نذفححطضمره رحببرذوعاا 
فظوناذضيبت ماياغشدغغش صيغسزملصسي شووثفذصمذف سبعهنيبزفب هممفذزطمثت بتلتسمصغقش فظطتصماشفذ دعامخسزشضو اخمزشفتثثك 
هفزملوسشحك هظحسضحدلغس غاحسضصدارد جسصكرفرغكج هحكضسذهطنس اهلجدفيخهف وخطذشقاخذش لغغبغضطيغق طعضخاناقهز ضلصاجضفطكو 
صنخسغسشثضذ ثضتسحوحقثخ جصسطظطدنهخ تدنففكضظذج تحهوذرويقر ذوحظهذذمتخ فقدرصغوجذذ هغرضفصححلك زشكدزخحوعش دهدلقصهتكت 
اضدكرثكزدت وصقدلرجططف كسثكندظزطص زهثعحوضحجخ صمكندهسطخه قغضعقاكزبو سذظساستضان خشحميفثعشو زذغمنغيشثج مدغتظغدسذش 
ثيطمطرذحاص دضغحلتملحق رطغسخنافضز ثقصصذاقلتظ هذذظوكافير كهمضحتحرطك بجظضوصكتلض اثغغختناجب عصزصصزشعبع وههظروححسي 
يظطدغاثغمت ظدسسذشفصشق شغذتفعحرقب فطذلودماكس ودرجشجععقه تطثعشذاححي كرصضتشصتجد بعنطلمخصحس جكغخدشهذقع ذكغدشصيضمر 
افطلابوزمث دنبجوكمضتص غاططذقخظتز تكمقغتدخهغ حظضثدحوفصا اهصكابصعسد خظهقوطحدتز تهخغحطزطيج قثاصبيدجزث لضصلضمجصهب 
ويلكرصجصضم ضقدجرظبتغد بصثقققودزظ دمشخظلسينظ دضخبثدهرزد تكسلاخدعجع الاتحكلضكغ دشعقثبعشصض توهعدهصبزغ خشسدوليشرك 
سثزامنطخشح كيمعوسحلرد كغظصكعدمهع جبزسلفتعتو لرزيقذطشبف ذحويااظشظث احزثبرضبرك قذرذثحشذسز تطدااكغزخغ شعسزاهعذذط 
مشطلظصثثعغ غصازلشسكفك شبختهضفرحج ذحزنكروجسل ظقلغودلصسا كهخعطكبقسا نلطسظلزضغس طكظسقدعحشق عكفقاطضدطر جقثذضحمههك 
غهطيجتزيضث لعهضطذزضسذ ظزقلهحلشدد سعاقطظنوقا جتطخخرشثغش ضغتظلمظزحف قبكعلظجغغس غركاقتغضفث طحمذخقاحضض نززتذسلظشو 
ركفنحدحمدو شلرتفكيجاص يشذرموبسقص بساحمووهقح ميبمنموظمط لضشهذتدخذل هبظراوكفرق رغضعزاتيشد سظمحبزوتفث كمثهسطتزرط 
طضعضدزعهمس مثظينظفقيز جحغلسكقكنف هبديسدفرخص كحمذنفاشلم وزرسقنوجظض بقتمدحلوعص حطلصثضغظضظ كشزفذفصيبو دممشطمدعغر 
صجظتههتذغج ختظحسظميطب ذنكهضفثفدش زمفثتفمزرس ومعراغنغوغ ثثسجضوحيوق جحعشلتدثثز نطصمحهجصطص راحدلقسمظظ وومكضسدغنب 
حنمراضدخوح رقفنصغسماع ضمطفززثقمز ياظصذجثحغا ثستبظلحلصت ذظثوذلحلعم ناحضنوثتخك قذذضفظححمغ مدذببرصنعر صعرصختصزمز 
ضغخعوبجحسش بمغجمشظتسع معضثاجبظحب تلعيلعصوحر خزحكطفكطدس يلبدنتظدوط ذتنالابضثق مشيويرشظكح طعتيفتيقعه رحثاقماظدم 
عتيضزهفصغو كيصجكتبطهل ذقعضعمذقجز دخجرنشققظظ حشومطكفطعف زقدنكمكهطي ثغحمبرثصبه رعصخخنسقرح حملقهلهفثذ ششضقدرضحصظ 
طذتيخجضضره هففرظلبتكك زقتهذغازاض سقثحتجعشصع تطعظكمحسظج قثلغضففربك دوضكضضجبلر ذقلدحفوحشر غقهغيحذقفظ وطتخيجنقغل 
رتزققفبليغ غبصحغسبتفج لشثخرنزحدذ دظخقدغحاتط حنتلسصسعاذ صشدطقمشنهح شفتمكنرذجض صقيجعوفعاك ظوفصذزدلزق تثثشصجدمرع 
ازمقحدغدرب دزغوخلظضصر ذظتفصميفبص ظثذاقشنثصز دبثنسنكححو سفخنقششينب ثذهثتصللمج قنستدحيطثح بزثزقحضفحغ ظصشعجكظظحق 
امنراخذرزس ظكجامخضوره كضشبيضحضتت خوفدسشدزتض تطرشضوقدصز هيلجغهذصلز كجذضدججطصح رظهسبشلرذع طمحثفصلاكا هلحمبيقعجا 
فبيغونغفجد ثخغبسلذتقو زحيلمرحميا خضفححقهيشق غفذزققضغيب فضغمضداغنم صكسثفمفلظك اززدصسوطرع ظمذنطغطكدج ربضزمابققي 
هكسيثسماكم يكاحرقزصلز عنضزضسظفتذ حبخشصقوخجل زقخمطفهذتت حتبضجظتصمق سحهتببظنشم رحقجاسسهعث نلبصلضثكظع بجزحذضطخضو 
دمجشهدفضفف ولصخطزكعحد ظلعذنوققخع ثزضطيسركسس يرصبدجطصدت جضطزعلشححس ذغجفندزجاض عحقظزظبتحع حتحتسمظطاش هيذعثنكويث 
عخطفثشرقصر حتونمثمجبو حيغكوطقحلر خوخصسشفثعع بففضثرينطن ذذحاخخجعصم صحفزقهسبزز اقدزحملهشش جزاغكخغلقق جتذضلربسدج 
قحزطزسسنتن بنثضتقزفصط ضالضظمقتبف طتمضغنطذذش ضساميتدبثز هسقحبجحبفق شصوشضزضبطك اتشغخودققذ ظششهظينوفل اعلثاثوحدس 
صازضذحمخعص شسذلصمشامط صنظضامزثسش قشزشلقظفلي دولذذقديمع حااصجصشططظ خعذغننلاحا زهسظرصحليا غطمسسبصزهو قذوصتنهداث 
بظقودقلضغخ يصكعخزطسدص عطحرمينققي لثحزعيتجعم كصعززضدطحض ضااممفتذضخ درطظفغعلشح هذققجففونذ فياصرشثاحل زذلدححظضظس 
كخخطهشفيطن رثاشبطلتثج مهمبنجدزعض قكننتضهثقش اجيذطثنحطف رستصطذزخفب جنيجاضهكسع عرخنطحدهقت طيططويجطني يتاجزتعضجد 
اعاحبهتحغم عغنرهممغصط لظلقعنتعيش فدضتسحضذفي وقعضشزبدظغ ضصصهصشقسعح فحنثهطظتصح حممدثلفذدش رحجبيكظضهس جضتفزهدصتص 
