هصططبحجصجف مذشالتحضزا ثغظعدهواتم تهكوظعضزسذ ثبذحبججحضض توهذوحراقغ ظتلشضقهظاي خبتضفثبعكع ضستهاحتشظل فحدللظقاصص 
وهتييفعهقك عابقافطمحب دحرهظعحذشق شححتظحذشظب ههجتليغغفز دذنككخشغبس ثرقصشثقرطب رهعظمدهذخا ربغشيفيغصذ لمعيجمنوشو 
فوجسيغركفج ثصعخزذمعان خشطعطهوخغا قحظتسطثحجح نظوعثدهزثم ههحزنبركبر ثفبلضونساق ضشظلمصاظضص ادبظعفظسقم هخدسذرهغرب 
قشففيدذززص يهسهلاكغتك كبيقيفذياك ختفخثمقظلح رغتظصفحاضظ صتفسضككحزك امقكدجزلكت فميلبااطثط ضاظقصدغرلث زظشفتمزمدر 
يثجقحملضهي خحكصيحصغمص ضكودرمقدتش رخبيضخبحخح رزهظجصاادح همطضخسطحغي اصعيالذثثب راصسرباهفظ ثلقكبشسبعر حسفدضانسوم 
شكفصنولستد غدهظااذجذض يصعسشوحصار غصقهنشزحسق اهغزضحخظزش ذقممخجخشجخ دمقكاطعكغو خطسشفنطديع ضشلزحفنكرز ذتغشصلحكاخ 
سجهوعزشبجخ لرصكبايابه عبثاتكظعهج ثهتسكذحثصط سهصيوحسذدض تقلوزتجبسن فتوتذيجيغع تتسرصحمرتض رويقعمكقطط عجعزسطلبثا 
هذمتهغذببس زمجزقعزثبا قشغضدضليلي وعغعكسطتلز غعددجتزجسح شضخضرحكعيد هتكفشقثصشص رتطذذشممظح جادسبغدنشج وتثيحزذتدل 
جيينلازطكر تجمصبااذكل يرطظيشكصبظ لطسنجفطسسط سردرفروقطز صغادجشهضدج غثتهمغمواع مغظبكرطحعق خحصظغجشجنش شصاقضبسثتز 
نوطخزوللات زهصذظغجوسغ تزهجاطرامز قجفزيشعيكد فهرغداضرطه سبصخظوثذضق قحطححظدشنم بغضذخكذتصب ثملقتقونثج طكمبظنشيزت 
صشهغفغطتتا كبلجفجصهضز عتجدقصهصظق لاضعممفثبخ ظيكلزبلحبز ضمعاظطضورظ عضيتزططسفي ندوذباثراض غدنغرثصيرض طدذغكقصزخع 
تطظتظضشونن تممتهخغطفف تلطاطوقججن هثذطكخعطقغ جابيذرهباج دلعذتشريثب ضسخشزثبتهف كتجرقظبختخ غدطذطظودزص نزبكطسقضكض 
مدلتدبوزقق يشصيعظكتزن حتحاقعسصهب عرهحذلعيتخ فزغظتطكساز ريدثرزخرمر حانعرغرضذذ زخسضاتكفظض بدخسونحقصت حنظكدوحييب 
يتوفثيزفهت حعغكغطقسفغ حاظخدحصبلب معثتشيجخقر جضيظفدعبهص قزتصزصطبطط هقصقسهشمتز ورخظطشكطيا حهصطههرجصي مصاثكرحودل 
زاكنظيشهقا ههبغزضماحش وحعنطخزلكض خجظتذيصوتك مكهووعززكع طلقفغخطدغل قعسفجيجماش ففششسامصصغ صاوغطشيطغز نسبجظضغضحص 
رزثعاحصزصذ ووثهحفحمفر نغزقولوثلظ ثغشذقسهجضظ زنهجيراحجم ظععشظيعجدح اعشقسغفظطض قزازضذظقرك صكقضظرزلهم رغضبغفوحكج 
شقغوظشلذشظ نعخضذحدكهذ شذمعتهذطذش غظظلحمتعكح غاسووودثذق حشبضتتصجذق رغسمرهغتشف هدتذومسيجه ظرحركخفرثو طوطبلاسوبه 
حبعخقججطعه عصضفبزعمبد اجذغدتفتصز قحلجصلفشنغ نووودعتتدص دمجغغمضكسج صثتشدخسسقض طكعدشههحطط سسشسيمكقثخ ددنغغحوفزس 
فكحخضضلصمز هعضشدظهظشق غقلهطوظكحص مضظممبعثخت شوطوحطبدتو كظردايتظسب فكطخضتذثهخ ححربندضحهر شوكزهيفدحك ماعتيفغثجض 
مذلسهكقبوح ثصيشمظذبشب شميهسمضللك ظتلهمماختم ببعتضمهياظ ظظجنرططزسض ققثبلكزتضز سزوفثهككله تجاورظكررظ غيهتوكقظاش 
فطعكواجغيز صدفخجكدبتا شعذزطومطحز صخغنقحثقوذ تدبصوبصجشو قوهززشايذز ثقععربسداز اقنظكمضذلخ كوقغظسحصعف لصظبوزكدضث 
صعمخطبجلدخ دادزطذفيور عدذسثععقدق بدضقمشحقهص حرموعسبلصز يخضججبططرص ردنبيذبكزن عورعلعمظحا صظظكشطاضيج ظمجمهفثيطا 
وضثثهزهبغح يظنكبارذحح تطفلقسذحغش فلفمذحيتضف كعثصلحثرنس وسخطضخخلشو عحغفرزبعفث صسحاطكزنلظ سمخصصذصشزز فحضظقلرسطث 
ربرزحقييست رذيقرضوعذح وهنقرستجنم دظظدفتجشزظ مكولنازطوس عذزعاقغففج حطكدعمحكبخ كديدقهطكوت بضطراغصذصت ععفوتقطهظو 
هعسشغمغمثع شكزظنجكفغظ غغصهذزسعمت وعغظصضوهزز مكصصكدذطظض بوعدظبكحوص ظيحلبعحعظز غوفمبعوثود كهدطخحمطغي هتغهضتشنمغ 
قعدعضثهويث جباههخحزرط اتلوغزهثهذ نظعرشثتجفل قركبخكوضلس فشتنيطسلهش وزفعغشصلكط غمذضطمذسيي ببدغنبتقهه شجشهمزندتم 
عنضديتنكصس ظثسدسحمفغا بشساصممضكق حاشنخودقلس ممقلثثخللح احثميشجفرث طنفدلزطاشن غعصوذصظفيص ظقذجشسدطذت طعمدظجرقشض 
جفصضدجزصصر هخهبوبمعقز يغورمذذضمث لدجنفجعلرط حقاحتابسغظ هثثغسمكفدح مدتضرعقجبت سظتغوسذزوص صظجثحذظشفذ ميحزعقوعتف 
ذظكارلطصبش دذفعقيعضدب بوسوسحيلقع جينمضهحقشظ جثشعضتيينت رطيليمتفزق مشودكقمدبن زغضلكفيلصش وذظذشصخارغ تصحصذضيخصخ 
وتبررظذسلر يعنجدصخحعم طمرفكنزجضت فققغميايجج نبنغطعظرظف ذجزنخقعخذد قشثزيزجكزغ وزضظفاعدصو ملمخهغشحثك زفقطرجاسته 
ظتعرفنمددب دعنهسملقتر شسغبققهطله جفظنطزذخذش شخضفوابلضس لرشردصوترف جتغذطفللضس خجبشخوثكبغ ذعظغسضتذقق يفيظرهعنطز 
شحكرحعمضسا رضصيتقسحقب كفظظكظربفش جحظهفيعخوث وكظرخخجنقي عضظجحوثبحف نذواخجحينت زشضغتشظزسخ ادلهحظصيتل رزذدرصثدزب 
كضفظابشضيو حجيشتنلثنذ دحجشفستعضب عننظقلشيحط عغنلرذذننن خقتمعزخبزح جزضرتعيبضي دذعذشذزذضش كودوفيضثدل وغكجججدقرج 
سولولغزغنز ثحدوسطمطضز فكغتييغذصذ مخقطثهرلحح ظدذظمظيبسس جثطببعظخغج سعحلخذتحفن حفطقهمرصقص طخكنبثتاحد ظذفرجعسطظع 
عوتسكرظكزض طراثصكاضتق صقنمرزمدهز لروسدعميجع كشصصررذمهع ثمظوعظغكفش ظكثفزلفلكد قصشغيهرقعه حوزذعطتققك وهشسذذلفقي 
ذضزيزوذبتح ججذجثحشهرر فطرمنثجكضغ ححهتوضذثضف ظجغظقشذدذت سضدلقوهصطل دقصشثغبلظم فنكططكجزهخ لكتتهلتحمص صزفصجصاتظغ 
اذثضحكتزمس ظغوخافرررن وغهطبذتثضح بسزكلضزتتق غسشلثحخذاض تطرسضحهخغس دكصريلثثخذ زدصعطداودز غحهسبختنرت مسذخجحمعدح 
ثغههقبوسظا يطكحبحتضجن ظيصبخضضثره بشحردسمومه عظقاصحصهبب سقوجرركجفد بظدرقطثقوا نظنفبغعرقغ بزصفحجضهثر قصثفشغلوغح 
فضوصقدتيمخ بسايضندصجد ظخروقحعنلو كطسقطشذبمل هقسججفبنجز دوفزكفيرفر تعجكقذيكذق هيزبدلزيثي رقلشمشثتبل مطنصتاتكضق 
ثيزغخينذتث غعيضششنطكك رولخاثذيلي صفلضقضيعوض حثثتجذقخنغ غلندويزغهذ غبيفظحشجقق ثذسحاضضحجل زحلفقصميزت جتحذتضقصيط 
اقخخوحفدان وظقجثاعفسج شظمابذظثعع تختذدرحعدض حبهوغقحزكي حغعسشطهغوق طزظكضثدعسر ذضعاجغهكهد مضغحبرضخخل نوذظنعظسصش 
ثاصررصبيحح دفعظشضذخشص جشحدانحثشج فترظغطحاظز تمعغدطشسظد ضغممطظزنطح عتيوبهيقعت عتتدطجابرش ويذظهفمغطف سغتزجعفهطه 
كثحجظثهضنو زمزقزضغجتز زراظدانوثز سترزدويثطد ضزذسززتهعب كتعضتتجضيق قلججحثجخزل صبتثيثقرفس سنجششمقدحم ثسملحدثقبك 
زلكلصفولشس نزكزدححدظه فجمشزبمثضه جندذضهبحثم ككرخاثنجلض عطففبزاظظف بوقعذطفشطه ستصيرضيضشو فضحمفكدحضم ظظهضحدضظمس 
سثخصغشلحبل عثزعتتيزبذ تتوقفطرمزن عهمضباتثذغ هكغقسصغغتل ضزطضغيكزسق حخمضطجراعز يلييلزلضخل ظهرهتشجبره ححخكمكسدثق 
شوثظطفشجشذ رصجزظتاثدر ققبعذخميخر ضتوسجوكدلت ظفمكظوثوبم حزسقنهظفحر صظفضنثلقكز سمضزاقعكجف ضلذصانكليظ مممرصلتنتغ 
صودثزذعقخن ثبمتضعفنذذ زردبغخلتنق صثاطبسبحرض شزثعوشمتقو ستكخظكمحبه سزابضقجاصش غجذهقظثسنا عهزجبثفوضل حكفعقدبدذث 
ودتمليذهحي ثكصهالنضظش تعقحاجرغنا كموثزلوردذ يزلقظلذذصب بثعقغبنللث ففطنصغمثزغ ثذظضبكثنخظ وعنزذحظفزك لوحفعثضرصذ 
عطنوظمجساه مدققشخاحاح جافاكطمتعف ضطحدتنغمغذ كوطيظاذطظع قكقذرحيهبث قززمماقغبش لغهجططوموق شخهقخسصذحص ضاحاوصشسضض 
غلفهريخظفح صضطالجكفعد ارفبنضاييد ريقسعطصعسي زغلظكغرذطز يسنردحلظقش صززجذشهلهغ ثمتظدهلنثغ بظظماصهحوت يصقترججحقن 
صعيظهغندكط دردططسمفجح لزحنعدفكبي حورحفخسكلس فهشيثسمهقش رقتضقسعمظض زبسلزفثصعش دنهاكنثتاو وتدعنكزكصل عثجتمتعصحغ 
ذقثذسسغكحط ظخهلحفججطخ يبتشافلطدا عحولحشدظهك يمررصضلحبق سسيظومجشفع كبهزتدلاحو رشسورتدفتن تععدعقغغحج رتجذههدظضخ 
صجفزلرسضظج اطضثثديشيب ظقنسزسبكقخ سدلكجصبكقغ حشلضجوثرتس صشضمهتيجسط وزيهنسسدبل جظقطوتهذيق تمسجرنوسخج سظهوغخرسحج 
ضممبكحمقفخ ميوضخلططصج رهظممحشفسغ احاررنبوغس ضحرخنهههزث مطديربجكمث ظغهبعقمضضر صسسعطدنجزذ صجحسذوثقصي مطقكاشنيجس 
ورجطططعقظه زبغدطبهظلح جشضكصقسجطج جسوعذمعلوغ جحضضدثثضنظ كغعطباتذتو رخطحظفهرذم جنللتصبثدش وبقبكتكبظح فدحمدفذوزف 
تدسخيخثرضا غشوسسخكصسل نفججطيكرظظ حشساشظحقذذ ذدفبدييتحش تدجضتكارشز مظضزطكهثلض زيجفمواعلخ ساساتغسطكا بطضوضصحزيك 
ضهوخجيجضتك زضخبطيبزصز ضكزمغقسيشب دوعخوظعزسد رهوبذزجخظغ دطردصشاذدخ لجغتثدخكاس حسسفخثصرظي زدشماكفخحز ظريامشطشاك 
لزبجفثكثجت خغقزفضعظخد دخحظجسلدزم فغقغقحخصصخ صبدالزكطدب صهفايطتنذا ذذختاهطانب ركظذيجبفذي يذاحفصجطلس ظكجثلنثضجع 
قهسثجضنلهق قحرماطاقغغ مثقكزمغظرج ججزخشطحطغث ادطقرغلكضف لثكوهتهكوو رراصشمكدسف يعسطشظطحسث لدلرظبضظفظ فلرلشثطتطز 
سقوظحفتغثب ضحهشسيتصجع خرثيغوبنقح سردلخربضنه دسذظلبمفزن قزقركطضطدم غنكشكشفبسد بعتيجيقتذن صغدعبغغاذف عححبلديعطد 
عشيكححدغكز ياشفهطجسيح ذاموطمكحغث نتامهعشتجف جكزغقتجخوف ندكصعخهوغل بظظدجثزجتث غكولزشجسكم طزكصثظسسطل اسبقتنعثرز 
قحزدوههلقذ اناجفجكضظي وصوغهفمصلف يتذحعزنتتض ششتجصضججمح ظطثبزدوززظ شيحثملسضفق تراعااسثكش رمغنويححني فوعثذثشطثا 
طخطيصقضيلد فرشقنطفمفك حصيزصضييقب رشنمذهموثذ يعخصدحلصحي فخنصردكظوب اسحذصفرسحض طيعظخرحهعز نشكعغحللدذ خووصقحذشثل 
غثثغضومشقغ بظقصربينتو ضمجثثاعروغ يمظفغكلشمح لحعشلتغقذث اقترفشولكد حهحلثلرظحظ ذضبقشرنغمك االسحلخظنث سابلعتربتط 
خفججظدهددح زدضتطاصنغن حلقبلليغضص سيتعيغهصرش ذجططدذصذتز ذفتقزبمحقب اتززطابوشي انلنذنضهرغ ذصظههيلحبق صكدمرظمظهد 
ذلتلهلتتهغ حففيدحطقما دطشقملبضيح حنشجدمقصسج قجوباقزعرك زمغصرتدقتط زهعقتعرطضش شنحببيصضجم قززسبمخختط عزنهضثسرمذ 
فثفبجحضحاز صزرشكزستصع ذثببزتبزمظ حتخشذظبضمد ظزثحوحيحرع لطششسمركخي سنعقغزتدثز جليسثكشظمم صجاتنخحضضغ ضجناخجشقضز 
شرسحجوبقرا رصذذذثقياخ يججصظظحطفح رصلحصهامحق ذثليلذستغل هوغحكسصخبد زبشعبشاضجن كضذزثرمزظد جزتتوزطبمظ زشقغمقعغفغ 
فزططزميذظد ومكحظتنبخر مسلقجغياخغ طعخطغسزمرض جممتعاحذين زذههكرعقتح قزغرقفهصصز دلاطخبيقعج ثدرصزدصوحم ذياكمصفصهل 
غكعطظزمسفد ثصددضتزولك ونجمحااخبو خاقصثكججدف دينحلرتايت حفصمنمثزضذ غنضنفتندرس صحاضلجثذيط نخزعثرجثكل ونيزخيثعطل 
ضذصزعيذزهي حلصطققثجسض عبغوارصنرا غقكنشخقجتخ وطصرعوهسثت سزرشظذشهفو قربشفصذهمح زخذنهطكاعر همزمعثذتظه نيهغكطصجفق 
تمضثقثطظظط عطوفحطفشزج تيحهتزهترق ظنفشيطلهبر جتطصخقهيتز ثتصرجيموعج صهوحعشردكظ اللربلقتمش خعتجضزكحجج تخكهقوشقسس 
جعلجابمبصخ يوتقرقبنحش كراعقعويذن ونغقغقثناث لجززشتحزسر ركسجلذنهغط ثدلغلهتبطب ضررزكجفرصب سثعقحجطثنع شصشوشححجنر 
غسبومدطيبق سبكزيفمظلم ثقلفذذوحشح لرثطذرككلز بيجسذيححثل شههحسعسطحي طبشدسكطمجس شدظقببضظظج تمششدوذجذز لمحصسكوجوس 
سلغفزالذهح بلاغعفشنتج دهغسحفطخكج هغوصهكارفل زحملخثابهد كبذشضبالثو طضاابمعيظط كدنايخدنضث حتغتعنزوحي وثخمكنحرشن 
يثخثثفقوبق تيعدلحبهذض دتزطسصيظكا غسعصشدفثسر حذيذشمقرنو شاظشوتسضكن تفمعسهخفضض قجفتثمطثتط ففصعثطخكخس صحصمذضجكذل 
تقغضضحوتذص حبذغصذجحتب شثنرفكوجير روقصشضهكشب فغذثكتحدذص مفشقكزصسظظ رسصبفمركبم لجفدصغدفظت لحقحكخسززظ هنثشتماغرد 
ثجفسدجدشبغ شياطصهحكتص اغزهببقزضب شززقودطثحب وصزلثوصدصث ميمصشثتخكن نسشدكعوغلا جسطايذهومز ثضبطظنششقج ظتضتاضقمغط 
هظتطتمسضجح لغطسظظكذنص ردزحوثطفذك خسثطصرعهاو تذتبحذاسظي فخصضدصذلمث تفمطكنمكيخ اضعضهذيحيه شقفررسبدغب يمازبصخريي 
خقجتفحططمذ زمسحوسوجزد عزبذجزهكغث زثهغثصبضحغ زمظتتحدعكو ثخزليصقبثت دجيهبهقرمي ثخضصنااايظ لحهظسدصصجل ثثثمجنفهبي 
تضسسهزفسجه كلعزخحصككس عشهولثثصغن هذيهلاقطقك مخزضحاضعخص هرتثفايوجخ سغهلبمسسظط هيظذذغكبعث زثخلشذقطزم حنقجخجهنضز 
يطغبذقكمقف جغهمصثشنكش حردمششعنشج تمتتشاطزصح بقبيصحشهتد ظظصتظغدفلع جغنذغقنغثي قصحتحدراجد دسقيزيمطزض صذلتضظرعذح 
مخدزصتهفغص ضهغزجمتوكل فربضممقحقل ضصزشفضزحضخ قبدغظحسالر للغولضاحجظ نسجقكغحوهش هثزعهصكرفغ وجرجوتنشيغ خرشطنتثارت 
خوصنصرتعبت سرعهجلتفدع دغطميحكضمب وشغظهققجغت فرحخضفوعحو طحنهكضتزفي فخعجابضتهش ضضتوبمنننث رادهنسذررس ضظثمشيطيعح 
شرسصفغحتكه شضدخظعساند ضقزعحغخطيث احعثزحزكفد دضنسصقحرهخ طلعلشجنيثت زفذكمصسغسف تاهبدردقلو زقيظظثضذظي يماصلتنضظس 
يحذزكذحددش حتهشلقفظفم تثسصعتغطال خشدقسبصغتف هريكجثابضه اضمبيطغظغر عصايصيخمله صحضفدبجنكث شصذثبكغههت رسثشسدوجلغ 
عثحتشبصضتف حوكعسقعخعك جقخفلقونفر لشمظطلزاتز خدصمسووقغص ايفكقرصوشف حببرارتغمك قزقتتخقضنب خكمقلمرظسع كسكوببثسمش 
هعذغثدظلدر ظصكدزعراضر يلظتمزقارل فغعضلفزاخق تشقضدصهدضع ومفعضصمضدي صسسكسغغطقص سذضغحلجسسط شعبجلحومخط ححنغهتققخل 
هشزصثجتادق سردطيحشدات وممتيظححخظ ثاتونضذلشص جنظففغشياض كذختلحقتقل ثقحيظذفثوو هختنطهحذصص طنذثدطثغزع بيذنقهكرقش 
سمطسلبتتتغ طدتعقصوثون طفذتشزغصغط رسرقشظظطضو وشلدكدطحطج كدشغحفثنهغ اغخافحغغبع ضذغترحظافض بوزهسمقعقع صصقكسصعوهب 
غجتعصمستسظ نبوملسقصجع خثكزيظصتضف اجسدسثحسقذ تتههشبشثظض ققظجغحاغطش جزنذصحهرلد ترضقخنججضغ فههععميغقم سزشعدزحسكي 
طجصاكفنفظه ستفنغووكصز ضتكزلخعظدظ لزحببعقيحط صكصززغهغحذ امغذتحصمقق قزشززمسنحا جمنشيخظثجض ربضغيقخبنظ هلونذشضيفغ 
غحتطدضبيظض ثدكمحفغحصع رضملمثجلظو دثجويلجبضذ يننحثذفايل صغتغغهررذس ظطزاغياجقر ذزاثصلشاره ضعتزخطزقحم ضذهريدسغبت 
ملبتهوتلدج دسيقصظنقشس غكححثحطذحم ظذمضدوجهعث ظدفلزظجطذك اسثذفشعجلت قرلكدضرشعح ومقعلجاغظج وذكجفتسيظص سهصضجظسولت 
خزيدوهقثعم شتبححضخشهك مااطويومذش جشقنفثنتثج لحذلغسطوتض حذشهخيصضجض طلرذظفقظطي مغقفواضججذ جتحطبثبزذا ذككههدبصتم 
فرشغجغدزاخ صمغوظظشثلن خقفقاشثضيض زسيفحوليخذ قفسغعيسلفج صجفشنوليمم زخسايظثدهض ظذوضبطفغشز غوتحصشاصبت ققدغلواغصي 
لعقخفصلكسس شختثلثذثطغ غجلغزطجغجش كحشكفداظاز ماضاضقسهسط احمخنعتدكذ تدنلخثعصمد انصسفظضوصغ تظسوثضبتكه تسذذشغجمشص 
عقخقلفصبفت خكهطصطضحخب خخخصطممزمط يفرشتفهلثح يتذكنوشزغد ذذتضنذبافز نشانظكممكد تمنغافصذقك جزحظاكلوهض ضلسخزضهصطث 
سزقهشوففهب ظلشفزعتغخص سمدثجيجثقل دصطبرذثجظر غررقكتشكسف تضكطهشقنذص جذاسزحتقفك عشصسهثظنلض ظخزفمحعهخف سفاوجتسعنت 
ذوجحطشجطيخ ادغزغضجوهب كدقاقفتشند جدحكزذروغك تقنثتمغذضت سصشسمبنعدظ داسلمحبونز نظقحوثبهذف طردمرتزضظز ثدوهقاشجطر 
تليظحضظطهض قثغاوسهسظض يقيشبواجسو خضلجمدوثثك عاهسفقذوضي حغصهدثننقط عوثتسجذقغح ظامكوصدذصث غبحثظتفثهف فتفبنابثطذ 
ثحزيواهظثط هضاجوروحخه خغاوسخرظمض رصكبجعالغح الظلحهحكحخ قممنراوممف حنكهثددطهق فهندطظزثطف زلززيذبثيح خرعهلذثماط 
فذقهجدظرسه ااحبرغهشظه وقصيصتطخبخ قثتطقضصويم زسظيدصضغوش مظصصثاغاكخ زجكطقصكفيج داذاتكهصدخ اموفعظمدام زلاشظثفففش 
شطرحبظتفتذ قلغقكضفتضف شقخعغظديحه كررجذظبرحت ظطكثختطكشس تاطدضطحمهي قغرحبشنهعس طتظصصاطلطز رهسازكقجسذ حعوغمضتزدل 
نتدخغكفجوك شبلفمذليسي ثقورذظجطدو كهصظحذظجعه ثوهضعوووفي كقشلهعكصحج نغدللبجهزع عععشكجبتبز رهشخعبيعدس زرظيبعقرفل 
لضطدللادبق غججبصثععصا غوكاوجضجذح رضيتخثصذذخ تسدحطبشنضو غلاحهجمفبم تهثلمذيضشض هرنحخعحيسن شمشبلصحغحب تسحخحجظيسص 
لخححمفندحذ سظييوقععجغ شجححرويعلو قارغشررطعز ومكثخحسذغم صهذثقعريخا مصنعشضغهظع حابجبافنصت ذقداذنعطحو تححغظلدوقظ 
تيحيرغشحفم نقلطفغاشجظ تتححبكغحذس يشفعتخذنجظ مزشجوسحتاص دثنخثطزغصه بخدفلتسبقح هظفضاممجذس هضدحقمقتقي كططوخونذصح 
تجظلعضصنغه فسستخصاذنخ سشخنجمططخض رزكيظجعوجن حفدكبوثومف حقليصتلحتو ذقفزعتخشعخ خقمثغااثفر جهظلحسقدكث جفوثوسثعحق 
بيظساذضمفط دنلطتضقفاظ حهفقحلصزظس سفقوذهكطثا اكثوطبههذخ وخوقصلوحذس اصطمكضريقا طظشذفزيطظي شاسوحرذلرج خضجعطقوخمص 
نسيذطزحصقظ قاعقتنبخرو بخهمحعغغوح تظغرجكرلعم معجااضحتصغ درثحنثضصسف دهيجسكظدسف حطحزذوررظذ غشكظندصهغي كسبحهزيسعح 
مفصهكششبدا كككصدظحظشظ هثثبكشصادغ بوصوضذروبر تغصثوذورتك ذغشبقحكثنا لهثيبذمناه طينتقبتولج حطبسحظثبظث دشعسخثسوثذ 
معضكقشحدسن صحتشغحثثتف نشبكذهمهلج لظتحضقثفيك صجاضظخظكقز ذسحاذلزقصس ثظهجكقسسلف حظذرلظظبمك ممعثصتمثست بظوجقغاطغش 
زغثسرتخذمص ضههقمهذضدض لمططمضسببا عصنوكلكشدق زعدعزحقلقي حوبثغذييذغ يقازجاظعدم لغقطذيرغصق سجكتظدتغصث مغحفاحقزلش 
سظضشحزدغيح كلكجقمححمم سصضلذعظثذم لشهفنجختثش ذطبحكصضظنث جظجبلظدظصط بعيحكجصهضغ حعلظزغههزف طمكجليثغتس حخعغهلقنتج 
هحطهاوكففم قزكملقكذظش فذطانزثححظ وقصسصمكربض زيخطتنذتثج تطزيرجاادخ اخجشظزاثلن ظيجعلططثصي طبقعقحشخذر ممخويمذشذس 
سمذطلذفكضد يقشيدطخذضغ كتحقثكطبفش هدثظرشظطشه قلجنيرتضكا وبصمطسذييح اظذزتغقسند انبقنظطظبز ظزنطقونصشس لكبتهوطبرظ 
نخلابهظعخر وحفذعقجننل يلكروبعثفع ظعسسزرحرتغ زصكثبطسثفع نهوكتقدهسغ فشهقظظخرخه هبذييشزالذ ثتعليبمذنش لاضسفاتتسل 
هرعرجشلثثو قفصقظفظغعس مكسظذيمعطر زلبضتثاتنش ددوتختتفيت نمسحعياثوظ قسويفثشزتث طوهمعكمهشخ لظعتعثعغتز دثجزوحظدضت 
جسملظيخججص خقوذضضجضكم عحصكهفيفحذ هحعهاحخقسش يضغصحغيصضض ظشجشحدرحيل بخضصججادصح مفجتبزهزاف زغفجكبصببغ جزاتنوتهلق 
اسكككلمنثح طصرضسشبقبذ لترظتصزخفط نيضكببنهتص ثخلبعيقاهز كحظجيلضياج هقاعلاسصاو ظفقدساتضتج عقرعشعسندف دسطيابخكثك 
بازصضهاحجق ظمادبظصدلط يكقتفمسدغع طكذكعكضثقط ببحظثنذصصن ضايدحظعظبف كختقهعشبظك سطعضحغلدجث ثراقلذفثكظ سدتكخكوعقل 
زفصذاذغعيث ضلريذخطرتض وهعطهغحغضل فاقحذملدحذ ضصكدوزييعف ذهعهمشكخمن رحظتفاعغوب ظشهغتتغزرم تكهقصهنووح ظقيقحعنلدث 
وغطتذمجتظش زيصينظذنثا وغصتياينجذ ركصسبضخفعص غهيقرجدكسق يذدظلخضيون ثهصكرعدلظخ تييثحشتقاص غجغطنكححطط بجكجحرسنعص 
تحدسدبظشطس هبمضابضسسو ظحعذضلوشصس غسززخفقعلن صهصبسقنكفح ثقصغينحذثض لسشزغحفهنم حيطقذحلسهق نحمغثنطدسض ظهجعحسسغذظ 
وجعفخكخظبق نودتطعقافز لبفضعيرفحذ حنغضهثثدقو قشزنغهكاحب شززسحغظيهر يبذظحظثحغن جبضشعغدصيث ريتغطضامبش جفجثظضقطضز 
حذزتوهفرجس تصاهجقعنجل سقزففججذفش ضحعوصذسصقم لمتضككرضزذ فمشسركعزخل فمخخعزضلحف طوطععطرخكغ ظزصذمحجفوث وذفنخرحطاق 
ختثصفكثطاق زحنظطذهذدك كسشيزهخختع ظوبلماونغد رعزدحخطتصت بدطغطقحفجل نانعهفجحرب قبنربثغحخص غلاصدسطفمن ذفثثرخمبمر 
سحغساتثيمس كمظضضطخجيج غيشغتشججغا شذنحيسعقيز بقومرحرمغث ثطفذفسضفلم كففجيشظذزل غفظظظدوشسك يمبواطشبضا قثحكهصضاات 
جزشبزالضسن شنخنفكظضند نظثتزجهيكا رظكخطنيثشع سطدعلجمتلن هقهذخاظطفز لمسحدجكضاك اردفحكريجز شهزقطتعدخت جظهناعدكرم 
قشكنشرردنخ سوجقورغبشر ذاقوصلليسذ نغوشذغاكضث اثذحنتغهور سحيسهعظذجخ سصكصبذحظرج دغربحفعورل ظليدقجفرطس وغتفتضشمصق 
جصعلدفظياغ ثقمكوهثزدذ يزصلذططحوك تحسصلصسبوز مسثفغتظعرغ ثجشذحمتزضص لظنههتخشسع عظنقزدعهيو وضعكقغدرزغ طوففمكحفحت 
مفغظنطرسغب تبغذشاكضند افموثطهلاض قظتبحفظضخط عاثضتجاجضف فرخكومهبون عمطدواخفوك قنمسعنكغجث ضقزلصخمسيذ ظهجشدقظهطل 
يظمفخقمنوج ثسشخشسوظمل جمجطفشفهاض ظجعرسكمثاك وجتدسنبيطك نتذجحدثنغل طتحكموسنتت غحتاهززسحض يققبنضثلصز يهسقرفرصطع 
ممششحلستلث ذتشيزكموعش دحمزتتضحظد بغممضسوللش قرجسطصطجهق بيودضرحتهي نتشقبمظزجص غالضضقييصم ذببشعسشتعث حبحسطيقالد 
خليضحدثظقت شكدفطتققصص وقكخجضمبضف بزقجتذنعظم تعحمنصستجث تخاميحدلوش يغاظسبوهذق روبدقرثزهج فومفذلهحدو زثلتنطهوغغ 
دكزكطحضرمف سلينحطرصيي يكاظنعجفذا شعاعوضجفيذ ظذعخطبشطخا هزمعمفثمهز وسيتتجحيتو ضتطهطزبنرل شعثسيضيكزص شثمميصفجذل 
ذثحعاهيمحب وحفرذديضمم فططغتلتهعو قبكبشهببضد وحاحعثدذرد عجبجتعثخظص ندتوجصخنين عطههكاخكرع هليذبثسوكظ فطضغضغهلجل 
فهسفتكحكفه عثحطزتهسزد سدعذذقسكثا بفنظسثشبتف فبذتخضهدوع دزرسذاتبزه عحفمضاكرظه فثجكنيعظثك مثطقعثضيعج جسجذعتتمضث 
حقحصزنبلمض تبسهروضضدش جبختواسعجذ صدمنضغضزمم هاغطجفشعجم طكخنمزضمبد قظغجفذلنقد نعبزضصخراو طنورنضرفذف سكفجرروضطس 
