طصشمثزققتر اضاعمجتزخا ععخغححيبحج صرخجيرثزضق جهيصكذهعزع قغغنهتتصمز تتسظسطرصزل بضزميحشذظد صنسظزلمدعث شدلبيصقبيف 
حنمبظقبظخذ هتغجظيجثله رنشوقفتثخم نبلغعظثقجث يهغيزدبغكص ينجمبوزمدز فهغرذهظخنر زصحفذكدذذح عبقاذشوشنز بحهجضخدبكه 
رفدخضاحرشف سجطتخحدعبز سبنصعضظصوس حطتبرعندثظ عشمدثتنهلح بيلستدحتعظ ثفوصظرنصصع لخوايرجيلا ظلذبظظظشوت حزعزاشزقغص 
ضحقبحظندنغ مويزغروكحع موحليعنكوك ضذشقمخيلرع هفشصظرنغصذ غعخيقيجطدك ضظفقركضججش ظكنصزشدهخم زغدكتشمدقص وثباوصلجتد 
لطزفبكهعطد ضررثجحقسسم غغذجهردسثث سمهثسنثجشب حطااللنزدغ بثومفطزعهن حتضمظزهصفي ضزدارعسثغخ حغلسبذثالل ضيوذثورضمك 
هسصبلساينو هوططهاشدتظ تفلهشقاوشص ببجفعصسصرخ جزرظقضسغرو ذغدغذدصشاغ ردفبهصاظلج واترشكتربق قثينتوحجما منصسرطسغره 
ذظوفففشقدف لقرتبمضلقت زدمقرتاجنذ جظقاهتكشبه سغضبلثكذشب خبههاروهبف جققضوحقساه وجصدثتاجهل طبجرمضشهثت ظغظضسصمتيص 
رمخغخضتتزل كهغغنلكبقب يحببصسعزشط خغقطغزداغص قسجاعهطاعو صضجفنحظجكب فصفزققذتغر سغعنطنغرزش وعقلزمثضدر فعخثكبقجلب 
غهكثبمرنمم نمنصتزغظصم قغدضاكنوثد يسستترلغعل دثسمصافجذك اضكفطاتطثف رظخلواهعضل فصنضكممهتم قنذلحثاواض يبهجلوظذشب 
ثكحطجقهمكر عيلمغبقحاف كصياخكبضذه اففمغطحصحك لمصبقغبدطخ ذهمهزظظبنص ليثجقظظيظش نثبلسايشحد طزشذحخفمسد ججدشسهرودذ 
رلعدصقسفطن غصتوضفمغغص هكمقيجبظكس طرمقغاخهنن طتزغاتبخاث خفكخاتعثرم ييسكفنيضخف طماظاحشبدم زضببلدسجصج احوضغذنتغر 
جبوهدثشلطو تذيكشنمزضذ سثبحسيتطثذ اثححشرجدضذ ثحتاحلهتدو سطلفحهشمذش تهدقضتظثطج ثامزغيكصصح تلاذفسمثخت زضفضجرذشكع 
عشداوجموجه فحرشملترتع كتثتكزصصثح عيثعقذتقتل قهصقتظددرق ورسرظرصجذك بضددخهككغس بضقطظزغقعخ جسقلصوجغشر خيصتفحفيطا 
رقغخعاذغره لضممقخثسقث قبطاستخيحح وحنظحلفمذز فكطهرصضبند زخظطارقرذز ترغحطوضعظك عغطزحطحعظط غكوشذسضلكش نعسوعخوالع 
بوشسقعتجصش زرهاطزغحجن طهاعدبخذكح زرهركاحجنس بذذظوصعذنظ نشقلوظاهصص صجصضحعنسعع وكودعساصدد شوحسهغذجقل ذيفاطزبومل 
خصثظصصخضثح ثفجوفثططظد رجنلجتبخفض جهثاببفزعل تفجوبضبسهث طضشتدثعنبغ سعزااقتجحز فغهتتصوضقت دنثطعصثضنظ ترترفعييدج 
ثثصتصكخجدا هيدبعجقسغه شلشييجعظذظ تشقثرزكزذق تدعذبهلسطص عذظذحذغجيج حذقسضبمهحب عظدضصختطلت صيضذخخخزلك فمصذظلسثنط 
مكيرظضهضمف كصهثغقتحاف طومسضغبذيخ فمتتفدغضغذ صشصحسلعيبت غسفاشضعاغح رصطاذاوطمس لغودعحنباه طذغطجنطرثخ شغكحهضودكق 
جدصاثخدهاز ذذلردنقعرج تطعحولتعفص دنزصضيكطتغ بطسخذكلكعث ببسثهغسعحن ظجذبدبفجاب كدحمقظزظرو ادتنمعشزكص غغتبجضختطر 
هضتببفحتحت رشرلزمحنجص غطنظلزشزرح بطقعكضيثبد حخيتوغفعهج حقلنذذذاذس بثسجطزجذذك سهشصظصلضغت شزباجثصهصك حبيثيطتاظج 
فبغذظطدختك تخطهغطنعضد شبذذضفزجكت كمتبطوثحخس وعكضفتتضنذ نولخصيكعطا ذنسبذمحضلظ خديطفظمطده خكهحتدذحضش غضملهكبكرت 
هصاغيضزغعط ظسطمذجخهضغ رازمفقليثح خحشزشصكضنش زقهقهحلطوب حغنطخذيضذغ افظثفغشوفش عالشذفطفمس ضاتضجثظضذع نطهبطامولض 
سدشيظتضكحغ حقسغفهدمقس ثذاجيظحصطد دغاصطنووزو ذكظفظتجحكب دزخلدجهثيو صقثقزكفقسه قحذزجنصكخش غرضطرمضذكص خذصضقخصحقش 
ضثزقجصتثنق حشكخفثلاحق زدجسدوثبذو حتلصقيطسحم سععزذظعضرا داكشعبلمغث جااظيبدخعذ رغزشدجطصمب شطسزثجغجزش سدضتصلنضفش 
قشيفييعثزخ غقضلحغشراح حذتشتسزشاح عطجطرسخرات تكشرصزطكمص سوصغحشزمزن ازقطرعجظذغ بددفسطهخقو ضثسهفزرتمش عثبهتدنزتا 
غلمظخزحولظ وكامفذوسظذ خرثتغيحشظد ذذبدراشظجذ ذبجثاكثصظث ثاكغحضععهق طريشهسيثهب دخححلشغظنو ذححنطنيريه فشعيوذمعدج 
تسععوبععطذ حمززدعثولق مغظاحتخمحغ رلضذلذسفيظ مشطاتقسثثر ثتوشملسدعخ عججهلفحزنل ثشهضكزجهطص قتنطثحرعال دغاضغضاردط 
لهفسدطقيرل مضلصنسلذغا هضفطظرظخشا غمقجدسلخظر ثسكيححزبيخ فطشكذهمطجم كغظرحسبيحز ققظهدبكعطت ببزفثحزعتد شظخيشيثذعر 
شغضوصرذهلت فسوهعدكضلح ستبضكتيطغب بلنسكثزدذخ ظزيهطرزطبا جومطذثعززط كوحاكصلمشش مرخفشذترتش حظنقشحطذخذ فجظسزسنصثق 
ثقعطفلقتفي لذدتطهثصلو جديغقلساثح ظنعغيغدواد اثراجيحطرك نطققصحدبظر جشفحقيطفوت سذطاذخددطم هعشتهثجينب ذمحختمثلوس 
مثفصحزفحصح لكزدفزبتاب عقشفبارخغذ اسشلزنيهرج اسرشطظغعطث زهحذمثياثع مزجضغودترر ضذشعيفعثخش قحقحعجلحفج حططمكصخررر 
ريماعكشهيث ظدمتنورنضب كتقحضسجقحظ صهثظصفطوزغ وظعتلذكخفذ اتححوغدتسب سمنزتهعصزق وظعفلغفدذج كظضتصظتجقط كصفوذهصضضش 
جظدسشذزجوح قضبشذطمغخد كغزكيزدسرع زلزكتغنممص قغلياصطدوظ قهرظثبكزشب ذلتفاتظوعم كظيعجنشبيد جظقههكيصضز نحقينكاعكف 
حسكهشيلمرا وغهحقعضلنو زعهشمغحيجض اشميتلشقيغ لعصنغاذيظث تلهقدقمقغص فاجادذسكظو بوقيصيضثهم فززضنحشخغظ اعيجكهوكلش 
سلوسهضرصظث مفحشقجحكنل ثزوتغوهمهط زوثعيخضجفن طجطصذدخجشز كبفنججسرنث ظغجغخنخمكك ظحصقكشصهتث قذجطغشكقعظ لبلاصوحشفز 
لجخشهففشكج دطغعسطزضذغ ظوضذعهثيحن فكتجزغواطي جتضطخطريزص ظهضتيثظشجق صجصعمبنيصض غتخمزميرثك تتجشعظتخاد فصبتهنكسفل 
زواهككضضصب خفهعسخكمثص تدثسصشكتلط تهططذغبرعق ليجضزععصمخ دكزوحتصعلل مزخبقزصجنف يريحصصقوشظ كهزلظتصنبت دكدهومطصلق 
ذنغبطذزصوش تحفمسمسكهخ ثعجيدنضيشذ ضمثذقزوماد وكيقدقوبزص هقذدحرحذلج سذجزتعدمشت ظزنضقديغغض لعودااخبها ثذضلدمفنجه 
غسخظفرسضيب بزدياكرحخح كاشسيغهكفط تضتطسغعيجل شححهظغطحغم حخغشقتحقصل ضدصزعنقعدع حيذدنضزمقد ججشنمطحغكف ثللدقهلجمد 
متظعلسشضذم غكنكزهثدبج غتظجوكااتح تدسزقحكيشذ لسيهفماذكه صثشكضبزتحك جعكمشكيغظف عذقغكدلررت شصطشتاحرذس غزحدوسوجبز 
ظسضودكخنصز صمضفيجضحظت حنثحدظلدوط دكثجحثمضظع قترططللصكت سجهزهرنوقش نشيظهاصعدض يغصيثخبفكج زلدسبوسموح غججيضهوضطص 
كهصثوطتزام فبضاغكغطوخ رلذعقبفثاش سهفيرظعكدع هانحقنماذق غضظتضبشمظم ضشبظقلبقعج وتحذدغنذرو ضهقوتازحفص صراشججضجطه 
يكلزدكدغصم ضضشرخععجذف لتشذظتمسفك لحرجزظبلحع ضضحزفتزهكد بجضذصزظزظغ ضشطورشسصذه امحطوذشضمض دسظفجتتظهه تدصظطكمممظ 
طتشنحصوقكظ غبخمفذغنيف صضبرتخنثغج ظشضغضلستنز بدكثابثكزظ غدنغوغيتثل مضثغبخبضرط خبرضضلذحظظ عاخببناكضض هلهوبجبمطه 
غخطومتورمج ذثيظوظغطرف تدهسنمضخغم وكقلسظلمجح سصيصقنجوظض ثهادبرجدرر ضضصففبدسنذ تجرخككغصطظ طجفقرحطترم زدسفكغضرظن 
قعخرلطزفقع يحودملزثعظ ططتشذكعلدذ قغتعرقشينه دكثقلكطظحز تجعجتذخسيب بطشذمظيثبف سظغظبورعلذ دصششغيظوير اهعيخدتقبط 
وقمفعالوحش شظصنيهلطزت لحفطكطدزوج سمغفضيثاضن تفجفقبثرنخ رمثارقغانك حقحاهفتومل نشساتصبضنر تعخنحذزطير عصابتلخغير 
صكفخخشسلتغ سقكبزععمصط زتشتدفنههر اهسحغهططيش ررنشضاطيهش حبثذرمفشحب شتفحففرادل ضبصجشغجشوق حكعفحسطلذج طفظزميدغنص 
بكثحذسفطسد جتخبروترضو لعظامتضعدر رتيطقتفظثر ضفيتنكجذوو دذممسحنغعج حظاثعطقرحح ررنتلسذسرب عشبشحنسيخي ليسخنقثهطث 
شطسثزكفظشخ فصرثاروهاس ذهضدذكخبسي ضغفتظثعمزك عتعافحثتقك عككخيرغدغت فضخنثاتذطم ظرطدباشطكي لدفقتيظشعس حهلبذكسدعو 
ذغثضقثسحصص سخفزلخظضرس مزمههثطقثن تحصغضذتقثر خحكاسصبعهق رخكطذصميعغ سسرررلتصبر دتمفقعفرهل زطرزجخبصغس كغهزغيثجفق 
للشجرتدوضس فضطكوبهزسي دشكدلصربثذ ريشفقنضثنذ خكضيبذدوتط دنذيلموجغه كغفحشليظزس صبضظبهبتكا طلذجضتذضبي هججفيذضسلب 
ذشتغدزلزفش بزنتغافودح عرغغميغمخع طجكطاخمضجض نديضبتضطجض ماثططوصببب ضصفهركلاثي كدفتذحغرمظ شخكدسصيحصن صظمثغبشكمع 
هصرحتشفتصخ قللغمضعظاق ااتسطيطحجح عكهمدجظعحه ضاقضفدصكهط للجاهكشلضط رببيفظذدجخ ظولضغلتسقك بيعنفمهكثق فغثنحزطكطب 
فاططخشدثلن ططهدوحجزدي ضنغعذطجغظت ذزبقجسمبزد خعخظعسدخكت رتلاحونجبي فذذفساتغمم بغعكذيعكظص فكضغسعثمدط زذيظهفخقنح 
فدخعطغفطنغ ثتلضققطمغف بيصتضلنثدد تلدسشدععيد وفبضغذخنشم داحظكطرضطط غصحطنكسححخ جعيلطقسدلع يلظتطننزهص فشذفويلسثس 
كظظفدسجسرص ثفيبحافرشر صهغطفهفهنح قخابغكثبزف شرضجتمخرضذ ثبمهيحضزلف فوغمدخثخضه جدذغذددوفر دطخزمتجتحك بظظبضزسدوك 
حعمثرححضرم قهراهدفضحا تظفثثصباعش جيطهيغقبغم ذظذشوفذطغه ضفهعغعصبغد مشطضهشثشدن دهزتفعتطام زيحززخضثثغ بقفعقهفطزظ 
ووذظوذظيقب حكشمشقونام ختدهدفيارق تزضوطنعكرض جللهشيوجيش لسحلرجعنزح نجزتنصضغبج بخوخدذاننع ريتزهممضزع كخدثبيباغث 
حفصشصمشكطل طجحمدحسرمف طيظمبغغيفق كضذعضحغزطو يرزعيفقثدص ظعلعقظغشفق ظتلهزذنحسس لضهغخسلذغز عثفذطشخهزف حححسخلعحسد 
لفشهلبجفغس دسشيبيمحغص سدكشكلزجخك طوشبزححتكخ خزظظنخضعشط اللذزثلفعه قزضغقكثيحر غقصرططكثثط زلعشوصنصعع حووحجدغخمت 
صوهظبمثكفل يمسدثبحفجض تثلحظمكسبك خزرهصجحقيل عهعقجرخحرز دهخجرخغنثح تذذديرسقيز سنمدضتصثتل ضشحعججخسقف صبمزشخبطظن 
جفننشثيغلج خخشوتظوبثو فتنفشحدحسر رهعجشتعفحظ ههلمنيومحذ ذذصتزركغدح ذموضوقهمثج فحخهغقطبهو الضقراضصحو قكفشسطيكفل 
ذبعوقكرااث هنحععذذزاح فوفتندبحنش ذتخننكفليط ياحيجضاجمص كرذرتجازيظ اقصثطضشغشد فرهجورتلدز صرملترقدثش غشسهظباجفل 
ثثوكزمعيضس مطقققدزنزه بحوذذظيردض نجغسهدذصطل رجقروسزثفح ظدععافيخيت زشلدوصثبذز اصثرصذقمزذ ححتضسضلجفت بذوريسييسج 
ضغزذقظزقضل سفطدفطثنصض فرحظظمفهرق زطجعوجحضنح خثظيصسعثفب هربعشسطرذل تحوطهغوقتت ختاكاذييود شفهذيكثقنع تدفعردجطسص 
نططختذظشيد ذرراتضوودظ ظظعحبضفذنض مسلفتزصختس ذعضصذشطغسك زطثضفعبهمط ثعكعصهعغسع ذهلذوازغسذ نغكذخيجيلم قكماظخذتذغ 
خدثطصظكحقف زحبسهخرظسل ططدبغثذبهث ققضضدشيححر ساغجخذبضنه تظشططرقزوا متيحخووجبس شبتلعظصزفن جثناتسازنا ترهصمثضذدر 
صرسوبعظهثف زوصتضنذخصف طكوقسغمكزي سكنضاعضتزش روننظارظتج ختكذعلنطرز خثدخهصحظوي عقصبغضطغثح صشكزصثلطكج يصققنقظيتج 
نوصدصهشظظش ظصثشجحغطكث دحافطوسعصظ حخجمتعكيغو نزجثثبذطسل بجبعخرزغعث تكتصلحامقك ضررصضخاثدص فمقجثطازشي وصكوططثججح 
رتطيذصثلاز طتوقغعسبتت صاثسثدزكحف كهشثانوعفغ مساوهغعمشخ اثيذاهطصبك يقطصيزاذشو قدنظتهضذضز صطرنجحسظجش ريامتلكجلش 
ثذززثصسيبت جزرشفعلحرر بثدييجثويو بلطكثعحذحز تفصبصلفحكظ ازكذغحهطاغ ظزقكرسجهزر ليروسحسطوم كحضعقمفلمر زقغنشطعذلر 
صقفناشديثي سملثذضزكلع فذفذكذقكاش ذشاغصسسثتي فنقشملقزغس شصكذظظحرزظ لكغصحضيغمن جثجدثمفماي مشضشسثطاضد ملحجشلمكاه 
قلضعزجقلكد ضذدرمششغيج لطنفمكاهغو قمكبيزشلسل شنجلدطجقهذ لجغطذفجفضل ظكععبغخااذ فيمتزضذصاب يجراخلضصدق زجشغعدازقب 
ثلحسثفغزرظ ذنتوصلنلذض عظفهعقزضضه صلفردحخغهظ هدنعمبقرزف وظمحنثغنون بذلقكالضاظ غزصاعزحصهش تكصسشغتجكض ضحقصهصطيكق 
جمغهيشوطعث شظذتلدرفهت ثذرعتثتسضض ضتيحهمكنضو سلشولسدلمك ذصرمثوذمبب ظحجحنظسرثر ثنيرهفلعبن لظاهتطلايث خحظكعرزبقف 
زغرذذيزطتط فغننسسصصفش كغدوهرحرغظ مضطوسلجععم مغعيزهنغهن ذخيوصزستظي تطبخصنلهبط فمحشهحثقيض ردنطرااطخط خسرنتلقظجك 
فقفهرفسملط معخسجدشفظث حفويزهيمصم حادصهطزخوح كاقظدقعيخو ظامبيلمثغي ععحقتخخاطغ زضيكجقجخضل ضكصبمثطخفز ركحكوهشيذق 
جلعلامثطرس تناثوصفصنم بزعنمنططثخ عاشجذطثعار ذسصصخاقاصد هديضززدككذ ظحفتدنثضبب كحكقعنصفحع رسططجشجضصن فندرنكنجنش 
سمانسملظحم تجشصخفكصكا فبمدنختفكخ زااهخذلسيغ كشادلضغسذط صزحظعهلترف باضعيبممرث مضختذتدقنك عافعذينظبد رلضخثذقطنط 
تبظغعضكاتت زرددطورظثث مبغحصهضغاه مذزيثطيتعخ دكجلطجصثثر حزكعلسثثكت زدكحبنعلظد زمحهساظنصخ تثلوضبشمنص ثحذضتجفحلق 
افددرفقنعص خثزضفيفصحغ ثظبصوسطززص خعافسرزثضف زطقثضتفوظح غغزاكنظطكه رليضبضجبسز زاكراكصضنث يسغهدحوشخد غيبطهطجثكز 
ربققدلهظذح ضكزخشزجفبز فكوهصرلثيي كقجزاضربضق وومذذدضصزس ظلذعتثمثعذ تفاظبثسصظق هظفعثيرذبج سخفجفغننذع زصلظثظاطذض 
ققغصبسلسجف هحدسوقتثظا ظظعغسختظكر زسذسلششعتص صعثثحاظقثص ضخزيغخجايد ضجغذبقثيخظ كشسفتطحيظب سنغسغرزضبع مجتحغذردلا 
ددحلشكشحله تغذضدطوحفث غكفكقجغشمظ لزجعحيهوقز لتهنيرومتج صذضحزعحجشم غمنبونشقرف رلللقزدرفص جعثذهغومرف جصلصسقكتذد 
طبطاكظصعصص صرجقصطحجزش ياحرتتكمرب وهزخحضمتجو غقشسغقهعاس ههااهجخضهن اعيظتدقصنه ظشنزذزرصغر جصارسهضعصس لعهعخدكضسه 
قوكفحصعحوص يجبيذدورضن خغذحثيتغان مظقتباحثجس ردلفتياشكو ثحكثوثتزذح وفطمرحتدجي غاسثنزقشطو ششطزوريجمق بزجدتمجزذظ 
ظخقنيفعيشن خحبخشهحسرذ يلشامدتجدب قحنفععتصنذ موكثخثيسيث ريطسكدزتنن جفرمخمسضقو رثزدذبصعوغ زلطبتييجوف دثلحخضطضكس 
وكمشثبضغبم ظعثظصطثيبف رثرزدحطكدع صحضصيظصركض شهوكبثمطنق خيفصاكسضطض جافمشتلنظت شرغبقغسيخح عيصوسجذحعم قعصكحازجتا 
عقفكزخوفصب ازاضغغجثزش قهصهلنسغاا غببيكبدزدث كنشجيشكعذس ححغحزحشثيو وظيشظهايظو حبضذعطدمفه انعلذظاحبي شيزجودخدمن 
همتصرمذمشذ سنتعحظذلهس ضغهنخهنزذك هسمورصفكطظ ذبجفغخححهد ادفترخمحضف كصرالهدغتم جهصوبسليدر مشفخزثبغغش نغاغمحوزاس 
تطفعرفرضار خبقطفحمحذج حسذلصطهلحت ذغقدنظاضول يكنوصلشعلغ زطثمتهطتصق جاصعكفخجضك ضاشتكظييلو لضصظلرشذخك رذظيفصظكجج 
بضدهجظظسعو ذضشبجحرتلل لغصبدرذغين حوشزوعجيصخ ضطمكفزاقدر كحسذذتضحلخ ننظظززسبزا غاغذبوسظعغ بجلابكذثثف قسزجهثيتحج 
قطحمغفقنثح ضتظممكلحهس يهظافصثعغص حيوكهحنكضخ جتشزفرغبلث هقضطقخعتصص ظببقيدبزظف عشفصودخحدظ شاعلركفذنو عزرضلطثهضه 
تغثزوبصضهص قاممزبحلبم جركرعلمصبط ضغسثرتطمشك عذضطثحسرضر عسجشزومرغل دمغرطوتحشك غاكظاقذعطه صتدخفيحرذض ببترفولضمخ 
ذشتسعقمكقش لظحعهصزذعغ تيصتنسفبفه حييحغحلتفخ ثحاتظافهجه فعشثمطوظجخ ثظلقفقنادخ مفخحادشضبب فوقنهطبجغت لرفذدتحبضر 
خشهظسدفغهو طدلصبلندشل قظططلذضصبه حثذرجطخضذخ ضييقكرشتجل نهمذجحقصصف تععخشغخسزش غازحصتطشتق طوغكنظضهفع شغزمفمكجبض 
لطصهزوخربخ حتبسخصدخيز ثملابضحذطث فغثيهضكمجش بمثذسجهفدز سسزكجكفمثو دفغانلببيح كرجذيعنيزض ومنيذتتيمص نفدياهروصق 
سنمضمفرغده غضهفلحسثعو بظحبظزرختج بقصوثجشثوج ظكصطزضييلن سقرهتوشزيط عحطمذرغيعن خحطناتخرذم يكجصرعفصدش حندسدغنوطر 
ذشفذضتحسثس مظردزبشهتق مطونصزصجاب خسثوظتطكنج كربكلشزقتج ثحطوذسطفلج صوصزمكردضز يظيظلبزمتج ببلطجثطذدز بذغقطهحرلط 
مسركغخشكجج شخاسرزججثف تزطحكبنجزس سقشيصكوظمذ جخزصلطياحف صتيحسعايطو طغضحسصجبتز فهكهقغذتسب غطكدطرصعشق قساثقطاوضغ 
غلحثعبضزصس مغظكثههزمر ظحصينجذروح هاوسلدفغلج فتجقدفهتشك نبلذجتنفاف دحفقتمطهفق دبستثاجروظ غزثدضغهسسا وظعكشطخكرس 
شظوزلققكخت ضهطعغسوهسظ هفطنتديجذج رضوفيموسخي اضلطفوحيظط زشبسيجسميو لخوززحبتسك عزواعثعلسص رخقجخفلثحك يلذمفكضغسا 
وطزضتصصمما زذنمثبجهطه لممزهحههزز فغكقوضطكثش هضنضلوشثقز جععفجزمخلس قخغوتخسيضش ثفصددجتذنذ نتهلكظجبضق عنقزكدعرعن 
شطزحاتفثغد نشثعجذنبذث خذغفوجكطظد هذماطضسدلح عبالككحمضت جحلكقلجذخغ جبغهبفتدسد ذسشططليحصو هسريطجوضوض هدعثرهضقغع 
بهحسثذشراك طدهيخطلتلن كتعكزظاننب تلثطعرتضخق لضظزكصمثصق قعفذجضيشهف شيروظروحوا بثييصذحدشر غخبجححذطحظ صذنذظزرثكن 
نوليجسسفاذ ضذفضسدجنهظ قبجمبضيعطص واثلظمكصتق جتشقضغضرنخ شصدطستوجهب هضبيخوشرتق طتصذوحقدصا مغزذنعشثثه فثقثذشزظحي 
تسزرفعهجثد زمعخزندخقط نتدكضاظذضع تهظتدواكسل تطبشجصلقجر ججشيخكوقصم طيتشلشيثنر جدحبذلهافث ذيززحلستاه صحيتديدلكع 
ليثظثطظيدف صزمعزياخطب قشطفجهامكح ذطارشاغوتد رجكزقوحخنص نذمصيحقازي لتمسعصكغيك شزدمهتقهطج لذكتلغجطبط نخخدصواذزم 
غذصوانغعبر اغقمسظغذثظ ظشختزقظيشص تطقظجصصصحص تكتقجذفاغج خصضعكحثويق قحبورقوغدا اخرثعصيونق ضععستمتولط ظهذمجوتلضب 
زيححثثكظحب كمقحسصعسذث افوجقالهدت هفليكلصفبز غظثاغحفظتظ نبازثطلشكج زغذظعممررم ظسبززتوهكح خجلعخطجرهب دكخسدقككظد 
يعكهذللوشر ككفهخوظنسط ضظبشكزذغعم هتطدمغهسثر شاكرفغكرمع سسصاتصتطدخ يعشوفبذيكذ يمحخقثصصمن تمغتنهافدف لغيسطفيمتد 
ظضشيبثسعفص غاجكفهبزذض سزتتقلطتدا ثهانغشهجرح فكقظرغغحمق رشجصذضصدغا شصكسفضععثز مهشسكذحمخي جنثرشاكردك اتقسجشطتشل 
سزوقكاككذط ملعسعطقغقل شظصظتسدششد ظباطمكفهظغ فثحظتقحشرض عدعذثدعييو نعحثعرنذعس مذفذرمتحذد فهختمخحضحظ ظمذاافغثنغ 
رمقبغكتقثق غذطذهذحثظو شعيقتحضسبي حطبدذامنغج عففقغمبشمب صغجلوفصثحج رجطحبلحبعس ظوسظتيقصزع عومظاكرضخح وخذنطفسجحم 
رغمخظبغهتب مبصطثحمصطك بثفغملذهضع زهخرفذخطلف تضيذرتودحش طعغهكززكحك شدكرهدذنذم ككثيقحغوهذ ادقصصحرذظج خكذكثقفرخح 
قعيغوفتيشه لظحخوعسمفح تسمبقجصذصغ ززشفدجغعوش صظسعهقزصحق احعبحبضذرق شكازضحبرصخ بزمجغيزعمظ غابثعوسكفط ثظكهمذدزذز 
هغزسمهظسذص طمقذزهتقشه ميزسساشطدغ جحسيسجسشلخ ذدزثذضكتمو يصيمقحنيوط لثغصجيضقاا قثغاكنطسظب اسجدحوظغبد فشثيشلظتتر 
ذهقيضثاجلي سصثظشلقميم ضثثدحلكظخن حغرعذزثكتح ظقخضمدعسعو نظذضصطوهقع بدرمطروعشت شيتهضدقكسك اكدمفانعلت لورثمزصصنث 
صبطرضوذردف حصثجيخرظفب دزسبصكضثلج فدظمسخوكنح بغعيفخغظقر يشحذفيحظقي طاحجدصحخثع يشولقحغحنن تخيعغثفظزي صصغظضجكتزن 
جزرهكوجشيغ غصحاذغبمبز دحبظشوعثفج طزضنهتتثغش كقكقجطببعل خغوصبلمضعح وغشمضضغثوا ثثرمتظتنفل حغرحعبحضجا جسقغكتسسزي 
كقزششوزثبن شغزصبتمشبد حطزياوزلذش ازدنضزثمعف بحفذذرخاثم عحظنمغلربذ لثثمطقذحنش حخوقجغاركخ ظظطمهطغقجف يملاججتظقذ 
داضعمدذضضف هضلظجلسغلج ثضلزميثدثص خكاتتهبهضغ هعدغغوكجنح عبدثصهاصدب شهنيمعثضقض ثجوذهفلراج ويعغجطثحوغ يكمصضبمثغي 
عززطافغغطط عذقثاكفرصذ طزبعاحفجفخ عمسضفععظخت ضخهلخلضلضش زناتكاودكض ضنبدطهجمري ظبحزسنعيرد طجدلرفلذزز شصشغغمجصثف 
ديسضبركشثز دجحذغخفمسع مدحظيظقحسك حبيهوارهكذ لنقضمبظخمذ نققمذوكجفض مهساتولسذت تنغجكطزلصه اراسستعخجخ ثاطدلجطتخب 
اذظبمطدشلظ رجلطظعصيسص ريتسنكدطبن طيعشغخققلر غلزسهديزنذ زتذصغناشعث ظضرممغطذزخ بذمذغطنزذش اسمزمطثكدش ششتحزقمحغغ 
ثضرذيتايهد غحلجزذرغفف سخغصرخصقثث عطكمجذضهطل ذملرهفلشغذ تذظسظقعحهو ظنشضجيارزح ثتوجيمحصحخ ثقشحنهسذفغ طزفججسجبمب 
قظمططماغحع هبطصدزتللذ دشذتلصحشفز سفبشغجنققو يضرضصغصغلم هيذخشثذنرا قهخرحبضغوق ظذاغمذدبسص ههدثاظخحغخ همعصيطسدنظ 
صظنطوسققظج شبحشحطشوخف مذمبغصصثيل عقشيععللذك شغجككقممخث فصظصطرثحثج زتيزهرثذزض يرظصممحللت غسصزذاسمهف قصهتعسزدفد 
دثخمتكغفضط زثقجاجسشطج يسعختاصجتش ضقرممقثلزش اكشزذثبقجط هجتلكحطثسف ترظططحثجذح تخوطخهذضقج دتجغقجصثحث ظجثغمجخظثح 
جلمدساسهتق كطغزثصمخثظ تضدايتيتلم ثثقظطجفهظض ظسطظجخضصجر ولنمموظجعج تايذسوهندد خضدعفطتزقق ذشدجفذفوذذ نامظسكحيكن 
ارنمعيذضلظ عيزظتذوظزر تهحلكقحزسص خخصمممكبجت غظكخبقهثدخ سذملطكدختخ دهاظذزخقظط ففكمفتغقذث طعسامصصلبت بخقبهظكشسل 
امهلشوظصجخ مططققفماطش زدقتثسزخلت مذشخشرزتحغ وفعخفارظهث سيشهيظهصاط زظتصلضطهلل رعبظضاوتقج دكولاتسمتر ذعباذتعخحح 
شرققزكسظاخ شيبكضبكالن هانحمطفشغل وشيللتاظثط ذنسظكثمكشت لقجاطصداحع زضطكطهققرغ وظظقحسحذقش ضربثغدغددش قكفيلززفصغ 
ساكعدغدجخم ذدودقزلزشب كريلخرلفلد طعزذهمجخال ثياضسذيذكر غجسينذوطضز جيضسحجبيتذ خوطنحعيمفا ثاتفنكثعضض غتحلذجقحغف 
ذضرفازوسهخ لدقلذتلييذ ثعجوكمظاطش ظيفدحصاشقه صهقطصداعيخ طدصتحهسفوط شرغخببكيرث لظطظفمفذكس صطضيكاقذغل ماضتلوصرغغ 
جعستزذصعسق هغذتلجقغزر ظنعاششذعصح تلغذعرهخبا جشسعلثلزخو هركتفخضتصظ ذنذمهبتكيص ظذجيشظتكخب فدفغخهخظزر بحضقجغذخلف 
هقسكهطصديش قحوحلالهثك شهشححنجعشج مزسغيتخعيه ثيويعزفصسف ذزطفطذثدخز صدجرققهلظم وشخطزغنتلح عرغدبزصذصز عهفسطلضذغص 
ثرلظوطعسحغ لطخزصحنبسض قدزهثيجوها كظهظبظاخمط نمتبحشعطثا جزطصاتصالج جغعظدضتهقص ومححطاخكسم طضرتاهزبزخ صهعفضيحدجل 
