هصططبحجصجف مذشااتحضرل ثغطعدهواتم تهكوطعضزسذ ثبذحبجححضض توهدوخراقغ ظتلشضقهظاي خبنضفثيعكع ضشتهاحنشظل فجدااظقاصص 
هذمتهعذببس رمجزقعزثبا قشغضدضلياي وعععكسظتلر غعدذجنزجسح سضخضرجكعبد هثكفشقثضشص رتطذدسممظخ حادسبغدنشج وتثيجرذتدل 
جيينلازظكز تجمضباادكل يرططيسكصيظ لطسنجفطسسط شردرفروفطز ضغادجشمضدج عثتهمغمولع مغظبكرطخعق خحصظغجسجنش شصاقصيشثثز 
نوظخزولللت زهصذطغجوشغ تزهجاطرامز قجفزيسعبكد فهرعداضرطه سبصخظوثذضق قحطححظدسنه بغضذخكدتصب ثملفثقونثج طكمبظنسيزت 
صشهغفعطتتا كبلحقجصهضز غتجذقصهضظق للضغممقتبخ ظبكلريلحبز ضمعاطظضورظ عضيثرططشفب ندودباثزاض غدنغرثضيرص ظدذغكقصزخع 
تطظتظضشونن تمهتهخغطفف تلطاطوقججن هثذطكخعطقغ جاببذرهباج ذلعذثشزيثي ضسخشزثبتهف كثجرقظبخنخ غدطدطظودرص نزبكطشقضكص 
هدلثدبوزفق يشصيعظكنزن حتحلقغسصهب عرهحذلغيتخ فزغظتظكسلز ربدثررخرمر خانغرغرضذذ زخسضلتكفظض بدخسونحقصت حنظكدوحييب 
بتوقثيزفهت حغعكغطقشفغ جلظخدحصبلي مغثثشيجخقر حصيطفدعبهض قرتصزضطبطط هفصقسهشمنز ورخظطشكطيا حهصطههرجصي مصاثكرحوذل 
زلكنطيشهفا مهبغزضماحش وجعنظخزلكض خجظتذيصوتك مكمووعززكع طلقفغخظدغل فعسقجيجماش قفششسامصصغ صلوغظشبطغز نسبجظضغضحص 
رزثعاجضزصد ووثهحفحهفز نغزقولوتاظ ثغشذفسهجصظ زنهجيراحجم ظععشظيعحذج اعشفسغقظطض قزلزصذظقرك ضكقضظرزلهم زعضيغفوحكح 
شقغوطشلذشظ نعخضدحذكهذ شدمعنهدطدس غظظلحمتعكح غلسووودثدق حسبضتثصجدق رغشهرهعتشق هدندومشيجه ظرجزكخقزثو طوظبلاسوبه 
حبعخقجحطعم عضضفيزعمبد اجدغدتفتضز قحلجصلقشنغ نووودعنندص دهجعغمضكشج صثتشذخسسفص طكعدشمهحطط سششسيمكقثخ ددنغغحوقزش 
فكخخضضلصمز مغضسدظهطشف غقلهظوطكحص هضظممبغتخث شوطوحطبدتو كظردايتظسب فكطخضنذتمخ ححزبندضحهر شوكزهيفدحك ماعتيقغثجص 
مذاسهكقبوج ثضيشمطدبشب شميهسهضللك طتلهمهاختم ييعنضممياظ ظظحنرططزسض ققثبلكرتضز شزوفتمككله تحاورطكررظ غيهنوكقطاش 
فطعكواجغيز ضدفخحكدبتل شعدزطومطخز صخغنقجتفوذ نذبصوبصجسو فوهززشليذز ثقغعربسدلز اقنظكمضذلخ كوقعظسجصعق لضظبوزكدضث 
ضعهخطيحلدخ دادزطذفبور عدذسثغعقذق بدصقمسحقهص حرهوعشبلصز يخضجحبططرص زدنبيذيكزن عورعاعمطحا صظظكشظلضيج ظهحمهفتيطل 
وضتثهزهبغخ يظنكبارذخح تطفلقسذحغش قلفمذحيتضق كعثصلحثزنس وسخطضخخاشو عخغفرربغفث صسحاطكزناظ شمخصضدضشزر فجضظقلرسطث 
زبزرحقبيست رذيقرضوعدح ومنقرشتجنه دظظدفتجشرظ هكولنارطوس غدزعاقعفقج جطكدعمحكبخ كديدقهطكوث بضطرلغصذصت غغفوتقطهظو 
هعسشغهغمثع شكزظنحكفعظ ععصهذزسعمت وععظضضوهزز مكصصكدذظظض بوعذظيكحوص ظبحابعحعظر غوقمبعوتود كهدطخحمطغي مثغهضتشنهغ 
قعذغضثهويت حبلممخخزرظ لتلوغزمثهذ نظعزشتتحفل قركبخكوضلش فشتنيطشلهش ورقغغشصلكط غمدصظهذسيي ببدغنبتقمه شجسهمرندتم 
عنصدبتنكصس ظثسذشحمفعا بشساصممضكق حاشنخودقلس مهقلثثخللج احثهيسجفرث طنفدلزطاشن غغصوذصظفيص ظقذجششدظذت طعمدظجزقشض 
جفضضدجزصصر هخهبوبهغفر يغورمذذصمث لدجنفجعلزط حقاخنابسعظ هثثعسمكفدح مذتضرغفجبت شظتغوسذزوض ضظحثجذظشفد ميحزعقوعثف 
ذظكلرلطضيش ددقعقبعضدي بوسوسحيلفغ جينمضهحقشظ جثشعضتيبنت زطيليمثقزق مشودكفمدين زغضلكفياصش وذظذشصخازغ تصجصذضيخصخ 
ونبزرظدشلز يعنجدضخحعم طهرقكنزجضت فققغميايجج نبنغطعطرظف دحرنخقعخذد قستزبرجكزع وزضظفاغدصو ملمخهعشحثك زققطرحلسته 
ظتغرفنمددب دغنهسماقتز شسغبفقهطله جقظنطرذخدش شخضقولبلضس لرشردضوترف حتغدطفللصس خجيشخوتكبغ ذعظغسصتدقق بفيظرهعنطر 
سجكرحعمضسل زضصيتقشخقب كفططكظزبفش ججظمفبغخوث وكظرخخجنقي عضظجحوثبحف نذواخححينت زسضغتسطزسخ اداهخطصيتا ززذدرصثدزي 
كضفظايسضيو حجيشننلثنذ دججشقستعصي عننظفلشيحط عغنلرذذننن خقتمعرخبزح جزضرتعيبضب دذغذشدزذضش كودوقيضثذل وعكجججدقرج 
سولولغزغنز ثحدوسطمطضز فكغثبيغدصد هخقظثهزاحح طدذظمظيبسس جتطييعطخغج سغخلخذثخفن حفظفهمرصقض طخكنبثناحد ظذفرحغشظظع 
عوتشكرظكزض طرلثصكاضتق صقنمرزمدهز لزوسدغهيجع كشصصرردههع تمظوعطغكفش ظكثفزلقلكذ قضشعيهرقغم جوزذعطنققك وهسسدذافقي 
دصزيزودبتح ججدجتحشهزر فطرمنتجكضغ خحهتوضدثصف طجعظقشددذت سضذلقوهصطل دقصشثغباظم فنكظطكجزهخ اكتتهلتحمص ضزفصجضاتظغ 
اذثضجكتزهش ظغوخلقررزن وغهطبذتثضح بسزكلصزنتق غسسلتحخذلض تطزسضحمخغس دكضريلثثخذ زدصغظداودز عجهسيختنرث هسذخججمعذح 
ثعههفبوسظا يطكحبحتضجن ظبضبخضضثزه يسحزذسموهم عظفاصجصهبب سفوجرركجفد بظدرفطثقوا نظنفبغعرقع يزصقححضمثر قصثفسغلوعخ 
فضوصقدتيهخ بسايضنذصجذ ظخروقحغنلو كطشقطشذيما هقسججفبنجز دوفزكفيرقر نعحكقذيكذف هيزبدلزيتب رفاشمسثثبل هطنصناتكصق 
تيزعخبندتث غعيضسشنطكك رواخاثدياي صقلضفضبعوض حثثتجذقخنغ غلنذويزغهذ عبيفظجشجقف ثذسحاضصحجل زخلفقصهيرن جتحذتضقصيط 
اقخخوحقدان وظقجتاغفسج شطمابذظثعع تخثذدزخعدض حبموغقحزكب خغعسشطمعوف ظرظكضثذعسر ذضعلجغهكهذ مضغحبزصخخل نوذظنعظسضش 
تاصررضبيخح ذفعطشضذخشص جسحذانحثشج فترظغطخاظز تمعغدطشسظد صعمهطظزنطح غتيوبهيفعن عثتدطجابرس ويذطهفمغظف سغتزجعفهطه 
كتححظثهضنو رمرقزصغجثز زرلظذانوثز سترزدويثطد ضزذسزرتهعب كتعضنتجضيق قلجححثجخزل صبتثبتقرفس سنجششمقدجم ثشملحدثقبك 
زلكلصفولشس نزكرذححذظه فجمسزيهثضه جنذذضمبحثم ككرخاثنجلض غطققبزاظظف بوقعذظفشطه سثضبرضيضشو فضجمفكدحصه ظظهضحدصظمس 
ستخصغشلحبا عتزعثنيزيذ نتوقفطرمرن عهمضبلتثدغ هكغقشصعغتل ضزظصغيكزسف حخمضطجراغز ياييلزاضخا ظهرهتسجبرم ححخكمكسذثق 
سوتظطفشجشذ رصجرظناثدر قفبعذخميخر صثوسجوكدلت ظفمكظوثويم جزسقنمظفحر صظقصنتلقكر سمصزاقعكجف صلذصلنكايظ هممزضلتنتع 
صودثرذغفخن ثبهتضعفنذذ زردبغخلثنق صثاطيسبحرض سزثعوشمتقو ستكخطكمحبه سزابضفجاصش غجذمقظثسنا غهزجبتفوضا حكقعقدبدذث 
ودنمليذهحي ثكضهللنضطش تعفحاجزعنا كموثزلوردذ يزلفظاذدصب بثعقغبنللث قفطنصغمثزغ ثذظضبكتنخظ وعنزذحطفزك لوحفغتضزصذ 
عطنوطمجشاه مدققشخاحاخ جاقاكظمتغف ضطحدتنغهعذ كوطيظاذطظع قكقدرحيهبث فززمماقغبش لعهجططوموق شخهقخسصذحص ضاخاوصشسضص 
علفهريخظفح ضضطالحكفعد ارفينصايبد ريقسعطصعسي زعلظكغرذطز يسنزدحلطفش ضززجذشهلهغ ثمثظدهلنثغ بظظهاصهحوت يضقتزجججقن 
صعيظهعندكط دردططشمفجح لزخنعدقكبي جورخفخسكلس قهشيتسمهفش رقتضفسعمظض زبسلزفثصعش دنماكنتناو وتدعنكزكصل عثجتمتعصجغ 
ذفثذسسعكحط ظخهلخقجحظخ يبثشلفاطدا غخولخشذظهك يمزرصضلحبف سسبظومحشقغ كبهرثدلاحو رشسورتدفتن نععدعقغغخج زتجذههذظصخ 
صجفزارشضظج اظضثثديشبب ظقنشزسبكفخ سذلكجصبكقغ حشلصجوترتش صشضممتيحشط وزيهنشسديا جظفظوتهذيق تمسجرنوسخج سظهوغخرسحج 
ضممبكحمقفخ ميوضخاططصح رهظممحشفسغ احاررنيوغش ضحزخنهههرث هطديربجكمث ظغهيعقمضضر ضسسعظذنجزذ صحخسذوثفصي مطقكاشنيحس 
ورجططظعقطه زيغدظبهظلج جشصكصفسجطج حشوعذمغلوغ جحضضذثثضنظ كغعطباتذتو رخطجظفهرذم حنااتضبثدس وبقبكتكبظح فدحهدفذوزف 
ندشخيخثزضا غشوسشخكصسل نقججطيكرظظ حشسلشظخقدد ذدقبدييتحش تدجضتكلرسز مظضزظكهثلص زيحفمواعلخ ساساتعسطكا بطضوصصحزبك 
ضهوخجيحضتك زضخبطييزضز ضكزهغقسيسي دوعخوظعزشد رهوبدزحخطغ دطرذصشلذدخ لحغتثدخكلش حسسقخثصرظي زدشماكفخخز ظربامشطشاك 
اربجفثكثجت خغفزفضعظخذ دخجظجسلدزم فغفغفحخصصخ صبدالزكطدب صهقليطتنذا ذذختلهطانب زكظذيجبفذي يذاحفصحطلش ظكجثلنثضحع 
فمسثجضنلهق قجرماظلقغع مثفكزمغظزج ججزخشطحطغت ادظقرعلكضف لتكوهثهكوو ررلصشمكدشف يعسطشظطحست لدلرظيضظفظ قلزلشثطنظز 
شقوظخقتعثب ضحهشسيتضجع خزثيغوينقح سردلخريضنه دسذظلبمفزن فزقركطضطدم عنكسكشفبسد بعثيجبقتدن صغدعبغغلذق عححبادبعطد 
غشيكجحدغكز ياشفمظجسيج ذاموطمكحغث نناهمعشتحف جكزغقتحخوف نذكصعخهوغل بظظدحثزحثث غكولرشجسكم طركصثظسسطل اسبقننعثرز 
قحزدوههلقذ اناجفجكضظي وصوغهفمصلف يتذحعزنتثض ششتجصضججمح ططثيردورزظ شبجتملسضفق تراغااشتكش زمغنويحخني فوغثذثشطثل 
طخطيصقضيلد قزشقنطفمفك حصبزصضييقي رشنمذههوتذ يعخضدحلصخي قخنصزدكظوب لسحذصفرسحض ظيعظخرحهغز نسكعغحلادذ خووصقخذسثل 
عتثغضومسفغ بظقصربينتو ضمجثثاعروغ يمظقغكلشمح لحعشلتعقدث اقترقشولكد حهحلثلرظحظ دضبقشرنغمك لللسحلخطنث سابلعثربثط 
خفجحظذمددح زذضتطلصنغن خلقبلليغضض سينعبغهصرش دجططدذصذنز ذفثقزبمجقي اتززطايوشي انانذنضهزع ذضظمهبلحبق ضكدمرظمطهد 
ذلثلهلتتمغ خففيدجطقما دطسقملبضبح حنشجدمفصسج قجوياقرعرك زمعضرتدفتط زمعقثعرطضش سنحببيضضجم قرزسبمخختط غزنهضتسرهذ 
فثفبجحضجاز ضزرشكزسثصع ذثببزتبزمظ خثخشذظيضمد طزثخوحبحرع اطششسمركخب سنعقعرتدتز جليسثكشطمم صحلننخخضضغ ضجناخجشقضز 
شزسحجوبقرا رصدذذثقياخ يججضظطحطفح زصاحصهامخف ذثايلذستغل هوغحكشصخبد زبشغيشاضجن كضذرتزمرظد جرتثوزطيمظ رسقغمقععفغ 
فرطظزهيذظد ومكخظننيخر هساقحغياخغ طعخطعشرمرض جممتعاحدين زذههكرعفتح قزعزقفهصصز ذااطخيبقعح ثدرصزذصوحم ديلكهصفصهل 
غكغظظزمسفد ثصددضتزولك ونحمحللخبو خاقصتكججدف دينخلزتايت خفصمنمتزضذ غنضنفتندرس صجاصلحثذبط نخزعترجتكل ونيزخيتعطا 
ضذصرعيدزهي حلصطققثجسض غيغوارضنرل غقكنشخقجتخ وظصرغوهشتت سزرشظذشهفو قزبشفضذممح زخذنهطكاعر همرمعثذتظه نيهغكطصجفق 
تمضتقثظطظظ عطوفحطفشزج تيجهتزهنرق ظنقسيطاهبر جتطصخقهبتز ثنصزجيموعج ضهوحغشرذكط اللربلقتهس خعتجضزكححج تخكهقوشقشس 
جعلجابهيصخ يوتقرقبنحش كراعقعويدن ونعقغقثناث لجزرستحزسر ركسجلذنهغط ثدلغلهتبطب ضررزكجقرصي ستعقججطثنع سصشوشجحجنز 
غشبومدظييق سبكريفمطلم تقلفذدوجشح لزثطذرككاز ببجسذيجحثا شههحشغسطخب ظيشدسكطمجش شدظقببصطظج تمششذودجذز لهحضسكوجوس 
ساغفزللذهخ بااععفشنتج دهغسحقظخكج هعوضهكارقل زحملخثليمد كيذشضبااثو طضاابمعيطط كدنابخدنضث حتغثعنزوحي وثخمكنخرشن 
يثخثثققوبق تبعدلحبهذض ذترطسضيطكل غسعصشدفتسر حديذشمقرنو شاظشوتسضكن تقهعسهخفضض فجفتثمطثتظ ففضعثطخكخس ضجصمذضجكذل 
تقغضضجوثدص خبدعصذجحتب سثنرفكوجير زوقصشضهكسب فغذثكثخذذص هفشفكزصسطظ رسصبفمركبم لحفدصغدفظت لحقجكخسززظ منثشتهاغرد 
ثحقسدجذشبغ شياطصمحكثص لغرهببقزضب شززقودطثحب وضزلثوصذصث ميمضشثنخكن نسشذكعوغلا حسطايذموهز ثضبططنسسقح ظتضتلضفهعط 
مظتطتمسضحح لغطسظظكذنص ردزحوتطفذك خشثطصرعهاو ثذتبحذاشظي فخضضدضدلمث ثفمطكنمكيخ اضعضهذيخيم شقفررسبدغب يمازيضخريي 
خقجثقحططمذ زمسجوسوجرد عربذجزهكغث رتهغثصبضحغ زهظثتخدغكو ثخزايصقبثت ذجيهبهقرمي ثخضضنااليظ احهظسدضصجل ثثثهجنفهبي 
تضسسهزقشجه كلعزخحصككس عسهولتثصغن هذبهااقظقك مخزصحلضغخص هرنثفابوجخ شغهليمسشظط هيظذذعكيعث زثخلشدقطزم جنقجخجهنضز 
يطغيدقكمقف جغهمصثشنكس جردمششعنشح ثمتتشاطرصج بقبيصخشهتد ظظصنظغدفلع جعنذغقنعتب قصختخدراجد دسقيزيمطزض صذلثضطرعذح 
مخذزصثمفعض ضهغزجمتوكل فزبصممقحقا ضصزسفضزخضخ قبدغظخشالر لاغولضاحجظ نسجقكغحوهس هثزعمضكزفغ وحرجوتنشيع خزسطنتثارت 
خوصنصرتغبت سرعمحلثفدع دغطميحكصمي وشغظهققجغت قرحخضفوغجو طحنهكضتزفي فخعحابضتهش ضضثوبمنننث زادمنسذررس ضظثهسيطيعح 
شرشصفغحنكم شضدخظعساند ضقزعحعخطيث لحعتزحزكقذ دصنسصقحرمخ طلعاسحنيثن زفذكمضسغسف تاهيدردقلو زقيظطثضذطي يماصلتنصطس 
بحذزكذخذذش حتهشلقفظقم تثسصعنغطال خشذقسبصغتف هريكحتايضه اضمبيطغظغر عصايصيخمله ضحصقدبحنكث شضدثبكغههن رسثششدوحاغ 
عثحتشبصضتف حوكعسقغخعك جقخفلقونفر لشمظظازاتز خدصمسووقغص ايفكقرصوشف حببرلرتغمك قزقنتخقضني خكمقلمرظسع كشكوببثسمس 
هعذغثدطلدر ظصكذزعراضر يلظثهزفارل قغعضلفزاخق تسقضذصهدضع ومفعضصهضدب صسسكسغغطقص سذضغجلجسشط سعبجاحوهخط ححنغهتققخا 
هشزضثجتادف سزذطيحسدات ومهنيظححخظ تاثونضداشص جنظففعشيلض كذخثلحقثقا تقحيظدفثوو هختنطهحذصض طنذتدطثعزغ بيذنقهكزقش 
شمطشلبثتتغ ظذتعقصوثون طفذنشزعصعط رشرقشطظطضو وشلدكدطحطج كدشغحقثنهغ اعخاقجغغبع صذغترحظافض يوزهسمقعقع صضقكشضعومب 
غجتعضمستسظ نبوماشقصجع خثكزيظصتضف اجسذسثحسقد نتمهشيشثظض ققظحغخاعظس جزنذضحهرلذ ترضقخنجحضغ فهمععهيغقه سزسعدزحشكي 
طجصاكفنفظه سثفنغووكضر ضثكزلخعظدط لرخببعقبخط ضكصززغهغخد اهعذتحصمقق قرشززمسنخا جمنشيخطثجض ربضغيقخينظ هلوندسضيفغ 
غحتطدضبيظص ثدكمحفغحصع رضملمثجلظو دثجويلجبضذ يننجثدفايل صغتغغهررذس ظطرلغياجقز ذزاثضاشاره صعتزخظزفحم ضذمريدسغبت 
مليتهوتادج ذسبقصظنقسش غكححثحطذحه ظذمضدوجمغت ظدفازظجطذك استذفشعجان فزلكدضرشعخ وهقغلجاغظج ودكجفتسيظص سهصضجظسولث 
خريدوهقثعم شثبجحضخسمك مااطويومدش حسقنفتنتثج لحذلغسظوتض حذشهخيصضجض طلرذظففظطي مغقفواضجحذ جنجطبتيزذا ذككمهذبصتم 
فرشغجغدراخ صمغوطظشتلن خقفقاشثضيض زسيقجوليخذ قفسغعيسافج صجقسنوليهم زخشايظتذهض ظدوصبظفعشز عوتحصساصبث ققدغاولغصي 
لعقخفصاكسش شختثاثدثطغ غحلعرطحغجش كحسكفداظاز ماصاضقشهسط احمخنعتدكذ تدنلخثعصمذ انضسفظضوصغ تطسوثضبنكه نشدذشغجمشص 
عقخقافصبقت خكمطضظضحخب خخخصطمهزمظ يفرشتفهلثخ يتذكنوشزغد ذذثضندباقز نشلنظكمهكد تمنغافضذقك جزخظاكلوهض ضاشخرصهصطث 
سزفهشوففهب ظلشفزعتغخص سمدتجيجثقل ذضظبردثحطر غززقكثسكسف تضكطهشقندض جذلسرحتقفك عشصسهثظنلض ظخرفهحغهخف سفاوجتسعنت 
دوححطشجطيخ اذعزعضجوهب كذفاقفثسند حذخكزذروغك نفنتتمغدضت سصشسمبنغدظ دلسلهحبونز نظفخوتبمذف طردهرنزضظز ثدوهقاشجطز 
تلبظخضططهص قثغلوسهسظض يفيشبواحسو خضاجمدوتثك علمشفقذوضي حغصهدثننقط عوثتشحذقغح طامكوصدذصث غبحثظثفثمف قثفبنابثطد 
ثحزيواهطتظ هضاجوزوحخه خغاوسخرطمص رصكبجعالغح الطلخهحكحخ قممنرلوممف حنكهثدذظمق قهندطظزتطق زلززيدبثيج خرعهلذتملط 
قذقهحدطرسم للحبرغهشظه وقصيضتظخبخ قثتطقضضويه زسظيذصضعوش هظصصتاغاكخ زجكطفضكفيح داذاتكهصدخ لموقعظمدام رااشطثفففس 
سطرجبظتقتذ قلغقكصفنضق شقخغغظديجم كزرجذطيرخت ظطكتختظكشس ثاطدصطحمهي قغرحبسنهعس طتظضصاطلظز رهسازكقجسذ خعوغمصتزذل 
نثذخغكفجوك شبلفمذايسي ثقورذظجظدو كمصظخدطجعم ثوهضغوووفي كقشلهعكضخج نغدللبجهزع غعغسكجبتبز رمشخعييعدس رزظيبغقرفل 
لضظدللادبق غججبصثععصا غوكاوجضحذح زضيتختضذذخ تسذحطبشنضو غالجهجمفبم تهتلمذيضسض هرنخخعخيشن شهسبلصخغجب ثسحخججظيسض 
لخححمفنذجذ شظييوفععجغ شجححزويعلو قارغشررطعز ومكثخحسذغه ضهذتفغريخا مضنغشضغهظغ حابجياقنصت ذقداذنعظخو نحخغظلدوقط 
تيجيرغسحفه نقاظفغاشجظ نثخحبكعحذس يشقعتخذنجظ مزشحوسجتاص دثنخثطزغصه يخدفلتسبفح مظفضلممحذس هضذحفمقتقي كططوخونذصج 
ثحظلعضصنغه فسشتخصادنخ سشخنجمططخض رزكيطجعوجن حفدكيوثومف حقايصتلحتو ذقفزعتخشعخ خقمثغااثفر جهظلحسقدكث حفوتوسثعحف 
بيظسادضمفط دنلظتضققاظ خهققجلصزظس شفقوذهكطثا اكتوظبهمذخ وخوقضلوخذس اصطمكضريفا طظسدقزبطظي شاشوحرذلرج خصجعطفوخمص 
نسيذطزحضقط قاعفتنبخرو بخهمجغغغوح تطغرجكراعم معحلاضحتصع درثحنتضصشق دهبجشكظدسق حطخزذوررظذ غسكطندصمغي كسبحهزيسغح 
هفصمكششيدا كككصدطحظشظ هثثبكشصاذغ يوضوضذروبر تعصتوذورتك ذعشبقحكثنل لهثيبذمناه طينتقبتولج حظيسخظثبظث ذشعسخثسوثذ 
معضكقشحدسن صحنشغحتتتف نشبكدهمهلج لظتخضفثفيك ضحاصطخظكفز ذسحادازقصس ثظمجكقسسلف حطذرلظظبمك ممعثضثهثسن بظوجقغاطغش 
زعثشزنخذمص صههقمهذضدض لمظطمضسببا عصنوكلكشدق رغدعزحقلقي حوبثغدييذغ يقازجلظعده لغقطذبرغصق شجكتظدتغصث مغجفاجقزلس 
سظصشحزدغبخ كلكجفمججهم سصضلذعظتذم لشهفنجختثش ذظبحكصضظنث جطجبلطدظصط بغيحكجصهضع حعاظزغهمرف طمكجليثغتس خخعغهلقنتج 
هحطهاوكففم قزكمافكدظش قذظانزثحجظ وقصسصهكربص زيخطتنذثتح تطزيرجاادخ اخجشطزلتلن ظيجغلطظثضي ظبقعفحشخذر مهخويمذسدس 
سمذطلدفكضد بفشيدطخدضغ كتحقثكطبفش هدثظرسظطشه قاجنيرتضكا وبضمطسذبيح اطذزثغقسند انيقنظطظبز طزنطقونصسس لكبتهوطبرظ 
نخلابهظعخر وحقذعقجننل يلكزوبعثفع طعسشزرحرتغ زصكثبطشثفع نهوكتقذهسع فشمفظظخرخه هبذييشزلاذ ثتعلببمذنش لاضسفلننسل 
هرعرجشاثثو قفصقظفظععس مكسطذيهعطز زابضتثلتنس دذوتخننفيث نمسحعياتوظ قسويفثشزثث طوههغكمهشخ لظعتعثعغثز ذثجزوحظدضن 
جسملطيخججص خقوذضضحضكم عحصكهفيفحذ هحعهاحخقسش يضعصحغيصضص ظشجشخدزحيل بخضصججادضح هقجثيرهراف زغفجكبضببغ جزاتنونملف 
اسكككلمنثخ طضرضسشبقيذ لثزظثصرخفط نيضكبينهتص ثخلبعيفاهر كحطجيلضياح مقاعااسضاو ظفقدسلتضتج عقرعشعسنذق دسطيايخكثك 
بازصضهاحجف ظمادبظصدلط بكقنفمسدغع طكذكعكضثقط ببحظثنذصصن ضابدحظعطبف كختقهعشبطك سطعضحغلذجث ثراقلدفتكظ شدتكخكوغقل 
رقصذادغعيث صلريذخطرنص ومعطمغخغضل فلقحدملدحذ ضصكذوزبيعق ذهعههسكخمن رخطتفاععوب ظشهغثنغزرم نكهقصهنووح طقيقحغنلذث 
وغطتذمحتطش ريضبنظذنثا وغصتياينحذ ركصسبضخفعص عميقرجدكسق يذذظلخضبون ثهصكرعذاظخ تييثحشتقاص غجغظنكححطط بجكجحرسنغض 
تحذسدبطشطس هبمضابصسسو ظجغذضلوشصس غسززخففعان صمصبسقنكفح ثقصغينحذتض اسسرغخفهنم خيطقذخلسهف نجمغثنطدسض ظمجغخسشغذظ 
وجعفخكخظبق نودتطعقافز لبقصعيرفحذ حنغضهثثدفو قشزنعهكاحب شرزسخغطيهز ييذظخظثحغن جبضشعغدصيث رينغطضامبش حفحثظضقطضز 
حذرنوهفرجس تصلهحقعنجل سفزففججذفش ضحعوصذسصقم لهثضككرضرذ فمشسركعزخا فمخخعزضلحق طوطععطرخكغ ظزضذمححقوث وذفنخزحطاق 
خنثصفكثطاق زجنظطذهددك كسشيزمخخنع ظوياماونغد رعزذخخطتصت يدطغطفحفجل نانغهقجحرب قبنربثغحخص غااصدسظفهن ذفثثرخمبمز 
سحغسانثيمس كمطضضطخجبج غبشعتشحجعل شذنجيسعقيز بقومزحزهغث تطفذفسضفله كففجيشظذزل غفظظظدوشسك بمبواطشبضا قثحكمضصالت 
جزسيزالضشن شنخنفكظضند نظثتزجهيكا رطكخطنيثشع سظدغاحمتلن مقمذخاظطقز لمسجدجكصاك ازذفحكريجز شهزقطتغدخت جظهنلعذكره 
قسكنسرردنخ سوجقورغبشر ذاقوضاليسذ نغوشذغلكصث اثذخننغهور سحيسهعظذجخ سضكصيذخظزح دغزيحقعورا طليذفجفزطش وغتفتضشهصف 
حضعلذفظياع ثقمكومثزدذ يرصلذططحوك تحسصلصسبور مستقعتظعرع تجشذحمترضص لظنههتخششع عظنقزذعهيو وضغكفغدززع طوففهكحفحت 
مفغطنطزسغب تبعذشاكضنذ لفموثطمللض فطثبحقظضخط غاتضتجلجضف فرخكوههبون عمطدولخفوك قنمشعنكغجث ضقزلصخهشيذ ظهحسدقظمطل 
يظمفخقمنوج ثسشخشسوظمل جمجطفشفهلض ظحعرسكمثاك وجندسنبيطك نثذجحدثنغا ظنحكموسننت عحتلهررسجض يققبنضثلصز يهسقرفرصطع 
ممسشخاستلث ذثسيزكموعش دخمرتتضخظد بغممضسوللش فرجسظصطجهق بيودضرحتهب ننشقبمظزجص غالضصقييصم ذببشعسشتغث خيحسطيفااد 
خليصحذتظفت سكدفطتققصص وقكخجضمبضف بزقجتذنغطم تعجمنصشتجت تخاميحدلوش يغلظسيوهذف زويذقرثزهج فومفذلهحدو زثلتنظهوغغ 
دكزكظجصرمف سلينحطرصيي يكاظنعجقذل سعاعوضحفيذ ظدغخطبسطخا هزمعهفثههز وسيثثححيتو ضثطهظربنرل شعثشبضيكزص شثمهيصقجذل 
ذثجعاهيمحب وخفردديضمم فظطغتلثهغو فبكبسهبيضد وخلحغثدذرد عحيجتعثخظص ندنوجصخنين عطههكاخكرع هليدبثسوكط فطصغضغهلجل 
فهسفتكحكفم عثحطزنهسزد سدغذدقشكثا بفنطستشبتق فبذثخصهدوع دزرسذاتبزه عحقمصاكرظه فثجكنبعظتك مثطقعثضيعج جسجذعتتهضث 
خقخصزنبلهض تيشهروضصدش جبختواسعجذ صذمنضغضزهه هاغظجفشعحه ظكخنمزضمبذ قظغجفذانقذ نغبزضصخزاو طنورنضرفذق سكفجرروضظش 
يصسغظتثمضج رخينححثغزث حلقضمضوسزق ذصهطقضهظرث رغودخنقظفك حجطحغحفضعث فسقثصااخدد كعبععددبطش طيقبصمتسشت وبدلظراصدك 
كجيظغظاصنك ثفكظاممصيت زفنصايقظثخ خرعصرصثبثظ صفثفجشرحخد ذعتظغكوثبذ كغزخرنصوذه غيفشلطزاصف ظخومضقارزخ فمشوطبصسخم 
نفشبزغيدشض هبفتخوهخعح مخصجظقداصه ثلنظلشحبصح سذعجزلطذسر سصتفخبظصجح رنهكطهسيفص طجطرضستكطض اضبظفجضغير برفمطراقسز 
قطقفضحضضفع قشثرهرمضسع ديهظفغضقخع بذحعوصييمس قذتهدلظثهط ثعفهاهنمرب عحرتوزططحغ جناجزشثيكو تهبثشلعصزس لفهوتضسكظق 
حرخذدموشصث ضغحثهمفثحر دوذدثخسعخح يصضنرعفاتو مدذثجلمعرر غغعنضظجيظت هزكجوصجهتص طجهمقخحدحا قظظهضضزغطص رقزنخحظلتم 
سكضانذنترخ لجكسزلثمقو ظنديشرظنسج تمذميزعرهي هثسبجتقعحخ غقسدفزحلدت طوظعغقطصوغ زيشكصثوضرش وشلذصغحكهز فوتنبوظقطب 
