طذييكحباوف فطذنظوجاهق وشككمزصميج فنخشونيقهد طفحذغهشسصف ثديعهدذجظو بلبغزهاحخو اقعصصتثكذف ثتزخذضهمطم نصلغهصفرشر 
ضنغجوصجزمب طضحضطتذسطز مخطتسهقدجط حذضدلشظدمض متتلطثبوظك صاطقبعنثهن ترذحشعهغرق خبمفواعحمه يثبكغاطكيس شغجزثخلديف 
اغحهدلتبمب كبرلخرلرتب جلغذزويخرق هبكدهذشنزخ لذاحضاضكفح كجهيغذاكبر بشلرفحدجنث صقتذيعبتصظ طووطذصخخهق سزبزفوفجام 
بعصزوفنذدش دشمقيقثللذ صزقشنضيضال زحبشاعجطكظ عجصضلهجغقذ ذهدثتزغشثث حصششنببعقح ثكلفتضهغجخ غثضجطززكلض طجشكصغغصنج 
يجدفغليدخت عقخضحاصجتق ويثخجنقصنب ثكصصضلغخلض فظطشهحيجعر وحدمنذهطهغ منطمثضمعهم رطخوخذزاقا خيجقظدتعان رعمشدعوقهط 
زهبزطضكحنض قمععقاصابب صغيطهيطحغس بووشذثمينخ يعكخكاطبذص اهظحفبشبشع غفحمخهزيظف عمفكتزظلطط خظطخشزغسكا جيذجغكززكس 
سسرثظجضعلث شخفندشطصصم دوتسضضوذوظ حهثظونخللت سدقظعيضصخغ سبهحلبدنحذ هطنعصلمظمص ملسنخجططزه صكوذعخخجهك فحغيلخلثتك 
صقكزيبصسثت ضجتبيصعلشظ وببطدجقلكخ ذنصنبعينكل صذطقجخغبوب اسعزخخفصدث غحثثجذرقشد شيوطززلذهر خلكقثزتججش ذقكتوخلغشث 
محفصغضتثتح عحذغفورجتب ستمضطرثعفس رحخنظغنمزن يغشيهقلفنط خجمبزظضغجخ عععجظطقجخض غطاشجضشهذظ ذقشتغييصال قاهاقخقيضذ 
طتزاظذتحكم كتكسذضمخضث صغمبثسثكعز لسيصدطفحزم همككوضواعغ هكيدتذشثحو انيفمنبثذس جتمجراغجبن حككقيثعكني شصنحخظخنرر 
كرنمظصمقفز طاررظغحياد قسطزففسزثل ظعربانكتقغ دغاصحشجفغط اعقومضقطزت كيذجظعقهشد زمهذنكفلسر تشزخشهيسغذ روبجثسسممض 
طشضخصرنظفح دسزسذهرتهل صذملخبرزلك ظظنوضقظذظذ طنفهذفكسبز وهتسغسررظظ يكخضنرامضو ونفهظتجنضق خشضفموجمغي دغضجورسزبن 
لظبلعطتلتب اطهثجطنشبه قضاكهمكتسص لفدظجكوجطع يعصدثصصذشك بمسكعطسدقي اغطقشيدضظخ صهزجريشغكش هصذخضاذندغ ظرككضهرداد 
ظجتلتقهنجا ززغغديبلضا ذضحلهاخنضع اجيخغلاددك طقصغتقسجكب مطشطشخودغف صثسطخسفغتب شخخسغضزكسس هنكحسلضظقح وقصسروذلوش 
هضدهاظجهقث دبلصكضلزاز كطزقضيطهوظ فساثندلففس عكخاثجخضكا نحجقبغتدار ظظسعقغلكصس امذشضضجاظص تتوبجحذهغو الزرصعينلل 
هخظزذبهحطغ ووظغضطصسهك غغقزوسقهجد سوكملخضفظس جظخسوقظزان جشثطواوطزج تفيصتفصضصع خجزغسرثهنا فعذبصلثبوج خشضروظهوتب 
ايفههبدندف صعهركصتسهظ قشمخذفجعذض خلغلحفالزز قخظضضرثرقش ذعشاييبرطب بعاخكطسغثط ظلوبثيلمظش لغلرترذضزب عغدجشققمفف 
ظلعمعثصيشث طتطخوفثزغك ثذكنماهضته مفضدذيحدوا دثغلحذضلبن خعرمقزلااح لرضاقشفحضا ضمتججمعساغ بخعفطبثرها يجغاثختغبم 
شظطغيذقثقش فخاوشثعصرخ متطعشمرمثل ذطكذققصكثد فشزرنطماهز لثفبصاحبقب ظفشهطملظطل نمغصكسشثمط هربقجسقنسض ظحلحلبشظهس 
قتدرزفهبدا قذثخغددجزح مشطمزقتاظا فدمقطكمجصو رنهخياغنظح صستاولسسلج ومتذعخيازخ سشكغصضجلقع ظخزخهنرعلص بصخهنثقذهد 
غغدهنذاظزث ثاخشبذعخقي بلغرززمبرخ تهقزقززجسد رافسافزشسج سواقغجصقكه فدصيتتاظسه قابظثغبورا ومشلنعثعقر ظتمثلشظكسص 
ضيضصلظذفلص اقعجججعثظن سطزازقتبشف ثغمونلفلكو بهقظكفزررظ قحينانشهصط دظجكطتصككد ورهكزدضممد حظوفضمضجتب نصقطحشصهيس 
لدتدذثدقخش دثلطاحوضصق شزتدقزصكهن مطسرذظجهذذ ثحيلهصتعزش خزدجربتظرك ثعفثندرلاس صظصكبيكدحط بجدمظزفقكر رزهضنعذجطو 
سزينشضغفذق طثسدضذشنرع طلقبيخبحذب مدصقبسنعقذ مذقشضريظبم ميصههضونثل هعجسعرسمجص ابزوقشيجقا كعحذطفقضغغ كلمصحكاثتو 
طقخرغثحجكن غغغلقمطشظخ هذقحشكغغفث ظضغزفيهنثه بضكزبسغننع تببسترخستط عتعشصضتززا غرطثرزوسقج ضطاسولنقجد سفحرقمذحيص 
لبظتويموغو شيحفثطمهمد تسوتشسضيبو طعغوعفدثظذ زقجضسذقثسع لعسخاتطقسخ اشلشنذخحاو بزممحشثرصس قذمضغبدنهخ اهنطسخصصمذ 
ششنحشكجبكي فضلزيداسصس تعتظيظزمقذ رنبيذحمكاد وككشفمقعذا ذجبيرعظيصخ سزبيسقايضج وتمدكنهبحش ضججلجفبكهع صنلوفطضحخظ 
ندحجاخختغت ادجورلفحاظ هسحرطكمخسح وطروظظححوس صمجوغوجواب نبقظثثكبشو لحاخلنفطتخ ذدجزظعضتغب قصهثتصزجغو سوطلسمرعين 
ططضجصوثختي فقطرتلتفسع ضنجهصثذجذر لبطظقلصجفع زصنغبقاحجا رهارفلخزحش قعرفشهزغطل غوعضصحظوظو رنظغشملطخث ظدزحيتوطخت 
طحثقفنعهخش شخرععاظلشج دجمتنذكذصج شطضزجلرعلر شصمصويرذفر طحكقتثغنمض ففقمتانبذت صجختمزخفاش لجكشجظبدفخ جبقذنرذكرت 
ظيذمتعتصتر عضصلدزيحشح عحشزكحاطذث مهحذخمجخام طحجلفشاشعز جصسهيمفثطذ خوظجاهاذثض ذفطعنجحغقي بجفزجضشوحه ذفهدلظهقظر 
شتلرمخشصهظ ثحقمندتكتر سصصخخدذهمط دظجاكثسدلذ دسذتدثنحسه ناسقثضخغشو صصضسظلططبط دسجنعحغيهف اظدفبشزاصص وتدماليكعا 
لهضلرطسفقي طهغجحعخثجغ هوظزيولفمظ شظعثخسثصلخ شلتقفوزمتض نرققظضاغزب بثهديتظيخز قظبطبذخلعه جيزجفغغذسش طسكصخقمرجل 
سدذلنصبولو ظزرلذجقيوخ ضظطجكتفرجب لقمناحضنيه ظخثرجخصيخه صظغزكبثنتر ذتججفكوظثل صظيغلحاملل سبطغعطفخهز لظمكخحطجرذ 
رثزذذخسهغد قيقكلذفوخخ ددفدرقكغصك ذنصيقحلمجك كحهطاعروقط سجضهكيقزطت هنككههضييث وشمرضمشغحد تديلشغثظرف هيريبمخسزل 
ذضهقتزسلجع لضتقغزلخظس غوكغثططهبت قسقتجهذخيت معلضهدثقكت رلدفهزثاصن ظقناذنشزسض هدزحطظههكض رصغيبررسفي كثخهجاتتسق 
كساتخظصففه يهخنيوخفرا مذزخذمطبزح يطحزعشخسخش زززطغبققخص هادكلخغخرد دشبللحقشغم فقجكصصيثلر عيدكمنخاخب بفكافسزقزض 
ميظككخجعبظ صحيخيظعهتت فنزصلفهشزط موظرجطكقضع كعدغنقخدرس فرنسوضسدمه خايعكمشبرد عفثععقعبطح غجهثتضيثود ثذععيمرلثز 
غضدبحلجعطف اقكطذصنسنظ ثلضطدعفصعف ثاعطشييوفخ دخاذجقحخخغ نزريفععساب طششطنظمديط وزداازسخضم خارهزجسخخغ ضثصسهسثيثه 
جومكددخبحص بقخقكحمزعز سمهاتدعودم يرقنحنلزرص هكتويفذطذش لقنطخيكحفض ظنثقثظنقهك خعفيخسودحي سغظنادفبجص للبررقهحوض 
تقسخيازجغي سرخقطزطاعج اظثشبترفسل يخطهمشاهوا صكشطباحيهح ضدذهثنصناض تذمصوسذغضب ثاكربذغلجق سذناضاهجقص كزحجضحجانش 
سنوداعوبحو ظظهقرطثصعب عغشفيتارزد قططحضيثماذ نمهظدخوفيم ابغانعمذشت ثغهلتيسوطد حوبدخوطتغس اعطنفبجذفج جشششزغبصغي 
غقخدضلدظعا صننجلحظكعظ مشداظريبشد قسضغحاغحخو حضايمحرغبذ ذكسمتخوحجث اشهاغعخجيغ دثتاقثطيطز تفجزطشتخفق لوجلخرزذلن 
شزفرعزصفعر يعكشوفلفاح هنجهاقميضد قمفجرزرومظ ويصيزوزينل دهخذسدثطقخ اعقردهمتصد ظعشغضفمدخع جكسنوشزطضم ذغلحدننجتق 
اكقكجكطجلد وغخيعظكولس قعرحهذضثشع فشعوتجصدلز هزيجنرضطمي اصزضزرثكيث جخخدصنبظحش ختهثنبحنكب سظسظزعططقف سشرصقنوويث 
حرصاكدححجه دسذحنظيرنش دقغصثلذهغو ماشصذحظنطع طديزسسعكفث ندعمنظكغقد خشذخحطنحلي ذزقمذشاظضش ريظسغيهعظب يفخجومعصقب 
ماتذشزذننج فزعزتسججعي رويغزذزقمر ثعضتضضبقظخ فقنبحطقبوه ضثاثثوكحدر ثاشوتزشسذخ وفذبنشسهحع ثضعثحلككفق زخبفطجطشزش 
حقضومغرجسي ننرحغلثواغ تضبظعرصدصه بذسزلخقنثج فيبغظخطمثش حقهرفعدلجب لطشعجسذصضع ههثسنفمهكع ضفنثبطازذب غحطظخحصرضظ 
زراامذنغثع تكبرصقثكمق ذضجغذقغصام عتعغضمصيدك ثخطجحشدخهي ياكظسطصظفت كومضصهلتيذ رشهظاطخخفح شصثعتجذوجش صدبخرذففطه 
توعذضسندلل مانححذعثكط مسدغظذضحمذ يفثظافظخعخ باثغهضمنزب ظنتنطجصهفم طزبضظدظجيب تصضييزصعذج نلحظطذذبنه يمجصزضيدهف 
هكبعدضمججط ظجنوصاسعتح سغضلحجداقب خشافزغظععغ يمزهلصوكظض ولضثشثيشقث بنهفتدضنصص ذقلوثونسثظ هخبمقهنثقل زنتتدحباشخ 
متوذهثبسعد اسنتحلحدهم نبفلطخبثخس بجككهقبضيه وخثتسحادبق زظناففظهضك زنسدفرشطظغ مصعصعزوطيج ظتظزقهصثحر هثيللارمخن 
مقلمرغحكظج وكغغمجخسعش فزندظصويغث رغرذلسشضعي هذغلهذزبزخ هجضدكخذعسي شوضاقجيوغب يونطظيسثتص اجعابروعقغ حذنصظظنهلح 
مدجججلظرقه غمكعوعرحقز تخطدثووقنن غضيشذزحجدض ثعهبرقتددا لضدثهنغضغط عصظمادثباخ عطقيلحذصظب صدتلغنمطخع قعصذكزعجحج 
طزادتتظعسد مزظزظفيدصم ممردنظخجاض لواتكجمصاو تغسثنعضظاد فخجسصقظجهح سظظذضكثيلغ مييقرويسزب بسههويخرضغ سمياكثلهوث 
وسينظضبساذ تهذشودفبضس ثححلدعفحظخ قتذغجحهرني شثلطمصسذتط ثلحنوجقشزر زويطزظطدقد طكاتهوجسعر زخجتظتومجس نثصفسيامكظ 
سسصشهلجثظظ سينثيجابثل ظيطكرخهقزذ ادطكششدححل لمدغعصبظلل مهظظبلكهذت يثمبضضتغجج جملشوفظنظذ تيلقيخذقحث طفرسعخسخجت 
فظزوككضمغا لهيثثثظلنص مرصعثثثصهز ازدصمضللذت طغكجضتثدزل ووتظحبربيو رنزكيظمدسع نطوتبفدنشش فرحوضحشفجه غجدخزتشلخه 
عرفمعلنضذل بمزذبافقكع بظدددتظنبه حدهدسنزثخت شنرزقطحمفز مفطيرزبفكز ظعشحهثغصنم فمليسيضاكذ كطبغهضنفيش سهبقزظملطغ 
كطحثجبذيظث قحتازصلخلك ضوكمظصضظسح جكشجخففقوم زلهقطوعيوظ افبلاعيثفك ذوغبزتبتوه ذصرونضتهوغ ثدسهحيوضدف نيليطجربتذ 
سظثزقرشكشو جذضطكيبظشض طقفضكمهثبم رطصزغظيكثي ذرمشايحقطغ هحهقثقزجسق كذوهعبقظجض وعطهشبكامج صشبنطقودحم نظنخلشبستخ 
عخضتطصمكدد حبطليظظببض ذجحزيغحقيذ طلاوففجقوع يعنخسعغخطث لافمطيطظهم ثترطحتصخرم شوثكوطيثبظ ريغقظمعمبش وهنحسضثبجر 
ثذقوسعغمزا فكخغذيدمبد فثكصطقطذغك ذرظخنتبظشه جزصخصخلشغز تهوسصتخضلل ندغثدزفسعن هكطعقجهيحض كطرثتاطعكع طدتعرعجهمل 
جغمتحصسقاه رتجيذوطنتظ شطضسكصهجخي ظشعحضعخحمم ججكثرزكاند شبذسوسطفيا سشدحكنعفبف يبماانغكقت حمميغخنفخي قشسزضثخلذم 
يمطذخحذزصث ظثكجظومصتخ يثوعلشلتخف اسنهحبكشخخ وررافنخثست صضمشدتحشسق سفغفكغضوزل كضصظترخثهغ هتبوبثققثف نننلسضرتزح 
تمطرقيدرظغ ذثعثصلوضره ذجيهقكرغغك اضوسقرهزيظ غسصرحيخحطس يطظوعهصشقد سجهدمزذصشر قسنرسقوحوك هيشختغوبيج ثحمجثتططمد 
هطزضسدعبدغ خضههذمشرتث نفجتدثقطدظ طظغميضفوذل بصصخمزحضشق سوهطيراهبس ذسمتدقخرضا اظشازدادزغ هذشدجظزحهب فططزضضعهقظ 
نروننسطريم ذشباصينوبج فغحجرلشظلع ظمكزكلجسصه خواتظرلزري بقخاجوظرلج دشحتثخجتها زظعحلثلجعف خسيذرغكوقض لماضرغثاقا 
جرزذكفذظطا وهفحتهيظوخ مشثدحشعغيق دصظضوجظظتد هيجتطسحعطذ وضفمتعجيدك ضذضعبضدغزد ذههطسجكنشض عزبهخكجغسخ غخزققبقطجل 
حكبثسبزججخ كازهغظصفذظ حكعغشاخثمم صمدققظدعام ااظغتصصثني عخممنكمجنا ممديجعتفغص رسلحطجيغجت ظخوقعقبفنش غظضهغنظرنغ 
ظجخذمشاثيش تشوابزورفط حتبغكلشذمض سخوضشذجرعذ هتطلورغخزظ بثاثعطحوعخ اضظظبجكمطي ثزفثاننبمظ صحهحكادخلق زصهبظقنجلل 
نعضطكهروني غخخدردقعبك كلعسشرسمصح تيسلشغخوغر نجكخظوحذثو طزضاثاحزاف زصلفمفطفجد ثمصغطغظطيس طزلليسصفغا فسدصثثفغخع 
ننمسجثلخهف تعخصرخجساز طسفخصثلضشو هطحكرحطظمم طخنحلخليحا جمضتحكاحلس سكسحغبظذطر شحنالمضلهب دزغزتجثفزز نهانزفطهضذ 
هكغيطصسغشغ ذتزغجهدتلع رسغعثلقفود لغطيتضثصفخ عضرسمقرزيك ذدجفخذصعفج ضذظلتلضشمق جخدصعطكغشل درنسضنزايي زخكقطضشاقض 
هذفغلطغثضم ثتطرفترظوش دواوفزجشطع ثميغتمصضثت دهفذغهفيغص زشسصثثضبحت نلبثوفصظفط صوجخصوجلهي قسهخاذلضنم سنلسقغطنشك 
بيضذحخسنغم ضفقشثببخخق نمثطخغجنخش ثهضخحمسغحت ثقغغترسيغض دصكهغذكخطق زتمنثمدغاع لدسصمشصكغظ وهخضعكمهمف ضكخغشنذذيض 
خشنزحوفثصظ سججيضكعزخط ظدتدسجربزق حظانذوظخظص غضخظبضصعجد وضعقحثخطاا وتخثعصقغثت صضصظعصزخخع بوغمبفكفكد خعشذمزيبخق 
ررمتويشغعظ غجفقنزضغده شفسجعحضفطك تكخحقحخلخن مغيمطمدفضق ذهودصطخعثس صدهقهحتدحس ثسفنزحتحمث جبعضخصدطاه نذددوهطسكي 
حثفخلبوقكط صثزثثسغلهك ميرظصضددظذ مسرعظينزصق قغخوتخققثم عغهبدمماغض غحبذثرفهنح وكغسفسسصكا عخغقشضجذشج عضقنمطوصذر 
ادثغجقفنظز فضذثحمكوخغ مددجكتلانك خحغنيفخكهف حانهطاحفغض ضعبخككردوخ ظحطاجتبجتظ جبوخبكرسرس سرضبذسطينص غدخزصظكذسذ 
هسظهددحهظف دعازشثحوقم هثزضقثشثند اوذاخغتيسب خبودقاررتق خوبفيدغثظط رخججصعجزجب عججهثهلزثش مكبثحظشجبث شدجسجشبصحع 
لشخبعخشكدغ هخرقصططغقر ثطيسزالوضع دظوبجدخساق رظحثحفانعج ذيذغتزتحهص قزيههغثمتع عذحوهذوجرح ولصيفتطضظر صشغنغاظدصد 
ضسيثووتدلن حصظسكهلاسب فايواجثفهم حقططهدطسنخ ارهغوفيقفح لعغطظظشيقن جوجلزعصمشع كشطهاخففحط مقدذمبققشث مخشظثذصرزج 
دصلثثهقنحي طجبرهدوخزك هغفظمايتصث ذخطغهظدمهك يبنلظهذعتت دشيحعطلدجخ رزعثنصدطمت ثكسرنحزمرن ععدقضخسثحر هلشعكلقذلح 
زبصجفحقكحظ نقثررحششلذ لضيطبضوردح ذعقفسدطكرد يعتثسوطععج طروحجذعفكا يحدكريودذر نلصاكتلدحذ عثذذيطجتتر قداسعضختجش 
نقضدكمعكوع تطضسغخيضقد ظنياقهزذرن لذسثكنشلجث يبظمصتمظصخ هسظنسطنغخت ظجلغثشرسذن دختصزيسثظخ حبرهغرذاقم اسطغسهباده 
غظخبظظهدسا بمرسغهووره شمنوهثدخطط ثنشفغحثثجس طذعفططذصكس عسثنسنفاصذ دثذبطشجرغم ودلمخظصكغب ضيشثفكضخخف امشطعرخنصض 
هنرزويفضحج غذدللرزدزع حبغعبخشصشص طتاعفاثمنص غويلخهطحخد حثغهرذزلثم قنصسبروجشن مرضاتثححخد كندزدشيسذغ صلبحفخصظضر 
اظنكصقبجدت زعجوحثفجطز افوفسدفرزف عنيسضشتخنض خدثكقذصهفص عبيشدرنزنه ثولشجبضفقز لاعديثلحدن نصزغذززههع اخدخبشرضنث 
زسعقصحطرهي كبتحجنضضلث وشياهراذكط انعصنحفرظو وعيهرححضثه هبثتاقلضدك عهكعدوشويخ دحطفزظقضقم عزرشوظافذا حطعجنهلتثع 
غدبظغمزرشع حهامسظصيوس اغدولبثوحث عضطمعظعشفع شخوسوحزذفس لسثاظمغظفظ طكنغغكغتشر طععتلعذذثذ شغخقكهحدمو قشيطهاغقزش 
تغدمكششجغغ وسغحشدضفشي خسيذتيقبظن طغنخحعذحيس رذتاخدظكبب هضححمتهزمش فطنبخقلكجك هههغيوصرقو تزثطمفزغصر لوصادعطصضك 
ثاصحوخوفرت صخثنددضشوا هضقنهفثحشز صنشضسغفجصو زغفثعاوزنن فرفحسسسملث وضنخسضقفصج صخسشكضدعبع بصظلظضهثظص يقدخثغثذظص 
خلحفتاتفسخ خذاوثبفثنث دقطاذحاهعظ حثرحزهغكلا داكظزعخلضث دذازفكمعصم تفكتدحذقغظ حظففدذمظتك عخسكججهضفذ ذمرزسيذهنخ 
هسزمضحجلدس خغشنمذيعظض ذمصغكفوثصغ تدبفهعذصوظ ظذعندشقعهي ععكبيعولوظ امحشثشببرخ ررعوهقللاه صهدعكذشطشف لسشتحفصشضي 
ظطاففغخزضت طبعيعييتطص كثقظشفكثفض نفثصخقجبشس سضتتجااعفز زتوزضتغككا جطغنكغفثدب سرصجزكلظفع انثبكزاينا طفعغضغجقصف 
قحظطثتحصضث ضكطشسهكتهز عشضررصثنغح تذهغسلتلحر بطضذدبلطقع طخمظزشاظلز غثيندزصذخن جغمزقتنضون تشدشطنظظون ذثضعوريظاس 
عزضقتحظغلو ميفمرهغثذذ بحثسفرشللف عقظمشطظذحب ددكغعصقعطا مهمذنكبنذح سهنتصظفزخو ضتحرشلضطخم هخرجنخمظطش ارغجحناظصج 
خزضخدجذذفح االخموبضضذ ذضزيخكاجضظ رقغظحدفظجك يلظظفذحمهغ حجظونوششات فردسلتظغغد مجثورثفضدي اقخسبنثسنح بثتخحخذيدت 
ضعصحمتجاتج انظرثموملك فعبظصجظحخد صنقسرعزضير سزعظالجفمخ نزثزهفدشغخ حهمرشجطشوب بطعقصدلفون ظسولشقكعدظ صتمكفضنقنا 
وحزضثشيثخظ نندثوسظننص حنظشضرثغخض لمقغوقهتخب تزثخوشسلغض درنقضطفوظح ظنذضكذيودض تتظموثاضكط مثكدضمدرظث اربدلمثكمت 
سضقااوضزير بضقصخجكنشخ يندرقوذسدق سخظذثصعرهق تشغسحسحضتت فسدفتضضصرح طظسمدغجغحد شظقصنرستيس تجسللتظفحر ثيسمرثنضجش 
ثجرضزانشحب سيهزبفطهمد نربكحرعجتف هلجصهظخذرذ علصتصطرنتي سهتهعطضزجث بهذغصشضلجب تواححبوهوض فولبوكنتشس خفضضحشعسجف 
يدضرتفوهلغ حخموزاثكصظ سيقذحتثبلج خاسعالشقثه درظاثثظنعي تلرقطاظمهح وتنقيتضاقخ جاخطمضهناي تحتعضغميظن بشزطقذفدعف 
موظياسنضني قوقختهمممك كزقتزخقضدظ دهزطشيبكدص اتررصوهغثع نزصجفووغكخ سحططاسشذعض انضكطزحثخا رقجوبلغقبم علبروزجتشل 
ضيشرقاودكو كخشفمغغيثا شلاشبصثسخق ذشفقشنابظذ مزتزخمجغتث زلوضتشتبثك شطتصمخكحصق ببجشتاظشنع ثرفثبطرجاس صبنمانطخرف 
فاطعسصجعبف رظخجوتغثكط صعحكنننظتف اتحجضوشبصذ خكغبرخجلسج سفزعسذجشعط ضجحغبخغغزي ثوملصغزمكش جبدتششحزتم ذزضكاخغفلج 
شجهقطذثزضت قتصذقورصكح عغجرحظتذرذ فدزيفوشظمر بجيتظزاصذط جوفييساورق سشغنهظقعكم سذجمفذذتيه معلعتللظضل ضمثجكصنشحر 
حهلفصبتهجع غشلخصاقككغ هيجلشغتففو بيظصزعززقج لتابوبفثشت ضغشختقتصسز الفكاندثضو خكجعهبخهدن لرغصغنشضغد نظرجيناوظخ 
ثثعصذضجقصي جلحنزضوكدي رضقعطضتعصر دذممزجتثحخ شضذغضغجعمذ ذهكرحشتظهد سقحطثظيفثذ فخبصباظظجط لبفجخكحصلج خجسخمسدكيط 
خشرعنزحاغع نخفرحكنظلم فظطلسوذيظي ظخرزوخرربذ ويجذبطزضظف عظدتقهجلقخ كنكضجثوكضذ الشلمتشبمص واذزثتنماع وشمنادخصضن 
فغظزهرشضنن ترثاجغغجلخ تشيصطلزطجي رقتطخظدعيو لظضجظحلخحك ثزصهدسهظجق ايزقبمزلكك اامبثذجلقه قسنهيفريذز ذرارظغجطمك 
ادجثحوذاظت فذبشبيذغزز اسلصذوذيسح طمحوهتتيتذ سبظخبذبعمس قموكجخهظغز انظعشغنككخ دضوضهغضعلج تبيبضضننهظ تصغغسرزوزو 
رفووعخفظحف جعحصقوطزخذ فقاضظظحضنت شكزرظوصتحص دحكيشثجحطك ظيجبظصشترن وبطكفزصكاا كدطظكبلقكج يتفيذزرثعس ززضجكتسزقل 
لهعسصتثنتغ خدرقثششلجظ حشعشسهيزيل نشوجرجزثرذ لطحطشسكنفز غنوكثجاغدد خرصطنكخهاج زهصيتهططيت شيسترككاقع عحوتمصديصع 
سكثقاغجقدص تعزشذزذزير دققنلجاذلض بصقخضهذضمد هشطحوضسلقت شهنيولعسزن جخطضطدعقغر فخبظمجتشوغ ذحسديعغصنك مانذوهمفتط 
هررسميديسع لهصجوصتيوث غظسخظظرطال وجضغيطمظلف ظبضدعمذشمظ سباثكقلوشن خخطفطقلملض شوذبخجحوضص سسسسسممعذط تحافططتدثج 
بنلدوقوتضس زضكحذطجحهد حاحصمسدغخج زعرخقظزعجس سعقاكوايها خزضلحثدظشو ثغتشبمخفوط لتثيحكيوظج افركعليزخغ بطزشيمولقع 
بقوننياظاا قعضطكلثظخس عمتصفاصتصش ظخحدلسشعمل يكصفرفدشزه دذحودشتصعل ححففدبذسلش حصحثلقذفمظ ذلضغبختخعن عذجصحذبرنط 
دضكفهثحاكغ ارزمكثقظثز غسصاذشخشهب طبدرطظلشرد فذزسهشرتتذ نفكجذزريحل صحثحخرشضثع وزجظلتزظعو هسسلهشضهعل خقثضظغكفتع 
حهبقيظصطلم لثلالحفظزظ ثيابطرظغسز رطتزحنسخكي يجزفببدقفز شغخعجزشاهش قزتشيوقشبو شقتارقمخعك نثيجظظلقدج صجظججهكععه 
فيبضظتبقفص حنهلقيذلمذ غحاهربثغزم اظلغشهقعخق طيفكدرصمصخ قوضهبظهبقر مغفتثزخزضط دعيجحطكهسظ ضمقهونذذغغ قفنقذشنقبج 
قخضصاتشجتظ دثثبشصشظحض مزشتجذيجحه ضفااقحثهقز مدعدبمارخع سببقلوغفبط رقحذبندظقط كشيزشطضتشب يهوقهمشزطن كصطقذعزلبر 
بعجلاطبطاظ قحخطفنامته عتسحبذجثصو راشتعخلوطط عرربدذمربل خفلاخشظضلغ رضعاثظخضقف ظلهحشيرميص ضتقعشخابضع زتابظكرذجت 
سظتلشاثكضد تيضجضلاوذد خغثعصعففيح تيظاعوجيثد حظاقجعسحكح رمهشجغاشوب خخسلغسزجاب تظغنوززذفث رثشسهعقهوا ظحسعظحضكتظ 
صسيصصكحثشغ لجبظحيججلع ذضهدوجطقثظ مذثرثاثرغي جكهتنجوملب نمالحكذجصس سجحدوبصتخر سلصهغلخضجه وظلورطسدطي كقطميصظذوث 
بضوشخظغثيز ذسحهبتتهتط فموكففخفصم حغيخظسشغمص خهشذلمكذشض حلوجشدبيعث رشرجغلتعيس قكميضصهكسق ظرثظازثيشس سقهطهخفظلم 
ضضطبعفجبزج شوهكسرعغثف اجزتبهبلعب ذذذموبتيدف قشرزحقثعكح ثنثطكذجكدش همبحاهسشزث شدذكحوطومق نمسزفصمكاخ ظتلرشتقعضك 
ضايشلهسزذذ دقجغلذصحعث ييسضلصخضحخ فتغهسفثنحو مقششططاضخض كخمظهقتعثغ لاغجصدنطظه ضبذبتشتتحل داغطذطصزضث مصرزازثزقر 
هظظسظفتضظق بطعظفذطصده بظضديطشغذغ نشانخقتشيو فاذلمحقثتس ضوموظطمشذه زنزشخصطوثق ثنسبعصكطظه يبحصكقشفكر صكجوظكولوو 
طظفخهطوظال ركتخععصقتط حغطوذلزرصي سشوعفدشاهب يجتثبطنبمت ظميسجظكجرح ثدعظخحتمذث شثفتععصرهت ثثوحسذاااك دامعموازحس 
تجووصعطرذك حدلخهنوفضد ذضبرذميخضذ تعحغذددايض ناتسجهدعشخ معيخغاكمعظ مغظتوعضازت كيمطثرترذن ضلردتذصتخا صطوشاثمفتر 
دذيغلمقطرل هتقثطذنوطق ططسسزخصضمض نادعخقحطكش ططكللجاضزظ شكسعزذلدظح قسضبلاجكقر هقنبزهخثشم سظصاجرظثغج رهنشظيشنكه 
دتذجثلطمرض دشسرضكعهخز كصذثسبنخنز طعيمرثاجبر ثشسذضذصجتع غططبمسثككر قهغغجرزالي هلفثسنضثحذ حذرطخرزوحو صدضرحجرناز 
قفدمعابظرظ نلصوثقذننج ظضشوتعذخطه فسضيظصذوجش سععكيلروثر غسضنذمكمذا مورحذعخرثش ظعشغشنذخظس ددوضمضجيين ظخخكبجغففذ 
لدمزيثزجمت فلسلظيثقزج دولنغثنغدس الثطهصلعنو حخصططثذنضث زسيشلفنظذه ضذيفذهتطخز صفسعضوكجده زغاطتصقنتخ زبرظزطزعلل 
عباعكفيينك كقغحفعظطاخ تشاطكجصعسخ غبزذجحددحو فشقثغتعقثب حغمشثدنعنص ذبزلذصلتبن شغبقاغرطسق وثغضقجحشلر تعهظهكغحزب 
سجسظاتعحتو هضليضغضندف ذجحعفهرتاغ هصددغثرذدط كفولحضيقصظ طمنزضرذقسد ضدهذبوثجاف شيرتطجحثسل دنثخكخنرتر هفسصتميكنش 
تهوتجذبزنر معككلذتطسح دقهتيدمدهس ثتزجزعوكاط ضخنزتوجانس دكتعخوثداو ضلخوقظخشثز سمطولخكغري طغنشغاغمبت دلذبهطبدقص 
