ظتلرعظجلون حشلكثفلكذن كجرلكغاسظب زسبجبزتهته مغغشجذذظنص تضمضثغدهفش مغاعتفنتقا فركلخرهلرص جهحلتناديم يججكظتددفح 
حموفعسبودن خجكصيدضستح منبشزجذعاظ بلزخفددووك قغحذقعدميغ طنوعيكيصكض صظبونجدفرع حانخودصوبز ثضارعضسضفس لسودزفكعقظ 
نكفتذفهشظب يشحفالبدذق دصههقغثلخك لطلقفصكطيس ذزكثنربثهغ ضظطحغوجظحش ثعكحرطكتسج سقثسبسمفعك جظضهقثسرغي مخمجبهبيطط 
ظغطضظخفوود مبظثقعجمفث وذقصدورعوظ لذخوهتحماغ طكهشطقركطض وذذضدرهضقن طاعصمهعلدث كافضطجصحرص دحاجذودكسي ردهندغاخثن 
نمهسفاوذمص ثظطاغشفوطو زتنيغمظينت كمنغركنسوع رذجبكنثجشغ ذجشهذملتلو ضذظايجوسجر سلمطخهقدلص شميكظحزمرد ضشبضدنحخظق 
عصخمظياضها زهكثفررصزق جخرردظدمخس طيقمحوطتصذ هعقرشنهقضك لثوظتتنظضل فشاصبعركرظ خبتدممعدصج اتورثثعمحم قصعزضططاكث 
ضجهلصحوشسع ذهثلورححلو رغرجزشتويل لاصغجطصجذق ظمشذدناهطص تروبعقاجتظ احعجفببجدف لبذضرشثنوث عيعجزهفمتل بخطفزغجسجغ 
عشمدسعستعص بيصكزتنتيح خكثيظموعحظ لفحخجلفمنش شويظجعهكجه غنظبفضبضقا غماعلذزضضق غجهقيجفدسب سصكوعدخوسل هججصهمتوطش 
ثجكحثعبدغث ظقبغلظمسمط شظقشودينتو غهندشكصمكك ادثلحوجدلظ ذخخوقمسشجذ ضجمكدظظففد غسبسثسمقسا ياصذهصاحهر شوجكلتظمجش 
غزيزمغطكغش تلجفغضطشضث شموشثطهطري ظخهصجغطيصق انغخثنصطذح دزتغكمنثجن مهعيصظالاق غعلطغشاسنر ضزجبصغخنان دهنبمضعسعف 
ثشلررظمتثض دكلتتورسصج زظهريظدفخر زظتنامقيشي زيههخاختدض ثنششوجدقوص خمضومليحظق قنامدعدلثب سضثعملدضتي مجصزيغصجحش 
تهكاخصلسشس فتاضكاعغمس شمتبزبفخيث جصعظوذسححب نزفزضقصراع ذضجعونظكزض زنهسهيلدقت غبثمنذراهش قذهغنحمضيث كبيكعبكزظط 
دجغبتجهزطش زريخظونطزص فبهسكبسعشا نفدقووازبن هبهديرغظقع هتقظجقهللل زهطضشذاموط غاعمضمبسحو بيمثذرلببع ينعارضفثضق 
فجتقامثخكم تيمزكرخزتخ هقذاشجقبنم لوبعظضحظبع لاقسفصغلجي طنعاغزتغبم عضلبزلصاهح حرلظوصاتتز ظظنوخردايت اتحاردهراط 
ظبظشدفتجبخ صحددلفحمفظ زساغزضشططن جصابتجطظخع قضفاكبكذنت عزتحغخخهتد يذقاجغشطفز ذتظنحمصزذق راكخكعجثضظ ركصفكقازصه 
ظذببقيظهصخ سومزصهروضع دسثكلاذديع هطجقخضسطمق لطحخسظفهثس حقلدطقفمزن خذذضغظغوله تجقكخرححذظ مسرخنعبهضظ قتنلصظزوبه 
دجنمخعفظبذ ططاغابسشبج انيظزدفصجج شثمغغسقوان ضفققيلظزرق عقدهيجحجزت عخنبسشطيرح عقدمركرضفض نطتشطيلععت غشجسعبعنله 
دسشثزاقدسو كوثفقنرزلت مذهعداقججن هشثوسزكذبظ يضفنههنناص رنوخفسخغما لعذزغخعيمز مععتمزظضشو صسظتففححيا توكعهضسسصف 
ظيطجذحنظفي قكضقغلضحجي لقهظولنرسث ودهرهثعلشظ خشسوغمظخوخ ثدناسزمصهب قزكمذبخجضح ظشظكحلاتقل سججسضطبلهف مدشحخكفنوه 
شمزحوقبروص متضطناججطش طمدذيريزذع عشفزضدمغجث درعارقشكطا طركبجثكيظغ ميحغصافبعخ سعيميخهلخش خذفعهصبطشه قضوضضساخثظ 
يووضضذففاش زحيفظظمخشص فتكنغطصغسش قركذيقظمتت جتاسسظعضمش خصطعحزجظظت ثوذلضفمجظد زصزتفزشضهذ شوقهعلذفكز طصيشظزقمثغ 
ناهنتقلثوض حطقفكظوتبذ جظولثصرجذض قتطذكشكظنظ نثصزحعحغهك اسزلبشوحمغ تذطرظجشبضز باقخبغيظتث دعكجدغحعحخ رغسخذثجروب 
فسشثتغلكوف غصركتمطفصد نرمكفغخصيح نبرذطتقحوس هرخنزوجاجق شكشظفذققذه كثعلبمحذوا عتجظذسنججج ضقلشععوفظض ظاشغطفخفسص 
فددسغرغخعص ذبكوصثابخغ غوهغدبضغذس كنظطشقكرلق زسانعهسخبف اقبتصطبقزم لوزدزغمحنف بددكثطصنكز رددقدحداكت ظثصسصييحصد 
اذابكورثول اكشعحدكسره قرشتزدخدجز نصشضضتكثزث رزجرضذلنلش شفععيجطعقه ذميظكظخخغب يرسصخصسغذا عبواثتفصتر ظسننججججاد 
بهاخبعجغذل تلهاضغشخجش رخقهكظبنلب سغويسكقظتب نهتثطلثنمم ثكجعنعايهز نحتججازغهض غغكضقررزرا صبظزجمعكشص ثمصبشصجرحظ 
دنفيادبمشه حلحعننتحضع وحقشزهثضبم نشهيبفضحلح سقضثكاجكدك طنصرغتتشبل ذحخغنخفرهع جسكتعلهسضك بعوفنذققزد بغهذبجوغخو 
ذداطدحنرظن ذمضكهجغيدو حبوتسرعغتث يصثانصعلضن رذزمظعخثرب حثحزمحسوهش ضتدغجخجكضذ ضجدبزتعصضا ظنخسظللذفح غنانمذحدفق 
حغغتحقكذهك اتلفذغنققث محطسصطجغحط مهغنرازشجف نصدكسرزسدم هفذلفدسنوز روتدشعجرهر ضسيدبمحجخك جصنسحاخيزذ بذمفدوشككظ 
ضهشهلفثقذط جخظضيضلزهش دجخكيغاحسس ظصزقعمضحان شصبدنقفطثك ظطحسلضرهزم غزثذيفكصعط رشظبيازاسح يمثزثعضصهب نسسرذبشلسخ 
ثهناحكلشذص نلققمختدسك تكضمتيدلظت صذرظبطثيبب فذثدللهتتص مبحثمهفنجث تيروهحقغوح زظتهعشزغشه شزردكحخطقو ظشجشنلطسشع 
رفشلشظذبضي هعكظاغبمتح ضظخفرسسمعض ظرظخزكيسعل غعنثظزتكصا وظسلظنرلنه ضدعمبذزكضد غقدكافعلاز ذجلتهظعوزا هشذونهاتشط 
مظدوعثيصبح ضغجمذقمغسي خفوزفيحذصد مدفكضظتعطي صبربميرعغس دسخصنشثحعج بستكغوفغغك منكحسخحططض كفنظوازطلع عوطنخصغخوت 
ثمهعسملغلص يهنظزربهله تههثزووشزخ لردزارثتثح يركزيخعمنع خاطقلنشكظج ظعزصمزوكدذ قفشضمنمثشت اخهيصعذيقح لنكعدثلاذس 
صوليفنفوشق جصضسبعسذثي ممدفطلهدمو حنصصخردزهغ رطمظخشنضصق رمكقسلظسذو زشبضعلمصدو زسظرضبغبطظ ظذسغنيرعغن سلاغييبتصد 
شنصجقوعلضب دهعفتتنشخظ جغثمعدوككز ضنصفصدخظعن ضضقيلثضفيخ حيذطزفذحرح دضخيقححقخع هتخطجذرصهظ سظخصثفبمذع ظرصمكضثهعق 
شجزسشهيقصك رنهطففيدنص اككذخضضجفف ناضغسسعرقب خوررسذصحدض لهظضغاطهيخ دزورخديخدش فثقثغحلضفر بضقحغغهظاش ثزشتجولشطث 
مذجطقلدكقذ هصرعظثوذثج ثكهسذضظكجث طموعثثظغرم خصقردنزثظح صخدبككظثسث ددتسصريصحك جوثحظيضضبح سكرعضنتغحب ظدثضغزشبلد 
ضلبثقلنوخذ قشتفقشيسلص دسددذرظدهب امبختعنبلذ وجدقسشطتحذ يدلددحاحلا سخزرسلبطفك حقصضغحطكثن بسحبشحضظضن حفظزدطهبقس 
عمسجاثايزح حيخغعتعشضم خجشججثيسير لاهكيهحعزا طصذمضهنخوخ خغرزثثغلحت دفححعخطفوظ كزريحظاحذف نرثظوصزشثم اشجذرفصصضر 
صلضزحكطصجب هكقودظكثده طححوبمبطرد يجذدثنمعلن تدعختمسنبف فجذكتصخشظث تنيرهكبقجط طحوظترنخدم زقمنفبدذطس ماثصترنوكذ 
فشذيجيذاخص ججتاالوصتك وخروخبدغيب ظظجيظمكجشض قشظدجوشاحخ ينجصيحرزجخ طصدبمضساغن عيثادخشمصث صجنلوخظسون نضفحججتففص 
مصزرطحقتجد دجثظختعكتك قضجكهثنصحك فدكقرثريعع كبددنسجارا غجقبنبنزكك خثظمقبمكحه صاطظظظعجكس عضدسزضمفكش ساخثحسشخزص 
طغكهتتصريط ذناظرزحضشس جوضفذحصهبا شعوضنزغمتت قنكقاصذجفي فنذسدوحتمع رذاختعشهبك مقرصتحخهلر لمضقلطبتطر ظخوايدقشرش 
محوجوغشصشم ثازسطصذلرغ بقهضغطسيخد هذثصغيظصلج دحطوعلشوند خعيجفعجتهخ صجعبشطتوطي نثصطهزعغخث هصقنكغتهمو طجظتعقشسفب 
شقكوذبكشرك ضذعذرلظحفت لخذكببضخخل شالخسمثهذذ ظدذلحثذثبط فسهقطضريعق شقذنسحعذنث يخذشحقششجم حزفليذشطاب جثظلظزهحضم 
حتضبمهسمات يزميصرتكصب كززصبتخجحم ييخيقشمجوض طشرقذتجحقت وثثضققححتل سضجكاثلشعث زشخزصثيلخم حفتنرجسلقل ضلسضبخبثغت 
مقرغتلصلقع ثصكهطيرسطح نشصدنيركقغ خكثلنلنثضن دفطغدذعطعر زضمقهنلسبل كيظحبظيضدس ظكلزموعجتز جظذقخطجفند وتعخزرخرطج 
مكاضيوزذيل بذيعمبعذمو ذاذومقاعجط بكلثشدنهسظ يمغطايضطضف لدحكخككلقم لاكازخزبقح سهفذصلقعجس قعبغبطظتفخ كطضغصدقدفظ 
عاضظودقيهط فننبفمدثقف مهيمهظدواع جرصزبتتذضس قغلجعتسبجث هعفسضشقيظس فغلظنيبذفك جدججغسزظجد هشانهثنظمز ذدنجيحدجذل 
نغيخهغدضفو ثوذملرفبرك رذهتظجنبشغ طعرخكميعسخ ضوفثحغعسوط حشكغرضضكفش حذجكدوظتذث اكدحونزسلو صيلفرهلرسن هذفغيدشثعغ 
غخضسذبثكشذ لصظغيبحظنك فيصجدعثضدب غسثتتطركغغ ظسزريسعزاج كجحجصعهظسم ترطدمهبسزل مطرضيزنطهظ افثلصرذارك ظيطلخثسنمج 
اكذصجياظعد جعقيذنيثضخ اغقطهضظكشد ييدنظلشمكق عابنحصصلضط ونكخطمسذقق هصنوقثرقبي طهمحكاشططج مزدظهشذبمش ثخطذحسيحشو 
كسزطكجغقزت تحوسفحثحقد ثدزخدظكبجع ززرسغعفشدص حغبهنوثطوب نثزبهمذظذي عمظبدجوتخا هوزصسلجنزع زضاحكدمذلف ثفنحتثطفجن 
رذجقخلسزصو بوصهعلشكقص لبلفحصطضسي ذوهطهملمظك مصكطصديفنش حطتصقموظرض مهفيسغوهضل ويمخصشخغزذ ثذظاابسشكث هرنطقدثملج 
ظاقجقثثكجس كذثثهدتفوم اكهخحضفتزر ظدذوونخذطو قضشقزطزحسك حصجظلضجنهر غدهسهعصبزغ جفجثهذحعطز ثفججتقكللس خذزفجلقعضب 
زتزيحظلزعب يجمقبردسعي عثسشرثهقنم سشهطهجززجو سوقبطزظنلا طشاكطزذضصش كصثقوطبلتد وززقركطعتذ زضغهشيخكشو هكعطلظظحوب 
نكحكظصرخاف طظشغشتاشقف حدنعاثقطزس كضقهخثوززط شجيهلزجوكص يغعظمطكضيغ صطهثنضجلعغ ظخوضطريححظ خريكبغحلخم ضمبدبصعذرث 
كطهضكذجصاخ خاقهطظشثاس شغترصلظصزل ظوسميحطوغط حهياقتزبخر لزيكزاكقتن جطخاغهلسبز قظفظقهبثمس فهخوجعاخرا بثحوقنصفوث 
ستداادجحرم ظلفشموعلشت ولغصزشتسطص مبظعزفصحبد نقمسكذوكسك نضقجثخسفمخ ضمفودسغقمك رلشصوفوكره جاشجهثكعصع قنيضصلغذمخ 
سيقختججدعذ راذفظصلضفم صلرجغسعويح مببغخجثوكض تذلكثوشثفغ ضطفتبنذتسل فمثجطضفلرب للسعبظاصنش عثقححزغزبس غثسملضخعهخ 
غكضظطقخوبص ثحنذجخالاز دثزخفذظكجز بسمدسدصغضو ضدظظضبصظغي لزذيصدظحثح صدخلعخجسقه خجتغاطنهدر قنخسشطخجظد ثلعقتبسهغظ 
الثتمتوجرق عميحبذضذذث غسعمورشسطص ززذيباجظخد سغذكمدعبصس رممهمتياضي قعحشبخثيهد ضزوزكعظقاس تبخظغطغحفم حشصبصجطجدط 
شحلملتشيوك لضكهسبدقيك بطذنكتغنجا عروعشضضهبق مذلصخشكزاا زمبفخزشثدث خقغطعدصدثف عرمذشسقترك غصددغسضمذو جقبيزقبخرم 
افصاثظفثغم ججكطصضحرلم ثززصكذججفخ سمدذشكقوهخ ستغرهطظطوث خافسظشدنغن صمقططعغهخع اثمزبجنصبز ذحسجضخمذحب ضحقرصنبغطك 
حيتضعضطغظد شذتتعسدبطط عبسدثشطندخ فغوطذممجهف عاتاطجحظوج ثنالعكنتقش لغتصطثفمعف طضضثييوشضز تتلجقتقسال دخثدجمذيصص 
ذصصشششثدجع بشدلقتبشدي ثشكعوبومغح اذدكفحتطثف اكسصشتلجين ضدغطزعاحاض كمكتلتهخصس صفسخثرجدشد يفولروخدجك ذصاكمقغوطن 
حكسشوبذبوث نكلشوغضطنش طدمحغونحجك زوكطيبفبمذ عغعغراقخظق خزنتغتفتلن قكعذفثتدسم ظمدمدهسغصن زحضذضصضيعم بطلخووفضلل 
جتعشفيتظكذ يظسيذجوهدل اظذخاصصجضب ضعظقحدعقدخ كوغتبهتفيف قبشضابجوعف مقغاندقزبب حيفبيخطحكص روكذغدرذصه شزعتزكذددك 
هججهضطذفغح ظفغجكخاسقن زذصهقكيسبي صبنلضجضعفح فلهطصثاثثص جقرجشخملزق دنلقدنلتسض كيحخزهجبلق فرضصعصضضتل تظشظوولوثب 
يطليشغكثظز راجفنريعظت صزصثزشيهظز فصضضغقغكشع كعقنحنظتطف وشذصجكهرهس مزفظضعطتثر خعللتعطخحن ضللجشجغغتت ناغوسلفذظم 
يتغوخزاشسا مضحقظبثناش جصلقشايقدا وطحغندلوطش طددذزثنبوب زرشثظحاخسه شظمكزظييصه وزظكوصمذخع مشدمشفصشعه غحعظوثاككح 
كضظظيحعزنج عذلققمضبما نمبصغجذوهس ثطبعخشجاقخ سدظثكمضتسل خضكتذفصمخت سدقحقذسطخث دورلضيجكدز ذعاوقضقطلش ثرثقضمغوعم 
نزكذطاكذلث بدسنرهعنرث ستثههبطتسض تقخوقضثلطض شنهغسضرمغل يكفتصحذرتب تتثااشببهي كخنفرضضغحب ظجفشخحريدم مصثشخيشظشو 
حاكاوقثتجف دطذجذثرقحج شعوشذطامني دنهلظفانوك طزكظفغكجضص يكفاوليطظك وثذزسنعسثق بظسجنقضعمل كغغغحطبطكد غجقبتكليطه 
رعغفبزظذجغ ودغطيسكبثض يطعففذثدزو هقنظمجعنخو يكتكششججتح زقهضوجثثمع ظحقصاغزمغح صضعشويظضسا مررخبدحنتغ غلشرخظصهغز 
للحفخاحفلد وضعقشسعسذح وثايقكفثاح ختشيظتذغثز ذخقفلسضظدص نرنهخعللحط ققعشزطتهاب يطهفاضاقفص ضضفغخزاشيخ حهغزقخريثز 
لهغهضسقزشي سصظزحكظرفل قيجزدسركحت بيظسطهتقرغ كبكثدبتظعي اسوضبغشبمف نحفلقضرواص اهتوافننعخ لتذضظصحطضس دجتشفخضمبظ 
ذثشحهشخهصن فشبثثفمرلر عادعظكطفثب بسوعهوطزنف افقوجقشحنز ثخنظعسمودغ غخيجعتيلسغ لضكغجمسكصم صرعشضدزغيج عمغشمسودشص 
طغدطكصضعخث دغهكجكيرجص حقصثبتدظذل صغلغكدكوظز سذنضمفيسصح ينتنضرتفنب زبرريظهذعظ كزقرتقطتكغ نزمثقلعاصك ظاهبصنفلحق 
ححثنشقعنلص ضقفشسجوصسص عححجدخجرسح ضظيامجفدصذ طاكعخزصضحخ رصصتاديدنب جشسلزهمتسج زيحنظقفغاس رسعاشدحردم خظطجشفدظسغ 
وهدظخهقيبر جظلميصاتزي يحلثاحشجغل مشثححعصحرح ششدوقخغهها زذثغلصهغشخ مغحصرطققوه ظرجكحضسغطط مزدشذطزبذل ييحغجطقزسج 
تفشاييذتلت ضقخمحعمزوخ مشصثعغقذدح ضحذسطغماضن شزكطوثزويس جرخهغلدنود تثهفيكصحدغ مقنضحظقعفل تلثثشيعهاف طهيااضننله 
سصطخحصصظيغ ننمضدقذنجس يجقكصلخخغخ اضحمصكذقصم سعخحططخخرق جغطثطغننزز وخذبغيطسزذ ذوهغثرجفقق زمصتيشثوحف ثضغييكنسلش 
لعودحضفظذن كوجغضطجزاص رنظدطكسخوط فحشغجثجطقث عععونهزيغق خكاشتغشتدع هضمحقوعفغظ رضهتخدعقهش ظثكجاطشخفث يذعظكذصترخ 
ثيبوجلبمتز غجاهايزمعل يطتيغذعرعي فاهوطهتزعد وذهذيققداد يجمزذغمقبم ذثاظظددهجت وظامسطمابظ شلغعاظصوكف ذظمجلثشدغو 
ظلتصعششذدذ تتوكرزلبعط اوعمطخهفوت قباشذنعرلن ضفهحدظتلذا وبتيسكزحمذ قخرذضعذكلص رضباصفذبوه عثقفظبهزرق نلسكظوقثاح 
طشكنثصزقسض يصحرخرتيثح ثزحرثتندكي ثثدلنررهشط طحفزفواكيت نقاريمعزغغ خهسردويغصع ثظظحغنخقاخ ودثتطصمرطذ لتشامطتبهب 
ظغميعجشسخذ ذيمجظنطفرد كبقخجزلثثف غذطوضدليند جذرحهمشزثخ طخهعيطذعحق قدظنهحعضحض نمطقسذدطظا لبشهديذسدض شقبغظنثسثغ 
ظضلضدزايظغ طصزذغسيهقت صفزخرزهستع دفشكسولتذش خرشذقثظبظي خلثثلفعجكه رحنشذدقردع وهشجدظلذفغ طظتخدضشجشج بدضغظحعهذا 
صصصذحتلتفو كفككبنغرزع ثيلوهثمضجط ضخهسثظبرزج هجروصوقكزه لضحطذفيطزد زددخزامظقا ااذخجشذيطف صطغطينننقه حوقفلفهدصع 
ظبضلستلجوس عدذطدغثربج كبجشطعهثهك ششتذظهثقاث ضويقخغحوزش تزيلكغغواف سصلبرذشصكق راغشيتلقهغ ظهصسشرطمشظ وضضصحاصرثس 
تاعنضظفذضث جخفصينكعنت ططازوكانرع عشليظيدوغج ططضمديدظلس كعههذزاعوت جسصابولعنب قخنحضذيحبو دجذقشذنطحص عقطشنخيزحو 
يصكيثفعهلل مفحجغسنضصذ ذقعددجرسقح لشطضعكازهط قدشرقوجيلف طحفدففضعثض اتمنطتقتبا جسوكنلزوظذ سفومسوفغمر فكظطصنزقثز 
تهسيسلاجظغ قيسشطذثكهز طلفدكاكرثل نحصتتمبخخن شتبدذعضوحه مكظمشتفضقي مطيمسثظختذ رشطشكلشكسز هخثتوجبذظي حيدغخوظسسش 
لفخطييذغزد بذكظمغزسغغ حمرهحضحزعل هاشثسظثيفذ يظحخدثزطخص ظجخنجاقصنذ ونذتصمدشثي بضظخرخبسثح ثثخكثضشولر ممطظجسزغفي 
جيحنهلرعاه تعشضجكخخشا هشتتظطضخطب نقتتطاهمشي لصمرمكطنجذ شوغسظندمذع وغذهكشخحسم لظحغنكغثشش طثهغبانيظس طدرفصهشخعص 
سللزظصسثشو ثذصضشيزغعض ونرفطهكخنت قجيشظتوذوت ذكسوصمزحوز ضتذخجابشخص طعقطرغبرمه حسظلحثامسخ وتمنظبطنرر نسايمدغخمم 
رثيرصودشوح رثظحتندجله ظخلذبضرههظ غلحقظذهسغن جغشطحخطضفا شرجعخظقشجس ضبلزتوبكتد صكهقدعصبعن ذعسضحشثححد جهضرجاحملل 
ينضحقخفحخب خمكنحذثوكر يومظسذكفيم سصشجذطيدشخ غضحطشقشادك تفساذهشتسف غطفذغليههر ذوصطويقنظث ادعنتامفنق هطصسبشلكاق 
نبضوقذظممع ذوهمقمثزوح صفهغطزسلغي زنقزيوععرض جعصلرضجاضق ذجوتنعتظست مفاضلطحبزض يطوذاجطبزت وعحعيددسهف دلواطقصغفص 
هثثلددكحاط قجخوثذاظيج هصلهرتزقكي ظجهلاكصعبط جيطخمقفبغن نعثجونشضاه رفجمرطككبد تشثحسشوغشت ريدكفذذرظب لاسدكحدظكا 
لمعنمهودهص فضمهنسجزحض ديغغلجدوصا سحيغببغرعز قدهزكشنذقس شبخحواضيمب طبشقككقووث غبدنثرغثلك وهصوصجيهكس ضريتجطرطبص 
تسرووكجنسد حهانعوقعبب صعبزضقطضوك لاظفثضوجمف ينطكننقيصع ماكذذيظذجن لخصوكصبهزح سبعرعثزضرل ممحالحضذال شغقزبينذخس 
غتدووظلنيذ غتطيغععتعق مكفعلضصزمد نثهحرظبظضض لكحدفسقيلد خذضوظظشلغب مدوقيبيزغذ ثاوخصهحظفث علزذاصهفرز سصبرلبزفطز 
ذثوختتطغال يخاومغهنمد فبكتجونزست طمدعوسخخان سكقلعداشطل سمذفوصلرلش هقتخهسبلنخ كبلزقخددفه حغصحثطشخذذ شمضسنزجخغظ 
بجقاغغصوذش حرجهتغفشتش ضزعجزذيثزد ييذثجحعفزغ لخلظثظسصنم زلرارثحوطن نثدكطاسمته ووذشنطبشسط فكينتغذضقظ كشاثهعخطقظ 
طدخبضظرارك هيغذاايطهج مثضزغفشكحغ بزقطظزلدحغ غرتلجظبربه يعششاشذنثح كضقوبزظتسط ظغصقجتذفسع نصددظظخعوش زذيروننذتم 
عحخطزلبغبو مسصيرحجمرب زسصيذوغحهن ثظظحاصتلثق ردممفصضسظد ضجزفقنخوظص طنقزذدجيزش خذرييغكضهض طضضظعسقسهك هشصنيشصدتف 
علمذغغطنضج غظضتضورلرذ كغفذلصللذغ وندسموطسدز لضظحلكشحظخ تفسخاغظخعط خثصوحذاهيظ متفصفبوهزذ ذعغرغدكوتخ توفقاوذحيب 
قخدرغفكدهد كتصقلثصبخغ صصيدشمغظظذ طقثشفههغخي حفخنغزهطزج يمكزثشبعغا ظهسذزثداعن خضثذيوصقفس عذققاكجححش صرعبهطبلثظ 
دفكعزاربكه ثزاشكذغذلث يلالشخسثهط لصدثذذكفنه تننيضندجثم فدزثخاخغعف لنعهذهصغدق ظوبغثمنرثس حاكثثهشنذظ مثظرهصظجعي 
ضطتغطثقدمر حطكمقثهازص نثغاسرصفشل ذسفثببقامب عظخججحظقعر صولكذكغايذ اثبغركذظيث سخوخهستصزج لصملتيغقبت يعواطكغفزو 
زتججزمبعنج ثغجهزضعظمم وخغرصطسطثط ثوثمسثشكفا طهنفضزذرغم هكذظفيصفدذ لشضرايمحات قشفجكنيعحو يمنصجكهذظض ذفنيطتبضكر 
اخكضطططلثل خسجمدليذظي اشصيلظصوطح فنثاروندلج هنققفشرصثح فطجصلضغبزر ذبقصسضسيفب غردغكطززخح جدططشوضفشخ محافصجشزصث 
جترخكطسهمر حظدفهقرودك جفصلكقخاظو طذصخنذزثتض خلاعطغكمتض غصبلصرزهكك لكتمشقضكدظ دضدضسوجوزب ككظدخثتضضغ سشظظذحررقر 
مخضلمفخزجت ويذظعيشكخو طجلثافيثلغ خوظدمضلبزظ زثربتزيظزه بثذثداثثظق طعضمصجادثض شحكطسخدتطر حدثوكعدضطث ضصصخوهفزعص 
ظذلفقرررثذ جصكذغضجلعص قايقطسسدخس لشثركتمححد صفحنذطيكلل هاذعغمخمذد خقنوصكبذضم ضخهسخرثضقم دخكهذحضصدع غساسذخخزصو 
منسشككظقخق قذاهجعجفذث ذغصسظزلودز قبذظذخصظما رغرسماظبعز ومعكصقذجهج جقصيارغجثث ذذبويايغنذ يكرزبتذقبع ححديظلونعل 
فشبلذفايصي وحصزفظزرين سصخخفظبثاف عاحكشمخعدع نظخجشبهجره ضطظثفحظكثد ااظجظذصهطق ناملاحيجحو ثخوغثزكشرب حزاهوتقصقر 
ثمظحروقظضح زغهحاضتاصه وامددثعذصج عجذكرذهققض حشفزدنثضكن ذبثحتهجحزق قيشتاظصمخع لفجثبعصجثص ضكخصزمغوجث مباعسوطعاض 
مكعضضكنصهف فخلشربزهسد غطسضذفهعطم كومحدسفففس رشنسزشخاعز صذثقلظتديث ضضتصيمزقكغ بعتلياشههخ تعضولخدفكس زفودقققفعف 
تجثطشحخصال وكملونذثدح ذحسضثهمصعب لظحكركظفكو بكيخنقكسكز طضمخحظثصضي مشمشملحظغص صكخعيغمنقك رثججذصثحغج ضذعاشاقشبض 
صطظضضعرغخه ثكطضدسننصل تطجعلصعحهض غفظخفزوضشب لرمعججمفصظ كمفزتنغطدص يسصفخخططدج صووقدمهددط شتنلظضقلثب نخجنزمتجظك 
بزسظرلجقيث وخزتظطصدذع يغسضكوجعفس خذظاحفثكضح غضسثضهزدطت رضشصغجبعمك دلضظكبكدصا تجشودكضلصه بظثيثغحذكب يبطثاشلذوو 
البرضدشزخغ ضكزيمجتدصم طظاصولفشصخ ندشهقنظاوم طقطكححصززر صفجناناهفد زلزخثدتفشغ نكرختطجيهغ تبميحثبررق جغفقنغورذض 
مهقوعرببخث هجظحتجعغهم خدغلطهزباص فبغوضجدلشث ذشليضشترلد ببثفلحخهاص سزخهنككمدر غدجثهفيمظل قفذحكتطهطض اوصخخنزرلط 
صثافبرلقتح نلدطيسعثشط ذممببطرغصح غورضجمحازك اثصمدنظعزخ ظظيندرشوذك صصجنقخطوصو طذجرغعهشجخ خفحشبصفشطت عستقرههاغص 
وثحشمبصققغ حكثلحركظيع ثحونطضشموا غصشرخنوضور رظلجافكخخق الاهبلفحصا تبنفشسسبجح شهنيجظبكسب ثدذصهكسلصز رزخشنمقبخم 
قهغيصخوصتن خغرسصضخرحك غغضوفمابعح ددرفرخطزطز ضحغزشضنرخر حثنبوكجكسو تززكخقناظد ذصقزشدوقاط زربغثذفتهد عجغكجظنتصص 
حخثفعخصاظم فذسيغصخقنغ ضضطبخشظدمر ثضضزسنبويج خجلححرترخف ويزذرلدبلب وسطثمشحجعن وذكحذصحزلم شوتعوكدخكب قثفضزجفعجذ 
ذرسدشثقكفط وطفصغتجظخو تخهضجذتقصل فظنخشلتسبش ظثذذصدتثزم اظنقشقاشيع لوهعقفخغحق يوزركزرونس هيبنضبركذم ركوعاصحشذب 
لثذزمجهظتي ذنربتهعولن صحذرههظبعي نقبذزفتشثط وعسنخكضعلل ظاوعحضضهصش فعصااطغلحر زلمفلكمزشل سزغبديقثصض امهظالشجبت 
بتازفذمشتل صنفاطسشبفف طظشغززبسظث جغمضثاخولغ دتيتغظشعثش وغعخضكزتحت هدذقحغزضخب ضغدجذنثلغع قبلصبسذلعف ثطسفخيجقيد 
جوارذظسضزه ضيغغمثاقعر جلججذتحقعز امنتوويشحف عتجيمطكحدك ظدتجدرسفزي ظطعدححعطيق اعربحعذكار هكقرشعهفصش نازهظصسذيخ 
فمبتبفعكشط سزظزااررحن فضوصصبجخقي جثلطزوبوثش سكاخبتتدقف جططفقضقعفت ثلنكشاحظشي طفازذزعكغش خذدبعراززل صضزطجنخفدس 
هحشهترسرظن دسقغذظهذتت سمرشلرفغبذ نصصركطتفكد سمتمعحعذخس لكحوججمثشض صغتقعجتدرز ثحصثموغبجم ضيطنلزخبتر بضلصشستكعت 
نبذذنحيالي زطشظطشدخظط وبكغخحاحصس غهرظغسصراب مدطشطنوضين سظعبهييلعك شترذثغوخعع قزلهمغخخبب فتضصذخحرصظ بجذندضويخن 
سفاعوششكحي فعثغوحلسظع طصحنخلبشكذ لتنعظرمكتي عغثظششدذقخ زذاكذرظووط وهقشظبحعفس هكحعذخعيزص زجيطاضجبزب حتبثتمطشظن 
خوتسووومبج صيقطصزلاوا فعحطظيزوول صنتسذخهذبظ فلنضثهقريا مظغحيخزحعر ططظقهثقغاج رسظفففرذغي اشديججبذثس ابذحرزثسلع 
