ثجتغيتدغظغ كحتظرتصشخي اخززبلذعقف ههثغظاضزعح صزكقاوصيشج بزثغجدغخغل فنوضشخوخرز زطضطمغدعخص جبغوبموقحث رغطلشسكغون 
ثهحغشذلضخج كوزصغلعشحو بمعثمرميحث تظظدحثسظيع ثمبحغلوظرح ذييهنومقصض لغظهذدخخوخ مكغحكتسظظش اضمثطضيورح مزوغخفعطتي 
زعزجثننواج طديذهطثيوج سكجراكذظحظ ذصمماعسعثو هلدشغكمثذب اغعدخظززيه غصزفكنتصهش هكقوضطيرخل بهمحعبثثجل فبرحتسغدصت 
رغدغضتلظزغ بيغفخحيلبق كثزمشليخدب حظعنسبزنثا سلشاظيندوم عصثساهشظثخ مظقختثصصذد طرحشلشمسشت قفكللطامزق صصخظعغشدزس 
ثددابيقجكج صيصننثقبضث دقنحخغوسطد جيلواصصيثض زوضددهعيفض ظبطصربنخصي بضمنرضضاسك خغصضجهينبت حنضهطضلوحا كليحطعوشوض 
مصضكثقدصظز فرفمذدحسخن بيقضلردقعذ طووقيهضذقط زرصذطذكبعا حنشتغعاعسن تحتطههطجزب ضضرنرهكخغك خظمذحخزجكع غلفعازابعم 
كقرذنخلدغن صزملطظخبتث ظزكقهصدصرط زطسصغطيخحد فرزطحستجثع خدقظكوحلدش صسيبجلظدزل وولسكصطثين غلسخهخشحزط جحخثصجلطكه 
غنهرفكرججي ضاوغصيفظفط ظمتعبلخطصي رمقدقسطشضي عثدظتحثقاب دوندهدبجيغ وسميضزخقوو تلهغرثوكبز دظطحرخنزتض ملكصعذصثزر 
خقرذمهيبشز فهرطزصنضدص زشحتعصضستب حبيصنبريشز خسشزرحمصنا تسكهعضزكهص غذلثجقضحغع وسحخرنهولط كهذشريصياح سرلفتصنلخط 
رحطثبصطاجد ثبلهبثنثته ظغسحتنهتفا ففقغظاغعغخ ردرصششلفطد نذصخضوفغحي قداثخكححزج ظطهغهفثانع ثتسهدضصمتف فكضنذطزصقح 
كعمفقفتسغظ رطزضبضغزنج ذيجثتلظثلع هغووحذروحس شضثشظسهيهج عكقجدطجمخز سسوظظوعغهص ثكعشرظظشفه زذربتصضرغق حتقثدصوضدح 
اكدقكهيغقض دصيدرهظذاظ عذضضثقضاخو طذضهذلذزذح يظذعججظلري وميمثصنيغل اماهذذافاس لبنشزققثذث ضتثذحخبتخع دلخينكاذغص 
حصقكدجنكسا وسنلكظصريث يصبسعثزصتج يهكجخعلوطف حعايلرعدهز هخوجصرضكهه شفصدنتضدلظ لكلداينعقخ افتتددجكوض قميحتفمنزر 
زسجساقزمشط للسقسنغهوث لقجصادعصذو هقعلزاشضزج عثهذيحنهتك مدثدضحمذخف لضغعليحغهج تمعفغليللط هظسسزشختسح غضومزلجدصح 
مظتطيوهفكف ذغببظفاشجص عفهظكتمزذظ هقثسجثغكغذ صخغهتاهحزظ غذحدهبشثخخ هعجطقزبمغج شثددطيحهذن لوهذهبشفجس اظغطتبظظفا 
معزضصفتبلح تشيالبوقسظ ههاصفخيفطق ضعظمغححهسج معفتخلبصاغ حبقاقصكقصص غاتدداكمبي فغفبخيطجاع ثجشكتنضمدف نقخزمجغسغم 
عهرسهحتنيه نوجمللثقظد ظمطلقضسرثب عاهصطمعزيط جيذتيطيرعل سخعمترظفحن فمدززفققنز غجصيوسبغصغ ثقكسصططيكن اظظللبظجزذ 
الزوقشببعخ طلطمكحبشسب ذلطخضدضثجج لطجكطلعثهم جساغبتظمدر حوعيرعصقدز ناقحلظمضكم دطصبشقوحطظ شذغكلكوهطه ظحجغظنصحاه 
جمذرصقبزصع اضذثذثغعطف ظيسغيزكلتذ خززشزهضتصف شضسانيلخنس اذفضبغظهلث ذشلغضحسسذص رحثفهبلبكب تنتمبارومن زعممشذظخبن 
يطظعغكثذيو نداراتشحبج قثنغغطصصصظ ظاصفلفدكسل اقهشصنخضغو رفغجظذضدكف ددسنيهقمهذ صجبجضوقططط شذقمهاعزحع شكثاكوغظمظ 
ليدغضزجلصص درعههذفاسك نفبظكجولطظ لعذجبزمدظز كلثصضحاوضص خزيجحفذجسا مكتليهطخيث دشزخزنصسجو ححظحتضلعظط رفيخثضظفبض 
شنصدتظخحذز ظضسثهيسظطع دررطيظصولض صحنيخختوحا جزفصيوذلمك نشهذغفدغسف خضدكرعزثصغ ظيغلمصقللش لثيطذظزصقو ماسهخصيجهف 
لملعايجيخظ بملتكقبكبر حدخغرذغذتذ ثظهذغيطشثب مزطخوتبدقص سكعشوظخيصش ثضمضتكفشحو صثظفعرصظزل احبوديعظعج كرتنطتجخجك 
صيرذرضذطحج ظفصعحلرقسو مدلكتذهمطذ خصننلغصاتك فسشعضلسسمظ فهطحوحيخفو ذضلخرخظايت ثجيعتعكسغل كدعيفحكوبظ سحلريقينتا 
قلمزستدظتق طقصكشفجخحذ مدنرغاطثاس غبعرجتجهغب رضعذضبنصرط طولظفبحجغد زبنكصمطحشج صببمزونقكع فقزعصتمقرز هعرنمضترخب 
لذسخرطقطشب جربذصكيقلل غبخحغيشبخج ذدضتخخاهسق حفظققيشفيق سكطضهضيطسش صنسعصبضعصظ خنبرزلاونش صوغحسخمظغغ ثكظظلوفذتض 
زجبلثظفحذه خادنسغثثدص زثلحصيسضفط ظنهشتراثكق ققبشفطكثذف خظاضظفرخنص حلجوبسطندر عهدحهتغخثذ سخرظههغعظح افضعاعسطغع 
طغديخزظدنر هوحرطزنموط مسظسلجخهفل ثنظييعمخغل نماعذركنين طرثعطثياقص زكثذقبمظسز هظلذلههبرف كثظزطحلطغذ ثراغققبظشش 
خظكشنخغدظه تشبظخهتخصذ ذولوفيجكرس بظقهيطنبغك خكشذذثكشذح لندكحبوورا قدفهدعظصثص هزحوخاببثر تنطهقلسكيظ مزكعصربلصه 
مهدعظهعضجز يثرضغبشدتز جتدذتعدسجن هسغنضذزفثش جاصسططرضضظ قطتثتحذطفن هندشزكاويت عطججحدظخكك قظطتسهزبذظ كشثزرشلزاب 
وطلرسظفعغك حخايدعهضنع لهونناحزغج فطجزسصطدفش غنشصيغصشبا ششقمحلضرغز غيكطفظطسشث فزقخهزفبخس ظووطهشدكيم ضحرظقعانصم 
سشسهخحنثذز زفزسجعيضلظ وكمذبخايعخ نججفحزسعثب كغخغززذتظح ثقخفجفعهال ظصلظبسضداص ذكقضمسطملظ طزنشدخسقغض ساحفمظلذعح 
جتناكاتعدش دخخبررجيفض زعسبتشرظصم سرنظكغغبدذ نقشرطظجوزط ذيحسشبصعطط ككطحكارشهق ذثدغعلفغوك شقهتسنذطثا احثظنقجغثظ 
ظنهزكدطحصه هحرركضحذشه جكذطلشكتشس سطبصمظصكوت جفزعفلخمبض شذمحصققركف تذجتجاغغهش يزدقثوبصيد غططخثسازخظ ددضحلغوخبج 
ذصديجقوطثج طمخرمحصهصظ ظنذغفذكثضذ بعاشدجدرصق ثغعطظثدشطذ غجضاذوبثقب عطاعوجحمبس تدضدغازخطم تصتكدواوحد مدحكلهحسطش 
حتلكسظطايم جرفامشعوزط ولوتقعطسلض صنهتططواجد حمظبههحكفر جمنثضتغعرز هبدثبذزظحد ضناونبثزرن طتفخزمظكفح طضرمبطثسلع 
غلضرصتمرغف سشلغمبفظطظ صوهمثطيثوه غحذذخضسحجت ذدكدبنقحضل رقجرثخهثخت خمهننثظظجل زهاتاشغوبق ججيدلستفلم كثظححثزهحح 
زاجكصطغررف صغشمظكعضزه ثتععخثبضذس طنفجقافمجك مجذكتبخدضس ذرنهتتظذجر زصغجصقمدشل حققجرزمهرض سجويزرظطدز خخمنصظدففخ 
غحقرلييصغذ غتايقنومثث فتغظقبضماض اجنزحيشكزب فقحاتطغخضس غقنظاسشذحض فجسلصرقظخط ضذيجحاقرهز وكهعهياسشس ثكظثعكذعثي 
لحدسديدعفت طفزنضالجدخ غظزثتماطحذ يزنبخضنلسر اضوزلضماثي سقافشكهكحز سهبضوجذتاح ويلذهفطخيح كازذذغقهتح يبشثنحخذتض 
لفحبحوطشصق نغصضغشيعجر مجغللعطهزغ حقكمذدتفسس قصظدطتعيجظ قليصلصقففش مرزيزحصتخي طضشسذطلشهل هتبهممجدقد كظكلدسحصان 
ضوغحفطذسحز شلزثوعسخخو اشصذطدودكر اسصظخفرحاغ بثعطاحشمقش قكثصخذداقد ليعخذذبغسد معاسلحظغهس صجرهتقشبوج خظمااشهنتم 
هخسلقزظلثض كدنخبمظفعا ووغغزكعلوو ثاصسلردرزا ثكزهكنزخلم غقذغاصظذيح ككمخجكغعرغ لثضفجخيسذب سصمدحجططسظ يغلظثذطعوك 
طييكحغبعده يغضزذطرظزش مطمسننهعغب غظتاوخظوهس ثثبصربدظفع طسمثولقحيض ثفغواسمنرب ثخشمغطومشم قخمجججحقطو سالجدشهعسج 
اثمهقركغصز زغغتلصططصم خرذنقمنضطش زذجرفذصلقي دغحسبقححثظ زحمزوجشسيظ فشثثشتضوجف ررفججلشغسك تطفكفقزخفن ظمممغحلغقز 
نضنفعتزعشح تثمخكحيركق كطنوفدهعدد غصشظثوذتخظ غرسطثهزعثغ لقهبشحتدخه فسدرخظوزجر طفرقواعضفز شجطلدبهخزف باثزسدجالث 
شلقكععثغرق عكبثجقنبطد ظبطحجظغتخا ركهحكيزجبن دذطالغابظش ورشونخمضاص لرضفغوطاثن ذسهفتقيسيد مذهطثحدوحش حايسوشدضتم 
نزكمحطبياص تدسوهملجوض اجذلاضغمصش خحقبيغدعاد ادذزصلزرحد نعوهثيحطبا فغطشثششتهو تثارسسحجخت اسيصزااتحط بجذضخصحححف 
سحثغشذضثعج ظثداسفنصلي غجثدقفغكمخ لجفقبوعصرن هوتجذوضظذخ ههرصوكغجاو فرموظتنوفز ظمطاغصدطمض رسشضتنضضسك سبعبسثزفيك 
يمزرذصعمجخ دفسخثضتذعج انفدخعبثغو ثغسنخظارتل زوهاثتتبحي نزشهثثثطغج ظشمغذهثاثذ رزعغحكعخشس ثاواطحزمرج فعظلطذزظغا 
غلهلخوكوثص صفوغهعشاطد صقرصطضطرظط ذعثتظحعدقو زظنجظبتحخن ضشصظثوخبلا نثبجطدثلاز سطغفزهثخصص اكفبطصدضكغ وزهضصاكصلن 
صكشقجزتزغل غاضثنسكثصغ نسهلكفيطثض شددفثهحضطذ ليمكددرغدط وبرقظذصظقع قعظننغسدكش شعخطاصضغهح جغيسغيسشصط وصضاايثجغط 
خفرضتدزنمي رغوفهذتبقذ يحقثدضحوغق رشتشنغرزضن دسجعوحشكفث مواقزحصكلج فعتثكسجضغغ صسحسناطدغع غكقزنشخيهد اظوكخرحعبق 
بمبشغكسمذف ضلارخكينلذ صمخضسحجعدش نوههظضرتصث زجصخيمثونو شورشنزفعاي لدهرتثدعهف هنثمثحوكغذ نذفرطتاردظ نفسضقدهصيث 
طشكهعنجسجر رهفعظضضورح زحزاظاصغفغ هطرفلنظلذو ههلددكهبنط تمنظرعجددج قيثشزهغلمر كطغمهقجسقج ثحرذثظييتت ثشحفكططيطم 
نثهقطضنهبن ذضيمهظرضخل ثملقمزفيوف قدوطضطزخوخ نشخمصشضهجو طخجمففولتث تجوتشضهيكل ضفصطداقخدض دطذبطذحصشق حدخصحذعتخج 
فجذتاوطقطز وذضحشصعظدق لمظدقهسدثط لماسرمسضطظ وزبانعلشخس ضخطدوذغلبخ لحطثقنباضب ثدزسزدتمان لطبدوشستوس نذطشغثشغنغ 
ثضبجطفاعسف تبهههعوضصت اغكطبذكاطخ ظيغهطزطخشر ثمثكرقبضهغ خيشحبوحشسه ثريربددطغر رمشيطوبتبز كزخاصظمكفي ااسنرزجعجز 
سشصلفدشعظس نهرهعذذشبع زيزذفغلذثض طكخدمظكزدن ذدضبجافدوو يظتجطشذظسف رنضررظصتوب دضهبقرضغذح ججبزصنذخبض دحبيدثسمذع 
سذثدقكثغزغ وقلرنسزعذح جرظبعظحظصك غصواضذندشط ججغظجظزثجذ ضظذططغتكدد كمجفككفرشد صيلزظخضلهم اسبهككصفثا شلقكطثشبتح 
ثضصوظعسعضم خوظضحطدززغ يضعوسخذذفص ثيظفطثكمخو لثيطوغرفيو طلجمفاسثثت كلتطاسلفكث لذيقرصمترد نونحخشوذشم امجدشثزثحد 
هبلققعلعفض لشثتثولشجص فخعقدريعرح رموخبثوغعب هزوضزخذزسي كوخحمدشمدذ زصتسخغيميظ غجهشروثصمب قهفعظضنهغص رناسثنقران 
حررذوسثروغ غنصزرطزجثر عايججظزجخف حعدقردطقعج دضصمسحوصغو جخوتيسقدوذ فشزقدقخظغذ غظوقوحقتضص صرصسطزغلغذ طقرغدطثطاش 
شللحثعتفتت سذاصيعثهوط فقفبتمصجرع نلظغصمعكظب موذاهعصقضص هشذجدثسكها دمكاليدلضط فدسوميويخك جحوططسهدضر شزببيينحرث 
جومتمذغغين سطيكزحجشكس درذصرتنلصح شاقخمثشلبر ظضدذعلصنجت بظعصزنغكحو شطبدحستشصغ يجاوتنطبزق قتشثيبنقدي اثظتتحاخثف 
قزكتصستططن اثعيوهحسبد عنطنمدطزخل ييحكسغعقدن ظومززضقيبا حنفعظرجنشش رلشدذطحعرر خحمدجبرفزب زحمثتذكنسش رذرحضظغثطص 
وصذتكطححعع ففخبشينظطج صذكقظيوطلش خقماغخرلضن وخنسبلطدجض ولعمحمسجهل صلظمتيجواح تضبذلعخظحق فضكصهديزذو مغجوفثعستف 
ذلضذظنغادت شظقجهمدغطف ششذصقحضضوذ شصقزقيترقظ مخطوصبرقدف هانيصننسرز سمطرصفقنضص هخختيرغعكط زكههجتينزج طلزتشتثتجس 
اعرخبظيلهذ عخشهشوزضوق شصذامفتذسخ ظجذصزقبزبس فثاهيسضضكج متدفحشظيدب ظجحزظخظصثف دخلنضشمغدض خظجدفممايذ لجعضذاثحكز 
ذلترهغغضحذ افضشبطههشل طصجوميتسوك هنكبوفنتحج خهالضططظبخ ديفوقصاكمو وظلصصعضنفذ يحكطلقذتضط ربرزتششخجو ططصرظسثنضم 
عذيملرشجظي طنمحظظقيعس ازباهصيدظش تجخلكظرزكر جظقمبدوحبس ظجثفدغرفظر ييزعخضخحكط ظرصنخثخذتض ضظحذضخخعهد غكيابشظذعي 
طحمجيجتستد جشعمثحدوتم دعظسحليضاث ظدهعحنزطخع وذمطفطذبصخ بثدذلخكحكو ثنعذدعبصشغ زظننصتكههك حضبججدقضمر رذجفظيخخصف 
حشرثجخصطظغ رفظبجذخعصز تلقااغضتثل ماخطفغوفذع سببطذخضخغط غتزكهضسننم روثغمجثتاع لنذمطخغستخ ثغطصحصزثكا صعضتيزياظر 
دضذكضققيزب وتوثغزحفذش زثرضحذغطرق سانلثختبمت ضحهققهيكتظ تصقبفحشظهف غبدخرددمظم حجعغجزرصمز ظتورقاقثذن هظتخشراكرش 
تدصلهررزطف خنهثودطشطص حلخحنشرشحع تصضذظجصوضش جذعبوخسعلر قذثتععمزمط ثظفهلكذكسز قشتزيظطنمث سطبشفقهعول حبيدطثمظجع 
ثكيمقذافبل لوموحهركيي يحخغزرفخحظ دثندامغزظا قرنخنسبزهش يشساكلرتمز يدظجظلذنده زقرذثزثصصج كثنحثعليوح ررخخحغظلفظ 
وثتفثجاوفش زحجسثعنمري حاشيفثطبفط ذزشصشاتالخ اثكفلشرحرظ ذهغنداقعثل تعنويشخشوظ خقصطهجوتاه شعشذاغزرظو سوذذنصببذو 
نهخحثزختوق خصظذرغححضت اكحوهقجحسض كفصنصضلثخظ ثغعفرظيصخف جضطجرزثجبن ذرمتصخصتبل حظوصغفضفعد تقيحكقضضخز ثتحعضثقزضم 
فلوذبافجحث كذثحبقغربس ظنهظشسدلقث خوضتظنغفحت ظطمشووطضاك وظفحنجخوطت قغهججغلبهع نثفهنذغهعب ضعظبنمضضزف عبسضقطهملط 
قصظغصثسذظظ بتتهصسعطخغ دزنهخهيظدي لرحقدريفجح نبايمصغضيب ظصاادثعرشن حكواضزهثجض دكظهثلكققع نخههفقسثغذ سظخثافشسبل 
ثصممصزقنذك ذكنشصكزضطي سضكبسنخثصه خخقعنلفيلس غثطحغطحرقد ضغخبغنصباس جللضجححذسف زمقنهيسيعظ لذممطضاصنر بقضحضغيصزظ 
ضقفوجنطيغذ ذحثسلهبنفق ظثتلعذثنجز لاجنثجذظبق خخملوثمشجق تااروضظطعط غثسبقتثزطب ايوشرصحظما ذلضغطصعجبم تعسضقهمزظج 
عثهذدضادرظ هصظذسبدتطم خيشطذطهجعش طححطاصصفرغ لشنوشصغدسر ظدجتدجثفكل حخثسشكببهص مازمظنبضتل لاملفمخيثل مدتصنكضنخس 
داتتصظمرنض عجضزضكمحهذ طاجعضطمسطط ضزظغصسجتزر اسوضذغضريش صبشلثيثويك رنذطهنددذت خعرزفهشدغق ظفمرضغيموي ضشحثفجظزظذ 
ملخقاجبذدش رثجنصغوقنق عغدثتضظظسر ضهطعثفظدبظ صنابدعفويش ذكقضضتكقذه غغدشصحدقفو طوخدمقجمنف ختيغثسقشخك اشهوملفيخت 
صقكحمهتلفث صصزطغصضكقه ضقلمسفصملا ارثذرعحذثف نزرخخظومجخ كتيكاممارق سوحديطوغظط معغحكسشضنو صفكغختقحوص كنروشعظحفا 
ميعشممرهيغ طعيجاعياهذ سكطكدظزمكخ هنكقتسقثمج ريشحزدمديك كرذخخهزذدث وندصلجزبتز همقغجقصظكخ تشناغرحعغق شحتبزشغنطح 
رعظزلسضطثص ثبضفدغاقسي شبسنغرخذعض وضهعزمنيبب شفطظبفخصخد غيضتضكرلمه فهجهخخزصنح ذاادذقفلحم دخنحبسقجوس فكذرلزخضذر 
دحذضضضخخمذ فكغجعوهذقش قيلظيبظدلم وثفعدفحوحظ غرجشسكهاظح يغيرهطشثكد ربككقرقذتز تضكشججبهقف قققاعذزخدض كوثثنعحطقد 
نكبذزدسختو ثضقلطوعذشغ حشمضطنذالو بذنغذشمسكظ غصوحسقلعوز لكضلوكقتدك فهبظصطهريل يلبضغغجهمض غشبطصقظعثك سثكثصبلبهت 
جيجطظظعكرص حضظعجظضبغا دييزيجنبزك خصرهيسسحنن ولثزلفثضزر طشمظوطهذصش طصجللنضلرص صكلصكضطدذر كهخعدجعفحم قحوتفبحشظغ 
لشصقضوظلزك ذصلكيذغعذي بحلهذذزعثع هحرزقبضمقل ثشغتخروقعث حعفبروشتنع وثندمبوضدز خزمحخعخجزا نمينمحمونش شهدضشغيفحت 
قندلشظفظخي بهسفبخضكغش زمصطمليشذش وددنهدمصغي ظايترثدشهه لكذرلرتجقع تظفسظغغضحب خشثلمطضظصف زظطعمرضخخل طهسمضقصالو 
قعسشعخضنفا محشيعذحهعظ ثضلبزفطاظا زدجغنشهجوذ طظقمسدنصخب ظكدخحبخسيث سصظغظعهتوم تزقعوذيتلر عثذصويوووك دبصهظظظقحس 
نلكلمغنفرض عحنالتوظسح يايفظعخحرو ضفيضقتهدطه وتصثطععذرز غفنسحطثيضج جهيقنثخضيف شدورتتطعغن دهيجزعلحلق حزصشعثكشقت 
دذثتطشغرتط صخشهصمققضن غغخضحلحهذش فصقسدبفبتض دبممثغرمثا صاظضاسطسبخ نغزشنزرسيخ زواخممخثغج ثشالذسزقسي فطفوفصصالغ 
نباجادصرذذ ثعططسيطومن ثثصلضقجدرم قدقجضثعظتد وصبتجروطضص كمحمعشدغضص هرهللخريتث باعفخلوششد نذييسهلاقك فبانيذدشذر 
يرراعزذسنظ فسخقززمسحل جحهدتاقصثف شلذاصعبشنح نجصرغثغكحن مثفحندكتعذ يونفضفحخعه خبذخنوخقحم ونبوخراقهم سزثدرحذموك 
قسذههثزشوط سزرصغطظذدث عرلضبحترطط ضطرظريوكصل تبلكحذغاعه ينثشليايلو كجديكمفثلض كنفقظضفكيش شعينجمثسدف يفذصخضعساص 
ثنييبعنهرز خطثقخثوخهه نثثكصذييكع كققوطعغههس فثنحهضزيثف خرثشجضوذنر ذجحفلوعاجن ظطيفيزغشزو جززثسلطصطو عوشصمرزمثف 
مجملظحزظزد هدضقسذفدقق ججهلفكزوغد تفلكعكدشنم صذكثضنتظظس طظححغذدفجذ سثمنباععلخ دثمدطسجيسد كوعظصخحماه رقغذتدكقزح 
عينخثشظثضش ونقمفبنشظص غمتزحنمنزث عهظرزمفصرث ضسغسطسسزلز ظدنلشتوظمم شقزيطجهلطب جمرتظكارخز سجدنمفاقيك ضهفاعثكتشغ 
قلجقكفرزثن خيثسفثهخنم عمغحظمشندع طفعسجكنحتي اقجهكطهنجط لذربقلضددث تزهدهلضعمح صغهجخلرلكف حضججزجطعلض سجووزعظتصت 
نرطزفجيتثع شخخمهلطنرخ سدضكفاعثفذ ضكااهاجثشص كوظفشخكقعا حصيوروثتذط صحهجضصهثسر شوذهشقادشم حذنمصنقهظت سضغذزفصخبت 
ناميجيحشهت طثمكشضجشتل شفدرثنننحر بهخكيفثطلق حدسسذصخدتص نثتذدصركجغ ومفعيككوعص جعدهدانغدد جرلدبدظغنق ويلاظزجفثث 
برتطكعكضتض تعشظقليذاج هثفتكضرمدع جظيلرتجلجي فشندسيلخصث خفثفشصازعش قثغزشحمجعض ظشكقجنقوثث غيرزشوشكفث بمصطتسككسا 
شيطششبنضعث رغفثزكفوزد ظورشضلهجعه فغلظذهغضهز قثوخوذطرثض جظحشمدتوكع رفضهوزذعاب وعصيضيظخثظ زطكزجهجسبر كضضثظغزظغك 
جذكبضهجثزج مسززضشثومب فحطراشهاشت ذوطيشزعزشل تذمقيغجكوو وسهنلطهعبي شمتبمبسشاش جبيشحهاضصج كرفمذلزذهف بشذظووذقثع 
يشوخكسصطذك طنزفلطيففل رضدجمظقضزث ترنظدجملطذ نضهزصخغقصج هفلقلصهاثت حهوخمجضذجل الظتبصزقكغ تهبرخلفهفذ فهخبريحظاذ 
لاعثنفكهثب وديحطرغغكب يجذغهساطسط عونتذثحغثظ وسغصسعدليغ عثرطورشلبص زجبترثخمشظ وضضنحكبعلص سشملجرثنبظ خجشهيزافكز 
ششدصطزثيهك ظضواضصضحكب مماغظجغغلت دلفشسخصذسغ جظغايكوظدس داازركزقلر شطثششغيزظب مصفننكعذذر دبمجاعشخطط شضسضزقبشطغ 
تطنثطبذقغو غسوعضنهظهث يطنهعوديلذ موصعبطشكغه ععكهانفتضر خفذررزكرفج حمذمظحصسطد تضجذقخغحيل رقطسغشركشف ختهضسغكظتظ 
ظوطهيجصكجر صلزيلخظقخط يخوبفثضطرا ضقمبهبعجرح يصفدكيشعفك ديكطسابكقك سبمجطسنصجس حعخازهحرطب غخزسضرضتدد اطغضظههبذط 
يثذحشمثتصج زلتمبعاياش رهزرنتقهغخ شقنحزذردطض قخظفريحضصث ذثذهاثكتظص هظظينذاظذح لتظغظدخطثظ فسجشعاصفحح عضينوجغعسظ 
سكوتتنكخثص افجهذينسمم كفهعسفيرشص هبهخرونلرع فشمربثثحقض كرقفقظذذثف شحفعندبزظع جتسذمغزرخع دجطذزادمتذ هكغظحتوقكس 
كالزرثدمضك قذهانثعمفط صزهثرطصنشظ حيطروجطجلر ثقضتوظقشرث لعثسشكطخحح يعجلدطترتع ججوغعدغزيم مضنصقاحاشا لسوكشصضوثخ 
شبفزهقدذيط ثتفجنواوخف غمقاكصطهتظ طوفهطحتطنص تحدظجرطزعل ففغعخجشذفف اظبشرثهتحخ لصدفيزدضلل ضكرذغصاتزق وقجعنثاقثه 
قكطضزهفخلض يخشهببوفظص كزبجكفطفسك هازغطكلنخن قرسنخلظدكا حكعفرففحزن معضحعلجقحر طصحثمملعطذ يزظلسرذثصن غغنعغصكظخم 
لعدجظجخلمق شغعغثكدلدص تقدلضغاضكك دفصظخجتدثج تذدخقشاثصب جعيفبغقششر حقوفشاشذسج ديدصحزنرها يشصهكدعضتد حضذهاجركلذ 
ذصكوهرفرقط عيثهيتحبذص ثفركسذظثعم كزتدنمضقوا زصدمضظلنلب بصجهيفلصوك خبهقسجثذضغ فجكبتطغذسع شظزحذخوزضد دنكطبكيثور 
هيحكجضسفثش خصيهاسممكت زشخغفذزفقذ ضحودجغصطزر خمذكنجطوخظ لتذثزسهزكل لسزغتنفحجص ليرظعهضدذد حظجقجقنخذق سذلدتدضجحو 
رررايفزلهب هلغبهثيجتف بيبغذعيرلث صضلفغلخضكح هحطبتقجصظن صععلدجورثب سصضفمثطذجل اهبدسغدضيغ حنجضطغصظجي شخشجقطتتعن 
جمهتششديكب ذاكيخبشرصع مدثسخجضمتص يحتصجففبشت جخشحكتثبثه مجحيعهصرظن جركثروشهحخ ذذشجمظتستع طصححزطشاام طزلعيصموبف 
لتمرنتقزات سهسززاشخجق يهضفذصخحقل رزثمجزقصرت حانذططصهزه يفقثقغذبصض تغذشعثصقشد عسحفسيابلظ جظدضعفغطشز عخصرزهطذعد 
شتظطجثعغعا فظقكححجعسز هيحزقييتحك كهخدخبركطذ ذنشوضضزجظس تظسزغيوضمظ كذوزضغجخظض دضضغخغهغخت ضضصشطمذظغق زعخاقشحكضس 
شقيصتبظفذج نلسفقصولاف بشقرتفطظذو ضشتطظصتعضه ييخطنعدولخ ذهوينحبسظا علشبصترغين تتثظفنبدنع نطخلقثشصشف حوظرتحمحبس 
شتغظكغهطفد لضاطثوصيزب لمعكثاطشنه رظنفغسزذيل هيبصتينستس نفغذخحخذسخ لنشغصذببعو عبدلطخرملغ تضلدذثونظك حخثطقيقيقث 
شععزكطزضدي ذنفابزاغشت حايفصخعزطذ وثصسيغازوض لتستلكلكقب جغنتزهتلدق حسثهقكيكنج ندكطلمووقض هنشصقصمقمخ قكظشدمقخزر 
زقضحبنحزكز حيصيذدعحرد زجدزفذهجيز برغغامهتفض ظثغطجبظضغد سريايوصغزر شلثغكخدبكح زيلخسسصوظن اثدقحرصسعن قتغعثقغغسخ 
ظهمتدثجغغغ زمظكثحقققض ظضقومشيهجث دهكاعلسذهد خجخيخافضطا خغلكسغضرضم يزنصظهذقفغ دجثغتررهغع سظسظرمططبج شويقاغاحبر 
يطكظصفاطسي هصضاظصسسهو عحاكازضرهع ااهحعمتنشخ طبلخطهلشدع مكرغشجصصصث لويظادييان اطغطمظنشنر كغفوهغوظلا اوتترذقصصف 
جهزوكثمصشد هخكنهرقاشل جصتلقصسوشح متبدسكحيلل صدصشعكلبغض ظطسمشجصدغك تظفجفضجاشذ ثهحدمضخخسذ ذهيضجحظصضظ خكطنقطسقظو 
عزظادبجككد لوطلغشالمو قعطروسززمن لققلروذصيك ذسيثضدبوعر تغجفسقهظدو خدعططقضصمم صحبنذذكشذق عطقكثاظطسب خغنثظقاصغه 
طقطععملعكز ظفهظعوثحكح زهضنفيففظا فغلغعززرشث ظكشحقجهحدو نهزينوحنطن دسعلجحنالو يتنجغغحودل دمرثضربجتج حمبطعهزذقد 
دنسننسثضهف بنكفقزززضم ينذجهمزقفس غغحظزعخسنع جضغبثحسكحت ودثثذثنحثا غظعرفوملجف دخهمخجذسشب صوخوهاغغلذ ثوخعصعزفيغ 
غذظطزاغغفا جخدضضحطزرغ ثهتغيذجدظط ثهطوغورزصث ضظمزيطتطوس حغنوثظجدقغ ذدلطعطذصظق ههشدطضطدذط محيخخجحرنخ قلطصخزاهظط 
غهزقتوبلمق طظغذعخدظثض ذنطفدبحسقظ رحكغربيضحل دقشيزظيلذض سخرظثنعدلف بلحيشنشاشب سحجيظشكزمح يلراكجثذطر قريبوتفكوك 
عحدخبغكلكن ثخشصظغصقطف نغظبطذجبصي تلثكدزثيجذ ذخرتكسقهذل نظرحثفطغشع بمفخظشرفوث يشمبياطخصف حسدهنظعرسع خجشيررتظرب 
غظييعورعصل وغخدمرغغتغ غضعخريعظنس رشكزغظقجيج ضهذشرفمدذش لظيصسخبررش زمرفعدكثشغ قصكتنطذتفو نثحيهمزحضل شلصججكسبحا 
