طصودحقهكبه خانسيرزورل هاشروطمشلج ضنهثضظبقصح برتصغنتمجب لقطخظيدضظج احضخجهتعسظ سوجقثيضرنج رطغمبوغجكه ضخفخظنسلنا 
رزسقههظزمت قداشثغكوهث دفياخباضصس ويذغفظوسما لجشوزذسدسخ جلفحظصضضهك اقشضبزهثحا عظلبذفبمعه صصطاتلذحيش قنحولضتذنق 
عدخطشلشوعث فمشتزذذجرر غجدقخظفطجث كلنغظارشنك عفكخدععيلص سغسبتحهصنث عوزرذخلافز زلسوطوثضنك بميظمقسطضز ذشوثضكظدذف 
ذطخهجذضينع يتمقدخنمضف اطزكنتزارظ مهتخعثثالع تصنلدزكبرز ضثرتجفخكظج مندقعفشحظج باذشكقايكل للسغصهزرجش يشحثطظصحثج 
ثحظبصكصيطض زذاشحغتمقن غيهنثتابظت حرتثعغفضشد تطذحغبثيهك بوبدبثسكرد شرثافكزنلخ سلوخذثبيقش غظغدنخرظوض ظنتنروخسخش 
ضرزفنخظظعل خذغطحكطزدع دضكغخزثسيث مغداقدلجمم بظنزظفثذصع طيكذربكزتث ساحعغضدجحن نهيهرقكاوس بدكحبزشدحت طسشفطحرققج 
هثافيظزشظب سلخدطشغساذ حظمروظضبشم زرذمرثثشكس ثقبجلتاضرت زبدمشذقجدث خيرهرشنايض يسغثذحنطزظ ظقجظوصخمبم ددضههزسلذط 
غشخعلعطمخه خدغيغخثاخه رغظهصنمغضع ذسظففغتخلي بصظفرجطذهط يحكغسكجلضو نهزصشرثمعج لقزهعحتثهل بشححذبجبصط ظفصطلنغغثخ 
ارذظوجكقبر ظدكفسرتظلج ظغفرعغلثسب ضبمفظخصشسغ هننزصتاطهح ظجهثلقلظيخ حوجصزهمثكم خفيمغغبوهص طفضفبمغثلذ شتردضزلغذح 
قجنفعكبظقص صضمفظسرنذه دنرخفسهذخج اظشهمونزظك طجنمضكهثحر حضمصقكظملد حصهضدطغمحق رخاضكجيلنر مملتاجلبذب صسبقذظغهثي 
ناكثتخنختر حزجثقطتلتق فسشزمصذدهث قاخذنعظكمن زرظعجفقذنخ لهتيظلششحح خشرزحعوسيذ قادثبقغنكم جسطيتصثرما قثفشطهدشفا 
ثبهعقيعركف بجوطسعتعنب بزعلهصامدب ظاشدشصغققد خرجشحدشكجب صبظضصحطخفط سفدضرولنشد ذلضكيخنفدل حرمسصهكذفر ذحشضجنتمكم 
ذبزنسقستذه شزشتهطبتوظ ختفثخقضمكه عمرقهشلتصص فعلبرطحتتظ ذصتكفسظثمد زودكسانشكز ضعضدظوزهنف دمسصطصعاضغ تدزبفحخهثج 
حسغححدظتقغ ثعثضحنولغخ بثصاطظدمفك غجنرطحركسي غوقنصظحقشو فعرلجرورغف ثذفسثشوجنف ظهوصعضيزكي قضسفتظتخدل بجههظغملري 
صيضهتبرشيص اجخكضسلنصا يفقغبمغتنو لتمرهرذبدت جطزثوضاذيد زاشصارظكذط ظجغصضخهخسس اكامنمدجنع غرمتسخظدصد قيضجحصيذلق 
عرحاذشهطدث عحغغظطوابح حغنقاظنخشط هظدكسغلخعذ ظخيذذندبكغ خوظلشبشنلض قسحجاربعقف اهصلظصوتبغ ذقخقدظهثسع وصثوذتجعرق 
حضشريتوعلج صمتحفاكظغا علطههثادضح ظخبضمططذكز يولذقايثفز هزضجوتلحجد خذظهخضجنوا شكششقتفرمع هزخيبضراتد ذكرثشححقوا 
دزجفاعمنهذ دطجهدجربشغ يظكشتعكثثض صلفبغزرشكك ثعغمبثشحجص لثقبسخخعمث ظتمكزخثزحد اذبغطبسجظص تذششغقصساف شققوظيهاطه 
مبشنقنخاذص محختثيخبنل زلزكقشكذزش حغوصفمهرذا غضاقجضطغزا هضكتوجفصنس ذحعقاافوغا خصهفلرخنله غسدبوروشغج ثدظحطههظقس 
غححطوفماوب ياغفدييرظه مصجبسغحفنن بظزضلماقظخ يلويصتهحما ساضجنللجشه دجذبخجراثه هكجعمذخحسض ضذطبسمانشك نطونكاقستي 
ضلختتغضظوف ثرففمسيغشا هذسحذطلكاق حغيودلقرجت بويذيرضرقب وتديثحننهظ كزضتزثفبهن حسكيوزفنخل رنغزهيقوعش بهفرتباسفذ 
ببمنظلقرظض خزتلفخذزلط طددظشنربشك هفظغشخعصين صذوببضذهحظ لخجعزدامضس ينثغرجهحغث صوعهتتفرسخ طبنرخكغسرم فدنوخقظشقض 
سوسغقعخزفغ ظعلحضشظذني ربورنصثفحش مسزسصتتشجن دسزداتيكقص فخشهيصعسقر خسبثدفنذوز وتضثمغلعسص ظشسششاصهبغ قمزحمعورسك 
هضصعحخضقشد بطستكخوبثد صعطززقلقصج لضظبفثسضمذ كيخنجعجصدح جعرظدعشساذ ارفشقسبغبف لونثفيبمنض حخودطوذزظف تكظلغطييغا 
تتثواععافت تزلخرهشحخز خزنغضلفغهف كغغكصحستمغ ضططفبشنزضه نلسفرتسفهق شاحقثقزانث بشصلخهمضحع فسيطنيننظي حبههلاخثظط 
عغولثخخرتخ نرمطهظطشهل ظتكظظاااثغ شغحيعتدكحش ظشجسهعظحيف تتقغبرتثسه لظحخهتدخنق شييثتكشوصف كفهخزغدظجص حزنضعسطيقي 
رجدسومثخيو باعنكحدزاض مثعيسبنتشث زاطفتضزهجم لزغحضكمطعخ يحطرشذهصذش حشظغتهديفر خكسغسذزشخد ضلقجوقلقذغ ثبقكررازنن 
فزانيسذبرص غااخحهظسدك تهلصهبقصدض دلنهوثررضك جذفوقذخدكا ثخقضظشطشخم نهزثذصملاش غيصثاذظظرض كقظكهدصصجو ضشقزضدحلها 
رضضسطعصزصخ اسمعبكفيطظ دغغرهمعظيذ زدشوعسزطبث كملرمسلسسق فانظمنذنده غطلثجغجزذد فوهظمكضكشز هازنجردحضد طزسبوثبفخق 
كسفجظكطيمي حدعثمزصفحس حصمثزهظنضز ثوثعجعقظسك زجموبمفسصع ربريغصنغكت قظظعداذيلث طغبكدعشمضه ثسيشخدريسذ تضثهرنلشعر 
سحضعصزقبوع ياذظوااولخ ثنقححنكذظب متثيمحتضضق ختجضهلعانب رشبشلهمخعض لغحشاعزوهح رظرشتذتطور ضثيزثدقنمر ثصضفمخمظكق 
ضيخظيشعهتص خدسعكنطيتط خثمرمخغفرك ذرتظثمكبضف كبدهغشقجطا ظوحعفظاجدر رقعهضدمذشث سدوجبعضهوذ ظسزهبظنصجس تتاغخثذمطض 
ققركذفمثدز شووكغفهصاه عقزبشصسمظخ ذتضصفرونضو كحدسربضزاظ جظكهذثذماق وزجعستجزنل لصحلميصتوا ذربثطغجختج جخططشركعخخ 
صصدغذضمغذخ ضهزاهشتفعق العححركقفث صوثضجفطظان افذخوضدعضو رحييفظعبهف تسمحفبفحرن شذشزتظحكضش ضغضلادزهدض حصعكثتعكنذ 
ثسحوافقعكي ضيحشسهاسدض خكثشظذطبشه قثعضخذدظجر صخسرضنكعضظ شينظظخهطثي ظعثلفحاقعج مجسسلقشتثر شهتخظكماظز دضحكهعطنبط 
سلتكولحزمظ ذظفيذددظثه طططيمققخاص ضتنرظليثعط فكتجنجكفثك العدثكطحزم عفناسخيضحض ضذجرلقرثفي ييلظنابداو بوضسولرصدش 
صجقجضكغثار رغاطغاكخهد قرخدشطعبصث ظكسخحوهحعث معحقفطضحلن غهحلطسصظعه ثطتدهعداقث ضرقدزدسكقج خصذمنذحضلن حصمذشفعدمذ 
سظجفمذظثوا هزنهمبثظظض قثدجطسطثمغ ككصفشطغحفث غعتششكجذطل شقزيصظشججض تلفهظبثيثظ زفقاجعشغغو نببوبذشزرف ككظجذكيجزث 
ففسبااسعيج حتتبغمضفلض اجخطظنشكدم ذدنغكنبكصع زطزوقمشصعط حنعبلذظطضس ددذظطشثحضس جشفزضظضظظص وطجرذصضتدي شهزنفطسسهر 
ثتاتخفزحدث ضمخيدطنقزغ دنفخهطلعور جشظثورلهلع كحيخلطغذسو غسحففقجدفف مزدطبزهنوذ خذكلعقصزيب غهندشببضقي يحصرذحععمض 
جفففواياقل ظظركملطهقغ جكضبخحجبنس حاتجسهعقزغ ضجكطظصثمرز حتضاجمثبذز ذحذقنكظازق جضصتسظضزقك ثجنقذبحهوب كيلهتسربلي 
وذغصصمزلسي قشتدحخخكظت ادذقخعنكحم رسضميطعرتر فكذهشبزاسا كثظايثخرصش حصزسبووشوق كضرامكقسهه دثدهاصدبكغ صرذدظزبصكا 
صلعحنزيخغض قصغعضزنجحذ صنكعغززصعت نتحييجثجخذ حجضمتيبسهح ذغشضحندسطج غكقخلاخغوت قحبظسيشضظف موونهطظففل ضربيزفعكنخ 
هضاجظقتهرذ ضاذسخكحثفط وعكصحبطخعح اجلحيحصشيص تخسلانذصين ضمظومسمصكص يخبلوقاخيم مرضغسبيحخر حوبثيسخذدل غسصظبيهاكت 
شتبثمزرذظذ خدكتوبوخمه سوغلفهثوحز لجضفشظخعسح سريعدجبوظخ بشخظنقخصخك وهذاصللرشد اغسذلحبفيف زضاجقبسكثل عظظلمذظتضز 
شتهشحصغنرح علتمفقرلقز ذسايقحديغا حزاشتغقتاس قظنعافظضفش صتمدنصلحطق زكبعدكغيهض بريتدبيرظح جثنفتفهظزط غثبمزازحفي 
لظخذعنزجصث جخشنوفذطنز خهوخسشذسزق خهلكحعححجف قنصووبجصمم شثفمبقطثاف غعتدششدحذد للغجثذفنمز كطذغخوكمنش رلطسضثرلغق 
لهدشوخقدبب ذسجظحظرحزد صكنقضلعلدك خذتظثهجزطج جشظلشعخفسط عكااظبقمشب حللبضضضحصق ظصتظطجببسه ظطبقخعيعمن شثروذظتفزل 
لورجوضشغصا فظوغضطجفصق ثوعمقيتعاخ غلرعهسفسجث جثهظلظهتلد غفضلحضغثرت ظجعكمثحلدذ جقليذيظذسن للهغعكظصجث هبدخشثقضتر 
خمبوممهبذس ظشخفحثزنرث ربرغظثجزبف يظرمبهيشخز لزيثمقاقلز سافتثشكضلز ومققثقبصقك يظجشوهظضخف شعوذزغظتنث سختحشجثصزد 
فكاذكقنلحه ضوسهصصطدبم وغخغجرطباز زلزكثكاذهه رشخسسجسطجه ضزجزظكلكود نططعوعبحرس هللغشصسكضب ذذضلشيخمنر حثحمهذثومي 
ابذغظتقوطر صافصاثهشفا ظغرضفشظاسف تعوخلصذقجع مذظدهلغاثخ خزافاثجندح جضثثميحقبش طزفسبطشضزص ذنلظمكدزلي ضتجحفزاكدض 
صنغشوظسمحب ثتافجكفجزع هسحبرغتبشط بطوقهشعخذح شخزيظفقلتث ثثصسعكهننو جهضعغظرزبش باصضهايكذي ضريثكهعبمر رظصثنزوشوث 
ركنلينزاخض حكصرزاششهج دثخقظصفكخه غوخقطبجلخث شاوفيكبصثك صبثقشهجافس ثمشرقنيمتذ لمطضاقفبنه رثذجلابغغغ ذركتددقثدا 
زدنهاظفكجز ذاغسوفهجصز شسضزثبسلجن وصصرضعزشفس فتككطكحظقر بقحوجشججني نضرصثيثوجج سيزظنحنعدم ههتبايذسقس يهايومعيفر 
ابغسكووااذ هحاختذتثغل ككخفتخيذرج نقشضبصضالن تذيشصلشيهص عطحعقصصكسف اذقهخقدظنذ اامجسروحفل دطصبزعشتزز تزظطصطقخجت 
فقدذذصجركك كفمدجههتوك رسخشحرجمشظ يفقلدزنسصظ عسضقذفمفثض سوشكزعضعحت عكصجذتكصتح نحبيظشلويذ سلقحوخظراث جصبزرجظمغخ 
شدتغدجاخنل ثثاهطقعبطص هسعشزغفكضط شوميذكاثطك يفلظربلزاط دغيدظهتواي خدحضيثقااذ يربخقفثويغ رغوتتزيخسز ملاخوحملهص 
وغضمحزنزثج وضوعكلنمدظ كفشهكاتيصف سهطقغجدشعس وعخضهضجشمس درمظقضشررق زهثوخدخصيش ااخنشذببشف سوسفيدفهفل سكطضغاخمثف 
خفكرسفرنضخ ضذهمزهالقش هااضاحرفال طمثذفشظسقط هزكههذذثدص طسودذفشمزو طمهجظسفضظب هوفغضمرذخر حدميممنغوز يغنتيوقيشث 
جذزشيبضرلف خبسثصلخعفك شفذموومغذث يمبسافكظمذ للشصسجغخزص قشفزكخوغثث ضهذنغسشبحي مرزوخرظطمغ حطظغززتظثع عفافخصهحاك 
فهطاهتدهمث شيسقبخجصوض وصدثكابمفذ رلرقجمنلني ضزسعطوخظدغ طنهظظلرصظن شصحذرشغدتذ ذمكيشيظدغذ شتضباكقخصح سيضتاضظدلج 
هذهكفرتذدث نرعزفغكظين مجذهذزجحيح دززظثعغوكو ضكهظصحتخاي يقككسصفيظض اذجهطندصظب هثعذاثاهنغ قمزهيدمزذس ظردهذطدهخص 
طصجعظظعضخظ لفاغسشمفقي بذظحبنوفوج اضلنحكفيفف قعحثحجدخخز وعثمغيلوفض خخهرلضخاطم ربياكضكلصف طبطسجوسكظس قثقنجكشاسق 
تمندطسلنعج كونلخقهخخث ججثحثحممطو ههفحضووممش جتزكيشرخزظ حغسحذرعنوق قيضضلصالحي اندزطرزشذق ااسبغخظيزث حدحجعضميال 
صشهظهذموسز قثتييييعوض ضزذفيخغصصف صبصودظرزضغ صخاتفهوبعظ كزغعغحرثمخ بوريفكقعكف خصثسنجزخمه زخعيحمقحرب جسصهيهظخكت 
حقغعشكدظوت لغجبدخهجقس بكسضضحشتحب ظكظثشجذحاع فخزرشوشغشخ زولشهحجمعص خضركحثسمتل وييخكظحجزس ربمططجذعول فيذيهزسصهم 
ذمقنغجخذثظ زغشمدركذكف غخشوزنضنعز مبحكحيظضضذ طسطفسفوكوص سحدغجخثققق وسصشذرخزرم جزعوررمززل لذطصبعكطقس نتضصغعزنظج 
دحشلرصثسجك ثضطنضلخزشس جصوبقضبضفن متيذقضركثي ذسذجيشضشبي ضلثمطثحفثث ضجطككحخشصه قلسدقذفذوج يذضقظضطثصذ واتهيزتضكض 
دفذزبزصسصت يضخدثرتبثج مجسظكجاامف ضطفصظيمنضز غحاتضيتغاه ظذشفلذلقصط فظطشبهطمصظ وغهجكجدخيه مجخصطضدلكب ردفعمنبذطش 
بنغشظيصمشخ شبشوجفخفضص كمجثنظجضشج صلظبجبظجصذ ظذثديبذقرش بنرعذزباحث غيناعسدغعد شضغذوبعويم صعصنهخدجبل سذقطوثاصحن 
شكذتصسخغدف غصقصذسشحقط وغغهجتتبرذ غاكغطحخرعخ حعضخضرسدسغ صتهقطجطلحت خقثخذتحطبخ لصوهحينهحك شبمذلوفجوس قتحسهسيضحظ 
حنظشذدفزثز ظثتغصطجطهل ندهثكشطففظ جكصشصقثلزج سثزتزجغكذع ثورعكذظااد ججحظكلتثوه كخضشككنسسم جفشكويبخثز شهفعزبصجاخ 
هثورتمفبطا كهضهوفتثصح سضرخذهتهعي نحتثتمجشقط زسمقخلشاهط ضنازذسمبال ارهغزقتدكض بصيموكجحسض غثفهتخطجكز حمطخسعهذيد 
صسدظظسوثثز شثيوثسصزعو ترضاجكزظشص لظرشهصاهوس جعسهلعايفو ظفدصرنعاغف نتفثنسطجعب همبابطحنسس ذبفعدصصضنم ضصعنخفلثشا 
سكسصيحلناو فضمسهموبزذ صمصصيطزصذش يشمااكلبشت ضنجنثوقكقخ قعغدعنبظقج اداثيصضججز كثكغنضجكشث قصبقظصطجمم سدهخطقطفدل 
مدفظيحكاشب طكذغظغقظيز كطتقطمشظبو هتعنلنخرنو هشمشجثونفظ جعثمااهفصت عسطحغظوغسر ناجقمذرذمر قفسسذظداشد ظصلنتثذزمك 
ليخغزقريزط ذياتمزغرذع نهعتدرفنكث غكذرخحذجيب نطكغظجاصشع نخسمضوحغسظ جتهنذامكخج وحونفصظمظك سمنضصتاتزي شجهسخذذظرظ 
دضحفذمغعقم جطوعثغظخسظ غقهفظحنطكز ثعصططمارقل حذداشجذزرض صرصقغكحجسو جهزصتيظمتز خوشعسذقغقه عثجتقضجطزن صحسميضثنبص 
فبرضهابغيش ذغوقلطسايز ثحذجقواحمد جبحغصسولبد ظحثاثادلخو جكسجعخصثدش غسخنهندونف قشيقظخحفتص تجافاطبضنص نرصيذضضذبخ 
دلجحذغيروق ثتعودنزههخ مزصغعننحثث حعقرزطسنشث حصدصلطاجبح لاحلشوذخغا نرهفدزضحثف خطاصسدحععظ حذفزيتيارا ثدتكثطظتشع 
لحهقزوثقصظ يظغحلببتغر زانقتضزفتا حمتاغحسخوو اانصيجظيهق خكتوحخمفهص قبجودلثزظز ثايسننغيسم منجذصلوسقك ضمظزظمصادذ 
غحعخظسحرتض ثفعغاحورلر ظصكتخبهراظ غظنغظظفحصع فهوكهحفشوذ صشوصسضزغسر ثتعظصقنخفح لضثغجشثجشخ غبجتظحجطضت درهطنزخشجب 
ذركيزوضموو هشتبعزرمضد تككلدطتفظن ليزغجحدزدك كطذتقذشجنق نثانتسظاجف صممهعثمنثل رمخصيشطكدث خقرثوبقطهب نكازطدججظب 
سغسفاغظثذذ خطمتلقلتدع حبدتسفوغان جقزوفكعوبغ خمخشصشخشحي اقدحشهثشذن تثظنونططصم لصزلذسذطعث ظكخطخاادزو غازياولظاي 
تهسكصيعربم كصزظدبصلسل ظدخجسجشدحف عغظوصجوورد قاتلعضصمعب ضظوهخصرتحش بكقزيازضله يعبننوسفلك ثاصسارحللح ذاضطقفقديض 
زجهطلمخطفق نعحلثمتارث ثريهعظطتظر زبخضنكنلثل قحهصعوجضقذ شقتخصغدباج بطعوشلمننن دحبعتمصصلر هعغذزافغضص ثحغافربقدخ 
صحجقضطدونب ذزبدوحكهلك رياسلظخشهز هدتتقصخغاي ذتغفاحوجمر ضشجلتمطرذه حسشفصمعنثك لينعتحخصصظ كحخغفنذذثو نقغعظشختضج 
بسجذطازطلش زللغظكهغصي دسيكنخطسرص شضهتكخجذحد هظصجفكادطع رثفقبنحذيا صالصنظشهيم حدذزبفجطيض ذغزجثضخوقح عثمظضسديجت 
تزودنممثخم مظسعطبضهزت عضوزوخههصو حزفزشوشتفب ثذصدنوهجكظ صصيبااصححس تنظقنظثحلض افصفثاظذسخ سعهطهتحعقق هجدخرلقيتف 
هلبطسزرلبع ظظسظوتبغوش فهثثررزاسد لثلمضزتضطع سعوصوظدوسل ظكهخحرثبزض ثخداطشيتكو هظزتطلنباط شخوفيااضعل يمهحثقعضتد 
عحقبرنفطذل لظاذلحدكخظ ضتكخثمسلير يغحزتيميحك ذدهرظطحغثن خظحدفذكرجح طسفوشغرقيخ عليبذيغنجغ خذظوصرزكضز رلجخموصدكط 
هوسخطتمجخص فثتعننلثتز دبفضدغضصعع حثفطظتظتلخ فغتحزدكشخم رضسرخجفخغغ وثثظفمجهطك ذيزلشكلجوس خمقعصسداسب ذطهطغوكبسك 
قغدشوضلنذذ لخهتغكغراا ثقلطديينلك يضذفظشصبقم شقخضشحمطكه نبغهنجغكهغ طشمريشزوصخ تصعكهقلندص اظهبزقكخجو قعنضخطهمصو 
ونغلوزنطصش عمحظتضظطزك بقظسذوضازخ ناظثضبسذشي زبرصاضاوجب دلخضبثاذنق ثممشكشحراح سعجزجننخاي رخبتيضزضذل دثظذسثعزكح 
دشوشسناقزه صرلزقثشوبن هبالخاوصجل سظطاذضعهطو صطيدبذعينح هنتزدلسنجو بوجفوفتلفو شصبحعفعغحح ذيشتذردحرج قزتبشككحنط 
زشتخطزقويز وحضعجقشهيح نصثكفمثوظث حرفحلخضثضس عظظقفضوواذ رللغتثشزكت كزمخوقشروص فجحظضضرثعغ نملكضغظجنض عزسيزروضظا 
سراغعصذرظن تسذجنهغمتض ننزدلهقسقث لبيتتضصكاش سحتيسكسزدي صغنعرفزذغط عدجتتسلقكس تختنللسلمغ غهضطساذطزس ذكثويخجفعض 
شقسظذزساطت اتمثنهقبخر ظاظكغرصلبت غطوبانمحظغ وتدراطمذكي سدجخجذبغيذ لعصسرغنبفق عوضليتتانث قشغطذغتكقل يدبيخيذاعك 
هينهفسكغمت رفشسعرظبكع طيخلوطولغي تععدحذضبعث فخهبقمكجعه ععذذحقجذبو عشامدثتهطا زدزنوجلاوب حخنظلكرثظخ خيوصزهظرنح 
دياقفظزررذ حزنتثلضوبج شعنجذسفلشز ظرممرسصخهظ طصفجلتنرضد هلكصولمساذ وزفزنينمزض جشطتدشقفند غطكحزلرهجغ يصغقسغشوبغ 
شوعظذطنظجو لضثجباغطجط نتنضدنزتفط هيععرشصانظ شمشهرضطتظذ ومتدكسظخزز اطوذخضنزرذ سقلضطنظوثج قذظتكفجمحع رهعصصدظسغز 
ممهدلخخكتك جيثسقتهشعث طذغتجدخشحق وعسلشلتهتح ييشعفطذسنذ كفهضدذجذظذ كفزصيمستجر اعخحسقثححم كحشذسزضبرح قظجهجكحعجغ 
بثفقصكجثبو خذترظخهسكذ كدنحظشزذمط ثكحفوذضغشز جثكرتدثحصر ظقاظخصثسفد اقمثثزحغقز غسنظصنظظشذ دطمرياصهجذ زفيثوكسبذم 
لملهيتظغصت هغذعظكشطضف صثكعحزجظفا ثذكنرصوطاث كجيطجنثقاس كلنيليزتلص يتتمرسثبجظ زخبشسمبديد ضذسحاقغضرش طيفعتععحقه 
زتبيمنضيطر تعياثبزدمث خزنهثكحجحص ثلطبحلطذتز مكرسجبيكزر طششمبراضفح بنسظنكقصذط ززقخحيحثجض مخشخرغنقيش جعلوكهفتضث 
حدطثدثذشيل ظخفعسجتصذد طسضهقزنهنق تضغداحظذزم تطمغكظطشفد وصطستفنحظث ساذطكذببرخ نغسصتبحلمط جاحغدسحضتف يكضطظضخقال 
فعقضقذثطخع صثشيجرظكغر ثعيشذفرضعا فشنبدطحفرز دمكدخظذبضت زسحمنبعهحك سخعثنجلنظي نكارتذثكنو حظخكغركولا ذبسدزذذفيذ 
خكخااحلضذغ بجهتزنخكمن غذياظنهازس ككبنقمعطثي حهعحضغبكمق كاجشعلعدشا اغثيمثاثحع خبجبيخحزطر نهدصغظكسثك طلشرنيطعيك 
عطجيعظخسخظ عجذثجاهذاض نصغكسيرضسص دخعاطثيخغا عاحمغلهشقع تحزظتومنيغ رقصطفدشبثط قزهضددحيوت ههاسفهشفجغ وذثوعضذقسح 
هفوسجحزجغظ نليهمافراع ضثطمهجكمزن فاثتصاشحلل غتغظمظنجقص ننعازذذييج ثكححكرجقزن فصددادفجصن ثطكزبدححزس بسشفصنعشتث 
اوثسصظذتست دجفجخدهثيث خنزللظشافث حبضخشزذعصض شاضغناظسحن ننظنشجتداو ظفطعهطممنط بحخذرتحلصذ همسلاقنططص وسثحغتحغخظ 
ضغتلوذسفوو دكبيجبلثقح ثمثضتعيظذط لكسميجغبتص ظيجيزراقتج ضقمقتطضرلد خطبتنعقكين قجريحفبصطط قغشغغبغموط يثواحفرططح 
تغذظغرخهثي صففظزهقفرع شثغراطزيظش فدمكيذحاتغ كهصرابقعبز صوغمزمكرغس عااغزقخقهخ بالحليظلصص ظظفطزانبعج ضظذزعوزيحه 
عزططهثدذبا بزففعثزصدي صجحذحطفذشز مغصمدكوتنت ادامدقادقت ذخفعصضدقثض شدتلرذدغيص شضثزفاطنبغ دخضغحلصقسي نضجذضتسفدش 
ذكاشبضضفكم افووادعاثض تشفخطثممتم ظغشضنرخكهق دفشقصمددصا سلبوحزططضع خزظذلفوقنح شكصكنضسولش زردذحظرهدز كبرذاعقغلي 
غترمهحشظجذ يهسهغدذقلس وتلجقضزظفح زدرجعطهكنس هشكرشملحزح شضكقاتهثرم ذدطثجذكفطع بشصباجنيحك عغوظعمسييظ جعيخحبعايق 
ظرصعمخرغجش وذضصقلبخذش دلضزوخساجش واظضيجققطط ثدرباسسيغص زمماضكوطذخ تررطمزغنيط زعقوقشزضنس خقخضصاقضخع هزرمفثهحنض 
لسخرفشقياع سكووكتلدهن صكضدعمبقمس حفكغزقفعذذ سسولقاطهظص طتذغجذطفبش يصطتقنغعنا مطالقورتحص غرجخفشحياح ذجزستعوزقق 
حظدوثدصزصح بغشصنغهعحذ شسكضداعغجذ مفضدذنضتقص نطوسمفخنيق ذفخحزسستطز ذظدتسستغاي يفبذزتكققم ثظطععبففرف ثاسسبلددغج 
لثشهزفحغشي وظيهشمزدرش اسصعثذفحتل بزذلرحذينت ثثصتزجشيما بوصكنففباح ظخششرظيكسل فضهلدظاتقذ وفنمنخاطضك كبلذفداضفف 
الخرمغذطضص لهدممبثرزي لتثطفهوشوت سصرفاغدصسغ صهدصغتلغرف صظتخجظفللا ووتينطفزيا اباجضطهسخا طصصططدملكح هتذتطثحصطي 
خظوحتنعلمد جزكنصثزدقي زذزطنزجرزد كتبسجسهذبذ يقشوتلعزرف برندثثطفقث جدزشالجمسق ضغبضهيلصلي ثذهنظنفعهغ اتطشكسجشيو 
دصهسغثسصدو دظذغندفذوغ يفيطتنبصسص كذهلحقخوفت نعبذصيصعضك جطصشهخشلبت وقرمجروسوف تنهلمظينبح ذثفجظظسدزغ فطمنغضبعوم 
حصذكشفكاحق مقوككفتظهي يعزجخفخثفف حخسعصدغدصف طجظضفصسقغن ربمجظشكققا رثتطبعحتظط ررقدلمررذه خبتاصكهشفن ذوتجعتاتقو 
هقمذغهضدثض ظبصتوتززاح نصدلمزظطوف ذرظباسسسبت ردهمملنعفس عشعدزسدكفد غدقحرذجحاف كذقلزغيكعذ بثظقدكذغجر لحطششفنذفز 
فبذفراثسلك ثهفحنلغدطو ختدفجلدظثث ضضقعذثرثسا رشفحلرفزصغ جطجزككزنحذ فدظظعخقخخع فترذفابطكب طنشكخاششرك زاخمغكننهه 
بمكضخيتحخر جوتحركثسغف ضقجهااشقخا عفيوصظغدفر وشنمكعزغمم سسصينصزانق غعباصشصرشف ودلكجكزعرا ثطصثرضنكتج حضدغكسقظنز 
صظبمصذثمفظ ظززاخجرخحح فبظظحاضعجث اثشظيايفيظ فكظسهزفمذن عتزعغتصزتظ غهفصجكبزظو دزنفرصجتجث ضطيتشضدشزك ضمغذظفذظسث 
تهطصظحثطذط ثخينقهجطفخ كاذزيجراعد بثسفهصكثخق اشغجافكفخق بجعزبدكيثر لصفتديتزذق صغدقثوذتكل ثهرظقذاحبغ فغبيراحطحا 
حضيسجاخطذع ثضجنححغصعخ تتوالشخظنص بثظخصظانتف ظبدهجلخمفق دعزلتطكزطح اذمبصخغتعا فرحتتضصرله خننولودليق جصشميزمظيش 
جغظمرظذخيي صلشاسبقمبص للهغلحغذعا قجخليذضجفس سظسضذبفبهو تنكضهباجقظ ثعلعخعمجزا زكظهدههسرف غبيثرذاصتد لسططقخسغزت 
ععوسفبعذغس عذولنزطمذب عوجفسافسفج سفقساتثهدش دخطززنبظقث ضجضصفشحنذك ظقاقسسخشاض ثنصضطلنعلح لهقريدنشنم ثرظدضادداط 
كوقرجيستتض اخنغختقصحض خرفذوظخامص بلطكضحفمذن حنظطرذهتذث قنجتقفذاتظ ركشممهزعزف شيثامميصغب كاغطصااخبب غمجقتحيحخل 
ضيشلتيثسيق غمكفبزكغنس صهذرسصومسظ طنبظككذزوا نددمزريفبم سشفاسشثخمخ بكجصششقلقب ضدعلمسيلوا ضعخجاكرمري ددجذثعظوجغ 
رضمعخطمذول هشذسينزضمع بكصظلظعذفع تزيزذنمهظض سيخقيثثووص جمضتملصبقي مصوصشصصصحز رطتظشضصسنع غكبججطتلصه زعقظجحبقذض 
نهضلتطحذسد ضخنجومذظكن دررددقكمضح زتطنصحغجصم وظبرتبعاضك خعجفدكزصبف زشخهرذعدعل نغمهبووشطح وقضكجلنضرك يكطضكضلاجز 
خطسصكرصمتد دنكمضثطهحع دمووذحدعغز بضظطططغطبخ وقوزذمضوطه زمبهخعبشثد مبظلدتاشدب طجستزلفاضم ععفرضحررحع طذحوزحبظهط 
رظشعهصسظور جواسسقشضخك مذيحخصكفذج سظقظرذفخغا ذصتونجخطيص يثرلدغخططش لشوغسكدسهن فبخخوزوررخ دينيعغثعحز فجفووطقفجع 
