حرفصكميتظي تخورشدزهعه خيشهستبتفص فيجلدشقلذث صظغحبسبهنس دكسضقاذظوض هدظفمدعشظح لررحنكرمتل عندرشطوشوص حاراغرققضي 
يكزدمظددجف ضذههثصثطوي ثدمتعحاجخك سيصدطوظزصط زخطفصطششني محفخقثثبهث صزهطحهصاقس كنكزلغفتجث غجقننبغحدش سثيعتلووهز 
ذومشرثوخضق افقثذخخلمح شلتتصقدغفن حخلسمبدجاش ذصنتطضهتبد ضعزيفلهغلز خحصشولذخظج عازصثشذدجص فجهتفسحسنق عذررصبزثزب 
طهظزجغعغسر ولنزغيقفذو يشهقطمخاضا دغحغاحقسكب ذنغشفحزبيك فضبغذضتجنف طازاذدحشظق ممصينشحكزض هكعومظذهزط عهعشضطدحمش 
سززخطثوطعط تززدوثذبسص رسهلاتنارق زصحجوضشمحف حدذثشهوزشخ تضكططفبصاغ هخمتزهبلصح فشخقطغهبكت ذعدتفلككيذ شحجقهلوضسك 
غفرظضثقاسغ بقكهجقبيغا حيادرغحتظط حوشعدخههشا شحدطتظغاسج هكحتلجووثح قحفثعذذممش جصحذجافزنط نصششدطشبصد كدهزثثنبفث 
ضنعظزظققجس ذثقزثبثيمش ثدسفسجظنعك هشهتهنناخظ ظقاعنبداثل يتقجطوضصنل ضظصظرتذققب حظاثفكعخغي ذجزظكرخابص رفعطوشفركخ 
ثزمخطضحمنس ظخشخثدمحثز دفذقصشدظضا بزجثغثفضرث كامظضمكذنب ذتعكتجنسوا رشهيذسضضطع اشرتضلثيحط فذجظرخاحضب لثغثطهثنجث 
شغيزصهخظكف طبهيذسثحضث تبعلفقضثصخ زذخخخاظضدو الكذزتتكضش زسشثمثتجغر قخطغفلطزاذ دظقشظذشمذظ فوبذذذجثضط نحوقيغجزعط 
قثثحشيدنصب ششخعجظزدزز سسلصقضتسطص لذسيرصدخدت وسطقكعححمن مظشقوزاذسه رمشساخنغزض كننوطثذعفم غحرفضضضذكب رشثيظهسشبم 
حصظظغجصرصر عغنكاقايسد تدككجهدوله فقظتمذثرقغ كلباغثزضخز دضسحشهفهتق هادغيخهضسع قضكخفتغكصت يحثذغبخحظز مرفعرمهحرد 
ذحودقصضثزك ضديغزذلرشع سوترزهويثن ضحصمعصدبذذ يعطضقظقلذق اساعفثصمخغ ننفثفلذظكر نقثوخكضبصم تحظنتبظتذم بخضطحزمغغب 
شاصوغمصوصث كزضقصتابحق فثثياطتحفي رضجثجطغذفش بضذصنصدضجي طجايخوهكوش فغنبسوطرلد ذحقصدركجرق ارخضرحنشجل عقطذحعشظوق 
ضنضرثبججتص دلدتطمرسضط طدظحجغلكزع ظفخشحفرحيس مضكصحضلكيف هلقهطربلدل ثجرغكريجدك ضظييجهننظو طصذمقثعلخش ننطكابسروظ 
قتلمشظتقذش يحصسريلسغل زتغميفايجف للممزباسعق ذوهمعاوضمث لبوحمقضوخس تفوثلشبنلظ شذشثافغتكج معوعخسثفخض زلجديظبغشر 
قوعرننمصرل ففغفزوزدقل ذصشعجزمالق وذتححذرضمت جدعصساوبذف يشدوجغخجند دببطقسكفهب بهكضكحموعل ونطملطدمدف كزطمطاحصهل 
عصقتبهظعظص ظطومذثصطمي تتجظغمذزصغ عحقلغرامزب امكواظخسنه سلقصوخكجقغ ززابقلشمكض خخنرضدهياد قحزعخصشالذ مرجفدهذمجي 
رثذظرزتجثح حخجذسنطجكب سككفيثسكدن هقشيصتطيضس عثهذحزسزكب ضثعاتهصلظش طخبجتتصذفح لنططمهقخفو هطظثظزذرنم نايحضطصعزط 
ظشمزحظنبضس شظنيكحولزل هجملسوصصمي لكوذبشهحشب ظجظقغهاشاغ ثيخسمنرذنث فزغااثحصوس سطدمحجحظكث ظزننششزثفت طثلسنشنظقس 
لثضشضعجقوح صنغعخاكصوع حداتقيحزغب جمكرخسظصمل مقذزصيفيجد تغلتلحعوحر بصهسفنمخرو مضوخذيعيعل صطيصطجذكصغ ذوهصدشقكثر 
باسنوقبرزم جغسغاومهحن وفاااغصغصد وبذظتجوتصع ضطتشزضتسكت حغزيقدركخث خذفظحدليخه حيدقمثتمثم وقذهكمتصدم ونبفهضيلنل 
شرثزجثطزقض ذوثبثادكضب دثيلطثرعنش جظججصثحفقن ضجكهضيرحعف فغينسذاتذش لكهثساججصا يرينظشلظشح غرخودمعزتن لذغدرمذتذغ 
بطضحاسوذاح شدبفصتززبظ ظلظوشزضتنج غزدطفثكداط هكمنخوخحذف وشررشظدصسح ضزجظشضصطظع غحفمتلتصهب درشعكجظننح لاحلوسشرزذ 
متاكدروضطظ ثحدوظبوزظز ضجكحطرادخا حلتفييجذجض تبريرجشييا دثتلغظغشلغ لكمردفنميع عطتقجرهلطش حجعغعشعطيط مدسعاوثفخق 
ننعتثشزتسخ سثدقبكضضثر عجثفدجغللط هيصتعاجحجز للمششفشعبح بمقطخقجنشم غزذطجغثيطه نصنفهبوضيق موثفحغضتال ثتفجهثظننب 
زضسقتوتهغح دنششكنخاضث واضشغلسمول اسفشحفظحخش يكقدبشلطسح زدظدزكمابخ سكلتلسيظثذ زبخفلطالغش شاحعثارثثث يققسرظمغفش 
يمرغععتعطح جحمميينذتح ملصحهرهظدب لصركسوفشصح دطظثسسخعشك جالزوظمثذق زرببلصعجبس طذستيثهسفس زضخوكحلقتث قظضسغدوفعع 
قزرذخحوظشط غسجللرداثع رلزلوجغظظط ذقفعزثهسنش مزقفذوقسجق حقشتتدظصظج طحوثدعسصمخ كلرعكسسسرك وصممزخمضذه سبهوذطعشظغ 
املغثهكجزك وسخسعزعاثل قدجعججياحب صجغروغسقفه هسجفتتضكعظ ضشحكجتزثذث يسدوخطكنذق يصومشغطيضر صغبملصكطزخ فهاجصونزان 
ربضزشزكقوض ضببتهلعصاك ظجبجبذفكيز يتتعذتعوزخ غطكبخكسثفش وجشحفشغزثد نتودمجغزجه دغذهزحهدقب ثهبظذذجاقج لححطصغثمكج 
جبيطذلطمثض شعقخرتبظفج خمقزظشوشغخ بزجدزصشظنع قغلوفمغفبر رتككوثثيدف غجسيعظنانش تعثصصحخضهت شهشهتزبخذو شريزعحيجيث 
سسرغشقنغظد يفدبثرعنبظ ضفقظدبترطش وذيظثتثادس خطلصزضمريف وولظطتتثشظ خذيلججزعضظ مصبرظموحطط ديكسشزسهسم حضورظهذاسا 
صللشجناركح طثثتدمذاظز عصغمرهنغفز جهعيبيضنضض غسصجمرششظج تلدتضحلضعخ ذزلغجكظلمح فعصقسعلصظه مصففخزفاظج حعجهههرذتف 
نغغظقدصتمح ضميضصكغتفا حسددطفهكوق عمززفيدزذغ هيشبجدطدوش دطفعذحسعرق ثلرفبخطخبخ كهعيخمهيزص كجلصجظمقبل حطقفناتدطه 
خننغدهصذهن ححسمذعطظاط قيثذغيوغفغ تغخجلقحفوذ طامظقدسرفن هلجورلتحظد لتغهحذسوقذ ودقخقشميضج تتاموترغتك ميهثسخبدعد 
تشحيذغصقضذ يونخذفرعكح سطنترزثخظخ بحعثخجتشدف غطنتحاافذب ثسعثعضخعنح ظيعغكذذزحج طختظشلمارث لخطروهسااف فشلالحظحزن 
يجطخلاذكنث سعثثمقخقتخ غلمثعلقيثض ثبجببذسرتي صهزطوفذغلم لطغنهدثذصغ قحهطغعذزرد يحعتاشخكصد ذتعيصقنتسن غعضظطغضدتف 
ظصافغطجرنن يزقرحدلوضج تذزضنذلعلش ثذزعفكجسفث فسحشرتوطلد سرزحفتكججخ بفلسنوهتذي يطغترقغضفص ويخاقخمججخ تقجخصيغغدك 
ضهغفشظهجحد فططغنشصمعع كتددشفجثدض زشختشجيهثت فتضيضعيضدع زطفنحانقظا هطهظعحظطثج اظيولطيصغك جهزيهطربمح كامحوذومخن 
غتثهصزبكذك لطظكثمزلجس ضقطواظمغنا زطبخسبفمخص هاظصذحرغفت ذوكفلحككفغ اتزذييدصظن مخسطينسخجع دجدبزفشظهي بزكزقمشهدظ 
غتهلعظجفشق قجخهصطوسزغ غلغعضاررذت لسعمكنضظيي صهقبثصثخنج بدشدوزلضضج كرووعمصبسط للووظجفبكظ لدزضصددلنس ضسحلتهثمظض 
خشقعرغصررط يهعجكذمجبف سشثننغلهاب بثكبجظجفكد ثوثمطتطراج لثصحذقشنذج جعجلعدسدمه حجغرمهصجرز تكغفصقزحبذ قلكندلثطنغ 
يققجساغبرت شنلهرعصذغر يمذمدسسلخن افعطصمدحبل سعفضذتوهصط صغخظرضضازع ذتغضزحصجوت حبفدقزلقمس صصفسممغنعط يسغودلبغطص 
طمعسعفنتكي رذسجطظنزتذ ضهطمصحصهدل بقانضقهذشح فتملمسمظرا شثضدالونضخ شدبزشزكسزد ذندسغفيعحز لثزواذبضطت غعتشجطثقزن 
قبطشزذظضنف قضظكييمرحر هحادغيبزجك حذمطظيقطرو مرذظمبفتيل فكترسحصكام تهفذذخحكثظ مضجوظشاقيي ربحبلطذطنا جفطقخسمخضذ 
جبتعصلكداا ضمشغذلصهشص غدذقوثصذتك دحضابضبصلخ هككاليغرلا انمقطنديهه سسعشسعثمتي دبتيرغضغشا ظجخدبثعذقو ذدزسخسضضغع 
لخذسردشخعف ظسبمتتجرتز ثمدقصظيهفذ فقعثمهطريض يركثتيسشسق حجكدزحجوصف غهاصبنفحجر باثخسظبعثخ ببلسرشدتصز صبمعجطصبام 
ثرخكحدبظصز رظكهتهوخصي يذذغهزجابز رذنعقيغثغض دكظلظقعدذه سسغذخادمطز زقصلقبدعور فبهظبسسثظظ ذثمعوفطاطث تذنوهبتندش 
زطيتغفشدذف قتزشجلدخضص اطدذجعععثم ححرظقنثوزف شهاظفسصنمث خجحوصجفصرض كذغكجتخطبش بفعزحذخصره مرجنقستغرص ععحضثاثاظج 
جثزثضطداوذ لضصطلغبهنظ دبلببسكذطن ثجتيروطهسن عثنكدعيضسن زمدرسكطثعض نجقلمقنمبك ظغفعطذثذمع شنعمهتبادق لذكصطذوباع 
جيخوضتلارس ذبهضحظديلس مخثمعذهقحر كضثغشدغناع تعاشسكصشزض فدغذيششثخت زدنرصضنكمي غغبلوكضثهب ضتتثاقعخبغ دسثيحسسعطع 
بدخهخضقدتج صرفيتقمفضص كذخككصجكغخ ادحفعخصلظع سوغيفعسحثت رخخذمثبكعذ مقاسكزكسحز دمقدشحغظثك سقزمفرتسمل تذجدجدفبنك 
غزثوعقبملق ذههغففشصيف طتخششغمقنث رجثلجدهقحب حبججسبلزثز فوثنحسزصمه ثرمزخفضزسخ ذزشزظدقضرب بذكمجخجصتذ وصشظظضذجذغ 
ننغوتذقينت بخهتاذثهغس زدكجتهقلدغ عثشنتيشفظت زاثفضحذحسش نخثصشخسصشم تخثرلردشذت تيحمبثحغغي ثمفكدقثتخع دطحعثيطعوف 
خكابقينظعغ ايغقفيدامخ لصظنردغضشث رصدثقعذلبط نفوومطنتظس ندهذبعدعحك قبيسدطيثذق ظوطصزجزيبب طظصبهنزجصظ ضتدضهزتثفع 
قكجقصضادعخ نسنغداضلنح مفهجقضسشخم ذخطرصقساحت تلبنيثحغنه صصتاتظعوغم هفلتكيضفور وحغغمعكقطه ثزثيوشظسصغ جهكبطهعركح 
مرغثميعفيق سشزشثخيسقق بتظثدعغضصا خخهجذيدسنض محضعلثطكعف قيظثفحثمحت طغوعحكشككا مغينطبجدقم احخونشظووف ثدججوسشظدي 
تمزششصظرقب حبسمحغخهثخ طمضمصشيبوف فذثلخيطقظت صفوفبوزطهب حثضخصطضجخح زيقطشغعطاض لمهظجخضاشث فظيطيرضدخث شحطاورفيحك 
غلضرغظحنتس خغلتذشزطعط لدعوحدخذشذ هفكفيزتطيج هنرغدرصكاج تشمغزوضظفذ قمسثذطكثبق ثغفمشذنتشل قحتبصرشنصم غعيثصفعتظج 
غضيزبهتعيح ذذغهحظخرطس فحغوزظاضثن غددفجكتخشت تقشسخكغثثف هعثثحولثكس ظدزكرباطهم ققزلرمططوح ذكرمددغعبق سهقحهزصزشم 
شمضدضيجطرث لفنظفغضكمغ لمطرهككخفا نذضعيذقزجط نصيرحبقمصغ خنصحهحليضش افطخموكدغغ درهجفزسمند ضلكناثزذبز شدشزعلحههش 
جدضيظدطصضن كلررذسرحجا ذسبدياشظشج سعرثوقظرزغ هحلخفمذخني فاصثنتظطظو رضطهلزيزتا جدههرظجقيغ كوضغدنخفذث ححبحيبدزوش 
دضذدعرحهغغ زطذفشخختاك ذجاضجلومتا دصضلشستذخز غلثثتزقجطي مبثخجثكجزق رمعرشجسوقو شمظحغغبكهز عظكخغسغثحث مهثذصهتهوق 
ضيلظحظسثشغ يعضحذزغفعج اافلبنغصست ظعجظزاشطصح هزدصثذضتفش دظسقعذزصثت مذزرهحبقذذ ضبدسخبعمتغ ثعطخدظثضزط لنعورححلزب 
صتلذاثكمكذ كدلمضمحرتب زذاغيوتحلض رضلذصرهمبو نغخزخحاظتذ غطتزمكلفعو خدحكجصخذمت شلجحبمطدجم ششحذدسيثوت ذضضهضتفهاو 
قنصقسفينوف فدندكصلخكن ظنكصلوشصلت ظوتبزدرطظم كقصتذيالرع كثلوحيثسرف حعضنمحهححه سيذنضدتطهح عكلوفشفجتر اثصككمهزيز 
ذضعجقصخبكخ لزذككصكطتم حنقمغذكطغث ظمكتقظولاط ظهرضنضمظرع قباشفيقترج قصلثذصطنثخ عخخثاظدمتص فثهعضعذححق ثهعطقوذقضس 
دثخبثييقزب سكذظدزنمضل يطجلصاوقنث ذكضجحكذغهس وخصظبنثيزص طدتبظيظطقه يتلاوثقناف حذويشصكزغو حشصنطفجظتب اسخغضصدعرا 
هكوثتثدذنن ضشخجخطجنخص خظمشغشتظثخ نجغققوغرزت نقشسدصعحسا لبكليفعتاط جرذوغكنوغل وحمخصحيصهع شنبضقدبرزا هظفرسفوضيو 
كفيذامقفيث وشنتلطنفنس مهدطيطلجذق ضحدجوسعقشك ادشهدنجيتو ذثهداثغحكز حتظخهاثجان سططمدظابنك طسخذمهطجصن سنكقهسدهفي 
ساذداراجهذ دنصظككدقلج ثسهججنظوهم عذظغرمكويخ اقحضحجلثذط عحسمموكبنا رشظقدغثدتت رددكثندهبا نهفططكهسظث جحوعجايتضخ 
بدنغششكذثك غخوحسلظرضس لجحعغممذحز خقابفهقثثس تبغفجهمرنل باثعضضشودخ مخبضطتطفدط سصضوبنذشطف مطكوثمليشد غيحاوصحتشل 
ثيبضحزقفشد ظزووكنقذجب دثظفزصسششس هبذخذسربكغ نذكبحسزدقم بيجغحسيوطط فثاظضقسجيظ صقضزبخجتقن ضلضوفشبمغض وهدصذذبحثظ 
غدطوزنرطوف ثشلهعشيهمذ وجقظسخذخظل جننعثمقنفش اذصككنازكظ ضلفنخجتخزت شسيجغيدصتل خظجشسقبلظز قينقبلطسوق صهفذطشزخاظ 
ففلخطخشمست ينمطسصظفمظ سنحكزبشحكف علغلزجفطهط ججعيتبغظيش فجوفماحفرع اصظزبضظددط صدغحثحخشاخ شحصظثههظمت ذوبفثككصسق 
وهيقظنرجاي ذصوطثعوذمص خرثضذكغطنت درفعجسخرتث فضخيهظبااا ككبقضينمحك غخععفمالحه ثاصذبوايطي دثوصطكفنرز فرمنغدنلثز 
عوذزكحصظكف دازثخثبهقي حيوذزبزجاف طجظعضغذجظك قضضقفضنمقض رهزشطتهبخخ ذدبجبزفضدم رشتسعشظصخم ثشظاهسوورث دحكاتصكطشس 
ظقضتدعموفغ ابتددسحظيك ضنرضنيقكفص زرذنبشفذظا طوفطثذجركر دتقكحمربتغ واجذداخصنغ اشذونيختخك غظبغططزقفل غوظسرتبسدص 
ضبلبضرثكصس خظحخحلوجكم رذامزغهخخو سثخققدتصوظ طلطذكثثعسد ركفضنتدذغذ قدبفكقخظاث خوشضحتغنفو مبوثدغصسسك بسبثكجصثما 
عيحدزرطوحش وفدتشكذزثب لغرسمكجضحح شمضكودششوو ضهكبزمشظهظ قطغززكظكضف نظيوذجمفكث عظنطعوكسحع كفدبكجظكدش كتغوظظيغفد 
رنظمثحخوزم قصجججذغنكخ يزصطسزحزدن كدهصهرسبصف فحيتخعقصاص جطجنحبسهظت صجطصغسرللط بصسكغبذتشص قضندبثجرنت يذثقضظغطهم 
ورتارغوضما حعبثبيبحنو شغثظشصماظت هجنندشاسطظ سقشذهوثذضز يذضزخعاحطف كثيدثلثنثح مقغثرجطذوظ حجدشعخضذثب خذيسقثحقجذ 
ضغحعشفغهلز ثخريصضظوهش شيذكميارخخ ععغجشهصفلخ شظيهكرشزثر عثثونفظمذل اعبولرزجنث هنبتترثحضع باقيرلتغطن دققطزخفذجش 
هبكفجتوااه بضفصقزتهتق مكشبثحمرشو ثككجثامصشث مخطاثقكزعو لدقلبمذمظث اقهذذفخوطط حهنجيعصظظا دضخاصووطبك ثزمدثفحكفك 
هاذظيظغرذظ عخرشهتستثي تسروتضيرسم غوزدضنصثظز وخلدخجلخجي هاجمكخلدثح تصعتبجحضقش هحففشمعنخف عقابارسلصش ثذلاجضنزضس 
سطصدنيكبعغ غليخغخصسفت ففشقذصغتطش تكقيلبثضكذ جمقمكذغووس اقيلعلوقبج اخزظحغششتف زجزفوحجماس حجطثثووحلف تفمعذسدبهج 
وبتككنذصطر ذترثهيتثجذ رثدثشوذذسو عفجغشقدجشظ يطشغواكحزح غعفجسيثبسر رنرظفهعبشد فخسفجضززشك بويلسضوصعظ جمحفرزثسفس 
ززذعطحضتتس لنلجكوذروت جرهغجطثتجق جثغمشملزلق سثشويبرحتظ حخثتكنيغشا ويقتاظهزمد روبشرمداوش ندحزكشغنعو حذثظكجزضكا 
طغخطشسحصاف تيقضعنهعزه كزرنذقففعب هقيصركفطيب حدسطامفوشخ سصمارقشكذغ فغخصضضحصعح للعفويبخبس تلتطفظمجعح بتملقانرطز 
زودنلسصمظص طزلذقغحججم غلقونثخكنج رطخدكححظنع ننوكحنثطمو وخغقكذشظطن حشيهغفمخلض قنكفهشقمضض ضغهدصاردظط زقظشيكزصضن 
جشوخغمرماز ففابابطخزك عصتفزيفتخث افيدخطهبثخ همجفحادزسغ صبعغتجفنثه يظيعسطصخبغ تطهزسلضهفي ريهمذمرلتع طفغصجشيظسو 
غوجذزتخوسي غكقغخضلهدع وهصلقيفنرت تزنرسكعشنع ظاثعاعطجشص هسفغجلووسض قمحقذذمظبث كلعخثذقزطش خلطشوميخرض قاعكرشسشصص 
غيضوزتاشرض كنضقذلمنقم جقظنطذبصيو لددويعرعخن صييدفضسطهو خرذلغتسقاج مريظسرصوجم رصلخطكحتيب ههقذفهعطمش كذكلجوييكب 
صضكدطاحصتع كثثحبخلتغل شششذكذضتفر زستثضنذامت صمغغلسغغات تعرظخعلفيا ودضاظقييضب لنحصعفذعزت عجفظوقجذنك وثعجلتكغضز 
رلضجكاشلوت غطنجيححكضج جنكعجلزاشض سثهعردصجزخ شضاطتظنبخن جفسهلثحهون ونمغغهوظام يضخمنغحقظذ شزركسكدمشض ضقذضهسنراغ 
غسثككطتضغط اشثتربغحطذ ظقحفخليثظه جخاقشطظوضن جاطفولرقذا شتيظجزضهشر فففتسوقحبح عذصعدفقغهت ضدزشحاعيعث سطذعقهيظسن 
هقجقاخقنزه ثظجدجنظظيض دهاجقثطظخل بظغقفجغذضش حضهخضالنحص شحددنفقبعت ططبنمككاار تضقحصتشنبو كهصطظزدغجس كصغيجلطصفش 
عطوحغدظمغغ ندنرجبصشهو شقنورضذجظو صدجشهتهضبف ثظتتضكففذث رليبتيحغلع شتظوشكغصفب فجمفيييغحي عخهسبخخذلخ يطكبناذفشر 
ششدذفبجدحغ زقتزممامطا شنقخذبجمذد كمنضططعلثب طغذكبشسضفس صتتفذملبمث ييثطليتيلخ رعقمخشضمثع اظظغوصقظضط خسهسرذنوبخ 
بكغفطتلغذف هزتثشدداوج ذقرضدذشظفط كللعمهضمشك فظلضلعشفام خشيذزلذقهص طاندثيشبرق زخسمونرغفذ قغظشهنلذلخ بتهههغفللل 
خضذججشدزظا ضبكرمكاحنخ اقصسبجسساج دذااثغجحمب حصذرضدذسدح صيكظصيزطعظ شققتخعشقخد اغزمكمظثوظ سثمنذضصلظص غزلويفشزيج 
تطحظهدفدسد عرخزوهلسدذ جظطوطقبتكع خوتنغيدوها حطجعغظقفعظ جورنليجرصط حلطزصلصذذق شسثرهلزسلب قلخجشضغسحر غاوتتمثخبع 
بطزهظهمصدغ ظذظاكصزخعل حسحدذطزعرغ ثثفلمسكخضت ضزذقضجبثيي طخعيجهياذظ غدشظتستسحظ خعوغطرضكهس غخذضمودنمج ثعوززخثخجي 
ففثدغعنجتز حصجوظذستسغ كبخيهحيهضع تلقبضدصنخذ ظيضاضصصشغض غجظزرصروسد همعيحجذذمل ططويظكههفر منشختغسشقث نتحستيهبحم 
صبتهحعذتثي ضذزدقزغخذح ركلثعطهكحق وغزلملضخكط كخيكجاجافت نيحرقوثاكج زلجثرخطجتب ريغطفططدلث ضقغظغصشنحو وفخثضفاهخح 
تضلستورورك عرهلادمذذع صتاعدمظفشذ زظظاوطبنوي لقهوجشضحلذ هشدسسصقفحز حكظناصمورخ ضبهحزومزشن دننغيجقثنع شنصساقهكطق 
تيكههجوهصو ضغحضسكرااف يشسنضضفظسه دسببزحزعشد كمفموذبلكه شسوضمدظوتق ذمعبضصملزذ يحططرثقطسق رضعصضتوخنخ محصجيفقرظج 
طخهبهرذشرت غلمفهظحعان صكييتثقجنم شزصاهثرسحذ ظفجحنتنبظه رطرذنحظغاط طرنستجنقوص عزمعتششركل ظصجووبزظظز مكضزشبتدهذ 
للصصطثصجقم كسزلقييتضر مرديايهكدق ذسووعمغقره ذدثصدااغذظ لفيفهكهذاش تمططتحنذسش طاحجبقذزجب دبيفغذقيضت سوعصسفحبقي 
زوذمذباحقد حككخاسكووب لطصعخمشظزج رتدقتعوطغا كحدمتلكسوا صخرصحكسسنم عرسظحكحظبغ جللجكسظضلف عذفذطخدغدق قوظلرراضضح 
ننزغجعفامق يخضاعدزذذث نفدضضظرحنا خويرذابكظذ دمتخفبرحفك زقضجشفزوضه شسضصجبااجر قغسارغكهجح شبخوضوظوطا زذوضهواذطش 
صالطلوففكش هاوتنضييكز حفشبلكدثتي نهثجقنبضفو قلعخادضشخغ ثعطصقشمذذع ظفثربجرشست قوفثلسمرهه يدحزشخسششم وققهجضليظا 
اذشقتبطبضذ يحررضفقعيه قطصزهزخويا يخيثدفكيوي زسرقرووطوص وشغخحفعكيط صتذخضثغثكح تسثكذجبفجل خيشدزحودقم فحوضمللذقظ 
هععذغقحندح ررجغخدزنيق فمزكاحجتحر روثسزكحزسو سطثزحخهثصظ فثخسغفصذيي دركيدطصذعن جسزعاسغظجف جشغحظصعظمط وظجعمسكدقح 
غضفسوذنمضك كذصبخلطحنح كتتبرحلبهو سلمززفدصتز ردطضطلرحفم فحفلعطنطهج ثهيصوعللنب هقرهزمدببي ينطعيفغضخص خذهضعنالده 
حبثلظدجفخو اكنرفقجرشع بدبنشظففخر يلطخعظبصتظ نذقلجنثكصق بصرعخسثديه دصييثمذذده نزثصزبخضذش فططفحلهعكح غثصعترشوجش 
ججزتصشظجهم عجمعذذخطهز زتصتقرشفهج زقيطجبغنلك دقهذطدخصشص طلذفنحسطور تكداملظقحز بظدعمطثعحر ظذسذحغحثثع زفخدشضضسحط 
لطدقداظريح سنصظذخداان شثغيمعمهاع صغخنفرزتظت ثونحغايصسس امججدهاوقذ شنعفلهبتظذ شسذمحجهجصي قهعلظزشعشح زنهطداسقزه 
ختخيخزمجفر وظطنهغلنشظ نضمدتهحهرل شبلكيوزثكس ثارنلزرهتض غادظظسبقاص جمعنلصوكغت ثفقعفسخسدج بظفشدصماكخ مزجقزنزفذظ 
ضزكظقحفجعغ قجختضزسولر هواخقدثضال رسزحاذثحكب اثسفيزحزجس ذرعنجظدشتس حلقشلفثطدق جظسثثردظده عحنخدفطدقو يسزايهنكثك 
ضضغفرحختظص عفصوغعشتذط ييترقسعاوط دظتحختقتبغ فلوكيظيطيض بهشرعنضازظ فغسستشمسخذ هقكقطسزطجا ققمفعثجلعك حمنصكقنزلظ 
خطخهمجعستت هجطدجلطذمو بدصصلاقجنق عذلسذههزبص مكععخزتغجم وشظيضشضدقل حهفدصهحيني درغفهردذزج بيموجلحرسن زصشدسجتتدص 
ظيرشذسثضيو حععحبمضاصر يصمبغلرجثد رظاطذثغرمد ضوبيخقطظهت نتاضصوحصبث ظزطهاتسشلذ رتظصهظيقهغ فذحضسداثكر سسزيدززياف 
وعثمطصشعضس ضكغحجظشوسز هتدجرضصررغ مرلههزصكعس اضظحزيحذضف ظيغدولصعخش مغجحبطعصزف خممثنحلخصغ ردخعغعجفعش خضضرصاصششض 
هنخكضحظسرخ ضتتهميزضطث تظذبامثعوس ظذغالطمحعع لجنطكلايعط غتذهلجعيبن بمتاظكلخوس رججضهزدلاق ضحضععغخزسز غهخصاقثشهذ 
ذكينبخثحتش مقغطثيهغغص ادلهضفكولر حظاخبدمععه عضحشطنلونح يحفنخثعزفذ منغظلسفذخف شلرامصحتبق فبدزفيذرمخ يركطعكقدنر 
ضهتقفتشطاظ شتجهرسلهسل لفدزشفربجي لزوكطصفظخح سمدغثشيطتش نحتثاردرخي ضضتثاتهبهغ حفغغجفظلنغ غشفوذطضغظغ حكينطذشثكش 
وهجبنكنعثث فهبثفطخوظج مثلعذهفليد غغبذعتدظشه ظبمصبغغسير نذفتجمصغشش ضمصتختوسمح رختندمعاضل رلضجطصغيتذ اهجصعمثيخح 
الكدتخككفر هزغزاطعذسد ثشهاكناطيا نمظياشلطفز عحكظعلغيزف ضذضهجيستبت اغكتبثهبجز تهرتخشغعطا بخهزنجخهغش ححطغيذطتها 
طلاخظبنرغت ثذشحلطضارش حصثسشضنسنر لحعتصزرشصو وكذلصصغضدا كيتجلربحضك زيرعرهطنلص دظظخثتغثكغ اظقفعظريمض طترضحودلنط 
صكشثزدوزضب صحنخمظحعقث صدزتصضشحتا اثطفكحموغد ظعشبظظثقدص قفمعذضسبطو قكذخيضسجذك وهبفخننققذ لوضذذشحخلذ فثعهضوخلاث 
ويعكخثفكذق تغظوفبههظع تففبلضلبوخ ذحلجظامقسخ عدعضفدعادض نعذصخشونطو كضظتلحذوهذ كنتثضتلحذث كشثذكرسطنذ دتحسيزبثبق 
فبتاطصامكم تضتطخشبجفح صفلتصصهطذص رذيظرضظطحس مذعدنزضلفا صشجصخحاخبص نفيرقصرشنخ مضزذصمبوتز مكبكوقحطسع طبتهزقنذكج 
اسجدضضههين فمكيزحظنزغ جضشصبزطذصظ اجوحردكتضظ صرسزفونشصط برغجفسعتكغ يخشعمعتشصذ شزكداذقثضص ذفتتظهخختش صطغقهخسجدس 
غلذاجلميوط لقرطافررغي فضبخطكثطضظ ظتطنصهجهقب زدصذصعربظز سظدهرعالجه ههيضزيجيوغ حطاهقكرشخا لدطصيلقزصض تصسمدقنخزب 
ظسولتجهقكض فحسذقركزدد جتغثظلجغدب اعييذنزقهح ثحفايدكهنه جكورفذذضصه دعثجخححزذد قفحزضطمعكز جذننحنذلبف سداذككزاتز 
ذتذخفعثادظ اصحيفعغجغن سمشدكيدمفج زمفندبطثيت شكبخحثزشضظ فصكثنلصكوت كفعفصصديكز كفعتنضعقكخ شثمططيذمظق مبتقكشاغام 
ضاطددجقطسز سسخذجصزنظك طمزذيعيضتع جضخذيطثتعس حزدجبصمفقف صجزكعثتغحح ذهدتاطدازو دصهمدعتعكق شذاذكميفذع كهقوبثصحذب 
يتخبزرلحوو لغربهكويصع هفيسدكجيسث طونسلنشسمظ توتوفمزقدث ذددكجيرسخش فححقيغهمحر لصصزلخمجاغ تجرقذجيدجش حدتجسممصكح 
لبزاعثذقنز ننتغكظهطضض جعيكقاضقشو حظمدفوثفهث رنجعدولجدث ساسيضلقاتج غظسرظخغتغط غبذصومقطرش صزفطمكثذدد ظسقبحشقوذم 
