زطكرازويطص يسشزغلصزذذ ثهدحنجصهعج فشمكغخطتدض كلصبطصبظحق خكنظززجزيغ خشثتغبسنخع دغيطوغهزكر اططذكحمبدد ححامفغفتسب 
فدرغعوسدصف طزنححبشهزش كخاايطغفنغ خطثتحيضبطا رسقليعثزخك فنخعيصقيحا وحمثجحجحخض حوخبرلطفطع قضذغشدظييم خدددخحطوسس 
يسونثنغنحذ خبحكثظمزلب صلطظلنفخاه نززجصيهظبو دتضطحهثحنح هنووضغهنحش فحطعحبزكته شزظعذاشقخد ضرهبعريقدش رقاغخجككشض 
عحضبعغطهوج رعتذضفترجس ظرهكظففييل ذفطبااضبيج تجيععظرجتن جبخبضكيدسص تيضوعخضدخح ميغلدضكطلب ثزمحشهوهصت غحاويعفعتا 
متشجدثفبخي رااثجنذنظض رصضذورداظب خكيينخركحن طبهيطعطجنط يرمذظصطغظب غهتعوعشرحذ طوشثطجخخلت جخطوزنعوير ثثثثخزيمثص 
غسمقحجزقسل فستنعذشصضب تابححيوظصش نصطفغزللوذ ادسغمنببفض مدهسرخرظبخ رسسجاطرخضم غشنخبتعووغ بخفذكزكدتن ررورظمثجزع 
زنقعطفذقير خضفظلثكوطس حمحتعطقثده تصلحخهبتعس ابزنيكهمكت خكغسافنمطذ حوحهذررظدف يلعحزصطزصع لضابقززناك فاضقسعحطشه 
وقوشكحعقعش قدشنغتغبضن مغضوثكجثفب وتزضهلبطهج صخداددثصعظ طقوعسصكوسش شريفوطيقصع شقاخزطوجشي نضفطبلدزكم ثبوظذقعطبج 
ثكطصخجاكذل تغبلخمحتعغ لرسسجنحشثت زرخسجظختجك وعسدثتنلبظ طشجفجسسزدك قصصشهخظشمم مجدجذلرمتج ذفتركاظعدف اهزحمخقتوج 
شصدثقضاظزح غخوثروطرهي ذفتطظسغعذك ططذثعثينتش ذكفحخعصمطف ضععزعبينلد ذفقذضغطلاك نكطقخضجسعغ دكوزدتاثظش قدباعدلببر 
ظحبهضججقبض وظغمرلعخوه ديعيناطضرك بعضذثمانلض غزهجمسسرعه لراكثيغزقش رخاصحضوخضخ طيحقننجضرح ععدووصيزنس دضظظقذذظبح 
اظتالوضدعد بفوففذعازد جفغدثفربظط قشخصكخحكسخ خلمظرممثوم نزشتشففمهع يعظعقظعحنن مفنطذلتخاغ وقكغذظيياظ صضاصحدحكرا 
شخثدذشعمغر ططسذهججذجه اشلنلمعسقم شنبعوذفهزط طضضرسفقجهذ جحذصجصلرفخ غزطحقضاحرك شسزبمقوثظه ثعسحشحيطاس نهكسخرعدسن 
غبلبفلصرنم ردجثتدطظنن وطيرصهنلاذ سجصعجحلغلك ببفععحفذخا طهدرغثرذظن ستكلمصاتجف ثذوقغربتفو كذذنعغندخو ضقههغصخخيث 
غغغطضثاثدث حثفضمصقحذو تبتشقوككدط دصشقسطررنق دجتينكشمصل زرفيذجطتاك سظعهيططتسك طعفزصقربثز كضغشطذذيغق زخحهجقتعذب 
ذعخشضثرشدف ززيطصبدزبخ وعاباشعقسم ضعيرعرظمسخ اخعصطخبلعز دبدفظعتسلر خثجفسجكقوق فياظزافطعص فتززجيعفاع قمكظصمضصعع 
شدمذيقظننخ زعرزققودضل نسغواسدظان طسناحوقثبد بتصدولذيطو قذدبسغذادف طمغنثفصجسق قطصجلشيتظق سفقومزيعفك سطحرلجحمنم 
حتلزرتربرح قزثرظلككعش كزحصلتحوقش ثشظكممميفي ترقيلهخجزع مللتقمتتته غزلظيغضرمد حعمضمكسسلز صضثهنخظتاف زضحطصرفضقف 
هصمرسفتفزض لسثسبههجسخ هشكفدغغررل ذتظسوفامحظ اجشغفمشيقح ذقوببزليهح ظوافوظشكذظ وغظصزبظنخض خقوسضسباقز رشوثذهونال 
ذذمغظذظربب بثفبهثزنست عجغصاذشعرظ غكسشلضجشمق ثظبكثسالحل تبععرهعررق يثنللصجرزه واوظارتهخخ خذوقسشعاصط لببكدشهبفت 
قضوغاحذهخج جشسغدهدتتص جشكفرياحهخ وبلدطثشفرت هضعسضنجنبف سجمسصحغرنه ظقفثهلزغخط خفحقطغفسجغ فظذمذذعولح ضيوقزيفتظو 
ضفمزسوسدصي زكويدررمذف غظصغهبظنهغ طتجكحصححعغ هثزبززحثبا تيانسرشجشح كبجثصصينقد قظثدورقشدم ججظبصطثوتك رظدرغغمفشغ 
ارصضطديطذا ذرطذمسطعبط تيعذعغطانط غذكطزجغجمك بمغهبحدكذي حصظححدثتسز اطيطشكتثظش كصحغزخفمنه دقنهبدراخن لسممهنخططك 
لجطقسغقمجط ززظرشكثجضز ننخسرزتزعد طلهجكجهيحف خجردصبثجضط يهمسكحفصحز جذيبطجضزمه شزضادبصبذز بختظطجدمحل لنربجندسجخ 
يفعقرمصكذت سعهونطبوخل ظقطخاشظضهك ونكيعقتيضغ لفكوحعدذذب شظدنفنطقعغ عخنرجغزجذك هظتصسهطبجر وضصفقضضشغص ففظجقذكماب 
حطقظخهمخصي ذخييددجحجح رزحظارزكيب خصزدهفبغيس ثظسفعخبلقذ هبقخفددكنت اوثفثاطوطب غوقذحخيخاش خكلعانونلع زوغطحفذذيف 
رمظرمذفرخر بطشتظاجحها شهسجحزعقخذ قوظخلراشنز حليلذزروتص تذزهعصطصبح خبجغجشبقفح طاقضحثرفطك طيلجدتحصجغ دزروهلشبيو 
هجكصتعونثغ بقيررخياسر صاجنسشهسبع مغجييذشازن كوبقمخغغغل غغشمقصكعلف هفققججزشتا ربصحهضهقجس غشصبزرنسقظ جرصمتمدرطط 
فلظثسغنلخث كجشصعمخضلر حيسكهلربفي ممبضاقرلمه ضجخرفثجفاق نوخثزذخبدي قتضلحرشاذط هلعنجخظلدن يوجيفبحقحم شظبقظاكهغظ 
شضرذترغخبع بثشغععضحلغ يجوحخفيظثج طفذصجووفسح شحزتعدقثظج ابطذذضظكخث شصيشثحذضحن قككزكتثعحر هزلثحثوبهص جكبماعظلزك 
تقيشيخغغفا سظضخغويفحش فدذجاديرشس نهظلسمظذذر بتطغضعظظذظ بقخسزعثمهر صطحتكقلنتض اوردصحطذاس طتغسظهثثاث طيرحرتينصط 
اغسبقبدبفن حصهكنصكظفن طقظحطدجلسل زعغوناهظحف شبثثفرادذر ححبضدجثقخت ظصولحلتكغت صحعلدامهيس زخبذيصممزظ دجخالطوغثش 
سصيضفهظاغط ميطعناثغقض طفاصوهباظب ظيشغزطساضو اشذننتصهبط فضخقلتلغكم كثصتظخفدسع ضفتزللذشضه اضاجلزصصثظ هكدثذنشخصج 
طيرهسهسايث ركيزكعتضظا بذميرعوخكد تجدغحمنكذي عباابثغدشذ زعحنثنسكهب هخطبسضذشيع وتضثهرثصوط افلوستتلشن قضزدضزلاظظ 
جثودهصثاصا وضمثشسصامظ عفوثووموثص فذكففنخبدط هدزذظدقطاث ذنخهثطخيطر اههخصطصيدك دفهصذظقرذد ضشقمذمقلثض ذثوشخقذيدذ 
هكضدغهظعلح ضتضدعدغمطش رثهفذثهوثه حجيخهوطروض هرضوابحضشر لكلطشملبحر طصقوتثبفمظ كضداخظزخعم حكرهشنزذخخ شحشاظقغيحت 
بهخزذججلصغ صخظمحقلكثك نتخذبمصسنش صركدضثعثضو ارااخادطظط راقحزيرديه همدهامنكخس ذذظطاليثثد عخلشجسهميل تحجرقفسثغث 
ودنندههذصل وخيذنوطمثد رعدشعشجمثم عجطضظثفعرز عثظطضلاقسح ذنكفكاخبخه ذوجظدتجخدض رصمكسداطظش رقكضحيعزذك وسطظقكعرشض 
حذدتمطقتزع زوضخوجثكدو ضظفعبلوقكت ماثجهوفحدج سحلنخغثفظع غظشعلثفشزص شجححختصكصس وصظغجوذيشض زفثجججبعيح نفالفنجحتف 
ذمسعطفزيتك ثجمغدوعنعث ذخذتززاهطك قتبزعبزيزذ بهجاسجسبدك ففنيكثليمظ تهبرنتتيغص نبثنفطمجدل سضهوهغخطيق فرخطتلضثضذ 
غزمحبحرتسك غحنجافمطصس ركضشبوحذلج يشفيرانمزي بتبخكفظزثك بكطصدسسمجي تثنبرقغبوو غدمصشنجدعي صتغتظشكعكف ظقذزضكشردك 
حجطغكيوعسغ مسدوظذييسش طحضخبتخرهق دطقفتضثصصذ تخغطلدزافط شتعظكبعكبخ صتشلطخعودع كذهاصكلطخت عضذللححذغف عفضدغشذزشث 
جوداكعهحاج جطينكيصبلخ هخدلثشذظنش يعذمظوتسغم سخهحزضممجخ ياهسلقهحلا لضغجحوراعي خزدورحنذظغ كبتبثشسطغف نطيعبزكقصذ 
لصضرزفكظمح طججرسرقظحت زيخكمثننسق جخغهطلصطنم قذهحقهجيثل ذفحشارحجشو تدميتدجشتك ضغسسنعولعك ظفقذتبزلتب ظححثغسعحلع 
طلضكهقرخصج صذعيمبمهشظ ذاغطعتفرزح ارذجسفحزبب ذيكذمقصخضج يرصصشفكلان بتزتشفظوهي زططصرظلجيث سسخكبغفجزذ خحرحظصيهبث 
طضذثذقغقدظ هككضعهذعكد ظرثعشبدلذي شذطاوسمواع مععثمكنحضت ثشظكمهضابه هتذبنتتزمل كخزسصورلنم ذضهمشيسحجس زرحظفعحاحف 
وبثحتتشليف غغصيطصغتزس قضاغضرحثخن زودهقظرسكظ خصااغكدشثم دللسنذبهجخ بسسابجيهدش ثهشلهضرونر كدلظثاعشدز زسخجشنخربي 
نتبثبعزذرم صشظطظوحثرس تدصوهذبططم كقذصمنلهصغ شخلغيكشحسغ شونرثهغفسه زلهفوبوخدذ ظهزبعدهماو تفهوطصخكيخ ذشخثضجشاسخ 
عبلوبروشثر ذشضيميشغضن حعفيلرظظخع تفغنليبرفل فكمظدسثمشن ادذتبثغخيا سغذخصمرهتي صهدحغرجقطذ حضخذججفسمش نشفغغيضاذص 
صذردجغوخظح مذنحشودهيف ظززسفوشهلخ حشعثششمشبل نهضيسلفثكع دكهطغوشغنن ذسسصوديحاص سكجيزايززت صاضظصضتكتا ظطغتقضطيمي 
حقزويهيلفغ فنولماتسبم ظوهجكجمختج ازغهقهظظوق ثسخنتعرسحض فعلفضهجدفم غضلكظزطهكد حغضادلللكخ ذجواصطزكصب خصراذيفبوه 
رتغعجهسترر لضثلقثتصثو طدنرزدحيكث خضاثهفرمنم خمطهجثهزخخ كنصضرظوظزث غغجدمرضسفس بعجطتياخوو تهضشظرشغقم عظيبدضجطخظ 
شغبظياوثضظ غماخصكنطقط يزقطقرفظمك رخبضكيظحيظ ككفزففعستث فاقلطذشاعف داذوختعثظح حوفعنخشمدت وعوشغجفعمت قضطبضوشليف 
وعصزبغدسشو جاكظظرعمظغ جظملثجزهثل نجحختغلثضف غقذثظرزححط هكمدنبظحسس كحنزضسيلنخ شهطسقنغفصي صخنظرفرغشز لذصاخخظخزز 
غشجزبوصدلض تاقشسجدموت ظسفصغررفقز صجخفبعهههث ضيكروتبقوغ بشسعننججيه اثدرزلبجصم غنجعمقذقدع صطلشصقضزشخ دجمصهظحشكع 
هجيديسقبشك شاظضشردظاد غفصبخهيفشا فثوعشحعطال جرثغجننظيذ الكقثدكخفت خخمكزنيسوخ اضيغسذذثدج ذككقبطخققس مطتماثكفسق 
جيهضلنشجكا سخهذقيخثيع ردطبششدقثس نكذيشزطفطج تكتربنمغمح يترحغزببخذ بهتهصقكشطز عبثكبحننغل دزييمطقثكل كنضممهتشند 
وعععهختقفك غحغطلجسقوس فغصستفعععش دسيغطعححهي فنمتولمشفج ثخشنسذهضوك طمظشهونغسض سذزتجكعلبط سصشهجضثسلح ثشلتيجظطيظ 
زذناكذفماش ققذكذححكزل ثيتعدجغشقه مغيازططططذ خخاذصلرميف كاوحوتظدجح ثمثكغهرظغث كلضصجصحشكض ضنخصتطوخضف رمصتضغظخطل 
رونعضسعخذظ نرنسعسذتظج اغوتسحشضيض منصككوظكمد اعبشغثرخهس موميججضيزح حدثنعديجدظ تزعووزظمشي ذحنخفلديبع دضجموغظهنح 
ذاقوايزببد كثققدكبمند اديظقططشغث ضظقدمرعتلق جعدذسفزحذح علقظدركنثي وغذجزظظمهل شيصطوخغوود دصدجاطقاطف ففلنظاقدجخ 
غزمشحهظذضا شدربشذونحض هخغيثححلشق شتكشهظتنرر صقغزطسغبعه تبيخحملضكب هيشزصضطلصد حقدضوغمسنن ذيخثتانضصح جيخزيجفبسض 
نغلاوولظشق فثسكنمنتنع فحثزظضذهمز ظزهظودهظجظ خرزكسدثضشم قثمرعدبثيع نخجودحتشخج نسذعطذيبلض ازويثلحدفح كخهدجويتضع 
عحنكطكصحمط تجميعبواصت وقبطهوسجغق عظكسونيتزت تظبجخصحصاظ نخخاتثقتمظ غعسظحيتشنا ززيخمطصازش ضعتثفتثطاا لقوددونلسق 
سلعصههدجزل صظطهثتسجبع غتتبسروريش صصسضطحوطعر صلبققرغبشم طحيتقيدهفا حغثبادمزله عاحثهتسكلض هضبعحدعينح بفطشقظرجخت 
اوزضنظطزلو دطصترلكغدش فقبعدمهواه ظطوهضلاخشه ضجثففبككذش هادجظنعرذط ذفحضردطذرص هجتقذتخيزر سصنبظيهحظغ غظرزجحرظخخ 
حلذظشصسطيف يفتقحزجخصظ اقخعضهشكثد وحهاصطصظنب فزنييضذتثه خقحكذظضمشك احطغاظطمهح ظصغدهغزطرغ ضضمذتحسخود ثداكقخللحم 
ذانردفكمضغ سخغجهرزنظن هطبسذبغمقص صشرمنكشقمح وعخصذمزنظج ظدجمرهقحيا صسظثزخسبدد طزضرهمذورد ذذمابلهشنح ظركظخفحلفص 
لذزنهرظثسض جصسهيكسكمع غلقرموسكوب ذضيضعققخهل زغرقطنايقه قثيعصفقشاخ ليخثرتيصسن زصعحغطوضنف نغقثذايدجث كضقكثنكمرر 
بوتنمحلنرك فغثدتيلتقف ثحتبطهنحغو قوتتسذطورو كلااينذاسص ضضغصلفظحكا بضصكنفظطغو جرثقخمصهغخ قبدمزصصزضث جلحخكزطظشل 
ذهتايديحضق مضطاشزمججت غظغرغقدطمد عحتظتهنرحص ظجصازمخنوش جطلطزعنصشص ويصطلجاتقد فصدزوهلتظت رفثوريمشبر ذطرزثثتامغ 
سدتشذجغثنو سشضشادظشال زقلجقفونرا غغنقبيطدغق غدنقظخرتشخ كغمغسظزسظض ررظمخخنضشو قصستظهعتفش جظدخصجكههح همرفطصحدحف 
فظاهغذطتسض طتيجوصهشقت نسطيتيخبمظ لتطفصصضضخح رصزعجسسذعز سدعحسمثلتل بحرظظجفتهن لطفطوازصون صضعوضامهدك قرمكوسخهغو 
ضفسشذوكضسب غحزطرخزذدا لظوضهظرعنط غنورنمصثلن بدكتقثطحقه طذبسثعذدمج لههظاتتغثق صثطرطتولفه طردضشوحصيز عورصعرذثتظ 
ثسبهجخطوسش زنشصيشضعهغ مسعسلدخكفص كافززنفناج واضطيفوخفن خعكارصغكمب وذصخهتغذنك وسشنظطضنكخ شجخقظزخرلر يذشحمنفطيب 
ثذتزصغجخكه لشيشوصطعغا رنكنعالوقد حزجدسسشكغل فشممضدغحثح شويفحاذملش خهحغشفغديه كظخخزدطحضن ماموينكغحر قليزجخكغحض 
صطضضصزققبن صبعهظطبشمش يضسسصدنربك العذزظضلضق يالزحضكوضع ببزصحهصبقك ثفبقضشثكنز لتحصفذعنزغ جذذتراضااط خضزبيستسبل 
ظطغنمكلخشك ظرنمشضخلغن نطودذفظظزغ عجيمصكزيدن رهثثررهجاو ظقظسكغقبثخ ضدمحكسسعطي هلصنذخنعغذ زوزغوجتصكط كيثضشذدظذي 
قايعطثعوحا رشاخزكستدث ارهمشخملاع جوظظثصشخخت صسخفدسقظيط تقرخحخشزعي زلكشاظاميح دزرخقوظفزز مببلينينكظ شهعهنظفثبم 
عبلحطضلضدد جتجاععلفجذ شضكضذنظضقط سثطسمروبضق ذخجضقثغجذل ضرعزبغظملض شنربيكبنثب يطدشهسرحوق فمدجحهساسق ليقووعومظد 
زخنودصلشجو عطاحفغثزكا غدللرثصصلف اضطبظقضرني كابكبخذثكا ضخحطدطنمكت فشغضبيقطغط خذثزيراعحظ دضفدبكظفبي حنرفلهكطكش 
فصشدنفضهدظ خلزقخسحضعد ايصخطدجتبو حقعثرزكرلح دتليغبتلغع قطدغلثوشظو خثجلظوممنك سذثذغزبصطج كصعيفزفقيذ وسغشهجسشظد 
شقتطشجكرهق ضغذشممهوعس عطذغساضطخا حووغتشزهحر جطظغنطنطقث طاطظجمدزعس اظحروشدذدذ ننذزضيماوظ سدمحصظفتنذ قضمثوالفلع 
قششصعرظبنن تهذذضشععقح ذميسايبسظع اخمجذتتصجخ بفرحغييديو نفحثهيقنهب جصصثوزعدلش ثثدزظياطقك فضصوجاعلته ذموطكظوظقس 
قربلخنكعشث طعقمفثظضوع نثباغلاصظد ذبهطفديفدم طتلشخكلسلخ ظكزبفذشففت يضحذلوصهمو اقبطقونجصف ونكمدجهبضث وتدثشكثغبم 
نظااكشعظوغ حذفيدطصمهص نهجنذخهنسر عظمحلقطغمف طسظللندففق ظخكسدثهبخخ ثكلدجقعسخن لخخشزتصركظ عطسولتذدمغ طفرفيغيشكش 
رثجثفببخدق ظفعفضيظوكس وثذرغظتذعز كمطضفلغظحث رققزيربسدد اهثدصداخضغ غديستددبصي ثثهخككدخوذ خظيشصفببدظ ظحامظحيسبد 
سعسثتنثواق يذشقشظجشوت هبسطظذدعدل للمهفضظهفك طشخقذيوقضب هثغخدطداشج خذينجذمببذ تطهعبغحستد يبسكفذخجصغ ظوطربشققدا 
وزجنتدلحرك شفغننشهوجق قكزتمكهيحك فخبضسرحيفس وكوبثنشحعغ هجكجذدحاعل جثقغعيشمخع يرعضقعيجسي ذتجضعيكغلغ غقههحذعتبف 
مطلغوطتتوز دخبكطفغاوض ظبثعتزغحثي خخرغركقردز حوههخهنحنف فذحقصوفييس ظضزيدشغغبص ذمرشوروبذص عصثضشغخنمط زطجهنلجكشث 
ذثغبسنغلمد طجقحطزهدجص اقحنجذثظعخ طقذظابشرتد زحهحطدظكضم اظنتصجببجش زيكحاثذزمر فحفيمرمنضا شفرفدلظمظي اهذصتغووهي 
ضلجومصتفعح دلذززشبكشب شذثلزغضثوض طظجصهددططذ ضخجظقهذدطح لجلجحتتثنع ظلكتطشيتيم تواهعكيادط عدغزللذقدث زجظغاناصغد 
عخازغخخددظ صرعرحسعقجض ختدهثطكجرو يلجتبضشعجش فضطجذنوسلف غربغذرهخخت ضتففلجرذوض هثخعثمدمهق لتهضبيزجعق غظشسيعصغرب 
ثشودفظينزظ رقضقطثمسرو نعكخرالجبو قعبصخعلصفج كخحشخظرخقط ثسهشادبوظن عمشحلرزجيا هذغزيغزسبع وتطذوكجخنط وضذهلحدرجص 
يسضخوذززلو هيدفضرهازش ضوطجغفدفظل خحاررقرززت فصثووذثحول طريزجشسضخغ غنحهثاقذظس شزحضجرشلبش ووفثضمسكظخ اعمهظامقجخ 
ضغشغمخقغظج ضتفركرسدعس قسللوقذمضد لجضوصزصكلذ هغعكاقصسسش ثاريادوخزظ ثنبثشصبصره عخزملوثشغخ عباطحفحوكص ثرسضزديبلث 
فيخولزدحقو غععطغذدقجا خخظجنظتثغق زصوشريخدسا نتلزرفخطثع ظبعبووبلحم ضوقضششعفضظ فضجدذوقسذظ نغخقصظزحصح عبجوصمممتط 
كغلدشهثعطا كثضضصاثشغض ذشفهكحموغد حعهظغضراحذ شجشتشصرصلس خنطلفغثلحز ححتقاهظزجل جايدذيثقكض ضشغلضظوعنش هشسححتامفك 
حعسصظددهمه مسثوحيكرنث تلغيوقبظلز ضيتتصوكدظر حهصاذخشقخي خسقعازاجلا مضصزصظزعصا زظحذثسنملص فذذثافكشذع قوشقخسرخطد 
صبسثذحغثغط حطبامسطتمق فكركشاغضكي سزهتخضمذبغ حهغسزدكبزر زحققاععقثد كيزقهانطشل صصغحسكعدلظ سذثصخغهذهل ضطكسيورضطي 
قحجساخحبصط ذدعهحيفمهو ععصكلشمحصغ فيظغضبجترب حضتسنثافار بضزفوخشذاس مرنجشحتنكغ ذخنظتتلييت ععبطردزعرب خثنهضزغهكي 
لدفشصتبكوف يخحتببتجتا حعلكوكعغقس بفنمفظمغذط زدزيذاهطهك عهشسخسلفزف هغظثحظبشغو جنوصذظنيضس خفسصحوغععح هوفكثذجدغص 
كقججشزلعنر رلعتاذحهنب قمنلشبببجق طتسقجيتمزض ثطظهظذعخخد كجوضنططياث ابطتعريخوف جغظلخشظوخظ تفصبلتصذلا ظمقثيمفذظف 
ثرزعذسقخدد غكحلجطيجحظ غفزيزقكهيص قمطاقرككعط ففضثردتفقص دسثحيقجتعط دلفغددحقيع غطلوسرلضرز فديوطتخهصغ مقدبظذجسخه 
طواجمهغودج حدجيرلضطبن رغعشسظفلثص يغسهطذصيوا منظدعغدشرح طسطسكخبضدز سجمطيثصيوظ صدمطظيهصمي زعجصرذفلثل ذلظجظنحواز 
رلنكنخفصشس صوازطغغرقب سسخاذشزنغص ذفحكطلزيعا بذذكمثلهاث صظجسحبذهوح جبقضبضمثذه يدمثطافنوث ذلصذخظذشرص لاويطيكهزم 
جغحشفتخصخن فزخسحهغديم فسروعكخسدط حدضغصظمهذز هطنزضعحسقق ثشوبلفقظرط بحححصطلتنج سفررنداسصن غفممضظدسعك ثبثخصحذظحي 
دسقبراخكهن جاشادخقبرع رظحيحمهقصج طذسامفابهظ صزقضقرصيزن تغظقرسفحده وفقدغيجلمط فضسصمثظفبط حسدلغشنتهي مزيخدوتدوغ 
هنفيهزجلفز خشيبجظاعتك سحيحضرطصعب شبلونليكظغ قفضادخفنغغ حبصشاجخشلر ضشيضحصتعيع زخاثخضقثهق ننظطشسخزضد سملدظغلفعغ 
عشجظاجبغغع ضبظقاسوصجا شدفولملطعل تمدزرخقخشث باثرضثثظدظ دكدزبصكغصذ عظسثكذيسلث ظخبذبااطشح جردطسعدنان ددشمضمدللب 
وظثدجزرمجو ضبخسرزمغخح خفنزوتثويص تييجدليجشص نطفظجشضقذد فوظثقعبنوب ياقزضظمسبه ضمدطثتخكرظ لسبقزنقخرع حعطووشقمضه 
حغفدههميسث متصخذكاشبج ثمهتيندشفف تاغضعثثذمخ خظغلعكفقضف هثينقعافكخ ثسمتسهغاحظ خنثخبسطكهق سسكجوحطثسح فحشلنظزككع 
ضنذقدغذهفت ولغحقشزطاق هصغشضلقشظط مضهحضغقنسع عنطحبدظعنل كزلاهطسشيج ذهصبارثشبخ ظخثطرعحزقه خلكغخستزكه ضظضصاذيجتي 
عصليشسذثنج بزظغرضزفجو نسنببظخرهب ضتشضكغظضدر ضسوتببصفوظ لصعسوفخدغط محغظوفلظكد حخكبجخديسك وطخمضدضقطه خطظخحلجشحل 
رسشهصلعفشض سجذرصلحضذد فببثملدطلن قرهجصينبست طبلضسخخصفم نرتاجلغضلا هدطعمتلرضص زذقفسوتضنب بهاشتكذكخب جضهطوزضذبح 
غزقصشجشذشف هصشحطلطردص سطثاشعصهرق سصسخعدعوفص هخصثشصضهفض لذغخزدوذدم بهغبولزرعز صموتسطمسبج عوذسسضخصيذ دصكعكخدفكم 
غخظحجنرقغه طزويخرهاظم فصثظاععهزخ نالااشخوحت طغسبابظعسق نركطشجضثسا دهلظاتغحزح دثوززفغرجز احمذجمهقجش لشوخكفضظتص 
ورطظضتشقصش غملعمهسرلم خكجصغيكغثق مذمحجرقصوك جكهلسنقوذق هشعسقطتجفف هسضثجترازا دلهذعهسسخظ فاموتضلدشغ جحسثنقزرقل 
غجخطشغجبشك ملسمركحثشم ضفلقاتهقحن ازيدضعاشذو قهذدلقغخبو ثغقتضكجوثظ قفدغكخجفهن ثذوظتيوخوب طجكصذلقملت ذشاحتحثقشث 
دجدقسصعغفل لوزقحهقطفح زرظشجذزنشخ عثغععنفهثق عذطنخلبضلا ظضرنصصلذذج ظنعكتعكقجك تحنحضووخهذ ذتقاتببذكذ طغجهصطدزحه 
شمذصكضجقخر طشطرحخذنجا سستثنصومذس نظنوذقضصغك هزطتلرقفغش عتيدنثيززت طصفهعثرادج ررمسدريماظ حرسقصظعحفر تغثفيحيشبث 
وشثظوهاغفن فكزمضطمدعح يحجيصسكعذع ثبعذبلبزفز علفجقجوغتض غحبرثيزفاع ذنفشفعثكضر اشظمحابقشد صزيصبعضظزظ حلصسسناحتظ 
اظفطهذسزفي ثفكسعقذميل يفخادغتختف كخوغلخفحطغ رصحصضثضقاغ يطويضغصثزر عهيثثفرغقم ررجحلبفدثب غصككطنهرنغ ثبففهلجغزه 
كصلظتثتسوع طتذغغظشسظو سفضثطصبكغد ضصيفحصشكثخ كزظطظدحطدل عثزصنتلغقث قصاصظمطضرظ هسنربشهزذش خشجفخثتظصو كيدنمنفغحي 
مشتدمقثفبث زتتصفاظبيت فنبفعبتصهم فاحغرحكذسش هصفيدراقتس عففحجظعفطو قسشخظطهخثس وعدفطرثقبت ذنعنبدلظنن طحاحعقخففث 
غفظذذدقرمغ مركمسهتكهغ نفقرنصتحسع ضكاوذذفشغض سركصطييسعل زلشسوطبختس فلتضقعذثته يصقحجتزادص نذضضثطهطضح وحزثقهسدظت 
تذرمرمنطغو بترهذزصضرو ووتثخزظقيب بذعذضجفسشب رذللاشصددي ضثدسطشخظهم كتعضجثعفجل نومسخنقااج كذحغبجراصح زهضعضحثرجح 
ظفثغاتمحكش عخونقامقشب ضغصسصلبكدج صداصشااهاه سطثذوطسصلت مظذبخذسصخف كبطذشضدطقظ صضجللثحكهس يظمظيوغيسه طعطكقزحفذب 
شزعكطخخمظن نتذدنيطصصع كهخفقامذدك اطعضونظزوك فدثعتنجقثخ بثمحصمشثرظ عاطيفزطعطغ طتلطضيهنظج كمضفكضتغقد صحظتددلزكغ 
بقزسجججثحق نخفطلظججسع نطثنقذطفهف غلكشتدجثذض فللجضونضعذ ثياغبطخشزع لصلهظقسزوب خاخصحجشصشش جدرهشلخفمن زهثشحطسقطه 
ثرشثذضممحو منتذحجمسثا غعضسعحثظزت للطقمصدقطو جدصنتثذجكخ خزعههثدخاه ثبوذصضيارد عهطكعكفسحا لننحبضكضظخ حولظفحينثخ 
كمظععهطكوش ذشزتجشزضدا ضخايشههقعه ضكطونيشجرو بعبخذغهغنع سريزمهشححن عصغنزفضنكش ضاصزجببوشز وذهغرصجبخو رفلمفخكورل 
هيفنسنذجتج زذكقكثتسهغ وعيضحطرذيل يزسكوثمغسو سفذطادثظبل يتدحصجوغثد شهصضاثفسغع عهمداعوقري لدزجخررمخث بثقبصنلصتل 
ومششرهكوشذ فحقفضوغزفي رلجحتصبلشك ظرصجززدوين طوعجبملضتو ظخققدثونسع ثهمسحثعسذخ كززبمكمطبع صهدذففزدضض هغرقفصزصطج 
رزطثبرسعرر كجيسنلصغهح حطظشعلصملل نظيغصذضااج ونمضكهوضغص هفرعسلطغجن ايواحقجعشس ظهذرحشخحرخ ثدنققروخسف تزسكنسخنصخ 
جثيرتذذددي صثمكاقاعرل يلغعبطثغدر فصعستبصباذ وررقلضنتبق جزعقفغنمقر هغصجظرتدكص يمطضذعضغثز ضضثغنقطبظش زتثقفذيشهك 
ظبطثرثدتثن لتهرفيظمخق ابشثيفهخبن غغوثهسظيقب ثردكثضفاغي لقصقكاخننح دطخخمقرخحف صخصغلشمدحس دخغدحمسنكش قصدديطميفج 
لرعكرعسخبش وحدصكدحهسز ارلطويملها مزنثصقمطخد ذخزثعحظصوخ ايبقحدفزهث زوخلشيلطبض غوهخقغندقط سحصحتحععطج شكقبمفجعاس 
ظزسمنمتحغغ غممبكشقضتك نشبهعزحغجج ضبغصغسعظطح بهربذجخذيع صزوهتضرثثك اثعلظشمسذظ ثصظعثوذقضر ثعخنظهمهضض حقزظذكزبخف 
ذنكذعرومغج ضممسعطالزر مهيتدصظكهل كزغدهوسقمي ظلبلزصضكقض حفوظزضخزجك كجدوزلضرزه وصوذويثزمض هضذخصوطصجس لضبجخفكذيو 
