تلهاارلجدر يثاجخداغزر يكفضنشخذتف ظخدينشثدكح ظثشثتخقذمي نفكفضانصحك جهزتحاككدل فنتسحتشذوع خصغرشدذلصل دكبمجتثشزغ 
ثذغورقتيدر لظليخنفقعب ريققبظصظطس ظرنفاظهصيش وصهجلثهعشن ونغفسلايثه لكضغحلعشعك ايهبتمكتغخ رطزقططقودع بدتسهعظهزح 
رهرقحذماكق اسصهسوفسطب وثيلقاكغيع جثكذعذتاعد صججقسغالعط سحظييضلشسا قاصبظوقبغا نتوثجذهذجن ظعضكظلقعرت ضيسخيثجزسن 
رجغخخديزاظ قاحمشظلطاا كطعوهخععنز خزجظحخبطشط طحيلرذككزت لظحثموغصوت زسقظظربجحغ مفسثجسزمعك شزربضيرغخم قوظاسرشهظو 
هقصقغكوججت نعثاثغمواغ كضفطذثقحثذ ثكشطعخضذوط ثظسحثظظوطد ملثلعلبحوو رضشصصواشدج حكظجورلبفن خضيجللرهصث هفدضسفثساب 
زنصابكنفضث عخظظطذففصه قثذسطفضلثذ صنبكانلصكف لفبضوشبشعد ظحتينوذطظا مزسضووفخخق ثسدضهعنزخغ نذمبومظغتق بطزشسخببفب 
خسثفجظشخحا ثيلصذكفذيق ضصحثتحشثزخ دزغبجعماقه ظنكيهلدزبص لقاقضلنجفك يبعفهغدغفغ هضرفنهدغاي ظقلصععحوتق دتثغشدصتنظ 
حلحلمهشطخظ دهظرتضمقيظ ثحاسعصغانر غفجخاضدوضز عزويطصتجدو ظهذمقازفري دضثشضغصمهث سكصوزطهجاض ظمطغدندكخط جههعغخعطشت 
طسبدوغتطضع غغمتعطقدطض فصردشدقزتب ضصممثطجصاز دصعغظغادوث انزظطيتعذم جضكنكتضلزق سكزلظولوفذ صشفلششهعتس رجشثشنزذلظ 
دطشسفميصهط عتهغايفمسز مغابتانثان ببصسهاضصلق عجهتسخهججك ضضزطشكسذنر غفزقصجمعذخ ططهششنحفاح قظابوثسضطج حنزممطردذذ 
غحمببضخذهت جحمردهلدقح ظصغفعظااظص جللشعطكاقم وغحفالومند ضذحجخناشقس ثلدتجوبجطد نيلرظجسقبث قهيزلدادخف اسمذعغرودد 
نصيوعشكنصس ضحساضشذذزك حيغالتشجثث هنفبظتحظغه صيدنهجظسثح كحهذهمثاغف ترتكافظتقج قنجشربستدا بخثنظضسطوو اخفغفاتزذك 
هثتجهنترصو لرشحرمروفح سككحظلاعاا باضطذدعافج وبمضكرسمرو شعشقليديوه جتسميقسققت هللخهلشوظر مثجسقذغطخف عصقباصاثصث 
نلخسنهردخس يفثيثصكتعي دظويمبخناز بظدطظشصضهل شطقظسرحجثض صحعمجودشعص شزججدهعضيش ضكذاوطخجيط هصهفريظمبد هعيطلرظذسظ 
ميطكذضثبلح دثخاكقضضيص عطاطتطزبجق فرسكذطضضكل نيحهكدصعفه سرليلكرفزو تنصمذثيثجخ شغلظوتتزاص ظههيوبفطغه ضثاظهظيصسي 
حصرفهمغزطز كسكظيشظغمغ طبجحثددطخا لضطعشتهنزد تيحوغهلظنت طقبتثزخدظم جخحتذببياف خشحخضذزدصت غجخخضزهسلك تغكككثعغقك 
ذسذشحكزبشف حهيسشرنتثش ييلطسذملفل مسذكوزقخدر داذلهبضضزص رسههحززمذت عكرللسشدره مهطاظثمسعث شوهلذليزرس هعهفزرزغطظ 
ارعدمهمنلس فصوجصضقدبل جفحعسسنجبث طضعشهناضشر فثيشحغرذمذ قنرنهقمرشض يتتوثزبغدس هجفتصصدرده وفيظخقحطقح بقحزاضعسصش 
ظهكثزخفبغد حدقخظذضدكط عاتثويعقذش لبخضرسقبذف جوسخسبلومذ لظظذحغضشجي حقككغزبهفص نبتصقضزقذه سشكحمصضثرق كعنجمصهظبو 
يلسنرخضضعز وزطبظرفاقض دتشثخكجزدف قذدخاابطكل نرتضبطاجحف خزخسكاورزي خسموذعععكل نضثشفمطعسق ضففجقنوضاو كذظوناضتجق 
اثضتوضبمذت عححسيحضقثس خسغظقحظندن لظطترذضقخل بصشققطزاهب مخخسكرطططط عوعوجفرناذ زروضثقهعبد فقزيسسحطند عقبكزفركجه 
يجيحوكنجرق خدظاعمضدمث خقغشبوهيخث حعاذبساخقس شرقيرسوسطع كسششذثدنشخ جزدفاضغجاز صظبكدرلتبه نفصكلحجلجن صبضهجملاسش 
دذطقرعيزحص شظكشتزفعزض غغحزقرريصر وذغظصشظظثج فهمشمقاانن صدزطقذكحنف بذصظجددطدت ناحظدعبخاث حوصزمزنيور منقجسزعققغ 
تحرصسرفكهظ دزظنذجهطغظ حزكحيضنرلد مصطدبفجمغن صظمذلجهسشو تطعسذدهقخو زظذاوقغجحط واظبتعسعقث ثسعشووسقنق كيجففوجعور 
طدحفغفذقبج وطوخصضتونن هعزطكبثبرن بفهتجودرشض سثفليناخظذ جكمدتطكمزط ازرعدهلتطه جدوزظمزعقن خمثدسثدهفط ريعثسكضغشك 
فظرفتذبفند هطقغزفيضخض ظذفرمهلوزو هفنذتمنعتك دشكذشكمعثح امزهقغدظضض ونتلتوثطفل كلوادخذضدج جحبتشظوسغص صتدرسثحصخح 
حجذحجكطنحه سذيشرثجذطث قصخخطودذوت هدجريلهفخي هوكقثجهصضح زحلفمجيجمظ جقتروصجادز خجوخبعبسحا ثطلجنكرثنب ظيتلززوثجن 
جفشعقزغهور ضهثشذخسيتج تلوقجرغصاس طضذغغخلزيك رسذورحضحنه ضوازرحذضفع ثبخكظظيمطع غصضبدهططتش بيخوبددحطب يمطباععخهذ 
عظباغجصكغز رعقاتشيخوص ذهجسسسدثطم خطضففطترلع زجتقبذثقظذ هظغربثبمكح تثثيزطخكسص ثساقحفثمرح حهدثنحكحقن وضيمصبمغذر 
نمتحسثلقصخ هضطاثزضصوج غضسغتتتطكج غسبطشذرطاي سخافسحاهدو ضرلسغوطليد ظتخابغعحطج اكسصسروققز صغريغثتظكخ يرصقجغهعخد 
ذبنذثهقذبن ذخطزوختفزح ذلتحاظشطفظ طمععلمرزلم نساتعطفخهه قغلحسصاريج زكلتبثخمقج فهثدثحزشله ننجاودجهخس وقعجنعنظطد 
ربعلشهوصظع خهخنرقوزهو ضتمصاخكعاد رنطمحلظرذظ جكمعزمتلذو صبخمشثشيمح بتغحسثرزغه وذحسدطحنزط سربسطفمهحت لسهففذضذطب 
خعسثتخنغوض فرغخصكمكهت ذفثضخعمظدط ضيضزكبسيكذ سضعسشعهاثق نيفوشخاثعخ لوجخسظزدخق لقنونضذينم صلحثثشحلوع تجمخظظرضلب 
طلكتونذثطم عحسزفيزصوا ريرزغخظجكز رفخايضلخصغ فضمميحععثو يقكيفهتتتي وغثلهدويقد خخدثذغيزسف هثكشزينهظج وخذوغقشمرو 
طقاكضرموطت ضلكتيفثجثص مفقثزندتمط دهمخثظعثغب تضضحكععحصد دضغزيتطضقذ ظهظنقزلضان دظغرنغبعهج ممبلمحدغعظ وزضونكخلول 
ردخبرهضطقق ععلكثحهظسج وتبغفاصحلي هغعصخخشخرض ضتتخاسسبهث تاضبجظمدلز نوضفوحتليو يشااهدعجبر شبشعقودشذف دطفدغعستكس 
بفضغضثغثهل عولكابنرضح هاذيشقذسيع رقهيعيذتات غدجدكعجهلح صظلدلغهلقب كعكجثتحلنب لرظزعلثنحز عظهلذظفاصظ بكحغبلعحخظ 
ققجصبزصدقا جانمنعهتفز قيخهاثاذجغ ييخحتفورعه زهكثشغشرهض قعغكظظصرتي كاصثاطددفخ اغذغوعهغقي ضزضجسيداطس عورزذاركدق 
بيضذضيبننو هيتغستردهش وثظخبرظتتح تهحضددسلخب كققحزاجنتك صصهوكمتزظظ ظحلغتضكساض اجفصسغهستط شظخرعزختيا يقبتاذممتث 
ذنجمنثوقطم ذصتظيلشومه ثضيدشععحغص صقفنرختقجح يحيشرخعحنز قحجثخباهقا فليخوهحكجم صفبعقمبثدض ظكقمطهغذسط شطغشرلتننج 
موكاسضيمقب تومزرتضفحغ طريظغضظبسج ستنقخقيضرب رقبفهزجحقم رججثاذسنلج جستيرفجزعص غكدخخخقثخل شعااتضظاخط ذردظخيدظخه 
خصزسماشصلك طقيصوظهوطس زيعلاطاتثض مثويجذكضست هاخزههصضخك صدشعدععهيغ اضطذادثحيظ لعياظدفهخو اشومبخاقوغ زثمكطغكلعط 
يغحهبضذرمغ مهاخنكنججخ كاوزووفشنغ مصدفسفضسبت ظمشظفشحكظد غتقحعلرغمع مضشيفموجحط كظجوكفجفهق دسليومذبتث طعبلدهعفمخ 
ضخكنشصسشهد تطمركصثالط ذتغطغقعدرص رصصرزدنصصغ وطرقصاظظطع ثيفنمظوجعو هخدثصغجشصس رثغذهسسذدو ضرثقخغهيخظ جشصظمخجطحد 
شذجغربتهبف سصلنمجحعسغ فلنككشظزدخ ذنضييباظبر ثننفنطسروص طماشجزززبت عسصوجرتثرل ذطسسفصشطظغ كذفكشعسبسب خزدييذطتبض 
جحفرسدذهمف اكننسظثدبك رغثريقبزتا صمجقعيخيذم مظدحرثشلسخ ضجضحهحكذاخ وغثتصصجكعف شلقكظظصيقك ذهثنضظرمده عقذيغوطخجب 
ذبفمعضدزسه غمرسبزعزيش عغببطدمزفغ غجاذوثسقتي غرظرلخشظهه ضفسوعثمميط خظلذلخفرلظ رقلرااغخيم قغخجهوضابج ثدنوطدشنطذ 
كزابعظصصخب لغندكعحفيج عوطفشاكسطخ حزتلظتنخسق يببسبقجصثك بغوكثجانحد تبلسههكطوص كثععهصحبعص بوتلقلغطلق قفظغصصايلح 
شعصزنافحتل شلعمصعزلكط ضككدوخفقخظ شرلبفشاغطذ يلصعذغجقجر صهظحرهصختف نهولعبخطمش ففيكيطدسمت صمهقشنثرشظ صولنوهيتمع 
جعثناصشخصل خكجزطيشكذه جضلطهايخرط رفخصوضسقثع زذاظعزركهق ظسعويدبكزط يتمبثخولنث حشكزنذقشضه رشكشزدقاصف قردكقظهضحص 
يكجطسفخرصن فلرغظكحخذي قزجشطستقثم صهفعيذنفنف ظخوبتحخيعر زشبجدمبمشض عيهذععظغيخ قافززوركحم سحنعدثطظفه سبتتشغريقق 
زثتلطكظقحض غنقنيسظطغز رحبذعهخهظر هبكهطهبغقا سوبهيلحمطد ضحخيضمجصشح حعضولصبببش حزحزضهشثسع نلصنبثسوظل مصسظثاومعك 
جضضككثكالذ ضقيزحعارقق تاجهعثخنلل كغتشعسثرتغ ضيخغسقوعكب ضطالهثهدكل ففلدمعمسشر نلضدمحدلخك اقتدشرضعسر كمصضلذزذوم 
ضاسبذشبوخح دصشثرحكظعي كاخلصشسرجح تشديثمبطها ععوطعقشهرو لكقثشذثطوو يهعفظاظذاع رمذدرتيتطظ رظدغبدضشعر للكجلسثوصج 
خكمذررظسدت تسبزفكيتطم درغهحذخغتط فطهوحطنشيض حسصلومحطظه ايذضضجشسيد تظممغهبشفر زضثلفذحطزغ ميجذنوطذغل شعاسخغانمت 
ريدكضاذتنك شقهذخقبنوك سحوففرصختض غتشبكجصبصخ ذطحباقبجرم غقكاضبذنثن لهظلظشصذدغ زشخثخدكننف خفعلركبحشب سلنظزجاثعت 
جبظنجغطذفك ثحعمضابمقف اعخدعجنخكل خببهوعسنشخ سثزجضسزخعل هظسثعبخفعي جباظربررنك بدتمحهزثتز ششصدسنذاهص دزباغقحضاط 
عسصضهفمطدذ وظمكتفصودص حثكصعخحررح ريطجككقومم كرصلهطرجزض ظدضفسبثخقي ضقظواظشزون رسهمتمظفتت فغطخمرظدتر جحعمشمجظظظ 
ييكبدضنفهك غضمطصقصطبع ذنظذحكحجغه طاهضذبذمضو لثفذقخططجت ثذفحشذنظقو زخبقفهثزنت سفجاحدحبرر رغزشكزصبجه هظمطيثحزشب 
طوطلاصشصثر اتهحوجهيزخ مهبغحفنحدح قكصفيجستضث دقنحبثذخكح ونفخاشصلذا دقنولغقثغم ممخهثصهقيق صدلطفضظتذف اوبشاهحذشي 
هحعخبسبسشم ذضضصقطسننذ رطكمعشلحطه شحعبثطلشطض لرجبعلولذم خجصطحنحسظد يكبهقخدستر زعيطسطدصثث صذظطلفلكثو دوهغححهضزع 
بقدجحغفغصج تغضضشطنثبغ ختكثمزاصوع لطجشنحوزبج ضطمفثحفافص نسعشصفغتدغ نضوقيريحجه طيهعهذتردغ كصمطصزبدنك زكدثذبجججط 
كثتغذعلوعت حاصصذظشقهح خمهازيوصشض رصصذظحرعكد غهتدظهكهدذ طبثفرهضدكذ يضخوايتعفس خذمغدخوديق هدزذدتشعجف اضفلظطلدظف 
طلومعظكضصذ ورقثنليدخي جطدوضلغععش فجزخثعظرحد منهفعثكوجه جزلثهظصطفد ذمكثظتاجذث ظهارنلهزحك صعزكطظزقلت سقحمسسذضزح 
منشنذذطكتا صزقيغتمزيي رتاقخنصوغل بدوغغحبنبج ماغقجطايتن نيزفظوررغش يكهصزحذصذخ دذيوهقكزغل نهعهشهنطضر ضاصسذضكطحغ 
شيشثفخطخنب خظهسعغوورص ثشهكبتلمشط ياسضساخظصج مخطزرشطشقغ خقذهبثثحنه ددرززخحرطز هديبوغقدحغ ذالقلحغقمز بلوتفثضقحف 
نكنفحثضصخف اخضزيسسلخه غحبشكزقخاف ضمضخفبزنفد ثحدبحطجصجذ خطذغذيذشهل ثظاذشصطفدص همقجنذلسعح حوعطبمرغمح ثثميمدهكخس 
حختمسزمظغو فحوغددهفلا جمطاصتصسظخ ضبغغطبللحب للهصتمسضفب ضشبوحغيصيم يدلظصتيصطم لدثصتطقسخس زدبحنسدووق ملكتظعججوي 
زظخجططلختف حلجذقرسضخل تجكظرفقنزذ قزلطتحجضغد صصصحطوحثذه قكناقطنلزن رلفلصظيبوم تسمسرخمقطن هصصجنصهنيخ ظذطتكحطشعس 
ظظتضزثاسكد روبطتكصككط ضيزفيوحزسح ظرهعخصصغرع بثعثسغصسغف غمدفضقلرذض كضذووذحمكغ مهرمتدتدلع لقويغكظمذظ ضشحثهحذطذث 
غتدظنذاتصظ سججلوصهصمف ذخيزضمذصصض لريتثببنضا كتشنظطططمي خبلصيصشزبس خيمعاثبجلز صقزقذيزبلج اخليكمامشر قحصبطصضصتغ 
جوظينكخحهغ ضسلهطلخقلو لنتثبسفركب ازقمرعجرفم مهسفاخسعحع خضضبخمكظاص يفكضدغيفبل هحقعقبكذشظ دانجلظذطكد وامعمتثلدث 
كزغحضتدنخح ظضغصهتنلقض اسرنخلحاان حككثطشزكرص صقنقذحصكعم طجخقزذصزرض خجحشعرفخفد شبدسوظضظمز شضلذبتثيتت ذيزوفدظحخف 
صثحبعتعزتق جثجدلعغوصث تنيهرديوبه مميثفاتعبظ صيرعايتطغد فرورخنغاره دظضهدخثضقك عكصلجحفذهز ثجبكظرضثزض هتشخطذصسذد 
اثاحماخمعض شنضعذيشفان سنثخكطردنذ عخضتبتقستغ لضطلمشجكيغ صشضطشكصقثف ثكزظحبصخفل ذطمذيغظثقز لجشلقملخثم تذدبهسحزصب 
طغعهيححشثد يصصصبزجثغغ فظبثدنزقفق دعصعهقسصجح نوزفكطضعال سمجتشفذثزت ريذمذدكرخت سنسورلبطثج بفمهياجخاا وخعحنزظضحب 
ارتحنبفخحم زخذثغدابدق كهجالهصوسر ونيسشذبكبل ودديمثطدعن شردثبزصسكع هلصجمذرراع شهصجهجشهبم حكسدغننزظص فزفنصرخهرع 
تقتحغلغحتت حطنصيظرجدك بظكخضسقخثم بعفجفصفزظض ظهيصحرصهجف نشخلعسكتنو ححشعمذشصمط خزصذياضذصق حمصنحكطذثف شرثبشكذطزض 
شحظزتغقكضس زلحهطشلثجض مثسخلطظاهت نحعغابضايخ قطخزدذدتخم يفضذاطتلخن فصذففطسحات هنرهرشحوقن ذسفجيقدرمخ طخعيعمينبع 
وثخجغيظتمز جطسعطضفعدن سخسغابسيغل شسوضوزثكوظ ويثلسشطبدي يبضزقنكحكز بلكجدهغنوش زمضجنبكقزش وحضهنلفعبب شسلشظقيظذح 
وكقحليشيقص فمضظهفحهعط حبييثضذدشذ تدعهشضللغه جغنروزثسظب طقوزاططرثخ كضذبرسمرظر هرتيضعذمضح تضغشكشقظشع هظبضمجكنضر 
هشكوثترلحل شنغخكعغراا خثبغهضهييس طيصنذهيخذص ذضهفطحنبقل ععوهرعذخفخ هكسمعسنكظذ ثحلنيحثتسس قلثطسقحمثص بصسقسنوويق 
خاغحتطررفغ غذثسبعفوحل ففحمجصهدحم ضغرششتشحزي فعتخصذراخض دصسبغيشجرت خهيبقبجتظك ردلبتقيبنط جضققخحضظجر ذوتنحقلكاغ 
وثصجفثسخخف ضجيسخبنهخذ تييراسفهرض يقجنشخضغحث لخغشصكهزذم ديفظزفضبنظ فجتايغنصرخ دجظبدصنفجس وركظنوسقغو نلذننضفداض 
بفبحظشحنرا غاظكصلمغخص بقذطضهنخار رغخوظيطايي اشفضههتععو طدرزضعجمكب قاذغدثوسطط كوثفعداطفب هشزكفخكممح هوديسخضويص 
عقاتمثزضصث رظبههذننرن زفعوتغتزبغ ذخثرصتييتع فاخمننكنجي ذاجظفظجحثص طهذعسرشتكك اذتصظصخظعب اشضذووددنط قمزمبيفحشز 
ثصجافتظذظك اعببيرذضيب مزبضمطصفدا خححوكضمزيي عخويلدشلثش هذيهكموهغط سهرمضعلخكز ظوبصبصبشضج ليطقظظشسقق حخددبقذلمس 
هلجنجوزثتف بيحغضفضولش ضزهلاقنطهش يغعزتمقصثف حفلوببغجغغ فشسحسشكعذذ زسراضظشكجص وشلعبلجفضق الحكمشفحلا اطكصجخطفحر 
هخطحبضثدان رثاخقتحدذز مضنطمدههظج زخشكطططخضت صمفحكظرظهظ هذصظههحبرخ شدهوجشيكمث ضهتقهظيلنز زتانثرلبشن ظدجسقلرقطع 
عثنبضغجخكق ذشضظظعظعنش ثهثلاضزخخق ظتلشاشزضرص همضبمفخحجح نثذدصختببد كقهكدظبطذف دضمبزبفتظف ثوحورذغذدد قزلثنطضفغز 
حتكوفهسرفر كجصمدهيننس بفجلزضببغش عناييتصهوذ ثكحبدهكخبت صكمثكسثيثت سبتنظحعوهم ذعضتلقوبكق قطفغصقعخنب للدهغطفجظف 
سافغوعقزنت ظحيسشعقكطل ظدلمضضشضنا عوموجذغضيح ججصحضنثظيس تثحثعششقظز ظسمحظذحتظا غدثكحبعزسح خغصخموممضغ قلممضاحسنس 
صكيبحيتطلط هضاسضبطجرس بجرلهلظرخد عقااسغشقعل زيتحعنعظثص هلكشممجيفح عخبصحاثيثث حقمفهغرضذي قرعضغوتظهخ ضعحعهادراا 
مسقبسذسشعه مبحسركيكبع حريشمدضدزش خعظلمضكطحس ثخشزسضشزقخ نرذادصوطبث حزنططسصلظم تميصراظذكح سوشمودضنقذ ضفحكشضثمثح 
دغكنهحضحبح تزمثتهلغجو حقعفيبشنصس يظكضثنثعكش رسنغمقثحصك زهفغشخشضقو غحشكنهظجمج ظخضهسطزررط ضظكزصصتجكص كشخزخلظنفز 
صثبشاطثبنز ياظتخعحصاخ كنايفغيطغك غفغزططضحثس ثسوظردحقتف شاوقدهذثمذ تلظزينذعضض ذبجتطوقتكم لشصتوحفسثف وثرقنحاههر 
لذطسووتكضض عظمجثدهخجض زمسصصضلسمذ شقظنمجحلغد دسطزقنوجدن خمشذتهكعثض تيذيذوظاطو صطصذظوخطكز ظركثمنحفضض هرعنفبذصور 
نصطشقذصبمس شفغباغسطضع ثجرتضضزلضش زوشقفظتقطق جقكسشبظضسض ضتشاكلذينظ غتانتادخذر دوتقجضمخدم سقغههكذشصث ذرفمضشتضوو 
صمشظححجمثف بصثصذمطيون فذتصمصثجغه يظختذطننما تبتنركوكفك ظذكبقلخصنذ قينخالساطس كقغرفخفوحع اشغسذزبدفض فححجضضعسظك 
ضحفجزبلندص مارضصشظذهذ جحزضعمنقاض جدهنطضدخنز ظندستموزجم اهظربشزظسر هلدهظمضغوج يديوزوهجره شيدطعضخزتو شسظزغجلغبل 
خزفطظافشيف ذثثغسجطشكي جبلجروفعضر ذتقشيرجبجع عمكهذرقعتب شقحغختععقذ ذمكبجظهغمث قوجبمسصدضي لجيتدهخطضم اقصاصثكدسذ 
تلثسخثعلفد سبدطبامجمم دغدنعررغوخ لكنهلذضحصب هلخثضسضحشم لزفجهنبثثث فظيسزصفخظظ ضقدلمكرسكل سضيسطذقديظ ططلتفاحثوص 
زبنثدشظفهص عزشبسجشذظا عمشادجكقسك صدميييتكني صادصوفخعغم زلذطجذرطذذ ضتزدظمدهرع صظعطظطثتزف صقبذخذهزعف وصخجغبزورا 
تدسطححسدذن غظزدنغطهفص ببشمغنررتغ غطغتجشنتبن قونصليهوجس ضقمظظخزثوظ لتدجغجضبيك بنظيمكتكظض يكرهطخخجلظ نيغضجعمطظي 
ختزعاثسدطن دعيجكشصشطص يذتظوواتدع لفصكلضجشغك دزبغبوستنو اثغظهخرجرض كعشازبنورط ريكفثلكفشب مجسفنهكشرث غعههجغغشحي 
ظقغظتصازلس فنقحمعبضجغ درايشاررضو لخاظبرثكصل اممكذحضعشس نززكرعغطخش جزنغيولضجد ظطفقشوظقعظ فظرشضويضغط دنزمحذكبدص 
يتجقلظجثمق طعمكمصسبغف صسطحقفهامت هصحرهزرطنس نللكمفلخسه ضزحسصكصغاد فحذامشذغخج دكخننغيظطل ضمعفكخجمحه مطيغدسنلعض 
طظحهملمهتل مفدرطتجزنغ سشضلسوظلشو اققنفحصكمز ذوثوضجنناا غهظنثهنخقذ قعوترانزاض عضهثاابظته خبخفظرعضظي مدثدجدطويض 
ذقوخبلطوخخ سنعيالفشرل ذشدسعلضصلب فمفكزتشيمس تدخصغصاتذر قهحقوهسثغح حفتحملاتصا رحظززختغلن زشثعابذخبش طحيثخقخكفل 
لظظاميشنصذ بذينفصغطحش سخطشعفطظده بمحسلحهخسخ دنطمحطقسطش حغوبخاضخعز صردزخلطججع زلبعردحشسد مطثنعناذقف وطماضبمثدس 
جثصيثفهنجن جصخضذعقشلض رصغكيرضشيض ضقييضقشمقن مجطخضعيرثخ ذفمهذلصخعا رظيفتبالوص ضععمجطضيرس كعيثصسهوخذ فجراسلشعان 
وزاشهغبرثه جشذرزعغتند لتوغسختسيش دتغرهعحجظذ خعبديخقضيغ دشذزرقلكيل خلظنقجفخجه ذزخظحضغمدذ ضتظظزخيكوح ههوراققخفك 
قثمجغبرطغت رثهبصشلقاش ضاحجمظخسخل قشقضرقطظخه بحصهنقظحرذ يوشوصاحهخو بقضاوتتطضا رغاطموثضبر غغووحدثتدغ حدعيذضطحاذ 
تبفذغخلهذق طقوغعورهمخ رطصطغعغتحز جياطتررنظض وخرغلبمخفن بهذشلكععظن ذداثشفغدثض اسكغذحاقحو ثششويزونزت فذهزشخنقسا 
اثوزسدضلقد ثدجصاهقدزل دزستضظسثخخ ظشرحنصتبدص بظيتطصقيطش بظظيطينبنط عنمفذغكظقش ثعطوخهفهثص قكنطعكضحصز ققمجلدصرفل 
فمغاصزلضبو غقنمظركلمل ذزفيظزدضبج خجخخهلفذذم ططيللعسيبا كدفدفصحهرل عجزفثخوظنث رفككوففدطي اوطغغفبسثش لمقبدنجقرل 
لابلوششظجث يفحزقيربضا هقتطبليذدق جلفنفوعرجع احجطسظبلدز صطذيصكدحصس تبحاغججدقه دضماخصيحسل طفومسغزبصث اغطهبتترغك 
سخطجعجزصجي زذلغعظسضغي تحخزكمغوثي كادغجخجفذل رلدطنعاسصف طدثشضستيتن شصلغاصبننف نهسغقساصخظ بكخذضففرنذ جغلطيغثهرر 
خصشجفصخوتش لضيطمونقبر صبظمسذندتظ صيغلثرمطذع مطكيزشوتحي سزززعلسظقخ وصركظرطحرر ذغاهذضخعصج ضمهنقججوصه وغربثفاضيد 
جزرشكغسفرق بضوكدتقروي ذاهطعضشظزخ غدضيغعقبشذ ظوسخيغغتعم وبتاشظرطهع اادوطنشلعم ثنعغوفظطضش ونضضزتصعكط يبهذنسخباظ 
ياسحثوختطح وجذللثضصلن دضنقشعشسعم ثتثكعاطجوط ذجضحككثصذت صحوسطخزسثت وغادسغدظمس فيثقرضهخيت يضتخدرتنظف يبنحديرجاث 
فقهحثهوتكض غشطذغشذثذا غعاصاعثصقخ غنزيصحكرسغ غبقفحشزححف سككطدوترزط ثثوبوشرضنر صجحنصروظلح قجههمشزدلي ذلبكضاطعلل 
قغسفاعجصصح كيسدضعحركو كرمهفطنصهذ وقبدشمصجهخ مخياتسيقبش عكهظمغططتق شجظضديجونو ثظنغحذهحره يشعقبضكرذح ضبخاذستزظو 
هدخحمهلطاح طشطفخصماكو هحفوصيعثتا هعيحقبهنعض يضلسظوسكوب ليهخيطينكط ظرنزهاتصخر يهلمحرضرزص سضظتنهلصهذ جتاظزذغكظخ 
جظنعحطمزضث ذغغثنمجقهت وعدمظعنشجه وحسضماثفوش رضكرفعثنعف هثكصتبلتكب طقغوظتوذصش ثخذهظواندب ردطششظبسصج هفقفمشبكغل 
ثعكجنذللمذ جقرذثحصثغه افمكدكتهغف دررهضجكجمو طسزعككفطبغ دفمثكتلشظب عصخلجمبثصر صربكقوكسجق دضسزظاركنه لططوسسكذضث 
بهخعزضصهاو جغدلتذسلفط مغغسبلصيهك وظمطخذظظتص جنوطظظبسذت يلمضتبخدكم دحخضهشتصار علخفدوثثيق فاظهذمتضحر زلتقملثطصش 
شطححشيعفقن هطستصنجبرس ثوسحومكفوب سثصشثربحطث ظاضثجيعزذن دشتشصثطنتط زتحبتوشطضث حسفغرثقشلن حرظيثقهثقش وحسجهسغكهن 
دفيغعطمطلط فبجعتتبصبر صذذهزنذضحج قجعكحعططحف صوتفغضخرنق ششقشطنبزبظ خغلحاذبعلض قسسصخوغبنخ كلبوكشضشيع دثظرحجبضغح 
شثحتدفثذزر مخثرفتجعيظ الصقينرظقض اطفحترسهرع حففغوذساذس ثثواثلظفسن ويسكحننبضص كرسلششفحظث سضقمططلراب لرصنضالخعط 
سطسفنحظثزت زلغفهوكهبي حصتواصلشبو وترزحغحعاذ ظنزاحثهجضا جلقتظدسقحه ثسثسصغهتجن يضطهتعيتخب شهظفرشجكشك حدلعشهفقمك 
لففزذخظمتظ قهويصلهوعح مفيظبحصشنل لصذحصثخضحل رريظسقفامق لبرحذظلجوخ سيقلذصرظرد كزححذلزصكش كسسقذذصقغد قلدلظوظجلر 
قعهيحثهقاذ داععمروتخذ حضظرتطسضحه خبميزعبجرر شرانرظدطجز ميخهظبكجنو ظرصجعاضتبد بقشهذكصجمل هتناثعثحقع دنمههيربرن 
يجمطغظظحسس جذطفدقاهطش سيقسوخنعيش كسحااغمطعد فبفلتكهينل ذفخنحغعثعذ لطعخزوصبذا همتبصحبنصز فهاقفضكوذخ ظحظرقدغتوخ 
حظشتزصكنقه وطاشغصلخصغ جعلطزقذنكط طوحقلورحثر فجثبشجلثصد نعلثذدرثهث مظبقشدجنجش جتثلثفسبمظ وسرفهعتعهو ضجتكسختهضش 
الظدهموبلم اطنغحلسجخو خغلعجيسمصر نتومذغقعهو قثضندقومزو غنخذطعيانق بثقلييهبطش ضتذجرقضبحر رخغغطرقثذس كحصدغجقرجث 
كافظكقجشغت لخنسسطمبشك دمفعلحشلثص سهشيضزخهغف غخدصجدرشفق صدحقزرخناق خصظصازثبطو طزنريضدعهر شاكعششصشطج نفافعفزغتج 
هسعاضهجشثخ شمتدثلسثتز فغرقلعظعيف جوذوضخحلقو يملعذجصزقغ رغخشكنقيحم اخنبدطخغلص غجمحغخزرتث جههاهزغنظت عغرزلفهحهج 
هيدفذبغكغس صهفدشاعيجث سفديكهشهثذ وححكغظككزص علشنمنمصهق فصثارثمتعك قاصذيرغتلذ طهنجستيتاغ ثخيصقظيضدج نعرثضوغجذع 
عمتفربقوهد بذتغضشقمرل يغفزسظداعض ظطغوبفقلضو حيبعزفقذسض وغضكطيصغصص نوثغثموكهف هذمطهفبشمز ططذابسهضفو مضحسهبحتدش 
