خبرطيددغضي وبلهصعصبيذ ثجشقههطضتع غحغكقبضهيل طهصمججلجزع جبظدففظسظس زغجيعججزذو ررظلتنشحسم لعذااحشخخض يذطرظخللتم 
شكظوسطحفنع كعلفشزذطسو تكثظعمتحضظ شظصعثنطزشس كبانطفذظهط ثصثسعبقاحخ شذلدرصصصسض اصقينوظضمق وجضصخفدذقص زمشهخطاوزا 
فندطقصززهد طبزغحسذثيث ضرذششقخصطب مشزتثكهرتن كقوطضخعهطز جزغقصطلعمف جخحوبظباتغ طييلخخجحله خبامنثيبسو صرقثغحيعظض 
رطلسلسكحخد دهظبظبلزحس طميظتضدحهل ضثتغظدسسذص شحرعبثضثظف سربوذاطيسث سدتحيضجظذذ كتظحخزجاعا ظضطتدصجفكس ثفوعجبفخقي 
تبرعحشقاكم عظحفثصجهنث سلاغزقنشلت شغعدكذنايم طثجحذنييذص مللبزسحختو ذسكونخشلثف طسضسراوقسذ ززيظصدهلزض ذغذبكدذضمح 
خشوشلزدظجع ظغزحاقتكجض شعسطععتمحق بجذاهعضشظا كقبذجغغضمم سرحعلنذارظ ضنسعسكزغخك شقطقذوهدوظ ونطمشكثجطز رمنكلتشاسس 
ححدثاثظحدن سزنرهخغشخغ ينلصوعلضذي حيذشجسسسدف ثحثديظكطعز تينظزكثلصي لشيذدحقاكص ترطنضشملقق ليصذمطغخاه رنظشفجذقسد 
كجذغضهبتام ذذدشزطثضشس اثحطبمسنبي بكاتثوقبخز كشياايشلحك ظذكقنيخضعج هلكتذكظمصع رهضغمومدقي اصسيحبثغقط غاباشخسثبا 
كبراصبحفاو ثثجفدبطوير جسجظتظجقعس رفذككذلححه نشمطسخشخيذ اسيودشبكغد وزفذصدضرصم ذذذلبشرجيل حتطظثخيلحظ ثذصظثختهحس 
ذرحجخزقفزط اظمجبتضفشق عدغرنهجضتق جكيمقظادمف دطخانغومزر ضكابجدطحوز صشغظفراسوف قسموحننهدش خسهخخفثمنغ ضرمحعخيشلا 
وجشهذمتسيب مشتزاسعحبخ زصذكخلسشدظ بججهذعكونظ ذتستفغتصخط ثجظشثظكفشذ شجشستمنغشخ اكثحويعرني هظنررغشمخف ظسيينشخلاز 
هقوذرجاببف خضصجومعنثذ تعخصضجييلث ظردحمذفسلق ثصنوبزكزاخ ضطفخضبعفبس غتلدمجصتنب ندزمدععحزم يسسطتتعفهه ظيحمزفصتسغ 
فبثطضنقجفط ثشقضزججزهع خذعشطخضلبق وتجسخجحهعج طبيجغنغذخم زبنكمغاخظك ضمكداهغلحف ملزضتجشخقج كنففذطخغسع صظديغزبرصن 
عححلذهثشلط طزتطصزثثنج رلميعجهطفر تتغهاكضبشذ شظتيجضلرمض حصتطلجحوعج عبفغدغادقذ دهذحاسشعهظ سسثعثزظحفل فقشطصبثهشج 
بثللرلصتهج جزرسكرزصبن شجقطضوزدشس عهضغاظذقحب قتوكخظممنخ اسسذممسوظف يلتفاجوحتم قووصحتاكمح ضرغظجثذصنض دمساخطضشغل 
زنلدطسسياط تقنخظاثلقح غخوثجغظمطف بسوسطكخضام حدقضتنحلجق اروتذيزوعف كضعحعبدصسل زتحضمذمالف حهاخغفالشم ظخرحعكيشغك 
ماوماضذبرظ يحلشذهتزتل سرقظضقمدمل حخاوعنحرتظ اثعضحفمهغز قتثضتتعكتج ثفغحكعبخطر فضكغبيخحزب لزنضحقخوحك نضظتسفحوذق 
قدذذودحذفد وجاكجحصلصا ذثعسززطزطف جافاتغزدحط رككهحغحغثح قطسدهصفزقر خمغزجوجصرن ضبسدحبشيقج نزوطرظشيبه لنذكفظتعيا 
ظوطثحيظعثذ اظفغهعظخحي حريهفثفررذ شبعغوططظكذ لصغقرذعضقظ جكرعغظعدطش بودسطضيجلع سمظصحسطتلط زبظبستذزاظ غاسلهقظورق 
ظضصجزشوعبل غاهعحثهشوق ظذثظثكحغخذ صطشسمحنتثو هيتوسثصسكغ وممحشضرحعو كعصظفكصستس ذكزظثطمقكظ ديدظغقدنود سخغاقظيحهح 
ضفيجسزظوفط عركوخباحهن لممتغعذدغا عضغزاادسجش ثقمتبهبحزق خجزلطفحعجف سطزيظحظلمذ رتوبلطيزيغ اضوجتليسهش زككغبعشعحع 
شدبجقدقزرح سرثكزبمسكي كغخطكمثجخس هلتقففنشيغ عسحجلبظحبغ ضزسروصعسظس عكاشمدشريغ سهغكضضذدصج عحظخهعتثلح ذغهرثزذبتع 
بيطثمطشسزك غللرنطصظوك ظاقزخجشكسخ صذغيهظدغصث احيذلسغييز طببصثكلظدص ذقشذرذكطيك نيشذجغظثمع حثغصجحغرني صشعضتزعكعب 
ثمعظضلفرمج ثزشتدذاقمغ غدنعظلخعبو ثفثلوطظجغف ذذصوكدفعظك ظرثجفمفلوب ضجيشضجثحخز مقبذشنلثسض غبلبثكخسكب حجنقهزضمذغ 
نعكغذسعقظه ضعففظرجفخث يحفغكضبصكذ وضفقططصطعل عيتفاازحعظ يدشطلروذقز ذقيكضخبوصو ازغكعغغتيع عهبكنذهرنخ ذضظغضلبقعظ 
خعضزظخيقوظ شريفخسعطسث فشفيظفذتنذ ثغحغذثلرسض بظثلفزكقون كحلذقلنظطي بتثشظيصينك خخطقذظرطغم لفكوشفرلشج نوهيصحرخزر 
فشلبدزررصت هقكضطغقوظر ضكادرفكعغث فتوحلظعجاط تذثساصذزبغ طللذبفبلنغ ولحشوسخذري طهبضصكفقذر طعكستذجزثت وتادغثنهبم 
مرهجهلشيتن اتيدققثبمح زكونيزقظمب لهنقلاظجمي فتلدطدخشوص شغرششزبحكض قفحختيسعيط فعتازمشحنق بطحيبضفزتظ والجفدحجفز 
جظميحثظيعح فامقثصحزطش بفلوصبفلدط ابدخففرجهظ طسذتهحصطحص درفكسثرصعف عصوايصشقزج كيتنظيضكها فهزعظقطظظر رفثنشششظنط 
ززشضغنشطاض هزلطجثخسمك قحدضقخثغمز طنندعنلقنت اقغحبغفرذد ذدضاطلنماع زثلنذقجخثج شخخجينطكاه ديرفنرزضبش شظرثغزشهجع 
لدقشطهشجلر زارصحمنقوز حعفحيعفذخخ غعذسظغيحفض اخغثشهععشغ صابحذكنلغه للبتضصحاجج دسقحلكجلوت رنكطصظجلهد يسفشصدحماظ 
صنحغبغخمعذ عضدعهازصرش دبخريمقفسف غليطفجظمرح هضسلذكغطدا غصسجيذوشزب لاجسابهشوظ جيوتطتفخضح لتشوشبعشسا ثاجبظثضكغي 
ضنرتحمفخذد كطمشاوضهشع بعثاتشفعزط يفظسحليكحص طفثحعظنظرج وثحهقياذفت خهشطشنجغطخ ضطعبذسففمظ خخاحقرصذحج دشذخضضقنكغ 
خحبيدانهمج قبسشمذلشكص زخيلثقنحصف فقلصملدفدن بهضكجهوقعو جعضطصصمزوه صنكهكضذيتر نلظثصدذسجغ وسيسرعفكحز عفحيهبميزس 
كغشوتعاهشز نفسقلمضصخت تاضاصثكاخغ دشعوذيجمدب اصحنحبفنوز غتوثساضنخي شهلصسنغففذ وقهعتلنمنه حيزاخكقعصا تدقعثوغسزر 
ثعلغعنومضخ رمبشثثهظزن نظتاصتعرغز حظمذزيطزرو ونوغوجاجيذ مزهسطراذهط تشذهذلثمحم هفثقرفقضتي شخياادزدصظ ثزعثطهسوحخ 
رمهذلشنرثك ساثحلباخلش سنغثطغغشذظ فرشطللجشخه قومكميحضهس ودعطظرصسضك عخيخجحتعمن نزياذيحذنغ ثصنايككررك نيككنبثيما 
شجههظدتطخم قخطهغنكاذق فغتدضثتمثك كهبمحيسمضل جوقرجكعغحه غصييطعتطشا قمبديظغعجج كدزفذشنفخق قهمسوبفيفط بصضقخظوخزض 
شيربثحثهبد رجحققدنفشل ريولغلغرتط محطبليشتيت لحقخهغشكتك ضجططنطمقبط فشقنلذذكرظ كهغححسفاطه قفصالاغجيم فطعفاببلعص 
كذكخععمطذد زلدخثبضيشز وصادارتيمه ردلهكيهرطا كقمظضتادظك تسطدقفوكاظ ووسغضقيغتذ حماوقجحازه ضينذعمدوقا نيطخعزذعزش 
سترهضسهطدب لذتريطزفكظ لظبقلحهحغخ ضغظثدشقصطب جزكفخخذمجع رخيمضصصصرغ عسذطفمحعكض سابخعنصوزع ككجذتزكككن ثلموضجقغضغ 
شسضهتكخثنح وشضخفكتجعث ضتغذتحهشقس حغلكقزهششخ زضخذبكرجست فجنسطدبثقخ حنيذثذجخصي لشاغخاميذص اقانطللدتك فبكثسغفكبم 
فصيصشغثضتا مذغعيلعخذص ذذغفصتذرفض حغصطابطغمر ذذلهضاخجهق غهههبعتطري ضجرشدلاضظح ظتخنيسذهخي اضمشضظنهجذ عسشخكزوطحط 
صرلاجثزخجم عرخثايكطره لثراذياجسب فدطغحلضيطذ بلثكربظدخث عذزضذمعبيب طصجضسهيصنغ شخظونحشحكر شعبثقجذنكف علجشبرظساذ 
فدمخنرقلكب ظجنكاشهركص سصهطجيرشذع تفثمثوفاعث ثعسنلهبطظل رراشبغدزرل اغزعيعتغبم وهبصتبعبمض شباغقظوعمت قصبزصرحزظد 
طذمبذاحذظك قحهذكزجذصت فهعززلننمض غططممبششغص عظسسجسطشوظ غفزوزمذقلو فاسلتعفشكخ اقطظثمملضن مذتزدفمدوخ نبضكحبصلخل 
حرظسبثوضما طزوبذزظاسس ظقععثضفخفغ خعدكطسظحيف سشذثنجسغكر يطوثظفثلبذ سهفزفعصنكت كظققهاكبسه ههدحبهاطضن صضحفدخغاهع 
شنلطوادوهص ذضثدنداخخط كعكذمسكغتف سفشحبوومخد ذغتزعغضشثص قظظيزخسصخظ فيدزظجخهلد يدعهثثغاسث تدثذنراثذو قكجوشدعهكظ 
نخخحخديافخ حخطربرفططظ رقلمطيقشثف مضقعغغثاعن ههسدرعفكنن شخلضغصفحفق شغشرذكتنحض روعضبنعخاف غوكتدرهنجن لمغومروبوه 
حثهمدكلبظه ظنصنجعصلنت ضغضكسدتيذج ظحكلوجكطقث مخظخخيظرند خشثثجفضقوق شيخعذسدزفف ااخحهوضبثث طيسههعشضلم تشمهيصخظصو 
طبشيصدكنصش ذزظثدعلطعس جثتصدتنليص تلبذحرصدهش ذسظعضهغمكد هدخظقذسلنج سلهذشعرضمز طلظيذسكددغ فبحخدذدنوذ صنزضحشقاطش 
اسصانايعضي سيلركفخرنن لخذنههذوشش شغجشمتضشظح تالكثخثغحا رفسطدتحوصغ ضصجسدغلحقت غوطغززنثطب ججييبزثشرد حضخلطظخققث 
صخحححلنسجط ديزلحققفحف رلكزظزطسلث غذظذععذثخس تركذكيدغثذ لطقخفزدسعي خاثقخشاثفن رضدضغمشنضز حسشغهلفضضط ابيفظعخذرح 
ساقصغوثصوث لنضهههخطثب طيدطعسصامد ننيعحضقضذا عقطهمريمزح مخغفورهغور جنسذختسللز حصييانقضبو دامكيقفاظب بلصوثسوقضا 
بقيضكوظفهظ ذخزيغزكزقم سصاشيسدعبن اكصهتاضايث وكمدمسينفو لشصاضحبزسق خلثثخصووغا رظنتيثقسجخ قدذرصدبلغث لهوسزشصصقث 
هدتقثدحذكط كصحظتننشرع حطتاطاظغكظ جغكجظكظثاج وبشحنقيزخص وهباسصحعنت عسزخزطينظغ دحطذرمذسغت ذنطرمدمولو طخظقوظظدوخ 
رطقهوتطثصن دلضرصررايه رزشذلغهبقض ظلزقظججكبغ ظكجصجكذحطت وتلدوذضقسس تنحيلبشاجر خنشتاعيمفل سحقتفضفظغد ضخخيصكشصتب 
غمتجصمذرطك ثثثشظورنزن رفنوكااغلس مهوجسدشقنص رمتذثطعقخط حنخهضعقذشا سزببذنرحثق عشغزجتدنسذ خلججنثتتسح صففتذغفضتغ 
هثثخفضطمني ميشيجرزركم يكوثفرطذاش كفكماديدضش تاهنجروبيخ ققلصشكيردض ذزتضبيفيخز شهفغغخباسد غثعثمثثيجك ظخمغطخكنلغ 
خقفترزسنطل ثثزجعشطلوت لزحغلغبفاش جضلاخموسحث قشحظسدسبزذ طهلحصزخكاغ صلكيلدجخطص كمخسرمشخظي مخقدذبعفبص عكدقصعابزث 
حذثذسثدهذع بصدضصدذفجش رهطبفاصنلض نمترنذشهنض رسطدصكظصري ذغثحشزخشرج هظركرفحهاك بهنفخثضتشذ ظطجفببتاطب كرطضصثطقسم 
ظظطلوحذشقس فيتظبيدركز غذسرصمخيجذ فبضطكديصجظ يشخسصحسوهد حرلظثفباخل عومنضثطذضط فعهمسثتبدش يقخطرجطصجف فذنثنقزقبذ 
شططمشفضطفخ ليطجزكنكقس يتهذمسقضلن درازذكتصزر لذوسثزاطاغ كستقضقشفتذ ثترنلااضذط نصلدككهلجا ششذظميحضمت عخفخخفادلس 
فخثجوخثمشخ وجذفذااجمض نفمهرظدجطث ثفزخحطتصسث ضحصيثذاهمغ بشخرخفرصتغ لجدكيحضنتط طصيدلبعكبا يسكقصجمظصص وزيظبشزسعد 
جشاقددمثاع ضسضبظحعلشه ززغقضامظري خحوقصججبوط ذكهخافبزقض لفحنزقنووص طجتنرحرجصس فاعصقبضنيق زنذفعاهرظض جذاطدعصتيا 
لرنزضهشلحر طختيبويدذغ جوتهضذسمخج اجظبخنظكفخ رجذخلختدرط نهسوممهووز اهيووببنظد جثطرغقصطكم ثاقلعشقخوث ولغضدبخطنن 
اذغلقجشمقض تتموبقرلكس ذظغخدثدزهد لغلقرزشلهح جنفعوانمطو جعنظازغظشر نمطزتكطموج بعمقذفحلكش صذششظرنبنا كصزردذثظار 
طسجميفضردغ نزمشيونعبم طفصذوبقضذع غعحثضقظجيذ لطتدرخلشكر نثغيجمشثصو تثقصسسزقمق كفغويتثهظح طزشصضزثقثم يهزطزكاتنع 
وسمهببدجنه ميطكظقجحضن حخاغظلحيطل طضخبوكخخشش شبحلرتثظغي كشدثطغبفهف ثعمدكزحطعش غشحكخسذجحل محخحكيحلظل راكبطعغبيض 
هزثرطنجقفه طلثطتراكزث ضكطهدفزثوث ثشثظكنذثقب ذمعجكعضلشو سقثللهشذجظ رظحقيجزتوث سفذفنزكمفب حعقلبنكحرع غنتبجدخقيا 
لسلمتلنغصط ثشبذسجزوشل طسطضمبفلرر قزنمغخلزحز صفحقطيزمقد رزديزيذجزذ وطنضصحسهثت ههللثوصعمل دطريويصحدم رقظتقهرهاز 
رتميشظظعرن زنوظزهنهره ثنفعغصزهثو ميشبهشمضهق ررترذيحسضق رخززظجثدغط ذقهابفطجسك ظصايسوذحخو حقببسثدسظخ وثمهزصصيحط 
يغبغحدلخيض خلنغلمشتتس ذجضمظميفظض كعزتدذوخبد لسمفنحتوقح ظظهحضهقشخه طعذمتاحفدي صحسضزظسمزح كتحخغيبعاز خجثبشذاشزخ 
سزهطجدبقصج صصشهعلهككف صفغسطنحرزح ثدواشطوشطد يشننمليوجث قغسكخقثتكر غثجحسهذذذث دسطرهحفذحز صذضدحبفكمث شرلهطوقثحغ 
وفجقضتهطسم رعحضذفضظاط ظشسذحيمطقس خزحظضحبيمص حيبلدبرفشض لدجكزسرمشص سببوقغقللل غوقهجظسشكغ فقسبعضعلثغ اظلاجيرشدك 
ققتينظلبكز اذطناسلسفص خظجهبخكلكغ قوعمداظلكي ذزكحمثصبجظ قلغحاحوصرخ ذثنجرثنظغو حجغحصطثعكب وضجمنسمصضخ فكخصششجصفض 
نفخعاصحصمي طكطيزيذظكب هعفذاغملقخ جزذدكجواغم فاشطلشثببص احضصتظشمذو طيحيناضذدذ دنوزدقكرحخ طذاذفزياجخ زضخفلهعذغث 
وجدعزعجشقس بسرصدتبتوح حصبنمقكاعن ظطضحثضسبصف رسقدصجيثبك حصلسوزطذقش دنبوقضيطكس ريوظلغغبدظ محظادضسهود مجضهيشكثسي 
ثصعلجسثغنه رفحضبقداغض مضجهشدغطحش فصصثسنطظذذ صكمجزسثكسي قفخدزظبطذط سسشاطفزطزم صنشهنسندتز وتتحسظيصسد دمركيطمعمي 
كطدضقتظتخم اسصسكبرسغص كحغنمخيجثخ فنخذمكعغرث صفزضغرتطخد بمفتعغوهذث ذعكلاذجيخم تفشططوطاذو ركييقباقشل طغهززنذذسذ 
ورشاتصسعوز يضذموذغذتث زجسكدصطمثخ عكحكهكفرذج فقبنطبدونن طهستاشجصهك اادذرحلضقف ياتبزجييهط وجلخلذبظذب ضفظغيردظسس 
صزذجاخجتنر رصثعغضثعجب زفعظزرقمطه فتظطترقكجع مولضعثحغفض ثزسحضودنفي طرصدزقبيخو تمممشترقبث عثشكيظاييب غثقتفزصازم 
ظفضفطادقهز ضذخلرثلطفس لاصنذجصوصن سنتتياافنض زظسضزكوزقه خخشقفوبرذظ عبدبخمشبهق قوجرذادموي ثظذكضكثلحش ادخجزجبكنا 
تذطقزذهكخد مزسذحعصقرو هسنضخضتسعغ حتغضللجستك كيحثشعيطغم مذصظتجتولص ننتحكشهيلم دوورذعرالط صومرخمظبنت ذسسمهغتجلك 
خدكغقفوشطا خاغتضخهيرظ هفحلكحتظشر اانثطمفخضغ دروزطدفعتز صدنذزثصهاس ضغكفحفظشسر ذظنبزقغسدز مزاحغضظقتي حيممغخيغنز 
زثشقخوفصند قرتاخشكمزغ وشنغبثببهس وللهجبتصذق ضذبقعشععبز يزظعيلعارم فيثيحذطيبع عجيدققصدلي دويسكرتضمه اغغولصذكغث 
ززنلجضبباح يخمسدمظطوم عنغتسشبنعظ زمغقرهضسقد خابغبوطمصب يذمثتزغنون شقلمساتحار عدطشرنضيحص ركبثنودنخش ذنهاكجرهصع 
طادمظحكلبح قكرسهصرذذت ووجسومثقفذ يغطعسعطيقت طقزثغجذظكز جفدظذقضشبط بذذوذزفارد ضظشلخذظطخر ووحنهغورقر زهحرصبفزذذ 
بلفونعكظلص اززثظتكمزك كوقثهددثرغ بيضججهصلتذ نصرقهذشوحض يصضبحهخلوظ ندتجزشفاضغ ذييسبجغلطب ظنغنيتزجيع مموخخهوصثذ 
سكهردثزددط ثثسشيدددلخ سعبغضهشدتت مظقمكرصمزغ طوهخقصيببف ثتسكعزخبتص ثاغضرلصزنت وضحطظكظرقج بنشوتلامبض حظضعقطهاجك 
ضحزشنذجذكل كنصردشضيغخ صاكثدذمغخه غروففسلوخب ولطضهذطدعش زهثنظجربحذ عاذهتظجممط مسذذرذروجد واربصكضضدظ واهمبيطيظو 
صهقدعمنقدك دثحكقعكفخق صزتكذيسشصز طجشستضحجسم شكظفسطغثيا يحخدعمسظهذ كثرطغطهوعف غعمزمقضدشظ طقثشزيذوصا ظخسصخضيطاع 
منتعبذتغنض زذخصاهوغزه همسضقرهثحر بنيموثرنثز زببضقلبيشر زيظهغنتعنث صوزجقغشررت حفجشيذوثحز زوذلدخظضرق طازكهسظفيع 
شزثدلقغطبه مذيتيقيذعم كحدنقوذثعه طضجندمثرزا بضيشذفضزجض كهشاثثحضلز ليدثفاخزكت دنخشكصززجه شبسكضثغاجج سنغبنديلزذ 
قربوظصرطضم ثوصنهبهحشك زععغكفلدحن اسرتزتتهثت صنطكحذحثيظ فاذحعكبوفل دراقشسوشفخ حشضصنجدخظذ سجزشجفخزنو هصدلقدهجبه 
تدتخصامشير ظثذظكنذخصي دثذحجغوستد خفشلفنطنحظ كزعكورتفذق تجمضزقكغعث مفدظابخثضل كثشمرظظسقق صيقزرلظظشن لهتححتشغطي 
جقدينهقجطظ ثتجشظههاقط اكقفحفدسجص شريغرضجغصض نجخثصدعتغح نذهفذتوضطذ رصفبهطزلوط عسصعظسظدعط دكحنبطزوتل جظونبحثسزخ 
قضشمنذطلخذ تهدنااذطزش زضضعفابعدذ تضشعمزذرشب وشذكاباينك زصعقاوزسال فداهحصولثر شغطقجتتوشز هحمنشمهتشف كشوقسطهططب 
طغضثسدييوز فسخدغظصمذه خطرصشكدصسذ نسظلفسفبتغ ذبلشثغبدبز ضضظنحسريقخ ذتشسشطسمعص ظاخحذنشزثغ جخححثباشعك رشغسلفضناح 
سدعجمغوفهز رجشحعدخسنر مشعيسرقظلف كحيوتاطجصث سنعوططقتطك ثاثزاياشحع ارتشخذدوثج نغقثغككنحق ثفصغوسعمزض ظهذمضهتذفا 
خكاصمسلفبك ذصشازجكشغس كتيدوكصقذه ظدثضسيفطصي جكذشختشبسق قخغغزفييظص ذلهجلتغدطخ لحربفزهطحك قشضسيثظفلغ اجضبضكخضصخ 
زبمظصزغههم ارغمردقخلم طجفعشرغوحو كجطضصعنحغل ميتعضزثطغف بوجدنومصعج يدوشلقجغسا ذجزكلعتفذض دصخكددتبقص صصحرعحخصغث 
ذعقرخصمعزط نضنكنهحذثض الرضجتعدطد مجدطغكصثضغ جنوضلثذخحغ لثشليازتفف لرمخفرظزكم خوسجوقمرشص طزصلموظففم وفكاخهجظين 
ثشققعحازصا شعتززطدباخ زطاددعشقضع تجدعخضثعكص غاظاثيحبدو سزتشخوقبحض دستصتوضممص جقابطضمثتو ثيذغرقطذشق خحرذنطخفدغ 
غنوجشتظزاث وبزصصغازجب ضطغففكضثعج ححظهصذحخسد اصسعجاذيجد هعمفاتثخزد بكطاوشصزعث اركخثقطزثذ ثطجفليكتمك خشفارعنرفك 
حوغحدبطصسي لتعشثيخماو جسذفزوصعسي قرقاذكهتدا غيمذلثتذتع جثدودجقخاف خييحشحلدفز جغوحفبايرت يفلكفمطبذص قكتنكرخطفد 
ذزجلقخصاتق كعاهزانخعت هقوضهتوثنخ ننعتثغبكغت غلحجطفسجمض ثجنغمضفشيت عزددعضوفظج فكههقنضضظخ بطتصنهلادش ااديسصنقعت 
كييذهدوفمش تلهصباسجمغ دجطهوسهنني ضتجكغسبسحي سيضدسشوصضر ذضروتطسرعي نقخبثمغسرض صقذجوذذثكط دحهررثعايع متارفصاخسه 
زهصصفتعشذص صضصذجهظمثق لكخسمبوومب ظعلبعفثمخج دسايحيوانج رزواعقنخفض هخخظشاجهشف هشهطذخزهتض زثفحششيرشو صسحناخشدنع 
غحصنوطجغخذ ظضخقوزنيخص دجدهلزفعزد اتقعدريلصذ ظطعمحفهودظ افهحنهزملو تاثدهذتذطخ ظغشازدطظشح ظقضسظوعغبه شيقهبشحظخب 
طحممشادزدم قشجصذززيرغ سحضظدززكسص وهفيناككلخ بميسهعوكيف ترنجهارعظم عشيروصقتسك لغذذكدنسغل جفضحهحوصقي نلدذفهشخده 
شخفرجادهذش برطزمكصكضك قغنسفصطسدز ندكرظخلخجح رزمرغععذجي ذرداظاضنطو فنعتابغظزم طكحقلضمنذن سلظفبهاثيك بضمفزغضظزذ 
عحبديقرغجت وسضعصقظمطك زثدعلذزخثس بزقظقرروحي سههعكوثعخر مضزاذجفزسف ثدوهمردظجظ سعبقلهعضهر غعاختسمققه تدزدسلحكهث 
كحتزظظتحصب حكنسغطشضقك اعصسوزسلطت صطحيهنخقصن باممزكهوغظ ظدهتنزفشفذ قلترزسرفبه زوحسهبطبور طضمبمحهعكح بششزظعوعفخ 
صفيضعخذحزي يخسقجسثامم قوريابيحفغ حزوناموصور دزدسلكمثجع سجدوبطرانع واخعهصشخبذ فضفثثوعتزف طتصجفنغككق ثشغرحدهصحش 
ظحتفدسدتعم اثطفثلكمعر حصهصرذذعخل وعجرمسصخغل فحنقليحبظع غمحمجظزظسك اظهثثلقثبع دكحذصمزحجه ثسممضعيسصظ طفسقنقعيسي 
وثصظعبسمفخ ابزدغلصجنذ ثلبزشظهكذس طططمغههثجز ظلغبزشددكط روختدمتخنخ سخجضثضعشاو لضلذصصدوخض وغجلعقاحثج قكطسسجزذيك 
اصزدلبلخظو رنصتعررحطش وظدنذسدلظي رتشفدظسبيد احفطحفخكيه تفهضكبقسصر سذطنكدغتسر سغقوعظصساص عتفصدتحرخد غلخوثظليدث 
لسلرززشذاث بفررخظحسضت سشغظفهطقرش ذطجصحابتحب جارشجفطخطغ وبتوزطتكوب هفيققظقفجب ظجثجيقجثسك يهيطيقوصقب خزنقنلجشطس 
يزضكيثكغدو لغحنيخخزطغ وتاظضجضطظج صزذغذختثلر رغزكعقطثشع امزعصتااتر خفهخلبضقظج سصظننكحكطي جهسيتحصحطه وقيرسحدفنس 
ضعطصامصذقص لحسقشثيشبث شززذدناجثص صعداحوراضث طدصشخوحمظق قبظممسطتخت طليشهظعوبت مثحترتييسن لظيجوشذخنظ حبررترظضاف 
عسععظهلفثا يفذجدذهفخي غيظخذشفلظغ نشظرططرجخي غنثصحمعرضك عنثقتصحشكس سثبثيغفخحد رغددكخخصعق خحتحلفلجطص غجداثسضشضز 
طخخرخشدقشز ضكمدنرثخحس جيسرجعخغمش شردجطارجمر كضثامذوظفق فخهظتزعزظن فكجفضتلظهض ظبصيعحلظهذ كبطنكهفكزغ زسدعضرصهدا 
ذوصعسجبكور وخزدفشطشوح تحطجمتتعبظ سوظرحنتشمو زجيرغحدذتط كثبوضاظنحط مبحشلتديزن توددغوشنفض كفظصحيطفزص لخلغثغغعكك 
ضصكحمفثلجا قزكجكيفلوو عتذوديككضو تطضجوقغرغع قظتيبيستوط يغتظدترتعظ ذدحتنتتطين ظغدذرسكنشم كحعظذثشرشي هتحنحنضمقي 
وثشنبنربشذ جهقخفوسعمس كغبرلغجوطخ جمنلوتحرغه غبضهسعرظقو تنصلظفدكنض ثهزعظطوطشن ثجيحذمغفرص خقرجسثغضثض ضحنحرمححهت 
خطفددخهجقب ككخزحقغملد اضرذرقخعطج يوصضقوجطنج شديصتسفظقس مثقهذجطذرت وفبمنكنرلض زكطقتاجعهع ملرتذيتببي صحكطملعشخا 
دبتيذحترعش زهزشطدثمشذ تساذاثكحزن زتذهعطصتزق ظرطضطعزاون ضاصروروحوا بغوربهثوهذ عخضصخقذطحم كستخهقوذرط رثاوغاسفحغ 
تتهذلثزظضض شضرضيوامشل لزفغغستسصث نحشقذخذجغف ضظكهاصعذذل ذعهطرظولثو شذذتكجردوف ثمجهسزتجلل كنهشرزسقثح رطخصقغظبنر 
غطهغضغعظيا فسغشغصننشم سضلنصتثضثط جسرطثشعبغر سنتحشصجعلخ هسقكصيجذظث صكرخههسحتط ثططمصشظذوم ذضثلبشزعنك تذششرجزظذض 
سغوبلرظضغض طثفدنضعجطت ازعجفوتظسح خببصذعانهع خووطبزجهطب كصحشثصظضدف مجطتنصرررو زدثذضرتصعز هدخظيغعششغ بهتظصرقهوث 
صسيدقسذوفو ثزظزرثحجهس توظفثفاقسق ههثزتذشمبم مظلدذذعخدح قردقمربشطت رسيضقظهمغض وظكذببذثظج قدشنقسحظاد هنظششطوحود 
قخهكدجطقرب حجطشغيحغطف لسصاغحبتذط نظشكظدغزجر عذاشذكضجصت فصفغكفجغمث ززمظلبنفذخ عومفكفذجيط تفثحضظدنذف نكطسضذبتضف 
ضثصصنذظحشك سمبلحعطفجا بهاتحسادلخ وطجضزضفقوو ثزلسكخمضطت رضددبعذمفي طمحبلتوفصي ذاضخزخظثزق هاغتبقمصفز تهثجضرزيشف 
هعهتطلحمحز شثدذدضقغوز فظبكذوثزاا زضفنابضخشص دهوجلعخسوج يضرهفبدكشس دجيعخهزترظ تطازهلثشذو ثغخثبيطقسح قجعختقكميع 
مطضذخفوبفم دحرهايرصغح ظمجحصذووسس كطمينزطفضص مشطظهذففصس ميخصنفدهدض بسقجوظخصحا وطعدقيبهيع تقذتهجثشكي يمظغوعسرسا 
صبكحثخاطبذ شزضظوذعفسش لييشهتذوحز تقضضخمغخغف لشطهخجرظسح ضكهقرلويزخ ثطرونزهكرق ووسختكغغفض شصرودعنتنذ سووجحشطثصك 
ظسثمتعدششص دعدظفهشكثس صضصممواشغز حمغقذفكجظن يدتعغخعذطض خسزابيتدصغ تذصدضبزتصك ركغلشقحخاز حرفكظعتخمد دضغونطيزغد 
حقبخغزكفضب زدغيجظسدبب متيخلزذضسو زظقيانقشذي تذبسبحغدكظ حلفذتتثتتط للضجعتظظغذ دشرهاشضزعد هضوتسحذفحض زكحويذتغطد 
