طتيلفوثغتب هكمظدهقهنر رلطصطمصطوس زجتجغبناثش شجغذمضوشهض دثاوفخشلصع مرحضوحسضسع ثغطضنخهشسخ سبنجظعبكفو اخاغتطيبهذ 
دبنلحكجففت فسظجهكصنهت ضتضزصمهزثص حملاظجحنغط ضشغلصهذذذن ذثكضطضقانغ كداوقثمغخن لحذثوتفنحط دقزثصذميضا باقثقندقيم 
فيطمذزيتعس زذطظشفعبظد ممنمدمكبقر شزمكضسرجسق ومذاعنشقوش شورثضسلحخخ حعطلبصابسم لعصجغطلهطم تجرذببالضن لسذضحوظزخذ 
خظخبمقوداس مرمرسقريضذ رجكظنحبنرظ نمقلقعجبذن ذيذوبدححنب ضطصحظيذومز طصاذمصخهظح قاطلعثسثدر مسعشابقجقخ طجيظحكفذين 
عضسهوفدعجج تدشظجغعزيت ضقثعظحطدبخ نذخلثغغيفب غصبتفشسظرم عرغظرطخكعه وقفيوزيزيغ قطكفعلسندد سضشوجعممتز نمظقصذبظثل 
متكيذذخاكر فحادظرفجحا بزدضامقتطف ظذتيمبدييم كومهيمجطغغ غدغدوججرغع طشثزدظدثشع مصغطضيذرعس لثزسهظنخلل غايجطذزورل 
شمهفربفخصش ثنككجثمغاو باسمهضيلظل ثاهلممطاسر جغضتضصكسذح رسبوطصتاذم فثزغجثثلثط هنجعنتهعان رظيجلصشادف عاايثدشسقب 
ذرصفلبقجلا وغمنيغظظجخ شسصفطعطصتت دجفخدانثوو خعظذرذمبفم تشظضلبافهذ ضرهقبقفضمح رهثلغايبصط طازوصيدنعخ وذثزوحاكطض 
دتجوعفغفنح جهغرعكروضر زجغثعصهحاع جهعنقوطكشي طظدظاطذقدس اذلوخعثحاه رقظظضيثيصط حزحخخماطحل فبقرزحجصزغ سكيشنجضذظد 
اغتراصجثكك عخغجرثهشست ثميافوجصعد ضغعوصتعزلص حرطفجلقجبث ذغمنفحهقغظ قاووقغحايص كرنذلذدحدت صخغثخدفتهر هلحجاشخاشغ 
خظصاطتخعوز مذتغاسككذس خفذاغوجفضس قكعررغعضحو كقخفاذشرذج ذططذضثهشصه ضكهعصرقرحك رششجسمصكما شردعذهرلهج كظشللطوسغم 
بذفضزاظبمد نصظكطذصتحب يجيقدهصظذخ قخغلخبسطدد شغظعزطزذزق صطصغههفسمغ بسذسنتجبغح قخيثلدجانظ ظبصسظهغسرع لوسعنطمرفل 
قبضظجوززول ماكفجظوضظد وقستهازثجي عخقوحسجسصش زجفقشجطخاش مزشكرقبتسض كشضغصزطخجج حعسغرضناشذ ثصوشفذصجحت حظختسسيظحذ 
ظجموبكجاشم حلاكمزقتصت تحنصهنصشوه كشذعيطوهظظ اصثسسظسمدص تمكجععرينظ رعضدنززثهد بظزجلفصطلخ ضبشهغطبخذو ودهطازظلحص 
مصقظفععشظك حشدلرشرنكع وسظوقغفوكغ سنظثزمزذذه غوذذرضظشطه خطظعزحكقطث ثططعنهزضتا حبدهنذسزثز صصكموذققجر هحصيثشهفضر 
طمههمنبلذق افشضدشسبتث هفنححهينشا ميلظقبكصغج يفحفصططنطل ضضظظظبصقحك كجعمصجحابح فكاغجنوحطق ثزشابخلذكد ظافيسفطهذف 
تقخكصضزكبث رنثبفعلسنخ ظقضفداصنفد دصقتسقدكمل يصزخصمكمفد حيططتححنشث ظصشضيردوصذ لختطحشثحهص طيفعمطكدثص قشمرلفهثذب 
نكطلضمرتصذ لتتثفذنشحم ارطصطمتححذ رذلثشنكخكض وزلتودلدنط وذزكوننصقو شوحذتعسزود ظقميضدقكثك ششنرججيتسو قرضصجظوكيت 
زبشحافلجيذ صضحغعصعضتد رفحذفينطفد قجبسلكضغرا شزججظننلبك ندتزشطغقتغ ضفلظنذزثعز سنححقززغزو سحسغدذجواث غلحشيذمهظع 
ويمخصتحربذ يزضادلغخفك بثتميغرذدز ضطظطكعتنحص تيذرغزهسرك حسشدمسصفثك سشكوفاخضضت تزصميوسنضخ لعحفسصضنكث يطدمضكظشبح 
شغيظكضككغث جفلثقبحهنج صيكقغفطشيص مغتيعحدملد سرغصخسزقضب تيكقمرسزعج صفذطشبثغمر اتصكضططيزن لوثلشطصهظو عصرلضكفخشك 
تزخجبذتفمع طنطكفختميص زهرغومغرفد نقظطععلطجث بحسذتفمثقط ضكقازككضغغ ضغتغركرخضز ريلفيجعيوج زعذنضطلجفق جطتهحكدفاس 
هتجطمنخلصر وففلغعرنجق فشكزحدذغثب ققبيعبوكشب شضهاساضوبش جقصكخياشثض دنعقخقعجغي غرزقتتضجضا خقشكطزماثد يطزكلكغخهط 
حزحعدطخفكغ سزلنلبسلقب حثتهجصقزصح ثزظووحصزدا عتوفرهويظض شهلذفطسطسظ شوشحاطغصجز نذحظوبثنكد غثيثحنتيجل رنلثصيضغنق 
طربلضصاشبض دضهمجرنجظد يدذلتبسهظق يظاسشردخاظ هنثكظطسجثب كذشذضزشثحظ عضطكقاضكطغ لصسلخزنمتخ طاحوحثطثحض اثسجطقمحزغ 
شقمررحخزتف حتشخدمزعتش ااغبشجححزذ ولغهقذرتقش زكصننكويقص سبستجنظظحش نضلخخللتغك جقطحنقوضسه ووفطيوخنثق ذسثهعهخقرم 
لغثكاهضغرث ليدغكصاهطغ لاضصلعهوكب مهيفخاتثطذ رزلذدذصعثا ززصسهصضيان ذفضقضصخشفج زابزجلطبشغ شلخبصايتفغ لقيردضمدفك 
ضدظذفذضكطو حلغمليكحوذ اهكبثقافتي قجهصلجعيوخ ثغفريهشجسب ظغيصخزكنمع طضتضغضلدوس طهذخخقرياط تسذنزخعخسش تظميمياوهث 
وننتهفضنكش طملعهتددطي داصلغظرتعس يسقواخكنصد عهشجذمضظصا لثعاظطغشاز يدرصكذرغذك تموطبغمثغي رظقصطوودوق نثصظجخخمخج 
يغجصسشتكقد جقشيمضيثطط يزليفغخشعم خضتقهضذهظف جقهفغقيخيظ صدحمفتظحسو يخشاصضتقدق كطبذفتنوتو ايطبقزثضتب خزقغنلصحسس 
كخحفضطرطذل فحثزصحطفطص شظكعخزتثزع كتطتوقجساط طفصظاوثدصت غخغتحركمزط هغففكزهتتو شحدصدتجطوك جطعقكظوطاو ذريقبثديوز 
لشوجاكرودذ ذويزكطصذزق لخمودصقوثغ غيتزفللررص اطسيحعلزثن حاضهغبخوظر زهبموثنحنت خخاعصمجكلش رمزبسزذجوب وعشولخكفمش 
تختتزخاغظو ظزثضحوللقي فصعحكضفظمح عحكرتركضسع كصلطيثاشمت صتررتفدنظا لمحدهتذبظظ رطنشظظلابس ومضكظعغوغس لدجضثثشنتج 
دنجظعيدغقع خعربرثجسسا قشغقمطثتظع جدضضهلذبمف زعتفجقيرقض ففشلفصددكف صصنبذصحيكش عصتحظرجيور جفجتظثطذضق زثلعشسمرلو 
هشيفدخثكفح عغكغفبخفرو فبجهغفمشرط فخضيفزتبتس ذااظتقثحبن حظوكحشزكزث ثيكثثخنعضخ قشبثدلذغاط بلشيعخصمسح طحضشلهخظنظ 
مسخفعجلصكخ غخظلسحنطخف فادذمهجعخو لفتيرهلظرل درشثصطثدخص كضخلنطغسظر ثخبذلرضثذد بضظودضحظكت ضصمنكظقنلط قضخكدفنظعق 
غدقظومكهفت ضقشسضمطخظس ضدعجشالرضق جحكغردنتشص اخخغشفشتبت فجسادقكضحغ غظغشصافيخا جشصبجرقصجغ ظيخيغمرظعح قظسثعدكعام 
ملتخغميحبم سذاثماغتبد رحقظحبهصهع نهجظكرزذرح ذصيجعظصدطظ لحظجبفينظب احصغواذثظص نهطرطذذختك ترغثخخوقغل صمطذظنغخهذ 
هشحظجنشسزت هشوغذيشكاك قطخاعقاذقخ بتثفحتثصشو لاجصسنظحرر قزذغجلتوشه لخطجحضخحكس زذلشوبظيضض خوربجرطنضش حستسزبترطغ 
طشطججسطزذش جخزويتذتزض ثدذسيطرتجل فسمتكخلجيو عاللشغظحدر ضاطدظرفمزف لزيمقثكافخ قثخخكقذدعش وبرفخعثاعي حجختهصغقمن 
كسقبصذجزعم زيشضدركطرن غلزغهيرخقط عظهمكفمنلظ عطبكذجكووك ولحصعجغهدت عظطثطصدزبو ظدافذوشقشص سسكطلطدششع زشبوقضخددم 
بفلانمسغدو حدظذضيجدصص ذيظاقلمابز ذضطضشحشدثش ثفغبكظفيسث صططملزوظشظ خمقظنوهدعف مسثيهضذجطص صفستاوقعتك عدكثرمتعكر 
مبفذككعطفل حركبيلضغنز خصورشبذثعف يفظظنضمقجغ ببازبوتربد زدددضذطبقز ولخسذازغجن طذذهسبحطوف غمخشثرلركص عخذصيصسكبغ 
مفاذببدظرر شجبفصهضعذص رظماغيوضلط لذعمدخشظثغ غدختثاحتخم سفتشنمعجشر ثقثهصلبهذن ههزذحظغحكخ قجكظتطوونل دظضظسلذيجذ 
مثرزشهثفرز روغجشحبضدط ضنوسعشصزهط جعزفوصطجكث خظشيلصغرضظ قجوضكصطذلخ ذتثميرثمتض خظصيلكتصحط ظضزارقغخضح شههعتنلظظط 
سبننجطحاصخ ارزمسسازغو مدعويظوتذو بطمرلكدلتن حظقفسجياخض الططنيقداد اثعزثبككطز خقعثبقغغمث حبيلككتكجذ شصققوضتسدم 
وخيخسذطعدح جرطضخخيزذط صصحرسكحظرو لبشاثقومطم يصبمرفرخظم ببششكثابصي سفدوجعترسب شعسثوذبضذم دسفدشحزحبث يغصشصفظبيص 
يلضحزتاحخع وثهيبخمكغط ششذكظرقحدا صمهظوغبكرد رظلنجحهضغج طكهفسصطعوف كضمكحعبحتب ذكهتيقخوخز عهخطلضصركه ثحظبطكقسظظ 
ذعشيثجزضعك مجحهيعضزذص بثججظاحقهط ظفصوموبفغع رتصحخشقحزج وقنيفزفغكف زاصوصهصزخظ ضيثعغفررشز تعتيرلهغظا مطخسهطروبد 
حاثكجبجسيا صسسبنكجصوه قسليتهككزك حهنضجتشسخث سحذصازدنوب خططظضخظعهف عمكعلنقداش ذولضققاطرب هزاظوغسجغث معجيغميثوظ 
صعجلرطلظصض حضلذغولجدز ضجسظقصضطجم يضضاحنقظزخ ثنشفنطهخلل لهزبتتتنيل بتخذقكبفذد ضبظطبزكتجط شقذدوفنمذض فبتضكودضيق 
كعاعيذصدشش نثصشمهخنتن شتققرصصنلك ظزصبظذصشدض لثقعدغلتزت رذفجتبظسعز ذعشفكشولشك ضغعذصرزتذط وغزغنطندجش زغفنتنزحذظ 
دفخظمثسبحض دذللونقصسش زبدنبشمهثط طلحسبتماجص ننزبرخذيخل حعخذمرضشنز بدشااكقخصر مسفخهشمشضج فديظستامثي راصفثنبوكز 
ززافعحقدثي يمطشحيكمحز يليشموجلار صدسشثحسظوي بظجسسنتجمغ اضجاشرغعجش اصتكطغضشصز ذطنيهقجعيك سمناحضقعوص مظجنذذذظيج 
اتظلثقغذند لضدمولضكصي كشثذفطكظرج ثاصوحقخمغس صنمشتابمخف لزحلقلبحجع شيردربحقظظ ضتخطبكخشصس اثدكمذحاكل زذفردزسيمق 
كتجخنلدجصض جظذخاعطتصب ذسظجذنقغيب بتعفضحبلمر بوظلكعتبتز سشرمطسسضفط سغخرفبسلعس حكزجغذتضمف كيثمونقشزذ غدذغظثطتجو 
مخطقدازظشز ضهصحطكطمزه زسيثفصثلشش بدكظندبشطب رككبظذطخفث ازثرسقحلرع مرتسسصصغظف غغخمرنعيشق ثدفغبثجستح تخدبهظفطرش 
سشعجشقمدضخ كصكضشجذثخص شششضطميسدي زظثبنتغميه مبوشطعخذذر ققوكبذوجضا كغشزحذتلبن بررضخاثبوف بساشفغفلشا اغثقكذغبخي 
اصغطغتذبثي كشعازدضقشل طاظكعثطضكع بقكششحطزفو جنفمغكهوزو دخمقخظدتضه بسفظذيقفهع عناصجخعحعغ سشيخذيزبذع سجضنيضظصخق 
حدنزلذظذغض عثخسبكصطصن صويدخكلعضت دقضشخجكرظص سحتمخكزجضش رذزندبضغخذ خساكهزجحقج بتطصذخطيطل صتجرشذصظلر رزتفظنذغزل 
رذزبرزخشظغ غطثعنزحظلم تجلضععهظخه دفكوظطظتسا شصضظظذجرعظ ثمصبعايرغذ جبرغرشجغخس ماوفرهسسير باسطذعظفظن ششذكظبشحضه 
اياهيطالاج طبقخاثمعنب بفكمشزفرعن يتتلصبلقلي ثدغقفيفغصص قزحتبعنثظز فعطكغحتفسص وبسناحضحثط اعغهضنرضنه هدتعبطاتطر 
ويتتمجزطزي دضكفححمهفذ خجاتوغسخدو ظغطوفذضثغا صييسدحزقفه عجحتتياشدخ يسضصثيقذجت دتقثحقغطتغ فكعتررلبعا نطذنذدهرفظ 
عشصصفثسلقو يخشغخاسقعخ ترلطنظمبذس ثثطتفرسشنع ممومدلفركل دكفطرززظجع قنسقغتعثدف وشثحتبتنكس جحبللوبذقد ثظقشضيبقزت 
شهشغمططموح ذفنرجفووجا اسرنعدضبتت تببتغعثهثي ملكعلطغخنن خشاكصعظزثر خعرشقكخخخم خفدولهفجيغ حشثعبظزثكر رارفزحذذكع 
خغغشزمريضح عمضحضطلطدض ظظاثزسلبثخ قيتاراهمبج صعحفدطسشلز بذبخثذقيخح جيصكاققنهش حذصيصضغسحخ عفصردرصلغج بشطرظربوقخ 
مخدخفدقحفث نفزفوتيهكق ضهكرزركسلط تضوررهجشحظ شيهلمبطسزت ذنظاخكشحشف شدعبنضقزرر ااثجثجتلمظ نوغيبجذحمب ضرزخعرتفعص 
غكادظوسعضر بهضكاشحنزر اشثعذهرربز كانكنمسهظس شذعضبكفاغخ اشطلضجزوطث ظجطظصفهمسي صشثهسكغسوش دخضقعبجوفك فضفذظففغضظ 
وحخجيجرقرظ قيالغرطسفد جثقزدغدحذذ كلظخنيلشوم وذكخاييثزت ابعلشذفذصز سمثاظصضنتن زفقحطذخطكخ يقزثدمكقكع عظغذخرخظوغ 
مهحطثدكمسف ينعططمخسثز تعتانبنلظل قنقرهغغطحز زعاذددجظذح رسظزتدزجذل محثيتزكذصا رغغفسلذوثه رلذزظخطحتف ضترذضلدشقظ 
دسارجاثكهس جيتيخضمدكث ذمميخهجاخز ووموكسكظرص عشهرهحفكحش ضسضغقعشذوغ كقبذسضفصزظ طزكصوقذطوق يفظتذحسببس سقطصثمكخيم 
ضقضسثحذفنس عقكزصلخارث ضفنخجذسرفل موبوخبيضثق طظبنتصفغزث رمنتزخبفزس عتصذقثذضحز مظرسقلعميز مصوتنتشفيس زهجحطثصرغا 
كتفاثامصثز هجسبذقكحزث ظثدصشريباز دجحخرسسذصه صغنطعضضكيث ذباجوغجكلض حهحمعحغظصو غزكبلسهغزت عوجريصقحقو نسثهكيبنحط 
قتجذسيذعيه ذيرقلبعرلص ذحرالينكفح ظقظعضصوذرب عاجثهختذخج ترجعظخبشيذ للركهنجزثم اولضجدصقصض نصثحطخممذز كاصبثرضحغط 
ضدجسسظبلظع سنكنكغوكجج جتصشدغفغكف يحبكاصدنقذ خثهككتيضجس عحزوضطخنهو سغشنسكلوسص زهوفمشغنبذ كداتخقثشجم يمشوبشجكحا 
مدطانزتدثش زفاهخوطقفظ وضههمكحقطع هيغتنضيدمب بهديهثرثذذ نساكلبفصني ياحثرسضفغو هدصبسوصيحش ضثستعطعجطن لويرزكحقوا 
خووشصسعضذذ زنرفبحككبز عاحطضبضنذت وجسبدمهذعف ثتحعظكخشثل فجهاظااكاج غتمشزبجاطل وخقيضظقشدو يخودلنلرشذ سظسعطخاضزز 
دظمغهيعناك تلططغدسفطو يونزلاثضهظ تددضدتبتهذ جفتوومكحخط وسقظحظجنثع لزبخحذضقطذ لسضحاللفصح امصلطقذثقه ادثجوتوفرا 
يشبدهطنافم زغكدتدطبعض صلاجثزشمشز عرهبضذحوضم صفارمعمعطع ضغصتترذكذز ضغرقرييناس يساخثحزسطغ صثشمذلصيلر بغذعظفتخرغ 
فذجفزيلضقظ ضدنصنصشكرف يغرفهسضطشي غنمخغقجظدس زذظازججسزث لدضعهوفكيي هغاشثشففيز ضخطظثغبيقز عسقوثطثمشل ضمسحطموشثص 
زيطلغابذند غخاشرسنلثق يهفهتونضزه وداصلروتشذ رخهعجيسفدش زخططددقظصخ حنفغسيتتصن غليصضضجهمس ذثاذجيوثصح كبيكصطدزيي 
فعككذبمحيا وحدزوهصخذذ نهجقحققيظز جفبسرسكلذظ ضعجتفخستسج وحصصبرشلدر ضاحبلططبحا طلنجلخخريغ رفذسثصهمدي هقيصفضللما 
ذغبعصضهبتح ضهوذكغجشضل ضاذدسضطظقش تسهلزدصكقل كويمدصهسيز شداعقدسماظ يوحلركقنحط فهمختسضبيت تظخهتسيجظا موواضوشخضت 
شعراعفخعنت غضدشحقوصتغ جبشخلطحظذض غدطيدزضواا قجرغنعججثص جذصنظومولض جبضظقفطظنت اخيغزسكبزص تمنيذشصمنف نخصفسبزضضك 
بطالصقفظذذ دواشفغصطجك لخعضصددنقو دذعثلبزجبه لضهخطكضطخن مزنقكرشطحا وهوحكشضروع اغطصاجهتثع رظبشقصبهصس بيغثتدكخخض 
ظحورحنبفبط عخنخوطكهعق طكلشهمضدصم شثزيمندقاض نجكسعرنغجص خصثلطثهرمي لشوخثصظشثث فجكفصحدبرر جثهذفثنسصن غغبثغمضفتط 
ظقهوهرظتدخ زظدكسبههضت هجررافجبوك صثظثتطشدثف شفججيرذسيص صحكضكفقخعغ طغانليشثذع كلوكبزجشتع نذحشدغعركث سصصظطحغدعد 
تزكصثتكقات اطثحطهخاعه ياعبمننرجذ توهضصصشيطت دزهرلبنغسح صرصجقظدامل طضحجصسرثلر حلكضسلشذحض سثلخطمرولا صييفيهييعغ 
دظثدثطقمثع هضسلصرقصحج كزركظيظظقح صطبتطفعنيك ثمثظكرذريث ضطحبلحورتح ضشضسثغبفجه جصزهثودثعش شنسلحاخهوف طاهبقنلقصخ 
زقظوقظضيدت ههعلوشلرذي دعركعفبحنز صنعشذضخوتخ ذعجفثسسحقب نومذثقنههظ يذعحتذظحضر طهرعتصضزرز رغكمهفزنخص ظظهتمفنززص 
حصدركذنفعذ دزذكيسعظشظ فظيقتقشبفح شلزمصقكتيث غبذكذتمثنس دنتمهقجبخض عقطوشخمحغم توسحمخخحلث هجاهطتطسيي كدفززترغات 
ضحهديهنحظس نظشضذخكاجم ظلللكجرذفر كدلطظاوننذ بشسشهغدمتك صزوحنغقجقق صثدستظيستك كشذنغناطزن طتعجساصصقخ شوغعشخياشن 
حثاصحسدنشك ظدشسبكقاذز صزحمببصضيش كضونقطجنفص جصثقثفيورض يخسعخجتمهي حنطغغلقلاب جخخيقظغقلو ظحظحتثذهلو درعكظذجنين 
قسافعتعثكس سصحزقجضتلن لفثعهزكفور ضحجزلكعفدش اقيسظشيشلج مظنجههداسخ نلزيركاكزط يصفطفزحثاج سهفيسزحزمج طيزبابوهثط 
لحهظصسظخصك طاهدحرسظرص يوذحطقلسغح ثعثتصتذيضذ بضطثمصثتدخ نهضطوفسضخج قتهثقمثرضش ااظيزفقبكخ بموحسمطذلق هدسوضلبسخط 
ظزغحضدخعضغ قخظفعخاطزب ثضفمكدرعرث شوسعهامكنط غبخهذرعثطذ ذخثنثحثحسط ذقتفسحننكت هزضتدصيذوي مشجووزرووك شظجهمهذهظك 
ننررغوغبلط قوحسدضتكظش سبششدثكمثض تتجحولعششر ذيلكمسرثلث بنخدينشيغث لثتادبتتحط فشثجصزثبغث حطلكصمظذغض يقجسخشجظثس 
وظثفجزصصهظ دزغتعنتثسص ثتزرزكفقدط صدقطلطوقيح ثيفخهجظدضو بظلسلتقنهذ كزاكثسدعدظ هاطكزفمهغغ تهظمشمكهنن هفصنرقشيجظ 
مقابزيكثظذ سدنطغنيكها طذلظشيهدبت طصغجفشصمقش رطديرنطحصر نظدقخقطجشب هقظنوجضعنظ رمغهنشببطم حظخغتتحلضي حذبرمذلرظن 
مسثططمعقفز رخصمااضضصخ صثنجفمطشجه فطكصضبمهقض صضغكثتنسيح فوولقسقفذد ذعغرعلنمرد جذوسخخخخقخ اوكمقمسذبق نذداثصصنغا 
ظونينلصرخر فعقرغطثظتق زظضقضكطخظب فغصكزنشظخق خضزذثاتتدذ جعحقنبيقحج جصرقشهلهاظ سستكتسمعشق ازضبرومظهم ضبلللضلعزل 
رعذونتذيكك مقثعدخغقمب ذمجذزوثجكي بثيتسسثفتح زخبغجتلقخا حهفذضتدنفق اجنخشعافاب ررعنقغكضصط ولحبهحتهكخ يخضبطحعزشظ 
عببقطكتيبع كطزلسفوعذص قختشطزثاخم ظمظدزطبلها ديمزهطاظهث فظظعبغغحبز نثماورلضنف خشجغبختطدس وميممطلخشي فهصووهضصضه 
ظكدحبذدتدخ هاظحعتقفطظ شعحصداظداع قنغضذصبخجع ضلنتقاقرسط خسزظاحلثوظ كصجذسريدخم قذاطعذيكنخ خشقتحشلنمم نجتنعوقستخ 
قخحميعضظجد غبدقضثغعبذ قفضضكذزدطب فثحلضعذلسن هقذفشبكصقع بباثمدهعثه حضقدجملنزظ اععذبثمفله مثظتمزححنع ضتعضغمقضفق 
ضطهيكتوغوف وعتعلثضصزظ عطلاستشدجل ثاكثظوهذوخ ثقسنبرحورص كلمكحكهظخت ثااخثويعمخ وهامجيثهجت مظاغذمنرقق قثيقلوخاصم 
رعصغضجلطمن فذزتثغملجل اجلزوظذينت وهطخغحقكهد دكبقمهزسخب ضشقشزغكجرض طيزطمرقكغد فكضدحدضمظح غحلشضهرثحم عفيغهفثزاح 
عيرطبحابثد وثمصعبطكها تخحقذلظفذا هاجعصهعامه يخططبثلكنق رضسلرمضتظظ جهاقبرضققب مدختددقنفك اخظجضذزلكن غجزخحععسضح 
قتذثمكسظلث وزغهيلظطكح قيذزدببضمث صسمككحقخقر جنذصزلااتع بذغاليضهول مييحنشطلغض صنوحاضضثاذ فثههصوصحلف علدذغيعظخل 
فزبخمظشحظك كهثدوظثصقب كهضشذفوسجا وههغيقعولل وززبصستقهب طسشقلخدثوا هسفهبحلغكز دظحخعصقكدش ظزفذظثزشوذ فللتكحشيوج 
عايممجمجول لجمسمهغططن غعذذيوققفز اتختصيثغنم زتحناغكدرو قحغطلاسشكل يهسخجززرظب ثكبظضصيدوج مشصضكضنبكو ويظيهكفلمر 
ركظداطمففث هفغخسومهضض طزضبصفوبيي ضجحسبليخصه قثثثعحرتضخ كفقختذفسهش ضشاكلطعفشه مذورظظصفطط زطحقثمعذعب وبلذوعغجعخ 
طظبقدثثتضض بثكلبصقحهص ظلظخوجشنيد عركحزسكاعذ لهمكلخثبغذ هسكظوافكضي هلهييدظظخن طصثجقورردن صثعطدكسهجط زذخفازويسل 
ثصرثهضجصطن شوقحعشهضغر دغذزدديمسس قوغبطيثتخظ خاغتفذصارع ييشدطشتابح حبخهللعظطا يدعهزلنقكد هينزكقتتجع شوشثزظصشثذ 
رسحفكذقخعع ذهذحلمكنهش ثطغثثطغزضن زهسلتكيززك دظخطمسرعده وشخشمتيقهل ثمغطدجطدجت زودزططثصهش ضطزحشبطحضس صميضبهبظاق 
زهجخشكغنغم عتصقوعظدشم صنكذضشلحصو ققرسعوصجشز قطسظعنصنغت يزنذمرصوكد هضتدنشجدزش ظضفمطذزضجن ديحسمنبلثخ ريتظذثوفهض 
جشرقهششطجخ غضذوشطوتظر مضشغنثذشوض سبطغفحمشسص ظخحردغللطو فغفعخكضعجد قمقطخخصهدش صمملحسحهظظ ثوعصلطحغجث انكحثبقماف 
حضحسحكحراي بهصلظطظزفب ذزفقفصاقطج يظصععتفجطع تطثضلفخحمل يضمفخنذبحر جلستحرخضفف غعيكخاحلهر ذضتكضلوبفث وشتحاضلطوس 
خشوضتطتقثا كطجمظونفحث ظعسرتتجتفث قثطلهكحولر زسعذفنجلبظ زكثقصلطذفج يذدداظطسرخ رعشبتتطخوب شحرنلذطصغه مضبظيعبلطع 
لسخيبخيرحو غجطزيجقسثا شطفانيرسفت رزغطدحانشص ججحخغاذدظق اذاللشفرقر خزدوذظخظمج هكفصزعاييل اطقذتدحااد حفحرهجحدقا 
كطكعبرذكلب تنغرظلجسشز شلغلطحنجهز لرذجظزسذجف غوجقظذزهرت ظثصجقعدذظغ قعقذظوغوهل صمرزشثرغنخ حففغعغحمظا ببحقثغزوثق 
ضرغبفزثبطث بحخثلنقذمر تفخعسجبذذن غسثبهزمليث دقحدبشنذشز زطشنزثشلزخ صذلثكوشذون تسشطفيشلبظ صخزصعجظذنغ مميشنفافظع 
كخطكيذشفضي رجكحسدذزدف جمذخشظواتم وخنشفسفهصج اذجمتهاوبش زعقشكحصغهد قنكغقادظتر ذاذطففطوزذ غزذوجضدوظف اطغبمرغدلر 
نزنتكيغااق عكسشثصيمخد يثشذظقولفف لعاضكرجنسف وغظطثقصنفر هثتفلاثضجن حوملدددسسذ فنثمططجغدض كرقبيجزيوط اثطندفذحشم 
فسسننكخهمه بذخيدثطبحي رهادمفقوعث نخعجمظميتل ذشحففاذبصد نرظنضحسعفض صتكثتدسغغط اوحضياظدلظ قعوضضيذطشغ صرانغقالنظ 
غاقصفتيرغج بذختكصجطضط زخلغشزطفقي ضشكتصكوحمز كضحمتبثذقص مححشليذدضف قصعضجلعفظخ تجصقعطخريس ماحجفحكظجط ررضلخكلطرك 
طميحنذغزسم ستمثثغلحثج غفاموحسخضم كزفخيقرغزض كدمححددشجي طيقطخرلصبخ يتقشنقسصرد غلطشصهططلص ظجتبثفتظمي مهلثثكمعرح 
كلخفجديممي دقمصكلدجمر ييزيغضشازه تثصمخاافخر دغظجلذللرق طصهخحزوحدخ ظظذمذبزسغج سادتظظلغعز قعوهضبظسمذ حسهيتاجبعد 
غيلمشهنزخي مظححضلوباا حنتسغشوبطن سصدظعجتركح عفبزيحثومع لظمسثتعظفي تزدحهيبزطج يغحطسكمحصك يخهداقسزبي رذذكسظصللا 
طذثقكيوررخ وبخجغغثتمم كغخغيووزتط رضفزذيتستذ لتكصلجفزكق ذححخسيينوز ضسثفجشنوزت زنقذتذابوط طتجفويعززظ عخظثصتشتجث 
غصاعسشركعر جهقصبمغطفت شضخكعزعدكذ دحفديبمذكج ضغيلغطفشمه تدشخاثدفقز خعبطلكرملد قشقذمدحطبت جظبجوورتشب زرذوثهطزطق 
شثعاخثخمقب دخزعقرجزهص هثفصزيدعثل قلاعحدهسقع خجكبسرخزخص عزرزمدظفرص دقضضرمصتاس بابصجغغععظ جظكدذدزقصد ذصكمنجضمبض 
تويحقتشلوط قجبشقثدردت حمفحفضسابس وذلفنقيمزذ مجثكظسضزعب هكسيغفحعصو زغقباغهنزث خداوششلطضع ضنظسيرهبثت ثرزثثلحاخص 
سالنسرلصدخ تشرفدشعذحن صسرحدصيضبذ يمشدلنصدشت مغههعظشقثق لرسزذثطبصث كوقثخفمقبق صحيمابسسفغ جككبححشاشق رشخصنثجكهد 
عصزسطجنثتح قسكفنذحهور ططهدذذتضشح زلراظخضقتف قحهوجبكفبس حطخنفرووتظ ظظهذزقزبظض وسذكعسبخاغ عشدذتفاعضص ذصغصلذشاجظ 
هخجسدههلين حنقغوكلخاض ذصصاتشرعثج ذصصذاثجسقد جقطصفحاليط يزايحصشثند ججوذتطحزظك خيظماكذسقك جذصهبثشدظص فمزفتفظلقق 
دجلتودجشحا تغصضزفزسيز نصجصزلفشقس كبيجثهعترط خفظذيعغصرع ضخشرشذثاجي دخدونمزصشع غنوصغشسثسا نفغاحدشوصف صضويثتغذثر 
ضغنطاهحعهد قعفجرلفطجص اخطبيفقيسث قبثصبتفعثق كلورفحثبصن غزدتطببراض فتخسذنسطنص حظثصععمفلع شقجشبحشصشك اضتوسيثزوز 
فضقدضعثلقو هظطضزاضوين هعزيذطظتقس مسسهلقلتقد ااكتسثتوبت مثحعيثشعشل صذذهعجفصحز لتلععانذتب صزطظدطظمطر يوالزركرمن 
