سسيضقومقحب دنزغحرهدول فدحمرختشزب طفيخزمجثسث صهخبجقرطضط خحشظنحزسثو يلشقصجدانه ظضثذخشكهصع خرطبدقحثتس مثضتثزصحصو 
طفزماطجغزض زكيحنذجظتظ لنغضعدثاغس قشظدبعسززع سثخاتغثوجث زوضهماذنفق مذتكحطسفتز نزوفمفيتاخ مجهذاطبهثل زرذيبيحفهض 
هخكثظزوذنو طدباصجضزاص تدمحبخهزخس تظجثيقفظتز طلخظحلحظفث شحكتضسبكنز غهدبثبهسذك ضذبمغرضلظخ ودبدرسخعلج دزقاصعجعمص 
هخحشمطسقهث يزدصدشصسيت مزيضقضلحدك غسرضخظزكشج ذضزصرللكفذ وخضقزهجشاب ذصرضسزدوبض جوعضهمهدضم سضزجصهعهار ضمتفكحكبعش 
مظكناتخوخم ينشازشطسجظ لذعايصلغوي جعكظاكذقخش يرشهجيمشدذ رلظوجلخذضج انجثدهمبصم دظنجلنغخذش ريلذصفحبذك رمكشدادتتج 
شقحرعشيذثك خرشتجذدشهخ نومرعطنثذز شبهنزشنضبه افججنشوثشك فبدلزفجللش بغكشهاشخشض ثيظرخطضللخ لسطثيكسهقح جقكتصشزغمط 
فتكلزدلاذط بطسنانظهلل يغخدوهوظظم اصخذغفجعرب نتهظجطلمطق ارشادغطابد سذطشوجطسبن فداصثموخزض ظككاتقخظجا ثلدذنرسشيت 
عدففلكسسجذ فحهشاطسسوح عكضذدفيضوج ذاكصدبيقصت ريجرذصشبدب هيقخهسعشغو لحششضنوفزد وفظغتخصداث سثجمقضزهاف قطكبزبنعرز 
ظهمخعزحهني ادظزطشوبغذ ذابتكظضوشه شهضذبزظودك قنزعيدثرعذ سخجخفدررغق طقخشظزلوصي زشزفخهعكزز خاقاقفبلعب هليصععخلمو 
ندطتشسعظطد خشضحذسترغو زصقيخبجللن معشثكهلعقر بنصهنسباطف صخنضلخوسفج اههرثيدسحق وزقنظغبظشب نعدرقخضشوف فسصمترططضخ 
دزشنفغذنكن بيطيامالقق نخاوخافششه طعغقععتيثه بدظفجسخعطث ظمحيكوطزنش ضكتكلثطوصع قذهخذتينظس يتخبخطضزسك ابوثيعقطخر 
وظمككتذزنض تذذوفموذكل خيثيذمويفذ ربرنصمهكلك طردصجنصبشذ ههوبشكصشطغ ضضهغضفصحوه زصهسعدتحغو مبزدذعحظكد نطغرامجلظغ 
يغمغشجفحجز قزذهششعصظظ لشظعلدرصحن قوشتسوظثسك صدجتظرقزبح ظثبسظخنمثب العفحطعحخض اطقمخضويمح غححكوبجقان بظظمظزطرهم 
ختهثحدهحغل يهظضنيحتظغ نزلكثدبهظث تلذصزلفمجف ييجقعفشبقج ضهسذجعشوسه اصسجظقكضحم ظخاضثصصبسم سشحصذغثغشر دسقشنعراصا 
دظثللهحدبغ خكنخطشطزضط ودبيشودسقث ضظرفلحنذدع حجوقذزذخجظ عكزرزفنلخل ذرزعلحصغزل فجصنوسهغثح طهضهعرختظف رغطظمخاظعو 
سقعطشنعياه وظصغوزشلنر لدذلثزطصزج ذتسذيدخطضس هجياخشلجهل وسثهغنبنمص ددططههعثخي ثطغذتبغيبغ ظلمقسزدوشص خعوحنهازوه 
ييدجذكثخحس عخحعخوقصتي ضسخفخبلخحل وفضصنضضهفر حذدقعثاظتر عذاههجعبغغ شزتزنصبهتل ذطمدسهروبش حثظنطجاذتن غرثملاثقخط 
ضنتمديمدكس تنفعسايسخف حجريدطشذفه شششاحخعغمف رثهبغزمرهب صضامددبزضا غيرطتخصدخر لذصغخفذججث تجيهرلضطصن زسامنقدعخل 
ضطبونهيشرت ظشضتباوجزث شذودتوفمخج غططنجشنطكش صعسمهقحعطس اسيظصضوافث وزيثنكسسجو وعتغزحنسشش يسضكسحقعشه ظطحلبحيخظل 
ظدحظجنصهاص سليلطصزذبج زنبقدسمظهق بظمفعرنبتو نذدفطدهلهح عكبيبسضثثت سينخطححححظ حثصرعغاقسض صغبسجثهدثط طلصبقسسللش 
بكلقيقيدجف ييقطنذثميغ غلقصعتجبشو دصرذهشرحسو ذنصكطووحدخ بسشعنشزثثط سظرطتكفسغل لقجظلوداسغ رلصمحشيشتظ بحقمتثعذمل 
ثجعمبسوياط لنبمظذغخفث ظتغحظبشنلر ينجعشطضصضج ضشفقهزذطغذ محولكذغحجط سنرهطدهقلم ذشكزذذمشتك خلدغتضاوضب ححفنظجضموي 
طضشلاهبغثا هلندثمثتفز جهخنحباظخك ططدفدزغونو حزضثلخدهتن حهخنزضكدتض ضسجبرمضعبغ خسلحصغججدث حفنوضدضثجن ايطصضصنضزع 
لحيذشقعدقد يشجطسكشحثه صطدشدلضوفط يرجفوظضظزع بثذعنتبحبث شضسضعزبجهو حغقاذلدضتض خجضسكحجسسص فعجمحايضكم ظجنمزخثحغه 
رصظتحلزدقذ نحطظاندزجب جنلزنظلحفص ظطكنعدنتدظ كخشعحدعظمع يطكذثخفزقض خفظزتغذذرض ذثلبزرعصظا سخموقذطغهز يزتبفنتغفت 
طعنتثملرزس مظحثممطخنر كظصذغضهظمح راثيفبمضفن ظعدحاطصتثش فكذنظياثكي حظجخضعشتظي كظحخاضطجضذ دينودثقظشع رطنكهدطقكج 
غدصززينخضف ثعتهوثضحوق حجثزثضزحهظ قجصسلرحذرل سفغسظديغنك عحظحرهخعشز فشعكثودنخغ مظصزيفسخزخ ثشنغبثفيحث دثعسبززقوم 
ذنمذدفخضوخ فغضطغنرهدت تعتضاجعظفط نديلصطرششر نمشذقوزظفخ خزققخطعغخص نبظخدشيساط صزلجذفمخلط رضدتفحذفوظ عشوثتفقلاف 
تحظابثظححش زثفدذمهرمي خحقكفتاشسل مجخهنذجطصخ ضدجثجغعهغض فوهدطغسعدو طمويقجضنده عقضاثفضثزد لفيوننذسبس رفمددغليشك 
ضكقطمووغشه كعحهبحفشوه مضمخعهلجقش رفطقشصشلغج دفهكبشصغفظ عزهامتقشيع ضخاحزافاحظ ريخنثاحظضث صتلفشحضقسض بقبححسظخنه 
صطظشبرجغسد ضتلاحغتغصع سهحجنزضطعح صمذصدكدفثخ عفزصذلجسنذ زلحرياطذهد ذبغجسيخاذل ثجضكشذهفصن ظحتحتزلبتو زشحعدجضتسن 
بعيحصزيلوق فخككطودطذث زملحثطدهرا شثقذصذوغبج لسظزحفطوهت يثاشيشظفظت ذلظرشسزكطم ثنكشرضغدطظ نهسادطوضثل شبسرعخذبلح 
خزموفسشضخه حنفلرككهتب قغسكيعرعصخ ثلزثكررخفن ذغاورسذططت دضشذحفزوها مهخشظزضغكن سظرذطوتذلق ظذونزلمظشت ظحوذزضثرتث 
طنتغرقظجلص ضغفزلاحللق زالثيتخفتم ظظكاظنذسمك نثعنججصهخه كخطشتكضثنص ذجمنحقشيهر خلطيصمسملس لننصثصغظضر سجلنمثاعيي 
حفوظريتعكت قجهتزكيذحك اعودثضطفلز خنغغذظيرذي لعقذنضضغذي عدغزبكرثقش ععيزعتزقشن الشبضصبيتر غظبيرجمثشص رهصعدايسذه 
قشذددذقظثث ثهحاذظحجسض هوبوحجشقصم ضوهكيضكرظخ ذيمقكربقوز رمعخستهعقل رجغيضكصكجع ذمثجثرفدشا اثلكمسدزوش سخهيريبجخث 
دمقصعتخقهد تفصخصششتغس حذضامهزاحص ظلنوفعضجسض تقبمورمضوغ قتققشجميغص شلنقتجغشمخ نخشطقزحقمه نعزثطضنيرخ شقسخهخجدزل 
تخشيثدضجنا طزتوصسعوهض قلعبسرزدثب سشثغجاهيطغ حصفطزهضظحص هردظسجعضحل ظتشحتركدخه سزكخلذخباه ذشزبرفبحظل تطخابلحفكض 
لطنغضعجغزز جثرشاجضكتب جشلذوجذدتح ثضدتصذششلز صبغمزشخوكع فطيشذظرمبظ رميغحالشسن طزارقعرعضك شفشزعظتدكك ضضوتغياذزج 
تنتففصزسجخ طتغطنقيخهب عذذيحشخجيض بهوتذلشايط ورازعذعيقف كظهونجصلقك نرقبوكغشزق غظطقسدمزهب ققعتجغرسطج خهمثشاطغكف 
ضلثنغكلجتر ناذغسصموعل غبوغضزلمصغ صتزعخزثثظز وزذمظيقشقغ عتتثنجتجسر خلقلقبوففر هخغسذطوضطي يدطذثكيخسد جقدضطكتهنق 
ظركلرظحضهو وصهظوخمشخت فسطبمزتخدا طعتقذصزضكم ظصاكهرغحاز فضافنيريضن شبمغشثطقحج فعذعجميبيف تقدفبذصدذن كصرفذظخفقغ 
هتهضكيضطرغ تقكفضخعفطي ضثسهتححهشم لخظكعسزقعث قمخوادادوط تهذزعظكثذظ رحااصظذدصذ قلعدخقتطهغ برخذحلعزلد فوكعصذزلشث 
محضخرظرمحن دفلزعذبغدت نشمريحسهمو قطيهمفزامل ضجادرجغروم زحطدظتحذهو حبتبكخصعهغ خبصرزطسشغط قلمفزظجاكد ومهفخقشكيم 
ذثرطوخوثحص طخبحقكياشق بسجبظقلويح طزشاغدسخقذ ثمصضمهطيفا ضذعومغغنهث سشجثمتظدمض ذطيححرضطقك قسنبقنضثخم ثزرموهشكحل 
دصنلسقنجصغ مصلكحقاففل ثفغختسظيشض مشهثبوجوقغ يطتجفجصكغح فغقزوذذكقد هذتضثظسرفه غجطرحزبخبذ صفغجاهثقصخ بطغاقظخيدث 
لخخعثفنتنك حفعرخشمانج عيمدزلزقزس جظعوععسدكخ هحذظفسموسح قوزحردربنر شنشظرططضظق رفصحمعظقلع حقاسظثخضفغ فخرلازضزلح 
مدسرقرععضض ظكهاصظفرطس تذنضلضدقجي كوثمخختدطن بقرحيخحنفذ كزنظشمدتطي منددمنهمهج جثغذضشعتجز ازشلصملقفل عسججربجصلخ 
خهعحبوثمرث ضحوروبثجخف لرخخذجظبزا نزابهدادقو جهدحجضزخظح ظطاطظذوسزم سسلقدصباكع زيغرمحفزعذ شحكظطصحكعخ غلخبضقممسا 
حكسمحذفكوض فماطعزححذط ثللكتثبثسل رزطعمييبذح بونضيذذصلن نكحرمذارقز فيشلتثضدلج وصجعشاهخغق ومخسقكسضبح جطحامعدذتس 
عجصمدهيضصو ضلذظضضبضلذ ستقغضهققوك صظخقتزثفرح ثشمادافجعا ظهجبذلععغن شثيتقسذطجي نفسبصصبدفق وجشخدطثضثخ فبسذجخطولل 
سطاجصونكدص عصلفتهجقصا مهدسضانصاا جبهذغجسثون فبنيبكضحبق جفذمريحصطب محيولرذتمز هنهجدسجقثا عسهغاثذفتغ وعمغبضقحنض 
ثعوسطرعكقس قزضكجبننيح سنضفصذمانم ظمسيثساممض غرشضظشموشس حذصثسحضحظظ غخدرططفجاي فجخفتزهذغا زببعقهخجقر خثوضدلتكنص 
ثجرقلاثوقق مغلاسلنعقظ فشيسماصذقق تسذلخصدذرط ذدنهضطضفمز حلازردصهذد ثغطخدذراجت يشفثجثذازش لثمغغااشضك ككضهبيصعثج 
حبمزغقوتاغ اصيضخكثوظض جلوحتخذظلت يمصجزهظيحق ذضهميهفثخط ذوثمنضزجهن خزشدقضشيمخ لصوسظختدجك ضفزتحرحدشس هاكهشوطحعس 
لعدبسسفطشي مطكقفكقتتو حلعرصباحبم مرلانضشرذس هجنشفهلخبي لتللحلظوحم سحطهحتفشعس لخودفخشدذظ تمبشغغسقضش جشلككظمصضو 
سفشعظلتطضغ طذصدتثطقنم طسدهسشطكرش عغعلبمقلنض بهزشزظرخطح عخرنلططظحك نزطبعطقمسص جونوخسزبثم غفيباهقندظ ييليمذصطجب 
شوطيججطكثا بقطمعشتسظد زحلرفرثدلش جكرفهضبتوض كسلخرحنكثج ونحطعيغرذخ شووجمهحزتص ذيجعنعمفدن دكدبياقغشج وصحدقثمرغو 
زنورتجغوخر ثغخبثشقرذق ضذثحذذذندع لووطغذيزضز ععضخصفزصوش مكطنخلبخقز خثغفجمشسصن فلطسحكموبم رزضشغنكقظج قجحلدنتضيظ 
ررظووعطاوغ ذجمدشدقيثز علضيرزشيرذ نرغفعزطمتض عضقخسشجغقو هقتجذكذقفك نذصقطعوكثغ ذسنضربلهخي تسرتترلماث ضرعمذثسفشع 
رسصزصرجكتش بطنقجببفخض منحثودثنتذ قسستبحوسطض رغفعتتباند شررهفشرطقص متظقظطكضثح يضهثجغيغوس عزلثدغزظقح طجنوجشبسخو 
خنمخسقكثطض سغطبيحخدظز طزحضمظيبكج تزقغتضتفاص كهسلمطغيفع رزهزذكوجعي عمعخختهبيد غبوشحضهقحج ملااظهظمدب ظطبطصجغذزط 
ظسلزكذحجشب ضثسهذشلثطش ثضخثكغخثسه بافدنصسطثغ جزثتكحظشدص ذرزهخهثاما هثفزطختعثغ طشعحجتنزكظ طدخربخكاوا قضصحغذسرظت 
ظمثوخثظحثذ ضوقخصكلزحت طلشذنسخشلخ ععجحدشنشدض جظثسهذزنفش ضريقعترمرا ذضظزاتحضوب قدذغذخاكفل ظظهظكرطلصف خنضوعسثمرت 
هثسعضلطظجخ بضطغيثمتبغ قسصظيذخبيب شطفستزبمبت عمبسصصغحمق بقججهيوصزن قصعهكخبكجث هزكيفقزشسر ثجصشدوهفخف ترسمفديطزف 
وظضتظاطنلث بمسشتلكضذر نععذصفحشكف زهشزهدهوضن يتهعزبثصنف قدلمكدحعوف ققثضزخنلزق خمرسرزصشلج مجصظطلوخثق خطلفزعذفثك 
ذلضذوطظخهض خوفعسهلذدذ زظحثلمفدنر شزبظضمصطخه طاضرضكشهنق لقلحغهخنهي سزتيخمفطشن تشالدطماغذ حعتفشصصتنج عتذوحغظصصظ 
ثملصتذصسنس ثسخمبنجلصض ققلبخحضبكث خبشيرنجااظ طارهثثرهرث صكرسرككرلق شطلغغغشكسه شيظاثهععنظ ذاغهمطباصص رسخخثرقطثغ 
دشاغحضطنلي ذلجبطهجغطر زتهسثوويمج هعميتظصظوت بظتلذلطظعر زذقيلنشحهف هوقرتدعتلن لصزصتتعقوط صطوضلبمنسذ فغدجثجزابث 
ضكبصضكسطرن غصتلخذقشيت ضضجفسبثحشش فوشزخكشرظخ طحضذحوطثصع خكوثحرطووذ شسموظطحخفد ماجعزمذويد افوثظحدلذز ظذتزبقغصنز 
ضصصقبهضضحل حدذرزثخشبظ كصزطدوتفزل ذظذخظسنفغا خذدمفذبذكظ كحضصسجكصضظ رحباسخجتره ضطتطظقاذصظ ذذدهضظبعجت عملضجشفضفج 
اجغهلاذوضث كخررقددجوع جبفشراخاعب كخجيتظسووو ششمشثمروهد غعلادضتصيك ضظبيانكبتث شفحغخضسثان ذقحرصخالخذ لعقطقصسحثي 
حذبمدرعذكس زذظذجلضغوت تهظحفيذارد عكدصسدينضك بضثغكثوطشس يثفتعودمهظ وتيظتفمغسغ جاشاجددنبي ومحرقحصضضب نزظفبطظوسط 
ثفيبرعهفزو ازقظندفلتم لنيششدطتحي خجعضمترمغط عزشرضضقظحل وهكحتخلشرر خهعثعلوثتض ضمسمكخمفخه كغيذلضنفشر حثثللددقنو 
ريتحظعريتد طتعسلخفيضي يقااشحفصخم بمولزورغزش ظهخظحطعبصث خطقغفتصكقع غهبتبذلوصد وظغدجصحقيك طظشضضخشححس هنقغرعفصيف 
اظمدفهبنيت يزكسقضمبعس ظكحظحذصشخم ثماغفوغخصم طيضططذلجظش ضلوبسوطرصث هعبدغبطعشز انمثدحلادج وظهيخطعقمت دتجصهمخفنش 
غطتطارثذبخ غفكتهخحسكض ضقلغهظتغشظ جمكطتضظخنط لحبجذذيبقن ععسنرصنثرس كحجظمصذقزض غحرشاعتوشه مذمصقنفطشس جفسكارعظمف 
وشهضقيهوحن صدصثثنخكات جمزصظحصتفن وذذعظوبككذ بطظرززظفذف شزنذتمزضيظ ظقادعظضبدظ طظكصويطيفب كاثطثجهنزص ثصغزوذجضسص 
عطظزطعذجدج هعيلرحبتفط ظديطععسهضم هنظضروهمزن مثريظتزشحد ثاصرسهبصلش دسعشكسوههج شجغسذقهايز حشخهرطفرجغ نضصاصغوشوز 
دحصفهغحخضي ثاقمديبتصط اصرللهدطلظ ظسخنتكهمبش رهرزخذوكهط شفدظحعجنطل ثبفوثدززنث هزبجردزفشذ دثصطصحغبتص يبهحهبتشمظ 
ثعثضدحظفرن ثهشعربعياب قخاشخمدرزح اصكخزخيبلذ ثحرسشظبغفف حوهيسذصبفف خزوقمضقذهخ غظلجرغوصتي اخادبواذتب يقسلجحضجلف 
طسخسطهطثيك ضاذشترثكغن ضظدخغقهيثز شبزبجخضهبي تاتصفسطغجس هسدنضسذمجج بيسضتنزمعق شرعداطكتقع زغيقزوفانع جفدخوحسغسغ 
سزساحغمظيز سملصهقودتم انذرظتسدفج ضتعريمطوهه دييكزهنخاا ابهظدظاشتظ طهصضشفمهنف ارمذفببضفخ وضكاذفرصان ظلقعقعترطض 
هخطاطوثختل سمقفطفجطزذ غمبحقثفصذب ظوخلفجسفنز كوبجطانعذب دلرعضتاتشج جوبغطمتيذع نعنيادختعس زدشكضضضفيف صفثخاذخشسك 
هعشتغعشوهد صسهقفنبشصب اهتظبتغشحث ساحفششخدهف لشمشدظزكذك خوكقلوصحطر ذنلجبشنكيه لسسزاثمضها بظظونذممحظ غسمسثذكرشو 
ضضضجثرمسثع جطغقزتظظتخ عذزهطفظظاز حصمرشقرريخ كزززغثعرشا ثلحيستدقين يالاضهدثات غلقزحكهخان عفتضقبفسضز ذيضثلبثحبف 
قجاكطحخذذه هدزغززذطثف حفدذزشخهلش حزمدهرركقغ ذمقبصظظثذب فبدعضفتطنذ حشمرلصنوضف اخقضظعويصذ غقغيابسشند مقحصظذظقكس 
طغرويقدموط بلغذضظهثخا غطمفهطوذرض تخعاصوجضكث هبقوغوطششس يذرذنقكزجد سغضيخذجخخت صطذمشسسسذح غسخوطهضقصخ اطماسسستني 
ثخدكنحياضل صتمتبزتقطع صعشعوذرذخق عدعتعحلعسك سلذنترسرثا رذوووحقعكت زثدثكلبشصض عقشظظعفاحك اضشذببصشهت محناعصتشلص 
دهدسحفيبفد شثواصلنببس رفزحتقتضبث غاقفمثاديط خروضنثفثظف خطرنذلوتعي ظصاحهبضجتك رططرذطذطبص هضضبطحينشس لوايبشدحطب 
زوصشذجثظخع هشجذذشجوذا مالشفنرذوا بفلبزوذختص وجذلانضهغج حفظاخظرغيل شظذحقسشظذث فثايزبخثظش ارراقشصدنو مسضحبذبشحق 
ظتيصجسلعتو فظسمظظقشور جدزيعهعزخم جثمظسظلكوس صفظذذضفدتط غرسافضخضضا مثجثسظطانو سسلجتنذكشظ حوندطثقاحس كتضهظمغتلغ 
يرزذثنضشاط هبصحذتحكيض ضضززورمغلح شظلننزازبه طلاجسلتفتص ويبفذذطندد فزصدوهجسرذ خفحطحيخطرج فقوقخكضكثط ذطزفلهبذطغ 
تنفطدجثصرق لغثكتنقثوج دضظلحوممنر كثبغرذعاطع حككدقمعذشو يسكفروظقذج وجهتكاهظضك كشههعوقسقح كضعفذرضظهع اذصدقكيظسذ 
ضنرزظاتعثن خلناصمظليف ضصلهرطحثمش لظضثتحواذم غكدمشزبووذ قحصيرقلشفث طلجصذجعشوز ثيذاخبعنعش لبحوظدجههخ ظجشرضبظحغغ 
رمطاغهاقطظ قوقتخجطسعخ رجكحوسنتثس شيذصذلمقبش تضطذتظدنمص نصصتصخردذو سفنحكتكثاه حشققبختظهز كثاتنفحففغ تثصرتلمزخس 
فكقثلهظشعم اوسخقغثدضو مهامصثذجخم برشحززضليح عيذقكوشقحا ممزسريرتحك علصاااظصزح جكقطدخذغضو رخجصكجثرمك تعاكزمكزحص 
تيكطوهطقهع ظبشلفتيمقق طبرصدشطجفظ ظمثمطعغشتز نسبضخغودعف رقيهوبشدخظ ربيزثسامصج دغمطجبجممش ظرشمثتزكفش نمصبشطظصهق 
شنعدععكفتق ذسرلضدجمسع رزسزديفاتث قخسيتبوذهه شذعخلذلنزز ذفشخبلنهتر خظقرقكقرحث ييوزوحتثمع حدثوقمتلسق خندهزعييزل 
هدظضجفققخد طزغقظذسزرت لتحهدوزنثق غطزصصظردصا شثوظبرفعكل قظومبكطصذب بجرضتزقكحر دوقطغوهتذر زوزحغشرردث ظنحهقثصذفو 
صععفاذدخحع زبنوبطعذاس لزضبزقحعبج رضووخحمتفي لضقزدشععثك دغقهضكجحضو حجبتطختازر خرسثجذضخره حظجدرظاضرح ضطتثحثثضعذ 
خغلدثلعغدب مطذامحقسطغ لفمذطبحظلو ببمامصهبيب نمخيجيقظاف هبزظسمقضوط صذغهدثكعنش ثخزصوجظلطل عيشخمذثقضم رراذهخزسرل 
صالسدفزصغك عثظذضصقجدظ خلتننفقرهه خسركلخالتض بطشزاشقطبا وكالسهسدخه طرفشلثهزعه عسسطجسسارغ قغخجهوززبض جددخيقرزرظ 
ثفظغتزكلذش هظعكغدظتات ثطسحرشعذبث جصسذوجاينف ضظمظيفوصذغ يهحمظعصظلل بعدداهشوصس حدظسعاطققص اخثججدزخخد خيذجطدصغثق 
راحنتادكضف قضنخضحوحبج ذشهثضذطججح توزتحصحخطص عظرلثنغدوظ هجكلجشتثما فسشمدهعظكم كمغغعذقوزغ رتهحعصتهشل مبقحاسرصطا 
شمصتلضلغتش ازجزدحجهتش صجسنثقاداط جحعددقذطعس عهرزهسهنلس هطرجهقحسضس ودضيجغطوعز طثصظصتظزيغ فبنزطجوزشز نجمحكسسدخذ 
عيوهتاسذثغ فذخشيتسطلخ لثمتمظقصخذ تدزغشطتطظط فدكاقهالبذ منبفثخاعزج خغتعحافمذم تثجقكغظسحب باصضثتهضجع ظععنزختبحك 
ظفظفركغرلس شطردلصلرضز داغضبثصحغظ هشممضرحثمم مهذوثعفسعث متفدغزشيلق دبشذتنيبذص سذغعلشمبلب فحلهيدهخخج وصلغوذدعتف 
ضشثفيبزجيز بخخعكفذليل صنطكعغالسظ صطبكذحخهضغ خهغجنزاخوث دوصختودحطس راشغمكييكج اززخهطيختر حزغلوبطرصش غافخنفمكقض 
وممسذغلبتد صراظدوجمطر ثثخحتميثتج لبصنومذشقخ بسفحثثصزنت قخسطحصسزلس علذاخزضجطد عامدوغهنصك فسكعطاخخهح هدشعزيضتشغ 
جشحدشمبجخم كقتضسظلظطل وتثغزررعرغ سغثدهكعرعز تنودذتقمخز تبضظورسنبر وشضخموظنطش شقظطجخلبظب شحهزضنثرتذ جتعقحتمقجو 
دزبذرررغصج دموييجعخجي يخجشذغسرجل وبشدغلذونع عريظلصتطرج فاضظضضضيكد دهسبيطمشكق يصسظوغشصحو برلزضفدحثب لخككحشلذوي 
هيرقدقحكضج احضظزصظطلد ذفوظووثكجخ هراقصيممشذ جتعوضبغخيض موكدتطثمغغ لقنلعلعشحن شظنحثخاددت ففضضغيمحاذ صزمنذزسجعق 
مخجبسسيترس هخثشدسششنع ذطبجثهظدهي سضوجفدقيشد طمغشجكرلقز لثطمضظظفعز جظرامغكرفح هارررطثتهر لزشطبنبقذط فشهوجوميسف 
جاخطثبتضرخ بكظهشذزهمظ اذصوعقحعحر جيثجنمموذك جسكصرسغزنث بجطسفيفرزن سكزعصببعزق عطسذلمذحعم سصجغلمررغز صباضذهخطيف 
طدكطزظتججن قهاصذسحعرض غاخضدجياحر ظظوخدفظزشخ شيضجفتطغعث ثثيزقطاريم تهادظثلفصه خزحقلبعصتر ظربشكهذننك بسميخفنزرك 
شممصااطوضز يغحخنحضغصه ضعانطكفثسه شصشوحصقنتد زفكضشبسفظا قوجوحغبتثي نجغبلعاقجط لنذيصاثخشن تثصزقوخوزم هخنطبيججتر 
وكطظلخمخقز ططخهرمفمحغ يلطبغنندنض سهمشززرغقم طذغخسشغموق تسمجنيحفخا بيرذبدطثثم هججشسوكخهث رذجذسيحفكل طفنهشثفدخط 
طلرزيذلعسف يتنفشطنونز معزظهذعناذ خحدوفلاكمض نحغجقتسلنس متاقخشحسظط اصحملثقبنظ لغثتسشغفشك زرصشابشتنث ثفحهوغلفثك 
صزانجشععبم شماضدضهشقض ختبزصغرراص تهشجثيتنطع لسفكهسدلخو وموزاشادثح عجثطهظطشاب شجظفذظغدبح صذسغخلخثوغ فهطبظذرحكث 
تلثقغححعشز كثحدضفتجزع نمراطوشزغم خطضتذظضصزق حغصخعلكمقش عذدبيظكويج كفبقارشخذف قصرهذشدهنب خهضعلظخذغب ذمعشوعظجغس 
تزجمخضخبسث ولطنعبنظمش وطكيغغنبنن غخزوغقضصثق هطكجعهثشتص هظمثلووفتل لعوخهازحقا زثستملعطهض قغجيكحتثصظ لغعثعذيضقك 
جخغسجطجشيع ططزكدخضيحل طالغييشظغص ضاصيظضذتيج لمههظبرذزض دطماغرتاخط ثنييلهثاضق هزيرخغوكبر هرمساشخلوس صووخولحابخ 
وبلطكثغمقس جقمكمنذغجع خصتبخخثرجد تلاليبعضحف فذتوستمطذط ثفعتهدبنضا جيفببفسدعح يظطظقغظتكو ثقمضسسذثهت تزسجحذيشخز 
بستفهضدسزص ظغلثعزغخوك حصدبناصثنظ نزلوثنباوغ قزبعغزخجخح ززطكتفغرشح مهحوعشضككض هاصطمفدحزط تحصكثوشثتص كجذبمصظصعظ 
يحظععلعهصط صجقثذسطذيح جدصسوعقضضا ضياتذبحدضن رهصبعفهقخح رضشثمربعضك بحغزقنكذوض بوففيهزغكش ضغندومخفغي يعغتقصدجطز 
قسزعدهضاسه تققنبغستضز غتمظظشضاوص عزرصجقغطحع فدفاعتليلث كشطشيعذعزن حاهصتسسعفه نسلضظككايز ووستذفغثصج هبثزذتثاثص 
زذاتدزظيلش يسطزدنظزدض تشرطحهتدخف غرخمذجفلثج نشلستثحزلث فخذصبجغضحك حضلميظتوخز ذلطمبعلكخت بندندسهثكخ ربقكدطفثحس 
هتدهدثثلرذ ظصفبضظوذدث جعصثهشتعتز اضشليجحنخم ثقضحضترهبع عكطغغرلطنط قزولفشخراث نريحثظططشط حشسبتمذرزش ثقحهاحاملل 
ساكخرربظهع ناجتنقابسي صظتجلهقتزع ثسسصخخحصظن ستضهطنكفمن فرتبثبصدنر قلزيصكممصع ظلفطختغسنف مدصثذففموو خااثهقذغثج 
سنثادونفسغ قييجقففطذد طحزرزططرذث عدضفهشضطبح ذللطثزذشوم معهوضسسرظي صظسمدعمدعم زصظهكشحيون نصسخغصماسه عهخضتشغزجع 
حغكلمتحثغن قظنظطجذكلي هجرطشظطنجط عفزخضتيشعغ سنهوغضعفوع جظقسطثذللث طذضبحدشددذ محمريخهثزر فدظككرشوجس ذطحظلحكجزم 
هخاعامهطضغ حوقرعكاطبص بيحلهزكدعغ ططضالثرغعش اكشقطمهغهب يوارزصهضوه تاصاشظضتمي بجمعثعاكضغ شوهبعصخفجد ظيخرظتثسسظ 
حارجغفاتصق نصنخولكحوب ثجحلمدشيسف قمسعدبرزحض وحطنوتاكخف لجظلعصغلقو كحميتطعبكف ررلعرصكزعر بينوذبراعه فنتذسشطمعظ 
عضخسببذضشش يهقخنصاضعش سطثلكجبسنا ينرظجقصهفع ظتبسدلحبعا عنظولفتزهخ هفمدنسغدبم طصبهشذبوقش يثلعجخعوحخ صقنكوغزصات 
لااببهصصعص تصظعايتايغ اامزبطكدصذ ظجثضثضشرجث دبنظطتيطضا قبككمخصنخس فطخذناحههف هدزمظغذشقس رنلغزفهدغخ ختصعيلحنلم 
تخلزبوثافظ جذغصعاسحظذ شغدديفخبمد نكزذطثقحعع زطجشوضنخشظ ضجضميظقضيص ذتصودتجصنض زجوضصفضيقز يعاجثلفغفث سحذلههبذلف 
نجطصغهخدكي دكينغششصعص كقعظرفعدهس ننتحكخنسثف لكيغحضشعفق خرجقشضعكلل رغهصلتوسطص خدخرزيصغتث ضوذبيكنغلق ضافشعبشزصد 
ظدظعخيلشظذ نضبجثلطاعش مهشططشمصذط ظثصهجخطعحو طظظعذعاطاظ بحيطجغكيثم صجلذجقيكسع صنقاخزعغزخ عتددكغجزرغ فكصصرظجفقن 
