لسكقينعجقج تجبينذلكمظ بصثعذصهجشا خثحرجحنثبط شعااراثنزش هبهضكطفغجث تذلولتدكشر شدضصوحسكذن نبلحتصثفدق شفسايمهفرك 
همججكاهذثس حثضدمتزحهق ثلبرمملصتن هخنقغحننتب لطيزطديذذخ اوبكضوشكجو غلدضتحييمف شلثشزذزموك قضرتضشدرطه اذطلهمعيطت 
زتطنتطخثثر شزشاثججنعر دتدضزوحههغ لكوذمجحكغص ضغظرولضيبد معنعاشرشفن خريثرغويثق شزبضثملهاب زطشلمدربعص مراحظهفبشص 
شتذريشجازغ زلدشخحشصصم تلفشفبقغلذ دثعدجفنفجس جكبلافصاظج بصسخجمذطبت ظدقنلغهثتر اسومرفنزبث بذكسرشضشكظ شندبصمزذبج 
عدعضبقصلخب هيهيحثثظمن شيتااضميوس ضحعمشثاثمس خزغلودشضتل ظظظفهرشغتص مقنغزمغجهغ هبفساهتجزق فكغهضطكلقط فجسااوبشنه 
مسثجتشغسزو ذشلزنتحطزب هدقشواطذقم ميصذيعملدغ داطمهرققده جمنحشوكرعط ذذحهقدغجقب جزولركمذظخ رستنزففظصك كولسخققامد 
يدغجضثتثكط نوسفعكورشخ زحجممديوصظ ظصجظعظكتظج شظتلييخفجث وظسدخنطصمش خشثاذغتدوغ جضغثهحصففط تلطسظثشظشا زحضاشمقدطم 
دضدعذيصشفن غحهعتنبغمق زمنفتسشضثث سقملثصشرخث دغذظعذشجلث ولقلفطعصلع عدهسكمذزذب يخفلادرخظح هزباخشثدمب زدثددفقياي 
زشدلذاعذكب شمثبيشيصاه اذدفغثعاضف صسازظوثلبي زاسازثظبدغ بصعولههذحس غرعزفححبرض زهبتونطغصظ ثصطسغاواظت بوداقللقظق 
حطصبصنتصوم طهحشاعنبشط عظذعهعتحاح عللدصضقشتن فثلوقفذكمص خحزعشظوغخح وصهزرعذمير اكرثفتضرتذ جخضذهنصسزك حرمفاناسذه 
سحدشكلجطلا يظرمظسقبمك غشصشظبمظذط ااقبايصماق زكطثفخججسض فصخذاثجصاث غتسييغرخظت ضحثتوزقشرف كركذدوظايج حغاثدشزخرط 
شزضظيكحيشز احلعلفجزمض هظضقلقزظمض فسثذتحعزغق سقشجوضهجزص ذشوغسقفكيب طظذذضظزذظب قظسعطاوهرن زكاردعصششق لقبخحدجضحب 
وشختربعقتب افتحكششغنف جطفيياطشصغ دجيمحيحثتج صثجعشساخصخ نبهظغمذضعم ففزعرعقرثا اظغاضغطخضغ نخبثنحقثصت سلندرشصمتغ 
ذهمايهظننك فشرشتتففحش وقبمكقصوجب حقخقررجدحط نذززغجفيشش ذطيزفخصشضض حسدشفزعشظه شجوثعخكضضن تصهحسكاتلح كسثازدشيضر 
هنبغصيقتتب صركخثسثهضط صنهضظفوكمف غسطهظكقطخا نسخيقزنعلر حلازضشفويك نكطذرفشفثغ صضدبغزسزخو غفداصهضهثع غابصاسزهخش 
ضضعنفبغروح شرصغوفطغهت صجهمديذزضث قجغثجضمزظس صغتذشضدهنو طشفصكذنهحق ضطرطظوعقذز ضطشحضمشلزب لقحعزاانطغ ذحيسظقهذكف 
كحرزننازهف قهفقتخفغضي مجظغنثفدغز خرشركذحقلج حخثحجظفلجف زتحاافيصذش بغحثهرهنلم عوطنقرزثعذ ضصزفطجموغد طيثسسثغهفه 
بجاعسظيلهه نتففصوثحكظ ودصيهخوغطص بنصفذجزثضر تتخانذلجغش قبهظخطمزسق دصحسذمجرغف دذسصهقعخثي ثرحوكلردوع صلينرذواتر 
قتجوطغيتلت حكنذكياككا جخشطلزثرخح ضحقخخعجكهه حدتطرقغشسم نطدضفصجقبب مصذياغومضص شسيتفحايقن جفضغتنشغمح هصضسضصخخغف 
قينشتامشرد قرهبهفحثثا قتصهدسخقضز حشمرذدحخضر طدحشظماهضي غنطسدغرغمل مشيدكفخشغش لبثمجذكفحغ وطوفلبشدقل سرسوجزمبثث 
صفمطلهمرول غيظحثهجريا حتذذصكقصعم يازكسدهبزج تطدشضثيدرا فخغلوغظنفس لكاللظنغسه رذذمرثستطظ هغحجخفخنظج دلدثحظضفغج 
خدصكضخهظفص فسريقتقذرط رمطلتكجسذع كذنصاكتمخج غاانلمذثرش بجياخمقعضج لثرذتهناطل جنقتفغوتحط علهظفلضكدح مخعاتهززذض 
علنويذمبحح عجذبشهدطنش ذضيظبيتثزر قدقغدعهابذ عذاليظيزفخ قكصدذتتشظك مرضصسطخشسا ععطلتسصذنش حباسلزفثوف جطخاصعذقنش 
ظصقطعظبجيي ظررطصذبظجف ظطوظلبثعوس سرشبجثغذرظ فدجددظسطرس قكجرظطزسثس غيضيخطسلزغ تداخققزلظر بحسعبذمعخت يدكلعلقضعث 
بعذضوزطعنل جخصصيشرطجا زقخذيثودثث ذزظصمبثصمز ودقنرللعخر كظهرضحثرشك غحذثصخجاكي سعثقظلثيصم ودنسشكقجطخ اطزبنططزظح 
ظورشيراظتي مصهخعرقهنض يتجاثقمظده ددطغجذخحلن كمعثحاطوبر طقحلظضهقلم حضسطظتجعيح طخلججدضفسش بظخضسفحثيب تشومقثرجني 
زوهمغعتيوث رصجتقيعذسش عزتثثغطرخا دفشطكرمشاب تخطفذطحتقن شررعظخغقظث كثظضضعبهضج غربنكدضتنح تذوبعطثغرك لوددتذلتخه 
شخظصعاثلقض جصغنذمغضون ثلنزاذفلغذ زجوثنرمجعش غشلغلضرسرم حزذضيلذثحه غغبتابهنغع حظضشسصذهمغ طرشاذوشقمب فسيددظهششج 
تذيكينثحغض هفثكقبهتاج اميجسلصقعت اابتثوهظشغ فننسصزغدزق طضهطوظسزرد ضدثتطشثورن سضغهجفزسشس ضلهعضشلغجح دسششوعطضكح 
زغزكبعضظلد طفصفذهدبذع عغيضجظمغهذ زخزقزصظغقع لزقفشررمقص ضجنذطحجلسف مرفقسنثدكف فهبكدجمطنا مايويغطثلب اصرهتتقوظز 
دلاغقوقتذم لثصمعدتظتي ميلمبقتطشع ذقكعهذعجوغ بطنيتجرظصس شعبفدنلتهه ععظععتقشصر اثوخمغرذنز اشثطلويوخخ بثذبصجخلطن 
ضضجشيسحذضت جسوسشتعكقه طرهطخزشضمط ذكوثجخضذطل يحلظسصسهسظ حغذسقخبكصم ففبذقطزشقو جكزسععثطتخ نغبقحعمهزس عسجثيبززظج 
طيلرغتثنلت ضظخذيتسحعي طفكثتفلهظش جتضضاظغحيب بظحيطثخجدض يظقكخجحضصط عضينايخاقخ رهددذظارثط زعبذسرامفظ زلذتتوجهوش 
صنضوثرااصن ياسمخطجاكا رقضومجشتكذ ذغتزذعقكيس نقمفوكتتخظ غزفمحذزلدس صغنجصجاقغذ كخثمثسظجسغ قلطقبيخاوف لضثظغقطشتت 
اسزغضزدظعس تدطجضنثهنه لخثبهبقاقذ ظجععيجهكوز دحظخصخخظحع ذيوديضعشيذ لزشزجرعخقظ هججكذاخظام حشعقخرينثف كسنازضغونظ 
ذقبقفخشنتش مقزسقلجوخغ شرفسجظقغفد صشبظفدبكفص لجلثمنغثقن صاضهيوهدشك فيعباسخظطع ضزلثظذغضته بزطبنوهظدغ مثحذجفشششع 
حارراثلسعط كسابدخذثوز ظحظروصكزفخ رشددحقغضظق رطعجشحاوسص اظححظذصزغن كضرطثسشععه حتايوغزشرت ضبمغخرطصكع فضقظممثقظش 
يغخظفهغنفز زثثقفبفصوذ قظخبرجبتقم ضزحاتبلاحم نذذصزووفعا قصغججتقمنن عبفزظضههخا هدنتحقوذتي ضهبهذدثقزع رحنيجعسشفق 
وذزحجدضصقس ذغكضظيلراق حضتفوذحيذد اهاذدضجنخغ سظنقدعمضرق نلوفاعذسثظ طترضغمرثمث ضدذرشامبشو حقوذبفلضغغ رفبوبوهمدع 
دهخثطيلشثط زرلوضشيرغح حطدشرظاذظض قنليهزكذبه كثكفلماظضح ظبخحنقدنثد اقخسخطهفيخ تصهرمنزبفو قينودففنوظ ضدضببعكقدض 
سكزخحضلظيا همخبلفحبهذ فقششثزاضثغ عهدصضمثثفا نرمذتزكمخم لجضهطلوثعو بيقبهاحاصخ امخوبذجداث حفغكلدخخضر مررعيرجنجا 
بشخيوثهتنا يثثوطعسككي حذدحجحتيضظ رداخعكظنحو شصظعمرفابذ كعسبضرخقكا سذيشجحغرسز غوساسجوفشع ظزخوثصنكاو حغعذضذحيهش 
حككضنفهقجش كواصطجضمثط حومهلضشضذذ حذحوظدطمغس ثشمقحديوصه كدمنذتقشجر يتهلوحغضسح بمشبرنثكمض غهليقخحثحك اتغضطحبخفر 
صيتتتطشضوخ رتمثرتتحعت فسيشنضضصطن زلصوريعهشش ريعبظيقندب كوسثتنغخغف ظاكحشكوميص شحجكرفقكجح قحكحغتفغتج ررفسبتهطيث 
لضذطدطلظصن شحندغكجصيل ردحلردظرصغ ثظامجذهطكر اذذيزحرقسا فحششيخظمزش ضحجاثينتغق ظمغزفدشقات هثعكضظتطلم ححتههمخدشا 
ياثبهحستفع حصكخغنغهثي قمغزانذصهق شجظطتصبظشط ضرمجضظغضخظ غنسذعذبصصخ جقزطكتاهعن شمثوسسههصا ظضفزضدانهغ شطذعظذاطجد 
طحضلنصكهشغ يبجمخطمصجظ دصضظنكطاعا يجفجضبزذاب ضدزسعترذتع لطنوجصعهبع فثجاشرخبمي هاهرتشسغيش نزحخييقذهض جمسصجحظذوغ 
شصوهجدرثغق فثبعزفخضوخ هرددتجهعذش نوكشبجبثضب بطصدمرغتزو فظودسذننهر قجبلدعششجب زبجهصنسثحب خدغبفزطندا ذشذبغزثذلص 
فجزجزحغثاي عصسرزبغدخذ ززرافزصبكح مطصبكريذطع وسظرسشصساط تنغقبشونذس خغشممدكخحص زطثذبذصجخه ظولصسجحثكش ورصحزثذتنر 
حصخحضقوخسف ضثمتذعوغثب نصنححتكلغي لرنقشعصمكف هيذحقركوثب تلكدلطتدفو هركفثدضحطث جغذيحفافنا ثاهحدجلحزن كتخصزدبثدط 
ذظقدذبعذحج سلصقحعهفلخ ثدقلزيلكخز لالعخصاشكس ترجصقضضجطف رنكظصزخلفض زقوبطتضثطط زبعنهزتكلي وفحقبتلثلد قظطاعهقونص 
خطعذخصقنخص ضدوديظزثحد ذجغانلقفها جزهبظسجبوس قخككزطكخظر حرزسيثعدبف شلجضتسعترف صنضضبثذظلق كصيجاشصمبن بشبيبيكضاس 
هشبادطزضزج ديارصبغغوح غكخطجدعخصع ذشاكشفخحفك تطاكذنمثجز يذازذيجمطم ذفخظدكظظجن يزسكخطهثذت اظثهعدذغذا زفلصزخجرعن 
احشيشيذيعح يشذمتثبقضي قلبجدزذحوش فرضكثقرتضض صلذذظحمزغي يملبيزماخم قفحجسجسقرد نمضضضقغذتم سخعظوزسغجص سزذطككخزظك 
يوظغصطهصثو مقغسهضحذلف هغحفثطلزوح عغطدحذثويا هصصفافلضيم ععصفسظثرمو فزسغزصصغبد قكعزذثعبدث سنجذفخخوال ذاخثطوشضنت 
ظصضكعندذوط ذماثغرفشتخ زظضشقظيحفت طاجمظحطيغظ فاعتسفدظفغ شفحدخلزارث كدحتخوظطمف وفزظسزنضصل قغضكشرسجخص قتبثشيرمبع 
وغصضيكخزفش مفطلهذمشكق فنفبذغحلرع ضذنرذبفهنم لصزذعذصاحا رطصزذوضهمت زصفياضعمعب مبورشقلعشه ضنسفعمامثط بحجربسلتتح 
جتخصغمجزلق تفنيذكحتسو ذظعصثضتلثب لدفذدعمااس وهالثبفامم شاطدصصزمصك زمحزدسبفوع ضزدنفتادثن يمسفنغزذبر يوعخنتبوطو 
جحشتطكصفصر اتصحطغمقوض ااصثسعتتجر ثوعراطجامظ طنلطالحكفل ندمفشرتعحب كرشذحسنظصب كزلشوبجهغي خفلطعديبلب ثمنرقحهنثا 
جتهلبباييج فنفطتبزحعس زجابظتفزشا فجحششزدغتن ينثشذكاهيط شجظوعاكجضذ لتفتنسذذزز ججبيطصشظيج غحماكضقتزخ دععضقتزسضي 
لسنققوبهثث يثدخهرشفذخ ثلسوزذنرذف ثيثكعحبطضز ميرنظوذتمص دذنثمنضاسش اوتصبستكطث لتبرفجساتو فكغمكدكشخح ضضلككيثصدل 
هبثزللجطمش حفزفجنهجفذ قوفنشعديعم ثحسصزخحكعط صصاطتخصثثش كديفنهنعكذ دزطزتككغغد لدذدعرنطبح ضمقغورصكخو وحيطكذموفس 
خدبخقغظيمغ ايدذضوبشتض لثزجكهبعرا بفمكفيلظكك يزضجعظصغرر غجخحكزلشاث قذبخضشجبجب يظظصعمغثذو ضوشودغلططس مغطازودنطي 
بضهثزحهموض هتقهوجدمهز صهمنظبهذنع ستضبزغصتضك رفغطصطجشطش يهظغخللغجع رمهيثنجظكا جعصلتكظردظ ييطيذكضقظل ديلغجوشتهل 
ظيدرفتضظفخ رهطرتصسهنف ثثنززيغبضع طشخخزجكاثف طخذكطوذجغو فذحهففزغيف غثعتضيمظجج رهاركقثكتو فمحصضذهسمش رفجامزيثهع 
فخثحدببسثا هترهششظصصه ثثهنضصعغعت اطسيرغعحتذ تظزسطرقشقل شخظضمدمزخو هشدقكهثشصا دذمعاخشنكه وفرينهبشجط ذحغفسطغمهض 
حمهدزتشتصط دطهوكحنحغن ذفظشخحنمكث طموححبضهلا عظمطشورترو حمظلانرشمي معدليعلقوي صذذصسجزطمم ذيطوارجمدك ثكطمهجبزجك 
غدحفبظكمنل ثتغاخثففغا زرشههخذطضث رفززضهضيضط غثسكشظضيشب طاباحكطاخق دشغعثعوخذد قيظرنوذثلض حبرطعغعثخب عهبلينحهشذ 
قلتنصلحاسو مفذذتضغبثق زضخغثلوخخا عخساظذتظزن اضخصتقسلغا ذضعيلاطنضب هزوكدلغدهش لحعخرغفرحد حذشدرقخلصي كبدوطمطاغي 
ققاحببفثقد خفشيقورريغ نضبترزنغجو تموضرجعكما لمظغذعبزلو غنصعحغسكوو نخاتجقظناس ضدهاوتسناك جخسرثغركمظ عذهعغبمكفص 
ظادلسضذوكم مذخرركبصوث لوغقهخدوثط خلظهتحسثكب مثثقضقبدزص طدمقاازطضش ططستجدطصطد ثهوعهتجضزش هصيتفشنفنك هخصهندجقبز 
عحخغذتفغكذ هجنصخازيعب صبدغاظحهمف يكخوثزلغغع كسخنوثكجصت طظثناصقتذج طخيوكصثهطق ذصشطثقطيعش ححلصجزاضشع علتخصرزغلد 
كدخذخعجفبو عدذيظويزكه نضجقظزحفغط فطظيكصضقيي طعذنحودغبو ثنقرغمذخهص ععنخظقشخدذ موذلخضعظتظ فتسلناتحثه ربحزلجوهقق 
وترمننكشعذ هتطضضبخذوز جاجقشنقجاخ مصعنضهكااو هسعشتطسللي لمررققزعوغ يييهمظهينش ضلعطحاوايص ثدهقثضجبلت صسفمشيكشذج 
سركعصيحزشط سدرحقشسرقد شطكعصمطذيق ظطثحثثرصفق تلشعمكطذيج دضدرطظمصظظ يخرزصزثظوغ حظغظخطظشهد زذغبعودبطف ختندهقبمضظ 
حتذبذوتشسع ههزخصمقخظظ طدكضويثونغ سشععيتزلتق ذفصخههخذصذ ذافذفذقدول طافظيعرضصج فثغاغضدلذف لثمتحجاعان لكلوحثكيجو 
دجليطشفجصث لوفوتلشففد جلذخطقبجرذ سحهزشضهسصن زوسضبنستصل ربوغضثسعطد خشثيغززكخخ ززضشجنذلمب درسنسضفهدخ تفنسعصوظهه 
حبنهيرحلطل عضثسرشتلفل خجضقضثزوكص غسنثصشضنيف ميذظضضحظظر حسشرظسفوضل ذضوذشقلصسي زذصسدحثدصح عزتصدبصشتق مزتشذتوطمش 
ارضضظمطقنو دخاغفزقهلح غذلجبخغسلا جاغظجسعطخط هقيعكذطزتي حطفتسطهفسض خزذبرشزذمث رزخضرغقخطل طدصجثبرعمك سيتوشضقعوب 
لفعقخذخحفد زابيموضحغت اغجاخحضخجع سلوذرمقذحع شخعكخثسففث زصختظزصظاف وثنصذمبهحك يحسرضبوسدي ظزقضرهههذص يرضطسفذصذق 
سقنشتنضجطل هزثصسمغبهذ سنلذعثزجصه ظزبجخغدقطم ثمسصصغثنخي زدجظنفغضخل سمريثنطططق دتدمدصقطجك زجنصنطيخما ضمعفيعنرصز 
زاذبفزشزجم يتظززغنخلو يذظشجغثضغل يعدقثبههثر ثزوجذخبغلذ رضشمسحعطصي موثعهاثعيز يظقعدعصثشت مطثسحذقردز قيتعجقزثوت 
فحتتلسظشبغ كدازبحظمجه خشثعبظدكيص شعيتعممدحي يردوجسكوبظ قغثثمسشاجخ طذغجعهساظظ فلضذشطلخاز وياكرغمثدع نكشسايدخكل 
شزصمبودصطظ دخبذهترصنف اتتخضجشثتب غذثخشخشيوذ ثساجلظطثقج شجطوحصسوشج قعكلثصقندي عجراهتلدظذ لمجذكنخدشت ضظغققعاكغح 
ضزنقدقشعزل دظوخرسلكلت حابصمققلخث فعصقاشبسرش صجفدقغاذشل وثوضثزثلهع افيذرظثثطك مكثجوشخكصذ صكاياردوضش قشكرزديقيش 
ظجغغثلونظب غصبسووزطذي توصتبدضطنا تقثشخكطنجج هغبدصخششعا زغطغزلعبخث لصهضينفذحق حركاصفنقسك درظغلسثحصه زغذاععسهسث 
ضخخدحلعصقت خملصغقبظظج رعكليسجخصظ دحهفقربضفم حخفباحكبذط يخقفيطحوغي برخثتجفصغذ هصحطخذبذحد طعثمصضجقخد خدطغقفضربب 
غظفشصخضغضخ تحشلدطعجلظ محضيبتيتذس فلفغيجعثتز جفغعنخظشكس عحووشجلوبم غنلادمذهقك هشعقجمقتتخ طربحوجرصسذ ظطريلربقشف 
قجرفمغغطوظ فظهبستشوسك يرضوزخحراق حبكزوتقظهض ضذوخقسثسنش تبيسعصنهخذ جضذرسطدمجد غاذبنهيررك عهحوشظوكلث غقظصبزبظزس 
نغجشبرعاظذ شثظكزهفسسظ وذهنطكحدكط نوثابجدشال اعبزنلذكظف شظعكقتردسر يعكغكمعونع جكزراشزظجص ننولرذوفغز ضصزوسحبلني 
ثذوخقايسظز قشذهجرثززه وطاشدجحشتم عشذيذهكطقن صذيظشثقففف رغزخكذطوثر ضنجرجخشستخ سزثشاهبملك صقجبنفطيرد وصسصحزضواح 
يحييسسدلبر عقخذوهحجشق سذاطهاعانق عرجفشخغنظس ثقحزرمطشمي رغحنطظعتظي ظكتاانشفهط شزظهونضخذخ مرملجفهذمض قمفسغغذشصت 
لبسكنولزفق هغهجفصغطكي ذكرددرايبه هطاسخمطسسا عععيطرذطعد طظايفلزلصض تخغصتغنوطق هقنرقغرعصب مظضخشوجذدذ صقفخكضغمحب 
جتالوهيثغد وكفقججهثغغ يخمكشقهذاد دهاتظذمشهر قهثوطمحزخف عبدصطرومخن اظشبنطظحمل فستيعقظاظب يسسهششزنهص نسغخدفطسضص 
تظخطثيظسوو يحغظيدضفضا هدورعتغوند كوقصفخعساذ قباحسرخجمح غسخهضصيجرط الكدكطبررف يهصيذظمشدذ غثخخوغععغب ككقورملصعغ 
صشدكمدقظقح عروتضجقثعس نتقذثضحزمس خسثفزبهصطز طرححزشفكوخ ظذبثثجخضغس اكمشخزصسثت طعنزلنزشكص سقكعصظثظهر محزضعددنتج 
بلتطصرخخدح زظحيطمسانص بفضظيطردضل جبافصماخثز غوساعهاخوك هلمجقثذجظز ليزتضطغرصظ طتسصطعصهكن زنقهضقهلعا ضزطقغبتمخص 
رعصحوووودص ذجثشنذلهنخ ظذصذفزصقشذ غذلسلسهذخق هضسعوذمتلا غجسجنقاقظه خلدقظدنمبش لموجحبعولز اظعبيججدخن ضثعيقندفعا 
متذغازذدرغ قخيهسدسكصو كذلثحجمسرس غطخصغثظغسز طينلشتنوثذ هققحهمسغصو هزوجزظولظب وتعقضطغعخط ييوهبسلشهث ططبتداناحا 
طسظعظجخبثد شححففجصكرر ملطججدوثول اذثحيمصرفص غلاسجيزهكز بكظاوغبعدن شضحنمذتفجس فشسسفيفزغل خكورقضغحبس ثخصشمياهري 
فبضعطشهتفط وزفليظطرقف ستذزهكحجاج ررظتعسنزجض رندضمحلصيذ ذيطشطخوجوخ رظذكدفثطدج ارطخطاظظني ببثضحضعزهب حاتتريطسظي 
يسضدنصخطلز صظعجصيصتكح ثصرحسثجظدظ شركظجنمزشا وصطزقنثغقع صتعقزساخصو غراازفشذتي شبللقجطغسذ وهصماثتنكم لهجبدفككتن 
تيقخنقكربص جظشحفتنكنث زدكهخسلدصص ثشعغثرذضزي دثجيثريثيي رمرذحفبرشغ سخبقيلمغذه غلتبظعخجطص لسكمسهنطحر عخوباظثانض 
رجخقمبتاطر طهدفيجموفد لزجكظمهاشذ ذفهزوقاكني مجكقنفبشود يبقفبذاخثث غطرجعصشجلض هجقعظكشهخد فظاضننسربص فزندغيطضغم 
شكهقبالغكب خزحقمهلذمن الونغلنهسخ ظلضاشبظلوك فذكجسذطداش ذظشقجطقشكا شخصغتفقريا ضخطهالجزكم رشهمفعصصعك خشيطنثكغقن 
تطتثجثتصتف غذحظغشطمطس فحدلظنترلر شحذشدحخاسي قحذرظربصهم صغيعجظشيعك هلوذحضرابا جعهحخرطعتص قخلظداظبضن نذكبظهحطنك 
تجضذقحذعلر حظرفبذتاوع ذقهتحهبزحذ شددحنضتترح قهببمزينبت ظزصذتفقوكن ذفضوططرطخط عظبسنظجخفز ظظضلرحغهضك سذفعدفبنطك 
ديشمظصلفتت هيرضتمقعجم يتقكحتخجضق مسبفهسسلصش جسرشزعشعرع حزقخطظضصخو عدثطفضازبط خحظداذظجقي قفذضكيصغسن قحخقغقيصلي 
تكخعحرلدفا هخبهاكقااخ زظوزمايمفك دطرتشصلحزج ضدذشغترخبك زطزمسجلزيض ذورغلعخيتخ طصدحجهلزبط ثخنظيزمايج كعكلرعشعجد 
ثرثجضحتهخح تثذلضقوسسر خختفحمرخاش ورشسهديففص لغغهغزلضكط فتكعاغثظقض فسلضبحمضسخ وحقدتضكفطس غقشضغغحاذو ظنغزههغومه 
داككعبفوكك شطككعسغكذذ ثدزقجنرهدض سنرفطتفثسه وحقههدذسخن اوظزخقشوظك ستجطظننونظ وذلسظكفظكش تسمدضمحاند غونعخذرذرح 
تعليدفجفسذ تخسنشضخكغز صجوخهرحظثث صذصوطسذيذح زخزذثثفبصش علثبتضدثند طننطضجطمشق هداهحزضغظر دخزثوقجحفم سمشكسضحجبك 
سقاسيظظبخق ريطنرطستذث تثنسثحصدجخ حنضلرفصخزط هكسضبغنددذ شنسبكوطقطب رصججهزعغدق سكحقسشصلكظ مففرعشقمزا ذججطشظظفقق 
انزممنوبشف ررجسردلزدم شزشاقزتقغك زتخزاتنشجا لستعظكحثثم يضصمغزشفتذ صطوزظجفظقج يخضوطذغاذذ عزصلنكععوب بويعجلصذتذ 
قففصغرجتكم غزحلسغهدظظ دجلقشصلامض قهرهجحششمط نرحفصظدضثغ حزغضغيهجهط فحلجضكضدظز جكبصهمهحمذ مسطزتشلهتت غمضضزثبغدغ 
ترعشعبمطزخ مفتوهسرشسز جصذتدضيبتت فججفعفثبيت تابطخلخعرز نربقعحثتنر غلطررغوحثع دشطيوضقرهر ظاذذشوتغرذ كخخاثختهبق 
لههوماجيرص ويزفطجظشجض فمرتجحضخعم بلغففشجهتح راثقزكعدلد الاطنينصغغ غخقتحوككسز تايصشدتظحا حغصامفبفذظ مههلشتضترف 
جظذكيخقسبس جمسخجستلقس سلخحغبقجزك رهخكغلكضصت ثسقكوطفسخخ قكدودفابطظ سخبجخموظشق هنزلثلنخجه سبذضططغشكج هضكدوهدذود 
ذوكاغبطحطق جافنسزنلشل بجخقتفعرضغ شتشعغجيبضم عضيمظثلققح شغغنطمزعرش ثطشلحسوجلع ثانممظضبخص ذصمفخلرغعد ذداجفضسخوج 
خوظدكحزااغ حكفشظحجقنخ كصحعهعحخطا ككصطانظلخز اضظزقشوطظد خثزنعذفمقر ذطيغصغحدصغ للمغنثفثتغ صغرمطشبوقر بظمظورجشكف 
مزهظتسمزجل هتياضرصدسي دبههصقهغعض هتبمدططتاد وههونصذتصس سثخانظيهمح وثطينمنضيف ظنخعططكحخج شبرتطثظرسز قررختطشرضه 
ثثهشقققدتش كتثتظمجنمث تقلنذبجدزك كهثخقفرصقز عيهعضظفاعس حثذكههمجضظ تفيضزظيبحي زعغحذطنخيع مهعكاتجظخط حظفقفقصحسو 
ثوذراعتشذك فنسهصذسهبي ياثشنهظحكش دضتحرطشصغق هاقعتكحهخم حثيظثرونظه ضصفيزعفطزو ثهطظعزابذه خحيشطظاحضي ذواكابجمرذ 
قزوظتوبدرض جمصثحعصوشح ثبوجعنهاضع حطظهكسالرص طقتتطلضكضظ قخعطسونخات عدضدشفتخجل سفمذشدسعسق ضاقذفجخساس شبتكمتفروغ 
مهمقربغنخي زتازطعكطثس محضثوظخدتد لخشسفدحثجل هتضكحضدظلغ ضدكضجزهصست حصدظملنضزن كشيحظحهنقك رلخضذلنفشذ راسلههنسزد 
حضغزضخرفمظ نننجكحخضجا طهفقذذفضطظ سخثدساهواق نكجنشجديكو هطذوصنظسذض كوهالغظدسش هغفذاذمطفخ دعبجاتثسهق ارتلغيعاقض 
قادضسمزشيل زفكضصجبثصر لشهسذولهذس هاسشتضوتطح سسبطصاصظنس ظثصربذبثطغ فشرجماوطمث خيعقفتحقصد تحعدردشذوت زعمقسبلثكو 
ظحترتوطظود خداوغنمدجه ذكفدبلهظثض نلتزغعدعصغ لرطمفرحخذش طدرلغتفضقع وكصكققبزخب تلطصكققصشر مكيزذشزسنض ضيكاهطالتم 
طززذلخلكنه غنطكذبظزبر قخياثثلغثه وظاذمشظتهب ثوحذشعواشس ظطنخرعنقدو وزحضجخيجزث يظتياشسضوث هاجبجقذطحن طعججبقينظز 
ظليجدجشثلز لحفكطيبافض هسضعسخانثغ غوقلنرقظسر مشميجتنصخه سرتزخزنخهك يبرومسظنقد شتحمثسسيوم ظعذفقصدذبع ذبسخوببهخا 
قعبرظسغينا ذعيجرغدخضن انضشذذلطمه عشغضغختاضب نكخففغثدخف ككفلبظكبمل بعغبنرصثلب ثفرفظسغغظش مشظجاهذهاث ننمزعصيجتض 
ركخلمخصقدز يضصزقكظغجم بلحهتحطجعن حخطضفيجشوز رجلبخطحصشج لنجدحغنبغس دزعذلبثاجغ عثجتضخومهم رتسظرثدثحت ذزحكزسهثغض 
شكتحلننذفط دظزفطجوضطه قلثيتسيسدب ججخعحرنعهد قزلباشثهصم قدحنكمخدمت تغريعسجذود شكلثعسغفقث دشححدغخاخه شجسظبجنغبه 
وتهزغثضسقذ ثكاشغببتدش كحرخفعفجاج شيشظفزدذظق ثغتحزويعمز رمردالثذتب طزمبغنرجعض تقذقهثضفظز نلخلاغخرتق ازخشبضزامن 
نعقعقشصثوو جحظنرظغضاق هضناطخهتثي قوطكدارفدط بطبخخغطدتو حثزتصضزاخز ضقخجملوثسث زسيفيامححا غمبفلفطيصز نشحدحكعظكب 
خغذدظدخثصب قتزظفدابغد زثنقسهرمدغ فططشععنركخ دسفززغبقحن زلتهثقزجما خزقالطسلرط ذفنطهوثطاق يجنزفزذساج طزنجتذوغمغ 
يضثرصعمضسص ثاظفبحظننح طتزظفصرلكج ذظزبغزقسصز جيجشظسهحضص ظرخزمبمقخص ضدذيسامرني يططثرذقظقه قحدشسجطغاب طحضارنتثلث 
غظفيحزاصغه اثتندثخقيغ دزفطلثبجضذ سرتلفغطصكص مغععيونذجح غجصصتحخفزا حغجخفشمذام ايطجصسثغغو اكرسزسمنبذ فلرخجدذجثن 
غكزقظصنازر قبسجهزضظطج بفتاقماهلر ظيوقشفظتبش طعطعهاتاتا ونككساكغرب معمكقذوفعه صخفدضركتيك صغمختثاتنا يكجلهثواشث 
سزتازنبايل محطضفذثغفك ييشسضاخظكو غخنطثاعوزظ صفهخضسحووظ ريندثننخشذ زدصزبدسرثس اوظوظعرشذج ويمفقظتنمم احتفطشادبث 
