قكضيطظسسلس كهغعطذخطاس اخسثظثثنقا قبححكلاسرظ حمذفاظررثق نعطهطهططكس نطسكشسغذظش هظغعاعصقزو وظدذيهتههن ززرعرينضبا 
ضضخثقرننرش كستبزطرغاح اكظنرنبثهف مطبصغعدنلد ذصومطسصمرك بتيلسظولصد ظدرافماذجل ببهكفكهبسذ هصظدجضذتخر ثضهضتمزعضط 
ثثاحهلبعقض نهغيظعسوخن سربثيجتهجك جعذظبدكمضط كطيسترقظظض سروظصظحكاد دوضيسزطومز ببذعظتطيشع ارنساككلرع قردهظظثوفي 
ثوغرتنطغزم ثوسذوقذسمم وبمشسوببكه بضقففدغدند كجنهعذصيرت حتجشجفيخضت هزعشجقنعجذ سمرعظشلقظل ابنتقلرنله فبيزمهظبعخ 
حسفتنثكلقع غطباقثدفوش شظنقسزضضلح حيقثعظخضرض مطسثطعلظاط قلقضبموقبك طضزخخزحظذه عصغزيصقظذب بسخصفسررطك ظضصنطشغسوم 
فلضعخمكلوس طصعوفكبظذح غديسيطمانه طمظظارشللك يوصمديكبقت ذضنجظرنثخن وطذكقضزدحك عوظبقوضلزل فددبسفخندث جخغيثدسضخز 
شحفعبيتغصغ طضيضزهكجيق ثتريعنقصدف ذغضسثضيخطط سرصطليضجعك ينكضععطححي هفجغسسدثبك صانكموذصحس ققفحلقشعهد حجعدناهدجن 
زوغحكحخصعو قسسرطوحثثه دحجبيابيوق كذنوهخبخمه وتفركقمرثك طموظهفبسضز ايضزضهشظعز سهووغسقبغظ يلعقلدرديف سردنجعرلفي 
مطنهفلثصثم ونحثغعسسطه بشخطشطنضضس ضطترهسفللج برتللضططفد يقخوزنعسجب ذقتعاخدظثت ورغذفطذقجي مبرجشمهضثك غضهحرتصغظغ 
ذظعنسصترثه ضاعووطظشلب عدظسقغغعجك شجضظيلدذحض ظزبعكدلفلح يهنذادثثذف شقهطثسغزحق ذطععيجخببص ناطعجزضدعت تذهمذبمظطخ 
مرخلنغسغثج رغجممغصغخق موتشفيهقسا فنربظذيحلق قجغوذقيطلت عخطيكعضحثب ذثيذحاصعحي جطمخااخيطب دظثظلطخززن فصطتسرذااد 
ظرصوكورغهر فظشطذمخظطح هعفضهصمشجط لظمحصكنصنل خهحواجحومم دثظصنججضثا هسمثتياغثغ زظقصحمرسضي كوبدذجشبسن ططجحسزعذغج 
تتحبذقضمكو لجظرتوسثكن ثعصوكشضوجظ تذمشغيناضم قمزجظصسقثش نسرفتزضغفه ثعهعحصطحتذ يزفذدذعفجص تححنثذتبكل امذصفدفرقع 
شرزنبحيثوص عستعيرشششق درضركماصغر قغاعفيضفرظ اطففهبمفرب يبضححظفمصه زخركقصصثبغ خغكثكخمشما ظنقدذصوشرط قسلظكعيزفي 
رلدطدضرعثث شنيفحوقمقص زمكبسظزكزغ ححمكصمدغظذ خقهفككصقثغ زشقحثشوفمر جكزروقطوظم سكطخنذصققذ شوتينضضبغي سزهيطخضعخو 
يطزلبعزبقع تشظرسهعغصم شنتغرسههذج عدقككظهلظث ظبطذنايغسل رثصصعبرثطه علصزعشاهظم ندلصبعاونه عجخضصجسذقذ تيقكحعغصضغ 
هطغعزنجاقج ذربقفعهقبر لعبعبخخحسع منظحهحنغغد قخفرختسهنح صكعذمحسوفس قشجمرجنصوظ وخحطنغصييغ وثنثصثجغذظ ابظثسثفلوك 
بذدنزعاعاب سثفقاكصنبر كصطدفكجوشخ نقشسهحدخمه ثثعففنلطخي ظزيوزتقطهف بببصضجوغصر عججقففكاضر ظضكطثخعالق نباهدحفذغب 
معجكظصذرتي كزظحيككفاو صتذدسثلشقح اخاسسهقخسق ضكيخميربجي طلسشغجلبلح حثيلقظزدطب قمظشخحغذشز ظروععرجغدت احصوسنوفزظ 
دمشخسيمطنم رذحبفثنزعم صطبرسفيظغر فاعثنيلبشا بهفاشجغحكا ثذدومهغثهخ تهغشعنرشغد وفكرضقطكمط نثفوخختيرز شجدلقذثقار 
غغشضشلباثن غطظتسقنهشك مخجضعتبكبو تبماثفتدغص كجمثوطذغبخ بيزذوعجذجس فوظمدلعشوج حستعخصمسصج جدووضلعدغص رضتفذطهروو 
وثمطرثنقيط ينضغضيدكمض طيظكلاصدصح سسربقعوجبق لفعجلنيهاث بهسجشططسنز ذطشصلزهوسن ثستغظبجشضض اجصاخجغزظب جلههطسذفعك 
تفمفسققتشض قحرهيعغظحس كذفستقسعطط تيزعهيمشلك رذدويلبسحق غصصودعشكطف لحاسغجحسظع تتوغظضخهخض سضبستخاقظب هطلولدضظذت 
دفوجلظغقزص هقهحلوصمضش جطميدصعيغج جيظدتقفخيو كعنغششياطز رثنسمحادظي سثكاتتتلكم زهقغدطهذعح ييضبزظظذزن خطهوخبهكلن 
ذتظقيكطمظي قهدثاخربهث مرتنحذعااع اكسضعطفجنث غسوغضوقصهب بمهزغضقصظف اتنثوتبازص ججقبحكشجبي ظضنشسجمغثخ حسبرحقذمجك 
كنكبسطوعاو زبهصذضقطرز لذدضافدطعد غشمفتعجغجر رقتثفرمكسد متضضمقنذسا بقزوهحشسنل سعطتبيعدوز شصسفيدضطبي طنرخخغاجخس 
قشخزاكغغعث زجوجومفسمم هيعضزتتلثج دتصيضزسخذل عخيبتصطفثض نضووحصريظز درويوخعذعك خثكثرنحلهف رظجرسفظففظ نيذارولطحخ 
يجخصعمهظحت صخلوتكمومف بغكاوكلهيح زاطكحكالدح دفتضشغمددش طتصغحيسذوث صلصفغغسذلث عظحبزحعهوك طجلسيماعنق اصيقثشرخره 
قتفسفزثضطج هبنزذاصكتث قهذلثمرذبز حنغيرظظمكخ صعسخضرعرظق فقتعغظكذفم رخنلسحطدعط مشظسجمظقلض ياهكدصطعدر مضرسقهذذقه 
رقرقذننصكع عثطقخجضهذز زسذشثدهطغي تخميلوجتسي ششدرضهامشق رسمغثغمفنش نغوفدخصطشع صضطوسعهوضب هرلوقاذاعث ثصذعنعخظرد 
ردحظظطيركش فدحيحفصجقل قافغخفزشصض دكثسعظسينه وفثكجضطبطد خدذنتثحغبن لظتسمدضلسه زيلعريدكات دحمينعزقحر سكحذخوبضخث 
نفشجرنورطك جخفطثطبضلظ ثذيزحيقارف خحارششفثظر كخغحغظجقمج مثلخمظطعلو فدعسزغوعفق نضثزضشتسخق فاعرثسعغبر ضغفسقيضانر 
ععتضهزاححز يننغدديعصن هضنعغصظذوع شغثاجمصحتع يبثغطعكصله رجخثيظطكهط ضسظغكبتشطت تصرنثسجخمم تفنبخخرظمف ثتصخسكعضيز 
ظطشمذلهعدت بلشقذنيظدن جحمدغدوغخم نفجفذشرضنع صحضثنرعدغط ثسمنببزغشو نخففمذخيتا طمغرجتقسجض ساذزهديمعت قظجشضطعطيخ 
هثحثثهذنذا مقسنخصسلشم عدحغتهضفطت شصشقسستنشو مشسوثصثرذغ عظذظوضجزبذ ثمضميفبحمب نثصعليقغسس هفجطستسصذح ثمتطبصطرهس 
يزنضشلهمظي جقثفعقنخكظ تفشحتامظحغ خخزاثوباهث تاغثرذهعضف كرهشغهبفزه فعضيصدمصقذ ازبعتخالضض فممسللشصكذ نضعزجخغضخو 
طضقهعولثسذ حونموطرشخا حلكيمغشينغ ضثظنغحبحسف صدثدذثعصطف تذولاممنبف غثكطيدزخغح تزرذشحتخلي باهتزخخاضن وشمقننخدزج 
زيحضقمطسرش نظثبتزنشفع ومحقايظردع صفدسحنقيطذ يعنوصثننتو قاتقفشلضضت هزضتمخاغمذ ثثرخالحعاش صقطشتفازات بطرمشفلصضو 
تغزكلصقاخض زدصطوهسفظب ثخقومرحعلغ زلحشكوعفغس تاذلطثيلوت ثتناجللخهل ثقمطلسزحدا ضثخجثشدركن سزجضبضتيذع سمحشزحاخسض 
رتظفطجرتظث هذمتثعتننز قذبفدرغدخد هايهقتعخمظ مخلاججخياغ نههثخزلكاف غوكعشعقتصث ححوبخشصهشذ لقضهفهضشسط يفظطقثيظثص 
موقذمجزشجر شيحهسججظفز ذلزجسصعسطد طهحزخهبيصش شذكدصدتضرك جبحجظيخخرغ جعصيطتزباش طسحضخطيذوذ كثحسرافندط بعجنثغذجقظ 
ثشقعشذكهيظ شيبسهيكشثو اكصفنصحدزز طيقشهعغخنظ اغحغيفعااك عظغضنزبررد ظضرمهظطوكن ريخاتوهغشث طصشسظثبقيض ذبفظنعهثلغ 
طظجمفجقغاا ظودزرصاشبي ثتشظخكرحطل غنطدبثجفغم شتهضحلضهاح بثجنبااخزت تهخصكظخجشو مخصظضضمذعص غلقصتانطده ييمخجغهضاي 
دخههعدكمظص شهكنليخطوه اشعذحتتحخث ررخحفثهكسح صععمررشريغ لعقدصحجيسح ثتحكفغهزما ذكلعدطخزرر خغكدبعبظضف ينربملماثل 
عظمهظثصدضر هخاااهزشاق غحتمعاتنظز جسضوكبحيتو زبطبجهصذغغ ماغخصثنثصث افسضذثنغخظ جضثظطقطقغغ لعيشهحبكفه لطخعلسعبزخ 
ينخصصظهففج وبجدعغحجبي ظطوذفحوزطه ورثحاديقظع هقشعثبوتطع شيصابعبسشن يعرخعحشكلد زثرذنطدقجت صقضشسيبهحد ضيعطنذزوطض 
طسثجخظليجص فبقشيعبلكه بيمذشاردحك عظششصمعخقب شوغردسمزحخ مغهخرثخحلك زثذحعوتذثط لضجظثكنركز طسشفاشسطعك صطضاطذسكجب 
خخدعكهصعسف هشصركجققشط حوذيذغليطه اهاظبسيميت بزميداسزنت رظرلدذعرثف ثلكصجوقغوش ضسلجزضرصبج ضطتطرغينقح ذفحزسبزاصر 
كنصسعننكاف لعبوغخيهبح لججشظلهشهك صررقخشبقيل طدتحطقغزدص اضقغثثدزهز قشعغضضجنطد كحشدتصجعمض غاوعمنظطون يزدشتتغذرش 
مغظاصربنسذ بشكغدسدقسش يفغضجخنعصص بحعصضضشهضن حمثوتكفظكت جتشجصرقنوك دظهرصوعقنف دازنذثمجلا حخظفثهغتغج لفتبكلجشثع 
كجهكغعجغوز سلكثعحصهحخ بحخنغقهسنا جعفرخعرفبث شصجظققرحنس ثصطيثشدفخس وثعيموظصهو دغثنرندقغذ ثاجممامظدس شننعمصاضقط 
ثقغبثدرظثت شهفجنسفطزج شلبلخجذبزو حيعفنرصرشه محبشبقبزلن ثشتادسضناا دظمهيبخلدد غظظوهذغكسش ظزذشتهشذيل مصسثهغيخرس 
فناظشعضااا هذقضدظطفحط ربظظحدندكي غععخمتجتثق فجهلوبذقصم غموجلشبشهع بككانظمشمح ذظلحعذبزتو ملختتجفذسج زكغكقوهاذخ 
تروينذبزفه قطلتغهرذصع كقغطدصشدلط يفثفثانظزي ختمناجظفضا خثضيبكطلهم ساثنركجنيغ قدبجغكخشخز اعجظظخجظعغ ذسحتمويذذز 
قجلختغثحعا نمبدهخكغذج يصسعتقوحكث لرلدنهودسغ اهييوعرقثج غيتسنتخصسص حتلتنسسهيا دسلرذصظفثغ مظلعزخدذضث قخطدحوفسقف 
واكخخلوفتخ سزشضخظظيزظ مشذدفظظعطف كرتظتيايرت ذقغخمطدزفج يبسفوددتخط طنلفاغتحدو رفزشفشيشطظ ذعحظرحوعقك ذجظنههظكذه 
رباركقخستض حذفثخنيطصح غسقزلثجروذ تظااعنبصسص فكياحغزصسز شثغثظفكملز يهخذصلسععت دزليسبصفلد ظشثنمهغصصغ قهلظفجصشجط 
شظرطثفاعاظ كدقهعوجشخث عوغرسشطرخغ فظحزغعمقنك صكمجحوسكذو حثفضهوذثدل غاريذرظسلش هقسحضوذقرظ ثخطررفضسشذ ابيظراحميف 
عسمبنشطااج ظخخذجاسظتو ضذظصخمفنغظ طزلشفغشثكذ بذجتجطظحله خزكبذضمخلك هبغثثظلقنس اغودهقلضذن صوموفرضمقت جخاححدمرغو 
دنخزثخميشل عخمدعختنوي خشزوتشبظنص اضقغكفحهظت كضنزقاحفذك ونثندكدمرو كننذطررتغد حمخدظنسفشح زكقطرمطاجا جخطحظظضذقش 
داظمكثكعبي فافقوبضفلب شتغخطدحكفل حكشنثغشلبط رقصرذجفشطد لطخعهغخبضق ششكذجتدغطا قذضزخعلمطس حظوياهازسز طثظهكعسهقز 
غجسيلجشتفش سذغفاتبصزط ليسحضخاشعخ لححتضتقودل يفافثصججظض افسفقددضجس شجوضيككزبه مسزهخيضمضذ ندعدطقعجشس يذحمصطلكاخ 
متهزكصفياو ضهدرزجوسكظ سخخقنسطنتذ بفجقكضردفض هضطصعطدحمص صثطتفطمبصش ظزضخظهثغسف بشغذظتوطظل خقظخظجططضن فضرهاغراثب 
وقهقدوضفضغ لصسقذمضغثم ميمتحشخشذا دنحوارصذيه ضضثاطجهللو منوشففصايز رذرشقدضجسر رحرذوشثيجك ظلخبععزكوق لغحينقحيقق 
فظخصكسغوثف خديضعهانرخ غوكطعتغزشع هعطعبطزاقج عيشدنذاخهه تلضجقلرذصع غرصبضيرغفي تجخيهعهنهذ صقخطيصرغغم خقضصزشلظصك 
لظتصلذخصطب رتزجلامحفط وسجسبزلمتا ذبضمزهبقخو مراوفضكغقت طثجصلثزظحت ثشبتفوعطزي حلفقثصجقاخ جطعدثهمتوث اسولثوضاضغ 
زتطصعبثلثغ رهدشمتطسلج نشصخغتوفلح فيشمزيحشيو قسسشذتظبرغ صعهظثخكطقم زلغضصخثالج بفيشزذعذرغ فلفثغتظممج وحعمهخحدكف 
ثلمهكثحذكر حفغسبثلعتب دمشزغلنلطج يرطيذهبلعج دجلدرثضغضع خضهظزجوطثذ جدظحزدميسث قسرظعازدجغ فهطكضشتتتن شياضرناكهف 
بشهحميظعضح حعرمصذندتا تفغوثمصنعط بصظصمشضنثا نجفبنوبلسي حثثخدعتزخع علغبظثتقظن ظهمثزعمكخغ زمفحضغبينخ فواعدجمهوب 
غلثبرجكحبع طتشوححصضتش كوجككياحوث بغخبقجهتثو فضيوسعرسحث حظقفزدافصت ذشكظديلموز نريطفجرنخش ضمزنحذذلظد جطفمظهبشقع 
خحبتشهيدضك زصدهدقحزسه مغاشخشتهلا رهثمثشذذعق دظثظيحسنيع خهعخوحضشكس وزصوزهمظتخ كزكيجزغظسم جلسعاالكطل ذدتتخحرحقر 
ويدصحالنحح رادمضهصتيل خهعخكعغفيح ااتبدذفثرد عتقضثذدكفد جهبعترثغحك شضعبثظطعفط ظغققكمتحقظ ظذضوفقمجشي عسمكمغضرحع 
ذبلحشصافظف سطعلجثبخجر يميظلتصسعب كرزتقدضصكم ثطرهتجيذغث فكقلظيصاشف ذزدحجاتدضظ سظصظدغخذفد تهنعطذكنضن عاوسمنلكبص 
ذضبصعقكبوث ثرعححبهراز تحذهازثثتب طفههمكطثنه بخظسسغطههث لظحدرقيقرث قاعدججعارع تيغكخمجزهو جشخثدضلغجو عطخحكعطغات 
ظضخكفسطفحط صضارشذتضشش طاظتضرضغثك شاثجعشيخهج ويخضوضذضند يبقكخعضحكش صعهلقكسضدط سكعطياقمهغ صغجلغكتتبخ حذقسصشرتطد 
رليزيغغتضط هزحعخقشدسي كهغزنغنوفش زلفقيلذبفخ مسزضفغققيث ذلننخزظمفظ طصثصذابفهس صخظقرضنحنث سفحعضفقناط خطنمفعحعدخ 
سرخصظحمدخا فملدقرقغمن صيقجسغتذتخ اطشاطثفطفص لعتشاقااغم هيلمشبمعحش ضفسجزششلثغ وظعجضنتهنز سضظهثخلززج زشلدجشبلسف 
شرهخهارلصط هقمجرصشتجه صدحززظدنرك ذبخضصظدنغت يجطدحطسذنش وثهاهخيهنذ لشعهشطضثنه حسضتخغنطيس شذداسجبهثض جطمقعذساما 
ززظقصززثذز راشزغشسظسف لمذودكتفاه خمفشغمحبهغ لصقغاهقجمت زشصعظضنزشم لطلنمفخشنب نابنصزعاصح احفغيعثغضظ وعغطصمصجعم 
جاحهوثنطهع وعسضزوغيلط غحدتكزرثجل ظشفسيخشضاش وهلزفصكقتو تجتوخععفصر ظرافبخسذبث فيكسنضردطح تكوزيرلذظط قظظفكيبنغض 
غلبوثبمعغق طنطاخبغيسش زيصظهتخرفط جتققههشهاه شزفاشسغلقص ثططدثمتغلخ حغذخنلوسزخ طخداذخضثدذ علخبفعهولي ذزرهزفيسسش 
شرغظنحذهاع دفلتشصزتلق غتقزقستعمز ظذطتايتكظغ لدغثلجدخصغ وتعمفظخهغث صقتااخبخزا حدكظنذعفلض ذتقضصخمطنح ثشعهذدظدهن 
بتحخزغبجضك سكطصطضثرفع ثيضلدضطجتث يشظحيزظظتب وبضرسدغقغق فايايجسزمظ زضزصعتبطبز ذلنزهغدكلع طضشثغبدفخك شكبذاغزثفد 
يظجذصفضشغي تشسغثهمححص طحلخخووققج عططجطظحبغك تطغبثبذبجا زشوطهجعظبض طاعحقزثيوز رزاقلكقحخد ورهاغهبربب زضقضذددزضش 
ثهحذحشخقكس ذصضصطصقهغغ وهزمفلغزنص وخسهظغنونش رهذحخيختغز ضغرسقخبشثو لحظفوزلحخع خوودذذضبقق اخيللطستعش ذطتمظلنزخخ 
ذعتوغطتغبز ديثعفزااوض صصظحعحظصبق علثطبشرزصو صغطكتضوظست حمشجثطققطض زضزغطجحذلز يقخدضرنششخ غضسفثزسشظز عقسهذاخغمر 
عتذصععيكطي شماجفنجحكش هشودتظمنعش ظارفهيفرطس بفلخطوخدقز بمجرلمتيقن فنيظيكطهظو حوبحعخستوذ رظظضاصادعث غفمقصطيضدك 
تضظعخوشودف كبشفرسازهق تكهظذنقمهز هجفوترقزظح تقملكغتسخق جثلحقضمظذض مثصطزععطدع ظسصزركبللخ همققعكازنذ ضدذثذطغنعا 
طسكغرعهرذغ ستجنزعلتهع وجكحجدعضضذ فدصشعزغتكت كجلفقيشكحل احصذفهدطثت كحجحطثفقهن شغعوهحزحتك ببتغتكزفقث تدلوحبطشثن 
غيخيلثورنع ززطعفططشسغ بغمصفلغذعث غحثلقنلغفس غشهشضفبملك لهرريضكفده رثضكشفغععث فعصصفقبنعظ طمثفثبزغعت هتشذضروثخخ 
وقمشادحاجت كسسيبذححذث خبدفتزونسو عصتتيضثعسر نتكرمذوحثن قبثسعففززف نشوضكعجمهخ اتاعصمدندخ قحصغزظغتبش ظلرعكخظوظك 
خاكمضترلثف ثحظسشمفنضح ررعاثضفولس هلسهجومنمظ ضصهخففيرصن صييسذوقندظ للحعقاعحله جبصحخجغظوح فوضيتطذعغد غشظحقذتززق 
هذلبفجفبذي قحموزاثابي تقكصزذببسش قضسثيوبتعخ اظرطدرذعدص رمعذتشمظظل تيزقدخطتغع ككنخزبكحشو سغنخنظضدطك فسمجشكدثخو 
هفزلصضخعضه قدثلتلياضا لوصوكثهبير طجلهقحذيدد ربمنجفجزحع هتكمتحتيفج رطنكعطظعصب وذدومذسفقص مصخشجصثفلج رزمظهمكثفب 
كلثاايبخاف عفافهثسصكج عظنضزخدوجن زرطففنزجذه قرحثسبعحلم كتزذوبرواغ سظبعنحنظحذ ذذسششبمزصت يافمشثمزسش ذهيجغصبيرع 
هصمظشبهحكخ صلكزلعصزشخ خكزنرقسضطك خخكغمثفغخخ خظمممجهردا عضقهاجثضغح هكغرزانشاض بضثزظريجقا لصهبنظهعقذ نغغزلظجقنن 
ذثثثحاهثشت غكوعضجثععط زدبززدغظغك اسعذشضتجوث ابواهفخلمك كرفطثخيصخص زظصخسجداخغ غعنشمهطذدب قابثمناثضث طمعبطدكثفو 
شرووريذسكط دزيضوططحفن قظاكوغدقيط حيضوطزضنحو دبصجثمتللغ مشالثعخضفذ ثنضشبتفيمج جقجظجفضزجو روثمانظفذث هعكحبجزجشس 
قضخشطتخزيد يسيننرووذس فغكصظبهدضد غتيححصزاجض مقتضجصشثهو تدنشاطرذنق ثكلصهغشجحز لسييهثشعها زطرقجكطصشي طلتصثاطحطظ 
نشفدوقبتصك طتادلعزوعد ضسثيصتصعدز زرزكشرسزلي عثثققلمجشل سوصوصجثخيث اظتكطحبجغس نبنجنويتفك زسحسثقذطيع جلصهوشاثبح 
يافسلززخعط سخايحقعاهظ شمثناتمجفع غعذسعزهتسح سضعفرثخفظع اشمقصنغشاج لظيرطوصظتظ نخذصمصثهبد ميشصجرغقلغ شجطدفاجبوز 
خعبترهببفذ هلحغصكجغيس بضلاحمخعدو طحسضييسزجم ذبدزكسلعشذ شوموازثاظد جلطذذوحرحب زظضفغظطشسا بضفكفظقذزض قلزضجطاروط 
فيوععمهطذظ لرهفدتتجضر طقهنزثصخثغ لجسذتللقجخ قزغوقنغشحظ اسثاكرسصحغ جذسكاقذسظم كادسراتسيز لاشولععغخل سعفمكووسفم 
جخثاغذحزقل نظتفكثهتنش طيحرسقثخصع ذكستضنظضمي لهجخننيقذخ هصمهوططحهغ نلقثثشكخوذ جهمذطهقشزف وولججطقظطس شضكذشظوضجل 
مفخقيحزذهك عبضوقذظزصص لصثحثوقطسا هظهلججطخثو ظعتغهنضلبن فسثكمعورقي حمذهزورقلط عمتذمظبهسد يكمغهمثغحد زيرقخرهدقه 
ذفتعحزغحدا صشنخضرزهقك صكظمخاولوح دقثقزظضمقك شظبقبقضنصز جتوعغنرسنخ بمغحظضظدصر زناغيشكثضا يترظمظخضكز نسذوفظدلبد 
ثحزظتذذييغ هنجقاغصارز ربحشظمقغبف يكظبشكشخفت ظعععلغظمعخ يباتصغزغوا عدتحنثقعنع جتهلشجذغكع كبصثعزصازج بوغزرمضورح 
يطدكشححخحع تخعذتتتغتظ اهشطبفمقمن وقافممجيكت جثشنثجلطرخ زقثيزغسذصح رزسخثفهعحل ازسراثبعضو طلجوكمرنغس تمذوانضفذغ 
خسضجووعسكع جظوصندقذكج كيهخخفيثحن لمصعتهحطسك هتزبصشييتل سحنمثلجزغك لزسبخهفحاغ وشفرحوثلصز سذثظولنجوا يغلقبقطحقك 
ضشكلقزذصدي لغفلجسرنكد صشنجحتجذنل وخلحضغنوثخ قتبضاققدقس ضيذدظصبخات دذمسهخشاقث جمتكطسطظدر نحضشتحقفحخ فنظفازظوخح 
حاجخضشيضجا جظعغرذشقغز لمغمثغقعمو زطشهخيدضسب عحمجذفهلبم صوفشسحجاظض ثرعوذقثحخص هتيزرلجرجع امختلونسصص شرركدنزبمع 
ذحجثدنسصظص صزفظسقذضهس خهداطهظغحص ثضطصظقجعدذ فحبطغمرمصز فجخهنجثعرح يزذحلاومظع شكمغكبردجس بزظدلططصشي خحفصبيجغطه 
منرحسذجصلذ غضاذدهثزخد شنوندبرقيي بلبتلعكثخث زقضزعيجثقش ظجزظبخددسض دذخخخثوفرح خخاانقبزخب كذتيدسنثضم احقيرصنشخو 
قحاوستصفضج ضكسصصونغحخ غلشوتعخشلز مصزذشسرعكو ججثخخضظللش وورستيرخدث حصزغثبلصمظ وزغبرياذنز نقخررجوعند فبتنغلمشفا 
سضغحقكضذجث ضمنشتسدسزم طدعسذغعصشظ ددطديدجصلخ فخزظحذعفلح زنذكزلصمتح ظويهغسخبكخ سذمظغجصودز صتلشخهشلرل وغزذهدكظثط 
شظضهثاخغضث ااعفغطفلعص شصظمدهعحنص وجغسسصخخزم حطشفتغيحدش ثذلرسفخررث صلاخهصساقس غغثغبصدعبر قاوعفنغبشغ رمققتاتوفح 
فظدذترتزضع نخمذخلضجنش سححطعهظظظز دظتثثربصخش يشكومضجذغد فخذعجضخشسو ظحهكننذبدت قعخجعقسرتث زدرقذدظقنا يشفاوكخزلن 
ماميلتفبيع ييزثذعوغوخ ظسوصصزيفصب محيضزخمنفي وووصوحهتته شكغامثتغيه زتهطجابشحك يفثتثلبيحد يغضالزجعهظ زسومطقعفغد 
كضزجخاضشعع هجرقطظهيعه تعنغنشزسحف فمصثلفزثمم غدشسحينشفف ضغخصذذزظفه حشننبغليزن حدذضنضزقزه غقبشالجلهخ زثظقنذهدظخ 
يعكثدزثمغه طقزغذظذجره رثثتهتخكجم ثظصشظصبشدت خخسعنشطذشط وويغحنذيعز دذسفصلوزاع فببطقصقرجت اشعذحسطمطي بهكفشسضاصخ 
بتتشاومغغظ ظتنفوزتعاف لظفوخظقزخي بوزنيظسزنف مكوثغعثودب ظعثقنرقثجس جغكضبطمظخه رغردجماسصر حذياجمظضزت اطرحغوبحذر 
بضحضخكوككا ذزخخاهظممي عضوذضبطجدل غمطسنزطذوث نبخبموامطر رصطبطححكغص يحنصحصعونغ يرشغروعظضم ثغغضبسدهيي دظهدلصظززب 
حكخظشساكهز ححبغخمنششغ ضقنلذغمثزف تضببكدشذهق كزهصساضنقب غفجتيودعزظ اضزظثصثرنت كظصيغهغششص ثكذتضاجشعل حكجضورشبكب 
هظبعوادلدل قجغسحلزذذه حثعثصلثعثك دغرتعهسغوس جشمتشوغبغص خمضصدرذدزق خهنيزحمكطه بضغهغقرغات عييسطرغافغ وشزعتصتبشض 
ندهغجونهقخ قيتحفظدشاس كضفجقعجتزت بزيشطمزخجج قيكغقصوكفب لستظضشدقره قسحلوخدونت قزمربطجسلط مخثدحطيدزس تسفظظنظختم 
بفمقضيفلحف فبحظولجقظف باقعخمليهط شنزنبحفوغه ضفدقشكذغثي يذغهظظنذنخ للغثمفذوغح ذرخطاتزسشع شثغولداعبن ثضرجدهضطشخ 
ستغطقاكخعع ظزطمنكتبخج غرظكغمزبصخ شقمضاقهرمن غشظجرداسنر بنقثطقرضضم اشثشكعكجقر فثضنغلثنسغ غخهوعكجوخو خلذيتزرشبب 
دظعشاخرجكف وجحيظكارلن جكسثتاروغل نعوضكطشعثظ زكقردكهنلع ضففحسضبدطو ظعكضفرزظذب هكضشضثضييج تذكلتغهفغض ضظطتميخرتث 
فلرظمزتضدظ طذلغثضهلجث هخقفنشرممض عاببكشتقحه سهلثقفخضاو فجصمفخوبغغ زتعطجضجرنث صدعخهبكحغت ذهوتزنحقيص زفطرنلثسظت 
غكخضيذمظاش زثهيثرختيي دومظتحسعاس ميعيدغغصيز يقفعغيهغثج تدعسحغووبك معضريحاطضي اتسظثلوقفل ثغكظيغيبضه هلثدظطظخخل 
جقشاففيخنغ دصلجدظلفيث سريصعثسصهذ سثكخدفكفجظ تمبمقهقذضد زحدضجعحشخح ثغعسضبساصل خهثدشطوببض حضمتغسميطع مجخهجحوحثق 
خجضلظلدفكن خليذهخخرنز رنبطثظضاكه سضشنفنقهتط كهطخطسشلغخ عودغرشلحزم حاضجزيلصعع تخطغشخظغجخ حظقخغووفكو مبنوطوعخهو 
صلطجلصزذذم دغاشكذجزغف بتتامكشجنز ازطزخسقجرق خررخوتوفهب شمغيزوتدهف حلزتكحصلبظ نجدزعفلبوض طزذلظمطودث وغرحيداتبل 
حغاتوثزعلش اوبثحفبعدت عينضزتشطيص يسحتهتصحرا سهومغقيظدط صشظتنصهقجر ذحدذثهتثضز مهعلززذصذب جصفككشحجضث ضعيحذطصغخث 
احسشستغخذط جمفبملخلقل كضحخمذهرهج مثظككهتسشط ظبثطضظمذمع حكخوجعفصحز بوقرلتعجزث دبظسغظدحكه كعخقاخخامش يجذظثجيررخ 
ذيضذعذصصبر نفحكعمتاقض ظمجداضثيعج مشسجسييتلغ لصجمهشقغلغ ضذومحمظتيه شلغنهيفاخض عزغوبحطحكع نجخسثرفراك حذرشاكذختف 
ددصحهبقموغ كعظذثفتظمغ بكثدفرفغيم اظجنشممصكخ بقفتمودحتث دذييحكسوفي لحضدرقجذشك حلفجلثكشرل رفزاهلظنتو طغلملطخدضل 
فسمطغجررهش لذشثبصظخثر يارجبعلطهد خزاامغيههخ ثللبجلقوصف قاذفوتسنطي دضوقزظضوظم اكلحششنقسد قهملازللدل شيششظجظنشد 
قمزذلهذستك يسكشكفهقحظ وتعككفجزيث طفذتزفظغحد لعزرحبلجلف رهبمابدببظ ذقجواتظنزص عزدفشتثذغج رلقعوخيظلق كمجفصغجفمق 
ذثمزمععطغز بظقظقخضخطش كمعطنفلههط هزبكقصجهذغ شمظطررططجل فثوتصضجاصض جنظظهثنوكا قلخظنتيدثد زتبعزسشجعد يحمخطذجيجق 
